   āpastambaśulbasūtraṃ	Apastamba-Sulba-sUtram
   purastāt | sa nirṇāmaḥ || ĀpŚus_15.6 ||	purastAt | sa nirNAmaH || ĀpŚuH-_15.6 ||
   etenottaraḥ pakṣo vyākhyātaḥ || ĀpŚus_15.7 ||	etena-uttaraH pakzaH vyAKyAtaH || ĀpŚuH-_15.7 ||
   ātmā dvipuruṣāyāmo 'dhyardhapuruṣavyāsaḥ || ĀpŚus_15.8 ||	AtmA dvi-puruza-AyAmaH aDyarDa-puruza-vyAsaH || ĀpŚuH-_15.8 ||
   pucche 'rdhapuruṣavyāsaṃ puruṣaṃ pratīcīnam āyacchet | tasya dakṣiṇato	pucCe arDa-puruza-vyAsam puruzam pratIcInam AyacCet | tasya dakziNatas-
   'nyam uttarataś ca || ĀpŚus_15.9a ||	anyam uttaratas ca || ĀpŚuH-_15.9aH ||
   tāvakṣṇayā vyavalikhet | yathārdhapuruṣo 'pyaye syāt || ĀpŚus_15.9b ||	tO=-akzNayA vyavaliKet | yaTA-arDa-puruzaH api-aye syAt || ĀpŚuH-_15.9B ||
   śirasy ardhapuruṣeṇa caturaśraṃ kṛtvā pūrvasyāḥ karaṇyā ardhāt tāvati	Sirasi arDa-puruzeNa caturaSram kRtvA pUrvasyAH karaNyAH arDAt tAvati
   dakṣiṇayor nipātayet || ĀpŚus_15.10 ||	dakziNayoH nipAtayet || ĀpŚuH-_15.10 ||
   apyayān prati śroṇyaṃsān apacchindyāt || ĀpŚus_16.1a ||	api-ayAn prati SroNi-aMsAn apacCindyAt || ĀpŚuH-_16.1aH ||
   evam iva hi śyenaḥ || ĀpŚus_16.1b ||	evam iva hi SyenaH || ĀpŚuH-_16.1B ||
   karaṇaṃ puruṣasya pañcamāyāmaṃ ṣaṣṭhavyāsaṃ kārayed yathāyoganataṃ	karaNam puruzasya paQcama-AyAmam zazWa-vyAsam kArayet yaTAyoga-natam
   tatprathamam || ĀpŚus_16.2 ||	tat-praTamam || ĀpŚuH-_16.2 ||
   te dve prācī saṃhite | tad dvitīyam || ĀpŚus_16.3 ||	te dve prAcI saMhite | tat dvitIyam || ĀpŚuH-_16.3 ||
   prathamasya ṣaḍbhāgam aṣṭabhāgena vardhayet | yathāyoganataṃ tat tṛtīyam	praTamasya zaz-BAgam azwa-BAgena varDayet | yaTAyoga-natam tat tRtIyam
   || ĀpŚus_16.4 ||	|| ĀpŚuH-_16.4 ||
   caturbhāgīyādhyardhā | tasyāś caturbhāgīyāmātram akṣṇayā chindyāt | tac	catur-BAgIyADyarDAH | tasyAH catur-BAgIyAH-mAtram akzNayA CindyAt | tat-
   caturtham || ĀpŚus_16.5 ||	caturTam || ĀpŚuH-_16.5 ||
   caturbāgīyārdhaṃ pañcamam || ĀpŚus_16.6 ||	catur-bAgIya-arDam paQcamam || ĀpŚuH-_16.6 ||
   tasyākṣṇayā bhedaḥ ṣaṣṭham || ĀpŚus_16.7 ||	tasya-akzNayA BedaH zazWam || ĀpŚuH-_16.7 ||
   puruṣasya pañcamabhāgaṃ daśabhāgavyāsaṃ pratīcīnam āyacchet | tasya	puruzasya paQcama-BAgam daSa-BAga-vyAsam pratIcInam AyacCet | tasya
   dakṣiṇato 'nyam uttarataś ca | tāv akṣṇayā dakṣiṇāoarayoḥ koṭyor ālikhet |	dakziNatas anyam uttaratas ca | tO akzNayA dakziNa-aoarayoH kowyoH AliKet |
   tat saptamam || ĀpŚus_16.8 ||	tat saptamam || ĀpŚuH-_16.8 ||
   evamanyat | uttaraṃ tūttarasyāḥ koṭyālikhet tad aṣṭamam || ĀpŚus_16.9 ||	evam-anyat | uttaram tu-uttarasyAH kowI-AliKet tat azwamam || ĀpŚuH-_16.9 ||
   caturbhāgīyākṣṇayobhayato bhedo navamam || ĀpŚus_16.10 ||	catur-BAgIyAkzNayoBayatas BedaH navamam || ĀpŚuH-_16.10 ||
   upadhāne ṣaṣṭiḥṣaṣṭiḥ pakṣayoḥ prathamā udīcīrnir upadadhyāt ||	upaDAne zazwiHzazwiH pakzayoH praTamA udIcIH-niH upadaDyAt ||
   ĀpŚus_16.11 ||	ĀpŚuH-_16.11 ||
   pucchapārśvayor aṣṭāvaṣṭau ṣaṭhyayas tisro 'gre tata ekān tatas tisraḥ	pucCa-pArSvayoH azwO=-azwO zaWyayaH tisraH agre tatas ekAn tatas tisraH
   tata ekā || ĀpŚus_16.12 ||	tatas ekA || ĀpŚuH-_16.12 ||
   pucchāpyaye caturthyau viśaye | tayos tu paścāt pañcamyāv anīkasaṃhite ||	pucCa-apyaye caturTyO viSaye | tayoH tu paScAt paQcamyO anIka-saMhite ||
   ĀpŚus_16.12 ||	ĀpŚuH-_16.12 ||
   śeṣe daśa caturthyaḥ śroṇyaṃseṣu cāṣṭau prācīḥ pratīcīś ca || ĀpŚus_17.1	Seze daSa caturTyaH SroNi-aMsezu ca-azwO prAcIH pratIcIH ca || ĀpŚuH-_17.1
   śeṣe ca ṣaḍviṃśatir aṣṭau ṣaṣṭayaś catasraḥ pañcamyaḥ || ĀpŚus_17.2 ||	Seze ca zaxviMSatiH azwO zazwayaH catasraH paQcamyaH || ĀpŚuH-_17.2 ||
   śirasi caturthyau viśaye | tayoś ca purastāt prācyau || ĀpŚus_17.3 ||	Sirasi caturTyO viSaye | tayoH ca purastAt prAcyO || ĀpŚuH-_17.3 ||
   eṣa dviśataḥ prastāraḥ || ĀpŚus_17.4 ||	eza dviSataH prastAraH || ĀpŚuH-_17.4 ||
   aparasmin prastāre pañcapañca nirṇāmayordvitīyāḥ | apyayayoś ca tṛtīyā	aparasmin prastAre paQca-paQca nirNAmayoH-dvitIyAH | api-ayayoH ca tRtIyA
   ātmānam aṣṭabhāgāvetāḥ || ĀpŚus_17.5a ||	AtmAnam azwa-BAgO=-etAH || ĀpŚuH-_17.5aH ||
   śeṣe pañcacatvāriṃśat prathamāḥ prācīḥ || ĀpŚus_17.5b ||	Seze paQcacatvAriMSat praTamAH prAcIH || ĀpŚuH-_17.5B ||
   pucchapārśvayoḥ pañcapañca saptamyaḥ || ĀpŚus_17.6a ||	pucCa-pArSvayoH paQca-paQca saptamyaH || ĀpŚuH-_17.6aH ||
   dvitīyacaturthoś cānyatarataḥ pratisaṃhitām ekaikām || ĀpŚus_17.6b ||	dvitIya-caturToH ca-anyataratas pratisaMhitAm ekEkAm || ĀpŚuH-_17.6B ||
   śeṣe trayodaśāṣṭamyaḥ || ĀpŚus_17.6c ||	Seze trayodaSa-azwamyaH || ĀpŚuH-_17.6t ||
   śroṇyaṃseṣu cāṣṭau caturthyo dakṣiṇā udīcīś ca || ĀpŚus_17.7a ||	SroNi-aMsezu ca-azwO caturTyaH dakziNAH udIcIH ca || ĀpŚuH-_17.7aH ||
   śeṣe ca viṃśatis triṃśat ṣaṣṭhayaḥ ekāṃ pañcamīm || ĀpŚus_17.7b ||	Seze ca viMSatiH triMSat zazWayaH ekAm paQcamIm || ĀpŚuH-_17.7B ||
   śirasi caturthyau tayoś ca purastāccatasro navamyaḥ || ĀpŚus_17.8 ||	Sirasi caturTyO tayoH ca purastAt-catasraH navamyaH || ĀpŚuH-_17.8 ||
   eṣa dviśataprastāraḥ || ĀpŚus_17.9 ||	eza dvi-Sata-prastAraH || ĀpŚuH-_17.9 ||
   vyatyāsaṃ cinuyād yāvataḥ prastārāṃś cikīrṣet || ĀpŚus_17.10 ||	vyatyAsam cinuyAt yAvataH prastArAn cikIrzet || ĀpŚuH-_17.10 ||
   śyenacitaṃ cinvīta suvargakāma iti vijñāyate || ĀpŚus_18.1 ||	Syena-citam cinvIta suvarga-kAmaH iti vijQAyate || ĀpŚuH-_18.1 ||
   vakrapakṣo vyastapuccho bhavati | paścāt prāṅ udūhati | purastāt pratyaṅ	vakra-pakzaH vyasta-pucCaH Bavati | paScAt prAF udUhati | purastAt pratyaF
   udūhati | evam iva hi vayasāṃ madhye pakṣanirṇāmo bhavatīti vijñāyate ||	udUhati | evam iva hi vayasAm maDye pakza-nirNAmaH Bavati-iti vijQAyate ||
   ĀpŚus_18.2 ||	ĀpŚuH-_18.2 ||
   puruṣasya ṣoḍaśabhir viṃśaṃ śataṃ sāratniprādeśaḥ saptavidhaḥ saṃpadyate |	puruzasya zoxaSaBiH viMSam Satam sAratni-prAdeSaH saptaviDaH saMpadyate |
   tāsāṃ catvāriṃśadātmani tisraḥ śirasi pañcadaśa puccha ekatriṃśad dakṣiṇe	tAsAm catvAriMSat-Atmani tisraH Sirasi paQcadaSa pucCaH ekatriMSat dakziNe
   pakṣe tathottare || ĀpŚus_18.3 ||	pakze taTA-uttare || ĀpŚuH-_18.3 ||
   adhyardhapuruṣas tiryag dvāv āyāmata iti dīrghaṃ caturaśraṃ vihṛtya	aDyarDa-puruzaH tiryak dvO AyAmate iti dIrGam caturaSram vihRtya
   śroṇyaṃsebhyo dve dve ṣoḍasyau nirasyet | catvāriṃśat pariśiṣyante | sa	SroNi-aMseByaH dve dve zoxasyO nirasyet | catvAriMSat pariSizyante | sa
   ātmā || ĀpŚus_18.4 ||	AtmA || ĀpŚuH-_18.4 ||
   śirasyardhapuruṣeṇa caturaśraṃ kṛtvā pūrvasyāḥ karaṇyā ardhāt tāvati	Sirasi-arDa-puruzeNa caturaSram kRtvA pUrvasyAH karaNyAH arDAt tAvati
   dakṣiṇottarayor nipātayet || ĀpŚus_18.5a ||	dakziNa-uttarayoH nipAtayet || ĀpŚuH-_18.5aH ||
   tisraḥ pariśiṣyante | tac chiraḥ || ĀpŚus_18.5b ||	tisraH pariSizyante | tat SiraH || ĀpŚuH-_18.5B ||
   puruṣas tiryag dvāv āyāmataḥ ṣoḍaśabhāgaś ca dakṣiṇaḥ pakṣaḥ | tathottaraḥ	puruzaH tiryak dvO AyAmataH zoxaSa-BAgaH ca dakziNaH pakzaH | taTA-uttaraH
   || ĀpŚus_18.6 ||	|| ĀpŚuH-_18.6 ||
   pakṣāgrepakṣāgre puruṣacaturthena catvāri caturaśrāṇi kṛtvā tāny akṣṇayā	pakza-agre-pakza-agre puruza-caturTena catvAri caturaSrANi kRtvA tAni akzNayA
   vyavalikhyārdhāni nirasyet | ekatriṃśat pariśiṣyante || ĀpŚus_18.7 ||	vyavaliKya-arDAni nirasyet | ekatriMSat pariSizyante || ĀpŚuH-_18.7 ||
   pakṣāgram utsṛjya madhye pakṣasya prācīṃ lekhām ālikhet || ĀpŚus_18.8a ||	pakza-agram utsRjya maDye pakzasya prAcIm leKAm AliKet || ĀpŚuH-_18.8aH ||
   pakṣāpyaye puruṣaṃ niyamya lekhāyāṃ puruṣānte nitodantukuryāt | nitodāt	pakza-apyaye puruzam niyamya leKAyAm puruza-ante nitodantu-kuryAt | nitodAt-
   prācīnaṃ puruṣānte nitodaṃ nitodayor nānāntāv ālikhet | tatpakṣinamanam |	prAcInam puruza-ante nitodam nitodayoH nAnA-antO AliKet | tad-pakzi-namanam |
   etenottaraḥ pakṣo vyākhyātaḥ || ĀpŚus_18.8b ||	etena-uttaraH pakzaH vyAKyAtaH || ĀpŚuH-_18.8B ||
   dvipuruṣaṃ pascādardhapuruṣaṃ purastāc caturbhāgonaḥ puruṣa āyāmo	dvi-puruzam pascAt-arDa-puruzam purastAt catur-BAga-UnaH puruzaH AyAmaH-
   'ṣṭādaśakaraṇyo pārśvayos tāḥ pañcadaśaparigṛhṇanti | tat puccham ||	azwAdaSa-karaNyaH pArSvayoH tAH paQcadaSa-parigRhNanti | tat pucCam ||
   ĀpŚus_19.1 ||	ĀpŚuH-_19.1 ||
   ṣoḍaśīṃ caturbhiḥ parigṛhṇīyāt || ĀpŚus_19.2a ||	zoxaSIm caturBiH parigRhNIyAt || ĀpŚuH-_19.2aH ||
   aṣṭamena tribhir aṣṭamaiś caturthena caturthasaviśeṣeṇeti || ĀpŚus_19.2b	azwamena triBiH azwamEH caturTena caturTa-sa-viSezeNa-iti || ĀpŚuH-_19.2b
   ardheṣṭakāṃ tribhir dvābhyāṃ caturthābhyāṃ caturthasaviśeṣeṇeti ||	arDa-izwakAm triBiH dvAByAm caturTAByAm caturTa-sa-viSezeNa-iti ||
   ĀpŚus_19.3 ||	ĀpŚuH-_19.3 ||
   pādeṣṭakāṃ tribhiś caturthenaikaṃ caturthasaviśeṣārdhābhyāṃ ceti ||	pAda-izwakAm triBiH caturTena-ekam caturTa-sa-viSeza-arDAByAm ca-iti ||
   ĀpŚus_19.4 ||	ĀpŚuH-_19.4 ||
   pakṣeṣṭakāṃ caturbhir dvābhyāṃ caturthābhyāṃ dvisaptamābhyāṃ ceti ||	pakza-izwakAm caturBiH dvAByAm caturTAByAm dvi-saptamAByAm ca-iti ||
   ĀpŚus_19.5 ||	ĀpŚuH-_19.5 ||
   pakṣamadhyīyāṃ caturbhir dvābhyāṃ caturthābhyāṃ dvisaptamābhyāṃ ceti ||	pakza-maDyIyAm caturBiH dvAByAm caturTAByAm dvi-saptamAByAm ca-iti ||
   ĀpŚus_19.6 ||	ĀpŚuH-_19.6 ||
   pakṣāgrīyāṃ tribhiś caturthenaikaṃ caturthasaptamābhyām ekaṃ	pakza-agrIyAm triBiH caturTena-ekam caturTa-saptamAByAm ekam
   caturthasaviśeṣasaptamābhyāṃ ceti || ĀpŚus_19.7 ||	caturTa-sa-viSeza-saptamAByAm ca-iti || ĀpŚuH-_19.7 ||
   pakṣakaraṇyāḥsaptamaṃ tiryaṅmānī | puruṣacaturthaṃ ca pārśvamānī |	pakza-karaNyAH-saptamam tiryak-mAnI | puruza-caturTam ca pArSva-mAnI |
   tasyākṣṇayā rajjvā karaṇaṃ prajṛmbhayet || ĀpŚus_19.8a ||	tasya-akzNayA rajjvA karaNam prajRmBayet || ĀpŚuH-_19.8aH ||
   pakṣanamanyāḥ saptamena phalakāni namayet || ĀpŚus_19.8b ||	pakzanam-anyAH saptamena PalakAni namayet || ĀpŚuH-_19.8B ||
   upadhāne catasraḥ pādeṣṭakāḥ purastāc chirasi | apareṇa śiraso 'pyayaṃ	upaDAne catasraH pAda-izwakAH purastAt Sirasi | apareNa SirasaH api-ayam
   pañca | pūrveṇa pakṣāpyayāv ekādaśa | apareṇaikādaśa pūrveṇa pucchāpyayaṃ	paQca | pUrveNa pakza-apyayO ekAdaSa | apareNa-ekAdaSa pUrveNa pucCa-apyayam
   pañcāpareṇa pañca pañcadaśa pucchāgre || ĀpŚus_19.9 ||	paQca-apareNa paQca paQcadaSa pucCa-agre || ĀpŚuH-_19.9 ||
   catasraścatasraḥ pakṣāgrīyāḥ pakṣāgrayoḥ pakṣāpyayayoś ca viśayāḥ ||	catasraH-catasraH pakza-agrIyAH pakza-agrayoH pakza-apyayayoH ca viSayAH ||
   ĀpŚus_20.1 ||	ĀpŚuH-_20.1 ||
   tā ātmani catasṛbhiś catasṛbhiḥ ṣoḍaśībhir yathāyogaṃ paryupadadhyāt ||	tAH Atmani catasRBiH catasRBiH zoxaSIBiH yaTAyogam paryupadaDyAt ||
   ĀpŚus_20.2 ||	ĀpŚuH-_20.2 ||
   catasraścatasraḥ pakṣamadhyīyāḥ pakṣamadhyayoḥ || ĀpŚus_20.3 ||	catasraH-catasraH pakza-maDyIyAH pakza-maDyayoH || ĀpŚuH-_20.3 ||
   pakṣeṣṭakābhiḥ prācībhiḥ pakṣau pracchādayet || ĀpŚus_20.4 ||	pakza-izwakABiH prAcIBiH pakzO pracCAdayet || ĀpŚuH-_20.4 ||
   avaśiṣṭaṃ ṣoḍaśībhiḥ prācchādayet || ĀpŚus_20.5a ||	avaSizwam zoxaSIBiH prAcCAdayet || ĀpŚuH-_20.5aH ||
   antyā bāhyaviśeṣā anyatra śirasaḥ || ĀpŚus_20.5b ||	antyAH bAhya-viSezAH anyatra SirasaH || ĀpŚuH-_20.5B ||
   aparasmin prastāre purastāc chirasi dve ṣoḍaśyau bāhyaviśeṣe upadadhyāt ||	aparasmin prastAre purastAt Sirasi dve zoxaSyO bAhya-viSeze upadaDyAt ||
   ĀpŚus_20.6a ||	ĀpŚuH-_20.6aH ||
   te 'pareṇa dve viśaye abhyantaraviśeṣe || ĀpŚus_20.6b ||	te apareNa dve viSaye aByantara-viSeze || ĀpŚuH-_20.6B ||
   dvābhyām ardheṣṭakābhyāṃ yathāyogaṃ paryupadadhyāt || ĀpŚus_20.7a ||	dvAByAm arDa-izwakAByAm yaTAyogam paryupadaDyAt || ĀpŚuH-_20.7aH ||
   bāhyaviśeṣābhyāṃ parigṛhṇīyāt || ĀpŚus_20.7b ||	bAhya-viSezAByAm parigRhNIyAt || ĀpŚuH-_20.7B ||
   ātmanaḥ karaṇīnāṃ sandhiṣu ṣoḍaśyo bāhyaviśeṣā upadadhyāt || ĀpŚus_20.8 ||	AtmanaH karaNInAm sanDizu zoxaSyaH bAhya-viSezAH upadaDyAt || ĀpŚuH-_20.8 ||
   catasraś catasro 'rdheṣṭakāḥ pakṣāgrayoḥ || ĀpŚus_20.9a ||	catasraH catasraH arDa-izwakAH pakza-agrayoH || ĀpŚuH-_20.9aH ||
   pakṣeṣṭakābhir udīcībhiḥ pakṣau pracchādayet || ĀpŚus_20.9b ||	pakza-izwakABiH udIcIBiH pakzO pracCAdayet || ĀpŚuH-_20.9B ||
   tisrastisro 'rdheṣṭakāḥ pucchapārśvayoḥ || ĀpŚus_20.10 ||	tisraH-tisraH arDa-izwakAH pucCa-pArSvayoH || ĀpŚuH-_20.10 ||
   avaśiṣṭaṃ ṣoḍaśībhiḥ pracchādayet || ĀpŚus_20.11a ||	avaSizwam zoxaSIBiH pracCAdayet || ĀpŚuH-_20.11aH ||
   antyā bāhyaviśeṣā anyatra pucchāt || ĀpŚus_20.11b ||	antyAH bAhya-viSezAH anyatra pucCAt || ĀpŚuH-_20.11B ||
   yac caturaśraṃ tryaśraṃ vā saṃpadyetārdheṣṭakābhiḥ pādeṣṭakābhir vā	yat caturaSram tryaSram vA saMpadyeta-arDa-izwakABiH pAda-izwakABiH vA
   pracchādayet || ĀpŚus_20.12 ||	pracCAdayet || ĀpŚuH-_20.12 ||
   aṇūkāḥ pañcadaśabhāgīyānāṃ sthāne || ĀpŚus_20.13 ||	aNUkAH paQcadaSa-BAgIyAnAm sTAne || ĀpŚuH-_20.13 ||
   vyatyāsaṃ cinuyād yāvataḥ prastārāṃś cikīrṣet || ĀpŚus_20.14 ||	vyatyAsam cinuyAt yAvataH prastArAn cikIrzet || ĀpŚuH-_20.14 ||
   kaṅkacid alajacid iti śyenacitā vyākhyātau || ĀpŚus_21.1 ||	kaFkacid alajacit iti Syena-citA vyAKyAtO || ĀpŚuH-_21.1 ||
   evami va hi śyenasya varṣīyāṃsau pakṣau pucchād vakrau saṃnataṃ pucchaṃ	evami va hi Syenasya varzIyAMsO pakzO pucCAt vakrO saMnatam pucCam
   dīrgha ātmā maṇḍalaṃ śiraś ca | tasmāc chrutisāmarthyāt || ĀpŚus_21.2a ||	dIrGaH AtmA maNxalam SiraH ca | tasmAt Sruti-sAmarTyAt || ĀpŚuH-_21.2aH ||
   aśirasko vānāmnānāt || ĀpŚus_21.2b ||	aSiraskaH vAnAmnAnAt || ĀpŚuH-_21.2B ||
   jñāyate ca | kaṅkacitaṃ śīrṣaṇvantaṃ cinvīta yaḥ kāmayeta saśīrṣo 'muṣmiṃl	jQAyate ca | kaFka-citam SIrzaNvantam cinvIta yaH kAmayeta sa-SIrzaH amuzmin=-
   loke saṃbhaveyam iti vidyamāne kathaṃ brūyāt || ĀpŚus_21.3 ||	loke saMBaveyam iti vidyamAne kaTam brUyAt || ĀpŚuH-_21.3 ||
   prākṛtau vakrau pakṣau saṃnataṃ pucchaṃ vikāraśravaṇāt || ĀpŚus_21.4a ||	prAkRtO vakrO pakzO saMnatam pucCam vikAra-SravaNAt || ĀpŚuH-_21.4aH ||
   yathāprakṛty ātmāvikārāt || ĀpŚus_21.4b ||	yaTA-prakRti Atma-avikArAt || ĀpŚuH-_21.4B ||
   yatho etac cheyanacitaṃ cinvīteti | yāvadāmnānasārūpyaṃ tad vyākhyātam ||	yaTaH etat Ceyana-citam cinvIta-iti | yAvat-AmnAnasa-ArUpyam tat vyAKyAtam ||
   ĀpŚus_21.5 ||	ĀpŚuH-_21.5 ||
   tristāvo 'gnir bhavatīty aśvamedhe vijñāyate || ĀpŚus_21.6 ||	tris-tAvaH agniH Bavati-iti aSvameDe vijQAyate || ĀpŚuH-_21.6 ||
   tatra sarvābyāso 'viśeṣāt || ĀpŚus_21.7 ||	tatra sarva-abyAsaH aviSezAt || ĀpŚuH-_21.7 ||
   dīrghacaturaśrāṇāṃ samāsena pakṣapucchānāṃ samāsa uktaḥ || ĀpŚus_21.8 ||	dIrGa-caturaSrANAm samAsena pakza-pucCAnAm samAse uktaH || ĀpŚuH-_21.8 ||
   ekaviṃśo 'gnirbhavatīty aśvamedhe vijñāyate || ĀpŚus_21.9 ||	ekaviMSaH agniH-Bavati-iti aSvameDe vijQAyate || ĀpŚuH-_21.9 ||
   tatra puruṣābhyāso nāratniprādeśānāṃ saṅkhyāsaṃyogāt saṅkhyāsaṃyogāt ||	tatra puruza-aByAsaH na-aratni-prAdeSAnAm saFKyA-saMyogAt saFKyA-saMyogAt ||
   ĀpŚus_21.10 ||	ĀpŚuH-_21.10 ||
