   śikṣāsamuccaye caturthaḥ paricchedaḥ ||	SikzA-samuccaye caturTaH paricCedaH ||
   ni cakrāṇi śarīraṃ prāpya bhramanti |	ni cakrANi SarIram prApya Bramanti |
   pe ||	pe ||
   pratyekaṃ sarvâṅgāni pramathnanto dahanti pādatale câsya	pratyekam sarvâFgAni pramaTnantaH dahanti pAda-tale câsya
   śaṅkubhir bhidyete |	SaFkuBiH Bidyete |
   evaṃ makkoṭakaparvate |	evam makkowaka-parvate |
   mākkoṭakaiḥ prāṇijātibhiḥ sântarvahiḥparamâṇuśaḥ	mAk-kowakEH prANi-jAtiBiH sântaru-ahiH-paramâNuSas-
   prabhakṣyate |	praBakzyate |
   bhukto bhuktaḥ punar api saṃjāyate sukumārataraḥ |	BuktaH BuktaH punar api saMjAyate sukumArataraH |
   sukumāratayā bhūyo 'py ādhikatarāṃ vedanām anubhavati |	sukumAra-tayA BUyas api ADikatarAm vedanAm anuBavati |
   bhuktabhuktasya prabhūtataram evâsya tvaṅmāṃsaṃ prādurbhavati |	Bukta-Buktasya praBUtataram eva-asya tvac-mAMsam prAdurBavati |
   tasya prāṇâtipātakṛtôpacitasya tatphalaṃ bhavati ||	tasya prANâtipAta-kRtô-pacitasya tad-Palam Bavati ||
   adattâdānavipākam āha |	adattâ-dAna-vipAkam Aha |
   sâiṣa duṣkṛtakarmântacārī	sâiza duzkRta-karmânta-cArI
   ālātacakranirmāṇagandharvanagaramṛgatṛṣṇikāsadṛśaṃ mahad arthajātaṃ	AlAta-cakra-nirmANa-ganDarvanagara-mRgatRzNikA-sadRSam mahat arTa-jAtam
   paśyati ratnavastradhanadhānyanikarabhūtaṃ |	paSyati ratna-vastra-Dana-DAnya-nikara-BUtam |
   tasyâivaṃ lobhâbhibhūtasya karmaṇā mohitasyâivaṃ bhavati |	tasyâivam loBâBiBUtasya karmaNA mohitasyâivam Bavati |
   mamêdam iti |	mamêdam iti |
   sâivaṃ mohitaḥ pāpakārī prajvalitâṅgārakarṣūr laṅghayitvā	sâivam mohitaH pApa-kArI prajvalitâFgAra-karzUH laFGayitvA
   taddraviṇam anudhāvati |	tad-draviNam anuDAvati |
   sa karmakṛtair yamapuruṣair gṛhyate	sa karma-kRtEH yama-puruzEH gRhyate
   [ Cambridge MS f42a ---> ]	[ Cambridge M f42aH ---> ]
   śastrajālamadhyagataḥ	Sastra-jAla-maDya-gataH
   sarvâṅgapratyaṅgaśaḥ pāṭyate viśasyate dahyate 'sthyavaśeṣaḥ	sarvâFga-pratyaFgaSaH pAwyate viSasyate dahyate asTi-avaSezaH
   kriyate |	kriyate |
   na câsyânādikālapravṛttaḥ sa lobhas tām apy avasthāṃ gatasya parihīyatae	na câsyânAdi-kAla-pravRttaH sa loBaH tAm api avasTAm gatasya parihIyatae
   iti ||	iti ||
   kāmamithyâcāram adhikṛtyâha |	kAma-miTyâcAram aDikRtyâha |
   eṣa sa pāpakartā tasmāc chastrasaṅkaṭān muktaḥ kathamapy aṅgārakarṣūr	eza sa pApa-kartA tasmAt Sastra-saFkawAt muktaH kaTam-api aFgAra-karzUH-
   laṅghayitvā karmaṇā bhrāmitaḥ pradeśam anyaṃ prapadyate |	laFGayitvA karmaNA BrAmitaH pradeSam anyam prapadyate |
   vitathadarśanaṃ nāma tatra karmakṛtāṃ striyaṃ paśyati yā tena	vitaTa-darSanam nAma tatra karma-kRtAm striyam paSyati yA tena
   pūrvaṃ naṣṭasmṛtinā dṛṣṭā |	pUrvam nazwa-smRtinA dRzwA |
   dṛṣṭvā cânādikālâbhyasto rāgâgnir utpadyate |	dRzwvA cânAdi-kAlâByaH-taH rAgâgniH utpadyate |
   sa tena dhāvati yena tā striyaḥ |	sa tena DAvati yena tA striyaH |
   tāś câyomayyo nāryaḥ karmakṛtāḥ |	tAH câyaH-mayyaH nAryaH karma-kRtAH |
   tābhir asau gṛhyate |	tABiH asO gRhyate |
   gṛhītvā câuṣṭhāt prabhṛti tathā bhujyate yathâsya	gRhItvA câuzWAt praBRti taTA Bujyate yaTâsya
   sarṣapaphalamātrapramāṇam api nâvaśiṣṭaṃ |	sarzapa-Pala-mAtra-pramANam api nâvaSizwam |
   tasmiñ śarīre bhavati |	tasmin SarIre Bavati |
   punar api saṃbhavati |	punar api saMBavati |
   punar api bhujyate |	punar api Bujyate |
   sa kaṭukāṃ kharāṃ vedanām anubhavaṃs tasmād rāgâgner na	sa kawukAm KarAm vedanAm anuBavan tasmAt rAgâgneH na
   nivartate |	nivartate |
   yena tā striyas tena bhūyaḥ saḥ saṃdhāvati |	yena tA striyaH tena BUyas saH saMDAvati |
   na câsya tatpīḍā ta-	na ca-asya tad-pIxA ta-
   [ Bendall ed p72 ---> ]	[ Bet-dalt ed p72 ---> ]
   thā bādhate yathā rāgâgniḥ |	TAH bADate yaTA rAgâgniH |
   atha tā striyo bhūyo vajramayâyomayaprajvalitagātrās taṃ manuṣyam ādāya	aTa tAH striyaH BUyas vajra-mayâyaH-maya-prajvalita-gAtrAH tam manuzyam AdAya
   jvālāmālâkulasarvaśarīrās taṃ nārakeyaṃ siktāmuṣṭivad bhindanti |	jvAlA-mAlâkula-sarva-SarIrAH tam nArakA-iyam sikta-amuzwi-vat Bindanti |
   punar api saṃbhavatîti pūrvavat ||	punar api saMBavatîti pUrvavat ||
   pe ||	pe ||
   striyo mūlam apāyasya dhananāśasya sarvathā |	striyaH mUlam apAyasya Dana-nASasya sarvaTA |
   strīvidheyā narā ye tu kutas teṣāṃ bhavet sukham ||	strI-viDeyAH narAH ye tu kutas tezAm Bavet suKam ||
   pe ||	pe ||
   yāvat |	yAvat |
   strī vināśo vināśānām iha loke paratra ca |	strI vinASaH vinASAnAm iha loke paratra ca |
   tasmāt striyo vivarjyāḥ syur yadîcchet sukham ātmanêti ||	tasmAt striyaH vivarjyAH syuH yat-îcCet suKam Atmanêti ||
   mṛṣāvādam adhikatyâha |	mRzAvAdam aDikatyâha |
   sa tair yamapuruṣair gṛhyate gṛhītvā ca tanmukhaṃ vidārayanti	sa tEH yama-puruzEH gRhyate gRhItvA ca tad-muKam vidArayanti
   tasmāj jihvām apakarṣayanti |	tasmAt jihvAm apakarzayanti |
   sā ca jihvā karmavaśāt pañcayojanaśatapramāṇā bhavati |	sA ca jihvA karma-vaSAt paQca-yojana-Sata-pramANA Bavati |
   tasya mṛṣāvādasya balena	tasya mRzAvAdasya balena
   [ Cambridge MS f42b ---> ]	[ Cambridge M f42B ---> ]
   tasyāś ca sahanirgamanakāle te	tasyAH ca saha-nirgamana-kAle te
   yamapuruṣā bhūmāv ānāhayanti pradīptâyomayyāṃ |	yama-puruzAH BUmO AnAhayanti pradIptâyaH-mayyAm |
   karmakṛtaṃ ca halasahasraṃ prādurbhavati pradīptâgrasaṃyuktaṃ balavadbhir	karma-kRtam ca hala-sahasram prAdurBavati pradIptâgra-saMyuktam balavadBiH-
   balīvardais tad asyântargataṃ jihvāyāṃ vahati |	balIvardEH tat asyântargatam jihvAyAm vahati |
   tatra pūyarudhirakṛmiśrāviṇyo nadyaḥ pravahanti ||	tatra pUya-ruDira-kRmi-SrAviNyaH nadyaH pravahanti ||
   pe ||	pe ||
   sā ca jihvā tathā sukumārā yathā devānām akṣi ||	sA ca jihvA taTA sukumArAH yaTA devAnAm akzi ||
   yāvat sa vedanātas tanati krandati vikrośati na câsya tadduḥkhaṃ kaścid	yAvat sa vedanAtas tanati krandati vikroSati na ca-asya tad-duHKam kaScid-
   apanayatîti vistaraḥ |	apanayatîti vistaraH |
   tasyâivaṃ pracaṇḍām vedanām anubhavato 'nekāni	tasyâivam pracaNxAm vedanAm anuBavataH anekAni
   varṣaśatasahasrāṇi sā ca jihvā kṛṣyate |	varza-Sata-sahasrANi sA ca jihvA kRzyate |
   sā kathañcit tasya nārakasya mukhe praviśati |	sA kaTaQcid tasya nArakasya muKe praviSati |
   sa bhayavihvalavadano yena vā tena vā niḥpalāyate 'ṅgārakarṣūṣu	sa Baya-vihvala-vadanaH yena vA tena vA niHpalAyate aFgAra-karzUzu
   dahyamāno nimajjan |	dahyamAnaH nimajjan |
   tasyâivaṃ duḥkhârttasyâśaraṇasyâparā-	tasyâivam duHKârttasyâSaraNasi-âparA-
   [ Bendall ed p73 ---> ]	[ Bet-dalt ed p73 ---> ]
   yaṇasya punar api	yaNasya punar api
   yamapuruṣāḥ prādurbhavanti mudgarâsipāṇayaḥ |	yama-puruzAH prAdurBavanti mudga-râsi-pANayaH |
   te taṃ puruṣaṃ mastakāt prabhṛti yāvat pādau cūrṇayantîty ādi ||	te tam puruzam mastakAt praBRti yAvat pAdO cUrNayantîti Adi ||
   paiśunyavipākas tu yathâiva mṛṣāvādasya trīṇi yojanaśatāni	pESunya-vipAkaH tu yaTâiva mRzAvAdasya trINi yojana-SatAni
   jihvêti viśeṣas tu |	jihvêti viSezaH tu |
   tāṃ yamapuruṣā nistriṃśān ādāya pradīptadhārān jihvāṃ nikṛntanti |	tAm yama-puruzAH nistriMSAn AdAya pradIpta-DArAn jihvAm nikRntanti |
   jambukaiś cânysamin pradeśe bhakṣyate |	jambukEH cânysamin pradeSe Bakzyate |
   paramakaṭukāṃ vedanāṃ prativedayate sa krandati vikrośaty avyaktâkṣaraṃ	parama-kawukAm vedanAm prativedayate sa krandati vikroSati avyaktâ-kzaram
   jihvāvirahitêty ādi ||	jihvA-virahitêti Adi ||
   pāruṣyavipākam āha |	pAruzya-vipAkam Aha |
   te tāṃ jihvām āsyaṃ vidārya gṛhṇanti |	te tAm jihvAm Asyam vidArya gRhNanti |
   gṛhītvā niśitadhāraiḥ śastraiś chittvā tasya bhūyâiva	gRhItvA niSita-DArEH SastrEH CittvA tasya BUyâiva
   khādanīyârthena mukhe prakṣipanti |	KAdanIyârTena muKe prakzipanti |
   sa ca jighansârditaḥ kṣutkṣāmavadanaḥ	sa ca jiGansârditaH kzuD-kzAma-vadanaH
   svarudhiralālāparisrutāṃ tām eva svajihvāṃ bhakṣayati |	sva-ruDira-lAlA-parisrutAm tAm eva sva-jihvAm Bakzayati |
   sā ca jihvā chinnā punar api saṃjāyate karmavaśāt |	sA ca jihvA CinnA punar api saMjAyate karma-vaSAt |
   atha sa bhūmau vedanârttaḥ pari-	aTa sa BUmO vedanârttaH pari-
   [ Cambridge MS f43a ---> ]	[ Cambridge M f43aH ---> ]
   vartate viceṣṭate krandate |	vartate vicezwate krandate |
   tasyâivaṃ vedanârttasya parivṛttanayanatārakasya	tasyâivam vedanârttasya parivRtta-nayana-tArakasya
   duṣkhârttasya dīnasyâsahāyasyâikākinaḥ svakṛtam	duzKârttasya dInasyâsahAyasyâikAkinaH sva-kRtam
   upabhuñjānasya yamapuruṣânuśāsanīgāthāṃ bhāṣante ||	upaBuQjAnasya yama-puruzânuSAsanI-gATAm BAzante ||
   jihvādhanor vinirmuktas tīkṣṇo vāg viśikhas tvayā |	jihvA-DanoH vinirmuktaH tIkzNaH vAc viSiKaH tvayA |
   pāruṣyam iti yad dṛṣṭaṃ tasyâitat phalam āgatam ||	pAruzyam iti yat dRzwam tasyâitat Palam Agatam ||
   iti vistaraḥ ||	iti vistaraH ||
   saṃbhinnapralāpavipākam āha ||	saMBinna-pralApa-vipAkam Aha ||
   tasya tat prajvalitaṃ tāmradravalohitaṃ jihvāṃ dahati |	tasya tat prajvalitam tAmra-drava-lohitam jihvAm dahati |
   jihvāṃ dagdhvā kaṇṭhaṃ dahati |	jihvAm dagDvA kaNWam dahati |
   kaṇṭhaṃ dagdhvā hṛdayaṃ dahati hṛdayaṃ dagdhvântrāṇi dahati |	kaNWam dagDvA hRdayam dahati hRdayam dagDvântrANi dahati |
   tāny api dagdhvā pakvâśayaṃ dahati |	tAni api dagDvA pakvâSayam dahati |
   pakvâśayam api dagdhvâdhobhāgena nirgacchati ||	pakvâSayam api dagDvâDoBAgena nirgacCati ||
   yamapuruṣā gāthām āhuḥ |	yama-puruzAH gATAm AhuH |
   [ Bendall ed p74 ---> ]	[ Bet-dalt ed p74 ---> ]
   pūrvôttarâbaddhapadaṃ nirarthakam asaṃgatam |	pUrvôttarâ-badDa-padam nirarTakam asaMgatam |
   abaddhaṃ yat tvayā proktaṃ tasyâitat phalam āgataṃ ||	abadDam yat tvayA proktam tasyâitat Palam Agatam ||
   yā na [[DOUBT]] satyavatī nityaṃ na câdhyayanatatparā |	yA na [[DOUBT]] satyavatI nityam na câDyayana-tatparA |
   na sā jihvā budhair dṛṣṭā kevalaṃ māṃsakhaṇḍikā |	na sA jihvA buDEH dRzwA kevalam mAMsa-KaNxikA |
   iti vistaraḥ ||	iti vistaraH ||
   abhidhyāvipākam āha |	aBiDyA-vipAkam Aha |
   atha paśyati riktaṃ tuccham asārakaṃ karmakṛtaṃ bahudraviṇaṃ	aTa paSyati riktam tucCam asArakam karma-kRtam bahu-draviNam
   paraparigṛhītaṃ tasya karmacoditavyāmohitasyâivaṃ bhavati |	para-parigRhItam tasya karma-codita-vyAmohitasyâivam Bavati |
   mamêdaṃ syād iti |	mamêdam syAt iti |
   tataḥ sa nārakas tenâiva dhāvati yena tad dravyaṃ |	tatas sa nArakaH tenâiva DAvati yena tat dravyam |
   tasyâbhidhyâkhyamānasasyâkuśalasyâsevitabhāvitabahulīkṛtasya tatphalaṃ yad	tasyâBiDi-âKyamAna-sasyâ-kuSalasyâsevita-BAvita-bahulIkRtasya tad-Palam yat-
   asau narake viparītaṃ paśyati |	asO narake viparItam paSyati |
   tasyâivaṃ paśyato 'bhidhyābahulasya haste śastraṃ prādurbhavati sa tena	tasyâivam paSyataH aBiDyA-bahulasya haste Sastram prAdurBavati sa tena
   dhāvati |	DAvati |
   teṣām apy anyeṣāṃ nārakāṇāṃ haste śastrāṇi prādurbhavanti |	tezAm api anyezAm nArakANAm haste SastrANi prAdurBavanti |
   sa taiḥ saha śastreṇa yudhyate yāvat tathā kartyate yathā	sa tEH saha SastreNa yuDyate yAvat taTA kartyate yaTA
   sarṣapaphalamātram api na bhavati māṃsam asya śarīre	sarzapa-Pala-mAtram api na Bavati mAMsam asya SarIre
   tathâsthikaṅkālâvaśeṣaḥ kriyate ||	taTâsTi-kaFkAlâ-vaSezaH kriyate ||
   pe ||	pe ||
   pareṣāṃ sampa ...	parezAm sampa ...
   [ Cambridge MS f43b ---> ]	[ Cambridge M f43B ---> ]
   mama syād iti cintitaṃ |	mama syAt iti cintitam |
   tasyâbhidhyāsamutthasya viṣasya phalam āgatam iti ||	tasyâBiDyA-samutTasya vizasya Palam Agatam iti ||
   vyāpādaphalam āha |	vyApAda-Palam Aha |
   karmamayāḥ siṃhavyāghrasarpāḥ krodhâbhibhūtāḥ puratas tiṣṭhante |	karma-mayAH siMha-vyAGra-sarpAH kroDâBiBUtAH puratas tizWante |
   etebhyo bhayabhīto yena vā tena vā niḥpalāyate |	eteByaH Baya-BItaH yena vA tena vA niHpalAyate |
   sa kathaṃ śaknoti palāyitum aśubhasya karmaṇaḥ |	sa kaTam Saknoti palAyitum aSuBasya karmaNaH |
   sa tair gṛhyate |	sa tEH gRhyate |
   gṛhītvā ca pūrvaṃ tāvan mastakād bhujyate yāvat pārśvataḥ	gRhItvA ca pUrvam tAvat mastakAt Bujyate yAvat pArSvatas-
   sarpair viṣadaṃṣṭraiḥ saṃdaśya saṃdaśya bhakṣyate |	sarpEH viza-daMzwrEH saMdaSya saMdaSya Bakzyate |
   vyāghrair api pṛṣṭhato bhakṣyate |	vyAGrEH api pRzWatas Bakzyate |
   pādāv api vahninā dāhyete sa yamapuruṣair dūrād iṣubhir vidhyatae iti	pAdO api vahninA dAhyete sa yama-puruzEH dUrAt izuBiH viDyatae iti
   vistaraḥ ||	vistaraH ||
   [ Bendall ed p75 ---> ]	[ Bet-dalt ed p75 ---> ]
   mithyādṛṣṭiphalaṃ punar aparimitaṃ |	miTyA-dRzwi-Palam punar aparimitam |
   pāṭhas tu saṃkṣipyate |	pAWaH tu saMkzipyate |
   śastravarṣatomaravajravarṣâśanipāṣāṇavarṣe hanyate |	Sastra-varza-tomara-vajra-varzâ-Sani-pAzANa-varze hanyate |
   ekādaśabhir arcciskandhaiḥ kṣutpipāsâgninā ca sukhanirgatena	ekAdaSaBiH arcci-skanDEH kzuD-pipAsâgninA ca suKa-nirgatena
   nirantaraṃ dahyatae iti ||	nirantaram dahyatae iti ||
   kāmamūlāś ca sarvânarthêti tebhyâivôdvejitavyaṃ |	kAma-mUlAH ca sarvânarTêti teByâivô-dvejitavyam |
   yathâtrâivâha |	yaTâtrâivâha |
   asty agnikuṇḍo nāma narakaḥ |	asti agnikuNxaH nAma narakaH |
   tatra katareṇa karmaṇā satvôpapadyante |	tatra katareNa karmaNA satvôpapadyante |
   yenâśramaṇena śramaṇapratijñena mātṛgrāmasya nṛttagītasyâbharaṇānāṃ vā	yenâSramaNena SramaNa-pratijQena mAtR-grAmasya nRtta-gItasyâBaraNAnAm vA
   śabdaṃ śrutvâyoniśena manaskāreṇâkṣiptabuddhinā tac chrutvā	Sabdam Srutvâ-yoniSena manaskAreNâkzipta-budDinA tat SrutvA
   hasitalaḍitakrīḍitāny aśucim	hasita-laxita-krIxitAni aSucim
   uktaṃ ||	uktam ||
   pe ||	pe ||
   tatra te nārakâyovarṣeṇa sarvâṅgapratyaṅgaśaś cūrṇyante 'ṅgāravarṣeṇa ca	tatra te nArakâyaH-varzeNa sarvâFga-pratyaFgaSas cUrNyante aFgAra-varzeNa ca
   pacyante dahyantae ity ādi |	pacyante dahyantae iti Adi |
   evaṃ paurāṇakāmâsvādanasmaraṇāt padumo nāma narakaḥ	evam pOrANa-kAmâsvAdana-smaraNAt padumaH nAma narakaH
   paṭhyate svapnântabhūtasmaraṇāc ca |	paWyate svapnânta-BUta-smaraNAt ca |
   tatra te nārakāḥ kumbhiṣu pacyante |	tatra te nArakAH kumBizu pacyante |
   te droṇiṣv ayomayair muṣalair hanyantae iti vistaraḥ ||	te droNizu ayaH-mayEH muzalEH hanyantae iti vistaraH ||
   evam apsarasaḥ prārthanayā brahmacaryapariṇāmanān mahāpadumo nāma	evam apsarasaH prArTanayA brahmacarya-pariNAmanAt mahApadumaH nAma
   narakôktaḥ |	nara-kôktaH |
   tatra kṣāranadītaraṅginī nāma pravahati |	tatra kzAranadItaraFginI nAma pravahati |
   tasyāṃ nadyāṃ yāny asthīni te pāṣāṇāḥ |	tasyAm nadyAm yAni asTIni te pAzANAH |
   yac che-	yat Ce-
   [ Cambridge MS f44a ---> ]	[ Cambridge M f44aH ---> ]
   vālaṃ te keśāḥ |	vAlam te keSAH |
   yaḥ paṅkas tan māṃsaṃ |	yaH paFkaH tat mAMsam |
   yâpaḥ tat kathitaṃ tāmraṃ |	yâpaH tat kaTitam tAmram |
   ye matsyās te nārakêty ādi ||	ye matsyAH te nArakêti Adi ||
   evaṃ puruṣasya puruṣeṇa saha maithunavipratipatteḥ aprameyâkāraṇā viśeṣāḥ	evam puruzasya puruzeNa saha mETuna-vipratipatteH aprameyâ-kAraNAH viSezAH
   paṭhyante |	paWyante |
   evaṃ śiśubhiḥ saha vipratipatteḥ kṣāranadyām uhyamānān dārakān	evam SiSuBiH saha vipratipatteH kzAra-nadyAm uhyamAnAn dArakAn
   paśyati |	paSyati |
   te taṃ vilapanti |	te tam vilapanti |
   sa tāṃ nadīm avagāhate |	sa tAm nadIm avagAhate |
   teṣu bālakeṣu tīvrasnehapratibandhaśokaduṣkhavegāt |	tezu bAlakezu tIvra-sneha-pratibanDa-Soka-duzKa-vegAt |
   evaṃ govaḍavâjâiḍakâdiṣu prakṛtisâvadyaḥ	evam go-vaxa-vâjâixakâdizu prakRti-sâvadyaH
   kāmamithyâcāraḥ kharataravipākaḥ paṭhyate |	kAmamiTyâcAraH Karatara-vipAkaH paWyate |
   tāsām eva govaḍavâdīnāṃ taptâyomayīnāṃ akuśalanirmitānāṃ yonimārgeṇa sa	tAsAm eva govaxa-vâdInAm taptâyaH-mayInAm akuSala-nirmitAnAm yoni-mArgeNa sa
   tiryakkāmasevī praviśati |	tiryakkAma-sevI praviSati |
   sa tāsā-	sa tAsA-
   [ Bendall ed p76 ---> ]	[ Bet-dalt ed p76 ---> ]
   m udare pradīptâṅgāranikaraparipūrṇe svidyate pacyate	m udare pradIptâFgAra-nikara-paripUrNe svidyate pacyate
   bahūni varṣaśatasahasrāṇîti vistareṇa draṣṭavyaṃ ||	bahUni varza-Sata-sahasra-aNîti vistareNa drazwavyam ||
   evam anyanāśitāsv api bhikṣuṇīṣu vipratipannānāṃ mahānarakapātanāḥ	evam anya-nASitAsu api BikzuNIzu vipratipannAnAm mahA-naraka-pAtanAH
   paṭhyante |	paWyante |
   evaṃ svastrīṣv apy ayonimārgeṇa gacchataḥ |	evam svastrIzu api ayoni-mArgeNa gacCataH |
   evaṃ prasahyânītāsv api parastrīṣu labdhāsu ca kanyāsu |	evam prasahyânItAsu api para-strIzu labDAsu ca kanyAsu |
   evam upavāsasthāsu evaṃ gurūṇāṃ patnīṣu	evam upavAsa-sTAsu evam gurUNAm patnIzu
   jñātiśabdamānitāsu ca vipratipatteḥ tīvrāś câparimāṇāś ca	jQAti-Sabda-mAnitAsu ca vipratipatteH tIvrAH câ-parimANAH ca
   mahānarakapātanāḥ paṭhyante ||	mahAnaraka-pAtanAH paWyante ||
   saptamaithunasaṃyuktasūtre 'py āha |	sapta-mETuna-saMyukta-sUtre api Aha |
   iha brāhmaṇâikatyo brahmacāriṇam ātmānaṃ pratijāṇīte |	iha brAhmaNâikatyaH brahmacAriNam AtmAnam pratijANIte |
   sa nêhâiva mātṛgrāmeṇa sārddhaṃ dvayaṃ samāpadyate 'pi tu	sa nêhâiva mAtR-grAmeNa sArdDam dvayam samApadyate api tu
   mātṛgrāmaṃ cakṣuṣā rūpaṃ nidhyāyan paśyati |	mAtR-grAmam cakzuzA rUpam niDyAyan paSyati |
   sa tadā svādayati adhyavasyati adhyavasāya tiṣṭhati |	sa tadA svAdayati aDyavasyati aDyavasAya tizWati |
   ayam ucyate brāhmaṇa brahmacārī saṃyukto maithunena dharmeṇa na	ayam ucyate brAhmaNa brahmacArI saMyuktaH mETunena DarmeNa na
   visaṃyuktaḥ |	visaMyuktaH |
   apariśuddhaṃ brahmacaryaṃ carati ||	apariSudDam brahmacaryam carati ||
   evaṃ mātṛgrāmeṇa sārddhaṃ saṃkrīḍataḥ saṃkilikilāyamānasya	evam mAtR-grAmeNa sArdDam saMkrIxataH saMkili-kilAyamAnasya
   [ Cambridge MS f44b ---> ]	[ Cambridge M f44B ---> ]
   āsvādayataḥ apariśuddhaṃ brahmacaryam uktaṃ |	AsvAdayataH apariSudDam brahmacaryam uktam |
   evaṃ mātṛgrāmâpasthānam āsvādayataḥ |	evam mAtR-grAmâpasTAnam AsvAdayataH |
   evaṃ tiraḥkuḍyagatasya tiroduṣyagatasya vā mātṛgrāmasya	evam tiras-kuxya-gatasya tiras-duzya-gatasya vA mAtR-grAmasya
   nṛttagītâdiśabdam āsvādayato maithunasaṃyogam ity uktam |	nRtta-gItâdiSabdam AsvAdayataH mETuna-saMyogam iti uktam |
   evaṃ pañcakāmaguṇasamarpitaṃ param avalokyâsvādayataḥ ||	evam paQca-kAma-guNa-samarpitam param avalokyâsvAdayataH ||
   evaṃ devâdisthāneṣu brahmacaryapariṇāmanāt saṃyukto maithunena	evam devâdi-sTAnezu brahmacarya-pariNAmanAt saMyuktaH mETunena
   dharmeṇa na visaṃyuktêti ||	DarmeNa na visaMyuktêti ||
   yataś câite kāmâivaṃ smaraṇaprārthanāviṣayam api gatâivam	yatas câite kAmâivam smaraNa-prArTanA-vizayam api gatâivam
   anarthakarās tenâiva kāmâpavādakasūtre 'bhihitam |	anarTa-karAH tenâiva kAmâpavAdaka-sUtre aBihitam |
   nivāraya bhikṣo cittaṃ kāmebhyaḥ |	nivAraya Bikzo cittam kAmeByaH |
   sabhayaś câiṣa mārgaḥ sapratibhayaḥ sakaṇṭakaḥ sagahanaḥ	sa-BayaH câiza mArgaH sa-pratiBayaH sa-kaNwakaH sa-gahanaH
   unmārgaḥ kumārgo vedanāpathaḥ |	unmArgaH kumArgaH vedanA-paTaH |
   asatpuruṣasaṃsevitaḥ |	asat-puruza-saMsevitaH |
   nâiṣa mārgaḥ satpuruṣasaṃsevitaḥ |	nâiza mArgaH sat-puruza-saMsevitaH |
   na tvam evaṃ cintayasi |	na tvam evam cintayasi |
   kasmāt alpâsvādāḥ kāmôktā bhagavatā |	kasmAt alpâsvAdAH kAmôktA BagavatA |
   bahuduṣkhabahûpa-	bahu-duzKa-bahûpa-
   [ Bendall ed p77 ---> ]	[ Bet-dalt ed p77 ---> ]
   dravā bahûpāyāsā |	dravAH bahûpAyAsAH |
   ādīnavo 'tra bhūyān |	AdInavaH atra BUyAn |
   rogo bhikṣavaḥ kāmā gaṇḍaḥ śalyamadyamadyamūlam	rogaH BikzavaH kAmAH gaNxaH Salya-madya-madya-mUlam
   āmiṣavaḍisaṃ mṛtyur anityāḥ kāmās tucchāḥ	Amiza-vaxisam mRtyuH anityAH kAmAH tucCAH
   mṛṣāmoṣadharmiṇaḥ svapnôpamāḥ kāmāḥ |	mRzAmoza-DarmiNaH svapnô-pamAH kAmAH |
   kim apy ete bālôllāpanāḥ ||	kim api ete bAlôllApanAH ||
   pe ||	pe ||
   yathā mṛgāṇāṃ bandhanāya kūṭaṃ dvijānāṃ bandhanāya	yaTA mRgANAm banDanAya kUwam dvijAnAm banDanAya
   jālaṃ |	jAlam |
   matsyānāṃ bandhanāya kupinaṃ |	matsyAnAm banDanAya kupinam |
   markaṭānāṃ bandhanāya lepaḥ pataṅgānāṃ bandhanāyâgniskandhaḥ |	markawAnAm banDanAya lepaH pataFgAnAm banDanAyâgni-skanDaH |
   evaṃ kāmāḥ ||	evam kAmAH ||
   pe ||	pe ||
   kāmaparyeṣaṇāṃ carato dīrgharātraṃ siṃhānāṃ mukhe	kAma-paryezaNAm carataH dIrGarAtram siMhAnAm muKe
   parivartitasyânto na prajñāyate |	parivartitasyântaH na prajQAyate |
   yāvad goghātakānāṃ gavâsanānāṃ mukhe parivartitasyânto na	yAvat go-GAtakAnAm gavâsanAnAm muKe parivartitasyântaH na
   prajñāyate |	prajQAyate |
   yāvan maṇḍūkānāṃ satāṃ sarpāṇāṃ mukhe parivartitasyânto na prajñāyate |	yAvat maNxUkAnAm satAm sarpANAm muKe parivartitasyântaH na prajQAyate |
   dīrgharātraṃ kāmān pratisevamānānāṃ corêti kṛtvā	dIrGarAtram kAmAn pratisevamAnAnAm corêti kRtvA
   gṛhītānāṃ śiraśchinnānām anto na prajñāyate |	gRhItAnAm SiraH-CinnAnAm antaH na prajQAyate |
   pā-	pA-
   [ Cambridge MS f45a ---> ]	[ Cambridge M f45aH ---> ]
   radārikāḥ pāripanthikā grāmaghātakā janapadaghātakā yāvad granthimocakêti	radArikAH pAripanTikA grAma-GAtakAH janapada-GAtakAH yAvat granTimocakêti
   kṛtvā gṛhītānāṃ śiraśchinnānām	kRtvA gRhItAnAm SiraH-CinnAnAm
   anto na prajñāyate |	antaH na prajQAyate |
   duṣkhaṃ tīvraṃ kharaṃ kaṭukam anubhūtaṃ rudhiraṃ prasyanditaṃ pragharitaṃ	duzKam tIvram Karam kawukam anuBUtam ruDiram prasyanditam praGaritam
   yac caturṣu mahāsamudreṣûdakāt	yat caturzu mahA-samudra-izûdakAt
   prabhūtataraṃ ||	praBUtataram ||
   pe ||	pe ||
   kāyo hy ayaṃ bahvādīnavaḥ |	kAyaH hi ayam bahu-AdInavaH |
   asthisaṃghātaḥ snāyusaṃbaddho māṃsenânuliptaḥ carmaṇā	asTi-saMGAtaH snAyu-saMbadDaH mAMsenânuliptaH carmaNA
