   Pāṇḍulohitakavastu	PANxu-lohitakavaH-tu
   uttara iti nāmadheyaṃ vyvasthāpitaṃ / sa unnīyate vardhate kṣīreṇa dadhnā	uttaraH iti nAmaDeyam vyvasTApitam / saH unnIyate varDate kzIreNa daDnA
   navanītena sarpiṣā sarpirmaṇḍenānyaiś cottaptottaptair upakaraṇaviśeṣair	navanItena sarpizA sarpiH-maNxena-anyEH ca-uttapta-uttaptEH upakaraNa-viSezEH-
   āśur vardhyate hradastham iva paṃkajaṃ / sa yadā mahān saṃvṛttas tadā	ASuH varDyate hrada-sTam iva paMkajam / sa yadA mahAn saMvRttaH tadA
   lipyām upanyastaḥ saṃkhyāyāṃ gaṇanāyāṃ mudrāyāṃ uddhāre nyāse niḥkṣepe	lipyAm upanyastaH saMKyAyAm gaNanAyAm mudrAyAm udDAre nyAse niHkzepe
   lipyāḥ pāraṃ gataḥ / ugdhāṭako vācakaḥ paṇḍitaḥ paṭupracāro 'ṣṭāsu	lipyAH pAram gataH / ugDAwakaH vAcakaH paNxitaH pawu-pracAraH azwAsu
   parīkṣāsu kṛtāvī saṃvṛttaḥ / tadyathā ratnaparīkṣāyāṃ vastraparīkṣāyāṃ	parIkzAsu kRta-AvI saMvRttaH / tat-yaTA ratna-parIkzAyAm vastra-parIkzAyAm
   vastraparīkṣāyāṃ dāruparīkṣāyāṃ hastiparīkṣāyām aśvaparīkṣāyāṃ	vastra-parIkzAyAm dAru-parIkzAyAm hasti-parIkzAyAm aSva-parIkzAyAm
   strīparīkṣāyāṃ puruṣaparīkṣāyāṃ ca kṛtāvī saṃvṛttaḥ / yāvad asya pitā	strI-parIkzAyAm puruza-parIkzAyAm ca kRta-AvI saMvRttaH / yAvat asya pitA
   kālagataḥ / uttaro gṛhasvāmī saṃvṛttaḥ / tenāpaṇaḥ prasāritaḥ krīṇāti	kAlagataH / uttaraH gRhasvAmI saMvRttaH / tena-ApaNaH prasAritaH krINAti
   vikrīṇīte / krayavikrayeṇa jīvikāṃ kalpayati /	vikrINIte / kraya-vikrayeNa jIvikAm kalpayati /
   Pāṇḍ-v § 4.2 so 'pareṇa samayena bhagavataḥ sakāśam upasaṃkrāntaḥ / tasya	PANx-u § 4.2 saH apareNa samayena BagavataH sakASam upasaMkrAntaH / tasya
   bhagavaddarśanāt saddharmaśravaṇāc ca bhagavacchāsane prasādo jātaḥ /	Bagavat-darSanAt sat-Darma-SravaNAt ca Bagavat-SAsane prasAdaH jAtaH /
   prasādajātaś ca pravrajyābhilāṣī saṃvṛttaḥ / sa mātuḥ sakāśam upasaṃkramya	prasAda-jAtaH ca pravrajyA-aBilAzI saMvRttaH / sa mAtuH sakASam upasaMkramya
   kathayaty aṃbānujānīhi svākhyāte dharmavinaye pravrajāmīti / sā kathayati	kaTayati aMba-anujAnIhi su-AKyAte Darma-vinaye pravrajAmi-iti / sA kaTayati
   tvaṃ mamaikaputro yāvad ahaṃ jīvāmi tāvan na pravrajitavyaṃ / mṛtāyāṃ mayi	tvam mama-eka-putraH yAvat aham jIvAmi tAvat na pravrajitavyam / mRtAyAm mayi
   yatheṣṭaṃ kariṣyasīti Ś sa kathayaty aṃba samayenāhaṃ na pravrajāmi yadi	yaTezwam karizyasi-iti Ś sa kaTayati aMba samayena-aham na pravrajAmi yadi
   tvaṃ divase divase saṃghoddiṣṭakān bhikṣūn bhājayasīti / sā kathayati	tvam divase divase saMGa-uddizwakAn BikzUn BAjayasi-iti / sA kaTayati
   putra evaṃ karomīti Ś sa cottaro yat kiṃcid upārjayati tat sarvaṃ mātre	putraH evam karomi-iti Ś sa ca-uttaraH yat kiMcid upArjayati tat sarvam mAtre
   'nuprayacchati Ś ambānena śramaṇabrāhmaṇān pratipādayeti Ś sāsya mātā	anuprayacCati Ś ambAnena SramaNa-brAhmaNAn pratipAdaya-iti Ś sA-asya mAtA
   matsarī kuṭukuṃcikā āgṛhītapariṣkārā kākāyāpi baliṃ na pradātuṃ vyavasyati	matsarI kuwukuMcikA AgRhIta-parizkArA kAkAya-api balim na pradAtum vyavasyati
   prāg eva śramaṇabrāhmaṇān pratipādayiṣyati Ś ye tu śramaṇabrāhmaṇāḥ	prAk eva SramaNa-brAhmaNAn pratipAdayizyati Ś ye tu SramaNa-brAhmaNAH
   piṇḍārthinas taṃ gṛhaṃ praviśanti tān paribhāṣate tarjayati ca /	piNxa-arTinaH tam gRham praviSanti tAn pariBAzate tarjayati ca /
   pretopannā iva yūyaṃ nityaṃ paragṛhebhyo bhikṣām aṭateti / taṃ ca putraṃ	preta-upannAH iva yUyam nityam para-gRheByaH BikzAm awatA-iti / tam ca putram
   vipralaṃbhayati adya mayā iyanto bhikṣavo bhojitā iyatān	vipralaMBayati adya mayA iyantaH BikzavaH BojitAH iyatAn
   śramaṇabrāhmaṇānāṃ bhikṣā datteti Ś sā tena mātsaryeṇāsevitena bhāvitena	SramaNa-brAhmaNAnAm BikzA dattA-iti Ś sA tena mAtsaryeNa-Asevitena BAvitena
   bahulīkṛtena kālaṃ kṛtvā preteṣūpapannā / uttaro 'pi mātṛviyogād dānāni	bahulIkRtena kAlam kRtvA pretezu-upapannAH / uttaraH api mAtR-viyogAt dAnAni
   datvā puṇyāni kṛtvā svākhyāte dharmavinaye pravrajitaḥ /	datvA puNyAni kRtvA su-AKyAte Darma-vinaye pravrajitaH /
   Pāṇḍ-v § 4.3 so 'pareṇa samayena mrakṣaṣaṇḍāyāṃ vyavasthitaḥ / tam āgamya	PANx-u § 4.3 saH apareNa samayena mrakza-zaNxAyAm vyavasTitaH / tam Agamya
   mrakṣaṣaṇḍānivāsī citro gṛhapatir bhagavacchāsane prasannaḥ / so 'tīva	mrakza-zaNxa-anivAsI citraH gRhapatiH Bagavat-SAsane prasannaH / saH atIva
   buddhadharmasaṃgheṣu kārān karoti / mrakṣaṣaṇḍā nānādeśābhyāgatānāṃ	budDa-Darma-saMGezu kArAn karoti / mrakza-zaNxAH nAnA-deSa-aByAgatAnAm
   bhikṣūṇāṃ pratisaraṇaṃ saṃvṛttaḥ / yāvad apareṇa samayenāyuṣmata (292v1 =	BikzUNAm pratisaraNam saMvRttaH / yAvat apareNa samayena-AyuzmataH (292v1 =
   GBM 897) uttarasyānyatamasmin karvaṭake kiṃcit karaṇīyam utpannaṃ / sa	GBm 897) uttarasya-anyatamasmin karvawake kiMcid karaNIyam utpannam / sa
   tatra gataḥ / āyuṣmāṃś copaseno valgantīputro paṃcaśataparivāro	tatra gataH / AyuzmAn ca-upasenaH valgantI-putraH paMca-Sata-pari-vAraH-
   janapadacārikāṃ caraṃ mrakṣaṣaṇḍām anuprāptaḥ / aśrauṣīc citro gṛhapatir	janapada-cArikAm caram mrakza-zaNxAm anuprAptaH / aSrOzIt citraH gRhapatiH-
   yathā upaseno valgantīputraḥ paṃcaśataparivāro janapadacārikāṃ carann	yaTA upasenaH valgantI-putraH paMca-Sata-parivAraH janapada-cArikAm caran=-
   ihānuprāpta iti / śrutvā ca punar yenāyuṣmān upasenas tenopasaṃkrāntaḥ /	iha-anuprAptaH iti / SrutvA ca punar yena-AyuzmAn upasenaH tena-upasaMkrAntaH /
   upasaṃkramyāyuṣmata upasenasya pādau śirasā vanditvaikānte niṣaṇṇaḥ /	upasaMkramya-AyuzmataH upasenasya pAdO SirasA vanditvA-ekAnte nizaNNaH /
   ekāntaniṣaṇṇaṃ citraṃ gṛhapatim āyuṣmān upaseno dharmyayā kathayā	ekAnta-nizaNNam citram gRhapatim AyuzmAn upasenaH DarmyayA kaTayA
   saṃdarśayati samādāpayati samuttejayati saṃpraharṣayaty / anekaparyāyeṇa	saMdarSayati samAdApayati samuttejayati saMpraharzayati / aneka-paryAyeNa
   dharmyayā kathayā saṃdarśya samādāpya samuttejya saṃpraharṣya tūṣṇīm /	DarmyayA kaTayA saMdarSya samAdApya samuttejya saMpraharzya tUzNIm /
   atha citro gṛhapatir utthāyāsanād ekāṃsam uttarāsaṃgaṃ kṛtvā yenāyuṣmān	aTa citraH gRhapatiH utTAya-AsanAt eka-aMsam uttarAsaMgam kRtvA yena-AyuzmAn
   upasenas tenāṃjaliṃ praṇamayyāyuṣmantam upasenam idam avocat* /	upasenaH tena-aMjalim praNamayya-Ayuzmantam upasenam idam avocat* /
   adhivāsayatu me ārya upasenaś cāntargṛhe bhaktena sārdhaṃ bhikṣusaṃghenety	aDivAsayatu me AryaH upasenaH ca-antar-gRhe Baktena sArDam Bikzu-saMGena-iti-
   / adhivāsayati āyuṣmān upasenaś citrasya gṛhapates tūṣṇīṃbhāvena / atha	/ aDivAsayati AyuzmAn upasenaH citrasya gRhapateH tUzNIMBAvena / aTa
   citro gṛhapatir āyuṣmata upasenasya tūṣṇīṃbhāvenādhivāsanāṃ viditvā	citraH gRhapatiH AyuzmataH upasenasya tUzNIMBAvena-aDivAsanAm viditvA
   śucipraṇītaṃ khādanīyabhojanīyaṃ samudānīya kālyam evotthāyāsanakāni	Suci-praNItam KAdanIya-BojanIyam samudAnIya kAlyam eva-utTAya-AsanakAni
   prajñapayaty /	prajQapayati /
   Pāṇḍ-v § 4.4 āyuṣmāṃś cottaras tasmāt karvaṭakād āgataḥ / yāvat paśyati na	PANx-u § 4.4 AyuzmAn ca-uttaraH tasmAt karvawakAt AgataH / yAvat paSyati na
   śayanāsanaprajñaptiṃ nāpy āhāram upānvāhṛtaṃ / sa ārāmikān āmantrayate /	Sayana-Asana-prajQaptim na-api AhAram upAnvAhRtam / saH ArAmikAn Amantrayate /
   bhavanta kim alpotsukās tiṣṭhatha nāsanaprajñaptiḥ kriyate nāpy āhāra	Bavanta kim alpa-utsukAH tizWaTa na-Asana-prajQaptiH kriyate na-api AhAra
   upānvāhriyate / kiṃ bhikṣusaṃghena bhaktacchedaḥ karaṇīya iti / te	upa-anvAhriyate / kim Bikzu-saMGena Bakta=-CedaH karaNIyaH iti / te
   kathayanti citreṇa gṛhapatinā bhikṣusaṃgho 'ntargṛhe bhaktenopanimantritaḥ	kaTayanti citreNa gRhapatinA Bikzu-saMGaH antar-gRhe Baktena-upanimantritaH
   / kiṃ mamāgamya / na tvām āgamya 'pi tu āryam upasenaṃ valgantīputraṃ /	/ kim mama-Agamya / na tvAm Agamya api tu Aryam upasenam valgantI-putram /
   paṃcasataparivāro janapadacārikāṃ carann ihānuprāptaḥ / sa śrutvā	paMcasata-parivAraH janapada-cArikAm caran iha-anuprAptaH / sa SrutvA
   saṃjātāmarṣaḥ kathayati / ahaṃ tasya sarvatra pūrvaṃgamaḥ Ś katham asau	saMjAta-amarzaH kaTayati / aham tasya sarvatra pUrvaMgamaH Ś kaTam asO
   māṃ pratyākhyāyāyuṣmantam upasenaṃ valgantīputraṃ bhikṣusaṃgham	mAm pratyAKyAya-Ayuzmantam upasenam valgantI-putram Bikzu-saMGam
   upanimantrayati Ś gacchāmi tāvat paśyāmīti / sa yena citro gṛhapatis	upanimantrayati Ś gacCAmi tAvat paSyAmi-iti / sa yena citraH gRhapati-s
   tenopasaṃkrānto yāvat paśyati citraṃ gṛhapatim āsanaprajñaptiṃ kriyamāṇaṃ	tena-upasaMkrAntaH yAvat paSyati citram gRhapatim Asana-prajQaptim kriyamANam
   / sa bhūyasyā mātrayā paryavasthitaḥ /	/ sa BUyasyA mAtrayA paryavasTitaH /
   Pāṇḍ-v § 4.5 citreṇa gṛhapatinābhihitaḥ / ārya śobhanā āsanaprajñaptiḥ	PANx-u § 4.5 citreNa gRhapatinA-aBihitaH / Arya SoBanA Asana-prajQaptiH
   śobhanaś cāhāra iti / citro gṛhapatis tilapūpalikāvaṇig āsīd / uttaraḥ	SoBanaH ca-AhAraH iti / citraH gRhapatiH tila-pUpalikA-vaNij AsIt / uttaraH
   kathayati gṛhapate śobhanā āsanaprajñaptiḥ śobhanaś cāhāra / kiṃ tu	kaTayati gRhapate SoBanA Asana-prajQaptiH SoBanaH ca-AhAra / kim tu
   tilapūpalikā nāsti / sa kathayati / bhadantottara vijñātaṃ / tena hy	tila-pUpalikA na-asti / sa kaTayati / Badanta-uttara vijQAtam / tena hi-
   upamāṃ tāvac chṛṇu : upamayā ca punar ihaike vijñapuruṣā bhāṣitasyārtham	upamAm tAvat SRNu : upamayA ca punar iha-eke vijQa-puruzAH BAzitasya-arTam
   ājānanti Ś bhūtapūrvaṃ bhadantottara saṃbahulā jāṃbūdvīpakā vaṇijaḥ	AjAnanti Ś BUta-pUrvam Badanta-uttara saMbahulA jAMbUdvIpakAH vaNijaH
   sāmudraṃ yānapātraṃ pratipādya kākaṃ kukkuṭīṃ cādāya mahāsamudram avatīrṇā	sAmudram yAna-pAtram pratipAdya kAkam kukkuwIm ca-AdAya mahA-samudram avatIrNA
   dhanahārakāḥ / yāvad asau kukkuṭī kukkuṭam alabhamānā kākena sārdhaṃ	Dana-hArakAH / yAvat asO kukkuwI kukkuwam alaBamAnA kAkena sArDam
   saṃvāsaṃ gatā : tayoḥ saṃvāsāc chāvako jātaḥ / sa kākakukkuṭīkaṃ vāśyate	saMvAsam gatAH : tayoH saMvAsAt SAvakaH jAtaH / sa kAka-kukkuwIkam vASyate
   na kāko na kukkuṭaḥ / evam eva tvaṃ mokṣārthī pravrajito mokṣamārgam	na kAkaH na kukkuwaH / evam eva tvam mokza-arTI pravrajitaH mokza-mArgam
   alabhamāno yad vā tad vā (293r1 = GBM 898) pralapasīti / evam ukte āyuṣmān	alaBamAnaH yat vA tat vA (293r1  GBm 898) pralapasi-iti / evam ukte AyuzmAn
   uttaras tāḍakakuṃcikāṃ ca tasya purastād utsṛjya saṃprasthitaḥ /	uttaraH tAxaka-kuMcikAm ca tasya purastAt utsRjya saMprasTitaH /
   Pāṇḍ-v § 4.6 tenoktaḥ / bhadanta uttara kutra gacchasi / śrāvastīṃ /	PANx-u § 4.6 tena-uktaH / BadantaH uttara kutra gacCasi / SrAvastIm /
   svacittaṃ pratilabhasva ihaiva tiṣṭha mā gaccha / sthānam etad vidyate yat	sva-cittam pratilaBasva iha-eva tizWa mA gacCa / sTAnam etat vidyate yat-
   tvayā punar āgatyāham eva kṣamayitavya iti / tasya vacanam avacanīkṛtya	tvayA punar Agatya-aham eva kzamayitavyaH iti / tasya vacanam avacanIkRtya
   samādāya pātracīvaraṃ yena śrāvastī tena cārikāṃ prakrānto 'nupūrveṇa	samAdAya pAtra-cIvaram yena SrAvastI tena cArikAm prakrAntaH anupUrveNa
   cārikāṃ caraṃ śrāvastīm anuprāptaḥ / sa bhikṣubhir dṛṣṭaḥ uktaś ca /	cArikAm caram SrAvastIm anuprAptaH / sa BikzuBiH dRzwaH uktaH ca /
   svāgataṃ svāgatam āyuṣmann uttara prītā vayaṃ tvaddarśanena no tv	svAgatam svAgatam Ayuzman uttara prItAH vayam tvad-darSanena no tu-
   āgamanena / kiṃ karaṇam* Ś tvam āgamya citro gṛhapatir mrakṣaṣaṇḍāyāṃ	Agamanena / kim karaNam* Ś tvam Agamya citraH gRhapatiH mrakza-zaNxAyAm
   buddhadharmasaṃgheṣu kārān karoti / āgantukānāṃ ca gāmikānāṃ ca	budDa-Darma-saMGezu kArAn karoti / AgantukAnAm ca gAmikAnAm ca
   mrakṣaṣaṇḍā pratisaraṇam* / asty etad evaṃ / mayā citro gṛhapatir	mrakza-zaNxA pratisaraNam* / asti etat evam / mayA citraH gRhapatiH-
   avasphaṇḍitaḥ / yathā kathaṃ tena yathāvṛttam ārocitaṃ / etat prakaraṇaṃ	avasPaNxitaH / yaTA kaTam tena yaTAvRttam Arocitam / etat prakaraNam
   bhikṣavo bhagavata ārocayanti Ś bhagavān āha Ś kuruta yūyaṃ bhikṣavaḥ	BikzavaH BagavataH Arocayanti Ś BagavAn Aha Ś kuruta yUyam BikzavaH
   uttarasya bhikṣor gṛhapati-r-avasphaṇḍakasya pratisaṃharaṇīyaṃ karma iti /	uttarasya BikzoH gRhapati-r-avasPaNxakasya pratisaMharaNIyam karma iti /
   yo vā punar anyo 'pi evaṃjātīyaḥ /	yaH vA punar anyaH api evaMjAtIyaH /
   Pāṇḍ-v § 4.7 paṃcabhiḥ kāraṇaiḥ pratisaṃharaṇīyakarmakṛtam adharmakarma ca	PANx-u § 4.7 paMcaBiH kAraNEH pratisaMharaNIya-karma-kRtam aDarma-karma ca
   tad avinayakarma ca bhavati pūrvavad yāvad asaṃmukhībhūtasya kurvanti /	tat avinaya-karma ca Bavati pUrvavat yAvat asaMmuKIBUtasya kurvanti /
   evaṃ ca punaḥ kartavyam* / śayanāsanaprajñaptiṃ kṛtvā gaṇḍīm ākoṭya	evam ca punar kartavyam* / Sayana-Asana-prajQaptim kRtvA gaNxIm Akowya
   pṛṣṭavācikayā bhikṣūn samanuyujya sarvasaṃghe saṃniṣaṇṇe saṃnipatite ekena	pRzwa-vAcikayA BikzUn samanuyujya sarva-saMGe saMnizaNNe saMnipatite ekena
   bhikṣuṇā jñaptiṃ kṛtvā karma kartavyaṃ /	BikzuNA jQaptim kRtvA karma kartavyam /
   Pāṇḍ-v § 4.8 śṛṇotu bhadantāḥ saṃghaḥ / anenottareṇa bhikṣuṇā citro	PANx-u § 4.8 SRNotu BadantAH saMGaH / anena-uttareNa BikzuNA citraH-
   gṛhapatir avasphaṇḍitaḥ / sacet saṃghasya prāptakālaṃ kṣametānujānīyāt	gRhapatiH avasPaNxitaH / saced saMGasya prApta-kAlam kzameta-anujAnIyAt-
   saṃgho yat saṃgha uttarasya bhikṣor gṛhapati-r-avasphaṇḍakasya	saMGaH yat saMGaH uttarasya BikzoH gRhapati-r-avasPaNxakasya
   pratisaṃharaṇīyaṃ karma kuryād ity eṣā jñaptiḥ Ś	pratisaMharaNIyam karma kuryAt iti ezA jQaptiH Ś
   Pāṇḍ-v § 4.9 tataḥ karma kartavyaṃ / śṛṇotu bhadantāḥ saṃghaḥ /	PANx-u § 4.9 tatas karma kartavyam / SRNotu BadantAH saMGaH /
   anenottareṇa bhikṣuṇā mrakṣaṣaṇḍāyāṃ citro gṛhapatir avasphaṇḍitaḥ / tat	anena-uttareNa BikzuNA mrakza-zaNxAyAm citraH gRhapatiH avasPaNxitaH / tat-
   saṃgha uttarasya bhikṣor gṛhapati-r-avasphaṇḍakasya pratisaṃharaṇīyaṃ	saMGaH uttarasya BikzoH gRhapati-r-avasPaNxakasya pratisaMharaNIyam
   karma karoti / yeṣām āyuṣmatāṃ kṣamate uttarasya bhikṣor	karma karoti / yezAm AyuzmatAm kzamate uttarasya BikzoH-
   gṛhapati-r-avasphaṇḍakasya pratisaṃharaṇīyaṃ karma kartuṃ te tūṣṇīṃ / na	gRhapati-r-avasPaNxakasya pratisaMharaNIyam karma kartum te tUzNIm / na
   kṣamate bhāṣantāṃ / iyaṃ prathamā karmavācanā / evaṃ dvitīyā tṛtīyā	kzamate BAzantAm / iyam praTamA karma-vAcanA / evam dvitIyA tRtIyA
   karmavācanā kartavyā / kṛtaṃ saṃghena uttarasya bhikṣor	karma-vAcanA kartavyA / kRtam saMGena uttarasya BikzoH-
   gṛhapati-r-avasphaṇḍakasya pratisaṃharaṇīyaṃ karma / kṣāntam anujñātaṃ	gRhapati-r-avasPaNxakasya pratisaMharaNIyam karma / kzAntam anujQAtam
   saṃghena yasmāt tūṣṇīm evam etad dhārayāmi //	saMGena yasmAt tUzNIm evam etat DArayAmi //
   Pāṇḍ-v § 4.10 pratisaṃharaṇīyakarmakṛtasyāhaṃ bhikṣor āsamudācārikān	PANx-u § 4.10 pratisaMharaNIya-karma-kRtasya-aham BikzoH AsamudAcArikAn
   dharmān prajñapayāmi / pratisaṃharaṇīyakarmakṛtena bhikṣuṇā na	DarmAn prajQapayAmi / pratisaMharaNIya-karma-kRtena BikzuNA na
   pravrājayitavyaṃ pūrvavad yāvat* / sa evaṃ pratisaṃharaṇīyakarmakṛta	pravrAjayitavyam pUrvavat yAvat* / saH evam pratisaMharaNIya-karma-kRta
   utkacaprakacaḥ saṃghe roma pātayati / niḥsaraṇaṃ pravartayati / sāmīcīm	utkaca-prakacaH saMGe roma pAtayati / niHsaraNam pravartayati / sAmIcIm
   upadarśayati / antaḥsīmāyāṃ ca sthitvā osāraṇāṃ yācate /	upadarSayati / antar-sImAyAm ca sTitvA osAraNAm yAcate /
   gṛhapati-r-avasphaṇḍakatvāc ca prativiramāmīti vadati / etat prakaraṇaṃ	gRhapati-r-avas-PaNxaka-tvAt ca prativiramAmi-iti vadati / etat prakaraNam
   bhikṣavo bhagavata ārocayanti / bhagavān āha Ś osārayata yūyaṃ bhikṣava	BikzavaH BagavataH Arocayanti / BagavAn Aha Ś osArayata yUyam Bikzava
   uttaraṃ bhikṣuṃ pratisaṃharaṇīyakarmakṛtam iti / yo vā punar anyo 'pi	uttaram Bikzum pratisaMharaNIya-karma-kRtam iti / yaH vA punar anyaH api
   evaṃjātīyaḥ /	evaMjAtIyaH /
   Pāṇḍ-v § 4.11 paṃcabhir dharmaiḥ pratisaṃharaṇīyakarmakṛta osārayitavyaḥ /	PANx-u § 4.11 paMcaBiH DarmEH pratisaMharaNIya-karma-kRtaH osArayitavyaH /
   katamaiḥ paṃcabhiḥ / utkacaprakacaḥ pūrvavad yāvad	katamEH paMcaBiH / utkaca-prakacaH pUrvavat yAvat-
   gṛhapatyavasphaṇḍakatvāc ca prativiramāmīti vadati / (293v1 = GBM 899)	gRhapatya-var-PaNxaka-tvAt ca prativiramAmi-iti vadati / (293v1  GBm 899)
        evaṃ ca punar osārayitavyaḥ / śayanāsanaprajñaptiṃ kṛtvā gaṇḍīm	evam ca punar osArayitavyaH / Sayana-Asana-prajQaptim kRtvA gaNxIm
   ākoṭya pṛṣṭavācikayā bhikṣūn samanuyujya sarvasaṃghe saṃniṣaṇṇe	Akowya pRzwa-vAcikayA BikzUn samanuyujya sarva-saMGe saMnizaNNe
   saṃnipatite ekena bhikṣuṇā jñaptiṃ kṛtvā karma kartavyaṃ Ś	saMnipatite ekena BikzuNA jQaptim kRtvA karma kartavyam Ś
   Pāṇḍ-v § 4.12 śṛṇotu bhadantāḥ saṃghaḥ / anenottareṇa bhikṣuṇā	PANx-u § 4.12 SRNotu BadantAH saMGaH / anena-uttareNa BikzuNA
   mrakṣaṣaṇḍāyāṃ citro gṛhapatir avasphaṇḍitaḥ / tad asya saṃghena gṛhapatir	mrakza-zaNxAyAm citraH gRhapatiH avasPaNxitaH / tat asya saMGena gRhapatiH-
   avasphaṇḍaka iti kṛtvā pratisaṃharaṇīyakarma kṛtaṃ / so 'yam uttaro	avasPaNxakaH iti kRtvA pratisaMharaNIya-karma kRtam / saH ayam uttaraH-
   bhikṣuḥ pratisaṃharaṇīyakarmakṛta utkacaprakacaḥ pūrvavad yāvad	BikzuH pratisaMharaNIya-karma-kRtaH utkaca-prakacaH pUrvavat yAvat-
   gṛhapatyavasphaṇḍakatvāc ca prativiramāmīti vadati / sacet saṃghasya	gRhapatya-var-PaNxaka-tvAt ca prativiramAmi-iti vadati / saced saMGasya
   prāptakālaṃ kṣametānujānīyāt saṃgho yat saṃghaḥ uttaraṃ bhikṣuṃ	prApta-kAlam kzameta-anujAnIyAt saMGaH yat saMGaH uttaram Bikzum
   pratisaṃharaṇīyakarmakṛtam osārayed ity eṣā jñaptiḥ // tato vaktavyo	pratisaMharaNIya-karma-kRtam osArayet iti ezA jQaptiH // tatas vaktavyaH-
   gaccha taṃ gṛhapatiṃ kṣamaya osārito bhaviṣyasīti Ś	gacCa tam gRhapatim kzamayaH osAritaH Bavizyasi-iti Ś
   Pāṇḍ-v § 4.13 sa bhikṣubhir evam abhihito yena mrakṣaṣaṇḍā tena cārikāṃ	PANx-u § 4.13 sa BikzuBiH evam aBihitaH yena mrakza-zaNxA tena cArikAm
   prakrānto 'nupūrveṇa cārikāṃ caraṃ mrakṣaṣaṇḍām anuprāptaḥ / tato	prakrAntaH anupUrveNa cArikAm caram mrakza-zaNxAm anuprAptaH / tatas-
   mārgaśramaṃ prativinodya yena citro gṛhapatis tenopasaṃkrāntaḥ Ś	mArga-Sramam prativinodya yena citraH gRhapatiH tena-upasaMkrAntaH Ś
   upasaṃkramya dakṣiṇaṃ bāhum abhiprasārya kathayati Ś kṣamasva mama	upasaMkramya dakziNam bAhum aBiprasArya kaTayati Ś kzamasva mama
   gṛhapate Ś kṣāntaṃ bhadantottara Ś yady evam ihaiva prativasa / gacchāmi	gRhapate Ś kzAntam Badanta-uttaraH Ś yadi evam iha-eva prativasa / gacCAmi
   tāvad yena mamāparādhhaṃ tasya nigrahaṃ karomi / kiṃ mayāparādhhaṃ / na	tAvat yena mama-apara-aDham tasya nigraham karomi / kim mayA-aparADham / na
   tava yena mamāparāddhaṃ Ś	tava yena mama-aparAdDam Ś
   Pāṇḍ-v § 4.14 athāyuṣmān uttaro gaṃgātīraṃ gatvā tribhis tālavṛndaiḥ	PANx-u § 4.14 aTa-AyuzmAn uttaraH gaMgA-tIram gatvA triBiH tAla-vRndEH
   kuṭikāṃ kṛtvā varṣā upagataḥ / tena śavaśīrṣopamaṃ pātraṃ dhāritaṃ / tasya	kuwikAm kRtvA varzAH upagataH / tena Sava-SIrza-upamam pAtram DAritam / tasya
   nātidūre mārgas tena satataṃ gopāṅganā gacchati Ś sa tāsāṃ pātraṃ	na-ati-dUre mArgaH tena satatam gopa-aFganA gacCati Ś sa tAsAm pAtram
   prasārayati Ś tasmin dadhiṃ vā kṣīraṃ vā udaśviṃ vānuprayacchanti Ś tat	prasArayati Ś tasmin daDim vA kzIram vE udaSvim vA-anuprayacCanti Ś tat-
   paribhujya dhyānasamādhisamāpattisukhāni abhināmayati Ś	pariBujya DyAna-samADi-samApatti-suKAni aBinAmayati Ś
   Pāṇḍ-v § 4.15 yāvad apareṇa samayena dve gopāṅgane gacchato mātā duhitā ca	PANx-u § 4.15 yAvat apareNa samayena dve gopa-aFgane gacCataH mAtA duhitA ca
   Ś duhitā mātuḥ kathayaty amba eṣa āryo mūka iti Ś sā kathayati putri naiṣa	Ś duhitA mAtuH kaTayati ambaH ezaH AryaH mUkaH iti Ś sA kaTayati putri na-eza
   mūkaḥ nūnam anena kasyacid vācā aparāddham* tasyā eṣa nigrahaṃ karotīti Ś	mUkaH nUnam anena kasyacid vAcA aparAt-Dam* tasyAH eza nigraham karoti-iti Ś
   amba kim etad evaṃ bhaviṣyati Ś putri svo 'haṃ tava pratyakṣīkariṣyāmīti Ś	amba kim etat evam Bavizyati Ś putri svaH aham tava pratyakzIkarizyAmi-iti Ś
   yāvad aparasmin divase mathitaghaṭaṃ gṛhītvā duhitṛsametā taṃ pradeśam	yAvat aparasmin divase maTita-Gawam gRhItvA duhitR-sametA tam pradeSam
   āgatā / āyuṣmatā uttareṇa pātraṃ prasāritam* / sā tasya pātraṃ mathitasya	AgatAH / AyuzmatA uttareNa pAtram prasAritam* / sA tasya pAtram maTitasya
   pūrayitum ārabdhā Ś āyuṣmān uttaraḥ pātraṃ cālayati / sā dadāty eva na	pUrayitum ArabDA Ś AyuzmAn uttaraH pAtram cAlayati / sA dadAti eva na
   saṃtiṣṭhate / āyuṣmān uttaraḥ kathayati alaṃ bhagini Ś kim anena	saMtizWate / AyuzmAn uttaraH kaTayati alam Bagini Ś kim anena
   nirarthakena choritena Ś santy anye 'smadvidhāḥ pratigrāhakā iti Ś sā	nirarTakena Coritena Ś santi anye asmadviDAH pratigrAhakAH iti Ś sA
   kathayati Ś putri na tvaṃ mayā pūrvam uktā nāyaṃ mūko nūnam anena kasyacid	kaTayati Ś putri na tvam mayA pUrvam uktA na-ayam mUkaH nUnam anena kasyacid-
   vācā aparāddham* tasyā eva nigrahaṃ karotīti Ś / (294r1 = GBM 900) avocas	vAcA aparAt-Dam* tasyAH eva nigraham karoti-iti Ś / (294r1  GBm 900) avocas
   tvam aṃba iti /	tvam aMbaH iti /
