   Kātyāyanasmṛtisāroddhāraḥ	KAtyAyana-smRti-sAra-udDAraH
   [punarnyāyaḥ]	[punar-nyAyaH]
   asat sad iti yaḥ pakṣaḥ sabhyair evāvadhāryate /	asat sat iti yaH pakzaH saByEH eva-avaDAryate /
   tīritaḥ so 'nuśiṣṭas tu sākṣivākyāt prakīrtitaḥ // K_495 //	tIritaH saH anuSizwaH tu sAkzi-vAkyAt prakIrtitaH // K_495 //
   kulādibhir niścite 'pi santoṣaṃ na gatas tu yaḥ /	kula-AdiBiH niScite api santozam na gataH tu yaH /
   vicārya tat kṛtaṃ rājā kukṛtaṃ punar uddharet // K_496 //	vicArya tat kRtam rAjA kukRtam punar udDaret // K_496 //
   [ṛṇādāne vṛddhivicāraḥ]	[RNa-AdAne vRdDi-vicAraH]
   na strībhyo dāsabālebhyaḥ prayacchet kvacid uddhṛtam /	na strIByaH dAsa-bAleByaH prayacCet kvacid udDRtam /
   dātā na labhate tat tu tebhyo dadyāt tu yad vasu // K_497 //	dAtA na laBate tat tu teByaH dadyAt tu yat vasu // K_497 //
   ṛṇikena tu yā vṛddhir adhikā saṃprakalpitā /	RNikena tu yA vRdDiH aDikA saMprakalpitA /
   āpatkālakṛtā nityaṃ dātavyā kāritā tu sā /	Apad-kAla-kRtA nityam dAtavyA kAritA tu sA /
   anyathā kāritā vṛddhir na dātavyā kathaṃcana // K_498 //	anyaTA kAritA vRdDiH na dAtavyA kaTaMcana // K_498 //
   ekāntenaiva vṛddhiṃ tu śodhayed yatra carṇikam /	ekAntena-eva vRdDim tu SoDayet yatra ca-RNikam /
   pratikālaṃ dadāty eva śikhāvṛddhis tu sā smṛtā // K_499 //	pratikAlam dadAti eva SiKA-vRdDiH tu sA smRtA // K_499 //
   gṛhāt toṣaḥ phalaṃ kṣetrād bhogalābhaḥ prakīrtitaḥ // K_500 //	gRhAt tozaH Palam kzetrAt Boga-lABaH prakIrtitaH // K_500 //
   ādhibhogas tv aśeṣo yo vṛddhis tu parikalpitaḥ /	ADi-BogaH tu aSezaH yaH vRdDiH tu parikalpitaH /
   prayogo yatra caivaṃ syād ādhibhogaḥ sa ucyate // K_501 //	prayogaH yatra ca-evam syAt ADiBogaH saH ucyate // K_501 //
   [ākṛtavṛddhiḥ]	[a-akRtavRdDiH]
   yo yācitakam ādāya tam adattvā diśaṃ vrajet /	yaH yAcitakam AdAya tam adattvA diSam vrajet /
   ūrdhvaṃ saṃvatsarāt tasya taddhanaṃ vṛddhim āpnuyāt // K_502 //	UrDvam saMvatsarAt tasya tat-Danam vRdDim ApnuyAt // K_502 //
   kṛtvoddhāram adattvā yo yācitas tu diśaṃ vrajet /	kRtvA-udDAram adattvA yaH yAcitaH tu diSam vrajet /
   ūrdhvaṃ māsatrayāt tasya taddhanaṃ vṛddhim āpnuyāt // K_503 //	UrDvam mAsa-trayAt tasya tat-Danam vRdDim ApnuyAt // K_503 //
   svadeśe 'pi sthito yas tu na dadyād yācitaḥ kvacit /	sva-deSe api sTitaH yaH tu na dadyAt yAcitaH kvacid /
   taṃ tato 'kāritāṃ vṛddhim anicchantaṃ ca dāpayet // K_504 //	tam tatas akAritAm vRdDim anicCantam ca dApayet // K_504 //
   prītidattaṃ na vardheta yāvan na pratiyācitam /	prIti-dattam na varDeta yAvat na pratiyAcitam /
   yācyamānam adattaṃ ced vardhate pañcakaṃ śatam // K_505 //	yAcyamAnam adattam ced varDate paQcakam Satam // K_505 //
   nikṣiptaṃ vṛddhiśeṣaṃ ca krayavikrayam eva ca /	nikziptam vRdDi-Sezam ca kraya-vikrayam eva ca /
   yācyamānam adattaṃ ced vardhate pañcakaṃ śatam // K_506 //	yAcyamAnam adattam ced varDate paQcakam Satam // K_506 //
   paṇyaṃ gṛhītvā yo mūlyam adattvaiva diśaṃ vrajet /	paNyam gRhItvA yaH mUlyam adattvA-eva diSam vrajet /
   ṛtutrayasyāpariṣṭāt taddhanaṃ vṛddhim āpnuyāt // K_507 //	Rtu-trayasya-aparizwAt tat-Danam vRdDim ApnuyAt // K_507 //
   carmasasyāsavadyūte paṇyamūlye ca sarvadā /	carma-sasya-Asava-dyUte paNya-mUlye ca sarvadA /
   strīśulkeṣu na vṛddhiḥ syāt prātibhāvyāgateṣu ca // K_508 //	strI-Sulkezu na vRdDiH syAt prAtiBAvya-Agatezu ca // K_508 //
   [vṛddheḥ parimāṇaṃ]	[vRdDeH parimANaM]
   grāhyaṃ syād dviguṇaṃ dravyaṃ prayuktaṃ dhanināṃ sadā /	grAhyam syAt dviguNam dravyam prayuktam DaninAm sadA /
   labhate cen na dviguṇaṃ punar vṛddhiṃ prakalpayet // K_509 //	laBate ced na dviguNam punar vRdDim prakalpayet // K_509 //
   maṇimuktāpravālānāṃ suvarṇarajatasya ca /	maNi-muktA-pravAlAnAm suvarNa-rajatasya ca /
   tiṣṭhati dviguṇā vṛddhiḥ phālakaiṭāvikasya ca // K_510 //	tizWati dviguNA vRdDiH PAla-kEwa-Avikasya ca // K_510 //
   tailānāṃ caiva sarveṣāṃ madyānām atha sarpiṣām /	tElAnAm ca-eva sarvezAm madyAnAm aTa sarpizAm /
   vṛddhir aṣṭaguṇā jñeyā guḍasya lavaṇasya ca // K_511 //	vRdDiH azwaguNAH jQeyAH guxasya lavaNasya ca // K_511 //
   kupyaṃ pañcaguṇaṃ bhūmis tathaivāṣṭaguṇā matā /	kupyam paQcaguNam BUmiH taTA-eva-azwaguNA matA /
   sadya eveti vacanāt sadya eva pradīyate // K_512 //	sadyas eva-iti vacanAt sadyas eva pradIyate // K_512 //
   [ṛṇoddharaṇaṃ]	[RNot-haraNaM]
   [anekarṇasamavāye vidhiḥ]	[anekarNa-samavAye viDiH]
   ekāhe likhitaṃ yat tu tat tu kuryād ṛṇaṃ samam /	eka-ahe liKitam yat tu tat tu kuryAt RNam samam /
   grahaṇaṃ rakṣaṇaṃ lābham anyathā tu yathākramam // K_513 //	grahaNam rakzaNam lABam anyaTA tu yaTAkramam // K_513 //
   nānāṛṇasamavāye tu yad yat pūrvakṛtaṃ bhavet /	nAnA-aRNa-samavAye tu yat yat pUrva-kRtam Bavet /
   tat tad evāgrato deyaṃ rājñaḥ syāc śrotriyād anu // K_514 //	tat tat eva-agratas deyam rAjQaH syAt SrotriyAt anu // K_514 //
   yasya dravyeṇa yat paṇyaṃ sādhitaṃ yo vibhāvayet /	yasya dravyeNa yat paNyam sADitam yaH viBAvayet /
   tad dravyam ṛṇikenaiva dātavyaṃ tasya nānyathā // K_515 //	tat dravyam RNikena-eva dAtavyam tasya na-anyaTA // K_515 //
   [ādhiḥ]	[ADiH]
   dravyaṃ gṛhītvā vṛddhyarthaṃ bhogayogyaṃ dadāti cet /	dravyam gRhItvA vRdDi-arTam Boga-yogyam dadAti ced /
   jaṅgamaṃ sthāvaraṃ vāpi bhogyādhiḥ sa tu kathyate /	jaFgamam sTAvaram vA-api Bogya-ADiH sa tu kaTyate /
   mūlyaṃ tadādhikaṃ dattvā svakṣetrādikam āpnuyāt // K_516 //	mUlyam tadA-aDikam dattvA sva-kzetra-Adikam ApnuyAt // K_516 //
   ādhim ekaṃ dvayor yas tu kuryāt kā pratipad bhavet /	ADim ekam dvayoH yaH tu kuryAt kA pratipad Bavet /
   tayoḥ pūrvakṛtaṃ grāhyaṃ tatkartā coradaṇḍabhāk // K_517 //	tayoH pUrva-kRtam grAhyam tad-kartA cora-daNxa-BAj // K_517 //
   ādhānaṃ vikrayo dānaṃ lekhyasākṣyakṛtaṃ yadā /	ADAnam vikrayaH dAnam leKya-sAkzya-kRtam yadA /
   ekakriyāviruddhaṃ tu lekhyaṃ tatrāpahārakam // K_518 //	eka-kriyA-virudDam tu leKyam tatra-apahArakam // K_518 //
   anirdiṣṭaṃ ca nirdiṣṭam ekatra ca vilekhitam /	anirdizwam ca nirdizwam ekatra ca vileKitam /
   viśeṣalikhitaṃ jyāya iti kātyāyano 'bravīt // K_519 //	viSeza-liKitam jyAyaH iti kAtyAyanaH abravIt // K_519 //
   yo 'vidyamānaṃ prathamam anirdiṣṭasvarūpakam /	yaH avidyamAnam praTamam anirdizwa-svarUpakam /
   ākāśabhūtam ādadhyād anirdiṣṭaṃ ca tad bhavet /	AkASa-BUtam AdaDyAt anirdizwam ca tat Bavet /
   yad yat tadāsya vidyeta tad ādiṣṭaṃ vinirdiśet // K_520 //	yat yat tadA-asya vidyeta tat Adizwam vinirdiSet // K_520 //
   yas tu sarvasvam ādiśya prāk paścān nāmacihnitam /	yaH tu sarva-svam AdiSya prAk paScAt nAma-cihnitam /
   ādadhyāt tat kathaṃ na syāc cihnitaṃ balavattaram // K_521 //	AdaDyAt tat kaTam na syAt cihnitam balavattaram // K_521 //
   maryādācihnitaṃ kṣetraṃ grāmaṃ vāpi yadā bhavet /	maryAdA-cihnitam kzetram grAmam vA-api yadA Bavet /
   grāmādayaś ca likhyante tadā siddhim avāpnuyāt // K_522 //	grAma-AdayaH ca liKyante tadA sidDim avApnuyAt // K_522 //
   ādhīkṛtaṃ tu yat kiṃcid vinaṣṭaṃ daivarājataḥ /	ADIkRtam tu yat kiMcid vinazwam dEva-rAjataH /
   tatra ṛṇaṃ sodayaṃ dāpyo dhaninām adhamarṇakaḥ // K_523 //	tatra RNam sa-udayam dApyaH DaninAm aDamarNakaH // K_523 //
   na ced dhanikadoṣeṇa nipated vā mriyeta vā /	na ced Danika-dozeNa nipatet vA mriyeta vA /
   ādhim anyaṃ sa dāpyaḥ syād ṛṇān mucyeta narṇikaḥ // K_524 //	ADim anyam sa dApyaH syAt RNAt mucyeta na-RNikaH // K_524 //
   akāmam ananujñātam adhiṃ yaḥ karma kārayet /	akAmam ananujQAtam aDim yaH karma kArayet /
   bhoktā karmaphalaṃ dāpyo vṛddhiṃ vā labhate na saḥ // K_525 //	BoktA karma-Palam dApyaH vRdDim vA laBate na saH // K_525 //
   yas tv ādhiṃ karma kurvāṇaṃ vācā daṇḍena karmabhiḥ /	yaH tu ADim karma kurvANam vAcA daNxena karmaBiH /
   pīḍayed bhatsayec caiva prāpnuyāt pūrvasāhasam // K_526 //	pIxayet Batsayet ca-eva prApnuyAt pUrva-sAhasam // K_526 //
   balādakāmaṃ yatrādhim anisṛṣṭaṃ praveśayet /	balAt-akAmam yatra-ADim anisRzwam praveSayet /
   prāpnuyāt sāhasaṃ pūrvam ādhātā cādhim āpnuyāt // K_527 //	prApnuyAt sAhasam pUrvam ADAtA ca-ADim ApnuyAt // K_527 //
   ādhiṃ duṣṭena lekhyena bhuṅkte yam ṛṇikād dhanī /	ADim duzwena leKyena BuFkte yam RNikAt DanI /
   nṛpo damaṃ dāpayitvā ādhikekhyaṃ vināśayet // K_528 //	nRpaH damam dApayitvA ADikeKyam vinASayet // K_528 //
   ādhātā yatra na syāt tu dhanī bandhaṃ nivedayet /	ADAtA yatra na syAt tu DanI banDam nivedayet /
   rājñas tataḥ sa vikhyāto vikreya iti dhāraṇā /	rAjQaH tatas sa viKyAtaH vikreyaH iti DAraNA /
   savṛddhikaṃ gṛhītvā tu śeṣaṃ rājan yathārpayet // K_529 //	sa-vRdDikam gRhItvA tu Sezam rAjan yaTA-arpayet // K_529 //
   [pratibhūvidhānam]	[pratiBU-viDAnam]
   dānopasthānavādeṣu viśvāsaśapathāya ca /	dAna-upasTAna-vAdezu viSvAsa-SapaTAya ca /
   lagnakaṃ kārayed evaṃ yathāyogaṃ viparyaye // K_530 //	lagnakam kArayet evam yaTAyogam viparyaye // K_530 //
   darśanapratibhūryas taṃ deśe kāle na darśayet /	darSana-pratiBUH-yaH tam deSe kAle na darSayet /
   nibandham āvahet tatra daivarājakṛtād ṛte // K_531 //	nibanDam Avahet tatra dEva-rAja-kRtAt Rte // K_531 //
   naṣṭasyānveṣaṇārthaṃ tu deyaṃ pakṣatrayaṃ param /	nazwasya-anvezaNa-arTam tu deyam pakza-trayam param /
   yady asau darśayet tatra moktavyaḥ pratibhūr bhavet // K_532 //	yadi asO darSayet tatra moktavyaH pratiBUH Bavet // K_532 //
   kāle vyatīte pratibhūr yadi taṃ naiva darśayet /	kAle vyatIte pratiBUH yadi tam na-eva darSayet /
   sa tam arthaṃ pradāpyaḥ syāt prete caivaṃ vidhīyate // K_533 //	sa tam arTam pradApyaH syAt prete ca-evam viDIyate // K_533 //
   gṛhītvā bandhakaṃ yatra darśane 'sya sthito bhavet /	gRhItvA banDakam yatra darSane asya sTitaH Bavet /
   vinā pitrā dhanaṃ tasmād dāpyaḥ syāt tad ṛṇaṃ sutaḥ // K_534 //	vinA pitrA Danam tasmAt dApyaH syAt tat RNam sutaH // K_534 //
   yo yasya pratibhūs tiṣṭhed darśanāyeha mānavaḥ /	yaH yasya pratiBUH tizWet darSanAya-iha mAnavaH /
   adarśayan sa taṃ tasmai prayacchet svadhanād ṛṇam // K_535 //	adarSayan sa tam tasmE prayacCet sva-DanAt RNam // K_535 //
   ādyau tu vitathe dāpyau tatkālāveditaṃ dhanam /	AdyO tu vitaTe dApyO tad-kAla-Aveditam Danam /
   uttarau tu visaṃvāde tau vinā tatsutau tathā // K_536 //	uttarO tu visaMvAde tO vinA tad-sutO taTA // K_536 //
   ekacchāyāśrite sarvaṃ dadyāt tu proṣite sutaḥ /	ekacCAyA-ASrite sarvam dadyAt tu prozite sutaH /
   mṛte pitari pitṛaṃśaṃ pararṇaṃ na bṛhaspatiḥ // K_537 //	mRte pitari pitR-aMSam para-RNam na bRhaspatiH // K_537 //
   ekacchāyāpraviṣṭānāṃ dāpyo tas tatra dṛśyate /	eka=-CAyA-pravizwAnAm dApyaH tas tatra dRSyate /
   proṣite tatsutaḥ sarvaṃ pitraṃśaṃ tu mṛte sutaḥ // K_538 //	prozite tad-sutaH sarvam pitR-aMSam tu mRte sutaH // K_538 //
   prātibhāvyaṃ tu yo dadyāt pīḍitaḥ pratibhāvitaḥ /	prAtiBAvyam tu yaH dadyAt pIxitaH pratiBAvitaH /
   tripakṣāt parataḥ so 'rthaṃ dviguṇaṃ labdhum arhati // K_539 //	tri-pakzAt paratas saH arTam dviguNam labDum arhati // K_539 //
   yasyārthe yena yad dattaṃ vidhinābhyarthitena tu /	yasya-arTe yena yat dattam viDinA-aByarTitena tu /
   sākṣibhir bhāvitenaiva pratibhūs tat samāpnuyāt // K_540 //	sAkziBiH BAvitena-eva pratiBUH tat samApnuyAt // K_540 //
   satyaṃkāravisaṃvāde dviguṇaṃ pratidāpayet /	satyaMkAra-visaMvAde dviguNam pratidApayet /
   akurvatas tu tad dhāni satyaṃkāraprayojanam // K_541 //	akurvataH tu tat DAni satyaMkAra-prayojanam // K_541 //
   [pitrādibhiḥ kṛtam ṛṇaṃ kena pratideyam]	[pitR-AdiBiH kRtam RNam kena pratideyam]
   kuṭumbārtham aśaktena gṛhītaṃ vyādhitena vā /	kuwumba-arTam aSaktena gRhItam vyADitena vA /
   upaplavanimitte ca vidyād āpatkṛte tu tat // K_542 //	upaplava-nimitte ca vidyAt Apad-kRte tu tat // K_542 //
   kanyāvaivāhikaṃ caiva pretakārye ca yatkṛtam /	kanyA-vEvAhikam ca-eva pretakArye ca yat-kRtam /
   etat sarvaṃ pradātavyaṃ kuṭumbena kṛtaṃ prabhoḥ // K_543 //	etat sarvam pradAtavyam kuwumbena kRtam praBoH // K_543 //
   ṛṇaṃ putrakṛtaṃ pitrā na deyam iti dharmataḥ /	RNam putra-kRtam pitrA na deyam iti DarmataH /
   deyaṃ pratiśrutaṃ yat syāt yac ca syād anumoditam // K_544 //	deyam pratiSrutam yat syAt yat ca syAt anumoditam // K_544 //
   proṣitasyāmatenāpi kuṭumbārtham ṛṇaṃ kṛtam /	prozitasya-Amatena-api kuwumba-arTam RNam kRtam /
   dāsastrīmātṛśiṣyair vā dadyāt putreṇa vā bhṛguḥ // K_545 //	dAsa-strI-mAtR-SizyEH vA dadyAt putreNa vA BRguH // K_545 //
   bhartrā putreṇa vā sārdhaṃ kevalenātmanā kṛtam /	BartrA putreNa vA sArDam kevalena-AtmanA kRtam /
   ṛṇam evaṃvidhaṃ deyaṃ nānyathā tatkṛtaṃ striyā // K_546 //	RNam evaMviDam deyam na-anyaTA tat-kRtam striyAH // K_546 //
   martukāmena yā bhartrā proktā deyam ṛṇaṃ tvayā /	martu-kAmena yA BartrA proktA deyam RNam tvayA /
   aprapannāpi sā dāpyā dhanaṃ yady āśritaṃ striyām // K_547 //	aprapannA-api sA dApyAH Danam yadi ASritam striyAm // K_547 //
   vidyamāneapi rogārte svadeśāt proṣite 'pi vā /	vidyamAnA-iapi roga-Arte sva-deSAt prozite api vA /
   viṃśāt saṃvatsarād deyaṃ ṛṇaṃ pitṛkṛtaṃ sutaiḥ // K_548 //	viMSAt saMvatsarAt deyam RNam pitR-kRtam sutEH // K_548 //
   vyādhitonmattavṛddhānāṃ tathā dīrghapravāsinām /	vyADita-unmatta-vRdDAnAm taTA dIrGa-pravAsinAm /
   ṛṇam evaṃvidhaṃ putrāñ jīvatām api dāpayet // K_549 //	RNam evaMviDam putrAn jIvatAm api dApayet // K_549 //
   sāṃnidhye 'pi pituḥ putrair ṛṇaṃ deyaṃ vibhāvitam /	sAMniDye api pituH putrEH RNam deyam viBAvitam /
   jātyandhapatitonmatta- kṣayaśvitrādirogiṇaḥ // K_550 //	jAti-anDa-patita-unmatta kzaya-Svitra-Adi-rogiNaH // K_550 //
   pitṝṇāṃ sūnubhir jātair dānenaivādhamād ṛṇāt /	pitLNAm sUnuBiH jAtEH dAnena-eva-aDamAt RNAt /
   vimokṣas tu yatas tasmād icchanti pitaraḥ sutān // K_551 //	vimokzaH tu yatas tasmAt icCanti pitaraH sutAn // K_551 //
   nāprāptavyavahāreṇa pitary uparate kvacit /	na-aprApta-vyavahAreNa pitari uparate kvacid /
   kāle tu vidhinā deyaṃ vaseyur narake 'nyathā // K_552 //	kAle tu viDinA deyam vaseyuH narake anyaTA // K_552 //
   aprāptavyavahāraś cet svatantro 'pīha narṇabhāk /	aprApta-vyavahAraH ced svatantraH api-iha na-RNa-BAj /
   svātantryaṃ hi smṛtaṃ jyeṣṭhe jyaiṣṭhe guṇavayaḥkṛtam // K_553 //	svAtantryam hi smRtam jyezWe jyEzWe guNa-vayaH-kRtam // K_553 //
   yad dṛṣṭaṃ dattaśeṣaṃ vā deyaṃ paitāmahaṃ tu tat /	yat dRzwam datta-Sezam vA deyam pEtAmaham tu tat /
   sadoṣaṃ vyāhataṃ pitrā naiva deyam ṛṇaṃ kvacit // K_554 //	sa-dozam vyAhatam pitrA na-eva deyam RNam kvacid // K_554 //
   pitrā dṛṣṭam ṛṇaṃ yat tu kramāyātaṃ pitāmahāt /	pitrA dRzwam RNam yat tu krama-AyAtam pitAmahAt /
   nirdoṣaṃ noddhṛtaṃ putrair deyaṃ pautrais tu tadbhṛguḥ // K_555 //	nirdozam na-udDRtam putrEH deyam pOtrEH tu tad-BRguH // K_555 //
   paitāmahaṃ tu yat putrair na dattaṃ rogibhiḥ sthitaiḥ /	pEtAmaham tu yat putrEH na dattam rogiBiH sTitEH /
   tasmād evaṃvidhaṃ pautrair deyaṃ paitāmahaṃ samam // K_556 //	tasmAt evaMviDam pOtrEH deyam pEtAmaham samam // K_556 //
   ṛṇaṃ tu dāpayet putraṃ yadi syān nirupadravaḥ /	RNam tu dApayet putram yadi syAt nirupadravaH /
   draviṇārhaś ca dhuryaś ca nānyathā dāpayet sutam // K_557 //	draviNa-arhaH ca DuryaH ca na-anyaTA dApayet sutam // K_557 //
   yad deyaṃ pitṛbhir nityaṃ tadabhāve tu taddhanāt /	yat deyam pitRBiH nityam tad-aBAve tu tad-DanAt /
   tad dhanaṃ putraputrair vā deyaṃ tatsvāmine tadā // K_558 //	tat Danam putra-putrEH vA deyam tad-svAmine tadA // K_558 //
   pitrarṇe vidyamāne tu na ca putro dhanaṃ haret /	pitrA-RNe vidyamAne tu na ca putraH Danam haret /
   deyaṃ taddhanike dravyaṃ mṛte gṛhṇaṃs tu dāpyate // K_559 //	deyam tat-Danike dravyam mRte gRhNan tu dApyate // K_559 //
   putrābhāve tu dātavyam ṛṇaṃ pautreṇa yatnataḥ /	putra-aBAve tu dAtavyam RNam pOtreNa yatnatas /
   caturthena na dātavyaṃ tasmāt tad vinirvartate // K_560 //	caturTena na dAtavyam tasmAt tat vinirvartate // K_560 //
   prātibhāvyāgataṃ pautrair dātavyaṃ na tu tatkvacit /	prAtiBAvya-Agatam pOtrEH dAtavyam na tu tad-kvacid /
   putreṇāpi samaṃ deyam ṛṇaṃ sarvatra paitṛkam // K_561 //	putreNa-api samam deyam RNam sarvatra pEtRkam // K_561 //
   rikthahartrā ṛṇaṃ deyaṃ tadabhāve ca yoṣitaḥ /	rikTa-hartrA RNam deyam tad-aBAve ca yozitaH /
   putraiś ca tadabhāve 'nyai rikthabhāgbhir yathākramam // K_562 //	putrEH ca tad-aBAve anyEH rikTa-BAgBiH yaTAkramam // K_562 //
   yāvan na paitṛkaṃ dravyaṃ vidyamānaṃ labhet sutaḥ /	yAvat na pEtRkam dravyam vidyamAnam laBet sutaH /
   susamṛddo 'pi dāpyaḥ syāt tāvan naivādhamarṇikaḥ // K_563 //	su-samRddaH api dApyaH syAt tAvat na-eva-aDamarNikaH // K_563 //
   likhitaṃ muktakaṃ vāpi deyaṃ yat tu pratiśrutam /	liKitam muktakam vA-api deyam yat tu pratiSrutam /
   parapūrvastriyai yat tu vidyāt kāmakṛtaṃ nṛṇām // K_564 //	parapUrva-striyE yat tu vidyAt kAma-kRtam nRNAm // K_564 //
   yatra hiṃsāṃ samutpādya krodhād dravyaṃ vināśya vā /	yatra hiMsAm samutpAdya kroDAt dravyam vinASya vA /
   uktaṃ tuṣṭikaraṃ yat tu vidyād krodhakṛtaṃ tu tat // K_565 //	uktam tuzwi-karam yat tu vidyAt kroDa-kRtam tu tat // K_565 //
   svasthenārtena vā deyaṃ bhāvitaṃ dharmakāraṇāt /	svasTena-Artena vA deyam BAvitam Darma-kAraNAt /
   adattvā tu mṛte dāpyas tatsuto nātra saṃśayaḥ // K_566 //	adattvA tu mRte dApyaH tad-sutaH na-atra saMSayaH // K_566 //
   nirdhanair anapatyais tu yat kṛtaṃ śauṇḍikādibhiḥ /	nirDanEH anapatyEH tu yat kRtam SONxikA-AdiBiH /
   tatstrīṇām upabhoktā tu dadyāt tadṛṇam eva hi // K_567 //	tad-strINAm upaBoktA tu dadyAt tad-RNam eva hi // K_567 //
   śauṇḍikavyādhajanaka- gopanāvikayoṣitām /	SONxika-vyADa-janaka gopa-nAvika-yozitAm /
   adhiṣṭhātā ṛṇaṃ dāpyas tāsāṃ bhartṛkriyāsu tat // K_568 //	aDizWAtAH RNam dApyaH tAsAm BartR-kriyAsu tat // K_568 //
   na ca bhāryākṛtam ṛṇaṃ kathaṃcit patyur ābhavet /	na ca BAryA-akRtam RNam kaTaMcid patyuH ABavet /
   āpatkṛtād ṛte puṃsāṃ kuṭumbārthe hi vistaraḥ // K_569 //	Apad-kRtAt Rte puMsAm kuwumba-arTe hi vistaraH // K_569 //
   anyatra rajakavyādha- gopaśauṇḍikayoṣitām /	anyatra rajaka-vyADa gopa-SONxika-yozitAm /
   teṣāṃ tu tatparā vṛttiḥ kuṭumbaṃ ca tadāśrayam // K_570 //	tezAm tu tad-parA vRttiH kuwumbam ca tad-ASrayam // K_570 //
   amatenaiva putrasya pradhanā yānyam āśrayet /	amatena-eva putrasya praDanAH yA-anyam ASrayet /
   putreṇaivāpahāryaṃ tad- dhanaṃ duhitṛbhir vinā // K_571 //	putreNa-eva-apahAryam tad Danam duhitRBiH vinA // K_571 //
   ṛṇārtham āharet tantuṃ na sukhārthaṃ kadācana /	RNa-arTam Aharet tantum na suKa-arTam kadAcana /
   ayukte kāraṇe yasmāt pitarau tu na dāpayet // K_572 //	ayukte kAraNe yasmAt pitarO tu na dApayet // K_572 //
   yā svaputraṃ tu jahyāt strī samartham api putriṇī /	yA sva-putram tu jahyAt strI samarTam api putriNI /
   āhṛtya strīdhanaṃ tatra pitryarṇaṃ śodhayen manuḥ // K_573 //	AhRtya strIDanam tatra pitrya-RNam SoDayet manuH // K_573 //
   bālaputrādhikārthā ca bhartāraṃ yānyam āśritā /	bAla-putra-aDika-arTA ca BartAram yA-anyam ASritA /
   āśritas tadṛṇaṃ dadyād bālaputrāvidhiḥ smṛtaḥ // K_574 //	ASritaH tat-RNam dadyAt bAla-putrA-viDiH smRtaH // K_574 //
   dīrghapravāsinirbandhu- jaḍonmattārtaliṅginām /	dIrGa-pravAsi-nirbanDu jaxa-unmatta-Arta-liFginAm /
   jīvatām api dātavyaṃ tatstrīdravyasamāśritaiḥ // K_575 //	jIvatAm api dAtavyam tad-strI-dravya-samASritEH // K_575 //
   vyasanābhiplute putre bālo vā yatna dṛśyate /	vyasana-aBiplute putre bAlaH vA yatna dRSyate /
   dravyahṛd dāpyate tatra tasyābhāve purandhrihṛt // K_576 //	dravya-hRt dApyate tatra tasya-aBAve puranDri-hRt // K_576 //
   pūrvaṃ dadyād dhanagrāhaḥ putras tasmād anantaram /	pUrvam dadyAt Dana-grAhaH putraH tasmAt anantaram /
   yoṣidgrāhaḥ sutābhāve putro vātyantanirdhanaḥ // K_577 //	yozit-grAhaH suta-aBAve putraH vA-atyanta-nirDanaH // K_577 //
   deyaṃ bhāryākṛtam ṛṇaṃ bhartrā putreṇa mātṛkam /	deyam BAryA-akRtam RNam BartrA putreNa mAtRkam /
   bhartur arthe kṛtaṃ yat syād abhidhāya gate diśam // K_578 //	BartuH arTe kRtam yat syAt aBiDAya gate diSam // K_578 //
   deyaṃ putrakṛtaṃ tat syād yac ca syād anuvarṇitam /	deyam putra-kRtam tat syAt yat ca syAt anuvarNitam /
   kṛtāsaṃvāditaṃ yac ca śrutvā caivānucoditam // K_579 //	kRtA-saMvAditam yat ca SrutvA ca-eva-anucoditam // K_579 //
   [adharmaṇikasyāvarodhādinā dhanoddhāravicāra]	[aDarmaNikasya-avaroDa-AdinA Dana-udDAra-vicAra]
   dhāryo 'varuddhas tv ṛṇikaḥ prakāśaṃ janasaṃsadi /	DAryaH avarudDaH tu RNikaH prakASam jana-saMsadi /
   yāvan na dadyād deyaṃ ca deśācārasthitir yathā // K_580 //	yAvat na dadyAt deyam ca deSa-AcAra-sTitiH yaTA // K_580 //
   viṇmūtraśaṅkā yasya syād dhāryamāṇasya dehinaḥ /	viz-mUtra-SaFkA yasya syAt DAryamANasya dehinaH /
   pṛṣṭhato vānugantavyo nibaddhaṃ vā samutsṛjet // K_581 //	pRzWatas vA-anugantavyaH nibadDam vA samutsRjet // K_581 //
   sa kṛtapratibhūś caiva moktavyaḥ syād dine dine /	sa kRta-pratiBUH ca-eva moktavyaH syAt dine dine /
   āhārakāle rātrau ca nibandhe pratibhūḥ sthitaḥ // K_582 //	AhAra-kAle rAtrO ca nibanDe pratiBUH sTitaH // K_582 //
   yo darśanapratibhuvaṃ nādhigacchen na cāśrayet /	yaH darSana-pratiBuvam na-aDigacCet na ca-ASrayet /
   sa cārake niroddhavyaḥ sthāpyo vāvedya rakṣiṇaḥ // K_583 //	sa cArake nirodDavyaH sTApyaH vA-Avedya rakziNaH // K_583 //
   na cārake niroddhavya āryaḥ prātyayikaḥ śuciḥ /	na cArake nirodDavyaH AryaH prAtyayikaH SuciH /
   so 'nibaddhaḥ pramoktavyo nibaddhaḥ śapathena vā // K_584 //	saH anibadDaH pramoktavyaH nibadDaH SapaTena vA // K_584 //
   pīḍanenoparodhena sādhayed ṛṇikaṃ dhanī /	pIxanena-uparoDena sADayet RNikam DanI /
   karmaṇā vyavahāreṇa sāntvenādau vibhāvitaḥ // K_585 //	karmaNA vyavahAreNa sAntvena-AdO viBAvitaH // K_585 //
