   Kṣemendra: Kalāvilāsa	Kzema-indra: Kala-AvilAsa
   cicchedaiṣa mamāśāṃ sahasā pratiṣedhaśastreṇa // 2.76 //	cicCeda-eza mama-ASAm sahasA pratizeDa-SastreNa // 2.76 //
   tena prahatamaśastraṃ dāho'nagniśca nirviṣaṃ maraṇam &	tena prahatam-aSastram dAhaH-anagniH-ca nirvizam maraNam &
   vihitaṃ śaṭhena mohādāśābhaṅghaḥ kṛto yena // 2.77 //	vihitam SaWena mohAt-ASA-BaFGaH kRtaH yena // 2.77 //
   tasmānmamaiṣa śatruḥ sukṛtasama śātruvañcanāpāpam &	tasmAt-mama-eza SatruH sukRta-sama SAtru-vaQcana-apApam &
   riktasya nirapavādo vyājenopārjito'pyarthaḥ // 2.78 //	riktasya nirapavAdaH vyAjena-upArjitaH-api-arTaH // 2.78 //
   aṇu dhanamapi na tyājyaṃ mama bhavatā jñāpite satyam &	aNu Danam-api na tyAjyam mama BavatA jQApite satyam &
   vittaṃ jīvitamagryaṃ jīvitahānirdhanatyāgaḥ // 2.79 //	vittam jIvitam-agryam jIvita-hAnirDana-tyAgaH // 2.79 //
   iti saṃbhāṣiṇamasakṛddaityaguruṃ prārthitaṃ punarbahuśāḥ &	iti saMBAziNam-asakRt-dEtya-gurum prArTitam punar-bahuSAs &
   kavalīcakāra sahasā pratiṣedharuṣā virūpākṣaḥ // 2.80 //	kavalIcakAra sahasA pratizeDa-ruzA virUpAkzaH // 2.80 //
   jaṭharāntare purāreḥ pralayānalavipulabhīṣaṇāboge &	jaWara-antare purAreH pralaya-anala-vipula-BIzaNa-Aboge &
   prakvāthyamānakāyaḥ śukraścukrośa sākrośaḥ // 2.81 //	prakvATyamAna-kAyaH SukraH-cukroSa sa-AkroSaH // 2.81 //
   tyaja dhanamiti viṣamadṛśā punaḥ punaḥ prerito'vadacchukraḥ &	tyaja Danam-iti vizama-dRSA punar punar preritaH-avadat-SukraH &
   nidhanaṃ mamāstu bhagavandhanadadhanaṃ na tyajāmi kiṃcidapi // 2.82 //	niDanam mama-astu Bagavan-Dana-da-Danam na tyajAmi kiMcid-api // 2.82 //
   atha dhāraṇāpravṛddhajvalanajvālāsahasravikarāle &	aTa DAraNA-pravRdDa-jvalana-jvAlA-sahasra-vikarAle &
   śukraścukrośa bhṛśaṃ ghoragabhīre harodare patitaḥ // 2.83 //	SukraH-cukroSa BRSam Gora-ga-BIre hara-udare patitaH // 2.83 //
   tamuvāca devedevastyajya durgrahadagdha paravittam &	tam-uvAca devedevaH-tyajya durgraha-dagDa para-vittam &
   asminnudaramahodadhivaḍavāgnau mā gamaḥ pralayam // 2.84 //	asmin=-udara-mahA-udaDi-vaxava-agnO mA gamaH pralayam // 2.84 //
   so'vadadatiśayatāpasphuṭitāsthivasāpravāhabahalāgnau &	saH-avadat-atiSaya-tApa-sPuwita-asTi-vasA-pravAha-bahala-agnO &
   paramiha maraṇaṃ śreyo draviṇakaṇaṃ na tyajāmi socchvāsaḥ // 2.85 //	param-iha maraNam SreyaH draviNa-kaNam na tyajAmi sa-ucCvAsaH // 2.85 //
   punarapi ghoratarodgatakālānaladhāraṇānalajvalitaḥ &	punar-api Goratara-udgata-kAla-anala-DAraNa-anala-jvalitaH &
   śukraścakre devyāḥ stotraṃ kṣaṇaleśaśeṣāyuḥ // 2.86 //	SukraH-cakre devyAH stotram kzaNa-leSa-Seza-AyuH // 2.86 //
   stotrapadārādhitayā gauryā praṇayaprasādite rudre &	stotra-pada-ArADitayA gOryA praNaya-prasAdite rudre &
   tadvacasā labdhadhṛtiḥ śukradvāreṇa niryayau śukraḥ // 2.87 //	tad-vacasA labDa-DRtiH Sukra-dvAreNa niryayO SukraH // 2.87 //
   evaṃ svabhāvalubdhāstīvratarāṃ yātanāmapi sahante &	evam svaBAva-lubDAH-tIvratarAm yAtanAm-api sahante &
   na tu saṃtyajanti vittaṃ kauṭilyamivādhamaḥ sahajam // 2.88 //	na tu saMtyajanti vittam kOwilyam-iva-aDamaH sahajam // 2.88 //
   tasmāllobhasamutthā kapaṭakalā kuṭilavartinī māyā &	tasmAt-loBa-samutTA kapawa-kalA kuwila-vartinI mAyA &
   lubdhahṛdayeṣu nivasati nālubdho vañcanaṃ kurute // 2.89 //	lubDa-hRdayezu nivasati na-alubDaH vaQcanam kurute // 2.89 //
   sargaḥ 3	sargaH 3
   kāmaḥ kamanīyatayā kimapi nikāmaṃ karoti saṃmoham &	kAmaH kamanIya-tayA kim-api nikAmam karoti saMmoham &
   viṣāmiva viṣamaṃ sahasā madhuratayā jīvanaṃ harati // 3.1 //	vizAm-iva vizamam sahasA maDura-tayA jIvanam harati // 3.1 //
   ete hi kāmakalitāḥ parimalalīnālivalayahuṃkāraiḥ &	ete hi kAma-kalitAH parimala-lI-nAli-valaya-huMkArEH &
   sūcitadānāḥ kariṇo badhyante kṣipramabalābhiḥ // 3.2 //	sUcita-dAnAH kariNaH baDyante kzipram-abalABiH // 3.2 //
   pādāghātāḥ śitāṅkuśaghaṭanā nigaḍādisaṃrodham &	pAda-AGAtAH Sita-aFkuSa-GawanA nigaxa-Adi-saMroDam &
   viṣayamuṣitaḥ karīndraḥ kiṃ na smaravañcitaḥ sahate // 3.3 //	vizaya-muzitaH karIndraH kim na smara-vaQcitaH sahate // 3.3 //
   dīrghavyasananiruddho bhrūbhaṅgajño vidheyatāṃ yātaḥ &	dIrGa-vyasana-nirudDaH BrU-BaFga-jQaH viDeya-tAm yAtaH &
   viṣayavivaśo manuṣyaḥ keliśikhaṇḍīva nartyate strībhiḥ // 3.4 //	vizaya-vivaSaH manuzyaH keli-SiKaNxI-iva nartyate strIBiH // 3.4 //
   raktākarṣaṇasaktā māyābhirmohatimirarajanīṣu &	rakta-AkarzaNa-saktAH mAyABiH-moha-timira-rajanIzu &
   nāryaḥ piśācikā iva haranti hṛdayāni mugdhānām // 3.5 //	nAryaH piSAcikAH iva haranti hRdayAni mugDAnAm // 3.5 //
   rāgimṛgavāgurāṇāṃ hṛdayadvipabandhaśṛṅkhalaughānām &	rAgi-mRga-vAgurANAm hRdaya-dvipa-banDa-SRFKala-oGAnAm &
   vyasananavavallarīṇāṃ strīṇāṃ na mucyate vaśagaḥ // 3.6 //	vyasana-nava-vallarINAm strINAm na mucyate vaSa-gaH // 3.6 //
   saṃsāracitramāyāṃ śambaramāyāṃ vicittimāyāṃ ca &	saMsAra-citra-mAyAm Sambara-mAyAm vicitti-mAyAm ca &
   yo jānāti jitātmā so'pi na jānāti yoṣitāṃ māyām // 3.7 //	yaH jAnAti jita-AtmA saH-api na jAnAti yozitAm mAyAm // 3.7 //
   kusumasukumāradehā vajraśilākaṭhinahrdayasadbhāvāḥ &	kusuma-su-kumAra-dehAH vajra-SilA-kaWina-hrdaya-sadBAvAH &
   janayanti kasya nāntarvicitracaritāḥ striyo moham // 3.8 //	janayanti kasya na-antar-vicitra-caritAH striyaH moham // 3.8 //
   anuraktajanaviraktā namrotsiktā viraktarāgiṇyaḥ &	anurakta-jana-viraktAH namra-utsiktAH virakta-rAgiNyaH &
   vañcanavacanāsaktā nāryaḥ sadbhāvaśaṅkinyaḥ // 3.9 //	vaQcana-vacana-AsaktAH nAryaH sadBAva-SaFkinyaH // 3.9 //
   jātaḥ sa eva loke bahujanadṛṣṭā vilāsakuṭilāṅgī &	jAtaH saH eva loke bahu-jana-dRzwA vilAsa-kuwila-aFgI &
   dhairyadhvaṃsapatākā yasya na patnī prabhurgehe // 3.10 //	DErya-DvaMsa-patAkA yasya na patnI praBuH-gehe // 3.10 //
   vijitasya madavikāraiḥ strībhirmūkasya naṣṭasaṃjñasya &	vijitasya mada-vikArEH strIBiH-mUkasya nazwa-saMjQasya &
   gṛhadhūlipaṭalamakhilaṃ vadane niḥkṣipyate bhartuḥ // 3.11 //	gRha-DUli-pawalam-aKilam vadane niHkzipyate BartuH // 3.11 //
   kṛtakāparisphuṭākṣarakāmakalābhiḥ svabhāvamugdheva &	kRtakA-pari-sPuwa-akzara-kAma-kalABiH svaBAva-mugDA-iva &
   tilakāya candrabimbaṃ mugdhapatiṃ yācate prauḍha // 3.12 //	tilakAya candra-bimbam mugDa-patim yAcate prOXaH // 3.12 //
   svairavihāragatāgatakhinnāyāstīrthadarśanavyājaiḥ &	svEra-vihAra-gata-Agata-KinnAyAH-tIrTa-darSana-vyAjEH &
   bhartā vilāsavijitaścaraṇau mṛdnāti capalāyāḥ // 3.13 //	BartA vilAsa-vijitaH-caraNO mRdnAti capalAyAH // 3.13 //
   nayanavikārairanyaṃ vacanairanyaṃ viceṣṭitairanyam &	nayana-vikArEH-anyam vacanEH-anyam vicezwitEH-anyam &
   ramayati suratenānyaṃ strī bahurūpā svabhāvena // 3.14 //	ramayati suratena-anyam strI bahu-rUpA svaBAvena // 3.14 //
   nijapayicapalakurāṅgī paratarubhṛṅgī svabhāvamātaṅgī &	nija-payi-ca-pala-kura-aFgI parataru-BRFgI svaBAva-mAtaFgI &
   mithyāvibhramabhṛṅgī kuṭilabhujaṅgī nijā kasya // 3.15 //	miTyA-viBrama-BRFgI kuwila-BujaFgI nijA kasya // 3.15 //
   bahuvidhataruṇanirargalasaṃbhogasukhārthabhoginī veśyā &	bahuviDa-taruNa-nirargala-saMBoga-suKa-arTa-BoginI veSyA &
   dhanyeti vadanti sadā socchvāsā nirjane nāryaḥ // 3.16 //	DanyA-iti vadanti sadA sa-ucCvAsAH nirjane nAryaH // 3.16 //
   capalā tiṣṭhati harmye gāyati rathyāvalokinī svairam &	capalA tizWati harmye gAyati raTyA-avalokinI svEram &
   dhāvatyakāraṇaṃ vāḷhasati sphaṭikāśmamāleva // 3.17 //	DAvati-akAraNam vA?hasati sPawika-aSma-mAlA-iva // 3.17 //
   paśuriva vaktuṃ kartuṃ kiṃcidayaṃ mama patirna jānāti &	paSuH-iva vaktum kartum kiMcid-ayam mama patiH-na jAnAti &
   uktveti gṛhe svajanaṃ puruṣavyāpāramaṅganā kurute // 3.18 //	uktvA-iti gRhe sva-janam puruza-vyApAram-aFganA kurute // 3.18 //
   pratyutthānaṃ kurute vyavahāragatāgataiḥ svayaṃ yāti &	pratyutTAnam kurute vyavahAra-gata-AgatEH svayam yAti &
   uccairvadati ca gṛhe gṛhiṇī jīvanmṛtasyaiva // 3.19 //	uccEs-vadati ca gRhe gRhiNI jIvan-mRtasya-eva // 3.19 //
   īrṣyāluvṛddhabhāryā sevakapatnī niyogibhāryā vā &	IrzyAlu-vRdDa-BAryA sevaka-patnI niyogi-BAryA vA &
   kārukuśīlavanārī lubdhavadhūḥ sārthavāhavanitā vā // 3.20 //	kAru-kuSIla-vanArI lubDa-vaDUH sArTavAha-vanitA vA // 3.20 //
   goṣṭhīviharaṇaśīlā taruṇajane vatsalā prakṛtyaiva &	gozWI-viharaNa-SIlA taruNa-jane vatsalA prakRtyA-eva &
   paraguṇagaṇane saktā nijapatidoṣābhidhāyinī satatam // 3.21 //	para-guNa-gaNane saktA nija-pati-doza-aBiDAyinI satatam // 3.21 //
   alpadhanā bahubhogā rūpavatī vikṛtarūpabhāryā vā &	alpa-DanA bahu-BogA rUpavatI vikRta-rUpa-BAryA vA &
   mugdhavadhūḥ sakalakalāmānavatī nīcasaṃgamodvignā // 3.22 //	mugDa-vaDUH sakala-kalA-mAnavatI nIca-saMgama-udvignA // 3.22 //
   dyūtamadhupānasaktā dīrghakathāgītarāgiṇī kuśalā &	dyUta-maDu-pAna-saktA dIrGa-kaTA-gIta-rAgiNI kuSalAH &
   bahupuṃścalīvayasyā śūrajane prakṛtipakṣapātaiva // 3.23 //	bahu-puMScalI-vayasyA SUra-jane prakRti-pakzapAtA-eva // 3.23 //
   tyaktagṛhavyāpārā bahuvidhaveṣā nirargalābhyāsā &	tyakta-gRha-vyApArAH bahuviDa-vezAH nirargala-aByAsAH &
   pratyuttarasapratibhā satyavihīnā svabhāvanirlajjā // 3.24 //	pratyutta-rasa-pratiBA satya-vihInA svaBAva-nirlajjA // 3.24 //
   kuśalānāmayavārtāpraśnaparā prītipeśalālāpā &	kuSala-anAmaya-vArtA-praSna-parA prIti-peSala-AlApAH &
   vijane vividhakṛīḍāḍambaraśauṇḍā prakāśasāvitrī // 3.25 //	vijane viviDa-kRIxa-Axambara-SONxA prakASa-sAvitrI // 3.25 //
   kratutīrthasuraniketanagaṇakabhiṣagbandhugehagamanaparā &	kratu-tIrTa-sura-niketana-gaNaka-Bizaj-banDu-geha-gamana-parA &
   bhojanapānabahuvyayayātrotsavakāriṇī svatantreva // 3.26 //	Bojana-pAna-bahu-vyaya-yAtra-utsava-kAriNI svatantrA-iva // 3.26 //
   bhikṣutāpasabhaktā svajanaviraktā manoramāsaktā &	Bikzu-tApasa-BaktA sva-jana-viraktA manorama-AsaktAH &
   darśanadīkṣāraktā dayitaviraktā samādhisaṃyuktā // 3.27 //	darSana-dIkzA-raktA dayita-viraktA samADi-saMyuktAH // 3.27 //
   goṣṭhīrañjanamitrā vijñeyā naṣṭacāritrā (kulakam) // 3.28 //	gozWI-raQjana-mitrAH vijQeyAH nazwa-cAritrAH (kulakam) // 3.28 //
   satatānuraktadoṣā mohitajanatā bahugrahāścapalāḥ &	satata-anurakta-dozAH mohita-janatA bahu-grahAH-capalAH &
   saṃdhyāḥ striyaḥ piśācyo raktacchāyāharāḥ krūrāḥ // 3.29 //	saMDyAH striyaH piSAcyaH rakta=-CAyA-harAH krUrAH // 3.29 //
   kasya na vahanayogyo mugdhadhiyastucchasādhane lagnāḥ &	kasya na vahana-yogyaH mugDa-DiyaH-tucCa-sADane lagnAH &
   prītatayā praśamarucaścapalāsu strīṣu ye'dāntāḥ // 3.30 //	prIta-tayA praSama-rucaH-capalAsu strIzu ye-adAntAH // 3.30 //
   śṛṅgāraśauryakatthanamasamañjasadānavarṇanā vividhāḥ &	SRFgAra-SOrya-katTa-nam-asamaQjasa-dAna-varNanAH viviDAH &
   etāvadeva tāsāmamantrayantraṃ vaśīkaraṇam // 3.31 //	etAvat-eva tAsAm-amantrayantram vaSIkaraNam // 3.31 //
   kalikālatimirarajanīrajanicarīṇāṃ sahasramāyānām &	kali-kAla-timira-raja-nIraja-nicarINAm sahasra-mAyAnAm &
   strīṇāṃ nṛśamsacaritaiḥ kasya na saṃjāyate kampaḥ // 3.32 //	strINAm nRSamsa-caritEH kasya na saMjAyate kampaH // 3.32 //
   nirjitadhanapativibhavo babhūva bhuvi viśruto vaṇiṅnāthaḥ &	nirjita-Dana-pati-viBavaH baBUva Buvi viSrutaH vaNij-nATaH &
   dhanadatto nāma purā ratnānāmāśrayaḥ payodhiriva // 3.33 //	DanadattaH nAma purA ratnAnAm-ASrayaH payoDiH-iva // 3.33 //
   tasyābhavadvibhūtirmūrteva manobhuvaḥ sulalitāṅgī &	tasya-aBavat-viBUtiH-mUrtA-iva manoBuvaH su-lalita-aFgI &
   tanayā nayanavilāsairvijitāśā vasumatī nāma // 3.34 //	tanayA nayana-vilAsEH-vijita-ASA vasumatI nAma // 3.34 //
   pradadau sa tāmaputraḥ putrapade vinihitāṃ priyāṃ putrīṃ &	pradadO sa tAm-aputraH putra-pade vinihitAm priyAm putrIm &
   vaṇije vibhavakulodayatulyāya samudradattāya // 3.35 //	vaNije viBava-kula-udaya-tulyAya samudradattAya // 3.35 //
   ramamāṇaḥ sa tayā saha hariṇākṣyā śvasuramandire suciram &	ramamANaH sa tayA saha hariNAkzyA Svasura-mandire su-ciram &
   prayayau kadācidagre dvīpāyātasya sārthasya // 3.36 //	prayayO kadAcid-agre dvIpa-AyAtasya sArTasya // 3.36 //
   patyau yāte taruṇī janakagṛhe harmyaśikharamārūḍhā &	patyO yAte taruNI janaka-gRhe harmya-SiKaram-ArUXAH &
   vilalāsa vilāsamahī kelivilolā sakhībhiḥ sā // 3.37 //	vilalAsa vilAsa-mahI keli-vilolA saKIBiH sA // 3.37 //
   saudhe manmatharūpaṃ pṛthunayanā pathi dadarśa puruṣaṃ sā &	sODe manmaTa-rUpam pRTu-nayanA paTi dadarSa puruzam sA &
   yaṃ dṛṣtvaiva gatāsyāḥ kvāpi dhṛtiḥ kumatikupiteva // 3.38 //	yam dRztvA-eva gatAsyAH kvApi DRtiH kumati-kupitA-iva // 3.38 //
   sā tena capalanayanā sahasā muṣiteva hāritavicārā &	sA tena capala-nayanA sahasA muzitA-iva hArita-vicArAH &
   abhavadaśaktā nitarāṃ saṃvaraṇe smaravikārasya // 3.39 //	aBavat-aSaktA nitarAm saMvaraNe smara-vikArasya // 3.39 //
   śīlaṃ pālasya capale mā pātaya nimnageva kulakūlam &	SIlam pAlasya capale mA pAtaya nimnagA-iva kula-kUlam &
   iti tāmvadadivoccaiḥ kampākulamukharamekhalā suciram // 3.40 //	iti tAmvadat-ivA-uccEs kampa-Akula-muKara-meKalA su-ciram // 3.40 //
   sā kṛtvāḷviditakathāṃ rahasi sakhīmānināya taṃ taruṇam &	sA kRtvA-a?-vidita-kaTAm rahasi saKIm-AninAya tam taruNam &
   calitaṃ hi kāminīnāṃ dhartuṃ śaknoti kaścittam // 3.41 //	calitam hi kAminInAm Dartum Saknoti kaScid-tam // 3.41 //
   kāmaṃ kāmavikāsaiḥ suratavilāsaiḥ sunarmaparihāsaiḥ &	kAmam kAma-vikAsEH surata-vilAsEH su-narma-parihAsEH &
   sahajapremanivāsairmumude sā svairiṇī tena // 3.42 //	sahaja-prema-nivAsEH-mumude sA svEriNI tena // 3.42 //
   atha kṛtanijadhanakṛtyastvaritaṃ dayitāvilokanotkaṇṭhaḥ &	aTa kRta-nija-Dana-kRtyaH-tvaritam dayitA-vilokana-utkaNWaH &
   aviśatsamudradattaḥ śvaśurāvāsaṃ mahārambhaḥ // 3.43 //	aviSat-samudradattaH SvaSura-AvAsam mahAramBaH // 3.43 //
   vipulamahotsavalīlāvyagrajanairbhogasaṃpadāṃ nicayaiḥ &	vipula-mahA-utsava-lIlA-vyagra-janEH-Boga-saMpadAm nicayEH &
   ativāhya dinaṃ dayitāsahitaḥ śayyāgṛhaṃ sa yayau // 3.44 //	ativAhya dinam dayitA-sahitaH SayyA-gRham sa yayO // 3.44 //
   viracitavarataraśayane baddhavitāne manoramasthāne &	viracita-varatara-Sayane badDa-vitAne manorama-sTAne &
   jṛmbhitasaurabhadhūpe suragṛharūpe pradīptamaṇidīpe // 3.45 //	jRmBita-sOraBa-DUpe sura-gRha-rUpe pradIpta-maNi-dIpe // 3.45 //
   tatra sa madhumadavilulitalocanakamalāṃ priyāṃ samāliṅgya &	tatra sa maDu-mada-vilulita-locana-kamalAm priyAm samAliFgya &
   madagaja iva navanalinīṃ bheje ratilālasaḥ śayyām // 3.46 //	mada-gajaH iva nava-nalinIm Beje rati-lAlasaH SayyAm // 3.46 //
   sāpi hṛdayāntarasthitaparapuruṣadhyānabaddhalakṣaiva &	sA-api hRdaya-antara-sTita-para-puruza-DyAna-badDa-lakzA-eva &
   tasthau nimīlitākṣī dhyānaparā yoginīva ciram // 3.47 //	tasTO nimIlita-akzI DyAna-parAH yoginI-iva ciram // 3.47 //
   āliṅganaparicumbananīvivimokṣeṣu bahutarocchvāsā &	AliFgana-paricumba-nanI-vivimokzezu bahutara-ucCvAsAH &
   patyau saṅkucitāṅgī sasmāra tameva śīlaharam // 3.48 //	patyO saFkucita-aFgI sasmAra tam-eva SIla-haram // 3.48 //
   praṇayakupiteti matvā mugdhapatistāṃ samudradatto'pi &	praNaya-kupitA-iti matvA mugDa-patiH-tAm samudradattaH-api &
   praṇipatya cāṭukāraiḥ kimapi yayāce prasādāya // 3.49 //	praNipatya cAwu-kArEH kim-api yayAce prasAdAya // 3.49 //
   parapuruṣarāgiṇīnāṃ vimukhīnāṃ praṇayakāmavāmānām &	para-puruza-rAgiNInAm vimuKInAm praNaya-kAma-vAmAnAm &
   puruṣapaśavo vimūḍhā rajyante yoṣitāmadhikam // 3.50 //	puruza-paSavaH vimUXAH rajyante yozitAm-aDikam // 3.50 //
   kiṃ kriyate kāmo'yaṃ paragatakāmaḥ svatantrakāmaśca &	kim kriyate kAmaH-ayam para-gata-kAmaH svatantra-kAmaH-ca &
   dhanaśataraktāyāmapi saṃdhyāyāṃ bhāskaro rāgī // 3.51 //	Dana-Sata-raktAyAm-api saMDyAyAm BAskaraH rAgI // 3.51 //
   gūḍhopavananikuñje nyastaṃ sā vallabhaṃ sasaṃketam &	gUXa-upavana-nikuQje nyastam sA vallaBam sa-saMketam &
   saṃcintya ciraṃ svapatiṃ viṣamiva saṃmūrchitā mene // 3.52 //	saMcintya ciram sva-patim vizam-iva saMmUrCitAH mene // 3.52 //
   nidrāmudritanayane praṇayaśrānte samudradatte sā &	nidrA-mudrita-nayane praNaya-SrAnte samudradatte sA &
   utthāya racitaveṣā śanakairgamanonmukhī tasthau // 3.53 //	utTAya racita-vezA SanakEs-gamana-unmuKI tasTO // 3.53 //
   cauraḥ kṣaṇe ca tasminmugdhamattajanaṃ praviśya tadbhavanam &	cOraH kzaNe ca tasmin-mugDa-matta-janam praviSya tat-Bavanam &
   gamanotsukāmapaśyanmukharābharaṇāmalakṣyastām // 3.54 //	gamana-utsukAm-apaSyat-muKara-ABaraNAm-alakzyaH-tAm // 3.54 //
   atrāntare śaśāṅkaḥ śanakaiḥ surarājavallabhāṃ kakubham &	atra-antare SaSAFkaH SanakEs surarAja-vallaBAm kakuBam &
   cakita ivāśu cakampe mīlitatarāṃ samāliṅgya // 3.55 //	cakitaH iva-ASu cakampe mIlitatarAm samAliFgya // 3.55 //
   saṃkocitakamalāyāḥ kumudavijṛmbhāvirājamānāyāḥ &	saMkocita-kamalAyAH kumuda-vijRmBA-virAjamAnAyAH &
   prasasāra tuhinakiraṇo yāminyāḥ kapaṭahāsa iva // 3.56 //	prasasAra tuhina-kiraNaH yAminyAH kapawahAsaH iva // 3.56 //
   raviparitāpaśrāntāṃ vīkṣya divaṃ prasaradindusānandām &	ravi-paritApa-SrAntAm vIkzya divam prasarat-indu-sAnandAm &
   jahasuriva kumudavṛndairalikulakuṃkāraniebharā vāpyaḥ // 3.57 //	jahasuH-iva kumuda-vRndEH-ali-kula-kuMkAra-nieBarAH vApyaH // 3.57 //
   jagrāha rajaniramaṇī śaśikarahṛtatimirakañcukāvaraṇā &	jagrAha rajani-ramaNI SaSi-kara-hRta-timira-kaQcuka-AvaraNAH &
   lajjānviteva purataḥ kumudāmodākulālipaṭalapaṭam // 3.58 //	lajjA-anvitA-iva puratas kumuda-Amoda-Akula-ali-pawa-la-pawam // 3.58 //
   suptajane'tha niśārdhe candrāloke ca vipulatāṃ yāte &	supta-jane-aTa niSA-arDe candrAloke ca vipula-tAm yAte &
   tamasīva nirviśaṅkā sāḷśanakairupavanaṃ prayayau // 3.59 //	tamasi-iva nirviSaFkA sA?SanakEs-upavanam prayayO // 3.59 //
   atha sā viveśa vivaśā viṣamaśaraploṣitā nijopavanam &	aTa sA viveSa vivaSA vizama-Sara-plozitAH nija-upavanam &
   channaṃ bhūṣaṇalobhādanuyātā vismitena caureṇa // 3.60 //	Cannam BUzaNa-loBAt-anuyAtAH vismitena cOreNa // 3.60 //
   tatra dadarśa vibhūṣitamujjvalalalitāṃśukaṃ lasatkusumam &	tatra dadarSa viBUzitam-ujjvala-lalita-aMSukam lasat-kusumam &
   śaṅkājanakaṃ vipine pakṣibhirupalakṣitaṃ dayitam // 3.61 //	SaFkA-janakam vipine pakziBiH-upalakzitam dayitam // 3.61 //
   hṛdayadayitāviyogajvalanajvālāvalītaptam &	hRdaya-dayita-aviyoga-jvalana-jvAlA-AvalI-taptam &
   diṅmukhavilasitarucinā candreṇa karānalairdagdham // 3.62 //	diFmuKa-vilasita-rucinA candreNa kara-analEH-dagDam // 3.62 //
   cirasaṅketasthityā muktāśaṃ priyatamāpunarmilane &	cira-saFketa-sTityA muktASam priyatamA-punar-milane &
   vṛkṣālambitavallīvalayālambena vigalitaprāṇam // 3.63 //	vRkza-Alambita-vallI-valaya-Alambena vigalita-prANam // 3.63 //
   taṃ dṛṣṭvaiva vilīnā vilapantī vyasanaśokasaṃtrāsaiḥ &	tam dRzwvA-eva vilInA vilapantI vyasana-Soka-saMtrAsEH &
   nipapāta vallarīva kvaṇadalivalayākulā tanvī // 3.64 //	nipapAta vallarI-iva kvaNadali-valaya-AkulA tanvI // 3.64 //
   saṃmohamīlitākṣī sthitvā suciraṃ mahīṃ samāliṅgya &	saMmoha-mIlita-akzI sTitvA su-ciram mahIm samAliFgya &
   śanakairavāptajīvā vilalāpa laghusvaraiḥ svairam // 3.65 //	SanakEs-avApta-jIvAH vilalApa laGu-svarEH svEram // 3.65 //
   hā hā nayanānanda kva nu te viśadendusundaraṃ vadanam &	hA hA nayana-Ananda kva nu te viSada-indu-sundaram vadanam &
   drakṣyāmi mandapuṇyā kimidaṃ kvāhaṃ kva me kāntaḥ // 3.66 //	drakzyAmi manda-puNyA kim-idam kva-aham kva me kAntaH // 3.66 //
   iti taruṇakaruṇamabalā vilapya pāśaṃ vimucya yatnena &	iti taruNa-karuNam-abalAH vilapya pASam vimucya yatnena &
   aṅke dhṛtvāsya mukhaṃ cucumba jīvaṃ kṣipantīva // 3.67 //	aFke DRtvA-asya muKam cucumba jIvam kzipanti-iva // 3.67 //
   sā tasya vadanakamalaṃ nijavadane mohitā kṛtvā &	sA tasya vadana-kamalam nija-vadane mohitA kRtvA &
   tāmbūlagarbhamakarotprakaṭitasākārarāgeva // 3.68 //	tAmbUla-garBam-akarot-prakawita-sa-AkAra-rAgA-iva // 3.68 //
   atha tasyāḥ kusumotkaramṛgamadadhūpādisaurabhāhūtaḥ &	aTa tasyAH kusuma-utkara-mRga-mada-DUpa-Adi-sOraBa-AhUtaH &
   āviśya śavakaśarīraṃ nāsāṃ ciccheda vetālaḥ // 3.69 //	AviSya Savaka-SarIram nAsAm cicCeda vetAlaH // 3.69 //
   sā prāpya cāpalocitamanayaphalaṃ chinnanāsikā gatvā &	sA prApya cApala-ucitam-anaya-Palam Cinna-nAsikA gatvA &
   bhavanaṃ praviśya bhartustāraṃ hāheti cukrośa // 3.70 //	Bavanam praviSya BartuH-tAram hAhA-iti cukroSaH // 3.70 //
   pratibaddhe sakalajane nādatraste samudradatte ca &	pratibadDe sakala-jane nAdatraH-te samudradatte ca &
   sā nāsikā mameyaṃ bhartrā chinneti cakranda // 3.71 //	sA nAsikA mama-iyam BartrA CinnA-iti cakrandaH // 3.71 //
   śvaśurādibandhuvargaiḥ pṛṣṭaḥ kupitaiḥ samudradatto'pi &	SvaSura-Adi-banDu-vargEH pRzwaH kupitEH samudradattaH-api &
   vikrītaḥ paradeśe mūka ivoce na kiṃcidapi // 3.72 //	vikrItaH para-deSe mUkaH iva-Uce na kiMcid-api // 3.72 //
   atha cāsya suprabhāte bandhubhirāvedite nṛpasabhāyām &	aTa ca-asya su-praBAte banDuBiH-Avedite nRpa-saBAyAm &
   tatrābhūnnṛpakopo bahudhanadaṇḍaḥ samudradattasya // 3.73 //	tatra-aBUt-nRpa-kopaH bahu-Dana-daNxaH samudradattasya // 3.73 //
   cauro'pi nikhilavṛttaṃ pratyakṣamavekṣya vismayāviṣṭaḥ &	cOraH-api niKila-vRttam pratyakzam-avekzya vismaya-AvizwaH &
   āvedya bhūpapurataḥ prāpya ca kalayādisatkāram // 3.74 //	Avedya BUpa-purataH prApya ca kalayA-Adi-satkAram // 3.74 //
   udyāne śavavadane tasyāstāṃ nāsikāṃ ca saṃdarśya &	udyAne Sava-vadane tasya-AH-tAm nAsikAm ca saMdarSya &
   niṣkāraṇasuhṛducitāṃ śuddhiṃ vidadhe samudradattasya // 3.75 //	nizkAraNa-suhRd-ucitAm SudDim vidaDe samudradattasya // 3.75 //
