   akārayat kārayitavyadakṣā Ks_7.27c	akArayat kArayitavya-dakzA KH-_7.27c
   paralokanavapravāsinaḥ Ks_4.10a	para-loka-nava-pravAsinaH KH-_4.10a
   paralokavidhau ca mādhava Ks_4.38a	para-loka-viDO ca mADava KH-_4.38a
   paralokāntaritasya te mayā Ks_4.22b	para-loka-antaritasya te mayA KH-_4.22b
   parasparākrandini cakravākayoḥ Ks_5.26c	paraspara-Akrandini cakravAkayoH KH-_5.26c
   paraspareṇa spṛhaṇīyaśobhaṃ Ks_7.66a	paraspareNa spRhaNIya-SoBam KH-_7.66a
   parāṅmukhī viśvasṛjaḥ pravṛttiḥ Ks_3.28d	parAFmuKI viSvasRjaH pravRttiH KH-_3.28d
   parājitenāpi kṛtau harasya Ks_1.41c	parAjitena-api kRtO harasya Ks_1.41c
   parābhimarśo na tavāsti kaḥ karaṃ Ks_5.43c	para-aBimarSaH na tava-asti kaH karam Ks_5.43c
   parā hi kāṣṭhā tapasas tayā punaḥ Ks_5.28b	parA hi kAzWA tapasaH tayA punar KH-_5.28b
   paricchinnaprabhāvarddhir Ks_2.58c	paricCinna-praBAva-RdDiH KH-_2.58c
   pariṇeṣyati pārvatīṃ yadā Ks_4.42a	pariNezyati pArvatIm yadA KH-_4.42a
   paritoṣāya mūrcchate Ks_6.59b	paritozAya mUrcCate KH-_6.59b
   paripākam upeyuṣām Ks_6.10b	paripAkam upeyuzAm KH-_6.10b
   parimlānamukhaśriyām Ks_2.2,b	parimlAna-muKa-SriyAm KH-_2.2,b
   pariśramaṃ nāma vinīya ca kṣaṇam Ks_5.32b	pariSramam nAma vinIya ca kzaNam KH-_5.32b
   paro 'pi ko nāma tavānumanyate Ks_5.68b	paraH api kaH nAma tava-anumanyate KH-_5.68b
   paryaṅkabandhasthirapūrvakāyam Ks_3.45a	paryaFka-banDa-sTira-pUrva-kAyam KH-_3.45a
   paryaṅkabandhaṃ nibiḍaṃ bibheda Ks_3.59d	paryaFka-banDam nibixam biBeda KH-_3.59d
   paryākulatvān marutāṃ Ks_2.25a	paryAkula-tvAt marutAm KH-_2.25a
   paryākṣipat kācid udārabandhaṃ Ks_7.14c	paryAkzipat kAcid udAra-banDam Ks_7.14c
   paryāptacandreva śarattriyāmā Ks_7.26b	paryApta-candrA-iva Sarad-triyAmA KH-_7.26b
   paryāptapuṣpastabakastanābhyaḥ Ks_3.39a	paryApta-puzpa-stabaka-stanAByaH KH-_3.39a
   paryāptapuṣpastabakāvanamrā Ks_3.54c	paryApta-puzpa-stabaka-avanamrA KH-_3.54c
   paryāyasevām utsṛjya Ks_2.36a	paryAya-sevAm utsRjya KH-_2.36a
   pallavaprasaviṣu drumeṣu ca Ks_8.46b	pallava-prasavizu drumezu ca KH-_8.46b
   pavanair bhasma kapotakarburam Ks_4.27d	pavanEH Basma kapota-karburam KH-_4.27d
   paśupatir api tāny ahāni kṛcchrād Ks_6.95a	paSupatiH api tAni ahAni kRcCrAt KH-_6.95a
   paścātkṛtāḥ snigdhajanāśiṣo ' pi Ks_7.28d	paScAt-kRtAH snigDa-jana-ASizaH a pi KH-_7.28d
   paścād umākhyāṃ sumukhī jagāma Ks_1.26d	paScAt umA-AKyAm su-muKI jagAma KH-_1.26d
   paścād bhedam upeyuṣe Ks_2.4d	paScAt Bedam upeyuze KH-_2.4d
   paśya kalpatarulambi śuddhayā Ks_8.71a	paSya kalpa-taru-lambi SudDayA KH-_8.71a
   paśya dhāturasanimnagām iva Ks_8.53d	paSya DAtu-rasa-nimnagAm iva KH-_8.53d
   paśya dhātuśikhareṣu bhānunā Ks_8.46c	paSya DAtu-SiKarezu BAnunA KH-_8.46c
   paśyann adūrān manasāpy adhṛṣyam Ks_3.51b	paSyan adUrAt manasA-api aDRzyam KH-_3.51b
   paśya pakvaphalinīphalatviṣā Ks_8.61a	paSya pakva-PalinI-Pala-tvizA KH-_8.61a
   paśya paścimadigantalambinā Ks_8.34a	paSya paScima-diS-anta-lambinA KH-_8.34a
   paśya pārvati navenduraśmibhiḥ Ks_8.64a	paSya pArvati nava-indu-raSmiBiH KH-_8.64a
   pākabhinnaśarakāṇḍagaurayor Ks_8.74a	pAka-Binna-Sara-kANxa-gOrayoH KH-_8.74a
   pāṇipīḍanavidher anantaraṃ Ks_8.1a	pANi-pIxana-viDeH anantaram KH-_8.1a
   pāṇau pāśaḥ pracetasaḥ Ks_2.21b	pANO pASaH pracetasaH KH-_2.21b
   pādanyāsair vasundharām Ks_6.50d	pAda-nyAsEH vasunDarAm KH-_6.50d
   pādānataḥ kopanayāvadhūtaḥ Ks_3.8b	pAda-AnataH kopanayA-avaDUtaH KH-_3.8b
   pādena nāpaikṣata sundarīṇāṃ Ks_3.26c	pAdena na-apEkzata sundarINAm KH-_3.26c
   pādena parameṣṭhinaḥ Ks_6.70b	pAdena paramezWinaH KH-_6.70b
   pārijātakusumaiḥ prasādhayan Ks_8.27b	pArijAta-kusumEH prasADayan KH-_8.27b
   pārthivaṃ ca dayitāsakhaḥ sukham Ks_8.28b	pArTivam ca dayitA-saKaH suKam KH-_8.28b
   pārvatī tadupayogasambhavāṃ Ks_8.78a	pArvatI tad-upayoga-samBavAm KH-_8.78a
   pārvatī pratimukhaṃ nipātitam Ks_8.3b	pArvatI pratimuKam nipAtitam KH-_8.3b
   pārvatīm avacanām asūyayā Ks_8.50c	pArvatIm avacanAm asUyayA KH-_8.50c
   pārvatīm ātmajanmane Ks_6.28b	pArvatIm Atmajanmane KH-_6.28b
   pārvatīratam abhūn na tṛptaye Ks_8.83d	pArvatI-ratam aBUt na tRptaye KH-_8.83d
   pārvatīvadanagandhavāhine Ks_8.19d	pArvatI-vadana-ganDa-vAhine KH-_8.19d
   pārvatīvadanapadmaṣaṭpadaḥ Ks_8.23d	pArvatI-vadana-padma-zawpadaH KH-_8.23d
   pārvatī viṣahate sma netarat Ks_8.9d	pArvatI vizahate sma na-itarat KH-_8.9d
   pārvatīstanapuraskṛtān kṛtī Ks_8.22b	pArvatI-stana-puraskRtAn kRtI KH-_8.22b
   pārśve pitur adhomukhī Ks_6.84b	pArSve pituH aDomuKI KH-_6.84b
   pāvanāmbuvihitāñjalikriyāḥ Ks_8.47b	pAvana-ambu-vihita-aQjali-kriyAH KH-_8.47b
   pituḥ pradeśās tava devabhūmayaḥ Ks_5.45b	pituH pradeSAH tava deva-BUmayaH KH-_5.45b
   pinākapāṇiṃ patim āptum icchati Ks_5.53d	pinAkapANim patim Aptum icCati KH-_5.53d
   pinākinā bhagnamanorathā satī Ks_5.1b	pinAkinA Bagna-manoraTA satI KH-_5.1b
   pītaṃ guros tadvacanaṃ bhavānyā Ks_7.84b	pItam guroH tat-vacanam BavAnyA KH-_7.84b
   pīvaroru pibatīva barhiṇaḥ Ks_8.36d	pIvara-Uru pibati-iva barhiNaH KH-_8.36d
   puṇḍarīkamukhi pūrvadiṅmukhaṃ Ks_8.58c	puNxarIka-muKi pUrva-diS-muKam KH-_8.58c
   punanti lokān puṇyatvāt Ks_6.69c	punanti lokAn puNya-tvAt Ks_6.69c
   punar aṅkāśrayiṇī bhavāmi te Ks_4.20b	punar aFka-ASrayiNI BavAmi te KH-_4.20b
   punar apy ādiśa tāvad utthitaḥ Ks_4.16b	punar api AdiSa tAvat utTitaH KH-_4.16b
   punar oghena hi yujyate nadī Ks_4.44d	punar oGena hi yujyate nadI KH-_4.44d
   punar grahītuṃ niyamasthayā tayā Ks_5.13a	punar grahItum niyama-sTayA tayA KH-_5.13a
   punarbhavakleśabhayāt prapannaḥ Ks_3.5b	punarBava-kleSa-BayAt prapannaH KH-_3.5b
   punar vaśitvād balavan nigṛhya Ks_3.69b	punar vaSi-tvAt balavat nigRhya KH-_3.69b
   punar vivakṣuḥ sphuritottarādharaḥ Ks_5.83b	punar vivakzuH sPurita-uttara-aDaraH KH-_5.83b
   punaḥ-punaḥ kesaradāmakāñcīm Ks_3.55b	punar--punar kesara-dAma-kAQcIm KH-_3.55b
   punaḥ prekṣya ca śūlinam Ks_6.94b	punar prekzya ca SUlinam KH-_6.94b
   pupoṣa lāvaṇyamayān viśeṣāñ Ks_1.25c	pupoza lAvaNya-mayAn viSezAn KH-_1.25c
   purandhrīṇāṃ pragalbhatā Ks_6.32d	puranDrINAm pragalBa-tA KH-_6.32d
   puramārge ghanaśabdaviklavāḥ Ks_4.11b	pura-mArge Gana-Sabda-viklavAH KH-_4.11b
   puraḥpākābhir ambikām Ks_6.90d	puraHpAkABiH ambikAm KH-_6.90d
   puraḥ sakhīnām amimīta locane Ks_5.15d	puras saKInAm amimIta locane KH-_5.15d
   purāṇasya kaves tasya Ks_2.17a	purANasya kaveH tasya KH-_2.17a
   purātanāḥ purāvidbhir Ks_6.9c	purAtanAH purAvidBiH KH-_6.9c
   purārim aprāptamukhaḥ śilīmukhaḥ Ks_5.54b	purArim aprApta-muKaH SilImuKaH KH-_5.54b
   puruṣārthapravartinīm Ks_2.13b	puruza-arTa-pravartinIm KH-_2.13b
   pure tāvantam evāsya Ks_2.33a	pure tAvantam eva-asya KH-_2.33a
   puro viyukte mithune kṛpāvatī Ks_5.26d	puras viyukte miTune kRpAvatI KH-_5.26d
   puro vilagnair haradṛṣṭipātaiḥ Ks_7.50c	puras vilagnEH hara-dRzwi-pAtEH KH-_7.50c
   puṣkarāvartakādiṣu Ks_2.50b	puzkarAvartaka-Adizu KH-_2.50b
   puṣpasaṃbhāratatparāḥ Ks_2.36b	puzpa-saMBAra-tatparAH KH-_2.36b
   puṣpaṃ pravālopahitaṃ yadi syān Ks_1.44a	puzpam pravAla-upahitam yadi syAt KH-_1.44a
   puṣpāsavāghūrṇitanetraśobhi Ks_3.38c	puzpa-Asava-AGUrNita-netra-SoBi KH-_3.38c
   puṣpoccayaḥ pallavabhaṅgabhinnaḥ Ks_3.61d	puzpa-uccayaH pallava-BaFga-BinnaH KH-_3.61d
   puṣyanti loke viparītam artham Ks_3.63d	puzyanti loke viparItam arTam KH-_3.63d
   puṃskokilo yan madhuraṃ cukūja Ks_3.32b	puMskokilaH yat maDuram cukUja KH-_3.32b
   pūrvadṛṣṭatanucandrikāsmitam Ks_8.60b	pUrva-dRzwa-tanu-candrikA-smitam KH-_8.60b
   pūrvabhāgatimirapravṛttibhir Ks_8.37a	pUrva-BAga-timira-pravRttiBiH KH-_8.37a
   pūrvaṃ mahimnā sa hi tasya dūram Ks_7.54c	pUrvam mahimnA sa hi tasya dUram KH-_7.54c
   pūrvāparādhabhītasya Ks_6.14c	pUrva-aparADa-BItasya Ks_6.14c
   pūrvāparau toyanidhī vigāhya Ks_1.1c	pUrva-aparO toya-niDI vigAhya Ks_1.1c
   pṛthivyādibhir ātmani Ks_6.76b	pRTivI-AdiBiH Atmani KH-_6.76b
   pṛthūpadiṣṭāṃ duduhur dharitrīm Ks_1.2d	pRTu-upadizwAm duduhuH DaritrIm KH-_1.2d
   pṛṣṭhataḥ praṇayino niṣeduṣaḥ Ks_8.11b	pRzWatas praNayinaH nizeduzaH KH-_8.11b
   prakāmālokanīyatām Ks_2.24d	prakAma-AlokanIya-tAm KH-_2.24d
   prakṛtyaiva śiloraskaḥ Ks_6.51c	prakRtyA-eva SilA-uraskaH KH-_6.51c
   pracakrame vaktum anujjhitakramaḥ Ks_5.32d	pracakrame vaktum anujJita-kramaH KH-_5.32d
   prajalpitāyām abhijātavāci Ks_1.45b	prajalpitAyAm aBijAta-vAci KH-_1.45b
   prajāpatiḥ kalpitayajñabhāgaṃ Ks_1.17c	prajApatiH kalpita-yajQa-BAgam Ks_1.17c
   prajāsu paścāt prathitaṃ tadākhyayā Ks_5.7c	prajAsu paScAt praTitam tad-AKyayA KH-_5.7c
   praṇamya śitikaṇṭhāya Ks_6.81a	praNamya SitikaNWAya KH-_6.81a
   praṇipatyopatasthire Ks_2.3d	praNipatya-upatasTire KH-_2.3d
   praṇipātāñjaliyācitaś citām Ks_4.35d	praNipAta-aQjali-yAcitaH citAm KH-_4.35d
   praṇematus tau pitarau prajānāṃ Ks_7.86c	praNematuH tO pitarO prajAnAm KH-_7.86c
   pratasthe munimaṇḍalam Ks_6.35b	pratasTe muni-maNxalam KH-_6.35b
   pratāpakṣatiśītalāḥ Ks_2.24b	pratApa-kzati-SItalAH KH-_2.24b
   pratikūlaṃ na ca te mayā kṛtam Ks_4.7b	pratikUlam na ca te mayA kRtam KH-_4.7b
   pratikṣaṇaṃ saṃbhramaloladṛṣṭir Ks_3.56c	pratikzaNam saMBrama-lola-dRzwiH KH-_3.56c
   pratikṣaṇaṃ sā kṛtaromavikriyāṃ Ks_5.10a	pratikzaNam sA kRta-roma-vikriyAm KH-_5.10a
   pratigrahītuṃ praṇayipriyatvāt Ks_3.66a	pratigrahItum praNayi-priya-tvAt KH-_3.66a
   pratighātotthitārciṣā Ks_2.49b	pratiGAta-utTita-arcizA KH-_2.49b
   pratipatsye padavīm ahaṃ tava Ks_4.10b	pratipatsye padavIm aham tava KH-_4.10b
   pratipathagatir āsīd vegadīrghīkṛtāṅgaḥ Ks_3.76d	pratipaTa-gatiH AsIt vega-dIrGIkRta-aFgaH KH-_3.76d
   pratipadya manoharaṃ vapuḥ Ks_4.16a	pratipadya manoharam vapuH KH-_4.16a
   pratipannaṃ hi vicetanair api Ks_4.33d	pratipannam hi vicetanEH api KH-_4.33d
   pratīpagamanād iva Ks_2.25d	pratIpa-gamanAt iva KH-_2.25d
   pratyagrahīt sarvam amantravarjam Ks_7.72d	pratyagrahIt sarvam amantra-varjam KH-_7.72d
   pratyarthibhūtām api tāṃ samādheḥ Ks_1.59a	pratyarTi-BUtAm api tAm samADeH KH-_1.59a
   pratyāneṣyati śatrubhyo Ks_2.52c	pratyAnezyati SatruByaH KH-_2.52c
   pratyāha parameśvaraḥ Ks_6.25d	pratyAha parameSvaraH KH-_6.25d
   pratyujjagāmāgamanapratītaḥ Ks_7.52c	pratyujjagAma-Agamana-pratItaH KH-_7.52c
   pratyupetya punar āha sasmitam Ks_8.50d	pratyupetya punar Aha sa-smitam KH-_8.50d
   pratyuvāca divaukasaḥ Ks_2.16d	pratyuvAca divOkasaH KH-_2.16d
   pratyuvāca sa bhūdharam Ks_6.65d	pratyuvAca sa BUDaram KH-_6.65d
   pratyekaṃ viniyuktātmā Ks_2.31c	pratyekam viniyukta-AtmA KH-_2.31c
   prathamā vṛṣṭir ivānvakampata Ks_4.39d	praTamA vRzwiH iva-anvakampata KH-_4.39d
   prathamoddiṣṭam āspadam Ks_6.35d	praTama-uddizwam Aspadam KH-_6.35d
   pradakṣiṇaprakramaṇāt kṛśānor Ks_7.79a	pradakziNa-prakramaNAt kRSAnoH KH-_7.79a
   prapedire prāktanajanmavidyāḥ Ks_1.30d	prapedire prAktana-janma-vidyAH KH-_1.30d
   praphullakāśā vasudheva reje Ks_7.11d	praPulla-kASAH vasuDA-iva reje KH-_7.11d
   praphullacakṣuḥkumudaḥ kumāryā Ks_7.74b	praPulla-cakzuH-kumudaH kumAryA KH-_7.74b
   praphullarājīvam ivāṅkamadhye Ks_3.45d	praPulla-rAjIvam iva-aFka-maDye KH-_3.45d
   praphullavṛkṣaiḥ kaṭakair iva svaiḥ Ks_7.52d	praPulla-vRkzEH kawakEH iva svEH KH-_7.52d
   prabodhayaty ūrdhvamukhair mayūkhaiḥ Ks_1.16d	praboDayati UrDva-muKEH mayUKEH KH-_1.16d
   prabhavas tasya gīyase Ks_2.5d	praBavaH tasya gIyase KH-_2.5d
   prabhaveṇa dvitīyena Ks_6.70c	praBaveNa dvitIyena Ks_6.70c
   prabhāmahatyā śikhayeva dīpas Ks_1.28a	praBA-mahatyA SiKayA-iva dIpaH Ks_1.28a
   prabhāvair avalambya vaḥ Ks_2.18b	praBAvEH avalambya vaH KH-_2.18b
   prabhinnadigvāraṇavāhano vṛṣā Ks_5.80b	praBinna-diS-vAraNa-vAhanaH vRzA KH-_5.80b
   pramathamukhavikārair hāsayām āsa gūḍham Ks_7.95d	pramaTa-muKa-vikArEH hAsayAm Asa gUXam KH-_7.95d
   pramadānām adhunā viḍambanā Ks_4.12d	pramadAnAm aDunA vixambanA KH-_4.12d
   pramadāḥ pativartmagā iti Ks_4.33c	pramadAH pati-vartma-gAH iti Ks_4.33c
   pramāṇīkriyatām iti Ks_6.1d	pramANIkriyatAm iti KH-_6.1d
   prayatnasaṃstambhitavikriyāṇāṃ Ks_3.34c	prayatna-saMstamBita-vikriyANAm Ks_3.34c
   prayuktapāṇigrahaṇaṃ yad anyad Ks_7.78a	prayukta-pANigrahaNam yat anyat Ks_7.78a
   prayuktapāṇigrahaṇopacārau Ks_7.86b	prayukta-pANigrahaNa-upacArO KH-_7.86b
   prayuktarāgapraṇidhir dviṣas te Ks_3.6b	prayukta-rAga-praNiDiH dvizaH te KH-_3.6b
   prayuktasatkāraviśeṣam ātmanā Ks_5.39a	prayukta-satkAra-viSezam AtmanA KH-_5.39a
   prayujyamānā priyadarśanena Ks_7.85b	prayujyamAnA priya-darSanena KH-_7.85b
   prayogam ādyaṃ lalitāṅgahāram Ks_7.91d	prayogam Adyam lalita-aFga-hAram KH-_7.91d
   prayojanāpekṣitayā prabhūṇāṃ Ks_3.1c	prayojana-apekzitayA praBUNAm KH-_3.1c
   pralayasthitisargāṇām Ks_2.6c	pralaya-sTiti-sargANAm KH-_2.6c
   pralayāntonmiṣite vilocane Ks_4.2b	pralaya-anta-unmizite vilocane KH-_4.2b
   pravātanīlotpalanirviśeṣam Ks_1.46a	pravAta-nIlotpala-nirviSezam Ks_1.46a
   pravālam āsām anubandhi vīrudhām Ks_5.34b	pravAlam AsAm anubanDi vIruDAm KH-_5.34b
   pravālaśayyāśaraṇaṃ śarīram Ks_3.8d	pravAla-SayyA-SaraNam SarIram KH-_3.8d
   pravṛttir āsīc chabdānāṃ Ks_2.17c	pravRttiH AsIt SabdAnAm KH-_2.17c
   pravepamānādharapatraśobhinā Ks_5.27b	pravepamAna-aDara-patra-SoBinA KH-_5.27b
   pravepamānādharalakṣyakopayā Ks_5.74b	pravepamAna-aDara-lakzya-kopayA KH-_5.74b
   praveśayām āsa ca bhartur enāṃ Ks_3.60c	praveSayAm Asa ca BartuH enAm Ks_3.60c
   praśamād arciṣām etad Ks_2.20a	praSamAt arcizAm etat KH-_2.20a
   praśastam ārambham ivottamārthāḥ Ks_7.71d	praSastam AramBam iva-uttama-arTAH KH-_7.71d
   praśnatatparam anaṅgaśāsanam Ks_8.6b	praSna-tatparam anaFga-SAsanam KH-_8.6b
   prasannacetaḥsalilaḥ śivo 'bhūt Ks_7.74c	prasanna-cetaH-salilaH SivaH aBUt KH-_7.74c
   prasannadik pāṃsuviviktavātaṃ Ks_1.23a	prasanna-diS pAMsu-vivikta-vAtam Ks_1.23a
   prasādābhimukho vedhāḥ Ks_2.16c	prasAda-aBimuKaH veDAH KH-_2.16c
   prasādhanaṃ mātṛbhir ādṛtābhir Ks_7.30c	prasADanam mAtRBiH AdRtABiH KH-_7.30c
   prasādhane sannihite 'pi nāryaḥ Ks_7.13d	prasADane sannihite api nAryaH KH-_7.13d
   prasādhikābhir nayane nirīkṣya Ks_7.20b	prasADikABiH nayane nirIkzya KH-_7.20b
   prasādhikālambitam agrapādam Ks_7.58a	prasADikA-Alambitam agra-pAdam KH-_7.58a
   prasārayet pannagaratnasūcaye Ks_5.43d	prasArayet pannaga-ratna-sUcaye KH-_5.43d
   prasiddhanepathyavidher vidhātā Ks_7.36b	prasidDa-nepaTya-viDeH viDAtA KH-_7.36b
   prasīda kathayātmānaṃ Ks_6.22c	prasIda kaTaya-AtmAnam Ks_6.22c
   prasīda viśrāmyatu vīra vajraṃ Ks_3.9a	prasIda viSrAmyatu vIra vajram KH-_3.9a
   prasūtibhājaḥ sargasya Ks_2.7c	prasUti-BAjaH sargasya Ks_2.7c
   prasūtiṃ prati yācitaḥ Ks_6.27d	prasUtim prati yAcitaH KH-_6.27d
   prastutāya niyamāya mām api Ks_8.48b	prastutAya niyamAya mAm api KH-_8.48b
   prasthaṃ himādrer mṛganābhigandhi Ks_1.54c	prasTam himAdreH mRganABi-ganDi KH-_1.54c
   prasthānabhinnāṃ na babandha nīvīm Ks_7.60b	prasTAna-BinnAm na babanDa nIvIm KH-_7.60b
   prasthānaṃ bhavatām iha Ks_6.61d	prasTAnam BavatAm iha KH-_6.61d
   prasphuradbhir iva paśya sundari Ks_8.68b	prasPuradBiH iva paSya sundari KH-_8.68b
   prahartum abhyudyatam ātmayonim Ks_3.70d	prahartum aByudyatam Atmayonim KH-_3.70d
   prākāmyaṃ te vibhūtiṣu Ks_2.11d	prAkAmyam te viBUtizu KH-_2.11d
   prāktanānāṃ viśuddhānāṃ Ks_6.10a	prAktanAnAm viSudDAnAm KH-_6.10a
   prāk sṛṣṭeḥ kevalātmane Ks_2.4b	prAk sRzweH kevala-Atmane KH-_2.4b
   prājāpatyās tapasvinaḥ Ks_6.34d	prAjApatyAH tapasvinaH KH-_6.34d
   prāñjalir jalajāsanam Ks_2.30d	prAQjaliH jalaja-Asanam KH-_2.30d
   prāñjaliḥ pṛthivīdharaḥ Ks_6.53d	prAQjaliH pRTivIDaraH KH-_6.53d
   prātar dīdhitimān iva Ks_2.2,d	prAtar dIDitimAn iva KH-_2.2,d
   prādur āsan puraḥ prabhoḥ Ks_6.4d	prAdur Asan puras praBoH KH-_6.4d
   prānteṣu saṃsaktanameruśākhaṃ Ks_3.43c	prAntezu saMsakta-nameru-SAKam Ks_3.43c
   prāptavatsv amṛtavipruṣo navāḥ Ks_8.23b	prAptavatsu amRta-vipruzaH navAH KH-_8.23b
   prāptebhyaḥ prājyavikramāḥ Ks_2.18d	prApteByaH prAjya-vikramAH KH-_2.18d
   prāpnuvanty upahāratām Ks_6.42d	prApnuvanti upahAra-tAm KH-_6.42d
   prāyaś calaṃ gauravam āśriteṣu Ks_3.1d	prAyas calam gOravam ASritezu KH-_3.1d
   prāyaḥ pratyayam ādhatte Ks_6.20c	prAyas pratyayam ADatte Ks_6.20c
   prāyeṇa gṛhiṇīnetrāḥ Ks_6.85c	prAyeNa gRhiNI-netrAH KH-_6.85c
   prāyeṇa sāmagryavidhau guṇānāṃ Ks_3.28c	prAyeNa sAmagrya-viDO guNAnAm KH-_3.28c
   prāyeṇaivaṃvidhe kārye Ks_6.32c	prAyeNa-evaMviDe kArye KH-_6.32c
   prārthanā deva tiṣṭhatu Ks_6.24b	prArTanA deva tizWatu KH-_6.24b
   prārthayadhve samāgatāḥ Ks_2.28b	prArTayaDve samAgatAH KH-_2.28b
   prārthitaṃ mukham anena nāharat Ks_8.14b	prArTitam muKam anena na-aharat Ks_8.14b
   prāviśan maṇiśilāgṛhaṃ rahaḥ Ks_8.81d	prAviSat maNi-SilA-gRham rahaH KH-_8.81d
   prāveśayan mandiram ṛddham enam Ks_7.55c	prAveSayat mandiram RdDam enam Ks_7.55c
   prāsādamālāsu babhūvur itthaṃ Ks_7.56c	prAsAda-mAlAsu baBUvuH itTam Ks_7.56c
   prāsādaśṛṅgāṇi divāpi kurvañ Ks_7.63c	prAsAda-SRFgANi divA-api kurvan Ks_7.63c
   priyacūtaprasavo hi te sakhā Ks_4.38d	priya-cUta-prasavaH hi te saKA KH-_4.38d
   priyabandhos tava niṣphalodayaḥ Ks_4.13b	priya-banDoH tava nizPala-udayaH KH-_4.13b
   priyam atyantaviluptadarśanam Ks_4.2d	priyam atyanta-vilupta-darSanam KH-_4.2d
   priya yāvan na vilobhyase divi Ks_4.20d	priya yAvat na viloByase divi KH-_4.20d
   priyāmukhaṃ kiṃpuruṣaś cucumbe Ks_3.38d	priyA-muKam kiMpuruzaH cucumbe KH-_3.38d
   priyeṣu saubhāgyaphalā hi cārutā Ks_5.1d	priyezu sOBAgya-PalA hi cAru-tA KH-_5.1d
   prītikaṇṭakitatvacaḥ Ks_6.15d	prIti-kaNwakita-tvacaH KH-_6.15d
   prītipūrvam iva dātum antaram Ks_8.39d	prIti-pUrvam iva dAtum antaram KH-_8.39d
   prekṣya bimbam anu bimbam ātmanaḥ Ks_8.11c	prekzya bimbam anu bimbam AtmanaH KH-_8.11c
   prekṣya bhinnatilakaṃ priyāmukham Ks_8.88d	prekzya Binna-tilakam priyA-muKam KH-_8.88d
   prekṣya haimavataṃ puram Ks_6.47b	prekzya hEmavatam puram KH-_6.47b
   prema rūḍham itaretarāśrayam Ks_8.15d	prema rUXam itaretara-ASrayam KH-_8.15d
   premṇā śarīrārdhaharāṃ harasya Ks_1.50d	premNA SarIra-arDa-harAm harasya KH-_1.50d
   phaṇino dainyam āśritaḥ Ks_2.21d	PaNinaH dEnyam ASritaH KH-_2.21d
   phalaṃ tapaḥsākṣiṣu dṛṣṭam eṣv api Ks_5.60b	Palam tapaH-sAkzizu dRzwam ezu api KH-_5.60b
   phalāny api tapasvinaḥ Ks_6.10d	PalAni api tapasvinaH KH-_6.10d
   phalodayāntāya tapaḥsamādhaye Ks_5.6d	Pala-udaya-antAya tapaH-samADaye KH-_5.6d
   baddhakośam api tiṣṭhati kṣaṇaṃ Ks_8.39a	badDa-koSam api tizWati kzaNam KH-_8.39a
   baddhaś ciraṃ tiṣṭhatu sundarīṇām Ks_3.5c	badDaH ciram tizWatu sundarINAm KH-_3.5c
   bandīm iva jayaśriyam Ks_2.52d	bandIm iva jaya-Sriyam KH-_2.52d
   bandhujīvatilakena kanyakā Ks_8.40d	banDujIva-tilakena kanyakA KH-_8.40d
   bandhupriyāṃ bandhujano juhāva Ks_1.26b	banDu-priyAm banDu-janaH juhAva KH-_1.26b
   bandhustriyo yāḥ patiputravatyaḥ Ks_7.6d	banDu-striyaH yAH pati-putravatyaH KH-_7.6d
   bandhuṃ na saṃbhāvita eva tāvat Ks_7.57c	banDum na saMBAvitaH eva tAvat Ks_7.57c
   babandha cakṣūṃṣi yavaprarohaḥ Ks_7.17d	babanDa cakzUMzi yava-prarohaH KH-_7.17d
   babandha cāsrākuladṛṣṭir asyāḥ Ks_7.25a	babanDa ca-asra-Akula-dRzwiH asyAH KH-_7.25a
   babandha bālāruṇababhru valkalaṃ Ks_5.8c	babanDa bAla-aruNa-baBru valkalam Ks_5.8c
   babhāse bahv arundhatī Ks_6.11d	baBAse bahu arunDatI KH-_6.11d
   babhuḥ palāśāny atilohitāni Ks_3.29b	baBuH palASAni ati-lohitAni KH-_3.29b
   babhūva tasyāś caturasraśobhi Ks_1.32c	baBUva tasyAH caturasra-SoBi KH-_1.32c
   babhūva tasyāḥ kila pāraṇāvidhir Ks_5.22c	baBUva tasyAH kila pAraNA-viDiH KH-_5.22c
   babhūva bhasmaiva sitāṅgarāgaḥ Ks_7.32a	baBUva Basma-eva sita-aFgarAgaH KH-_7.32a
   babhau ca saṃparkam upetya bālā Ks_7.8a	baBO ca saMparkam upetya bAlA KH-_7.8a
   babhau patadgaṅga ivottamāṅge Ks_7.41d	baBO patat-gaFgaH iva-uttamAFge KH-_7.41d
   balākinī nīlapayodarājī Ks_7.39c	balAkinI nIla-payoda-rAjI KH-_7.39c
   balāhakacchedavibhaktarāgām Ks_1.4c	balAhaka=-Ceda-viBakta-rAgAm KH-_1.4c
   bahu manyāmahe vayam Ks_6.20b	bahu manyAmahe vayam KH-_6.20b
   bahule 'pi gate niśākaras Ks_4.13c	bahule api gate niSAkaraH Ks_4.13c
   bahuśaḥ saumya gatas tvam āvayoḥ Ks_4.35b	bahuSas sOmya gataH tvam AvayoH KH-_4.35b
   bālasya lakṣmīṃ glapayantam indoḥ Ks_3.49d	bAlasya lakzmIm glapayantam indoH KH-_3.49d
   bālenduvakrāṇy avikāsabhāvād Ks_3.29a	bAla-indu-vakrANi avikAsa-BAvAt KH-_3.29a
   bālyāt paraṃ sātha vayaḥ prapede Ks_1.31d	bAlyAt param sA-aTa vayaH prapede KH-_1.31d
