   EINLEITUNG (nidānam)	EINLEITUNu (nidAnam)
   PrMoSū_NP.11:	PrMoSU_NP.11:
   yaḥ punar bhikṣur navaṃ kauśeyaṃ saṃstaraṃ kārayen niḥsargikā pātayantikā	yaH punar BikzuH navam kOSeyam saMstaram kArayet niHsargikA pAtayantikA
   PrMoSū_NP.12:	PrMoSU_NP.12:
   yaḥ punar bhikṣuḥ śuddhakāḍānām eḍakalomnāṃ navaṃ saṃstaraṃ kārayen	yaH punar BikzuH SudDa-kAxAnAm exaka-lomnAm navam saMstaram kArayet-
   niḥsargikā pātayantikā 12	niHsargikA pAtayantikAH 12
   PrMoSū_NP.13:	PrMoSU_NP.13:
   navaṃ punar bhikṣuṇā saṃstaraṃ kārayatā dvau bhāgau śuddhakāḍānām	navam punar BikzuNA saMstaram kArayatA dvO BAgO SudDa-kAxAnAm
   eḍakalomnām ādātavyau tṛtīyo 'vadātānāṃ caturtho gocarikānām anādāya ced	exaka-lomnAm AdAtavyO tRtIyaH avadAtAnAm caturTaH gocarikAnAm anAdAya ced-
   bhikṣur dvau bhāgau śuddhakāḍānām eḍakalomnām tṛtīyam avadātānāṃ caturthaṃ	BikzuH dvO BAgO SudDa-kAxAnAm exaka-lomnAm tRtIyam avadAtAnAm caturTam
   gocarikānāṃ navaṃ saṃstaraṃ kārayet kalyāṇakāmatām upādāya niḥsargikā	gocarikAnAm navam saMstaram kArayet kalyANa-kAma-tAm upAdAya niHsargikA
   pātayantikā 13	pAtayantikAH 13
   PrMoSū_NP.14:	PrMoSU_NP.14:
   navaṃ punar bhikṣuṇā saṃstaraṃ kārayitvā akāmaṃ ṣaḍ varṣāṇi dhārayitavyaṃ	navam punar BikzuNA saMstaram kArayitvA akAmam zaw varzANi DArayitavyam
   arvāk ced bhikṣuḥ ṣaḍbhyo varṣebhyaḥ purāṇasaṃstaraṃ niḥsṛjya vā aniḥsṛjya	arvAk ced BikzuH zaxByaH varzeByaH purANa-saMstaram niHsRjya vA aniHsRjya
   vā anyaṃ navaṃ saṃstaraṃ kārayed anyatra saṃghasaṃmatyā kalyāṇakāmatām	vE anyam navam saMstaram kArayet anyatra saMGa-saMmatyA kalyANa-kAma-tAm
   upādāya niḥsargikā pātayantikā 14	upAdAya niHsargikA pAtayantikAH 14
   PrMoSū_NP.15:	PrMoSU_NP.15:
   navaṃ bhikṣuṇā niṣīdanasaṃstaraṃ kārayatā purāṇaniṣīdanasaṃstarasāmantakāt	navam BikzuNA nizIdana-saMstaram kArayatA purANa-nizIdana-saMstara-sAmantakAt-
   sugatavitastir ādātavyā navasya durvarṇīkaraṇāya anādāya ced bhikṣuḥ	sugata-vitastiH AdAtavyAH navasya durvarNIkaraNAya anAdAya ced BikzuH
   purāṇaniṣīdanasaṃstarasāmantakāt sugatavitastiṃ navasya durvarṇīkaraṇāya	purANa-nizIdana-saMstara-sAmantakAt sugata-vitastim navasya durvarNIkaraNAya
   navaṃ niṣīdanasaṃstaraṃ kārayet kalyāṇakāmatām upādāya niḥsargikā	navam nizIdana-saMstaram kArayet kalyANa-kAma-tAm upAdAya niHsargikA
   pātayantikā 15	pAtayantikAH 15
   PrMoSū_NP.16:	PrMoSU_NP.16:
   bhikṣoś ced adhvānamārgapratipannasyotpadyerann eḍakalomāni ākāṅkṣatā tena	BikzoH ced aDvAna-mArga-pratipannasya-utpadyeran exaka-lomAni AkAFkzatA tena
   bhikṣuṇā pratigṛhītavyāni pratigṛhya yāvat triyojanaparamaṃ svayaṃ	BikzuNA pratigRhItavyAni pratigRhya yAvat tri-yojana-paramam svayam
   hartavyāny asati hartari tata uttaraṃ haren niḥsargikā pātayantikā 16	hartavyAni asati hartari tatas uttaram haret niHsargikA pAtayantikAH 16
   PrMoSū_NP.17:	PrMoSU_NP.17:
   yaḥ punar bhikṣur ajñātyā bhikṣuṇyā eḍakalomāni dhāvayed vā rañjayed vā	yaH punar BikzuH ajQAtyA BikzuNyAH exaka-lomAni DAvayet vA raQjayet vA
   vijaṭayed vā niḥsargikā pātayantikā 17	vijawayet vA niHsargikA pAtayantikAH 17
   PrMoSū_NP.18:	PrMoSU_NP.18:
   yaḥ punar bhikṣuḥ svahastaṃ rūpyam u(d)gṛhṇīyād vā udgrāhayed vā	yaH punar BikzuH sva-hastam rUpyam u(d)gRhNIyAt vE udgrAhayet vA
   niḥsargikā (pātayantikā) 18	niHsargikAH (pAtayantikA) 18
   PrMoSū_NP.19:	PrMoSU_NP.19:
   yaḥ punar bhikṣur nānāprakāraṃ rūpyavyavahāraṃ samāpadyeta niḥsargikā	yaH punar BikzuH nAnA-prakAram rUpya-vyavahAram samApadyeta niHsargikA
   pātayantikā 19	pAtayantikAH 19
   PrMoSū_NP.20 :	PrMoSU_NP.20 :
   yaḥ punar bhikṣur nānāprakāraṃ krayavikrayaṃ samāpadyeta niḥsargi(kā	yaH punar BikzuH nAnA-prakAram kraya-vikrayam samApadyeta niHsargi(kA
   pātayantikā) 20 //	pAtayantikA) 20 //
   PrMoSū_NP.21:	PrMoSU_NP.21:
   daśāhaparamaṃ bhikṣuṇā atiriktaṃ pātraṃ dhārayitavyaṃ tata uttaraṃ	daSa-aha-paramam BikzuNA atiriktam pAtram DArayitavyam tatas uttaram
   dhārayen niḥ(sa)r(gikā pātayantikā) 21	DArayet niH(sa-)r(gikA pAtayantikA) 21
   PrMoSū_NP.22:	PrMoSU_NP.22:
   yaḥ punar bhikṣuḥ sati pāribhogīye pātre ūnapañcabandhane anyaṃ navaṃ	yaH punar BikzuH sati pAriBogIye pAtre Una-paQca-banDane anyam navam
   pātraṃ vijñāpayet kalyāṇakāmatām upādāya niḥsargikā pātayantikā / tena	pAtram vijQApayet kalyANa-kAma-tAm upAdAya niHsargikA pAtayantikAH / tena
   bhikṣuṇā tat pātraṃ bhikṣupariṣadi niḥsṛṣṭavyaṃ yas tasyāṃ bhikṣupariṣadi	BikzuNA tat pAtram Bikzu-parizadi niHsRzwavyam yaH tasyAm Bikzu-parizadi
   pātraparyantaḥ sa tasyānupradātavyaḥ idaṃ te bhikṣo pātraṃ na	pAtra-paryantaH sa tasya-anupradAtavyaH idam te BikzaH pAtram na
   visarjayitavyaṃ na vikalpayitavyaṃ yāvad bhedād dhārayitavyaṃ iyaṃ tatra	visarjayitavyam na vikalpayitavyam yAvat BedAt DArayitavyam iyam tatra
   sāmīciḥ 22	sAmIciH 22
   PrMoSū_NP.23:	PrMoSU_NP.23:
   yaḥ punar bhikṣuḥ svayācitaṃ sūtraṃ vijñapya ajñātinā tantravāyena cīvaraṃ	yaH punar BikzuH sva-yA-Acitam sUtram vijQapya ajQAtinA tantra-vAyena cIvaram
   vāyayen niḥsargikā pātayantikā 23	vAyayet niHsargikA pAtayantikAH 23
   PrMoSū_NP.24:	PrMoSU_NP.24:
   bhikṣuṃ ced uddiśya ajñātir gṛhapatir gṛhapatipatnī vā tantravāyena	Bikzum ced uddiSya ajQAtiH gRhapatiH gRhapati-patnI vA tantravAyena
   cīvaraṃ vāyayet tatra cet sa bhikṣuḥ pūrvam apravāritaḥ samāna	cIvaram vAyayet tatra ced sa BikzuH pUrvam apravAritaH samAna-
   upasaṃkramya taṃ tantravāyaṃ kaṃcid eva vikalpam āpadyann evaṃ vaded yad	upasaMkramya tam tantravAyam kaMcid eva vikalpam Apadyan evam vadet yat-
   āyuṣmaṃ tantravāya jānāsi idaṃ cīvaraṃ mām uddiśya ūyate sādhv āyuṣmān	Ayuzmam tantravAya jAnAsi idam cIvaram mAm uddiSya Uyate sADu AyuzmAn
   etac cīvaraṃ sūtaṃ ca karotu sulikhitaṃ ca suvistṛtaṃ ca sutakṣitaṃ ca apy	etat cIvaram sUtam ca karotu suliKitam ca su-vistRtam ca su-takzitam ca api-
   eva vayam āyuṣmataḥ k(i)ṃcid eva mātram upasaṃhariṣyāmaḥ piṇḍapātaṃ vā	eva vayam AyuzmataH k(i)Mcid eva mAtram upasaMharizyAmaH piNxapAtam vA
   piṇḍapātamātraṃ vā piṇḍapātasaṃvaraṃ vā	piNxapAta-mAtram vA piNxapAta-saMvaram vA
   evaṃ cet sa bhikṣus taṃ tantravāyaṃ saṃjña(pya vā) saṃjñāpya vā tataḥ	evam ced sa BikzuH tam tantravAyam saMjQa(pya vA) saMjQApya vA tatas-
   paścāt k(i)ṃcid eva mātram upasaṃhared piṇḍapātaṃ vā piṇḍapātamātraṃ vā	paScAt k(i)Mcid eva mAtram upasaMharet piNxa-pAtam vA piNxapAta-mAtram vA
   piṇḍapātasaṃvaraṃ vā cīvarasyābhiniṣpattaye abhiniṣpanne cīvare niḥsargikā	piNxa-pAta-saMvaram vA cIvarasya-aBinizpattaye aBinizpanne cIvare niHsargikA
   pātaya(nti)kā 24	pAtaya(nti)kAH 24
   PrMoSū_NP.25:	PrMoSU_NP.25:
   yaḥ punar bhikṣur bhikṣoḥ pātraṃ vā cīvaraṃ vā dattvā tataḥ paścād	yaH punar BikzuH BikzoH pAtram vA cIvaram vA dattvA tatas paScAt-
   abhiṣaktaḥ kupitaś caṇḍīkṛto 'nāptamanā ācchindyād ācchedayed vā ānaya	aBizaktaH kupitaH caNxIkRtaH anApta-manAH AcCindyAt AcCedayet vA Anaya
   bhikṣo cīvaraṃ na te bhūyo dadāmīti tena bhikṣuṇā sa vastuśeṣo niḥsṛṣṭavyo	BikzaH cIvaram na te BUyas dadAmi-iti tena BikzuNA sa vastu-SezaH niHsRzwa-vyaH-
   bhavati cāsya niḥsargikā pātayantikā 25	Bavati ca-asya niHsargikA pAtayantikAH 25
   PrMoSū_NP.26:	PrMoSU_NP.26:
   māsaśeṣe grīṣme bhikṣuṇā varṣāśāṭīcīvaraṃ paryeṣitavyaṃ yāvad	mAsa-Seze grIzme BikzuNA varzA-SAwI-cIvaram paryezitavyam yAvat-
   ardhamāsakṛtāsu varṣāsu dhārayitavyaṃ / arvāk ced bhikṣur māsaśeṣād	arDa-mAsa-kRtAsu varzAsu DArayitavyam / arvAk ced BikzuH mAsa-SezAt-
   grīṣmād varṣāśāṭīcīvaraṃ paryeṣeta ūrdhvaṃ cārdhamāsakṛtāsu varṣāsu	grIzmAt varzA-SAwI-cIvaram paryezeta UrDvam ca-arDa-mAsa-kRtAsu varzAsu
   dhārayen niḥsargikā pātayantikā 26	DArayet niHsargikA pAtayantikAH 26
   PrMoSū_NP.27:	PrMoSU_NP.27:
   daśāhānāgatāyāṃ pravāraṇāyāṃ bhikṣor utpadyetākālacīvaram ākāṃkṣatā tena	daSa-aha-anAgatAyAm pravAraNAyAm BikzoH utpadyeta-akAla-cIvaram Aka-aMkzatA tena
   bhikṣuṇā pratigṛhītavyaṃ pratigṛhya yāvac cīvarakālasamayā(n) nikṣiptavyaṃ	BikzuNA pratigRhItavyam pratigRhya yAvat cIvara-kAla-samayA(n) nikziptavyam
   tata uttaram upanikṣipen niḥsargikā pātaya(n)tikā 27	tatas uttaram upanikzipet niHsargikA pAtaya(n)tikA 27
   PrMoSū_NP.28:	PrMoSU_NP.28:
   trayomāsānāgate kārttike pūrṇamāse ūnavarṣāraṇyako bhikṣu(r) āraṇyakeṣu	trayaH-mAsa-an-Agate kArttike pUrNamAse Una-varza-AraNyakaH Bikzu(r) AraNyakezu
   śayyāsaneṣūpagataḥ sy(ā)t sāśaṅkasaṃmateṣu sabhayasaṃmateṣu	SayyA-Asanezu-upagataH sy(A)t sa-ASaFka-saMmatezu sa-Baya-saMmatezu
   sapratibhayabhairavasaṃmateṣu	sa-pratiBaya-BErava-saMmatezu
   ākāṃkṣatāraṇyakena bhikṣuṇā trayāṇāṃ cīvarāṇām anyatamānyatamaṃ cīvaram	Aka-aMkzata-AraNyakena BikzuNA trayANAm cIvarANAm anyatama-anyatamam cIvaram
   antargṛhe upanikṣiptavyaṃ syād āraṇyakasya bhikṣos tathārūpapratyayo	antargRhe upanikziptavyam syAt AraNyakasya BikzoH taTArUpa-pratyayo
   bahiḥsīmaṃ gantuṃ ṣaḍrātraparamam āraṇyakena bhikṣuṇā tataś cīvarād	bahis-si-imam gantum zaz-rAtra-paramam AraNyakena BikzuNA tatas cIvarAt-
   vipravastavyaṃ tata uttaraṃ vipravasen niḥsargikā pātayantikā 28	vipra-vastavyam tatas uttaram vipravaset niHsargikA pAtayantikAH 28
   PrMoSū_NP.29:	PrMoSU_NP.29:
   yaḥ punar bhikṣur jānaṃ sāṃghikaṃ lābhaṃ pariṇatam ātman(aḥ) pariṇāmayen	yaH punar BikzuH jAnam sAMGikam lABam pariNatam Atman(aH) pariNAmayet-
   niḥsargikā pātayantikā 29	niHsargikA pAtayantikAH 29
   PrMoSū_NP.30:	PrMoSU_NP.30:
   yāni tāni bhagavatā glānānāṃ bhikṣūṇāṃ sāṃpreyāṇi pratiṣevanīyāni	yAni tAni BagavatA glAnAnAm BikzUNAm sAMpreyANi pratizevanIyAni
   bhaiṣajyāny anujñātāni tadyathā sarpis tailaṃ madhu phāṇitaṃ	BEzajyAni anujQAtAni tat-yaTA sarpiH tElam maDu PANitam
   saptāhaparamaṃ tāni glānena bhikṣuṇā saṃnidhikāraparibhogena	sapta-Aha-paramam tAni glAnena BikzuNA saMniDi-kAra-pariBogena
   paribhoktavyāni tata uttaraṃ paribhuñjīta niḥsargikā pātayantikā 30 //	pariBoktavyAni tatas uttaram pariBuQjIta niHsargikA pAtayantikAH 30 //
   uddiṣṭā mayāyuṣmantas triṃśan niḥsargikā(ḥ) pātayantikā dharmās tatrāham	uddizwAH mayA-AyuzmantaH triMSat niHsargikA(H) pAtayantikAH DarmAH tatra-aham
   āyuṣmataḥ pṛcchāmi kaccit sthātra pariśuddhā dvir api trir api pṛcchāmi	AyuzmataH pRcCAmi kaccit sTA-atra pariSudDAH dvis api tris api pRcCAmi
   kaccit sthātra pariśuddhāḥ pariśuddhā atrāyuṣmanto yasmāt tūṣṇīm evam etad	kaccit sTA-atra pariSudDAH pariSudDAH atra-AyuzmantaH yasmAt tUzNIm evam etat-
   dhārayāmi // //	DArayAmi // //
   V. pātayantikā dharmāḥ	V. pAtayantikAH DarmAH
   PrMoSū_Pāt.0:	PrMoSU_PAt.0:
   ime punar āyuṣmanto navati pātayantikā dharmā anvardhamāsaṃ	ime punar AyuzmantaH navati pAtayantikA DarmAH anvarDamAsam
   prātimokṣasūtroddeśam āgacchanti /	prAtimokza-sUtra-uddeSam AgacCanti /
   PrMoSū_Pāt.1:	PrMoSU_PAt.1:
   saṃprajānamṛṣāvādāt pātayantikā 1	saMprajAnam-RzA-vAdAt pAtayantikA 1
   PrMoSū_Pāt.2:	PrMoSU_PAt.2:
   apakarṣavādāt pātayantikā 2	apakarza-vAdAt pAtayantikA 2
   PrMoSū_Pāt.3:	PrMoSU_PAt.3:
   bhikṣupaiśunyāt pātayantikā 3	Bikzu-pESunyAt pAtayantikA 3
   PrMoSū_Pāt.4:	PrMoSU_PAt.4:
   yaḥ punar bhikṣur jānaṃ saṃghena yathādharmaṃ nikṣiptam adhikaraṇaṃ punaḥ	yaH punar BikzuH jAnam saMGena yaTADarmam nikziptam aDikaraNam punar-
   karmaṇy utkoṭayet pātayantikā 4	karmaNi utkowayet pAtayantikA 4
   PrMoSū_Pāt.5:	PrMoSU_PAt.5:
   yaḥ punar bhikṣur mātṛgrāmasyottaraṃṣaṭpañcikayā vācā dharmaṃ deśayed	yaH punar BikzuH mAtR-grAmasya-uttaraMzaz-paQcikayA vAcA Darmam deSayet-
   anyatra vijñapuruṣāt pātayantikā 5	anyatra vijQa-puruzAt pAtayantikA 5
   PrMoSū_Pāt.6:	PrMoSU_PAt.6:
   yaḥ punar bhikṣur anupasaṃpannena pudgalena sārdhaṃ padaśo dharmaṃ vācayet	yaH punar BikzuH anupasaMpannena pudgalena sArDam padaSas Darmam vAcayet-
   pātayantikā 6	pAtayantikA 6
   PrMoSū_Pāt.7:	PrMoSU_PAt.7:
   yaḥ punar bhikṣur anupasaṃpannasya pudgalasyottaraṃmanuṣyadharmam ārocayed	yaH punar BikzuH anupasaMpannasya pudgalasya-uttaraMmanuzya-Darmam Arocayet-
   bhūtaṃ pātayantikā 7	BUtam pAtayantikA 7
   PrMoSū_Pāt.8:	PrMoSU_PAt.8:
   yaḥ punar bhikṣur bhikṣor jānaṃ duṣṭhūlām āpattim anupasaṃpannasya	yaH punar BikzuH BikzoH jAnam duzWUlAm Apattim anupasaMpannasya
   pudgalasyāntike ārocayed anyatra saṃghasaṃmatyā pā(ta)ya(n)tik(ā) 8	pudgalasya-antike Arocayet anyatra saMGa-saMmatyA pA(ta)ya(-n)tik(A) 8
   PrMoSū_Pāt.9:	PrMoSU_PAt.9:
   yaḥ punar bhikṣuḥ pūrvaṃ samanujñako bhūtvā tataḥ paścād evaṃ vaded yathā	yaH punar BikzuH pUrvam sa-manujQakaH BUtvA tatas paScAt evam vadet yaTA
   saṃstutānām ime bhikṣavaḥ sāṃghikaṃ lābhaṃ pariṇāmayantīti pāta(yant)i(kā)	saMstutAnAm ime BikzavaH sAMGikam lABam pariNAmayanti-iti pAta(yant)i(kA)
   PrMoSū_Pāt.10:	PrMoSU_PAt.10:
   yaḥ punar bhikṣuḥ prātimokṣasūtroddiśyamāne evaṃ vadet kiṃ punar ebhiḥ	yaH punar BikzuH prAtimokza-sUtra-uddiSyamAne evam vadet kim punar eBiH
   kṣudrānukṣudraiḥ śikṣāpadair uddiṣṭair yāni bhikṣūṇāṃ kaukṛtyāya vilekhāya	kzudra-anukzudrEH SikzA-padEH uddizwEH yAni BikzUNAm kOkRtyAya vileKAya
   viheṭhāya saṃvartantīti śikṣāvidaṇḍanāt pātayantikā 10 //	viheWAya saMvartanti-iti SikzA-vidaNxanAt pAtayantikAH 10 //
   PrMoSū_Pāt.11:	PrMoSU_PAt.11:
   bījagrāmabhūtagrāmapātanāt pā(ta)yantikā 11	bIja-grAma-BUta-grAma-pAtanAt pA(ta)I-antikAH 11
   PrMoSū_Pāt.12:	PrMoSU_PAt.12:
   avadhyānakṣipaṇāt pātayantikā 12	avaDya-anakzipaNAt pAtayantikAH 12
   PrMoSū_Pāt.13:	PrMoSU_PAt.13:
   any(a)vādaviheṭhanāt pāta(yantikā) 13	any(a)vAda-viheWanAt pAta(I-antikA) 13
   PrMoSū_Pāt.14:	PrMoSU_PAt.14:
   yaḥ punar bhikṣuḥ sāṃghikaṃ śayyāsanaṃ pīṭhaṃ vā mañcaṃ vā brisiṃ vā	yaH punar BikzuH sAMGikam SayyA-Asanam pIWam vA maQcam vA brisim vA
   kurcaṃ vā abhyavakāśe prajñapya tataḥ prakramen noddharen noddhārayed vā	kurcam vE aByavakASe prajQapya tatas prakramet na-udDaret na-udDArayet vA
   pātayantikā 14	pAtayantikAH 14
   PrMoSū_Pāt.15:	PrMoSU_PAt.15:
   yaḥ punar bhikṣuḥ sāṃghike vihāre śayyāṃ saṃstīrya vā saṃstārayed vā tataḥ	yaH punar BikzuH sAMGike vihAre SayyAm saMstIrya vA saM=-tArayet vA tatas-
   prakramen noddharen noddhārayed vā pātayantikā (1)5	prakramet na-udDaret na-udDArayet vA pAtayantikAH (1)5
   PrMoSū_Pāt.16:	PrMoSU_PAt.16:
   yaḥ punar bhikṣur abhiṣaktaḥ kupitaś caṇḍīkṛto 'nāptamanāḥ sāṃghikād	yaH punar BikzuH aBizaktaH kupitaH caNxIkRtaH anApta-manAH sAMGikAt-
   vihārād bhikṣuṃ niṣkarṣen niṣkarṣayed vā cara pareṇa mohapuruṣa naśya tvaṃ	vihArAt Bikzum nizkarzet nizkarzayet vA cara pareNa moha-puruza naSya tvam
   na tvayeha vastavyam idam eva pratyayaṃ kṛtvā nānyathāt pā(tayantikā) 16	na tvayA-iha vastavyam idam eva pratyayam kRtvA na-anyaTAt pA(tayantikA) 16
   PrMoSū_Pāt.17:	PrMoSU_PAt.17:
   yaḥ punar bhikṣuḥ sāṃghike vihāre jānaṃ pūrvopagatāṃ bhikṣ(ū)ṃ paścād	yaH punar BikzuH sAMGike vihAre jAnam pUrva-upagatAm Bikz(U)m paScAt-
   āgatyānupraskadya śayyāṃ kalpayed yasya saṃbādhaṃ bhaviṣyati sa	Agatya-anupraskadya SayyAm kalpayet yasya saMbADam Bavizyati sa
   prakramiṣyatīti idam eva pratyayaṃ kṛtvā nānyathāt pātayantikā (1)7	prakramizyati-iti idam eva pratyayam kRtvA na-anyaTAt pAtayantikAH (1)7
   PrMoSū_Pāt.18:	PrMoSU_PAt.18:
   yaḥ punar bhikṣuḥ sāṃghike vihāre uparivihāyasikuṭikāyām ahāryapādake	yaH punar BikzuH sAMGike vihAre upari-vihAyasi-kuwikAyAm ahArya-pAdake
   pīṭhe vā mañce vā balena niṣīded vā nipadyed vā (pāta)yantikā	pIWe vA maQce vA balena nizIdet vA nipadyet vA (pAta)I-antikA
   PrMoSū_Pāt.19:	PrMoSU_PAt.19:
   yaḥ punar bhikṣuḥ saprāṇakenodakena tṛṇaṃ vā mṛttikaṃ vā siṃcet secayed vā	yaH punar BikzuH sa-prANakena-udakena tRNam vA mRttikam vA siMcet secayet vA
   pātayantikā	pAtayantikA
   PrMoSū_Pāt.20:	PrMoSU_PAt.20:
   mahallakaṃ bhikṣuṇā vihāraṃ kārayatā yāvad dvārakośārgaḍasthāpana	mahallakam BikzuNA vihAram kArayatA yAvat dvAra-koSArgaxa-sTApana
   ālokasaṃ(dhi)bhūmipari(karm)///...///nā dvau trayo vācchāda(na)pathāḥ	Aloka-saM(Di)-BUmi-pari(karm)///...///nAH dvO trayaH vA-AcCAda(na)paTAH
   saṃcaro///...///vyādhiṣṭhātavyā tata uttara(m) adhitiṣṭhet pātayantikā //	saMcaraH-///...///vyADizWAtavyA tatas uttara(m) aDitizWet pAtayantikAH //
   PrMoSū_Pāt.21:	PrMoSU_PAt.21:
   yaḥ punar bhikṣur asaṃmataḥ saṃghena bhikṣuṇīr avavadet (p)ā(tayantikā 21)	yaH punar BikzuH asaMmataH saMGena BikzuNIH avavadet (p)A(tayantikAH 21)
   PrMoSū_Pāt.22:	PrMoSU_PAt.22:
   saṃ(ma)to 'trāpi bhi(kṣur) yāvat sūryāstaṃgamanakālasamayād bhikṣuṇīr	saM(ma)taH atra-api Bi(kzur) yAvat sUrya-astaMgamana-kAla-samayAt BikzuNIH-
   avav(adet pā)tayantikā (2)2	avav(adet pA)tayantikAH (2)2
   PrMoSū_Pāt.23:	PrMoSU_PAt.23:
   yaḥ punar bhikṣur evaṃ (va)ded āmiṣahetor bhikṣ(avo bhikṣuṇīr	yaH punar BikzuH evam (va)det Amiza-hetoH Bikz(avaH BikzuNIH-
   avavad)antīti pā(tayantikā 2)3	avavad)anti-iti pA(tayantikAH 2)3
   PrMoSū_Pāt.24:	PrMoSU_PAt.24:
   yaḥ punar bhikṣur bhikṣuṇyā sārdhaṃ saṃvidhāya samānamārgaṃ	yaH punar BikzuH BikzuNyA sArDam saMviDAya samAna-mArgam
   pratipadyetāntato grāmāntaram api anyatra samayāt pātayantikā (tatrā)yaṃ	pratipadyeta-antatas grAma-antaram api anyatra samayAt pAtayantikA (tatra-A)yam
   sama(yaḥ) sār(thagamanīyo mārgo bhavati sāśaṅkasaṃ)mataḥ sabhayasaṃmataḥ	sama(yaH) sAr(Ta-gamanIyaH mArgaH Bavati sa-ASaFka-saM)mataH sa-Baya-saMmataH
   sapratibhayabhairavasaṃmato 'yaṃ tatra samayaḥ (2)4	sa-pratiBaya-BErava-saMmataH ayam tatra samayaH (2)4
   PrMoSū_Pāt.25:	PrMoSU_PAt.25:
   yaḥ punar bhikṣur bhikṣu(ṇyā sārdhaṃ saṃvidhā)yaikanāvam abhiruhed	yaH punar BikzuH Bikzu(NyA sArDam saMviDA)ya-eka-nAvam aBiruhet-
   ū(r)dhvag(āminīṃ vādhogāmi)nīṃ vānyatra tīryakpārasaṃtaraṇāt pātayantikā	U(r)Dvac-(AminIm vA-aDogAmi)nIm vA-anyatra tIryakpAra-saMtaraNAt pAtayantikA
   PrMoSū_Pāt.26:	PrMoSU_PAt.26:
   yaḥ punar bhikṣur ajñātyā bhikṣuṇyāś cīvaraṃ kuryāt pātayantikā (26)	yaH punar BikzuH ajQAtyAH BikzuNyAH cIvaram kuryAt pAtayantikAH (26)
   PrMoSū_Pāt.27:	PrMoSU_PAt.27:
   yaḥ punar bhikṣur ajñātyā bhikṣuṇyāś cīvaraṃ dadyāt pātayantikā (2)7	yaH punar BikzuH ajQAtyAH BikzuNyAH cIvaram dadyAt pAtayantikAH (2)7
   PrMoSū_Pāt.28:	PrMoSU_PAt.28:
   yaḥ punar bhikṣur bhikṣuṇyā sārdham ekākī rahasi praticchanne niṣadyāṃ	yaH punar BikzuH BikzuNyA sArDam ekAkI rahasi praticCanne nizadyAm
   kalpayet pātayantikā (2)8	kalpayet pAtayantikAH (2)8
   PrMoSū_Pāt.29:	PrMoSU_PAt.29:
   yaḥ punar bhikṣur ekā(kī) mātṛgrāmeṇa sārdham abhyavakāśe niṣadyāṃ	yaH punar BikzuH ekA(kI) mAtR-grAmeNa sArDam aByavakASe nizadyAm
   kalpayet pātayantikā (2)9	kalpayet pAtayantikAH (2)9
   PrMoSū_Pāt.30:	PrMoSU_PAt.30:
   yaḥ punar bhikṣur bhikṣuṇīparipācitaṃ piṇḍapātaṃ paribhuṃjītānyatra	yaH punar BikzuH BikzuNI-paripAcitam piNxa-pAtam pariBuMjIta-anyatra
   prāg(g)ṛhisamārambhāt pātayantikā 30 //	prAk-(g)Rhi-sam-AramBAt pAtayantikAH 30 //
   PrMoSū_Pāt.31:	PrMoSU_PAt.31:
   paraṃparabhojanam anyatra samayāt pātayantikā tatrāyaṃ samayo glānasamayaś	paraMpara-Bojanam anyatra samayAt pAtayantikA tatra-ayam samayaH glAna-samayaS
   cīvaradānakālasamayo 'yaṃ tatra samayaḥ 31	cIvara-dAna-kAla-samayaH ayam tatra samayaH 31
   PrMoSū_Pāt.32:	PrMoSU_PAt.32:
   ekāvasathoṣitena bhikṣuṇā aglānenaikaḥ piṇḍapāta(ḥ) paribhoktavyas tata	eka-AvasaTa-uzitena BikzuNA aglAnena-ekaH piNxa-pAta(H) pariBoktavyaH tata
   uttaraṃ paribhuṃjīta pā(tayantikā 32)	uttaram pariBuMjIta pA(tayantikAH 32)
   PrMoSū_Pāt.33:	PrMoSU_PAt.33:
   (bhikṣa)vaḥ punaḥ saṃbahulāḥ kulāny upasaṃkrameyus tāṃś cec chrāddhā	(Bikza)vaH punar saMbahulAH kulAni upasaMkrameyuH tAn ced SrAdDA
   b(r)āhmaṇagṛ(ha)patay(o yāva)darthaṃ pravārayeyuḥ pūpair vā manthair vā	b(r)AhmaNa-gR(ha)patay(aH yAva)darTam pravArayeyuH pUpEH vA manTEH vA
   ākāṃkṣamāṇais tair bhikṣubhi(r) dv(au) trayo (vā) pātrapūrāḥ	Aka-aMkzamANEH tEH BikzuBi(r) dv(O) trayaH (vA) pAtra-pUrAH
   pratigṛhīta(vy)ās tata uttaraṃ pratigṛhṇīyuḥ pātayantikā / dvau trīṃ vā	pratigRhIta(vy)AH tatas uttaram pratigRhNIyuH pAtayantikA / dvO trIm vA
   pātrapūrāṃ pratigṛhya bahi(r ārā)maṃ (n)iṣk(r)amya santo bhikṣavaḥ	pAtra-pUrAm pratigRhya bahi(r ArA)mam (n)izk(r)amya santaH BikzavaH
   saṃvedayitavyā iyaṃ tatra sāmīciḥ 33	saMvedayitavyAH iyam tatra sAmIciH 33
   PrMoSū_Pāt.34:	PrMoSU_PAt.34:
   yaḥ punar bhikṣur bhuktavāṃ pravāritaḥ akṛtā(t)iriktaṃ khādanīyabhojanīyaṃ	yaH punar BikzuH BuktavAm pravAritaH akRtA(t)iriktam KAdanIya-BojanIyam
   khāded vā bhuṃjīta vā pātayantikā 34	KAdet vA BuMjIta vA pAtayantikAH 34
