   atha saptaviṃśo 'dhyāyaḥ	aTa saptaviMSaH aDyAyaH
   tadvaktraṃ daivataṃ cānyaddhutabhuk parameśvaraḥ /	tad vaktram dEvatam ca anyat huta Buj parameSvaraH /
   mantrapūtaṃ sadādāya hutamājyapurassaram // Paus_36.228 //	mantra pUtam sat AdAya hutam Ajya purassaram // POH _36.228 //
   brahmāṇḍabhuvanaṃ sarvaṃ santarpayati sarvadā /	brahmANxa Buvanam sarvam santarpayati sarvadA /
   viśveśaprāṇaśakter vai vāyvākhyam adhidaivatam // Paus_36.229 //	viSveSa prANa SakteH vE vAyu AKyam aDidEvatam // POH _36.229 //
   jagatsandhārakaṃ caiva nānāskandhātmanā tu vai /	jagat sanDArakam ca eva nAnA skanDa AtmanA tu vE /
   ete bhagavadākārāstiṣṭhantyasmijagattraye // Paus_36.230 //	ete Bagavat AkArAH tizWanti asmijagat traye // POH _36.230 //
   nānāveśasvarūpaiśca nānāsaṃsthānalakṣaṇaiḥ /	nAnA veSa svarUpEH ca nAnA saMsTAna lakzaNEH /
   nānākāryavaśenaiva nānākāravaśena tu // Paus_36.231 //	nAnA kArya vaSena eva nAnA AkAra vaSena tu // POH _36.231 //
   evaṃ kṛtakaśabdādyair bhagavāṃstatkṣaṇena ca /	evam kRtaka Sabda AdyEH BagavAn= tad kzaNena ca /
   ārādhyākṛtitulyena tajjapadhyānasevinām // Paus_36.232 //	ArADya AkRti tulyena tad japa DyAna sevinAm // POH _36.232 //
   yathābhimatarūpeṇa guṇaṣaṭkānvitena ca /	yaTA aBimata rUpeNa guNa zawka anvitena ca /
   jñasvabhāvena nityena svarūpeṇāmalātmanā // Paus_36.233 //	jQa svaBAvena nityena svarUpeNa amala AtmanA // POH _36.233 //
   viśvamāpūritaṃ sarvaṃ sarvānugrahakāmyayā /	viSvam ApUritam sarvam sarva anugraha kAmyayA /
   sarvatra yāsti sarveṣāṃ yathoktānāṃ mahāmate // Paus_36.234 //	sarvatra yA asti sarvezAm yaTA uktAnAm mahAmate // POH _36.234 //
   vāsudevādimūrtīnāṃ vaiśvarūpyam anaśvaram /	vAsudeva Adi mUrtInAm vESvarUpyam anaSvaram /
   yogaiśvaryaprabhāvena acyutecchāvaśādapi // Paus_36.235 //	yoga ESvarya praBAvena acyuta icCA vaSAt api // POH _36.235 //
   jñātvaivam abjasaṃbhūta na kāryo hṛdi vismayaḥ /	jQAtvA evam abja saMBUta na kAryaH hRdi vismayaH /
   sphuṭe[śvabhrasva]rūpeṇa nānānāmānvitena vai // Paus_36.236 //	sPuwe[ SvaBra sva] rUpeNa nAnA nAma anvitena vE // POH _36.236 //
   dṛṣṭo(?ṣṭe)bhagavadākāre svayaṃ vyaktādikena ca /	dRzwaH (?zwe) Bagavat AkAre svayam vyakta Adikena ca /
   kṣitimadhye 'vatīrṇe ca pūrvoddiṣṭena vartmanā // Paus_36.237 //	kziti maDye avatIrNe ca pUrva uddizwena vartmanA // POH _36.237 //
   tīrthoddeśeṣu sarveṣu kṣetreṣu vividheṣu ca /	tIrTa uddeSezu sarvezu kzetrezu viviDezu ca /
   giriśṛṅgeṣu ramyeṣu tanmadhyeṣu guhāsu ca // Paus_36.238 //	giri SRFgezu ramyezu tad maDyezu guhAsu ca // POH _36.238 //
   vaneṣūpavanāḍhayeṣu pātālatalabhūmiṣu /	vanezu upavana AXayezu pAtAla tala BUmizu /
   lokontareṣūrdhvageṣu devair gandharvasattamaiḥ // Paus_36.239 //	lokontarezu UrDva gezu devEH ganDarva sattamEH // POH _36.239 //
   nāstikā bhinnamaryādā mohamāyāmalānvitāḥ /	nAstikAH Binna maryAdAH moha mAyA mala anvitAH /
   vikalpadoṣairāviṣṭāḥ bhrāntabuddhijaḍīkṛtāḥ // Paus_36.240 //	vikalpa dozEH AvizwAH BrAnta budDi jaxIkRtAH // POH _36.240 //
   caraṇāmbujanālaṃ tu parāmṛśyanti ye 'dhamā /	caraNa ambuja nAlam tu parAmRSyanti ye aDamA /
   majjanti narake ghore pitṛbhiḥsahitāścirāt // Paus_36.241 //	majjanti narake Gore pitRBiH sahitAH cirAt // POH _36.241 //
   sadāyatanadevānāṃ mūlaṃ ye cānviṣanti vai /	sat Ayatana devAnAm mUlam ye ca anvizanti vE /
   mūrdhnaśchedo bhavetteṣāṃ bhāvopahatacetasām // Paus_36.242 //	mUrDnaH CedaH Bavet tezAm BAva upahata cetasAm // POH _36.242 //
   dhṛtiśaktimayaṃ mūlaṃ devānāmapi durdṛśam /	DRti Sakti mayam mUlam devAnAm api durdRSam /
   tatkathaṃ lakṣyate mūḍhairyanmūrtadravyatāṃ gatam // Paus_36.243 //	tat kaTam lakzyate mUXEH yat mUrta dravya tAm gatam // POH _36.243 //
   mānameyaiḥsvatantraṃ ca yathā tatparama[dbhu]tama /	mAna meyEH svatantram ca yaTA tat parama [dBu]tamaH /
   yairetanmadhyaṣaṭkaṃ tu kṣetreśāṅghrikajaissthitaiḥ(?tam) // Paus_36.244	yEH etad maDya zawkam tu kzetra ISa aFGrikajEH sTitEH(?tam) // POH _36.244
   guṇairdivyayaguṇopetairūrjitaiḥ prākṛtairguṇaiḥ /	guNEH divyaya guNa upetEH UrjitEH prAkRtEH guNEH /
   svayamevaṃ jayannāthair avatīrya ca yā sthitiḥ // Paus_36.245 //	svayam evam jayannATEH avatIrya ca yA sTitiH // POH _36.245 //
   gṛhītā susthirā caiva susiddhaiścāpi kalpitā /	gRhItA susTirA ca eva su sidDEH ca api kalpitA /
   doṣaisadigvibhāgādyair anyadātvena yānti ca // Paus_36.246 //	doza esa diS viBAga AdyEH anya dAtvena yAnti ca // POH _36.246 //
   nityasannidhimāhātmyāt kālaṃ kalpakṣayāvadhi /	nitya sanniDi mAhAtmyAt kAlam kalpa kzaya avaDi /
   uttarottaratā caiva jagatyasmin hi vartate // Paus_36.247 //	uttarottara tA ca eva jagati asmin hi vartate // POH _36.247 //
   duṣṭopaśāntidā śaktyā siddhidā yā ca vai saha /	duzwa upaSAnti dA SaktyA sidDi dA yA ca vE saha /
   paurūṣāyatanānāṃ ca siddhākhyānāṃ mahāmate // Paus_36.248 //	pOrUza AyatanAnAm ca sidDa AKyAnAm mahAmate // POH _36.248 //
   svayamevāvatīrṇānāṃ tattveśānāmapi kṣitau /	svayam eva avatIrNAnAm tat tva ISAnAm api kzitO /
   ataḥsaṃsārabhītaiśca bhaktaiḥsarveśvarasya ca // Paus_36.249 //	atas saMsAra BItEH ca BaktEH sarva ISvarasya ca // POH _36.249 //
   gamyaiśca ter'canīyāśca kālaṃ vai jīvitāvādhi /	gamyEH ca ter acanIyAH ca kAlam vE jIvitO= ADi /
   nityaṃ tūpāsitavyāśca tatrasthairāśramānvitaiḥ // Paus_36.250 //	nityam tu upAsitavyAH ca tatrasTEH ASrama anvitEH // POH _36.250 //
   prāptādhikārair dīkṣāntasamayajñādikairnaraiḥ /	prApta aDikArEH dIkzA anta samayajQa AdikEH narEH /
   yadaiva kṛtadīkṣāṇām adhikārasamanvitam // Paus_36.251 //	yadA eva kRta dIkzANAm aDikAra samanvitam // POH _36.251 //
   acyutārādhanārthaṃ tu niḥśreyasapadāptaye /	acyuta ArADana arTam tu niHSreyasa pada Aptaye /
   tadaiva pratiṣiddhaṃ ca devatāntarapūjanam // Paus_36.252 //	tadA eva pratizidDam ca devatA antara pUjanam // POH _36.252 //
   parametaddhi samayam aprameyaratātmanām /	param etat hi samayam aprameya rata AtmanAm /
   sā prasiddhā tu vai vyaktād ākārāt parameśvarāt // Paus_36.253 //	sA prasidDA tu vE vyaktAt AkArAt parameSvarAt // POH _36.253 //
   vyūhād vā vibhavākhyācca ṛte nānyat puroditāt /	vyUhAt vA viBava AKyAt ca Rte na anyat purA uditAt /
   samarcanīyam ākāraṃ na budhairvasudhāgatam // Paus_36.254 //	samarcanIyam AkAram na buDEH vasuDA gatam // POH _36.254 //
   kvacidbhagavadaṃśaistu prādurbhāvair adhiṣṭhitāḥ /	kvacid Bagavat aMSEH tu prAdurBAvEH aDizWitAH /
   dṛśyante pārthivā liṅgāḥ śrūyante ca dvijottama // Paus_36.255 //	dRSyante pArTivAH liFgAH SrUyante ca dvijottamaH // POH _36.255 //
   yadyapyevaṃ mahābuddhe vaiṣṇavānāṃ tathāpi hi /	yadi api evam mahAbudDe vEzNavAnAm taTA api hi /
   viruddhatvād anarcyāste nopādhir vaiṣṇavī hi sā // Paus_36.256 //	virudDa tvAt anarcyAH te na upADiH vEzNavI hi sA // POH _36.256 //
   svayaṃmuvāpi ye kecit surasiddhāvatāritāḥ /	svayaMmuvA api ye kecid sura sidDa avatAritAH /
   skandarudramahendrādyāḥ pratiṣiddhāstu ter'cane // Paus_36.257 //	skanda rudra mahA indra AdyAH pratizidDAH tu ter acane // POH _36.257 //
   antaryāmī ca sarveṣāṃ devānāṃ puruṣottamaḥ /	antaryAmI ca sarvezAm devAnAm puruzottamaH /
   yadyapyavyaktarūpe ca vyaktau siddhiḥsvakā svakā // Paus_36.258 //	yadi api avyakta rUpe ca vyaktO sidDiH svakA svakAH // POH _36.258 //
   bhāvabhaktivaśād vipra svakri (kī) yādhigamādapi /	BAva Bakti vaSAt vipra svakri (kI) yA aDigamAt api /
   jñātvaivaṃ bhaktisāṃkaryaṃ na kuryādevameva hi // Paus_36.257 //	jQAtvA evam Bakti sAMkaryam na kuryAt evam eva hi // POH _36.257 //
   varjanīyaṃ prayatnena ya icched uttamāṃ gatim /	varjanIyam prayatnena yaH icCet uttamAm gatim /
   viprā ekāyanākhyā ye te bhaktāstattvato 'cyute // Paus_36.260 //	viprAH ekAyana AKyAH ye te BaktAH tattvataH acyute // POH _36.260 //
   ekāntinaḥsutattvasthā dehāntānnānyānyayājinaḥ /	ekAntinaH su tattva sTAH dehAntAn na anya ani ayAjinaH /
   kartavyatvena ye viṣṇuṃ saṃyajanti phalaṃ vinā // Paus_36.261 //	kartavya tvena ye vizNum saMyajanti Palam vinA // POH _36.261 //
   prāpnuvanti ca dehānte vāsudevatvam abjaja /	prApnuvanti ca dehAnte vAsudeva tvam abjaja /
   vyāmiśrayājinaścānye bhaktābhāsāḥ tu te smṛtāḥ // Paus_36.262 //	vyAmiSra yAjinaH ca anye Bakta ABAsAH tu te smRtAH // POH _36.262 //
   parijñeyāḥ tu te viprā nānāmārgagaṇārcanāt /	parijQeyAH tu te viprAH nAnA mArga gaNa arcanAt /
   tasmāt saṃsiddhadehastu dīkṣākhyena tu karmaṇā // Paus_36.263 //	tasmAt saMsidDa dehaH tu dIkzA AKyena tu karmaNA // POH _36.263 //
   yāvajjapādhikāraṃ tu nārāyaṇaparo bhavet /	yAvat japa aDikAram tu nArAyaNa paraH Bavet /
   japahomakriyāsaktaḥ samāste stutitatparaḥ // Paus_36.264 //	japa homa kriyA saktaH samAste stuti tatparaH // POH _36.264 //
   dehānte vaiṣṇavaṃ lokaṃ prāpnuyāt punareva hi /	dehAnte vEzNavam lokam prApnuyAt punar eva hi /
   janma cāsādya cotkṛṣṭam ābālyād dvijasattama // Paus_36.265 //	janma ca AsAdya ca utkRzwam AbAlyAt dvijasattamaH // POH _36.265 //
   bhagavatkarmaniṣṇātaḥ tatparastanmayo bhavet /	Bagavat karma nizNAtaH tad paraH tad mayaH Bavet /
   nābhisandhāya ca phalam āpatkālagato 'pi vai // Paus_36.266 //	nABisanDAya ca Palam Apad kAla gataH api vE // POH _36.266 //
   tyaktvā dehaṃ punarjanma nāpnuyādiha pauṣkara /	tyaktvA deham punarjanma na ApnuyAt iha pOzkara /
   pauṣkara ucāca    	pOzkaraH ucAcaH    
   bhagavan bhūtabhavyeśa kṣetraiḥ kṣetravaraissaha /	Bagavan BUta Bavya ISa kzetrEH kzetra varEH saha /
   pāramyena ca yairvyāptaṃ kṣityantaṃ tattvasaṃgraham // Paus_36.267 //	pAramyena ca yEH vyAptam kziti antam tattva saMgraham // POH _36.267 //
   vāsudevākhyasadbrahmatatvād ārabhya vai kramāt /	vAsudeva AKya sat brahmata tvAt AraBya vE kramAt /
   vaktumarhasi me śaśvat sarvānugrahakāmyayā // Paus_36.268 //	vaktum arhasi me SaSvat sarva anugraha kAmyayA // POH _36.268 //
   śrībhagavānuvāca    	SrI BagavAn uvAca    
   ṣāḍguṇyadehasaṃjñena svasthena caturātmanā /	zAxguNya deha saMjQena svasTena catur AtmanA /
   svargāntaṃ svapadā vyāptam adhidevātmanā dvija // Paus_36.269 //	svarga antam sva padAH vyAptam aDideva AtmanA dvija // POH _36.269 //
   yā vai sarveśvarī śaktir īśvarākhyā viśāmanī /	yA vE sarva ISvarI SaktiH ISvara AKyA viSAmanI /
   jñānādibhedabhinnena ādyena caturātmanā // Paus_36.270 //	jQAna Adi Beda Binnena Adyena catur AtmanA // POH _36.270 //
   vyāptā cāvyaktaliṅgena bhārūpeṇa mahātmanā /	vyAptA ca avyakta liFgena BA rUpeNa mahAtmanA /
   yā parā prakṛtirdaivī satvaikaguṇalakṣaṇā // Paus_36.271 //	yA parA prakRtiH dEvI satva eka guNa lakzaNAH // POH _36.271 //
   pūrṇā śaktisamūhena vaibhavīyena padmaja /	pUrNA Sakti samUhena vEBavIyena padmaja /
   saha mūrtyantareṇaiva prādurbhāvāntarastathā // Paus_36.272 //	saha mUrti antareNa eva prAdurBAva antaraH taTA // POH _36.272 //
   prādurbhāvamayairbījaiḥ samūhe caturātmanā /	prAdurBAva mayEH bIjEH samUhe catur AtmanA /
   jīvakṣetrajñakātmanāmadheyam anaśvaram // Paus_36.273 //	jIva kzetrajQaka Atma nAmaDeyam anaSvaram // POH _36.273 //
   vartate vai samāsādya nityaṃ saiveśvarecchayā /	vartate vE samAsAdya nityam sA eva ISvara icCayA /
   traiguṇyasāmyam ādhāram avyaktākhyaṃ ca śāśvatam // Paus_36.274 //	trEguNya sAmyam ADAram avyakta AKyam ca SASvatam // POH _36.274 //
   tatrastham abhimānākhyarūpeṇa parameśvara m /	tatrasTam aBimAna AKya rUpeNa parameSvara m /
   sphuṭam avyaktabhedaṃ ca cāturātmyaṃ jagatprabhum // Paus_36.275 //	sPuwam avyakta Bedam ca cAturAtmyam jagatpraBum // POH _36.275 //
   dvibhujaṃ purūṣākārayuktam ādityasannibhaiḥ (?bham) /	dvi Bujam purUza AkAra yuktam Aditya sanniBEH (?Bam) /
   dhvajair ābharaṇaiścihnaiḥśaṅkhacakrādisaṃjñitaiḥ // Paus_36.276 //	DvajEH ABaraNEH cihnEH SaFKa cakra Adi saMjQitEH // POH _36.276 //
   avyakte buddhitattve ca sthitaṃ vyaktataraṃ vibhum /	avyakte budDi tattve ca sTitam vyaktataram viBum /
   caturmūrtiṃ caturvaktraṃ caturbāhuṃ caturgatim // Paus_36.277 //	catur mUrtim catur vaktram catur bAhum catur gatim // POH _36.277 //
   lāñchanair dhvajaparyantair vyaktairyuktamanaśvaraiḥ /	lAQCanEH Dvaja paryantEH vyaktEH yuktam anaSvarEH /
   ahaṅkāraṃ samāśritya avyaktaṃ kamalodbhava // Paus_36.278 //	ahaFkAram samASritya avyaktam kamalodBavaH // POH _36.278 //
   sthitā mūrtyantarāḥsarve keśavādyāstu vai smṛtāḥ /	sTitAH mUrti antarAH sarve keSava AdyAH tu vE smRtAH /
   haṃsādyāḥṣaṇmayoktā ye yathāsaṃsiddhilakṣaṇāḥ // Paus_36.279 //	haMsa AdyAH zaNmayA uktAH ye yaTA saMsidDi lakzaNAH // POH _36.279 //
   manastattvaṃ samāsādya samyak jñānaguṇānvitāḥ /	manaH tattvam samAsAdya samyak jQAna guNa anvitAH /
   buddhīndriyaguṇaṃ vipra ṣaḍete punaranyathā // Paus_36.280 //	budDIndriya guNam vipra zaw ete punar anyaTA // POH _36.280 //
   paurūṣaṃ dehamāsādya saṃsthitāḥ parameśvarāḥ /	pOrUzam deham AsAdya saMsTitAH parameSvarAH /
   kalkiniṣṭhā ṣaḍbhujāśca vāmanādyā dvijeśvarāḥ // Paus_36.281 //	kalki nizWA zaxBujAH ca vAmana AdyAH dvija ISvarAH // POH _36.281 //
   karmendriyasamūhaṃ tu tiṣṭhantyāśritya sarvadā /	karmendriya samUham tu tizWanti ASritya sarvadA /
   dharmādyā viśvarūpāntā ye ca sarvaguṇairyutāḥ // Paus_36.282 //	Darma AdyAH viSva rUpa antAH ye ca sarva guNEH yutAH // POH _36.282 //
   tanmātrāpañcakaṃ khādyaṃ samāśritya ca saṃsthitāḥ /	tanmAtrA paQcakam KAdyam samASritya ca saMsTitAH /
   ākāśādyaṃ samūhaṃ yadbhūtānāmabjasaṃbhava // Paus_36.283 //	AkASa Adyam samUham yat BUtAnAm abja saMBavaH // POH _36.283 //
   saṃsthitā vai samāśritya prāguktā vibudhottamāḥ /	saMsTitAH vE samASritya prAk uktAH vibuDa uttamAH /
   uktaśeṣair mahābuddhe prādurbhāvāntaraiḥ saha // Paus_36.284 //	ukta SezEH mahAbudDe prAdurBAva antarEH saha // POH _36.284 //
   uparāgaṃ yathāsādya lokatrayasamanvitam /	uparAgam yaTA AsAdya lokatraya samanvitam /
   ekadeśaṃ samāyāti tīrthasaṃṅgaṃ kurūkṣitau // Paus_36.285 //	eka deSam samAyAti tIrTa saMFgam kuru ukzitO // POH _36.285 //
   anugrahadhiyā caiva parayā kṛpayā dvija /	anugraha DiyA ca eva parayA kRpayA dvija /
   antakāle tu buddhānāṃ devairvyāptam anusmaran // Paus_36.286 //	antakAle tu budDAnAm devEH vyAptam anusmaran // POH _36.286 //
   adhyakṣo daivataṃ kṣmāntaṃ vigrahaṃ tattvasaṃgraham /	aDyakzaH dEvatam kzmA antam vigraham tattva saMgraham /
   vācyavācakayuktāstu te 'pi yānti parāṃ gatim // Paus_36.287 //	vAcya vAcaka yuktAH tu te api yAnti parAm gatim // POH _36.287 //
   yasmādvai bhagavacchaktyā tvanukampākhyayā dvija /	yasmAt vE Bagavat SaktyA tu anukampA AKyayA dvija /
   āviśya bāndhavaiḥsnigdhaṃ jantoḥ saṅgatisiddhaye // Paus_36.288 //	AviSya bAnDavEH snigDam jantoH saFgati sidDaye // POH _36.288 //
   tattasyānena vidhinā āpādayati vai śubham /	tat tasya anena viDinA ApAdayati vE SuBam /
   tīrthe vāyatane kṣetre visaṃjñasya mahāmate // Paus_36.289 //	tIrTe vA Ayatane kzetre visaMjQasya mahAmate // POH _36.289 //
   pauṣkara uvāca    	pOzkaraH uvAca    
   kṣetraiḥ kṣaitreśvaropetair bhūtānām iha yatprabho /	kzetrEH kzEtra ISvara upetEH BUtAnAm iha yat praBo /
   anugrahārtham ākrāntaṃ tamādiśatu sāmpratam // Paus_36.290 //	anugraha arTam AkrAntam tam AdiSatu sAmpratam // POH _36.290 //
   śrībhagavānuvāca    	SrI BagavAn uvAca    
   karmabhūmau manuṣyāṇāṃ bhavyāḥ kṣetrāḥ tathā hi ye /	karma BUmO manuzyANAm BavyAH kzetrAH taTA hi ye /
   agamyāḥ tvapi teṣāṃ ye surasiddhagaṇaṃ vinā // Paus_36.291 //	agamyAH tu api tezAm ye sura sidDa gaNam vinA // POH _36.291 //
   sāmprataṃ me ca te śaśvadekāgram avadhāraya /	sAmpratam me ca te SaSvat ekAgram avaDAraya /
   āryāvarte tu bhūbhāge pṛthivyāṃ puṇyasaṃjñake // Paus_36.292 //	AryAvarte tu BU BAge pRTivyAm puNya saMjQake // POH _36.292 //
   madhyadeśasamopete caturdikpariniṣṭhite /	maDyadeSa samopete catur diS pari nizWite /
   sāmudrajalalekhāyāṃ tatparyante mahāntare // Paus_36.293 //	sAmudra jala leKAyAm tad paryante mahA antare // POH _36.293 //
   āsṛṣṭeravatīrṇā yeḥ svādhiṣṭhānaiḥsahākhilāḥ /	AsRzweH avatIrNAH yeH svADizWAnEH saha aKilAH /
   ādidevādayo devā vyaktivigrahalakṣaṇāḥ // Paus_36.294 //	Adideva AdayaH devAH vyakti vigraha lakzaNAH // POH _36.294 //
   yatra yatra ca bhūbhāge yo yassārveśvaraṃ vapuḥ /	yatra yatra ca BU BAge yaH yassArveSvaram vapuH /
   yasmādyasmāttu vai tasmād āsṛṣṭeretya saṃsthitāḥ // Paus_36.295 //	yasmAt yasmAt tu vE tasmAt AsRzweH etya saMsTitAH // POH _36.295 //
   kṣetraśenānvitāścaiva tīrtheśena tathaiva hi /	kzetraSena anvitAH ca eva tIrTa ISena taTA eva hi /
   yasmāddevālayodeśāt dhmātasya jalajasya ca // Paus_36.296 //	yasmAt devAlayaH deSAt DmAtasya jalajasya ca // POH _36.296 //
   bhavecchabdāttavedhaśca tāvat kṣetraṃ taducyate /	Bavet SabdAt tava IDaH ca tAvat kzetram tat ucyate /
   divyādyāyatanādīnām antaraṃ yadanaśvaram // Paus_36.297 //	divya Adi Ayatana AdInAm antaram yat anaSvaram // POH _36.297 //
   krośādhikasamaṃ nyūnaṃ mānenānena yena tu /	kroSa aDika samam nyUnam mAnena anena yena tu /
   antarvedī ca sā jñeyā nārāyaṇaratātmanām // Paus_36.298 //	antarvedI ca sA jQeyA nArAyaNa rata AtmanAm // POH _36.298 //
   yajane śrāddhakaraṇe dāne votkramaṇer'cane /	yajane SrAdDa karaNe dAne vA utkramaNeracane /
   japadhyāne tapoyajñe agnisantarpaṇena(?'pi) ca // Paus_36.299 //	japa DyAne tapaH yajQe agni santarpaNena(? api) ca // POH _36.299 //
   sthitaṃ yadekadeśe tu dīpāloko dvijottama /	sTitam yat eka deSe tu dIpa AlokaH dvijottamaH /
   ābhāsayati bhūbhāgaṃ paratastadvadeva hi // Paus_36.300 //	ABAsayati BU BAgam paratas tadvat eva hi // POH _36.300 //
   svakṣetraṃ kṣetranāthaṃ ca samāsādya ca vartate /	sva kzetram kzetra nATam ca samAsAdya ca vartate /
   aihikāmuṣmikī caiva siddhir bhavati dehinām // Paus_36.301 //	EhikAmuzmikI ca eva sidDiH Bavati dehinAm // POH _36.301 //
   tatra tāvaccaturmūrter mūrtyantaragaṇasya ca /	tatra tAvat catur mUrteH mUrti antara gaNasya ca /
   sanniveśaṃ pṛthivyāṃ vai sāmprataṃ tvavadhāraya // Paus_36.302 //	sanniveSam pRTivyAm vE sAmpratam tu avaDAraya // POH _36.302 //
   puṣkaraṃ kṣetramāśritya puṇḍarīkākṣasaṃjñayā /	puzkaram kzetram ASritya puNxarIkAkza saMjQayA /
   vāsudevastu bhagavānnityasannihitaḥsthitaḥ // Paus_36.303 //	vAsudevaH tu BagavAn nitya sannihitaH sTitaH // POH _36.303 //
   evaṃ kṣetravaraiḥ sarvametya viśveśvaraḥsvayam /	evam kzetra varEH sarvam etya viSveSvaraH svayam /
   caturmūrtidvijādyaṃ vai āsṛṣṭeḥsaṃsthitiṃ kratau // Paus_36.304 //	catur mUrti dvija Adyam vE AsRzweH saMsTitim kratO // POH _36.304 //
   caturṇāṃ mūrtibhedaṃ yad dviṣaṭkaparisaṃkhyayā /	caturNAm mUrti Bedam yat dvi zawka parisaMKyayA /
   kṣetraiḥ tīrthānvitaisteṣāṃ saṃsthānam avadhāraya // Paus_36.305 //	kzetrEH tIrTa anvitEH tezAm saMsTAnam avaDAraya // POH _36.305 //
   keśavaḥ kleśahā loke vai (?dvai) rūpyeṇa kṣitau sthitaḥ /	keSavaH kleSa hA loke vE (?dvE) rUpyeNa kzitO sTitaH /
   abhivyaktena rūpeṇa govindaḥ purūṣottamaḥ // Paus_36.306 //	aBivyaktena rUpeNa govindaH purUza uttamaH // POH _36.306 //
   bhūbhāgapadamāśritya saṃsthito nagasāhṛye // Paus_36.307 //	BU BAga padam ASritya saMsTitaH nagasAhRye // POH _36.307 //
   sthāne vṛndāvanākhye 'pi dvidhaiva kamalodbhava /	sTAne vRndAvana AKye api dviDA eva kamalodBavaH /
   viṣṇurlo[kāgha] he vipra sthito viṣṇupadena ca // Paus_36.308 //	vizNuH lo[kAGa] he vipra sTitaH vizNu padena ca // POH _36.308 //
   mandarākhyagiriṃ caiva āsādya madhusūdanaḥ /	mandara AKya girim ca eva AsAdya maDusUdanaH /
   bhūtānām anukampārtham avatīrya ca saṃsthitaḥ // Paus_36.309 //	BUtAnAm anukampA arTam avatIrya ca saMsTitaH // POH _36.309 //
   yāmunaṃ jalamāśritya devadevastrivikramaḥ /	yAmunam jalam ASritya devadevaH trivikramaH /
   sthitaḥ kamalasaṃbhūta nṛṇāṃ ca sugatipradaḥ // Paus_36.310 //	sTitaH kamala saMBUta nRNAm ca sugati pradaH // POH _36.310 //
   mūrtyantaraṃ vāmanākhyaṃ sahayādrau kamalodbhava /	mUrti antaram vAmana AKyam sahaya adrO kamalodBavaH /
   svatattvādetya viśrāntaṃ bhavināṃ śokaśāntaye // Paus_36.311 //	sva tattvAt etya viSrAntam BavinAm Soka SAntaye // POH _36.311 //
   narmadākhyaṃ hi cākramya jalaṃ pāpakṣayaṅkaram /	narmadA AKyam hi ca Akramya jalam pApa kzayaFkaram /
   śrīdharaḥ saṃsthito devaḥ kauṇḍale ca śriyā saha // Paus_36.312 //	SrIDaraH saMsTitaH devaH kONxale ca SriyA saha // POH _36.312 //
   hṛṣīkeśastu bhagavān saṃsthito 'pyātmanā bhuvi /	hRzIkeSaH tu BagavAn saMsTitaH api AtmanA Buvi /
   dharādhare dhvajākhye tu kṣetre kubjāmrake 'bjaja // Paus_36.313 //	DarADare Dvaja AKye tu kzetre kubja Amrake abja ja // POH _36.313 //
   padmanābhastu mādhyeśastvavatīrya ca saṃsthitaḥ /	padmanABaH tu mA aDyeSaH tu avatIrya ca saMsTitaH /
   dākṣiṇāṃ diśam āśritya samīpe jaladhikṣitau // Paus_36.314 //	dAkziNAm diSam ASritya samIpe jalaDi kzitO // POH _36.314 //
   girau revatake vipra svatattvādetya vartate /	girO revatake vipra sva tattvAt etya vartate /
   dāmodarastu bhagavān hitārthaṃ bhāvitātmanām // Paus_36.315 //	dAmodaraH tu BagavAn hita arTam BAvitAtmanAm // POH _36.315 //
   ebhir mūrtyantaraiḥ sārdhaṃ mūrtibhiḥ viśvamandiram /	eBiH mUrti antarEH sArDam mUrtiBiH viSva mandiram /
   samāsādya dvijaśreṣṭha ato 'nyeṣāṃ ca saṃsthitim // Paus_36.326 //	samAsAdya dvijaSrezWa atas anyezAm ca saMsTitim // POH _36.326 //
   nibodhatu mahābuddhe sāvadhānena cetasā /	niboDatu mahAbudDe sa avaDAnena cetasA /
   siddhāmarārcitaṃ viddhi śvetadvīpe tu haṃsarāṭ // Paus_36.327 //	sidDa amara arcitam vidDi SvetadvIpe tu haMsa rAj // POH _36.327 //
   matsyātmā bhagavānapsu aśvātmā baḍabāmukhe /	matsya AtmA BagavAn apsu aSva AtmA baxa bAmuKe /
   rasātale tu kūrmātmā vindhyāraṇye tu pauṣkara // Paus_36.318 //	rasAtale tu kUrma AtmA vinDya araNye tu pOzkara // POH _36.318 //
   vijñātavyo mṛgendrātmā pāpahā sarvadehinām /	vijQAtavyaH mRgendra AtmA pApa hA sarva dehinAm /
   saukarīyena rūpeṇa kṣetre tatsaṃjñake tu vai // Paus_36.319 //	sOkarIyena rUpeNa kzetre tad saMjQake tu vE // POH _36.319 //
   gāṅge śubhajale kūle surasiddhaniṣevite /	gAFge SuBa jale kUle sura sidDa nizevite /
   hemottamāṅgadṛgdevo hemaśailamahāntare // Paus_36.320 //	hema uttamAFgadRS devaH hema SEla mahA antare // POH _36.320 //
   naubandhanagirāveva mīnavaktraḥ sthitaḥ prabhuḥ /	nObanDana girO= eva mIna vaktraH sTitaH praBuH /
   kṛṣṇāśve 'śvaśiro devo kṣitikṣetre kṣamārcite // Paus_36.321 //	kRzNa aSve aSva SiraH devaH kziti kzetre kzamA arcite // POH _36.321 //
   lavaṇodadhiparyante bhūbhāge siddhasevite /	lavaNa udaDi paryante BU BAge sidDa sevite /
