   oṃ namaścidātmaparamārthavapuṣe //	om namaH-cidAtma-parama-arTa-vapuze //
   bhāsvareṇaitacchaktitrayasāmarasyātmakaparāśaktisphāramayena bodhena na	BAsvareNa-etat-Sakti-traya-sAmarasya-Atmaka-para-aSakti-sPAra-mayena boDena na
   parāmṛṣṭam tatprakhyopākhyāvikalaṃ gaganapuṣpatulyam / anena ca	parAmRzwam tad-praKya-upAKyA-vikalam gagana-puzpa-tulyam / anena ca
   sadvṛttyūrdhvavartitriśūlātmakavṛttivīryaṃ sūcitam // 44 //	sat-vRtti-UrDvavarti-triSUla-Atmaka-vRtti-vIryam sUcitam // 44 //
   etacchāktapadāveśamasyānuvadañśāṃbhavapadasamāpattyā	etat-SAkta-pada-AveSam-asya-anuvadan-Sa-aMBava-pada-samApattyA
   tanmayībhāvamāvirbhāvayati	tanmayIBAvam-AvirBAvayati
   śaktitriśūlaparigamayogena samastamapi parameśe /	Sakti-triSUla-parigama-yogena samastam-api parameSe /
   śivanāmani paramārthe visṛjyate devadevena // 45 //	Siva-nAmani parama-arTe visRjyate devadevena // 45 //
   tadittham samastamapi etatsattāmātrarūpatvātproktabrahmaparamārtham	tat-itTam samastam-api etad-sattA-mAtra-rUpa-tvAt-prokta-brahma-parama-arTam
   śaktitriśūlaparigamayogena nirṇītayuktyā parāśaktisamāpattikrameṇa	Sakti-triSUla-parigama-yogena nirNIta-yuktyA parASakti-samApatti-krameNa
   śivanāmani paramārthe anavacchinnacidānandaikaghane parameśvare	Siva-nAmani parama-arTe anavacCinna-cit-Ananda-eka-Gane parameSvare
   svasminsvabhāve visṛjyate antarmukhavimarśanaprakarṣāttatsamāveśena	svasmin-svaBAve visRjyate antarmuKa-vimarSana-prakarzAt-tad-samAveSena
   tanmayībhāvamāpādyate devānām brahmādisadāśivāntānāṃ	tanmayIBAvam-ApAdyate devAnAm brahma-Adi-sadASiva-antAnAm
   sarvaprakāśānāmindriyāṇāṃ ca devena prabhuṇā paramaśivenaiva	sarva-prakASAnAm-indriyANAm ca devena praBuNA parama-Sivena-eva
   nahyatrānyasya kasyacitkartṛtvaṃ ghaṭate nāpyetadvyatirikto 'nyaḥ	na-hi-atra-anyasya kasyacid-kartR-tvam Gawate na-api-etat-vyatiriktaH anyaH
   kaścitpramātāstyasyaiva ca	kaScid-pramAtA-asti-asya-eva ca
   bhagavatastattadbhūmikādhirohiṇastattadrudrakṣetrajñādipramātṛrūpatayā	BagavataH-tad-tad-BUmikA-aDirohiNaH-tad-tad-rudra-kzetrajQA-Adi-pramAtR-rUpa-tayA
   sphuraṇamiti devadevena iti yuktaivoktiḥ / taditthaṃ visargavṛttirdarśitā	sPuraNam-iti devadevena iti yuktA-eva-uktiH / tat-itTam visarga-vRttiH-darSitA
   evamiyatā bhedātmano nararūpasya jagato	evam-iyatA Beda-AtmanaH nara-rUpasya jagataH-
   bhedābhedātmakaśāktapadādhyāroheṇābhinnacidghanaśivasāmarasyāpattimupasaṃhāradṛśā	Beda-aBeda-Atmaka-SAkta-pada-aDyAroheNa-aBinna-cit-Gana-Siva-sAmarasya-Apattim-upasaMhAra-dRSA
   pradarśyedānīṃ cidekaghanaḥ śiva eva śaktirūpatayollāsya	pradarSya-idAnIm cit-eka-GanaH SivaH eva Sakti-rUpa-tayA-ullAsya
   narātmakaviśvarūpatayā sphurati na tu śivavyatiriktaṃ śaktinarayoḥ kimapi	nara-Atmaka-viSva-rUpa-tayA sPurati na tu Siva-vyatiriktam Sakti-narayoH kim-api
   rūpaṃ śiva eva tvitthaṃ nijarasāśyānatayā sphuratīti prasarayuktiṃ	rUpam SivaH eva tu-itTam nija-rasa-aSyAna-tayA sPurati-iti prasara-yuktim
   mahāmantrasphāramayīṃ darśayati	mahA-mantra-sPAra-mayIm darSayati
   punarapi ca pañcaśaktiprasaraṇakrameṇa bahirapi tat /	punar-api ca paQca-Sakti-prasaraNa-krameNa bahis-api tat /
   aṇḍatrayaṃ vicitraṃ sṛṣṭaṃ bahirātmalābhena // 46 //	aNxa-trayam vicitram sRzwam bahis-Atma-lABena // 46 //
   cidānandecchājñānakriyākhyaśaktipañcakasāmarasyātmā yaḥ paramaśivastena	cit-Ananda-icCA-jQAna-kriyA-AKya-Sakti-paQcaka-sAmarasya-AtmA yaH parama-SivaH-tena
   cidādiśaktiprādhānyaprathanātmakaśivaśaktisadāśiveśvaraśuddhavidyākhyabhūmikonmīlanayuktyā	cit-Adi-Sakti-prADAnya-praTana-Atmaka-Siva-Sakti-sadASiva-ISvara-SudDa-vidyA-AKya-BUmikA-unmIlana-yuktyA
   tadaṇḍatrayaṃ vicitram iti tattadbhuvanādirūpam sṛṣṭaṃ bahirātmalābhena	tad-aNxa-trayam vicitram iti tad-tad-Buvana-Adi-rUpam sRzwam bahis-Atma-lABena
   iti bāhyābhāsātmatayā svātmanaḥ pradarśanena / punarapi	iti bAhya-ABAsa-Atma-tayA sva-AtmanaH pradarSanena / punar-api
   ityanenaitaddarśayati yatparamaśiva eva svatantraḥ sadā svabhittau	iti-anena-etat-darSayati yat-paramaSivaH eva svatantraH sadA sva-BittO
   viśvaprapañcollāsanavilāpanakrīḍāṃ	viSva-prapaQca-ullAsana-vilApana-krIxAm
   svātmānatiriktāmapyatiriktāmivādarśayannevamitthaṃ sthito na tu	sva-AtmAn-atiriktAm-api-atiriktAm-iva-AdarSayan=-evam-itTam sTitaH na tu
   tadvyatiriktaṃ kimapyastīti // 46 //	tad-vyatiriktam kim-api-asti-iti // 46 //
   itthaṃ viśvollāsanavilāyanakrīḍāśīlo bhagavānyaḥ śivaḥ iti vyapadiśyate sa	itTam viSva-ullAsana-vilAyana-krIxA-SIlaH BagavAn-yaH SivaH iti vyapadiSyate sa
   katamaḥ kutra tiṣṭhati katamena vā pramāṇena prasiddha ityāśaṅkya sarveṣāṃ	katamaH kutra tizWati katamena vA pramANena prasidDaH iti-ASaFkya sarvezAm
   svātmaiva śivaḥ sarvatrādisiddhatayā	sva-AtmA-eva SivaH sarvatra-Adi-sidDa-tayA
   sphuransargādīnvidadhātītyasmacchabdavācakaiḥ śabdaiḥ pratipādayati	sPuran-sarga-AdIn-vidaDAti-iti-asmad-Sabda-vAcakEH SabdEH pratipAdayati
   iti śakticakrayantraṃ krīḍāyogena vāhayandevaḥ /	iti Sakti-cakrayantram krIxA-yogena vAhayan-devaH /
   ahameva śuddharūpaḥ śaktimahācakranāyakapadasthaḥ // 47 //	aham-eva SudDa-rUpaH Sakti-mahA-cakra-nAyaka-pada-sTaH // 47 //
   mayyeva bhāti viśvaṃ darpaṇa iva nirmale ghaṭādīni /	mayi-eva BAti viSvam darpaNaH iva nirmale Gawa-AdIni /
   mattaḥ prasarati sarvaṃ svapnavicitratvamiva suptāt // 48 //	mattaH prasarati sarvam svapna-vicitra-tvam-iva suptAt // 48 //
   ahameva viśvarūpaḥ karacaraṇādisvabhāva iva dehaḥ /	aham-eva viSva-rUpaH kara-caraNa-Adi-svaBAvaH iva dehaH /
   sarvasminnahameva sphurāmi bhāveṣu bhāsvarūpamiva // 49 //	sarvasmin=-aham-eva sPurAmi BAvezu BAsva-rUpam-iva // 49 //
   draṣṭā śrotā ghrātā dehendriyavarjito 'pyakartāpi /	drazwA SrotA GrAtA deha-indriya-varjitaH api-akartA-api /
   siddhāntāgamatarkāṃścitrānahameva racayāmi // 50 //	sidDAnta-Agama-tarkAn=-citrAn-aham-eva racayAmi // 50 //
   iti vyākhyātena prakāreṇa cidādiśaktipañcakākṣipto 'nanto yaḥ	iti vyAKyAtena prakAreNa cit-Adi-Sakti-paQcaka-AkziptaH anantaH yaH
   śaktisamūhastadeva yantraṃ krīḍāyogena vāhayan araghaṭṭaghaṭīyantranyāyena	Sakti-samUhaH-tat-eva yantram krIxA-yogena vAhayan ara-Gawwa-GawI-yantra-nyAyena
   sṛṣṭyādyunmajjananimajjanahelākrameṇa viparivartayannahameveti devaḥ	sRzwi-Adi-unmajjana-nimajjana-helA-krameNa viparivartayan=-aham-eva-iti devaH
   sarvaprāṇinām aham ityanāhato nādātmā parāhantācamatkārasāraḥ	sarva-prANinAm aham iti-anAhataH nAda-AtmA parAhanta-AcamatkAra-sAraH
   svātmaparāmarśaḥ sa eva sarvasyānapahnavanīyo 'yaṃ svātmaiva devaḥ	sva-Atma-parAmarSaH saH eva sarvasya-anapahnavanIyaH ayam sva-AtmA-eva devaH
   krīḍanaśīlaḥ sphuratīti / anena svasvarūpaniṣṭha eva śiva iti pratipāditam	krIxana-SIlaH sPurati-iti / anena sva-svarUpa-nizWaH eva SivaH iti pratipAditam
   / tathā śuddharūpa iti kalpanātikrāntagocaraḥ / anyacca śaktīnāṃ	/ taTA SudDa-rUpaH iti kalpanA-atikrAnta-gocaraH / anyat-ca SaktInAm
   karaṇadevatānāṃ viṣayāharaṇatyāgādivyavahārasvātantryadātṛ yat	karaNa-devatAnAm vizaya-AharaNa-tyAga-Adi-vyavahAra-svAtantrya-dAtR yat-
   mahācakranāyakapadam tatra tiṣṭhati tatsthaḥ / yataḥ karaṇaśaktīnāṃ	mahA-cakra-nAyaka-padam tatra tizWati tad-sTaH / yatas karaNa-SaktInAm
   caitanyaviśrāntiṃ vinā svarūpasattā na vidyate 'taḥ śaktimantameva	cEtanya-viSrAntim vinA svarUpa-sattA na vidyate atas Saktimantam-eva
   svarūpāsādanāyānavarataṃ bhajanta ityanena	svarUpa-AsAdanAya-anavaratam BajantaH iti-anena
   sarvapramātṛhṛdayādhiṣṭhātṛtvādbhagavato niyatabhuvanādhiṣṭhātṛtvaṃ	sarva-pramAtR-hRdaya-aDizWAtR-tvAt-BagavataH niyata-Buvana-aDizWAtR-tvam
   parihṛtam / tathā yadidaṃ kiñcidviśvatayābhimataṃ	parihRtam / taTA yat-idam kiQcid-viSva-tayA-aBimatam
   tatsarvamādarśapratibimbanyāyena mayyeva bhāti	tat-sarvam-AdarSa-pratibimba-nyAyena mayi-eva BAti
   vyākhyātarūpāsmadarthaviśrāntamevāvabhāsate 'hantāsārameva sphuratīti	vyAKyAta-rUpa-asmad-arTa-viSrAntam-eva-avaBAsate ahanta-AsAram-eva sPurati-iti
   yāvat / tathā mattaḥ iti pūrṇādahamiti rūpātsvātmanaḥ sakalaṃ niḥśeṣamidaṃ	yAvat / taTA mattaH iti pUrNAt-aham-iti rUpAt-sva-AtmanaH sakalam niHSezam-idam
   viśvam prasarati pramātrapekṣayāpahṛtatayā sphurati / kathamityāha	viSvam prasarati pramAtR-apekzayA-apahRta-tayA sPurati / kaTam-iti-Aha
   svapnavicitratvamiva suptāt iti yathā nidritātpramātuḥ svapnāvasthāyāṃ	svapna-vicitra-tvam-iva suptAt iti yaTA nidritAt-pramAtuH svapna-avasTAyAm
   bāhyapadārthābhāve 'pi puraprākāradevagṛhādi nānāścaryaṃ	bAhya-padArTa-aBAve api pura-prAkAra-deva-gRha-Adi nAnA-AScaryam
   svapnapadārthavaicitryamavidyādiparikalpitakāraṇāntarābhāvātsvasaṃvidupādānameva	svapna-padArTa-vEcitryam-avidyA-Adi-parikalpita-kAraNa-antara-aBAvAt-sva-saMvid-upAdAnam-eva
   prasarati tathaiva	prasarati taTA-eva
   tīrthāntaraniyamitakāraṇāntarānupapatteranavacchinnacidānandaikaghanādahamiti	tIrTa-antara-niyamita-kAraNa-antara-anupapatteH-anavacCinna-cit-Ananda-eka-GanAt-aham-iti
   rūpādviśvamiti / tathā ahameva viśvarūpaḥ ityādi / ahamityeva yaḥ	rUpAt-viSvam-iti / taTA aham-eva viSva-rUpaH ityAdi / aham-iti-eva yaH
   pūrṇaścaitanyaparāmarśa eṣa evāsmi nānādehādipramātṛtāsamāpanno viśvarūpa	pUrNaH-cEtanya-parAmarSaH ezaH eva-asmi nAnA-deha-Adi-pramAtR-tAsam-ApannaH viSvarUpa
   āgopālabālāṅganādiṣvantarabhedena sphuraṇādviśvāni mamaiva rūpāṇīti yāvat	AgopAla-bAla-aFganA-Adizu-antara-Bedena sPuraNAt-viSvAni mama-eva rUpANi-iti yAvat-
   / ka iva karacaraṇādisvabhāvo deha iva yathā sāmānyena sarveṣāmeko dehaḥ	/ kaH iva kara-caraNa-Adi-svaBAvaH dehaH iva yaTA sAmAnyena sarvezAm-ekaH dehaH
   karacaraṇādisvabhāvaḥ pratipramātṛ svālakṣaṇyena	kara-caraNa-Adi-svaBAvaH pratipramAtR svAlakzaNyena
   nānārūpastathaivaikaścaitanyalakṣaṇaḥ padārthaḥ sarvāvāsatvādviśvarūpa iti	nAnA-rUpaH-taTA-eva-ekaH-cEtanya-lakzaNaH padArTaH sarva-AvAsa-tvAt-viSva-rUpaH iti
   / tathā sarvasmin pramātṛpramāṇaprameyarūpe 'smin ahameva sphurāmi	/ taTA sarvasmin pramAtR-pramANa-prameya-rUpe asmin aham-eva sPurAmi
   sarvasya svātmānubhavitṛtvena prakāśanāt / kathaṃ bhāveṣu bhāsvarūpamiva	sarvasya sva-Atma-anuBavitR-tvena prakASanAt / kaTam BAvezu BAsva-rUpam-iva
   iti yathā nānāvastuṣu bhāsvarūpam atiśayena dyotanaśīlaṃ vastu dedīpyate	iti yaTA nAnA-vastuzu BAsva-rUpam atiSayena dyotana-SIlam vastu dedIpyate
   tathaiva jaḍe 'smiñjagatyekaścidrūpo 'hamiti / ataśca draṣṭā ityādi	taTA-eva jaxe asmin-jagati-ekaH-cit-rUpaH aham-iti / atas-ca drazwA ityAdi
   dehendriyavarjito 'pi cinmūrtatvādahameva paśyāmi śṛṇomi jighrāmi rasayāmi	deha-indriya-varjitaH api cit-mUrta-tvAt-aham-eva paSyAmi SRNomi jiGrAmi rasayAmi
   spṛśāmīti sarvatra pūrṇāhantāviśrānteḥ kṛtakṛtyatā / dehendriyavargo hi	spRSAmi-iti sarvatra pUrNAhanta-aviSrAnteH kRtakRtya-tA / deha-indriya-vargaH hi
   paśyāmītyādi manyate paraṃ svāpādyavasthāsu	paSyAmi-ityAdi manyate param svApa-Adi-avasTAsu
   draṣṭṛtvādyabhāvāttasmāddehendriyādivargasamullāsakastadvarjito 'pi	drazwR-tva-Adi-aBAvAt-tasmAt-deha-indriya-Adi-varga-samullAsakaH-tad-varjitaH api
   cidānandaikaghanaḥ sarvabhūtahṛdayāntaracārī	cit-Ananda-eka-GanaH sarva-BUta-hRdaya-antara-cArI
   viṣayopabhogabhoktāsmacchabdavācyaḥ paraḥ puruṣa eva / tathā ca śrutiḥ	vizaya-upaBoga-BoktA-asmad-Sabda-vAcyaH paraH puruzaH eva / taTA ca SrutiH
   apāṇipādo javano grahītā paśyatyacakṣuḥ sa śṛṇotyakarṇaḥ /	apANi-pAdaH javanaH grahItA paSyati-acakzuH sa SRNoti-akarNaH /
   sa vetti vedyaṃ na ca tasyāsti vettā tamāhuragryaṃ puruṣaṃ mahāntam //	sa vetti vedyam na ca tasya-asti vettA tam-AhuH-agryam puruzam mahAntam //
   iti / tathākartāpi siddhāntāgama ityādi svayamavidhātāpi	iti / taTA-akartA-api sidDAnta-AgamaH ityAdi svayam-aviDAtA-api
   devamunimanuṣyādyāśayāviṣṭaḥ saṃkṣepavistāravivakṣayāntaḥpratibhāsvarūpo	deva-muni-manuzya-Adi-ASaya-AvizwaH saMkzepa-vistAra-vivakzayA-antar-pratiBA-svarUpaH-
   'haṃ siddhāntādīnnānāścaryānkaromi na punarjaḍānāṃ loṣṭasthānīyānāṃ	aham sidDAnta-AdIn-na-anA-AScaryAn-karomi na punar-jaxAnAm lozwa-sTAnIyAnAm
   dehendriyāṇāṃ tatkaraṇaṃ śakyamiti tattadvyavadhānenāhameva	deha-indriyANAm tad-karaNam Sakyam-iti tad-tad-vyavaDAnena-aham-eva
   sarvapramāṇanirmāteti / anena parāhantāsvarūpasya svātmamaheśvarasya	sarva-pramANa-nirmAtA-iti / anena parAhanta-asvarUpasya sva-Atma-maheSvarasya
   sattāyāṃ na pramāṇopayoga upapadyata upayujyate vetyuktaṃ syāt /	sattAyAm na pramANa-upayogaH upapadyate upayujyate vA-iti-uktam syAt /
   evamanapahnavanīyaḥ aham ityevamanubhavitṛtayā sarveṣāṃ svātmaiva śivaḥ	evam-anapahnavanIyaH aham iti-evam-anuBavitRtayA sarvezAm sva-AtmA-eva SivaH
   sarvatrāvasthitaḥ sarvapramāṇeṣvādisiddha iti // 47 // 48 // 49 // 50 //	sarvatra-avasTitaH sarva-pramANezu-Adi-sidDaH iti // 47 // 48 // 49 // 50 //
   tadevaṃ vyākhyātena krameṇa sarvo mamāyaṃ vibhava iti dārḍhyena svātmānaṃ	tat-evam vyAKyAtena krameNa sarvaH mama-ayam viBavaH iti dArXyena sva-AtmAnam
   pratyavamṛśanparabrahmasvarūpo yogī bhavatītyāha	pratyavamRSan-para-brahma-svarUpaH yogI Bavati-iti-Aha
   itthaṃ dvaitavikalpe galite pravilaṅghya mohanīṃ māyām /	itTam dvEta-vikalpe galite pravilaFGya mohanIm mAyAm /
   salile salilaṃ kṣīre kṣīramiva brahmaṇi layī syāt // 51 //	salile salilam kzIre kzIram-iva brahmaNi layI syAt // 51 //
   anena prakāreṇa sarvāhaṃbhāvapariśīlanayuktyā dvaitavikalpe galite	anena prakAreNa sarva-ahaMBAva-pariSIlana-yuktyA dvEta-vikalpe galite
   bhedaprathāyāṃ vilīnāyāṃ mohanīṃ māyāṃ pravilaṅghya	Beda-praTAyAm vilInAyAm mohanIm mAyAm pravilaFGya
   anātmanyātmābhimānarūpāmakhyātiṃ bhedaprathāhetumahameva viśvātmeti	anAtmani-Atma-aBimAna-rUpa-AmaKyAtim Beda-praTA-hetum-aham-eva viSvAtmA-iti
   saṃkocāpasaraṇena samutsṛjya jñānī brahmaṇi bṛṃhaṇātmake pūrṇe	saMkoca-apasaraNena samutsRjya jQAnI brahmaNi bRMhaNa-Atmake pUrNe
   cidānandaikaghane svarūpe layī syāt saṃkocavilayādbrahmatādātmyaṃ yāyāt /	cit-Ananda-eka-Gane svarUpe layI syAt saMkoca-vilayAt-brahma-tAdAtmyam yAyAt /
   kiṃ yathetyāha salile ityādi / yathā salilam uddhṛtaṃ nānāghaṭādibhirjalaṃ	kim yaTA-iti-Aha salile ityAdi / yaTA salilam udDRtam nAnA-Gawa-AdiBiH-jalam
   kṣīraṃ vā vividhaśāvaleyabāhuleyādyanekagosahasrasaṃbhinnaṃ punarapi	kzIram vA viviDa-SAvaleya-bAhuleya-Adi-aneka-go-sahasra-saMBinnam punar-api
   ghaṭaśāvaleyādikṛtabhedasaṃkocaparikṣayāt salile salilaṃ praviṣṭam kṣīre	Gawa-SAvaleya-Adi-kRta-Beda-saMkoca-parikzayAt salile salilam pravizwam kzIre
   kṣīram vetyekameva tadvastu na tatra bhedaḥ sphurati tathaiva	kzIram vA-iti-ekam-eva tat-vastu na tatra BedaH sPurati taTA-eva
   dehaprāṇapuryaṣṭakaśūnyātmakapratyavamarśabhaṅgādbrahmaiva saṃpadyate /	deha-prANa-puryazwaka-SUnya-Atmaka-pratyavamarSa-BaFgAt-brahmA-eva saMpadyate /
   yathāha bhaṭṭadivākaravatsaḥ	yaTA-Aha Bawwa-divAkara-vatsaH
   jāte dehapratyayadvīpabhaṅge prāptaikadhye nirmale bodhasindhau /	jAte deha-pratyaya-dvIpa-BaFge prApta-EkaDye nirmale boDa-sinDO /
   avyāvartya tvindriyagrāmamantarviśvātmā tvaṃ nitya eko 'vabhāsi //	avyAvartya tu-indriya-grAmam-antar-viSvAtmA tvam nityaH ekaH avaBAsi //
   iti kakṣyāstotre // 51 //	iti kakzyA-stotre // 51 //
   evaṃ brahmasattāmadhirūḍhasya yogino dvandvābhibhavo 'pi brahmamaya eva na	evam brahma-sattAm-aDirUXasya yoginaH dvandva-aBiBavaH api brahma-mayaH eva na
   svarūpavipralopāya pragalbhata ityāha	sva-rUpa-vipralopAya pragalBate iti-Aha
   itthaṃ tattvasamūhe bhāvanayā śivamayatvamabhiyāte /	itTam tattva-samUhe BAvanayA Siva-maya-tvam-aBiyAte /
   kaḥ śokaḥ ko mohaḥ sarvaṃ brahmāvalokayataḥ // 52 //	kaH SokaH kaH mohaH sarvam brahma-avalokayataH // 52 //
   evaṃ nirṇītena prakāreṇa galitakañcukabandhasya yoginaḥ tattvasamūhe	evam nirNItena prakAreNa galita-kaQcuka-banDasya yoginaH tattva-samUhe
   bhūtaviṣayendriyavrāte bhāvanayā sarvamidamekā svasaṃviditi	BUta-vizaya-indriya-vrAte BAvanayA sarvam-idam-ekA sva-saMvid-iti
   dṛḍhapratipattyā śivamayatvam prāpte paramādvayarūpatāṃ yāte	dRXa-pratipattyA Siva-maya-tvam prApte parama-advaya-rUpa-tAm yAte
   śokamohopalakṣitā dvandvābhibhavāḥ sarvam idaṃ tattvavrātam brahma paśyato	Soka-moha-upalakzitAH dvandva-aBiBavAH sarvam idam tattva-vrAtam brahma paSyataH-
   'sya na kecanaiva te brahmamayatvātsarve svarūparūpā iti na khedāya	asya na kecana-eva te brahma-maya-tvAt-sarve sva-rUpa-rUpAH iti na KedAya
   prabhavanti // 52 //	praBavanti // 52 //
   nanu paramādvayarūpasyāpi jñānino 'vaśyaṃ sthite śarīre 'pi	nanu parama-advaya-rUpasya-api jQAninaH avaSyam sTite SarIre api
   taddhetukaśubhāśubhakarmaphalasaṃcayaḥ kimiti na syāditi pariharati	tad-hetuka-SuBa-aSuBa-karma-Pala-saMcayaH kim-iti na syAt-iti pariharati
   karmaphalaṃ śubhamaśubhaṃ mithyājñānena saṃgamādeva /	karma-Palam SuBam-aSuBam miTyAjQAnena saMgamAt-eva /
   viṣamo hi saṅgadoṣastaskarayogo 'pyataskarasyeva // 53 //	vizamaH hi saFga-dozaH-taskara-yogaH api-ataskarasya-iva // 53 //
   aśvamedhabrahmahananādirūpapuṇyāpuṇyakarmaphalapracayasaṃcayo 'pi	aSvameDa-brahma-hanana-Adi-rUpa-puNyA-puNya-karma-Pala-pracaya-saMcayaH api
   mithyājñānena saṃgamādeva prādurbhavatyahaṃ śarīrīdamaśvamedhādi	miTyAjQAnena saMgamAt-eva prAdurBavati-aham SarIrI-idam-aSvameDa-Adi
   mamopāyatayāstviti yadanātmanyātmābhimānalakṣaṇaṃ vaiparītyena jñānaṃ tena	mama-upAyatayA-astu-iti yat-anAtmani-Atma-aBimAna-lakzaNam vEparItyena jQAnam tena
   yo 'bhiṣvaṅgastasmādeva paśoḥ śubhāśubhakarmaphalasaṃcayo	yaH aBizvaFgaH-tasmAt-eva paSoH SuBa-aSuBa-karma-Pala-saMcayaH-
   yenānavaratādhivāsitaḥ saṃsārakleśabhājanaṃ bhavati / nanu	yena-anavarata-aDivAsitaH saMsAra-kleSa-BAjanam Bavati / nanu
   brahmātmakasyāpi pramātuḥ kimityetāvatā	brahma-Atmakasya-api pramAtuH kim-iti-etAvatA
   paśutvamāyātītyatrārthāntaramupakṣipati viṣamo hi ityādi / yasmāt	paSu-tvam-AyAti-iti-atra-arTa-antaram-upakzipati vizamaH hi ityAdi / yasmAt-
   saṅgadoṣaḥ sarvathāviṣahyo yathāsādhuyogo 'tyantasādhorapi	saFga-dozaH sarvaTA-vizahyaH yaTA-sADu-yogaH atyanta-sADoH-api
   svagatadoṣasamarpaṇaṃ kurute tathaiva śuddhasyāpi pramāturakhyātijanito	sva-gata-doza-samarpaNam kurute taTA-eva SudDasya-api pramAtuH-aKyAti-janitaH-
   mohayogaḥ paśutvamāpādya śubhāśubhakarmasaṃbandhaṃ dadāti // 53 //	moha-yogaH paSu-tvam-ApAdya SuBa-aSuBa-karma-saMbanDam dadAti // 53 //
   janmamaraṇādyapi na brahmarūpasya yogino 'pi tu māyāpramātṝṇāmevetyāha	janma-maraNa-Adi-api na brahma-rUpasya yoginaH api tu mAyA-pramAtLNAm-eva-iti-Aha
   lokavyavahārakṛtāṃ ya ihāvidyāmupāsate mūḍhāḥ /	loka-vyavahAra-kRtAm ye iha-avidyAm-upAsate mUXAH /
   te yānti janmamṛtyū dharmādharmārgalābaddhāḥ // 54 //	te yAnti janma-mRtyU Darma-aDarma-arga-lAbadDAH // 54 //
   ye pramātāro dehātmamānino bhūtvā phalakāmanākaluṣitā lokācārarūpāṃ	ye pramAtAraH deha-Atma-mAninaH BUtvA Pala-kAmanA-kaluzitA loka-AcAra-rUpAm
   puṇyāpuṇyamayīm avidyām bhedaprathārūpāṃ māyāṃ jagati	puNya-apuNya-mayIm avidyAm Beda-praTA-rUpAm mAyAm jagati
   svarganarakādiphalaprāptyupāyatvena sevante te mūḍhāḥ ajñāḥ	svarga-naraka-Adi-Pala-prApti-upAya-tvena sevante te mUXAH ajQAH
   puṇyāpuṇyanigaḍabaddhāstatphalopabhogāya punaḥ punarjāyante mriyante	puNya-apuNya-nigaxa-badDAH-tad-Pala-upaBogAya punar punar-jAyante mriyante
   cetyanavaratasaṃsārakleśabhājo bhavanti na punaḥ prakṣīṇamohāvaraṇo	ca-iti-ana-varata-saMsAra-kleSa-BAjaH Bavanti na punar prakzINa-moha-AvaraNaH-
   vigalitadharmādharmabandho brahmasvabhāvo yogī jāyate mriyate veti // 54	vigalita-Darma-aDarma-banDaH brahma-svaBAvaH yogI jAyate mriyate vA-iti // 54
   evamavidyopārjitānyapi karmāṇi jñānāvirbhāvādeva kṣīyante nānyathetyāha	evam-avidyA-upArjitAni-api karmANi jQAna-AvirBAvAt-eva kzIyante na-anyaTA-iti-Aha
   ajñānakālanicitaṃ dharmādharmātmakaṃ tu karmāpi /	ajQAna-kAla-nicitam Darma-aDarma-Atmakam tu karma-api /
   cirasaṃcitamiva tūlaṃ naśyati vijñānadīptivaśāt // 55 //	cira-saMcitam-iva tUlam naSyati vijQAna-dIpti-vaSAt // 55 //
   ajñānakāle kṛtrimapramātṛtābhimānāvasare puṇyāpuṇyarūpam karma	ajQAna-kAle kRtrima-pramAtR-ta-aBimAna-avasare puNya-apuNya-rUpam karma
   anuguṇaphalaprārthanayā yat nicitam svīkṛtaṃ tat vijñānadīptivaśāt	anuguNa-Pala-prArTanayA yat nicitam svIkRtam tat vijQAna-dIpti-vaSAt
   viśiṣṭajñānadīptivaśāt naśyati ahameva paraṃ brahmeti	viSizwa-jQAna-dIpti-vaSAt naSyati aham-eva param brahma-iti
   kṛtrimapramātṛtādāhasamarthaṃ vijñānaṃ tasya yā paunaḥpunyena	kRtrima-pramAtR-tA-dAha-samarTam vijQAnam tasya yA pOnaHpunyena
   pratyavamarśanātprabhā tatsāmarthyāttadadarśanaṃ yāti / kimivetyāha	pratyavamarSanAt-praBA tad-sAmarTyAt-tat-adarSanam yAti / kim-iva-iti-Aha
   cirasaṃcitaṃ tūlamiva yathā cirasaṃcitaṃ tūlaṃ haṃsaroma	cira-saMcitam tUlam-iva yaTA cira-saMcitam tUlam haMsa-roma
   vahnipradīptivaśājjhaṭityeva bhasmasādyāti tathaiva sarvaḥ	vahni-pradIpti-vaSAt-Jawiti-eva BasmasAt-ya-ati taTA-eva sarvaH
   karmaphalapracayo vijñānavahnisāmarthyātkṣaṇamadhye pralayamupagacchatīti	karma-Pala-pracayaH vijQAna-vahni-sAmarTyAt-kzaNa-maDye pralayam-upagacCati-iti
   / gītāsu	/ gItAsu
   yathaidhāṃsi samiddho 'gnirbhasmasātkurute 'rjuna /	yaTA-eDAMsi samidDaH agniH-BasmasAt-kurute arjunaH /
   jñānāgniḥ sarvakarmāṇi bhasmasātkurute tathā //	jQAna-agniH sarva-karmANi BasmasAt-kurute taTA //
   iti // 55 //	iti // 55 //
   na kevalaṃ prākkṛtaṃ karma jñānaprasādādupalīyate yāvadidānīntanamapi	na kevalam prAk-kRtam karma jQAna-prasAdAt-upalIyate yAvat-idAni-intanam-api
