   BhP_05.01.001/0 rājovāca	BhP_05.01.001/0 rAjA-uvAca
   bhagavan khalu sūcita etad evākhilam ahaṃ mānato lakṣaṇataś ca sarvaṃ	Bagavan Kalu sUcitaH etat eva-aKilam aham mAnataH lakzaNataH ca sarvam
   vi-jijñāsāmi	vi-jijQAsAmi
   BhP_05.16.003/1 bhagavato guṇamaye sthūla-rūpa āveśitaṃ mano hy aguṇe 'pi	Bhu-_05.16.003/1 BagavataH guNa-maye sTUla-rUpaH AveSitam manaH hi aguNe api
   sūkṣmatama ātma-jyotiṣi pare brahmaṇi bhagavati vāsudevākhye kṣamam	sUkzmatamaH Atma-jyotizi pare brahmaNi Bagavati vAsudeva-AKye kzamam
   āveśituṃ tad u haitad guro 'rhasy anuvarṇayitum iti	AveSitum tat u ha-etat guraH arhasi anuvarNayitum iti
   BhP_05.16.004/0 ṛṣir uvāca	BhP_05.16.004/0 RziH uvAca
   BhP_05.16.004/1 na vai mahārāja bhagavato māyā-guṇa-vibhūteḥ kāṣṭhāṃ	Bhu-_05.16.004/1 na vE mahA-rAja BagavataH mAyA--guNa--viBUteH kAzWAm
   manasā vacasā vādhigantum alaṃ vibudhāyuṣāpi puruṣas tasmāt	manasA vacasA vA-aDigantum alam vibuDa-AyuzA-api puruzaH tasmAt-
   prādhān-yenaiva bhū-golaka-viśeṣaṃ nāma-rūpa-māna-lakṣaṇato vyākhyāsyāmaḥ	prADAn-yena-eva BU-golaka-viSezam nAma-rUpa-mAna-lakzaNataH vyAKyAsyAmaH
   BhP_05.16.005/1 yo vāyaṃ dvīpaḥ kuvalaya-kamala-kośābhyantara-kośo	Bhu-_05.16.005/1 yaH vA-ayam dvIpaH kuvalaya--kamala-koSa-aByantara-koSaH-
   niyuta-yojana-viśālaḥ samavartulo yathā puṣkara-patram	niyuta--yojana--viSAlaH sama-vartulaH yaTA puzkara--patram
   BhP_05.16.006/1 yasmin nava varṣāṇi nava-yojana-sahasrāyāmāny aṣṭabhir	Bhu-_05.16.006/1 yasmin nava varzANi nava--yojana--sahasra-AyAmAni azwaBiH-
   maryādā-giribhiḥ suvibhaktāni bhavanti	maryAdA-giriBiH suviBaktAni Bavanti
   BhP_05.16.007/1 eṣāṃ madhye ilāvṛtaṃ nāmābhyantara-varṣaṃ yasya nābhyām	Bhu-_05.16.007/1 ezAm maDye ilAvRtam nAma-aByantara-varzam yasya nAByAm
   avasthitaḥ sarvataḥ sauvarṇaḥ kula-giri-rājo merur dvīpāyāma-samunnāhaḥ	avasTitaH sarvatas sOvarNaH kula-giri-rAjaH meruH dvIpa-AyAm-a--samunnAhaH
   karṇikā-bhūtaḥ kuvalaya-kamalasya mūrdhani dvā-triṃśat	karNikA--BUtaH kuvalaya--kamalasya mUrDani dvA-triMSat-
   sahasra-yojana-vitato mūle ṣoḍaśa-sahasraṃ tāvat āntar-bhūmyāṃ praviṣṭaḥ	sahasra--yojana--vitataH mUle zoxaSa--sahasram tAvat Antar--BUmyAm pravizwaH
   BhP_05.16.008/1 uttarottareṇelāvṛtaṃ nīlaḥ śvetaḥ śṛṅgavān iti trayo	Bhu-_05.16.008/1 uttarottareNa-ilA-AvRtam nIlaH SvetaH SRFgavAn iti trayaH-
   ramyaka-hiraṇmaya-kurūṇāṃ varṣāṇāṃ maryādā-girayaḥ prāg-āyatā ubhayataḥ	ramya-ka-hiraNmaya--kurUNAm varzANAm maryAdA--girayaH prAc--AyatAH uBayatas-
   kṣārodāvadhayo dvi-sahasra-pṛthava ekaikaśaḥ pūrvasmāt pūrvasmād uttara	kzAra-uda-avaDayaH dvi--sahasra--pRTavaH ekEkaSas pUrvasmAt pUrvasmAt uttara
   uttaro daśāṃśādhikāṃśena dairghya eva hrasanti	uttaraH daSa-aMSa-aDika-aMSena dErGyaH eva hrasanti
   BhP_05.16.009/1 evaṃ dakṣiṇenelāvṛtaṃ niṣadho hemakūṭo himālaya iti	Bhu-_05.16.009/1 evam dakziNena-ilAvRtam nizaDaH hemakUwaH himAlayaH iti
   prāg-āyatā yathā nīlādayo 'yuta-yojanotsedhā	prAc--AyatA yaTA nIla-AdayaH ayuta--yojana-utseDA
   hari-varṣa-kimpuruṣa-bhāratānāṃ yathā-saṅkhyam	hari-varza--kimpuruza--BAratAnAm yaTA-saFKyam
   BhP_05.16.010/1 tathaivelāvṛtam apareṇa pūrveṇa ca mālyavad-gandhamādanāv	Bhu-_05.16.010/1 taTA-eva-ilA-AvRtam apareNa pUrveNa ca mAlya-vat--ganDamAdanO=-
   ānīla-niṣadhāyatau dvi-sahasraṃ paprathatuḥ ketumāla-bhadrāśvayoḥ sīmānaṃ	AnIla-nizaDa-AyatO dvi--sahasram papraTatuH ketumAla-Badra-aSvayoH sImAnam
   vidadhāte	vidaDAte
   BhP_05.16.011/1 mandaro merumandaraḥ supārśvaḥ kumuda ity	Bhu-_05.16.011/1 mandaraH meru-mandaraH supArSvaH kumudaH iti-
   ayuta-yojana-vistāronnāhā meroś catur-diśam avaṣṭambha-giraya upakḷptāḥ	ayuta--yojana--vistAra-unnAhAH meroH catur--diSam avazwamBa-giraye upak?ptAH
   BhP_05.16.012/1 caturṣv eteṣu cūta-jambū-kadamba-nyagrodhāś catvāraḥ	Bhu-_05.16.012/1 caturzu etezu cUta-jambU--kadamba--nyagroDAH catvAraH
   pādapa-pravarāḥ parvata-ketava ivādhi-sahasra-yojanonnāhās tāvad	pAdapa--pravarAH parvata-ketavaH iva-ADi--sahasra--yojana-unnAhAH tAvat-
   viṭapa-vitatayaḥ śata-yojana-pariṇāhāḥ	viwapa--vitatayaH Sata-yojana--pariNAhAH
   BhP_05.16.013/1 hradāś catvāraḥ payo-madhv-ikṣurasa-mṛṣṭa-jalā	Bhu-_05.16.013/1 hradAH catvAraH payaH--maDu--ikzu-H-asa-mRzwa--jalA
   yad-upasparśina upadeva-gaṇā yogaiśvaryāṇi svābhāvikāni bharatarṣabha	yat--upasparSinaH upadeva--gaNAH yoga-ESvaryANi svABAvikAni Barata-RzaBa
   dhārayanti	DArayanti
   BhP_05.16.014/1 devodyānāni ca bhavanti catvāri nandanaṃ caitrarathaṃ	Bhu-_05.16.014/1 deva-udyAnAni ca Bavanti catvAri nandanam cEtraraTam
   vaibhrājakaṃ sarvatobhadram iti	vEBrAjakam sarvatoBadram iti
   BhP_05.16.015/1 yeṣv amara-parivṛḍhāḥ saha sura-lalanā-lalāma-yūtha-pataya	Bhu-_05.16.015/1 yezu amara--parivRXAH saha sura-lala-nA--lalAma--yUTa--pataya
   upadeva-gaṇair upagīyamāna-mahimānaḥ kila viharanti	upadeva--gaNEH upagIyamAna--mahimAnaH kila viharanti
   BhP_05.16.016/1 mandarotsaṅga ekādaśa-śata-yojanottuṅga-devacūta-śiraso	Bhu-_05.16.016/1 mandara-utsaFgaH ekAdaSa--Sata---yojana-uttuFga-deva-cUta-SirasaH-
   giri-śikhara-sthūlāni phalāny amṛta-kalpāni patanti	giri--SiKara--sTUlAni PalAni amRta--kalpAni patanti
   BhP_05.16.017/1 teṣāṃ viśīryamāṇānām	Bhu-_05.16.017/1 tezAm viSIryamANAnAm
   ati-madhura-surabhi-sugandhi-bahulāruṇa-rasodenāruṇodā nāma nadī	ati-maDura-suraBi-suganDi-bahulAruNa-rasodenAruNodA nAma nadI
   mandara-giri-śikharān nipatantī pūr-veṇelāvṛtam upaplāvayati	mandara--giri--SiKarAt nipatantI pUr-veNa-ilA-AvRtam upaplAvayati
   BhP_05.16.018/1 yad-upajoṣaṇād bhavānyā anucarīṇāṃ puṇya-jana-vadhūnām	Bhu-_05.16.018/1 yat--upajozaNAt BavAnyAH anucarINAm puNya-jana--vaDUnAm
   avayava-sparśa-sugandha-vāto daśa-yojanaṃ samantād anuvāsayati	avayava--sparSa--suganDa--vAtaH daSa--yojanam samantAt anuvAsayati
   BhP_05.16.019/1 evaṃ jambū-phalānām atyucca-nipāta-viśīrṇānām	Bhu-_05.16.019/1 evam jambU--PalAnAm ati-ucca--nipAta--viSIrNAnAm
   anasthi-prāyāṇām ibha-kāya-nibhānāṃ rasena jambū nāma nadī	anasTi-prAyANAm iBa-kAya--niBAnAm rasena jambU nAma nadI
   meru-mandara-śikharād ayuta-yojanād avani-tale nipatantī dakṣiṇenātmānaṃ	meru--mandara--SiKarAt ayuta--yojanAt avani-tale nipatantI dakziNena-AtmAnam
   yāvad ilāvṛtam upasyandayati	yAvat ilAvRtam upasyandayati
   BhP_05.16.020/1 tāvad ubhayor api rodhasor yā mṛttikā	Bhu-_05.16.020/1 tAvat uBayoH api roDasoH yA mRttikA
   tad-rasenānuvidhyamānā vāyv-arka-saṃyoga-vipākena sadāmara-lokābharaṇaṃ	tad--rasena-anuviDyamAnA vAyu--arka--saMyoga--vipAkena sadA-amara--loka-ABaraNam
   jāmbū-nadaṃ nāma suvarṇaṃ bhavati	jAmbU-nadam nAma suvarNam Bavati
   BhP_05.16.021/1 yad u ha vāva vibudhādayaḥ saha yuvatibhir	Bhu-_05.16.021/1 yat u ha vAva vibuDa-AdayaH saha yuvatiBiH-
   mukuṭa-kaṭaka-kaṭi-sūtrādy-ābharaṇa-rūpeṇa khalu dhārayanti	mukuwa--kawa-ka-kawi-sUtra-Adi--a-ABaraNa--rUpeNa Kalu DArayanti
   BhP_05.16.022/1 yas tu mahā-kadambaḥ supārśva-nirūḍho yās tasya koṭarebhyo	Bhu-_05.16.022/1 yaH tu mahA-kadambaH supArSva--nirUXaH yAH tasya kowareByaH-
   viniḥsṛtāḥ pañcāyāma-pariṇāhāḥ pañca madhu-dhārāḥ supārśva-śikharāt	viniHsRtAH paQca-AyAma--pariNAhAH paQca maDu-DArAH supArSva--SiKarAt-
   patantyo 'pareṇātmānam ilāvṛtam anumodayanti	patantyaH apareNa-AtmAnam ilAvRtam anumodayanti
   BhP_05.16.023/1 yā hy upayuñjānānāṃ mukha-nirvāsito vāyuḥ samantāc	Bhu-_05.16.023/1 yA hi upayuQjAnAnAm muKa--nirvAsitaH vAyuH samantAt-
   chata-yojanam anuvāsayati	Cata--yojanam anuvAsayati
   BhP_05.16.024/1 evaṃ kumuda-nirūḍho yaḥ śatavalśo nāma vaṭas tasya	Bhu-_05.16.024/1 evam kumuda--nirUXaH yaH SatavalSaH nAma vawaH tasya
   skandhebhyo nīcīnāḥ	skanDeByaH nIcInAH
   payo-dadhi-madhu-ghṛta-guḍānnādy-ambara-śayyāsanābharaṇādayaḥ sarva eva	payaH--daDi--maDu--GRta--guxa-annAdy-ambara--SayyA-Asana-ABaraNa-AdayaH sarve eva
   kāma-dughā nadāḥ kumudāgrāt patantas tam uttareṇelāvṛtam upayojayanti	kAma-duGAH nadAH kumuda-agrAt patantaH tam uttareNa-ilA-AvRtam upayojayanti
   BhP_05.16.025/1 yān upajuṣāṇānāṃ na kadācid api prajānāṃ	Bhu-_05.16.025/1 yAn upajuzANAnAm na kadAcid api prajAnAm
   valī-palita-klama-sveda-daurgandhya-jarāmaya-mṛtyu-śītoṣṇa-vaivarṇyopasargādayas	valI--palita--klama--sveda--dOrganDya--jarA-maya--mRtyu--SIta-uzNa--vEvarNya-upasarga-AdayaH-
   tāpa-viśeṣā bhavanti yāvaj jīvaṃ sukhaṃ niratiśayam eva	tApa--viSezAH Bavanti yAvat jIvam suKam niratiSayam eva
   BhP_05.16.026/1	Bhu-_05.16.026/1
   kuraṅga-kurara-kusumbha-vaikaṅka-trikūṭa-śiśira-pataṅga-rucaka-niṣadha-śinīvāsa-kapila-śaṅkha-vaidūrya-jārudhi-haṃsa-ṛṣabha-nāga-kālañjara-nāradādayo	kuraFga--kurara--kusumBa--vEkaFka--trikUwa--SiSira-pataFga--rucaka--nizaDa-SinI-vAsa--kapila--SaFKa--vEdUrya--jAruDi--haMsa--RzaBa--nAga--kAlaQ
   viṃśati-girayo meroḥ karṇikāyā iva kesara-bhūtā mūla-deśe parita upakḷptāḥ	viMSati-girayaH meroH karNikAyAH iva kesara--BUtAH mUla-deSe paritas upak?ptAH
   BhP_05.16.027/1 jaṭhara-devakūṭau meruṃ pūrveṇāṣṭādaśa-yojana-sahasram	Bhu-_05.16.027/1 jaWara--deva-kUwO merum pUrveNa-azwAdaSa--yojana--sahasram
   udagāyatau dvi-sahasraṃ pṛthu-tuṅgau bhavataḥ evam apareṇa	udak-AyatO dvi--sahasram pRTu--tuFgO BavataH evam apareNa
   pavana-pāriyātrau dakṣiṇena kailāsa-karavīrau prāg-āyatāv evam uttaratas	pavana--pAriyAtrO dakziNena kElAsa--karavIrO prAc--AyatO evam uttaratas-
   triśṛṅga-makarāv aṣṭabhir etaiḥ parisṛto 'gnir iva paritaś cakāsti	tri-SRFga-makarO azwaBiH etEH parisRtaH agniH iva paritas cakAsti
   kāñcana-giriḥ	kAQcana-giriH
   BhP_05.16.028/1 meror mūrdhani bhagavata ātma-yoner madhyata upakḷptāṃ	Bhu-_05.16.028/1 meroH mUrDani BagavataH Atma-yoneH maDyataH upak?ptAm
   purīm ayuta-yojana-sāhasrīṃ sama-caturasrāṃ śātakaumbhīṃ vadanti	purIm ayuta--yojana--sAhasrIm sama-caturasrAm SAtakOmBIm vadanti
   BhP_05.16.029/1 tām anuparito loka-pālānām aṣṭānāṃ yathā-diśaṃ yathā-rūpaṃ	Bhu-_05.16.029/1 tAm anuparitas loka-pAlAnAm azwAnAm yaTA-diSam yaTA-rUpam
   turīya-mānena puro 'ṣṭāv upakḷptāḥ	turIya--mAnena puras azwO upak?ptAH
   BhP_05.17.001/0 śrī-śuka uvāca	BhP_05.17.001/0 SrI-SukaH uvAca
   BhP_05.17.001/1 tatra bhagavataḥ sākṣād yajña-liṅgasya viṣṇor vikramato	Bhu-_05.17.001/1 tatra BagavataH sAkzAt yajQa--liFgasya vizNoH vikramataH-
   vāma-pādāṅguṣṭha-nakha-nirbhinnordhvāṇḍa-kaṭāha-vivareṇāntaḥ-praviṣṭā yā	vAma-pAda-aFguzWa-naKa--nirBinna-UrDva-aNxa--kawAha--vivareNa-antaH--pravizwA yA
   bāhya-jala-dhārā	bAhya--jala--DArA
   tac-caraṇa-paṅkajāvanejanāruṇa-kiñjalkoparañjitākhila-jagad-agha-malāpahopasparśanāmalā	tac-caraNa--paFkajO=-anejana-aruNa--kiQjalka-uparaQjita-aKila--jagat--aGa--mala-apaha-upasparSana-amalA
   sākṣād bhagavat-padīty anupalakṣita-vaco 'bhidhīyamānāti-mahatā kālena	sAkzAt Bagavat-padI-iti anupalakzita-vacaH aBiDIyamAna-ati-mahatA kAlena
   yuga-sahasropalakṣaṇena divo mūrdhany avatatāra yat tad viṣṇu-padam āhuḥ	yuga--sahasra-upalakzaNena divaH mUrDani avatatAra yat tat vizNu--padam AhuH
   BhP_05.17.002/1 yatra ha vāva vīra-vrata auttānapādiḥ parama-bhāgavato	Bhu-_05.17.002/1 yatra ha vAva vIra--vrataH OttAnapAdiH parama--BAgavataH-
   'smat-kula-devatā-caraṇāravindodakam iti yām anusavanam	asmat--kula--devatA--caraNa-aravinda-udakam iti yAm anusavanam
   utkṛṣyamāṇa-bhagavad-bhakti-yogena dṛḍhaṃ klidyamānāntar-hṛdaya	utkRzyamANa--Bagavat--Bakti-yogena dRXam klidyamAna-antar--hRdaya
   autkaṇṭhya-vivaśāmīlita-locana-yugala-kuḍmala-vigalitāmala-bāṣpa-kalayābhivyajyamāna-roma-pulaka-kulako	OtkaNWya--vivaSa-AmIlita--loca-na--yugala--kuxma-la-vigalitAm-ala--bAzpa--kalayA-aBivyajyamAna--roma--pulaka-kulakaH-
   'dhunāpi paramādareṇa śirasā bibharti	aDunA-api parama-AdareNa SirasA biBarti
   BhP_05.17.003/1 tataḥ sapta ṛṣayas tat prabhāvābhijñā yāṃ nanu tapasa	Bhu-_05.17.003/1 tatas sapta RzayaH tat praBAva-aBijQA yAm nanu tapasa
   ātyantikī siddhir etāvatī bhagavati sarvātmani vāsudeve	AtyantikI sidDiH etAvatI Bagavati sarva-Atmani vAsudeve
   'nuparata-bhakti-yoga-lābhenaivopekṣitānyārthātma-gatayo muktim ivāgatāṃ	anuparata-Bakti-yoga--lABena-eva-upekzitA-anya-arTa-Atma--gatayaH muktim iva-AgatAm
   mumukṣava iva sabahu-mānam adyāpi jaṭā-jūṭair udvahanti	mumukzavaH iva sa-bahu--mAnam adya-api jawA-jUwEH udvahanti
   BhP_05.17.004/1 tato	Bhu-_05.17.004/1 tatas-
   'neka-sahasra-koṭi-vimānānīka-saṅkula-deva-yānenāvatar-antīndu maṇḍalam	aneka--sahasra--kowi-vimAna-anIka--saFkula--deva-yAnena-avatar-anti-indu maNxalam
   āvārya brahma-sadane nipatati	AvArya brahma--sadane nipatati
   BhP_05.17.005/1 tatra caturdhā bhidyamānā caturbhir nāmabhiś catur-diśam	Bhu-_05.17.005/1 tatra caturDA BidyamAnA caturBiH nAmaBiH catur--diSam
   abhispandantī nada-nadī-patim evābhiniviśati sītālakanandā cakṣur bhadreti	aBispandantI nada--nadI--patim eva-aBiniviSati sItA-alaka-nandA cakzuH Badra-iti
   BhP_05.17.006/1 sītā tu brahma-sadanāt kesarācalādi-giri-śikharebhyo 'dho	BhP_05.17.006/1 sItA tu brahma-sadanAt kesara-acala-Adi-giri--SiKareByaH aDas-
   'dhaḥ prasravantī gandhamādana-mūrdhasu patitvāntareṇa bhadrāśva-varṣaṃ	aDas prasravantI ganDamAdana--mUrDasu patitva-antareNa BadrASva--varzam
   prācyāṃ diśi kṣāra-samudram abhipraviśati	prAcyAm diSi kzAra--samudram aBipraviSati
   BhP_05.17.007/1 evaṃ mālyavac-chikharān niṣpatantī tato 'nuparata-vegā	Bhu-_05.17.007/1 evam mAlya-vac--SiKarAt nizpatantI tatas anuparata-vegA
   ketumālam abhi cakṣuḥ pratīcyāṃ diśi sarit-patiṃ praviśati	ketumAlam aBi cakzuH pratIcyAm diSi sarit-patim praviSati
   BhP_05.17.008/1 bhadrā cottarato meru-śiraso nipatitā giri-śikharād	Bhu-_05.17.008/1 BadrA ca-uttaratas meru-SirasaH nipatitAH giri--SiKarAt-
   giri-śikharam atihāya śṛṅgavataḥ śṛṅgād avasyandamānā uttarāṃs tu kurūn	giri--SiKaram atihAya SRFgavataH SRFgAt avasyandamAnAH uttarAn tu kurUn
   abhita udīcyāṃ diśi jaladhim abhipraviśati	aBitas udIcyAm diSi jalaDim aBipraviSati
   BhP_05.17.009/1 tathaivālakanandā dakṣiṇena brahma-sadanād bahūni	Bhu-_05.17.009/1 taTA-eva-alaka-nandA dakziNena brahma--sadanAt bahUni
   giri-kūṭāny atikramya hemakūṭād dhaimakūṭāny ati-rabhasatara-raṃhasā	giri-kUwAni atikramya hemakUwAt DEmakUwAni ati--raBasatara--raMhasA
   luṭhayantī bhāratam abhivarṣaṃ dakṣiṇasyāṃ diśi jaladhim abhipraviśati	luWayantI BAratam aBivarzam dakziNasyAm diSi jalaDim aBipraviSati
   yasyāṃ snānārthaṃ cāgacchataḥ puṃsaḥ pade pade 'śvamedha-rājasūyādīnāṃ	yasyAm snAna-arTam ca-AgacCataH puMsaH pade pade aSvameDa--rAjasUya-AdInAm
   phalaṃ na durlabham iti	Palam na durlaBam iti
   BhP_05.17.010/1 anye ca nadā nadyaś ca varṣe varṣe santi bahuśo	Bhu-_05.17.010/1 anye ca nadAH nadyaH ca varze varze santi bahuSas-
   merv-ādi-giri-duhitaraḥ śataśaḥ	meru--Adi-giri-duhitaraH SataSas-
   BhP_05.17.011/1 tatrāpi bhāratam eva varṣaṃ karma-kṣetram anyāny aṣṭa	Bhu-_05.17.011/1 tatra-api BAratam eva varzam karma--kzetram anyAni azwa
   varṣāṇi svargiṇāṃ puṇya-śeṣopabhoga-sthānāni bhaumāni svarga-padāni	varzANi svargiNAm puNya-Seza-upaBoga--sTAnAni BOmAni svarga--padAni
   vyapadiśanti	vyapadiSanti
   BhP_05.17.012/1 eṣu puruṣāṇām ayuta-puruṣāyur-varṣāṇāṃ deva-kalpānāṃ	Bhu-_05.17.012/1 ezu puruzANAm ayuta-puruza-AyuH--varzANAm deva--kalpAnAm
   nāgāyuta-prāṇānāṃ	nAga-ayuta--prANAnAm
   vajra-saṃhanana-bala-vayo-moda-pramudita-mahā-saurata-mithuna-vyavāyāpavarga-varṣa-dhṛtaika-garbha-kalatrāṇāṃ	vajra--saMhanana--bala--vayaH--moda--pramudita--mahA--sOrata--miTuna--vyavAya-apavarga--varza--DRtA-eka--garBa--kalatrANAm
   tatra tu tretā-yuga-samaḥ kālo vartate	tatra tu tretA-yuga--samaH kAlaH vartate
   BhP_05.17.013/1 yatra ha deva-patayaḥ svaiḥ svair gaṇa-nāyakair	Bhu-_05.17.013/1 yatra ha deva-patayaH svEH svEH gaNa-nAyakEH-
   vihita-mahārhaṇāḥ	vihita--mahArhaNAH
   sarvartu-kusuma-stabaka-phala-kisalaya-śriyānamyamāna-viṭapa-latā-viṭapibhir	sarva-Rtu--kusuma-stabaka-Pala-kisalaya--SriyA-namyamAna--viwa-pa-latA--viwapiBiH-
   upaśumbhamāna-rucira-kānanāśramāyatana-varṣa-giri-droṇīṣu tathā	upaSumBa-mAna--rucira--kAnana-ASrama-Ayatana-varza--giri-droNIzu taTA
   cāmala-jalāśayeṣu	ca-amala--jalASayezu
   vikaca-vividha-nava-vanaruhāmoda-mudita-rāja-haṃsa-jala-kukkuṭa-kāraṇḍava-sārasa-cakravākādibhir	vikaca-viviDa-nava--vanaruha-Amoda--mudita--rAja--haMsa--jala-kukkuwa-kAraNxava--sArasa--cakravAka-AdiBiH-
   madhukara-nikarākṛtibhir upakūjiteṣu jala-krīḍādibhir vicitra-vinodaiḥ	maDukara--nikara-AkRtiBiH upakUjitezu jala--krIxA-AdiBiH vicitra--vinodEH
   sulalita-sura-sundarīṇāṃ	su-lalita--sura--sundarINAm
   kāma-kalila-vilāsa-hāsa-līlāvalokākṛṣṭa-mano-dṛṣṭayaḥ svairaṃ viharanti	kAma--kalila--vilAsa--hAsa--lIlA-avaloka-AkRzwa--mano--dRzwayaH svEram viharanti
   BhP_05.17.014/1 navasv api varṣeṣu bhagavān nārāyaṇo mahā-puruṣaḥ	BhP_05.17.014/1 navasu api varzezu BagavAn nArAyaNaH mahA--puruzaH
   puruṣāṇāṃ tad-anugrahāyātma-tattva-vyūhenātmanādyāpi sannidhīyate	puruzANAm tad--anugrahAya-Atma--tattva--vyUhena-AtmanA-adya-api sanniDIyate
   BhP_05.17.015/1 ilāvṛte tu bhagavān bhava eka eva pumān na hy anyas	Bhu-_05.17.015/1 ilAvRte tu BagavAn BavaH ekaH eva pumAn na hi anya-s
   tatrāparo nirviśati bhavānyāḥ śāpa-nimitta-jño yat-pravekṣyataḥ	tatra-aparaH nirviSati BavAnyAH SApa--nimitta--jQaH yat--pravekzyataH
   strī-bhāvas tat paścād vakṣyāmi	strI-BAvaH tat paScAt vakzyAmi
   BhP_05.17.016/1 bhavānīnāthaiḥ strī-gaṇārbuda-sahasrair avarudhyamāno	BhP_05.17.016/1 BavAnI-nATEH strI--gaNa-arbuda--sahasrEH avaruDyamAnaH-
   bhagavataś caturmūrter mahā-puruṣasya turīyāṃ tāmasīṃ mūrtiṃ prakṛtim	BagavataH catur-mUrteH mahA--puruzasya turIyAm tAmasIm mUrtim prakRtim
   ātmanaḥ saṅkarṣaṇa-saṃjñām ātma-samādhi-rūpeṇa sannidhāpyaitad abhigṛṇan	AtmanaH saFkarzaNa--saMjQAm Atma--samADi--rUpeNa sanniDApya-etat aBigRNan
   bhava upadhāvati	BavaH upaDAvati
   BhP_05.17.017/0 śrī-bhagavān uvāca	Bhu-_05.17.017/0 SrI--BagavAn uvAca
   BhP_05.17.017/1 oṃ namo bhagavate mahā-puruṣāya	Bhu-_05.17.017/1 om namaH Bagavate mahA--puruzAya
   sarva-guṇa-saṅkhyānāyānantāyāvyaktāya nama iti	sarva--guNa--saFKyAnAya-anantAya-avyaktAya namaH iti
   BhP_05.17.017/1 bhaje bhajanyāraṇa-pāda-paṅkajaṃ bhagasya kṛtsnasya paraṃ	Bhu-_05.17.017/1 Baje Baja-nyAraNa--pAda--paFkajam Bagasya kRtsnasya param
   parāyaṇam	parAyaNam
   BhP_05.17.017/2 bhakteṣv alaṃ bhāvita-bhūta-bhāvanaṃ bhavāpahaṃ tvā	Bhu-_05.17.017/2 Baktezu alam BAvita-BUta--BAvanam Bava-apaham tvA
   bhava-bhāvam īśvaram	Bava--BAvam ISvaram
   BhP_05.17.018/1 na yasya māyā-guṇa-citta-vṛttibhir nirīkṣato hy aṇv api	Bhu-_05.17.018/1 na yasya mAyA-guNa--citta-vRttiBiH nirIkzataH hi aNu api
   dṛṣṭir ajyate	dRzwiH ajyate
   BhP_05.17.018/2 īśe yathā no 'jita-manyu-raṃhasāṃ kas taṃ na manyeta	Bhu-_05.17.018/2 ISe yaTA naH ajita-manyu-raMhasAm kaH tam na manyeta
   jigīṣur ātmanaḥ	jigIzuH AtmanaH
   BhP_05.17.019/1 asad-dṛśo yaḥ pratibhāti māyayā kṣībeva	Bhu-_05.17.019/1 asat--dRSaH yaH pratiBAti mAyayA kzIbA-iva
   madhv-āsava-tāmra-locanaḥ	maDu--Asava--tAmra--locanaH
   BhP_05.17.019/2 na nāga-vadhvo 'rhaṇa īśire hriyā yat-pādayoḥ	Bhu-_05.17.019/2 na nAga-vaDvaH arhaNe ISire hriyA yat--pAdayoH
   sparśana-dharṣitendriyāḥ	sparSana--Darzita-indriyAH
   BhP_05.17.020/1 yam āhur asya sthiti-janma-saṃyamaṃ tribhir vihīnaṃ yam	Bhu-_05.17.020/1 yam AhuH asya sTiti-janma--saMyamam triBiH vihInam yam
   anantam ṛṣayaḥ	anantam RzayaH
   BhP_05.17.020/2 na veda siddhārtham iva kvacit sthitaṃ bhū-maṇḍalaṃ	Bhu-_05.17.020/2 na veda sidDArTam iva kvacid sTitam BU--maNxalam
   mūrdha-sahasra-dhāmasu	mUrDa--sahasra--DAmasu
   BhP_05.17.021/1 yasyādya āsīd guṇa-vigraho mahān vijñāna-dhiṣṇyo bhagavān	Bhu-_05.17.021/1 yasya-adyaH AsIt guNa-vigrahaH mahAn vijQAna--DizNyaH BagavAn
   ajaḥ kila	ajaH kila
   BhP_05.17.021/2 yat-sambhavo 'haṃ tri-vṛtā sva-tejasā vaikārikaṃ tāmasam	Bhu-_05.17.021/2 yat-samBavaH aham tri-vRtA sva--tejasA vEkArikam tAmasam
   aindriyaṃ sṛje	Endriyam sRje
   BhP_05.17.022/1 ete vayaṃ yasya vaśe mahātmanaḥ sthitāḥ śakuntā iva	Bhu-_05.17.022/1 ete vayam yasya vaSe mahAtmanaH sTitAH SakuntAH iva
   sūtra-yantritāḥ	sUtra-yantritAH
   BhP_05.17.022/2 mahān ahaṃ vaikṛta-tāmasendriyāḥ sṛjāma sarve	Bhu-_05.17.022/2 mahAn aham vEkRta-tAmasa-indriyAH sRjAma sarve
   yad-anugrahād idam	yat--anugrahAt idam
   BhP_05.17.023/1 yan-nirmitāṃ karhy api karma-parvaṇīṃ māyāṃ jano 'yaṃ	Bhu-_05.17.023/1 yan--nirmitAm karhi api karma-parvaNIm mAyAm janaH ayam
   guṇa-sarga-mohitaḥ	guNa--sarga--mohitaH
   BhP_05.17.023/2 na veda nistāraṇa-yogam añjasā tasmai namas te	Bhu-_05.17.023/2 na veda nistAraNa--yogam aQjasA tasmE namaH te
   vilayodayātmane	vilaya-udaya-Atmane
   BhP_05.18.001/0 śrī-śuka uvāca	BhP_05.18.001/0 SrI-SukaH uvAca
   BhP_05.18.001/1 tathā ca bhadraśravā nāma dharma-sutas tat-kula-patayaḥ	Bhu-_05.18.001/1 taTA ca BadraSravAH nAma Darma-sutaH tat-kula--patayaH
