   ṣaṣṭha ucchvāsaḥ	zazWaH ucCvAsaH
   svāvayavairapyadṛṣṭapūrvaprakopabhītairiva kampamānairupetaḥ, hara iva	sva-avayavEH-api-adRzwa-pUrva-prakopa-BItEH-iva kampamAnEH-upetaH, haraH iva
   kṛtabhairavākāraḥ, haririva prakaṭitanarasiṃharūpaḥ, sūryakāntaśaila	kRta-BErava-AkAraH, hariH-iva prakawita-narasiMha-rUpaH, sUryakAnta-SEla
   ivāparatejaḥprasaradarśanaprajvalitaḥ, kṣayadivasa	iva-apara-tejaH-prasara-darSana-prajvalitaH, kzaya-divasa
   ivoditadvādaśadinakaradurnirīkṣyamūrtiḥ, mahotpātamāruta iva	iva-udita-dvAdaSa-dinakara-durnirIkzya-mUrtiH, mahA-utpAta-mArutaH iva
   sakalabhūbhṛtprakampakārī, vindhya iva vardhamānavigrahotsedhaḥ,	sakala-BUBRt-prakampa-kArI, vinDyaH iva varDamAna-vigraha-utseDaH,
   mahāśīviṣa iva durnarendrābhibhavaropitaḥ, parīkṣita iva	mahA-ASIvizaH iva durnara-indra-aBiBava-ropitaH, parIkzitaH iva
   sarvabhogidahanodyataḥ vṛkodara iva ripurudhiratṛṣitaḥ, suragaja iva	sarva-Bogi-dahana-udyataH vRkodaraH iva ripu-ruDira-tRzitaH, sura-gajaH iva
   pratipakṣavāraṇapradhāvitaḥ, pūrvāgama iva pauruṣasya, unmāda iva madasya,	pratipakza-vAraNa-praDAvitaH, pUrva-AgamaH iva pOruzasya, unmAdaH iva madasya,
   āvega ivāvalepasya, tāruṇyāvatāra iva tejasaḥ, sarvodyoga iva darpasya,	AvegaH iva-avalepasya, tAruNya-avatAraH iva tejasaH, sarva-udyogaH iva darpasya,
   yugāgama iva yauvanoṣmaṇaḥ, rājyābhiṣeka iva raṇarasasya, nīrājanadivasa	yuga-AgamaH iva yOvana-UzmaNaH, rAjya-aBizekaH iva raNa-rasasya, nIrAjana-divasa
   ivāsahiṣṇutāyāḥ parāṃ bhīṣaṇatāmayāsīt /	iva-asahizNu-tAyAH parAm BIzaNa-tA-Amaya-AsIt /
   avādīcca gauḍādhipādhamamapahāya kastādṛśaṃ mahāpuruṣa tatkṣaṇa ve	avAdIt-ca gOxa-aDipa-aDamam-apahAya kaH-tAdRSam mahApuruza tad-kzaNa ve
   nirvyājabhūjavīryanirjitasamastarājakaṃ muktaśastraṃ kalaśayonimiva	nirvyAja-BUja-vIrya-nirjita-samasta-rAjakam mukta-Sastram kalaSa-yonim-iva
   kṛṣṇavartmaprasūtirīdṛśena sarvavīralokavimarditena mṛtyunā	kRzNavartma-prasUtiH-IdRSena sarva-vIra-loka-vimarditena mRtyunA
   śamayedevamāryam /	Samayet-evam-Aryam /
   anāryaṃ ca taṃ muktvā bhāgīrathīphenapaṭalapāṇḍurāḥ keṣāṃ manaḥsu saraḥsu	anAryam ca tam muktvA BAgIraTI-Pena-pawala-pANxurAH kezAm manaHsu saraHsu
   rājahaṃsā iva paraśurāmaparākramasmṛtikṛto na kuryurāryaśauryagṛṇāḥ	rAjahaMsAH iva paraSurAma-parAkrama-smRti-kRtaH na kuryuH-Arya-SOrya-gRNAH
   pakṣapātam /	pakzapAtam /
   kathamivātyugrasyāsyāryajīvitaharaṇe nidāgharaveriva	kaTam-iva-ati-ugrasya-asya-Arya-jIvita-haraNe nidAGa-raveH-iva
   kamalākarasalilaśoṣaṇe 'napekṣitaprītayaḥ prasṛtāḥ karāḥ /	kamala-Akara-salila-SozaNe anapekzita-prItayaH prasRtAH karAH /
   kāṃ nu gatiṃ gamiṣyati, kāṃ vā yoniṃ pravekṣyati, kasminvā narake	kAm nu gatim gamizyati, kAm vA yonim pravekzyati, kasmin-vA narake
   nipatiṣyati /	nipatizyati /
   śvapāko 'pi ka idamācaret /	SvapAkaH api kaH idam-Acaret /
   nāmāpi ca gṛhṇato 'sya pāpakāriṇaḥ pāpamalena lipyata iva me jihvā /	nAma-api ca gRhNataH asya pApa-kAriNaH pApa-malena lipyate iva me jihvA /
   kiṃ vāṅgīkṛtya kāryamāryastena kṣudreṇānupraviśya vigataghṛṇena ghuṇeneva	kim vA-aFgIkRtya kAryam-AryaH-tena kzudreNa-anupraviSya vigata-GRNena GuNena-iva
   sakalabhuvanāhlādanacaturaścandanastambhaḥ kṣayamupanītaḥ /	sakala-Buvana-AhlAdana-caturaH-candana-stamBaH kzayam-upanItaH /
   nūnaṃ nānena mūḍhena madhurasāsvādalubdhena madhvivāryajīvitamākarṣatā	nUnam na-anena mUXena maDurasa-AsvAda-lubDena maDu-ivArya-jIvitam-AkarzatA
   bhāvī dṛṣṭaḥ śilīmukhasaṃpātopadravaḥ /	BAvI dRzwaH SilImuKa-saMpAta-upadravaH /
   nijagṛhadūṣaṇaṃ jālamārgapradīpakena kajjalamivātimalinaṃ kevalamayaśaḥ	nija-gRha-dUzaNam jAla-mArga-pradIpakena kajjalam-iva-ati-malinam kevalam-ayaSaH
   saṃcitaṃ gauḍādhamena /	saMcitam gOxa-aDamena /
   ntavāśvevāstamupagatavatyapi tribhuvanacūḍāmaṇau savitari vedhasādiṣṭaḥ	ntava-ASvA-iva-astam-upagatavatI-api triBuvana-cUxAmaNO savitari veDasa-AdizwaH
   satpathaśatrorandhakārasya nigrahāya grahaṣaṇḍavihāraikahariṇādhipaḥ śaśī	sat-paTa-SatroH-anDakArasya nigrahAya graha-zaNxa-vihAra-eka-hariNA-aDipaH SaSI
   vinayavidhāyini bhagne 'pi cāṅkuśe vidyata eva vyālavāraṇasya vinayāya	vinaya-viDAyini Bagne api ca-aFkuSe vidyate eva vyAla-vAraNasya vinayAya
   sakalamattamātaṅgakumbhasthalasthiraśirobhāgabhiduraḥ khalataraḥ	sakala-matta-mAtaFga-kumBa-sTala-sTira-SiraH-BAga-BiduraH KalataraH
   kesarinakharaḥ /	kesari-naKaraH /
   tādṛśāḥ kuvaikaṭikā iva tejasviratnavināśakāḥ kasya na vadhyāḥ /	tAdRSAH ku-vEkawikAH iva tejasvi-ratna-vinASakAH kasya na vaDyAH /
   kvedānīṃ yāsyati dubundbhiḥ?' ityevamabhidadhata evāsya piturapi mitraṃ	kva-idAnIm yAsyati dubundBiH?-a iti-evam-aBidaDate eva-asya pituH-api mitram
   senāpatiḥ samagravigrahaprāgraharo haritālaśailāvadātadehaḥ	senApatiH samagra-vigraha-prAgraharaH haritAla-SEla-avadAta-dehaH
   pariṇatapraguṇasālaprakāṇḍaprakāśaḥ prāṃśuḥ, atiśauryoṣmaṇeva	pariNata-praguNa-sAla-prakANxa-prakASaH prAMSuH, ati-SOrya-UzmaNA-iva
   paripākamāgato gatabhūyiṣṭhe vayasi vartamānaḥ, bahuśaraśayanasuptotthito	paripAkam-AgataH gata-BUyizWe vayasi vartamAnaH, bahu-Sara-Sayana-supta-utTitaH-
   'pi hasanniva śāntanavamatidīrghaṇāyuṣā, durabhibhavaśarīratayā jarayāpi	api hasan=-iva SAntanavam-ati-dIrGaNa-AyuzA, duraBiBava-SarIra-tayA jarayA-api
   bhītabhītayeva prakaṭitaprakampayā parāmṛṣṭaḥ, kathamapi sāramayeṣu	BIta-BItayA-iva prakawita-prakampayA parAmRzwaH, kaTam-api sAra-mayezu
   śiroruheṣu śaśikaranikarasitasaralaśiroruhasaṭālāṃ saiṃhīmiva	Siroruhezu SaSi-kara-nikara-sita-sarala-Siroruha-sawAlAm sEMhIm-iva
   niṣkapaṭaparākramarasaracitāṃ saṃkrānto jīvannevajātim,	nizka-pawa-parAkrama-rasa-racitAm saMkrAntaH jIvan=-eva-jAtim,
   parasvāmimukhadarśanamahāpātakaparijihīrṣayeva bhrūyugalena	para-svAmi-muKa-darSana-mahApAtaka-parijihIrzayA-iva BrU-yugalena
   valitaśithilapralambacarmaṇā sthagitadṛṣṭiḥ,	valita-SiTila-pralamba-carmaNA sTagita-dRzwiH,
   dhavalasthūlaguñjāpicchapracchāditakapolabhāgabhāsvareṇa vamanniva	Davala-sTUla-guQjA-picCa-pracCAdita-kapola-BAga-BAsvareNa vaman=-iva
   vikramakālamakāle 'pi vikāśikāśakānanaviśadaṃ śaradārambhaṃ bhīmena	vikrama-kAlam-akAle api vikASi-kASa-kAnana-viSadam Sarad-AramBam BImena
   mukhena, mṛtamapi hṛdayasthitaṃ svāminamiva sitacāmareṇa	muKena, mRtam-api hRdaya-sTitam svAminam-iva sita-cAmareNa
   vījayannābhilambena kūrcakalāpena, pariṇāme 'pi	vIjayat-nABilambena kUrca-kalApena, pariNAme api
   dhautāsidhārājalapānatṛṣitairiva	DOta-asi-DArA-jala-pAna-tRzitEH-iva
   vivṛtavadanairbṛhadbhirvraṇavidārairviṣamitaviśālavakṣāḥ,	vivRta-vadanEH-bRhadBiH-vraNa-vidArEH-vizamita-viSAla-vakzAH,
   niśitaśastraṭaṅkakoṭikuṭṭitabahubṛhadvaṇakṣirapaṅktinirantaratayā ca	niSita-Sastra-waFka-kowi-kuwwita-bahu-bRhat-vaNa-kzira-paFkti-nirantara-tayA ca
   sakalasamaravijayaparvagaṇanāmiva kurvanpūrvaparvata iva pādacārī,	sakala-samara-vijaya-parva-gaNanAm-iva kurvan-pUrva-parvataH iva pAda-cArI,
   vividhavīrarasavṛttāntarāmaṇīyakena mahābhāratamapi laghayanniva,	viviDa-vIra-rasa-vRttAntarAmaNIyakena mahABAratam-api laGayan=-iva,
   pratipakṣakṣapapaṇātinirbandhena paraśūrāmamapi śikṣayanniva,	pratipakza-kzapa-paNa-ati-nirbanDena para-SUrAmam-api Sikzayan=-iva,
   abbhrāmaṇenānādaraśrīsamākarṣaṇavibhrameṇa mandaramapi mandayanniva,	ap-BrAmaNena-anAdara-SrI-samAkarzaNa-viBrameNa mandaram-api mandayan=-iva,
   vāhinīnāyakamaryādānuvartanenāmbhodhimapyabhibhavanniva,	vAhinI-nAyaka-maryAda-anuvartanena-amBoDim-api-aBiBavan=-iva,
   sthairyakārkasyonnatibhiracalānapi hrepayanniva,	sTEryaka-arkasya-unnatiBiH-acalAn-api hrepayan=-iva,
   sahajapracaṇḍatejaḥprasaraparisphuraṇena savitāramapi tṛṇīkurvannivar,	sahaja-pracaNxa-tejaH-prasara-parisPuraNena savitAram-api tRNIkurvat-nivar,
   iśvarabhārodvahanaghṛṣṭapṛṣṭhatayā haravṛṣabhamapi hasanniva,	iSvara-BAra-udvahana-GRzwa-pRzWa-tayA hara-vRzaBam-api hasan=-iva,
   araṇiramarṣāgneḥ, aiśvaryaṃ śauryasya, visarpo darpasya, hṛdayaṃ haṭhasya,	araNiH-amarza-agneH, ESvaryam SOryasya, visarpaH darpasya, hRdayam haWasya,
   jīvitaṃ jigīṣutāyāḥ, samucchvasitamutsāhasya, aṅkuśo durmadānām,	jIvitam jigIzu-tAyAH, samucCvasitam-utsAhasya, aFkuSaH durmadAnAm,
   nāgadamano duṣṭabhoginām, virāmo varamanuṣyatāyāḥ, kulagururvīragoṣṭhīnām,	nAgadamanaH duzwa-Bogi-nAm, virAmaH vara-manuzya-tAyAH, kula-guruH-vIra-gozWI-nAm,
   tulā śauyaśālinām, sīmāntadṛśvā śastragrāmasya, nirvoḍhā prauḍhavādānām,	tulA SOya-SAli-nAm, sImAnta-dRSvA Sastra-grAmasya, nirvoXA prOXa-vAdAnAm-,
   saṃstambhayitā bhagnānām, pāragaḥ pratijñāyāḥ, marmajño mahāvigrahāṇām,	saMstamBayitA Bagna-anAm, pAragaH pratijQAyAH, marma-jQaH mahA-vigrahANAm-,
   āghoṣaṇāpaṭahaḥ samarārthinām, saṃnidhāvevasamupaviṣṭaḥ siṃhanādanāmā	AGozaNa-apawahaH samara-arTi-nAm, saMniDO=-eva-samupavizwaH siMhanAda-nAmA
   svareṇaiva dundubhighoṣagambhīreṇa subhaṭānāṃ	svareNa-eva dunduBi-Goza-gamBIreNa su-BawAnAm
   samararasamānayanvijñāpitavān--	samara-rasam-Anayan-vijQApitavAn---
   "deva! na vkacitkṛtāśrayayā malinayā malinatarāḥ kokilayā kākā iva	"deva! na vkacid-kRta-ASrayayA malinayA malinatarAH kokilayA kAkAH iva
   kāpuruṣā hatalakṣmyā vipralabhyamānamātmānaṃ na cetayante /	kApuruzAH hata-lakzmyAH vipralaByamAnam-AtmAnam na cetayante /
   śriyo hi doṣā andhatādayaḥ kāmalā vikārāḥ /	SriyaH hi dozAH anDatA-AdayaH kAmalAH vikArAH /
   chatracchāyāntaritaravayo vismarantyanyaṃ tejasvinaṃ jaḍadhiya /	Catra=-CAyA-antaritaravayaH vismaranti-anyam tejasvinam jaxaDiyaH /
   kiṃ vā karotu varākaḥ yanātibhīrutayā nityaparāṅmukhena natu dṛṣṭānyeva	kim vA karotu varAkaH yana-ati-BIru-tayA nitya-parAFmuKena na-tu dRzwAni-eva
   sarvātiśāyiśauryātiśayaśvayathukapilakapolapulakapallavitakopānalāni	sarva-atiSAyi-SOrya-atiSaya-SvayaTu-kapila-kapola-pulaka-pallavita-kopa-analAni
   kupitānāṃ tejasvināṃ mukhāni /	kupitAnAm tejasvinAm muKAni /
   nāsau tapasvī jānātyevaṃ yathābhicārā iva viprakṛtāḥ sadyaḥ	na-asO tapasvI jAnAti-evam yaTA-aBicArAH iva viprakRtAH sadyas-
   sakalakulapralayamupāharanti manasvina iti /	sakala-kula-pralayam-upAharanti manasvinaH iti /
   jale 'pi jvalanti tāḍitāstejasvinaḥ /	jale api jvalanti tAxitAH-tejasvinaH /
   sakalavīragoṣṭhībāhyasya tasyaivedamucitamanuttāranirayanipātanipuṇaṃ	sakala-vIra-gozWI-bAhyasya tasya-eva-idam-ucitam-anuttAra-niraya-nipAta-nipuNam
   karma /	karma /
   manasvināṃ hi pradhanapradhānadhane dhanuṣi dhriyamāṇe sati ca	manasvinAm hi praDana-praDAna-Dane Danuzi DriyamANe sati ca
   kamalākalahaṃsīkelikuvalayakānane kṛpāṇe kṛpaṇopāyāḥ	kamalA-kalahaMsI-keli-kuvalaya-kAnane kRpANe kRpaNa-upAyAH
   payodhimathanaprabhṛtayo 'pi śrīmamatthānasya kiṃ punarīdṛśāḥ /	payoDi-maTana-praBRtayaH api SrI-mamatTAnasya kim punar-IdRSAH /
   yeṣāṃ ca dhātrā dharitrīṃ trātuṃ niyuktāḥ svayamasamarthā iva	yezAm ca DAtrA DaritrIm trAtum niyuktAH svayam-asamarTAH iva
   kulaśakarkaśabhujaparighapraharaṇahetorudgiranti girayo 'pi lohāni te	kula-Sakarka-SaBuja-pariGa-praharaNa-hetoH-udgiranti girayaH api lohAni te
   kathamiva bāhuśālino manasāpi vimalayaśobhāndhavā dhyāyeyurakāryam /	kaTam-iva bAhu-SAlinaH manasA-api vimalayaSaH-BAnDavAH DyAyeyuH-akAryam /
   sarvagrahābhibhavabhāsvarāṇāṃ hi subhaṭakarāṇāmagrato diggrahaṇe paṅgavaḥ	sarva-graha-aBiBava-BAsvarANAm hi su-Bawa-karANAm-agratas diS-grahaNe paFgavaH
   pataṅgakarāḥ /	pataFga-karAH /
   mahāmahiṣaśṛṅgataraṅgabhaṅgabhahgurabhīṣaṇāntarālā lokapravādamātreṇa ca	mahA-mahiza-SRFga-taraFga-BaFga-Bahgura-BIzaNa-antarAlAH loka-pravAda-mAtreNa ca
   dakṣiṇāśā paramārthato bhaṭamrukuṭiradhivāso yamasya /	dakziNa-ASA paramArTataH Bawa-mrukuwiH-aDivAsaH yamasya /
   citraṃ ca yadunmuktasiṃhanādānāṃ sahasā	citram ca yat-unmukta-siMhanAdAnAm sahasA
   sāhasarabhasarasaromāñcakaṇṭakanikareṇa saha na niryānti saṭāḥ śūrāṇāṃ	sAhasa-raBasa-rasa-romAQca-kaNwaka-nikareNa saha na niryAnti sawAH SUrANAm
   raṇeṣu /	raNezu /
   dvayameva ca catuḥsāgarasaṃbhṛtasya bhūtisaṃbhārasya bājanaṃ	dvayam-eva ca catur-sAgara-saMBRtasya BUti-saMBArasya bAjanam
   pratipakṣadāhi dāruṇaṃ vaḍavāmukhaṃ vā mahāpuruṣahṛdayaṃ vā /	pratipakza-dAhi dAruNam vaxavAmuKam vA mahApuruza-hRdayam vA /
   tejasvinaḥ sakalānanavāpya payorāśisahajasya kuto nivṛttirūṣmaṇaḥ /	tejasvinaH sakalAn-anavApya payaH-rASi-sahajasya kutas nivRttiH-UzmaNaH /
   vṛthāvitatavipulaphaṇābhāro bhujahgānāṃ bhartā bibharti yo bhogena	vRTA-vitata-vipula-PaNA-BAraH BujahgAnAm BartA biBarti yaH Bogena
   mṛtpiṇḍameva kevalam /	mRd-piNxam-eva kevalam /
   apratihataśāsanākrāntyupabhogasukharasaṃ tu rasāyāṃ	apratihata-SAsana-AkrAnti-upaBoga-suKa-rasam tu rasAyAm
   dikkuñjarabhārabhāsvaraprakoṣṭhā vīrabāhava eva jānanti /	diS-kuQjara-BAra-BAsvara-prakozWAH vIrabAhavaH eva jAnanti /
   ravirivonmukhapajhākaragṛhītapādapallavaḥ sukhenākhaṇḍitatejā	raviH-iva-unmuKa-paJAkara-gRhIta-pAda-pallavaH suKena-aKaNxita-tejA
   divasānnayati śūraḥ /	divasAn-nayati SUraH /
   kātarasya tu śaśina iva hariṇahṛdayasya pāṇḍurapṛṣṭhasya suto dvirātramapi	kAtarasya tu SaSinaH iva hariNa-hRdayasya pANxura-pRzWasya sutaH dvi-rAtram-api
   niścalā lakṣmīḥ /	niScalA lakzmIH /
   aparimitayaśaḥprakaravarṣī vikāsī vorarasaḥ /	aparimita-yaSaH-prakara-varzI vikAsI vA-ura-rasaH /
   puraḥpravṛttapratāpaprahatāḥ panthānaḥ pauruṣasya /	puras-pravRtta-pratApa-prahatAH panTAnaH pOruzasya /
   śabdavidrutavidviṣanti bhavanti dvārāṇi darpasya /	Sabda-vidruta-vidvizanti Bavanti dvArANi darpasya /
   śastrālokaprakāśitāḥ śūnyā diśaḥ śauryasya /	Sastra-Aloka-prakASitAH SUnyAH diSaH SOryasya /
   ripurudhiraśīkarāsāreṇa bhūriva śrīrapyanurajyate /	ripu-ruDira-SIkara-AsAreNa BUH-iva SrIH-api-anurajyate /
   bahunarapatimukuṭamaṇiśilāśāṇakoṇakaṣaṇena caraṇanakharājiriva	bahu-narapati-mukuwa-maNi-SilA-SANa-koNa-kazaNena caraNa-naKa-rAjiH-iva
   rājatāpyujjvalībhavati /	rAjatA-api-ujjvalIBavati /
   anavarataśastrābhyāsena karatalānīva ripumukhānyapi śyāmībhavanti /	anavarata-Sastra-aByAsena kara-talAni-iva ripu-muKAni-api SyAmIBavanti /
   vividhavraṇabaddhapaṭṭakaśataiḥ śarīramiva yaśo 'pi dhavalībhavati /	viviDa-vraNa-badDa-pawwaka-SatEH SarIram-iva yaSaH api DavalIBavati /
   kavaciṣu ripūraḥkavāṭeṣu pātyamānāḥ, pāvakaśikhāmiva śriyamapi vamanti	kavacizu ripUraH-kavAwezu pAtyamAnAH, pAvaka-SiKAm-iva Sriyam-api vamanti
   niṣṭhurā nistriṃśaprahārāḥ /	nizWurAH nistriMSa-prahArAH /
   yaschāhitahatasvajano manasvijano dviṣadyoṣidurastāḍanena kathayati	yaH-CAhita-hata-sva-janaH manasvi-janaH dvizat-yoziduraH-tAxanena kaTayati
   hṛdayaduḥkham paruṣāsilatānipātapavanenocchvasiti	hRdaya-duHKam paruza-asi-latA-nipAta-pavanena-ucCvasiti
   nirucchvasitaśatrudhārāpātena roditi vipakṣavanitācakṣuṣā dadāti jalaṃ sa	nirucCvasita-Satru-DArA-pAtena roditi vipakza-vanitA-cakzuzA dadAti jalam sa
   śreyānnetaraḥ /	SreyAn-na-itaraH /
   na ca svapnadṛṣṭanaṣṭeṣviva kṣaṇikeṣu śarīreṣu nibadhnanti bandhubuddhiṃ	na ca svapna-dRzwa-nazwezu-iva kzaNikezu SarIrezu nibaDnanti banDu-budDim
   prabuddhāḥ /	prabudDAH /
   sthāyini yaśasīva śarīradhīrvīrāṇām /	sTAyini yaSasi-iva SarIra-DIH-vIrANAm /
   anavarataprajvalitatejaḥprasarabhāsvarasvabhāvaṃ ca maṇipradopamiva	anavarata-prajvalita-tejaH-prasara-BAsvara-svaBAvam ca maNi-pradA-upam-iva
   kaluṣaḥ kajjalamalo na spṛśatyevātitejasvinaṃ śokaḥ /	kaluzaH kajjala-malaH na spRSati-eva-ati-tejasvinam SokaH /
   satvaṃ sattvavatāmagraṇīḥ prāgraharaḥ prājñānāṃ prathamaḥ samarthānāṃ	satvam sattvavatAm-agraNIH prAgraharaH prAjQAnAm praTamaH samarTAnAm
   praṣṭho 'bhijātānāmagresarastejasvināmādirasahiṣṇūnām /	prazWaH aBijAtAnAm-agresaraH-tejasvi-nAm-AdiH-asa-hizNUnAm /
   etāśca satatasaṃnihitadhūmāyamānakopāgnayaḥ sulabhāsidhārātoyatṛptayo	etAH-ca satata-saMnihita-DUmAyamAna-kopa-agnayaH sulaBa-asi-DArA-toya-tRptayo
   vikaṭabāhuvanacchāyopagūḍhā dhīratāyā nivāsaśiśirabhūmayaḥ svāyattāḥ	vikawa-bAhu-vana=-CAyA-upagUXAH DIra-tAyAH nivAsa-SiSira-BUmayaH su-a-AyattAH
   subhaṭānāmuraḥkavāṭabhittayaḥ /	su-BawAnAm-uraH-kavAwa-BittayaH /
   yataḥ kiṃ gauḍādhipādhamaikena /	yatas kim gOxa-aDipa-aDama-ekena /
   tathā kuru yathā nānyo 'pi kaścidācaratyevaṃ bhūyaḥ /	taTA kuru yaTA na-anyaH api kaScid-Acarati-evam BUyas /
   sarvorvīśraddhākāmukānāmalīkavijigīṣūṇāṃ saṃcāraya	sarva-urvI-SradDA-kAmukAnAm-alIka-vijigIzUNAm saMcAraya
   cāmarāṇyantaḥpurapurandhriniḥśvasitaiḥ /	cAmarANi-antaHpura-puranDri-niHSvasitEH /
   ucchindhi rudhiragandhāndhagṛdhramaṇḍalacchādanaiścattracchāyāvyasanāni /	ucCinDi ruDira-ganDa-anDa-gRDra-maNxala=-CAdanEH-cattra=-CAyA-vyasanAni /
   apākuru kaduṣṇaśoṇitodakasvaidaiḥ kulakṣmīkulaṭākaṭākṣacakṣūrāgarogān /	apAkuru kaduzNa-SoNita-udaka-svEdEH kulakzmI-kulawA-kawAkza-cakzU-rAga-rogAn /
   upaśamaya niśitaśaraśirāvedhairakāryaśauryaśvayathūn /	upaSamaya niSita-Sara-SirA-veDEH-akArya-SOrya-SvayaTUn /
   unmūlaya lohanigaḍāpīḍamālāmalamahauṣadhaiḥ	unmUlaya loha-nigaxa-ApIxa-mAlA-mala-mahOzaDEH
   pādapīṭhadohadadurlalitapādapaṭumāndyāni /	pAda-pIWa-doha-da-durlalita-pAda-pawu-mAndyAni /
   kṣapaya tīkṣṇājñākṣarakṣārapātairjayaśabdaśravaṇakarṇakaṇḍūḥ /	kzapaya tIkzNa-AjQa-akzara-kzAra-pAtEH-jaya-Sabda-SravaNa-karNa-kaNxUH /
   apanaya	apanaya
   caraṇanakhamarīcicandanacarcālalāṭalepairanamitastimitamastakastambhavikārān	caraNa-naKa-marIci-candana-carcA-lalAwa-lepEH-anamita-stimita-mastaka-stamBa-vikArAn
   uddhara karadānasaṃdeśasaṃdaṃśairdraviṇadarpoṣmāyamāṇaduḥśīlalīlāśalyāni /	udDara kara-dAna-saMdeSa-saMdaMSEH-draviNa-darpa-UzmAyamANa-duHSIla-lIlA-SalyAni /
   bhindhi maṇipādapīṭhadīdhitidīprapradīpikābhiḥ	BinDi maNi-pAda-pIWa-dIDiti-dIpra-pradIpikABiH
   śuṣkasubhaṭāṭopabhrukuṭibandhāndhakārān /	Suzka-su-Bawa-Awopa-Bru-kuwi-banDa-anDakArAn /
   jaya	jaya
   caraṇalaṅghanalāghavagalitaśirogauravāraugyairmithyābhimānamahāsaṃvipātān	caraNa-laFGana-lAGava-galita-SiraH-gOrava-ArOgyEH-miTyA-aBimAna-mahA-saMvipAtAn
   mradaya satatasevāñjalimukulitakarasaṃpuṭoṣmabiriṣvasanaguṇakiṇakārkaśyāni	mradaya satata-sevA-aQjali-mukulita-kara-saMpuwa-Uzma-birizu-asana-guNa-kiNa-kArka-SyAni
   yenaiva ca te gataḥ pitā pitāmahaḥ prapitāmaho vā tameva mā	yena-eva ca te gataH pitA pitAmahaH prapitAmahaH vA tam-eva mA
   hāsīstribhuvanaspṛhaṇīyaṃ panthānam /	hAsIH-triBuvana-spRhaNIyam panTAnam /
   avahāya kupuruṣocitāṃ śucaṃ pratipadyasva kulakramāgatāṃ kesarīva kuraṅgīṃ	avahAya kupuruza-ucitAm Sucam pratipadyasva kula-krama-AgatAm kesarI-iva kuraFgIm
   rājalakṣmīm /	rAja-lakzmIm /
   deva! devabhūyaṃ gate narendre duṣṭagauḍabhujaṅgajagdhajīvite ca	deva! deva-BUyam gate narendre duzwa-gOxa-BujaFga-jagDa-jIvite ca
   rājyavardhane vṛtte 'sminmahāpralaye dharaṇīdhāraṇāyādhunā tvaṃ śeṣaḥ /	rAjya-varDane vRtte asmin-mahApralaye DaraNI-DAraNAya-aDunA tvam SezaH /
   samāśvāsaya aśaraṇāḥ prajāḥ /	samASvAsaya aSaraNAH prajAH /
   kṣmāpatīnāṃ śiraḥsu śaratsaviteva lalāṭantapān prayaccha pādanyāsān /	kzmApatInAm SiraHsu Sarad-savitA-iva lalAwantapAn prayacCa pAda-nyAsAn /
   ahitānāmabhinavasevādīkṣāduḥkhasaṃtaptaśvāsadhūmamaṇḍalairnakhaṃpacaiḥ	ahitAnAm-aBinava-sevA-dIkzA-duHKa-saMtapta-SvAsa-DUma-maNxalEH-naKaMpacEH
   pracalitacūḍāmaṇicakravālabālātapaiścāyāhi kalmāṣapādatām /	pracalita-cUxAmaNi-cakravAla-bAla-AtapEH-ca-AyAhi kalmAzapAda-tAm /
   api ca hate pitaryekākī tapasvī mṛgaiḥ saha saṃvardhitaḥ	api ca hate pitari-ekAkI tapasvI mRgEH saha saMvarDitaH
   sahajabrāhnaṇyamārdavasukumāramanāḥ	sahaja-brAhnaNya-mArdava-su-kumAra-manAH
   kṛtaniścayacaṇḍacāpavanāṭaniṭāṅkāranādanirmadīkṛtadiggajaṃ	kRta-niScaya-caNxa-cApa-vanAwa-niwa-aFkAra-nAda-nirmadIkRta-diggajam
   guñjajjyājālajanitajagajjvaraṃ samagramudyatamekaviṃśatikṛtvaḥ	guQjajjyA-jAla-janita-jagat-jvaram samagram-udyatam-ekaviMSati-kRtvas-
   kṛtavaṃśamutkhātavān rājanyakaṃ paraśurāmaḥ, kiṃ	kRta-vaMSam-utKAtavAn rAjanyakam paraSurAmaH, kim
   punarnaisargikakāyakārkaśyakuliśāyamānamānaso mānināṃ mūrdhanyo devaḥ /	punar-nEsargika-kAya-kArkaSya-kuli-SAyamAna-mAnasaH mAninAm mUrDan-yaH devaH /
   tadadyaiva kṛtapratijño gṛhāṇa gauḍādhipādhamajīvitadhvastaye	tat-adya-eva kRta-pratijQaH gRhANa gOxa-aDipa-aDama-jIvita-Dvastaye
   jīvitasaṃkalanākulakālākāṇḍadayātrācihnadhvajaṃ dhanuḥ /	jIvita-saMkalana-Akula-kAlA-kANxada-yAtrA-cihna-Dvajam DanuH /
   na hyayamarātiraktacandanacarcāśiśiropacāramantareṇa sāmyati	na hi-ayam-arAti-rakta-candana-carcA-SiSira-upacAram-antareNa sAmyati
   paribhavānalapacyamānadehasya devasya duḥkhadāhajvara sudāruṇaḥ /	pariBava-anala-pacyamAna-dehasya devasya duHKa-dAha-jvara su-dAruNaH /
   nikārasaṃtāpaśāntayupāyaparikṣaye hi hiḍimbācumbanāsvāditamiva	nikAra-saMtApa-SAntayupAya-parikzaye hi hiximbA-cumbanAsvAditam-iva
   ripurudhirāmṛtamamandaropāyamapāyi pavanātmajena /	ripu-ruDira-amRtam-amandara-upAyam-apAyi pavanAtmajena /
