   kṛṣṇāmṛtamahārṇavaḥ	kRzNAmRta-mahA-arNavaH
   ramasva puṇḍarīkākṣa nṛsiṃha hṛdaye mama. // MKm_185 //	ramasva puNxarIkAkza nRsiMha hRdaye mama. // MKm_185 //
   karāvalambanaṃ dehi śrī kṛṣṇa kamalekṣaṇa	kara-avalambanam dehi SrI kRzNa kamala-IkzaNa
   bhavapaṅkārṇave ghore majjato mama sarvadā. // MKm_186 //	Bava-paFka-arNave Gore majjataH mama sarva-dA. // MKm_186 //
   trāhi trāhi jagannātha vāsudevācyutāvyaya	trAhi trAhi jagannATa vAsudeva-acyuta-avyaya
   māṃ samuddhara govinda duḥkhasaṃsārasāgarāt. // MKm_187 //	mAm samudDara govinda duHKa-saMsAra-sAgara-at. // MKm_187 //
   etat puṇyaṃ paraṃ guhyaṃ pavitraṃ pāpanāśanam	etat puNyam param guhyam pavitram pApa-nASanam
   āyuṣyaṃ ca yaśasyaṃ ca kaliduḥsvapnanāśanam. // MKm_188 //	Ayuzyam ca yaSasyam ca kali-duHsvapna-nASanam. // MKm_188 //
   kalau pāpaṃ kiyanmātraṃ hatyāsteyādisambhavam	kalO pApam kiyat-mAtram hatyA-steya-Adi-samBavam
   smṛte manasi govinde dahyate tūlarāśivat. // MKm_189 //	smRte manasi govinde dahyate tUla-rASivat. // MKm_189 //
   kalau keśavabhaktānāṃ na bhayaṃ vidyate kvacit	kalO keSava-BaktAnAm na Bayam vidyate kvacid-
   smṛte saṃkīrtite dhyāte saṃkṣayaṃ yāti pātakam. // MKm_190 //	smRte saMkIrtite DyAte saMkzayam yAti pAtakam. // MKm_190 //
   adhyetavyam idaṃ śāstraṃ śrotavyam anasūyayā	aDyetavyam idam SAstram Srotavyam anasUyayA
   bhaktebhyaś ca pradātavyaṃ dhārmikebhyaḥ punaḥ punaḥ. // MKm_191 //	BakteByaH ca pradAtavyam DArmikeByaH punar punar-. // MKm_191 //
   adhīyāna idaṃ śāstram viṣṇor māhātmyam uttamam	aDIyAnaH idam SAstram vizNoH mAhAtmyam uttamam
   sarvapāpavinirmuktaḥ prāpnoti paramaṃ padam. // MKm_192 //	sarva-pApa-vinirmuktaH prApnoti paramam padam. // MKm_192 //
   śrutvā dharmaṃ vijānāti śrutvā tyajati durmatim	SrutvA Darmam vijAnAti SrutvA tyajati durmatim
   śrutvā jñānam avāpnoti śrutvā mokṣaṃ ca gacchati. // MKm_193 //	SrutvA jQAnam avApnoti SrutvA mokzam ca gacCati. // MKm_193 //
   tasmād idaṃ samāśrāvyaṃ śrotavyaṃ ca sadaiva hi	tasmAt idam samASrAvyam Srotavyam ca sadA-eva hi
   kutarkadāvadagdhebhyo na dātavyaṃ kathañcana. // MKm_194 //	kutarka-dAva-dagDeByaH na dAtavyam kaTaQcana. // MKm_194 //
   saṃsāraviṣapānena ye mṛtāḥ prāṇino bhuvi	saMsAra-viza-pAnena ye mRtAH prANinaH Buvi
   amṛtāya smṛtas teṣāṃ kṛṣṇāmṛtamaharṇavaḥ. // MKm_195 //	amRtAya smRtaH tezAm kRzNAmRta-maharNavaH. // MKm_195 //
   klinnaṃ pādodakenaiva yasya nityaṃ kaḷebaram	klinnam pAda-udakena-eva yasya nityam ka?ebaram
   tīrthakoṭisahasrais tu snāto bhavati pratyaham. // MKm_196 //	tIrTa-kowi-sahasrEH tu snAtaH Bavati pratyaham. // MKm_196 //
   tīrthakoṭisahasrais tu sevitaiḥ kiṃ prayojanam	tIrTa-kowi-sahasrEH tu sevitEH kim prayojanam
   toyaṃ yadi piben nityaṃ sāḷagrāmaśilācyutam. // MKm_197 //	toyam yadi pibet nityam sA?agrAma-SilA-cyutam. // MKm_197 //
   sāḷagrāmaśilāsparśaṃ ye kurvanti dine dine	sA?agrAma-SilA-sparSam ye kurvanti dine dine
   vāñchanti karasaṃsparśaṃ teṣāṃ devāḥ savāsavāḥ. // MKm_198 //	vAQCanti kara-saMsparSam tezAm devAH sa-vAsavAH. // MKm_198 //
   duḥsaho nārako vahnir duḥsahā yamakiṅkarāḥ	duHsahaH nArakaH vahniH duHsahAH yama-kiFkarAH
   viṣamaśvāntakapathaḥ pretatvaṃ cātidāruṇam. // MKm_199 //	vizam-aSvAntaka-paTaH preta-tvam ca-ati-dAruNam. // MKm_199 //
   vicintya manasā 'py evaṃ pātakād vinivarttayet	vicintya manasA api evam pAtakAt vinivarttayet-
   smaraṇaṃ kīrtanaṃ viṣṇoḥ sadaiva na parityajet. // MKm_200 //	smaraNam kIrtanam vizNoH sadA-eva na parityajet. // MKm_200 //
   Śrī Vedavyāsaḥ:	ŚrI VedavyAsaH:
   acyutānantagovindanāmoccāraṇabhīṣitāḥ	acyuta-ananta-govinda-nAma-uccAraNa-BIzitAH
   naśyanti sakalā rogāḥ satyaṃ satyaṃ vadāmy aham. // MKm_201 //	naSyanti sakalAH rogAH satyam satyam vadAmi aham. // MKm_201 //
   sakṛd uccāritaṃ yena harir ity akṣaradvayam	sakRt uccAritam yena hariH iti akzara-dvayam
   baddhaḥ parikaras tena mokṣāya gamanaṃ prati. // MKm_202 //	badDaH parikaraH tena mokzAya gamanam prati. // MKm_202 //
   evaṃ brahmādayo devā ṛṣayaś ca tapodhanāḥ	evam brahma-AdayaH devAH RzayaH ca tapoDanAH
   kīrtayanti suraśreṣṭhaṃ devaṃ nārāyaṇaṃ prabhum. // MKm_203 //	kIrtayanti suraSrezWam devam nArAyaNam praBum. // MKm_203 //
   kiṃ tasya dānaiḥ kiṃ tīrthaiḥ kiṃ tapobhiḥ kim adhvaraiḥ	kim tasya dAnEH kim tIrTEH kim tapoBiH kim aDvarEH
   yo nityaṃ dhyāyate devaṃ nārāyaṇam ananyadhīḥ. // MKm_204 //	yaH nityam DyAyate devam nArAyaNam ananyaDIH. // MKm_204 //
   nityotsavo nityatā ca nityaśrīr nityaśo jayaḥ	nitya-utsavaH nitya-tA ca nitya-SrIH nityaSas jayaH
   yeṣāṃ hṛdistho bhagavān maṅgalāyatano hariḥ. // MKm_205 //	yezAm hRdisTaH BagavAn maFgala-AyatanaH hariH. // MKm_205 //
   jīvaṃś caturdaśād ūrdhvaṃ puruṣo niyamena tu	jIvan caturdaSAt UrDvam puruzaH niyamena tu
   strī vā 'py anūnadaśakaṃ dehaṃ mānuṣam ārjate. // MKm_206 //	strI vA api anUna-daSakam deham mAnuzam Arjate. // MKm_206 //
   caturdaśordhvajīvīni saṃsāraś cādivarjitaḥ	caturdaSa-UrDva-jIvIni saMsAraH ca-Adi-varjitaH
   ato 'vittvā paraṃ devaṃ mokṣāśā kā mahāmune. // MKm_207 //	atas avittvA param devam mokza-ASA kA mahA-mune. // MKm_207 //
   ācaturdaśamād varṣāt karmāṇi niyamena tu	AcaturdaSamAt varzAt karmANi niyamena tu
   daśāvarāṇāṃ dehānāṃ kāraṇāni karoty ayam	daSa-avarANAm dehAnAm kAraNAni karoti ayam
   ataḥ karmakṣayān muktiḥ kuta eva bhaviṣyati. // MKm_208 //	atas karma-kzayAt muktiH kutas eva Bavizyati. // MKm_208 //
   samānāṃ viṣamā pūjā viṣamāṇāṃ samā tathā	samAnAm vizamA pUjA vizamANAm samA taTA
   kriyate yena devo 'pi svapadād bhraśyate hi saḥ. // MKm_209 //	kriyate yena devaH api sva-padAt BraSyate hi saH. // MKm_209 //
   vittaṃ bandhur vayaḥ karma vidyā caiva tu pañcamī	vittam banDuH vayaH karma vidyA ca-eva tu paQcamI
   etāni mānyasthānāni garīyo yad yad uttaram. // MKm_210 //	etAni mAnya-sTAnAni garIyaH yat yat uttaram. // MKm_210 //
   guṇānusāriṇīṃ pūjāṃ samāṃ dṛṣṭiṃ ca yo naraḥ	guNa-anusAriNIm pUjAm samAm dRzwim ca yaH naraH
   sarvabhūteṣu kurute tasya viṣṇuḥ prasīdati. // MKm_211 //	sarva-BUtezu kurute tasya vizNuH prasIdati. // MKm_211 //
   yathā suhṛtsu kartavyaṃ pitṛśatrusuteṣu ca	yaTA suhRtsu kartavyam pitR-Satru-sutezu ca
   tathā karoti pūjādi samabuddhiḥ sa ucyate. // MKm_212 //	taTA karoti pUjA-Adi sama-budDiH saH ucyate. // MKm_212 //
   tiryakpuṇḍraṃ na kurvīta samprāpte maraṇe 'pi ca	tiryak-puNxram na kurvIta samprApte maraNe api ca
   na cānyan nāma vibrūyāt paraṃ nārāyaṇādṛte. // MKm_213 //	na ca-anyat nAma vibrUyAt param nArAyaNAt-Rte. // MKm_213 //
   naivedyaśeṣaṃ devasya yo bhunakti dine dine	nEvedya-Sezam devasya yaH Bunakti dine dine
   sikthe sikthe bhavet puṇyaṃ cāndrāyaṇaśatādhikam. // MKm_214 //	sikTe sikTe Bavet puNyam cAndrAyaNa-Sata-aDikam. // MKm_214 //
   ūrdhvapuṇḍram ṛjuṃ saumyaṃ lalāṭe dṛśyate	UrDva-puNxram Rjum sOmyam lalAwe dRSyate
   sa caṇḍālo 'pi śuddhātmā pūjya eva na saṃśayaḥ. // MKm_215 //	sa caNxAlaH api SudDa-AtmA pUjyaH eva na saMSayaH. // MKm_215 //
   aśucir vā 'py anācāro manasā pāpam ācaran	aSuciH vA api anAcAraH manasA pApam Acaran
   śucir eva bhaven nityam ūrdhvapuṇḍrānkito naraḥ. // MKm_216 //	SuciH eva Bavet nityam UrDva-puNxrAnkitaH naraH. // MKm_216 //
   ūrdhvapuṇḍravihīnasya śmaśānasadṛśaṃ mukham	UrDva-puNxra-vihInasya SmaSAna-sadRSam muKam
   avalokya mukhaṃ teṣām ādityam avalokayet. // MKm_217 //	avalokya muKam tezAm Adityam avalokayet. // MKm_217 //
   yajño dānaṃ tapaś caiva svādhyāyaḥ pitṛtarpaṇam	yajQaH dAnam tapaH ca-eva svADyAyaH pitR-tarpaNam
   vyarthaṃ bhavati tat sarvam ūrdhvapuṇḍraṃ vinā kṛtam. // MKm_218 //	vyarTam Bavati tat sarvam UrDva-puNxram vinA kRtam. // MKm_218 //
   gopīcandanaliptāṅgo yaṃ yaṃ paśyati cakṣuṣā	gopIcandana-lipta-aFgaH yam yam paSyati cakzuzA
   taṃ taṃ śuddhaṃ vijānīyān nātra kāryā vicāraṇā. // MKm_219 //	tam tam SudDam vijAnIyAt na-atra kAryA vicAraNA. // MKm_219 //
   āsphoṭayanti pitaraḥ pranṛtyanti pitāmahāḥ	AsPowayanti pitaraH pranRtyanti pitAmahAH
   vaiṣṇavo 'smatkule jātaḥ sa naḥ santārayiṣyati. // MKm_220 //	vEzNavaH asmad-kule jAtaH sa naH santArayizyati. // MKm_220 //
   jīvitaṃ viṣṇubhaktasya varaṃ pañcadināny api	jIvitam vizNu-Baktasya varam paQca-dinAni api
   na tu kalpasahasrais tu bhaktihīnasya keśave. // MKm_221 //	na tu kalpa-sahasrEH tu Bakti-hInasya keSave. // MKm_221 //
   kiṃ tena jātamātreṇa bhūbhāreṇānnaśatruṇā	kim tena jAta-mAtreNa BU-BAreNa-anna-SatruNA
   yo jāto nārcayed viṣṇuṃ na smaren nāpi kīrtayet. // MKm_222 //	yaH jAtaH na-arcayet vizNum na smaret na-api kIrtayet. // MKm_222 //
   yo dadāti dvijātibhyaś candanaṃ gopimarditam	yaH dadAti dvijAtiByaH candanam gopi-marditam
   api sarṣapamātreṇa punāty āsaptamaṃ kulam. // MKm_223 //	api sarzapa-mAtreNa punAti Asaptamam kulam. // MKm_223 //
   jñānī ca karmāṇi sado 'ditāni	jQAnI ca karmANi sadaH aditAni
   kuryād akāmaḥ satataṃ bhavet. // MKm_224 //	kuryAt akAmaH satatam Bavet. // MKm_224 //
   atītānāgatajñānī trailokyodvaraṇakṣamaḥ	atIta-anAgata-jQAnI trElokya-udvaraNa-kzamaH
   etādṛśo 'pi nā 'cāraṃ śrautaṃ smārtaṃ parityajet. // MKm_225 //	etAdRSaH api nA acAram SrOtam smArtam parityajet. // MKm_225 //
   yad eva vidyayā karoti śraddhayopaniṣadā	yat eva vidyayA karoti SradDayA-upanizadA
   sad eva vīryavattaraṃ bhavati. // MKm_226 //	sat eva vIryavattaram Bavati. // MKm_226 //
   kurvan eveha karmāṇi jijīviṣec chataṃ samāḥ	kurvan eva-iha karmANi jijIvizet Satam samAH
   evaṃ tvayi nānyatheto 'sti na karma lipyate nare. // MKm_227 //	evam tvayi na-anyaTA-itaH asti na karma lipyate nare. // MKm_227 //
   ācāraś caiva sādhūnām ātmanas tuṣṭir eva ca	AcAraH ca-eva sADUnAm AtmanaH tuzwiH eva ca
   vedapraṇihito dharmo hy adharmas tadviparyayaḥ. // MKm_228 //	veda-praNihitaH DarmaH hi aDarmaH tad-viparyayaH. // MKm_228 //
   niṣkāmaṃ jñānapūrvaṃ tu nivṛttam iha cocyate	nizkAmam jQAna-pUrvam tu nivRttam iha ca-ucyate
   nivṛttaṃ sevamānas tu brahmābhyeti sanātanam. // MKm_229 //	nivRttam sevamAnaH tu brahma-aByeti sanAtanam. // MKm_229 //
   iti kṛṣṇāmṛtamahārṇavaḥ samāptaḥ	iti kRzNAmRta-mahA-arNavaH samAptaH
