   Bhk_1	Bhj-_1
   'nujena,	anujena,
   yathopamāŌ	yaTopamAŌ
   Bhk_10.31-1 kara-puṭa-nihitaṃ dadhat sa ratnaṃ pariviralā'ṅguli	Bhk-_10.31-1 kara-puwa--nihitam daDat sa ratnam pariviralA-aFguli
   nirgatā'lpa-dīpti	nirgatA-alpa-dIpti
   Bhk_10.31-2 tanu-kapila-ghana-sthitaṃ yathenduṃ nṛpamanamat	Bhc-_10.31-2 tanu-kapila--Gana---sTitam yaTA-indum nRpam-anamat-
   paribhugna-jānu-mūrdhā.	pariBugna-jAnu--mUrDA.
   sahopamāŌ	saha-upamAŌ
   Bhk_10.32-1 rucironnata-ratna-gauravaḥ paripūrṇā-'mṛta-raśmi-maṇḍalaḥ	Bhc-_10.32-1 rucira-unnata-ratna--gOravaH paripUrNA--amRta-raSmi-maNxalaH
   Bhk_10.32-2 samadṛśyata jīvitā''śayā saha rāmeṇa vadhū-śiro-maṇiḥ.	Bhk-_10.32-2 samadRSyata jIvitA-aaSayA saha rAmeNa vaDU-Siro-maNiH.
   taddhitopamāŌ	tad-hita-upamAŌ
   Bhk_10.33-1 avasanna-ruciṃ vanā''gataṃ tamanā''mṛṣṭarajo-vidhūsaram	Bhc-_10.33-1 avasanna-rucim vanA-aagatam tamanA-aamRzwa-rajo--viDUsaram
   Bhk_10.33-2 samapaśyadapeta-maithiliṃ dadhataṃ gaurava-mātramātma-vat.	Bhk-_10.33-2 samapaSyat-apeta--mETilim daDatam gOrava--mAtram-Atma-vat.
   luptopamāŌ	lupta-upamAŌ
   Bhk_10.34-1 sāmarthya-saṃpādita-vāñchitā'rthaś cintā-maṇiḥ syān na kathaṃ	Bhk-_10.34-1 sAmarTya--saMpAdita-vAQCitA-arTaH cintA-a-maNiH syAt na kaTam
   hanūmān,	hanUmAn,
   Bhk_10.34-2 sa-lakṣmaṇo bhūmi-patis tadānīṃ śākhā-mṛgā'nīka-patiś ca mene.	Bhc-_10.34-2 sa-lakzmaNaH BUmi-patiH tadAnIm SAKA-mRgA-anIka-patiH ca mene.
   samopamāŌ	sama-upamAŌ
   Bhk_10.35-1 "yuśmāna-cetan kṣaya-vāyu-kalpān sītā-sphuliṅgaṃ parigṛhya	Bhc-_10.35-1 "yuSmAna--cetan kzaya-vAyu--kalpAn sItA-sPuliFgam parigRhya
   jālmaḥ	jAlmaH
   Bhk_10.35-2 laṅkā-vanaṃ siṃha-samo 'dhiśete martuṃ	Bhc-_10.35-2 laFkA-vanam siMha--samaH aDiSete martum
   dviṣannityavadaddhanūmān	dvizan=-iti-avadat-hanUmAn
   arthā'ntara-nyāsaḥŌ	arTA-antara-nyAsaHŌ
   Bhk_10.36-1 "ahṛta dhaneśvarasya yudhi yaḥ sameta-māyo dhanaṃ, tamahamito	Bhc-_10.36-1 "ahRta DaneSvarasya yuDi yaH sameta-mAyaH DanaM, tam-ahamitas-
   vilokya vibudhaiḥ kṛtottamā''yodhanam	vilokya vibuDEH kRta-uttamA-aayoDanam
   Bhk_10.36-2 vibhava-madena nihnuta-hriyā 'timātra-saṃpannakaṃ, vyathayati	Bhc-_10.36-2 viBava--madena nihnuta--hriyA atimAtra--saMpanna-kaM, vyaTayati
   sat-pathādadhigatā 'thaveha saṃpan na kam.	sat-paTAt-aDigatAH aTavA-iha saMpad na kam.
   ākṣepaḥŌ	AkzepaHŌ
   Bhk_10.37-1 ṛddhi-mān rākṣaso mūḍhaś, citraṃ nā'sau yaddudhataḥ,	Bhk-_10.37-1 RdDi-mAn rAkzasaH mUXaS, citram nA-asO yat-duDataH,
   Bhk_10.37-2 ko vā heturanāryāṇāṃ dharmye vartmani vartitum.	Bhc-_10.37-2 kaH vA hetuH-anAryANAm Darmye vartmani vartitum.
   ākṣepa evaŌ	AkzepaH evaŌ
   Bhk_10.38-1 tasyā 'dhivāse tanurutsukā 'sau dṛṣṭā mayā rāma-patiḥ	Bhc-_10.38-1 tasyAH aDivAse tanuH-utsukA asO dRzwA mayA rAma-patiH
   pra-manyuḥ,	pra-manyuH,
   Bhk_10.38-2 kāryasya sāro 'yamudīrito vaḥ, proktena śeṣeṇa kimuddhatena.	Bhk-_10.38-2 kAryasya sAraH ayam-udIritaH vaH, proktena SezeNa kim-udDatena.
   vyatirekaḥŌ	vyatirekaHŌ
   Bhk_10.39-1 samatāṃ śaśi-lekhayopayāyā- davadātā pra-tanuḥ kṣayeṇa sītā,	Bhk-_10.39-1 samatAm SaSi--leKayA-upayAyA davadAtA pra-tanuH kzayeNa sItA,
   Bhk_10.39-2 yadi nāma kalaṅka indu-lekhā- mativṛtto laghayen na cā 'pi	Bhk-_10.39-2 yadi nAma kalaFkaH indu-leKA mati-vRttaH laGayet na cA api
   bhāvī.	BAvI.
   vibhāvanāŌ	viBAvanAŌ
   Bhk_10.40-1 a-parīkṣita-kāriṇā gṛhītāṃ tvamanāsevita-vṛddha-paṇḍitena	Bhc-_10.40-1 a-parIkzita--kAriNA gRhItAm tvam-anAsevita--vRdDa--paNxitena
   Bhk_10.40-2 a-virodhita-niṣṭhureṇa sādhvīṃ dayitāṃ trātumalaṃ ghaṭasva	Bhc-_10.40-2 a-viroDita--nizWureNa sADvIm dayitAm trAtum-alam Gawasva
   rājan !"	rAjan !"
   samāsoktiḥŌ	samAsoktiHŌ
   Bhk_10.41-1 sa ca vihvala-sattva-saṃkulaḥ pariśuṣyannabhavan mahā-hradaḥ	Bhk-_10.41-1 sa ca vihvala--sattva--saMkulaH pariSuzyan=-aBavat mahA--hradaH
   Bhk_10.41-2 paritaḥ paritāpa-mūrcchitaḥ, patitaṃ cā 'mbu nirabhramīpsitam.	Bhk-_10.41-2 paritas paritApa--mUrcCitaH, patitam cA ambu niraBram-Ipsitam.
   atiśayoktiḥŌ	atiSayoktiHŌ
   Bhk_10.42-1 atha lakṣmaṇa-tulya-rūpa-veśaṃ	Bhc-_10.42-1 aTa lakzmaNa--tulya--rUpa-veSam
   gamanā''deśa-vinirgatā'gra-hastam	gamanA-aadeSa--vinirgatA-agra-hastam
   Bhk_10.42-2 kapayo 'nuyayuḥ sametya rāmaṃ	Bhk-_10.42-2 kapayaH anuyayuH sametya rAmam
   nata-sugrīva-gṛhīta-sā''darājñam.	nata--sugrIva-gRhIta-sA-aadara-AjQam.
   yathā-saṃkhyamŌ	yaTA-saMKyamŌ
   Bhk_10.43-1 kapi-pṛṣṭha-gatau tato narendrau. kapayaś ca	Bhc-_10.43-1 kapi--pRzWa--gatO tatas narendrO. kapayaH ca
   jvalitā'gni-piṅgalā'kṣāḥ	jvalitA-agni-piFgalA-akzAH
   Bhk_10.43-2 mumucuḥ, prayayur, drutaṃ samīyur, vasudhāṃ, vyoma, mahīdharaṃ	Bhc-_10.43-2 mumucuH, prayayur, drutam samIyur, vasuDAM, vyoma, mahIDaram
   mahendram	mahA-indram
   utprekṣāŌ	utprekzAŌ
   Bhk_10.44-1 sthitamiva parirakṣituṃ samantā- dudadhi-jalaugha-pariplavād	Bhk-_10.44-1 sTitam-iva parirakzitum samantA dudaDi-jala-oGa--pariplavAt-
   dharitrīm	DaritrIm
   Bhk_10.44-2 gagana-tala-vasundhrā'ntarāle jala-nidhivega-sahaṃ prasārya	Bhc-_10.44-2 gagana--tala-vasunDrA-antarAle jala-niDi-vega--saham prasArya
   deham	deham
   vārtāŌ	vArtAŌ
   Bhk_10.45-1 viṣa-dhara-nilaye niviṣṭa-mūlaṃ śikhara-śataiḥ	Bhc-_10.45-1 viza-Dara--nilaye nivizwa--mUlam SiKara--SatEH
   parimṛṣṭa-deva-lokam	parimRzwa--deva--lokam
   Bhk_10.45-2 ghana-vipula-nitamba-pūritāśaṃ	Bhc-_10.45-2 Gana--vipula--nitamba-pUrita-ASam
   phala-kusumā''cita-vṛkṣa-ramya-kuñjam	Pala-kusumA-aacita-vRkza-ramya--kuQjam
   preyaḥŌ	preyaHŌ
   Bhk_10.46-1 madhu-kara-virutaiḥ priyādhvanīnāṃ sarasi-ruhair	Bhc-_10.46-1 maDu-kara--virutEH priya-aDvanInAm sarasi--ruhEH-
   dayitā''sya-hāsya-lakṣmyāḥ	dayitA-aasi-a-hAsya--lakzmyAH
   Bhk_10.46-2 sphuṭamanuharamāṇamādadhānaṃ puruṣa-pateḥ sahasā paraṃpramodam	Bhk-_10.46-2 sPuwam-anuharamANam-AdaDAnam puruza--pateH sahasA paraMpramodam
   rasavatŌ	rasavatŌ
   Bhk_10.47-1 graha-maṇi-rasanaṃ divo nitambaṃ	Bhc-_10.47-1 graha-maNi--rasanam divaH nitambam
   vipulamanuttama-labdha-kānti-yogam	vipulam-anuttama--labDa--kAnti--yogam
   Bhk_10.47-2 cyuta-ghana-vasanaṃ mano'bhirāmaṃ śikhara-karair madanādiva	Bhc-_10.47-2 cyuta--Gana-vasanam manaH-aBirAmam SiKara-karEH madanAt-iva
   spṛśantam	spRSantam
   ūrjasvī-	UrjasvI-
   Bhk_10.48-1 pracapalama-guruṃ bharā'sahiṣṇuṃ janamasamānamanūrjitaṃ	Bhc-_10.48-1 pracapa-lam-a-gurum BarA-asahizNum janam-asamAnam-anUrjitam
   vivarjya	vivarjya
   Bhk_10.48-2 kṛta-vasatimivā'rṇavopakaṇṭhe	Bhk-_10.48-2 kRta--vasatim-ivA-arNava-upakaNWe
   sthirama-tulonnatimūḍha-tuṅga-megham.	sTira-ma-tulA-unnati-mUXa--tuFga--meGam.
   paryāyoktiḥŌ	paryAyoktiHŌ
   Bhk_10.49-1 sphaṭhika-maṇi-gṛhaiḥ sa-ratna-dīpaiḥ	Bhc-_10.49-1 sPaWi-ka-maNi--gRhEH sa-ratna-dIpEH
   prataruṇa-kinnara-gīta-nisvanaiś ca	prataruNa--kinnara--gIta--nisvanEH ca
   Bhk_10.49-2 amara-pura-matiṃ surā'ṅganānāṃ	Bhc-_10.49-2 amara--pura-matim surA-aFganAnAm
   dadhatama-duḥkhamanalpa-kalpa-vṛkṣam.	daDatama--duHKam-analpa-kalpa-vRkzam.
   samāhitamŌ	samAhitamŌ
   Bhk_10.50-1 atha dadṛśurudīrṇa-dhūma-dhūmrāṃ diśamudadhi-vyavadhiṃ	Bhc-_10.50-1 aTa dadRSuH-udIrNa--DUma--DUmrAm diSam-udaDi--vyavaDim
   sameta-sītām	sameta--sItAm
   Bhk_10.50-2 saha-raghutanayāḥ plavaṅga-senāḥ	Bhk-_10.50-2 saha-raGu-tanayAH plavaFga-senAH
   pavana-sutā'ṅguli-darśitāmudakṣāḥ.	pavana--sutA-aFguli-darSi-tAmudakzAH.
   udāramŌ	udAramŌ
   Bhk_10.51-1 jala-nidhimagaman mahendra-kuñjāt	Bhc-_10.51-1 jala-niDim-agamat mahA-indra-kuQjAt-
   pracaya-tirohita-tigma-raśmi-bhāsaḥ	pracaya--tirohita--tigma-raSmi--BAsaH
   Bhk_10.51-2 salila-samudayair mahā-taraṅgair	Bhc-_10.51-2 salila--samudayEH mahA--taraFgEH-
   bhuvana-bhara-kṣamamapya-bhinna-velam	Buvana--Bara--kzamam-api-a-Binna--velam
   udāramevaŌ	udAram-evaŌ
   Bhk_10.52-1 pṛthu-guru-maṇi-śukti-garbha-bhāsā	Bhc-_10.52-1 pRTu-guru-maNi--Sukti-garBa-BAsA
   glapita-rasā-tala-saṃbhṛtā'ndhakāram	glapita--rasA--tala--saMBRtA-anDakAram
   Bhk_10.52-2 upahata-ravi-raśmi-vṛttimuccaiḥ	Bhc-_10.52-2 upahata--ravi-raSmi-vRttim-uccEs-
   pralaghu-pariplavamāna-vajra-jālaiḥ	pralaGu-pariplavamAna--vajra--jAlEH
   udāramevaŌ	udAram-evaŌ
   Bhk_10.53-1 samupacita-jalaṃ vivardhamānai- ra-mala-sarit-salilair	Bhk-_10.53-1 samupacita--jalam vivarDamAnE ra-mala--sarit--salilEH-
   vibhāvarīṣu	viBAvarIzu
   Bhk_10.53-2 sphuṭamavagamayantamūḍha-vārīn śaśa-dhara-ratna-mayān	Bhk-_10.53-2 sPuwam-avagamayanta-mUXa-vArIn SaSa-Dara--ratna-mayAn
   mahendra-sānūn	mahA-indra--sAnUn
   śliṣṭamŌ	SlizwamŌ
   Bhk_10.54-1 bhuvana-bhara-sahāna-laṅghya-dhāmnaḥ puru-ruci-ratna-bhṛto	Bhc-_10.54-1 Buvana--Bara--sahAna--laFGya--DAmnaH puru-ruci-ratna-BRtaH-
   gurūru-dehān	guru-Uru-dehAn
   Bhk_10.54-2 śrama-vidhura-vilīna-kūrma-nakrān dadhatamudūḍha-bhuvo	Bhc-_10.54-2 Srama--viDura--vilIna-kUrma--nakrAn daDatam-udUXa--BuvaH-
   girīnahīṃś ca	girIn-ahIn ca
   śliṣṭamevaŌ	Slizwam-evaŌ
   Bhk_10.55-1 pradadṛśururu-mukta-śīkaraughān	Bhk-_10.55-1 pradadRSururu--mukta--SIkara-oGAn
   vimala-maṇi-dyuti-saṃbhṛtendra-cāpān	vimala--maNi--dyuti--saMBRta-indra-cApAn
   Bhk_10.55-2 jala-muca iva dhīra-mandra-ghoṣān kṣiti-paritāpa-hṛto	Bhc-_10.55-2 jala-mucaH iva DIra-mandra--GozAn kziti-paritApa--hRtaH-
   mahā-taraṅgān	mahA-taraFgAn
   hetu-śliṣṭamŌ	hetu-SlizwamŌ
   Bhk_10.56-1 vidruma-maṇi-kṛta-bhūṣā muktā-phala-nikara-rañjitā''tmānaḥ	Bhc-_10.56-1 vidruma--maNi--kRta-BUzA muktA--Pala--nikara--raQjitA-aatmAnaH
   Bhk_10.56-2 babhurudaka-nāga-bhagnā velā-taṭa-śikhariṇo yatra,	Bhc-_10.56-2 baBuH-udaka-nAga--BagnAH velA--tawa--SiKariNaH yatra,
   apahnutiḥŌ	apahnutiHŌ
   Bhk_10.57-1 bhṛta-nikhila-rasā-talaḥ sa-ratnaḥ	Bhc-_10.57-1 BRta-niKila--rasA--talaH sa-ratnaH
   śikhari-samormi-tirohitā'ntarīkṣaḥ	SiKari--sama-Urmi--tirohitA-antarIkzaH
   Bhk_10.57-2 kuta iha paramā'rthato jalaugho jala-nidhimīyurataḥ sametya	Bhk-_10.57-2 kutas iha paramA-arTataH jala-oGaH jala-niDim-IyuH-atas sametya
   māyām	mAyAm
   viśeṣoktiḥŌ	viSeza-uktiHŌ
   Bhk_10.58-1 śaśi-rahitamapi prabhūta-kāntiṃ	Bhc-_10.58-1 SaSi--rahitam-api praBUta--kAntim
   vibudha-hṛta-śriyamapya-naṣṭa-śobham	vibuDa--hRta--Sriyam-api-a-nazwa--SoBam
   Bhk_10.58-2 mathitamapi surair divaṃ jalaughaiḥ	Bhc-_10.58-2 maTitam-api surEH divam jala-oGEH
   samabhibhavantama-vikṣata-prabhāvam	samaBiBavantama-vikzata--praBAvam
   vyāja-stutiḥŌ	vyAja-stutiHŌ
   Bhk_10.59-1 kṣiti-kula-giri-śeṣa-dig-gajendrān salila-gatāmiva	Bhc-_10.59-1 kziti-kula-giri--Seza--diS--gaja-indrAn salila--gatAm-iva
   nāvamudvahantam	nAvam-udvahantam
   Bhk_10.59-2 dhṛta-vidhura-dharaṃ mahā-varāhaṃ giri-guru-potramapīhitair	Bhc-_10.59-2 DRta-viDura--Daram mahA-varAham giri-guru-potram-api-IhitEH-
   jayantam	jayantam
   upamā-rūpakamŌ	upamA--rUpakamŌ
   Bhk_10.60-1 giri-parigata-cañcalā''pagā'ntaṃ jala-nivahaṃ dadhataṃ	Bhc-_10.60-1 giri--parigata--caQcalA-aapagA-antam jala--nivaham daDatam
   mano'bhirāmam	manaH-aBirAmam
   Bhk_10.60-2 galitamiva bhuvo vilokya rāmaṃ	Bhc-_10.60-2 galitam-iva BuvaH vilokya rAmam
   dharaṇi-dhara-stana-śukla-cīna-paṭṭam.	DaraNi-Dara--stana--Sukla--cIna-pawwam.
   tulyayogitāŌ	tulyayogitAŌ
   Bhk_10.61-1 a-parimita-mahā'dbhutair vicitraś cyuta-malinaḥ śucibhir	Bhc-_10.61-1 a-parimita-mahA-adButEH vicitraH cyuta--malinaH SuciBiH-
   mahāna-laṅghyaiḥ	mahAna--laFGyEH
   Bhk_10.61-2 taru-mṛga-pati-lakṣmaṇa-kṣitīndraiḥ samadhigato jaladhiḥ paraṃ	Bhc-_10.61-2 taru--mRga-pati--lakzmaNa--kziti-indrEH samaDigataH jalaDiH param
   babhāse.	baBAse.
   nidarśanamŌ	nidarSanamŌ
   Bhk_10.62-1 na bhavati mahimā vinā vipatte- ravagamayanniva paśyataḥ	Bhc-_10.62-1 na Bavati mahimA vinA vipatte rava-gamayan=-iva paSyataH
   payodhiḥ	payoDiH
   Bhk_10.62-2 a-viratamabhavat kṣaṇe kṣaṇe 'sau	Bhc-_10.62-2 a-viratam-aBavat kzaNe kzaNe asO
   śikhari-pṛthu-prathita-praśānta-vīciḥ.	SiKari--pRTu--praTita--praSAnta--vIciH.
   virodhaḥŌ	viroDaHŌ
   Bhk_10.63-1 mṛdubhirapi bibheda puṣpa-bāṇaiś calaśiśirairapi mārutair	Bhc-_10.63-1 mRduBiH-api biBeda puzpa-bANEH cala-SiSirEH-api mArutEH-
   dadāha	dadAha
   Bhk_10.63-2 raghu-tanayamanartha-paṇḍito 'sau, na ca madanaḥ kṣatamātatān,	Bhc-_10.63-2 raGu-tanayam-anarTa--paNxitaH asO, na ca madanaH kzatamAtatAn,
   nā 'rciḥ	nA arciH
   upameyopamā	upameya-upamA
   Bhk_10.64-1 atha mṛdu-malina-prabhau dinā'nte	Bhc-_10.64-1 aTa mRdu-malina--praBO dinA-ante
   jaladhi-samīpa-gatāvatīta-lokau	jalaDi--samIpa--gatO=-atIta--lokO
   Bhk_10.64-2 anukṛtimitaretarasya mūrtyor	Bhc-_10.64-2 anukRtim-itaretarasya mUrtyoH-
   dina-kara-rāghava-nandanāvakārṣṭām.	dina-kara--rAGava--nandana-avakArzwAm.
   sahoktiḥŌ	sahoktiHŌ
   Bhk_10.65-1 apaharadiva sarvato vinodān dayita-gataṃ dadhadekadhā samādhim	Bhc-_10.65-1 apaharat-iva sarvatas vinodAn dayita--gatam daDat-ekaDA samADim
   Bhk_10.65-2 ghana-ruci vavṛdhe tato 'ndhakāraṃ saha	Bhc-_10.65-2 Gana-ruci vavRDe tatas anDakAram saha
   raghu-nandana-manmathodayena.	raGu-nandana-manmaTa-udayena.
   parivṛttiḥŌ	parivRttiHŌ
   Bhk_10.66-1 adhi-jaladhi tamaḥ kṣipan himāṃśuḥ paridadṛśe 'tha dṛśāṃ	Bhc-_10.66-1 aDi-jalaDi tamaH kzipan himAMSuH paridadRSe aTa dRSAm
   kṛtā'vakāśaḥ	kRtA-avakASaH
   Bhk_10.66-2 vidadhadiva jagat punaḥ pralīnam. bhavati mahān hi parā'rtha	Bhc-_10.66-2 vidaDat-iva jagat punar pralInam. Bavati mahAn hi parA-arTa-
   eva sarvaḥ.	eva sarvaH.
   sa-sandehaḥŌ	sa-sandehaHŌ
   Bhk_10.67-1 aśanirayamasau, kuto nirabhre. śita-śara-varṣama-sat	Bhc-_10.67-1 aSaniH-ayam-asO, kutas niraBre. Sita-Sara-varzam-a-sat
   tadapya-śārṅgam.	tat-api-a-Sa-arFgam.
   Bhk_10.67-2 iti madana-vaśo muhuḥ śaśā'ṅke raghu-tanayo, na ca niścikāya	Bhc-_10.67-2 iti madana-vaSaH muhur SaSA-aFke raGu-tanayo, na ca niScikAya
   candram.	candram.
   ananvayaḥŌ	ananvayaHŌ
   Bhk_10.68-1 kumuda-vana-cayeṣu kīrṇa-raśmiḥ kṣata-timireśu ca	Bhc-_10.68-1 kumuda--vana-cayezu kIrNa-raSmiH kzata--timireSu ca
   dig-vadhū-mukheṣu	diS--vaDU-muKezu
   Bhk_10.68-2 viyati ca vilalāsa tad-vadindur, vilasati candramaso na	Bhc-_10.68-2 viyati ca vilalAsa tad--vat-indur, vilasati candramasaH na
   yad-vadanyaḥ.	yat--vat-anyaH.
   utprekṣā''vayavaḥŌ	utprekzA-aavayavaHŌ
   Bhk_10.69-1 śaraṇamiva gataṃ tamo nikuñje	Bhk-_10.69-1 SaraNam-iva gatam tamaH nikuQje
   viṭapi-nirākṛta-candra-raśmyarātau	viwapi--nirAkRta--candra--raSmi-arAtO
   Bhk_10.69-2 pṛthu-viṣama-śilā'ntarāla-saṃsthaṃ sa-jala-ghana-dyuti	Bhc-_10.69-2 pRTu--vizama-SilA-antarAla--saMsTam sa-jala--Gana-dyuti
   bhīta-vat sasāda.	BIta-vat sa-sAda.
   saṃsṛṣṭiḥŌ	saMsRzwiHŌ
   Bhk_10.70-1 atha nayana-mano-haro 'bhirāmaḥ smara iva citta-bhavo	Bhc-_10.70-1 aTa nayana--mano--haraH aBirAmaH smaraH iva citta-BavaH-
   'pya-vāma-śīlaḥ	api-a-vAma--SIlaH
   Bhk_10.70-2 raghu-sutamanujo jagāda vācaṃ	Bhc-_10.70-2 raGu--sutam-anujaH jagAda vAcam
   sa-jala-ghana-stanayitnu-tulya-ghoṣaḥŌ	sa-jala--Gana-stanayitnu--tulya--GozaHŌ
   āśīḥŌ	ASIHŌ
   Bhk_10.71-1 "pati-vadha-parilupta-lola-keśīr	Bhc-_10.71-1 "pati--vaDa--parilupta--lola-keSIr
   nayana-jalā'pahṛtā'ñjanauṣṭha-rāgāḥ	nayana--jalA-apahRtA-aQjana-ozWa--rAgAH
   Bhk_10.71-2 kuru ripu-vanitā, jahīhi śokaṃ, kva ca śaraṇaṃ jagatāṃ bhavān,	Bhc-_10.71-2 kuru ripu--vanitA, jahIhi SokaM, kva ca SaraNam jagatAm BavAn,
   kva mohaḥ	kva mohaH
   hetuḥŌ	hetuHŌ
   Bhk_10.72-1 adhigata-mahimā manuśya-loke vata sutarāmavasīdati pramādī,	Bhc-_10.72-1 aDigata--mahimA manuSya--loke vata sutarAm-avasIdati pramAdI,
   Bhk_10.72-2 gaja-patiruru-śaila-śṛṅga-varṣmā gururavamajjati paṅka-bhāṅ,	Bhc-_10.72-2 gaja-pati-H-uru--SEla--SRFga-varzmA guruH-avamajjati paFka-BAF,
   na dāru.	na dAru.
   nipuṇamŌ	nipuNamŌ
   Bhk_10.73-1 boddhavyaṃ kimiva hi, yat tvayā na buddhaṃ, kiṃ vā te	Bhc-_10.73-1 bodDavyam kim-iva hi, yat tvayA na budDaM, kim vA te
   nimiṣitamapya-buddhi-pūrvam,	nimizitam-api-a-budDi--pUrvam,
   Bhk_10.73-2 labdhā''tmā tava sukṛtairaniṣṭa-śaṅkī snehaugho ghaṭayati māṃ	Bhc-_10.73-2 labDA-aatmA tava sukRtEH-anizwa--SaFkI sneha-oGaH Gawayati mAm
   tathāpi vaktum."	taTA-api vaktum."
   Bhk_10.74-1 saumitreriti vacanaṃ niśamya rāmo jṛmbhā-vān bhuja-yugalaṃ	Bhk-_10.74-1 sOmitreH-iti vacanam niSamya rAmaH jRmBA-vAn Buja--yugalam
   vibhajya nidrān	viBajya nidrAn
   Bhk_10.74-2 adhyaṣṭhāc chiśayiṣayā pravāla-talpaṃ rakṣāyai	Bhc-_10.74-2 aDyazWAt SiSayizayA pravAla--talpam rakzAyE
   prati-diśamādiśan plavaṅgān.	prati-diSam-AdiSan plavaFgAn-.
   Bhk_11	Bhc-_11
   Bhk_11.1-1 athā 'stamāseduṣi manda-kāntau puṇya-kṣayeṇeva nidhau kalānām	Bhc-_11.1-1 aTAH asta-mAset-uzi manda-kAntO puNya-kzayeNa-iva niDO kalAnAm
   Bhk_11.1-2 samālalambe ripu-mitra-kalpaiḥ padmaiḥ prahāsaḥ kumudair	Bhk-_11.1-2 samAlalambe ripu--mitra-kalpEH padmEH prahAsaH kumudEH-
   viṣādaḥ	vizAdaH
   Bhk_11.2-1 dūraṃ samāruhya divaḥ patantaṃ bhṛgorivenduṃ vihitopakāram	Bhc-_11.2-1 dUram samAruhya divaH patantam BRgoH-iva-indum vihita-upakAram
   Bhk_11.2-2 baddhā 'nurāgo 'nupapāta tūrṇaṃ tārā-gaṇaḥ	Bhc-_11.2-2 badDA anurAgaH anupapAta tUrNam tArA--gaNaH
   saṃbhṛta-śubhra-kīrtiḥ.	saMBRta--SuBra--kIrtiH.
   Bhk_11.3-1 kva te kaṭākṣāḥ, kva vilāsavanti proktāni vā tāni mameti matvā	Bhk-_11.3-1 kva te kawAkzAH, kva vilAsavanti proktAni vA tAni mama-iti matvA
   Bhk_11.3-2 laṅkā'ṅganānāmavabodha-kāle lulāmanāruhya gato 'staminduḥ.	Bhc-_11.3-2 laFkA-aFganAnAm-avaboDa--kAle lulAmanAruhya gataH astam-induH.
   Bhk_11.4-1 mānena talpeṣva-yathā-mukhīnā mithyā-prasuptair gamita-triyāmāḥ	Bhc-_11.4-1 mAnena talpezu-a-yaTA--muKInAH miTyA--prasuptEH gamita--tri-yAmAH
   Bhk_11.4-2 strībhir niśā'tikrama-vihvalābhir dṛṣṭe 'pi doṣe patayo	Bhc-_11.4-2 strIBiH niSA-atikrama--vihvalABiH dRzwe api doze patayaH-
   'nunītāḥ.	anunItAH.
   Bhk_11.5-1 īrśyā-virugṇāḥ sthira-baddha-mūlā	Bhk-_11.5-1 IrSyA--virugNAH sTira--badDa--mUlA
   nirasta-niḥśeṣa-śubha-pratānāḥ	nirasta--niHSeza-SuBa--pratAnAH
   Bhk_11.5-2 āpyāyitā netra-jala-prasekaiḥ prema-drumāḥ saṃruruhuḥ priyāṇām.	Bhc-_11.5-2 ApyAyitAH netra--jala--prasekEH prema-drumAH saMruruhuH priyANAm-.
   Bhk_11.6-1 tataḥ samāśaṅkita-viprayogaḥ punar-navībhūta-raso 'vitṛṣṇaḥ	Bhc-_11.6-1 tatas samASaFkita--viprayogaH punar--navIBUta-rasaH avitRzNaH
   Bhk_11.6-2 smarasya santaṃ punarukta-bhāvaṃ nā ''vartamānasya viveda	Bhk-_11.6-2 smarasya santam punar-ukta-BAvam nA aavartamAnasya viveda
   lokaḥ.	lokaH.
   Bhk_11.7-1 vṛttau prakāśaṃ hṛdaye kṛtāyāṃ sukhena sarvendriya-saṃbhavena	Bhc-_11.7-1 vRttO prakASam hRdaye kRtAyAm suKena sarva-indriya--saMBavena
   Bhk_11.7-2 saṃkocamevā 'sahamānamasthā- da-śakta-vad vañcita-māni cakṣuḥ	Bhk-_11.7-2 saMkocam-evA asaham-Anam-asTA da-Sakta-vat vaQcita-mAni cakzuH
   Bhk_11.8-1 pīne bhaṭasyorasi vīkṣya bhugnāṃs tanu-tvacaḥ pāṇi-ruhān	Bhc-_11.8-1 pIne Bawasya-urasi vIkzya BugnAn tanu-tvacaH pANi-ruhAn
   su-madhyā	su--maDyA
   Bhk_11.8-2 icchā-vibhaṅgā''kula-mānasatvād bhartre nakhebhyaś ca ciraṃ	Bhc-_11.8-2 icCA--viBaFgA-aakula--mAnasa-tvAt Bartre naKeByaH ca ciram
   jujūre.	jujUre.
   Bhk_11.9-1 srastā'ṅga-ceṣṭo vinimīlitā'kṣaḥ	Bhc-_11.9-1 srastA-aFga-cezwaH vinimIlitA-akzaH
   svedā'mbu-romodgama-gamya-jīvaḥ	svedA-ambu--roma-udgama--gamya-jIvaH
   Bhk_11.9-2 a-śeṣa-naṣṭa-pratibhā-paṭutvo gāḍhopagūḍho dayitair jano 'bhūt.	Bhc-_11.9-2 a-Seza-nazwa--pratiBA--pawutvaH gAXa-upagUXaH dayitEH janaH aBUt-.
   Bhk_11.10-1 tamaḥ, prasuptaṃ maraṇaṃ, sukhaṃ nu, mūrcchā nu, māyā nu	Bhc-_11.10-1 tamaH, prasuptam maraNaM, suKam nu, mUrcCA nu, mAyA nu
   manobhavasya,	manoBavasya,
