   Bhikṣuṇā avalokitasiṃhena samudbhāvitaḥ	BhikzuNA avalokita siMhena samudBAvitaH
   naṣṭadharmasya sattvasya nāyaṃ loko na cāparaḥ // Dhs_10.44 //	nazwa Darmasya sattvasya na ayam lokaH na ca aparaH // DhH _10.44 //
   īryyāpathaṃ na jānāti na kālaṃ nāpi deśanām /	IryyApaTam na jAnAti na kAlam na api deSanAm /
   saddharmato viruddhaśca tucchaṃ kimapi bhāṣate // Dhs_10.45 //	sadDarmataH virudDaH ca tucCam kim api BAzate // DhH _10.45 //
   svayaṃ tāvanna jānāti kimidaṃ kathyate mayā /	svayam tAvat na jAnAti kim idam kaTyate mayA /
   vākpāruṣyaṃ kathaṃ cānyaṃ parijñāsyatyaśobhanam // Dhs_10.46 //	vAc pAruzyam kaTam ca anyam parijQAsyati aSoBanam // DhH _10.46 //
   lāghavaṃ yāti lokasya dharmācca parihīyate /	lAGavam yAti lokasya DarmAt ca parihIyate /
   nidhana puruṣairdṛṣṭaṃ madyajvalanasevanāt // Dhs_10.47 //	niDana puruzEH dRzwam madya jvalana sevanAt // DhH _10.47 //
   madyapānaṃ kutsāṃ sampādayati	madya pAnam kutsAm sampAdayati
   nāśo bhavatyatīte hi vartamāne suhṛjjane /	nASaH Bavati atIte hi vartamAne suhRd jane /
   anāgate kutsitānāṃ madyaṃ traikālyanāśakam // Dhs_10.48 //	anAgate kutsitAnAm madyam trEkAlya nASakam // DhH _10.48 //
   madyaṃ dharmapradūṣakameva	madyam Darma pradUzakam eva
   nāmarūpavināśāya cittanāśāya dehinām /	nAma rUpa vinASAya citta nASAya dehinAm /
   utpannadoṣajanakaṃ madyaṃ dharmapradūṣakam // Dhs_10.49 //	utpanna doza janakam madyam Darma pradUzakam // DhH _10.49 //
   madyavarjanaṃ dharmāya pānañca mṛtyurna bhavati	madya varjanam DarmAya pAnaQca mRtyuH na Bavati
   samāhitā dharmaśīlāḥ puruṣā madyavarjakāḥ /	samAhitAH Darma SIlAH puruzAH madya varjakAH /
   te yānti paramaṃ sthānaṃ yatra mṛtyurna vidyate // Dhs_10.50 //	te yAnti paramam sTAnam yatra mRtyuH na vidyate // DhH _10.50 //
   // iti madyajugupsāvargo daśamaḥ //	// iti mad yaju gupsA vargaH daSamaH //
   atha dvitīyam udānam	aTa dvitIyam udAnam
   (cittañca vāk tathā karma saṃyojanantu pāpakam /	(cit taQca vAc taTA karma saMyojanantu pApakam /
   narakapretatiryakkṣutkausīdyāni vidurdaśa // )	naraka preta tiryak kzuD kOsIdyAni viduH daSaH // )
   (11) cittavargaḥ	(11) citta vargaH
   cittaṃ rājavat pravartate	cittam rAja vat pravartate
   agādhaṃ viṣamaṃ tīvraṃ sarvasattvagataṃ mahat /	agADam vizamam tIvram sarva sattva gatam mahat /
   cittaṃ sarvasya jagato rājavat sampravartate // Dhs_11.1 //	cittam sarvasya jagataH rAja vat sampravartate // DhH _11.1 //
   cittadhāriṇastajjñāḥ paramāṃ gatiṃ prāpnuvanti	citta DAriNaH tad jQAH paramAm gatim prApnuvanti
   adṛśyaṃ samprati bhayaṃ karma nārakacañcalāḥ /	adRSyam samprati Bayam karma nAraka caQcalAH /
   ye cittadhāriṇastajjñāste gatāḥ paramāṃ gatim // Dhs_11.2 //	ye citta DAriNaH tad jQAH te gatAH paramAm gatim // DhH _11.2 //
   etannayati vyutthānametannayati durgatim /	etat nayati vyutTAnam etat nayati durgatim /
   tadevādyantamamalaṃ nirvāṇamadhigacchati // Dhs_11.3 //	tat eva Adi antam amalam nirvANam aDigacCati // DhH _11.3 //
   manaḥ pūrvamaṅgamā dharmā manaḥ śreṣṭhā manomayāḥ /	manaH pUrvam aFgamAH DarmAH manaH SrezWAH manaH mayAH /
   manasā suprasannena bhāṣate vā karoti vā // Dhs_11.4 //	manasA su prasannena BAzate vA karoti vA // DhH _11.4 //
   cittavaśagasya cittamanudhāvati	citta vaSagasya cittam anuDAvati
   yo na cittasya vaśagaścittaṃ tasyāntagaṃ sadā /	yaH na cittasya vaSagaH cittam tasya antagam sadA /
   sa nirṇāśayati kleśān tamaḥ sūryodayo yathā // Dhs_11.5 //	sa nirNASayati kleSAn tamaH sUrya udayaH yaTA // DhH _11.5 //
   cittadagdhāḥ nāśaṃ yānti	citta dagDAH nASam yAnti
   cittaṃ śatruḥ paraṃ śatrurna śatruraparaḥ smṛtaḥ /	cittam SatruH param SatruH na SatruH aparaH smRtaH /
   cittadagdhāḥ sadā sattvāḥ kāladagdhā yathā jaḍāḥ // Dhs_11.6 //	citta dagDAH sadA sattvAH kAla dagDAH yaTA jaxAH // DhH _11.6 //
   yaścittavaśamāpanno bālo mūḍho 'jitendriyaḥ /	yaH citta vaSam ApannaH bAlaH mUXaH ajita indriyaH /
   tena duḥkhe samo nāsti nirvāṇaṃ tasya dūrataḥ // Dhs_11.7 //	tena duHKe samaH na asti nirvANam tasya dUratas // DhH _11.7 //
   cittavaśagaḥ naraḥ narakamadhigacchati	citta vaSa gaH naraH narakam aDigacCati
   āvarjyaḥ śatruraparo na cittāni (nigūhate) /	AvarjyaH SatruH aparaH na cittAni (nigUhate) /
   eṣa badhnāti puruṣo nṛpateryamaśāsane // Dhs_11.8 //	eza baDnAti puruzaH nRpateryam aSAsane // DhH _11.8 //
   viṣayeṣu ratā nityaṃ na sa dharmaḥ kathañcana /	vizayezu ratAH nityam na sa DarmaH kaTaQcana /
   saddharmapathasammūḍho narakaṃ nayate mahat // Dhs_11.9 //	sadDarma paTa sammUXaH narakam nayate mahat // DhH _11.9 //
   durdamānāṃ paraṃ cittamanīnāmagniruttamaḥ /	durdamAnAm param cittam anInAm agniH uttamaH /
   durdāntaṃ śīghragantṛ ca narakaṃ nayate dhruvam // Dhs_11.10 //	durdAntam SIGragantR ca narakam nayate Druvam // DhH _11.10 //
   ye cittasya vaśaṃ yātā yātāste narakaṃ purā /	ye cittasya vaSam yAtA yAtAH te narakam purA /
   yaistu tad vāryate śīghraṃ na te duḥkhānugāminaḥ // Dhs_11.11 //	yEH tu tat vAryate SIGram na te duHKa anugAminaH // DhH _11.11 //
   cittānurūpaṃ sukhaṃ duḥkhañca bhavati	citta anurUpam suKam duHKaQca Bavati
   yathā yathā (nṛṇāṃ) cittaṃ pariṇāmastathā tathā /	yaTA yaTA (nRNAM) cittam pariNAmaH taTA taTA /
   kalpānāṃ śubhakarttuśca pāpakarttuśca pāpakam // Dhs_11.12 //	kalpAnAm SuBa karttuH ca pApakarttuH ca pApakam // DhH _11.12 //
   cittāyattaṃ bhavet karma karmāyattaṃ mano bhavet /	citta Ayattam Bavet karma karma Ayattam manaH Bavet /
   cittakarma samutthāya saṃsāraḥ parikīrtitaḥ // Dhs_11.13 //	citta karma samutTAya saMsAraH parikIrtitaH // DhH _11.13 //
   duṣṭena cetasā karma yaḥ karoti pumāniha /	duzwena cetasA karma yaH karoti pumAn iha /
   pacyate narake tena jālinyā sa viḍambitaḥ // Dhs_11.14 //	pacyate narake tena jAlinyA sa vixambitaH // DhH _11.14 //
   cittakarma evaṃ saṃsāraḥ	citta karmaH evam saMsAraH
   cittādhīnaṃ bhavet pāpaṃ saṃsāraḥ parikīrtitaḥ /	citta aDInam Bavet pApam saMsAraH parikIrtitaH /
   cittapratyayajaṃ hyetat hetupratyayasambhavam // Dhs_11.15 //	citta pratyaya jam hi etat hetu pratyaya samBavam // DhH _11.15 //
   cittena vañcitāḥ sattvā pāpasya vaśamāgatāḥ /	cittena vaQcitAH sattvAH pApasya vaSam AgatAH /
   gacchanti narakaṃ pāpāt kāraṇāgramahābhayā(t) // Dhs_11.16 //	gacCanti narakam pApAt kAraNa agra mahA Baya a(t) // DhH _11.16 //
   na bhavet cittavaśago 'pi tu dharmavaśo bhavet	na Bavet citta vaSa gaH api tu Darma vaSaH Bavet 
   na gacchet cittavaśatāṃ gacched dharmavaśe sadā /	na gacCet citta vaSa tAm gacCet Darma vaSe sadA /
   dharmacārī sukhī nityaṃ pāpacārī na śarmabhāk // Dhs_11.17 //	Darma cArI suKI nityam pApa cArI na Sarma BAj // DhH _11.17 //
   cittāyattaṃ sarva phalam	citta Ayattam sarva Palam
   cittāyattā kriyā sarvā cittāyattaṃ phalaṃ smṛtam /	citta AyattA kriyA sarvA citta Ayattam Palam smRtam /
   vicittaṃ hi phalaṃ cittaṃ tathā phalamadhismṛtam // Dhs_11.18 //	vicittam hi Palam cittam taTA Palam aDismRtam // DhH _11.18 //
   cittena cintitaṃ sarva lokaścittabhavānugaḥ /	cittena cintitam sarve lokaH citta Bava anugaH /
   na hi tad vidyate sthānaṃ yanna cittavaśānugam // Dhs_11.19 //	na hi tat vidyate sTAnam yat na citta vaSa anugam // DhH _11.19 //
   śubhasya nirvāṇasādhanatvam	SuBasya nirvANa sADana tvam
   mokṣa bandhanayormūlaṃ hetubhūtaṃ paraṃ matam /	mokza banDanayoH mUlam hetu BUtam param matam /
   śubhena mucyate janturaśubhenāśu badhyate // Dhs_11.20 //	SuBena mucyate jantuH aSuBena ASu baDyate // DhH _11.20 //
   cittavaśagāḥ kadāpi nirvāṇaṃ nādhigacchanti	citta vaSa gAH kadApi nirvANam na aDigacCanti
   jālinyā mohitāḥ sattvāścittasya vaśamāgatāḥ /	jAlinyAH mohitAH sattvAH cittasya vaSam AgatAH /
   nirvāṇaṃ nāpi gacchanti jātyandhā iva satpatham // Dhs_11.21 //	nirvANam na api gacCanti jAti anDAH iva sat paTam // DhH _11.21 //
   pañcendriyāṇi jitavān pāpaṃ bhuṅkte na karhicit /	paQca indriyANi jitavAn pApam BuFkte na karhicit /
   ekacittaṃ tathā karma kurute vividhe bhave // Dhs_11.22 //	ekacittam taTA karma kurute viviDe Bave // DhH _11.22 //
   pañcaraṅgojjvalaṃ cittaṃ yathā dṛśyaṃ praśasyate /	paQca raFga ujjvalam cittam yaTA dRSyam praSasyate /
   pañcendriyavicitraṃ hi tathā karma bhave bhavet // Dhs_11.23 //	paQca indriya vicitram hi taTA karma Bave Bavet // DhH _11.23 //
   cittakarttānekadhā bhavati	citta karttA anekaDA Bavati
   cittakartā hi puruṣo dṛśyairbhavati naikadhā /	citta kartA hi puruzaH dRSyEH Bavati na ekaDA /
   cittaṃ cittakaraṃ śūnyaṃ sarvathā naiva dṛśyate // Dhs_11.24 //	cittam citta karam SUnyam sarvaTA na eva dRSyate // DhH _11.24 //
   cittaṃ śobhanamaśobhanaṃ ca karma karoti	cittam SoBanam aSoBanam ca karma karoti
   śobhanāśobhanaṃ citraṃ yathā bhittiḥ kṛtistathā /	SoBanA SoBanam citram yaTA BittiH kRtiH taTA /
   śobhanāśobhanaṃ karma tathā cittaṃ karoti hi // Dhs_11.25 //	SoBanA SoBanam karma taTA cittam karoti hi // DhH _11.25 //
   cittānugaṃ karma	citta anugam karma
   divārātrau yathā cittaṃ sthitaṃ bhavati citragam /	divArAtrO yaTA cittam sTitam Bavati citra gam /
   divārātrau tathā karma bhave samanuvartate // Dhs_11.26 //	divArAtrO taTA karma Bave samanuvartate // DhH _11.26 //
   akṛtvā sukṛtaṃ karma cittavṛttyanugā narāḥ /	akRtvA sukRtam karma citta vRtti anugAH narAH /
   patanti vivaśāḥ pāpe cittāriparivañcitāḥ // Dhs_11.27 //	patanti vivaSAH pApe cittAri parivaQcitAH // DhH _11.27 //
   karmacittakaro hyeṣa yatra yatra niyujyate /	karma citta karaH hi eza yatra yatra niyujyate /
   caracittena mahatā taccittaṃ ca karotyayam // Dhs_11.28 //	cara cittena mahatA tat cittam ca karoti ayam // DhH _11.28 //
   pariṇāmaviśeṣeṇa yatra yatra niyokṣyate /	pariNAma viSezeNa yatra yatra niyokzyate /
   preṣyante tatra cittena tridhā tu gaticāriṇaḥ // Dhs_11.29 //	prezyante tatra cittena triDA tu gati cAriNaH // DhH _11.29 //
   cittasya damanaṃ sukhāvaham	cittasya damanam suKa Avaham
   cittādhināni vartante sarvakarmāṇi dehinām /	citta aDinAni vartante sarva karmANi dehinAm /
   tasmāccittaṃ sadā dāntaṃ nayate padamacyutam // Dhs_11.30 //	tasmAt cittam sadA dAntam nayate padam acyutam // DhH _11.30 //
   durviṣahyasya laghunā yatra yatra nipātinaḥ /	durvizahyasya laGunA yatra yatra nipAtinaH /
   cittasya damanaṃ sādhu cittaṃ dāntaṃ sukhāvaham // Dhs_11.31 //	cittasya damanam sADu cittam dAntam suKa Avaham // DhH _11.31 //
   yena cittaṃ sadā dāntaṃ tena doṣāḥ sadā jitāḥ /	yena cittam sadA dAntam tena dozAH sadA jitAH /
   jitadoṣasya dhīrasya duḥkhaṃ naiva prapadyate // Dhs_11.32 //	jita dozasya DIrasya duHKam na eva prapadyate // DhH _11.32 //
   cittasya laghuceṣṭitameva duḥkham	cittasya laGu cezwitam eva duHKam
   yacca svakaṃ bhaved duḥkhaṃ yacca duḥkhaṃ paratra ca /	yat ca svakam Bavet duHKam yat ca duHKam paratra ca /
   tat sarvamaviṣahyasya cittasya laghuceṣṭitam // Dhs_11.33 //	tat sarvam avizahyasya cittasya laGu cezwitam // DhH _11.33 //
   cittameva sarveṣāṃ prabhuḥ	cittam eva sarvezAm praBuH
   sasurāsuranāgānāṃ piśācoragarakṣasām /	sa sura asura nAgAnAm piSAca uraga rakzasAm /
   prabhurekaḥ paraṃ cittaṃ rājā(hi)tribhavasya tat // Dhs_11.34 //	praBuH ekaH param cittam rAjA a(hi) tri Bavasya tat // DhH _11.34 //
   cittabhrāntaduḥkhamaśnute	citta BrAnta duHKam aSnute
   cittaṃ nayati deveṣu cittañca narabhūmiṣu /	cittam nayati devezu cittaQca nara BUmizu /
   cittaṃ nayatyapāye(ṣu) cittaṃ bhrāmayati prajāḥ // Dhs_11.35 //	cittam nayati apAye(zu) cittam BrAmayati prajAH // DhH _11.35 //
   cittād bhrāntasya naṣṭasya viṣayairmohitasya ca /	cittAt BrAntasya nazwasya vizayEH mohitasya ca /
   tṛṣṇayā dahyamānasya sthitaṃ duḥkhamanuttamam // Dhs_11.36 //	tRzNayA dahyamAnasya sTitam duHKam anuttamam // DhH _11.36 //
   cittasya damanāt sukhānubhūtirbhavati	cittasya damanAt suKa anuBUtiH Bavati
   ekacāri sadāmūḍhaṃ durviṣahyaṃ mahābalam /	ekacAri sadAmUXam durvizahyam mahA balam /
   sampradāri sadādṛśyaṃ capalaṃ śīghragāminam // Dhs_11.37 //	sampradAri sadA adRSyam capalam SIGra gAminam // DhH _11.37 //
   evaṃ vidhaṃ hi ye cittaṃ damayanti manīṣiṇaḥ /	evam viDam hi ye cittam damayanti manIziNaH /
   te mārabandhanātītāḥ pāraṃ prāptāḥ sukhodayam // Dhs_11.38 //	te mAra banDana atItAH pAram prAptAH suKa udayam // DhH _11.38 //
   capalaṃ cittaṃ narakāyopakalpyate	capalam cittam narakAya upakalpyate
   saṅkalpakuṭilaṃ tīvramagādhaṃ capalaṃ hi tat /	saFkalpa kuwilam tIvram agADam capalam hi tat /
   cittaṃ tamaḥśritaṃ śubhraṃ narakāyopakalpyate // Dhs_11.39 //	cittam tamaH Sritam SuBram narakAya upakalpyate // DhH _11.39 //
   doṣanirmukto 'cyutaṃ padaṃ prāpnoti	doza nirmuktaH acyutam padam prApnoti
   tadevaṃ doṣanirmuktaṃ nendriyārthavaśānugam /	tat evam doza nirmuktam na indriya arTa vaSa anugam /
   aliptaṃ pāpakairdharmairnayate padamacyutam // Dhs_11.40 //	aliptam pApakEH DarmEH nayate padam acyutam // DhH _11.40 //
   śuddhaṃ cittaṃ śuddhe karmaṇi pravartate	SudDam cittam SudDe karmaNi pravartate
   hetupratyayajaṃ cittaṃ yogavāhi paraṃ ca tat /	hetu pratyaya jam cittam yogavAhi param ca tat /
   pariṇāmavaśācchīghraṃ tathā tat sampravartate // Dhs_11.41 //	pariNAma vaSAt SIGram taTA tat sampravartate // DhH _11.41 //
   cittānadhīnatve karma cañcalaṃ bhavati	citta an aDIna tve karma caQcalam Bavati
   ekaṃ karoti karmāṇi vividhāni calaṃ ca tat /	ekam karoti karmANi viviDAni calam ca tat /
   ekānekaṃ caraṃ sūkṣmaṃ kṣaṇādūrdhva na tiṣṭhati // Dhs_11.42 //	eka anekam caram sUkzmam kzaNAt UrDva na tizWati // DhH _11.42 //
   saṃsārasya māyopamatvapratipādanam	saMsArasya mAyA upama tva pratipAdanam
   durvijñeyaḥ sadā tasya niḥśarīrasya sarvadā /	durvijQeyaH sadA tasya niHSarIrasya sarvadA /
   ko 'sau nayati lokāntamatha kena ca gacchati // Dhs_11.43 //	kaH asO nayati loka antam aTa kena ca gacCati // DhH _11.43 //
   gataśca tiṣṭhati kutra śarīrakarmakārakam /	gataH ca tizWati kutra SarIra karma kArakam /
   dṛśyāni tasya karmāṇi sañcayo na ca dṛśyate // Dhs_11.44 //	dRSyAni tasya karmANi saQcayaH na ca dRSyate // DhH _11.44 //
   damanaṃ duṣkaraṃ tasya yasya bhūtirna vidyate /	damanam duzkaram tasya yasya BUtiH na vidyate /
   sarvasattvagataṃ ghoraṃ laghukāri ca cākṣuṣam // Dhs_11.45 //	sarva sattva gatam Goram laGu kAri ca cAkzuzam // DhH _11.45 //
   pāpāt pāpataraṃ dṛṣṭaṃ māyopamamidaṃ bhavet /	pApAt pApataram dRzwam mAyA upamam idam Bavet /
   puṇyāt puṇyataraṃ dṛṣṭaṃ samyagmārgasamāśritam // Dhs_11.46 //	puNyAt puNyataram dRzwam samyak mArga samASritam // DhH _11.46 //
   māyopamatvasamarthanam	mAyA upamatva samarTanam
   na gatirjñāyate tasya gamanaṃ naiva dṛśyate /	na gatiH jQAyate tasya gamanam na eva dRSyate /
   nīyate ca kṣataṃ sarva jātyuttarasamāni ca // Dhs_11.47 //	nIyate ca kzatam sarva jAti uttara samAni ca // DhH _11.47 //
   śastreṇa chidyate nedaṃ jvalanena ca dahayate /	SastreNa Cidyate na idam jvalanena ca dahayate /
   chidyate dahyate caiva janaḥ sarvamacakṣuṣā // Dhs_11.48 //	Cidyate dahyate ca eva janaH sarvam acakzuzA // DhH _11.48 //
   dṛḍhaṃ yat karmarajjvādi naraṃ badhnāti duḥkhitam /	dRXam yat karma rajju Adi naram baDnAti duHKitam /
   jātyantarasahastrāṇi nayate na ca dṛśyate // Dhs_11.49 //	jAti antara sahastrANi nayate na ca dRSyate // DhH _11.49 //
   dāntameva cittaṃ sukhāvaham	dAntam eva cittam suKa Avaham
   muhūrtena śubhaṃ bhūtaṃ muhūrtenāśubhaṃ ca tat /	muhUrtena SuBam BUtam muhUrtena aSuBam ca tat /
   śubhāśubhābhyāṃ racitaṃ(cittaṃ) dāntaṃ sukhāvaham // Dhs_11.50 //	SuBa aSuBAByAm racitaM(cittaM) dAntam suKa Avaham // DhH _11.50 //
   ṣaḍ bhirdvāraiḥ prasūteṣu viṣayeṣvatilolupam /	zaw BiH dvArEH prasUtezu vizayezu ati lolupam /
   cittaṃ nayati lokāntaṃ vyasanaṃ na ca budhyate // Dhs_11.51 //	cittam nayati loka antam vyasanam na ca buDyate // DhH _11.51 //
   viprasannacittasya śreyaskaratve 'nuttamaṃ sukhaṃ bhavati	viprasanna cittasya Sreyaskara tve anuttamam suKam Bavati
   viprasannaṃ yathā toyaṃ viprasannaṃ yathā nabhaḥ /	viprasannam yaTA toyam viprasannam yaTA naBaH /
   viprasannaṃ tathā cittaṃ nīyate sukhamuttamam // Dhs_11.52 //	viprasannam taTA cittam nIyate suKam uttamam // DhH _11.52 //
   janāḥ sātiśayā (dṛṣṭā) vitarkaviṣayodbhavāt /	janAH sa atiSayA (dRzwA) vitarka vizaya udBavAt /
   pauravāścittarājñaste bhavanti sahacāriṇaḥ // Dhs_11.53 //	pOravAH citta rAjQaH te Bavanti sahacAriNaH // DhH _11.53 //
   cañcalaṃ manaḥ saṃsāre gatiṃ kārayati	caQcalam manaH saMsAre gatim kArayati
   dhāvati yatra ca manastatra dhāvantyajñāninaḥ /	DAvati yatra ca manaH tatra DAvanti ajQAninaH /
   parasparabalānnī (tā) bhramanti tribhavārṇa(va)m // Dhs_11.54 //	paraspara bala annI (tA) Bramanti tri Bava arNa(va)m // DhH _11.54 //
   viśeṣacittenottamā gatirbhavati	viSeza cittena uttamA gatiH Bavati
   cittavaiśadya bhāvānāṃ viśeṣaḥ karmaṇāstathā /	citta vESadya BAvAnAm viSezaH karmaNAH taTA /
   na karmaguṇahīnasya viśeṣa upalabhyate // Dhs_11.55 //	na karma guNa hInasya viSezaH upalaByate // DhH _11.55 //
   susamāhitacittasya praśaṃsā	su samAhita cittasya praSaMsA
   susamāhitacittaḥ sa nityaṃ dharmānudarśakaḥ /	su samAhita cittaH sa nityam Darma anudarSakaH /
   na doṣavaśamāyāti yathā divyastamonudaḥ // Dhs_11.56 //	na doza vaSam AyAti yaTA divyaH tamonudaH // DhH _11.56 //
   gṛhasthasya samyagdṛṣṭitve nirvāṇaprāptirbhavati	gRhasTasya samyak dRzwi tve nirvANa prAptiH Bavati
   samyagdṛṣṭeścādhimātrā yasya cetasi vartate /	samyak dRzweH ca aDimAtrA yasya cetasi vartate /
   gṛhastho 'pi sa me jñeyo muktaḥ saṃsārabandhanāt // Dhs_11.57 //	gRhasTaH api sa me jQeyaH muktaH saMsAra banDanAt // DhH _11.57 //
   vijñā devalokaṃ gacchanti	vijQAH deva lokam gacCanti
   kalyāṇanirmalaṃ yacca tato doṣeṇa bādhyate /	kalyANa nirmalam yat ca tatas dozeNa bADyate /
   vijño (na) malamāpnoti devaloke sa jāyate // Dhs_11.58 //	vijQaH (na) malam Apnoti deva loke sa jAyate // DhH _11.58 //
   vinītacittāḥ sukhagāmino bhavanti	vinIta cittAH suKa gAminaH Bavanti
   viṣayadvāracapalaṃ nadīkuṭilagāminam /	vizaya dvAra capalam nadI kuwila gAminam /
   yairvinītamidaṃ cittaṃ te surāḥ śubhabhāginaḥ // Dhs_11.59 //	yEH vinItam idam cittam te surAH SuBa BAginaH // DhH _11.59 //
   adharmamārgaḥ kalyāṇāya na bhavati	aDarma mArgaH kalyANAya na Bavati
   adharmapathamāśritya janāḥ pāpavaśānugāḥ /	aDarma paTam ASritya janAH pApa vaSa anugAH /
   ciraṃ bhramanti saṃsāre cittena parikheditāḥ // Dhs_11.60 //	ciram Bramanti saMsAre cittena pariKeditAH // DhH _11.60 //
   cittaṃ kṣaṇe kṣaṇe parivartate	cittam kzaNe kzaNe parivartate
   kṣaṇe kṣaṇe cittamidaṃ naikaśaḥ parivartate /	kzaNe kzaNe cittam idam na ekaSas parivartate /
   laghusvabhāvacapalaṃ māyāgandharvasannibham // Dhs_11.61 //	laGu svaBAva capalam mAyA ganDarva sanniBam // DhH _11.61 //
   cañcalacitto baddho bhavati	caQcala cittaH badDaH Bavati
   tasya bandhanameveṣṭaṃ jñānavijñānasammatam /	tasya banDanam eva izwam jQAna vijQAna sammatam /
   dūravṛttirmahāvegaḥ paridhāvatyanekadhā // Dhs_11.62 //	dUra vRttiH mahA vegaH pariDAvati anekaDA // DhH _11.62 //
   dhṛtyā cittadhāriṇaḥ sukhamaśnute	DRtyA citta DAriNaH suKam aSnute
   hriyamāṇaṃ sadā cittamindriyārthe durāsadam /	hriyamANam sadA cittam indriya arTe durAsadam /
   sandhārayati yo dhṛtyā sa dhīraḥ pāragāmikaḥ // Dhs_11.63 //	sanDArayati yaH DRtyA sa DIraH pAragAmikaH // DhH _11.63 //
   dhṛtimajñānamohaṃ ca viṣayottānamānasam /	DRtim ajQAna moham ca vizaya uttAna mAnasam /
   sandhārayati yo dhīmān sa loke paṇḍito naraḥ // Dhs_11.64 //	sanDArayati yaH DImAn sa loke paNxitaH naraH // DhH _11.64 //
   śubhacittaṃ kāmāvarodhakaṃ bhavati	SuBa cittam kAma avaroDakam Bavati
   yo yathā kurute cittaṃ tathā kāmān sa paśyati /	yaH yaTA kurute cittam taTA kAmAn sa paSyati /
   śubhena kāmaśamanaṃ nāśubhena pravardhanam // Dhs_11.65 //	SuBena kAma Samanam na aSuBena pravarDanam // DhH _11.65 //
   apraśāntamatirduḥkhamāpnoti	apraSAnta matiH duHKam Apnoti
   śāntacittaṃmanāḥ kāmānasyatīha viṣāstravat /	SAnta cittaMmanAH kAmAnasyati iha viza astra vat /
   apraśāntamatiḥ sarpamaṇivat tān sa paśyati // Dhs_11.66 //	apraSAnta matiH sarpa maNi vat tAn sa paSyati // DhH _11.66 //
   cittavaśago na śubhāṃ gatimāpnoti	citta vaSagaH na SuBAm gatim Apnoti
   indriyāṇīndriyārthāśca cittādhīnā bhavantyamī /	indriyANi indriya arTAH ca citta aDInAH Bavanti amI /
   citta saṃśleṣayogena pariṇāmaḥ pravartate // Dhs_11.67 //	citta saMSleza yogena pariNAmaH pravartate // DhH _11.67 //
   dhīrapraśaṃsā	DIra praSaMsA
   tasyaiva vyavadhānena dhīraśca pratibudhyate /	tasya eva vyavaDAnena DIraH ca pratibuDyate /
   rūpasāmānyato dṛṣṭaṃ pariṇāmaḥ kathaṃ pṛthak // Dhs_11.68 //	rUpa sAmAnyatas dRzwam pariNAmaH kaTam pRTak // DhH _11.68 //
   cittasvarūpanirūpaṇam	citta svarUpa nirUpaNam
   yathā rūpaṃ tathā sarva viṣayāścittahetavaḥ /	yaTA rUpam taTA sarva vizayAH citta hetavaH /
   cittaṃ dāntaṃ sadā śāntaṃ doṣamiśravigarhitam // Dhs_11.69 //	cittam dAntam sadA SAntam doza miSra vigarhitam // DhH _11.69 //
   ekamekaṃ yathā śāli gandharūpe pṛthagvidhe /	ekam ekam yaTA SAli ganDa rUpe pRTagviDe /
   saṃśleṣo yāti nānātvaṃ tathācittaṃ pravartate // Dhs_11.70 //	saMSlezaH yAti nAnAtvam taTA acittam pravartate // DhH _11.70 //
   kriyāṃ hi tatra kurute yatra (cittaṃ) pradhāvati /	kriyAm hi tatra kurute yatra (cittaM) praDAvati /
   cittasaṃvāhanaṃ tadvākyaṃ loko 'yaṃ sampravartate // Dhs_11.71 //	citta saMvAhanam tat vAkyam lokaH ayam sampravartate // DhH _11.71 //
   viṣayād bhrāntamanasaś(cā)tivego mahābalaḥ /	vizayAt BrAnta manasa S(cA a)tivegaH mahA balaH /
   cittaṃ(śānta)karaṃ dāntaṃ śivaṃ bhavati dehinām // Dhs_11.72 //	cittaM(Sa anta)karam dAntam Sivam Bavati dehinAm // DhH _11.72 //
   dāntena cetasā tattvadarśanaṃ bhavati	dAntena cetasA tattva darSanam Bavati
   tenādāntena śīghreṇa sarvapāpavihāriṇā /	tena adAntena SIGreNa sarva pApa vihAriNA /
   bhrāmyate tribhavaḥ sarvaḥ na ca tattvaṃ sa paśyati // Dhs_11.73 //	BrAmyate tri BavaH sarvaH na ca tattvam sa paSyati // DhH _11.73 //
   samīraṇaraṇodbhrānto lokaḥ saṃsāre bhramati	samIraNa raNa udBrAntaH lokaH saMsAre Bramati
   samīraṇaraṇodbhrānto yathā bhramati sāgaraḥ /	samIraNa raNa udBrAntaH yaTA Bramati sAgaraH /
   citteśvarasamāyukto loko 'yaṃ bhrāmyate sadā // Dhs_11.74 //	citta ISvara samAyuktaH lokaH ayam BrAmyate sadA // DhH _11.74 //
   cittaṃ śubhaṃ sukhamedhīta	cittam SuBam suKam eDIta
   śubhopanītaṃ cittaṃ(hi) śubheṣvevāpanīyate /	SuBa upanItam cittaM(hi) SuBezu eva apanIyate /
   tathā śubhānucaritamaśnute teṣu dhāvati // Dhs_11.75 //	taTA SuBa anucaritam aSnute tezu DAvati // DhH _11.75 //
   yogavāhicittaṃ pratyayaṃ labhate	yogavAhi cittam pratyayam laBate
   yogavāhi nṛṇāṃ cittaṃ vāyvambusamameva ca /	yogavAhi nRNAm cittam vAyu ambu samam eva ca /
