   Pramāṇavārtikam	PramANa-vArtikam
   bhedaśca bhrāntavijñānairdṛ śyetendāvivādvaye /	BedaH-ca BrAnta-vijQAnEH-dR Syeta-indO=-iva-advaye /
   saṃvittiniyamo nāsti bhinnayornīlapītayoḥ // Pramāṇav_2.389 //	saMvitti-niyamaH na-asti BinnayoH-nIla-pItayoH // PramANa=-_2.389 //
   nārthāsaṃvedanaḥ kaścidanartha vāpi vedanam /	na-arTa-asaMvedanaH kaScid-anarTa vA-api vedanam /
   dṛṣṭaṃ saṃvedyamānaṃ tat tayornāsti vivekitā // Pramāṇav_2.390 //	dRzwam saMvedyamAnam tat tayoH-na-asti vivekitAH // PramANa=-_2.390 //
   tasmādarthasya durvāraṃ jñānakālāvabhāsinaḥ /	tasmAt-arTasya durvAram jQAna-kAla-avaBAsinaH /
   jñānadavyatirekitvam hetubhedānumā bhavet // Pramāṇav_2.391 //	jQAna-davyatireki-tvam hetu-Beda-anumA Bavet // PramANa=-_2.391 //
   abhāvādkṣabuddhīnāṃ satsvapyanyeṣu hetuṣu /	aBAvAt-kzabudDInAm satsu-api-anyezu hetuzu /
   niyamaṃ yadi na bru yāt pratyayāt samanantarāt // Pramāṇav_2.392 //	niyamam yadi na bru yAt pratyayAt samanantarAt // PramANa=-_2.392 //
   bījādaṅkurajanmāgnerdhūmāt siddhiritīdṛśī /	bIjAt-aFkura-janma-agneH-DUmAt sidDiH-iti-IdRSI /
   bahyārthāśrayiṇī yapi kārakajñāpakasthitiḥ // Pramāṇav_2.393 //	bahya-arTa-ASrayiNI yapi kAraka-jQApaka-sTitiH // PramANa=-_2.393 //
   sāpi tadru panirbhāsā tathā niyatasaṅgamāḥ /	sA-api tat-ru panirBAsA taTA niyata-saFgamAH /
   buddhīrāśritya kalpyeta yadi kiṃ vā virudhyate // Pramāṇav_2.394 //	budDIH-ASritya kalpyeta yadi kim vA viruDyate // PramANa=-_2.394 //
   anagnijanyo dhūmaḥ syāt tatkāryāt kāraṇe gatiḥ /	anagni-janyaH DUmaH syAt tad-kAryAt kAraNe gatiH /
   na syāt kāraṇatāyāṃ vā kuta ekāntato gatiḥ // Pramāṇav_2.395 //	na syAt kAraNa-tAyAm vA kutas ekAntataH gatiH // PramANav_2.395 //
   tatrāpi dhūmābhāsā dhīḥ prabodhapaṭuvāsanām /	tatra-api DUma-ABAsA DIH praboDa-pawu-vAsanAm /
   gamayedagninirbhāsāṃ dhiyameva na pāvakam // Pramāṇav_2.396 //	gamayet-agni-nirBAsAm Diyam-eva na pAvakam // PramANa=-_2.396 //
   tadyogyavāsanāgarbha eva dhūmāvabhāsinīm /	tad-yogya-vAsanA-garBaH eva DUma-avaBAsinIm /
   vyanakti cittasantāni dhiyaṃ dhūmo 'nitastataḥ // Pramāṇav_2.397 //	vyanakti citta-santAni Diyam DUmaH anitaH-tatas // PramANa=-_2.397 //
   astyeṣa viduṣāṃ vādo bāhyāṃ tvāśritya varṇyate /	asti-eza viduzAm vAdaH bAhyAm tu-ASritya varNyate /
   dvairūpyaṃ sahasaṃvittiniyamāt tacca sidhyati // Pramāṇav_2.398 //	dvErUpyam saha-saMvitti-niyamAt tat-ca siDyati // PramANav_2.398 //
   jñānamindriyabhedena paṭumandāvilādikām /	jQAnam-indriya-Bedena pawu-manda-Avila-AdikAm /
   pratibhāsabhidāmarthe bibhradekatra dṛśyate // Pramāṇav_2.399 //	pratiBAsa-BidAm-arTe biBrat-ekatra dRSyate // PramANa=-_2.399 //
   arthasyābhinnarūpatvādekarūpaṃ bhavenmanaḥ /	arTasya-aBinna-rUpa-tvAt-eka-rUpam Bavet-manaH /
   sarvai tadarthamarthāccet tasya nāsti tadābhatā // Pramāṇav_2.400 //	sarvE tad-arTam-arTAt-ced tasya na-asti tad-A-aBatA // PramANa=-_2.400 //
   arthāśrayeṇodbhavatastadrūpamanukurvataḥ /	arTa-ASrayeNa-udBavataH-tad-rUpam-anukurvataH /
   tasya kenacidaṃśena parato 'pi bhidā bhavet // Pramāṇav_2.401 //	tasya kenacid-aMSena paratas api BidA Bavet // PramANa=-_2.401 //
   tathā hyāśritya pitaraṃ tadrūpo 'pi sutaḥ pituḥ /	taTA hi-ASritya pitaram tad-rUpaH api sutaH pituH /
   bhedaṃ kenacidaṃśena kutaścidavalambate // Pramāṇav_2.402 //	Bedam kenacid-aMSena kutaScid-avalambate // PramANa=-_2.402 //
   mayūracandrakākāraṃ nīlalohitabhāsvaram /	mayUra-candraka-AkAram nIlalohita-BAsvaram /
   sampaśyanti pradīpādermaṇḍalaṃ mandacakṣuṣaḥ // Pramāṇav_2.403 //	sampaSyanti pradIpa-AdeH-maNxalam manda-cakzuzaH // PramANa=-_2.403 //
   tasya tadbāhyārūpatve kā prasannekṣaṇe 'kṣamā /	tasya tad-bAhya-arUpa-tve kA prasanna-IkzaNe akzamA /
   bhūtaṃ paśyaṃśca taddarśī kathaṃ copahatendriyaḥ // Pramāṇav_2.404 //	BUtam paSyan=-ca tad-darSI kaTam ca-upahata-indriyaH // PramANa=-_2.404 //
   śodhitaṃ timireṇāsya vyaktaṃ cakṣuratīndriyam /	SoDitam timireNa-asya vyaktam cakzuH-atIndriyam /
   paśyato 'nyākṣadṛśye 'rthe tadavyaktaṃ kathaṃ punaḥ // Pramāṇav_2.405 //	paSyataH anya-akza-dRSye arTe tat-avyaktam kaTam punar // PramANa=-_2.405 //
   ālokākṣamanaskārādanyasyaikasya gamyate /	Aloka-akzamanaskArAt-anyasya-ekasya gamyate /
   śaktirhetustato nānyo 'hetuśca viṣayaḥ katham // Pramāṇav_2.406 //	SaktiH-hetuH-tatas na-anyaH ahetuH-ca vizayaH kaTam // PramANa=-_2.406 //
   sa eva yadi dhīhetuḥ ki pradīpamapekṣate /	saH eva yadi DI-hetuH ki pradIpam-apekzate /
   dīpamātreṇa dhībhāvādubhayaṃ nāpi kāraṇam // Pramāṇav_2.407 //	dIpa-mAtreNa DI-BAvAt-uBayam na-api kAraNam // PramANa=-_2.407 //
   dūrāsannādibhedena vyaktāvyaktaṃ na yujyate /	dUra-Asanna-Adi-Bedena vyakta-avyaktam na yujyate /
   tat syādālokabhedāccet taptidhānāpidhānayoḥ // Pramāṇav_2.408 //	tat syAt-Aloka-BedAt-ced taptiDAna-apiDAnayoH // PramANa=-_2.408 //
   tulyā dṛṣṭiradṛṣṭirvā sūkṣmoṃ 'śastasya kaścan /	tulyA dRzwiH-adRzwiH-vA sUkzmom aSastasya kaScan /
   ālokana na mandena dṛśyate 'to bhidā yadi // Pramāṇav_2.409 //	Alokana na mandena dRSyate atas BidA yadi // PramANa=-_2.409 //
   ekatve 'rthasya bāhyasya dṛśyādṛśyabhidā kutaḥ /	eka-tve arTasya bAhyasya dRSya-adRSya-BidA kutas /
   anekatve 'ṇuśo bhinne dṛśyādṛśyābhidā kutaḥ // Pramāṇav_2.410 //	aneka-tve aNuSas Binne dRSya-adRSya-aBidA kutas // PramANa=-_2.410 //
   māndyapāṭavabhedena bhāso buddhabhidā yadi /	mAndya-pAwava-Bedena BAsaH budDa-BidA yadi /
   bhinne 'nyasminnabhinnasya kuto bhedena bhāsanam // Pramāṇav_2.411 //	Binne anyasmin=-aBinnasya kutas Bedena BAsanam // PramANa=-_2.411 //
   mandaṃ tadapi tejaḥ kimāvṛteriha sā na kim /	mandam tat-api tejaH kimAvRteH-iha sA na kim /
   tanutvaṃ tejaso 'pyetadastyanyatrāpyatānavam // Pramāṇav_2.412 //	tanu-tvam tejasaH api-etat-asti-anyatra-api-atAnavam // PramANa=-_2.412 //
   atyāsanne ca suvyaktaṃ tejastat syādtisfuṭam /	ati-Asanne ca su-vyaktam tejaH-tat syAt-ti-sfuwam /
   tatrāpyadṛṣṭamāśritya bhaved rūpāntaraṃ yadi // Pramāṇav_2.413 //	tatra-api-adRzwam-ASritya Bavet rUpa-antaram yadi // PramANa=-_2.413 //
   anyonyāvaraṇāt teṣāṃ syāt tejovihatistataḥ /	anyonya-AvaraNAt tezAm syAt tejaH-vihatiH-tatas /
   tatraikameva dṛśyet tasyānāvaraṇe sakṛt // Pramāṇav_2.414 //	tatra-ekam-eva dRSyet tasya-anAvaraNe sakRt // PramANa=-_2.414 //
   paśyet sfuṭāsfuṭaṃ rūpameko 'dṛṣṭena vāraṇe /	paSyet sfuwA-sfuwam rUpam-ekaH adRzwena vAraNe /
   arthānarthau na yena stastadadṛṣṭaṃ karoti kim // Pramāṇav_2.415 //	arTa-anarTO na yena staH-tat-adRzwam karoti kim // PramANa=-_2.415 //
   tasmāt saṃvid yathāhetu jāyamānārthasaṃśrayāt /	tasmAt saMvid yaTA-hetu jAyamAna-arTa-saMSrayAt /
   pratibhāsabhidāṃ dhatte śeṣāḥ kumatidurnayāḥ // Pramāṇav_2.416 //	pratiBAsa-BidAm Datte SezAH kumati-durnayAH // PramANa=-_2.416 //
   jñānaśabdapradīpānāṃ pratyakṣasyetarasya vā /	jQAna-Sabda-pradIpAnAm pratyakzasya-itarasya vA /
   janakatvena pūrveṣāṃ kṣaṇikānāṃ vināśataḥ // Pramāṇav_2.417 //	janakatvena pUrvezAm kzaNikAnAm vinASataH // PramANa=-_2.417 //
   vyaktiḥ kuto 'satā jñānādanyasyānupakāriṇaḥ /	vyaktiH kutas asatA jQAnAt-anyasya-anupakAriNaH /
   vyaktau vyajyeta sarvo 'rthastaddhetorniyamo yadi // Pramāṇav_2.418 //	vyaktO vyajyeta sarvaH arTaH-tad-hetoH-niyamaH yadi // PramANa=-_2.418 //
   naṣāpi kalpanā jñāne jñānaṃ tvarthāvabhāsataḥ /	naza-api kalpanA jQAne jQAnam tu-arTa-avaBAsataH /
   taṃ vyanaktīti kathyeta tadabhāve 'pi tatkṛtam // Pramāṇav_2.419 //	tam vyanakti-iti kaTyeta tad-aBAve api tad-kRtam // PramANa=-_2.419 //
   nākārayati cānyo 'rtho 'nupakārāt sahoditaḥ /	na-akArayati ca-anyaH arTaH anupakArAt saha-uditaH /
   vyakto 'nākārayan jñānaṃ svākāreṇa kathaṃ bhavet // Pramāṇav_2.420 //	vyaktaH anAkArayan jQAnam su-a-AkAreNa kaTam Bavet // PramANa=-_2.420 //
   vajropalādirapyarthaḥ sthiraḥ so 'nyānapekṣaṇāt /	vajra-upalAdiH-api-arTaH sTiraH saH anya-anapekzaNAt /
   sakṛt sarvasya janayejjñānāni jagataḥ samam // Pramāṇav_2.421 //	sakRt sarvasya janayet-jQAnAni jagataH samam // PramANa=-_2.421 //
   kramād bhavanti tānyasya sahakāryu pakāryataḥ /	kramAt Bavanti tAni-asya sahakAryu pakAryataH /
   āhuḥ pratikṣaṇaṃ bhedaṃ sa doṣo 'trāpi pūrvavat // Pramāṇav_2.422 //	AhuH pratikzaNam Bedam sa dozaH atra-api pUrvavat // PramANa=-_2.422 //
   saṃvedanasya tādātmye na vivādo 'sti kasyacit /	saMvedanasya tAdAtmye na vivAdaH asti kasyacid /
   tasyārtharūpatāsiddhā sāpi sidhyati saṃsmṛteḥ // Pramāṇav_2.423 //	tasya-arTa-rUpa-tA-sidDA sA-api siDyati saMsmRteH // PramANa=-_2.423 //
   bhedenānanubhūte 'sminnavibhakte svagocaraiḥ /	Bedena-ananuBUte asmin=-aviBakte sva-gocarEH /
   evametanna khalvevamiti sā syānna bhedinī // Pramāṇav_2.424 //	evam-etat-na Kalu-evam-iti sA syAt-na BedinI // PramANa=-_2.424 //
   na cānubhavamātreṇa kaścid bhedo vivecakaḥ /	na ca-anuBava-mAtreNa kaScid BedaH vivecakaH /
   vivekinī na cāspaṣṭabhede dhīryamalādivat // Pramāṇav_2.425 //	vivekinI na ca-aspazwa-Bede DIrI-a-mala-Adi-vat // PramANa=-_2.425 //
   dvairūpyasādhanenāpi prāyaḥ siddhaṃ svavedanam /	dvErUpya-sADanena-api prAyas sidDam sva-vedanam /
   svarūpabhūtābhāsasya tadā saṃvedanekṣaṇāt // Pramāṇav_2.426 //	sva-rUpa-BUta-ABAsasya tadA saMvedana-IkzaNAt // PramANa=-_2.426 //
   dhiyātadrū payā jñāne niruddhe 'nubhavaḥ katham /	DiyA-tad-rU payA jQAne nirudDe anuBavaH kaTam /
   svaṃ ca rūpaṃ na sā vettītyutsanno 'nubhavo 'khilaḥ // Pramāṇav_2.427 //	svam ca rUpam na sA vetti-iti-utsannaH anuBavaH aKilaH // PramANav_2.427 //
   bahirmu khaṃ ca tajjñānaṃ bhātyarthapratibhāsavat /	bahis-mu Kam ca tat-jQAnam BAti-arTa-pratiBAsa-vat /
   buddheśca grāhikā vittirnityamantarmukhātmani // Pramāṇav_2.428 //	budDeH-ca grAhikA vittiH-nityam-antar-muKa-Atmani // PramANa=-_2.428 //
   yo yasya viṣayābhāsastaṃ vetti na tadipyapi /	yaH yasya vizaya-ABAsaH-tam vetti na tat-ipi-api /
   prāptaṃ saṃvedanaṃ sarvasadṛśānāṃ parasparam /	prAptam saMvedanam sarva-sadRSAnAm parasparam /
   buddhiḥ sarūpā tadviccet nedānīṃ vit sarūpikā // Pramāṇav_2.430 //	budDiH sarUpA tat-vicced na-idAnIm vid sa-rUpikA // PramANa=-_2.430 //
   svayaṃ so 'nubhavastasyā na sa sārūpyakāraṇaḥ /	svayam saH anuBavaH-tasyAH na sa sArUpya-kAraNaH /
   kriyākarmavyavasthāyāstalloke syānnibandhanam // Pramāṇav_2.431 //	kriyA-karma-vyavasTAyAH-tat-loke syAt-nibanDanam // PramANa=-_2.431 //
   svabhāvabhūtatadru pasaṃvidāropaviplavāt /	svaBAva-BUta-tadru pasaMvidAra-upaviplavAt /
   nīladeranubhūtākhyā nānubhūteḥ parātmanaḥ // Pramāṇav_2.432 //	nIladeranuBUta-AKyA na-anuBUteH para-AtmanaH // PramANa=-_2.432 //
   dhiyo nīlādirūpatve bādyo 'rthaḥ kimpramāṇakaḥ /	DiyaH nIla-Adi-rUpa-tve bAdyaH arTaH kimpramANakaH /
   dhiyo 'nīlādirūpatve sa tasyānubhavaḥ katham // Pramāṇav_2.433 //	DiyaH anIla-Adi-rUpa-tve sa tasya-anuBavaH kaTam // PramANa=-_2.433 //
   yadā saṃvedanātmatvaṃ na sārūpyanibandhanam /	yadA saMvedana-Atma-tvam na sArUpya-nibanDanam /
   siddhaṃ tat svat evāsya kimarthenopanīyate // Pramāṇav_2.434 //	sidDam tat svat eva-asya kim-arTena-upanIyate // PramANa=-_2.434 //
   na ca sarvātmanā sāmyamajñānatvaprasaṅgataḥ /	na ca sarva-AtmanA sAmyam-ajQAna-tva-prasaFgataH /
   na ca kenacidaṃśena sarva sarvasya vedanam // Pramāṇav_2.435 //	na ca kenacid-aMSena sarva sarvasya vedanam // PramANa=-_2.435 //
   yathā nīlādirūpatvānnīlādyanubhavo mataḥ /	yaTA nIla-Adi-rUpa-tvAt-nIla-Adi-anuBavaH mataH /
   tathānubhavarūpatvāt tasyāpyanubhavo bhavet // Pramāṇav_2.436 //	taTA-anuBava-rUpa-tvAt tasya-api-anuBavaH Bavet // PramANa=-_2.436 //
   nānubhūto 'nubhava ityarthavaddhi viniścayaḥ /	na-anuBUtaH anuBavaH iti-arTavat-hi viniScayaH /
   tasmādadoṣa iti cet nārthe 'pyastyeṣa sarvadā // Pramāṇav_2.437 //	tasmAt-adozaH iti ced na-arTe api-asti-eza sarvadA // PramANa=-_2.437 //
   kasmād vānubhave nāsti sati sattānibandhane /	kasmAt vA-anuBave na-asti sati sattA-nibanDane /
   api cedaṃ yadābhāti dṛśyamāne sitādike // Pramāṇav_2.438 //	api ca-idam yat-ABAti dRSyamAne sitA-Adike // PramANa=-_2.438 //
   puṃ saḥ sitādyabhivyaktirūpaṃ saṃvedanaṃ sfuṭam /	pum saH sita-Adi-aBivyakti-rUpam saMvedanam sfuwam /
   tat ki sitādyabhivayakteḥ pararūpamathātmanaḥ // Pramāṇav_2.439 //	tat ki sita-Adi-aBivayakteH para-rUpam-aTa-AtmanaH // PramANa=-_2.439 //
   pararūpe 'prakāśāyāṃ vyaktau vyaktaṃ kathaṃ sitam /	para-rUpe aprakASAyAm vyaktO vyaktam kaTam sitam /
   jñānaṃ vyaktirna sā vyaktetyavyaktamakhilaṃ jagat // Pramāṇav_2.440 //	jQAnam vyaktiH-na sA vyakta-iti-avyaktam-aKilam jagat // PramANa=-_2.440 //
   vyaktervyaktyantaravyaktāvapi doṣaprasaṅgataḥ /	vyakteH-vyakti-antara-vyaktO=-api doza-prasaFgataH /
   dṛṣṭyā vājñātasambandhaṃ viśinaṣṭi tayā katham // Pramāṇav_2.441 //	dRzwyA vA-ajQAta-sambanDam viSinazwi tayA kaTam // PramANa=-_2.441 //
   yasmād dvayorekagatau na dvitīyasya darśanam /	yasmAt dvayoH-eka-gatO na dvitIyasya darSanam /
   dvayoḥ saṃsṛṣṭayordṛṣṭau syād dṛṣṭamiti niścayaḥ // Pramāṇav_2.442 //	dvayoH saMsRzwayoH-dRzwO syAt dRzwam-iti niScayaH // PramANa=-_2.442 //
   sarūpaṃ darśanaṃ yasya dṛśyate 'nyena cetasā /	sarUpam darSanam yasya dRSyate anyena cetasA /
   dṛṣṭākhyā tatra cet siddhaṃ sārūpyesya svavedanam // Pramāṇav_2.443 //	dRzwa-AKyA tatra ced sidDam sArUpyesya sva-vedanam // PramANa=-_2.443 //
   athātmarūpaṃ no vetti pararūpasya vit katham /	aTa-Atma-rUpam naH vetti para-rUpasya vid kaTam /
   sārūpyād vedanākhyā ca prāgeva prativarṇitā // Pramāṇav_2.444 //	sArUpyAt vedanA-AKyA ca prAk-eva prativarNitAH // PramANa=-_2.444 //
   dṛṣṭayoreva sārūpyagraho 'rtha ca na dṛṣṭavān /	dRzwayoH-eva sArUpya-grahaH arTa ca na dRzwavAn /
   prāk kathaṃ darśanenāsya sārūpyaṃ so 'dhyavasyati // Pramāṇav_2.445 //	prAk kaTam darSanena-asya sArUpyam saH aDyavasyati // PramANa=-_2.445 //
   sārūpyamapi necched yastasya nobhayadarśanam /	sArUpyam-api na-icCet yaH-tasya na-uBaya-darSanam /
   tadārtho jñānamiti ca jñāte ceti gatā kathā // Pramāṇav_2.446 //	tadA-arTaH jQAnam-iti ca jQAte ca-iti gatA kaTA // PramANa=-_2.446 //
   atha svarūpam sā tarhi svayameva prakāśate /	aTa svarUpam sA tarhi svayam-eva prakASate /
   yat tasyāmaprakāśāyāmarthaḥ syādaprakāśitaḥ // Pramāṇav_2.447 //	yat tasya-Am-aprakASAyAm-arTaH syAt-aprakASitaH // PramANa=-_2.447 //
   etenānātmavitpakṣe sarvārthādarśanena ye /	etena-anAtma-vid-pakze sarva-arTa-adarSanena ye /
   apratyakṣāṃ dhiyaṃ prāhuste 'pi nirvarṇitottarāḥ // Pramāṇav_2.448 //	apratyakzAm Diyam prAhuH-te api nirvarNita-uttarAH // PramANa=-_2.448 //
   āśrayālambanābhyāsabhedād bhinnapravṛttayaḥ /	ASraya-Alambana-aByAsa-BedAt Binna-pravRttayaH /
   sukhaduḥkhābhilāṣādibhedā buddhaya eva tāḥ // Pramāṇav_2.449 //	suKa-duHKa-aBilAza-Adi-BedAH budDayaH eva tAH // PramANa=-_2.449 //
   pratyakṣāḥ tadviviktaṃ ca nānyat kiñcidvibhāvyate /	pratyakzAH tad-viviktam ca na-anyat kiQcid-viBAvyate /
   yattajjñānaṃ paro 'pyetān bhuñjītānyena vid yadi // Pramāṇav_2.450 //	yat-tat-jQAnam paraH api-etAn BuQjIta-anyena vid yadi // PramANa=-_2.450 //
   tajjā tatpratibhāsā va yadi dhīrvetti nāparā /	tad-jA tad-pratiBAsA va yadi DIH-vetti na-aparA /
   ālambamānasyānyasyāpyastyavaśyamidaṃ dvayaṃ // Pramāṇav_2.451 //	AlambamAnasya-anyasya-api-asti-avaSyam-idam dvayam // PramANa=-_2.451 //
   atha notpadyate tasmānna ca tatpratibhāsinī /	aTa na-utpadyate tasmAt-na ca tad-pratiBAsinI /
   sā dhīrnirviṣayā prāptā sāmānyaṃ ca tadagrahe // Pramāṇav_2.452 //	sA DIH-nirvizayA prAptA sAmAnyam ca tad-agrahe // PramANa=-_2.452 //
   na gṛhyat iti proktam na ca tadvastu kiñcana /	na gRhyat iti proktam na ca tat-vastu kiQcana /
   tasmādarthāvabhāso 'sau nānyastasyā dhiyastataḥ // Pramāṇav_2.453 //	tasmAt-arTa-avaBAsaH asO na-anyaH-tasyAH DiyaH-tatas // PramANa=-_2.453 //
   siddhe pratyakṣabhāvātmavidau gṛhṇāti tān punaḥ /	sidDe pratyakza-BAva-Atma-vidO gRhNAti tAn punar /
   nādhyakṣamiti cedeṣa kuto bhedaḥ samārthayoḥ // Pramāṇav_2.454 //	na-aDyakzam-iti ced-eza kutas BedaH sama-arTayoH // PramANa=-_2.454 //
   adṛṣṭaikārthayogādeḥ saṃvido niyamo yadi /	adRzwa-eka-arTa-yoga-AdeH saMvidaH niyamaH yadi /
   sarvathānyo na gṛhṇīyāt saṃvidbhedo 'pyapoditaḥ // Pramāṇav_2.455 //	sarvaTA-anyaH na gRhNIyAt saMvid-BedaH api-apoditaH // PramANa=-_2.455 //
   yeṣāṃ ca yogino 'nyasya pratyakṣeṇa sukhādikam /	yezAm ca yoginaH anyasya pratyakzeNa suKa-Adikam /
   vidanti tulyānubhavāstadvat te 'pi syurāturāḥ // Pramāṇav_2.456 //	vidanti tulya-anuBavAH-tadvat te api syuH-AturAH // PramANa=-_2.456 //
   viṣayemdriyasampātābhāvāt teṣāṃ tadudbhavam /	vizayemdriya-sampAta-aBAvAt tezAm tad-udBavam /
   nodeti duḥkhamiti cet na vai duḥkhasamudbhavaḥ // Pramāṇav_2.457 //	na-udeti duHKam-iti ced na vE duHKa-samudBavaH // PramANa=-_2.457 //
   duḥkhasya vedanaṃ kintu duḥkhajñānasamudbhavaḥ /	duHKasya vedanam kintu duHKa-jQAna-samudBavaH /
   na hi duḥkhādyasaṃvedyaṃ pīḍānugrahakāraṇam // Pramāṇav_2.458 //	na hi duHKa-Adi-asaMvedyam pIxA-anugraha-kAraNam // PramANa=-_2.458 //
   bhāsamānaṃ svarūpeṇa pīḍā duḥkhaṃ svayaṃ yadā /	BAsamAnam svarUpeNa pIxA duHKam svayam yadA /
   na tadālambanaṃ jñānaṃ na tadaivaṃ prayujyate // Pramāṇav_2.459 //	na tad-Alambanam jQAnam na tadA-evam prayujyate // PramANa=-_2.459 //
   bhinne jñānasya sarvasya tenālambanavedane /	Binne jQAnasya sarvasya tena-Alambana-vedane /
   arthasārūpyamālamba ātmā vittiḥ svayaṃ sfuṭā // Pramāṇav_2.460 //	arTa-sArUpyam-AlambaH AtmA vittiH svayam sfuwAH // PramANa=-_2.460 //
   api cādhyakṣatābhāve dhiyaḥ syālliṅgato gatiḥ /	api ca-aDyakzata-aBAve DiyaH syAt-liFgataH gatiH /
   taccākṣamartho dhīḥ pūrvo manaskāro 'pi vā bhavet // Pramāṇav_2.461 //	tat-ca-akzam-arTaH DIH pUrvaH manaskAraH api vA Bavet // PramANa=-_2.461 //
   kāryakāraṇasāmagr yāmasyāṃ sambandhi nāparam /	kArya-kAraNa-sAmagr yAm-asyAm sambanDi na-aparam /
   sāmarthyādarśanāt tatra nendriyaṃ vyabhicārataḥ // Pramāṇav_2.462 //	sAmarTya-adarSanAt tatra na-indriyam vyaBicArataH // PramANa=-_2.462 //
   tathārtho dhīmanaskārau jñānaṃ tau ca na sidhyataḥ /	taTA-arTaH DImanaskArO jQAnam tO ca na siDyataH /
   nāprasiddhasya liṅgatvaṃ vyaktirarthasya cinmatā // Pramāṇav_2.463 //	na-aprasidDasya liFga-tvam vyaktiH-arTasya cit-matA // PramANa=-_2.463 //
   liṅgaṃ saiva nanu jñānaṃ vyakto 'rtho 'nena varṇitaḥ /	liFgam sA-eva nanu jQAnam vyaktaH arTaH anena varNitaH /
   vyaktāvananubhūtāyāṃ tadvyaktatvāviniścayāt // Pramāṇav_2.464 //	vyaktO=-ananuBUtAyAm tad-vyakta-tva-aviniScayAt // PramANa=-_2.464 //
   athārthasyaiva kaścit sa viśeṣo vyaktiriṣyate /	aTa-arTasya-eva kaScid sa viSezaH vyaktiH-izyate /
   nānutpādavyayavato viśeṣo 'rthasya kaścana // Pramāṇav_2.465 //	na-anutpAda-vyayavataH viSezaH arTasya kaScana // PramANa=-_2.465 //
   tadiṣṭau vā pratijñānaṃ kṣaṇabhaṅgaḥ prasajyate /	tat-izwO vA pratijQAnam kzaNa-BaFgaH prasajyate /
   sa ca jñāto 'tha vājñāto bhavejjñātasya liṅgatā // Pramāṇav_2.466 //	sa ca jQAtaH aTa vA-ajQAtaH Bavet-jQAtasya liFgatA // PramANa=-_2.466 //
   yadi jñāne 'paricchinne jñāto 'sāviti tat kutaḥ /	yadi jQAne aparicCinne jQAtaH asO=-iti tat kutas /
   jñātatvenāparicchinnamapi tad gamakaṃ katham // Pramāṇav_2.467 //	jQAta-tvena-aparicCinnam-api tat gamakam kaTam // PramANa=-_2.467 //
   adṛṣṭadṛṣṭayo 'nyena draṣṭrā dṛṣṭā na hi kvacit /	adRzwa-dRzwayaH anyena drazwrA dRzwA na hi kvacid /
   viśeṣaḥ so 'nyadṛṣṭāvapyastīti syāt svadhīgatiḥ // Pramāṇav_2.468 //	viSezaH saH anya-dRzwO=-api-asti-iti syAt svaDI-gatiH // PramANav_2.468 //
   tasmādanumitirbuddheḥ svadharmanirapekṣiṇaḥ /	tasmAt-anumitiH-budDeH svaDarma-nirapekziNaH /
   kevalānnārthadharmāt kaḥ svadharmaḥ svadhiyo 'paraḥ // Pramāṇav_2.469 //	kevalAt-na-arTa-DarmAt kaH svaDarmaH svaDiyaH aparaH // PramANa=-_2.469 //
   pratyakṣādhigato hetuḥ tulyāraṇajanmanaḥ /	pratyakza-aDigataH hetuH tulyAraNa-janmanaH /
   tasya bhedaḥ kuto buddhe rvyabhicāryanyajaśca saḥ // Pramāṇav_2.470 //	tasya BedaH kutas budDe rvI-aBicAryan-yajaH-ca saH // PramANa=-_2.470 //
   rūpādīn pañca viṣayānindriyāṇyupalambhanam /	rUpa-AdIn paQca vizayAn-indriyANi-upalamBanam /
   muktvā na kāryamaparaṃ tasyāḥ samupalabhyate // Pramāṇav_2.471 //	muktvA na kAryam-aparam tasyAH samupalaByate // PramANa=-_2.471 //
   tatrātyakṣaṃ dvayaṃ pañcasvartheṣveko 'pi nekṣyate /	tatra-atyakzam dvayam paQca-svarTezu-ekaH api na-Ikzyate /
   rūpadarśanato jāto yo 'nyathā vyastasambhavaḥ // Pramāṇav_2.472 //	rUpa-darSanataH jAtaH yaH anyaTA vyasta-samBavaH // PramANa=-_2.472 //
   yadevamapratītaṃ talliṅgamityatilaukikam /	yat-evam-apratItam tat-liFgam-iti-ati-lOkikam /
   vidyamāne 'pi liṅge tāṃ tena sārdhamapaśyataḥ // Pramāṇav_2.473 //	vidyamAne api liFge tAm tena sArDam-apaSyataH // PramANa=-_2.473 //
   kathaṃ pratītirliṅgaṃ hi nādṛṣṭasya prakāśakam /	kaTam pratItiH-liFgam hi na-adRzwasya prakASakam /
   tata evāsya liṅgāt prāk prasiddherupavarṇane // Pramāṇav_2.474 //	tatas eva-asya liFgAt prAk prasidDeH-upavarNane // PramANa=-_2.474 //
   dṛṣṭāntāntarasādhyatvaṃ tasyāpītyanavasthitiḥ /	dRzwAnta-antara-sADya-tvam tasya-api-iti-anavasTitiH /
   ityarthasya dhiyaḥ siddhiḥ nārthāt tasyāḥ kathañcana // Pramāṇav_2.475 //	iti-arTasya DiyaH sidDiH na-arTAt tasyAH kaTaQcanaH // PramANa=-_2.475 //
   tadaprasiddhāvarthasya svayamevāprasiddhitaḥ /	tad-aprasidDO=-arTasya svayam-eva-aprasidDitaH /
