   Sudhanakinnaryavadāna	SuDana-kinnarya-vadAna
   rājyāt bhraṃśaḥ śarīrād vā svapnasyāsya phalaṃ sphuṭam /	rAjyAt BraMSaH SarIrAt vA svapnasya-asya Palam sPuwam /
   śaṅkāvirahitaiḥ kāryaḥ pratīkāro 'tra bhūtaye // KAvk_64.172 //	SaFkA-virahitEH kAryaH pratIkAraH atra BUtaye // Ka-avc-_64.172 //
   puṣkariṇyāṃ kratukṣetre pūrṇāyāṃ paśuśoṇitaiḥ /	puzkariNyAm kratu-kzetre pUrNAyAm paSu-SoNitEH /
   snātas tvaṃ mārjito viprair bhūriratnasuvarṇadaḥ // KAvk_64.173 //	snAtaH tvam mArjitaH viprEH BUri-ratna-suvarNa-daH // Ka-avc-_64.173 //
   kinnarīmedasā vahniṃ hutvā kuśalam āpsyasi /	kinnarI-medasA vahnim hutvA kuSalam Apsyasi /
   antaḥpure snuṣā te 'sti kinnarī na tu durlabhā // KAvk_64.174 //	antaHpure snuzA te asti kinnarI na tu durlaBA // Ka-avc-_64.174 //
   iti tasya vacaḥ śrutvā krūraṃ pātakakūṇitaḥ /	iti tasya vacaH SrutvA krUram pAtaka-kUNitaH /
   nṛśaṃsavṛttasaṃtrastas tam abhāṣata bhūpatiḥ // KAvk_64.175 //	nRSaMsa-vRtta-saMtrastaH tam aBAzata BUpatiH // Ka-avc-_64.175 //
   nijajīvitarakṣāyai kathaṃ strīvadham utsahe /	nija-jIvita-rakzAyE kaTam strI-vaDam utsahe /
   kinnarīvirahe 'vaśyaṃ na ca jīvati me sutaḥ // KAvk_64.176 //	kinnarI-virahe avaSyam na ca jIvati me sutaH // Ka-avc-_64.176 //
   iti bhūmibhujā tasya pratyākhyāte samīhite /	iti BUmiBujA tasya pratyAKyAte samIhite /
   taṃ pāpābhiniveśena punaḥ prāha purohitaḥ // KAvk_64.177 //	tam pApa-aBiniveSena punar prAha purohitaH // Ka-avc-_64.177 //
   aho rājan na jānīṣe dhīmān api janasthitim /	aho rAjan na jAnIze DImAn api jana-sTitim /
   trivargasādhanaṃ tyājyam na rājyaṃ na ca jīvitaṃ // KAvk_64.178 //	trivarga-sADanam tyAjyam na rAjyam na ca jIvitam // Ka-avc-_64.178 //
   arthā iva svajanamitrakalatraputrā naṣṭāḥ sthitasya puruṣasya punar	arTAH iva sva-jana-mitra-kalatra-putrAH nazwAH sTitasya puruzasya punar-
   bhavanti /	Bavanti /
   ucchvāsamātravirahe gatajīvitasya tatkālasaṃnihitam apy asad eva sarvam //	ucCvAsa-mAtra-virahe gata-jIvitasya tad-kAla-saMnihitam api asat eva sarvam //
   KAvk_64.179 //	KAvc-_64.179 //
   tyajyante jīvitasyārthe nijadeśapriyātmajāḥ /	tyajyante jIvitasya-arTe nija-deSa-priya-AtmajAH /
   jīvitād aparaṃ rājañ jīvaloke 'sti na priyam // KAvk_64.180 //	jIvitAt aparam rAjan jIva-loke asti na priyam // Ka-avc-_64.180 //
   iti jīvitalobhāya tena nānānidarśanaiḥ śanaiḥ /	iti jIvita-loBAya tena nAnA-nidarSanEH SanEs /
   pratāritaḥ pāpaṃ rājā yuktam amanyata // KAvk_64.181 //	pratAritaH pApam rAjA yuktam amanyata // Ka-avc-_64.181 //
   tataḥ susambhṛtārambhe pravṛtte yajñakarmaṇi /	tatas su-samBRta-AramBe pravRtte yajQa-karmaNi /
   kṛtāyāṃ puṣkariṇyāṃ ca pūrṇāyāṃ paśuśoṇitaiḥ // KAvk_64.182 //	kRtAyAm puzkariNyAm ca pUrNAyAm paSu-SoNitEH // KAvc-_64.182 //
   rājñā kathitavṛttāntā nijapatnī svayaṃ rahaḥ /	rAjQA kaTita-vRttAntA nija-patnI svayam rahaH /
   putrapravāsaśokārtā pāpatrastā vyacintayat // KAvk_64.183 //	putra-pravAsa-Soka-ArtA pApa-trastAH vyacintayat // Ka-avc-_64.183 //
   aho mūrkhataro rājā mohāndhena purodhasā /	aho mUrKataraH rAjA moha-anDena puroDasA /
   snuṣāvadhavidhāne 'smin preritaḥ pṛthupātake // KAvk_64.184 //	snuzA-vaDa-viDAne asmin preritaH pRTu-pAtake // Ka-avc-_64.184 //
   yatnair aparihārye 'pi nibaddhe nidhanāvadhau /	yatnEH aparihArye api nibadDe niDana-avaDO /
   paraprāṇāpahāreṇa mūḍhā vāñchanti jīvitam // KAvk_64.185 //	para-prANa-apahAreNa mUXAH vAQCanti jIvitam // Ka-avc-_64.185 //
   yadi jīvitalubdhena mugdhā mṛgavadhūr iva /	yadi jIvita-lubDena mugDA mRgavaDUH iva /
   snuṣāpi hanyate rājñā tat kiṃ vakṣyāmy ahaṃ sutam // KAvk_64.186 //	snuzA-api hanyate rAjQA tat kim vakzyAmi aham sutam // Ka-avc-_64.186 //
   mātas tvayeyaṃ vātsalyāt pālyā mama manoharā /	mAtar tvayA-iyam vAtsalyAt pAlyAH mama manoharA /
   ity uktvā sudhanaḥ sūnur gato nikṣipya me vadhūm // KAvk_64.187 //	iti uktvA su-DanaH sUnuH gataH nikzipya me vaDUm // Ka-avc-_64.187 //
   tasmāc cūḍāmaṇim mattaḥ prāpya vyomnā prayātu sā /	tasmAt cUxAmaNim mattaH prApya vyomnA prayAtu sA /
   bhaviṣyati tayā patyur jīvantyā saṃgamaḥ punaḥ // KAvk_64.188 //	Bavizyati tayA patyuH jIvantyA saMgamaH punar // Ka-avc-_64.188 //
   iti saṃcintya sā gatvā sāśrunetrā snuṣāntikam /	iti saMcintya sA gatvA sa-aSru-netrA snuzA-antikam /
   rājavṛttaṃ nivedyāsyai sotkampā punar abravīt // KAvk_64.189 //	rAja-vRttam nivedya-asyE sa-utkampA punar abravIt // Ka-avc-_64.189 //
   vatse cūḍāmaṇiṃ baddhvā gaccha tūrṇaṃ vihāyasā /	vatse cUxAmaNim badDvA gacCa tUrNam vihAyasA /
   nṛpaḥ pāpapravṛtto 'yaṃ na sadācāram īkṣate // KAvk_64.190 //	nRpaH pApa-pravRttaH ayam na sat-AcAram Ikzate // Ka-avc-_64.190 //
   yajñabhūmiṃ tvayā gatvā gantavyaṃ vyomavartmanā /	yajQa-BUmim tvayA gatvA gantavyam vyoma-vartmanA /
   anyathā tvām asau vetti gūḍhanyastāṃ mayā kva cit // KAvk_64.191 //	anyaTA tvAm asO vetti gUXa-nyastAm mayA kva cit // Ka-avc-_64.191 //
   iti bhartṛpravāsārtā vacaḥ śrutvā manoharā /	iti BartR-pravAsa-ArtA vacaH SrutvA manoharA /
   tatsaṃgamāya rakṣantī yatnāt priyataraṃ vapuḥ // KAvk_64.192 //	tad-saMgamAya rakzantI yatnAt priyataram vapuH // Ka-avc-_64.192 //
   śvaśrvā dattaṃ samādāya baddhvā mūrdhni śikhāmaṇim /	SvaSrvA dattam samAdAya badDvA mUrDni SiKAmaNim /
   nṛpāhūtā kratukṣetraṃ gatvā vyoma vyagāhata // KAvk_64.193 //	nRpa-AhUtA kratu-kzetram gatvA vyoma vyagAhata // Ka-avc-_64.193 //
   rājan naitat tava samucitaṃ yat priyasyāpi sūnor	rAjan na-etat tava samucitam yat priyasya-api sUnoH-
   vadhyā patnī nijapadam iyaṃ svasti tubhyaṃ gatāham /	vaDyA patnI nija-padam iyam svasti tuByam gatA-aham /
   rakṣyaś cāsau pratihatadhṛtir madviyoge kumāras	rakzyaH ca-asO pratihata-DRtiH mad-viyoge kumAras
   tatrety uktvā tanutaratadidvibhramaiḥ sā jagāma // KAvk_64.194 // /	tatra-iti uktvA tanutara-ta-didvi-BramEH sA jagAma // Ka-avc-_64.194 // /
   tasyāṃ gatāyāṃ nṛpatir yajñavighnena śaṅkitaḥ	tasyAm gatAyAm nRpatiH yajQa-viGnena SaFkitaH
   purohitas tam avadad deva mā saṃśayaṃ kṛthāḥ // KAvk_64.195 //	purohitaH tam avadat deva mA saMSayam kRTAH // Ka-avc-_64.195 //
   mantrair mayā samākṛṣṭaḥ krūrākhyo brahmarākṣasaḥ /	mantrEH mayA samAkRzwaH krUra-AKyaH brahmarAkzasaH /
   nirvighnas te kratuḥ siddhaḥ sā hatā tena kinnarī // KAvk_64.196 //	nirviGnaH te kratuH sidDaH sA hatA tena kinnarI // Ka-avc-_64.196 //
   iti mithyāvacas tasya rājā satyam amanyata /	iti miTyA-vacaH tasya rAjA satyam amanyata /
   nartyante kuṭilair mugdhā yantraputrakalīlayā // KAvk_64.197 //	nartyante kuwilEH mugDA yantra-putra-ka-lIlayA // Ka-avc-_64.197 //
   pitur bhavanam abhyetya kīrṇaharṣā manoharā /	pituH Bavanam aByetya kIrNa-harzAH manoharAH /
   nyavedayat svavṛttāntaṃ vahantī vallabhaṃ hṛdi // KAvk_64.198 //	nyavedayat sva-vRttAntam vahantI vallaBam hRdi // Ka-avc-_64.198 //
   sā pituḥ śāsanān martyasaṅgasaurabhaśāntaye /	sA pituH SAsanAt martya-saFga-sOraBa-SAntaye /
   hemakumbhaśataiḥ snānaṃ pañcabhiḥ pratyahaṃ vyadhāt // KAvk_64.199 //	hema-kumBa-SatEH snAnam paQcaBiH pratyaham vyaDAt // Ka-avc-_64.199 //
   martyāmodaḥ pratanutāṃ kṣālitāyāḥ śanair yayau /	martya-AmodaH pratanu-tAm kzAlitAyAH SanEs yayO /
   sudhanasnehasaṃyogī na tu rāgo mṛgīdṛśaḥ // KAvk_64.200 //	suDana-sneha-saMyogI na tu rAgaH mRgI-dRSaH // Ka-avc-_64.200 //
   divyodyānopabhogeṣu na sā nirvṛtim āyayau /	divya-udyAna-upaBogezu na sA nirvRtim AyayO /
   anyatra baddharāgāṇāṃ ratir nānyatra dehinām // KAvk_64.201 //	anyatra badDarAgANAm ratiH na-anyatra dehinAm // KAvc-_64.201 //
   sā kāntavirahaklāntā kadā cid vyomagāminī /	sA kAnta-viraha-klAntA kadA cit vyoma-gAminI /
   tāṃ nāgabhavanopāntavanāntavasudhāṃ yayau // KAvk_64.202 //	tAm nAga-Bavana-upAnta-vana-anta-vasuDAm yayO // Ka-avc-_64.202 //
   tatrāśramasthalīsaktaṃ maharṣiṃ valkalayanam /	tatra-ASrama-sTalI-saktam mahA-Rzim valkalayanam /
   avadat sā samabhyetya praṇāmavinamanmukhī // KAvk_64.203 //	avadat sA samaByetya praNAma-vinamat-muKI // KAvc-_64.203 //
   lubdhakasyopadiśatā bhavatā mama bandhanam /	lubDakasya-upadiSatA BavatA mama banDanam /
   tvam eva brūhi bhagavan yadi yuktam idaṃ kṛtam // KAvk_64.204 //	tvam eva brUhi Bagavan yadi yuktam idam kRtam // Ka-avc-_64.204 //
   iti tasyā vacaḥ śrutvā kiṃcillajjānatānanaḥ /	iti tasyAH vacaH SrutvA kiMcid-lat-jAnata-AnanaH /
   tām uvāca munir mugdhe tavaiṣā bhavitavyatā // KAvk_64.205 //	tAm uvAca muniH mugDe tava-ezA Bavitavya-tA // Ka-avc-_64.205 //
   amoghapāśas tasyāstīty ajñātvā kathitaṃ mayā /	amoGa-pASaH tasya-asti-iti ajQAtvA kaTitam mayA /
   upalabhya kathāṃ dhūrtas tvāṃ babandha sa lubdhakaḥ // KAvk_64.206 //	upalaBya kaTAm DUrtaH tvAm babanDa sa lubDakaH // Ka-avc-_64.206 //
   duṣṭātmanāṃ na jānīmaḥ kauṭilyaṃ krūracetasām /	duzwa-AtmanAm na jAnImaH kOwilyam krUra-cetasAm /
   satyapravādamukharāḥ svabhāvasaralā vayam // KAvk_64.207 //	satya-pravAda-muKarAH svaBAva-saralAH vayam // Ka-avc-_64.207 //
   ity uktā muninā tanvī praṇayāt tam abhāṣata /	iti uktA muninA tanvI praNayAt tam aBAzata /
   bhagavan kṣamyatām etad bālāvacanacāpalam // KAvk_64.208 //	Bagavan kzamyatAm etat bAlA-vacana-cApalam // Ka-avc-_64.208 //
   idaṃ tu bhavatām agre yan mayā kiṃ cid ucyate /	idam tu BavatAm agre yat mayA kim cit ucyate /
   lalanāsulabhaḥ so 'yaṃ sadācāravyatikramaḥ // KAvk_64.209 //	lalanA-sulaBaH saH ayam sat-AcAra-vyatikramaH // Ka-avc-_64.209 //
   kathātithitvam āyānti cāpale guravo 'pi yat /	kaTA-atiTi-tvam AyAnti cApale guravaH api yat /
   sā viyogāgnitāpasya jvālāyogāsahiṣṇutā // KAvk_64.210 //	sA viyoga-agni-tApasya jvAlA-yoga-asahizNu-tA // Ka-avc-_64.210 //
   duḥkhoddharaṇasaṃnaddhāḥ saṃtaptānāṃ dayālavaḥ /	duHKa-udDaraNa-saMnadDAH saMtaptAnAm dayA-lavaH /
   kāryāntaraṅgāḥ prāyeṇa bhavanty anuciteṣv api // KAvk_64.211 //	kArya-antaraFgAH prAyeNa Bavanti anucitezu api // Ka-avc-_64.211 //
   pāśabandhād vimuktāhaṃ lubdhakena pralāpinī /	pASa-banDAt vimuktA-aham lubDakena pralApinI /
   nibaddhā rājaputreṇa snehapāśena hāriṇā // KAvk_64.212 //	nibadDA rAja-putreNa sneha-pASena hAriNA // Ka-avc-_64.212 //
   subhagaḥ sudhanākhyo 'sau madviyogānalākulaḥ /	suBagaH suDana-AKyaH asO mad-viyoga-anala-AkulaH /
   amunā yadi mārgeṇa sameṣyati tavāntikam // KAvk_64.213 //	amunA yadi mArgeNa samezyati tava-antikam // Ka-avc-_64.213 //
   tad idaṃ bhavatā vācyaṃ kāruṇyād vacasā mama /	tat idam BavatA vAcyam kAruNyAt vacasA mama /
   sthitā tvadvirahāyāsaniḥsukhāhaṃ gṛhe pituḥ // KAvk_64.214 //	sTitA tvad-viraha-AyAsa-niHsuKa-aham gRhe pituH // KAvc-_64.214 //
   utkaṇṭhām anukampāṃ vā sahajāṃ vā kṛtajñatām /	utkaNWAm anukampAm vA sahajAm vA kRtajQa-tAm /
   dākṣiṇyaṃ vā puraskṛtya tūrṇam āgamyatām itaḥ // KAvk_64.215 //	dAkziNyam vA puraskRtya tUrNam AgamyatAm itas // Ka-avc-_64.215 //
   durgamaḥ kinnarapure mārgaḥ kleśaśatāśrayaḥ /	durgamaH kinnara-pure mArgaH kleSa-Sata-ASrayaH /
   abhūmir eva martyānām alpavīryabalaujasām // KAvk_64.216 //	aBUmiH eva martyAnAm alpa-vIrya-bala-ojasAm // KAvc-_64.216 //
   dīptā tapovanānte 'smin sudhā nāma mahauṣadhiḥ /	dIptA tapaH-vana-ante asmin suDA nAma mahOzaDiH /
   dṛśyate haviṣā paktvā pātavyā sā svayaṃ tvayā // KAvk_64.217 //	dRSyate havizA paktvA pAtavyA sA svayam tvayA // Ka-avc-_64.217 //
   tatprabhāvāt samuttīrya kleśaṃ sattvasahāyavān /	tad-praBAvAt samuttIrya kleSam sattva-sahAyavAn /
   kailāsahāsaśubhreṇa pathā matpuram eṣyasi // KAvk_64.218 //	kElAsa-hAsa-SuBreNa paTA mad-puram ezyasi // Ka-avc-_64.218 //
   idaṃ ca tasmai dātavyam madabhijñāṅgulīyakam /	idam ca tasmE dAtavyam mad-aBijQA-aFgulIyakam /
   ity uktvā viṣamaṃ vartma kathayitvā krameṇa sā // KAvk_64.219 //	iti uktvA vizamam vartma kaTayitvA krameNa sA // Ka-avc-_64.219 //
   vighnapratikriyopāyān saṃdiśyāścaryayuktibhiḥ /	viGna-pratikriyA-upAyAn saMdiSya-AScarya-yuktiBiH /
   āśābandhadhṛtaprāṇā yayau dattvāṅgulīyakam // KAvk_64.220 //	ASAbanDa-DRta-prANAH yayO dattvA-aFgulIyakam // Ka-avc-_64.220 //
   tayā kathitam ākarṇya dūrādhvataraṇādbhutam /	tayA kaTitam AkarNya dUra-aDvataraNa-adButam /
   aṅgulīyakam ādāya tad evācintayan muniḥ // KAvk_64.221 //	aFgulIyakam AdAya tat eva-acintayan muniH // Ka-avc-_64.221 //
   atrāntare rājasūnur jitvā meghaṃ mahīpatim /	atra-antare rAja-sUnuH jitvA meGam mahIpatim /
   āyayau kośam ādāya dayitādarśanotsukaḥ // KAvk_64.222 //	AyayO koSam AdAya dayitA-darSana-utsukaH // Ka-avc-_64.222 //
   sa viveśa svanagarīṃ sāmantacchattramaṇḍalaiḥ /	sa viveSa sva-nagarIm sAmanta=-Cattra-maNxalEH /
   phullaphenasmitasyābdheḥ kurvāṇaḥ saṃnibhaṃ nabhaḥ // KAvk_64.223 //	Pulla-Pena-smitasya-abDeH kurvANaH saMniBam naBaH // Ka-avc-_64.223 //
   snuṣāvaiśasavṛttāntakathanakleśakampitam /	snuzA-vESasa-vRttAnta-kaTana-kleSa-kampitam /
   athāntaḥpuram abhyetya janakaṃ praṇanāma saḥ // KAvk_64.224 //	aTa-antaHpuram aByetya janakam praNanAma saH // Ka-avc-_64.224 //
   adhomukhākhilajanaṃ śokaśalyahatotsavam /	aDas-muKa-aKila-janam Soka-Salya-hata-utsavam /
   pitur antaḥpuraṃ dṛṣṭvā sa vipriyam aśaṅkata // KAvk_64.225 //	pituH antaHpuram dRzwvA sa vipriyam aSaFkata // Ka-avc-_64.225 //
   api jīvati sā tanvī virahārtā manoharā /	api jIvati sA tanvI viraha-ArtA manoharA /
   iti bruvāṇaṃ na yadā tam ūce kaś cid apriyam // KAvk_64.226 //	iti bruvANam na yadA tam Uce kaH cit apriyam // Ka-avc-_64.226 //
   tadā jagāda jananī putra jīvati te priyā /	tadA jagAda jananI putra jIvati te priyA /
   gatā cūḍāmaṇiṃ prāpya kiṃ tu jīvitasaṃśaye // KAvk_64.227 //	gatA cUxAmaNim prApya kim tu jIvita-saMSaye // Ka-avc-_64.227 //
   iti śrutvaiva sahasā sa papāta mahītale /	iti SrutvA-eva sahasA sa papAta mahI-tale /
   kīrṇahāralatāṃ kurvan sāśrudhārām iva kṣitim // KAvk_64.228 //	kIrNa-hAralatAm kurvan sa-aSru-DArAm iva kzitim // Ka-avc-_64.228 //
   tuṣāraśīkarasmeraharicandanavāribhiḥ /	tuzAra-SIkara-smera-haricandana-vAriBiH /
   sa labdhasaṃjñaḥ śanakair vilalāpāśrugadgadaḥ // KAvk_64.229 //	sa labDa-saMjQaH SanakEs vilalApa-aSru-gadgadaH // Ka-avc-_64.229 //
   anākāśaśaśāṅkaśrīr amanthāmṛtavāhinī /	anAkASa-SaSAFka-SrIH amanTa-amRta-vAhinI /
   ayatnaratnavaḍabhī kva sā kusumadhanvanaḥ // KAvk_64.230 //	ayatna-ratna-vaxaBI kva sA kusumaDanvanaH // Ka-avc-_64.230 //
   guruśāsanayantritena dūraṃ vrajatā bāṣpaniruddhalocanāyāḥ /	guru-SAsana-yantritena dUram vrajatA bAzpa-nirudDa-locanAyAH /
   vihitā na dhṛtir mayā mṛgākṣyās tad ayaṃ me patitaḥ smarābhiśāpaḥ //	vihitAH na DRtiH mayA mRga-akzyAH tat ayam me patitaH smara-aBiSApaH //
   KAvk_64.231 //	KAvc-_64.231 //
   dehi prativacaḥ subhru kva gatāsi manohare /	dehi prativacaH suBru kva gatA-asi manohare /
   mayā pramādamūḍhena hariṇākṣī na rakṣitā // KAvk_64.232 //	mayA pramAda-mUXena hariNAkzI na rakzitA // Ka-avc-_64.232 //
   tvatsamāgamasaubhāgyaślāghyasya surasaṃsadi /	tvad-samAgama-sOBAgya-SlAGyasya sura-saMsadi /
   mameva martyalokasya tvadviyuktasya kā dyutiḥ // KAvk_64.233 //	mama-iva martya-lokasya tvad-viyuktasya kA dyutiH // Ka-avc-_64.233 //
   iti bruvāṇaḥ śanakaiḥ kāntāsaṃbhogasākṣiṣu /	iti bruvANaH SanakEs kAntA-saMBoga-sAkzizu /
   udyāneṣu priyatamāṃ vicetuṃ svayam udyayau // KAvk_64.234 //	udyAnezu priyatamAm vicetum svayam udyayO // Ka-avc-_64.234 //
   vañcayitvā parijanaṃ sa rajanyām alakṣitaḥ /	vaQcayitvA parijanam sa rajanyAm alakzitaH /
   gatvā vanāntaṃ babhrāma sameṣu viṣameṣu ca // KAvk_64.235 //	gatvA vanAntam baBrAma samezu vizamezu ca // Ka-avc-_64.235 //
   tīvrarāgapiśācena mahatā sa vimohitaḥ /	tIvra-rAga-piSAcena mahatA sa vimohitaH /
   unmatta iva papraccha cetanācetanān api // KAvk_64.236 //	unmattaH iva papracCa cetana-acetanAn api // Ka-avc-_64.236 //
   brūhi sakhe śukaśāvaka sakhyuḥ prāṇasakhīṃ nikhilendumukhīṃ tām /	brUhi saKe SukaSAvaka saKyuH prANa-saKIm niKila-indu-muKIm tAm /
   taddaśanacchadarāgavibhāge bimbaphale 'stu sadā tava bhogaḥ // KAvk_64.237	tad-daSanacCada-rAga-viBAge bimba-Pale astu sadA tava BogaH // Ka-avc-_64.237
   haṃho haṃsa sitāṃsa śaṃsa nalinīlīlāvataṃsadyute	haMho haMsa sitAMsa SaMsa nalinI-lIlA-avataMsa-dyute
   dṛṣṭā saurabhasadmapadmavadanā kiṃ kāntikallolinī /	dRzwA sOraBa-sadma-padma-vadanA kim kAnti-kallolinI /
   yasyāḥ pīnapayodharāgraviluṭhanmuktākalāpasya sā	yasyAH pIna-payoDara-agra-viluWat-muktA-kalApasya sA
   haṃsasyeva vibhāti romalatikā śaivālavallī cyutā // KAvk_64.238 //	haMsasya-iva viBAti romalatikA SEvAlavallI cyutA // KAvc-_64.238 //
   tasyeti tīvravyasanānubandhāt pralāpinaḥ praskhalataḥ same 'pi /	tasya-iti tIvra-vyasana-anubanDAt pralApinaH prasKalataH same api /
   diśan prakāśaṃ dayayeva mārge śanair jagāhe gaganaṃ sitāṃśuḥ //	diSan prakASam dayayA-iva mArge SanEs jagAhe gaganam sitAMSuH //
   KAvk_64.239 //	KAvc-_64.239 //
   śyāmāpater manmathabāndhavasya kāntaṃ sa dṛṣṭvāmbaracumbi bimbam /	SyAmApateH manmaTa-bAnDavasya kAntam sa dRzwvA-ambara-cumbi bimbam /
   saṃdarśitaṃ sasmitam indumukhyā mene mukhaṃ vyomavimānaśrṅgāt //	saMdarSitam sa-smitam indu-muKyAH mene muKam vyoma-vimAna-SrFgAt //
   KAvk_64.240 //	KAvc-_64.240 //
   mūkaṃ kalaṅkāṅkam avāptadoṣam avibhramaṃ hāsavilāsahīnaṃ /	mUkam kalaFka-aFkam avApta-dozam aviBramam hAsa-vilAsa-hInam /
   cireṇa niścitya śaśāṅkam eva papraccha gacchan naranāthasūnuḥ //	cireNa niScitya SaSAFkam eva papracCa gacCan nara-nATa-sUnuH //
   KAvk_64.241 //	KAvc-_64.241 //
   api tvayā kāntisakhī sakhe khe tulyekṣaṇā lakṣmaṃrgasya dṛṣṭā /	api tvayA kAnti-saKI saKe Ke tulya-IkzaNA lakzmaMrgasya dRzwA /
   tavoditā yadvadanopamānasaṃbandhalabdhā jagati prasiddhiḥ // KAvk_64.242	tava-uditA yat-vadana-upamAna-saMbanDa-labDA jagati prasidDiH // Ka-avc-_64.242
   kathaṃ na kiṃ cit kathayaty ayaṃ me gatasya kāntākathanārthibhāvam /	kaTam na kim cit kaTayati ayam me gatasya kAntA-kaTana-arTi-BAvam /
   parārthasaṃpādanaśītalena kalāvatā kasya kṛto 'nurodhaḥ // KAvk_64.243 //	para-arTa-saMpAdana-SItalena kalAvatA kasya kRtaH anuroDaH // Ka-avc-_64.243 //
   api tvayā snigdhataḍitprakāśā ghanastanī kvāpi mayūra dṛṣṭā /	api tvayA snigDa-taxit-prakASA Gana-stanI kvApi mayUra dRzwAH /
   tvadbarhabhārasya suhṛt sa yasyā vicitramālyaḥ kabarīkalāpaḥ //	tvad-barha-BArasya suhRd sa yasyAH vicitra-mAlyaH kabarI-kalApaH //
   KAvk_64.244 //	KAvc-_64.244 //
   bhujaṃga kac cid bhavatā bhujaṃgī dṛṣṭā kva cit sā vararatnacūḍā /	BujaMga kac cit BavatA BujaMgI dRzwA kva cit sA vara-ratna-cUxA /
   viṣacchaṭāḥ paśya yayā visṛṣṭā māṃ duḥsahe 'smin virahe dahanti //	viza=-CawAH paSya yayA visRzwAH mAm duHsahe asmin virahe dahanti //
   KAvk_64.245 //	KAvc-_64.245 //
   sāraṅga sā raṅgavilāsinī kiṃ dṛṣṭā tvayā manmathapārthivasya /	sAraFga sA raFga-vilAsinI kim dRzwA tvayA manmaTa-pArTivasya /
   yasyāḥ kaṭākṣotpalasaṃvibhāgair vibhānti manye gahane hariṇyaḥ //	yasyAH kawAkza-utpala-saMviBAgEH viBAnti manye gahane hariNyaH //
   KAvk_64.246 //	KAvc-_64.246 //
   api tvayā vibhramajanmabhumir vanaspate pallavapeśaloṣṭhī /	api tvayA viBrama-janma-BumiH vanaspate pallava-peSa-lozWI /
   līlāvilolā lalanā vanānte lateva dṛṣṭā stabakāvanaṃrā // KAvk_64.247 //	lIlA-vilolA lalanA vanAnte latA-iva dRzwA stabaka-avanaMrAH // Ka-avc-_64.247 //
   anena nūnaṃ vanakuñjareṇa sā rājarambhā parirambhalobhāt /	anena nUnam vana-kuQjareNa sA rAja-ramBA pariramBa-loBAt /
   ākṛṣya nītā ghanasaṃnibhena saṃcchāditā vā śaśinaḥ kaleva // KAvk_64.248	AkRzya nItAH Gana-saMniBena saMcCAditA vA SaSinaH kalA-iva // Ka-avc-_64.248
   iti kānanakuñjeṣu tasyonmādapralāpinaḥ /	iti kAnana-kuQjezu tasya-unmAda-pralApinaH /
   śokād iva vivarṇenduvadanā rajanī yayau // KAvk_64.249 //	SokAt iva vivarNa-indu-vadanA rajanI yayO // Ka-avc-_64.249 //
   sa nāgabhavanāsannatīropāntatapovanam /	sa nAga-Bavana-Asanna-tIra-upAnta-tapaH-vanam /
   śanaiḥ praviśya papraccha maharṣiṃ valkalāyanaṃ // KAvk_64.250 //	SanEs praviSya papracCa mahA-Rzim valkalAyanam // Ka-avc-_64.250 //
   ihavirahavicintāśokaniśvāsamūrcchanmadanadahanadhūmaśyāmasaktaikaveṇī /	iha-viraha-vicintA-Soka-niSvAsa-mUrcCat-madana-dahana-DUma-SyAma-sakta-eka-veNI /
   api śamitaśaśāṅkoddāmasaundaryadarpā munivara hariṇākṣī kinnarī kāpi dṛṣṭā	api Samita-SaSAFka-uddAma-sOndarya-darpA muni-vara hariNAkzI kinnarI kA-api dRzwA
   // KAvk_64.251 //	// Ka-avc-_64.251 //
   iti kāntāviyuktasya prāptasyonmādinīṃ daśām /	iti kAntA-viyuktasya prAptasya-unmAdinIm daSAm /
   muniḥ śrutvā vacas tasya parijñāya tam abravīt // KAvk_64.252 //	muniH SrutvA vacaH tasya parijQAya tam abravIt // Ka-avc-_64.252 //
   samāśvasihi viśramya saṃtāpas tyajyatām ayam /	samASvasihi viSramya saMtApaH tyajyatAm ayam /
   dṛṣṭā sā tava kalyāṇī mayā mānasacandrikā // KAvk_64.253 //	dRzwA sA tava kalyANI mayA mAnasa-candrikA // Ka-avc-_64.253 //
   yūthabhraṣṭeva hariṇī nirapekṣāpi jīvite /	yUTa-BrazwA-iva hariNI nirapekzA-api jIvite /
   pāśākṛṣṭeva kariṇī dhāryate sā tvadāśayā // KAvk_64.254 //	pASa-AkRzwA-iva kariNI DAryate sA tvad-ASayA // Ka-avc-_64.254 //
   pāṇau śete vadanakamalaṃ prastare pallavānāṃ	pANO Sete vadana-kamalam prastare pallavAnAm
   tāpaklāntā taralavalanasraṃsinī gātralekhā /	tApa-klAntA tarala-valana-sraMsinI gAtra-leKA /
   āśābandhe dhṛtir iva mates tvadviyogākulāyās	ASAbanDe DRtiH iva mateH tvad-viyoga-AkulAya-as
   tasyā naiva kva cid api manaḥ kiṃ tu viśrāntim eti // KAvk_64.255 //	tasyAH na-eva kva cit api manaH kim tu viSrAntim eti // Ka-avc-_64.255 //
   drumasya kinnarapateḥ sthitāhaṃ bhavane pituḥ /	drumasya kinnarapateH sTitA-aham Bavane pituH /
   āgantavyaṃ tvayā tūrṇam iti tvāṃ saṃdideśa sā // KAvk_64.256 //	Agantavyam tvayA tUrNam iti tvAm saMdideSa sA // Ka-avc-_64.256 //
