   vaitathyaprakaraṇam	vEtaTya-prakaraNam
   kutaścādvayatā śivā? nānābhūtaṃ /	kutas-ca-advayatA SivA? nAnA-BUtam /
   pṛthaktvamanyasyānyasmādyatra dṛṣṭaṃ tatrāśivaṃ bhavet /	pRTaktvam-anyasya-anyasmAt-yatra dRzwam tatra-aSivam Bavet /
   nātmabhāvena nānedaṃ na svenāpi kathañcana /	na-Atma-BAvena nAnA-idam na svena-api kaTaQcana /
   na pṛthaṅ nāpṛthak kiñcid iti tattvavido viduḥ // MandUpK_2.34 //	na pRTak na-apRTak kiQcid iti tattva-vidaH viduH // Mandu-upK_2.34 //
   MandUpKC_2.34	Mandu-upKC_2.34
   na hyatrādvaye paramārthasatyātmani prāṇādisaṃsārajātamidaṃ	na hi-atra-advaye parama-arTa-satya-Atmani prANa-Adi-saMsAra-jAtam-idam
   jagadātmabhāvena paramārthasvarūpeṇa nirīpyamāṇaṃ nānā vastvantarabhūtaṃ	jagat-Atma-BAvena parama-arTa-svarUpeNa nirIpyamANam nAnA vastu-antara-BUtam
   bhavati /	Bavati /
   yathā rajjusvarūpeṇa prakāśena nirūpyamāṇo na nānābhūtaḥ kalpitaḥ sarpo	yaTA rajju-svarUpeNa prakASena nirUpyamANaH na nAnA-BUtaH kalpitaH sarpaH-
   'sti tadvat /	asti tadvat /
   nāpi svena prāṇādyātmanedaṃ vidyate /	na-api svena prANa-Adi-AtmanA-idam vidyate /
   kadācidapi rajjusarpavatkalpitatvādeva /	kadAcid-api rajju-sarpa-vat-kalpita-tvAt-eva /
   tathānyonyaṃ na pṛthakprāṇādi vastu yathāśvānmahiṣaḥ pṛthagvidyata evam /	taTA-anyonyam na pRTak-prANa-Adi vastu yaTA-aSvAn-mahizaH pRTak-vidyate evam /
   ato 'stvānnāpṛthagvidyate 'nyonyaṃ pareṇa vā kiñcidity evaṃ	atas astvA-anna-apRTak-vidyate anyonyam pareNa vA kiQcid-iti evam
   paramārthatattvamātavido brāhmaṇā viduḥ /	parama-arTa-tattva-mAta-vidaH brAhmaNAH viduH /
   ato 'śivahetutvābhāvādadvayataiva śivetyabhiprāyaḥ //34//	atas aSiva-hetu-tva-aBAvAt-advayatA-eva Siva-iti-aBiprAyaH //34//
   START MandUpK 2.35	START Mandu-upK 2.35
   tadetatsamyagdarśanaṃ stūyate	tat-etat-samyak-darSanam stUyate
   vītarāgabhayakrodhair munibhir vedapāragaiḥ /	vIta-rAga-Baya-kroDEH muniBiH vedapAragEH /
   nirvikalpo hy ayaṃ dṛṣṭaḥ prapañcopaśamo 'dvayaḥ // MandUpK_2.35 //	nirvikalpaH hi ayam dRzwaH prapaQca-upaSamaH advayaH // Mandu-upK_2.35 //
   MandUpKC_2.35	Mandu-upKC_2.35
   vigatarāgabhayadveṣakrodhādisarvadaiṣaiḥ sarvadā	vigata-rAga-Baya-dveza-kroDa-Adi-sarva-dEzEH sarvadA
   munibhirmananaśīlairvivekibhirvedapāragairavagatavedārthatattvairjñānibhirni	muniBiH-manana-SIlEH-vivekiBiH-vedapAragEH-avagata-veda-arTa-tattvEH-jQAniBiH-ni
   rvikalpaḥ sarvavikalpaḥ śūnyo 'mātmā dṛṣṭa upalabdho vedāntārthatatparaiḥ	rvikalpaH sarva-vikalpaH SUnyaH amAtmA dRzwaH upalabDaH vedAnta-arTa-tatparEH
   prapañcopaśamaḥ prapañco dvaitabhedavistārastasyopaśamo 'bhāvo yasminsa	prapaQca-upaSamaH prapaQcaH dvEta-Beda-vistAraH-tasya-upaSamaH aBAvaH yasmin-sa
   ātmā prapañcopaśamo 'ta evādvayo vigatadoṣaireva	AtmA prapaQca-upaSamaH atas eva-advayaH vigata-dozEH-eva
   paṇḍitairvedāntārthatatparaiḥ saṃnyasibhiḥ paramātmā draṣṭuṃ śakyaḥ,	paNxitEH-vedAnta-arTa-tatparEH saMnyasiBiH paramAtmA drazwum SakyaH,
   nānyai rāgādikaluṣitacetobhiḥ	na-anyEH rAga-Adi-kaluzita-cetoBiH
   svapakṣapātidarśanaistārkikādibhirityābhiprāyaḥ //35//	sva-pakza-pAti-darSanEH-tArkika-AdiBiH-itya-aBiprAyaH //35//
   START MandUpK 2.36	START Mandu-upK 2.36
   yasmātsarvānarthapraśamarūpatvādadvayaṃ śivamabhayam	yasmAt-sarva-anarTa-praSama-rUpa-tvAt-advayam Sivam-aBayam
   tasmād evaṃ viditvainam advaite yojayet smṛtim /	tasmAt evam viditvA-enam advEte yojayet smRtim /
   advaitaṃ samanuprāpya jaḍavallokam ācaret // MandUpK_2.36 //	advEtam samanuprApya jaxa-vat-lokam Acaret // Mandu-upK_2.36 //
   MandUpKC_2.36	Mandu-upKC_2.36
   ata evaṃ viditvainamadvaite smṛtiṃ yojayet /	atas evam viditvA-enam-advEte smRtim yojayet /
   advaitāvagamāyaiva smṛtiṃ kuryādityarthaḥ /	advEta-avagamAya-eva smRtim kuryAt-iti-arTaH /
   taccādvaitamavagamyāhamasmi paraṃ brahmeti viditvāśanāyādyatītaṃ	tat-ca-advEtam-avagamya-aham-asmi param brahma-iti viditvA-aSanAya-Adi-atItam
   sākṣādaparokṣādajamātmānaṃ sarvalokavyavahārātītaṃ jaḍavallokamācaret /	sAkzAt-aparokzAt-ajam-AtmAnam sarva-loka-vyavahAra-atItam jaxa-vat-lokam-Acaret /
   aprakhyāpayannātmānamahamevaṃvidha ityabhiprāyaḥ //36//	apraKyApayan=-AtmAnam-aham-evaMviDaH iti-aBiprAyaH //36//
   START MandUpK 2.37	START Mandu-upK 2.37
   kayā caryayā lokamācaredityāha	kayA caryayA lokam-Acaret-iti-Aha
   niḥstutir nirnamaskāro niḥsvadhākāra eva ca /	niHstutiH nirnamaskAraH niHsvaDAkAraH eva ca /
   calācalaniketaś ca yatir yādṛcchiko bhavet // MandUpK_2.37 //	calAcala-niketaH ca yatiH yAdRcCikaH Bavet // Mandu-upK_2.37 //
   MandUpKC_2.37	Mandu-upKC_2.37
   stutinamaskārādisarvakarmavarjitastyaktasarvabāhyaiṣaṇaḥ	stuti-namaskAra-Adi-sarva-karma-varjitaH-tyakta-sarva-bAhya-ezaNaH
   pratipannaparamahaṃsapārivrājya ityabhiprāyaḥ"etaṃ vai tamātmānaṃ	pratipanna-paramahaMsa-pArivrAjyaH iti-aBiprAyaH-"etam vE tam-AtmAnam
   viditvā"(bṛ.u.3 / 5 / 1)	viditvA-a"(bR.u.3 / 5 / 1)
   ityādiśruteḥ;"tadbuddhayastadātmānastanniṣṭhāstatparāyaṇāḥ"(gītā 5 / 17)	ityAdi-SruteH;"-tad-budDayaH-tad-AtmAnaH-tad-nizWAH-tad-parAyaNAH"(gItAH 5 / 17)
   ityādismṛteśca calaṃ śarīraṃ pratikṣaṇamanyathābhāvāt, acalamātmatattvam,	ityAdi-smRteH-ca calam SarIram pratikzaNam-anyaTA-BAvAt, acalam-Atma-tattvam,
   yadākadācidbhojanādivyavahāranimittamākāśavadacalaṃ	yadA-kadAcid-Bojana-Adi-vyavahAra-nimittam-AkASa-vat-acalam
   svarūpamātmatattvamātmano niketamāśrayamātmasthitiṃ vismṛtyāhamiti manyate	svarUpam-Atma-tattvam-AtmanaH niketam-ASrayam-Atma-sTitim vismRtya-aham-iti manyate
   yadā tadā calo deho niketo yasya sa ayamevaṃ calācalaniketo vidvānna	yadA tadA calaH dehaH niketaH yasya saH ayam-evam cala-acala-niketaH vidvAn-na
   punarbāhyaviṣayāśrayaḥ; sa ca yādṛcchiko bhaved	punar-bAhya-vizaya-ASrayaH; sa ca yAdRcCikaH Bavet-
   yadṛcchāprāptakaupīnacchādanagrāsamātradehasthitirityarthaḥ //37//	yadRcCA-prApta-kOpIna=-CAdana-grAsa-mAtra-deha-sTitiH-iti-arTaH //37//
   START MandUpK 2.38	START Mandu-upK 2.38
   tattvam ādhyātmikaṃ dṛṣṭvā tattvaṃ dṛṣṭvā tu bāhyataḥ /	tattvam ADyAtmikam dRzwvA tattvam dRzwvA tu bAhyatas /
   tattvībhūtas tadārāmas tattvād apracyuto bhavet // MandUpK_2.38 //	tattvIBUtaH tad-ArAmaH tattvAt apracyutaH Bavet // Mandu-upK_2.38 //
   MandUpKC_2.38	Mandu-upKC_2.38
   bāhyaṃ pṛthivyāditatvaṃ ādhyātmikaṃ ca dehādilakṣaṇaṃ	bAhyam pRTivI-Adita-tvam ADyAtmikam ca deha-Adi-lakzaNam
   rajjusarpādivatsvapnamāyādivacca asat"vācārambhaṇaṃ vikāro nāmadheyam"	rajju-sarpa-Adi-vat-svapna-mAyA-Adi-vat-ca asat"-vAca-AramBaNam vikAraH nAmaDeyam"
   (chā.u.6 / 1 / 4) ityādiśruteḥ /	(CA.u.6 / 1 / 4) iti-Adi-SruteH /
   ātmā ca sabāhyābhyantaro hyajo 'pūrvo 'nantaro 'bāhyaḥ kṛtsna	AtmA ca sa-bAhya-aByantaraH hi-ajaH apUrvaH anantaraH abAhyaH kRtsna
   ākāśavatsarvagataḥ sūkṣmo 'calo nirguṇo niṣkalo niṣkriyaḥ"tatsatyaṃ sa	AkASa-vat-sarva-gataH sUkzmaH acalaH nirguNaH nizkalaH nizkriyaH"tat-satyam sa
   ātmā tattvamasi"(chā.u.6 / 8 / 16) iti śruteḥ /	AtmA tat-tvam-asi"(-CA.u.6 / 8 / 16) iti SruteH /
   ityevaṃ tattvaṃ dṛṣṭvā tattvībhūtastadārāmo na bāhyaramaṇo	iti-evam tattvam dRzwvA tattvIBUtaH-tad-ArAmaH na bAhya-ramaNaH-
   yathātattvadarśī kaściccittamātmatvena	yaTAtattva-darSI kaScid-cittam-Atma-tvena
   pratipannaścittacalanamanucalitamātmānaṃ manyamānastatattvāccalitaṃ	pratipannaH-citta-calanam-anucalitam-AtmAnam manyamAnaH-ta-tattvAt-calitam
   dehādibhūtamātmānaṃ kadācinmanyate pracyuto 'hamātmatattvādidānīmiti;	deha-Adi-BUtam-AtmAnam kadAcid-manyate pracyutaH aham-Atma-tattvAt-idAnIm-iti;
   samāhite cu manasi kadācittattvabhūtaṃ prasannātmānaṃ manyata idānīmasmi	samAhite cu manasi kadAcid-tattva-BUtam prasanna-AtmAnam manyate idAnIm-asmi
   tattvībhūta iti; na tadātmavidbhavet /	tattvIBUtaH iti; na tad-Atma-vid-Bavet /
   ātmana ekarūpattvātsvarūpapracyavanāsambhavācca /	AtmanaH eka-rUpattvAt-svarUpa-pracyavanA-samBavAt-ca /
   sadaiva brahmāsmītyapracyuto bhavettattvātsadāpracyutātmatattvadarśano	sadA-eva brahma-asmi-iti-apracyutaH Bavet-tattvAt-sadA-pracyuta-Atma-tattva-darSanaH-
   bhavedityabhiprāyaḥ"śuni caiva śvapāke ca paṇḍitāḥ samadarśinaḥ"(gītā 12 /	Bavet-iti-aBiprAyaH"Suni ca-eva SvapAke ca paNxitAH sama-darSinaH"(gItAH 12 /
   18) "samaṃ sarveṣu bhūteṣu"(gītā 13 / 17) ityādi smṛteḥ //38//	18) "samam sarvezu BUtezu"(gItAH 13 / 17) ityAdi smRteH //38//
