   vīṇāśikhatantra	vINA-SiKa-tantra
   vyādhighātasamidbhis tu % vyādhinātyantapīḍitaḥ // VT_183 //	vyADi-GAta-samidBiH tu % vyADinA-atyanta-pIxitaH // VT_183 //
   aṣṭottaraśatenaiva $ āhutīnāṃ na saṃśayaḥ &	azwottaraSatena-eva $ AhutInAm na saMSayaH &
   kṣīrāktena tu deveśi % rogī rogād vimucyate // VT_184 //	kzIra-aktena tu deveSi % rogI rogAt vimucyate // VT_184 //
   juhoti yas tu satataṃ $ dravyaṃ tasya gṛhe tu yat &	juhoti yaH tu satatam $ dravyam tasya gRhe tu yat &
   kurvanto 'pi vyayaṃ nityam % akṣayatvaṃ ca gacchati // VT_185 //	kurvantaH api vyayam nityam % akzaya-tvam ca gacCati // VT_185 //
   nityaṃ kālajapenāpi $ sarveṣāṃ jāyate priyaḥ &	nityam kAla-japena-api $ sarvezAm jAyate priyaH &
   tejasvī balasampanno % nāpy asau pīḍyate bhayaiḥ // VT_186 //	tejasvI bala-sampannaH % na-api asO pIxyate BayEH // VT_186 //
   śrīkāmaḥ śrīphalaṃ juhyāt $ padmaṃ cājyamadhuplutam &	SrI-kAmaH SrIPalam juhyAt $ padmam ca-Ajya-maDu-plutam &
   lakṣaikena mahāvitto % mantrī lakṣadvayena tu // VT_187 //	lakza-ekena mahA-vittaH % mantrI lakza-dvayena tu // VT_187 //
   lakṣatrayeṇa pṛthvīśo $ nirjitārir bhaved dhruvam &	lakza-trayeNa pRTvISaH $ nirjita-ariH Bavet Druvam &
   sarvakāmas tilaṃ juhyāt % prāpnuyāt tu na saṃśayaḥ // VT_188 //	sarva-kAmaH tilam juhyAt % prApnuyAt tu na saMSayaH // VT_188 //
   lakṣeṇaikena deveśi $ sādhakaḥ sa jitendriyaḥ &	lakzeNa-ekena deveSi $ sADakaH sa jita-indriyaH &
   tyaktena naramāṃsena % chāgasya piśitena vā // VT_189 //	tyaktena nara-mAMsena % CAgasya piSitena vA // VT_189 //
   lakṣamātrahutenāśu $ yad iṣṭaṃ tad avāpnuyāt &	lakza-mAtra-hutena-ASu $ yat izwam tat avApnuyAt &
   kṛṣṇāgopayasā sārdhaṃ % nṛmāṃsaṃ taṇḍulānvitam // VT_190 //	kRzNA-go-payasA sArDam % nR-mAMsam taNxula-anvitam // VT_190 //
   pāyasaṃ śavavaktre tu $ juhuyāt tāvatandritaḥ &	pAyasam Sava-vaktre tu $ juhuyAt tO=-atandritaH &
   yāvad uttiṣthate pretaḥ % kiṃ karomīti so 'bravīt // VT_191 //	yAvat uttizTate pretaH % kim karomi-iti saH abravIt // VT_191 //
   mārgitavyaṃ yad iṣtaṃ tu $ labhanīyaṃ yaśasvini &	mArgitavyam yat iztam tu $ laBanIyam yaSasvini &
   guḍikāñjanapādukaṃ % khanyaṃ vā rājyam eva ca // VT_192 //	guxikA-aQjana-pAdukam % Kanyam vA rAjyam eva ca // VT_192 //
   (em.: guḍikāñcanapādūṃ ? ca Ed)	(em.: guxi-kAQcana-pAdUm ? ca Ed)
   vidhānaṃ śakranāśaṃ ca $ pādaleparasāyanam &	viDAnam Sakra-nASam ca $ pAda-lepa-rasAyanam &
   eteṣāṃ prārthitaṃ caikaṃ % dattvāgacchati nānyathā // VT_193 //	etezAm prArTitam ca-ekam % dattvA-AgacCati na-anyaTA // VT_193 //
   uddhatā yā mṛtā yoṣit $ tasyā gṛhyāṅgulīyakam &	udDatA yA mRtAH yozit $ tasyAH gRhya-aFgulIyakam &
   abhimantrya imair bījair % anulomaiḥ śatena tu // VT_194 //	aBimantrya imEH bIjEH % anulomEH Satena tu // VT_194 //
   aṣtādhikena mantrajñaḥ $ sādhyanāma vidarbhayet &	azta-aDikena mantra-jQaH $ sADya-nAma vidarBayet &
   yasyā dadāti tadvad āste % striyāyāḥ sādhakottamaḥ // VT_195 //	yasyAH dadAti tadvat Aste % striyAyAH sADaka-uttamaH // VT_195 //
   ākarṣyati tāṃ kṣipraṃ $ yadi syād urvaśīsamā &	Akarzyati tAm kzipram $ yadi syAt urvaSI-samA &
   yojanānāṃ śatasyāpi % dūreṇāpi samarpitam // VT_196 //	yojanAnAm Satasya-api % dUreNa-api samarpitam // VT_196 //
   puruṣasya bhaved devi $ uddhatasya yaśasvini &	puruzasya Bavet devi $ udDatasya yaSasvini &
   kākamāṃsaṃ gṛhītvā tu % nimbatailasamāyutam // VT_197 //	kAka-mAMsam gRhItvA tu % nimba-tEla-samAyutam // VT_197 //
   śmaśānāgniṃ samādhāya $ śigrukāṣṭhena sādhayet &	SmaSAna-agnim samADAya $ Sigru-kAzWena sADayet &
   juhuyāt saptarātraṃ tu % yasya nāmnā tu sādhakaḥ // VT_198 //	juhuyAt sapta-rAtram tu % yasya nAmnA tu sADakaH // VT_198 //
   vidviṣto dṛśyate loke $ eṣa vidveṣaṇaṃ param &	vidviztaH dRSyate loke $ eza vidvezaNam param &
   ato 'nyat sampravakṣyāmi % rahasyam idam adbhutam // VT_199 //	atas anyat sampravakzyAmi % rahasyam idam adButam // VT_199 //
   yad viditvā maheśāni $ siddhim āpnoti puṣkalām &	yat viditvA maheSAni $ sidDim Apnoti puzkalAm &
   svakāle samprayogeṇa % siddhis tantreṣu kīrtitā // VT_200 //	sva-kAle samprayogeNa % sidDiH tantrezu kIrtitAH // VT_200 //
   tataḥ svakālaṃ kurvīta $ svāni karmāṇi sādhakaḥ &	tatas sva-kAlam kurvIta $ svAni karmANi sADakaH &
   sādhyahṛtpadmasaṃsthaṃ tu % dhyātvādau bījapañcakam // VT_201 //	sADya-hRd-padma-saMsTam tu % DyAtu-A-AdO bIja-paQcakam // VT_201 //
   kurvīta manasā pūjām $ itāyāpravato ? padā &	kurvIta manasA pUjAm $ itAya-apravataH ? padA &
   māyayācchādayet paścāt % sādhyam antobahiryutam // VT_202 //	mAyayA-AcCAdayet paScAt % sADyam antobahis-yutam // VT_202 //
   māyākamalanālena $ sādhyam āveṣtam ānayet &	mAyA-kamala-nAlena $ sADyam Aveztam Anayet &
   tataḥ svātmīkam ānīya % māyātattvaślathīkṛtam // VT_203 //	tatas sva-AtmIkam AnIya % mAyA-tattva-SlaTIkRtam // VT_203 //
   pun as tat sthāpayitvā tu $ sammukhaḥ sādhakottamaḥ &	pun aH tat sTApayitvA tu $ sammuKaH sADaka-uttamaH &
   nyastavyaṃ tu yad ādau tu ? % sādhye vai bījapañcakam // VT_204 //	nyastavyam tu yat AdO tu ? % sADye vE bIja-paQcakam // VT_204 //
   māyāveṣtitaṃ tan mantrī $ japed aṣṭaśataṃ tataḥ &	mAyA-veztitam tat mantrI $ japet azwaSatam tatas &
   sādhyanāmākṣaropetaṃ % tatprabuddhāsane sthitam // VT_205 //	sADya-nAma-akzara-upetam % tad-prabudDa-Asane sTitam // VT_205 //
   evaṃ devi tataḥ śīghraṃ $ dhvastajānuśiroruhaḥ &	evam devi tatas SIGram $ Dvasta-jAnu-SiroruhaH &
   ākṛṣto vidhinānena % sādhyaḥ kiṃkarito mahān // VT_206 //	AkRztaH viDinA-anena % sADyaH kiMkaritaH mahAn // VT_206 //
   ataḥ paraṃ pravakṣyāmi $ baddhe ruddhe 'pi mokṣaṇam &	atas param pravakzyAmi $ badDe rudDe api mokzaNam &
   yathā saṃharate śakraṃ % tatprayogam idaṃ śṛṇu // VT_207 //	yaTA saMharate Sakram % tad-prayogam idam SRNu // VT_207 //
   sādhyahṛtkamalāntaḥsthaṃ $ dhyātvaivaṃ bījapañcakam &	sADya-hRd-kamala-antar-sTam $ DyAtvA-evam bIja-paQcakam &
   kurvīta pūrvavat pūjāṃ % suṣumnāyāganirgadā ? // VT_208 //	kurvIta pUrvavat pUjAm % suzumnA-yAga-nirgadAH ? // VT_208 //
   saṃhārāstraṃ tato mantrī $ tumburuṃ mūrdhni vinyaset &	saMhAra-astram tatas mantrI $ tumburum mUrDni vinyaset &
   devīnāṃ ca tatas tena % sādhyam āvṛtya yogavit // VT_209 //	devInAm ca tatas tena % sADyam AvRtya yoga-vid // VT_209 //
   tatra yo mūrdhni tenaiva $ jvalitānalavarcasā &	tatra yaH mUrDni tena-eva $ jvalita-anala-varcasA &
   dṛṣtvā taṃ manasā bhūyo % mūrcchitaṃ bhuvi vihvalam // VT_210 //	dRztvA tam manasA BUyas % mUrcCitam Buvi vihvalam // VT_210 //
   hṛdi baddhvāṅkuśenaiva $ ānayed ātmano 'ntikam &	hRdi badDvA-aFkuSena-eva $ Anayet AtmanaH antikam &
   tatas tvadhomukhaṃ sthāpya % pīḍitaṃ chardayed asṛk // VT_211 //	tatas tu-aDomuKam sTApya % pIxitam Cardayet asRk // VT_211 //
   paścāt tu hṛdaye tasya $ nyastavyaṃ bījapañcakam &	paScAt tu hRdaye tasya $ nyastavyam bIja-paQcakam &
   proddhṛtya sādhyanāmaivaṃ % saṃhārāstravidarbhitam // VT_212 //	prodDRtya sADya-nAma-evam % saMhAra-astra-vidarBitam // VT_212 //
   evaṃ vigatarakṣaṃ tu $ syāpyudgataṃ tu ? tataḥ &	evam vigata-rakzam tu $ syApi-udgatam tu ? tatas &
   japed aṣṭasahasraṃ tu % jvālāmālābhir āvṛtam // VT_213 //	japet azwa-sahasram tu % jvAlA-mAlABiH AvRtam // VT_213 //
   tatas tu karmaṇānena $ tenaiva tu vidhānataḥ &	tatas tu karmaNA-anena $ tena-eva tu viDAnataH &
   sādhyaḥ prayāti nidhanaṃ % mṛtyur āntima ? kampayet // VT_214 //	sADyaH prayAti niDanam % mRtyuH Antima ? kampayet // VT_214 //
   ity etat kathitaṃ devi $ samāsādyaṃ tu pūrvaśaḥ &	iti etat kaTitam devi $ samAsAdyam tu pUrvaSas &
   yathā saṃharate śakraṃ % baddhe ruddhe 'tha mokṣaṇāt // VT_215 //	yaTA saMharate Sakram % badDe rudDe aTa mokzaNAt // VT_215 //
   krodhena mahatā dīptaḥ $ prayogam idam ārabhet &	kroDena mahatA dIptaH $ prayogam idam AraBet &
   suṣumnāyāṃ yadā devaḥ % svayaṃcāreṇa vartate // VT_216 //	suzumnAyAm yadA devaH % svayaMcAreNa vartate // VT_216 //
   suṣumnāntargataṃ dhyātvā $ raktavarṇaṃ vicintayet &	suzumnA-antargatam DyAtvA $ rakta-varNam vicintayet &
   vidveṣoccāṭanādīni % tataḥ karmāṇi kārayet // VT_217 //	vidveza-uccAwana-AdIni % tatas karmANi kArayet // VT_217 //
   bījapañcakadevasya $ vargāntarayutasya ca &	bIja-paQcaka-devasya $ varga-antara-yutasya ca &
   varṇāntayāgam ekānte % sadā gopitaṃ tan mayā // VT_218 //	varNa-anta-yAgam ekAnte % sadA gopitam tat mayA // VT_218 //
   tadā tu sarvakāryāṇāṃ $ siddhaye śṛṇu suvrate &	tadA tu sarva-kAryANAm $ sidDaye SRNu suvrate &
   kusumbharajasāloḍyaṃ % śālīnāṃ piṣṭakena ca // VT_219 //	kusumBa-raja-sAloxyam % SAlInAm pizwakena ca // VT_219 //
   bhasmanā candanenāpi $ nāgakeśarajena vā &	BasmanA candanena-api $ nAgakeSa-rajena vA &
   sugandhaiś ca vicitraiś ca % likhec ca susamāhitaḥ // VT_220 //	suganDEH ca vicitrEH ca % liKet ca su-samAhitaH // VT_220 //
   vargātītasya garbhe tu $ nyaset padmaṃ caturdalam &	varga-atItasya garBe tu $ nyaset padmam catur-dalam &
   tatra sabhrātṛkā devyaḥ % pūjayed bījapañcake // VT_221 //	tatra sa-BrAtRkAH devyaH % pUjayet bIja-paQcake // VT_221 //
   evaṃ pūjitamātrās tu $ sarvadāsarvakāmadāḥ &	evam pUjita-mAtrAH tu $ sarvadA-sarva-kAma-dAH &
   bhavanti niyataṃ[nityaṃ] % dharmakāmārthamokṣadāḥ // VT_222 //	Bavanti niyataM[nityan] % Darma-kAma-arTa-mokza-dAH // VT_222 //
   yāgam evaṃ ca kṛtvānte $ tato lakṣatrayaṃ japet &	yAgam evam ca kRtvA-ante $ tatas lakza-trayam japet &
   tataḥ siddhim avāpnoti % brahmaghno 'pi hi nānyathā // VT_223 //	tatas sidDim avApnoti % brahma-GnaH api hi na-anyaTA // VT_223 //
   manasā cintitaṃ kāmaṃ $ tadā prabhṛtim āpnuyāt &	manasA cintitam kAmam $ tadA praBRtim ApnuyAt &
   ataḥ paraṃ pravakṣyāmi % japasya vidhim uttamam // VT_224 //	atas param pravakzyAmi % japasya viDim uttamam // VT_224 //
   ekāsanasthito mantrī $ yāgaṃ kṛtvā vidhānavit &	eka-Asana-sTitaH mantrI $ yAgam kRtvA viDAna-vid &
   ekacittaḥ prasannātmā % vāmahastākṣasūtradhṛk // VT_225 //	ekacittaH prasanna-AtmA % vAma-hasta-akza-sUtra-DRk // VT_225 //
   japakarma sadākuryād $ viśeṣam aparaṃ śṛṇu &	japa-karma sadA-akuryAt $ viSezam aparam SRNu &
   vaśyakāmo japaṃ kuryād % anulomair vidarbhitam // VT_226 //	vaSya-kAmaH japam kuryAt % anulomEH vidarBitam // VT_226 //
   bījair etair yathānyāyaṃ $ sādhyanāmākṣarānvitaiḥ &	bIjEH etEH yaTAnyAyam $ sADya-nAma-akzara-anvitEH &
   kālaṃ tatra vijānīyāt % kālasiddhiḥ pravartate // VT_227 //	kAlam tatra vijAnIyAt % kAla-sidDiH pravartate // VT_227 //
   māraṇe pratilomais tu $ sādhyanāma tu pūrvataḥ &	mAraNe pratilomEH tu $ sADya-nAma tu pUrvatas &
   vidveṣe 'pi vilomais tu % phaṭkārāntaṃ prayojayet // VT_228 //	vidveze api vilomEH tu % PawkAra-antam prayojayet // VT_228 //
   māraṇe pratilomais tu $ hūṃphatkārānta dyan ? takaiḥ &	mAraNe pratilomEH tu $ hUMPatkAra-anta dyan ? takEH &
   oṃ svāhā namo 'ntais tu % vaśyākarṣaṇakarmasu // VT_229 //	om svAhA namaH antEH tu % vaSya-AkarzaNa-karmasu // VT_229 //
   homayed evam evaṃ tu $ sarvaṃ kuryād vicakṣaṇaḥ &	homayet evam evam tu $ sarvam kuryAt vicakzaNaH &
   namaskāro japasyānte % svāhā home prakīrtitam // VT_230 //	namaskAraH japasya-ante % svAhA home prakIrtitam // VT_230 //
   svaśoṇitāktaṃ laśunaṃ $ māraṇe pratihomayet &	sva-SoNita-aktam laSunam $ mAraNe pratihomayet &
   uccātane kākapakṣaṃ % vaśye jātiṃ tu homayet // VT_231 //	uccAtane kAkapakzam % vaSye jAtim tu homayet // VT_231 //
   vidveṣe śleṣa śigruṃ ca $ homayed avicāraṇāt &	vidveze Sleza Sigrum ca $ homayet avicAraNAt &
   ākarṣaṇe bakulapuṣpaṃ % homayec ca vicakṣaṇaḥ // VT_232 //	AkarzaNe bakula-puzpam % homayet ca vicakzaNaH // VT_232 //
   sarve yāgasamuddiṣtāḥ $ kālajñasya yaśasvini &	sarve yAga-samuddiztAH $ kAla-jQasya yaSasvini &
   yena kālaṃ ca vai jñātaṃ % tena jñātaḥ sadāśivaḥ // VT_233 //	yena kAlam ca vE jQAtam % tena jQAtaH sadASivaH // VT_233 //
   sadāśive parijñāte $ siddhiṃ śāmyanti sādhakāḥ &	sadASive parijQAte $ sidDim SAmyanti sADakAH &
   kālatattvaṃ ca vijñeyaṃ % tattvātsiddhiḥ pravartate // VT_234 //	kAla-tattvam ca vijQeyam % tattvAt-sidDiH pravartate // VT_234 //
   tattvahīnā na sidhyanti $ prayatnenāpi sādhakāḥ &	tattva-hInAH na siDyanti $ prayatnena-api sADakAH &
   tasmāt sarvaprayatnena % kālatattvaṃ vidur budhāḥ // VT_235 //	tasmAt sarva-prayatnena % kAla-tattvam viduH buDAH // VT_235 //
   kriyākālaṃ ca vai śūnyaṃ $ na sidhyantīha sādhakāḥ &	kriyA-kAlam ca vE SUnyam $ na siDyanti-iha sADakAH &
   tasmāt kriyāṃ ca kālaṃ ca % asaṃjñeyaṃ prayatnataḥ // VT_236 //	tasmAt kriyAm ca kAlam ca % asaMjQA-iyam prayatnataH // VT_236 //
   śrīdevy uvāca	SrI-devI uvAca
   sa kālaś ca kathaṃ jñeyo $ yo 'sāv uktas tvayā prabho &	sa kAlaH ca kaTam jQeyaH $ yaH asO uktaH tvayA praBo &
   kālahīnānṛtaṃ manye % sarvam eva ca śaṅkara // VT_237 //	kAla-hIna-anRtam manye % sarvam eva ca SaFkara // VT_237 //
   śrī īśvara uvāca	SrI ISvaraH uvAca
   śṛṇu devi paraṃ guhyaṃ $ kālatattvātmavigraham &	SRNu devi param guhyam $ kAla-tattva-Atma-vigraham &
   yaj jñātvā tu sukhenaiva % siddhir bhavati mantriṇām // VT_238 //	yat jQAtvA tu suKena-eva % sidDiH Bavati mantriNAm // VT_238 //
   ayutaṃ dve ca vijñeyāḥ $ ṣoḍaśaiva śatāni ca &	ayutam dve ca vijQeyAH $ zoxaSa-eva SatAni ca &
   caturviṃśatisaṃkrāntyā % dvādaśāṅgulagatāgate // VT_239 //	caturviMSati-saMkrAntyA % dvAdaSa-aFgula-gata-Agate // VT_239 //
   śarīre tu yathā devi $ sthitaṃ sakalaniṣkalam &	SarIre tu yaTA devi $ sTitam sakala-nizkalam &
   tathā haṃsaṃ pravakṣyāmi % sādhakānāṃ hitāya vai // VT_240 //	taTA haMsam pravakzyAmi % sADakAnAm hitAya vE // VT_240 //
   pādau pāyur upastham ca $ hastau vāgindriyas tathā &	pAdO pAyuH upasTam ca $ hastO vAc-indriyaH taTA &
   śrotratvakcakṣuṣā jihvā % nāsikā ca tathāparā // VT_241 //	Srotra-tvac-cakzuzA jihvA % nAsikA ca taTA-aparAH // VT_241 //
   pṛthvy āpas tathā tejo $ vāyur ākāśam eva ca &	pRTvI ApaH taTA tejaH $ vAyuH AkASam eva ca &
   śabdaḥ sparśaś ca rūpaṃ ca % raso gandhas tathaiva ca // VT_242 //	SabdaH sparSaH ca rUpam ca % rasaH ganDaH taTA-eva ca // VT_242 //
   mano buddhir ahaṃkāro $ avyaktam puruṣas tathā &	manaH budDiH ahaMkAraH $ avyaktam puruzaH taTA &
   pañcaviṃśatitattvāni % śarīre tu vidur budhāḥ // VT_243 //	paQcaviMSati-tattvAni % SarIre tu viduH buDAH // VT_243 //
   ebhir ādhārabhūtais tu $ ādheyo dhyāyate sadā &	eBiH ADAra-BUtEH tu $ ADeyaH DyAyate sadA &
   ādhāraṃ puram ity uktaṃ % puruṣaś cādheya ucyate // VT_244 //	ADAram puram iti uktam % puruzaH ca-ADeyaH ucyate // VT_244 //
   hṛtpadme karṇikāvastha $ ūrdhvagāmī sadātmakaḥ &	hRd-padme karNikA-avasTa $ UrDva-gAmI sat-AtmakaH &
   niṣkalasya tu devasya % punar ādhārasaṃsthitiḥ // VT_245 //	nizkalasya tu devasya % punar ADAra-saMsTitiH // VT_245 //
   tatpuruṣam ādhārādheyaṃ $ niṣkalaṃ paramaṃ śivam &	tatpuruzam ADAra-ADeyam $ nizkalam paramam Sivam &
   ṣatkauśikaśarīraṃ tu % tattvānāṃ pañcaviṃśatiḥ // VT_246 //	zat-kOSika-SarIram tu % tattvAnAm paQcaviMSatiH // VT_246 //
   daśavāyusamāyuktaṃ $ nāḍībhir vyāpitaṃ puram &	daSa-vAyu-samAyuktam $ nAxIBiH vyApitam puram &
   śarīraṃ triguṇaṃ caiva % sarvadaivatasaṃyutam // VT_247 //	SarIram triguNam ca-eva % sarva-dEvata-saMyutam // VT_247 //
   anenādhiṣthitaṃ devi $ cakravat parivartate &	anena-ADizTitam devi $ cakra-vat parivartate &
   yathā tāragaṇaṃ sarvaṃ % grahanakṣatramaṇḍalam // VT_248 //	yaTA tAra-gaNam sarvam % graha-nakzatra-maNxalam // VT_248 //
   dhruvādhiṣthitaṃ tat sarvam $ acalaṃ parivartate &	Druva-aDizTitam tat sarvam $ acalam parivartate &
   tadvac charīraṃ devasya % sarvabījagaṇaṃ hi yat // VT_249 //	tadvat SarIram devasya % sarva-bIja-gaNam hi yat // VT_249 //
   śivenādhiṣthitaṃ jñātvā $ tantre siddhim avāpnuyāt &	Sivena-ADizTitam jQAtvA $ tantre sidDim avApnuyAt &
   trikubjikutilākārā % ṣaṣṭhasvarasamanvitā // VT_250 //	tri-kubji-kutila-AkArAH % zazWa-svara-samanvitAH // VT_250 //
   śaktir binduvinirbhinnā $ dehasthā sakalātmakā &	SaktiH bindu-vinirBinnA $ deha-sTA sakala-AtmakAH &
   asyās tejaḥśikhā sūkṣmā % mṛṇālatantusaṃnibhā // VT_251 //	asyAH tejaH-SiKA sUkzmA % mRNAla-tantu-saMniBAH // VT_251 //
   jyotirūpā ca sā jñeyā $ tasyānte tu punaḥ śivaḥ &	jyoti-rUpA ca sA jQeyA $ tasya-ante tu punar SivaH &
   akārādikṣakārāntam % ābrahmabhuvanaṃ jagat // VT_252 //	akAra-Adi-kzakAra-antam % Abrahma-Buvanam jagat // VT_252 //
   asmiṃś codpadyate sarvaṃ $ tatraiva pralayaṃ bhavet &	asmin ca-udpadyate sarvam $ tatra-eva pralayam Bavet &
   eṣa devaḥ paraḥ sūkṣma % ādhārādheyasaṃsthitaḥ // VT_253 //	eza devaH paraH sUkzmaH % ADAra-ADeya-saMsTitaH // VT_253 //
   ayane viṣuve caiva $ āgneyāmṛtakāraṇam &	ayane vizuve ca-eva $ Agneya-amRta-kAraNam &
   yadā vāruṇamārgastha % iḍāmadhyagato bhavet // VT_254 //	yadA vAruNa-mArga-sTa % ixA-maDya-gataH Bavet // VT_254 //
   himakundendusaṃkāśo $ vijñeyaḥ śucikarmaṇi &	hima-kunda-indu-saMkASaH $ vijQeyaH Suci-karmaNi &
   dvādaśādityasaṃkāśaḥ % piṅgalāntargato yadā // VT_255 //	dvAdaSa-Aditya-saMkASaH % piFgala-antargataH yadA // VT_255 //
   aruṇānalasaṃkāśaṃ $ raudrakarmaṇi yojayet &	aruNa-anala-saMkASam $ rOdra-karmaNi yojayet &
   suṣumnāyāṃ yadā deva % upaśānto vahaty asau // VT_256 //	suzumnAyAm yadA deva % upaSAntaH vahati asO // VT_256 //
   mokṣamārgam idaṃ devi $ jyotīrūpaṃ parāparam &	mokza-mArgam idam devi $ jyotIrUpam para-aparam &
   eṣa devo gatiś caiva % kālatattvātmavigrahaḥ // VT_257 //	eza devaH gatiH ca-eva % kAla-tattva-Atma-vigrahaH // VT_257 //
   sādhakasya hitārthāya $ paramārtham udāhṛtam &	sADakasya hita-arTAya $ parama-arTam udAhRtam &
   etatsarvaṃ samākhyātaṃ % kālatattvātmavigraham // VT_258 //	etat-sarvam samAKyAtam % kAla-tattva-Atma-vigraham // VT_258 //
   trisaṃsthe tu samāsena $ sarvatantreṣu siddhidam &	tri-saMsTe tu samAsena $ sarva-tantrezu sidDi-dam &
   nāḍīsaṃsthaṃ yathā karma % kurute mantriṇaḥ sadā // VT_259 //	nAxI-saMsTam yaTA karma % kurute mantriNaH sadA // VT_259 //
   tad ahaṃ sampravakṣyāmi $ śṛṇu tvaṃ ca varānane &	tat aham sampravakzyAmi $ SRNu tvam ca varAnane &
   iḍā ca piṅgalā caiva % nāḍyau dve samudāhṛte // VT_260 //	ixA ca piFgalA ca-eva % nAxyO dve samudAhRte // VT_260 //
   yato nityaṃ cared devaḥ $ kramaśaś ca nivartate &	yatas nityam caret devaH $ kramaSas ca nivartate &
   tāny ātmavatakarmāṇi % prayuktaṃ kurute prabhuḥ // VT_261 //	tAni Atmavata-karmANi % prayuktam kurute praBuH // VT_261 //
   sa eva kurute karma $ bījanāḍīprayogataḥ &	saH eva kurute karma $ bIja-nAxI-prayogataH &
   ayaṃ kālaḥ samākhyātas % tṛtvedaya ? samanvitaḥ // VT_262 //	ayam kAlaH samAKyAtaH % tRtvedayaH ? samanvitaH // VT_262 //
   dehastham kathitaṃ devi $ ṛtuyuktas tu sādhakaḥ &	deha-sTam kaTitam devi $ Rtu-yuktaH tu sADakaH &
   jñātvā kālaṃ ca tattvaṃ tu % tataḥ karma samārabhet // VT_263 //	jQAtvA kAlam ca tattvam tu % tatas karma samAraBet // VT_263 //
   śāntikaṃ pauṣtikaṃ cāpi $ vidveṣoccāṭanaṃ tathā &	SAntikam pOztikam ca-api $ vidveza-uccAwanam taTA &
   vaśyākarṣaṇakaṃ kuryād % yadi kālaṃ vijānate // VT_264 //	vaSya-AkarzaNakam kuryAt % yadi kAlam vijAnate // VT_264 //
   saumyāni saumyakāle tu $ raudre raudrāṇi kārayet &	sOmyAni sOmya-kAle tu $ rOdre rOdrANi kArayet &
   anyakālakṛtaṃ karma % vṛthā bhavati sādhake // VT_265 //	anya-kAla-kRtam karma % vRTA Bavati sADake // VT_265 //
   tasmāt sarvaprayatnena $ kāle karmāṇi kārayet &	tasmAt sarva-prayatnena $ kAle karmANi kArayet &
   svaraktaṃ gocanaṃ caiva % tathā sindūram eva ca // VT_266 //	sva-raktam gocanam ca-eva % taTA sindUram eva ca // VT_266 //
   kusumbharajaḥsammiśraṃ $ dadhimadhvājyasaṃyutam &	kusumBa-rajaH-sammiSram $ daDi-maDu-Ajya-saMyutam &
   khadirai raktasamidhair % athavā raktacandanaiḥ // VT_267 //	KadirEH rakta-samiDEH % aTavA raktacandanEH // VT_267 //
   atra digdhvā hunen mantrī $ saptāhād vaśam ānayet &	atra digDvA hunet mantrI $ sapta-ahAt vaSam Anayet &
   pratimāṃ lavaṇamayīṃ kṛtvā % śatābhimantritāṃ budhaḥ // VT_268 //	pratimAm lavaNa-mayIm kRtvA % Sata-aBimantritAm buDaH // VT_268 //
   pādau prabhṛti hotavyaṃ $ yāvad aṣṭaśataṃ bhavet &	pAdO praBRti hotavyam $ yAvat azwa-Satam Bavet &
   trisandhyām ekacittas tu % amoghavaśyatāṃ nayet // VT_269 //	tri-sanDyAm ekacittaH tu % amoGa-vaSya-tAm nayet // VT_269 //
   saikthīṃ tu pratimāṃ kṛtvā $ tryūṣaṇena tu lepayet &	sEkTIm tu pratimAm kRtvA $ tryUzaNena tu lepayet &
   pratimāsu susampūrṇaṃ % kaṇṭakair madanodbhavaiḥ // VT_270 //	pratimAsu su-sampUrNam % kaNwakEH madana-udBavEH // VT_270 //
   vidarbhya pādau guhyaṃ ca $ lalātaṃ ca vicakṣaṇaḥ &	vidarBya pAdO guhyam ca $ lalAtam ca vicakzaNaH &
   kucayugme ca devīnām % agrato nikhaneta tu // VT_271 //	kuca-yugme ca devInAm % agratas niKaneta tu // VT_271 //
   adhomukhāṃ viliptāṅgāṃ $ rājikālavaṇena tu &	aDomuKAm vilipta-aFgAm $ rAjikA-lavaNena tu &
   vāmanāsikaraktena % nāmamantrair vidarbhitām // VT_272 //	vAma-nAsika-raktena % nAma-mantrEH vidarBitAm // VT_272 //
   likhitvā hṛdaye kuryād $ vahniṃ prajvālya copari &	liKitvA hRdaye kuryAt $ vahnim prajvAlya ca-upari &
   rājikālavaṇaṃ caiva % hotavyāṣtaśataṃ budhaḥ // VT_273 //	rAjikA-lavaNam ca-eva % hota-vyAzta-Satam buDaH // VT_273 //
   trisandhyām eva saptāhāt $ trailokyaṃ vaśam ānayet &	tri-sanDyAm eva sapta-ahAt $ trElokyam vaSam Anayet &
   kulālakaranirmukta- % mṛdā pratimayīkṛtā // VT_274 //	kulAla-kara-nirmukta % mRdA pratimayIkRtA // VT_274 //
   tenaiva kaṇtakair viddhvā $ svasthānasthais tu mantriṇaḥ &	tena-eva kaNtakEH vidDvA $ sva-sTAna-sTEH tu mantriNaH &
   bhage vā athavā liṅge % sanmantrāṇy aṣṭaśatāni tu // VT_275 //	Bage vE aTavA liFge % sat-mantrANi azwa-SatAni tu // VT_275 //
   sūtrayed guhyadeśe tu $ gṛṇan mantraṃ tu sarvadā &	sUtrayet guhya-deSe tu $ gRNan mantram tu sarvadA &
