   (Gv 1)	(Gu 1)
   (Gv 159)	(Gu 159)
   30 Avalokiteśvaraḥ /	30 Avalokita ISvaraH /
   atha khalu sudhanaḥ śreṣṭhidārako veṣṭhilasya	aTa Kalu suDanaH SrezWi dArakaH vezWilasya
   gṛhapateranuśāsanīmanuvicintayan, taṃ bodhisattvādhimuktikośaṃ nigamayan,	gRhapateH anuSAsanIm anuvicintayan, tam boDisattva aDimukti koSam nigamayan,
   tadbodhisattvānusmṛtibalamanusmaran, taṃ buddhanetraparaṃparābalaṃ	tad boDisattva anusmRti balam anusmaran, tam budDa netra paraMparAbalam
   saṃdhārayan, taṃ buddhānantaryānusaṃdhimanugacchan, taṃ	saMDArayan, tam budDa anantarya anusaMDim anugacCan, tam
   buddhanāmaśrotrānugamamanusmaran, taṃ buddhadharmadeśanānayamanulomayan,	budDa nAma Srotra anugamam anusmaran, tam budDa Darma deSanA anayam anulomayan,
   taṃ buddhadharmasamudāgamavyūhamavataran,	tam budDa Darma samudAgama vyUham avataran,
   tadbuddhābhisaṃbodhivinarditamadhimucyamānaḥ, tadacintyaṃ	tad budDa aBisaMboDi vinarditam aDimucyamAnaH, tat acintyam
   tathāgatakarmābhimukhīkurvan anupūrveṇa yena potalakaḥ	taTAgata karma aBimuKIkurvan anupUrveNa yena potalakaH
   parvatastenopasaṃkramya potalakaṃ parvatamabhiruhya avalokiteśvaraṃ	parvataH tena upasaMkramya potalakam parvatam aBiruhya avalokita ISvaram
   bodhisattvaṃ parimārgan parigaveṣamāṇo 'drākṣīdavalokiteśvaraṃ	boDisattvam parimArgan parigavezamANaH adrAkzIt avalokiteSvaram
   bodhisattvaṃ paścimadikparvatotsaṅge utsasaraḥprasravaṇopaśobhite	boDisattvam paScima diS parvatA utsaFge utsasaraH prasravaNa upaSoBite
   nīlataruṇakuṇḍalakajātamṛduśādvalatale mahāvanavivare vajraratnaśilāyāṃ	nIla taruNa kuNxalaka jAta mRdu SAdvala tale mahA vana vivare vajra ratna SilAyAm
   paryaṅkaṃ baddhvā upaviṣṭaṃ	paryaFkam badDvA upavizwam
   nānāratnaśilātalaniṣaṇṇāparimāṇabodhisattvagaṇaparivṛtaṃ dharmaṃ	nAnA ratna SilA tala nizaNNA parimANa boDisattva gaNa parivRtam Darmam
   deśayamānaṃ sarvajagatsaṃgrahaviṣayaṃ mahāmaitrīmahākarūṇāmukhodyotaṃ nāma	deSayamAnam sarva jagat saMgraha vizayam mahAmEtrI mahAkarUNA muKa udyotam nAma
   dharmaparyāyaṃ saṃprakāśayantam / dṛṣṭvā ca punastuṣṭa udagra āttamanāḥ	Darma paryAyam saMprakASayantam / dRzwvA ca punar tuzwaH udagre Atta manAH
   pramuditaḥ prītisaumanasyajātaḥ praharṣitavikasitānimiṣanayanaḥ	pramuditaH prIti sOmanasya jAtaH praharzita vikasita animiza nayanaH
   kṛtāñjalipuṭaḥ kalyāṇamitraprasādavegānugatāvikṣiptacetāḥ kalyāṇamitreṣu	kRta aQjali puwaH kalyANa mitra prasAda vega anugata avikzipta cetAH kalyANa mitrezu
   sakalabuddhadarśanasaṃjñī	sakala budDa darSana saMjQI
   kalyāṇamitraprabhavasarvadharmameghasaṃpratīcchanasaṃjñī	kalyANa mitra praBava sarva Darma meGa saMprati icCana saMjQI
   kalyāṇamitrādhīnasarvaguṇapratipattisaṃjñī	kalyANa mitra aDIna sarva guNa pratipatti saMjQI
   kalyāṇamitrasamavadhānadurlabhasaṃjñī	kalyANa mitra samavaDAna durlaBa saMjQI
   kalyāṇamitrodbhavadaśabalajñānaratnapratilābhasaṃjñī	kalyANa mitra udBava daSa bala jQAna ratna pratilABa saMjQI
   kalyāṇamitrasamudbhavākṣayajñānālokasaṃjñī	kalyANa mitra samudBava akzaya jQAna Aloka saMjQI
   kalyāṇamitrāśrayasaṃvardhitapuṇyapravālasaṃjñī	kalyANa mitra ASraya saMvarDita puNya pravAla saMjQI
   kalyāṇamitrasaṃprakāśitasarvajñatādvārasaṃjñī	kalyANa mitra saMprakASita sarvajQa tA dvAra saMjQI
   kalyāṇamitroddeśitamahājñānasāgarāvatārasaṃjñī	kalyANa mitra uddeSita mahA jQAna sAgara avatAra saMjQI
   kalyāṇamitrasaṃjanitasarvajñatāsaṃbhārasamudayasaṃjñī yena avalokiteśvaro	kalyANa mitra saMjanita sarvajQa tA saMBAra samudaya saMjQI yena avalokita ISvaraH 
   bodhisattvastenābhijagāma //	boDisattvaH tena aBijagAma //
   atha khalu avalokiteśvaro bodhisattvaḥ sudhanaṃ śreṣṭhidārakaṃ dūrata eva	aTa Kalu avalokita ISvaraH boDisattvaH suDanam SrezWi dArakam dUratas eva
   āgacchantamavalokya āmantrayāmāsa   ehi / svāgataṃ te	AgacCantam avalokya AmantrayAmAsa  ehi / svAgatam te
   anupamodārācintyamahāyānasaṃprasthitā	anupama udAra acintya mahAyAna saMprasTitA
   jātamūlakavividhaduḥkhopadrutāpratiśaraṇasarvajagatparitrāṇāśayā	jAta mUlaka viviDa duHKa upadruta apratiSaraNa sarva jagat paritrANa ASayA
   sarvalokātikrāntānupamāprameyā sarvabuddhadharmādhyakṣatābhilāṣin	sarva loka atikrAnta anupama aprameyA sarva budDa Darma aDyakzata aBilAzin
   mahākarūṇāvegāviṣṭa sarvajagatparitrāṇamate	mahAkarUNA vega Avizwa sarva jagat paritrANa mate
   samantabhadradarśanacaryābhimukha mahāpraṇidhānamaṇḍalapariśodhanacitta	samantaBadra darSana caryA aBimuKa mahA praNiDAna maNxala pariSoDana citta
   sarvabuddhadharmameghasaṃdhāraṇābhilaṣitakuśalamūlopacayātṛptāśayakalyāṇamitrānuśāsanīsamyakpravṛttamañjuśrījñānasāgarasaṃbhūta	sarva budDa Darma meGa saMDAraNa aBilazita kuSala mUla upacaya atRpta ASaya kalyANa mitra anuSAsanI samyak pravRtta maQju SrI jQAna sAgara saMBUta
   guṇakamalākara buddhādhiṣṭhānapratilābhābhimukhaḥ	guNa kamala Akara budDa aDizWAna pratilABa aBimuKaH
   samādhyālokavegapratilabdha sarvabuddhadharmameghasaṃdhāraṇābhilaṣitacitta	samADi Aloka vega pratilabDa sarva budDa Darma meGa saMDAraNa aBilazita citta
   buddhadarśanaprītiprasādavegapraharṣitamānasa	budDa darSana prIti prasAda vega praharzita mAnasa
   acintyāpramāṇasucaritavegābhiṣyanditacetaḥ	acintya apramANa su carita vega aBizyandita cetaH
   guṇapratipattivegaviśuddhapuṇyajñānakośa	guNa pratipatti vega viSudDa puNya jQAna koSa
   svayamabhijñāmukhasarvajñajñānamātravegaparasaṃdarśābhiprāya	svayam aBijQA muKa sarvajQa jQAna mAtra vega para saMdarSa aBiprAya
   mahākaruṇāvegavipannamūlatathāgatajñānālokavega saṃdhāraṇamate //	mahA karuNA vega vipanna mUla taTA gata jQAna Aloka vega saMDAraNa mate //
   atha khalu sudhanaḥ śreṣṭhidārako yena avalokiteśvaro	aTa Kalu suDanaH SrezWi dArakaH yena avalokita ISvaraH 
   bodhisattvastenopasaṃkramya avalokiteśvara bodhisattvasya pādau	boDisattvaH tena upasaMkramya avalokita ISvara boDisattvasya pAdO
   śirasābhivandya avalokiteśvaraṃ bodhisattvamanekaśatasahasrakṛtvaḥ (Gv	SirasA aBivandya avalokita ISvaram boDisattvam aneka Sata sahasra kRtvas (Gu 
   160) pradakṣiṇīkṛtya purataḥ prāñjaliḥ sthitvā evamāha   mayā ārya,	160) pradakziNIkRtya puratas prAQjaliH sTitvA evam Aha  mayA Arya,
   anuttarāyāṃ samyaksaṃbodhau cittamutpāditam / na ca jānāmi kathaṃ	anuttarAyAm samyaksaMboDO cittam utpAditam / na ca jAnAmi kaTam
   bodhisattvena bodhisattvacaryāyāṃ śikṣitavyam, kathaṃ pratipattavyam /	boDisattvena boDisattva caryAyAm Sikzitavyam, kaTam pratipattavyam /
   śrutaṃ ca me āryo bodhisattvānāmavavādānuśāsanīṃ dadātīti / tadvadatu me	Srutam ca me AryaH boDisattvAnAm avavAda anuSAsanIm dadAti iti / tat vadatu me
   āryaḥ   kathaṃ bodhisattvena bodhisattvacaryāyāṃ śikṣitavyam, kathaṃ	AryaH  kaTam boDisattvena boDisattva caryAyAm Sikzitavyam, kaTam
   pratipattavyam //	pratipattavyam //
   atha khalu avalokiteśvaro bodhisattvo jāmbūnadasuvarṇavarṇaṃ	aTa Kalu avalokita ISvaraH boDisattvaH jAmbUnada suvarNa varNam
   vicitrāprameyaprabhājālavāhavyūhameghapramuñcanaṃ dakṣiṇaṃ bāhuṃ prasārya	vicitra aprameya praBA jAla vAha vyUha meGa pramuQcanam dakziNam bAhum prasArya
   lakṣaṇānuvyañjanavisṛtavividhavimalāmitakāyacittaprahlādasaṃjananaraśmipratānasaṃkusumitaṃ	lakzaNa anuvyaQjana visRta viviDa vimalA mita kAya citta prahlAda saMjanana raSmi pratAna saMkusu mitam
   pāṇiṃ sudhanasya śreṣṭhidārakasya mūrdhni pratiṣṭhāpya evamāha   sādhu	pANim suDanasya SrezWi dArakasya mUrDni pratizWApya evam Aha  sADu
   sādhu kulaputra, yena te anuttarāyāṃ samyaksaṃbodhau cittamutpāditam /	sADu kula putra, yena te anuttarAyAm samyaksaMboDO cittam utpAditam /
   ahaṃ kulaputra mahākaruṇāmukhāvilambaṃ nāma bodhisattvacaryāmukhaṃ	aham kula putra mahAkaruNA muKAvilambam nAma boDisattva caryA muKam
   prajānāmi / etacca kulaputra mahākaruṇāmukhāvilambaṃ	prajAnAmi / etat ca kula putra mahA karuNA muKa avilambam
   bodhisattvacaryāmukhaṃ sarvajagadasaṃbhinnasattvaparipākavinayanapravṛttaṃ	boDisattva caryA muKam sarva jagat asaMBinna sattva paripAka vinayana pravRttam
   samantamukhasrotavijñaptisattvasaṃgrahavinayaparyupasthānam / so 'haṃ	samanta muKa srota vijQapti sattva saMgraha vinaya paryupasTAnam / saH aham
   kulaputra mahākaruṇāmukhāvilambabodhisattvacaryāmukhe pratiṣṭhitaḥ	kula putra mahA karuNA muKa avilamba boDisattva caryA muKe pratizWitaH
   sarvatathāgatānāṃ ca pādamulānna vicalāmi, sarvasattvakāryeṣu ca	sarva taTAgatAnAm ca pAda mulAt na vicalAmi, sarva sattva kAryezu ca
   abhimukhastiṣṭhāmi / dānenāpi sattvān saṃgṛhṇāmi / priyavāditayā	aBimuKaH tizWAmi / dAnena api sattvAn saMgRhNAmi / priya vAdi tayA
   arthakriyayā samānārthatayāpi sattvān saṃgṛhṇāmi / rūpakāyavidarśanenāpi	arTa kriyayA samAna arTa tayA api sattvAn saMgRhNAmi / rUpa kAya vidarSanena api
   sattvān paripācayāmi / acintyavarṇasaṃsthānarūpadarśanaviśuddhyā	sattvAn paripAcayAmi / acintya varNa saMsTAna rUpa darSana viSudDyA
   raśmijālotsargeṇāpi sattvān prahlādya paripācayāmi /	raSmi jAla utsargeNa api sattvAn prahlAdya paripAcayAmi /
   yathāśayaghoṣodāhāreṇāpi yathābhimateryāpathasaṃdarśanenāpi	yaTA ASaya Goza udAhAreNa api yaTA aBimateH yApaTa saMdarSanena api
   vividhādhimuktisabhāgadharmadeśanayāpi nānārūpavikurvitenāpi	viviDa aDimukti saBAga Darma deSanayA api nAnA rUpa vikurvitena api
   kuśaladharmopacayapravṛttasattvacittasaṃcodanayāpi	kuSala Darma upacaya pravRtta sattva citta saMcodanayA api
   āśayānurūpavicitrāparimāṇanirmāṇasaṃdarśanenāpi	ASaya anurUpa vicitrA parimANa nirmANa saMdarSanena api
   nānājātyupapannasattvasabhāgarūpasaṃdarśanenāpi ekāvāsanivāsenāpi sattvān	nAnA jAti upapanna sattva saBAga rUpa saMdarSanena api eka AvAsa nivAsena api sattvAn
   saṃgṛhṇāmi paripācayāmi / tena mayā kulaputra idaṃ mahākaruṇāmukhāvilambaṃ	saMgRhNAmi paripAcayAmi / tena mayA kula putraH idam mahA karuNA muKa avilambam
   bodhisattvacaryāmukhaṃ pariśodhayatā	boDisattva caryA muKam pariSoDayatA
   sarvajagatpratiśaraṇapraṇidhirutpāditaḥ, yaduta	sarva jagat pratiSaraNa praNiDiH utpAditaH, yat uta
   sarvasattvaprapātabhayavigamāya sarvasattvasaṃtrāsakabhayapraśamanāya	sarva sattva prapAta Baya vigamAya sarva sattva saMtrAsaka Baya praSamanAya
   sarvasattvasaṃmohabhayavinivartanāya sarvasattvabandhanabhayasamucchedāya	sarva sattva saMmoha Baya vinivartanAya sarva sattva banDana Baya samucCedAya
   sarvasattvajīvitoparodhopakramabhayavyāvartanāya	sarva sattva jIvita uparoDa upakrama Baya vyAvartanAya
   sarvasattvopakaraṇavaikalyabhayāpanayanāya	sarva sattva upakaraNa vEkalya Baya apanayanAya
   sarvasattvajīvikābhayavyupaśamanāya / sarvasattvāślokabhayasamatikramaṇāya	sarva sattva jIvikA Baya vyupaSamanAya / sarva sattva ASloka Baya samatikramaNAya
   sarvasattvasāṃsārikabhayopaśamanāya sarvasattvaparṣacchāradyabhayavigamāya	sarva sattva sAMsArika Baya upaSamanAya sarva sattva parzad SAradya Baya vigamAya
   sarvasattvamaraṇabhayavyatikramāya sarvasattvadurgatibhayavinivartanāya	sarva sattva maraNa Baya vyatikramAya sarva sattva durgati Baya vinivartanAya
   sarvasattvatamondhakāraviṣamagatyapratyudāvartyāvabhāsakaraṇāya	sarva sattva tamonDakAra vizama gati apratyudAvartya avaBAsa karaNAya
   sarvasattvaviṣabhāgasamavadhānabhayātyantavigamāya	sarva sattva viza BAga samavaDAn aBaya atyanta vigamAya
   sarvasattvapriyaviprayogabhayanirodhāya	sarva sattva priya viprayoga Baya niroDAya
   sarvasattvāpriyasaṃvāsabhayāpanayanāya	sarva sattva apriya saMvAsa Baya apanayanAya
   sarvasattvakāyaparipīḍābhayasaṃyogāya	sarva sattva kAya paripIxA aBaya saMyogAya
   sarvasattvacittaparipīḍanabhayanirmokṣaṇāya	sarva sattva citta paripIxana Baya nirmokzaNAya
   sarvasattvaduḥkhadaurmanasyopāyāsasamatikramāya	sarva sattva duHKa dOrmanasya upAyAsa samatikramAya
   sarvajagatpratiśaraṇapraṇidhyabhinirhāraḥ kṛtaḥ / anusmṛtimukhaṃ ca me	sarva jagat pratiSaraNa praNiDi aBinirhAraH kRtaH / anusmRti muKam ca me
   sarvaloke 'dhiṣṭhitaṃ sarvasattvabhayavyupaśamanāya / svanāmacakraṃ me	sarva loke aDizWitam sarva sattva Baya vyupaSamanAya / sva nAma cakram me
   sarvaloke 'bhivijñaptaṃ sarvasattvabhayavigamāya /	sarva loke aBivijQaptam sarva sattva Baya vigamAya /
   sarvajagadanantākṛtibhedaśamatho me kāye 'dhiṣṭhito	sarva jagat ananta AkRti BedaSam aTaH me kAye aDizWitaH 
   yathākālajagatprativijñaptaye / so 'haṃ kulaputra, anenopāyena sattvān	yaTAkAla jagat prativijQaptaye / saH aham kula putra, anena upAyena sattvAn
   sarvabhayebhyaḥ parimocya anuttarāyāṃ samyaksaṃbodhau cittamutpādya	sarva BayeByaH parimocya anuttarAyAm samyaksaMboDO cittam utpAdya
   avivartyān karomi buddhadharmapratilābhāya / etamahaṃ kulaputra	avivartyAn karomi budDa Darma pratilABAya / etam aham kula putra
   mahākaruṇāmukhāvilambasya (Gv 161) bodhisattvacaryāmukhasya lābhī / kiṃ	mahA karuNA muKa avilambasya (Gu 161) boDisattva caryA muKasya lABI / kim
   mayā śakyaṃ samantabhadrāṇāṃ bodhisattvānāṃ	mayA Sakyam samantaBadrANAm boDisattvAnAm
   sarvabuddhapraṇidhānamaṇḍalaviśuddhānāṃ	sarva budDa praNiDAna maNxala viSudDAnAm
   samantabhadrabodhisattvacaryāgatiṃgatānāṃ	samantaBadra boDisattva caryA gatiMgatAnAm
   kuśaladharmābhisaṃskārāvyavacchinnasrotānāṃ	kuSala Darma aBisaMskAra avyavacCinna srotAnAm
   sarvabodhisattvasamādhiśrotrasadāsamāhitānāṃ	sarva boDisattva samADi Srotra sadA samAhitAnAm
   sarvakalpasaṃvāsacaryāvivartyasrotānāṃ sarvatra adhvanayānugatasrotānāṃ	sarva kalpa saMvAsa caryA vivarti asrotAnAm sarvatra aDvanaya anugata srotAnAm
   sarvalokadhātvāvartaparivartasrotakuśalānāṃ	sarva loka DAtu Avarta parivarta srota kuSalAnAm
   sarvasattvākuśalacittavyupaśamakarasrotānāṃ	sarva sattva akuSala citta vyupaSama kara srotAnAm
   sarvasattvakuśalacittasaṃvardhanasrotānāṃ	sarva sattva kuSala citta saMvarDana srotAnAm
   sarvasattvasaṃsārasrotovinivartikarasrotānāṃ caryāṃ jñātuṃ guṇān vā vaktum	sarva sattva saMsAra srotaH vinivarti kara srotAnAm caryAm jQAtum guNAn vA vaktum
   tatredamucyate  	tatra idam ucyate  
   kṛtvā pradakṣiṇu stavitva ca gauraveṇa prakānta dakṣiṇapathaṃ sudhanaḥ	kRtvA pradakziNu stavitva ca gOraveNa prakAnta dakziNa paTam suDanaH
   sudāntaḥ /	su dAntaH /
   so paśyate ratnaparvatakandarasthaṃ avalokiteśvaramṛṣiṃ karuṇāvihārim // 1	saH paSyate ratna parvata kandara sTam avalokiteSvaram Rzim karuNO= ihArim // 1
   vajrāmaye giritaṭe maṇiratnacitre siṃhāsane padumagarbhi niṣaṇṇa dhīro /	vajra Amaye giri tawe maNi ratna citre siMhAsane padum agarBi nizaNNa DIraH /
   devāsurairbhujagakinnararākṣasaiśca parivārito jinasutairvadi teṣa dharmam	deva asurEH Bujaga kinnara rAkzasEH ca parivAritaH jinasutEH vadi teza Darmam
   dṛṣṭvopajāta atulā sudhanasya prīti upagamya vandati kramau guṇasāgarasya	dRzwvA upajAta atulA suDanasya prIti upagamya vandati kramO guNa sAgarasya
   ovāca dehi mama ārya kṛpāṃ janitvā śikṣāṃ tu ahu labhe ima bhadracaryām //	ovAca dehi mama Arya kRpAm janitvA SikzAm tu ahu laBe ima BadracaryAm //
   bāhuṃ praṇamya vimalaṃ śatapuṇyacitraṃ prabhameghajāla vipulaṃ śubha	bAhum praNamya vimalam Sata puNya citram praBa meGa jAla vipulam SuBa
   muñcamānaḥ /	muQcamAnaH /
   mūrdhni sthihitva sudhanasya viśuddhasattvo avalokiteśvaru vidū vacanaṃ	mUrDni sTihitva suDanasya viSudDa sattvaH avalokita ISvaru vidU vacanam
   bhaṇāti // 4 //	BaNAti // 4 //
   ekaṃ vimokṣamukha jānami buddhaputra sarvajināna karuṇāghanajñānagarbham /	ekam vimokza muKa jAnami budDa putra sarva jinAna karuNA Gana jQAna garBam /
   saṃbhūta sarvajagatrāyaṇasaṃgrahāya sarvatra vartati mamāpyatha ātmaprema	saMBUta sarva jagatrAyaNa saMgrahAya sarvatra vartati mama api aTa Atma prema
   trāyāmi sarvajanatāṃ vyasanairanekaiḥ ye gāḍhabandhanagatāriṣu	trAyAmi sarva janatAm vyasanEH anekEH ye gAXa banDa na gatArizu
   hastaprāptāḥ /	hasta prAptAH /
   gātreṣu viddha tatha cārakasaṃniruddhā mucyanti bandhanagatā mama nāma	gAtrezu vidDa taTa cAraka saMnirudDAH mucyanti banDana gatA mama nAma
   śrutvā // 6 //	SrutvA // 6 //
   (Gv 162)	(Gu 162)
   utsṛṣṭaḥ vadhya nṛpatīna kṛtāparādhāḥ kṣiptā iṣu na ca kramanti śarīri	utsRzwaH vaDya nRpatIna kRta aparADAH kziptAH izu na ca kramanti SarIri
   teṣām /	tezAm /
   chidyanti śastra parivartati tīkṣṇa dhārā ye nāmadheyu mama tatra	Cidyanti Sastra parivartati tIkzNa DArAH ye nAmaDeyu mama tatra
   anusmaranti // 7 //	anusmaranti // 7 //
   rājāna madhyagata ye ca vivādaprāptā vijinanti sarvaripavo 'tha śubhe	rAjAnaH maDya gata ye ca vivAda prAptAH vijinanti sarva ripavaH aTa SuBe
   labhante /	laBante /
   vardhanti sarva yaśa mitrakule dhanāni bhontī adharṣiya smaritvana mahya	varDanti sarva yaSa mitra kule DanAni BontI aDarziya smaritvana mahya
   nāma // 8 //	nAma // 8 //
   coraṃbhayā aribhayā aṭavīpraveśāḥ siṃhaṛddhadvīpicamarīmṛgavyālakīrṇāḥ /	coraMBayAH ari BayAH awavI praveSAH siMhaRdDa dvIpi camarI mRga vyAla kIrNAH /
   gacchanti nirbhaya jinitvana sarvaśatrūn ye nāmadheyu mama	gacCanti nirBaya jinitvana sarva SatrUn ye nAmaDeyu mama
   kecidanusmaranti // 9 //	kecid anusmaranti // 9 //
   kṣiptā manāgiritaṭītu praduṣṭacittairaṅgārakarṣu jvalitā api co vadhārtham	kziptA manAgiri tawI tu praduzwa cittEH aFgAra karzu jvalitAH api caH vaDa arTam
   padmāṅkurā jalanidhi jvalanā bhavanti ye nāmadheyu mama kecidanusmaranti	padma aFkurAH jalaniDi jvalanAH Bavanti ye nAmaDeyu mama kecid anusmaranti
   prakṣipta sāgarajale na marenti tatra nadyāṃ na cohyati na dahyati	prakzipta sAgara jale na marenti tatra nadyAm na ca uhyati na dahyati
   cāgnimadhye /	ca agni maDye /
   sarve anartha na bhavantyapi cārthasiddhiḥ nāmaṃ mamā anusmaritva	sarve anarTa na Bavanti api ca arTa sidDiH nAmam mamA anusmaritva
   muhūrtakaṃ pi // 11 //	muhUrtakam pi // 11 //
   haḍidaṇḍabandhanigaḍāśca tathā kudaṇḍā avamānanā tatha vimānana	haxi daNxa banDa nigaxAH ca taTA kudaNxAH avamAnanA taTa vimAnana
   ṭhambhanāśca /	WamBanAH ca /
   ākrośatāḍanavibhartsanatarjanāśca mama nāmadheyu smaramāṇa labhanti mokṣam	AkroSa tAxana viBartsana tarjanAH ca mama nAmaDeyu smaramANa laBanti mokzam
   ye vairiṇo vivarachidragaveṣiṇaśca nityapraduṣṭamana ye ca avarṇavādī /	ye vEriNaH vivara Cidra gaveziNaH ca nitya praduzwa manaH ye ca avarNa vAdI /
   sahadarśanena tada maitramanā bhavanti bheṣyanti varṇi śruta mahya	saha darSanena tada mEtra manAH Bavanti Bezyanti varNi Sruta mahya
   smaritva nāma // 13 //	smaritva nAma // 13 //
   vetālamantratha kakhorda sadā prayuktā ghātārtha teṣa ripavaḥ stimitā	vetAlamantraTa kaKoH da sadA prayuktA GAta arTa teza ripavaH stimitA
   bhavanti /	Bavanti /
   (Gv 163)	(Gu 163)
   teṣa śarīri na kramanti viṣā aśeṣā ye nāmadheṣu mama kecidanusmaranti //	teza SarIri na kramanti vizAH aSezAH ye nAmaDezu mama kecid anusmaranti //
   nāgendrārākṣasagaṇairgaruḍaiḥ piśācaiḥ	nAga indra arAkzasa gaNEH garuxEH piSAcEH
   kumbhāṇḍapūtanaviheḍakaraudracittaiḥ /	kumBANxa pUtana vihexaka rOdra cittEH /
   ojoharairbhayakaraiḥ supināntare 'pi śāmyanti sarvi mama nāma anusmaritvā	ojaH harEH Baya karEH su pina antare api SAmyanti sarvi mama nAma anusmaritvA
   mātāpitāsuhṛdajñātikabāndhavehi nāviprayogu na pi cāpriyasaṃprayogaḥ /	mAtA pita asu hRd ajQAtika bAnDavehi na aviprayogu na pi ca apriya saMprayogaH /
   na dhanakṣayo nāpi upaiti daridrabhāvaṃ nāmaṃ mamā anusaritva muhūrtakaṃ	na Dana kzayaH na api upEti daridra BAvam nAmam mamA anusaritva muhUrtakam
   pi // 16 //	pi // 16 //
   na ca gacchati cyuta ito narakaṃ avīciṃ na tiraścayoni na ca preta na	na ca gacCati cyutaH itas narakam avIcim na tiraSca yoni na ca preta na
   cākṣaṇāni /	ca akzaNAni /
   deve manuṣya upapadyati śuddhasattvo yo nāmadheyu mama kecidanusmaranti //	deve manuzyaH upapadyati SudDa sattvaH yaH nAmaDeyu mama kecid anusmaranti //
   na ca andhakāṇabadhirā na pi carcigātrā na ca raudra khañjā atha cāṭaka	na ca anDakANa baDirAH na pi carci gAtrA na ca rOdra KaQjAH aTa cAwaka
   prekṣaṇīyā /	prekzaNIyA /
   sarvendriyairavikalā bahukalpakoṭyo bhontī narā mama smaritvana nāmadheyam	sarva indriyEH avikalA bahu kalpa kowyaH BontI narAH mama smaritvana nAmaDeyam
   avalokiteti mama te sugatiṃ vajranti yo puṣpamuṣṭi mama okirate śarīre /	avalokita iti mama te su gatim vajranti yaH puzpa muzwi mama okirate SarIre /
   dhūpāṃśca dhūpayati yaśca dadāti chatraṃ vistārikai puja karoti	DUpAn= ca DUpayati yaH ca dadAti Catram vistArikEH puja karoti
   prasannacitto	prasanna cittaH 
   mama buddhakṣetri sa ca bheṣyati dakṣiṇīyaḥ // 19 //	mama budDa kzetri sa ca Bezyati dakziNIyaH // 19 //
   upapadyate itu cyavitvana śuddhasattvo buddhāna saṃmukha daśaddiśi	upapadyate itu cyavi tvana SudDa sattvaH budDAna saMmuKa daSat diSi
   lokadhātau /	lokaDAtO /
   buddhāṃśca paśyati śṛṇoti ca teṣa dharmaṃ ye nāmadheyu mama	budDAn= ca paSyati SRNoti ca teza Darmam ye nAmaDeyu mama
   kecidanusmaranti // 20 //	kecid anusmaranti // 20 //
   ete tathānya kṣayituṃ nimituṃ na śakyā yāvaccupāyi ahu sattva vinemi loke	ete taTA anya kzayitum nimitum na SakyA yAvat cupAyi ahu sattva vinemi loke
   eko vimokṣa mama bhāvitu buddhaputra nāhaṃ guṇān guṇadharāṇa vijāni sarvān	ekaH vimokza mama BAvitu budDa putra na aham guNAn guNa DarANa vijAni sarvAn
   (Gv 164)	(Gu 164)
   aṣṭāpadākṛtu daśaddiśi lokadhātau kalyāṇamitra samupāsita sūdhanena /	azwApadAkRtu daSat diSi lokaDAtO kalyANa mitra samupAsita sUDanena /
   na ca tṛptu dharma śruṇamāṇu jinaurasānāṃ kasmānna prīti bhavati śruṇamāna	na ca tRptu Darma SruNam ANu jinOrasAnAm kasmAt na prIti Bavati SruNamAna
   dharmam // 22 //	Darmam // 22 //
   tena khalu punaḥ samayena ananyagāmī nāma bodhisattvaḥ pūrvasyāṃ diśi	tena Kalu punar samayena ananya gAmI nAma boDisattvaH pUrvasyAm diSi
   gaganatalenāgatya sahāyā lokadhātoścakravālaśikhare pratyaṣṭhāt /	gagana talena Agatya sahAyAH lokaDAtoH cakravAla SiKare pratyazWAt /
   samantarapratiṣṭhāpitau ca ananyagāminā bodhisattvena sahāyā	samantara pratizWApitO ca ananya gAminA boDisattvena sahAyA
   lokadhātoścakravālaśikhare pādau, tatkṣaṇādiyaṃ sahālokadhātuḥ ṣaḍvikāraṃ	lokaDAtoH cakravAla SiKare pAdO, tad kzaNAt iyam saha AlokaDAtuH zaz vikAram
   prākampata, anekaratnamayī ca saṃsthitābhūt / tathārūpā ca ananyagāminā	prAkampata, aneka ratna mayI ca saMsTitA aBUt / taTArUpA ca ananya gAminA
   bodhisattvena kāyāt prabhā pramuktā, yayā prabhayā sarvacandrasūryaprabhā	boDisattvena kAyAt praBA pramuktA, yayA praBayA sarva candra sUrya praBA
   paryādattāḥ,	paryAdattAH,
   sarvadevanāgayakṣagandharvāsuragaruḍakinnaramahoragaśakrabrahmalokapālānāmagnimaṇijyotiṣāṃ	sarva deva nAga yakza ganDarva asura garuxa kinnara mahA uraga Sakra brahma lokapAlAnAm agni maNi jyotizAm
   ca prabhā jihmīkṛtāḥ, sarvamahānarakāścāvabhāsitāḥ,	ca praBA jihmIkRtAH, sarva mahA narakAH ca avaBAsitAH,
   sarvatiryagyoniyamalokagatigahanaṃ cāvabhāsitam, sarvāpāyaduḥkhāni ca	sarva tiryagyoni yama loka gati gahanam ca avaBAsitam, sarva apAya duHKAni ca
   tadanantaraṃ praśāntāni / sarvasattvānāṃ ca kleśā na bādhante /	tad anantaram praSAntAni / sarva sattvAnAm ca kleSAH na bADante /
