   BhP_07.01.001/0 śrīrājovāca	BhP_07.01.001/0 SrI-rAjA-uvAca
   vicukruśuḥ	vicukruSuH
   BhP_07.08.033/1 dyaustatsaṭotkṣiptavimānasaṅkulā protsarpata kṣmā ca	Bhu-_07.08.033/1 dyOH-tad-sawA-utkzipta-vimAna-saFkulA protsarpata kzmA ca
   padābhipīḍitā	pada-aBipIxitA
   BhP_07.08.033/2 śailāḥ samutpeturamuṣya raṃhasā tattejasā khaṃ kakubho na	Bhu-_07.08.033/2 SElAH samutpetuH-amuzya raMhasA tad-tejasA Kam kakuBaH na
   rejire	rejire
   BhP_07.08.034/1 tataḥ sabhāyāmupaviṣṭamuttame nṛpāsane sambhṛtatejasaṃ	Bhu-_07.08.034/1 tatas saBAyAm-upavizwam-uttame nRpa-Asane samBRta-tejasam
   vibhum	viBum
   BhP_07.08.034/2 alakṣitadvairathamatyamarṣaṇaṃ pracaṇḍavaktraṃ na babhāja	Bhu-_07.08.034/2 alakzita-dvEraTam-atyamarzaNam pracaNxa-vaktram na baBAja
   kaścana	kaScana
   BhP_07.08.035/1 niśāmya lokatrayamastakajvaraṃ tamādidaityaṃ hariṇā hataṃ	BhP_07.08.035/1 niSAmya lokatraya-mastaka-jvaram tam-AdidEtyam hariNA hatam
   mṛdhe	mRDe
   BhP_07.08.035/2 praharṣavegotkalitānanā muhuḥ prasūnavarṣairvavṛṣuḥ	Bhu-_07.08.035/2 praharza-vega-utkalita-AnanAH muhur prasUna-varzEH-vavRzuH
   surastriyaḥ	sura-striyaH
   BhP_07.08.036/1 tadā vimānāvalibhirnabhastalaṃ didṛkṣatāṃ saṅkulamāsa	Bhu-_07.08.036/1 tadA vimAna-AvaliBiH-naBastalam didRkzatAm saFkulam-Asa
   nākinām	nAkinAm
   BhP_07.08.036/2 surānakā dundubhayo 'tha jaghnire gandharvamukhyā	BhP_07.08.036/2 surAnakAH dunduBayaH aTa jaGnire ganDarva-muKyA
   nanṛturjaguḥ striyaḥ	nanRtuH-jaguH striyaH
   BhP_07.08.037/1 tatropavrajya vibudhā brahmendragiriśādayaḥ	Bhu-_07.08.037/1 tatra-upavrajya vibuDAH brahma-indra-giriSa-AdayaH
   BhP_07.08.037/2 ṛṣayaḥ pitaraḥ siddhā vidyādharamahoragāḥ	Bhu-_07.08.037/2 RzayaH pitaraH sidDAH vidyADara-mahA-uragAH
   BhP_07.08.038/1 manavaḥ prajānāṃ patayo gandharvāpsaracāraṇāḥ	Bhu-_07.08.038/1 manavaH prajAnAm patayaH ganDarva-apsara-cAraNAH
   BhP_07.08.038/2 yakṣāḥ kimpuruṣāstāta vetālāḥ sahakinnarāḥ	Bhu-_07.08.038/2 yakzAH kimpuruzAH-tAta vetAlAH saha-kinnarAH
   BhP_07.08.039/1 te viṣṇupārṣadāḥ sarve sunandakumudādayaḥ	Bhu-_07.08.039/1 te vizNu-pArzadAH sarve sunanda-kumuda-AdayaH
   BhP_07.08.039/2 mūrdhni baddhāñjalipuṭā āsīnaṃ tīvratejasam	Bha-a_07.08.039/2 mUrDni badDAQjali-puwAH AsInam tIvra-tejasam
   BhP_07.08.039/3 īḍire naraśārdulaṃ nātidūracarāḥ pṛthak	Bhu-_07.08.039/3 Ixire nara-SArdulam na-ati-dUra-carAH pRTak-
   BhP_07.08.040/0 śrībrahmovāca	Bhu-_07.08.040/0 SrI-brahmA-uvAca
   BhP_07.08.040/1 nato 'smyanantāya durantaśaktaye vicitravīryāya	Bhu-_07.08.040/1 nataH asmi-anantAya duranta-Saktaye vicitravIryAya
   pavitrakarmaṇe	pavitra-karmaNe
   BhP_07.08.040/2 viśvasya sargasthitisaṃyamān guṇaiḥ svalīlayā sandadhate	Bhu-_07.08.040/2 viSvasya sarga-sTiti-saMyamAn guNEH sva-lIlayA sandaDate
   'vyayātmane	avyaya-Atmane
   BhP_07.08.041/0 śrīrudra uvāca	BhP_07.08.041/0 SrI-rudraH uvAca
   BhP_07.08.041/1 kopakālo yugāntaste hato 'yamasuro 'lpakaḥ	Bhu-_07.08.041/1 kopa-kAlaH yuga-antaH-te hataH ayam-asuraH alpakaH
   BhP_07.08.041/2 tatsutaṃ pāhyupasṛtaṃ bhaktaṃ te bhaktavatsala	Bhu-_07.08.041/2 tad-sutam pAhi-upasRtam Baktam te Bakta-vatsala
   BhP_07.08.042/0 śrīindra uvāca	Bhu-_07.08.042/0 SrIindraH uvAca
   BhP_07.08.042/1 pratyānītāḥ parama bhavatā trāyatā naḥ svabhāgā	Bhu-_07.08.042/1 pratyAnItAH parama BavatA trAyatA naH sva-BAgA
   BhP_07.08.042/2 daityākrāntaṃ hṛdayakamalaṃ tadgṛhaṃ pratyabodhi	Bhu-_07.08.042/2 dEtya-AkrAntam hRdaya-kamalam tat-gRham pratyaboDi
   BhP_07.08.042/3 kālagrastaṃ kiyadidamaho nātha śuśrūṣatāṃ te	Bhu-_07.08.042/3 kAlagrastam kiyat-idamahaH nATa SuSrUzatAm te
   BhP_07.08.042/4 muktisteṣāṃ na hi bahumatā nārasiṃhāparaiḥ kim	Bha-a_07.08.042/4 muktiH-tezAm na hi bahu-matA nArasiMha-aparEH kim
   BhP_07.08.043/0 śrīṛṣaya ūcuḥ	Bhu-_07.08.043/0 SrIRzayaH UcuH
   BhP_07.08.043/1 tvaṃ nastapaḥ paramamāttha yadātmatejo	Bhu-_07.08.043/1 tvam naH-tapaH paramam-AtTa yadA-Atma-tejaH-
   BhP_07.08.043/2 yenedamādipuruṣātmagataṃ sasarktha	Bhu-_07.08.043/2 yena-idam-Adi-puruza-Atma-gatam sa-sarkTa
   BhP_07.08.043/3 tadvipraluptamamunādya śaraṇyapāla	Bhu-_07.08.043/3 tad-vipraluptam-amunA-adya SaraNyapAla
   BhP_07.08.043/4 rakṣāgṛhītavapuṣā punaranvamaṃsthāḥ	Bhu-_07.08.043/4 rakzA-gRhIta-vapuzA punar-anvamaMsTAH
   BhP_07.08.044/0 śrīpitara ūcuḥ	Bhu-_07.08.044/0 SrI-pitaraH UcuH
   BhP_07.08.044/1 śrāddhāni no 'dhibubhuje prasabhaṃ tanūjair	Bhu-_07.08.044/1 SrAdDAni naH aDi-buBuje prasaBam tanUjEH-
   BhP_07.08.044/2 dattāni tīrthasamaye 'pyapibat tilāmbu	Bhu-_07.08.044/2 dattAni tIrTa-samaye api-apibat tila-ambu
   BhP_07.08.044/3 tasyodarān nakhavidīrṇavapādya ārcchat	Bhu-_07.08.044/3 tasya-udarAt naKa-vidIrNavapAdyaH ArcCat-
   BhP_07.08.044/4 tasmai namo nṛharaye 'khiladharmagoptre	Bhu-_07.08.044/4 tasmE namaH nR-haraye aKila-Darma-goptre
   BhP_07.08.045/0 śrīsiddhā ūcuḥ	BhP_07.08.045/0 SrI-sidDAH UcuH
   BhP_07.08.045/1 yo no gatiṃ yogasiddhāmasādhur ahārṣīdyogatapobalena	Bhu-_07.08.045/1 yaH naH gatim yoga-sidDAmasADuH ahArzIt-yoga-tapaH-balena
   BhP_07.08.045/2 nānā darpaṃ taṃ nakhairvidadāra tasmai tubhyaṃ praṇatāḥ	Bhu-_07.08.045/2 nAnA darpam tam naKEH-vidadAra tasmE tuByam praNatAH
   smo nṛsiṃha	smaH nRsiMha
   BhP_07.08.046/0 śrīvidyādharā ūcuḥ	Bhu-_07.08.046/0 SrIvidyADarAH UcuH
   BhP_07.08.046/1 vidyāṃ pṛthag dhāraṇayānurāddhāṃ nyaṣedhadajño	Bhu-_07.08.046/1 vidyAm pRTak DAraNayA-anurAdDAm nyazeDa-dajQaH-
   balavīryadṛptaḥ	bala-vIrya-dRptaH
   BhP_07.08.046/2 sa yena saṅkhye paśuvaddhatastaṃ māyānṛsiṃhaṃ praṇatāḥ sma	Bhu-_07.08.046/2 sa yena saFKye paSu-vat-hataH-tam mAyA-nRsiMham praNatAH sma
   nityam	nityam
   BhP_07.08.047/0 śrīnāgā ūcuḥ	Bhu-_07.08.047/0 SrI-nAgAH UcuH
   BhP_07.08.047/1 yena pāpena ratnāni strīratnāni hṛtāni naḥ	Bhu-_07.08.047/1 yena pApena ratnAni strI-ratnAni hRtAni naH
   BhP_07.08.047/2 tadvakṣaḥpāṭanenāsāṃ dattānanda namo 'stu te	Bhu-_07.08.047/2 tad-vakzaH-pAwanena-AsAm datta-Ananda namaH astu te
   BhP_07.08.048/0 śrīmanava ūcuḥ	Bhu-_07.08.048/0 SrImanavaH UcuH
   BhP_07.08.048/1 manavo vayaṃ tava nideśakāriṇo ditijena deva	Bhu-_07.08.048/1 manavaH vayam tava nideSa-kAriNaH ditijena deva
   paribhūtasetavaḥ	pariBUta-setavaH
   BhP_07.08.048/2 bhavatā khalaḥ sa upasaṃhṛtaḥ prabho karavāma te	BhP_07.08.048/2 BavatA KalaH saH upasaMhRtaH praBo karavAma te
   kimanuśādhi kiṅkarān	kim-anuSADi kiFkarAn
   BhP_07.08.049/0 śrīprajāpataya ūcuḥ	Bhu-_07.08.049/0 SrI-prajApatayaH UcuH
   BhP_07.08.049/1 prajeśā vayaṃ te pareśābhisṛṣṭā na yena prajā vai sṛjāmo	Bhu-_07.08.049/1 prajA-ISAH vayam te pareSa-aBisRzwAH na yena prajAH vE sRjAmaH-
   niṣiddhāḥ	nizidDAH
   BhP_07.08.049/2 sa eṣa tvayā bhinnavakṣā nu śete jaganmaṅgalaṃ sattvamūrte	Bhu-_07.08.049/2 saH eza tvayA Binna-vakzAH nu Sete jagat-maFgalam sattva-mUrte
   'vatāraḥ	avatAraH
   BhP_07.08.050/0 śrīgandharvā ūcuḥ	Bhu-_07.08.050/0 SrI-ganDarvAH UcuH
   BhP_07.08.050/1 vayaṃ vibho te naṭanāṭyagāyakā yenātmasādvīryabalaujasā	Bhu-_07.08.050/1 vayam viBo te nawa-nAwya-gAyakAH yena-AtmasAt-vIrya-bala-ojasA
   kṛtāḥ	kRtAH
   BhP_07.08.050/2 sa eṣa nīto bhavatā daśāmimāṃ kimutpathasthaḥ kuśalāya	Bhu-_07.08.050/2 saH eza nItaH BavatA daSAm-imAm kim-utpaTa-sTaH kuSalAya
   kalpate	kalpate
   BhP_07.08.051/0 śrīcāraṇā ūcuḥ	Bhu-_07.08.051/0 SrI-cAraNAH UcuH
   BhP_07.08.051/1 hare tavāṅghripaṅkajaṃ bhavāpavargamāśritāḥ	Bhu-_07.08.051/1 hare tava-aFGri-paFkajam Bava-apavargam-ASritAH
   BhP_07.08.051/2 yadeṣa sādhuhṛcchayastvayāsuraḥ samāpitaḥ	Bhu-_07.08.051/2 yat-eza sADu-hRd-SayaH-tvayA-asuraH samApitaH
   BhP_07.08.052/0 śrīyakṣā ūcuḥ	Bhu-_07.08.052/0 SrI-yakzAH UcuH
   BhP_07.08.052/1 vayamanucaramukhyāḥ karmabhiste manojñais	Bhu-_07.08.052/1 vayam-anucara-muKyAH karmaBiH-te manojQEH-
   BhP_07.08.052/2 ta iha ditisutena prāpitā vāhakatvam	Bhu-_07.08.052/2 te iha diti-sutena prApitA vAhaka-tvam
   BhP_07.08.052/3 sa tu janaparitāpaṃ tatkṛtaṃ jānatā te	BhP_07.08.052/3 sa tu jana-paritApam tat-kRtam jAnatA te
   BhP_07.08.052/4 narahara upanītaḥ pañcatāṃ pañcaviṃśa	Bhu-_07.08.052/4 nara-haraH upanItaH paQcatAm paQcaviMSa
   BhP_07.08.053/0 śrīkimpuruṣā ūcuḥ	Bhu-_07.08.053/0 SrI-kimpuruzAH UcuH
   BhP_07.08.053/1 vayaṃ kimpuruṣāstvaṃ tu mahāpuruṣa īśvaraḥ	Bhu-_07.08.053/1 vayam kimpuruzAH-tvam tu mahApuruzaH ISvaraH
   BhP_07.08.053/2 ayaṃ kupuruṣo naṣṭo dhikkṛtaḥ sādhubhiryadā	Bhu-_07.08.053/2 ayam kupuruzaH nazwaH DikkRtaH sADuBiH-yadA
   BhP_07.08.054/0 śrīvaitālikā ūcuḥ	Bhu-_07.08.054/0 SrI-vEtAlikAH UcuH
   BhP_07.08.054/1 sabhāsu satreṣu tavāmalaṃ yaśo gītvā saparyāṃ mahatīṃ	Bhu-_07.08.054/1 saBAsu satrezu tava-amalam yaSaH gItvA saparyAm mahatIm
   labhāmahe	laBAmahe
   BhP_07.08.054/2 yastāmanaiṣīdvaśameṣa durjano dviṣṭyā hataste bhagavan	Bhu-_07.08.054/2 yaH-tAm-anEzIt-vaSam-eza durjanaH dvizwyA hataH-te Bagavan
   yathāmayaḥ	yaTA-AmayaH
   BhP_07.08.055/0 śrīkinnarā ūcuḥ	Bhu-_07.08.055/0 SrI-kinnarAH UcuH
   BhP_07.08.055/1 vayamīśa kinnaragaṇāstavānugā ditijena	Bhu-_07.08.055/1 vayam-ISa kinnara-gaNAH-tava-anugAH ditijena
   viṣṭimamunānukāritāḥ	vizwim-amunA-anukAritAH
   BhP_07.08.055/2 bhavatā hare sa vṛjino 'vasādito narasiṃha nātha vibhavāya	Bhu-_07.08.055/2 BavatA hare sa vRjinaH avasAditaH narasiMha nATa viBavAya
   no bhava	naH Bava
   BhP_07.08.056/0 śrīviṣṇupārṣadā ūcuḥ	Bhu-_07.08.056/0 SrI-vizNu-pArzadAH UcuH
   BhP_07.08.056/1 adyaitaddharinararūpamadbhutaṃ te dṛṣṭaṃ naḥ śaraṇada	Bhu-_07.08.056/1 adya-etat-hari-nara-rUpam-adButam te dRzwam naH SaraNa-da
   sarvalokaśarma	sarva-loka-Sarma
   BhP_07.08.056/2 so 'yaṃ te vidhikara īśa vipraśaptas tasyedaṃ	Bhu-_07.08.056/2 saH ayam te viDi-karaH ISa vipra-SaptaH tasya-idam
   nidhanamanugrahāya vidmaḥ	niDanam-anugrahAya vidmaH
   BhP_07.09.001/0 śrīnārada uvāca	BhP_07.09.001/0 SrI-nAradaH uvAca
   BhP_07.09.001/1 evaṃ surādayaḥ sarve brahmarudrapuraḥ sarāḥ	Bhu-_07.09.001/1 evam sura-AdayaH sarve brahmarudra-puraH sarAH
   BhP_07.09.001/2 nopaitumaśakan manyu saṃrambhaṃ sudurāsadam	Bhu-_07.09.001/2 na-upEtum-aSakat manyu saMramBam su-durAsadam
   BhP_07.09.002/1 sākṣāt śrīḥ preṣitā devairdṛṣṭvā taṃ mahadadbhutam	Bhu-_07.09.002/1 sAkzAt SrIH prezitAH devEH-dRzwvA tam mahat-adButam
   BhP_07.09.002/2 adṛṣṭāśrutapūrvatvāt sā nopeyāya śaṅkitā	Bhu-_07.09.002/2 adRzwa-aSruta-pUrva-tvAt sA na-upeyAya SaFkitA
   BhP_07.09.003/1 prahrādaṃ preṣayāmāsa brahmāvasthitamantike	Bhu-_07.09.003/1 prahrAdam prezayAmAsa brahma-avasTitam-antike
   BhP_07.09.003/2 tāta praśamayopehi svapitre kupitaṃ prabhum	Bhu-_07.09.003/2 tAta praSamaya-upehi sva-pitre kupitam praBum
   BhP_07.09.004/1 tatheti śanakai rājan mahābhāgavato 'rbhakaḥ	Bhu-_07.09.004/1 taTA-iti SanakEs rAjan mahA-BAgavataH arBakaH
   BhP_07.09.004/2 upetya bhuvi kāyena nanāma vidhṛtāñjaliḥ	Bhu-_07.09.004/2 upetya Buvi kAyena nanAma viDRta-aQjaliH
   BhP_07.09.005/1 svapādamūle patitaṃ tamarbhakaṃ vilokya devaḥ kṛpayā	Bhu-_07.09.005/1 sva-pAda-mUle patitam tam-arBakam vilokya devaH kRpayA
   pariplutaḥ	pariplutaH
   BhP_07.09.005/2 utthāpya tacchīrṣṇyadadhāt karāmbujaṃ kālāhivitrastadhiyāṃ	Bhu-_07.09.005/2 utTApya tad-SIrzNi-adaDAt kara-ambujam kAla-ahi-vitrasta-DiyAm
   kṛtābhayam	kRta-aBayam
   BhP_07.09.006/1 sa tatkarasparśadhutākhilāśubhaḥ	Bhu-_07.09.006/1 sa tad-kara-sparSa-Duta-aKila-aSuBaH
   sapadyabhivyaktaparātmadarśanaḥ	sa-padi-aBivyakta-parAtma-darSanaH
   BhP_07.09.006/2 tatpādapadmaṃ hṛdi nirvṛto dadhau hṛṣyattanuḥ	Bhu-_07.09.006/2 tad-pAda-padmam hRdi nirvRtaH daDO hRzyat-tanuH
   klinnahṛdaśrulocanaḥ	klinna-hRd-aSru-locanaH
   BhP_07.09.007/1 astauṣīddharimekāgra manasā susamāhitaḥ	Bhu-_07.09.007/1 astOzIt-harimekAgra manasA su-samAhitaH
   BhP_07.09.007/2 premagadgadayā vācā tannyastahṛdayekṣaṇaḥ	Bhu-_07.09.007/2 prema-gadgadayA vAcA tad-nyasta-hRdaya-IkzaNaH
   BhP_07.09.008/0 śrīprahrāda uvāca	Bhu-_07.09.008/0 SrI-prahrAdaH uvAca
   BhP_07.09.008/1 brahmādayaḥ suragaṇā munayo 'tha siddhāḥ	Bhu-_07.09.008/1 brahma-AdayaH sura-gaNAH munayaH aTa sidDAH
   BhP_07.09.008/2 sattvaikatānagatayo vacasāṃ pravāhaiḥ	Bhu-_07.09.008/2 sattva-Eka-tAna-gatayaH vacasAm pravAhEH
   BhP_07.09.008/3 nārādhituṃ puruguṇairadhunāpi pipruḥ	Bhu-_07.09.008/3 na-ArADitum puru-guNEH-aDunA-api pipruH
   BhP_07.09.008/4 kiṃ toṣṭumarhati sa me harirugrajāteḥ	Bhu-_07.09.008/4 kim tozwum-arhati sa me hariH-ugra-jAteH
   BhP_07.09.009/1 manye dhanābhijanarūpatapaḥśrutaujas	Bhu-_07.09.009/1 manye Dana-aBijana-rUpa-tapaH-Sruta-ojas
   BhP_07.09.009/2 tejaḥprabhāvabalapauruṣabuddhiyogāḥ	Bhu-_07.09.009/2 tejaH-praBAva-bala-pOruza-budDi-yogAH
   BhP_07.09.009/3 nārādhanāya hi bhavanti parasya puṃso	Bhu-_07.09.009/3 na-ArADanAya hi Bavanti parasya puMso
   BhP_07.09.009/4 bhaktyā tutoṣa bhagavān gajayūthapāya	Bhu-_07.09.009/4 BaktyA tutoza BagavAn gaja-yUTapAya
   BhP_07.09.010/1 viprāddviṣaḍguṇayutādaravindanābha	Bhu-_07.09.010/1 viprAt-dvi-zaxguNa-yutAt-aravinda-nABa
   BhP_07.09.010/2 pādāravindavimukhāt śvapacaṃ variṣṭham	Bhu-_07.09.010/2 pAda-aravinda-vimuKAt Svapacam varizWam
   BhP_07.09.010/3 manye tadarpitamanovacanehitārtha	Bhu-_07.09.010/3 manye tad-arpita-manaH-vacana-Ihita-arTa
   BhP_07.09.010/4 prāṇaṃ punāti sa kulaṃ na tu bhūrimānaḥ	Bhu-_07.09.010/4 prANam punAti sa kulam na tu BUrimAnaH
   BhP_07.09.011/1 naivātmanaḥ prabhurayaṃ nijalābhapūrṇo	Bhu-_07.09.011/1 na-eva-AtmanaH praBuH-ayam nija-lABa-pUrNaH-
   BhP_07.09.011/2 mānaṃ janādaviduṣaḥ karuṇo vṛṇīte	Bhu-_07.09.011/2 mAnam janAt-aviduzaH karuNaH vRNIte
   BhP_07.09.011/3 yadyaj jano bhagavate vidadhīta mānaṃ	Bhu-_07.09.011/3 yat-yat janaH Bagavate vidaDIta mAnam
   BhP_07.09.011/4 tac cātmane pratimukhasya yathā mukhaśrīḥ	Bhu-_07.09.011/4 tat ca-Atmane pratimuKasya yaTA muKa-SrIH
   BhP_07.09.012/1 tasmādahaṃ vigataviklava īśvarasya	Bhu-_07.09.012/1 tasmAt-aham vigata-viklavaH ISvarasya
   BhP_07.09.012/2 sarvātmanā mahi gṛṇāmi yathā manīṣam	Bhu-_07.09.012/2 sarva-AtmanA mahi gRNAmi yaTA manIzam
   BhP_07.09.012/3 nīco 'jayā guṇavisargamanupraviṣṭaḥ	Bhu-_07.09.012/3 nIcaH ajayA guNa-visargam-anupravizwaH
   BhP_07.09.012/4 pūyeta yena hi pumān anuvarṇitena	Bhu-_07.09.012/4 pUyeta yena hi pumAn anuvarNitena
   BhP_07.09.013/1 sarve hyamī vidhikarāstava sattvadhāmno	Bhu-_07.09.013/1 sarve hi-amI viDi-karAH-tava sattva-DAmnaH-
   BhP_07.09.013/2 brahmādayo vayamiveśa na codvijantaḥ	Bhu-_07.09.013/2 brahma-AdayaH vayam-iva-ISa na ca-udvijantaH
   BhP_07.09.013/3 kṣemāya bhūtaya utātmasukhāya cāsya	Bhu-_07.09.013/3 kzemAya BUtayaH uta-Atma-suKAya ca-asya
   BhP_07.09.013/4 vikrīḍitaṃ bhagavato rucirāvatāraiḥ	Bhu-_07.09.013/4 vikrIxitam BagavataH rucira-avatArEH
   BhP_07.09.014/1 tadyaccha manyumasuraśca hatastvayādya	Bhu-_07.09.014/1 tat-yacCa manyum-asuraH-ca hataH-tvayA-adya
   BhP_07.09.014/2 modeta sādhurapi vṛścikasarpahatyā	Bhu-_07.09.014/2 modeta sADuH-api vRScika-sarpa-hatyA
   BhP_07.09.014/3 lokāśca nirvṛtimitāḥ pratiyanti sarve	Bhu-_07.09.014/3 lokAH-ca nirvRti-mitAH pratiyanti sarve
   BhP_07.09.014/4 rūpaṃ nṛsiṃha vibhayāya janāḥ smaranti	Bhu-_07.09.014/4 rUpam nRsiMha viBayAya janAH smaranti
   BhP_07.09.015/1 nāhaṃ bibhemyajita te 'tibhayānakāsya	Bhu-_07.09.015/1 na-aham biBemi-ajita te ati-Baya-Anaka-asya
   BhP_07.09.015/2 jihvārkanetrabhrukuṭīrabhasogradaṃṣṭrāt	Bhu-_07.09.015/2 jihvA-arka-netra-BrukuwI-raBasa-ugra-daMzwrAt-
   BhP_07.09.015/3 āntrasrajaḥkṣatajakeśaraśaṅkukarṇān	Bhu-_07.09.015/3 Antra-srajaH-kzataja-keSara-SaFku-karNAn
   BhP_07.09.015/4 nirhrādabhītadigibhādaribhinnakhāgrāt	BhP_07.09.015/4 nirhrAda-BIta-digiBAt-ariBid-na-Ka-agrAt
   BhP_07.09.016/1 trasto 'smyahaṃ kṛpaṇavatsala duḥsahogra	Bhu-_07.09.016/1 trastaH asmi-aham kRpaNa-vatsala duHsaha-ugra
   BhP_07.09.016/2 saṃsāracakrakadanādgrasatāṃ praṇītaḥ	Bhu-_07.09.016/2 saMsAra-cakra-kadanAt-grasatAm praNItaH
   BhP_07.09.016/3 baddhaḥ svakarmabhiruśattama te 'ṅghrimūlaṃ	Bhu-_07.09.016/3 badDaH sva-karmaBiH-uSattama te aFGri-mUlam
   BhP_07.09.016/4 prīto 'pavargaśaraṇaṃ hvayase kadā nu	Bhu-_07.09.016/4 prItaH apavarga-SaraNam hvayase kadA nu
   BhP_07.09.017/1 yasmāt priyāpriyaviyogasaṃyogajanma	Bhu-_07.09.017/1 yasmAt priya-apriya-viyoga-saMyoga-janma
   BhP_07.09.017/2 śokāgninā sakalayoniṣu dahyamānaḥ	BhP_07.09.017/2 Soka-agninA sakala-yonizu dahyamAnaH
   BhP_07.09.017/3 duḥkhauṣadhaṃ tadapi duḥkhamataddhiyāhaṃ	Bhu-_07.09.017/3 duHKa-OzaDam tat-api duHKam-atat-DiyAham
   BhP_07.09.017/4 bhūman bhramāmi vada me tava dāsyayogam	Bhu-_07.09.017/4 BUman BramAmi vada me tava dAsya-yogam
   BhP_07.09.018/1 so 'haṃ priyasya suhṛdaḥ paradevatāyā	Bhu-_07.09.018/1 saH aham priyasya suhRdaH para-devatAyAH-
   BhP_07.09.018/2 līlākathāstava nṛsiṃha viriñcagītāḥ	Bhu-_07.09.018/2 lIlA-kaTAH-tava nRsiMha viriQca-gItAH
   BhP_07.09.018/3 añjastitarmyanugṛṇan guṇavipramukto	Bhu-_07.09.018/3 aQjastitarmi-anugRNan guNa-vipramuktaH-
   BhP_07.09.018/4 durgāṇi te padayugālayahaṃsasaṅgaḥ	Bhu-_07.09.018/4 durgANi te pada-yuga-Alaya-haMsa-saFgaH
   BhP_07.09.019/1 bālasya neha śaraṇaṃ pitarau nṛsiṃha	Bhu-_07.09.019/1 bAlasya na-iha SaraNam pitarO nRsiMha
   BhP_07.09.019/2 nārtasya cāgadamudanvati majjato nauḥ	Bhu-_07.09.019/2 na-Artasya ca-agadam-udanvati majjataH nOH
   BhP_07.09.019/3 taptasya tatpratividhirya ihāñjaseṣṭas	Bhu-_07.09.019/3 taptasya tad-prativiDiH-yaH iha-aQjasezwaH-
   BhP_07.09.019/4 tāvadvibho tanubhṛtāṃ tvadupekṣitānām	Bhu-_07.09.019/4 tAvat-viBo tanuBRtAm tvad-upekzitAnAm
   BhP_07.09.020/1 yasmin yato yarhi yena ca yasya yasmād	Bhu-_07.09.020/1 yasmin yatas yarhi yena ca yasya yasmAt-
   BhP_07.09.020/2 yasmai yathā yaduta yastvaparaḥ paro vā	Bhu-_07.09.020/2 yasmE yaTA yat-uta yaH-tu-aparaH paraH vA
   BhP_07.09.020/3 bhāvaḥ karoti vikaroti pṛthak svabhāvaḥ	BhP_07.09.020/3 BAvaH karoti vikaroti pRTak svaBAvaH
   BhP_07.09.020/4 sañcoditastadakhilaṃ bhavataḥ svarūpam	Bhu-_07.09.020/4 saQcoditaH-tat-aKilam BavataH svarUpam
   BhP_07.09.021/1 māyā manaḥ sṛjati karmamayaṃ balīyaḥ	Bhu-_07.09.021/1 mAyA manaH sRjati karma-mayam balIyaH
   BhP_07.09.021/2 kālena coditaguṇānumatena puṃsaḥ	Bhu-_07.09.021/2 kAlena codita-guNa-anumatena puMsaH
   BhP_07.09.021/3 chandomayaṃ yadajayārpitaṣoḍaśāraṃ	Bhu-_07.09.021/3 CandaH-mayam yat-ajaya-arpita-zoxaSAram
   BhP_07.09.021/4 saṃsāracakramaja ko 'titaret tvadanyaḥ	Bhu-_07.09.021/4 saMsAra-cakram-aja kaH atitaret tvad-anyaH
   BhP_07.09.022/1 sa tvaṃ hi nityavijitātmaguṇaḥ svadhāmnā	Bhu-_07.09.022/1 sa tvam hi nitya-vijita-Atma-guNaH sva-DAmnA
   BhP_07.09.022/2 kālo vaśīkṛtavisṛjyavisargaśaktiḥ	BhP_07.09.022/2 kAlaH vaSIkRta-visRjya-visarga-SaktiH
   BhP_07.09.022/3 cakre visṛṣṭamajayeśvara ṣoḍaśāre	Bhu-_07.09.022/3 cakre visRzwam-ajayeSvara zoxaSa-are
   BhP_07.09.022/4 niṣpīḍyamānamupakarṣa vibho prapannam	BhP_07.09.022/4 nizpIxyamAnam-upakarza viBo prapannam
   BhP_07.09.023/1 dṛṣṭā mayā divi vibho 'khiladhiṣṇyapānām	Bhu-_07.09.023/1 dRzwA mayA divi viBo aKila-DizNya-pAnAm
   BhP_07.09.023/2 āyuḥ śriyo vibhava icchati yān jano 'yam	BhP_07.09.023/2 AyuH SriyaH viBavaH icCati yAn janaH ayam
   BhP_07.09.023/3 ye 'smat pituḥ kupitahāsavijṛmbhitabhrū	Bhu-_07.09.023/3 ye asmat pituH kupita-hAsa-vijRmBita-BrU
   BhP_07.09.023/4 visphūrjitena lulitāḥ sa tu te nirastaḥ	Bhu-_07.09.023/4 visPUrjitena lulitAH sa tu te nirastaH
   BhP_07.09.024/1 tasmādamūstanubhṛtāmahamāśiṣo 'jña	Bhu-_07.09.024/1 tasmAt-amUH-tanuBRtAm-aham-ASizaH ajQa
   BhP_07.09.024/2 āyuḥ śriyaṃ vibhavamaindriyamāviriñcyāt	BhP_07.09.024/2 AyuH Sriyam viBavam-Endriyam-AviriQcyAt-
   BhP_07.09.024/3 necchāmi te vilulitān uruvikrameṇa	Bhu-_07.09.024/3 na-icCAmi te vilulitAn uru-vikrameNa
   BhP_07.09.024/4 kālātmanopanaya māṃ nijabhṛtyapārśvam	Bhu-_07.09.024/4 kAla-AtmanA-upanaya mAm nija-BRtya-pArSvam
   BhP_07.09.025/1 kutrāśiṣaḥ śrutisukhā mṛgatṛṣṇirūpāḥ	Bhu-_07.09.025/1 kutra-ASizaH Sruti-suKAH mRgatRzNi-rUpAH
