   śrī kṛṣṇa sandarbha	SrI kRzNa sandarBa
   lakṣmī sahasra śata sambhrama sevyamānaṃ	lakzmI  sahasra  Sata  samBrama  sevyamAnam
   govindam ādi puruṣaṃ tam ahaṃ bhajāmi || iti |	govindam Adi puruzam tam aham BajAmi || iti |
   vyākhyām āha   sahasrāṇi patrāṇi yatra tat kamalaṃ cintāmaṇi mayaṃ	vyAKyAm Aha  sahasrANi patrANi yatra tat kamalam cintAmaNi  mayam
   padmaṃ tad rūpam | tac ca mahat sarvotkṛṣṭaṃ padaṃ mahato mahābhagavato	padmam tat  rUpam | tat ca mahat sarva utkRzwam padam mahataH mahA BagavataH 
   vā padaṃ śrī mahā vaikuṇṭham ity arthaḥ | tat tu nānā prakāram ity	vA padam SrI mahA vEkuNWam iti arTaH | tat tu nAnA  prakAram iti 
   āśaṅkya prakāra viśeṣatveṇa niścinoti gokulākhyam iti | gokulam ity ākhyā	ASaFkya prakAra  viSeza tveNa niScinoti gokula AKyam iti | gokulam iti AKyA
   prasiddhir yasya tat go gopāla sarūpam ity arthaḥ | rūḍhir yogam apaharati	prasidDiH yasya tat go gopAla  sarUpam iti arTaH | rUXiH yogam apaharati
   iti	iti
   nyāyena tasyaiva pratīteḥ | tata etad anuguṇatvenaivottara grantho'pi	nyAyena tasya eva pratIteH | tatas etat anuguNa tvena eva uttara  granTaH api
   vyākhyeyaḥ | tasya śrī kṛṣṇasya dhāma nanda yaśodādibhiḥ saha vāsa 	vyAKyeyaH | tasya SrI  kRzNasya DAma nanda yaSoda AdiBiH saha vAsa 
   yogyaṃ mahāntaḥpuram | tasya svarūpam āha tad iti | anantasya śrī 	yogyam mahAntaHpuram | tasya svarUpam Aha tat iti | anantasya SrI 
   baladevasyāṃśāt | sambhavo nityāvirbhāvo yasya tat | tathā tantreṇaitad	baladevasya aMSAt | samBavaH nitya AvirBAvaH yasya tat | taTA tantreNa etat 
   api	api
   bodhyate | ananto'ṃśo yasya tasya śrī baladevasyāpi sambhavo nivāso yatra	boDyate | anantaH aMSaH yasya tasya SrI baladevasya api samBavaH nivAsaH yatra
   tad	tat 
   iti |	iti |
   sarva mantra gaṇa sevitasya śrīmad aṣṭādaśākṣara mahā mantra rājasya	sarva mantra  gaNa  sevitasya SrImat  azwAdaSa akzara  mahA mantra rAjasya
   bahu pīṭhasya mukhyaṃ pīṭham ity āha karṇikāram iti dvayena | mahad	bahu pIWasya muKyam pIWam iti Aha karNikAram iti dvayena | mahat 
   yantram iti | yat pratikṛtir eva sarvatra yantratvena pūjārthaṃ likhyate	yantram iti | yat pratikRtiH eva sarvatra yantra tvena pUjA arTam liKyate
   ity	iti 
   arthaḥ | yantratvam eva darśayati | ṣaṭkoṇā abhyantare yasya tad vajra 	arTaH | yantra tvam eva darSayati | zaz koNAH aByantare yasya tat vajra 
   kīlakaṃ karṇikāre (bīja rūpa )hīraka kīlaka śobhitam | ṣaṭ koṇatve	kIlakam karNikAre (bIja  rUpa ) hIraka kIlaka SoBitam | zaw koNa tve
   prayojanam āha | ṣaṭ aṅgāni yasyāḥ sā yā ṣaṭ padī śrīmad aṣṭādaśākṣarī	prayojanam Aha | zax aFgAni yasyAH sA yA zaw padI SrImat  azwAdaSa akzarI
   tasyāḥ sthānaṃ prakṛtir mantrasya svarūpaṃ svayam eva śrī kṛṣṇaḥ kāraṇa 	tasyAH sTAnam prakRtiH mantrasya svarUpam svayam eva SrI  kRzNaH kAraNa 
   svarūpatvāt | puruṣaś ca sa eva tad devatā rūpaḥ | tābhyām avasthitam	sva rUpa tvAt | puruzaH ca saH eva tad  devatA  rUpaH | tAByAm avasTitam
   adhiṣṭhitam | dvayor api viśeṣaṇaṃ premeti | prema rūpā ye ānanda 	aDizWitam | dvayoH api viSezaNam prema iti | prema  rUpAH ye Ananda 
   mahānanda rasās tat paripāka bhedās tad ātmakena, tathā jyotī rūpeṇa sva 	mahAnanda  rasAH tat  paripAka  BedAH tat  Atmakena, taTA jyotI  rUpeNa sva  
   prakāśena manunā mantra rūpeṇa ca kāma bījena avasthitam iti mūla 	prakASena manunA mantra  rUpeNa ca kAma bIjena avasTitam iti mUla 
   mantrāntargatatve'pi pṛthag uktiḥ kutracid vaiśiṣṭyāpekṣayā |	mantra antargata tve api pRTak  uktiH kutracid vESizwya apekzayA |
   tad evaṃ tad dhāmoktvā tad āvaraṇāny āha tad iti | tasya karṇikārasya	tat evam tat  DAma uktvA tad  AvaraNAni Aha tat iti | tasya karNikArasya
   kiñjalkās tal lagnābhyantara valaya ity arthaḥ | tad aṃśānāṃ tasminn aṃśo	kiQjalkAH tal  lagna aByantara valayaH iti arTaH | tad  aMSAnAm tasmin aMSo
   dāyo vidyate yeṣāṃ teṣāṃ sajātīyānāṃ dhāmety arthaḥ | gokulākhyam ity	dAyaH vidyate yezAm tezAm sajAtIyAnAm DAma iti arTaH | gokula AKyam iti 
   ukter eva | teṣāṃ taj jātīyatvaṃ śrī śukadevena ca uktam   	ukteH eva | tezAm taj  jAtIya tvam SrI Sukadevena ca uktam   
   evaṃ kakudminaṃ hatvā stūyamānaḥ dvijātibhiḥ |	evam kakudminam hatvA stUyamAnaH dvijAtiBiH |
   viveśa goṣṭhaṃ sa balo gopīnāṃ nayanotsavaḥ || [BhP 10.36.15] iti |	viveSa gozWam sa balaH gopInAm nayana utsavaH || [Bhj 10.36.15] iti |
   tasya kamalasya patrāṇi śriyāṃ tat preyasīnāṃ śrī rādhādīnām upavana 	tasya kamalasya patrANi SriyAm tat  preyasInAm SrI rADa AdInAm upavana 
   rūpāṇi dhāmānīty arthaḥ | atra patrāṇām ucchrita prāntānāṃ mūla 	rUpANi DAmAni iti  arTaH | atra patrANAm ucCrita  prAntAnAm mUla 
   sandhiṣu vartmāni agrima sandhiṣugoṣṭhāni jñeyāni | akhaṇḍa kamalasya	sanDizu vartmAni agrima  sanDizu gozWAni jQeyAni | aKaNxa  kamalasya
   gokulākhyatvāt tathaiva samāveśāc ca |	gokula AKya tvAt taTA eva samAveSAt ca |
   atha gokulāvaraṇāny āha caturasram iti | tad bahiś caturasraṃ tasya	aTa gokula AvaraNAni Aha catur asram iti | tat bahis catur asram tasya
   gokulasya	go kulasya
   bahiḥ sarvataś caturasraṃ catuṣkoṇātmakaṃ sthalaṃ śvetadvīpākhyam iti tad 	bahis sarvatas catur asram catuzkoNa Atmakam sTalam SvetadvIpa AKyam iti tat  
   aṃśe gokulam iti nāma viśeṣābhāvāt | kintu caturasrābhyantara maṇḍalaṃ	aMSe gokulam iti nAma  viSeza aBAvAt | kintu catur asra aByantara  maNxalam
   vṛndāvanākhyaṃ bahir maṇḍalaṃ kevalaṃ śvetadvīpākhyaṃ jñeyaṃ, goloka iti	vRndAvana AKyam bahir  maNxalam kevalam SvetadvIpa AKyam jQeyan, golokaH iti
   yat paryāyaḥ | tad iha kroḍīkṛta gokulaṃ vṛndāvanākhyayātiprasiddham iti	yat  paryAyaH | tat iha kroxIkRta gokulam vRndAvana AKya yA ati prasidDam iti
   na nirdiṣṭam | kroḍīkṛta tat sarvam asya tu bahir maṇḍalaṃ goloka 	na nirdizwam | kroxIkRta  tat  sarvam asya tu bahir  maNxalam goloka 
   śvetadvīpākhyaṃ jñeyam |	SvetadvIpa AKyam jQeyam |
   [Vṛ. reads in the place of the last two sentences: tad etad upalakṣaṇaṃ	[VR. readH id Te place of Te last twaH sa intet ces: tat etat upalakzaNam
   gokokākhyaṃ cety arthaḥ | yadyaḸ gokule'pi śvetadvīpatvam asty eva, tad	gokoka AKyam ca iti arTaH | yat yaḸ go kule api SvetadvIpa tvam asti eva, tat 
   avāntara bhūmi mayatvāt tathāpi viśeṣa nāmnāmnātatvāt enaiva tat	avAntara  BUmi maya tvAt taTA api viSeza  nAmnA AmnAta tvAt ena eva tat 
   pratīyate iti tathoktam | kintu caturasre'py antar maṇḍalaṃ śrī 	pratIyate iti taTA uktam | kintu catur asre api antar  maNxalam SrI 
   vṛndāvanākhyaṃ jñeyaṃ bṛhad vāmana svāyambhuvāgamayos tathā	vRndAvana AKyam jQeyam bRhad vAmana  svAyamBuva AgamayoH taTA
   dṛṣṭatvāt | end Vṛ.]	dRzwa tvAt | end VR.]
   catur mūrteś caturvyūhasya śrī vāsudevādi catuṣṭayasya catuṣkṛtaṃ caturdhā	catur mUrteH catur vyUhasya SrI vAsudeva Adi catuzwayasya catuzkRtam caturDA
   vibhaktaṃ catur dhāma | kintu deva līlatvāt tad upari vyoma yāna sthā eva	viBaktam catuH DAma | kintu deva lIla tvAt tad  upari vyoma yAna  sTAH eva
   te jñeyā | hetubhiḥ puruṣārtha sādhanair manu rūpaiḥ sva sva mantrātmakair	te jQeyAH | hetuBiH puruza arTa  sADanEH manu  rUpEH sva  sva  mantra AtmakEH 
   indrādibhiḥ | śyāmair ity ādibhir iti caturbhir vedair ity arthaḥ | kṛṣṇaṃ	indra AdiBiH | SyAmEH iti AdiBiH iti caturBiH vedEH iti arTaH | kRzNam
   ca	ca
   tatra chandobhiḥ stūyamānam suvismitāḥ [BhP 10.28.18] iti śrī daśamokteḥ |	tatra CandoBiH stUyamAnam su vismitAH [Bhu 10.28.18] iti SrI daSama ukteH |
   śaktibhir iti śrī vimalādibhir ity arthaḥ | iyaṃ ca bṛhad vāmana purāṇa 	SaktiBiH iti SrI  vimala AdiBiH iti arTaH | iyam ca bRhad vAmana purANa 
   prasiddhiḥ | yathā śrī bhagavati śruti prārthanā pūrvakāṇi padyāni  	prasidDiH | yaTA SrI Bagavati Sruti prArTanA  pUrvakANi padyAni  
   ānanda rūpam iti yad vidanti hi purāvidaḥ |	Ananda  rUpam iti yat vidanti hi purAvidaH |
   tad rūpaṃ darśyāsmākaṃ yadi deyo varo hi naḥ ||	tad  rUpam darSyA asmAkam yadi deyaH varaH hi naH ||
   śrutvaitad darśayāmāsa sva lokaṃ prakṛteḥ param |	SrutvA etat darSayAmAsa sva lokam prakRteH param |
   kevalānubhavānanda mātram akṣaram avyayam ||	kevala anuBava Ananda  mAtram akzaram avyayam ||
   yatra vṛndāvanaṃ nāma vanaṃ kāma dughair drumaiḥ |	yatra vRndAvanam nAma vanam kAma duGEH drumEH |
   manorama nikuñjāḍhyaṃ sarvartu sukha saṃyutam ||	manorama nikuQja AXyam sarva Rtu  suKa  saMyutam ||
   yatra govardhano nāma sunirjhara darī yutaḥ |	yatra govarDanaH nAma su nirJara  darI  yutaH |
   ratna dhātu mayaḥ śrīmān supakṣi gaṇa saṅkulaḥ ||	ratna DAtu mayaH SrImAn su pakzi  gaNa  saFkulaH ||
   yatra nirmala pānīyā kālindī saritā varā |	yatra nirmala  pAnIyA kAlindI saritA varAH |
   ratna baddhobhaya taṭā haṃsa padmādi saṅkulā ||	ratna  badDa uBaya  tawA haMsa  padma Adi saFkulAH ||
   śaśvad rāsa rasonmattaṃ yatra gopī kadambakam |	SaSvat  rAsa  rasa unmattam yatra gopI  kadambakam |
   tat kadambaka madhyasthaḥ kiśorākṛtir acyutaḥ || iti |	tat kadambaka maDya sTaH kiSora AkRtiH acyutaH || iti |
   etad anusāreṇa śrī hari vaṃśa vacanam apy eva vyākhyeyam | tad yad āha	etat  anusAreNa SrI  hari vaMSa vacanam api eva vyAKyeyam | tat yat Aha
   śakraḥ  	SakraH  
   svargād ūrdhvaṃ brahma loko brahmarṣi gaṇa sevitaḥ |	svargAt UrDvam brahma lokaH brahmarzi  gaNa  sevitaH |
   tatra soma gatiś caiva jyotiṣāṃ ca mahātmanām ||	tatra soma gatiH ca eva jyotizAm ca mahAtmanAm ||
   tasyopari gavāṃ lokaḥ sādhyās taṃ pālayanti hi |	tasya upari gavAm lokaH sADyAH tam pAlayanti hi |
   sa hi sarva gataḥ kṛṣṇa mahākāśa gato mahān ||	sa hi sarva gataH kRzNa mahAkASa  gataH mahAn ||
   upary upari tatrāpi gatis tava tapomayī |	upari upari tatra api gatiH tava tapaH mayI |
   yāṃ na vidmo vayaṃ sarve pṛcchanto'pi pitāmaham |	yAm na vidmaH vayam sarve pRcCantaH api pitAmaham |
   gatiḥ śama damāḍhyānāṃ svargaḥ sukṛta karmaṇām ||	gatiH Sama dam AXyAnAm svargaH su kRta karmaNAm ||
   brāhmye tapasi yuktānāṃ brahma lokaḥ parā gatiḥ |	brAhmye tapasi yuktAnAm brahma lokaH parA gatiH |
   gavām eva tu yo loko durāroho hi sā gatiḥ ||	gavAm eva tu yaH lokaH durArohaH hi sA gatiH ||
   sa tu lokas tvayā kṛṣṇa sīdamānaḥ kṛtātmanā |	sa tu lokaH tvayA kRzNa sIdamAnaH kRtAtmanA |
   dhṛto dhṛtimatā vīra nighnatopadravān gavām || [HV 2.19.29 35] iti |	DRtaH DRtimatA vIra niGnata upadravAn gavAm || [HV 2.19.29 35] iti |
   asyārthaḥ | svarga śabdena  	asya arTaH | svarga  Sabdena  
   bhūr lokaḥ kalpitaḥ padbhyāṃ bhuvar loko 'sya nābhitaḥ |	BUr lokaH kalpitaH padByAm Buvar  lokaH asya nABitaH |
   svar lokaḥ kalpito mūrdhnā iti vā loka kalpanā || [BhP 2.5.42]	svar lokaH kalpitaH mUrDnA iti vA loka kalpanA || [Bhj 2.5.42]
   iti dvitīyoktānusāreṇa svar lokam ārabhya satya loka paryantaṃ loka 	iti dvitIya ukta anusAreNa svar  lokam AraBya satya  loka  paryantam loke  
   pañcakam ucyate | tasmād ūrdhvam upari brahma loko brahmātmako	paQcakam ucyate | tasmAt UrDvam upari brahma lokaH brahma AtmakaH 
   vaikuṇṭhākhyaḥ sac cid ānanda rūpatvāt | brahmaṇo bhagavato loka iti vā	vEkuNWa AKyaH sac cit  A Ananda   rUpa tvAt | brahmaNaH BagavataH lokaH iti vA
   dadṛśur brahma lokaṃ te yatrākrūro'dhyagāt purā [BhP 10.28.17] iti daśamāt	dadRSuH brahma lokam te yatra akrUraH aDyagAt purA [Bhj 10.28.17] iti daSamAt 
   evaṃ dvitīye mūrdhabhiḥ satya lokas tu brahma lokaḥ sanātanaḥ [BhP 2.5.38]	evam dvitIye mUrDaBiH satya lokaH tu brahma lokaH sanAtanaH [Bhj 2.5.38]
   iti | ṭīkā ca  brahma loko vaikuṇṭhākhyaḥ | sanātano nityaḥ | na	iti | wIkA ca  brahma lokaH vEkuNWa AKyaH | sanAtanaH nityaH | na
   sṛjyāntarvartīty arthaḥ | ity eṣā |	sRjya antar vartI iti arTaH | iti ezA |
   brahmāṇi mūrtimanto vedāḥ | ṛṣayaś ca śrī nāradādayaḥ | gaṇāś ca śrī 	brahmANi mUrtimantaH vedAH | RzayaH ca SrI nArada AdayaH | gaNAH ca SrI 
   garuḍa viṣvaksenādayaḥ | tair niṣevitaḥ | evaṃ nityāśritān uktvā tad 	garuxa vizvaksenA AdayaH | tEH nizevitaH | evam nitya ASritAn uktvA tat  
   gamanādhikāriṇa āha | tatra brahma loke umayā saha vartata iti somaḥ śrī 	gamana aDikAriNaH Aha | tatra brahma loke umayA saha vartate iti somaH SrI 
   śivas tasya gatiḥ |	SivaH tasya gatiH |
   [Vṛ. inserts:	[VR. inseH ts:
   sva dharma niṣṭhaḥ śata janmabhiḥ pumān	sva Darma  nizWaH Sata  janmaBiH pumAn
   viriñcatām eti tataḥ paraṃ hi mām |	viriQcatAm eti tatas param hi mAm |
   avyākṛtaṃ bhāgavato 'tha vaiṣṇavaṃ	avyAkRtam BAgavataH aTa vEzNavam
   padaṃ yathāhaṃ vibudhāḥ kalātyaye || [BhP 4.24.29] iti caturthe śrī rudra 	padam yaTA aham vibuDAH kalA atyaye || [Bhj 4.24.29] iti caturTe SrI rudra 
   gītam |	gItam |
   [end Vṛ. addition.]	[end VR. addition.]
   someti supāṃ sulug ity ādinā (page 52) ṣaṣṭhyā luk chāndasaḥ | tata	soma iti supAm su luc iti AdinA (page 52) zazWyA luc CAndasaH | tata
   uttaratrāpi gati padānvayaḥ | jyotir brahma tad aikātmya bhāvānāṃ	uttaratra api gati pada anvayaH | jyotiH brahma tad  EkAtmya  BAvAnAm
   muktānām ity arthaḥ | na tu tādṛśānām api sarveṣām ity āha mahātmanāṃ	muktAnAm iti arTaH | na tu tAdRSAnAm api sarvezAm iti Aha mahAtmanAm
   mahāśayānāṃ mokṣa nirādaratayā bhajatāṃ śrī sanakādi tulyānām ity	mahA ASayAnAm mokza  nirAdara tayA BajatAm SrI  sanaka Adi tulyAnAm iti 
   arthaḥ   	arTaH   
   muktānām api siddhānāṃ nārāyaṇa parāyaṇaḥ	muktAnAm api sidDAnAm nArAyaNa  parAyaNaH
   sudurlabhaḥ praśāntātmā koṭiṣv api mahā mune || [BhP 6.14.5] ity ādau,	su durlaBaH praSAnta AtmA kowizu api mahA  mune || [Bhj 6.14.5] iti AdO,
   yoginām api sarveṣāṃ madgatenāntarātmanā |	yoginAm api sarvezAm mad gatena antarAtmanA |
   śraddhāvān bhajate yo māṃ sa me yuktatamo mataḥ || [Gītā 6.47]	SradDAvAn Bajate yaH mAm sa me yuktatamaH mataH || [GItAH 6.47]
   ity ādāv api teṣv eva mahattva paryavasanāt | tasya ca brahma lokasyopari	iti AdO api tezu eva mahattva  paryavasanAt | tasya ca brahma lokasya upari
   sarvordhva pradeśe gavāṃ lokaḥ śrī goloka ity arthaḥ | taṃ ca śrī golokaṃ	sarva UrDva  pradeSe gavAm lokaH SrI  golokaH iti arTaH | tam ca SrI  golokam
   sādhyā asmākaṃ prāpañcika devānāṃ prasādanīyā mūla rūpā nitya tadīya 	sADyAH asmAkam prApaQcika  devAnAm prasAdanIyA mUla rUpA nitya tadIya 
   deva gaṇāḥ pālayanti | tatra tatra dik pālatvenāvaraṇa rūpā vartante, te	deva  gaNAH pAlayanti | tatra tatra dik pAla tvena AvaraNa  rUpAH vartante, te
   ha	ha
   nākaṃ mahimānaḥ sacantaḥ yatra pūrve sādhyāḥ santi devāḥ [Rk 10.90.16] iti	nAkam mahimAnaH sacantaH yatra pUrve sADyAH santi devAH [Rc 10.90.16] iti
   śruteḥ |	SruteH |
   tatra pūrve ye ca sādhyā	tatra pUrve ye ca sADyA
   viśve devāḥ sanātanāḥ |	viSve devAH sanAtanAH |
   te ha nākaṃ mahimānaḥ	te ha nAkam mahimAnaH
   sacante śubha darśanāḥ || [PadmaP 6.227.76] iti pādmottara khaṇḍāc ca |	sacante SuBa darSanAH || [PadmaP 6.227.76] iti pAdma uttara   KaNxAt ca |
   yad vā tad bhūri bhāgyam iha janma kim apy aṭavyāṃ yad gokule'pi [BhP	yat vA tat BUri BAgyam iha janma kim api awavyAm yat go kule api [BhP
   10.14.34] ity ādy uktyānusāreṇa tad vidha parama bhaktānām api sādhyās	10.14.34] iti Adi  uktyA anusAreNa tad  viDa  parama   BaktAnAm api sADyAs
   tādṛśa siddhi prāptaye prāsādanīyāḥ śrī gopa gopī prabhṛtayaḥ | taṃ	tAdRSa  sidDi  prAptaye prAsAdanIyAH SrI  gopa  gopI  praBRtayaH | tam
   pālayanti adhikṛtya bhuñjanti | hi prasiddhau | sa golokaḥ sarva gataḥ	pAlayanti aDikRtya BuQjanti | hi prasidDO | sa golokaH sarva gataH
   śrī 	SrI 
   kṛṣṇavat sarva prāpañcikāprāpañcika vastu vyāpakaḥ | ataeva mahān	kRzNa vat sarva  prApaQcikA prApaQcika vastu  vyApakaH | ataeva mahAn
   bhagavad rūpa eva | mahāntaṃ vibhum ātmānam [KaṭhU 2.22] iti śruteḥ |	Bagavat  rUpaH eva | mahAntam viBum AtmAnam [KaWU 2.22] iti SruteH |
   tatra hetuḥ | mahākāśaḥ parama vyomākhyaḥ brahma viśeṣaṇa lābhād	tatra hetuH | mahA AkASaH parama  vyoma AKyaH brahma  viSezaNa lABAt 
   ākāśas tal liṅgād [Vs 1.1.22] iti nyāya prasiddheś ca | tad gataḥ |	AkASaH tal  liFgAt [VH 1.1.22] iti nyAya  prasidDeH ca | tad  gataH |
   brahmākārodayāntaram eva vaikuṇṭha prāpteḥ | yathā śrī gopānāṃ	brahma AkAra udaya antaram eva vEkuNWa prApteH | yaTA SrI  gopAnAm
   vaikuṇṭha darśane tair eva vyākhyātam | yathā vā śrīmad ajāmilasya	vEkuNWa darSane tEH eva vyAKyAtam | yaTA vA SrImat  ajAmilasya
   vaikuṇṭha gamanam | yad vā mahākāśaḥ parama vyomākhyo mahā 	vEkuNWa  gamanam | yat vA mahA AkASaH parama  vyoma AKyaH mahA 
   vaikuṇṭhas tad gatas tad ūrdhva bhāga sthitaḥ | evam upary upari sarvopary	vEkuNWaH tad  gataH tad  UrDva  BAga  sTitaH | evam upari upari sarva upary
   api virājamāne tatra śrī goloke'pi tava gatiḥ | nānā rūpeṇa vaikuṇṭhādau	api virAjamAne tatra SrI  goloke api tava gatiH | nAnA  rUpeNa vEkuNWa AdO
   krīḍatas tava tatrāpi śrī govinda rūpeṇa krīḍā vidyata ity arthaḥ |	krIxataH tava tatra api SrI   govinda  rUpeNa krIxA vidyate iti arTaH |
   ataeva sā ca gatiḥ sādhāraṇī na bhavati kintu tapomayī	ataA iva sA ca gatiH sADAraNI na Bavati kintu tapaH mayI
   anavacchinnaiśvaryamayī paramaṃ yo mahat tapaḥ ity atra sahara nāma 	anavacCinna ESvarya mayI paramam yaH mahat tapaH iti atra sa hara  nAma 
   bhāṣye'pi tapaḥ śabdena tathaiva vyākhyātam | ataeva brahmādi 	BAzye api tapaH  Sabdena taTA eva vyAKyAtam | ataeva brahma Adi 
   durvitarkyatvam apy āha yām iti | adhunā tasya śrī golokety ākhyā bījam	durvitarkya tvam api Aha yAm iti | aDunA tasya SrI golokA iti AKyA bIjam
   abhivyañjayati gatir iti | brāhme brahmaṇo loka prāpake tapasi viṣṇu 	aBivyaQjayati gatiH iti | brAhme brahmaNaH loka  prApake tapasi vizNu 
   viṣayaka manaḥ praṇidhāne yuktānāṃ rata cittānāṃ prema bhaktānām ity	vizaya ka manaH  praNiDAne yuktAnAm rata cittAnAm prema  BaktAnAm iti 
   arthaḥ | brahma loko vaikuṇṭha lokaḥ | parā prakṛtyatītā | gavāṃ mocayan	arTaH | brahma lokaH vEkuNWa lokaH | parA prakRti atItAH | gavAm mocayan
   vraja gavāṃ dina tāpam [BhP 10.35.25] ity uktānusāreṇa atraiva	vraja  gavAm dina  tApam [Bhu 10.35.25] iti  ukta anusAreNa atra eva
   nighnatopadravān gavām ity uktyā ca goloka vāsi mātrāṇāṃ svatas tad 	niGnata upadravAn gavAm iti uktyA ca goloka  vAsi  mAtrANAm svatas tat  
   bhāva bhāvitānāṃ ca sādhana vaśenety arthaḥ | ataeva tad 	BAva  BAvitAnAm ca sADana  vaSena iti arTaH | ataeva tat  
   bhāvasyāsulabhatvād durārohā |	BAvasya asulaBa tvAt durArohAH |
   tad evaṃ golokaṃ varṇayitvā tasya gokulena sahābhedam āha sa tv iti | sa	tat evam golokam varNayitvA tasya gokulena saha aBedam Aha sa tu iti | sa
   eva	eva
   tu sa loko dhṛto rakṣitaḥ | śrī govardhanoddharaṇeneti | yathā	tu sa lokaH DRtaH rakzitaH | SrI  govarDana udDaraNena iti | yaTA
   mṛtyu sañjaya 	mRtyu  saQjaya 
   tantre |	tantre |
   ekadā sāntarīkṣāc ca vaikuṇṭhaṃ svecchayā bhuvi |	ekadA sa antarIkzAt ca vEkuNWam sva icCayA Buvi |
   gokulatvena saṃsthāpya (page 53) gopīmaya mahotsavā |	go kula tvena saMsTApya (page 53) gopI maya  mahA utsavAH |
   bhakti rūpāṃ satāṃ bhaktim utpāditavatī bhṛśam || iti |	Bakti rUpAm satAm Baktim utpAditavatI BRSam || iti |
   atra śabda sāmya bhrama pratītārthāntare svargād ūrdhvaṃ, brahma loka ity	atra Sabda  sAmya  Brama  pratIta arTa antare svargAt UrDvan, brahma loke iti 
   ayuktaṃ loka trayam atikramyokteḥ | tathā somagatir ity ādikaṃ na	ayuktam loka trayam atikramya ukteH | taTA soma gatiH iti Adikam na
   sambhavati | yato dhruva lokād adhastād eva candra sūryādīnāṃ gatir	samBavati | yatas Druva  lokAt aDastAt eva candra  sUrya AdInAm gatiH 
   maharloke'pi na vartate | tathāvara sādhya gaṇānāṃ tucchatvāt satya 	mahar loke api na vartate | taTA avara  sADya  gaNAnAm tucCa tvAt satya 
   lokasyāpi pālanaṃ na yujyate kutas tad upari lokasya śrī golokākhyasya |	lokasya api pAlanam na yujyate kutas tad  upari lokasya SrI  goloka AKyasya |
   tathā sarvagatatvaṃ cāsambhāvyaṃ syāt | ataeva tatrāpi eva gatir ity āpi	taTA sarva gata tvam ca asamBAvyam syAt | ataeva tatra api eva gatiH iti Api
   śabdo	SabdaH 
   vismaye prayuktaḥ | yāṃ na vidma ity ādikaṃ ca | anyathā yathoktir na	vismaye prayuktaH | yAm na vidmaH iti Adikam ca | anyaTA yaTA uktiH na
   sambhavati sveṣāṃ brahmaṇaś ca tad ajñāna jñāpanāt | tasmāt prākṛta 	samBavati svezAm brahmaNaH ca tad  ajQAna  jQApanAt | tasmAt prAkRta 
   golokād anya evāsau sanātano goloko brahma saṃhitāvat śrī harivaṃśe'pi	golokAt anyaH eva asO sanAtanaH golokaH brahma saMhitA vat SrI  hari vaMSe api
   parokṣa vādena nirūpitaḥ |	parokza vAdena nirUpitaH |
   evaṃ ca nārada pañcarātre vijayākhyāne  	evam ca nArada  paQcarAtre vijaya AKyAne  
   tat sarvopari goloke śrī govindaḥ sadā svayam |	tat sarva upari goloke SrI  govindaH sadA svayam |
   viharet paramānandī gopī gokula nāyakaḥ || iti |	viharet parama AnandI gopI  gokula nAyakaH || iti |
   evaṃ coktaṃ mokṣa dharme nārāyaṇīye tathā skānde ca  	evam ca uktam mokza Darme nArAyaNIye taTA skAnde ca  
   evaṃ bahu vidhai rūpaiś carāmīha vasundharām |	evam bahu viDEH rUpEH carAmi iha vasunDarAm |
   brahma lokaṃ ca kaunteya golokaṃ ca sanātanam || [Mbh 12.330.68] iti |	brahma lokam ca kOnteya golokam ca sanAtanam || [MB 12.330.68] iti |
   tad evaṃ sarvopari śrī kṛṣṇa loko'stīti siddham | sa ca lokas	tat evam sarva upari SrI kRzNa  lokaH asti iti sidDam | sa ca loka s
   tat tal līlā 	tat  tal  lIlA 
   parikara bhedenāṃśa bhedāt dvārakā mathurā gokulākhya sthāna 	parikara  Bedena aMSa  BedAt dvArakA  maTurA  gokula AKya  sTAna 
   trayātmaka iti nirṇītam | anyatra tu bhuvi prasiddhāny eva tat tad ākhyāni	traya AtmakaH iti nirNItam | anyatra tu Buvi prasidDAni eva tat tad a AKyAni
   sthānāni tad rūpatvena śrūyante teṣām api vaikuṇṭhāntaravat	sTAnAni tad  rUpa tvena SrUyante tezAm api vEkuNWa antara vat
   prapañcātītatva nityatvālaukika rūpatva bhagavan nityāspadatva kathanāt |	prapaQca atIta tva  nitya tva alOkika  rUpa tva  Bagavan nitya Aspada tva  kaTanAt |
   tatra dvārakāyās tattaraṃ skānda prahlāda saṃhitādāv anveṣṭavyam | iyaṃ ca	tatra dvArakAyAH tattaram skAnda  prahlAda  saMhita AdO anvezwavyam | iyam ca
   śrutir udāharaṇīyā  	SrutiH udAharaNIyAH  
   antaḥ samudre manasā carantaṃ	antaH  samudre manasA carantam
   brāhmānvavindan daśahotāram arṇe |	brAhma anvavindan daSa hotAram arNe |
   samudre'ntaḥ kavayo vicakṣate	samudre antar kavayaH vicakzate
   marīcīnāṃ padam anvicchanti vedhasaḥ || ity ādyā |	marIcInAm padam anvicCanti veDasaH || iti AdyAH |
   śrī mathurāyāḥ prapañcātītatvaṃ yathā vārāhe anyaiva kācit sā sṛṣṭir	SrI maTurAyAH prapaQca atIta tvam yaTA vArAhe anyA eva kAcid sA sRzwiH 
