   TEXT IN PAUSA	TA-eXT Iz PAUSA
   tvat-aṅga-saṅga-amṛta-mātra-sādhyām /	tvat-aFga--saFga-a-mRta--mAtra--sADyAm /
   GG_4.20-2 vimukta-bādhām kuruṣe na rādhām upendra vajrāt api dāruṇaḥ asi	Gu-_4.20-2 vimukta--bADAm kuruze na rADAm upendra vajrAt api dAruNaH asi
   GG_4.21-1 kandarpa-jvara-saṃjvara-ātura-tanoḥ āścaryam asyāḥ ciram	Gu-_4.21-1 kandarpa--jvara--saMjvara-Atura--tanoH AScaryam asyAH ciram
   GG_4.21-2 cetaḥ candana-candramaḥ-kamalinī-cintāsu saṃtāmyati /	Gu-_4.21-2 cetaH candana--candramaH--kamalinI--cintAsu saMtAmyati /
   GG_4.21-3 kiṃtu klānti-vaśena śītala-tanum tvām ekam eva priyam	Gu-_4.21-3 kiMtu klAnti--vaSena SItala--tanum tvAm ekam eva priyam
   GG_4.21-4 dhyāyantī rahasi sthitā katham api kṣīṇā kṣaṇam prāṇiti //	Gu-_4.21-4 DyAyantI rahasi sTitA kaTam api kzINA kzaNam prANiti //
   GG_4.22-1 kṣaṇam api virahaḥ purā na sehe	Gu-_4.22-1 kzaNam api virahaH purA na sehe
   GG_4.22-2 nayana-nimīlana-khinnayā yayā te /	Gu-_4.22-2 nayana--nimIlana--KinnayA yayA te /
   GG_4.22-3 śvasiti katham asau rasāla-śākhām	Gu-_4.22-3 Svasiti kaTam asO rasAla--SAKAm
   GG_4.22-4 cira-viraheṇa vilokya puṣpita-agrām //	Gu-_4.22-4 cira--viraheNa vilokya puzpita--agrAm //
   GG_5.1-1 aham iha nivasāmi yāhi rādhām anunaya mat-vacanena ca ānayethāḥ /	Gu-_5.1-1 aham iha nivasAmi yAhi rADAm anunaya mat--vacanena ca AnayeTAH /
   GG_5.1-2 iti madhuripuṇā sakhī niyuktā svayam idam etya punaḥ jagāda	Gu-_5.1-2 iti maDuripuNA saKI niyuktA svayam idam etya punar jagAda
   rādhām //	rADAm //
   GG_5.2-1 vahati malaya-samīre madanam upanidhāya /	Gu-_5.2-1 vahati malaya--samIre madanam upaniDAya /
   GG_5.2-2 sphuṭati kusuma-nikare virahi-hṛdaya-dalanāya //	Gu-_5.2-2 sPuwati kusuma--nikare virahi--hRdaya--dalanAya //
   GG_5.2-3 tava virahe vanamālī sakhi sīdati //	Gu-_5.2-3 tava virahe vanamAlI saKi sIdati //
   GG_5.3-1 dahati śiśira-mayūkhe maraṇam anukaroti /	Gu-_5.3-1 dahati SiSira--mayUKe maraNam anukaroti /
   GG_5.3-2 patati madana-viśikhe vilapati vikalataraḥ ati //	Gu-_5.3-2 patati madana--viSiKe vilapati vikalataraH ati //
   GG_5.3-3 tava virahe vanamālī sakhi sīdati //	Gu-_5.3-3 tava virahe vanamAlI saKi sIdati //
   GG_5.4-1 dhvanati madhupa-samūhe śravaṇam apidadhāti /	Gu-_5.4-1 Dvanati maDupa--samUhe SravaNam apidaDAti /
   GG_5.4-2 manasi valita-virahe niśi niśi rujam upayāti //	Gu-_5.4-2 manasi valita-virahe niSi niSi rujam upayAti //
   GG_5.4-3 tava virahe vanamālī sakhi sīdati //	Gu-_5.4-3 tava virahe vanamAlI saKi sIdati //
   GG_5.5-1 vasati vipina-vitāne tyajati lalita-dhāma /	Gu-_5.5-1 vasati vipina--vitAne tyajati lalita--DAma /
   GG_5.5-2 luṭhati dharaṇi-śayane bahu vilapati tava nāma //	Gu-_5.5-2 luWati DaraNi--Sayane bahu vilapati tava nAma //
   GG_5.5-3 tava virahe vanamālī sakhi sīdati //	Gu-_5.5-3 tava virahe vanamAlI saKi sIdati //
   GG_5.6-1 bhaṇati kavi-jayadeve virahi-vilasitena /	Gu-_5.6-1 BaNati kavi-jayadeve virahi--vilasitena /
   GG_5.6-2 manasi rabhasa-vibhave hariḥ udayatu sukṛtena //	Gu-_5.6-2 manasi raBasa-viBave hariH udayatu sukRtena //
   GG_5.6-3 tava virahe vanamālī sakhi sīdati //	Gu-_5.6-3 tava virahe vanamAlI saKi sIdati //
   GG_5.7-1 pūrvam yatra samam tvayā ratipateḥ āsāditāḥ siddhayaḥ	Gu-_5.7-1 pUrvam yatra samam tvayA rati-pateH AsAditAH sidDayaH
   GG_5.7-2 tasmin eva nikuñja-manmatha-mahā-tīrthe punaḥ mādhavaḥ /	Gu-_5.7-2 tasmin eva nikuQja--manmaTa--mahA-tIrTe punar mADavaH /
   GG_5.7-3 dhyāyan tvām aniśam japan api tava eva ālāpa-mantra-āvalīm	Gu-_5.7-3 DyAyan tvAm aniSam japan api tava eva AlApa--mantra--AvalIm
   GG_5.7-4 bhūyaḥ tvat-kuca-kumbha-nirbhara-parīrambha-amṛtam vāñchati //	Gu-_5.7-4 BUyas tu-at-kuca-kumBa--nirBara--parIramBa-amRtam vAQCati //
   GG_5.8-1 rati-sukha-sāre gatam abhisāre madana-manohara-veśam /	Gu-_5.8-1 rati--suKa--sAre gatam aBisAre madana--manohara-veSam /
   GG_5.8-2 na kuru nitambini gamana-vilambanam anusara tam hṛdaya-īśam //	Gu-_5.8-2 na kuru nitambini gamana--vilambanam anusara tam hRdaya--ISam //
   GG_5.8-3 dhīra-samīre yamunā-tīre vasati vane vanamālī //	Gu-_5.8-3 DIra--samIre yamunA--tIre vasati vane vanamAlI //
   GG_5.9-1 nāma-sametam kṛta-saṅketam vādayate mṛdu-veṇum /	Gu-_5.9-1 nAma--sametam kRta-saFketam vAdayate mRdu-veNum /
   GG_5.9-2 bahu manute nanu te tanu-saṃgata-pavana-calitam api reṇum //	Gu-_5.9-2 bahu manute nanu te tanu--saMgata-pavana--calitam api reNum //
   GG_5.9-3 dhīra-samīre yamunā-tīre vasati vane vanamālī //	Gu-_5.9-3 DIra--samIre yamunA--tIre vasati vane vanamAlI //
   GG_5.10-1 patati patatre vicalati patre śaṅkita-bhavat-upayānam /	Gu-_5.10-1 patati patatre vicalati patre SaFkita-Bavat--upayAnam /
   GG_5.10-2 racayati śayanam sacakita-nayanam paśyati tava panthānam //	Gu-_5.10-2 racayati Sayanam sacakita-nayanam paSyati tava panTAnam //
   GG_5.10-3 dhīra-samīre yamunā-tīre vasati vane vanamālī //	Gu-_5.10-3 DIra--samIre yamunA--tIre vasati vane vanamAlI //
   GG_5.11-1 mukharam adhīram tyaja mañjīram ripum iva keli-sulolam /	Gu-_5.11-1 muKaram aDIram tyaja maQjIram ripum iva keli--su-lolam /
   GG_5.11-2 cala sakhi kuñjam satimira-puñjam śīlaya nīla-nicolam //	Gu-_5.11-2 cala saKi kuQjam sa-timira--puQjam SIlaya nIla--nicolam //
   GG_5.11-3 dhīra-samīre yamunā-tīre vasati vane vanamālī //	Gu-_5.11-3 DIra--samIre yamunA--tIre vasati vane vanamAlI //
   GG_5.12-1 urasi murāreḥ upahita-hāre ghane iva tarala-balāke /	Gu-_5.12-1 urasi murAreH upahita-hAre Gane iva tarala--balAke /
   GG_5.12-2 taḍit iva pīte rati-viparīte rājasi sukṛta-vipāke //	Gu-_5.12-2 taxit iva pIte rati-viparIte rAjasi su-kRta--vipAke //
   GG_5.12-3 dhīra-samīre yamunā-tīre vasati vane vanamālī //	Gu-_5.12-3 DIra--samIre yamunA--tIre vasati vane vanamAlI //
   GG_5.13-1 vigalita-vasanam parihṛta-rasanam ghaṭaya jaghanam apidhānam /	Gu-_5.13-1 vigalita--vasanam parihRta--rasanam Gawaya jaGanam apiDAnam /
   GG_5.13-2 kisalaya-śayane paṅkaja-nayane nidhim iva harṣa-nidānam //	Gu-_5.13-2 kisalaya--Sayane paFkaja--nayane niDim iva harza--nidAnam //
   GG_5.13-3 dhīra-samīre yamunā-tīre vasati vane vanamālī //	Gu-_5.13-3 DIra--samIre yamunA--tIre vasati vane vanamAlI //
   GG_5.14-1 hariḥ abhimānī rajaniḥ idānīm iyam api yāti virāmam /	Gu-_5.14-1 hariH aBimAnI rajaniH idAnIm iyam api yAti virAmam /
   GG_5.14-2 kuru mama vacanam satvara-racanam pūraya madhuripu-kāmam //	Gu-_5.14-2 kuru mama vacanam sa-tvara--racanam pUraya maDuripu-kAmam //
   GG_5.14-3 dhīra-samīre yamunā-tīre vasati vane vanamālī //	Gu-_5.14-3 DIra--samIre yamunA--tIre vasati vane vanamAlI //
   GG_5.15-1 śrījayadeve kṛta-hari-seve bhaṇati parama-ramaṇīyam /	Gu-_5.15-1 SrI-jayadeve kRta-hari--seve BaNati parama--ramaNIyam /
   GG_5.15-2 pramudita-hṛdayam harim atisadayam namata sukṛta-kamanīyam //	Gu-_5.15-2 pramudita-hRdayam harim ati-sadayam namata sukRta-kamanIyam //
   GG_5.15-3 dhīra-samīre yamunā-tīre vasati vane vanamālī //	Gu-_5.15-3 DIra--samIre yamunA--tIre vasati vane vanamAlI //
   GG_5.16-1 vikirati muhuḥ śvāsān āśāḥ puraḥ muhuḥ īkṣate	Gu-_5.16-1 vikirati muhur SvAsAn ASAH puras muhur Ikzate
   GG_5.16-2 praviśati muhuḥ kuñjam guñjan muhuḥ bahu tāmyati /	Gu-_5.16-2 praviSati muhur kuQjam guQjan muhur bahu tAmyati /
   GG_5.16-3 racayati muhuḥ śayyām paryākulam muhuḥ īkṣate	Gu-_5.16-3 racayati muhur SayyAm paryAkulam muhur Ikzate
   GG_5.16-4 madana-kadana-klāntaḥ kānte priyaḥ tava vartate //	Gu-_5.16-4 madana--kadana--klAntaH kAnte priyaH tava vartate //
   GG_5.17-1 tvat-vāmyena samam samagram adhunā tigmāṃśuḥ astam gataḥ	Gu-_5.17-1 tvat-vAmyena samam samagram aDunA tigmAMSuH astam gataH
   GG_5.17-2 govindasya manorathena ca samam prāptam tamaḥ sāndratām /	Gu-_5.17-2 govindasya manoraTena ca samam prAptam tamaH sAndra-tAm /
   GG_5.17-3 kokānām karuṇa-svanena sadṛśī dīrghā mat-abhyarthanā	Gu-_5.17-3 kokAnAm karuNa--svanena sadRSI dIrGA mat-aByarTanA
   GG_5.17-4 tat mugdhe viphalam vialambanam asau ramyaḥ abhisāra-kṣaṇaḥ //	Gu-_5.17-4 tat mugDe viPalam vialambanam asO ramyaH aBisAra--kzaNaH //
   GG_5.18-1 āśleṣāt anu cumbanāt anu nakha-ullekhāt anu svāntaja-	Gu-_5.18-1 ASlezAt anu cumbanAt anu naKa-ulleKAt anu svAnta-ja-
   GG_5.18-2 prodbodhāt anu saṃbhramāt anu rata-ārambhāt anu prītayoḥ /	Gu-_5.18-2 prodboDAt anu saMBramAt anu rata-AramBAt anu prItayoH /
   GG_5.18-3 anya-artham gatayoḥ bhramāt militayoḥ saṃbhāṣaṇaiḥ jānatoḥ	Gu-_5.18-3 anya--arTam gatayoH BramAt militayoH saMBAzaNEH jAnatoH
   GG_5.18-4 dampatyoḥ iha kaḥ na kaḥ na tamasi vrīḍā-vimiśraḥ rasaḥ //	Gu-_5.18-4 dampatyoH iha kaH na kaH na tamasi vrIxA--vimiSraH rasaH //
   GG_5.19-1 sabhaya-cakitam vinyasyantīm dṛśam timire pathi	Gu-_5.19-1 sa-Baya-cakitam vinyasyantIm dRSam timire paTi
   GG_5.19-2 pratitaru muhuḥ sthitvā mandam padāni vitanvatīm /	Gu-_5.19-2 pratitaru muhur sTitvA mandam padAni vitanvatIm /
   GG_5.19-3 katham api rahaḥ prāptām aṅgaiḥ anaṅga-taraṅgibhiḥ	Gu-_5.19-3 kaTam api rahaH prAptAm aFgEH anaFga-taraFgiBiH
   GG_5.19-4 sumukhi subhagaḥ paśyan saḥ tvām upaitu kṛta-arthatām //	Gu-_5.19-4 su-muKi suBagaH paSyan saH tvAm upEtu kRta--arTa-tAm //
   GG_6.1-1 atha tām gantum aśaktām ciram anuraktām latā-gṛhe dṛṣṭvā /	Gu-_6.1-1 aTa tAm gantum aSaktAm ciram anuraktAm latA-gRhe dRzwvA /
   GG_6.1-2 tat-caritam govinde manasija-mande sakhī prāha //	Gu-_6.1-2 tat--caritam govinde manasija--mande saKI prAha //
   GG_6.2-1 paśyati diśi diśi rahasi bhavantam /	Gu-_6.2-1 paSyati diSi diSi rahasi Bavantam /
   GG_6.2-2 tat-adhara-madhura-madhūni pibantam //	Gu-_6.2-2 tat-a-Dara--maDura--maDUni pibantam //
   GG_6.2-3 nātha hare sīdati rādhā vāsa-gṛhe //	Gu-_6.2-3 nATa hare sIdati rADA vAsa-gRhe //
   GG_6.3-1 tvat-abhisaraṇa-rabhasena valantī /	Gu-_6.3-1 tvad--aBisaraNa--raBasena valantI /
   GG_6.3-2 patati padāni kiyanti calantī //	Gu-_6.3-2 patati padAni kiyanti calantI //
   GG_6.3-3 nātha hare sīdati rādhā vāsa-gṛhe //	Gu-_6.3-3 nATa hare sIdati rADA vAsa-gRhe //
   GG_6.4-1 vihita-viśada-bisa-kisalaya-valayā /	Gu-_6.4-1 vihita--viSada-bisa-ki-salaya--valayA /
   GG_6.4-2 jīvati param iha tava rati-kalayā //	Gu-_6.4-2 jIvati param iha tava rati-kalayA //
   GG_6.4-3 nātha hare sīdati rādhā vāsa-gṛhe //	Gu-_6.4-3 nATa hare sIdati rADA vAsa-gRhe //
   GG_6.5-1 muhuḥ avalokita-maṇḍana-līlā /	Gu-_6.5-1 muhur avalokita--maNxana--lIlA /
   GG_6.5-2 madhuripuḥ aham iti bhāvana-śīlā //	Gu-_6.5-2 maDuripuH aham iti BAvana--SIlAH //
   GG_6.5-3 nātha hare sīdati rādhā vāsa-gṛhe //	Gu-_6.5-3 nATa hare sIdati rADA vAsa-gRhe //
   GG_6.6-1 tvaritam upaiti na katham abhisāram /	Gu-_6.6-1 tvaritam upEti na kaTam aBisAram /
   GG_6.6-2 hariḥ iti vadati sakhīm anuvāram //	Gu-_6.6-2 hariH iti vadati saKIm anuvAram //
   GG_6.6-3 nātha hare sīdati rādhā vāsa-gṛhe //	Gu-_6.6-3 nATa hare sIdati rADA vAsa-gRhe //
   GG_6.7-1 śliṣyati cumbati jaladhara-kalpam /	Gu-_6.7-1 Slizyati cumbati jalaDara--kalpam /
   GG_6.7-2 hariḥ upagataḥ iti timiram analpam //	Gu-_6.7-2 hariH upagataH iti timiram analpam //
   GG_6.7-3 nātha hare sīdati rādhā vāsa-gṛhe //	Gu-_6.7-3 nATa hare sIdati rADA vAsa-gRhe //
   GG_6.8-1 bhavati vilambini vigalita-lajjā /	Gu-_6.8-1 Bavati vilambini vigalita--lajjA /
   GG_6.8-2 vilapati roditi vāsaka-sajjā //	Gu-_6.8-2 vilapati roditi vAsaka--sajjA //
   GG_6.8-3 nātha hare sīdati rādhā vāsa-gṛhe //	Gu-_6.8-3 nATa hare sIdati rADA vAsa-gRhe //
   GG_6.9-1 śrījayadeva-kaveḥ idam uditam /	Gu-_6.9-1 SrI-jayadeva--kaveH idam uditam /
   GG_6.9-2 rasika-janam tanutām atimuditam //	Gu-_6.9-2 rasi-ka-janam tanu-tAm ati-muditam //
   GG_6.9-3 nātha hare sīdati rādhā vāsa-gṛhe //	Gu-_6.9-3 nATa hare sIdati rADA vAsa-gRhe //
   GG_6.10-1 vipula-pulaka-pāliḥ sphīta-sītkāram antar-	Gu-_6.10-1 vipula--pulaka-pAliH sPIta--sItkAram antar-
   GG_6.10-2 janita-jaḍima-kāku-vyākulam vyāharantī /	Gu-_6.10-2 janita--jaxima-kAku-vyAkulam vyAharantI /
   GG_6.10-3 tava kitava vidhāya amanda-kandarpa-cintām	Gu-_6.10-3 tava kitava viDAya amanda-kandarpa-cintAm
   GG_6.10-4 rasa-jaladhi-nimagnā dhyāna-lagnā mṛgākṣī //	GG_6.10-4 rasa--jalaDi--nimagnA DyAna--lagnA mRgAkzI //
   GG_6.11-1 aṅgeṣu ābharaṇam karoti bahuśaḥ patre api saṃcāriṇi	Gu-_6.11-1 aFgezu ABaraNam karoti bahuSas patre api saMcAriNi
   GG_6.11-2 prāptam tvām pariśaṅkate vitanute śayyām ciram dhyāyati /	Gu-_6.11-2 prAptam tvAm pariSaFkate vitanute SayyAm ciram DyAyati /
   GG_6.11-3 iti ākalpa-vikalpa-talpa-racanā-saṃkalpa-līlā-śata-	Gu-_6.11-3 iti Akalpa--vikalpa--talpa--racanA--saMkalpa--lIlA-Sata-
   GG_6.11-4 vyāsaktā api vinā tvayā vara-tanuḥ naiṣā niśām neṣyati //	Gu-_6.11-4 vyAsaktAH api vinA tvayA vara-tanuH na-ezA niSAm nezyati //
   GG_7.1-1 atra antare ca kulaṭā-kula-vartma-pāta-	Gu-_7.1-1 atra antare ca kulawA--kula--vartma-pAta-
   GG_7.1-2 saṃjāta-pātakaḥ iva sphuṭa-lāñchana-śrīḥ /	Gu-_7.1-2 saMjAta-pAtakaH iva sPuwa--lAQCana--SrIH /
   GG_7.1-3 vṛndāvana-antaram adīpayat aṃśu-jālaiḥ	Gu-_7.1-3 vRndAvana--antaram adIpayat aMSu--jAlEH
   GG_7.1-4 diksundarī-vadana-candana-binduḥ induḥ //	Gu-_7.1-4 diS-sundarI--vadana-candana--binduH induH //
   GG_7.2-1 prasarati śaśa-dhara-bimbe vihita-vilambe ca mādhave vidhurā /	Gu-_7.2-1 prasarati SaSa-Dara--bimbe vihita--vilambe ca mADave viDurA /
   GG_7.2-2 viracita-vividha-vilāpam sā paritāpam cakāra uccaiḥ //	Gu-_7.2-2 viracita-viviDa--vilApam sA paritApam cakAraH uccEs //
   GG_7.3-1 kathita-samaye api hariḥ ahaha na yayau vanam /	Gu-_7.3-1 kaTita--samaye api hariH ahaha na yayO vanam /
   GG_7.3-2 mama viphalam idam amala-rūpam api yauvanam //	Gu-_7.3-2 mama viPalam idam amala---rUpam api yOvanam //
   GG_7.3-3 yāmi he kam iha śaraṇam sakhī-jana-vacana-vañcitā //	Gu-_7.3-3 yAmi he kam iha SaraNam saKI--jana---vacana--vaQcitAH //
   GG_7.4-1 yat anugamanāya niśi gahanam api śīlitam /	Gu-_7.4-1 yat anugamanAya niSi gahanam api SIlitam /
   GG_7.4-2 tena mama hṛdayam idam asamaśara-kīlitam //	Gu-_7.4-2 tena mama hRdayam idam asamaSara--kIlitam //
   GG_7.4-3 yāmi he kam iha śaraṇam sakhī-jana-vacana-vañcitā //	Gu-_7.4-3 yAmi he kam iha SaraNam saKI--jana---vacana--vaQcitAH //
   GG_7.5-1 mama maraṇam eva varam ativitatha-ketanā /	Gu-_7.5-1 mama maraNam eva varam ati-vitaTa--ketanA /
   GG_7.5-2 kim iha viṣahāmi viraha-analam acetanā //	Gu-_7.5-2 kim iha vizahAmi viraha--analam acetanAH //
   GG_7.5-3 yāmi he kam iha śaraṇam sakhī-jana-vacana-vañcitā //	Gu-_7.5-3 yAmi he kam iha SaraNam saKI--jana---vacana--vaQcitAH //
   GG_7.6-1 mām ahaha vidhurayati madhura-madhu-yāminī /	Gu-_7.6-1 mAm ahaha viDurayati maDura-maDu-yAminI /
   GG_7.6-2 kāpi harim anubhavati kṛta-sukṛta-kāminī //	Gu-_7.6-2 kA-api harim anuBavati kRta--sukRta--kAminI //
   GG_7.6-3 yāmi he kam iha śaraṇam sakhī-jana-vacana-vañcitā //	Gu-_7.6-3 yAmi he kam iha SaraNam saKI--jana---vacana--vaQcitAH //
   GG_7.7-1 ahaha kalayāmi valaya-ādi-maṇi-bhūṣaṇam /	Gu-_7.7-1 ahaha kalayAmi valaya--Adi-maNi--BUzaNam /
   GG_7.7-2 hari-viraha-dahana-vahanena bahu-dūṣaṇam //	Gu-_7.7-2 hari-viraha--dahana-vahanena bahu-dUzaNam //
   GG_7.7-3 yāmi he kam iha śaraṇam sakhī-jana-vacana-vañcitā //	Gu-_7.7-3 yAmi he kam iha SaraNam saKI--jana---vacana--vaQcitAH //
   GG_7.8-1 kusuma-sukumāra-tanum atanu-śara-līlayā /	Gu-_7.8-1 kusuma-sukumAra--tanum atanu--Sara--lIlayA /
   GG_7.8-2 srak api hṛdi hanti mām ativiṣama-śilayā //	Gu-_7.8-2 sraj api hRdi hanti mAm ati-viza-ma-SilayA //
   GG_7.8-3 yāmi he kam iha śaraṇam sakhī-jana-vacana-vañcitā //	Gu-_7.8-3 yAmi he kam iha SaraNam saKI--jana---vacana--vaQcitAH //
   GG_7.9-1 aham iha nivasāmi nagaṇita-vana-vetasā /	Gu-_7.9-1 aham iha nivasAmi na-gaNita--vana--vetasA /
   GG_7.9-2 smarati madhusūdanaḥ mām api na cetasā //	Gu-_7.9-2 smarati maDusUdanaH mAm api na cetasA //
   GG_7.9-3 yāmi he kam iha śaraṇam sakhī-jana-vacana-vañcitā //	Gu-_7.9-3 yAmi he kam iha SaraNam saKI--jana---vacana--vaQcitAH //
   GG_7.10-1 hari-caraṇa-śaraṇa-jayadeva-kavi-bhāratī /	GG_7.10-1 hari-caraNa--SaraNa--jaya-deva-ka-vi-BAratI /
   GG_7.10-2 vasatu hṛdi yuvatiḥ iva komala-kalāvatī //	Gu-_7.10-2 vasatu hRdi yuvatiH iva komala-kalAvatI //
   GG_7.10-3 yāmi he kam iha śaraṇam sakhī-jana-vacana-vañcitā //	Gu-_7.10-3 yAmi he kam iha SaraNam saKI--jana---vacana--vaQcitAH //
   GG_7.11-1 tat kim kāmapi kāminīm abhisṛtaḥ kim vā kalā-kelibhiḥ	Gu-_7.11-1 tat kim kAm-api kAminIm aBisRtaH kim vA kalA--keliBiH
   GG_7.11-2 baddhaḥ bandhubhiḥ andhakāriṇi vana-upānte kim u bhrāmyati /	Gu-_7.11-2 badDaH banDuBiH anDa-kAriNi vana--upAnte kim u BrAmyati /
   GG_7.11-3 kāntaḥ klānta-manāḥ manāk api pathi prasthātum eva akṣamaḥ	Gu-_7.11-3 kAntaH klAnta-manAH manAk api paTi prasTAtum eva akzamaH
   GG_7.11-4 saṃketī-kṛta-mañju-vañjula-latā-kuñje api yat na āgataḥ //	Gu-_7.11-4 saMketI--kRta--maQju--vaQjula-latA-kuQje api yat naH AgataH //
   GG_7.12-1 atha āgatām mādhavam antareṇa sakhīm iyam vīkṣya viṣāda-mūkām /	Gu-_7.12-1 aTa AgatAm mADavam antareNa saKIm iyam vIkzya vizAda-mUkAm /
   GG_7.12-2 viśaṅkamānā ramitam kayāpi janārdanam dṛṣṭavat etat āha //	Gu-_7.12-2 viSaFkamAnA ramitam kayA-api janArdanam dRzwa-vat etat Aha //
   GG_7.13-1 smara-samara-ucita-viracita-veśā /	Gu-_7.13-1 smara--samara--ucita-viracita--veSA /
   GG_7.13-2 galita-kusuma-dara-vilulita-keśā //	Gu-_7.13-2 galita--kusuma-dara--vilulita-keSAH //
   GG_7.13-3 kāpi madhuripuṇā vilasati yuvatiḥ adhika-guṇā //	Gu-_7.13-3 kA-api maDuripuNA vilasati yuvatiH aDika-guNAH //
   GG_7.14-1 hari-parirambhaṇa-valita-vikārā /	Gu-_7.14-1 hari--pariramBaNa-valita-vikArAH /
   GG_7.14-2 kuca-kalaśa-upari taralita-hārā //	Gu-_7.14-2 kuca-kalaSa--upari taralita-hArAH //
   GG_7.14-3 kāpi madhuripuṇā vilasati yuvatiḥ adhika-guṇā //	Gu-_7.14-3 kA-api maDuripuNA vilasati yuvatiH aDika-guNAH //
   GG_7.15-1 vicalat-alaka-lalita-ānana-candrā /	Gu-_7.15-1 vicala-t-ala-ka-lalita--Anana--candrAH /
   GG_7.15-2 tat-adhara-pāna-rabhasa-kṛta-tandrā //	Gu-_7.15-2 tat-a-Dara--pAna---raBasa-kRta-tandrA //
   GG_7.15-3 kāpi madhuripuṇā vilasati yuvatiḥ adhika-guṇā //	Gu-_7.15-3 kA-api maDuripuNA vilasati yuvatiH aDika-guNAH //
   GG_7.16-1 cañcala-kuṇḍala-dalita-kapolā /	Gu-_7.16-1 caQcala--kuNxala-dalita-kapolAH /
   GG_7.16-2 mukharita-rasana-jaghana-gati-lolā //	Gu-_7.16-2 muKarita-rasana--jaGana-gati--lolAH //
   GG_7.16-3 kāpi madhuripuṇā vilasati yuvatiḥ adhika-guṇā //	Gu-_7.16-3 kA-api maDuripuNA vilasati yuvatiH aDika-guNAH //
   GG_7.17-1 dayita-vilokita-lajjita-hasitā /	Gu-_7.17-1 dayita--vilokita--lajjita--hasitAH /
   GG_7.17-2 bahu-vidha-kūjita-rati-rasa-rasitā //	Gu-_7.17-2 bahu-viDa--kUjita--rati-rasa--rasitAH //
   GG_7.17-3 kāpi madhuripuṇā vilasati yuvatiḥ adhika-guṇā //	Gu-_7.17-3 kA-api maDuripuNA vilasati yuvatiH aDika-guNAH //
   GG_7.18-1 vipula-pulaka-pṛthu-vepathu-bhaṅgā /	Gu-_7.18-1 vipula--pulaka--pRTu--vepaTu-BaFgAH /
   GG_7.18-2 śvasita-nimīlita-vikasat-anaṅgā //	Gu-_7.18-2 Svasita--nimIlita--vikasat-anaFgAH //
   GG_7.18-3 kāpi madhuripuṇā vilasati yuvatiḥ adhika-guṇā //	Gu-_7.18-3 kA-api maDuripuNA vilasati yuvatiH aDika-guNAH //
   GG_7.19-1 śramajala-kaṇa-bhara-subhaga-śarīrā /	Gu-_7.19-1 Srama-jala--kaNa--Bara--suBaga--SarIrAH /
   GG_7.19-2 paripatitā urasi rati-raṇa-dhīrā //	Gu-_7.19-2 paripatitAH urasi rati--raNa--DIrAH //
   GG_7.19-3 kāpi madhuripuṇā vilasati yuvatiḥ adhika-guṇā //	Gu-_7.19-3 kA-api maDuripuNA vilasati yuvatiH aDika-guNAH //
   GG_7.20-1 śrījayadeva-bhaṇita-hari-ramitam /	Gu-_7.20-1 SrI-jayadeva--BaNita--hari--ramitam /
   GG_7.20-2 kali-kaluṣam janayatu pariśamitam //	Gu-_7.20-2 kali-kaluzam janayatu pariSamitam //
   GG_7.20-3 kāpi madhuripuṇā vilasati yuvatiḥ adhika-guṇā //	Gu-_7.20-3 kA-api maDuripuNA vilasati yuvatiH aDika-guNAH //
   GG_7.21-1 viraha-pāṇḍu-murāri-mukha-ambuja-dyutiḥ iyam tirayan api cetanām	Gu-_7.21-1 viraha--pANxu-murAri--muKa--ambuja--dyutiH iyam tirayan api cetanAm
   GG_7.21-2 vidhuḥ atīva tanoti manobhuvaḥ sahṛdaye hṛdaye madana-vyathām //	Gu-_7.21-2 viDuH atIva tanoti manoBuvaH sahRdaye hRdaye madana--vyaTAm //
   GG_7.22-1 samudita-madane ramaṇī-vadane cumbana-valita-adhare /	Gu-_7.22-1 samudita--madane ramaNI--vadane cumbana-valita--aDare /
   GG_7.22-2 mṛgamada-tilakam likhati sapulakam mṛgam iva rajanī-kare //	Gu-_7.22-2 mRgamada-tilakam liKati sa-pulakam mRgam iva rajanI--kare //
   GG_7.22-3 ramate yamunā-pulina-vane vijayī murāriḥ adhunā //	Gu-_7.22-3 ramate yamunA--pulina-vane vijayI murAriH aDunA //
   GG_7.23-1 ghana-caya-rucire racayati cikure taralita-taruṇa-ānane /	Gu-_7.23-1 Gana--caya--rucire racayati cikure taralita-taruNa--a-Anane /
   GG_7.23-2 kurabaka-kusumam capalā-suṣamam rati-pati-mṛga-kānane //	Gu-_7.23-2 kurabaka--kusumam capalA--suzamam rati-pati--mRga-kAnane //
   GG_7.23-3 ramate yamunā-pulina-vane vijayī murāriḥ adhunā //	Gu-_7.23-3 ramate yamunA--pulina-vane vijayI murAriH aDunA //
   GG_7.24-1 ghaṭayati sughane kuca-yuga-gagane mṛgamada-ruci-rūṣite /	Gu-_7.24-1 Gawayati su-Gane kuca--yuga--gagane mRgamada-ruci-rUzite /
   GG_7.24-2 maṇi-saram amalam tāraka-paṭalam nakha-pada-śaśi-bhūṣite //	Gu-_7.24-2 maNi-saram amalam tAraka-pawalam naKa-pada-SaSi--BUzite //
   GG_7.24-3 ramate yamunā-pulina-vane vijayī murāriḥ adhunā //	Gu-_7.24-3 ramate yamunA--pulina-vane vijayI murAriH aDunA //
