   namas+buddhāya	namas+budDAya
   hriyā saṃsaktāṅgam+tadanu madanājñāpraśithilam+	hriyA saMsakta aFgam +tadanu madana AjQA praSiTilam+
   sanātham+māñjiṣṭhaprasarakṛśarekhais+nakhapadais+ /	sanATam +mAQjizWa prasara kRSa reKA es+naKa padEs+ /
   ghanoruprāgbhāram+nidhimukham+iva+āmudritam+aho	Gana Uru prAgBAram+niDi muKam +iva+Am udritam +aho
   kadā nu drakṣyāmas+vigalitadukūlam+mṛgadṛśas+ // VidSrk_23.7 *(758) //	kadA nu drakzyAmas+ vigalita dukUlam +mRga dRSas+ // Vit Srj _23.7 *(758) //
   ete cūtamahīruhas+api+aviralais+dhūmāyitās+ṣaṭpadais+	ete cUta mahIruha s+api+a virala es+ DUmAyitAs+ zaz padEs+
   ete prajvalitās+sphuṭakiśalayodbhedais+aśokadrumās+ /	ete prajvalita as+ sPuwa ki SalayA udBeda es+a Soka dru mAs+ /
   ete kiṃśukaśākhinas+api malinais+aṅgāritās+kuḍmalais+	ete kiMSuka SAKinas+api malinEs+aFgArita as+ kuxmalEH +
   kaṣṭam+viśramayāmi kutra nayane sarvatra vāmas+vidhis+ // VidSrk_23.8	kazwam +viSramayAmi kutra nayane sarvatra vAmas+ viDis+ // Vit Srj _23.8
   vākkūṭasya	vAc kUwasya
   savyādhes+kṛśatā kṣatasya rudhiram+daṣṭasya lālāsravas+	sa vyADes+kRSa tA kzatasya ruDiram +dazwasya lAlA sravas+
   sarvam+na+etat+iha+asti kevalam+ayam+pānthas+tapasvī mṛtas+ /	sarvam+na+etat+iha+asti kevalam +ayam +pAnTa s+tapasvI mRtas+ /
   ā jñātam+madhulampaṭais+madhukarais+ābaddhakolāhale	A jQAta m+maDu lampawa es+ maDukarEs+A badDa kolAhale
   nūnam+sāhasikena cūtamukule dṛṣṭis+samāropitā // VidSrk_23.9 *(760) //	nUnam +sAhasikena cUta mukule dRzwi s+samAropitA // Vit Srj _23.9 *(760) //
   manasiśaya kṛśāṅgyās+svāntam+antarniśātais+	manasiSaya kRSa aFgyAs+ sva antam +antar niSAtEH +
   iṣubhis+aśanikalpais+mā vadhīs+tvam+mama+iva /	izuBi s+aSani kalpa es+mA vaDI s+tvam +mama+iva /
   api nanu śaśalakṣman+mā mucas+tvam+ca tasyām+	api nanu SaSalakzman+mA mucas+tvam +ca tasyAm+
   akaruṇakiraṇolkās+kandalīkomalāyām // VidSrk_23.10 *(761) //	akaruNa kiraNa ulkAs+ kandalI komalAyAm // Vit Srj _23.10 *(761) //
   rājaśekharasya+etau	rAjaSeKarasya+etO
   cakṣuścumabavighnitādharasudhāpānam+mukham+śuṣyati	cakzuH cuma ba viGnita aDara suDA pAnam +muKam +Suzyati
   dveṣṭi svam+ca kacagrahavyavahitaśroṇīvihāras+karas+ /	dvezwi svam +ca kaca graha vyavahita SroNI vihAra s+karas+ /
   nidre kim+viratā+asi tāvat+aghṛṇe yāvat+na tasyās+cirāt+	nidre kim +virata A+asi tAvat +a GRNe yAvat+na tasya as+cirAt+
   krīḍanti kramaśas+kṛśīkṛtaruṣas+pratyaṅgam+aṅgāni me // VidSrk_23.11	krIxanti kramaSas+kRSIkRta ruzas+ pratyaFgam +aFgAni me // Vit Srj _23.11
   abhinandasya	aBinandasya
   jāne sā gaganaprasūnakalikā+iva+atyantam+eva+asatī	jAne sA gagana prasUna kalikA a+iva+atyantam +eva +asatI
   tatsambhogarasās+ca tatparimalollāsās+iva+asattamās+ /	tad samBoga rasAs+ca tad parimala ullAsa As+iva+a satta mAs+ /
   svapnena dviṣata+indrajālam+iva me saṃdarśitā kevalam+	svapnena dvizata+indrajAlam +iva me saMdarSitA kevalam+
   cetas+tatparirambhaṇāya tat+api sphītaspṛham+tāmyati // VidSrk_23.12	cetas+ tad pariramBaNAya tat+api sPIta spRham +tAmyati // Vit Srj _23.12
   parameśvarasya	parameSvarasya
   dyūte paṇas+praṇayakeliṣu kaṇṭhapāśas+krīḍāpariśramaharam+vyajanam+ratānte	dyUte paNas+ praNaya kelizu kaNWa pASa s+krIxA pariSrama haram +vyajanam +rata ante
   śayyāniśīthakalaheṣu mṛgekṣaṇāyās+prāptam+mayā vidhivaśāt+idam+uttarīyam	SayyA niSITa kalahezu mRga IkzaNa AyAs+ prAptam +mayA viDivaSAt+idam +uttarIyam
   // VidSrk_23.13 *(764) //	// Vit Srj _23.13 *(764) //
   dhīranāgasya	DIra nAgasya
   deśais+antaritā śatais+ca saritām+urvībhṛtām+kānanais+	deSa Es+antaritA SatEH +ca saritAm +urvIBRtA m+kAna nEs+
   yatnena+api na yāti locanapatham+kāntā+iti jānan+api /	yatnena+api na yAti locana paTam+kAntA+ iti jAnan+api /
   udgrīvas+caraṇārdharuddhavasudhas+kṛtvā+aśrupūrṇām+dṛśam+	udgrIva s+caraNa arDa rudDa vasuDa s+kRtvA +aSru pUrNAm+dRSam+
   tām+āśām+pathikas+tathā+api kim+api dhyāyan+ciram+vīkṣate // VidSrk_23.14	tAm +ASAm+paTika s+taTA+api kim +api DyAyan+ ciram +vIkzate // Vit Srj _23.14
   śrīharṣasya	SrI harzasya
   prauḍhānaṅgarasāvilākulamanāṅnyañcattiroghūrṇitasnigdhāhlādi	prOXA anaFga rasa Avila Akula manAk nyaQcat tiraH GUrNita snigDa AhlAdi
   madāndham+adhvani tayā yat+cakṣus+āndolitam /	mada anDam+a Dvani tayA yat+ cakzu s+Andolitam /
   tena+asmākam+iyam+gatis+matis+iyam+saṃvittis+evaṃvidhā	tena +asmAkam +iyam+gati s+mati s+iyam+ saMvitti s+evaMviDA
   tāpas+ayam+tanus+īdṛśī sthitis+iyam+tasyās+api+iti śrutis+ // VidSrk_23.15	tApas+ayam+tanus+IdRSI sTiti s+iyam+tasya As+api+iti Sruti s+ // Vit Srj _23.15
   vallaṇasya	vallaNasya
   sas+eva+ayam+deśas+saras+iva	sa s+eva+aya m +deSa s+saras+iva
   vilūnāmbujavanam+tanoti+antas+tāpam+nabhas+iva vilīnāmṛtaruci /	vilUna ambuja vanam +tanoti+anta s+tApam+naBas+iva vilIna amRta ruci /
   viyoge tanvaṅgyās+kalayati sas+eva+ayam+adhunā himartus+naidāghīm+ahaha	viyoge tanvaFgyAs+kalayati sa s+eva+ayam +aDunA hima Rtu s+nEdAGIm+a haha
   viṣamām+tāpanarujam // VidSrk_23.16 *(767) //	vizama Am+ tApana rujam // Vit Srj _23.16 *(767) //
   sṛṣṭās+vayam+yadi tatas+kim+iyam+mṛgākṣī sā+iyam+vayam+yadi	sRzwA as+vayam +ya di tatas+ kim+iyam+ mRgAkzI sA+iyam +vayam +yadi
   tatas+kim+ayam+vasantas+ /	tatas+ kim +ayam +vasantas+ /
   sas+api+astu nāma jagatas+pratipakṣabhūtas+cūtadrumas+kim+iti nirmitas+eṣa	sas+api+aH tu nAma jagata s+pratipakza BUta s+cUta druma s+kim+iti nirmitas+eza
   dhātrā // VidSrk_23.17 *(768) //	DAtrA // Vit Srj _23.17 *(768) //
   te bāṇās+kila cūtakuḍmalamayās+pauṣpam+dhanus+tat+kila	te bANAs+kila cUta kuxmalam ayAs+pOzpa m+Danu s+tat+kila
   kruddhatryambakalocanāgniśikhayā kāmas+api dagdhas+kila /	krudDa tryambaka locana agni SiKayA kAmas+api dagDa s+kila /
   kim+brūmas+vayam+api+anena hatakena+āpuṅkhamagnais+śarais+	kim +brUma s+vayam+api+anena hata kena+A puFKam agnA es+SarEH +
   viddhās+eva na ca+īdṛśas+parikarasya+evaṃvidhā vedanā // VidSrk_23.18	vidDAs+A iva na ca+I dRSas+ parikarasya+evaMviDA vedanA // Vit Srj _23.18
   vīryamitrasya	vIrya mitrasya
   raktas+tvam+navapallavais+aham+api ślāghyais+priyāyās+guṇais+	rakta s+tva m+nava palla vEs+aham +api SlAGya es+priya AyAs+ guNEH +
   tvām+āyānti śilīmukhās+smaradhanurmuktās+tathā mām+api /	tvAm+a AyAnti SilImuKa as+smara DanuH muktAs+ taTA mAm +api /
   kāntāpādatalāhatis+tava mude satyam+mama+api+āvayos+	kAntA pAda tala Ahati s+tava mude satyam +mama+api+Avayos+
   sarvam+tulyam+aśoka kevalam+aham+dhātrā saśokas+kṛtas+ // VidSrk_23.19	sarvam +tulyam +a Soka kevalam +aham+DAtrA sa Soka s+kRtas+ // Vit Srj _23.19
   āpuṅkhāgram+amī śarās+manasi me magnās+samam+pañca te	ApuFKa agram +amI Sara As+ manasi me magnAs+samam+paQca te
   nirdagdham+virahāgninā vapus+idam+tais+eva sārdham+mama /	nirdagDam +viraha agninA vapu s+ida m+tEs+A iva sArDam +mama /
   kaṣṭam+kāma nirāyudhas+asi bhavatā jetum+na śakyas+janas+	kazwam+kAma nirAyuDa s+asi BavatA jetum+na Sakya s+janas+
   duḥkhī syām+aham+ekas+eva sakalas+lokas+sukham+jīvatu // VidSrk_23.20	duHKI syAm +aham+eka s+A iva sakala s+lokas+ suKam +jIvatu // Vit Srj _23.20
   rājaśekharasya	rAjaSeKarasya
   vilīya+indus+sākṣāt+amṛtarasavāpī yadi bhavet+	vilIya +indu s+sA akzAt+a mRta rasa vApI yadi Bavet +
   kalaṅgas+tatratyas+yadi ca vikacendīvaravanam /	kalaFga s+tatratyas+yadi ca vikaca indIvara vanam /
   tatas+snānakrīḍājanitajaḍabhāvais+avayavais+	tatas+ snAna krIxA janita jaxa BA vEs+a vaya vEH +
   kadācit+muñceyam+madanaśikhipīḍāparibhavam // VidSrk_23.21 *(772) //	kadAcit+ muQceyam +madana SiKi pIxA pariBavam // Vit Srj _23.21 *(772) //
   rājaśekharasya+etau	rAjaSeKarasya+etO
   yadi kṣāmā mūrttis+pratidivasam+aśrūṇi dṛśi cet+	yadi kzAmA mUrtti s+pratidivasam +aSrUNi dRSi ced +
   śrutau dūtīvaktram+yadi mṛgadṛśas+bhūṣaṇadhiyā /	SrutO dUtI vaktram +yadi mRga dRSa s+BUzaNa DiyA /
   idam+ca+asmatkarṇe yadi bhavati kena+api kathitam+	idam +ca+asmad karNe yadi Bavati kena+api kaTitam+
   tat+icchāmas+saṅgāt+virahabharam+ekatra vasatau // VidSrk_23.22 *(773) //	tat+icCAmas+ saFgAt+ viraha Baram +ekatra vasatO // Vit Srj _23.22 *(773) //
   vallaṇasya	vallaNasya
   tava kusumaśaratvam+śītaraśmitvam+indos+dvayam+idam+ayathārtham+dṛśyate	tava kusuma Sara tvam +SIta raSmi tvam +indos+dvayam +idam+ayaTArTam +dRSyate
   madvidheṣu /	madviDezu /
   visṛjati himagarbhais+agnim+indus+karāgrais+tvam+api	visRjati himagarBEs+agnim+indu s+karAgrEs+tvam +api
   kusumabāṇān+vajrasārīkaroṣi // VidSrk_23.23 *(774) //	kusuma bANAn+vajra sArI karozi // Vit Srj _23.23 *(774) //
   kālidāsasya	kAlidAsasya
   sambhūya+eva sukhāni cetasi param+bhūmānam+ātanvate	samBUya+A iva suKAni cetasi param+ BUmAn am +Atanvate
   yatra+ālokapathāvatāriṇi ratim+prastauti netrotsavas+ /	yatra+Aloka paTa avatAriNi ratim +prastOti netra utsavas+ /
   yat+bālendukalodayāt+avacitais+sārais+iva+utpāditam+	yat+ bAla indu kala udayAt+ava citA es+sArEs+iva+utpAditam+
   tat+paśyeyam+anaṅgamaṅgalagṛham+bhūyas+api tasyās+mukham // VidSrk_23.24	tat+ paSyeyam+anaFga maFgala gRham +BUyas+api tasya as+muKam // Vit Srj _23.24
   bhavabhūtes+	Bava BUtes+
   śarān+muñcati+uccais+manasijadhanus+makṣikaravā	SarAn+muQcati+ uccEs+manasija Danu s+makzika ravA
   rujanti+ime bhāsas+kirati dahanābhās+himarucis+ /	rujanti +ime BAsas+kirati dahana ABAs+ hima rucis+ /
   jitās+tu bhrūbhaṅgārcanavadanalāvaṇyarucibhis+	jitAs+tu BrU BaFga arcana vadana lAvaNya ruciBis+
   saroṣās+nas+jāne mṛgadṛśi vidhāsyanti kim+amī // VidSrk_23.25 *(776) //	sa roza As+na s+jAne mRga dRSi viDAsyanti kim +amI // Vit Srj _23.25 *(776) //
   śāntākaraguptasya	SAnta Akara guptasya
   api sa divasas+kim+syāt+yatra priyāmukhapaṅkaje	api sa divasa s+kim +syAt+yatra priyA muKa paFkaje
   madhu madhukarī+iva+asmaddṛṣṭis+vikāsini pāsyati /	maDu maDukarI+iva +asmad dRzwi s+vikAsini pAsyati /
   tadanu ca mṛdusnigdhālāpakramāhitanarmaṇas+	tadanu ca mRdu snigDa AlApa krama ahita narmaNas+
   suratasacivais+aṅgais+saṅgas+mama+api bhaviṣyati // VidSrk_23.26 *(777) //	surata saci vEs+aFgA es+saFga s+mama+api Bavizyati // Vit Srj _23.26 *(777) //
   vārtikakārasya	vArtikakArasya
   sā lambālakam+ānanam+namayati pradveṣṭi+ayam+mām+śaśī	sA lambAlakam +Anana m+namayati pradvezwi+ayam +mAm +SaSI
   na+eva+unmuñcati vācam+añcitakalās+vighnanti mām+kokilās+ /	na+eva+ unmuQcati vAcam +aQcita kalAs+viGnanti mAm +kokilAs+ /
   bhūbhaṅgam+kurute na sā dhṛtadhanus+mathnāti mām+manmathas+	BU BaFgam +kurute na sA DRta Danu s+maTnAti mAm +manmaTas+
   kas+vā tām+abalām+vilokya sahasā na+atra+upakṛcchras+bhavet //	kas+vA tAm+abalAm+vilokya sahasA na+atra+ upakRcCra s+Bavet //
   VidSrk_23.27 *(778) //	Vit Srj _23.27 *(778) //
   śṛṅgārasya	SRFgArasya
   bāṇān+saṃhara muñca kārmukalatām+lakṣyam+tava tryambakas+	bANAn +saMhara muQca kArmukalatAm +lakzyam+tava tryambakas+
   ke nāma+atra vayam+śirīṣakalikākalpam+yadīyam+manas+ /	ke nAma+atra vayam +SirIza kalikA kalpam+yadIyam+manas+ /
   tatkāruṇyaparigrahāt+kuru dayām+asmin+vidheye jane	tad kAruNya parigraha at+kuru dayAm +asmin +viDeye jane
   svāmin+manmatha tādṛśam+punar+api svapnādbhutam+darśaya // VidSrk_23.28	svAmin+manmaTa tAdRSam+punar +api svapna adButam +darSaya // Vit Srj _23.28
   vivekāt+asmābhis+paramapuruṣābhyāsarasikais+	vivekAt+asmABis+parama puruza aByAsa rasikA es+
   kathaṃcit+nīyante ratiramaṇabāṇais+api hatais+ /	kaTaMcit+nIyante rati ramaNa bANa es+api hata es+ /
   priyāyās+bālatvāt+abhinavaviyogāturatanos+	priya AyAs+ bAla tvAt +aBinava viyoga Atura tanos+
   na jānīmas+tasyās+bata katham+amī yānti divasās+ // VidSrk_23.29 *(780) //	na jAnIma s+tasya As+bata kaTam +amI yAnti divasAs+ // Vit Srj _23.29 *(780) //
   skhalallīlālāpam+vinipatitakarṇotpaladalam+śramasvedaklinnam+surataviratikṣāmanayanam	sKalat lIlA AlApam+vinipatita karNa utpala dalam +Srama sveda klinnam +surata virati kzAma nayanam
   kacākarṣakrīḍāsaralakuralaśreṇisubhagam+kadā	kaca Akarza krIxA sarala kurala SreNi suBaga m+kadA
   tat+draṣṭavyam+vadanam+avadātam+mṛgadṛśas+ // VidSrk_23.30 *(781) //	tat+drazwavyam +vadanam +avadAtam +mRga dRSas+ // Vit Srj _23.30 *(781) //
   aham+iva śūnyam+araṇyam+vayam+iva tanutām+gatāni toyāni /	aham +iva SUnyam +araNyam +vayam+iva tanu tAm+gatAni toyAni /
   asmākam+iva+ucchvāsās+divasās+dīrghās+ca taptās+ca // VidSrk_23.31 *(782)	asmAkam +iva+ucCvAsa as+divasa as+ dIrGAs+ca taptAs+ca // Vit Srj _23.31 *(782)
   līnā+iva pratibimbitā+iva likhitā+iva+utkīrṇarūpā+iva ca	lInA+ iva pratibimbitA+ iva liKita a+iva +utkIrNa rUpA+ iva ca
   pratyuptā+iva ca vajralepaghaṭitā+iva+antarnikhātā+iva ca /	pratyuptA+ iva ca vajra lepa Gawita a+iva+antar niKAtA+ iva ca /
   sā nas+cetasi kīlitā+iva viśikhais+cetobhuvas+pañcabhis+	sA nas+cetasi kIlitA+ iva viSiKA es+cetaH Bu vas+ paQcaBis+
   cintāsaṃtatitantujālanibiḍasyūtā+iva lagnā priyā // VidSrk_23.32 *(783) //	cintA saMtati tantu jAla nibixa syUtA+iva lagnA priyA // Vit Srj _23.32 *(783) //
   netrendīvariṇī mukhāmburuhiṇī bhrūvallikallolinī	netrendIvariNI muKa amburuhiNI BrU valli kallolinI
   bāhudvandvamṛṇālinī yadi vadhūs+vāpī punas+sā bhavet /	bAhu dvandva mRNAlinI yadi vaDU s+vApI punar +sA Bavet /
   tallāvaṇyajalāvagāhanajaḍais+aṅgais+anaṅgānalajvālājālamucas+tyajeyam+asamās+prāṇacchidas+vedanās+	tad lAvaNya jala avagAhana jaxEs+aFga es+anaFga anala jvAlA jAla mucas+tyajeyam+a samAs+ prANa= Cida s+vedanA s+
   // VidSrk_23.33 *(784) //	// Vit Srj _23.33 *(784) //
   prahartā kva+anaṅgas+sa ca kusumadhanvā+alpaviśikhas+	prahartA kva+anaFgas+sa ca kusumaDanvA+alpa viSiKas+
   calam+sūkṣmam+lakṣyam+vyavahitam+amūrtam+kva ca manas+ /	calam+ sUkzmam +lakzyam +vyavahitam +amUrtam +kva ca manas+ /
   iti+imām+udbhūtām+sphuṭam+anupapattim+manasi me	iti +imAm +udBUtAm +sPuwam +anupapattim +manasi me
   rujām+āvirbhāvāt+anubhavavirodhas+śamayati // VidSrk_23.34 *(785) //	rujAm+a AvirBAvAt+anuBava viroDa s+Samayati // Vit Srj _23.34 *(785) //
   vandyatathāgatasya	vandya taTA gatasya
   antarnibaddhagurumanyuparamparābhis+icchocitam+kim+api	antar nibadDa guru manyu parampara aBis+it Socitam +kim+api
   vaktum+aśaknuvatyās+ /	vaktum +a Saknuvati As+ /
   avyaktahūṃkṛticalatkucamaṇḍalāyās+tasyās+smarāmi muhus+ardhavilokitāni //	avyakta hUMkRti calat kuca maNxala AyAs+tasya as+smarAmi muhus+arDa vilokitAni //
   VidSrk_23.35 *(786) //	Vit Srj _23.35 *(786) //
   bhrasyadvivakṣitam+asamphaladakṣarārtham+utkampamānadaśanacchadam+ucchvasatyā	Brasya dvivakzitam+a samPalat akzara arTam +utkampamAna daSana= Cadam+ucCvasatyA
   adya smarāmi parimṛjya paṭāñcalena netre tayā kim+api yat+punaruktam+uktam	adya smarAmi parimRjya pawa aQcalena netre tayA kim +api yat+punaruktam +uktam
   // VidSrk_23.36 *(787) //	// Vit Srj _23.36 *(787) //
   sonnokasya	sa unnokasya
   dagdhaprarūḍhamadanadrumamañjarī+iti lāvaṇyapaṅkapaṭalodgatapadminī+iti /	dagDa prarUXa madana druma maQjarI+ iti lAvaNya paFka pawala udgata padminI+ iti /
   śītāṃśubimbagalitāmṛtanirmitā+iti bālām+abālahariṇāṅkamukhīm+smarāmi //	SItAMSu bimba galita amRta nirmitA+ iti bAla Am+a bAla hariNA aFka muKIm +smarAmi //
   VidSrk_23.37 *(788) //	Vit Srj _23.37 *(788) //
   madhūdgārasmerabhramarabharahūṃkāramukharam+śaram+sākṣāt+mīnadhvajavijayacāpacyutam+iva	maDu udgAra smera Bramara Bara hUMkAra muKaram +Saram+ sA akzAt+ mIna Dvaja vijaya cApa cyutam +iva
   nilīya+anyonyasmin+upari sahakārāṅkuramayī samīkṣante	nilIya+anyonyasmin+ upari sahakAra aFkura mayI samIkzante
   pakṣmāntarataralatārās+virahiṇas+ // VidSrk_23.38 *(789) //	pakzma antara tara la tA rAs+ virahiNas+ // Vit Srj _23.38 *(789) //
   sā na cet+mṛgaśāvākṣī kim+anyāsām+kathāvyayas+ /	sA na cet+ mRgaSAvAkzI kim+anyAsAm+ kaTA vyayas+ /
   kalā na yadi śītāṃśos+ambare kati tārakās+ // VidSrk_23.39 *(790) //	kalA na yadi SItAMSos+ambare kati tArakAs+ // Vit Srj _23.39 *(790) //
   upari ghanam+ghanapaṭalam+dūre kāntā tat+etat+āpatitam /	upari Ganam+Gana pawala m+dUre kAntA tat+etat+a apatitam /
   himavati divyauṣadhayas+krodhāviṣṭas+phaṇī śirasi // VidSrk_23.40 *(791)	himavati divyOzaDa yas+ kroDa Avizwa s+PaNI Sirasi // Vit Srj _23.40 *(791)
   sthagitam+navāmbuvāhais+uttānāsyas+vilokayan+vyoma /	sTagitam +nava ambu vAha eH +uttAnAsya s+ vilokayan+ vyoma /
   saṃkramayati+iva pathikas+tajjalanivaham+svalocanayos+ // VidSrk_23.41	saMkramayati+ iva paTika s+tajjala nivaham +sva locanayos+ // Vit Srj _23.41
   jayīkasya	jayIkasya
   te jaṅghe jaghanam+ca tat+tat+udaram+tau ca stanau tat+smitam+	te jaFGe jaGanam +ca tat+tat+udara m+tO ca stanO tat+smitam+
   sūktis+sā ca tat+īkṣaṇotpalayugam+dhammillabhāras+sa ca /	sUkti s+sA ca tat+IkzaNa utpala yugam+DammillaBA ras+sa ca /
   lāvaṇyāmṛtabinduvarṣi vadanam+tat+ca+evam+eṇīdṛśas+	lAvaNya amRta bindu varzi vadanam +tat+ca +evam+eNI dRSas+
   tasyās+tat+vayam+ekam+evam+asakṛt+dhyāyantas+eva+āsmahe // VidSrk_23.42	tasya as+tat+vayam +ekam +evam+a sa kRt+DyAyanta s+eva+Asmahe // Vit Srj _23.42
   narasiṃhasya	narasiMhasya
   yadi śaśadharas+tvadvaktreṇa prasahya tiraskṛtas+	yadi SaSaDara s+tvat vaktreNa prasahya tiraskRta s+
   tat+ayam+adayas+mahyam+mugdhe kim+evam+asūyati /	tat+ayam+adayas+ mahyam+mugDe kim +evam +asUyati /
   yat+amṛtarasāsārasrudbhis+dhinoti+akhilam+jagat+	yat+a mRta rasa AsAra srudBi s+Dinoti+aKilam +jagat+
   jvalayati tu mām+ebhis+vahnicchaṭākaṭubhis+karais+ // VidSrk_23.43 *(794)	jvalayati tu mAm+eBi s+vahni= CawA kawuBis+karEs+ // Vit Srj _23.43 *(794)
   parameśvarasya	parameSvarasya
   līlātāṇḍavitabhruvas+smitasudhāprasyandabhājas+dalannīlābjadyutinirbharās+daravalatpakṣmāvalīcāravas+	lIlA tANxavita Bru vas+ smita suDA prasyanda BAja s+dalat nIla abja dyuti nirBarAs+dara valat pakzma AvalI cAravas+
   prāptās+tasya viyoginas+smṛtipatham+khedam+samātanvate	prApta As+tasya viyogi nas+ smRti paTam +Kedam+samAtanvate
   premārdrās+sudṛśas+vikuñcanatatipreṅkhatkaṭākṣās+dṛśas+ // VidSrk_23.44	prema ardrAs+ sudRSas+ vikuQcana tati preFKat kawAkzA s+dRSas+ // Vit Srj _23.44
   visphārāgrās+taralataralais+aṃśubhis+visphurantas+tāsām+tāsām+nayanam+asakṛt+naipuṇāt+vañcayitvā	visPAra agrAs+ tarala tara lEs+aMSuBi s+vi sPuranta s+tA sAm+tAsA m +nayanam+asa kRt+ nEpuNa at+ vaQcayitvA
   muktās+tanvyās+masṛṇaparuṣās+te	muktAs+tan vyAs+ masRNa paruza As+te
   kaṭākṣakṣuraprās+chinnam+chinnam+hṛdayam+adayais+chidyate+adya+api yais+me	kawAkza kzura prAs+ Cinnam +Cinnam +hRdayam+a dayA es+Cidyate+adya+ api yEs+me
   // VidSrk_23.45 *(796) //	// Vit Srj _23.45 *(796) //
   parameśvarasya	parameSvarasya
   śyāmām+śyāmalimānam+ānayata bhos+sāndrais+masīkūrcakais+	SyAmAm +SyAmali mAnam +Anayata Bos+sAndrEs+masI kUrcakEs+
   tantram+mantram+atha prayujya harata śvetotpalānām+smitam /	tantram +mantram +aTa prayujya harata Sveta utpalAnAm +smitam /
   candram+cūrṇayata kṣaṇāt+ca kaṇaśas+kṛtvā śilāpaṭṭake	candram +cUrNayata kzaNAt +ca kaNaSas+kRtvA SilA pawwake
   yena draṣṭum+aham+kṣame daśa diśas+tadvaktramudrāṅkitās+ // VidSrk_23.46	yena drazwum +aham +kzame daSa diSaH +tad vaktra mudrA aFkitAs+ // Vit Srj _23.46
   tasmin+pañcaśare smare bhagavatā bhargeṇa bhasmīkṛte	tasmin+paQcaSare smare BagavatA BargeNa BasmIkRte
   jānāmi+akṣayasāyakam+kamalabhūs+kāmāntaram+nirmame /	jAnAmi+a kzaya sAyakam +kamala BU s+kAm Antaram+nirmame /
   yasya+amībhis+itas+tatas+ca viśikhais+āpuṅkhamagnātmabhis+	yasya +amIBi s+ita s+tatas+ca viSiKA es+A puFKam agna AtmaBiH +
   jātam+me vidalatkadambamukulaspaṣṭopamānam+manas+ // VidSrk_23.47 *(798)	jAtam +me vidalat kadamba mukula spazwa upamAnam +manas+ // Vit Srj _23.47 *(798)
   sūtis+dugdhasamudratas+bhagavatas+śrīkaustubhe sodare	sUti s+ dugDa samudra ta s+Bagavata s+SrI kOstuBe sodare
   sauhārdam+kumudākareṣu kiraṇās+pīyūṣadhārākiras+ /	sOhArdam +kumuda Akarezu kiraNa as+ pIyUza DArA ki ras+ /
   spardhā te vacanāmbujais+mṛgadṛśām+tat+sthāṇucūḍāmaṇe	sparDA te vacana ambuja es+ mRga dRSAm +tat+ sTANu cUxAmaNe
   haṃho candra katham+niṣiñcasi mayi jvālāmucas+vedanās+ // VidSrk_23.48	haMho candra kaTam +niziQcasi mayi jvAlA mucas+ vedanA as+ // Vit Srj _23.48
   ayi pibata	ayi pibata
   cakorās+kṛtsnam+unnāmikaṇṭhakramasaralitacañcaccañcavas+candrikāmbhas+ /	cakorAs+kRt snam +unnAmi kaNWa krama saralita caQcat caQcava s+ candrikA amBas+ /
   virahavidhuritānām+jīvitatrāṇahetos+bhavati hariṇalakṣmā yena	viraha viDuritAnAm +jIvita trANa hetos+Bavati hariNa lakzmAH yena
   tejodaridras+ // VidSrk_23.49 *(800) //	tejodarit ras+ // Vit Srj _23.49 *(800) //
   rājaśekharasya+etau	rAjaSeKarasya+etO
   śītāṃśus+viṣasodaras+phaṇabhṛtām+līlāspadam+candanam+	SItAMSu s+viza sodara s+PaNa BRta Am+lIlA Aspadam +candanam+
   hārās+kṣārapayomucas+priyasuhṛtpaṅkeruham+bhāsvatas+ /	hArAs+ kzAra payaH mucas+priya suhRd paFkeruham+BAsu atas+ /
   iti+eṣām+kim+iva+astu hanta madanajyotirvighātāya yat+	iti+ezAm +kim+iva+aH tu hanta madanajyotiH viGAtAya yat+
   bāhyākāraparibhrameṇa tu vayam+tattvatyajas+vañcitās+ // VidSrk_23.50	bAhya AkAra pariBrameNa tu vayam +tattvatyajas+ vaQcitAs+ // Vit Srj _23.50
   vyajanamarutas+śvāsaśreṇīm+imām+upacinvate	vyajana maruta s+SvAsa SreNIm +imAm +upacinvate
   malayajarasas+dhārābāṣpam+prapañcayitum+prabhus+ /	malayaja rasa s+DArA bAzpam +prapaQcayitum +praBus+ /
   kusumaśayanam+kāmāstrāṇām+karoti sahāyatām+dviguṇaharimā	kusuma Sayanam +kAma astrANAm +karoti sahAya tAm+dviguNa harimA
   māronmāthas+katham+nu viraṃsyati // VidSrk_23.51 *(802) //	mAra unmATa s+kaTam +nu viraMsyati // Vit Srj _23.51 *(802) //
   rājaśekharasya+ete	rAjaSeKarasya+ete
   hāras+jalārdraśayanam+nalinīdalāni prāleyaśīkaramucas+tuhinādrivātās+ /	hAra s+ jala Ardra Sayana m+nalinI dalAni prAleya SIkaramuca s+tuhina adri vAtAs+ /
   yasya+indhanāni sarasāni+api candanāni nirvāṇam+eṣyati katham+sa	yasya+inDanAni sarasA ani+api candanAni nirvANam +ezyati kaTam +sa
   manobhavāgnis+ // VidSrk_23.52 *(803) //	manoBava agni s+ // Vit Srj _23.52 *(803) //
   mandādaras+kusumapatriṣu pelaveṣu nūnam+bibharti madanas+pavanāstram+adya	manda Ada ras+ kusuma patrizu pelavezu nUnam+biBarti madanas+ pavana astram+adya
