   Madhusūdanasarasvatī: Siddhāntabindu	MaDusUdana-sarasvatI: SidDAnta-bindu
   śrutitātparyaviṣayībhūtārthaviruddhatvaṃ ca heyam eveti śataśa udghoṣitam	Sruti-tAtparya-vizayIBUta-arTa-virudDa-tvam ca heyam eva-iti SataSas udGozitam
   asmābhiḥ / tasmān na kiñcid etat /	asmABiH / tasmAt na kiQcid etat /
   nanu bhavaty avidyāvaśāj jīveśvarādivibhāgavyavasthā	nanu Bavati avidyA-vaSAt jIva-ISvara-Adi-viBAga-vyavasTA
   mānameyādipratikarmavyavasthā katham iti cet, ucyate / dṛṣyatvād	mAna-meya-Adi-pratikarma-vyavasTA kaTam iti cet, ucyate / dRzya-tvAt-
   vināśitvāc ca paricchinnāpy avidyānirvacanīyatvena vicārāsahā	vinASi-tvAt ca paricCinnA-api avidyA-nirvacanIya-tvena vicAra-asahA
   āvaraṇavikṣepaśaktidvayavatī sarvagataṃ cidātmānam āvṛṇoti, aṅgulir iva	AvaraNa-vikzepa-Sakti-dvayavatI sarva-gatam cit-AtmAnam AvRNoti, aFguliH iva
   nayanapuraḥsthitā sūryamaṇḍalam / tatra cakṣuṣa evāvaraṇe 'ṇguler apy	nayana-puras-sTitA sUrya-maNxalam / tatra cakzuzaH eva-AvaraNe aNguleH api-
   abhānaprasaṅgāt / adhiṣṭhānāvaraṇam antareṇa ca vikṣepānupapatteś ca /	aBAna-prasaFgAt / aDizWAna-AvaraNam antareNa ca vikzepa-anupapatteH ca /
   tataḥ sā pūrvapūrvasaṃskārajīvakarmaprayuktā satī nikhilajagadākāreṇa	tatas sA pUrva-pUrva-saMskAra-jIva-karma-prayuktA satI niKila-jagat-AkAreNa
   pariṇamate / sā ca svagatacidābhāsadvārā cittādātmyāpanneti tatkāryam api	pariNamate / sA ca sva-gata-cit-ABAsa-dvArA citta-adAtmi-a-Apanna-iti tad-kAryam api
   sarvam ābhāsadvārā cidanusyūtam eva / tathā ca caitanyasya	sarvam ABAsa-dvArA cit-anusyUtam eva / taTA ca cEtanyasya
   dīpavatsvasambaddhasarvabhāsakatvāj jagadupādānacaitanyaṃ pramāṇāpekṣām	dIpa-vat-svasambadDa-sarva-BAsaka-tvAt jagat-upAdAna-cEtanyam pramANa-apekzAm
   antareṇaiva sarvadā sarvaṃ bhāsayat sarvajñaṃ bhavati / tena tatra na	antareNa-eva sarvadA sarvam BAsayat sarvajQam Bavati / tena tatra na
   mānameyādivyavasthā / kin tu jīve tasya buddhyavacchinnatvena	mAnameya-Adi-vyavasTA / kin tu jIve tasya budDi-avacCinna-tvena
   paricchinnatvāt tena cidabhivyaktiyogyena yenāntaḥkaraṇena yadā	paricCinna-tvAt tena cit-aBivyakti-yogyena yena-antaHkaraNena yadA
   yatsambaddhaṃ bhavati tad eva tadā tadavacchinno jīvo 'nubhavatīti na	yad-sambadDam Bavati tat eva tadA tad-avacCinnaH jIvaH anuBavati-iti na
   sāṅkaryaprasaṅgaḥ /	sAFkarya-prasaFgaH /
   evam atra prakriyā -- śarīramadhye sthitaḥ sarvaśarīravyāpakaḥ	evam atra prakriyA - SarIra-maDye sTitaH sarva-SarIra-vyApakaH
   sattvaprādhānyena sūkṣmapañcabhūtārabdhaḥ antaḥkaraṇākhyo 'vidyāvivarto	sattva-prADAnyena sUkzma-paQcaBUta-ArabDaH antaHkaraNa-AKyaH avidyA-vivartaH-
   darpaṇādivad atisvaccho netrādidvārā nirgatya yogyān ghaṭādīn viṣayān	darpaNa-Adi-vat ati-svacCaH netra-Adi-dvArAH nirgatya yogyAn Gawa-AdIn vizayAn
   vyāpya tattadākāro bhavati drutatāmrādivat / tasya ca saurālokādivat	vyApya tat-tad-AkAraH Bavati druta-tAmra-Adi-vat / tasya ca sOrAloka-Adi-vat-
   jhaṭitye eva sa.kocavikāsāv upapadyete / sa ca sāvayavatvāt pariṇamamāno	Jawitye eva sa.koca-vikAsO upapadyete / sa ca sAvayava-tvAt pariNamamAnaH-
   dehābhyantare ghaṭādau ca samyagvyāpya dehaghaṭayor madhye 'pi cakṣurvad	deha-aByantare Gawa-AdO ca samyak-vyApya deha-GawayoH maDye api cakzuH-vat-
   avicchinno 'py avatiṣṭhate / tatra dehāvacchinnāntaḥkaraṇabhāgo	avicCinnaH api avatizWate / tatra deha-avacCinna-antaHkaraNa-BAgaH-
   'haṅkārākhyaḥ kartety ucyate / dehaviṣayamadhyavartī daṇḍāyamānas tadbhāgo	ahaFkAra-AKyaH kartA-iti ucyate / deha-vizaya-maDya-vartI daNxAyamAnaH tad-BAgaH-
   vṛttijñānākhyaḥ kriyety ucyate / viṣayavyāpakas tadbhāgo viṣayasya	vRtti-jQAna-AKyaH kriyA-iti ucyate / vizaya-vyApakaH tad-BAgaH vizayasya
   jñānakarmatvasampādakam abhivyaktiyogyatvam ity ucyate / tasya ca	jQAna-karma-tva-sampAdakam aBivyakti-yogya-tvam iti ucyate / tasya ca
   tribhāgasyāntaḥkaraṇasyātisvacchatvāt caitanyaṃ tatrābhivyajyate / tasya	tri-BAgasya-antaHkaraNasya-ati-svacCa-tvAt cEtanyam tatra-aBivyajyate / tasya
   cābhivyaktasya caitanyasya ekatve 'pi abhivyañjakāntaḥkaraṇabhāgabhedāt	ca-aBivyaktasya cEtanyasya eka-tve api aBivyaQjaka-antaHkaraNa-BAga-BedAt-
   tridhā vyapadeśo bhavati / kartṛbhāgāvacchinnacidaṃśaḥ pramātā,	triDA vyapadeSaH Bavati / kartR-BAga-avacCinna-cit-aMSaH pramAtA,
   kriyābhāgāvacchinnacidaṃśaḥ pramāṇam,	kriyA-BAga-avacCinna-cit-aMSaH pramANam,
   viṣayagatābhivyaktiyogyatvabhāgāvacchinnacidaṃśaḥ pramitir iti /	vizaya-gata-aBivyakti-yogya-tva-BAga-avacCinna-cit-aMSaH pramitiH iti /
   prameyaṃ tu viṣayagataṃ brahmacaitanyam evājñātam / tad eva jñātaṃ sat,	prameyam tu vizaya-gatam brahmacEtanyam eva-ajQAtam / tat eva jQAtam sat,
   phalam /	Palam /
   atra ca yasmin pakṣe antaḥkaraṇāvacchinno jīvaḥ, yasmiṃś ca pakṣe	atra ca yasmin pakze antaHkaraNa-avacCinnaH jIvaH, yasmin ca pakze
   sarvagato 'saṅgo 'vidyāpratibimbo jīvaḥ, tatrobhayatrāpi	sarva-gataH asaFgaH avidyA-pratibimbaH jIvaH, tatra-uBayatra-api
   pramātṛcaitanyoparāgārthā viṣayagatacaitanyāvaraṇabhaṅgārthā	pramAtR-cEtanya-uparAga-arTA vizaya-gata-cEtanya-AvaraNa-BaFga-arTA
   cāntaḥkaraṇavṛttiḥ / yasmiṃś ca pakṣe avidyāvacchinnaḥ sarvagato jīvaḥ	ca-antaHkaraNa-vRttiH / yasmin ca pakze avidyA-avacCinnaH sarva-gataH jIvaH
   āvṛttaḥ tasmin pakṣe jīvasyaiva jagadupādānatvena sarvasambaddhatvāt	AvRttaH tasmin pakze jIvasya-eva jagat-upAdAna-tvena sarva-sambadDa-tvAt
   āvaraṇabhaṅgārthā vṛttir iti vivekaḥ /	AvaraNa-BaFga-arTA vRttiH iti vivekaH /
   nanu ciduparāgārthā vṛttir iti pakṣe svato'ntaḥkaraṇasambaddhānāṃ	nanu cit-uparAga-arTA vRttiH iti pakze svatas-antaHkaraNa-sambadDAnAm
   dharmādharmādīnāṃ brahmaṇaś ca vṛttim antareṇa sarvadā bhānaṃ syāt / na	Darma-aDarma-AdInAm brahmaNaH ca vRttim antareNa sarvadA BAnam syAt / na
   syāt, caitanyasya tattadākāratvābhāvāt / tadabhāvaś ca svacche 'pi	syAt, cEtanyasya tad-tad-AkAra-tva-aBAvAt / tad-aBAvaH ca svacCe api
   brahmacaitanye āvaraṇāt, anāvṛtte 'pi śuktirajatādāv asvacchatvāt,	brahmacEtanye AvaraNAt, anAvRtte api Sukti-rajata-AdO asvacCatvAt,
   dharmādharmādau tu asvacchatvād āvṛtatvād vā / tena svacche 'py āvṛtte	Darma-aDarma-AdO tu asvacCa-tvAt AvRta-tvAt vA / tena svacCe api AvRtte
   pramāṇavṛtyā tadākāratā, anāvṛte svacche tu sukhaduḥkhādau svata iti	pramANa-vRtyA tad-AkAra-tA, anAvRte svacCe tu suKa-duHKa-AdO svatas iti
   nāntaḥkaraṇasambandhamātreṇa bhānaprasaṅgaḥ /	na-antaHkaraNa-sambanDa-mAtreNa BAna-prasaFgaH /
   nanu, brahmaṇaḥ katham āvaraṇam, niravadyasvaprakāśatvena sarvajñatvāt /	nanu, brahmaNaH kaTam AvaraNam, niravadya-sva-prakASa-tvena sarvajQa-tvAt /
   satyam, svasambaddhasarvabhāsakatayā sarvajñam api	satyam, sva-sambadDa-sarva-BAsaka-tayA sarvajQam api
   antaḥkaraṇāvacchinnajīvājñānaviṣayatayā āvṛtam iti vyapadeśāt / tasmād	antaHkaraNa-avacCinna-jIva-ajQAna-vizaya-tayA AvRtam iti vyapadeSAt / tasmAt-
   brahma jagadupādānam iti pakṣe ciduparāgārthā āvaraṇabhaṅgārthā ca vṛttiḥ,	brahma jagat-upAdAnam iti pakze cit-uparAga-arTA AvaraNa-BaFga-arTA ca vRttiH,
   jīvopādānatvapakṣe tu āvaraṇabhaṅgārthaiveti /	jIva-upAdAna-tva-pakze tu AvaraNa-BaFga-arTA-eva-iti /
   nanu, ekenaiva ghaṭādijñānenāvaraṇabhaṅge sadyo mokṣaprasaṅgaḥ,	nanu, ekena-eva Gawa-Adi-jQAnena-AvaraNa-BaFge sadyas mokza-prasaFgaH,
   ajñānasyaikatvāt / nānājñānapakṣe 'pi ekasya jīvasyaikāñānopādhitvāt /	ajQAnasya-eka-tvAt / nAnA-jQAna-pakze api ekasya jIvasya-ekAQAna-upADi-tvAt /
   na, uttejakena maṇer iva vṛtyāvaraṇasyābhibhavāṅgīkārāt / tathā ca	na, uttejakena maNeH iva vRtyA-AvaraNasya-aBiBava-aFgIkArAt / taTA ca
   pramāṇajanyāntaḥkaraṇavṛttyabhāvasahakṛtam ajñānaṃ sati bhāty api vastuni	pramANa-janyA-antaHkaraNa-vRtti-aBAva-saha-kRtam ajQAnam sati BAti api vastuni
   nāsti na bhāti iti pratītijananasamartham āvaraṇam ity ucyate / vṛttau	na-asti na BAti iti pratIti-janana-samarTam AvaraNam iti ucyate / vRttO
   jātāyāṃ tv avacchedakābhāvād vidyamānam apy avidyamānasamam eveti na	jAtAyAm tu avacCedaka-aBAvAt vidyamAnam api avidyamAna-samam eva-iti na
   svakāryasamartham ajñānaṃ tenābhibhūtam ity ucyate /	sva-kArya-samarTam ajQAnam tena-aBiBUtam iti ucyate /
   nanu, evaṃ sati brahmajñānenāpy avidyāyā anivṛtter anirmokṣaprasaṅgaḥ /	nanu, evam sati brahma-jQAnena-api avidyAyAH anivRtteH anirmokza-prasaFgaH /
   na, tattvamasyādivākyārthajñānād avidyānivṛttyabhyupagamāt,	na, tattvam-asya-Adi-vAkya-arTa-jQAnAt avidyA-nivRtti-aByupagamAt,
   svaviṣayapramātvenaivāvidyānivartakatvān	sva-vizaya-pramAtvena-eva-avidyA-nivartaka-tvAt-
   mahāvākyārthaj,jānasyaivābādhitaviṣayatayā pramātvāt / pratyakṣādīnāṃ tu	mahA-vAkya-arTa-j,jAnasya-eva-AbADita-vizaya-tayA pramAtvAt / pratyakza-AdInAm tu
   bādhitaviṣayatayā bhramatve 'pi vyavahārasāmarthyena prāmāṇyābhimānāt,	bADita-vizaya-tayA Brama-tve api vyavahAra-sAmarTyena prAmANya-aBimAnAt,
   jñānādajñānanivṛtter anyatrādarśanaṃ cākiñcitkaram, svānubhavasiddhatvāt,	jQAnAt-ajQAna-nivRtteH anyatra-adarSanam ca-akiQcid-karam, sva-anuBava-sidDa-tvAt,
   anyathānupapatteś ca sarvato balavattvāt / taduktam (Khaṇḍanakhaṇḍakhādyam	anyaTA-anupapatteH ca sarvatas balavat-tvAt / tat-uktam (KhaNxana-KaNxa-KAdyam
        anyathānupapatiś ced asti vastuprasādhikā /	anyaTA-anupapatiH ced asti vastu-prasADikA /
        pinaṣṭhyasṛṣtivaimatyaṃ saiva sarvabalādhikā // iti //	pinazWI-asRzti-vEmatyam sA-eva sarva-bala-aDikAH // iti //
   atha vā mūlājñānasyaivāvasthājñānāni ghaṭādiviṣayāvaraṇāni / ajñānasya	aTa vA mUla-ajQAnasya-eva-avasTA-jQAnAni Gawa-Adi-vizaya-AvaraNAni / ajQAnasya
   prāgabhāvasthānīyatvena yāvanti jñānāni tāvanty ajñānānīty abhyupagamāt	prAgaBAva-sTAnIya-tvena yAvanti jQAnAni tAvanti ajQAnAni-iti aByupagamAt-
   ekena ca jñānenaikājñānasyaiva nāśāt, ghaṭādijñānenāvaraṇanāśe 'pi na	ekena ca jQAnena-eka-ajQAnasya-eva nASAt, Gawa-Adi-jQAnena-AvaraNa-nASe api na
   kācid anupapattiḥ /	kAcid anupapattiH /
   nanu, anumānādihir āvaraṇaṃ nivartate na vā / ādye sākṣātkāribhramasyāpi	nanu, anumAna-AdihiH AvaraNam nivartate na vA / Adye sAkzAtkAri-Bramasya-api
   śaṅkhapītatvādeḥ śvetatvādyanumānādinā nivṛttiprasaṅgaḥ,	SaFKa-pIta-tva-AdeH Sveta-tva-Adi-anumAna-AdinA nivRtti-prasaFgaH,
   adhiṣṭhānājñānopādānakatvena bhramasya tannivṛttau nivṛtteḥ /	aDizWAna-ajQAna-upAdAnaka-tvena Bramasya tad-nivRttO nivRtteH /
   yauktikajñānena ca brahmaṇyavidyānivṛtteḥ sākṣātkārārthaṃ	yOktika-jQAnena ca brahmaNi-avidyA-nivRtteH sAkzAtkAra-arTam
   śravaṇamananādyapekṣaṇaṃ na syāt / dvitīye ca vahnyādivyavahāro na syāt,	SravaNa-mananA-Adi-apekzaNam na syAt / dvitIye ca vahni-Adi-vyavahAraH na syAt-,
   pratibandhakasya vidyamānatvāt / ucyate -- dvividham āvaraṇam, ekam	pratibanDakasya vidyamAna-tvAt / ucyate - dviviDam AvaraNam, ekam
   asattvāpādakam antaḥkaraṇāvacchinnasākṣiniṣṭham, anyad abhānāpādakaṃ	asattva-ApAdakam antaHkaraNa-avacCinna-sAkzi-nizWam, anyat aBAna-ApAdakam
   viṣayāvacchinnabrahmacaitanyaniṣṭhaṃ, ghaṭam ahaṃ na jānāmīty	vizaya-avacCinna-brahma-cEtanya-nizWan, Gawam aham na jAnAmi-iti-
   ubhayāvacchedānubhavāt / tatrādyaṃ parokṣāparokṣasādhāraṇapramāmātreṇa	uBaya-avacCeda-anuBavAt / tatra-Adyam parokza-aparokza-sADAraNa-pramA-mAtreNa
   nivartate / anumite 'pi vahnyādau nāstīti pratyayānudayāt / dvitīyaṃ tu	nivartate / anumite api vahni-AdO na-asti-iti pratyaya-anudayAt / dvitIyam tu
   sākṣātkāreṇaiva nivartate / yanniṣṭhaṃ yadākāraṃ jñānaṃ tanniṣṭhaṃ	sAkzAtkAreNa-eva nivartate / yat-nizWam yat-AkAram jQAnam tat-nizWam
   tadākāram ajñānaṃ nāśayatīti niyamāt, parokṣāparokṣaniṣṭhatvāt / tad uktam	tad-AkAram ajQAnam nASayati-iti niyamAt, parokza-aparokza-nizWa-tvAt / tat uktam
   (Pañca 7.45)	(PaQca 7.45)
        parokṣajñānato naśyed asattvāvṛttihetutā /	parokza-jQAnataH naSyet asattva-avRtti-hetu-tA /
        aparokṣadhiyā naśyed abhānāvṛttihetutā //	aparokza-DiyA naSyet aBAnA-vRtti-hetu-tAH //
   tenānumānāder asattvāvaraṇanāśāt tatra tadvyavahāraḥ /	tena-anumAna-AdeH asattva-AvaraNa-nASAt tatra tad-vyavahAraH /
   abhānāvaraṇanivṛttyā ca sopādhikasākṣātkāribhramanivṛttir iti / tasmān	aBAna-AvaraNa-nivRttyA ca sa-upADika-sAkzAt-kAri-Brama-nivRttiH iti / tasmAt-
   nirdharmakasyāpy ātmano 'vidyāntaḥkaraṇatādātmyādhyāsāt	nirDarmakasya-api AtmanaH avidyA-antaHkaraNa-tAdAtmya-aDyAsAt
   taddharmakartṛtvabhoktṛtvādyadhyāsa upapadyate /	tad-Darma-kartR-tva-BoktR-tva-Adi-aDyAse upapadyate /
   nanu tvanmate 'nirvacanīyakhyātyabhyupagamāt, ye kartṛtvādayo	nanu tvad-mate anirvacanIya-KyAti-aByupagamAt, ye kartR-tvAt-ayo
   'ntaḥkaraṇadharmā ātmany adhyasyante te 'nirvacanīyās tatrotpadyanta iti	antaHkaraNa-DarmAH Atmani aDyasyante te anirvacanIyAH tatra-utpadyante iti
   vaktavyam / tathā ca vyāvahārikaprātītikabhedena kartṛtvabhoktṛtvādīnāṃ	vaktavyam / taTA ca vyAvahArika-prAtItika-Bedena kartR-tva-BoktR-tva-AdInAm
   dvedhāvabhāsaḥ syāt / na syāt, tādātmyābhimānenāvivekāt /	dveDA-avaBAsaH syAt / na syAt, tAdAtmya-aBimAnena-avivekAt /
   sakaladharmaviśiṣṭasyaivāntaḥkaraṇasyātmany adhyastatvena dvayābhāvād vā /	sakala-Darma-viSizwasya-eva-antaHkaraNasya-Atmani aDyasta-tvena dvaya-aBAvAt vA /
   tasmād ekasyaivātmana upādhibhedena pramātrādivyavasthopapatter na	tasmAt ekasya-eva-AtmanaH upADi-Bedena pramAtR-Adi-vyavasTA-upapatteH na
   saugatamatāpattir na vā virodhaḥ / anyāpi vyavasthāḥ spaṣṭataram upariṣṭād	sOgata-mata-ApattiH na vA viroDaH / anyA-api vyavasTAH spazwataram uparizwAt-
   upapādayiṣyante / tasmāj jñānasvarūpasyātmanaḥ suṣuptāv avyabhicārād	upapAdayizyante / tasmAt jQAna-svarUpasya-AtmanaH suzuptO avyaBicArAt-
   dehendriyādīnāṃ ca vyabhicārād dṛśyatvāc ca tatra tatrātmabuddhis teṣāṃ	deha-indriya-AdInAm ca vyaBicArAt dRSya-tvAt ca tatra tatra-Atma-budDiH tezAm
   teṣāṃ vādināṃ bhrāntir ity aupaniṣadamatam eva pramāṇam iti siddham // 1	tezAm vAdinAm BrAntiH iti Opanizada-matam eva pramANam iti sidDam // 1
   syād etat / ātmano nirdharmakatve pramātrādivyavahārasyādhyāsamūlatve ca	syAt etat / AtmanaH nirDarmaka-tve pramAtR-Adi-vyavahArasya-aDyAsa-mUla-tve ca
   "brāhmaṇo yajeta" ityevamādīnāṃ śāstrāṇām aprāmāṇyaprasaṅgaḥ, akartur	"brAhmaNaH yajeta" iti-evamAdInAm SAstrANAm aprAmANya-prasaFgaH, akartuH-
   abhoktuś cātmanaḥ pravṛttyupapatteḥ, vedāpramāṇye ca kuto brahmasiddhir	aBoktuH ca-AtmanaH pravRtti-upapatteH, veda-apramANye ca kutas brahma-sidDiH-
   api, tasya tanmātragamyatvāt, śāstrayonitvād iti nyāyāt / tathā ca	api, tasya tanmAtra-gamya-tva-at, SAstra-yoni-tvAt iti nyAyAt / taTA ca
   vedaprāmāṇyārthaṃ pramātrādivyavahārasya satyatvam abhyupeyam ity āśaṅkya,	veda-prAmANya-arTam pramAtR-Adi-vyavahArasya satya-tvam aByupeyam iti ASaFkya,
   kiṃ tattvajñānāt pūrvam aprāmāṇyam āpadyate ūrdhvaṃ vā / tatrādye yāvad	kim tattva-jQAnAt pUrvam aprAmANyam Apadyate UrDvam vA / tatra-Adye yAvat-
   avidyānivṛttivyavasthāyā upapāditatvāt sarveṣāṃ pramāṇānām avidyāvad	avidyA-nivRtti-vyavasTAyAH upapAdita-tvAt sarvezAm pramANAnAm avidyAvat-
   viṣayatvena taddaśāyāṃ bādhābhāvān niṣpratyūhaṃ prāmāṇyam / dvitīye tv	vizaya-tvena tad-daSAyAm bADA-BAvAt nizpratyUham prAmANyam / dvitIye tu-
   iṣṭāpattir evety āha --	izwApattiH eva-iti Aha --
        na varṇā na varṇāśramācāradharmā na me dhāraṇādhyānayogādayo 'pi /	na varNAH na varNa-ASrama-AcAra-DarmAH na me DAraNA-DyAna-yoga-AdayaH api /
        anātmāśrayāhaṃmamādhyāsahānāt tadeko 'vaśiṣṭaḥ śivaḥ kevalo 'ham // 2	anAtma-ASraya-ahaMmama-aDyAsa-hAnAt tat-ekaH avaSizwaH SivaH kevalaH aham // 2
   ślokārthaḥ / varṇā brāhmaṇakṣatriyavaiśyaśūdrāḥ / āśramāś ca	Sloka-arTaH / varNAH brAhmaNa-kzatriya-vESya-SUdrAH / ASramAH ca
   brahmacārigṛhasthavānaprasthabhikṣavaḥ / ācārāḥ śaucasnānādayaḥ / dharmāḥ	brahmacAri-gRhasTa-vAn-aprasTa-BikzavaH / AcArAH SOca-snAna-AdayaH / DarmAH
   brahmacaryagurusevādayaḥ / atra dvandvadvayagarbhaṣaṣṭhitatpuruṣeṇa	brahmacarya-guru-sevA-AdayaH / atra dvandva-dvaya-garBa-zazWi-tatpuruzeNa
   varṇānām ācārāḥ dharmāś ca āśramāṇām apy ācārāḥ dharmāś ca labhyante /	varNAnAm AcArAH DarmAH ca ASramANAm api AcArAH DarmAH ca laByante /
   dhāraṇā brahmaṇi bāhyaviṣayatyāgena manasas sthairyam / dhyānaṃ	DAraNA brahmaNi bAhya-vizaya-tyAgena manasaH sTEryam / DyAnam
   paramātmacintanam / yogaś cittavṛttinirodhaḥ / ādiśabdena	paramAtma-cintanam / yogaH citta-vRtti-niroDaH / Adi-Sabdena
   śravaṇamananādayo gṛhyante / sarveṣāṃ jñānottarakālam asattve hetum āha --	SravaNa-manana-AdayaH gRhyante / sarvezAm jQAna-uttara-kAlam asattve hetum Aha --
   anātmāśrayāhaṃmamādhyāsahānād iti / anātmā ātmavirodhinī avidyā,	anAtma-ASraya-ahaMmama-aDyAsa-hAnAt iti / anAtmA Atma-viroDinI avidyA,
   tadāśrayas tadupādāno yo 'haṃmamakārādyadhyāsas tasya samūlasyāpi	tad-ASrayaH tad-upAdAnaH yaH ahaMma-makAra-Adi-aDyAsaH tasya sa-mUlasya-api
   tattvajñānena hānāt tatprayuktavarṇāśramādivyavahāro nāstīty arthaḥ // 2	tattva-jQAnena hAnAt tad-prayukta-varNa-ASrama-Adi-vyavahAraH na-asti-iti arTaH // 2
   varṇāśramādivyavahārasya mithyājñānamāatramūlatvena mithyātvaṃ draḍhayituṃ	varNa-ASrama-Adi-vyavahArasya miTyAjQAnam-Aatra-mUla-tvena miTyAtvam draXayitum
   tadvyatireke suṣuptau, vyatirekam āha --	tad-vyatireke suzuptO, vyatirekam Aha --
        na mātā pitā vā na devā na lokā na devā na yajñā na tīrthaṃ bruvanti	na mAtA pitA vA na devAH na lokAH na devAH na yajQAH na tIrTam bruvanti
        suṣuptau nirastātiśūnyātmakatvāt tadeko 'vasiṣṭaḥ śivaḥ kevalo 'ham	suzuptO nirasta-ati-SUnya-Atmaka-tvAt tat-ekaH avasizwaH SivaH kevalaH aham
   ślokārthaḥ / mātā janakastrī / pitā janakaḥ pumān / devā indrādayaḥ	Sloka-arTaH / mAtA janaka-strI / pitA janakaH pumAn / devAH indra-AdayaH
   ārādhyāḥ / lokās tadārādhanaphalāni svargādīni / devāḥ	ArADyAH / lokAH tad-ArADana-PalAni svarga-AdIni / devAH
   alaukikahitāhitasādhanapratipādakāni brahmapratipādakāni ca pramāṇavākyāni	alOkika-hita-ahita-sADana-pratipAdakAni brahma-pratipAdakAni ca pramANa-vAkyAni
   / yajñāḥ svargādisādhanībhūtā jyotiṣṭomādayaḥ / tīrthaṃ yajñasādhanībhūtaḥ	/ yajQAH svarga-Adi-sADanIBUtAH jyotizwoma-AdayaH / tIrTam yajQa-sADanIBUtaH
   kurukṣetrādideśaḥ / evaṃ pāpakarmasādhanāny apy upalakṣaṇīyāni / sarveṣāṃ	kurukzetra-Adi-deSaH / evam pApa-karma-sADanAni api upalakzaNIyAni / sarvezAm
   dehābhimānamūkalatvāt tadabhāve svataḥsambandhābhāvād avidyamānatety	deha-aBimAna-mUkala-tvAt tad-aBAve svatas-sambanDa-aBAvAt avidyamAna-tA-iti-
   arthaḥ / tathā ca suṣuptiṃ prakṛtya śrutiḥ "atra pitāpitā bhavati matāmatā	arTaH / taTA ca suzuptim prakRtya SrutiH "atra pitApitA Bavati matAmatA
   devādevā vedāvedāḥ steno'steno bhavati bhrūṇahābhrūṇahā cāṇḍālo 'cāṇḍālaḥ	devAH-devAH veda-AvedAH stenaH-astenaH Bavati BrUNa-hA-aBrUNa-hA cANxAlaH acANxAlaH
   paulkaso 'paulkasaḥ śramaṇo 'śramaṇas tāpaso 'tāpaso 'nanvāgataṃ	pOlkasaH apOlkasaH SramaNaH aSramaNaH tApasaH atApasaH ananvAgatam
   puṇyenānanvāgataṃ pāpena tīrṇo hi tadā sarvāñ chokān hṛdayasya bhavati"	puNyena-ananvAgatam pApena tIrNaH hi tadA sarvAn CokAn hRdayasya Bavati"
   (BAU 4.3.22) ityādyā abhimānābhāve sarvān arthanivṛttim anuvadanti /	(BAU 4.3.22) ityAdyAH aBimAna-aBAve sarvAn arTa-nivRttim anuvadanti /
   nanu, sarvavyavahārābhāve śūnyataiva syāt / na, ity āha --	nanu, sarva-vyavahAra-aBAve SUnyatA-eva syAt / na, iti Aha --
   nirastātiśūnyātmakatvād iti / nirastam atiśūnyātmakatvaṃ yasmāt tat tathā	nirasta-ati-SUnya-Atmaka-tvAt iti / nirastam ati-SUnya-Atmaka-tvam yasmAt tat taTA
   / bhāvapradhāno nirdeśaḥ / tasya suṣuptisādhakatvāt punarutthānānupapatteś	/ BAva-praDAnaH nirdeSaH / tasya suzupti-sADaka-tvAt punar-utTAna-anupapatteH-
   ca / "avināśī vā are 'yam ātmānucchittidharmā" (BAU 4.5.14), "mātrā	ca / "avinASI vE are ayam AtmA-anucCitti-DarmA" (BAU 4.5.14), "mAtrA
   saṃsargas tv asya bhavati", "yad vaitan na paśyati paśyan vaitan na	saMsargaH tu asya Bavati", "yat vA-etat na paSyati paSyan vA-etat na
   paśyati" (BAU 4.3.23), "na hi draṣṭur dṛṣṭer viparilopo vidyate,	paSyati" (BAU 4.3.23), "na hi drazwuH dRzweH viparilopaH vidyate,
   avināśitvāt, na tu taddvitīyam asti tato 'nyad vibhaktaṃ yat paśyet" (BAU)	avinASi-tvA-at, na tu tad-dvitIyam asti tatas anyat viBaktam yat paSyet" (BAU)
   ityādiśrutibhyaś cātmacaitanyasya na suṣuptau śūnyate 'ty arthaḥ /	ityAdi-SrutiByaH ca-Atma-cEtanyasya na suzuptO SUnyate ati arTaH /
   nirākṛtam apy etat punar api sthūṇānikhanananyāyena nirākriyate / yad vā	nirAkRtam api etat punar api sTUNA-niKanana-nyAyena nirAkriyate / yat vA
   nirastam aśanāyādyatītam advitīyam atiśūnyaṃ yad brahma tadātmakatvāt /	nirastam aSanAya-Adi-atItam advitIyam ati-SUnyam yat brahma tad-Atmaka-tvAt /
   tathā ca śrutiḥ "yadā puruṣaḥ svapiti nāma satā somya tadā sampanno	taTA ca SrutiH "yadA puruzaH svapiti nAma satA somya tadA sampannaH-
   bhavati, tad yathā priyayā striyā sampariṣvakto na bāhyaṃ kiñcana veda	Bavati, tat yaTA priyayA striyA samparizvaktaH na bAhyam kiQcana veda
   nāntaram evem evāyaṃ puruṣaḥ prājñenātmanā sampariṣvakto na bāhyaṃ kiñcana	na-antaram evem eva-ayam puruzaH prAjQena-AtmanA samparizvaktaH na bAhyam kiQcana
   veda nāntaram" (ChU VI.9.1) iti / tena	veda na-antaram" (ChU VI.9.1) iti / tena
   jagatkāraṇībhūtasarvajñasarvaśaktiparipūrṇānandabodharūpeṇa brahmaṇā	jagatkAraNIBUta-sarvajQa-sarva-Sakti-paripUrNa-Ananda-boDa-rUpeNa brahmaNA
   sahaikatvād asaṃsāryeva jīva iti siddham // 3 //	saha-ekatvAt asaMsArya-iva jIvaH iti sidDam // 3 //
