   akalpabālasthavira- Brh_1,1.148a	akalpa-bAla-sTavira Brh_1,1.148a
   bandhanāni ca sarvāṇi Brh_1,29.9a	banDanAni ca sarvANi Br=-_1,29.9a
   bandhane kleśyate ciram Brh_1,22.26b	banDane kleSyate ciram Br=-_1,22.26b
   bandhasvāmī tato bhavet Brh_1,10.49d	banDa-svAmI tatas Bavet Br=-_1,10.49d
   bandhahastasya yad deyaṃ Brh_1,10.42a	banDa-hastasya yat deyam Brh_1,10.42a
   bandhaṃ vā sādhulagnakam Brh_1,10.5b	banDam vA sADu-lagnakam Br=-_1,10.5b
   bandhāgniviṣaśastreṇa Brh_1,23.13a	banDa-agni-viza-SastreNa Br=-_1,23.13a
   bandhācāreṇa bandhakam Brh_1,14.5b	banDa-AcAreNa banDakam Br=-_1,14.5b
   balavat paribhūtānāṃ Brh_1,1.40c	balavat pariBUtAnAm Br=-_1,1.40c
   balaṃ kośaś ca naśyati Brh_1,1.127d	balam koSaH ca naSyati Br=-_1,1.127d
   balaṃ kośaṃ ca naśyati Brh_1,1.72d	balam koSam ca naSyati Br=-_1,1.72d
   balāt kārakṛtaṃ tu tat Brh_1,24.3d	balAt kAra-kRtam tu tat Br=-_1,24.3d
   balāt kāraḥ sa kīrtitaḥ Brh_1,10.91d	balAt kAraH sa kIrtitaH Br=-_1,10.91d
   balānubandhavyāghāta- Brh_1,26.146a	bala-anubanDa-vyAGAta Brh_1,26.146a
   balān naiva pradāpayet Brh_1,26.141d	balAt na-eva pradApayet Br=-_1,26.141d
   balān nyāyena vā hṛtā Brh_1,19.25d	balAt nyAyena vA hRtA Br=-_1,19.25d
   balino'nyāyavartinaḥ Brh_1,1.39d	balinaH-anyAya-vartinaH Br=-_1,1.39d
   balir eṣa prakīrtitaḥ Brh_1,13.12d	baliH eza prakIrtitaH Br=-_1,13.12d
   balena caturaṅgena Brh_1,1.66a	balena caturaFgena Brh_1,1.66a
   balodbhūteṣu kāryeṣu Brh_1,4.19e	bala-udBUtezu kAryezu Brh_1,4.19e
   balopādhikṛte dve tu Brh_1,24.2a	bala-upADi-kRte dve tu Br=-_1,24.2a
   bahavo jñātayo yatra Brh_1,26.138a	bahavaH jQAtayaH yatra Brh_1,26.138a
   bahirvādikṛtāni ca Brh_1,8.16b	bahis-vAdi-kRtAni ca Br=-_1,8.16b
   bahudhārthabhṛtaḥ proktas Brh_1,15.9a	bahuDA-arTa-BRtaH proktaH Brh_1,15.9a
   bahupratijñaṃ yat kāryaṃ Brh_1,2.40a	bahu-pratijQam yat kAryam Br=-_1,2.40a
   bahumūlyaṃ tatra naṣṭam Brh_1,10.43c	bahu-mUlyam tatra nazwam Br=-_1,10.43c
   bahurakṣasya daśamam Brh_1,29.11a	bahu-rakzasya daSamam Brh_1,29.11a
   bahūnāṃ bhavati kṣemaḥ Brh_1,22.7c	bahUnAm Bavati kzemaH Br=-_1,22.7c
   bahūnāṃ saṃmato yas tu Brh_1,13.22a	bahUnAm saMmataH yaH tu Br=-_1,13.22a
   bahvīnām ekapatnīnām Brh_1,26.80a	bahvInAm eka-patnInAm Br=-_1,26.80a
   bahvyaḥ samāṃśato deyā Brh_1,26.2c	bahvyaH sama-aMSataH deyA Br=-_1,26.2c
   bādhākāle tu sā kāryā Brh_1,17.5c	bADA-kAle tu sA kAryA Br=-_1,17.5c
   bādhāṃ kuryur yad ekasya Brh_1,17.19a	bADAm kuryuH yat ekasya Br=-_1,17.19a
   bāndhvaveṣu sapiṇḍeṣu Brh_1,8.46c	bAnDvavezu sapiNxezu Br=-_1,8.46c
   bālabhītapravāsinām Brh_1,7.47b	bAla-BIta-pravAsinAm Br=-_1,7.47b
   bālavṛddhaprayojitaḥ Brh_1,1.123b	bAla-vRdDa-prayojitaH Br=-_1,1.123b
   bālaśrotriyavitte ca Brh_1,7.31a	bAla-Srotriya-vitte ca Br=-_1,7.31a
   bālonmattabhayāturaiḥ Brh_1,14.15b	bAla-unmatta-Baya-AturEH Br=-_1,14.15b
   bāhū sabhyāḥ smṛtir hastau Brh_1,1.84c	bAhU saByAH smRtiH hastO Br=-_1,1.84c
   bāhyabījātyayād yatra Brh_1,13.28a	bAhya-bIja-atyayAt yatra Brh_1,13.28a
   bāhyaṃ prājñaḥ kṛṣīvalaḥ Brh_1,13.31d	bAhyam prAjQaH kRzIvalaH Br=-_1,13.31d
   bījaratnasamanvitām Brh_1,1.46d	bIja-ratna-samanvitAm Br=-_1,1.46d
   bījāyovāhyaratnastrī- Brh_1,18.6c	bIja-ayaH-vAhya-ratna-strI Br=-_1,18.6c
   bīje 'kṣau ṣaḍguṇā smṛtā Brh_1,10.18b	bIje akzO zaxguNA smRtA Br=-_1,10.18b
   budhenātmaviśodhanam Brh_1,3.38b	buDena-Atma-viSoDanam Br=-_1,3.38b
   bṛhatve dviguṇaṃ tatra Brh_1,20.15c	bRhatve dviguNam tatra Brh_1,20.15c
   bradhnasyāpnoti viṣṭapam Brh_1,9.33d	braDnasya-Apnoti vizwapam Br=-_1,9.33d
   bravīti brāhmaṇo 'smīti Brh_1,1.80c	bravIti brAhmaNaH asmi-iti Br=-_1,1.80c
   brahmaksatriyaviṣśūdrā Brh_1,26.42a	brahma-ksatriya-vizSu-udrAH Brh_1,26.42a
   brahmacarye vyavasthitā Brh_1,25.15b	brahmacarye vyavasTitA Br=-_1,25.15b
   brahmadāyaṃ gatāṃ bhūmiṃ Brh_1,26.53a	brahma-dAyam gatAm BUmim Brh_1,26.53a
   brahmadeyaṃ na hartavyaṃ Brh_1,7.53c	brahma-deyam na hartavyam Br=-_1,7.53c
   brahmasvaṃ brāhmaṇāñ śrayet Brh_1,13.17d	brahma-svam brAhmaNAn Srayet Br=-_1,13.17d
   brahmahatyāsurāpāna- Brh_1,2.23a	brahmahatyA-asurA-pAna Br=-_1,2.23a
   brahmahā ca samāḥ smṛtāḥ Brh_1,5.34b	brahma-hA ca samAH smRtAH Br=-_1,5.34b
   brahmādhāne ca vājinam Brh_1,13.19b	brahma-ADAne ca vAjinam Br=-_1,13.19b
   brāhmaṇaś ca bahuśrutaḥ Brh_1,1.67d	brAhmaNaH ca bahu-SrutaH Br=-_1,1.67d
   brāhmaṇas tu parikṣīṇaḥ Brh_1,10.89a	brAhmaNaH tu parikzINaH Brh_1,10.89a
   brāhmaṇas tu parikṣīṇaḥ Brh_1,10.93c	brAhmaNaH tu parikzINaH Brh_1,10.93c
   brāhmaṇasya trilakṣaṇam Brh_1,7.10b	brAhmaNasya tri-lakzaNam Br=-_1,7.10b
   brāhmaṇasya dhaṭo deyaḥ Brh_1,8.12a	brAhmaNasya DawaH deyaH Brh_1,8.12a
   brāhmaṇasya vidhīyate Brh_1,7.14b	brAhmaNasya viDIyate Br=-_1,7.14b
   brāhmaṇaḥ karma vārṣalam Brh_1,7.15b	brAhmaNaH karma vArzalam Br=-_1,7.15b
   brāhmaṇātikrame vadhyā Brh_1,9.18c	brAhmaNa-atikrame vaDyAH Br=-_1,9.18c
   brāhmaṇātikrame vadhyā Brh_1,21.20c	brAhmaNa-atikrame vaDyAH Br=-_1,21.20c
   brāhmaṇābhyavapattau ca Brh_1,8.39c	brAhmaNa-aByavapattO ca Br=-_1,8.39c
   brāhmaṇe ṣaḍguṇaṃ smṛtam Brh_1,14.10d	brAhmaNe zaxguNam smRtam Br=-_1,14.10d
   brāhmaṇaiḥ śāstrapāragaiḥ Brh_1,9.24b	brAhmaNEH SAstra-pAragEH Br=-_1,9.24b
   brāhmaṇo nāparādhnuyāt Brh_1,20.9d	brAhmaNaH na-aparADnuyAt Br=-_1,20.9d
   brāhmaṇo nāparādhnuyāt Brh_1,20.13d	brAhmaNaH na-aparADnuyAt Br=-_1,20.13d
   brāhmaṇo ramate rasāt Brh_1,7.18b	brAhmaNaH ramate rasAt Br=-_1,7.18b
   brāhmī māheśvarī caiva Brh_1,8.25c	brAhmI mAheSvarI ca-eva Br=-_1,8.25c
   brāhmair liṅgair vivarjitaḥ Brh_1,1.80b	brAhmEH liFgEH vivarjitaH Brh_1,1.80b
   brūyus te tu samaṃjasam Brh_1,19.15d	brUyuH te tu samaMjasam Br=-_1,19.15d
   brūyuḥ sīmni viniścayam Brh_1,19.31b	brUyuH sImni viniScayam Br=-_1,19.31b
   brūhīti brāhmaṇaṃ brūyāt Brh_1,8.35a	brUhi-iti brAhmaNam brUyAt Br=-_1,8.35a
   bhaktadātā vikarmiṇām Brh_1,23.15f	Bakta-dAtA vikarmiNAm Brh_1,23.15f
   bhaktāc chādabhṛtaḥ sīrād Brh_1,16.1c	BaktAt CAdaBRtaH sIrAt Br=-_1,16.1c
   bhaktācchādaṃ pradāyaiṣāṃ Brh_1,1.131c	Bakta-AcCAdam pradAya-ezAm Br=-_1,1.131c
   bhakṣitopekṣite nṛṇām Brh_1,11.8d	Bakzita-upekzite nRNAm Br=-_1,11.8d
   bhaginībhrātṛsaṃbaddham Brh_1,20.3a	BaginI-BrAtR-saMbadDam Br=-_1,20.3a
   bhaginyaś ca sanābhayaḥ Brh_1,26.114d	BaginyaH ca sanABayaH Br=-_1,26.114d
   bhagnaṃ mliṣtākṣarayutaṃ Brh_1,6.32c	Bagnam mlizta-akzara-yutam Brh_1,6.32c
   bhajamānāḥ patanti te Brh_1,26.61d	BajamAnAH patanti te Br=-_1,26.61d
   bhajeyus te yathāṃśataḥ Brh_1,13.38d	BajeyuH te yaTA-aMSataH Br=-_1,13.38d
   bhajerann itare samam Brh_1,26.11d	Bajeran itare samam Br=-_1,26.11d
   bhaṭādibhir vadhyamānaṃ Brh_1,5.43e	Bawa-AdiBiH vaDyamAnam Brh_1,5.43e
   bhadrāsanam adhiṣṭhāya Brh_1,1.48a	BadrAsanam aDizWAya Br=-_1,1.48a
   bhayadṛṣṭodbhavā mithyā Brh_1,3.23a	Baya-dRzwa-udBavAH miTyA Br=-_1,3.23a
   bhayaṃ karoti bhedaṃ vā Brh_1,3.29a	Bayam karoti Bedam vA Br=-_1,3.29a
   bhayād bhogāya kalpante Brh_1,1.8a	BayAt BogAya kalpante Br=-_1,1.8a
   bhartavyās tv apare smṛtāḥ Brh_1,26.70d	BartavyAH tu apare smRtAH Br=-_1,26.70d
   bhartur drohe yathā nāryāḥ Brh_1,11.8a	BartuH drohe yaTA nAryAH Brh_1,11.8a
   bhartur dhanaharī patnī Brh_1,26.126a	BartuH Dana-harI patnI Brh_1,26.126a
   bhartuḥ pitṛgṛhe 'pi vā Brh_1,26.29b	BartuH pitR-gRhe api vA Br=-_1,26.29b
   bhartrā patnī samabhyarcyā Brh_1,25.7a	BartrA patnI samaByarcyAH Brh_1,25.7a
   bhartrā pitrā sutair na strī Brh_1,25.9a	BartrA pitrA sutEH na strI Br=-_1,25.9a
   bhavaty abhimataḥ satām Brh_1,15.19d	Bavati aBimataH satAm Br=-_1,15.19d
   bhavet tatrobhayor api Brh_1,3.44b	Bavet tatra-uBayoH api Br=-_1,3.44b
   bhavet samāṃśaḥ kṣatreṇa Brh_1,26.120c	Bavet sama-aMSaH kzatreNa Br=-_1,26.120c
   bhavet sāmyena bhūbhṛtaḥ Brh_1,3.47d	Bavet sAmyena BUBRtaH Br=-_1,3.47d
   bhaveyus te yathākramam Brh_1,26.42d	BaveyuH te yaTAkramam Br=-_1,26.42d
   bhasmakardamapāṃsubhiḥ Brh_1,21.1b	Basma-kardama-pAMsuBiH Br=-_1,21.1b
   bhasmādīnāṃ prakṣipaṇaṃ Brh_1,21.6a	Basma-AdInAm prakzipaNam Brh_1,21.6a
   bhāgadānakrayādhināṃ Brh_1,6.5a	BAga-dAna-krayADinAm Brh_1,6.5a
   bhāgabhāgāgatas tu saḥ Brh_1,26.64d	BAga-BAga-AgataH tu saH Br=-_1,26.64d
   bhāgalekhyaṃ tad ucyate Brh_1,6.11d	BAga-leKyam tat ucyate Br=-_1,6.11d
   bhāgavṛddhir vivakṣitā Brh_1,10.35d	BAga-vRdDiH vivakzitAH Br=-_1,10.35d
   bhāgaṃ gṛṇīta pañcamam Brh_1,16.1d	BAgam gRNIta paQcamam Br=-_1,16.1d
   bhāgaṃ dadyāt kṛṣīvalam Brh_1,1.43b	BAgam dadyAt kRzIvalam Br=-_1,1.43b
   bhāgānāṃ nirṇaye kṛtam Brh_1,6.6b	BAgAnAm nirNaye kRtam Br=-_1,6.6b
   bhāgo yad dviguṇād ūrdhvaṃ Brh_1,10.21a	BAgaH yat dviguNAt UrDvam Brh_1,10.21a
   bhāgyābhāgyavaśān nṛṇām Brh_1,19.23b	BAgya-aBAgya-vaSAt nRNAm Br=-_1,19.23b
   bhāgyābhāgyavaśān nṛṇām Brh_1,19.43d	BAgya-aBAgya-vaSAt nRNAm Br=-_1,19.43d
   bhāravāho 'dhamaḥ proktas Brh_1,15.13c	BAravAhaH aDamaH proktaH Br=-_1,15.13c
   bhāryā putraḥ purohitaḥ Brh_1,9.15b	BAryA putraH purohitaH Brh_1,9.15b
   bhāryāyā bhrātṛmātarau Brh_1,5.39b	BAryAyAH BrAtR-mAtarO Br=-_1,5.39b
   bhāryāsutavihīnasya Brh_1,26.135c	BAryA-suta-vihInasya Br=-_1,26.135c
   bhāvayitvā pradāpyate Brh_1,10.95d	BAvayitvA pradApyate Br=-_1,10.95d
   bhāvitāḥ sākṣiṇaḥ sarve Brh_1,5.25c	BAvitAH sAkziNaH sarve Br=-_1,5.25c
   bhāṣāpādottarapadau Brh_1,2.1a	BAzA-pAda-uttara-padO Br=-_1,2.1a
   bhinnaṃ tad bahudhā punaḥ Brh_1,6.4d	Binnam tat bahuDA punar Br=-_1,6.4d
   bhīṣaṇaṃ vā nirodhanam Brh_1,3.29b	BIzaNam vA niroDanam Br=-_1,3.29b
   bhuktam etair na hīyate Brh_1,7.45d	Buktam etEH na hIyate Br=-_1,7.45d
   bhuktaṃ bhuktyā na hīyate Brh_1,7.47d	Buktam BuktyA na hIyate Br=-_1,7.47d
   bhuktaṃ yat svajanais tathā Brh_1,7.63b	Buktam yat sva-janEH taTA Brh_1,7.63b
   bhuktir ekā garīyasī Brh_1,7.38d	BuktiH ekA garIyasI Br=-_1,7.38d
   bhuktir ebhyo garīyasī Brh_1,7.34d	BuktiH eByaH garIyasI Br=-_1,7.34d
   bhuktir eva tu gurvo syān Brh_1,7.21c	BuktiH eva tu gurvaH syAt Br=-_1,7.21c
   bhuktir balavatī śāstre hy Brh_1,7.60a	BuktiH balavatI SAstre hi Br=-_1,7.60a
   bhuktir yasyāvighātinī Brh_1,7.28b	BuktiH yasya-aviGAtinI Br=-_1,7.28b
   bhuktis tatra garīyasī Brh_1,7.55d	BuktiH tatra garIyasI Br=-_1,7.55d
   bhuktis tripuruṣī ca yā Brh_1,7.56b	BuktiH tripuruzI ca yA Brh_1,7.56b
   bhuktis tripuruṣī sidhyet Brh_1,7.43a	BuktiH tri-puruzI siDyet Br=-_1,7.43a
   bhuktis traipuruṣī yatra Brh_1,7.54a	BuktiH trEpuruzI yatra Br=-_1,7.54a
   bhuktiṃ yo na [ca] sādhayet Brh_1,12.14b	Buktim yaH naH [ca] sADayet Brh_1,12.14b
   bhuktiḥ sā pauruṣī jñeyā Brh_1,7.37a	BuktiH sA pOruzI jQeyAH Br=-_1,7.37a
   bhuktiḥ siddhim avāpnuyāt Brh_1,7.30b	BuktiH sidDim avApnuyAt Br=-_1,7.30b
   bhuktiḥ stokāpi yatra no Brh_1,7.33d	BuktiH stokA-api yatra naH Br=-_1,7.33d
   bhukte cāsāratāṃ prāpte Brh_1,10.43a	Bukte ca-asAra-tAm prApte Brh_1,10.43a
   bhukteś ca vidhir ucyate Brh_1,7.22d	BukteH ca viDiH ucyate Br=-_1,7.22d
   bhuktyā kevalayā naiva Brh_1,7.30a	BuktyA kevalayA na-eva Br=-_1,7.30a
   bhuktyācāreṇa dharmataḥ Brh_1,7.61b	Bukti-AcAreNa DarmataH Br=-_1,7.61b
   bhuktyā prāptaṃ tu tasya tat Brh_1,7.61d	BuktyA prAptam tu tasya tat Br=-_1,7.61d
   bhuktvā hānim upekṣayā Brh_1,7.26d	BuktvA hAnim upekzayA Br=-_1,7.26d
   bhuñjato yasya yā hṛtā Brh_1,19.30b	BuQjataH yasya yA hRtA Brh_1,19.30b
   bhuvanādhiśvarāś caiva Brh_1,8.24a	Buvana-aDiSvarAH ca-eva Br=-_1,8.24a
   bhūtaṃ ṣaṇmāsavārṣikam Brh_1,1.44b	BUtam zaz-mAsa-vArzikam Br=-_1,1.44b
   bhūpānām indhanarasair Brh_1,1.29a	BUpAnAm inDana-rasEH Brh_1,1.29a
   bhūbhāgalakṣaṇaṃ caiva Brh_1,19.28c	BU-BAga-lakzaNam ca-eva Br=-_1,19.28c
   bhūmir avyāhatā paraiḥ Brh_1,7.36d	BUmiH avyAhatA parEH Br=-_1,7.36d
   bhūmiś cchinnā yadā bhavet Brh_1,19.24d	BUmiH cCinnA yadA Bavet Br=-_1,19.24d
   bhūmiṃ dattvā yas tu patraṃ Brh_1,6.12a	BUmim dattvA yaH tu patram Brh_1,6.12a
   bhūmer anyatra saṃsthitiḥ Brh_1,19.23d	BUmeH anyatra saMsTitiH Br=-_1,19.23d
   bhūmer abhuktir lekhyasya Brh_1,7.66a	BUmeH aBuktiH leKyasya Br=-_1,7.66a
   bhūmau niveśayet tāvad Brh_1,2.29a	BUmO niveSayet tAvat Br=-_1,2.29a
   bhūmau vivādayet kṣipram Brh_1,3.9c	BUmO vivAdayet kzipram Br=-_1,3.9c
   bhūmyāṃ vā prathamaṇ likhet Brh_1,2.33b	BUmyAm vA praTamaw liKet Brh_1,2.33b
   bhūyo dāyavibhāgaḥ syād Brh_1,26.68c	BUyas dAya-viBAgaH syAt Br=-_1,26.68c
   bhūvādo 'svāmivikriyaḥ Brh_1,1.11d	BUvAdaH asvAmi-vikriyaH Br=-_1,1.11d
   bhṛguṇāsvāmivikrayaḥ Brh_1,12.1b	BRguNA-svAmi-vikrayaH Br=-_1,12.1b
   bhṛtakas tu na kurvīta Brh_1,16.3a	BRtakaH tu na kurvIta Brh_1,16.3a
   bhṛtakas trividho jñeya Brh_1,15.11a	BRtakaH triviDaH jQeya Br=-_1,15.11a
   bhṛtakaḥ karmakaraś ca] Brh_1,15.15d	BRtakaH karmakaraH ca] Br=-_1,15.15d
   bhṛtako vidadhāti yat Brh_1,16.9b	BRtakaH vidaDAti yat Br=-_1,16.9b
   bhṛtabhedatrayaṃ tv idam Brh_1,15.3d	BRta-Beda-trayam tu idam Br=-_1,15.3d
   bhṛtānām ucyate vidhiḥ Brh_1,15.1b	BRtAnAm ucyate viDiH Br=-_1,15.1b
   bhṛtis tuṣṭyā paṇyamūlaṃ Brh_1,14.9a	BRtiH tuzwyA paNya-mUlam Br=-_1,14.9a
   bhṛtihānim avāpnoti Brh_1,16.3c	BRti-hAnim avApnoti Br=-_1,16.3c
   bhṛtai rakṣya upaskaraḥ Brh_1,16.6d	BRtEH rakzyaH upaskaraH Br=-_1,16.6d
   bhṛto 'nārto na kuryād yo Brh_1,16.4a	BRtaH anArtaH na kuryAt yaH Brh_1,16.4a
   bhṛtyadānam aśuśrūṣā Brh_1,1.11c	BRtya-dAnam aSuSrUzA Brh_1,1.11c
   bhṛtyānāṃ karma kurvatām Brh_1,1.2b	BRtyAnAm karma kurvatAm Br=-_1,1.2b
   bhṛtyān nāhvāyayen nṛpaḥ Brh_1,1.151d	BRtyAn na-AhvAyayet nRpaH Br=-_1,1.151d
   bhettavyo rājapūruṣaiḥ Brh_1,22.6b	BettavyaH rAja-pUruzEH Br=-_1,22.6b
   bhedakṛtsāhasī tathā Brh_1,17.16b	Beda-kRt-sAhasI taTA Brh_1,17.16b
   bhedane madhyamo guruḥ Brh_1,21.13d	Bedane maDyamaH guruH Br=-_1,21.13d
   bhedam āyānti sākṣiṇaḥ Brh_1,8.14b	Bedam AyAnti sAkziNaH Brh_1,8.14b
   bhedas tu bhayadarśanam Brh_1,3.8b	BedaH tu Baya-darSanam Br=-_1,3.8b
   bhedaḥ śāstracaritrayoḥ Brh_1,3.45b	BedaH SAstra-caritrayoH Br=-_1,3.45b
   bhedenopekṣayā nyāsaṃ Brh_1,11.12a	Bedena-upekzayA nyAsam Brh_1,11.12a
   bhoktavyaḥ samanantaram Brh_1,10.50d	BoktavyaH samanantaram Br=-_1,10.50d
   bhogacchedanimittaṃ ca Brh_1,7.49c	Boga=-Ceda-nimittam ca Br=-_1,7.49c
   bhogam anyeṣu kalpayet Brh_1,7.63d	Bogam anyezu kalpayet Br=-_1,7.63d
   bhogalābhas tathaiva ca Brh_1,10.9d	Boga-lABaH taTA-eva ca Br=-_1,10.9d
   bhogalābhas tadā tatra Brh_1,10.100c	Boga-lABaH tadA tatra Brh_1,10.100c
   bhogalābhaṃ tathaiva ca Brh_1,10.16b	Boga-lABam taTA-eva ca Br=-_1,10.16b
   bhogalābhaḥ prakīrtitaḥ Brh_1,10.14b	Boga-lABaH prakIrtitaH Br=-_1,10.14b
   bhogaṃ kāmaṃ ca nāma ca Brh_1,19.28b	Bogam kAmam ca nAma ca Br=-_1,19.28b
   bhogaṃ caiva tato dhanāt Brh_1,26.59b	Bogam ca-eva tatas DanAt Br=-_1,26.59b
   bhogāt tatra na siddhiḥ syād Brh_1,7.63c	BogAt tatra na sidDiH syAt Br=-_1,7.63c
   bhogena prakarṣānvitam Brh_1,10.70b	Bogena prakarza-anvitam Br=-_1,10.70b
   bhoge lābhaṃ tathaiva ca Brh_1,10.25b	Boge lABam taTA-eva ca Br=-_1,10.25b
   bhogopagrahapūjanam Brh_1,1.50b	Boga-upagraha-pUjanam Br=-_1,1.50b
   bhojanavyañjanakriyā Brh_1,25.10b	Bojana-vyaQjana-kriyA Brh_1,25.10b
   bhojyānno 'tha pratigrāhyo Brh_1,15.19c	Bojya-annaH aTa pratigrAhyaH Br=-_1,15.19c
   bhojyābharaṇakarmiṇaḥ Brh_1,26.40b	Bojya-ABaraNa-karmiNaH Br=-_1,26.40b
   bhramadvīrītaraṅgāḍhye hy Brh_1,8.75a	Bramat-vIrI-taraFga-AXye hi Br=-_1,8.75a
   bhramaśvabhracatuṣpathān Brh_1,1.35b	Brama-SvaBra-catuzpaTAn Br=-_1,1.35b
   bhrātaras tu sahodarāḥ Brh_1,26.79b	BrAtaraH tu sahodarAH Brh_1,26.79b
   bhrātaraḥ saṃvibhaktā ye Brh_1,6.11a	BrAtaraH saMviBaktAH ye Br=-_1,6.11a
   bhrātaro ye ca saṃsṛṣṭā Brh_1,26.114c	BrAtaraH ye ca saMsRzwAH Br=-_1,26.114c
   bhrātā putrāś ca kīrtitāḥ Brh_1,26.87d	BrAtA putrAH ca kIrtitAH Br=-_1,26.87d
   bhrātā vā tadanujñayā Brh_1,26.135f	BrAtA vA tad-anujQayA Brh_1,26.135f
   bhrātā vā bhrātṛputro vā Brh_1,26.139a	BrAtA vA BrAtR-putraH vA Br=-_1,26.139a
   bhrātā sakhā ca jāmātā Brh_1,5.39c	BrAtA saKA ca jAmAtA Br=-_1,5.39c
   bhrātuḥ sakāśāt pitror vā Brh_1,26.29c	BrAtuH sakASAt pitroH vA Br=-_1,26.29c
   bhrātṛputrāḥ sanābhayaḥ Brh_1,26.134b	BrAtR-putrAH sanABayaH Br=-_1,26.134b
   bhrātṛbhāge vibhaktajaḥ Brh_1,26.55b	BrAtR-BAge viBakta-jaH Br=-_1,26.55b
   bhrātṛbhāryām abhartṛkām Brh_1,1.130b	BrAtR-BAryAm aBartRkAm Br=-_1,1.130b
   bhrātrā caikatra saṃsthitaḥ Brh_1,26.113b	BrAtrA ca-ekatra saMsTitaH Br=-_1,26.113b
   bhrāntiḥ śaṅkā samuddiṣṭā Brh_1,2.42a	BrAntiH SaFkA samuddizwAH Br=-_1,2.42a
   bhrāntiḥ saṃjāyate yataḥ Brh_1,6.2b	BrAntiH saMjAyate yatas Br=-_1,6.2b
   bhrāntiḥ saṃjāyate yadā Brh_1,6.43b	BrAntiH saMjAyate yadA Br=-_1,6.43b
   bhrāmayed gardabhena tu Brh_1,24.13d	BrAmayet gardaBena tu Br=-_1,24.13d
   bhrūṇahā mitrahā caiṣāṃ Brh_1,5.34c	BrUNa-hA mitra-hA ca-ezAm Br=-_1,5.34c
   magnāṅgaḥ śucitām iyāt Brh_1,8.61b	magna-aFgaH Suci-tAm iyAt Br=-_1,8.61b
   maṇimuktāpravālānāṃ Brh_1,4.15a	maNi-muktA-pravAlAnAm Brh_1,4.15a
   maṇḍalaṃ tu pramāṇataḥ Brh_1,8.57d	maNxalam tu pramANataH Br=-_1,8.57d
   maṇḍalaṃ paricakṣate Brh_1,1.23d	maNxalam paricakzate Br=-_1,1.23d
   maṇḍalān maṇḍalāntaram Brh_1,8.57b	maNxalAn maNxala-antaram Brh_1,8.57b
   matir utpadyate yāvat Brh_1,2.39c	matiH utpadyate yAvat Br=-_1,2.39c
   matir notsahate yatra Brh_1,1.140a	matiH na-utsahate yatra Brh_1,1.140a
   mattamūḍhānabhijñārta- Brh_1,18.19a	matta-mUXAn-aBijQA-Arta Brh_1,18.19a
   mattalekhyaṃ parasparam Brh_1,6.15b	matta-leKyam parasparam Br=-_1,6.15b
   mattātivṛddhanirdhūtaiḥ Brh_1,14.15c	matta-ativRdDa-nirDUtEH Br=-_1,14.15c
   mattonmattapramattāṃś ca Brh_1,1.151c	matta-unmatta-pramattAn ca Br=-_1,1.151c
   mattonmattārtavyasani- Brh_1,1.123a	matta-unmatta-Artavyasani Brh_1,1.123a
   mattonmattena vikrīyaṃ Brh_1,18.4a	matta-unmattena vikrIyam Br=-_1,18.4a
   matto vṛddho 'nuyuktaś ca Brh_1,1.136c	mattaH vRdDaH anuyuktaH ca Br=-_1,1.136c
   matsyādāś ca narāḥ pūrve Brh_1,1.129a	matsya-AdAH ca narAH pUrve Brh_1,1.129a
   madūrdhvam iti yad dattaṃ Brh_1,14.14a	mad-UrDvam iti yat dattam Brh_1,14.14a
   madyānāṃ madhusarpiṣām Brh_1,10.19b	madyAnAm maDu-sarpizAm Brh_1,10.19b
   madhyadeśe karmakarāḥ Brh_1,1.128c	maDyadeSe karmakarAH Brh_1,1.128c
   madhyamas tu kṛṣīvalaḥ Brh_1,15.12b	maDyamaH tu kRzIvalaH Br=-_1,15.12b
   madhyamas tu kṛṣīvalaḥ Brh_1,15.13b	maDyamaH tu kRzIvalaH Br=-_1,15.13b
   madhyamaṃ śaram ādāya Brh_1,8.59a	maDyamam Saram AdAya Br=-_1,8.59a
   madhyamaṃ saṃgrahaṃ viduḥ Brh_1,24.7d	maDyamam saMgraham viduH Br=-_1,24.7d
   madhyamaṃ saṃgrahaṃ viduḥ Brh_1,24.10d	maDyamam saMgraham viduH Br=-_1,24.10d
   madhyamaḥ śastrasaṃdhāne Brh_1,21.9a	maDyamaH Sastra-saMDAne Brh_1,21.9a
   madhyamaḥ saṃgrahaḥ smṛtaḥ Brh_1,24.9d	maDyamaH saMgrahaH smRtaH Br=-_1,24.9d
   madhyame karmaṇī hitvā Brh_1,7.16c	maDyame karmaNI hitvA Br=-_1,7.16c
   madhyameṣu śatāvaraḥ Brh_1,1.148d	maDyamezu SatAvaraH Br=-_1,1.148d
   madhyasthā vañcayanty Brh_1,22.19a	maDyasTAH vaQcayanti Brh_1,22.19a
   madhyasthāḥ kūṭasākṣiṇaḥ Brh_1,22.3b	maDyasTAH kUwa-sAkziNaH Br=-_1,22.3b
   madhyasthitam anājīvyaṃ Brh_1,26.50a	maDya-sTitam anAjIvyam Brh_1,26.50a
   madhyasthair vā parasparam Brh_1,17.7b	maDyasTEH vA parasparam Br=-_1,17.7b
   madhyaṃ kṛṣṭaśadaṃ tu saḥ Brh_1,19.53d	maDyam kRzwa-Sadam tu saH Br=-_1,19.53d
