   Maitrāyaṇī Saṃhitā	MEtrAyaNI  SaMhitA
        ahutādo haviṣo yajñe asmint svayaṃ pibantu madhuno ghṛtasya //	ahutAdaH havizaH yajQe asmin svayam pibantu maDunaH GRtasya //
        ye devā devebhyo adhi devatvam āyan ye brahmaṇaḥ puraetāro asya /	ye devAH deveByaH aDi deva tvam Ayan ye brahmaNaH puraetAraH asya /
        yebhyo na ṛte pavate dhāma kiṃ cana na te divo na pṛthivyā adhi snuṣu	yeByaH na Rte pavate DAma kim cana na te divaH na pRTivyAH aDi snuzu
        prāṇadā apānadā vyānadā varcodhā varivodhāḥ /	prANa dAH apAna dAH vyAna dAH varcaH DAH vari voDAH /
        anyāṃs te asmat tapantu hetayaḥ pāvako asmabhyaṃ śivo bhava	anyAn te asmat tapantu hetayaH pAvakaH asmaByam SivaH Bava
   //MS_2,10.1//	//n= _2,10.1//
        agnis tigmena śociṣā yāsad viśvaṃ ny atriṇam /	agniH tigmena SocizA yAsat viSvam ni atriNam /
        agnir no vanate rayim //	agniH naH vanate rayim //
   [Page II,133]	[Pa ge II,133]
        ya imā viśvā bhuvanāni juhvad ṛṣir hotā nyasīdat pitā naḥ /	yaH imAH viSvA BuvanAni juhvat RziH hotA nyasIdat pitA naH /
        sa āśiṣā draviṇam ichamānaḥ prathamachad avaraṃ āviveśa //	saH ASizAH draviNam iCamAnaH praTama Cat avaram AviveSa //
        kiṃ svid vanaṃ ka u sa vṛkṣa āsīd yato dyāvāpṛthivī niṣṭatakṣuḥ /	kim svid vanam kaH u sa vRkzaH AsIt yatas dyAvApRTivI nizwa takzuH /
        manīṣiṇo manasā pṛchated u tad yad adhyatiṣṭhad bhuvanāni dhārayan //	manIziNaH manasA pRCatet u tat yat aDyatizWat BuvanAni DArayan //
        kiṃ svid āsīd adhiṣṭhānam ārambhaṇaṃ katamat svit kathāsīt /	kim svid AsIt aDizWAnam AramBaNam katamat svid kaTA AsIt /
        yato bhūmiṃ janayan viśvakarmā vi dyām aurṇon mahinā viśvacakṣāḥ /	yatas BUmim janayan viSvakarmA vi dyAm OrNon mahinA viSva cakzAH /
        yo viśvacakṣur uta viśvatomukho viśvatohasta uta viśvataspāt /	yaH viSvacakzuH uta viSvatomuKaH viSvatas haste uta viSvataspAd /
        saṃ bāhubhyām adhamat saṃ patatrair dyāvābhūmī janayan deva ekaḥ //	sam bAhuByAm aDamat sam patatrEH dyAvABUmI janayan devaH ekaH //
        yā te dhāmāni paramāṇi yāvamā yā madhyamā viśvakarmann utemā /	yA te DAmAni paramANi yAvamA yA maDyamA viSvakarman uta imA /
        śikṣā sakhibhyo haviṣā svadhāvaḥ svayaṃ yajasva tanvaṃ juṣāṇaḥ //	SikzA saKiByaH havizA svaDAvaH svayam yajasva tanvam juzANaH //
        viśvakarman haviṣā vardhanena trātāram indram akṛṇor avadhyam /	viSvakarman havizA varDanena trAtAram indram akRNoH avaDyam /
        tasmai viśaḥ samanamanta daivīr ayam ugro vihavyo yathāsat //	tasmE viSaH samanamanta dEvIH ayam ugraH vihavyaH yaTAsat //
        viśvakarman haviṣā vāvṛdhānaḥ svayaṃ yajasva pṛthivīm uta dyām /	viSvakarman havizA vAvRDAnaH svayam yajasva pRTivIm uta dyAm /
        muhyantv anye abhito janāsa ihāsmākaṃ maghavā sūrir astu //	muhyantu anye aBitas janAsaH iha asmAkam maGavA sUriH astu //
        vācaspatiṃ viśvakarmāṇam ūtaye manoyujaṃ vāje adyāhuvema /	vAcaspatim viSvakarmANam Utaye manaH yujam vAje adya Ahuvema /
        sa no nediṣṭhā havanā jujoṣa viśvaśaṃbhūr avase sādhukarmā	sa naH nedizWAH havanA jujoza viSva SaMBUH avase sADu karmA
   //MS_2,10.2//	//n= _2,10.2//
   [Page II,134]	[Pa ge II,134]
        cakṣuṣaḥ pitā manasā hi dhīro ghṛtam ene ajanan namnamāne /	cakzuzaH pitA manasA hi DIraH GRtam ene ajanan namna mAne /
        yaded antā adadṛhanta pūrvā ād id dyāvāpṛthivī aprathetām //	yadet antAH adadRhanta pUrvA At id dyAvApRTivI apraTetAm //
        viśvakarmā vimame yo vihāyā dhartā vidhartā paramota saṃdṛk /	viSvakarmA vimame yaH vihAyAH DartA viDartA paramota saMdRS /
        teṣām iṣṭāni sam iṣā madanti yatrā saptaṛṣīn para ekam āhuḥ /	tezAm izwAni sam izAH madanti yatrA sapta RzIn paraH ekam AhuH /
        ta āyajanta draviṇā sam asminn ṛṣayaḥ pūrve jaritāro na bhūnā /	te Ayajanta draviNA sam asmin RzayaH pUrve jaritAraH na BUnAH /
        asūrtā sūrte rajasi niṣattā ye bhūtāni samakṛṇvann imāni //	asUrtA sUrte rajasi nizattAH ye BUtAni samakRNvan imAni //
        yo naḥ pitā janitā yo vidhartā yo naḥ sato abhy ā saj jajāna /	yaH naH pitA janitA yaH viDartA yaH naH sataH aBi A sat jajAnaH /
        yo devānāṃ nāmadhā eka eva taṃ saṃpraśnaṃ bhuvanā yanty anyā //	yaH devAnAm nAmaDAH ekaH eva tam saMpraSnam BuvanA yanti anyAH //
        paro divaḥ para enā pṛthivyāḥ paro devebhyo asuraṃ yad asti /	paraH divaH paraH enA pRTivyAH paraH deveByaH asuram yat asti /
        kaṃ svid garbhaṃ prathamaṃ dadhrā āpo yatra devāḥ samagachanta sarve	kam svid garBam praTamam daDrA ApaH yatra devAH samagaCanta sarve
        tam id garbhaṃ prathamaṃ dadhrā āpo yatra devāḥ samapaśyanta viśve /	tam id garBam praTamam daDrA ApaH yatra devAH samapaSyanta viSve /
        ajasya nābhā adhy ekam arpitaṃ yasmin viśvā bhuvanādhi tasthuḥ //	ajasya nABAH aDi ekam arpitam yasmin viSvA Buvana aDi tasTuH //
        viśvakarmā ced ajaniṣṭa deva ād id gandharvo abhavad dvitīyaḥ /	viSvakarmA ced ajanizwa devaH At id ganDarvaH aBavat dvitIyaH /
        tṛtīyaḥ pitā janitauṣadhīnām apāṃ garbhaṃ vyadadhuḥ purutrā //	tRtIyaH pitA janita ozaDInAm apAm garBam vyadaDuH purutrAH //
   [Page II,135]	[Pa ge II,135]
        na taṃ vidātha ya imā jajānānyad yuṣmākam antaraṃ babhūva /	na tam vidATa yaH imAH jajAna anyat yuzmAkam antaram baBUva /
        nīhāreṇa prāvṛtā jalpyā cāsutṛpa ukthaśāsaś caranti //MS_2,10.3//	nIhAreNa prAvRtAH jalpyA ca asutRpaH ukTa SAsaH caranti //n= _2,10.3//
        ud enam uttaraṃ nayāgne ghṛtenāhuta /	ud enam uttaram naya agne GRtena Ahuta /
        sam enaṃ varcasā sṛja prajayā ca bahuṃ kṛdhi //	sam enam varcasA sRja prajayA ca bahum kRDi //
   indremaṃ prataraṃ naya sajātānām asad vaśī //	indra imam prataram naya sajAtAnAm asat vaSI //
   rāyaspoṣeṇa saṃsṛja devebhyo bhāgadā asat //	rAyaspozeNa saMsRja deveByaH BAga dAH asat //
        yasya kurmo gṛhe havis tam agne vardhayā tvam /	yasya kurmaH gRhe haviH tam agne varDayA tvam /
        tasmai devā adhibruvann ayaṃ ca brahmaṇaspatiḥ //	tasmE devAH aDibruvan ayam ca brahmaNaspatiH //
        āśuḥ śiśāno vṛṣabho na yudhmo ghanāghanaḥ kṣobhanaś carṣaṇīnām /	ASuH SiSAnaH vRzaBaH na yuDmaH GanAGanaH kzoBanaH carzaNInAm /
        saṃkrandano 'nimiṣa ekavīraḥ śataṃ senā ajayat sākam indraḥ //	saMkrandanaH animizaH eka vIraH Satam senA ajayat sAkam indraH //
        saṃkrandanenānimiṣeṇa jiṣṇunā yutkāreṇa duścyavanena dhṛṣṇunā /	saMkrandanena animizeNa jizNunA yutkAreNa duScya vanena DRzNunA /
        tad indreṇa jayata tat sahadhvaṃ yudho narā iṣuhastena vṛṣṇā //	tat indreNa jayata tat sahaDvam yuDaH narAH izu hastena vRzNA //
        sa iṣuhastaiḥ sa niṣaṅgibhir vaśī saṃsṛṣṭāsu yutsv indro gaṇeṣu /	saH izu hastEH sa nizaFgiBiH vaSI saMsRzwAsu yutsu indraH gaNezu /
        saṃsṛṣṭhajit somapā bāhuśardhy ·rdhvadhanvā pratihitābhir astā //	saMsRzWa jit somapA bAhu SarDI ·rDvaDanvA pratihitABiH astAH //
        bṛhaspate paridīyā rathena rakṣohāmitraṃ apabādhamānaḥ /	bRhaspate paridIyAH raTena rakzoha amitram apabADamAnaH /
        prabhañjant senāḥ pramṛṇo yudhā jayann asmākam edhy avitā rathānām //	praBaQjant senAH pramRNaH yuDA jayan asmAkam eDi avitA raTAnAm //
        abhi gotrāṇi sahasā gāhamāna ādāyo vīraḥ śatamanyur indraḥ /	aBi gotrANi sahasA gAhamAnaH AdAyaH vIraH Sata manyuH indraH /
        duścyavanaḥ pṛtanāṣāḍ ayodhyo 'smākaṃ senā avatu pra yutsu //	duScyavanaH pRtanAzAh ayoDyaH asmAkam senA avatu pra yutsu //
        balavijñāyaḥ sthaviraḥ pravīraḥ sahasvān vājī sahamāna ugraḥ /	bala vijQAyaH sTaviraH pravIraH sahasvAn vAjI sahamAnaH ugraH /
        abhivīro abhisatvā sahojij jaitram indra ratham ātiṣṭha govit //	aBivIraH aBisatvA sahaH jit jEtram indra raTam AtizWa go vid //
        gotrabhidaṃ govidaṃ vajrabāhuṃ jayantam ajma pramṛṇantam ojasā /	gotraBidam govidam vajra bAhum jayantam ajma pramRNantam ojasA /
        imaṃ sajātā anuvīrayadhvam indraṃ sakhāyo anu saṃrabhadhvam //	imam sajAtAH anuvIrayaDvam indram saKAyaH anu saMraBaDvam //
        indra eṣāṃ netā bṛhaspatir dakṣiṇā yajñaḥ pura etu somaḥ /	indraH ezAm netA bRhaspatiH dakziNA yajQaH puras etu somaH /
        devasenānām abhibhañjatīnāṃ jayantīnāṃ maruto yantu madhye //	deva senAnAm aBiBaQjatInAm jayantInAm marutaH yantu maDye //
        indrasya vṛṣṇo varuṇasya rājña ādityānāṃ marutāṃ śardha ugram /	indrasya vRzNaH varuNasya rAjQaH AdityAnAm marutAm SarDaH ugram /
        mahāmanasāṃ bhuvanacyavānāṃ ghoṣo devānāṃ jayatām udasthāt //	mahA manasAm Buvana cyavAnAm GozaH devAnAm jayatAm udasTAt //
        asmākam indraḥ samṛteṣu dhvajeṣv asmākaṃ yā iṣavas tā jayantu /	asmAkam indraH samRtezu Dvajezu asmAkam yAH izavaH tAH jayantu /
        asmākaṃ vīrā uttare bhavantv asmān u devā avatā bhareṣv ā	asmAkam vIrAH uttare Bavantu asmAn u devAH avatA Barezu A
   //MS_2,10.4//	//n= _2,10.4//
   ud u tvā //	ud u tvA //
        pañca diśo daivīr yajñam avantu devīr apāmatiṃ durmatiṃ bādhamānāḥ /	paQca diSaH dEvIH yajQam avantu devIH apAmatim durmatim bADamAnAH /
        rāyaśpoṣe yajñapatim ābhajantī rāyaspoṣe adhi yajño asthāt //	rAyaSpoze yajQapatim ABajantI rAyaspoze aDi yajQaH asTAt //
        samiddhe agnā adhi māmahāna ukthapatrā īḍyo gṛbhītaḥ /	samidDe agnAH aDi mAm ahAnaH ukTa patrAH IxyaH gRBItaH /
        taptaṃ gharmaṃ parigṛhyāyajantorjā yad yajñam aśamanta devāḥ //	taptam Garmam parigRhyAya janta UH jAH yat yajQam aSamanta devAH //
   [Page II,137]	[Pa ge II,137]
        daivyāya dhātre deṣṭre devaśrīḥ śrīmanāḥ śatapāt /	dEvyAya DAtre dezwre deva SrIH SrImanAH SatapAd /
        parigṛhya yajñam āyan //	parigRhya yajQam Ayan //
        harikeśaḥ sūryaraśmiḥ purastāt savitā jyotir udayaṃ ajasram /	harikeSaH sUrya raSmiH purastAt savitA jyotiH udayam ajasram /
        tasya pūṣā prasave yāti vidvānt saṃpaśyan viśvā bhuvanāni gopāḥ //	tasya pUzA prasave yAti vidvAnt saMpaSyan viSvA BuvanAni gopAH //
        devā deveṣv adhvaryanto asthur vītaṃ śamitrā śamitaṃ yajadhyai /	devAH devezu aDvaryantaH asTuH vItam SamitrA Samitam yajaDyE /
        turīyo yajño yatra havyam eti tato vākā āśiṣo no juṣantām //	turIyaH yajQaH yatra havyam eti tatas vAkAH ASizaH naH juzantAm //
        indraṃ viśvā avīvṛdhant samudravyacasaṃ giraḥ /	indram viSvAH avIvRDant samudra vyacasam giraH /
        rathītamaṃ rathīnāṃ vājānāṃ satpatiṃ patim //	raTItamam raTInAm vAjAnAm sat patim patim //
        vimāna eṣa divo madhya āsta āpapṛvān rodasī antarikṣam /	vimAnaH eza divaH maDye Aste ApapRvAn rodasI antarikzam /
        sa viśvācīr abhicaṣṭe ghṛtācīr antarā pūrvam aparaṃ ca ketum //	sa viSvAcIH aBicazwe GRtAcIH antarA pUrvam aparam ca ketum //
        ukṣā samudre aruṇaḥ suparṇaḥ pūrvasya yoniṃ pitur āviveśa /	ukzA samudre aruNaH suparNaH pUrvasya yonim pituH AviveSa /
        madhye divo nihitaḥ pṛśnir aśmā vicakrame rajasas pāty antau //	maDye divaH nihitaH pRSniH aSmA vicakrame rajasaH pAti antO //
        sumnahūr yajña ā ca vakṣad yakṣad agnir devo devaṃ ā ca vakṣat /	sumnahUH yajQaH A ca vakzat yakzat agniH devaH devam A ca vakzat /
        devahūr yajña ā ca vakṣad yakṣad agnir devo devaṃ ā ca vakṣat //	devahUH yajQaH A ca vakzat yakzat agniH devaH devam A ca vakzat //
   vājasya mā prasaveneti dve //MS_2,10.5//	vAjasya mA prasavena iti dve //n= _2,10.5//
   [Page II,138]	[Pa ge II,138]
        kramadhvam agninā nākam ukhyaṃ hasteṣu bibhrataḥ /	kramaDvam agninA nAkam uKyam hastezu biBrataH /
        divaḥ pṛṣṭhaṃ svar gatvā miśrā devebhir ādhvam //	divaH pRzWam svar gatvA miSrAH deveBiH ADvam //
   prācīm anu //	prAcIm anu //
        agne prehi prathamo devāyatāṃ cakṣur devānām uta martyānām /	agne prehi praTamaH devAyatAm cakzuH devAnAm uta martyAnAm /
        iyakṣamāṇā bhṛgubhiḥ saha svar yantu yajamānāḥ svasti //	iyakzamANAH BRguBiH saha svar yantu yajamAnAH svasti //
   svar : FN emended. Ed.: svar.	svar : F ema inded. Ed.: svar.
        pṛthivyā aham ud antarikṣam āruham antarikṣād divam āruham /	pRTivyAH aham ud antarikzam Aruham antarikzAt divam Aruham /
        divo nākasya pṛṣṭhāt svar jyotir agām aham //	divaH nAkasya pRzWAt svar jyotiH agAm aham //
   ud : FN emended. Ed.: ud.	ud : F ema inded. Ed.: ud.
        svar yanto nāpekṣantā ā dyāṃ rohanti rodasī /	svar yantaH na apekzantA A dyAm rohanti rodasI /
        yajñaṃ ye viśvatodhāraṃ suvidvāṃso vitenire //	yajQam ye viSvatoDAram su vidvAMsaH vitenire //
   svar : FN emended. Ed.: svar.	svar : F ema inded. Ed.: svar.
   naktoṣāsā, agne sahasrākṣa //	nakta uzAsA, agne sahasrAkzaH //
        suparṇo 'si garutmān pṛṣṭhe pṛthivyāḥ sīda /	suparNaH asi garutmAn pRzWe pRTivyAH sIda /
        bhāsāntarikṣam āpṛṇa jyotiṣā divam uttabhāna tejasā diśā uddṛṃha //	BAsa antarikzam ApRNa jyotizA divam uttaBAna tejasA diSAH uddRMhaH //
        ājuhvānaḥ supratīkaḥ purastād agne svaṃ yonim āsīda sādhyā /	AjuhvAnaH supratIkaH purastAt agne svam yonim AsIda sADyAH /
        asmint sadhasthe adhy uttarasmin viśve devā yajamānaś ca sīdata //	asmin saDasTe aDi uttarasmin viSve devAH yajamAnaH ca sIdata //
        tāṃ savitur vareṇyasya citrām āhaṃ vṛṇe sumatiṃ viśvajanyām /	tAm savituH vareNyasya citrAm Aham vRNe sumatim viSva janyAm /
        yām asya kaṇvo aduhat prapīnāṃ sahasradhārāṃ payasā mahīṃ gām //	yAm asya kaNvaH aduhat prapInAm sahasra DArAm payasA mahIm gAm //
        vidhema te parame janmann agne vidhema stomair avare sadhasthe /	viDema te parame janman agne viDema stomEH avare saDasTe /
        yasmād yoner udārithā yajā taṃ pra tve samiddhe juhure havīṃṣi //	yasmAt yoneH udAriTAH yajA tam pra tve samidDe juhure havIMzi //
        preddho agne dīdihi puro no 'jasrayā sūrmyā yaviṣṭha /	predDaH agne dIdihi puras naH ajasrayA sUrmyA yavizWa /
        tāṃ śaśvantā upayanti vājāḥ //	tAm SaSvantAH upayanti vAjAH //
   agne tam adya sapta te agne //	agne tam adya sapta te agne //
        citiṃ juhomi manasā yathā devā ihāgaman /	citim juhomi manasA yaTA devAH iha Agaman /
        vītihotrā ṛtāvṛdhaḥ //	vItihotrAH RtAvRDaH //
        samudrasya vo vayunasya patman juhomi viśvakarmaṇe /	samudrasya vaH vayunasya patman juhomi viSvakarmaNe /
        viśvāhādābhyaṃ haviḥ //MS_2,10.6//	viSvAhAt a aByam haviH //n= _2,10.6//
   [Page II,140]	[Pa ge II,140]
   śukrajyotiś ca citrajyotiś ca satyajyotiś ca jyotiṣmāṃś ca satyaś ca	SukrajyotiH ca citrajyotiH ca satyajyotiH ca jyotizmAn ca satyaH ca
   ṛtapāś cātyaṃhās, ṛtajic ca satyajic ca senajic ca suṣeṇaś ca, antimitraś	RtapAH ca atyaMhAs, Rtajit ca satyajit ca senajit ca suzeNaH ca, antimitraS
   ca dūre'mitraś ca gaṇas, ṛtaś ca satyaś ca dhruvaś ca dharuṇaś ca dhartā	ca dUre amitraH ca gaNas, RtaH ca satyaH ca DruvaH ca DaruNaH ca DartA
   ca vidhartā ca vidhārayas, īḍṛṅ caitādṛṅ ca sadṛṅ ca pratisadṛṅ ca mitaś	ca viDartA ca viDArayas, IxRS ca etAdRS ca sadRS ca pratisadRS ca mita S
   ca saṃmitaś ca sabharās, īdṛkṣāsa etādṛkṣāsa ū ṣu ṇaḥ sadṛkṣāsaḥ	ca saMmitaH ca sa BarAs, IdRkzAsaH etAdRkzAsaH U zu NaH sadRkzAsaH
   pratisadṛkṣāsā etana mitāsaś ca saṃmitāso na ūtaye sabharaso maruto yajñe	pratisadRkzAsA etana mitAsaH ca saMmitAsaH na Utaye saBarasaH marutaH yajQe
   asmin, indraṃ daivīr viśo maruto 'nuvartmānas, yathendraṃ daivīr viśo	asmin, indram dEvIH viSaH marutaH anuvartmAnas, yaTA indram dEvIH viSo
   maruto 'nuvartmāno 'bhavann evam imaṃ yajamānaṃ daivīś ca viśo mānuṣīś	marutaH anuvartmAnaH aBavan evam imam yajamAnam dEvIH ca viSaH mAnuzI H 
   cānuvartmāno bhavantu //MS_2,11.1//	ca anuvartmAnaH Bavantu //n= _2,11.1//
   vājaś ca me prasavaś ca me prayatiś ca me prasṛtiś ca me dhītiś ca me	vAjaH ca me prasavaH ca me prayatiH ca me prasRtiH ca me DItiH ca me
   kratuś ca me svaraś ca me ślokaś ca me śrāvaś ca me śrutiś ca me jyotiś ca	kratuH ca me svaraH ca me SlokaH ca me SrAvaH ca me SrutiH ca me jyotiH ca
   me svaś ca me prāṇaś ca me 'pānaś ca me vyānaś ca me 'suś ca me cittaṃ ca	me svaH ca me prANaH ca me apAnaH ca me vyAnaH ca me asuH ca me cittam ca
   mā ādhītaṃ ca me vāk ca me manaś ca me cakṣuś ca me śrotraṃ ca me dakṣaś	mA ADItam ca me vAc ca me manaH ca me cakzuH ca me Srotram ca me dakzaH 
   ca me balaṃ ca me, ojaś ca me sahaś ca me, āyuś ca me jarā ca me, ātmā ca	ca me balam ca me, ojaH ca me sahaH ca me, AyuH ca me jarA ca me, AtmA ca
   me tanūś ca me śarma ca me varma ca me, aṅgāni ca me 'sthāni ca me parūṃṣi	me tanUH ca me Sarma ca me varma ca me, aFgAni ca me asTAni ca me parUMzi
   ca me śarīrāṇi ca me jyaiṣṭhyaṃ ca mā ādhipatyaṃ ca me manyuś ca me bhāmaś	ca me SarIrANi ca me jyEzWyam ca mA ADipatyam ca me manyuH ca me BAmaH 
   ca me, amaś ca me 'mbhaś ca me jemā ca me mahimā ca me varimā ca me	ca me, amaH ca me amBaH ca me jemA ca me mahimA ca me varimA ca me
   prathimā ca me varṣmā ca me drāghmā ca me vṛddhaṃ ca me vṛddhiś ca me	praTimA ca me varzmA ca me drAGmA ca me vRdDam ca me vRdDiH ca me
   //MS_2,11.2//	//n= _2,11.2//
   satyaṃ ca me śraddhā ca me jagac ca me dhanaṃ ca me vaśaś ca me tviṣiś ca	satyam ca me SradDA ca me jagat ca me Danam ca me vaSaH ca me tviziH ca
   me krīḍā ca me modaś ca me sūktaṃ ca me sukṛtaṃ ca me jātaṃ ca me	me krIxA ca me modaH ca me sUktam ca me sukRtam ca me jAtam ca me
   janiṣyamāṇaṃ ca me vittaṃ ca me vedyaṃ ca me bhūtaṃ ca me bhavyaṃ ca me,	janizyamANam ca me vittam ca me vedyam ca me BUtam ca me Bavyam ca me,
   ṛddhaṃ ca mā ṛddhiś ca me sugaṃ ca me supathaṃ ca me kḷptaṃ ca me krḷptiś	RdDam ca mA RdDiH ca me sugam ca me su paTam ca me k?ptam ca me kr?ptiH 
   ca me matiś ca me sumatiś ca me śaṃ ca me mayaś ca me priyaṃ ca me	ca me matiH ca me sumatiH ca me Sam ca me mayaH ca me priyam ca me
   'nukāmaś ca me kāmaś ca me saumanasaś ca me bhagaś ca me draviṇaṃ ca me	anukAmaH ca me kAmaH ca me sOmanasaH ca me BagaH ca me draviNam ca me
   bhadraṃ ca me śreyaś ca me vasīyaś ca me yaśaś ca me, ṛtaṃ ca me 'mṛtaṃ ca	Badram ca me SreyaH ca me vasIyaH ca me yaSaH ca me, Rtam ca me amRtam ca
   me, ayakṣmaṃ ca me 'nāmayac ca me jīvātuś ca me dīrghāyutvaṃ ca me,	me, ayakzmam ca me anAmayat ca me jIvAtuH ca me dIrGa Ayu tvam ca me,
   anamitraṃ ca me 'bhayaṃ ca me sukhaṃ ca me śayanaṃ ca me sūṣāś ca me	anamitram ca me aBayam ca me suKam ca me Sayanam ca me sUzAH ca me
   sudinaṃ ca me //MS_2,11.3//	su dinam ca me //n= _2,11.3//
   yantā ca me dhartā ca me kṣemaśca me dhṛtiś ca me viśvaṃ ca me mahaś ca me	yantA ca me DartA ca me kzemaH ca me DRtiH ca me viSvam ca me mahaH ca me
   saṃvic ca me jñātraṃ ca me sūś ca me prasūś ca me sīraṃ ca me layuś ca me,	saMvid ca me jQAtram ca me sUH ca me prasUH ca me sIram ca me layuH ca me,
   ūrk ca me sūnṛtā ca me payaś ca me rasaś ca me ghṛtaṃ ca me madhu ca me	Urk ca me sUnRtA ca me payaH ca me rasaH ca me GRtam ca me maDu ca me
   sagdhiś ca me sapītiś ca me kṛṣiś ca me vṛṣṭiś ca me jaitraṃ ca mā	sagDiH ca me sapItiH ca me kRziH ca me vRzwiH ca me jEtram ca mA
   audbhetraṃ ca me rayiś ca me rāyaś ca me puṣṭaṃ ca me puṣṭiś ca me vibhu	OdBetram ca me rayiH ca me rAyaH ca me puzwam ca me puzwiH ca me viBu
   ca me prabhu ca me pūrṇaṃ ca me pūrṇataraṃ ca me kuyavaṃ ca me 'kṣitiś ca	ca me praBu ca me pUrNam ca me pUrNataram ca me kuyavam ca me akzitiH ca
   me, akṣuc ca me 'nnaṃ ca me vrīhayaś ca me yavāś ca me māṣāś ca me tilāś	me, akzuD ca me annam ca me vrIhayaH ca me yavAH ca me mAzAH ca me tila AH 
   ca me, aṇavaś ca me priyaṅgavaś ca me śyāmākāś ca me nīvārāś ca me	ca me, aNavaH ca me priyaFgavaH ca me SyAmAkAH ca me nIvArAH ca me
   godhūmāś ca me masūrāś ca me mudgāś ca me kharvāś ca me //MS_2,11.4//	goDUmAH ca me masUrAH ca me mudgAH ca me KarvAH ca me //n= _2,11.4//
   parvatāś ca me girayaś ca me sikatāś ca me vanaspatayaś ca me, aśmā ca me	parvatAH ca me girayaH ca me sikatAH ca me vanaspatayaH ca me, aSmA ca me
   amṛttikā ca me hiraṇyaṃ ca me 'yaś ca me sīsaṃ ca me trapu ca me śyāmaṃ ca	amRttikA ca me hiraNyam ca me ayaH ca me sIsam ca me trapu ca me SyAmam ca
   me lohitāyasaṃ ca me, agniś ca mā āpaś ca me, oṣadhayaś ca me vīrudhaś ca	me lohita Ayasam ca me, agniH ca mA ApaH ca me, ozaDayaH ca me vIruDaH ca
   me kṛṣṭapacyāś ca me 'kṛṣṭapacyāś ca me grāmyāś ca me paśava āraṇyāś ca	me kRzwa pacyAH ca me akRzwa pacyAH ca me grAmyAH ca me paSavaH AraNyAH ca
   yajñena kalpantām, vittaṃ ca me vittiś ca me bhūtaṃ ca me bhūtiś ca me,	yajQena kalpantAm, vittam ca me vittiH ca me BUtam ca me BUtiH ca me,
   arthaś ca mā ema ca me, ityā ca me gatiś ca me karma ca me śaktiś ca me	arTaH ca mA ema ca me, ityA ca me gatiH ca me karma ca me SaktiH ca me
   vasu ca me vasatiś ca me, agniś ca mā indraś ca me somaś ca mā indraś ca	vasu ca me vasatiH ca me, agniH ca mA indraH ca me somaH ca mA indraH ca
   me savitā ca mā indraś ca me sarasvatī ca mā indraś ca me pūṣā ca mā	me savitA ca mA indraH ca me sarasvatI ca mA indraH ca me pUzA ca mA
   indraś ca me, aditiś ca mā indraś ca me dhātā ca mā indraś ca me tvaṣṭā ca	indraH ca me, aditiH ca mA indraH ca me DAtA ca mA indraH ca me tvazwA ca
   mā indraś ca me mitraś ca mā indraś ca me varuṇaś ca mā indraś ca me	mA indraH ca me mitraH ca mA indraH ca me varuNaH ca mA indraH ca me
   viṣṇuś ca mā indraś ca me bṛhaspatiś ca mā indraś ca me vasavaś ca mā	vizNuH ca mA indraH ca me bRhaspatiH ca mA indraH ca me vasavaH ca mA
   indraś ca me rudrāś ca mā indraś ca me, ādityāś ca mā indraś ca me marutaś	indraH ca me rudrAH ca mA indraH ca me, AdityAH ca mA indraH ca me maruta H 
   ca mā indraś ca me pṛthivī ca mā indraś ca me, antarikṣaṃ ca mā indraś ca	ca mA indraH ca me pRTivI ca mA indraH ca me, antarikzam ca mA indraH ca
   me dyauś ca mā indraś ca me nakṣatrāṇi ca mā indraś ca me samā ca mā	me dyOH ca mA indraH ca me nakzatrANi ca mA indraH ca me samA ca mA
   indraś ca me kṛṣiś ca mā indraś ca me vṛṣṭiś ca mā indraś ca me diśaś ca	indraH ca me kRziH ca mA indraH ca me vRzwiH ca mA indraH ca me diSaH ca
   mā indraś ca me viśve ca me devā indraś ca me, aṃśuś ca me raśmiś ca me,	mA indraH ca me viSve ca me devAH indraH ca me, aMSuH ca me raSmiH ca me,
   adhipatiś ca me 'dābhyaś ca me, upāṃśuś ca me 'ntaryāmaś ca me,	aDipatiH ca me adAByaH ca me, upAMSuH ca me antaryAmaH ca me,
   aindravāyavaś ca me maitrāvaruṇaś ca me, āśvinaś ca me pratiprasthānaś ca	Endra vAyavaH ca me mEtrAvaruNaH ca me, ASvinaH ca me pratiprasTAnaH ca
   me śukraś ca me manthī ca me, āgrāyaṇaś ca me vaiśvadevaś ca me,	me SukraH ca me manTI ca me, AgrAyaNaH ca me vESvadevaH ca me,
   aindrāgnaś ca me kṣullakavaiśvadevaś ca me dhruvaś ca me vaiśvānaraś ca me	EndrAgnaH ca me kzullaka vESvadevaH ca me DruvaH ca me vESvAnaraH ca me
   marutvatīyāś ca me niṣkevalyaś ca me sāvitraś ca me sārasvataś ca me	marutvatIyAH ca me nizkevalyaH ca me sAvitraH ca me sArasvataH ca me
   pātnīvataś ca me hāriyojanaś ca me srucaś ca me camasāś ca me vāyavyāni ca	pAtnIvataH ca me hAri yojanaH ca me srucaH ca me camasAH ca me vAyavyAni ca
   me droṇakalaśaś ca me, adhiṣavaṇe ca me grāvāṇaś ca me pūtabhṛc ca me	me droNakalaSaH ca me, aDizavaNe ca me grAvANaH ca me pUta BRt ca me
