   bhagavandevadeveśa lokanātha jagatpate /	Bagavan-devadeveSa lokanATa jagatpate /
   oṃkāraprathamāṃ rekhāṃ sṛjati prabhuḥ(?) /	oMkAra-praTamAm reKAm sRjati praBuH(?) /
   vidyā nāma kalā sā tu varṇe varṇe vyavasthitā // Stk_13.3 //	vidyA nAma kalA sA tu varNe varNe vyavasTitAH // Stc-_13.3 //
   oṃkārasya ukārābhā rekhā yā sampradṛśyate /	oMkArasya ukAra-ABA reKA yA sampradRSyate /
   pratiṣṭhā nāma sā jñeyā ukārākṣarasambhavā // Stk_13.4 //	pratizWA nAma sA jQeyA ukAra-akzara-samBavAH // Stc-_13.4 //
   mūrdhni tasya bhavedyāsau sūkṣmarekhā nirañjanā /	mUrDni tasya Bavet-yAsO sUkzma-reKA niraQjanAH /
   makāro hyabhavattatra nivṛttirnāma sā kalā // Stk_13.5 //	makAraH hi-aBavat-tatra nivRttiH-nAma sA kalA // Stc-_13.5 //
   oṃkāramūrdhni saṃyuktā laya oṃkāramūrdhani /	oMkAra-mUrDni saMyuktAH layaH oMkAra-mUrDani /
   rekheyaṃ vyomni nirvāṇā sā kalā śāntirucyate // Stk_13.6 //	reKeyam vyomni nirvANA sA kalA SAntiH-ucyate // Stc-_13.6 //
   saṃyogātsamprakāśeta niṣkale sakale sthitā /	saMyogAt-samprakASeta nizkale sakale sTitA /
   mūrdhanyākrāna oṃkāre śabdastatra tu jāyate // Stk_13.7 //	mUrDanyAkrAnaH oMkAre SabdaH-tatra tu jAyate // Stc-_13.7 //
   sā śaktiḥ paramā sūkṣmā bindunā sahitā matā /	sA SaktiH paramA sUkzmA bindunA sahitAH matA /
   dīpādiva mahattejo visphuliṅgaśikhānvitam // Stk_13.8 //	dIpAt-iva mahat-tejaH visPuliFga-SiKA-anvitam // Stc-_13.8 //
   nipatantī tridhā yāti śivavidyātmakairyathā /	nipatantI triDA yAti Siva-vidyA-AtmakEH-yaTA /
   śāntirvidyā pratiṣṭhā ca nivṛttiśceti tāḥ kalāḥ // Stk_13.9 //	SAntiH-vidyA pratizWA ca nivRttiH-ca-iti tAH kalAH // Stc-_13.9 //
   yā kalā rekhinī tatra patitā bindunā saha /	yA kalA reKinI tatra patitA bindunA saha /
   savidyeśaḥ śivaḥ prokto devadevaḥ sadāśivaḥ // Stk_13.10 //	sa-vidyA-ISaH SivaH proktaH devadevaH sadASivaH // Stc-_13.10 //
   prathamaṃ tasya tadbījaṃ nādabinduritīritam /	praTamam tasya tat-bIjam nAdabinduH-iti-Iritam /
   na jahāti paraṃ sthānaṃ śāśvataṃ dhruvamavyayam // Stk_13.11 //	na jahAti param sTAnam SASvatam Druvam-avyayam // Stc-_13.11 //
   binduṃ tadudare kṣiptvā mātṛvatparirakṣati /	bindum tad-udare kziptvA mAtR-vat-parirakzati /
   tasyordhvaṃ vāmapārśve 'tha viṣṇubījaṃ pratiṣṭhitam // Stk_13.12 //	tasya-UrDvam vAma-pArSve aTa vizNu-bIjam pratizWitam // Stc-_13.12 //
   dakṣiṇaṃ brahmayonistham ekameva tridhā sthitam /	dakziNam brahma-yoni-sTam ekam-eva triDA sTitam /
   pārśvabindudvayopetā sā rekhā madhyataḥ sthitā // Stk_13.13 //	pArSva-bindu-dvaya-upetA sA reKA maDyatas sTitAH // Stc-_13.13 //
   tatra devaḥ śivaḥ sūkṣmo gūḍhastiṣṭhati śaṃkaraḥ /	tatra devaH SivaH sUkzmaH gUXaH-tizWati SaMkaraH /
   tadbījaṃ paramaṃ devaṃ śaktigarbho maheśvaraḥ // Stk_13.14 //	tad-bIjam paramam devam Sakti-garBaH maheSvaraH // Stc-_13.14 //
   yataḥ pravartate sarvaṃ mantratantraṃ carācaram /	yatas pravartate sarvam mantra-tantram carAcaram /
   avyaktaṃ paramaṃ sūkṣmaṃ śaktidehaṃ nirañjanam // Stk_13.15 //	avyaktam paramam sUkzmam Sakti-deham niraQjanam // Stc-_13.15 //
   śivaṃ tvanādinidhanaṃ yaṃ buddhvā nābhijāyate /	Sivam tu-anAdi-niDanam yam budDvA na-aBijAyate /
   dakṣiṇasthaṃ hi yadbījaṃ jñānaśaktiḥ parā hi sā // Stk_13.16 //	dakziNa-sTam hi yat-bIjam jQAnaSaktiH parA hi sA // Stc-_13.16 //
   tadbījamaparaṃ brahmā yatra gūḍhaḥ sa tiṣṭhati /	tat-bIjam-aparam brahmA yatra gUXaH sa tizWati /
   vāmago 'tha paro binduḥ kriyāśaktiḥ parā hi sā // Stk_13.17 //	vAma-gaH aTa paraH binduH kriyASaktiH parA hi sA // Stc-_13.17 //
   tatra viṣṇuḥ svayaṃ bīje gūḍhaḥ sūkṣmo nirañjanaḥ /	tatra vizNuH svayam bIje gUXaH sUkzmaH niraQjanaH /
   eṣa devo 'pi sargastho visṛṣṭo yaḥ sa śambhunā // Stk_13.18 //	eza devaH api sarga-sTaH visRzwaH yaH sa SamBunA // Stc-_13.18 //
   nigūḍhatvānna paśyanti yena sṛṣṭaṃ carācaram /	nigUXa-tvAt-na paSyanti yena sRzwam carAcaram /
   visargājjāyate sṛṣṭir īśvaraḥ prabhureva saḥ // Stk_13.19 //	visargAt-jAyate sRzwiH ISvaraH praBuH-eva saH // Stc-_13.19 //
   visṛṣṭaṃ yena tadbījaṃ visargastena cocyate /	visRzwam yena tat-bIjam visargaH-tena ca-ucyate /
   tena cāpūritamidaṃ jagatsarvaṃ ca tanmayam // Stk_13.20 //	tena ca-ApUritam-idam jagat-sarvam ca tad-mayam // Stc-_13.20 //
   śaktiraśmisamūhena śataśo 'tha sahasraśaḥ /	Sakti-raSmi-samUhena SataSas aTa sahasraSas /
   sṛjati grasati hyeṣa saṃyojakaviyojakaḥ // Stk_13.21 //	sRjati grasati hi-eza saMyojaka-viyojakaH // Stc-_13.21 //
   jñānaśaktyā ca bhagavān anugṛhṇāti vai śivaḥ /	jQAna-SaktyA ca BagavAn anugRhNAti vE SivaH /
   visargācca bhavetsṛṣṭiḥ saṃhāro bindunā saha /	visargAt-ca Bavet-sRzwiH saMhAraH bindunA saha /
   nirvāṇaṃ tattvavijñānaṃ tantravistāragocaraḥ // Stk_13.22 //	nirvANam tattva-vijQAnam tantra-vistAra-gocaraH // Stc-_13.22 //
   mantrasṛṣṭiprakaraṇam	mantra-sRzwi-prakaraNam
   saṃhāraścaiva sṛṣṭiśca sarvaṃ nigaditaṃ prabho /	saMhAraH-ca-eva sRzwiH-ca sarvam nigaditam praBo /
   dīkṣitānāṃ gatibhraṃśaṃ saṃkṣepāt kathayasva me // Stk_14.1 //	dIkzitAnAm gati-BraMSam saMkzepAt kaTayasva me // Stc-_14.1 //
   māyāvini śaṭhe krūre niḥsattve kalahapriye /	mAyAvini SaWe krUre niHsattve kalaha-priye /
   gatibhraṃśakare yoge tattvaṃ tacchṛṇu ṣaṇmukha // Stk_14.2 //	gati-BraMSa-kare yoge tattvam tat-SRNu zaNmuKaH // Stc-_14.2 //
   vidhāya mūrdhni kṣiptasya āyāme śaśinaḥ kramāt /	viDAya mUrDni kziptasya AyAme SaSinaH kramAt /
   pūrvavanmanasālokya gatiṃ tasya nivartayet // Stk_14.3 //	pUrvavat-manasA-Alokya gatim tasya nivartayet // Stc-_14.3 //
   saṃhārasampuṭaṃ kūṭam ādāvante ṣaḍānana /	saMhAra-sampuwam kUwam AdO=-ante zaxAnanaH /
   mātṛkāyāṃ śataṃ hutvā ekaikasya pṛthak pṛthak // Stk_14.4 //	mAtRkAyAm Satam hutvA ekEkasya pRTak pRTak // Stc-_14.4 //
   gatibhraṃśaprakaraṇam	gati-BraMSa-prakaraNam
   prāsādaṃ nādamutthāpya japedyaḥ satataṃ naraḥ /	prAsAdam nAdam-utTApya japet-yaH satatam naraH /
   ṣaṇmāsātprāpnuyātsiddhiṃ yogayukto na saṃśayaḥ // Stk_15.1 //	zaz-mAsAt-prApnuyAt-sidDim yoga-yuktaH na saMSayaH // Stc-_15.1 //
   gamāgamasya japataḥ sarvapāpakṣayo bhavet /	gamAgamasya japataH sarva-pApa-kzayaH Bavet /
   aṇimādiguṇaiśvaryaṃ ṣaṇmāsaistu na saṃśayaḥ // Stk_15.2 //	aNima-Adi-guNa-ESvaryam zaz-mAsEH-tu na saMSayaH // Stc-_15.2 //
   gamāgamaṃ viditvā tu mucyate nātra saṃśayaḥ /	gamAgamam viditvA tu mucyate na-atra saMSayaH /
   tanmayastallayo bhūtvā ṣaṇmāsātsiddhimāpnuyāt // Stk_15.3 //	tad-mayaH-tad-layaH BUtvA zaz-mAsAt-sidDim-ApnuyAt // Stc-_15.3 //
   sthūlaḥ sūkṣmaḥ paraścaiva prāsādaḥ kathito mayā /	sTUlaH sUkzmaH paraH-ca-eva prAsAdaH kaTitaH mayA /
   prāsādaṃ ye na budhyanti te na budhyanti śaṅkaram // Stk_15.4 //	prAsAdam ye na buDyanti te na buDyanti SaFkaram // Stc-_15.4 //
   prāsādabhedaprakaraṇam	prAsAda-Beda-prakaraNam
   ataḥ paraṃ pravakṣyāmi prāsādasya tu lakṣaṇam /	atas param pravakzyAmi prAsAdasya tu lakzaNam /
   hrasvaṃ dīrghaṃ plutaṃ caiva lakṣayenmantravitsadā // Stk_16.1 //	hrasvam dIrGam plutam ca-eva lakzayet-mantra-vid-sadA // Stc-_16.1 //
   hrasvo dahati pāpāni dīrgho mokṣaprado bhavet /	hrasvaH dahati pApAni dIrGaH mokza-pradaH Bavet /
   āpyāyane plutaścaiva bindunā mūrdhni bhūṣitaḥ // Stk_16.2 //	ApyAyane plutaH-ca-eva bindunA mUrDni BUzitaH // Stc-_16.2 //
   sthūlabhedāstrayaḥ proktā vaśyoccāṭanamāraṇe /	sTUla-BedAH-trayaH proktAH vaSya-uccAwana-mAraNe /
   plutena tu sadā vaśyaṃ kurute nātra saṃśayaḥ // Stk_16.3 //	plutena tu sadA vaSyam kurute na-atra saMSayaH // Stc-_16.3 //
   dīrghastūccāṭayetkṣipraṃ phaṭkāreṇa na saṃśayaḥ /	dIrGaH-tu-uccAwayet-kzipram PawkAreNa na saMSayaH /
   ādāvante ca hrasvasya phaṭkāro māraṇe smṛtaḥ // Stk_16.4 //	AdO=-ante ca hrasvasya PawkAraH mAraNe smRtaH // Stc-_16.4 //
   ādāvante ca hṛdaya- yoga ākarṣaṇe smṛtaḥ /	AdO=-ante ca hRdaya yogaH AkarzaNe smRtaH /
   ākarṣayeddhruvaṃ yukto yojanānāṃ śate sthitam // Stk_16.5 //	Akarzayet-Druvam yuktaH yojanAnAm Sate sTitam // Stc-_16.5 //
   evamākarṣayetsādhyaṃ nāma vijñāya tattvataḥ /	evam-Akarzayet-sADyam nAma vijQAya tattvataH /
   sādhakasya bhavedbahvī nyūnā sādhyasya kīrtitā // Stk_16.6 //	sADakasya Bavet-bahvI nyUnA sADyasya kIrtitAH // Stc-_16.6 //
   evaṃ viditvā medhāvī ākarṣaṃ kurute dhruvam /	evam viditvA meDAvI Akarzam kurute Druvam /
   avijñāya tvidaṃ samyaṅ naiva siddhyate sarvadā // Stk_16.7 //	avijQAya tu-idam samyak na-eva sidDyate sarvadA // Stc-_16.7 //
   yāgaṃ kṛtvā tu pūrvoktaṃ mantrasyārghyaṃ ca dāpayet /	yAgam kRtvA tu pUrva-uktam mantrasya-arGyam ca dApayet /
   arghyaṃ dattvā tu mantrasya japaṃ kuryādvicakṣaṇaḥ // Stk_16.8 //	arGyam dattvA tu mantrasya japam kuryAt-vicakzaNaH // Stc-_16.8 //
   devasya dakṣiṇe bhāge pañcalakṣaṃ sthito japet /	devasya dakziNe BAge paQcalakzam sTitaH japet /
   japānte ghṛtahomastu daśasāhasriko bhavet // Stk_16.9 //	japa-ante GRta-homaH-tu daSa-sAhasrikaH Bavet // Stc-_16.9 //
   evamāpyāyito mantraḥ karmayogyo bhavettataḥ /	evam-ApyAyitaH mantraH karma-yogyaH Bavet-tatas /
   uktānuktāni karmāṇi siddhiṃ yānti na saṃśayaḥ // Stk_16.10 //	ukta-anuktAni karmANi sidDim yAnti na saMSayaH // Stc-_16.10 //
   daśalakṣāṇi japato janāḥ svasthānavāsinaḥ /	daSa-lakzANi japataH janAH sva-sTAna-vAsinaH /
   vaśamāyānti te kṣipram iti śāstrasya niścayaḥ // Stk_16.11 //	vaSam-AyAnti te kzipram iti SAstrasya niScayaH // Stc-_16.11 //
   tripañcalakṣaṃ japato daśagrāmanivāsinaḥ /	tri-paQcalakzam japataH daSa-grAma-nivAsinaH /
   te janā vaśamāyānti ātmanā ca dhanena ca // Stk_16.12 //	te janAH vaSam-AyAnti AtmanA ca Danena ca // Stc-_16.12 //
   evaṃ viṃśatibhirlakṣaiḥ prāsādasya ṣaḍānana /	evam viMSatiBiH-lakzEH prAsAdasya zaxAnanaH /
   deśadeśādhipānmantrī niyataṃ vaśamānayet // Stk_16.13 //	deSa-deSa-aDipAn-mantrI niyatam vaSam-Anayet // Stc-_16.13 //
   lakṣāṇāṃ pañcaviṃśatyā viṣayaṃ vaśamānayet /	lakzANAm paQcaviMSatyA vizayam vaSam-Anayet /
   triṃśallakṣajapādasya vaśo vai maṇḍalī bhavet // Stk_16.14 //	triMSat-lakza-ja-pAdasya vaSaH vE maNxalI Bavet // Stc-_16.14 //
   pañcatriṃśacca lakṣāṇi japanpṛthvīṃ vaśaṃ nayet /	paQcatriMSat-ca lakzANi japan-pRTvIm vaSam nayet /
   catvāriṃśajjapāddevam īkṣate hāṭakeśvaram // Stk_16.15 //	catvAriMSat-japAt-devam Ikzate hAwakeSvaram // Stc-_16.15 //
   lakṣāṇi japtvā pañcāśad- vidyādharasamo bhavet /	lakzANi japtvA paQcASad vidyADara-samaH Bavet /
   tatraiva modate mantrī yāvadābhūtasamplavam // Stk_16.16 //	tatra-eva modate mantrI yAvat-ABUtasamplavam // Stc-_16.16 //
   prāsādalakṣaṇaprakaraṇaṃ ṣoḍaśam	prAsAda-lakzaNa-prakaraNam zoxaSam
   iti ṣoḍaśaḥ paṭalaḥ	iti zoxaSaH pawalaH
   adyāpi saṃśayo deva jñānavijñānayoḥ sphuṭam /	adya-api saMSayaH deva jQAna-vijQAnayoH sPuwam /
   kathaṃ vā jñāyate jñānaṃ kathaṃ vā jñeyamucyate // Stk_17.1 //	kaTam vA jQAyate jQAnam kaTam vA jQeyam-ucyate // Stc-_17.1 //
   vijñāya pūrvamādhāraṃ paścādādheyameva ca /	vijQAya pUrvam-ADAram paScAt-ADeyam-eva ca /
   ādhārādheyavitprājñaḥ samarthaḥ sarvakarmasu // Stk_17.2 //	ADAra-ADeya-vid-prAjQaH samarTaH sarva-karmasu // Stc-_17.2 //
   ādhāraḥ puramityuktam ādheyastvīśa ucyate /	ADAraH puram-iti-uktam ADeyaH-tu-ISaH ucyate /
   īśaṃ vijñāya medhāvī sadā yo nandati svayam // Stk_17.3 //	ISam vijQAya meDAvI sadA yaH nandati svayam // Stc-_17.3 //
   puryaṣṭakasamāyukto hyadha ūrdhvaṃ sa gacchati /	puryazwaka-samAyuktaH hi-aDas UrDvam sa gacCati /
   śabdaḥ sparśaśca rūpaṃ ca raso gandhaśca pañcakam // Stk_17.4 //	SabdaH sparSaH-ca rUpam ca rasaH ganDaH-ca paQcakam // Stc-_17.4 //
   buddhirmanastvahaṅkāraḥ puryaṣṭakamudāhṛtam /	budDiH-manaH-tu-ahaFkAraH puryazwakam-udAhRtam /
   Note that this definition of the puryaṣṭaka is not	Note Tat TiH definition of Te puryazwakaH iH na-ut
   accepted by Ram without considerable distortion.	at-ceptet bi Ram wiTout ca-unsideH-able dista-Urtion.
   yāvadetairna nirmuktaḥ kathaṃ mucyeta bandhanāt // Stk_17.5 //	yAvat-etEH-na nirmuktaH kaTam mucyeta banDanAt // Stc-_17.5 //
   brahmaṇi sparśaśabdau tu rasaṃ vai keśave tyajet /	brahmaNi sparSa-SabdO tu rasam vE keSave tyajet /
   rūpagandhau tyajedrudre buddhyahaṅkāramīśvare /	rUpa-ganDO tyajet-rudre budDi-ahaFkAram-ISvare /
   mano binduṃ śive tyaktvā ebhirmuktaḥ śivaṃ vrajet // Stk_17.6 //	manaH bindum Sive tyaktvA eBiH-muktaH Sivam vrajet // Stc-_17.6 //
   vijñānaprakaraṇam	vijQAna-prakaraNam
   iti saptadaśaḥ paṭalaḥ	iti saptadaSaH pawalaH
   kālacakravidhānaṃ tu pravakṣyāmyanupūrvaśaḥ /	kAla-cakra-viDAnam tu pravakzyAmi-anupUrvaSas /
   kālacakramiti khyātaṃ yena kālaḥ prabudhyate // Stk_18.1 //	kAlacakram-iti KyAtam yena kAlaH prabuDyate // Stc-_18.1 //
   tryahorātrapracāreṇa trīṇyabdāni sa jīvati /	tri-ahorAtra-pracAreNa trINi-abdAni sa jIvati /
   dvyahorātrapracāreṇa jīvedvarṣadvayaṃ tu saḥ // Stk_18.2 //	dvi-ahorAtra-pracAreNa jIvet-varza-dvayam tu saH // Stc-_18.2 //
   ahorātrapracāreṇa abdamekaṃ sa jīvati /	ahorAtra-pracAreNa abdam-ekam sa jIvati /
   aharekaṃ vrajedyasya rātrimekāṃ tathaiva ca // Stk_18.3 //	ahar-ekam vrajet-yasya rAtrim-ekAm taTA-eva ca // Stc-_18.3 //
   ṣaṇmāsājjāyate mṛtyur iti śāstrasya niścayaḥ /	zaz-mAsAt-jAyate mRtyuH iti SAstrasya niScayaH /
   dvitīyasyānucāreṇa ahorātraṃ sa jīvati // Stk_18.4 //	dvitIyasya-anucAreNa ahorAtram sa jIvati // Stc-_18.4 //
   yathā cādyā tathā vāmā madhyamā ca tathaiva ca /	yaTA ca-AdyA taTA vAmA maDyamA ca taTA-eva ca /
   kālacakraṃ samākhyātaṃ putrasnehādviśeṣataḥ // Stk_18.5 //	kAlacakram samAKyAtam putra-snehAt-viSezataH // Stc-_18.5 //
   kālacakraprakaraṇam	kAla-cakra-prakaraNam
   iti aṣṭādaśaḥ paṭalaḥ	iti azwAdaSaH pawalaH
   pūrvamevaṃ pratijñātaṃ śivabhedo 'ṣṭadhā sthitaḥ /	pUrvam-evam pratijQAtam Siva-BedaH azwaDA sTitaH /
   kathaṃ bhidyeta deveśa tattvataḥ kathaya prabho // Stk_19.1 //	kaTam Bidyeta deveSa tattvataH kaTaya praBo // Stc-_19.1 //
   sakalaṃ niṣkalaṃ śūnyaṃ kalāḍhyaṃ khamalaṅkṛtam /	sakalam nizkalam SUnyam kalA-AXyam Kam-alaFkRtam /
   kṣapaṇaṃ ca tathāntasthaṃ kaṇṭhoṣṭhyaṃ cāṣṭamaṃ viduḥ // Stk_19.2 //	kzapaNam ca taTA-antasTam kaNWa-uzWyam ca-azwamam viduH // Stc-_19.2 //
   This verse is NisMula 6:6 (f.21verso, line 2) [reading smṛtam for viduḥ]	ThiH verse iH NisMulaH 6:6 (f.21va-IH-so, line 2) [reading smRtam foH viduH]
   prāsādaṃ ṣaṣṭhasaṃyuktaṃ ṣaḍantena samanvitam /	prAsAdam zazWa-saMyuktam zaw-antena samanvitam /
   3b = NisMula 6:7b	3B  NisMula 6:7b
   sakalaṃ sarvabhūtasthaṃ śivatattvaṃ prakīrtitam // Stk_19.3 //	sakalam sarva-BUta-sTam Siva-tattvam prakIrtitam // Stc-_19.3 //
   3cd = NisMula 6:7cd [with @dehasthaṃ for @bhūtasthaṃ]	3cd  NisMulaH 6:7cd [wiT @deha-sTam foH @BUta-sTaM]
   niṣkrāmati svayaṃ devo dehaṃ tyaktvā samārutaḥ /	nizkrAmati svayam devaH deham tyaktvA sa-mArutaH /
   niṣkalaṃ taṃ vijānīyāt ṣaḍvarṇarahitaṃ śivam // Stk_19.4 //	nizkalam tam vijAnIyAt zaz-varNa-rahitam Sivam // Stc-_19.4 //
   4abcd = NisMula 6:8	4abcd  NisMulaH 6:8
   niśvāsocchvasane hitvā sthito dehe tu kāṣṭhavat /	niSvAsa-ucCvasane hitvA sTitaH dehe tu kAzWa-vat /
   śūnyaṃ taṃ tu vijānīyād dhṛdayena tu bhāvayet // Stk_19.5 //	SUnyam tam tu vijAnIyAt DRdayena tu BAvayet // Stc-_19.5 //
   5abcd = NisMula 6:9	5abcd  NisMulaH 6:9
   cumbākāreṇa vaktreṇa yattattvaṃ parikīrtitam /	cumba-AkAreNa vaktreNa yat-tattvam parikIrtitam /
   kalāḍhyaṃ taṃ vijānīyād ākāśasthamatha śṛṇu // Stk_19.6 //	kalA-AXyam tam vijAnIyAt AkASa-sTam-aTa SRNu // Stc-_19.6 //
   aiśa treatment of ṛ in śṛṇu [making the previous syllable long]	ESa treatment of R id SRNu [makinc Te previouH syllable long]
   6acd = NisMula 6:10acd	6acd  NisMulaH 6:10acd
   ūrdhvanādasya kṣīṇasya yadantaṃ parikīrtitam /	UrDva-nAdasya kzINasya yat-antam parikIrtitam /
   tatrasthaṃ taṃ vijānīyād ākāśena tvalaṅkṛtam // Stk_19.7 //	tatrasTam tam vijAnIyAt AkASena tu-alaFkRtam // Stc-_19.7 //
   7abcd = NisMula 6:11	7abcd  NisMulaH 6:11
   vyāvṛtenaiva vaktreṇa brūyadevaṃ jagadgurum /	vyAvRtena-eva vaktreNa brUyadevam jagadgurum /
   duḥkhakṣapaṇamityuktaṃ tatkṣayātkṣapaṇaṃ smṛtam // Stk_19.8 //	duHKa-kzapaNam-iti-uktam tad-kzayAt-kzapaNam smRtam // Stc-_19.8 //
   8abcd = NisMula 6:12	8abcd  NisMulaH 6:12
   adhonādasya kṣīṇasya yadantaṃ parikīrtitam /	aDas-nAdasya kzINasya yat-antam parikIrtitam /
   antasthaṃ taṃ vijānīyād anuccāryaṃ prakīrtitam // Stk_19.9 //	antasTam tam vijAnIyAt anuccAryam prakIrtitam // Stc-_19.9 //
   9abcd = NisMula 6:13	9abcd  NisMulaH 6:13
   saptavargāṣṭamaṃ koṭiḥ saptamasya dvitīyakam /	saptavarga-azwamam kowiH saptamasya dvitIyakam /
   vargātītaṃ ṣaḍantaṃ ca saptamāttricaturthakam // Stk_19.10 //	varga-atItam zaw-antam ca saptamAt-tri-caturTakam // Stc-_19.10 //
   10 = NisMula 6:14	10  NisMulaH 6:14
   ādimaṃ tu punaryojyaṃ ṣaṣṭhaṃ vai prathamasya tu /	Adimam tu punar-yojyam zazWam vE praTamasya tu /
   khaśekharasamāyuktaṃ kaṇṭhoṣṭhyaṃ cāṣṭamaṃ smṛtam // Stk_19.11 //	Ka-SeKara-samAyuktam kaNWa-uzWyam ca-azwamam smRtam // Stc-_19.11 //
   11 = NisMula 6:15	11  NisMulaH 6:15
   ete bhedāḥ samākhyātā aṇimādiprasādhane /	ete BedAH samAKyAtAH aNima-Adi-prasADane /
   anuccāryamasandigdhaṃ mokṣa ityabhidhīyate // Stk_19.12 //	anuccAryam-asan-digDam mokzaH iti-aBiDIyate // Stc-_19.12 //
   śivabhedāṣṭakapratipādanaprakaraṇam	Siva-Beda-azwaka-pratipAdana-prakaraNam
   ityekonaviṃśaḥ paṭalaḥ	iti-ekonaviMSaH pawalaH
   kathaṃ vyāpī adhaścordhvaṃ tiryak caiva kathaṃ bhavet /	kaTam vyApI aDas-ca-UrDvam tiryak ca-eva kaTam Bavet /
   etanme brūhi tattvena kāruṇyāttvaṃ maheśvara // Stk_20.1 //	etat-me brUhi tattvena kAruNyAt-tvam maheSvaraH // Stc-_20.1 //
   yāvaddehe sthito jantor adhastāvadvyavasthitaḥ /	yAvat-dehe sTitaH jantoH aDas-tAvat-vyavasTitaH /
   nirgato vyāpayettiryag- antasthaḥ sarvataḥ sthitaḥ // Stk_20.2 //	nirgataH vyApayet-tiryag antasTaH sarvatas sTitaH // Stc-_20.2 //
   trimārgāvasthito devaḥ sarvadeheṣu vartate /	tri-mArga-avasTitaH devaH sarva-dehezu vartate /
   aviditvā na mucyeta yadyapyetallayo bhavet // Stk_20.3 //	aviditvA na mucyeta yadi-api-etat-layaH Bavet // Stc-_20.3 //
   tattrimārgaṃ tryadhiṣṭhānaṃ sarvadeheṣu vartate /	tat-tri-mArgam tri-aDizWAnam sarva-dehezu vartate /
   yo vettyevamimāṃ vyāptiṃ sarvavyāpī na saṃśayaḥ // Stk_20.4 //	yaH vetti-evam-imAm vyAptim sarva-vyApI na saMSayaH // Stc-_20.4 //
   na tasya garbhasambhūtir yathā devaḥ prabhāṣate /	na tasya garBa-samBUtiH yaTA devaH praBAzate /
   tāvadbhramati saṃsāre yāvadvyāptiṃ na vindati // Stk_20.5 //	tAvat-Bramati saMsAre yAvat-vyAptim na vindati // Stc-_20.5 //
   viditvā vyāpinaṃ jīvaṃ mucyate nātra saṃśayaḥ /	viditvA vyApinam jIvam mucyate na-atra saMSayaH /
   yathā tṛṇajalūkā nu tṛṇāgraṃ yāvadāgatā // Stk_20.6 //	yaTA tRNajalUkA nu tRNa-agram yAvat-AgatAH // Stc-_20.6 //
   upariṣṭānnirālambā tadvajjīvo 'tra saṃsthitaḥ /	uparizwAt-nirAlambA tadvat-jIvaH atra saMsTitaH /
   ūrdhvaśūnyamadhaḥ śūnyaṃ śūnyaṃ dehāntarasthitam // Stk_20.7 //	UrDva-SUnyam-aDas SUnyam SUnyam deha-antara-sTitam // Stc-_20.7 //
   triśūnyaṃ yo vijānāti mucyate sa dhruvaṃ guha /	triSUnyam yaH vijAnAti mucyate sa Druvam guhaH /
   vyāptiścāsya mayā proktā saṃkṣepānna tu vistarāt /	vyAptiH-ca-asya mayA proktA saMkzepAt-na tu vistarAt /
   ataḥ parataraṃ nāsti vyāpakaṃ vyāpakasya tu // Stk_20.8 //	atas parataram na-asti vyApakam vyApakasya tu // Stc-_20.8 //
   vyāptiprakaraṇam	vyApti-prakaraNam
   iti viṃśaḥ paṭalaḥ	iti viMSaH pawalaH
   ataḥ paraṃ pravakṣyāmi aṣṭadhā pratyayo yathā /	atas param pravakzyAmi azwaDA pratyayaH yaTA /
   anagnijvalanaṃ caiva vṛkṣasyālabhanaṃ tathā // Stk_21.1 //	anagni-jvalanam ca-eva vRkzasya-AlaBanam taTA // Stc-_21.1 //
   pāśānāṃ stobhanaṃ caiva mahāpātakanāśanam /	pASAnAm stoBanam ca-eva mahApAtaka-nASanam /
   viṣasaṃharaṇaṃ caiva nirbījakaraṇaṃ tathā // Stk_21.2 //	viza-saMharaNam ca-eva nirbIja-karaNam taTA // Stc-_21.2 //
   grahajvaravināśaśca pratyayo 'ṣṭavidhaḥ smṛtaḥ /	graha-jvara-vinASaH-ca pratyayaH azwaviDaH smRtaH /
   evaṃ jñātvā tu vidhivat khyātiḥ sarvatra jāyate // Stk_21.3 //	evam jQAtvA tu viDivat KyAtiH sarvatra jAyate // Stc-_21.3 //
   praṇavenāgnimadhyastho hakāro hrīṃ tathaiva ca /	praNavena-agni-maDya-sTaH hakAraH hrIm taTA-eva ca /
   ādiroṃ ca namaścānte anagnijvalane hitam // Stk_21.4 //	Adirom ca namaH-ca-ante anagni-jvalane hitam // Stc-_21.4 //
   agniṃ srotasi saṃyojya sahasrodghātasaṃyutam /	agnim srotasi saMyojya sahasra-udGAta-saMyutam /
   pañcākṣaraprayogeṇa jvalatyeva na saṃśayaḥ // Stk_21.5 //	paQcAkzara-prayogeNa jvalati-eva na saMSayaH // Stc-_21.5 //
   oṃkāraḥ sarvato 'dhastād rephastasyordhvataḥ sthitaḥ /	oMkAraH sarvatas aDastAt rePaH-tasya-UrDvatas sTitaH /
   pūrvavatsamprayukto 'yaṃ prayogo bhuvi durlabhaḥ // Stk_21.6 //	pUrvavat-samprayuktaH ayam prayogaH Buvi durlaBaH // Stc-_21.6 //
   śataiḥ saptabhirudghātair ālabdho mriyate drumaḥ /	SatEH saptaBiH-udGAtEH AlabDaH mriyate drumaH /
   bhūyasścāpyāyanaṃ tasya vāruṇe srotasi sthitam // Stk_21.7 //	BUyasH-ca-ApyAyanam tasya vAruNe srotasi sTitam // Stc-_21.7 //
