   {MV S_1}	{MV H _1}
   tathā   (a. 3 ślo. 274)	taTA  (a. 3 Slo. 274)
   api naḥ sa kule bhūyādyo no dadyāttrayodaśīm /	api naH sa kule BUyAt yaH naH dadyAt trayodaSIm /
   pāyasaṃ madhusarpibhyāṃ prākchāye kuñjarasya ca //	pAyasam maDu sarpiByAm prAc CAye kuQjarasya ca //
   iti viṣṇumanvādismṛtiṣu kevalāyā api śravaṇāt /	iti vizNum anu Adi smRtizu kevalAyAH api SravaNAt /
   yogavacanaṃ tu prāśastyārtham /	yoga vacanam tu prASastya arTam /
   tathā varṣātrayodaśyāṃ maghāsu ca viśeṣataḥ /	taTA varzA trayodaSyAm maGAsu ca viSezataH /
   (a. 1 śrā. pra. ślo. 261)	(a. 1 SrA. pra. Slo. 261)
   iti yogiyājñavalkyena viśeṣata ityanena prāśastyārthatvokteḥ /	iti yogi yAjQavalkyena viSezate iti anena prASastya arTatva ukteH /
   trayodaśī bhādrapadī kṛṣṇā mukhyā pitṛpriyā /	trayodaSI BAdrapadI kRzNA muKyA pitR priyA /
   tṛpyanti pitarastasyāṃ svayaṃ pañcaśataṃ samāḥ //	tRpyanti pitaraH tasyAm svayam paQca Satam samAH //
   maghāyutāyāṃ tasyāṃ tu jalādyairapi toṣitāḥ /	maGA yutAyAm tasyAm tu jala AdyEH api tozitAH /
   tṛpyanti pitarastadvadvarṣāṇāmayutāyutam //	tRpyanti pitaraH tadvat varzANAm ayuta ayutam //
   iti candrikāsthavākyena śuddhāmabhidhāya maghāyoge prāśastyābhidhā nācca /	iti candrikA sTa vAkyena SudDAm aBiDAya maGA yoge prASastya aBiDA nAt ca /
   "varṣāsu ca maghāsu ca"ityādau cakārastu na tithyā sahetaretarayogārthaḥ	"varzAsu ca maGAsu ca"iti AdO cakAraH tu na tiTyA saha itara itara yoga arTaH
   kintu parasparanipekṣaikakriyānvayalakṣaṇasamuccayārthaḥ /	kintu paraspara nipekza eka kriyA anvaya lakzaNa samuccaya arTaH /
   madhumāṃsaiśca śākaiśca payasā pāyasena ca /	maDu mAMsEH ca SAkEH ca payasA pAyasena ca /
   eṣa no dāsyati śrāddhaṃ varṣāsu ca maghāsu ca //	eza naH dAsyati SrAdDam varzAsu ca maGAsu ca //
   iti vasiṣṭhavākye kevalamaghāyā api śrāddhakālatvokteḥ /	iti vasizWa vAkye kevalam aGAyAH api SrAdDa kAla tva ukteH /
   na caivaṃ	na ca evam
   trayodaśyāṃ prayatnena varṣāsu maghāsu ca /	trayodaSyAm prayatnena varzAsu maGAsu ca /
   ityādau varṣāyā api pṛthakśrāddhakālatā syāditi vācyam /	ityAdO varzAyAH api pRTak SrAdDa kAla tA syAt iti vAcyam /
   "prāvṛṭkāle site pakṣe trayodaśyāṃ'; iti, tathā"varṣātrayodaśyām"ityādau	"prAvRz kAle site pakze trayodaSyAM a; iti, taTA a"varzA trayodaSyAm"ityAdO
   viśeṣaṇatvāvagateḥ /	viSezaNa tva avagateH /
   {MV S_173}	{MV H _173}
   atra śūlapāṇiḥ  	atra SUlapANiH  
   prauṣṭhapadyāmatītāyāṃ maghāyuktāṃ trayodaśīm /	prOzWapadyAm atItAyAm maGA yuktAm trayodaSIm /
   prāpya śrāddhaṃ hi kartavyaṃ madhunā pāyasena ca //	prApya SrAdDam hi kartavyam maDunA pAyasena ca //
   iti śaṅkhavākye pratyakṣavidhiśravaṇāt /	iti SaFKa vAkye pratyakza viDi SravaNAt /
   api naḥ sakule bhūyādyo no dadyāttrayodaśīm //	api naH sa kule BUyAt yaH naH dadyAt trayodaSIm //
   tathā  	taTA  
   api jāyeta so 'smākaṃ kule kaścinnarottamaḥ /	api jAyeta saH asmAkam kule kaScid nara uttamaH /
   prāvṛṭkāle site pakṣe trayodaśyāṃ samāhitaḥ //	prAvRz kAle site pakze trayodaSyAm samAhitaH //
   madhuplutena yaḥ śrāddhaṃ pāyasena samācaret /	maDu plutena yaH SrAdDam pAyasena samAcaret /
   itikevalatrayodaśīpratipādakayormanuviṣṇuvākyayoḥ tathā  	iti kevala trayodaSI pratipAdakayoH manuvizNu vAkyayoH taTA  
   eṣa no dāsyati śrāddhaṃ varṣāsu ca maghāsu ca /	eza naH dAsyati SrAdDam varzAsu ca maGAsu ca /
   iti kevalamaghāpratipādakavasiṣṭhavākyasya	iti kevala maGA pratipAdaka vasizWa vAkyasya
   cārthavādatvātkathaṃcitpratyakṣavidhyekavākyatve ca sambhavati	ca arTa vAda tvAt kaTaMcid pratyakza viDi eka vAkya tve ca samBavati
   svatantravidhyantarakalpanānaicityā tkevalavākyānāṃ lakṣaṇayā	svatantra viDi antara kalpanA nEcityA tkevala vAkyAnAm lakzaNayA
   śrutikalpanālāghavāya yogaviṣayatvakalpanamevocitam /	Sruti kalpanA lAGavAya yoga vizaya tva kalpanam eva ucitam /
   gajacchāyākuñjaracchāyāyogau tu trayodasīśrāddha eva	gaja= CAyA kuQjara= CAyA yogO tu trayodasI SrAdDaH eva
   phalātiśayārthāvanyamunyuktatvādityāha /	Pala atiSaya arTO= anyamuni ukta tvAt iti Aha /
   tadayuktam /	tat ayuktam /
   yadyekavidhikalpanālāghavāya	yadi eka viDi kalpanA lAGavAya
   svārasikanairapekṣyabādhenāpyanākāṅkṣitetaropalakṣaṇamāśrīyate /	svArasikanEH apekzya bADena api anAkAFkzitA itara upalakzaNam ASrIyate /
   tarhi tata eva lāghavādgajacchāyākhyayogayuktāyāmeva trayodaśyāṃ	tarhi tatas eva lAGavAt gaja= CAyA AKya yoga yuktAyAm eva trayodaSyAm
   kuñjaraprākchāya eva ca deśe śrāddhaṃ syānnānyatra /	kuQjara prAc CAyaH eva ca deSe SrAdDam syAt na anyatra /
   sarvopasaṃhāreṇa viśiṣṭaviṣayiṇyā eva śruteḥ kalpane lāghavāt /	sarva upasaMhAreNa viSizwa vizayiNyAH eva SruteH kalpane lAGavAt /
   atha  	aTa  
   rūpato hi nirākāṅkṣabhinnatvenāvadhāritāḥ /	rUpataH hi nirAkAFkza Binna tvena avaDAritAH /
   anyonyānādareṇaiva prārthayante prayojanam //	anyonya anAdareNa eva prArTayante prayojanam //
   itinyāyena tattadṛṣivacanānurūpanānāśritikalpanamapi prāmāṇikam /	iti nyAyena tad tad Rzi vacana anurUpa nAnA Sriti kalpanam api prAmANikam /
   tataḥ kevalamaghātrayodaśīpratipādakavākyānāmapi	tatas kevalam aGA trayodaSI pratipAdaka vAkyAnAm api
   niṣparipanthitattadarthaśrutikalpakatvamityalam /	nizparipanTi tat tad arTa Sruti kalpaka tvam iti alam /
   etacca śrāddhaṃ mahālayādiśrāddhebhyo bhinnam /	etat ca SrAdDam mahAlaya Adi SrAdDeByaH Binnam /
   prauṣṭhapadyāmatītāyāṃ tathā kṛṣṇatrayodaśīm /	prOzWapadyAm atItAyAm taTA kRzNa trayodaSIm /
   tathā"prauṣṭhapadyūrdhvaṃ kṛṣṇatrayodaśī"ityādivaṃcaneṣu	taTA a" prOzWapadI UrDvam kRzNa trayodaSI"iti Adi vaMcanezu
   mahālayādiśrāddhānupasthiteḥ /	mahAlaya Adi SrAdDa anupasTiteH /
   etacca nityam /	etat ca nityam /
   prauṣṭhapadyāmatītāyāṃ tathā kṛṣṇatrayodaśīm /	prOzWapadyAm atItAyAm taTA kRzNa trayodaSIm /
   ityupakramya  	iti upakramya  
   etāṃstu śrāddhakālānvai nityānāha prajāpatiḥ /	etAn= tu SrAdDa kAlAn vE nityAn Aha prajApatiH /
   śrāddhameteṣvakurvāṇo narakaṃ pratipadyate //	SrAdDam etezu akurvANaH narakam pratipadyate //
   {MV S_174}	{MV H _174}
   iti viṣṇudharmottarāt /	iti vizNuDarmottarAt /
   kāmyaṃ ca /	kAmyam ca /
   etadupakramya  	etat upakramya  
   prajāmiṣṭāṃ yaśaḥ svargamārogyaṃ ca dhanaṃ tathā /	prajAm izwAm yaSaH svargam Arogyam ca Danam taTA /
   nṝṇāṃ śrāddhe sadā prītāḥ prayacchanti pitāmahāḥ //	nLNAm SrAdDe sadA prItAH prayacCanti pitAmahAH //
   itiśaṅkhokteḥ /	iti SaFKa ukteH /
   yastvatra śrāddhaniṣedho jyotirbṛhaspatinā:	yaH tu atra SrAdDa nizeDaH jyotiH bRhaspatinA:
   kṛṣṇapakṣe trayodaśyāṃ yaḥ śrāddhaṃ kurute naraḥ /	kRzNa pakze trayodaSyAm yaH SrAdDam kurute naraH /
   pañcatvaṃ tasya jānīyāt jyeṣṭhaputrasya niścitam //	paQcatvam tasya jAnIyAt jyezWa putrasya niScitam //
   iti darśitaḥ sa ekavargaviṣayaḥ /	iti darSitaH saH eka varga vizayaH /
   ta thā ca  	te TA ca  
   kārṣṇājiniḥ:	kArzNa ajiniH:
   śrāddhaṃ naivaikavargasya trayodaśyāmupakramet /	SrAdDam na eva eka vargasya trayodaSyAm upakramet /
   na tṛptāstatra ye yasya prajāṃ hiṃsanti tasya te //	na tRptAH tatra ye yasya prajAm hiMsanti tasya te //
   iti /	iti /
   etadvacanaṃ hemādriṇā dvedhā vyākhyātam /	etat vacanam hemAdriNA dveDA vyAKyAtam /
   ekaśabdaḥ kevalaparaḥ /	eka SabdaH kevala paraH /
   pitṛvargamātrasya na kuryātkintu mātāmahavargasyāpi kuryāt /	pitR varga mAtrasya na kuryAt kintu mAtAmaha vargasya api kuryAt /
   darśādāvasamarthasya pitṛvargaśrāddhamātreṇāpi	darSA dO= asamarTasya pitR varga SrAdDa mAtreNa api
   nityaśāstrārthasiddherāpastambasūtrādau darśanādekavar gayajanaprasaktiḥ /	nitya SAstra arTa sidDeH Apa stamba sUtra AdO darSanAt ekavar gaya jana prasaktiH /
   yadvā naiṃkavargasya pārvaṇamātraṃ na kartavyaṃ kintu sarveṣāṃ	yat vA nEMka vargasya pArvaNa mAtram na kartavyam kintu sarvezAm
   pitṛpitṛvyādīnāmapi pārvaṇaikoddiṣṭāni kāryāṇītyarthaḥ /	pitR pitRvya AdInAm api pArvaNa eka uddizwAni kAryANi iti arTaH /
   na tṛptā iti vākyaśeṣāt /	na tRptAH iti vAkya SezAt /
   athavā sapiṇḍakaśrāddhaviṣayo niṣedhaḥ /	aTavA sapiNxaka SrAdDa vizayaH nizeDaH /
   ayanadvitaye śrāddhaṃ viṣuvadvitaye tathā /	ayana dvitaye SrAdDam vizuva dvitaye taTA /
   yugādiṣu ca sarvāsu piṇḍanirvapaṇādṛte //	yuga Adizu ca sarvAsu piNxa nirvapaNAt Rte //
   itipulastyokteḥ /	iti pulaH tya ukteH /
   mahālayatrayodaśīśrāddhaṃ ca yugādiśrāddhādabhinnaṃ yugāditvāvinābhāvena	mahAlaya trayodaSI SrAdDam ca yuga Adi SrAdDa AdaBinnam yuga Adi tva avinA BAvena
   tadupasthiteriti kecit /	tad upasTiteH iti kecid /
   astu vā bhedastathāpi  	astu vA BedaH taTA api  
   maghāyuktatrayodaśyāṃ piṇḍanirvapaṇaṃ dvijaḥ /	maGA yukta trayodaSyAm piNxa nirvapaNam dvijaH /
   sasantāno naiva kuryānnityaṃ te kavayo viduḥ //	sa santAnaH na eva kuryAt nityam te kavayaH viduH //
   itibṛhatparāśareṇa viśiṣyāparapakṣatrayodaśīśrāddhe	iti bRhat parASareNa viSizya apara pakza trayodaSI SrAdDe
   piṇḍaniṣedhāttadviṣayaḥ śrāddhaniṣedha ityadoṣaḥ kāmyaśrāddhaviṣayo vā /	piNxa nizeDAt tad vizayaH SrAdDa nizeDaH iti adozaH kAmya SrAdDa vizayaH vA /
   āpastambena  	Apastambena  
   trayodaśyāṃ bahuputro bahumitro darśanīyāpatyoyuvamāriṇastu bhavanti /	trayodaSyAm bahu putraH bahu mitraH darSanIya apatyaH yuva mAriNaH tu Bavanti /
   iti kāmyaśrāddhaṃ prakṛtya doṣokteḥ putravadgṛhasthaviṣayo vā /	iti kAmya SrAdDam prakRtya doza ukteH putra vat gRhasTa vizayaH vA /
   trayodaśyāṃ tu vai śrāddhaṃ na kuryāt putravāngṛhī /	trayodaSyAm tu vE SrAdDam na kuryAt putravAn gRhI /
   iti taṃ prati smṛtyā niṣedhāt /	iti tam prati smRtyA nizeDAt /
   asantānastu yastasya śrāddhe proktā trayodaśī /	asantAnaH tu yaH tasya SrAdDe proktA trayodaSI /
   santānayukto yaḥ kuryāttasya vaṃśakṣayo bhavet /	santAna yuktaH yaH kuryAt tasya vaMSa kzayaH Bavet /
   itihemādrau nāgarakhaṇḍe santānavato doṣokteśca /	itihema adrO nAgara KaNxe santAnavataH doza ukteH ca /
   atra santānaśabdaḥ putraparaḥ"nakuryātputravāngṛhī"itismṛteḥ /	atra santAna SabdaH putra paraH"nakuryAt putravAn gRhI"iti smRteH /
   atra trayodaśīmahālayamadhāśrāddhānāṃ tantraṃ yugādiśrāddhabhede tu	atra trayodaSI mahAlaya maDASrAdDAnAm tantram yuga Adi SrAdDa Bede tu
   tasyāpi /	tasya api /
   {MV S_175}	{MV H _175}
   anyo viśeṣaḥ śrāddhaprakāśe draṣṭavyaḥ /	anyaH viSezaH SrAdDa prakASe drazwavyaH /
   iti trayodaśī /	iti trayodaSI /
   atha caturdaśī /	aTa caturdaSI /
   mariciḥ:	mariciH:
   viṣasarpaśvāpadāhitiryagbrāhmaṇaghātinām /	viza sarpa SvApada ahi tiryak brAhmaNa GAtinAm /
   caturdaśyāṃ kriyāḥ kāryā anyeṣāṃ tu vigarhitāḥ //	caturdaSyAm kriyAH kAryAH anyezAm tu vigarhitAH //
   viṣadibhirbrāhmaṇāntairghāto yeṣāmiti vigrahaḥ /	vizadiBiH brAhmaNa antEH GAtaH yezAm iti vigrahaH /
   nāgarakhaṇḍe:	nAgara KaNxe:
   apamṛtyurbhavedyeṣāṃ śastramṛtyurathāpi vā /	apamRtyuH Bavet yezAm Sastra mRtyuH aTa api vA /
   upasargamṛtānāṃ ca viṣamṛtyumupeyuṣām /	upasarga mRtAnAm ca viza mRtyum upeyuzAm /
   vahninā ca pradagdhānāṃ jalamṛtyumupeyuṣām //	vahninA ca pradagDAnAm jala mRtyum upeyuzAm //
   śrāddhaṃ teṣāṃ prakartavyaṃ caturdaśyāṃ narādhipa! /	SrAdDam tezAm prakartavyam caturdaSyAm narADipa! /
   mārkaṇḍeyuparāṇe  	mArkaNxeyuparANe  
   yuvānaḥ pitaro yasya mṛtāḥ śastreṇa vā hatāḥ /	yuvAnaH pitaraH yasya mRtAH SastreNa vA hatAH /
   tena kāryaṃ caturdaśyāmiti /	tena kAryam caturdaSyAm iti /
   yuvatvaṃ ca ṣoḍaśavarṣādūrdhvaṃ triṃśadvarṣaparyantamiti	yuva tvam ca zoxaSa varzAt UrDvam triMSat varza paryantam iti
   śrāddhavivekādayaḥ /	SrAdDa viveka AdayaH /
   atra sarvatra liṅgamavivakṣitamuddeśryaviśeṣaṇatvāt /	atra sarvatra liFgam avivakzitam uddeSrya viSezaNa tvAt /
   atra cāpamṛtyurbhavedityādiśravaṇādrogaṃ vinā mṛtatvaṃ	atra ca apa mRtyuH Bavet iti Adi SravaNAt rogam vinA mRta tvam
   catuddarśīśrāddhaprayojakam /	catuddarSI SrAdDa prayojakam /
   evaṃ ca kṛtapatyanugamanāyā api caturdaśīśrāddhaṃ bhavatyeveti gauḍāḥ /	evam ca kRtapati anugamanAyAH api caturdaSI SrAdDam Bavati eva iti gOxAH /
   anye tu avaidhamaraṇaṃ caturdaśīśrāddhaprayojakaṃ prāyo 'naśanābhyāṃ tu	anye tu avEDa maraNam caturdaSI SrAdDa prayojakam prAyas anaSanAByAm tu
   vidhito 'pi vipannānāṃ bhavatyeva /	viDitaH api vipannAnAm Bavati eva /
   prāyo 'naśanaśastrāgniviṣodvandhanināṃ tathā /	prAyas anaSana Sastra agni viza udvanDaninAm taTA /
   itibrahmapurāṇāt /	iti brahma purANAt /
   tathā yuddhahatānāmapi /	taTA yudDa hatAnAm api /
   "yuddhahatānāṃ śrāddhakarmaṇi caturdaśī praśastā"iti viṣṇusmaraṇādityāhuḥ	"yudDa hatAnAm SrAdDa karmaNi caturdaSI praSastA" iti vizNu smaraNAt iti AhuH
   etaccaikoddiṣṭarūpam /	etat ca eka uddizwa rUpam /
   caturdaśyāṃ tu yacchrāddhaṃ sapiṇḍīkaraṇātparam /	caturdaSyAm tu yat SrAdDam sapiNxIkaraNAt param /
   ekoddiṣṭavidhānena tatkāryaṃ śastraghātinaḥ /	ekoddizwa viDAnena tat kAryam Sastra GAtinaH /
   iti gārgyoṃkteḥ /	iti gArgyoMkteH /
   anyo 'tra vistaraḥ śrāddhaprakāśe boghyaḥ /	anyaH atra vistaraH SrAdDa prakASe boGyaH /
   iti caturdaśī /	iti caturdaSI /
   athāśvinaśuklapratipadi dauhitrakartṛkaṃ mātāmahaśrāddham /	aTa aSvina Sukla pratipadi dOhitra kartRkam mAtAmaha SrAdDam /
   saṅgrahe:	saFgrahe:
   jātamātro 'pi dauhitro vidyamāne 'pi mātule /	jAta mAtraH api dOhitraH vidyamAne api mAtule /
   kuryānmātāmahaśrāddhaṃ pratipadyāśvine site //	kuryAt mAtAmaha SrAdDam pratipadi ASvine site //
   iti /	iti /
   {MV S_176}	{MV H _176}
   iyaṃ saṅgavavyāpinī grāhyeti nirṇayadīpe  	iyam saFgava vyApinI grAhyA iti nirNaya dIpe  
   pratipadyāśvine śukle dauhitrastvekapārvaṇam /	pratipadi ASvine Sukle dOhitraH tu eka pArvaNam /
   śrāddhaṃ mātāmahaṃ kuryātsapitā saṅgave sadā //	SrAdDam mAtAmaham kuryAt sapitA saFgave sadA //
   jātamātro 'pi dauhitrau jīyatyapi ca mātule /	jAta mAtraH api dOhitrO jIyati api ca mAtule /
   prātaḥ saṅgavayormadhye āryasya pratipadbhavet //	prAtar saFga vayoH maDye Aryasya pratipad Bavet //
   itivacanāt /	iti vacanAt /
   atha prakīrṇakanityaśrāddhakālāḥ /	aTa prakIrNaka nitya SrAdDa kAlAH /
   tatra viṣṇudharmottare  	tatra vizNuDarmottare  
   śrāddhe saṅkramaṇaṃ bhānoḥ praśastaṃ pṛthivīpate! /	SrAdDe saFkramaNam BAnoH praSastam pRTivIpate! /
   viṣuvādvitayaṃ tatra ayane dve viśeṣataḥ //	vizuva advitayam tatra ayane dve viSezataH //
   āvaśyakama  	AvaSya kama  
   upaplave candramaso raveśca triṣvaṣṭakāsvapyayanadvaye ca /	upaplave candramasaH raveH ca trizu azwakAsu api ayana dvaye ca /
   pānīyamapyatra tilairvimiśraṃ dadyātpitṛbhyaḥ prayato manuṣyaḥ //	pAnIyam api atra tilEH vimiSram dadyAt pitRByaH prayataH manuzyaH //
   śrāddhaṃ kṛtaṃ tena samāḥ sahasraṃ rahasyametat pitaro vadanti /	SrAdDam kRtam tena samAH sahasram rahasyam etat pitaraH vadanti /
   itiviṣṇupurāṇāt /	iti vizNu purANAt /
   kāmyatvam  ādityasaṅkramaṇamityādiviṣṇuvākyāt /	kAmya tvam   Aditya saFkramaNam ityAdi vizNu vAkyAt /
   dravyabrāhmaṇasampattyupalakṣitaḥ kālaḥ śrāddhakālaḥ /	dravya brAhmaNa sampatti upalakzitaH kAlaH SrAdDa kAlaH /
   tathāca  	taTA ca  
   nigamaḥ, aparaṇkṣe yadahaḥ sampadyetāmāvāsyā yā tu viśeṣeṇāṣṭakā	nigamaH, aparaNkze yat ahar sampadi eta amAvAsyA yA tu viSezeNa azwakA
   tīrthatithidrabyabrāhmaṇasampatsu cikīrṣediti /	tIrTa tiTi drabya brAhmaNa sampatsu cikIrzet iti /
   vṛddhisaṅkramadravyabrāhmaṇasampattyādinimittavihitānāṃ	vRdDi saFkrama dravya brAhmaNa sampatti Adi nimitta vihitAnAm
   naimittikatvenāvaśyakatvam /	nEmittika tvena AvaSyaka tvam /
   hārītavacānādapi:	hArIta vacAnAt api:
   tīrthadravyopapattau ca na kālamavadhārayet /	tIrTa dravya upapattO ca na kAlam avaDArayet /
   pātraṃ ca brāhmaṇaṃ prāpya sadyaḥ śrāddhaṃ vidhīyate //	pAtram ca brAhmaNam prApya sadyas SrAdDam viDIyate //
   sadya iti āvaśyakam /	sadyas iti AvaSyakam /
   yamaḥ  	yamaH  
   rāhudarśanadattaṃ ca śrāddhamānantyamucyate /	rAhu darSana dattam ca SrAdDam Anantyam ucyate /
   viṣṇuḥ  	vizNuH  
   rāhudarśanadattaṃ hi śrāddhamānantyamucyate /	rAhu darSana dattam hi SrAdDam Anantyam ucyate /
   guṇavatsarvakāmīyaṃ pitṝṇāmupatiṣṭhati //	guNavat sarva kAmIyam pitLNAm upatizWati //
   sarvakāmīyaṃ = sarvakāmavihitam /	sarva kAmIyam  sarva kAma vihitam /
   liṅgapurāṇe  	liFgapurANe  
   sarvasvenāpi kartavyaṃ śrāddhaṃ vai rāhudarśane /	sarva svena api kartavyam SrAdDam vE rAhu darSane /
   sarvasvenāpītyanenāvaśyakatvam /	sarva svena api iti anena AvaSyaka tvam /
   śrāddhecchopalakṣitaśca kālaḥ śrāddhakālaḥ /	SrAdDet SopalakzitaH ca kAlaH SrAdDa kAlaH /
   {MV S_177}	{MV H _177}
   mārkaṇḍeyapurāṇe  	mArkaNxeyapurANe  
   viśiṣṭabrāhmaṇaprāptau sūryendugrahaṇe 'yane /	viSizwa brAhmaNa prAptO sUrya indu grahaNe ayane /
   viṣuve sati saṅkrāntyāṃ vyatīpāte ca putrakāḥ //	vizuve sati saFkrAntyAm vyatIpAte ca putrakAH //
   śrāddhārhadravyasampattau tathā duḥsvapnadarśane /	SrAdDa arha dravya sampattO taTA duHsvapna darSane /
   janmarkṣagrahapīḍāsu śrāddhaṃ kurvīta cecchayā //	janma Rkza graha pIxAsu SrAdDam kurvIta ca icCayA //
   caśabdo bhinnakramaḥ /	caSabdaH BinnakramaH /
   iccayā cetyarthaḥ /	iccayA ca iti arTaH /
   āvaśyakatvamicchāyāṃ nimitte vidhānāt /	AvaSyaka tvam icCAyAm nimitte viDAnAt /
   brahmapurāṇe  	brahmapurANe  
   paurṇamāsīṣu yacchrāddhaṃ kartavyamṛkṣagocare /	pOrNamAsIzu yat SrAdDam kartavyam Rkza gocare /
   māsanakṣatrasaṃyoge /	mAsa nakzatra saMyoge /
   bhādrapadapaurṇamāsyāṃ viśeṣo brahmapurāṇe  	BAdrapada pOrNamAsyAm viSezaH brahmapurANe  
   nāndīmukhānāṃ pratyabdaṃ kanyārāśigate ravau /	nAndImuKAnAm pratyabdam kanyA rASi gate ravO /
   paurṇamāsyāṃ tu kartavyaṃ varāhavacanaṃ yathā //	pOrNamAsyAm tu kartavyam varAha vacanam yaTA //
   ye syuḥ pitāmahādūrddhvaṃ te tu nāndīmukhāstrayaḥ /	ye syuH pitAmahAt UrdDvam te tu nAndI muKAH trayaH /
   prasannamukhasaṃjñāstu maṅgalāyatanāstu te //	prasanna muKa saMjQAH tu maFgala AyatanAH tu te //
   pitāmahātupituḥpitāmahādityarthaḥ /	pitAmahAtupituH pitAmahAt iti arTaH /
   yamaḥ  	yamaH  
   āṣāḍhyāmatha karttikyāṃ māghyāṃ trīn pañca vā dvijān /	AzAXyAm aTa karttikyAm mAGyAm trIn paQca vA dvijAn /
   tarpayetpitṛpūrvaṃ tu tadasyākṣayamucyate //	tarpayet pitR pUrvam tu tat asya akzayam ucyate //
   matsyapurāṇe  	matsyapurANe  
   vaiśākhyāmuparāge ca tathā vatsa! mahālaye /	vESAKyAm uparAge ca taTA vatsa! mahAlaye /
   eṣu vacaneṣu paurṇamāsīviśeṣāṇāṃ grahaṇamāvaśyakatvārthamatiśayārthaṃ vā /	ezu vacanezu pOrNamAsI viSezANAm grahaNam AvaSyakatva arTam atiSaya arTam vA /
   viṣṇudharmottare  	vizNuDarmottare  
   āśvinasyāpare pakṣe prathame kārttikasya ca /	ASvinasya apare pakze praTame kArttikasya ca /
   yastu śrāddhaṃ sadā kuryātso 'śvamedhaphalaṃ labhet //	yaH tu SrAdDam sadA kuryAt saH aSvameDa Palam laBet //
   nidrāṃ tyajati sarvātmā tasminkāle janārdanaḥ /	nidrAm tyajati sarva AtmA tasmin kAle janArdanaH /
   tatra śrāddhamathānantaṃ nātra kāryā vicāraṇā //	tatra SrAdDam aTa anantam na atra kAryA vicAraNA //
   debalaḥ  	debalaH  
   ayugmāstithayaḥ sarvā yugmābhyaḥ pratipūjitāḥ /	ayugmAH tiTayaH sarvAH yugmAByaH pratipUjitAH /
   kālataḥ pūjitau māsau māghaprauṣṭhapadāvubhau //	kAlataH pUjitO mAsO mAGa prOzWapadO= uBO //
   pakṣayoḥ śuklapakṣaśca bahulaḥ śrāddhapūjitaḥ /	pakzayoH Sukla pakzaH ca bahulaH SrAdDa pUjitaH /
   uktā tithiparīkṣeyaṃ na nakṣatreṣu pracakṣyate //	uktA tiTi parIkzA iyam na nakzatrezu pracakzyate //
   {MV S_178}	{MV H _178}
   uttarāḥ śravaṇastiṣyo mṛgaśīrṣaṃ prajāpatiḥ /	uttarAH SravaNaH tizyaH mRgaSIrzam prajApatiH /
   hastaḥ śatabhiṣakū svātiścitrā pitryamathāśvinam //	hastaH SataBizakU svAtiH citrA pitryam aTa aSvinam //
   nakṣatrāṇi praśastāni sadaivaitāni paitṛke /	nakzatrANi praSastAni sadA eva etAni pEtRke /
   aparāṇi ca nakṣatrāṇyucyante kāraṇaiḥ kvacit //	aparANi ca nakzatrANi ucyante kAraNEH kvacid //
   yasmin guṇoditaṃ vipraṃ pātrabhūtamathāpnuyāt /	yasmin guNa uditam vipram pAtra BUtam aTa ApnuyAt /
   śrāddhasya pūjitaḥ kālo bhavetsa eva vā punaḥ //	SrAdDasya pUjitaH kAlaH Bavet saH eva vA punar //
   kāraṇaiḥ = māghapañcadaśīyogādibhiḥ /	kAraNEH  mAGa paQcadaSI yoga AdiBiH /
   atha kāmyaśrāddhakālāḥ /	aTa kAmya SrAdDa kAlAH /
   tatra kātyāyanaḥ  atha kāmyāni bhavanti striyo 'pratirūpāḥ pratipadi,	tatra kAtyAyanaH  aTa kAmyAni Bavanti striyaH apratirUpAH pratipadi,
   dvitīyāyāṃ strījanma, aśvāstṛtīyāyāṃ, caturthyāṃ kṣudrapaśavaḥ, putrāḥ	dvitIyAyAm strI janma, aSvAH tRtIyAyAM, caturTyAm kzudra paSavaH, putrAH
   pañcamyāṃ, ṣaṣṭhyāṃ dyūtarddhiḥ, kṛṣiḥ saptamyām, aṣṭamyāṃ vāṇijyam,	paQcamyAn, zazWyAm dyUta RdDiH, kRziH saptamyAm, azwamyAm vANijyam,
   ekaśaphaṃ navamyāṃ, gāvo daśamyāṃ, paricārakā ekādaśyāṃ, dvādaśyāṃ	ekaSaPam navamyAn, gAvaH daSamyAn, paricArakAH ekAdaSyAn, dvAdaSyAm
   dhanadhānye kupyam, jñātiśraiṣṭhayaṃ trayodaśyāṃ yuvānastasminmriyante	Dana DAnye kupyam, jQAti SrEzWayam trayodaSyAm yuvAnaH tasmin mriyante
   śastrahatasya caturdaśyāmamāvāsyāyāṃ sarvam /	Sastra hatasya caturdaSyAm amAvAsyAyAm sarvam /
   manuḥ  (a. 3 ślo. 277)	manuH   (a. 3 Slo. 277)
   yukṣu kurvan dinarkṣeṣu sarvānkāmānsamaśnute /	yukzu kurvan dina Rkzezu sarvAn kAmAn samaSnute /
   ayukṣu tu pitṝnarcanprajāṃ prāpnoti puṣkalām /	ayukzu tu pitLn arcan prajAm prApnoti puzkalAm /
   yājñavalkyaḥ  (a. 1 śrā. pra. 265 268)	yAjQavalkyaH  (a. 1 SrA. pra. 265 268)
   svargaṃ hyapatyamojaśca śauryaṃ kṣetraṃ balaṃ tathā /	svargam hi apatyam ojaH ca SOryam kzetram balam taTA /
