   bhikṣuṇī vinaya	BikzuNI  vinaya
   | sa pratyekabuddhas vata eva vaihāyase prakrāntaḥ | sā dāni dṛṣṭvā tuṣṭā	| sa pratyekabudDaH vataH eva vEhAyase prakrAntaH | sA dAni dRzwvA tuzwA
   udagrā āttamanā gṛhaṃ praviṣṭā | śreṣṭhinā ca dṛṣṭo gṛhāto ṛṣī vaihāyasena	udagrA Atta manAH gRham pravizwA | SrezWinA ca dRzwaH gRhAtaH RzI vEhAyasena
   prakrānto | tataḥ śreṣṭhi gṛhaṃ praviṣṭo pṛcchati | kocid iha ṛṣiḥ	prakrAntaH | tatas SrezWi gRham pravizwaH pRcCati | kocid iha RziH
   praviṣṭaḥ | āha | praviṣṭo | āha | kiñcit tasya dattaṃ | āha | nahi |	pravizwaH | Aha | pravizwaH | Aha | kiQcid tasya dattam | Aha | na hi |
   imāya daridrastriyāya dattaṃ śreṣṭhī utkaṇṭhito īdṛśo dakṣiṇīyo mama gṛhaṃ	imAya daridra striyAya dattam SrezWI utkaNWitaH IdRSaH dakziNIyaH mama gRham
   praviṣṭo na ca saṃmānito | so dāni śreṣṭhī tāṃ striyam āha | dehi me etaṃ	pravizwaH na ca saMmAnitaH | saH dAni SrezWI tAm striyam Aha | dehi me etam
   puṇyaṃ yaṃ tvayā adya sañcitaṃ | dadāmi te prabhūtaṃ hiraṇyaṃ suvarṇaṃ |	puNyam yam tvayA adya saQcitam | dadAmi te praBUtam hiraNyam suvarNam |
   sā dān āha |	sA dAn Aha |
   kṣīyati sarvaṃ dhanadhānyaṃ jātarūpaṃ rajataṃ ca |	kzIyati sarvam Dana DAnyam jAtarUpam rajatam ca |
   na kṣīyante puṇyephalaṃ dattaṃ munīnāṃ sarvathā | [7] ||	na kzIyante puNyePalam dattam munInAm sarvaTA | [7] ||
   yad aham evaṃ daridrā para vaktavyā anyathā |	yat aham evam daridrA para vaktavyAH anyaTA |
   etādṛśānām adarśanāt asaṃvibhāgāc ca bhogānāṃ | [8] |	etAdRSAnAm adarSanAt asaMviBAgAt ca BogAnAm | [8] |
   durvarṇatāya mucye haṃ avaikalyatā ca bhogehi |	durvarNa tAya mucye ham avEkalya tA ca Bogehi |
   mā paradattajīvinī āvaśā parakulehi | [9] ||	mA para datta jIvinI AvaSA para kula ihi | [9] ||
   evaṃ caṅkrameyaṃ na bhe yathā caṅkramase vīra |	evam caFkrameyam na Be yaTA caFkramase vIra |
   evaṃ sīyā vītarāgā bhavabandhanavimuktā | [10] ||	evam sIyA vIta rAgAH Bava banDana vimuktA | [10] ||
   pāratrikaṃ sunihitaṃ avaikalyatā hṛṣṭā |	pAratrikam su nihitam avEkalya tA hRzwAH |
   bhavāmi muditā [ḥ ḥ] dattvā ṛṣisya āhāraṃ | [11] ||	BavAmi muditAH [H H] dattvA Rzisya AhAram | [11] ||
   ito cyavitvā upapadyiṣyaṃ nandane ramye	itas cyavitvA upapadyizyam nandane ramye
   tatra pravicāriṣyaṃ devagaṇasamākule | ||	tatra pravicArizyam deva gaNa samAkule | ||
   bhaktaṃ samaye dānaṃ dattaṃ mayā	Baktam samaye dAnam dattam mayA
   suvihitasya duḥkhaprahāṇāya || [12] ||	su vihitasya duHKa prahANAya || [12] ||
   atha śreṣṭhinā sā bhāryā avasāditā | sā daridrā strī bhaṭṭārikā sthāpitā |	aTa SrezWinA sA BAryA avasAditA | sA daridrA strI BawwArikA sTApitA |
   syād vo bhaginyaḥ anyā sā daridrā strī naitad evaṃ draṣṭavyaṃ | aham eva	syAt vaH BaginyaH anyA sA daridrA strI na etat evam drazwavyam | aham eva
   sā daridrā strī | yaṃ so mayā pratyekabuddho piṇḍapātena pratimānito	sA daridrA strI | yam saH mayA pratyekabudDaH piNxa pAtena pratimAnitaH 
   prasannacittāya tasya karmaṇo vipākenāhaṃ prāsādikā | peyālaṃ | api tu	prasanna cittAya tasya karmaNaH vipAkena aham prAsAdikA | peyAlam | api tu
   bhaginyaḥ naitad evaṃ mayā kuśalamūlam avaropitaṃ yenāhaṃ prāsādikā	BaginyaH na etat evam mayA kuSala mUlam avaropitam yena aham prAsAdikA
   darśanīyā | kṣiprādhigamā ca | anyadā pi mayā kuśalamūlaṃ avaropitaṃ |	darSanIyA | kzipra aDigamA ca | anyadA pi mayA kuSala mUlam avaropitam |
   189. bhūtapūrvaṃ bhaginyo 'tīte 'dhvani vārāṇasīyaṃ nagare kāyaci striyāya	189. BUta pUrvam BaginyaH atIte aDvani vArANasIyam nagare kAyaci striyAya
   lohacakraṃ paṭalake kṛtvā puṣpehi okiritvā kāśikena vastreṇa	loha cakram pawalake kRtvA puzpa ihi okiritvA kASikena vastreNa
   praticchādeyitvā bhagavato kāśyapasya dattaṃ | dattvā ca praṇidhānam	praticCAdeyitvA BagavataH kASyapasya dattam | dattvA ca praNiDAnam
   akārṣīt | rathasya cakraṃ sanābhinemikaṃ vastrottamena praticchādayitvā ye	akArzIt | raTasya cakram sa nABinemikam vastra uttamena praticCAdayitvA ye
   munivarasākṣikṛtā hi dharmā aham api taṃ sākṣikaromi dharmaṃ | sā dāni	muni vara sAkzi kRtA hi DarmAH aham api tam sAkzi karomi Darmam | sA dAni
   kenacit kāryeṇa aparādhinī svāminā avasāditā | sā dāni utkaṇṭhitā | āha |	kenacid kAryeNa aparADinI svAminA avasAditA | sA dAni utkaNWitA | Aha |
   dhig astu strībhāvaḥ | paribhūto mātṛgrāmaḥ | gacchāmi udbandhiṣyaṃ | sā	Dik astu strI BAvaH | pariBUtaH mAtR grAmaH | gacCAmi udbanDizyam | sA
   rajjum ādāya nirgatā | tatra ca nātidūre bhagavato kāśyapasya stūpaṃ	rajjum AdAya nirgatA | tatra ca na ati dUre BagavataH kASyapasya stUpam
   dṛṣṭvā prasādajātā | alaṅkāravibhūṣitā kāśikavastraprāvṛtā	dRzwvA prasAda jAtA | alaFkAra viBUzitA kASika vastra prAvRtA
   candānuliptagātrā sā cintayati | ahaṃ mariṣyaṃ | bhagavato kāśyapasya	canda anulipta gAtrA sA cintayati | aham marizyam | BagavataH kASyapasya
   stūpe pūjāṃ kariṣyaṃ | sā prasannacittā tāni alaṅkārāṇi muñcitvā stūpe	stUpe pUjAm karizyam | sA prasanna cittA tAni alaFkArANi muQcitvA stUpe
   avakiritvā kāśikena vastreṇācchādayitvā candanenānulimpitvā praṇidhānaṃ	avakiritvA kASikena vastreNa AcCAdayitvA candanena anulimpitvA praNiDAnam
   akārṣīt | anāgate 'dhvani evamvidhaṃ śāstāram ārāgīyeyaṃ | sa ca me	akArzIt | anAgate aDvani evamviDam SAstAram ArAgIyeyam | sa ca me
   dharman deśeya tasyāhaṃ dharman deśitam ājāneyan ti | sā tahim udbandhitvā	Darman deSeya tasya aham Darman deSitam AjAneyan ti | sA tahim udbanDitvA
   kālagatā | tāvattriṃśabhavane upapannā | apsarasahasraparivṛtā sā tahiṃ	kAlagatA | tAvat triMSa Bavane upapannA | apsara sahasra parivRtA sA tahim
   yāvadāyuḥ sthitvā tataś cyavitvā manuṣyeṣūpapannāḥ | vaiśalīyaṃ kāpilasya	yAvat AyuH sTitvA tatas cyavitvA manuzyezu upapannAH | vESalIyam kApilasya
   gotrasya brāhmaṇakule upapannā | tāye dāni jñātikehi bhadreti nāma kṛtaṃ |	gotrasya brAhmaNa kule upapannA | tAye dAni jQAtikehi BadrA iti nAma kRtam |
   anarthikā kāmaguṇehi pañcahi yā niṣkramitvā pravrajitā sarvāsravakṣayam	anarTikA kAma guNa ihi paQca hi yA nizkramitvA pravrajitA sarva Asrava kzayam
   akārṣīt | kāśikāni vastrāṇi pratyagraṃ cānulepanaṃ bhagavato kāśyapasya yā	akArzIt | kASikAni vastrANi pratyagram ca anulepanam BagavataH kASyapasya yA
   prasannābhiropayet | sā kāpileyī bhagavato pādāṃ vandati śāstuno | yāvad	prasanna aBiropayet | sA kApileyI BagavataH pAdAm vandati SAstunaH | yAvat 
   bhagavān āha | tena hi dakaśāṭikā nāma kartavyā | bhikṣuṇīyo āhaṃsuḥ |	BagavAn Aha | tena hi dakaSAwikA nAma kartavyA | BikzuNIyaH AhaMsuH |
   paśya bhagavan katham iyaṃ bhadrā sthaviramahākāśyapena sārdhaṃ pravrajitā	paSya Bagavan kaTam iyam BadrA sTavira mahAkASyapena sArDam pravrajitA
   | bhagavān āha | na etarhi yeva ete ubhaye pravrajitā | anyadāpy ete	| BagavAn Aha | na etarhi yeva ete uBaye pravrajitAH | anyadA api ete
   ubhaye pravrajitāḥ | anyadāpi bhagavan anyadāpi bhikṣuṇīyo |	uBaye pravrajitAH | anyadA api Bagavan anyadA api BikzuNIyaH |
   bhūtapūrvaṃ bhikṣuṇīyo atītam adhvānaṃ catvāro rājaṛṣayaḥ kumbhakārakule	BUta pUrvam BikzuNIyaH atItam aDvAnam catvAraH rAja RzayaH kumBakAra kule
   vāsam upagatāḥ |	vAsam upagatAH |
   khāṇuvarṇaḥ kaliṅgānāṃ gandhārānāñ ca bhārgavo |	KANu varNaH kaliFgAnAm ganDa ArAnAn ca BArgavaH |
   nimī rājā videhānāṃ ugrasenaś ca kṣatriyaḥ || [13] ||	nimiH rAjA videhAnAm ugrasenaH ca kzatriyaH || [13] ||
   ete catvāro rājaṛṣayaḥ ugratejā mahābalā kumbhakārakule vāsa ekarātram	ete catvAraH rAja RzayaH ugra tejAH mahA balA kumBakAra kule vAsaH eka rAtram
   upāgamat | kumbhakāram upasamkramya tān eva paripṛcchati | kiṃ dṛṣṭvā	upAgamat | kumBakAram upasamkramya tAn eva paripRcCati | kim dRzwvA
   śrutvā vā pravrajyām ārocatha |	SrutvA vA pravrajyAm ArocaTa |
   khāṇuvarṇaḥ mahārājā kaliṅgānāṃ naraṛṣabhaḥ |	KANu varNaH mahA rAjA kaliFgAnAm nara RzaBaH |
   pṛcchito kumbhakāreṇa idam vacanam abravīt || [14] ||	pRcCitaH kumBakAreNa idam vacanam abravIt || [14] ||
   śaṅkhāṃ suvarṇottaraniṣṭhitān nāri |	SaFKAm suvarNa uttara nizWitAn nAri |
   pinandhana pinandhati	pinanDana pinanDati
   śabda dvitīyā tu samāgatā yato ramāgatā yato	Sabda dvitIyA tu samAgatA yatas rama AgatA yatas 
   saṃsargadoṣaṃ dṛṣṭvā śrutvā ca	saMsarga dozam dRzwvA SrutvA ca
   bhikṣucaryāñ carāmi || [15] ||	Bikzu caryAn carAmi || [15] ||
   bhārgavo pi mahārājā gandhārāṇāṃ nararṣabhaḥ |	BArgavaH pi mahA rAjAH ganDArANAm nara RzaBaH |
   pṛcchito kumbhakāreṇa idam vacanam abravīt || [16] ||	pRcCitaH kumBakAreNa idam vacanam abravIt || [16] ||
   dvijā tu kuṇapasya kāraṇā |	dvijA tu kuNapasya kAraNAH |
   ekasyāsti bahukā patanti |	ekasya asti bahukAH patanti |
   āhārahetoḥ paridhāvanti |	AhAra hetoH pariDAvanti |
   tāṃ dṛṣṭvā bhikṣucaryāñ carāmi || [17] ||	tAm dRzwvA Bikzu caryAn carAmi || [17] ||
   nimī api mahārājā vaideho mithilādhipaḥ |	nimI api mahA rAjAH vEdehaH miTilA aDipaH |
   pṛcchito kumbhakāreṇa idam vacanam abravīt || [18] ||	pRcCitaH kumBakAreNa idam vacanam abravIt || [18] ||
   ah adṛśī meghasamānavarṇāṃ |	am adRSI meGa samAna varNAm |
   telāpakāṃśa cchuritān samānān |	telApaka aMSa cCuritAn samAnAn |
   tām eva phalahetor vibhagnagatāṃ	tAm eva Pala hetoH viBagna gatAm
   dṛṣṭvā saṃvigno bhikṣucaryāñ carāmi || [19] ||	dRzwvA saMvignaH Bikzu caryAn carAmi || [19] ||
   ugraseno pi mahārājā kṣatriyāṇāṃ nararṣabho |	ugrasenaH pi mahA rAjA kzatriyANAm nara RzaBaH |
   pṛcchito kumbhakāreṇa idam vacanam abravīt || [20] ||	pRcCitaH kumBakAreNa idam vacanam abravIt || [20] ||
   rṣabhas tādṛśāya śobhāya madhye |	rzaBaH tAdRSAya SoBAya maDye |
   calatkakudavarṇena vapuṣā upeto |	calat kakuda varNena vapuzA upetaH |
   tam adṛśāsi kāmahetor vibhagna |	tam adRSA asi kAma hetoH viBagnaH |
   bhagnaṃ taṃ dṛṣṭvā bhikṣucaryām carāmi || [21] ||	Bagnam tam dRzwvA Bikzu caryAm carAmi || [21] ||
   sarve ime devasamā samāgatāḥ |	sarve ime deva samA samAgatAH |
   agnir yathā prajvalito niśāya |	agniH yaTA prajvalitaH niSAya |
   ahaṃ api pravrajiṣyaṃ ..... |	aham api pravrajizyam ..... |
   apahāya kāmāni manoramāṇi || [22] ||	apahAya kAmAni manoramANi || [22] ||
   kumbhakārabhāryā kathayati |	kumBakAra BAryA kaTayati |
   ayam eva kālo nahi anyad asti |	ayam eva kAlaH nahi anyat asti |
   anuśāsako nāsti ito bahirdhā |	anuSAsakaH na asti itas bahirDA |
   ahaṃ api pravrajiṣyaṃ |	aham api pravrajizyam |
   putrakā mahyaṃ kahiṃ gamiṣyanti || [23] ||	putrakAH mahyam kahim gamizyanti || [23] ||
   āmaṃ pakvan na jānanti atha loṇam aloṇakaṃ |	Amam pakvan na jAnanti aTa loNam aloNakam |
   śakunīva muktā puruṣasya hastāt |	SakunI iva muktA puruzasya hastAt |
   ajātapakṣā bālā putrakā ajānakāḥ || [24] ||	ajAta pakzAH bAlA putrakAH ajAnakAH || [24] ||
   pravrajitam anupravrajāmi	pravrajitam anupravrajAmi
   carantam anucarāmy ahaṃ || [25] ||	carantam anucarAmi aham || [25] ||
   nimī rājā bodhisattvaḥ kaliṅga pi śārisutaḥ |	nimiH rAjA boDisattvaH kaliFga pi SArisutaH |
   ugrasenaś ca maudgalyo ānando āsi bhārgavo |	ugrasenaH ca mOdgalyaH AnandaH Asi BArgavaH |
   kumbhakāraḥ kāśyapo āsi bhadrā sā kumbhakārikā || [26] ||	kumBakAraH kASyapaH Asi BadrA sA kumBakArikAH || [26] ||
   tadāpy ete ubhaye pravrajitāḥ |	tadA api ete uBaye pravrajitAH |
   etarhy apy ete ubhaya pravrajitāḥ || [27] ||	etarhi api ete uBaya pravrajitAH || [27] ||
   bhagavatā dāni bhikṣuṇīnām udakaśāṭikā anujñātā | bhikṣuṇīyo dāni	BagavatA dAni BikzuNInAm udaka SAwikA anujQAtAH | BikzuNIyaH dAni
   tathāgatān paṭān dakaśāṭikāṃ kurvanti | bhagavān āha | tena hi na kṣamati	taTAgatAn pawAn daka SAwikAm kurvanti | BagavAn Aha | tena hi na kzamati
   yathāgataṃ paṭaṃ dakaśāṭikāṃ kartuṃ | yāvac chikṣāpadaṃ prajñaptaṃ |	yaTAgatam pawam daka SAwikAm kartum | yAvat SikzA padam prajQaptam |
   dakeśāṭikāṃ bhikṣuṇīya kārāpayantīya prāmāṇikā kārāpayitavyā | tatredaṃ	dakeSAwikAm BikzuNIya kArApayantIya prAmANikA kArApayitavyA | tatra idam
   pramāṇan | dīrghaśo catvāri vitastiyo | sugatavitastinā | tiryag dve tad	pramANan | dIrGaSas catvAri vitastiyaH | sugata vitastinA | tiryak dve tat 
   uttariṃ kārāpaye cchedanapācattikaṃ |	uttarim kAra apaye cCedana pAcattikam |
   dakaśāṭikā ti yā sā bhagavatā anujñātā | kārāpayantīye ti svayaṃ kuryāt	dakaSAwikA ti yA sA BagavatA anujQAtAH | kArApayantIye ti svayam kuryAt 
   pareṇa vā kārāpaye | prāmāṇikan ti tatredaṃ pramāṇaṃ catvāri vitastiyo |	pareNa vA kArA paye | prAmANikan ti tatra idam pramANam catvAri vitastiyaH |
   sugatavitastinā ti sugato nāma tathāgato 'rhan samyaksambuddho tasya yo	sugata vitastinA ti sugataH nAma taTAgataH arhan samyaksambudDaH tasya yaH 
   vitasti so dvy ardho mañcakapādo tiryag dve tad uttariṃ kārāpaye	vitasti saH dvi arDaH maQcaka pAdaH tiryak dve tat uttarim kArApaye
   pācattikaṃ | atha dāni ekānte nikuñje pradeśe snāyanti vinā dakaśāṭikāya	pAcattikam | aTa dAni ekAnte nikuQje pradeSe snAyanti vinA daka SAwikAya
   anāpattiḥ | bhikṣur api vinā dakaśāṭikāya snāyati vinayātikramam āsādayati	anApattiH | BikzuH api vinA dakaSAwikAya snAyati vinaya atikramam AsAdayati
   | atha nikuñjapradeśe snāyati vinā dakaśāṭikāya anāpattiḥ | tena bhagavān	| aTa nikuQja pradeSe snAyati vinA daka SAwikAya anApattiH | tena BagavAn
   āha |	Aha |
   dakaśāṭikāṃ bhikṣuṇīya kārāpayantīya prāmāṇikā kārāpayitavyā | tatredaṃ	daka SAwikAm BikzuNIya kArApayantIya prAmANikA kArApayitavyA | tatra idam
   pramāṇaṃ | dīrghaśo catvāri vitastiyo | sugatavitastinā | tiryag dve | tad	pramANam | dIrGaSas catvAri vitastiyaH | sugata vitastinA | tiryak dve | tat 
   uttarim kārāpaye cchedanapācattikaṃ ||	uttarim kArA paye cCedana pAcattikam ||
   pācattikadharma 76	pAcattika DarmaH 76
   kaṭhina	kaWina
   190. bhagavān śrāvastīyam viharati | sthūlanandā nāma bhikṣuṇī	190. BagavAn SrAvastIyam viharati | sTUlanandA nAma BikzuNI
   bhikṣuṇīsaṃghena adhyeṣṭā | śakyasi ārye saṃghasya kṛtena paṭān yācituṃ |	BikzuNI saMGena aDyezwA | Sakyasi Arye saMGasya kRtena pawAn yAcitum |
   sā dān āha | śakyaṃ | sā dāni durbalakuleṣu gatvā āha | mahāpuṇyo śakyasi	sA dAn Aha | Sakyam | sA dAni durbala kulezu gatvA Aha | mahA puNyaH Sakyasi
   saṃghasya paṭaṃ dātuṃ | āhaṃsuḥ | ārye ājñāsyāmaḥ punar apy āgamiṣyasi |	saMGasya pawam dAtum | AhaMsuH | Arye AjQAsyAmaH punar api Agamizyasi |
   sā punaḥ punar āgacchati | āhaṃsuḥ | jñāsyāmaḥ jñāsyāma iti | sā dāni	sA punar punar AgacCati | AhaMsuH | jQAsyAmaH jQAsyAmaH iti | sA dAni
   jalpati | yadi yūyaṃ dātukāmā dadatha | ayaṃ saṃghasya cīvarakālo	jalpati | yadi yUyam dAtu kAmAH dadaTa | ayam saMGasya cIvara kAlaH 
   atikramati | kiṃ jñāsyāma iti vadatha | tehi dāni na dattaṃ | cīvarakālo	atikramati | kim jQAsyAmaH iti vat aTa | tehi dAni na dattam | cIvara kAlaH 
   'tikrānto | etaṃ prakaraṇaṃ bhikṣuṇīyo mahāprajāpatīye gautamīye	atikrAntaH | etam prakaraNam BikzuNIyaH mahA prajApatIye gOtamIye
   ārocayeṃsuḥ yāvad bhagavān āha |	ArocayeMsuH yAvat BagavAn Aha |
   yā puna bhikṣuṇī durbalāya cīvarapratyāśāya saṃghasya kaṭhināstāraṃ	yA puna BikzuNI durbalAya cIvara pratyASAya saMGasya kaWinAH tAram
   vyatināmayet pācattikaṃ |	vyatinAmayet pAcattikam |
   yā puna bhikṣuṇīti upasampannā | durbalāyeti apratibalāya |	yA puna BikzuNI iti upasampannA | durbalAya iti apratibalAya |
   cīvarapratyāśāyeti cīvaraṃ nāma kālaṃ yāvat kṣaumunikā | saṃghasya	cIvara pratyASAya iti cIvaram nAma kAlam yAvat kzOmunikAH | saMGasya
   kaṭhināstārikaṃ | vyatināmayed iti atikrāmayet pācattikaṃ yāvat prajñaptiḥ	kaWinAH tArikam | vyatinAmayet iti atikrAmayet pAcattikam yAvat prajQaptiH
   | eṣā dāni bhikṣuṇī utsāhīyati | ārye śakṣyasi saṃghasya kaṭhinaṃ yācituṃ	| ezA dAni BikzuNI utsAhIyati | Arye Sakzyasi saMGasya kaWinam yAcitum
   | yadi pratibalā bhavati utsahitavyaṃ | utsahitvā na durbalakulāni	| yadi pratibalA Bavati utsahitavyam | utsahitvA na durbala kulAni
   yācitavyāni | atha khalu ye pratibalāḥ pitā putrā vā bhrātarau vā	yAcitavyAni | aTa Kalu ye pratibalAH pitA putrAH vA BrAtarO vA
   bhaginīyo vā jñātisambandhā vā gotrasambandhā vā te yācitavyā | te	BaginIyaH vA jQAti sambanDAH vA gotra sambanDAH vA te yAcitavyA | te
   pratibalā dātuṃ te yācitvārocayitavyāḥ | atha dān āhaṃsuḥ jñāsyāma	pratibalAH dAtum te yAcitvA ArocayitavyAH | aTa dAn AhaMsuH jQAsyAma
   jñāsyāma iti vaktavyā | detha vā pratyākhyātha vā cīvarakālo 'tikramati |	jQAsyAmaH iti vaktavyA | deTa vA pratyAKyA aTa vA cIvara kAlaH atikramati |
   atha dāni apratibalā bhavati utsāhayitavyā sā eṣā bhikṣuṇī saṃghasya	aTa dAni apratibalA Bavati utsAhayitavyA sA ezA BikzuNI saMGasya
   kaṭhinavivarārthāya | utsahayitvā naiva yācati naiva yāvayeti na	kaWina vivara arTAya | utsahayitvA na eva yAcati na eva yAvayA iti na
   bhikṣuṇīsaṃghasyārocayati na labhyatīti pācattikam āsādayati | phu |	BikzuNI saMGasya Arocayati na laByati iti pAcattikam AsAdayati | Pu |
   bhikṣur api durbalāya cīvarapratyāśāya saṃghasya kaṭhināstāraṃ	BikzuH api durbalAya cIvara pratyASAya saMGasya kaWinAH tAram
   vyatināmayeti vinayātikramam āsādayati | tena bhagavān āha |	vyatinAmaya iti vinaya atikramam AsAdayati | tena BagavAn Aha |
   yā puna bhikṣuṇī durbalāya cīvarapratyāśāya saṃghasya kaṭhināstāraṃ	yA puna BikzuNI durbalAya cIvara pratyASAya saMGasya kaWinAH tAram
   vyatināmayet pācattikaṃ | phu ||	vyatinAmayet pAcattikam | Pu ||
   pācattikadharma 77	pAcattika DarmaH 77
   cīvarapārihārikaṃ	cIvara pArihArikam
   191. bhagavān śrāvastīyaṃ viharati | tā dāni bhikṣuṇīyo sāntararottareṇa	191. BagavAn SrAvastIyam viharati | tAH dAni BikzuNIyaH sa antarara uttareNa
   prāvṛtā bhagavato pādavandikā āgatā tāsāṃ nirgatānāṃ agnidāha utpannaḥ |	prAvRtAH BagavataH pAdavandikA AgatA tAsAm nirgatAnAm agnidAhaH utpannaH |
   tāsāṃ dagdhāni cīvarāṇi | etaṃ prakaraṇaṃ bhikṣuṇīyo mahāprajāpatīye	tAsAm dagDAni cIvarANi | etam prakaraNam BikzuNIyaH mahA prajApatIye
   gautamīye ārocayeṃsuḥ | peyālaṃ | yāvad āma bhagavan | bhagavān āha | etaṃ	gOtamIye ArocayeMsuH | peyAlam | yAvat Ama Bagavan | BagavAn Aha | etam
   va ta dāni yūyaṃ pārihārikaṃ cīvaraṃ na pariharatha | tena hi pārihārikaṃ	va te dAni yUyam pArihArikam cIvaram na pariharaTa | tena hi pArihArikam
   cīvaraṃ pariharitavyaṃ |	cIvaram pariharitavyam |
   eṣā yevārthotpattiḥ | bhagavān śrāvastīyaṃ viharati | tā dāni bhikṣuṇīyo	ezA yeva arTa utpattiH | BagavAn SrAvastIyam viharati | tAH dAni BikzuNIyaH 
   śākīyakanyāyo ca mallakanyāyo ca kolitakanyāyo ca sukumārapravrajitā ca |	SAkIyaka nyAyaH ca mallaka nyAyaH ca kolitaka nyAyaH ca sukumAra pravrajitA ca |
   bhārikāṃ saṃghāṭiṃ pariharantīyo kilamyantī | etaṃ prakaraṇaṃ bhikṣuṇīyo	BArikAm saMGAwim pariharantIyaH kilamyantI | etam prakaraNam BikzuNIyaH 
   mahāprajāpatīye gautamīye ārocayeṃsuḥ | peyālaṃ | yāvad bhagavān āha |	mahA prajApatIye gOtamIye ArocayeMsuH | peyAlam | yAvat BagavAn Aha |
   tena hi anujānāmi glānāye | atha khalu bhagavān mahāprajāpatīṃ gautamīm	tena hi anujAnAmi glAnAye | aTa Kalu BagavAn mahA prajApatIm gOtamIm
   āmantrayati | sannipātaya gautami | peyālaṃ | yāvat |	Amantrayati | sannipAtaya gOtami | peyAlam | yAvat |
   yā puna bhikṣuṇī agilānā pārihārikaṃ cīvaraṃ na pariharati pācattikaṃ |	yA puna BikzuNI agilAnA pArihArikam cIvaram na pariharati pAcattikam |
   yā puna bhikṣuṇīti upasampannā | pārihārikaṃ cīvaran ti saṃghāṭī yāvat	yA puna BikzuNI iti upasampannA | pArihArikam cIvaran ti saMGAwI yAvat 
   dakaśāṭikā | pariharatīti yena gaccheya tahiṃ netavyā | agilānā ti	daka SAwikA | pariharati iti yena gacCeya tahim netavyA | agilAnA ti
   pratyuddhṛtaṃ padaṃ bhagavatā anāpattiḥ gilānāya | sā eṣā bhikṣuṇī agilānā	pratyudDRtam padam BagavatA anApattiH gilAnAya | sA ezA BikzuNI agilAnA
   pārihārikaṃ cīvaraṃ na pariharati pācattikam āsādayati | atha dāni cetiyaṃ	pArihArikam cIvaram na pariharati pAcattikam AsAdayati | aTa dAni cetiyam
   vandati caṅkramati vā anto sīmam vā gacchati anāpattiḥ | bhikṣur api	vandati caFkramati vE anto sImam vA gacCati anApattiH | BikzuH api
   pārihārikaṃ cīvaraṃ na pariharati vinayātikramam āsādayati | tena bhagavān	pArihArikam cIvaram na pariharati vinaya atikramam AsAdayati | tena BagavAn
   āha |	Aha |
   yā puna bhikṣuṇī agilānā pārihārikaṃ cīvaraṃ na pariharati pācattikaṃ |	yA puna BikzuNI agilAnA pArihArikam cIvaram na pariharati pAcattikam |
   pācattikadharma 78	pAcattika DarmaH 78
   pacati	pacati
   192. bhagavān vaiśālīyaṃ viharati | bhadrāye dāni kāpileyīye jñātikulāto	192. BagavAn vESAlIyam viharati | BadrAye dAni kApileyIye jQAti kulAtaH 
   devasikaṃ bhaktam ānīyati | sā taṃ vihārake pacitvā khādati | tāye dāni	devasikam Baktam AnIyati | sA tam vihArake pacitvA KAdati | tAye dAni
   putrabhrātṛkā āgatāḥ | bhadrāye avalokanāya gatāḥ | sānyeṣām āha	putra BrAtRkAH AgatAH | BadrAye avalokanAya gatAH | sA anyezAm Aha
   bhuñjiṣyatha | te dān āhaṃsuḥ bhuñjiṣyaṃ | tāye tato dinnaṃ | āha | mṛṣṭaṃ	BuQjizyaTa | te dAn AhaMsuH BuQjizyam | tAye tatas dinnam | Aha | mRzwam
   khalv imaṃ | kuto imaṃ | sā dān āha | yuṣmākaṃ gṛhāto ānītaṃ | āhaṃsuḥ |	Kalu imam | kutas imam | sA dAn Aha | yuzmAkam gRhAtaH AnItam | AhaMsuH |
   asmākaṃ gṛhe na evaṃ mṛṣṭaṃ pacyati | āha | kiṃ yuṣmākaṃ bhadrāyiṇīyo	asmAkam gRhe na evam mRzwam pacyati | Aha | kim yuzmAkam BadrAyiNIyaH 
   ceṭiyo jāniṣyanti | kathaṃ paritavyan ti | evam evopakaraṇāni asphātikā	cewiyaH jAnizyanti | kaTam paritavyan ti | evam eva upakaraNAni asPAtikA
   kurvanti | te dāni gṛhaṃ gatvā tā dāsīyo daṇḍakaśāhatāyo kṛtāyo |	kurvanti | te dAni gRham gatvA tAH dAsIyaH daNxa kaSAhatAyaH kRta ayaH |
   itikitikāye dhītaro evam ettakam upakaraṇaṃ dadāmo yūyam asphātikaṃ	itikiti kAye DItaraH evam ettakam upakaraNam dadAmaH yUyam asPAtikam
   karotha | tā rodamānā āhaṃsuḥ | āryadhītā asmākaṃ hanāyeti | bhikṣuṇīhi	karoTa | tAH rodamAnAH AhaMsuH | Arya DItAH asmAkam hanAya iti | BikzuNIhi
   śrutaṃ | etaṃ prakaraṇaṃ | peyālaṃ | yāvad bhagavān āha | duṣkṛtaṃ te	Srutam | etam prakaraNam | peyAlam | yAvat BagavAn Aha | duzkRtam te
   bhadre | tena hi na kṣamati parāhṛtaṃ khādanīyam vā bhojanīyam vā pacitum	Badre | tena hi na kzamati parAhRtam KAdanIyam vA BojanIyam vA pacitum
   vā pacāyitum vā bhṛjjitum vā bhṛjjāpayitum vā |	vA pacAyitum vA BRjjitum vA BRt jApayitum vA |
