   akarot pṛthivīruhān api Ragh_8.70c	akarot pRTivIruhAn api RaG_8.70c
   prātānugaḥ sapadi śāsanam asya rājā Ragh_9.82a	prAta anugaH sapadi SAsanam asya rAjA RaG_9.82a
   prādurāsa kila vāhinīmukhe Ragh_11.63b	prAdurAsa kila vAhinI muKe RaG_11.63b
   prādurāsa bahūlakṣapā chaviḥ Ragh_11.15b	prAdurAsa bahUlakzapA CaviH RaG_11.15b
   prādurāsīd vasuṃdharā Ragh_15.83d	prAdurAsIt vasuMDarAH Rau _15.83d
   prādurbhavaṃś cāpadharaḥ purastāt Ragh_6.39b	prAdurBavan cApa DaraH purastAt RaG_6.39b
   prāpa cainam anukūlavāg dvijaḥ Ragh_11.50b	prApa ca enam anukUla vAc dvijaH RaG_11.50b
   prāpa tālīvanśyāmam Ragh_4.34c	prApa tAlIvanSyAmam RaG_4.34c
   prāpad astram avadānatoṣitāt Ragh_11.21b	prApat astram avadAna tozitAt RaG_11.21b
   prāpa dhvajacchāyanivāritoṣṇam Ragh_7.4d	prApa Dvaja= CAya nivArita uzNam Rau _7.4d
   prāpayya vālmīkipadaṃ tyajainām Ragh_14.45d	prApayya vAlmIki padam tyaja enAm Rau _14.45d
   prāpur dātṛtvam arthinaḥ Ragh_17.72d	prApuH dAtR tvam arTinaH Rau _17.72d
   prāptāni duḥkhāny api daṇḍakeṣu Ragh_14.25c	prAptAni duHKAni api daNxakezu RaG_14.25c
   prāptā muhūrtena vimānavegāt Ragh_13.17c	prAptAH muhUrtena vimAna vegAt RaG_13.17c
   prāptāsi vaidehi pitur niketam Ragh_14.72d	prAptA asi vEdehi pituH niketam Rau _14.72d
   prāpto 'si saṃbhāvayituṃ vanān mām Ragh_5.11d	prAptaH asi saMBAvayitum vanAt mAm RaG_5.11d
   prāpya cāśu jansthānaṃ Ragh_12.42a	prApya ca ASu jansTAnam RaG_12.42a
   prāpya dāśarathir āttakārmukaḥ Ragh_11.13b	prApya dASaraTiH Atta kArmukaH RaG_11.13b
   prāpya bhāgyam api tasya kāṅkṣyate Ragh_19.24b	prApya BAgyam api tasya kAFkzyate RaG_19.24b
   prāpyendranīlaṃ kim utonmayūkham Ragh_16.69d	prApya indranIlam kim uta unmayUKam Rau _16.69d
   prāpyeva cūtaḥ pratipallavena Ragh_7.21d	prApya iva cUtaH pratipallavena RaG_7.21d
   prābodhayann uṣasi vāgbhir udāravācaḥ Ragh_5.65d	prAboDayan uzasi vAgBiH udAra vAcaH Rau _5.65d
   prāyaścittam ivākarot Ragh_12.19d	prAyaScittam iva akarot Rau _12.19d
   prāyaḥ pratāpabhagnatvād Ragh_17.70a	prAyas pratApa Bagna tvAt RaG_17.70a
   prāyuṅkta rājasv adhirājasūnuḥ Ragh_7.61b	prAyuFkta rAjasu aDirAja sUnuH RaG_7.61b
   prāyopaveśanamatir nṛpatir babhūva Ragh_8.94d	prAya upaveSana matiH nRpatiH baBUva Rau _8.94d
   prāyo viṣāṇaparimoṣalaghūttamāṅgān Ragh_9.62a	prAyas vizANa parimoza laGu uttamAFgAn RaG_9.62a
   prārabdham ānandajalair jananyoḥ Ragh_14.7b	prArabDam Ananda jalEH jananyoH RaG_14.7b
   prārambhasukhadarśanam Ragh_10.9d	prAramBa suKa darSanam Rau _10.9d
   prārambhasūkṣmāḥ prathimānam āpuḥ Ragh_18.49d	prAramBa sUkzmAH praTimAnam ApuH Rau _18.49d
   prārthanaṃ punar abravīt Ragh_1.86d	prArTanam punar abravIt Rau _1.86d
   prārthanāsiddhiśaṃsinaḥ Ragh_1.42b	prArTanA sidDi SaMsinaH RaG_1.42b
   prārthayanta śayanotthitaṃ priyās Ragh_19.29c	prArTayanta Sayana utTitam priyAH Rau _19.29c
   prārthitaṃ hi sukṛtām akālahṛt Ragh_11.49*d	prArTitam hi sukRtAm akAla hRt Rau _11.49*d
   prālambam utkṛṣya yathāvakaśaṃ Ragh_6.14c	prAlambam utkRzya yaTAvakaSam RaG_6.14c
   prāvīṇyena visiṣmiye Ragh_15.68b	prAvINyena visizmiye RaG_15.68b
   prāvṛṣi pramadabarhiṇeṣv abhūt Ragh_19.37c	prAvRzi pramada barhiNezu aBUt Rau _19.37c
   prāvṛṣeṇyaṃ payovāhaṃ Ragh_1.36c	prAvRzeNyam payaH vA aham RaG_1.36c
   prāsādakālāgurudhūmarājis Ragh_14.12a	prAsAda kAlAguru DUma rAjiH RaG_14.12a
   prāsādajālair jalveṇiramyāṃ Ragh_6.43c	prAsAda jAlEH jalveNi ramyAm RaG_6.43c
   prāsādam abhraṃliham āruroha Ragh_14.29d	prAsAdam aBraMliham Aruroha RaG_14.29d
   prāsādavātāyanadṛśyabandhaiḥ Ragh_14.13c	prAsAda vAtAyana dRSya banDEH RaG_14.13c
   prāsādavātāyanadṛṣyavīciḥ Ragh_6.56c	prAsAda vAtAyana dRzya vIciH RaG_6.56c
   prāsādavātāyanasaṃśritānāṃ Ragh_6.24c	prAsAda vAtAyana saMSritAnAm RaG_6.24c
   prāsthānikaṃ svastyayanaṃ prayuja Ragh_2.70b	prAsTAnikam svastyayanam prayujaH RaG_2.70b
   prāsthāpayad rāghavam anvagāc ca Ragh_7.32d	prAsTApayat rAGavam anvagAt ca RaG_7.32d
   prāhiṇoc ca mahitaṃ mahādyutiḥ Ragh_11.49a	prAhiNot ca mahitam mahA dyutiH RaG_11.49a
   prāṃśum utpāṭayām āsa Ragh_15.19c	prAMSum utpAwayAm AsaH RaG_15.19c
   prāṃśulabhye phale lobhād Ragh_1.3c	prAMSulaBye Pale loBAt RaG_1.3c
   priyatamān akarot kalahāntare Ragh_9.27*c	priyatamAn akarot kalaha antare RaG_9.27*c
   priyatamābhir asau tiṛbhir babhau Ragh_9.23a	priyatamABiH asO tiRBiH baBO RaG_9.23a
   priyatamā yatamānam apāharā Ragh_9.7d	priyatamA yatamAnam apAharAH Rau _9.7d
   priyanāśaṃ hṛdi śalyam arpitam Ragh_8.88b	priya nASam hRdi Salyam arpitam RaG_8.88b
   priyaśiṣyā lalite kalāvidhau Ragh_8.67b	priya SizyA lalite kalA viDO RaG_8.67b
   priyasakhī laghuvāg iva yoṣitām Ragh_9.27*b	priya saKI laGu vAc iva yozitAm RaG_9.27*b
   priyasuhṛdi vibhīṣaṇe saṃgamayya śriyaṃ vairiṇaḥ Ragh_12.104b	priya suhRdi viBIzaNe saMgamayya Sriyam vEriNaH RaG_12.104b
   priyasvapno vṛthā bhavān Ragh_12.81b	priya svapnaH vRTA BavAn RaG_12.81b
   priyaṃkaro me priya ity anandat Ragh_14.48b	priyaMkaraH me priyaH iti anandat RaG_14.48b
   priyaṃvadaṃ māṃ priyadarśanasya Ragh_5.53d	priyaMvadam mAm priya darSanasya Rau _5.53d
   priyaṃvadaḥ pratyavadat sureśvaram Ragh_3.64d	priyaMvadaH pratyavadat sureSvaram Rau _3.64d
   priyaṃvadāt prāpam asau kumāraḥ Ragh_7.61a	priyaMvadAt prApam asO kumAraH RaG_7.61a
   priyāitambocitasaṃniveśair Ragh_6.17c	priyAitamba ucita saMniveSEH RaG_6.17c
   priyā kekayavaṃśajā Ragh_10.56b	priyA kekaya vaMSa jAH RaG_10.56b
   priyānurāgasya manaḥsamunnater Ragh_3.10a	priya anurAgasya manaH samunnateH RaG_3.10a
   priyā prapede prakṛtipriyaṃvadā Ragh_3.2Ad	priyA prapede prakRti priyaMvadA Rau _3.2Ad
   priyāliṅgananirvṛtim Ragh_12.65d	priya AliFgana nirvRtim RaG_12.65d
   priyāsakhīr uttarakosaleśvaraḥ Ragh_3.5d	priyA saKIH uttara kosala ISvaraH Rau _3.5d
   priyopabhogacihneṣu Ragh_12.22c	priya upaBoga cihnezu RaG_12.22c
   prītā kāmadughā hi sā Ragh_1.81d	prItA kAmaduGA hi sA Rau _1.81d
   prītāsmi te putra varaṃ vṛṇīṣva Ragh_2.63b	prItA asmi te putra varam vRNIzva RaG_2.63b
   prītāsmi te saumyacirāya jīva Ragh_14.59b	prItA asmi te sOmya cirAya jIvaH RaG_14.59b
   prītimān saparigrahaḥ Ragh_1.92b	prItimAn sa parigrahaH RaG_1.92b
   prītim āpur ubhayos tapasvinaḥ Ragh_11.12d	prItim ApuH uBayoH tapasvinaH Rau _11.12d
   prītirodham asahiṣṭa sā purī Ragh_11.52c	prIti roDam asahizwa sA purI Rau _11.52c
   prītyā tam evārtham abhāṣateva Ragh_2.51d	prItyA tam eva arTam aBAzata iva RaG_2.51d
   prītyā dvandvaṃ babhūvatuḥ Ragh_10.82d	prItyA dvandvam baBUvatuH RaG_10.82d
   prītyā pratinanandatuḥ Ragh_1.57d	prItyA pratina nandatuH RaG_1.57d
   prītyāśvamedhāvabhṛthārdramūrteḥ Ragh_6.61c	prItyA aSvameDa avaBRTa Ardra mUrteH RaG_6.61c
   prekṣya cūtakusumaṃ sapallavam Ragh_19.43b	prekzya cUta kusumam sa pallavam RaG_19.43b
   prekṣya darpaṇatalstham ātmano Ragh_19.30a	prekzya darpaNa talsTam AtmanaH RaG_19.30a
   prekṣya śāntim adhikṛtya kṛtyavit Ragh_11.62b	prekzya SAntim aDikRtya kRtya vid RaG_11.62b
   prekṣya sthitāṃ sahacarīṃ vyavadhāya deham Ragh_9.57b	prekzya sTitAm sahacarIm vyavaDAya deham RaG_9.57b
   preṅkhayan parijanāpaviddhayā Ragh_19.44b	preFKayan parijana apavidDayA RaG_19.44b
   pretacīvaravasā svanograyā Ragh_11.16b	preta cIvara vasA svanA ugrayA RaG_11.16b
   premagarvitavipakṣamatsarād Ragh_19.20a	prema garvita vipakza matsarAt RaG_19.20a
   premadattavadanāniaḥ manaḥ Ragh_19.15c	prema datta vat ana an iaH manaH RaG_19.15c
   praikṣanta paurāḥ pitṛgauraveṇa Ragh_18.39d	prEkzanta pOrAH pitR gOraveNa RaG_18.39d
   provāca kosalapatiḥ prathamāparāddhaḥ Ragh_9.79d	provAca kosala patiH praTama aparAdDaH Rau _9.79d
   provāca pūrvārdhaviṣṛṭatalpaḥ Ragh_16.6d	provAca pUrva arDa vizRwa talpaH Rau _16.6d
   prauḍhapriyānayanavibhramaceṣṭitāni Ragh_9.58d	prOXa priya Anayana viBrama cezwitAni RaG_9.58d
   prauḍhībhaviṣyantam udīkṣamāṇā Ragh_18.47b	prOXI Bavizyantam udIkzamANA RaG_18.47b
   plakṣapraroha iva saudhatalaṃ bibheda Ragh_8.93b	plakza prarohaH iva sODa talam biBeda RaG_8.93b
   plakṣān prarohajaṭilān iva mantrivṛddhān Ragh_13.71b	plakzAn praroha jawilAn iva mantri vRdDAn RaG_13.71b
   plavagair lavaṇāmbhasi Ragh_12.70b	plavagEH lavaNa amBasi RaG_12.70b
   phalam asyopahāsasya Ragh_12.37a	Palam asya upahAsasya RaG_12.37a
   phalavatpūgamālinā Ragh_4.44b	Palavat pUga mAlinA RaG_4.44b
   phalaṃ badhnanti nītayaḥ Ragh_12.69d	Palam baDnanti nItayaH Rau _12.69d
   phalānumeyāḥ prārambhāḥ Ragh_1.20c	Pala anumeyAH prAramBAH RaG_1.20c
   phalāny upāyuṅkta sa daṇḍanīteḥ Ragh_18.46d	PalAni upAyuFkta sa daNxanIteH Rau _18.46d
   phalitā iva sālayaḥ Ragh_15.78d	PalitAH iva sa AlayaH Rau _15.78d
   phalena sahakārasya Ragh_4.9c	Palena sahakArasya RaG_4.9c
   phalaiḥ saṃvardhayām āsur Ragh_4.37c	PalEH saMvarDayAm AsuH RaG_4.37c
   phullāsanāgraviṭapān iva vāyurugṇān Ragh_9.63b	Pulla Asana agra viwapAn iva vAyu H ugNAn RaG_9.63b
   phuṣpodgama iva prajāḥ Ragh_4.9d	Puzpa udgamaH iva prajAH Rau _4.9d
   bakulapuṣpam asevyata ṣaṭpadaiḥ Ragh_9.30*c	bakula puzpam asevyata zawpadEH RaG_9.30*c
   bakulam ākulam āyatapaṅktibhiḥ Ragh_9.33d	bakulam Akulam Ayata paFktiBiH Rau _9.33d
   bakulair ardhacitāṃ samaṃ mayā Ragh_8.64b	bakulEH arDa citAm samam mayA RaG_8.64b
   bagnāyudhau bāhuvimardaniṣṭhau Ragh_7.52d	bagna AyuDO bAhu vimarda nizWO Rau _7.52d
   baddhadviradasetubhiḥ Ragh_4.38b	badDa dvirada setuBiH RaG_4.38b
   baddhapallavapuṭāñjalidrumaṃ Ragh_11.23c	badDa pallava puwa aQjali drumam RaG_11.23c
   baddhapratiśrunti guhāmukhāni Ragh_16.31d	badDa pratiSrunti guhA muKAni RaG_16.31d
   baddhabhīmapairveṣamaṇḍalaḥ Ragh_11.59b	badDa BImapEH veza maNxalaH RaG_11.59b
   baddhuṃ na saṃbhāvita eva tāvat Ragh_7.6c	badDum na saMBAvitaH eva tAvat RaG_7.6c
   badhnāti me bandhuragātri cakṣur Ragh_13.47c	baDnAti me banDuH agAtri cakzuH RaG_13.47c
   badhyatām abhayayācanāñjaliḥ Ragh_11.78d	baDyatAm aBaya yAcana aQjaliH Rau _11.78d
   bandīkṛṭānām iva paddhatī dve Ragh_6.55d	bandI kRwAnAm iva padDatI dve Rau _6.55d
   bandhacchedaṃ sa baddhānāṃ Ragh_17.19a	banDa= Cedam sa badDAnAm RaG_17.19a
   bandhujīvapṛthubhiḥ pradūṣitām Ragh_11.25b	banDu jIva pRTuBiH pradUzitAm RaG_11.25b
   babandha sā nottamasaukumāryā Ragh_6.36c	babanDa sA na uttama sOkumAryAH RaG_6.36c
   babādhe na ca tena tau Ragh_17.57b	babADe na ca tena tO RaG_17.57b
   babādhe vāyaso balāt Ragh_12.22*d	babADe vAyasaH balAt RaG_12.22*d
   babhuḥ pibantaḥ paramārthamatsyāḥ Ragh_7.40c	baBuH pibantaH parama arTa matsyAH RaG_7.40c
   babhūva kṛtasaṃskārā Ragh_10.37c	baBUva kRta saMskArAH Rau _10.37c
   babhūvatur dvau saviśeṣakāntau Ragh_16.53b	baBUvatuH dvO sa viSeza kAntO RaG_16.53b
   babhūva tenātitarāṃ suduḥsahaḥ Ragh_3.37c	baBUva tena atitarAm su duHsahaH RaG_3.37c
   babhūva bhāveṣu dilīpanandanaḥ Ragh_3.41d	baBUva BAvezu dilIpa nandanaH Rau _3.41d
   babhūva yat prema parasparāśrayam Ragh_3.24b	baBUva yat prema paraspara ASrayam RaG_3.24b
   babhūva yuddhaṃ tumuulaṃ jayaiṣiṇor Ragh_3.57c	baBUva yudDam tumuulam jaya eziNoH RaG_3.57c
   babhūva yogī kila kārtavīryaḥ Ragh_6.38d	baBUva yogI kila kArtavIryaH Rau _6.38d
   babhūva raghuceṣṭitam Ragh_4.68d	baBUva raGu cezwitam Rau _4.68d
   babhūva rāmaḥ sahasā sabāṣpas Ragh_14.84a	baBUva rAmaH sahasA sa bAzpaH RaG_14.84a
   babhūva vajrākarabhuṣaṇāyāḥ Ragh_18.21c	baBUva vajra Akara BuzaNAyAH RaG_18.21c
   babhūva vasatir yataḥ Ragh_15.11b	baBUva vasatiH yatas RaG_15.11b
   babhūva viniyogajñaḥ Ragh_17.67c	baBUva viniyoga jQaH RaG_17.67c
   babhūva sarvaṃ śubhaśaṃsi tatkṣaṇaṃ Ragh_3.14c	baBUva sarvam SuBa SaMsi tad kzaNam RaG_3.14c
   babhūva saha mantribhiḥ Ragh_17.50b	baBUva saha mantriBiH RaG_17.50b
   babhūvur ālekhyasamarpitā iva Ragh_3.15d	baBUvuH AleKya samarpitAH iva RaG_3.15d
   babhūvur itthaṃ purasundarīṇāṃ Ragh_7.5c	baBUvuH itTam pura sundarINAm RaG_7.5c
   babhūvur udyānavihārakalpāḥ Ragh_5.41d	baBUvuH udyAna vihAra kalpAH Rau _5.41d
   babhau ca sā tena satāṃ matena Ragh_2.16c	baBO ca sA tena satAm matena RaG_2.16c
   babhau tam anugacchantī Ragh_12.26a	baBO tam anugacCantI RaG_12.26a
   babhau pauravibhūtibhiḥ Ragh_15.29b	baBO pOra viBUtiBiH RaG_15.29b
   babhau balaughaḥ śaśinoditena Ragh_16.27c	baBO bala oGaH SaSinA uditena RaG_16.27c
   babhau bhūyaḥ kumāratvād Ragh_17.30a	baBO BUyas kumAra tvAt RaG_17.30a
   babhau sa daśanajyotsnā Ragh_10.38a	baBO sa daSana jyotsnA RaG_10.38a
   babhau sa bhindan bṛhatas taraṅgān Ragh_5.45c	baBO sa Bindan bRhataH taraFgAn RaG_5.45c
   babhau harajaṭābhraṣṭāṃ Ragh_4.32c	baBO hara jawA BrazwAm RaG_4.32c
   balam ārtabhayopaśāntaye Ragh_8.31a	balam Arta Baya upaSAntaye RaG_8.31a
   balātkārakacagrahaiḥ Ragh_10.48d	balAtkAra kaca grahEH RaG_10.48d
   balāny amṛdnān nalinābhavaktraḥ Ragh_18.5d	balAni amRdnAn nalina ABa vaktraH Rau _18.5d
   balikriyāvarjitasaikatāni Ragh_16.21a	bali kriyA varjita sEkatAni RaG_16.21a
   balipradiṣṭaṃ śriyam ādadānaṃ Ragh_7.35c	bali pradizwam Sriyam AdadAnam RaG_7.35c
   bale mahati rakṣasām Ragh_12.49b	bale mahati rakzasAm RaG_12.49b
   balair adhuṣitās tasya Ragh_4.46a	balEH aDuzitAH tasya RaG_4.46a
   bahudhāpy āgamair bhinnāḥ Ragh_10.27a	bahuDA api AgamEH BinnAH RaG_10.27a
   bahvyamukhyāḥ samārambhāḥ Ragh_17.53a	bahvya muKyAH samAramBAH RaG_17.53a
   bāḍham eṣu divaseṣu Ragh_19.52a	bAXam ezu divasezu RaG_19.52a
   bāṇabhinnahṛdayā nipetuṣī Ragh_11.19a	bANa Binna hRdayA nipetuzI RaG_11.19a
   bāṇam āśrayamukhāt samuddharan Ragh_11.26b	bANam ASraya muKAt samudDaran RaG_11.26b
   bāṇaṃ kṛpāmṛdhumanāḥ pratisaṃjahāra Ragh_9.57d	bANam kRpA mRDu manAH pratisaMjahAraH RaG_9.57d
   bāṇākṣarair eva parasparasya Ragh_7.38c	bANa akzarEH eva parasparasya RaG_7.38c
   bālatvād avitathasūnṛtena sūnoḥ Ragh_8.92b	bAla tvAt avitaTa sUnRtena sUnoH RaG_8.92b
   bālasūnur avalokya bhārgavaṃ Ragh_11.67c	bAla sUnuH avalokya BArgavam RaG_11.67c
   bālātapanibhāṃśukam Ragh_10.9b	bAla Atapa niBa aMSukam RaG_10.9b
   bālātapam ivābjānām Ragh_4.61c	bAla Atapam iva abjAnAm RaG_4.61c
   bālām abālendumukhīṃ babhāṣe Ragh_6.53d	bAlAm abAla indu muKIm baBAze Rau _6.53d
   bālāruṇo 'bhūd rudhirapravāhaḥ Ragh_7.42d	bAla aruNaH aBUt ruDira pravAhaH RaG_7.42d
   bālārkapratimevāpsu Ragh_12.100a	bAla arka pratimA iva apsu RaG_12.100a
   bālyāt parām iva daśāṃ madano 'dhyuvāsa Ragh_5.63d	bAlyAt parAm iva daSAm madanaH aDyuvAse RaG_5.63d
   bāṣpāyamāṇo balimanniketam Ragh_14.15c	bAzpAyamANaH balimat niketam RaG_14.15c
   bāhupratiṣṭambhavivṛddhamanyur Ragh_2.32a	bAhu pratizwamBa vivRdDa manyuH RaG_2.32a
   bāhubhir viṭapākārair Ragh_10.11a	bAhuBiH viwapa AkArEH RaG_10.11a
   bipakṣabhāve ciram asya tasthuṣaḥ Ragh_3.62b	bipa kzaBAve ciram asya tasTuzaH RaG_3.62b
   bibharti yaś cāpabhṛtāṃ purogaḥ Ragh_6.55b	biBarti yaH ca apaBRtAm purogaH RaG_6.55b
   bibharṣi cākāram anirvṛtānāṃ Ragh_16.7c	biBarzi ca AkAram anirvRtAnAm RaG_16.7c
   bibhide na kadācana Ragh_10.83b	biBide na kadAcana RaG_10.83b
   bibhratī śvetaromāṅkaṃ Ragh_1.83c	biBratI Sveta roma aFkam RaG_1.83c
   bibhratī sāsitetarām Ragh_1.82*b	biBratI sa asitetarAm RaG_1.82*b
   bibhrato 'stram acale 'py akuṇṭhitaṃ Ragh_11.74a	biBrataH astram acale api akuNWitam RaG_11.74a
   bibhratyā kaustubhaṃ nyāsaṃ Ragh_10.63a	biBratyA kOstuBam nyAsam RaG_10.63a
   bibhrāṇaṃ bṛhatorasā Ragh_10.10d	biBrANam bRhata urasAH Rau _10.10d
   bilamagnāv ivoragau Ragh_12.5d	bila magnO iva uragO RaG_12.5d
   bījaprarohajananīṃ jvalanaḥ karoti Ragh_9.80d	bIja praroha jananIm jvalanaH karoti Rau _9.80d
   bījaṃ ca bāleyam akṛṣṭarohi Ragh_14.77b	bIjam ca bAlA iyam akRzwarohi RaG_14.77b
   buddhim ādiśya coditaḥ Ragh_12.68d	budDim AdiSya coditaH RaG_12.68d
   buddher ivāvyaktam udāharanti Ragh_13.60d	budDeH iva avyaktam udAharanti Rau _13.60d
   bubudhe cādipūruṣaḥ Ragh_10.6b	bubuDe ca Adi pUruzaH RaG_10.6b
   bubudhe vikṛteti tām Ragh_12.39d	bubuDe vikRtA iti tAm RaG_12.39d
   bubhūje pṛthivīpālaḥ Ragh_15.1c	buBUje pRTivIpAlaH RaG_15.1c
   bṛhatsu danteṣv asibhiḥ patadbhiḥ Ragh_7.48b	bRhatsu dantezu asiBiH patadBiH RaG_7.48b
   brahma rṣibhiḥ paraṃ brahma Ragh_10.64c	brahma rziBiH param brahma Rau _10.64c
   brahmiṣṭham ādhāya nije 'dhikāre Ragh_18.28c	brahmizWam ADAya nije aDikAre RaG_18.28c
   brahmiṣṭham eva svatanuprasūtam Ragh_18.28d	brahmizWam eva sva tanu prasUtam Rau _18.28d
   brāhmam astraṃ priyāśoka Ragh_12.97c	brAhmam astram priya aSokaH RaG_12.97c
   brāhmaṃ saraḥ kāraṇam āptavāco Ragh_13.60c	brAhmam saraH kAraNam Apta vAcaH RaG_13.60c
   brāhme muhūrte kila tasya devī Ragh_5.36a	brAhme muhUrte kila tasya devI RaG_5.36a
   bhaktir bhuvaś candanakalpiteva Ragh_13.55d	BaktiH BuvaH candana kalpitA iva RaG_13.55d
   bhaktiḥ pratīkṣyeṣu kulocitā te Ragh_5.14a	BaktiH pratIkzyezu kula ucitA te RaG_5.14a
   bhaktyā gurau mayy anukampāya ca Ragh_2.63a	BaktyA gurO mayi anukampAya ca RaG_2.63a
   bhaktyopapanneṣu hi tavidhānāṃ Ragh_2.22c	BaktyA upapannezu hi taviDAnAm RaG_2.22c
   bhagavan paravān ayaṃ janaḥ Ragh_8.81a	Bagavan paravAn ayam janaH RaG_8.81a
   bhagnākṣaparyastarathaṃ kṣaṇena Ragh_5.49b	Bagna akza paryasta raTam kzaNena RaG_5.49b
   bhagnaiś ca bahudhā nṛpaiḥ Ragh_4.33b	BagnEH ca bahuDA nRpEH RaG_4.33b
   bhaṅgaṃ jayaṃ cāpatur avyavastham Ragh_7.54b	BaFgam jayam ca apatuH avyavasTam RaG_7.54b
   bhaṅgyo bhruvāṃ dvandvacarāḥstanānām Ragh_16.63b	BaFgyaH BruvAm dvandva carAH stanAnAm RaG_16.63b
   bhajate kaiva kathā śarīriṣu Ragh_8.43d	Bajate kA eva kaTA SarIrizu Rau _8.43d
   bhajyamānam atimātrakarṣaṇāt Ragh_11.46a	BajyamAnam atimAtra karzaNAt RaG_11.46a
   bhadrapīṭhopaveśitam Ragh_17.10d	BadrapIWa upaveSitam RaG_17.10d
   bhayam apralayodvelād Ragh_10.35c	Bayam apralaya udvelAt RaG_10.35c
   bhayaruṣoś ca tadiṅgitabodhanam Ragh_9.49b	Baya ruzoH ca tad iFgita boDanam RaG_9.49b
   bhayād giriguhāśayaḥ Ragh_17.52d	BayAt giri guhA ASayaH Rau _17.52d
   bhayotsṛṣṭavibhūṣāṇāṃ Ragh_4.54a	Baya utsRzwa viBUzANAm RaG_4.54a
   bharatas tatra gandharvān Ragh_15.88a	BarataH tatra ganDarvAn RaG_15.88a
   bharatāgamanaṃ punaḥ Ragh_12.24b	Barata Agamanam punar RaG_12.24b
   bharatāya dhṛtaprajaḥ Ragh_15.87d	BaratAya DRta prajaH Rau _15.87d
   bharato nāma śīlavān Ragh_10.71b	BarataH nAma SIlavAn RaG_10.71b
   bhartari prahitekṣaṇām Ragh_15.84b	Bartari prahita IkzaNAm RaG_15.84b
   bhartaṃ stambhitāśrubhiḥ Ragh_12.12d	Bartam stamBita aSruBiH Rau _12.12d
   bhartāpi tāvat krathakaiṣikānām Ragh_7.32a	BartA api tAvat kraTa kEzikAnAm RaG_7.32a
   bhartuḥ saṃgrāmayāyinaḥ Ragh_17.8d	BartuH saMgrAma yAyinaH Rau _17.8d
   bhartṛlokaprapannānāṃ Ragh_15.91c	BartR loka prapannAnAm RaG_15.91c
   bhartṛśu vyaktavikramam Ragh_4.68b	BartRSu vyakta vikramam RaG_4.68b
   bhartrā tatsaṃśrutau varau Ragh_12.5b	BartrA tad saMSrutO varO RaG_12.5b
   bhartre divo nāpy alakeśvarāya Ragh_16.42d	Bartre divaH na api alakeSvarAya Rau _16.42d
   bhallāpavarjitais teṣāṃ Ragh_4.63a	BallApa varjitEH tezAm RaG_4.63a
   bhavatā nānumṛtāpi labhyate Ragh_8.85b	BavatA na anumRtA api laByate RaG_8.85b
   bhavati viralabhaktir mlānapuṣpopahāraḥ Ragh_5.74a	Bavati virala BaktiH mlAna puzpa upahAraH RaG_5.74a
   bhavadgurur laṅghayituṃ mamodyataḥ Ragh_3.48d	Bavat guruH laFGayitum mama udyataH Rau _3.48d
   bhavane cāsya petuṣī Ragh_10.78b	Bavane ca asya petuzI RaG_10.78b
   bhavantam īḍaṃ bhavataḥ piteva Ragh_5.34d	Bavantam Ixam BavataH pitA iva RaG_5.34d
   bhavān apīdaṃ paravān avaiti Ragh_2.56a	BavAn api idam paravAn avEti RaG_2.56a
   bhavitāsi tataḥ kṛtī Ragh_15.47d	BavitAsi tatas kRtI Rau _15.47d
   bhaved aluptaś ca muneḥ kriyārthaḥ Ragh_2.55d	Bavet aluptaH ca muneH kriyA arTaH Rau _2.55d
   bhavo hi lokābhyudayāya tādṛśām Ragh_3.14d	BavaH hi loka aByudayAya tAdRSAm RaG_3.14d
   bhasmasāt kṛtavataḥ pitṛdviṣaḥ Ragh_11.86a	BasmasAt kRtavataH pitR dvizaH RaG_11.86a
   bhasmāṅgarāgā tanur īśvarasya Ragh_13.57b	Basma aFgarAgA tanuH ISvarasya RaG_13.57b
   bhasmāvaśeṣīkṛtavigrahāṇām Ragh_16.34b	Basma avaSezIkRta vigrahANAm RaG_16.34b
   bhāgadheyocitair mṛgaiḥ Ragh_1.50d	BAgaDeya ucitEH mRgEH RaG_1.50d
   bhāgīrathītīratapovanāni Ragh_14.28d	BAgIraTI tIra tapaH vanAni RaG_14.28d
   bhārgavasya sukṛto 'pi so 'bhavat Ragh_11.88c	BArgavasya sukRtaH api saH aBavat RaG_11.88c
   bhārgavāya dṛḍhamanyave punaḥ Ragh_11.46c	BArgavAya dRXa manyave punar RaG_11.46c
   bhārgave smitavikampitādharaḥ Ragh_11.79b	BArgave smita vikampita aDaraH RaG_11.79b
   bhārgavo 'tha nijam āśramaṃ yayau Ragh_11.91*d	BArgavaH aTa nijam ASramam yayO RaG_11.91*d
   bhāvāvabodhakaluṣā dayiteva rātrau Ragh_5.64c	BAva avaboDa kaluzA dayitA iva rAtrO RaG_5.64c
   bhāvitātmā bhuvo bhartur Ragh_1.74c	BAvitAtmA BuvaH BartuH RaG_1.74c
   bhāskaraś ca diśam adhyuvāsa yāṃ Ragh_11.61a	BAskaraH ca diSam aDyuvAsa yAm RaG_11.61a
   bhāskarasya madhumādhavāv iva Ragh_11.7d	BAskarasya maDu mADavO iva RaG_11.7d
   bhāsvān iva raghur diśam Ragh_4.66b	BAsvAn iva raGuH diSam RaG_4.66b
   bhittvā nirākrāmad arālakeśyāḥ Ragh_6.81d	BittvA nirAkrAmat arAlakeSyAH Rau _6.81d
