   saptama ucchvāsaḥ	saptamaH ucCvAsaH
   dantavīṇopadeśācāryāścyotanticandrabhāsāmambhasāṃ maṇiśalākābhyo	danta-vINa-upadeSa-AcAryAH-cyotanti-candra-BAsAm-amBasAm maNi-SalAka-aByaH-
   yāvadicchamacchā dhārāḥ /	yAvat-icCam-acCAH DArAH /
   pracetā iva yaścaturṇāmarṇavānāmadhipatirbhūto bhāvī vā tamidamanugṛhṇāti	pracetAH iva yaH-caturNAm-arNavAnAm-aDipatiH-BUtaH BAvI vA tam-idam-anugRhNAti
   cchāyayā netaram /	cCAyayA na-itaram /
   idaṃ ca na saptārcirdahati, na pṛṣadaśvo harati, nodakamārdrayati, na	idam ca na saptArciH-dahati, na pRzadaSvaH harati, na-udakam-Ardrayati, na
   rajāṃsi malinayanti, na jarā jarjarayatīti /	rajAMsi malinayanti, na jarA jarjarayati-iti /
   etattāvadanugṛhṇātu dṛśā devaḥ saṃdeśamapi visrabdhaṃ śroṣyati' /	etat-tAvat-anugRhNAtu dRSA devaH saMdeSam-api visrabDam Srozyati-a /
   ityevamabhidhāya vivṛtyātmīyaṃ puruṣamabhyadhāt--"uttiṣṭha! darśaya	iti-evam-aBiDAya vivRtya-AtmIyam puruzam-aByaDAt--"uttizWa! darSaya
   devasya' iti /	devasya-a iti /
   sa ca vacanānantaramutthāya pumānūrdhvīcakāra taddhautadukūlakalpitācca	sa ca vacana-anantaram-utTAya pumAn-UrDvI-cakAra tad-DOta-dukUla-kalpitAt-ca
   nicolakādakoṣīt /	nicolakAt-akozIt /
   ākṛṣyamāṇa eva ca yasminnatisitamahasi sarabhasamahāsīva hareṇa,	AkRzyamANaH eva ca yasmin=-atisita-mahasi saraBasa-mahAsi-iva hareNa,
   rasātalādudalāsīva śeṣaphaṇiphaṇāphalakamaṇḍalena, asthāyīva	rasAtalAt-udala-Asi-iva Seza-PaNi-PaNA-Pala-kamaNxalena, asTAyi-iva
   cakrībhūyāntarikṣe kṣīrodena, aghaṭīva gaganāṅgane gīṣṭhībandhaḥ śāradena	cakrIBUya-antarikze kzIrodena, aGawI-iva gagana-aFgane gIzWI-banDaH SAradena
   balāhakavyahaina, viśrāntamiva vitatapakṣatinā viyati	balAhaka-vyaha-ena, viSrAntam-iva vitata-pakzatinA viyati
   pātāmahavimānahaṃsayūthena, atrinetranirgatasya	pAtAmaha-vimAna-haMsa-yUTena, atri-netra-nirgatasya
   dhavaladhāmamaṇḍalamanoharo dṛṣṭa iva janena janmadivasaḥ kumudabandhoḥ	Davala-DAma-maNxala-manoharaH dRzwaH iva janena janma-divasaH kumuda-banDoH
   pratyakṣīkṛta ivodgamanakṣaṇo nārāyaṇanābipuṇḍarīkasya, āhiteva	pratyakzIkRtaH iva-udgama-nakzaNaH nArAyaNa-nAbi-puNxarIkasya, AhitA-iva
   kīmudīpradoṣadarśanānandatṛptirakṣṇām, udamāṅkṣīdiva	kImudI-pradoza-darSana-Ananda-tRptiH-akzNAm, udamAFkzIt-iva
   mandākinīpulinamaṇḍalaṃ mahadambarodare, parivartita iva divasaḥ	mandAkinI-pulina-maNxalam mahat-ambara-udare, parivartitaH iva divasaH
   paurṇamāsīniśayā, mandaṃmandamindūdayasaṃdehadūyamānamānasairvighaṭitaṃ	pOrNamAsI-niSayA, mandaMman-dam-indu-udaya-saMdeha-dUyamAna-mAnasEH-viGawitam
   ghaṭamānacañcucyutamṛṇālakoṭibhirāsannakamalinīcakravākamithunaiḥ,	GawamAna-caQcu-cyuta-mRNAla-kowiBiH-Asanna-kamali-nI-cakravAka-miTunEH,
   śarajjaladharapaṭalāśaṅkāsaṃkocitakekāravamūkamukhapuṭaiḥ parāṅmukhībhūtaṃ	Sarad-jalaDara-pawala-ASaFkA-saMkocita-kekAravamUka-muKa-puwEH parAFmuKIBUtam
   bhavanaśikhaṇḍimaṇḍalaiḥ,	Bavana-SiKaNxi-maNxalEH,
   prabuddhamābaddhacandrānandoddāmoddaladdalapuṭāṭṭahāsaviśadaṃ	prabudDam-AbadDa-candra-Ananda-uddAma-uddala-t-dala-puwa-awwahAsa-viSadam
   kumudaṣaṇḍaiḥ /	kumuda-zaNxEH /
   citrīyamāṇacetāśca sarājako rājā daṇḍānusārādhirohiṇyā dṛṣṭyā	citrIyamANa-cetAH-ca sa-rAjakaH rAjA daNxa-anusAra-aDirohiNyA dRzwyA
   sādaramaikṣiṣṭa tattiṃlakamiva tribhuvanasya, śaiśavamiva śvetadvīpasya,	sAdaram-Ekzizwa tat-tiMlakam-iva triBuvanasya, SESavam-iva SvetadvIpasya,
   aṃśāvatāramiva śaradindoḥ, hṛdayamiva dharmasya, niveśamiva śaśilokasya,	aMSa-avatAram-iva Sarad-indoH, hRdayam-iva Darmasya, niveSam-iva SaSi-lokasya,
   dantamaḍalakadyutidhavalaṃ mukhamiva cakravartitvasya,	danta-maxalaka-dyuti-Davalam muKam-iva cakravarti-tvasya,
   mauktikajālaparikarasitaṃ sīmantacakramiva divaḥ,	mOktika-jAla-parikara-sitam sImanta-cakram-iva divaH,
   bahalajyotsnāśuklodaramaindavamiva pariveṣavalayaṃ	bahala-jyotsnA-Sukla-udaram-Endavam-iva pariveza-valayam
   śauklyāpahasitaśaṅkhaśrīkaṃ śravaṇamaṇḍalamiva niścalatāṃ	SOklya-apahasita-SaFKa-SrIkam SravaNa-maNxalam-iva niScala-tAm
   gatamairāvatasya, śvetagaṅgāvartapāṇḍuraṃ padamiva tribhuvanavandanīyaṃ	gatam-ErAvatasya, Sveta-gaFgA-Avarta-pANxuram padam-iva triBuvana-vandanIyam
   trivikramasya, pracetasaścūḍāmaṇimarīciśikhābhiriva	trivikramasya, pracetasaH-cUxAmaNi-marIci-SiKABiH-iva
   śliṣṭhābhirmānasabisatantumayībhiścāmarikāvalībhirviracitapariveṣam, upari	SlizWABiH-mAnasa-bisa-tantu-mayIBiH-ca-amarikA-AvalIBiH-viracita-parivezam, upari
   cakravartilakṣmīnūpurasvanaśravaṇadohadaniścaleneva lakṣmaṇā vitatapatreṇa	cakravarti-lakzmI-nUpura-svana-SravaNa-dohada-niScalena-iva lakzmaNAH vitata-patreNa
   haṃsena sanāthīkṛtaśikharam, sparśavatā ca prabhāvastambhitena	haMsena sanATIkRta-SiKaram, sparSavatA ca praBAva-stamBitena
   mandākinīmṛṇālena mukulitaphaṇena vāsukineva nītena daṇḍatāṃ dyotamānam,	mandAkinI-mRNAlena mukulita-PaNena vAsukineva nItena daNxa-tAm dyotamAnam,
   dhavalimnā kṣālayadiva nakṣatrapatham, prabāpravāhaprathimnā prāvṛṇvadiva	DavalimnA kzAlayat-iva nakzatra-paTam, prabA-pravAha-praTimnA prAvRNvat-iva
   divasam, samucchrāyeṇādhaḥkurvadiva divam, uparisthitamiva	divasam, samucCrAyeNa-aDaHkurvat-iva divam, upari-sTitam-iva
   sarvamaṅgalānām, śvetamaṇḍapamiva śriyaḥṣa stabakamiva brahnastambasya,	sarva-maFgalA-nAm, Sveta-maNxapam-iva SriyaHza stabakam-iva brahna-stambasya,
   nābhimaṇḍalamiva jyotsnāyāḥ, viśadahāsamiva kīrteḥ, phenarāśimiṃva	nABi-maNxalam-iva jyotsnAyAH, viSada-hAsam-iva kIrteH, Pena-rASim-iMva
   khaḍgadhārājalānām, yaśaḥ paṭalamiva śauryaśālitāyāḥ, trailaukyādbhutaṃ	Kaxga-DArA-jalA-nAm, yaSaH pawalam-iva SOrya-SAlitAyAH, trElOkya-adButam
   mahacchatram /	mahat-Catram /
   dṛṣṭe tasmin rājñā prathame śeṣamapi prābhṛtaṃ prakāśayāñcakruḥ krameṇa	dRzwe tasmin rAjQA praTame Sezam-api prABRtam prakASayAQcakruH krameNa
   kārmāḥ /	kArmAH /
   tadyathā parārdhyaratnāṃśuśoṇīkṛtadigbhāgān,	tat-yaTA parArDya-ratna-aMSu-SoNIkRta-digBAgAn,
   bhagadattaprabhṛtikhyātapārthivaparāgatānāhatalakṣaṇānalaṅkārān,	Bagadatta-praBRti-KyAta-pArTiva-parAgatAn-Ahata-lakzaNAn-alaFkArAn-,
   prabālepināṃ ca cūḍāmaṇīnāṃ samutkarṣān, kṣīrodadherdhavalatāhetūniva	prabAlepinAm ca cUxAmaNInAm samutkarzAn, kzIrodaDeH-Dava-latA-hetUn-iva
   hārān, anekarāgaruciravetrakaraṇḍakuṇḍalīkṛtāni śaraccandramarīciruñci	hArAn, aneka-rAga-rucira-vetra-karaNxa-kuNxalIkRtAni Sarad-candra-marIciruQci
   śaucakṣamāṇi kṣaumāṇi, kuśalaśilpilokollikhitānāṃ ca	SOca-kzamANi kzOmANi, kuSala-Silpi-loka-ulliKitAnAm ca
   śuktiśaṅkhagalvarkapramukhānāṃ pānabājanānāṃ nicayān, nicolakarakṣitarucāṃ	Sukti-SaFKa-galu-arka-pramuKAnAm pAna-bAjanAnAm nicayAn, nicolaka-rakzita-rucAm
   ca rucirakāñcanapatrabhaṅgabhaṅgurāṇāmatibandhurapariveśānāṃ	ca rucira-kAQcana-patra-BaFga-BaFgurANAm-ati-banDura-pariveSAnAm
   kārdaraṅgacarmaṇāṃ saṃbhārān, bhūrjatvakkomalāḥ sparśavatīrjātīpaṭṭikāḥ,	kArdaraFga-carmaNAm saMBArAn, BUrja-tvak-komalAH sparSavatIH-jAtI-pawwikAH,
   citrapaṭānāṃ ca mradīyasāṃ samūrukopadhānādīn vikārān,	citra-pawAnAm ca mradIyasAm sa-mUru-kopa-DAna-AdIn vikArAn-,
   priyaṅguprasavapiṅgalatvañci cāsanāni	priyaFgu-prasava-piFgala-tvaQci ca-AsanAni
   vetramayānyaguruvalkalakalpitasañcayāni ca subhāṣitabhāñji pustakāni,	vetra-mayAni-aguru-valkala-kalpita-saQcayAni ca su-BAzita-BAQji pustakAni,
   pariṇatapāṭalapaṭolatviṃṣi ca taruṇahārītaharinti kṣīrakṣārīṇi ca pūgānāṃ	pariNata-pAwala-pawola-tviMzi ca taruNa-hArIta-harinti kzIra-kzArINi ca pUgAnAm
   pallavavalambīni sarasāni phalāni, sahakāralatārakānāṃ ca	pallava-valambIni sarasAni PalAni, sahakArala-tArakAnAm ca
   kṛṣṇāgurutailasya ca kupitakapikapolakapilakāpotikāpalāśakośīkavacitāṅgīḥ	kRzNa-aguru-tElasya ca kupita-kapi-kapola-kapilakA-potikA-palASa-koSI-kavacita-aFgIH
   sthavīyasīrvaiṇavīrnāḍośca paṭṭasūtraprasevakārpitāṃśca	sTavIyasi-IH-vENavIrnAxoH-ca pawwasUtra-prasevaka-arpitAn=-ca
   bhinnāñjanavarṇasya kṛṣṇāguruṇo guruparitāpamuṣaśca gośīrṣacandanasya,	BinnAQjana-varNasya kRzNa-aguruNaH guru-paritApa-muzaH-ca goSIrza-candanasya,
   tuṣāraśilāśakalaśiśirasvacchasitasya ca karpūrasya, kastūrikākośakānāṃ ca	tuzAra-SilA-Sakala-SiSira-svacCa-sitasya ca karpUrasya, kastUrikA-koSakAnAm ca
   pakkaphalajūṭajaṭilānāṃ ca kakkolapallavānām, lavaṅgapuṣpamañjarīṇāṃ	pakka-Pala-jUwa-jawilAnAm ca kakkola-pallavA-nAm, lavaFga-puzpa-maQjarINAm
   jātīphalastabakānāṃ ca rāśīn,	jAtIPala-stabakAnAm ca rASIn,
   atimadhuramadhurasāmodanirhāriṇīśvollakakalaśīḥ sitāsitasya ca	ati-maDura-maDu-ra-sa-Amoda-nirhAriNI-Sva-ullaka-kalaSIH sita-asitasya ca
   cāmarajātasya nicayān, avalambamānatūlikālābukāṃsca	cAmara-jAtasya nicayAn, avalambamAna-tUlikA-lAbukAn=-ca
   likhitānekalekhyaphalakasaṃpuṭān, kutūhalakṛnti ca	liKita-aneka-leKya-Palaka-saMpuwAn, kutUhala-kRnti ca
   kanakaśṛṅkhalāniyamitagrīvāṇāṃ kiṃnnarāṇāṃ ca vanamānuṣāṇāṃ ca	kanaka-SRFKalA-niyamita-grIvANAm kiMnnarANAm ca vanamAnuzANAm ca
   jīvañjīvakānāṃ ca jalamānuṣāṇāṃ ca mithunāni, parimalāmoditakakubhaśca	jIvaQjIvakAnAm ca jala-mAnuzANAm ca miTunAni, parimala-Amodita-kakuBaH-ca
   kastūrikākuraṅgān, gehaparisaraṇaparicitāśca camarīḥ	kastUrikA-kuraFgAn, geha-parisaraNa-paricitAH-ca camarIH
   cāmīkararasacitravetrapañjarāntargatāṃśca bahusubhāṣitajalpākajihvāṃśca	cAmIkara-rasa-citra-vetra-paQjara-antargatAn=-ca bahu-suBAzita-jalpAka-jihvAn=-ca
   sukaśārikāprabhṛtīnpakṣiṇaḥ pravālapañjaragatāṃśca cakorān	suka-SArikA-praBRtIn-pakziNaH pravAla-paQjara-gatAn=-ca cakorAn
   jalahastināmudagrakumbhamuktāphaladāmadanturāṇi ca dantakāṇḍakuṇḍalāni /	jala-hastinAm-udagra-kumBa-muktAPala-dAma-danturANi ca danta-kANxa-kuNxalAni /
   rājā tu chatradarśanātprahṛṣṭahṛdayaḥ prathamaprayāṇe śobhananimitamiti	rAjA tu Catra-darSanAt-prahRzwa-hRdayaH praTama-prayANe SoBana-nimitam-iti
   manasā jagrāha /	manasA jagrAha /
   haṃsavegaṃ ca prīyamāṇo babhāṣe--"bhadra! sakalaratnadhāmnaḥ	haMsa-vegam ca prIyamANaH baBAze---"Badra! sakala-ratna-DAmnaH
   paramesvaraśirodhāraṇārhasyāsya mahātapatrasya mahārṇavādiva	paramesvara-SiraH-DAraNa-arhasya-asya mahA-tapatrasya mahA-arNavAt-iva
   kumudabāndhavasya kumārāllābho na vismāya /	kumuda-bAnDavasya kumArAt-lABaH na vismAya /
   bālavidyāḥ khalu mahatāmupakṛtayaḥ' iti /	bAla-vidyAH Kalu mahatAm-upakRtayaH-a iti /
   apanīte ca tasmātpradeśātprābhṛtasaṃbhāre kṣaṇamiva sthitvā "haṃsavega!	apanIte ca tasmAt-pradeSAt-prABRta-saMBAre kzaNam-iva sTitvA "haMsa-vega!
   viśramyatām' iti pratīhārabhavanaṃ visarjayāṃbabhūva /	viSramyatAm-a iti pratIhAra-Bavanam visarjayAMbaBUva /
   svayamapyutthāya snātvā maḍgalākāṅkṣī prāṅmukhaḥ prāviśadābhogasya chāyām	svayam-api-utTAya snAtvA maxgala-AkAFkzI prAFmuKaH prAviSat-ABogasya CAyAm
   atha viśata evāsya chāyājanmanā jaḍimnā cūḍhāmaṇitāmanīyateva	aTa viSataH eva-asya CAyA-janmanA jaximnA cUXAmaNi-tAm-anIya-tA-iva
   śaśibimbamambubindumucaścucumburiva candrakāntamaṇayo lalāṭataṭaṃ	SaSi-bimbam-ambu-bindu-mucaH-cucumbuH-iva candrakAnta-maNayaH lalAwa-tawam
   karpūrareṇava iva vyalīyanta locanayūgale gale	karpUra-reNavaH iva vyalIyanta locana-yUgale gale
   galattuhinakaṇanikarakṛtanīhārā hārā ivāvabadhyanta	galat-tuhina-kaNa-nikara-kRta-nIhArAH hArAH iva-avabaDyanta
   haricandanarasāsāreṇevāpāti saṃtatamurasi kumudamayamiva	haricandana-rasa-AsAreNa-iva-apAti saMtatam-urasi kumuda-mayam-iva
   hṛdayamabhavadatiśiśiramantarhitahimaśileva vilīyamānā vyalimpadaṅgāni /	hRdayam-aBavat-ati-SiSiram-antarhita-hima-SilA-iva vilIyamAnAH vyalimpadaFgAni /
   jātavismayaścākaronmanasi "ekamajaryaṃ saṃgatamapahāya kāstyānyā	jAta-vismayaH-ca-akarot-manasi "ekam-ajaryam saMgatam-apahAya kAstyA-anyA
   pratikauśalike'ti /	pratikOSalike-ati /
   āhārakāle ca hasavegāya dhavalakarpaṭaprāvṛtadhautanālikeraparigṛhītaṃ	AhAra-kAle ca hasa-vegAya Davala-karpawa-prAvRta-DOta-nAlikera-parigRhItam
   viliptaśeṣaṃ candanamahgaspṛṣṭe ca vāsasī	vilipta-Sezam candana-mahga-spRzwe ca vAsasI
   śarattārakākāratāramuktāstabakitapadaṃ pariveśaṃ nāma kaṭisūtrakam	SarattArakAkAratAramuktAstabakitapadam pariveSam nAma kawi-sUtrakam
   atimahārhapajharāgālokalohitīkṛtadivasaṃ ca taraṅgakaṃ nāma karṇābharaṇaṃ	ati-mahArha-paJarAga-Aloka-lohitIkRta-divasam ca taraFgakam nAma karNa-ABaraNam
   prabūtaṃ ca bhojyajātaṃ prāhiṇot /	prabUtam ca Bojya-jAtam prAhiNot /
   evaṃprāyeṇa ca krameṇa jagāma divasaḥ /	evaMprAyeNa ca krameNa jagAma divasaH /
   tataḥ kaṭakasthalabalabahaladhūlidhūsaritavapuraṃśumālī	tatas kawaka-sTala-bala-bahala-DUli-DUsarita-vapuH-aMSumAlI
   malīmasamaṅgamivakṣālayitumaparajalanidhimavātarat /	malIm-asamaFgam-iva-kzAlayitum-apara-jalaniDim-avAtarat /
   ābhogātapatrapradānavārtāmiva nivedayituṃ varuṇāya vāruṇīṃ diśamayāsīt /	ABoga-Atapatra-pradAna-vArtAm-iva nivedayitum varuNAya vAruNIm diSamaya-AsIt /
   mukulāyamānasakalakamalavanā pramukha eva baddhasevāñjalipuṭeva sadvīpā	mukulAyamAna-sakala-kamala-vanA pramuKaH eva badDa-sevA-aQjali-puwA-iva sa-dvIpA
   bhūrabhūd bhūpateḥ /	BUH-aBUt BUpateH /
   bhūpālānurāgamya iva nikhilajīvalokalokāñjalibaddhabandurjagajjagrāha	BUpAla-anurAgamyaH iva niKila-jIva-loka-loka-aQjali-badDa-banduH-jagat-jagrAha
   saṃdhyārāgaḥ /	saMDyA-rAgaH /
   gauḍāparādhaśaṅkinīva śyāmatāṃ prapede dikprācī /	gOxa-aparADa-SaFkinI-iva SyAma-tAm prapede diS-prAcI /
   pracitatimiranivahā nirvāṇānyanṛpapratāpānalakalāpeva	pracita-timira-nivahAH nirvANa-ani-anRpa-pratApa-anala-kalApa-iva
   kālimānamatānīnmedinī /	kAli-mAnam-atAnIt-medinI /
   medinīśapradhoṣāsthānapuṣpanikaramiva	medinISa-praDozA-sTAna-puzpa-nikaram-iva
   vikacatagararuciramavacakaruruḍunikaramaviralaṃ kakubhaḥ /	vikaca-tagara-ruciram-avacakaruruxu-nikaram-aviralam kakuBaH /
   skandhāvāragandhagajamadāmodadhāvitasyeva mārgo viyati virarāja	skanDAvAra-ganDa-gaja-mada-Amoda-DAvitasya-iva mArgaH viyati virarAja
   rajaḥpāṇḍurairāvatasya /	rajaH-pANxuH-ErAvatasya /
   kupitanṛpavyāghrāghrātāmupasṛṣṭāmiva pauruṣṭutīṃ vihāya	kupita-nRpa-vyAGra-AGrAtAm-upasRzwAm-iva pOruzwutIm vihAya
   vihāyastalamāruroha rohiṇīramaṇaḥ /	vihAyaH-talam-Aruroha rohiNI-ramaNaH /
   prayāṇavārtā iva māninīnāṃ hṛdayabhedinyo yayurindudīdhitayo daśa diśaḥ /	prayANa-vArtAH iva mAninInAm hRdaya-BedinyaH yayuH-indu-dIDitayaH daSa diSaH /
   navanṛpadaṇḍayātrātrāsāturā iva taralitasattvavṛttayaścukṣubhuḥ patayo	nava-nRpa-daNxa-yAtrA-trAsa-AturAH iva taralita-sattva-vRttayaH-cukzuBuH patayaH-
   vāhinīnām /	vAhinInAm /
   cinteva bhūbhṛtāṃ hṛdayāni viveśa guhāvivarāṇi	cintA-iva BUBRtAm hRdayAni viveSa guhA-vivarANi
   vimuktasarvāśātimirasaṃtatiḥ /	vimukta-sarva-ASA-timira-saMtatiH /
   pratisāmantacakṣuṣāmiva nanāśa nidrā kumudavanānām /	pratisAmanta-cakzuzAm-iva nanASa nidrA kumuda-vanAnAm /
   asyāṃ ca velāyāṃ vitatavitānatalavartī narendro "yāta tāvat' iti	asyAm ca velAyAm vitata-vitAna-tala-vartI narendraH "yAta tAvat-a iti
   visarjyānujīvino haṃsavegamādiṣṭavān--"kathaya saṃdeśam' iti /	visarjya-anujIvinaH haMsa-vegam-AdizwavAn---"kaTaya saMdeSam-a iti /
   praṇamya sa kathayituṃ prāstāvīt--"deva! purā	praNamya sa kaTayitum prAH-tAvIt--"deva! purA
   mahāvarāhasaṃparkasaṃbhūtagarbhayā bhagavatyā bhuvā narako nāma sūnurasāvi	mahAvarAha-saMparka-saMBUta-garBayA BagavatyA BuvA narakaH nAma sUnu-H-asAvi
   rasātale /	rasAtale /
   vīrasya sayasyābhavanbhālya eva pādapraṇāmapraṇayinaścūḍāmaṇayo	vIrasya sayasya-aBavan-BAlyaH eva pAda-praNAma-praNayinaH-cUxAmaNayo
   lokapālānām /	lokapAlAnAm /
   yasya ca tribhuvanabhujo bhujaśauṇḍasya	yasya ca triBuvana-BujaH Buja-SONxasya
   bhavanakamalinīcakravākīkopakuṭilakaṭākṣekṣito 'pi	Bavana-kamalinI-cakravAkI-kopa-kuwila-kawAkza-IkzitaH api
   bhayacakitāruṇaparivartitaratho nājñayā vinā ravirastamavrājīt /	Baya-cakita-aruNa-parivartita-raTaH na-AjQayA vinA raviH-aH-tam-avrAjIt /
   yaśca varuṇasya bahirvṛtti hṛdayamidamātapatramahārṣīt /	yaH-ca varuNasya bahis-vRtti hRdayam-idam-Atapatra-mahArzIt /
   mahātmanastasyānvaye bhagadattapuṣpadattavajradattaprabhṛtiṣu vyatīteṣu	mahAtmanaH-tasya-anvaye Bagadatta-puzpa-datta-vajra-datta-praBRtizu vyatItezu
   bahuṣu merūpameṣu mahatsu mahīpāleṣu pramautro mahārājabhūtivarmaṇaḥ	bahuzu meru-upamezu mahatsu mahIpAlezu pramOtraH mahA-rAja-BUtivarmaNaH
   pautraścandramukhavarmaṇaḥ putro devasya kailāsasthirasthiteḥ	pOtraH-candra-muKavarmaNaH putraH devasya kElAsa-sTira-sTiteH
   sthitivarmaṇaḥ susthiravarmā nāma mahārājādhirājo jajñe tejasāṃ	sTitivarmaNaH susTiravarmA nAma mahA-rAja-aDirAjaH jajQe tejasAm
   rāśirmṛgāṅka iti yaṃ janā jaguḥ /	rASiH-mRgAFkaH iti yam janAH jaguH /
   yo 'yamagrajenevājāyata sahaivāhaṅkāreṇa /	yaH ayam-agrajena-iva-ajAyata saha-eva-ahaFkAreNa /
   yaśca bāla eva prītyā dvijātīnaprītyā cārātīnsamagrānpratigrahānagrāhayat	yaH-ca bAlaH eva prItyA dvijAtIna-prItyA ca-arAtIn-samagrAn-pratigrahAn-agrAhayat-
   yatra cātidurlabhaṃ lavaṇālayasaṃbhūtāyāḥ paraṃ mādhuryamabhūllakṣmyāḥ /	yatra ca-ati-durlaBam lavaNa-Alaya-saMBUtAyAH param mADuryam-aBUt-lakzmyAH /
   tathā ca yo vāhinīnāthānāṃ śaṅkhāñjahāra na ratnāni, pṛthivyāḥ sthairyaṃ	taTA ca yaH vAhinI-nATAnAm SaFKAn-jahAra na ratnAni, pRTivyAH sTEryam
   jagrāha na karam, avanibhṛtāṃ gauravamādatta na naiṣṭhuryam /	jagrAha na karam, avani-BRtAm gOravam-Adatta na nEzWuryam /
   tasya ca sugṛhītanāmno devasya devyāṃ śyāmādevyāṃ	tasya ca su-gRhIta-nAmnaH devasya devyAm SyAmAdevyAm
   bhāskaradyutirbhāskaravarmāparanāmā tanayaḥ saṃtanorbāgīrathyāṃ bhīṣma iva	BAskara-dyutiH-BAskara-varmA-apara-nAmA tanayaH saMtanoH-bAgIraTyAm BIzmaH iva
   kumāraḥ samabhavat /	kumAraH samaBavat /
   ayamasya ca śaiśavādārabya saṃkalpaḥ stheyānsthāṇupādāravindadvayādṛte	ayam-asya ca SESavAt-Arabya saMkalpaH sTeyAn-sTANu-pAda-aravinda-dvayAt-Rte
   nāhamanyaṃ namaskuryāmitir idṛśaścāyaṃ	na-aham-anyam namaskurya-amitiH idRSaH-ca-ayam
   manorathastribhuvanadurlabhastrayāṇāmanyatamena saṃpadyate	manoraTaH-triBuvana-durlaBaH-trayANAm-anyatamena saMpadyate
   sakalabuvanavijayena vā mṛtyunā vā yadi vā	sakala-buvana-vijayena vA mRtyunA vA yadi vA
   prajaṇḍapratāpajvalanajanitadigdāhena jagatyekavīreṇa devopamena mitreṇa /	prajaNxa-pratApa-jvalana-janita-digdAhena jagati-eka-vIreNa deva-upamena mitreNa /
   maitrī ca prāyaḥ kāryavyapekṣiṇī kṣeṇībhṛtām /	mEtrI ca prAyas kArya-vyapekziNI kzeNIBRtAm /
   kāryaṃ ca kīdṛśaṃ nāma tadbhavedyadupanyasyamānamupanayenmitratāṃ devam /	kAryam ca kIdRSam nAma tat-Bavet-yat-upanyasyamAnam-upanayet-mitra-tAm devam /
   devasya hi yaśāṃsi sañcicīṣato bahiraṅgabhūtāni dhanāni /	devasya hi yaSAMsi saQcicIzataH bahis-aFga-BUtAni DanAni /
   bāhāveva ca kevale niṣaṇṇasya śeṣāvayavānāmapi sāhāyakasaṃpādanamanoratho	bAhO=-eva ca kevale nizaNNasya Seza-avayavAnAm-api sAhAyaka-saMpAdana-manoraTaH-
   niravakāśaḥ kimuta bāhyajanasya /	niravakASaH kim-uta bAhya-janasya /
   catuḥsāgaragrāmagrahaṇaghasmarasya pṛthivyekadeśadānopanyāsenāpi kā tuṣṭiḥ	catur-sAgara-grAma-grahaNa-Gasmarasya pRTivI-eka-deSa-dAna-upanyAsena-api kA tuzwiH
   abhirūpakanyāviśrāṇanavilobhanamapi	aBirUpa-kanyA-viSrANana-viloBanam-api
   lakṣmīmukhāravindadarśanadurlalitadṛṣṭerakiñcitkaram /	lakzmI-muKa-aravinda-darSana-durlalita-dRzweH-akiQcitkaram /
   evamaghaṭamānasakalopāyasaṃpāditapadārthe 'sminprārthanāmātrakameva	evam-aGawa-mAna-sakala-upAya-saMpAdita-padArTe asmin-prArTanA-mAtrakam-eva
   kevalamanurudhyamānaḥ śṛṇotu devaḥ /	kevalam-anuruDyamAnaH SRNotu devaH /
   prāgjyotiṣesvaro hi devena sahaikapiṅga ivānahgadviṣā, daśaratha iva	prAgjyotizesvaraH hi devena saha-eka-piFgaH iva-anahga-dvizA, daSaraTaH iva
   gotrabhidā, dhanañjaya iva puṣkarākṣeṇa, vakartana iva duryodhanena,	gotra-BidA, DanaQjayaH iva puzkarAkzeNa, vakartanaH iva duryoDanena,
   malayānila iva mādhavena, ajaryaṃ saṃgatamicchati /	malaya-anilaH iva mADavena, ajaryam saMgatam-icCati /
   yadi ca devasyāpi maitrīyati hṛdayamavagacchati ca paryāyāntaritaṃ	yadi ca devasya-api mEtrIyati hRdayam-avagacCati ca paryAya-antaritam
   dāsyamanutiṣṭhanti suhṛda iti tataḥ kimāsyate samājñāpyatāmanubhavatu	dAsyam-anutizWanti suhRdaH iti tatas kim-Asyate samAjQApyatAm-anuBavatu
   viṣṇormandaragiririva	vizNoH-mandara-giriH-iva
   vikaṭakeyūrakoṭimaṇivighaṭṭanavkaṇitakaṭakamaṇiśilāśakalāni gāḍhopagūḍhāni	vikawa-keyUra-kowi-maNi-viGawwa-navkaNita-kawaka-maNi-SilA-SakalAni gAXa-upagUXAni
   devasya kāmarūpādhipatiḥ /	devasya kAmarUpa-aDipatiH /
   asminnātṛpteranavaratavimalalāvaṇyasaubhāgyasudhānirjhariṇi mukhaśaśini	asmin=-AtRpteH-anavarata-vimala-lAvaNya-sOBAgya-suDA-nirJariNi muKa-SaSini
   cirāccakṣuṣī lālayatu prāgjyotiṣeśvaraśrīḥ /	cirAt-cakzuzI lAlayatu prAgjyotiza-ISvara-SrIH /
   nābhinandati ceddevaḥ praṇayamājñāpayatu kiṃ kathanīyaṃ mayā svāmina' iti	na-aBinandati ced-devaH praNayam-AjQApayatu kim kaTanIyam mayA svAmina-a iti
   viratavacasi tasminbhūpālaḥ pūrvopalabdhaireva	virata-vacasi tasmin-BUpAlaH pUrva-upalabDEH-eva
