   // śrīḥ //	// SrIH //
   śukasaptatiḥ //	SukasaptatiH //
   so 'pi yathāgataṃ tathā yayau /	saH api yaTAgatam taTA yayO /
   tato yadi prabhāvi tavāpyevaṃ buddhirasti tadā gamyatāṃ nānyathā /	tatas yadi praBAvi tava-api-evam budDiH-asti tadA gamyatAm na-anyaTA /
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau pañcatriṃśattamī kathā //	iti Suka-saptatO paQcatriMSattamI kaTA //
   START Suk 36:	START Suc 36:
   niśāmukhe 'nyedyuḥ prabhāvatī śukaṃ punarāha-he kīra! gamiṣyāmi	niSA-muKe anyedyus praBAvatI Sukam punar-Aha-he kIra! gamizyAmi
   cirakāṅkṣitaṃ sukhaṃ bhoktum /	cira-kAFkzitam suKam Boktum /
   śuka āha-	SukaH Aha-
   sukhamevānubhoktavyaṃ saṃsāre sundari! dhruvam /	suKam-eva-anuBoktavyam saMsAre sundari! Druvam /
   nāyinīva vijānāsi yadi vaktuṃ tvamuttaram // Suk_36.1 (=185) //	nAyinI-iva vijAnAsi yadi vaktum tvam-uttaram // Suc-_36.1 (=185) //
   prabhāvatyāha-kathametat /	praBAvati-Aha--kaTam-etat /
   kā kīra nāyinī kutra tayā kiṃ kṛtamuttaram /	kA kIra nAyinI kutra tayA kim kRtam-uttaram /
   kathāṃ kathaya kalyāṇīṃ kautukaṃ me kathākrame // Suk_36.2 (=186) //	kaTAm kaTaya kalyANIm kOtukam me kaTA-krame // Suc-_36.2 (=186) //
   śuka āha-asti saraḍākhye grāme grāmaṇīḥ śūrapālaḥ /	SukaH Aha-asti saraxa-AKye grAme grAmaNIH SUrapAlaH /
   tasya bhāryā nāyinī /	tasya BAryA nAyinI /
   sā ātmapatiṃ nityaṃ paṭṭasūtrakañcukaṃ yācate /	sA Atma-patim nityam pawwa-sUtra-kaQcukam yAcate /
   sa āha-vayaṃ karṣukāḥ kārpāsacīvarāḥ /	saH Aha--vayam karzukAH kArpAsa-cIvarAH /
   asmadgṛhe paṭṭasūtravārttāmapi ko 'pi na jānāti /	asmad-gRhe pawwasUtra-vArttAm-api kaH api na jAnAti /
   anyadā sā taṃ grāmasaṃsadisthaṃ jagāda-gṛhamehi gṛhādhipa! rāvaḍī bhuṅkṣva	anyadA sA tam grAma-saMsadisTam jagAda--gRham-ehi gRha-aDipa! rAvaxI BuFkzva
   sa ca tadvacanaṃ śrutvā bhāryāmāha gṛhāgataḥ-bhadre! tvayā ninditaṃ vaco	sa ca tat-vacanam SrutvA BAryAm-Aha gRha-AgataH-Badre! tvayA ninditam vacaH-
   lajjākārakaṃ mamāpriyaṃ saṃsadi kimitthamuktam? tayoktam--tvayā mama	lajjA-kArakam mama-apriyam saMsadi kim-itTam-uktam? tayA-uktam---tvayA mama
   priyaṃ kathaṃ na kṛtam? grāmaṇīrāha--dāsyāmi kañcukaṃ te 'dya /	priyam kaTam na kRtam? grAmaNIrAha---dAsyAmi kaQcukam te adya /
   nijaṃ vākyaṃ vṛthā kuru /	nijam vAkyam vRTA kuru /
   tayoktam--kañcuke datte uttārayiṣye /	tayA-uktam----kaQcuke datte uttArayizye /
   dattaḥ kañcukastena /	dattaH kaQcukaH-tena /
   tadvacaḥ kathaṃ vṛthā bhavatviti praśnaḥ /	tat-vacaH kaTam vRTA Bavatu-iti praSnaH /
   śukaḥ prāha-anyadā nāyinī jagāda-yadādya tvāṃ saṃsadisthaṃ	SukaH prAha-anyadA nAyinI jagAda-yadA-adya tvAm saMsadi-sTam
   pūrvavadākārayāmi tadā tvayā saṃsadā saha gṛhamāgantavyam /	pUrvavat-AkArayAmi tadA tvayA saMsadA saha gRham-Agantavyam /
   tena ca evameva kṛtam /	tena ca evam-eva kRtam /
   tayā ca gṛhāgatāyāḥ saṃsado bhavyarotyā bhojanaṃ dattam /	tayA ca gRha-AgatAyAH saMsadaH Bavya-rotyA Bojanam dattam /
   tato grāmajano vadati-śūrapālaḥ samṛddhaḥ /	tatas grAma-janaH vadati-SUrapAlaH samRdDaH /
   paraṃ tadbhāryā auddhatyaparihāreṇa evaṃ vadati /	param tad-BAryA OdDatya-parihAreNa evam vadati /
   iti vacanamuttāritam /	iti vacanam-uttAritam /
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau ṣaṭtriṃśattamī kathā //	iti Suka-saptatO zawtriMSattamI kaTA //
   START Suk 37:	START Suc 37:
   athāpare 'hni prabhāvatī gamanāya śukaṃ pṛcchati sma /	aTa-apare ahni praBAvatI gamanAya Sukam pRcCati sma /
   śuko 'pyāha-	SukaH api-Aha-
   yatheṣṭaṃ vraja kalyāṇi na te doṣo 'sti kaścana /	yaTezwam vraja kalyANi na te dozaH asti kaScana /
   lāṅgalīva vijānāsi yadi kartuṃ tvamuttaram // Suk_37.1 (=189) //	lAFgalI-iva vijAnAsi yadi kartum tvam-uttaram // Suc-_37.1 (=189) //
   prabhāvatyāha-kathametat /	praBAvati-Aha--kaTam-etat /
   śuko 'pyāhṛ-saṅgamākhye grāme śūraḥ kauṭumbikaḥ /	SukaH api-AhR-saFgam-AKye grAme SUraH kOwumbikaH /
   tasyāsti pūrṇapālastu hālikaḥ /	tasya-asti pUrNapAlaH-tu hAlikaH /
   sarvatra ca tasya śūrapaterveśmani kṣetre khale pramāṇam /	sarvatra ca tasya SUra-pateH-veSmani kzetre Kale pramANam /
   tasya ca hālikasya kṣetrasthasya śūrapatisutā subhagā nāma nityaṃ bhuktiṃ	tasya ca hAlikasya kzetra-sTasya SUra-pati-sutA suBagA nAma nityam Buktim
   nayati /	nayati /
   sa tāṃ kāmayate kṣetragahvare śūrapālānniḥśaṅkitaḥ /	sa tAm kAmayate kzetra-gahvare SUrapAlAt-niHSaFkitaH /
   taṃ ca vṛttāntamasamañjasamiti kṛtvā prativeśmahālikāstasya kathayāmāsuḥ /	tam ca vRttAntam-asamaQjasam-iti kRtvA prativeSma-hAlikAH-tasya kaTayAmAsuH /
   anyadāsau śūrastayorhālikasutayoḥ sambandhaṃ pratyakṣīkartuṃ kṣetraṃ gatvā	anyadA-asO SUraH-tayoH-hAlika-sutayoH sambanDam pratyakzIkartum kzetram gatvA
   gahvarasyādūrasamante 'lakṣitastasthau /	gahvarasya-adUra-samante alakzitaH-tasTO /
   tanmithunaṃ ratasthaṃ dṛṣṭaṃ kathaṃ bhavatu? uttarañca kimiti praśnaḥ /	tat-miTunam rata-sTam dRzwam kaTam Bavatu? uttaraQca kim-iti praSnaH /
   śukaḥ prāha-yāvatsa hālikastāṃ bhuktvotthitaḥ tāvat śūrapatiṃ dadarśa /	SukaH prAha-yAvat-sa hAlikaH-tAm BuktvA-utTitaH tAvat SUra-patim dadarSa /
   tadā sa niḥśvasannāha-dhiṅme karmārjanāṃ ca yanmayā halakheṭanaṃ vidheyam,	tadA sa niHSvasat-nAha-Dik-me karma-arjanAm ca yat-mayA hala-Kewanam viDeyam,
   iyaṃ ca granthirogiṇī /	iyam ca granTi-rogiNI /
   ato dvayorapi jīvitaṃ rasātalaṃ yātu /	atas dvayoH-api jIvitam rasAtalam yAtu /
   mayā tu nityaṃ halekheṭanaṃ grantherākarṣaṇaṃ ca dvayamapi vidheyam /	mayA tu nityam haleKewanam granTeH-AkarzaNam ca dvayam-api viDeyam /
   tadahaṃ kimarthamasya śūrapālasya hāliko bhavāmi /	tat-aham kim-arTam-asya SUrapAlasya hAlikaH BavAmi /
   itthamevāhaṃ kṣayaṃ yāsyāmi /	itTam-eva-aham kzayam yAsyAmi /
   iti hālikavacanaṃ śrutvā nirdeṣo 'yamiti lokasya vacanaṃ vitathīkṛtya	iti hAlika-vacanam SrutvA nirdezaH ayam-iti lokasya vacanam vitaTIkRtya
   śūrapatirlajjito gṛhaṃ yayau /	SUra-patiH-lajjitaH gRham yayO /
   sā ca prabhāvatī śukoktāṃ kathāṃ śrutvā suptā /	sA ca praBAvatI Suka-uktAm kaTAm SrutvA suptA /
   iti śukasaptatau saptatriṃśattamo kathā //	iti Suka-saptatO saptatriMSattamaH kaTA //
   START Suk 38:	START Suc 38:
   aparedyuryāminīsamaye prabhāvatī gamanāya śukaṃ papraccha /	aparedyus-yAminI-samaye praBAvatI gamanAya Sukam papracCa /
   śukaḥ-	SukaH-
   vāñchitaṃ kartukāmānāṃ nāntarāyaṃ kṛśodari /	vAQCitam kartu-kAmAnAm na-antarAyam kRSa-udari /
   yadi kartuṃ vijānāsi yathā vipraḥ priyaṃvadaḥ // Suk_38.1 (=188) //	yadi kartum vijAnAsi yaTA vipraH priyaMvadaH // Suc-_38.1 (=188) //
   prabhāvatī papraccha-kathametat? śukaḥ-purābhūd devi? priyaṃvado nāma	praBAvatI papracCa--kaTam-etat? SukaH-purA-aBUt devi? priyaMvadaH nAma
   vipraḥ pathikaḥ /	vipraH paTikaH /
   ekadā mārge gacchansudarśanagrāme kasyacidvaṇijo gṛhaṃ yayau /	ekadA mArge gacCan-su-darSana-grAme kasyacid-vaNijaH gRham yayO /
   tatpatnī ca puṃścalī /	tad-patnI ca puMScalI /
   sa ca brāhmaṇastāṃ dṛṣṭvā ātmānaṃ susthānakṛtavāsakaṃ mene /	sa ca brAhmaNaH-tAm dRzwvA AtmAnam su-sTAna-kRta-vAsakam mene /
   sa ca rātrau sakāmastāṃ prārthayāmāsa /	sa ca rAtrO sa-kAmaH-tAm prArTayAmAsa /
   aṅgulīyakadānena ca haṭṭamārgaṃ vaṇiksute gate reme tayā samam /	aFgulIyaka-dAnena ca hawwa-mArgam vaNij-sute gate reme tayA samam /
   prātaḥ so 'ṅgulīyakaṃ yācate /	prAtar saH aFgulIyakam yAcate /
   sā nārpayati /	sA na-arpayati /
   anena vidhinā dattamaṅgulīyakaṃ sa kathaṃ gṛhṇātu-iti praśnaḥ /	anena viDinA dattam-aFgulIyakam sa kaTam gRhNAtu--iti praSnaH /
   uttaram-yadā tu yācitā na dadāti tadā sa brāhmaṇaḥ khaṭvācaraṇaṃ gṛhītvā	uttaram--yadA tu yAcitA na dadAti tadA sa brAhmaNaH KawvAcaraNam gRhItvA
   vaṇijaḥ sannidhiṃ yayau /	vaNijaH sanniDim yayO /
   khaṭvācaraṇaṃ darśayitvā phūtkṛtam /	KawvAcaraNam darSayitvA PUtkRtam /
   vaṇik prāha-bho dvijaḥ! kimetat? sa āha-bhagne 'smintvadīyabhāryayā	vaNij prAha-BaH dvijaH! kim-etat? saH Aha-Bagne asmin-tvadIya-BAryayA
   madīyamagulīyakaṃ jagṛhe /	madIyam-agulIyakam jagRhe /
   sa ca vaṇik tadvacanaṃ śrutvā kupito bhāryāmāha-anena pramādena asmadgṛhe	sa ca vaNij tat-vacanam SrutvA kupitaH BAryA-mAha-anena pramAdena asmad-gRhe
   ko 'pi pathiko na sameṣyati /	kaH api paTikaH na samezyati /
   ityuktvā niṣṭhuraṃ vacastatkuṇḍāduttīrya aṅgulīyakaṃ pathikāya samarpitam	iti-uktvA nizWuram vacaH-tad-kuNxAt-uttIrya aFgulIyakam paTikAya samarpitam
   sa ca yathāgataṃ yayau /	sa ca yaTAgatam yayO /
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau aṣṭatriṃśattamī kathā //	iti Suka-saptatO azwatriMSattamI kaTA //
   START Suk 39:	START Suc 39:
   apare 'hni sandhyāsamaye puruṣāntaragamanāya prabhāvatī śukaṃ pṛcchati	apare ahni sanDyA-samaye puruza-antara-gamanAya praBAvatI Sukam pRcCati
   sma-he śuka! ahaṃ gamiṣyāmi /	sma-he Suka! aham gamizyAmi /
   śukaḥ prāha-	SukaH prAha-
   vraja devi! varaṃ yānaṃ tvaṃ bhoktuṃ subhagaṃ naram /	vraja devi! varam yAnam tvam Boktum suBagam naram /
   vaktuṃ cedviṣame vetsi tulāgrāhīva bhāmini // Suk_39.1 (=189) //	vaktum ced-vizame vetsi tulA-grAhi-iva BAmini // Suc-_39.1 (=189) //
   prabhāvatī prāha-"kathametat?	praBAvatI prAha-"kaTam-etat-?
   kastulāgrāhakaḥ kīra! gṛhītā ca tulā kutaḥ /	kaH-tulAgrAhakaH kIra! gRhItA ca tulA kutas /
   viṣamaṃ ca kimāyātaṃ kathāṃ kathaya śobhanām // Suk_39.2 (=190) //	vizamam ca kim-AyAtam kaTAm kaTaya SoBanAm // Suc-_39.2 (=190) //
   astyatra kuṇḍinaṃ nāma nagaram /	asti-atra kuNxinam nAma nagaram /
   tatra bhūdharo nāma vaṇikpuṇyakṣayātkṣīṇadhano janaistyaktaḥ /	tatra BUDaraH nAma vaNij-puNya-kzayAt-kzINa-DanaH janEH-tyaktaH /
   uktañca-	uktaQca-
   vidvāndhanī dhanī dātā dhanī sādhurguṇāgraṇīḥ /	vidvAnDanI DanI dAtA DanI sADuH-guNa-agraNIH /
   sarvabandhurdhanī pujyo dhanahīno gataprabhaḥ // Suk_39.3 (=191) //	sarva-banDuH-DanI pujyaH Dana-hInaH gata-praBaH // Suc-_39.3 (=191) //
   yadā tu sa tulāmātradhano 'bhavattadānyavaṇiggṛhe tulāṃ muktvā deśāntaraṃ	yadA tu sa tulA-mAtra-DanaH aBavat-tadA-anyavaNij-gRhe tulAm muktvA deSa-antaram
   gataḥ /	gataH /
   tatra dhanamarjayitvā nijanagaramāgatya taṃ vaṇijaṃ tulāṃ yayāce /	tatra Danam-arjayitvA nija-nagaram-Agatya tam vaNijam tulAm yayAce /
   vaṇikpārśvāttulā na labdhā /	vaNij-pArSvAt-tulA na labDA /
   tulāyāṃ tu lubdho vaṇikmūrkha uttaraṃ cakre yattvadīyā tulā	tulAyAm tu lubDaH vaNij-mUrKaH uttaram cakre yat-tvadIyA tulA
   mūṣikairbhakṣiteti śrutvā bhūdharastūṣṇīṃ sthitaḥ /	mUzikEH-BakzitA-iti SrutvA BUDaraH-tUzNIm sTitaH /
   sa ca ekadā tasya veśmani bhojanāya gataḥ krīḍantaṃ bālakaṃ dṛṣṭvā	sa ca ekadA tasya veSmani BojanAya gataH krIxantam bAlakam dRzwvA
   pracchannaṃ gṛhītvā nijagṛhaṃ yayau /	pracCannam gRhItvA nija-gRham yayO /
   bālakapitā ca duḥkhapūritāṅgo ruroda sakuṭumbaḥ /	bAlakapitA ca duHKa-pUrita-aFgaH ruroda sa-kuwumbaH /
   tañca rudantaṃ dṛṣṭvā prativeśmiko jagāda-re tvadīyaḥ suto bhūdhareṇa	taQca rudantam dRzwvA prativeSmikaH jagAda-re tvadIyaH sutaH BUDareNa
   gṛhītaḥ /	gRhItaH /
   tato 'sau tadgṛhaṃ gatvā bhūdharātsutaṃ yācitavān /	tatas asO tad-gRham gatvA BUDarAt-sutam yAcitavAn /
   bhūdhareṇoktam-mitra! tvatputro matsaṃge snānārthe nadītīre gatastatra	BUDareNa-uktam--mitra! tvad-putraH mad-saMge snAna-arTe nadI-tIre gataH-tatra
   śyenenāpahṛtaḥ /	Syenena-apahRtaH /
   iti śrutvā tena vaṇijā rājakule gatvā putraharaṇavṛttānto niveditaḥ /	iti SrutvA tena vaNijA rAja-kule gatvA putra-haraNa-vRttAntaH niveditaH /
   bhūdharo 'pi rājakulaṃ yayau /	BUDaraH api rAja-kulam yayO /
   tatkathaya sa bālahartā kathaṃ mucyatāmiti-praśnaḥ /	tat-kaTaya sa bAla-hartA kaTam mucyatAm-iti-praSnaH /
   śukaḥ yadā bhūdharo rājasamakṣaṃ mantriṇā pṛṣṭastadā evaṃ jagāda-	SukaH yadA BUDaraH rAja-samakzam mantriNA pRzwaH-tadA evam jagAda-
   tulāṃ lohamayīṃ yatra khādante deva! mūṣakāḥ /	tulAm loha-mayIm yatra KAdante deva! mUzakAH /
   gajaṃ tatra haret śyeno dārake ko 'tra vismayaḥ // Suk_39.4 (=192) //	gajam tatra haret SyenaH dArake kaH atra vismayaH // Suc-_39.4 (=192) //
   śrutvaitadvacanaṃ mantriṇoktam-yadāyaṃ dhūrtastava tulāṃ samarpayati tadā	SrutvA-etat-vacanam mantriNA-uktam--ya-dAyam DUrtaH-tava tulAm samarpayati tadA
   dārako 'pi dātavyo nānyathā /	dArakaH api dAtavyaH na-anyaTA /
   tena dārakaḥ samarpitaḥ /	tena dArakaH samarpitaH /
   tulāgrāhī daṇḍitaḥ san tulāṃ samarpayāmāsa /	tulA-grAhI daNxitaH san tulAm samarpayAmAsa /
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau ekonacatvāriṃśattamī kathā //	iti Suka-saptatO ekonacatvAriMSattamI kaTA //
   START Suk 40:	START Suc 40:
   anyedyuḥ sā prabhāvatī gamanāya śukaṃ pṛcchati sma /	anyedyus sA praBAvatI gamanAya Sukam pRcCati sma /
   śukaḥ-	SukaH-
   gaccha tvaṃ gantukāmānāṃ gamanaṃ ca śubhaṃ bhuvi /	gacCa tvam gantu-kAmAnAm gamanam ca SuBam Buvi /
   subiddhiriva cedvaktuṃ vijānāsi kṛtākṛtām // Suk_40.1 (=193) //	su-bidDiH-iva ced-vaktum vijAnAsi kRta-akRtAm // Suc-_40.1 (=193) //
   prabhāvatyāha-kathametat? śukaḥ-nagarābhighe pattane subuddhi-	praBAvati-Aha--kaTam-etat? SukaH-nagara-aBiGe pattane su-budDi-
   kubuddhiśceti mitradvayaṃ jane prasiddham /	kubudDiH-ca-iti mitra-dvayam jane prasidDam /
   anyadā subuddhirdeśāntaraṃ yayau /	anyadA su-budDiH-deSa-antaram yayO /
   kubuddhistu mitrastriyaṃ yayau /	kubudDiH-tu mitra-striyam yayO /
   subuddhiśca dhanamarjayitvā deśāntarātsamāgataḥ /	su-budDiH-ca Danam-arjayitvA deSa-antarAt-samAgataH /
   tataḥ kubuddhiḥ subuddheḥ kapaṭasnehaṃ darśayati /	tatas kubudDiH su-budDeH kapawa-sneham darSayati /
   subuddhināpi sammānitaḥ /	su-budDinA-api sammAnitaH /
   kubuddhistaṃ pratyāha-bhavatā kvāpi kiñcitkautukaṃ dṛṣṭam?	kubudDiH-tam pratyAha-BavatA kvApi kiQcid-kOtukam dRzwam?
   tenoktam-sarasvatīnadītīre kūpamadhye taramāṇamakālajamāmraphalaṃ dṛṣṭaṃ	tena-uktam--sarasvatI-nadI-tIre kUpa-maDye taramANam-akAla-jam-Amra-Palam dRzwam
   manoramanāmini grāme /	manorama-nAmini grAme /
   kubuddhirāha-mithyedam /	kubudDirAha--miTyA-idam /
   subuddhirāha-satyametat /	su-budDiH-Aha--satyam-etat /
   tenoktam-yadi satyaṃ bhavati tadā yadasmadgṛhe dvābhyāṃ hastābhyāṃ	tena-uktam--yadi satyam Bavati tadA yat-asmad-gRhe dvAByAm hastAByAm
   grahītuṃ śakyate tattvayā grāhyam /	grahItum Sakyate tattvayA grAhyam /
   alīke tvadīyagṛhādahaṃ gṛhṇāmi /	alIke tvadIya-gRhAt-aham gRhNAmi /
   iti paṇbandhaṃ kṛtvā kubuddhī rātrau kūpāttatphalaṃ jagrāha /	iti paNbanDam kRtvA kubudDiH rAtrO kUpAt-tat-Palam jagrAha /
   phalābhāve tu subuddhinā haritam /	Pala-aBAve tu su-budDinA haritam /
   atha sa tadbhāryāṃ grahītukāmaḥ paṇabandhaṃ yācate /	aTa sa tad-BAryAm grahItu-kAmaH paNa-banDam yAcate /
   tadatra subuddhirnijabhāryārakṣaṇe kamupāyaṃ karotviti praśnaḥ /	tat-atra su-budDiH-nija-BAryA-rakzaNe kam-upAyam karotu-iti praSnaH /
   uttaraṃ śuka āha-subuddhistaṃ duṣṭāśayaṃ jñātvā nijagṛhavastujātaṃ	uttaram SukaH Aha--su-budDiH-tam duzwa-ASayam jQAtvA nija-gRha-vastu-jAtam
   nijakalatraṃ ca prāsādopari kṣiptvā /	nija-kalatram ca prAsAda-upari kziptvA /
   ārohaṇikāṃ pātayāmāsa /	ArohaNikAm pAtayAmAsa /
   kubuddhiḥ samāyātaḥ /	kubudDiH samAyAtaH /
   subuddhirāha-evaṃ yadrocate tadasmadgṛhād gṛhyatām /	su-budDirAha-evam yat-rocate tat-asmad-gRhAt gRhyatAm /
   sa ca kalatrāharaṇāya niḥśreṇikāṃ dvābhyāṃ hastābhyāṃ jagrāha /	sa ca kalatra-AharaNAya niHSreNikAm dvAByAm hastAByAm jagrAha /
   tadā subuddhinoktam-mayaivaṃ pūrvaṃ gaditañca yad dvābhyāṃ hastābhyāṃ	tadA su-budDinA-uktam--mayA-evam pUrvam gaditaQca yat dvAByAm hastAByAm
   grahīṣyase tava tadave nānyat /	grahIzyase tava tadave na-anyat /
   tataḥ kubuddhirvilakṣo bhūtvā bahiryayau /	tatas kubudDiH-vilakzaH BUtvA bahis-yayO /
   janaiśca ninditaḥ /	janEH-ca ninditaH /
   iti kathāṃ śrutvā prabhāvatī suptā /	iti kaTAm SrutvA praBAvatI suptA /
   iti śukasaptatau catvāriṃśattamī kathā //	iti SukasaptatO catvAriMSattamI kaTA //
   START Suk 41:	START Suc 41:
   anyadā vaṇigvadhūḥ prāha-kīra! yadi tvaṃ manyase tadā gacchāmi /	anyadA vaNij-vaDUH prAha-kIra! yadi tvam manyase tadA gacCAmi /
   śukaḥ prāha--	SukaH prAha--
   yuktaṃ te gamanaṃ devi yadi tatra gatā satī /	yuktam te gamanam devi yadi tatra gatA satI /
   saṅkaṭe khalu vetsi tvaṃ kiñcidvaktuṃ dvijo yathā // Suk_41.1 (=194) //	saFkawe Kalu vetsi tvam kiQcid-vaktum dvijaH yaTA // Suc-_41.1 (=194) //
   prabhāvatī prāha-"kathametat'? śukaḥ-asti pañcapuraṃ nāma nagaram /	praBAvatI prAha-"kaTam-etat-a? SukaH-asti paQcapuram nAma nagaram /
   tatra śatrumardano nāma rājā /	tatra SatrumardanaH nAma rAjA /
   tatsutāyā madanarekhāyā gale granthirbabhūva /	tad-sutAyAH madana-reKAyAH gale granTiH-baBUva /
   vaidyairasādhyetyuktvā parityaktā tato rājñā ḍiṇḍimāghoṣaṇaṃ kāritaṃ yathā	vEdyEH-asADya-iti-uktvA parityaktA tatas rAjQA xiNximAGozaNam kAritam yaTA
   yaḥ ko 'pi matsutāṃ gatarogāṃ karoti tamahaṃ dāridryarahita karomīti	yaH kaH api mad-sutAm gata-rogAm karoti tam-aham dAridrya-rahita karomi-iti
   śrutvā paragrāmādāgatayā kayāciddvijabhāryayā ḍiṇḍimaḥ spṛṣṭaḥ /	SrutvA para-grAmAt-AgatayA kayAcid-dvija-BAryayA xiNximaH spRzwaH /
   tasminpṛṣṭe tayoktam-yanmama patirmāntrikaḥ /	tasmin-pRzwe tayA-uktam--yat-mama patiH-mAntrikaH /
   sa rājasutā praguṇāṃ vidhāsyati /	sa rAja-sutA praguNAm viDAsyati /
   tato rājapuruṣaiḥ samānītaḥ /	tatas rAja-puruzEH samAnItaH /
   tasya ca nīyamānasya bhāryā jagāda-"nātha! gaccha nagaram /	tasya ca nIyamAnasya BAryA jagAda-"-nATa! gacCa nagaram /
   rājasutāyāṃ praguṇīkṛtāyāṃ tava bahu phalaṃ bhāvi /	rAja-sutAyAm praguNIkRtAyAm tava bahu Palam BAvi /
   sa ca maṇḍalopaviṣṭo mantrādikamajānam kathaṃ bhavatviti praśnaḥ /	sa ca maNxala-upavizwaH mantra-Adikam-ajAnam kaTam Bavatu-iti praSnaH /
   śuka uttaraṃ prāha-sa māntrika ācāryavistāraṃ kṛtvā mantramityuccārayāmāsa	SukaH uttaram prAha-sa mAntrikaH AcArya-vistAram kRtvA mantram-iti-uccArayAmAsa
   hauṃ jīvaṇu jāṇauṃ kāiṃ caḍuḍai vāvai sāiṃ /	hOm jIvaNu jANOm kAim caxuxE vAvE sAim /
   ghalliu bambhaṇi vīsāsu paiṃ bhuñjasu sukaasu hāiṃ // Suk_41.2 (=195) //	Galliu bamBaNi vIsAsu pEm BuQjasu sukaasu hAim // Suc-_41.2 (=195) //
   [ahaṃ jīvanaṃ jānāmi kim tat piṣyate vihīyate /	[aham jIvanam jAnAmi kim tat pizyate vihIyate /
   gṛhe brāhmaṇi viśrāmya patiṃ sevasva sukhamevaṃ bhavati] // Suk_41.2*	gRhe brAhmaNi viSrAmya patim sevasva suKam-evam Bavati] // Suc-_41.2*
   vaṇaṃ iha ākhuriadantappahasantaaṃ /	vaNam iha AKuria-dantappahasantaam /
   kahiṃ pi aurantaambehi siṃgariaṃ // Suk_41.3 (=196) //	kahim pi Orantaambehi siMgariam // Suc-_41.3 (=196) //
   [vanamidamaṅkuritadantaprahasantaṃ /	[vanam-idam-aFkurita-danta-prahasantam /
   kutrāpi aṅkuritāmraiḥ śṛṅgāritam] // Suk_41.3* (=196*) //	kutra-api aFkurita-AmrEH SRFgAritam] // Suc-_41.3* (=196*) //
   sarasakhīramāliaphalabhāraṇājhipraṃ /	sarasa-KIra-mAlia-Pala-BAraNa-aJipram /
   kahiṃ pi ṭisburiṇijambuiṇiaasohiaṃ // Suk_41.4 (=197) //	kahim pi wi-sburiNijambuiNiaa-sohiam // Suc-_41.4 (=197) //
   [sarasakṣīramālikāphalabhāranāmitam /	[sarasa-kzIra-mAlikA-Pala-BAra-nAmitam /
   kutrāpi ṭimburiṇījambūnicayaśobhitam] // Suk_41.4* (=197*) //	kutra-api wimburiNI-jambU-nicaya-SoBitam] // Suc-_41.4* (=197*) //
   kahiṃ pi karavandāijālasaṃrāiaṃ /	kahim pi karavandAi-jAla-saMrAiam /
   kahiṃ pi kappūrakaṅkolagandhavahaṃ // Suk_41.5 (=198) //	kahim pi kappUra-kaFkola-ganDa-vaham // Suc-_41.5 (=198) //
   [kutrāpi karavindajālasaṃrājitam /	[kutra-api karavinda-jAla-saMrAjitam /
   kutrāpi karpūrakaṅkolagandhavaham] // Suk_41.5* (=198*) //	kutra-api karpUra-kaFkola-ganDa-vaham] // Suc-_41.5* (=198*) //
   devadāruppiaṅgucūamallīlāṃ /	devadAruppiaFgu-cUa-mallIlAm /
   kahiṃ pi sirikhaṇḍaaigarutarumaṇḍiaṃ // Suk_41.6 (=199) //	kahim pi siriKaNxaA-egarutaru-maNxiam // Suc-_41.6 (=199) //
   [devadārupriyaṅgucūtamallolatam /	[devadAru-priyaFgu-cUta-mallolatam /
   kutrāpi śrīkhaṇḍāgarutarumaṇḍitam] // Suk_41.6* (=199*) //	kutra-api SrIKaNxa-agaru-taru-maNxitam] // Suc-_41.6* (=199*) //
   ṇāapuṃṇāadāḍimavaraṇāḍambaraṃ /	NAa-puMNAa-dAxima-varaNa-Axambaram /
   maaraborīrhi kavivīhipīlughaṇaṃ // Suk_41.7 (=200) //	maaraborIH-hi kavi-vIhi-pIlu-GaNam // Suc-_41.7 (=200) //
   [nāgapunnāgadāḍimāvaraṇāḍambaram /	[nAga-punnAga-dAxima-AvaraNa-Axambaram /
   makarabadarokapitthavīthīpīlughanam] // Suk_41.7* (=200*) //	makara-badara-ukapitTa-vITI-pIlu-Ganam] // Suc-_41.7* (=200*) //
   dīhaghaṇavāsa jalīrhi aikhohiaṃ /	dIha-GaNa-vAsa jalIH-hi EKohiam /
   kahiṃ pi ratta-----ḍambaraṃ // Suk_41.8 (=201) //	kahim pi ratta------xambaram // Suc-_41.8 (=201) //
   [dīrghaghanavāsajālaiḥ atikṣobhitam /	[dIrGa-Gana-vAsa-jAlEH ati-kzoBitam /
   kutrāpi rakta------ḍambaram] // Suk_41.8* (=201*) //	kutra-api rakta-------xambaram] // Suc-_41.8* (=201*) //
   poṣphalīviḍavaghaṇakarammaruddhambaraṃ // Suk_41.9 (=202) //	pozPalI-vixava-GaNa-karam-marut-Dambaram // Suc-_41.9 (=202) //
