   ******************** ADHYAYA 1 ********************	******************** ADHYAYAH 1 ********************
   BhGR_9.28 //	BhGR_9.28 //
   mamemaṃ paramam atilokaṃ svabhāvaṃ śṛṇu	mama imam paramam ati lokam svaBAvam SRNu
   samo 'haṃ sarvabhūteṣu na me dveṣyo 'sti na priyaḥ |	samaH aham sarva BUtezu na me dvezyaH asti na priyaH |
   ye bhajanti tu māṃ bhaktyā mayi te teṣu cāpy aham || BhG_9.29 ||	ye Bajanti tu mAm BaktyA mayi te tezu ca api aham || Bhu _9.29 ||
   devatiryaṅmanuṣyasthāvarātmanā+avasthiteṣu jātitaś cākārataḥ svabhāvato	deva tiryak manuzya sTAvara AtmanA +avasTitezu jAtitaH ca AkArataH svaBAvataH 
   jñānataś cātyantotkṛṣṭāpakṛṣṭarūpeṇa vartamāneṣu sarveṣu bhūteṣu	jQAnataH ca atyanta utkRzwa apakRzwa rUpeNa vartamAnezu sarvezu BUtezu
   samāśrayaṇīyatve samo 'ham; ayaṃ jātyākārasvabhāvajñānādibhir nirkṛṣṭa iti	samASrayaNIya tve samaH aham; ayam jAti AkAra svaBAva jQAna AdiBiH nirkRzwaH iti
   samāśrayaṇe na me dveṣyo 'sti udvejanīyatayā na tyājyo 'sti / tathā	samASrayaNe na me dvezyaH asti udvejanIya tayA na tyAjyaH asti / taTA
   samāśritatvātirekeṇa jātyādibhir atyantotkṛṣṭo 'yam iti tadvyuktatayā	samASrita tva atirekeNa jAti AdiBiH atyanta utkRzwaH ayam iti tad vyukta tayA
   samāśrayaṇe na kaścit priyo 'sti na saṃgrāhyo 'sti / api tu	samASrayaNe na kaScid priyaH asti na saMgrAhyaH asti / api tu
   atyarthamatpriyatvena madbhajanena vinā+ātmadhāraṇālābhān	atyarTa mad priya tvena mad Bajanena vinA+Atma DAraNa alABAn
   madbhajanaikaprayojanā ye māṃ bhajante, te jātyādibhir utkṛṣṭā apakṛṣṭā vā	mad Bajana eka prayojanAH ye mAm Bajante, te jAti AdiBiH utkRzwAH apakRzwA vA
   matsamānaguṇavad yathāsukhaṃ mayy eva vartante / aham api teṣu	mad samAna guNavat yaTAsuKam mayi eva vartante / aham api tezu
   madutkṛṣṭeṣv iva varte // BhGR_9.29 //	mad utkRzwezu iva varte // BhGR_9.29 //
   tatrāpi	tatra api
   api cet sudurācāro bhajate mām ananyabhāk |	api ced su durAcAraH Bajate mAm ananya BAj |
   sādhur eva sa mantavyaḥ samyagvyavasito hi saḥ || BhG_9.30 ||	sADuH eva sa mantavyaH samyak vyavasitaH hi saH || Bhu _9.30 ||
   tatra tatra jātiviśeṣe jātānāṃ yaḥ samācāra upādeyaḥ pariharaṇīyaś ca,	tatra tatra jAti viSeze jAtAnAm yaH samAcAraH upAdeyaH pariharaNIyaH ca,
   tasmād ativṛtto 'py uktaprakāreṇa mām ananyabhāk bhajanaikaprayojano	tasmAt ativRttaH api ukta prakAreNa mAm ananya BAj Bajana eka prayojanaH 
   bhajate cet, sādhur eva saḥ vaiṣṇavāgresara eva saḥ / mantavyaḥ	Bajate cet, sADuH eva saH vEzNava agresaraH eva saH / mantavyaH
   bahumantavyaḥ pūrvoktais sama ityarthaḥ / kuta etat? samyagvyavasito hi	bahu mantavyaH pUrva uktEH samaH iti arTaH / kutas etat? samyak vyavasitaH hi
   saḥ yato 'sya vyavasāyaḥ susamīcīnaḥ bhagavān nikhilajagadekakāraṇabhūtaḥ	saH yatas asya vyavasAyaH su samIcInaH BagavAn niKila jagat eka kAraNa BUtaH
   paraṃ brahma nārāyaṇaś carācarapatir asmatsvāmī mama gurur mama suhṛn mama	param brahma nArAyaNaH carAcara patiH asmad svAmI mama guruH mama suhRd mama
   paramaṃ bhogyam iti sarvair duṣprāpo 'yaṃ vyavasāyas tena kṛtaḥ; tatkāryaṃ	paramam Bogyam iti sarvEH duzprApaH ayam vyavasAyaH tena kRtaH; tad kAryam
   cānanyaprayojanaṃ nirantaraṃ bhajanaṃ tasyāsti ataḥ sādhur eva;	ca ananya prayojanam nirantaram Bajanam tasya asti atas sADuH eva;
   bahumantavyaḥ / asmin vyavasāye, tatkārye coktaprakārabhajane saṃpanne	bahu mantavyaH / asmin vyavasAye, tad kArye ca ukta prakAra Bajane saMpanne
   sati tasyācāravyatikramaḥ svalpavaikalyam iti na tāvatā+anādaraṇīyaḥ, api	sati tasya AcAra vyatikramaH su alpa vEkalyam iti na tAvatA+anAdaraNIyaH, api
   tu bahumantavya evetyarthaḥ // BhGR_9.30 //	tu bahu mantavyaH eva iti arTaH // BhGR_9.30 //
   nanu "nāvirato duścaritān nāśānto nāsamāhitaḥ / nāśantamānaso vā+api	nanu "nAvirataH duScaritAt na aSAntaH na asamAhitaH / na aSanta mAnasaH vA+api
   prajñānenainam āpnuyāt // BhGR_1." ityādiśruteḥ ācāravyatikrama	prajQAnena enam ApnuyAt // BhGR_1." iti Adi SruteH AcAra vyatikrama
   uttarottarabhajanotpattipravāhaṃ niruṇaddhīty atra āha	uttarottara Bajana utpatti pravAham niruNadDi iti atra Aha
   kṣipraṃ bhavati dharmātmā śaśvacchāntiṃ nigacchati |	kzipram Bavati Darma AtmA SaSvat SAntim nigacCati |
   kaunteya pratijānīhi na me bhaktaḥ praṇaśyati || BhG_9.31 ||	kOnteya pratijAnIhi na me BaktaH praNaSyati || Bhu _9.31 ||
   matpriyatvakāritānanyaprayojanamadbhajanena vidhūtapāpatayaiva	mad priya tva kAritAn anya prayojana madBajanena viDUta pApa tayA eva
   samūlonmūlitarajastamoguṇaḥ kṣipraṃ dharmātmā bhavati kṣipram eva	sa mUla unmUlita rajaH tamaH guNaH kzipram Darma AtmA Bavati kzipram eva
   virodhirahitasaparikaramadbhajanaikamanā bhavati / evaṃrūpabhajanam eva hi	viroDiH ahita saparikara mat Bajana ekamanAH Bavati / evaMrUpa Bajanam eva hi
   "dharmasyāsya parantapa" iti upakrame dharmaśabdoditam / śaśvacchāntiṃ	"Darmasya asya parantapa" iti upakrame Darma Sabda uditam / SaSvat SAntim
   nigacchati śaśvatīm apunarāvartinīṃ matprāptivirodhyācāranivṛttiṃ gacchati	nigacCati SaSvatIm apunarAvartinIm mad prApti viroDi AcAra nivRttim gacCati
   / kaunteya tvam evāsminn arthe pratijñāṃ kuru madbhaktāv upakrānto	/ kOnteya tvam eva asmin arTe pratijQAm kuru mad BaktO upakrAntaH 
   virodhyācāramiśro 'pi na naśyati; api tu madbhaktimāhātmyena sarvaṃ	viroDi AcAra miSraH api na naSyati; api tu mad Bakti mAhAtmyena sarvam
   virodhijātaṃ nāśayitvā śāśvatīṃ virodhinivṛttim adhigamya kṣipraṃ	viroDi jAtam nASayitvA SASvatIm viroDi nivRttim aDigamya kzipram
   paripūrṇabhaktir bhavatīti // BhGR_9.31 //	paripUrNa BaktiH Bavati iti // BhGR_9.31 //
   māṃ hi pārtha vyapāśritya ye 'pi syuḥ pāpayonayaḥ |	mAm hi pArTa vyapASritya ye api syuH pApa yonayaH |
   striyo vaiśyās tathā śūdrās te 'pi yānti parāṃ gatim || BhG_9.32 ||	striyaH vESyAH taTA SUdrAH te api yAnti parAm gatim || Bhu _9.32 ||
   kiṃ punar brāhmaṇāḥ puṇyā bhaktā rājarṣayas tathā |	kim punar brAhmaNAH puNyAH BaktAH rAjarzayaH taTA |
   anityam asukhaṃ lokam imaṃ prāpya bhajasva mām || BhG_9.33 ||	anityam asuKam lokam imam prApya Bajasva mAm || Bhu _9.33 ||
   striyo vaiśyāḥ śūdrāś ca pāpayonayo 'pi māṃ vyapāśritya parāṃ gatiṃ yānti;	striyaH vESyAH SUdrAH ca pApa yonayaH api mAm vyapASritya parAm gatim yAnti;
   kiṃ punaḥ puṇyayonayo brāhmaṇā rājarṣayaś ca madbhaktim āsthitāḥ / atas	kim punar puNya yonayaH brAhmaNAH rAjarzayaH ca mad Baktim AsTitAH / atas 
   tvaṃ rājarṣir asthiraṃ tāpatrayābhihatatayā asukhaṃ cemaṃ lokaṃ prāpya	tvam rAjarziH asTiram tApa traya aBihata tayA asuKam ca imam lokam prApya
   vartamāno māṃ bhajasva // BhGR_9.32,33 //	vartamAnaH mAm Bajasva // BhGR_9.32,33 //
   bhaktisvarūpam āha	Bakti svarUpam Aha
   manmanā bhava madbhakto madyājī māṃ namaskuru |	mad manAH Bava mad BaktaH mad yAjI mAm namaskuru |
   mām evaiṣyasi yuktvaivam ātmānaṃ matparāyaṇaḥ || BhG_9.34 ||	mAm eva ezyasi yuktvA evam AtmAnam mad parAyaNaH || Bhu _9.34 ||
   manmanā bhava mayi sarveśvareśvare, nikhilaheyapratyanīkakalyāṇaikatāne,	mad manAH Bava mayi sarva ISvara ISvare, niKila heya pratyanIka kalyANa ekatAne,
   sarvajñe, satyasaṅkalpe nikhilajagadekakāraṇe, parasmin brahmaṇi,	sarvajQe, satya saFkalpe niKila jagat eka kAraNe, parasmin brahmaNi,
   puruṣottame, puṇḍarīkadalāmalāyatākṣe, svacchanīlajīmūtasaṅkāśe,	puruzottame, puNxarIka dalA amala Ayata akze, svacCa nIla jImUta saFkASe,
   yugapaduditadinakarasahasrasadṛśatejasi, lāvaṇyāmṛtamahodadhau,	yugapad udita dinakara sahasra sadRSa tejasi, lAvaNya amRta mahA udaDO,
   udārapīvaracaturbāhau, atyujjvalapītāmbare,	udAra pIvara catur bAhO, ati ujjvala pIta ambare,
   amalakirīṭamakarakuṇḍalahārakeyūrakaṭakabhūṣite,	amala kirIwa makara kuNxala hAra keyUra kawaka BUzite,
   apārakāruṇyasauśīlyasaundaryamādhuryagāmbhīryāudāryavātsalyajaladhau,	apAraka aruNya sOSIlya sOndarya mADurya gAmBIryA u dArya vAtsalya jalaDO,
   anālocitaviśeṣāśeṣalokaśaraṇye sarvasvāmini tailadhārāvad avicchedena	anAlocita viSeza aSeza loka SaraNye sarva svAmini tEla DArAvat avicCedena
   niviṣṭamanā bhava / tad eva viśinaṣṭi madbhaktaḥ atyarthamatpriyatvena	nivizwa manAH Bava / tat eva viSinazwi mad BaktaH atyarTa mad priya tvena
   yukto manmanā bhavetyarthaḥ / punar pi viśinaṣṭi madyājī	yuktaH mad manAH Bava iti arTaH / punar pi viSinazwi mad yAjI
   anavadhikātiśayapriyamadanubhavakāritamadyajanaparo bhava / yajanaṃ	anavaDika atiSaya priyamadanuBava kArita madya jana paraH Bava / yajanam
   nāmaparipūrṇaśeṣavṛttiḥ /	nAma paripUrNa Seza vRttiH /
   aupacārikasāṃsparśikābhyavahārikādisakalabhogapradānarūpo hi yāgaḥ / yathā	OpacArika sAMsparSika aByavahArikA Adi sakala Boga pradAna rUpaH hi yAgaH / yaTA
   madanubhavajanitanirvadhikātiśayaprītikāritamadyajanaparo bhavasi, tathā	mad anuBava janita nirvaDikA atiSaya prIti kArita madya jana paraH Bavasi, taTA
   manmanā bhavety uktaṃ bhavati / punar api tad eva viśinaṣṭi māṃ namaskuru	mad manAH Bava iti uktam Bavati / punar api tat eva viSinazwi mAm namaskuru
   / anavadhikātiśayapriyamadanubhavakāritātyarthapriyāśeṣaśeṣavṛttau	/ anavaDika atiSaya priyamadanuBava kAritA atyarTa priya aSeza Seza vRttO
   aparyavasyan mayy antarātmani atimātraprahvībhāvavyavasāyaṃ kuru /	aparyavasyan mayi antarAtmani atimAtra prahvIBAva vyavasAyam kuru /
   matparāyaṇaḥ aham eva param ayanaṃ yasyāsau matparāyaṇaḥ; mayā	mad parAyaNaH aham eva param ayanam yasya asO mad parAyaNaH; mayA
   vinā+ātmadhāraṇāsaṃbhāvanayā madāśraya ityarthaḥ / evam ātmānaṃ yuktvā	vinA a+a Atma DAraNa asaMBAvanayA mad ASrayaH iti arTaH / evam AtmAnam yuktvA
   matparāyaṇas evam anavadhikātiśayaprītyā madanubhavasamarthaṃ manaḥ prāpya	mad parAyaNaH evam anavaDika atiSaya prItyA mad anuBava samarTam manaH prApya
   mām evaiṣyasi / ātmaśabdo hy atra manoviṣayaḥ / evaṃrūpeṇa manasā māṃ	mAm eva ezyasi / Atma SabdaH hi atra manaH vizayaH / evaMrUpeNa manasA mAm
   dhyātvā mām anubhūya mām iṣṭvā māṃ namaskṛtya matparāyaṇo mām eva	DyAtvA mAm anuBUya mAm izwvA mAm namaskRtya mad parAyaNaH mAm eva
   prāpsyasītyarthaḥ / tad evaṃ laukikāni śarīradhāraṇārthāni, vaidikāni ca	prApsyasi iti arTaH / tat evam lOkikAni SarIra DAraNa arTAni, vEdikAni ca
   nityanaimittikāni karmāṇi matprītaye maccheṣataikaraso mayaiva kārita iti	nitya nEmittikAni karmANi mad prItaye mad Seza tA eka rasaH mayA eva kAritaH iti
   kurvan satataṃ matkīrtanayatananamaskārādikān prītyā kurvāṇo manniyāmyaṃ	kurvan satatam mad kIrtanayatana namaskAra AdikAn prItyA kurvANaH mad niyAmyam
   nikhilajagan maccheṣataikarasam iti cānusandhānaḥ	niKila jagat mad Seza tA eka rasam iti ca anusanDAnaH
   atyarthapriyamadguṇagaṇaṃ cānusandhāyāharahar uktalakṣaṇam idam upāsanam	atyarTa priya madguNa gaNam ca anusanDAya aharahar ukta lakzaNam idam upAsanam
   upādadāno mām eva prāpsyasi // BhGR_9.34 //	upAdadAnaH mAm eva prApsyasi // BhGR_9.34 //
   ******************** ADHYAYA 10 ********************	******************** ADHYAYAH 10 ********************
   bhaktiyogaḥ saparikara uktaḥ / idānīṃ bhaktyutpattaye tadvivṛddhaye ca	Bakti yogaH sa parikaraH uktaH / idAnIm Bakti utpattaye tad vivRdDaye ca
   bhgavato niraṅkuśāiśvaryādikalyāṇaguṇagaṇānantyam, kṛtsnasya jagatas	BgavataH niraFkuSa aiSvarya Adi kalyANa guNa gaNa Anantyam, kRtsnasya jagata s
   taccharīratayā tadātmakatvena tatpravartyatvaṃ ca prapañcyate	tad SarIra tayA tad Atmaka tvena tat pravartya tvam ca prapaQcyate
   śrībhagavān uvāca	SrI BagavAn uvAca
   bhūya eva mahābāho śṛṇu me paramaṃ vacaḥ |	BUyas eva mahA bAho SRNu me paramam vacaH |
   yat te 'haṃ prīyamāṇāya vakṣyāmi hitakāmyayā || BhG_1.101 ||	yat te aham prIyamANAya vakzyAmi hita kAmyayA || Bhu _1.101 ||
   mama māhātmyaṃ śrutvā prīyamāṇāya te	mama mAhAtmyam SrutvA prIyamANAya te
   madbhaktyutpattivivṛddhirūpahitakāmanayā bhūyo manmāhātmyaprapañcaviṣayam	mad Bakti utpatti vivRdDi rUpa hita kAmanayA BUyas mad mAhAtmya prapaQca vizayam
   eva paramaṃ vaco yad vakṣyāmi; tad avahitamanāś śṛṇu // BhGR_1.101 //	eva paramam vacaH yat vakzyAmi; tat avahita manAH SRNu // BhGR_1.101 //
   na me viduḥ suragaṇāḥ prabhavaṃ na maharṣayaḥ |	na me viduH sura gaNAH praBavam na mahA RzayaH |
   aham ādir hi devānāṃ maharṣīṇāṃ ca sarvaśaḥ || BhG_1.102 ||	aham AdiH hi devAnAm mahA RzINAm ca sarvaSas || Bhu _1.102 ||
   suragaṇā maharṣayaś cātīndriyārthadarśino 'dhikatarajñānā api me prabhavaṃ	sura gaNAH mahA RzayaH ca atIndriya arTa darSinaH aDikatara jQAnAH api me praBavam
   prabhāvaṃ na viduḥ mama nāmakarmasvarūpasvabhāvādikaṃ na jānanti; yatas	praBAvam na viduH mama nAmakarma svarUpa svaBAva Adikam na jAnanti; yatas 
   teṣāṃ devānāṃ maharṣīṇāṃ ca sarvaśo 'ham ādiḥ teṣāṃ svarūpasya	tezAm devAnAm mahA RzINAm ca sarvaSas aham AdiH tezAm svarUpasya
   jñānaśaktyādeś cāham ādiḥ; teṣāṃ devatvamaharṣitvādihetubhūtapuṇyānuguṇaṃ	jQAna Sakti AdeH ca aham AdiH; tezAm deva tvam ahA Rzi tva Adi hetu BUta puNya anuguNam
   mayā dattaṃ jñānaṃ parimitam; atas te parimitajñānā matsvarūpādikaṃ	mayA dattam jQAnam parimitam; atas te parimita jQAnAH mad svarUpa Adikam
   yathāvan na jānanti // BhGR_1.102 //	yaTAvat na jAnanti // BhGR_1.102 //
   tad etad devādyacintyasvayāthātmyaviṣayajñānaṃ	tat etat deva Adi acintya sva yATAtmya vizaya jQAnam
   bhaktyutpattivirodhipāpavimocanopāyam āha	Bakti utpatti viroDi pApa vimocana upAyam Aha
   yo mām ajam anādiṃ ca vetti lokamaheśvaram |	yaH mAm ajam anAdim ca vetti loka maheSvaram |
   asaṃmūḍhas sa martyeṣu sarvapāpaiḥ pramucyate || BhG_1.103 ||	asaMmUXaH sa martyezu sarva pApEH pramucyate || Bhu _1.103 ||
   na jāyata ity ajaḥ, anena vikāridravyād acetanāt tatsaṃsṛṣṭāt	na jAyate iti ajaH, anena vikAridravyAt acetanAt tad saMsRzwAt 
   saṃsāricetanāc ca visajātīyatvam uktam / saṃsāricetanasya hi	saMsAri cetanAt ca visajAtIya tvam uktam / saMsAri cetanasya hi
   karmakṛtācitsaṃsargo janma / anādim ity anena padena ādimato 'jān	karma kRtAcid saMsargaH janma / anAdim iti anena padena AdimataH ajAn
   muktātmano visajātīyatvam uktam / muktātmano hy ajatvam ādimat; tasya	mukta AtmanaH visajAtIya tvam uktam / mukta AtmanaH hi aja tvam Adimat; tasya
   heyasaṃbandhasya pūrvavṛttatvāt tadarhatāsti / ato 'nādim ity anena	heya saMbanDasya pUrva vRtta tvAt tad arhatA asti / atas anAdim iti anena
   tadanarhatayā tatpratyanīkatocyate; "niravadyam" ityādiśrutyā ca / evaṃ	tad anarhatayA tad pratyanIka tA ucyate; "niravadyam" ityAdi SrutyA ca / evam
   heyasaṃbandhapratyanīkasvarūpatayā tadanarhaṃ māṃ lokamaheśvaram	heya saMbanDa pratyanIka svarUpa tayA tad anarham mAm loka maheSvaram
   lokeśvarāṇām apīśvaraṃ martyeṣv asaṃmūḍho yo vetti;	loka ISvarANAm api ISvaram martyezu asaMmUXaH yaH vetti;
   itarasajātīyatayaikīkṛtya mohaḥ saṃmohaḥ, tadrahito 'saṃmūḍhaḥ sa	itarasa jAtIya tayA ekIkRtya mohaH saMmohaH, tat rahitaH asaMmUXaH sa
   madbhaktyutpattivirodhibhis sarvaiḥ pāpaiḥ pramucyate / etad uktaṃ bhavati	mad Bakti utpatti viroDiBiH sarvEH pApEH pramucyate / etat uktam Bavati
   loke manuṣyāṇāṃ rājā itaramanuṣyasajātīyaḥ kenacit karmaṇā tadādhipatyaṃ	loke manuzyANAm rAjA itara manuzya sajAtIyaH kenacid karmaNA tad ADipatyam
   prāptaḥ; tathā devānām adhipatir api; tathāṇḍādhipatir	prAptaH; taTA devAnAm aDipatiH api; taTA aNxa aDipatiH 
   apītarasaṃsārisajātīyaḥ; tasyāpi bhāvanātrayāntargatatvāt / "yo brahmāṇaṃ	api itara saMsAri sajAtIyaH; tasya api BAvanA traya antargata tvAt / "yaH brahmANam
   vidadhāti" iti śruteś ca / tathānye 'pi ye kecanāṇimādyaiśvaryaṃ prāptāḥ /	vidaDAti" iti SruteH ca / taTA anye api ye kecana aNima Adi ESvaryam prAptAH /
   ayaṃ tu lokamaheśvaraḥ kāryakāraṇāvasthād acetanād baddhān muktāc ca	ayam tu loka maheSvaraH kArya kAraNa avasTAt acetanAt badDAt muktAt ca
   cetanād iśitavyāt sarvasmān	cetanAt iSitavyAt sarvasmAn
   nikhilaheyapratyanīkānavadhikātiśayāsaṃkhyeyakalyāṇaguṇaikatānatayā	niKila heya pratyanIkAna vaDika atiSaya asaMKyeya kalyANa guNa eka tAna tayA
   niyamanaikasvabhāvatayā ca visajātīya itītrasajātīyatāmoharahito yo māṃ	niyamana eka svaBAva tayA ca visajAtIyaH iti itrasa jAtIyatA moha rahitaH yaH mAm
   vetti, sa sarvaiḥ pāpaiḥ pramucyate iti // BhGR_1.103 //	vetti, sa sarvEH pApEH pramucyate iti // BhGR_1.103 //
   evaṃ svasvabhāvānusandhānena bhaktyutpattivirodhipāpanirasanam,	evam sva svaBAva anusanDAnena Bakti utpatti viroDi pApa nirasanam,
   virodhinirasanā devārthato bhaktyutpattiṃ ca pratipādya	viroDi nirasanAH deva arTataH Bakti utpattim ca pratipAdya
   svāiśvaryasvakalyāṇaguṇagaṇaprapañcānusandhānena bhaktivivṛddhiprakāram	svAi Svarya sva kalyANa guNa gaNa prapaQca anusanDAnena Bakti vivRdDi prakAram
   āha	Aha
   buddhir jñānam asaṃmohaḥ kṣamā satyaṃ damaḥ śamaḥ |	budDiH jQAnam asaMmohaH kzamA satyam damaH SamaH |
   sukhaṃ duḥkhaṃ bhavo 'bhāvo bhayaṃ cābhayam eva ca || BhG_1.104 ||	suKam duHKam BavaH aBAvaH Bayam ca aBayam eva ca || Bhu _1.104 ||
   ahiṃsā samatā tuṣṭhis tapo dānaṃ yaśo 'yaśaḥ |	ahiMsA sama tA tuzWiH tapaH dAnam yaSaH ayaSaH |
   bhavanti bhāvā bhūtānāṃ matta eva pṛthagvidhāḥ || BhG_1.105 ||	Bavanti BAvAH BUtAnAm mattaH eva pRTagviDAH || Bhu _1.105 ||
   buddhiḥ manaso nirūpaṇasāmarthyam, jñānam cidacidvastuviśeṣaviṣayo	budDiH manasaH nirUpaNa sAmarTyam, jQAnam cit acit vastu viSeza vizayaH 
   niścayaḥ, asaṃmohaḥ pūrvagṛhītād rajatāder visajātīye śuktikādivastuni	niScayaH, asaMmohaH pUrva gRhItAt rajata AdeH visajAtIye SuktikA Adi vastuni
   sajātīyatābuddhinivṛttiḥ; kṣamā manovikārahetau saty apy avikṛtamanastvam;	sajAtIyatA budDi nivRttiH; kzamA manaH vikAra hetO sati api avikRta manaH tvam;
   satyam yathādṛṣṭaviṣayaṃ bhūtahitarūpaṃ vacanam / tadanuguṇā manovṛttir	satyam yaTAdRzwa vizayam BUta hita rUpam vacanam / tad anuguNA manaH vRttiH 
   ihābhipretā, manovṛttiprakaraṇāt / damaḥ bāhyakaraṇānām anarthaviṣayebhyo	iha aBipretA, manaH vRtti prakaraNAt / damaH bAhya karaNAnAm anarTa vizayeByaH 
   niyamanam; śamaḥ antaḥkaraṇasya tathā niyamanam; sukham	niyamanam; SamaH antaHkaraNasya taTA niyamanam; suKam
   ātmānukūlānubhavaḥ; duḥkham pratikūlānubhavaḥ; bhavaḥ bhavanam;	Atma anukUla anuBavaH; duHKam pratikUla anuBavaH; BavaH Bavanam;
   anukūlānubhavahetukaṃ manaso bhavanam; abhāvaḥ pratikūlānubhavahetuko	anukUla anuBava hetukam manasaH Bavanam; aBAvaH pratikUla anuBava hetu kaH 
   manaso 'vasādaḥ; bhayam āgāmino duḥkhasya hetudarśanajaṃ duḥkham;	manasaH avasAdaH; Bayam AgAminaH duHKasya hetu darSana jam duHKam;
   tannivṛttiḥ abhayam; ahiṃsā paraduḥkhāhetutvam; samatā ātmani sukṛtsu	tad nivRttiH aBayam; ahiMsA para duHKa ahetu tvam; sama tA Atmani sukRtsu
   vipakṣeṣu cārthānarthayos samamatitvam; tuṣṭiḥ sarveṣv ātmasu dṛṣṭeṣu	vipakzezu ca arTa anarTayoH samam ati tvam; tuzwiH sarvezu Atmasu dRzwezu
   toṣasvabhāvatvam; tapaḥ śāstrīyo bhogasaṅkocarūpaḥ kāyakleśaḥ; dānam	toza svaBAva tvam; tapaH SAstrIyaH Boga saFkoca rUpaH kAya kleSaH; dAnam
   svakīyabhogyānaṃ parasmai pratipādanam; yaśaḥ guṇavattāprathā; ayaśaḥ	svakIya BogyAnam parasmE pratipAdanam; yaSaH guNavattA praTA; ayaSaH
   nairguṇyaprathā / etac cobhayaṃ tadanuguṇamanovṛttidvayaṃ mantavyam,	nErguNya praTA / etat ca uBayam tad anuguNa manaH vRtti dvayam mantavyam,
   tatprakaraṇāt / tapodāne ca tathā / evam ādyāḥ sarveṣāṃ bhūtānāṃ bhāvāḥ	tad prakaraNAt / tapaH dAne ca taTA / evam AdyAH sarvezAm BUtAnAm BAvAH
   pravṛttinivṛttihetavo manovṛttayo matta eva matsaṅkalpāyattā bhavanti //	pravRtti nivRtti hetavaH manaH vRttayaH mattaH eva mad saFkalpa AyattAH Bavanti //
   BhGR_1.104,5 //	BhGR_1.104,5 //
   sarvasya bhūtajātasya sṛṣṭisthityoḥ pravartayitāraś ca	sarvasya BUta jAtasya sRzwi sTityoH pravartayitAraH ca
   matsaṃkalpāyattapravṛttaya ity āha	mad saMkalpa Ayatta pravRttayaH iti Aha
   maharṣayas sapta pūrve catvāro manavas tathā |	mahA RzayaH sapta pUrve catvAraH manavaH taTA |
   madbhāvā mānasā jātā yeṣāṃ loka imāḥ prajāḥ || BhG_1.106 ||	mad BAvAH mAnasAH jAtAH yezAm loke imAH prajAH || Bhu _1.106 ||
   pūrve sapta maharṣayaḥ atītamanvantare ye bhṛgvādayas sapta maharṣayo	pUrve sapta mahA RzayaH atIta manvantare ye BRgu AdayaH sapta mahA RzayaH 
   nityasṛṣṭipravartanāya brahmaṇo manassaṃbhavāḥ, nityasthitipravartanāya ye	nitya sRzwi pravartanAya brahmaNaH mana ssaMBavAH, nitya sTiti pravartanAya ye
   ca sārvaṇikā nāma catvāro manavaḥ sthitāḥ, yeṣāṃ santānamaye loke jātā	ca sArvaNikA nAma catvAraH manavaH sTitAH, yezAm santAna maye loke jAtA
   imāḥ sarvāḥ prajāḥ pratikṣaṇam āpralayād apatyānām utpādakāḥ pālakāś ca	imAH sarvAH prajAH pratikzaNam ApralayAt apatyAnAm utpAdakAH pAlakAH ca
   bhavanti te bhṛgvādayo manavaś ca madbhāvāḥ mama yo bhāvaḥ sa eva yeṣāṃ	Bavanti te BRgu AdayaH manavaH ca mad BAvAH mama yaH BAvaH saH eva yezAm
   bhāvaḥ te madbhāvāḥ, manmate sthitāḥ, matsaṅkalpā1nuvartina ityarthaḥ //	BAvaH te mad BAvAH, mad mate sTitAH, mad saFkalpA1nuvartinaH iti arTaH //
   BhGR_1.106 //	BhGR_1.106 //
   etāṃ vibhūtiṃ yogaṃ ca mama yo vetti tattvataḥ |	etAm viBUtim yogam ca mama yaH vetti tattvataH |
   so 'vikampena yogena yujyate nātra saṃśayaḥ || BhG_1.107 ||	saH avikampena yogena yujyate na atra saMSayaH || Bhu _1.107 ||
   vibhūtiḥ aiśvaryam / etāṃ sarvasya madāyattotpattisthitipravṛttitārūpāṃ	viBUtiH ESvaryam / etAm sarvasya mad Ayatta utpatti sTiti pravRttitA rUpAm
   vibhūtim, mama heyapratyanīkakalyāṇaguṇagaṇarūpaṃ yogaṃ ca yas tattvato	viBUtim, mama heya pratyanIka kalyANa guNa gaNa rUpam yogam ca yaH tattvataH 
   vetti, so 'vikampena aprakampyena bhaktiyogena yujyate / nātra saṃśayaḥ /	vetti, saH avikampena aprakampyena Bakti yogena yujyate / na atra saMSayaH /
   madvibhūtiviṣayaṃ kalyāṇaguṇaviṣayaṃ ca jñānaṃ bhaktiyogavardhanam iti	mad viBUti vizayam kalyANa guNa vizayam ca jQAnam Bakti yoga varDanam iti
   svayam eva drakṣyasītyabhiprāyaḥ // BhGR_1.107 //	svayam eva drakzyasi iti aBiprAyaH // BhGR_1.107 //
   vibhūtijñānavipākarūpāṃ bhaktivṛddhiṃ darśayati	viBUti jQAna vipAka rUpAm Bakti vRdDim darSayati
   ahaṃ, sarvasya prabhavo mattaḥ sarvaṃ pravartate |	ahaM, sarvasya praBavaH mattaH sarvam pravartate |
   iti matvā bhajante māṃ budhā bhāvasamanvitāḥ || BhG_1.108 ||	iti matvA Bajante mAm buDAH BAva samanvitAH || Bhu _1.108 ||
   ahaṃ, sarvasya vicitracidacitprapañcasya prabhavaḥ utpattikāraṇam, sarvaṃ	ahaM, sarvasya vicitra cit acit prapaQcasya praBavaH utpatti kAraNam, sarvam
