   atha śabdādhyāyaḥ //	aTa Sabda-aDyAyaH //
   pūrvāparamadhyavartinaḥ kṣodaprasaṅgāt; na hi tasya pūrvasmādapi	pUrva-apara-maDya-vartinaH kzoda-prasaFgAt; na hi tasya pUrvasmAt-api
   pūrvatvameva, uttarasmādapyuttaratvameva vā /	pUrva-tvam-eva, uttarasmAt-api-uttara-tvam-eva vA /
   kṣudyatāṃ kṣaṇopīti cenna, sarvāpahnavaprasaṅgāt, iti /	kzudyatAm kzaNa-upI-iti ced-na, sarva-apahnava-prasaFga-at, iti /
   tiṣṭhattvetat; dvitīyopi dṛṣṭānto viśiṣṭapara eva, anyathā	tizWat-tu-etat; dvitIyopi dRzwAntaH viSizwa-paraH eva, anyaTA
   vyāvṛttapratītyanudayaprasaṅgāt, prakṛṣṭatvādiviśeṣaṇavaiyarthyācca /	vyAvRtta-prati-iti-anudaya-prasaFga-at, prakRzwa-tva-Adi-viSezaNa-vEyarTyAt-ca /
   evaṃ śrutibādhopyanumānayorvaktavyaḥ,	evam Sruti-bADopi-anumAnayoH-vaktavyaH,
   paryāyatulyatvādiprasaṅgalakṣaṇapratikūlatarkaśca /	paryAya-tulya-tva-Adi-prasaFga-lakzaNa-pratikUla-tarkaH-ca /
   tathā vipratipannaṃ vākyaṃ viśiṣṭaparam, ākāṅkṣāyuktavākyatvāt,	taTA vipratipannam vAkyam viSizwa-param, AkAFkzA-yukta-vAkya-tva-at,
   vyadhikaraṇavākyavat, iti bādhakamanumānamapi, pratipattyanurodhāt	vyaDikaraNa-vAkyavat, iti bADakam-anumAnam-api, pratipatti-anuroDAt
   dṛṣṭāntasiddheścāsya balīyastvam /	dRzwAnta-sidDeH-ca-asya balIyaH-tvam /
   bhinnapravṛttinimittānāṃ śabdānāmekasminnarthe vṛttiḥ sāmānādhikaraṇyamiti	Binna-pravRtti-nimittAnAm SabdAnAm-ekasmin=-arTe vRttiH sAmAnADikaraNyam-iti
   śābdairevoktam /	SAbdEH-eva-uktam /
   tatra bhinnapravṛttinimittānāmiti paryāyavyāvṛttiḥ /	tatra Binna-pravRtti-nimittAnAm-iti paryAya-vyAvRttiH /
   ekasminniti vyadhikaraṇānāṃ ghaṭaḥ paṭaityādyananvitānāṃ ca	ekasmin=-iti vyaDikaraNAnAm GawaH pawa-etya-Adi-an-anvitAnAm ca
   vyavacchedārtham /	vyavacCeda-arTam /
   śabdānām arthe iti ca vyaktyarthameva, arthe iti viśeṣyasya pradhānatayā	SabdAnAm arTe iti ca vyakti-arTam-eva, arTe iti viSezyasya praDAna-tayA
   vācyatvasūcanārthaṃ vā /	vAcya-tva-sUcana-arTam vA /
   tena vyadhikaraṇavākyeṣvekapradhānārthe vṛttisaṃbhavepiva tasya	tena vyaDikaraNa-vAkyezu-eka-praDAna-arTe vRtti-saMBavepiva tasya
   viśeṣyatavabhāvād vyavacchedyatā /	viSezyatava-BAvAt vyavacCedyatA /
   viśeṣyabodhanavyāpāro vṛttiḥ pravṛttiriti ca sāmānyato viśeṣataścātrocyate	viSezya-boDana-vyApAraH vRttiH pravRttiH-iti ca sAmAnyatas viSezataH-ca-atra-ucyate
   prakṛṣṭā hi vṛttiḥ pravṛttiḥ /	prakRzwA hi vRttiH pravRttiH /
   prakarṣaścātra viśeṣyaviṣayatayā /	prakarzaH-ca-atra viSezya-vizaya-tayA /
   tatra yadupādhikā viśeṣye śabdavṛttiḥ, tat pravṛttinimittam /	tatra yat-upADikA viSezye Sabda-vRttiH, tat pravRtti-nimittam /
   bhinnaviśeṣaṇadvāreṇaikaviśeṣyābhidhānaṃ sāmānādhikaraṇyamityuktaṃ bhavati	Binna-viSezaNa-dvAreNa-eka-viSezya-aBiDAnam sAmAnADikaraNyam-iti-uktam Bavati
   nyā. pa. śa. 15 nanu pauruṣeyaṃ sarvamanvitārthamiti pratipāditam,	nyA. pa. Sa. 15 nanu pOruzeyam sarvam-anvita-arTam-iti pratipAditam,
   tannopapadyate, guṇavadvaktṛpraṇītasyaiva vākyasya tathātvadarśanāt, iti	tat-na-upapadyate, guNavat-vaktR-praNItasya-eva vAkyasya taTA-tva-darSana-at, iti
   cenna, svataḥ prāmāṇyāt, svarasato hi sarvaṃ	ced-na, svatas prAmANya-at, svarasataH hi sarvam
   jñānasabādhitavyavahārajanakaṃ dṛśyate /	jQAna-sabADita-vyavahAra-janakam dRSyate /
   bhedāgrahādiviśeṣopādhikaṃ hi kvacid bādhyavyavahārahetutvam /	Beda-agraha-Adi-viSeza-upADikam hi kvacid bADya-vyavahAra-hetu-tvam /
   tataḥ svābhāvikamapi prāmāṇyaṃ pratibandhakena doṣeṇa kvacidapahnutam;	tatas svABAvikam-api prAmANyam pratibanDakena dozeNa kvacid-apahnutam;
   yathāgnerauṣṇyam /	yaTA-agneH-OzNyam /
   tatra tadaṃśāpekṣayā prāmāṇyameva /	tatra tad-aMSa-apekzayA prAmANyam-eva /
   guṇāstu saṃbhāvitadoṣasthale doṣanirākaraṇaupayikāḥ, pramāṇyasya	guNAH-tu saMBAvita-doza-sTale doza-nirAkaraNa-OpayikAH, pramANyasya
   tairvyāptyabhāvāt, nityasarvajñavādināṃ pramāṇabhūte tajjñāne vyabhicārāt	tEH-vyApti-aBAvAt, nitya-sarvajQa-vAdinAm pramANa-BUte tad-jQAne vyaBicArAt-
   aprāmāṇyasya tu doṣādhīnatvamavyabhicaritānvayavyatirekasiddham /	aprAmANyasya tu doza-aDIna-tvam-avyaBicarita-anvaya-vyatireka-sidDam /
   avastunoprāmāṇyasya kathaṃ hetusādhyatvamiti cenna,	avastunA-uprAmANyasya kaTam hetu-sADya-tvam-iti ced-na,
   saṃśayatvaviparyayatvādirūpasya tasyāvastutvābhāvāt, bhāvāntarātiriktasya	saMSaya-tva-viparyaya-tva-Adi-rUpasya tasya-avastu-tva-aBAva-at, BAva-antara-atiriktasya
   cābhāvasyāsmābhiranabhyupagamāt, abhyupagamepi pradhvaṃsasya	ca-aBAvasya-asmABiH-anaByupagamAt, aByupagamepi praDvaMsasya
   mudgarādisādhyatvadṛṣṭeḥ /	mudgara-Adi-sADya-tva-dRzweH /
   tadvat pramāpi samyaṅmithyābodhasādhāraṇādatiriktasahitā jāyate, kāryatve	tadvat pramA-api samyak-miTyA-boDa-sADAraNAt-atirikta-sahitAH jAyate, kAryatve
   sati tadviśeṣatvāt, apramāvat; prāmāṇyaṃ parato jñāyate, anabhyāsadaśāyāṃ	sati tad-viSeza-tva-at, apramAvat; prAmANyam paratas jQAyate, anaByAsa-daSAyAm
   sāṃśayikatvāt, aprāmāṇyavat, iti cet, tatra prathame kṛtsnapramāpakṣīkāre	sAMSayika-tvAt, aprAmANyavat, iti cet, tatra praTame kRtsna-pramA-pakzIkAre
   hetoḥ svamate bhāgāsiddhirḥ, iśvarapramāyā nityatvābhyupagamāt /	hetoH sva-mate BAga-asidDiH-H, iSvara-pramAyA nitya-tva-aByupagamAt /
   anīśvarapramāpakṣīkāre yāvadīśvarasiddhi vyarthaṃ viśeṣaṇam /	anISvara-pramA-pakzIkAre yAvat-ISvara-sidDi vyarTam viSezaNam /
   riśvarānumānasamanantaraṃ prayogaḥ iti cenna, tasya	riSvara-anumAna-samanantaram prayogaH iti ced-na, tasya
   śāstrayonyadhikaraṇanyāyenānumātumaśakyatvāt /	SAstra-yoni-aDikaraNa-nyAyena-anumAtum-aSakyatvAt /
   tarhi viśeṣaṇaṃ na prayokṣyāmahe iti cenna,	tarhi viSezaNam na prayokzyAmahe iti ced-na,
   svābhimateśvarapramayānaikāntyāt /	sva-aBimateSvara-pramayAnEkAntyAt /
   anabhyupagateśvaraiḥ saugatādibhirevaṃ prayoge kaḥ parihāraḥ iti cenna,	anaByupagata-ISvarEH sOgata-AdiBiH-evam prayoge kaH parihAraH iti ced-na,
   śrutisiddhanityapramāsamarthanena bādhasyānaikāntikasya vā vaktuṃ	Sruti-sidDa-nitya-pramA-sam-arTanena bADasya-anEkAntikasya vA vaktum
   śakyatvāt /	Sakya-tvAt /
   śrutisiddhanityapramāvyavacchedena kāryatvaviśeṣaṇaṃ saphalaṃ syāt hi cet,	Sruti-sidDa-nitya-pramAvi-a-vacCedena kAryatva-viSezaNam saPalam syAt hi ced-,
   tarhi śrutyā tatsiddhiḥ śrutiprāmāṇyanirṇayamantareṇa kathaṃ syāt ? /	tarhi SrutyA tad-sidDiH Sruti-prAmANI-anirNayam-antareNa kaTam syAt ? /
   tatprāmāṇyaṃ ca nityanirdeṣatayābhyupagamyate cet, kathaṃ tatra parataḥ	tad-prAmANyam ca nitya-nirdeza-tayA-aByupagamyate cet, kaTam tatra paratas-
   prāmāṇyetpattiḥ ? vaktṛguṇādhīnaṃ vākyānāṃ prāmāṇyamiti hi vaḥ siddhāntaḥ	prAmANyet-pattiH ? vaktR-guNa-aDInam vAkyAnAm prAmANyam-iti hi vaH sidDAntaH
   nirdeṣataiva guṇaḥ, iti tadadhīnatayā tatra parataḥ prāmāṇyamiti cenna,	nirdeza-tA-eva guNaH, iti tad-aDIna-tayA tatra paratas prAmANyam-iti ced-na,
   pratibandhakābhāvasya paraiḥ kāraṇatvānabhyupagamāt /	pratibanDaka-aBAvasya parEH kAraNa-tva-anaByupagamAt /
   abhyupagame ca tāvanmātradhīnatvepi vedāpauruṣeyatvanityatvāderavirodhāt;	aByupagame ca tAvat-mAtR-a-DIna-tvepi veda-apOruzeya-tva-nitya-tva-AdeH-aviroDAt;
   vedapauruṣeyatvādisiddhyarthaṃ hi vaḥ parataḥ prāmāṇyasamarthanārambhaḥ /	veda-pOruzeya-tva-Adi-sidDi-arTam hi vaH paratas prAmANya-samarTana-AramBaH /
   tadapauruṣeyatvādisiddhyarthameva cāsmābhiḥ svataḥ prāmāṇyaṃ pratipādyate	tad-apOruzeya-tva-Adi-sidDi-arTam-eva ca-asmABiH svatas prAmANyam pratipAdyate
   athāptoktatayā vedaprāmāṇyādīśvarasiddhau tatpramāvyavacchedāya	aTa-Apta-ukta-tayA veda-prAmANyAt-ISvara-sidDO tad-pramAvya-vat-CedAya
   viśeṣaṇamitīṣyate, tadapi na, parataḥ prāmāṇye nirṇīte	viSezaNam-iti-izyate, tat-api na, paratas prAmANye nirNIte
   vadesyāptamūlaprāmāṇyasiddhiḥ, tatsiddhau ceśvarasiddhiḥ,	vadesya-Apta-mUla-prAmANya-sidDiH, tad-sidDO ca-ISvara-sidDiH,
   tatpramāvyavacchedāya viśeṣaṇam, saviśeṣaṇaśvāsau hetuḥ parataḥ prāmāṇyaṃ	tad-pramAvya-vat-CedAya viSezaNam, sa-viSezaNa-SvAsO hetuH paratas prAmANyam
   sādhayet, iti cakrakāśrayaprasaṅgārt /	sADayet, iti cakraka-ASraya-prasaFga-Art /
   iśvarānumānānyathāsiddhiparihārāya parataḥ prāmāṇyaṃ nyāyakusumāñjalau	iSvara-anumAnAn-yaTA-sidDi-parihArAya paratas prAmANyam nyAya-kusuma-aQjalO
   samarthyate /	samarTyate /
   tatraiva ca kāryatvaviśeṣaṇaṃ prayujyate /	tatra-eva ca kAryatva-viSezaNam prayujyate /
   na cāsiddhivyavacchedāya viśeṣaṇaṃ yuktam; siddhatve tu parataḥ	na ca-asidDi-vyavacCedAya viSezaNam yuktam; sidDa-tve tu paratas-
   prāmāṇyasamarthanasya na tadarthateti dustaratā /	prAmANya-samarTanasya na tad-arTa-tA-iti dustaratA /
   tathāpi śabdaprāmāṇyaṃ vaktṛguṇādhīnamiti cenna, viśeṣakābhāvāt,	taTA-api Sabda-prAmANyam vaktR-guNa-aDInam-iti ced-na, viSezaka-aBAvAt,
   doṣasaṃbhāvanāsthale ca tadapekṣaṇāt, vedasya canirdeṣatvāt /	doza-saMBAvanA-sTale ca tad-apekzaNAt, vedasya ca-nirdeza-tvAt /
   doṣābhāvādhīnatve parataḥ prāmāṇyaṃ siddhamiti cenna, tadadhīnatvābhāvāt,	doza-aBAva-aDIna-tve paratas prAmANyam sidDam-iti ced-na, tad-aDIna-tva-aBAvAt,
   tasya virodhanivṛttimātrarūpatvāt /	tasya viroDa-nivRtti-mAtra-rUpa-tvAt /
   astu vā tadadhīnatvam, tathāpi vede tu na doṣaḥ /	astu vA tad-aDIna-tvam, taTA-api vede tu na dozaH /
   guṇamantareṇa doṣābhāvo na ghaṭata iti cet,	guNam-antareNa doza-aBAvaH na GawataH iti ced-,
   anuṣṇāśītasparśavadubhayanivṛtterapi darśanāt, upapatteśca /	anuzNa-aSIta-sparSa-vat-uBaya-nivRtteH-api darSana-at, upapatteH-ca /
   bhāvāntarābhāvavādino doṣābhāvopi guṇa eveti cenna, svābhāvāntareṇa	BAva-antara-aBAva-vAdinaH doza-aBAva-upi guNaH eva-iti ced-na, svABAva-antareNa
   tannirvāhāt /	tad-nirvAhAt /
   na hi tasyāpi śītābhāva uṣṇa eva, anuṣṇāśīte tadasiddheḥ /	na hi tasya-api SIta-aBAvaH uzNaH eva, anuzNa-aSIte tad-asidDeH /
   ubhayasaṃgrahaṇena hi śītābhāvatvam /	uBaya-saMgrahaNena hi SIta-aBAva-tvam /
   tadvadatrāpi saguṇeṣvāptavākyeṣu vaktṛguṇarahiteṣu vedavākyeṣu ca	tadvat-atra-api sa-guNezu-Apta-vAkyezu vaktR-guNa-rahitezu veda-vAkyezu ca
   doṣābhāvaḥ samānaḥ //	doza-aBAvaH samAnaH //
   nyā. pa. śa. 16 nanu śabdānāṃ svataḥ prāmāṇye buddhādivākyamapi svataḥ	nyA. pa. Sa. 16 nanu SabdAnAm svatas prAmANye budDa-Adi-vAkyam-api svatas-
   pramāṇaṃ syāt /	pramANam syAt /
   na syāt, svatastvasyotsargarūpatvāt, virodhiviśeṣe ca tasyānanupraveśāt /	na syAt, svatas-tvasya-utsarga-rUpa-tvAt, viroDi-viSeze ca tasya-ananupraveSAt /
   uktaṃ cāgamaprāmāṇye--- "naiva śabde svato doṣāḥ prāmāṇyaparipanthinaḥ /	uktam ca-Agama-prAmANye-- "na-eva Sabde svatas dozAH prAmANya-paripanTinaH /
   santi kintu svatastasya pramāṇatvamiti sthitiḥ //	santi kintu svatas-tasya pramANa-tvam-iti sTitiH //
   vakturāśayadoṣeṇa keṣu cittadapodyate /	vaktuH-ASaya-dozeNa kezu cittadapa-udyate /
   aṅgulyagre hi mātaṅgayūthamityevamādiṣu" //	aFgulI-agre hi mAtaFga-yUTam-iti-evam-Adizu" //
   iti /	iti /
   kiñca, nitye hetuguṇāpekṣā vede nāstīśabuddhivat /	kiQca, nitye hetu-guNa-apekzA vede nAsti-ISa-budDi-vat /
   hetvabhāvānna doṣaścedūvaktrabhāvādihāpi naḥ //	hetu-aBAvAt-na dozaH-cedU-vaktra-BAvAt-iha-api naH //
   akāraṇaṃ yathā jñānaṃ pramātvamadhigacchati /	akAraNam yaTA jQAnam pramAtvam-aDigacCati /
   akāraṇaṃ tathā vākyaṃ svataḥ pramitikāraṇam //	akAraNam taTA vAkyam svatas pramiti-kAraNam //
   yadi hetuguṇābhāvādaprāmāṇyaṃ prasajyate /	yadi hetu-guNa-aBAvAt-aprAmANyam prasajyate /
   tadeśvarapramāyāmapyanivāryamidaṃ tava //	tadA-ISvara-pramAyAm-api-anivAryam-idam tava //
   nyā. pa. śa. 17 athaiva brūṣe---kāraṇaguṇadoṣayorabhāve tatprayojyayoḥ	nyA. pa. Sa. 17 aTa-eva brUze---kAraNa-guNa-dozayoH-aBAve tad-prayojyayoH
   prāmāṇyāprāmāṇyayordvayorapyasaṃbhavādraśyantarāyogācca niḥsvabhāvatvaṃ	prAmANya-aprAmANyayoH-dvayoH-api-asaMBavAt-raSI-antarA-yogAt-ca niHsvaBAva-tvam
   vedaśabdajanyajñānānāṃ syāditi; idamapi tulyamīśvarajñāne /	veda-Sabda-janya-jQAnAnAm syAt-iti; idam-api tulyam-ISvara-jQAne /
   hetunivṛttistatkāryaṃ prāmāṇyaṃ nivartayet, na tu nityamiti cet,	hetu-nivRttiH-tat-kAryam prAmANyam nivartayet, na tu nityam-iti ced-,
   aprāmāṇyahetunivṛttirapi tathaiva /	aprAmANya-hetu-nivRttiH-api taTA-eva /
   ato viruddhasvabhāvayogaḥ ubhayaparityāgānniḥsvabhāvaitava vā syāt /	atas virudDa-svaBAva-yogaH uBaya-parityAgAt-niHsvaBAva-etava vA syAt /
   evamanīśvaravādināṃ saugatādīnāṃ	evam-anISvara-vAdinAm sOgata-AdInAm
   śuddhasaṃvitsantānādiṣvadhipatisahakāryādikāraṇatadguṇāderasaṃbhavāt	SudDa-saMvid-santAna-Adizu-aDipati-saha-kArya-Adi-kAraNa-tad-guNa-AdeH-a-saMBavAt
   svārasikasvātmagocaraprāmāṇyasya cābhyupagamāt samāścarcāḥ /	svArasikasva-Atma-gocara-prAmANyasya ca-aByupagamAt samAH-carcAH /
   yadyapi pūrvapratyayasyakāraṇatvamiṣṭam, tathāpi tasyāpavargadaśāsthasya	yadi-api pUrva-pratyayasya-kAraNa-tvam-izwam, taTA-api tasya-apavarga-daSA-sTasya
   guṇadoṣādirūpasamastasaṃskārapratyarthitayā na tajjanyasya guṇahetuteti /	guNa-doza-Adi-rUpa-samasta-saMskAra-pratyarTitayA na tad-janyasya guNa-hetu-tA-iti /
   yacca, prāmāṇyaṃ parato jñāyate, iti prayuktam, tatra jñānāntareṇa	yat-ca, prAmANyam paratas jQAyate, iti prayuktam, tatra jQAna-antareNa
   jñānāntarasvabhāvavedanābhyupagamāt siddhasādhanatā /	jQAna-antara-svaBAva-vedanAByupagamAt sidDa-sADana-tA /
   parata eveti vivakṣāyāmīdṛśaṃ jñānaṃ prameti lakṣaṇataḥ	paratas eva-iti vivakzAyAm-IdRSam jQAnam pramA-iti lakzaNataH
   sarvapramāsaṅgrāhiṇi jñāne pārameśvare ca vijñāne tadasaṃbhavaḥ; na hi	sarva-pramAsaFgrAhiNi jQAne pArameSvare ca vijQAne tad-asaMBavaH; na hi
   tābhyāṃ svapramātvaṃ na gṛhītam, lakṣaṇāvyāptikiñcijjñatvādiprasaṅgāt /	tAByAm sva-pramAtvam na gRhItam, lakzaNa-avyApti-kiQcijjQa-tva-Adi-prasaFgAt /
   atonyatra parata eveti niyama iti cet, tadapi na, taddṛṣṭāntenaiva	atonyatra paratas eva-iti niyamaH iti cet, tat-api na, tad-dRzwAntena-eva
   pratiprayoktuṃ śakyatvāt-vigītaṃ prāmāṇyaṃ svādhāreṇa jñāyate,	pratiprayoktum Sakya-tva-at--vigItam prAmANyam sva-ADAreNa jQAyate,
   prāmāṇyarūpatvāt, riśvarajñānādiprāmāṇyavat iti /	prAmANya-rUpa-tvAt, riSvara-jQAna-Adi-prAmANya-vat iti /
   kathaṃ tarhi idaṃ pramāṇamapramāṇaṃ veti saṃśayāvakāśaḥ ? iti cenna,	kaTam tarhi idam pramANam-apramANam vA-iti saMSaya-avakASaH ? iti ced-na,
   viśeṣato gṛhyamāṇeṣvapi saṃśayotpattidarśanāt /	viSezataH gRhyamANezu-api saMSaya-utpatti-darSanAt /
   bhavati muhuḥ śuktikārajatamohādandhīkṛtadhiyaḥ kaladhautepi	Bavati muhur SuktikA-ra-jata-mohAt-anDIkRta-DiyaH kalaDOtepi
   tathopalabhyamāne yathopalambhamidaṃ rajatameva vā pūrvavacchuktirajataṃ	taTA-upalaByamAne yaTA-upalamBam-idam rajatam-eva vA pUrvavat-Sukti-rajatam
   veti purataḥ /	vA-iti puratas /
   tathātrāpi gṛhyamāṇepi prāmāṇye kimidaṃ pramāṇameva sat	taTA-atra-api gRhyamANepi prAmANye kim-idam pramANam-eva sat-
   pramāṇatayopalambhate ? uta, bādhāt pūrvabhramavadapramāṇaṃ sat ? iti	pramANa-tayA-upalamBate ? uta, bADAt pUrva-Brama-vat-apramANam sat ? iti
   saṃśayo yuktaḥ /	saMSayaH yuktaH /
   tathāpi sandehasahena kiṃ svatograhaṇena ? niścayastu parādhīna eveti cet,	taTA-api sandeha-sahena kim svatas-grahaNena ? niScayaH-tu para-aDInaH eva-iti ced-,
   kimasmadapekṣayā grahaṇamagrahaṇaṃ vā niyantuṃ śakyam ? siddho hi	kim-asmad-apekzayA grahaNam-agrahaNam vA niyantum Sakyam ? sidDaH hi
   grahaṇaprakāraḥ parīkṣakairanusaraṇīyaḥ /	grahaNa-prakAraH parIkzakEH-anusaraNIyaH /
   siddhireva svataḥ kathamiti cet, ittham---jñānaṃ svālambanaṃ prakāśayat	sidDiH-eva svatas kaTam-iti cet, itTam-----jQAnam sva-Alambanam prakASayat-
   svayamapi jñānāntaranirapekṣaṃ prakāśate, iti tāvat sarvavedāntisaṃmatam /	svayam-api jQAna-antara-nirapekzam prakASate, iti tAvat sarva-vedAnti-saMmatam /
   asvayaṃprakāśavādepi svagrāhiṇānuvyavasāyena prakāśamāno	asvayaMprakASa-vAdepi sva-grAhiNa-anuvyavasAyena prakASamAnaH-
   vyavasāyastāvadasaṃśayātmaiva dṛśyate //	vyavasAyaH-tAvat-asaMSaya-AtmA-eva dRSyate //
   nyā. pa. śa. 18 smṛtyaprāmāṇyavādepyapūrvārthagocaratayā	nyA. pa. Sa. 18 smRtya-prAmANya-vAda-Ipya-pUrva-arTa-gocara-tayA
   smṛtivilakṣaṇaścāviparyayātmā cābādhātmā ca, vādhādeḥ pūrvaṃ	smRti-vilakzaNaH-ca-aviparyaya-AtmA ca-AbADa-AtmA ca, vADa-AdeH pUrvam
   tatprasaṅgābhāvāt /	tad-prasaFga-aBAvAt /
   tataśca yadviṣayatayāyaṃ vyavasāyaḥ prathamaṃ pratibhātaḥ,	tatas-ca yat-vizaya-tayA-ayam vyavasAyaH praTamam pratiBAtaH,
   tadviṣayatayaiva parasparaparikṣodāt paścādapi /	tad-vizaya-tayA-eva paraspara-parikzodAt paScAt-api /
   ato yat tadviṣayatvalakṣaṇaṃ prāmāṇyaṃ paścāt tenaiva vyavasthāpyate,	atas yat tad-vizaya-tva-lakzaNam prAmANyam paScAt tena-eva vyavasTApyate,
   tadādāveva gṛhītamiti svataḥ prāmāṇyagrahaḥ //	tad-AdO=-eva gRhItam-iti svatas prAmANya-grahaH //
   nyā. pa. śa. 19 nanvevaṃ saṃśayatvādilakṣaṇamaprāmāṇyamapi	nyA. pa. Sa. 19 nanu-evam saMSaya-tva-Adi-lakzaNam-aprAmANyam-api
   svayaṃprakāśenānuvyavasāyena vā prathamamave grahītuṃ śakyam; tathāpi	svayaMprakASena-anuvyavasAyena vA praTamamave grahItum Sakyam; taTA-api
   viparyayatvalakṣaṇaṃ na tathā, gṛhyamāṇavaiparītyasya svena svagrāhiṇā vā	viparyaya-tva-lakzaNam na taTA, gRhyamANa-vEparItyasya svena sva-grAhiNA vA
   prathamamagrahaṇāt, tasminnaṃśe ca vaidikānāmavivādāt,	praTamam-agrahaNAt, tasmin=-aMSe ca vEdikAnAm-avivAdAt,
   tatremamaṃśamādāyaiva cāntataḥ pasvataḥ prāmāṇyasamarthanapravṛtteḥ, tatra	tatra-imam-aMSam-AdAya-eva ca-antataH pasvataH prAmANya-samarTana-pravRtteH, tatra
   doṣābhāvādevādāvaprāmāṇyānutpatteḥ /	doza-aBAva-at-eva-AdOvaprAmANya-anutpatteH /
   tata eva cāprāmāṇyapramityasaṃbhavāt, svata eva ca	tatas eva ca-aprAmANya-pramiti-asaMBavAt, svatas eva ca
   prāmāṇyapramiterabādhācca ityucyate, iti //	prAmANya-pramiteH-abADAt-ca iti-ucyate, iti //
   iti kavitārkikasiṃhasya sarvatantrasvatantrasya śrīmadveṅkaṭanāthasya	iti kavi-tArkika-siMhasya sarva-tantra-svatantrasya SrImat-veFkawa-nATasya
   vedāntācāryasya kṛtiṣu nyāyapariśuddhau śabdādhyāye prathamamāhnikam	vedAnta-AcAryasya kRtizu nyAya-pariSudDO Sabda-aDyAye praTamam-Ahnikam
