   Devīgītā	DevI-gItA
   lobhaḥ syādadharoṣṭho 'syā dharmamārgastu pṛṣṭhabhūḥ /	loBaH syAt-aDara-uzWaH asyAH Darma-mArgaH-tu pRzWaBUH /
   prajāpatiśca meḍhraṃ syādyaḥ sraṣṭā jagatītale // Dg_3.30 = DbhP_7,33.30	prajApatiH-ca meXram syAt-yaH srazwA jagatI-tale // Dk-_3.30  DBP_7,33.30
   kukṣiḥ samudrā girayo 'sthīni devyā maheśituḥ /	kukziH samudrAH girayaH asTIni devyAH maheSituH /
   nadyo nāḍyaḥ samākhyātā vṛkṣāḥ keśaḥ prakīrtitāḥ // Dg_3.31 = DbhP_7,33.31	nadyaH nAxyaH samAKyAtAH vRkzAH keSaH prakIrtitAH // Dk-_3.31  DBP_7,33.31
   kaumārayauvanajarāvayo 'sya gatiruttamā /	kOmAra-yOvana-jarA-vayaH asya gatiH-uttamA /
   balāhakāstu keśāḥ syuḥ sandhye te vāsasī vibho // Dg_3.32 = DbhP_7,33.32	balAhakAH-tu keSAH syuH sanDye te vAsasI viBo // Dk-_3.32  DBP_7,33.32
   rājañchrījagadambāyāścandramāstu manaḥ smṛtaḥ /	rAjan-SrI-jagat-ambAyAH-candramAH-tu manaH smRtaH /
   vijñānaśaktistu harī rudro 'ntaḥkaraṇaṃ smṛtam // Dg_3.33 = DbhP_7,33.33	vijQAna-SaktiH-tu hariH rudraH antaHkaraNam smRtam // Dk-_3.33  DBP_7,33.33
   aśvā hi jātayaḥ sarvāḥ śroṇideśe sthitā vibhoḥ /	aSvAH hi jAtayaH sarvAH SroNi-deSe sTitAH viBoH /
   atalādimahālokāḥ kaṭyadhobhāgatām gatāḥ // Dg_3.34 = DbhP_7,33.34 //	atala-Adi-mahA-lokAH kawI-aDoBAga-tAm gatAH // Dk-_3.34  DBP_7,33.34 //
   etādṛśaṃ mahārūpaṃ dadṛśuḥ surapuṅgavāḥ /	etAdRSam mahA-rUpam dadRSuH sura-puFgavAH /
   jvālāmālāsahasrāḍhyaṃ lelihānaṃ ca jihvayā // Dg_3.35 = DbhP_7,33.35 //	jvAlA-mAlA-sahasra-AXyam lelihAnam ca jihvayA // Dk-_3.35  DBP_7,33.35 //
   daṃṣṭrākaṭakaṭārāvaṃ vamantaṃ vahnimakṣibhiḥ /	daMzwrA-kawa-kawArAvam vamantam vahnim-akziBiH /
   nānāyudhadharaṃ vīraṃ brahmakṣatraudanaṃ ca yat // Dg_3.36 = DbhP_7,33.36	nAnA-AyuDa-Daram vIram brahma-kzatra-odanam ca yat // Dk-_3.36  DBP_7,33.36
   sahasraśīrṣanayanaṃ sahasracaraṇaṃ tathā /	sahasra-SIrza-nayanam sahasra-caraNam taTA /
   koṭisūryapratīkāśaṃ vidyutkoṭisamaprabham // Dg_3.37 = DbhP_7,33.37 //	kowi-sUrya-pratIkASam vidyut-kowi-sama-praBam // Dk-_3.37  DBP_7,33.37 //
   bhayaṅkaraṃ mahāghoraṃ hṛdakṣṇostrāsakārakam /	BayaFkaram mahA-Goram hRd-akzNoH-trAsa-kArakam /
   dadṛśuste surāḥ sarve hāhākāraṃ ca cakrire // Dg_3.38 = DbhP_7,33.38 //	dadRSuH-te surAH sarve hAhAkAram ca cakrire // Dk-_3.38  DBP_7,33.38 //
   vikampamānahṛdayā mūrcchāmāpurduratyayām /	vikampamAna-hRdayAH mUrcCA-mApuH-duratyayAm /
   smaraṇaṃ ca gataṃ teṣāṃ jagadambeyamityapi // Dg_3.39 = DbhP_7,33.39 //	smaraNam ca gatam tezAm jagat-ambeyam-iti-api // Dk-_3.39  DBP_7,33.39 //
   atha te ye sthitā vedāścaturdikṣu mahāvibhoḥ /	aTa te ye sTitAH vedAH-catur-dikzu mahA-viBoH /
   bodhayāmāsuratyugraṃ mūrchāto mūrcchitānsurān // Dg_3.40 = DbhP_7,33.40 //	boDayAmAsuH-ati-ugram mUrCAtaH mUrcCitAn-surAn // Dk-_3.40  DBP_7,33.40 //
   atha te dhairyamālambya labdhvā ca śrutimuttamām /	aTa te DEryam-Alambya labDvA ca Srutim-uttamAm /
   premāśrupūrṇanayanā ruddhakaṇṭhāstu nirjarāḥ // Dg_3.41 = DbhP_7,33.41 //	prema-aSru-pUrNa-nayanAH rudDa-kaNWAH-tu nirjarAH // Dk-_3.41  DBP_7,33.41 //
   bāṣpagadnadayā vācā stotuṃ samupacakrire /	bAzpa-gadna-dayA vAcA stotum samupacakrire /
   devā ūcuḥ	devAH UcuH
   uparādhaṃ kṣamasvāmba pāhi dīnāṃstvadudbhavān // Dg_3.42 = DbhP_7,33.42 //	uparADam kzamasva-amba pAhi dInAn=-tvad-udBavAn // Dk-_3.42  DBP_7,33.42 //
   kopaṃ saṃhara deveśi sabhayā rūpadarśanāt /	kopam saMhara deveSi sa-BayA rUpa-darSanAt /
   kā te stutiḥ prakartavyā pāmarairnirjarairiha // Dg_3.43 = DbhP_7,33.43 //	kA te stutiH prakartavyA pAmarEH-nirjarEH-iha // Dk-_3.43  DBP_7,33.43 //
   svasyāpyajñeya evāsau yāvānyaśca svavikramaḥ /	svasya-api-ajQeyaH eva-asO yAvAn-yaH-ca sva-vikramaH /
   tadarvāgjāyamānānāṃ kathaṃ sa viṣayo bhavet // Dg_3.44 = DbhP_7,33.44 //	tad-arvAc-jAyamAnAnAm kaTam sa vizayaH Bavet // Dk-_3.44  DBP_7,33.44 //
   namaste bhuvaneśāni namaste praṇavātmike /	namaH-te BuvaneSAni namaH-te praNava-Atmike /
   sarvavedāntasaṃsiddhe namo hrīṅkāramūrtaye // Dg_3.45 = DbhP_7,33.45 //	sarva-vedAnta-saMsidDe namaH hrIFkAra-mUrtaye // Dk-_3.45  DBP_7,33.45 //
   yasmādagniḥ samutpanno yasmātsūryaśca candramāḥ /	yasmAt-agniH samutpannaH yasmAt-sUryaH-ca candramAH /
   yasmādoṣadhayaḥ sarvāstasmai sarvātmane namaḥ // Dg_3.46 = DbhP_7,33.46 //	yasmAt-ozaDayaH sarvAH-tasmE sarva-Atmane namaH // Dk-_3.46  DBP_7,33.46 //
   yasmācca devāḥ sambhūtāḥ sādhyāḥpakṣiṇa eva ca /	yasmAt-ca devAH samBUtAH sADyAH-pakziNaH eva ca /
   paśavaśca manuṣyāśca tasmai sarvātmane namaḥ // Dg_3.47 = DbhP_7,33.47 //	paSavaH-ca manuzyAH-ca tasmE sarva-Atmane namaH // Dk-_3.47  DBP_7,33.47 //
   prāṇāpānau vrīhiyavau tapaḥ śraddhā ṛtaṃ tathā /	prANa-apAnO vrIhi-yavO tapaH SradDA Rtam taTA /
   brahmacaryaṃ vidhiścaiva yasmāttasmai namo namaḥ // Dg_3.48 = DbhP_7,33.48	brahmacaryam viDiH-ca-eva yasmAt-tasmE namaH namaH // Dk-_3.48  DBP_7,33.48
   sapta prāṇārciṣo yasmātsamidhaḥ sapta eva ca /	sapta prANa-arcizaH yasmAt-samiDaH sapta eva ca /
   homāḥ sapta tathā lokāstasmai sarvātmane namaḥ // Dg_3.49 = DbhP_7,33.49	homAH sapta taTA lokAH-tasmE sarva-Atmane namaH // Dk-_3.49  DBP_7,33.49
   yasmātsamudrā girayaḥ sindhavaḥ pracaranti ca /	yasmAt-samudrAH girayaH sinDavaH pracaranti ca /
   yasmādoṣadhayaḥ sarvā rasāstasmai namo namaḥ // Dg_3.50 = DbhP_7,33.50 //	yasmAt-ozaDayaH sarvAH rasAH-tasmE namaH namaH // Dk-_3.50  DBP_7,33.50 //
   yasmātyajñaḥ samudbhūto dīkṣā yūpaśca dakṣiṇāḥ /	yasmAtyajQaH samudBUtaH dIkzA yUpaH-ca dakziNAH /
   ṛco yajūṃṣi sāmāni tasmai sarvātmane namaḥ // Dg_3.51 = DbhP_7,33.51 //	RcaH yajUMzi sAmAni tasmE sarva-Atmane namaH // Dk-_3.51  DBP_7,33.51 //
   namaḥ purastātpṛṣṭhe ca namaste pārśvayordvayoḥ /	namaH purastAt-pRzWe ca namaH-te pArSvayoH-dvayoH /
   adha ūrdhvaṃ caturdikṣu mātarbhūyo namo namaḥ // Dg_3.52 = DbhP_7,33.52 //	aDas UrDvam catur-dikzu mAtarBUyas namaH namaH // Dk-_3.52  DBP_7,33.52 //
   upasaṃhara deveśi rūpametadalaukikam /	upasaMhara deveSi rUpam-etat-alOkikam /
   tadeva darśayāsmākaṃ rūpaṃ sundarasundaram // Dg_3.53 = DbhP_7,33.53 //	tat-eva darSaya-asmAkam rUpam sundara-sundaram // Dk-_3.53  DBP_7,33.53 //
   vyāsa uvāca	vyAsaH uvAca
   iti bhītānsurāndṛṣṭvā jagadambā kṛpārṇavā /	iti BItAn-surAn-dRzwvA jagat-ambA kRpA-arNavAH /
   saṃhṛtya rūpaṃ ghoraṃ taddarśayāmāsa sundaram // Dg_3.54 = DbhP_7,33.54 //	saMhRtya rUpam Goram tat-darSayAmAsa sundaram // Dk-_3.54  DBP_7,33.54 //
   pāśāḍkuśavarābhītidharaṃ sarvaṅgakomalam /	pASAt-kuSa-vara-aBIti-Daram sarvaFga-komalam /
   karuṇāpūrṇanayanaṃ mandasmitamukhāmbujam // Dg_3.55 = DbhP_7,33.55 //	karuNA-pUrNa-nayanam manda-smita-muKa-ambujam // Dk-_3.55  DBP_7,33.55 //
   dṛṣṭvā tatsundaraṃ rūpaṃ tadā bhītivivarjitāḥ /	dRzwvA tat-sundaram rUpam tadA BIti-vivarjitAH /
   śāntacittāḥ praṇemuste harṣagadnadaniḥsvanāḥ // Dg_3.56 = DbhP_7,33.56 //	SAnta-cittAH praNemuH-te harza-gadna-da-niHsvanAH // Dk-_3.56  DBP_7,33.56 //
   iti devīgītāyāṃ tṛtīyo 'dhyāyaḥ -	iti devI-gItAyAm tRtIyaH aDyAyaH -
   iti śrīdevībhāgavate mahāpurāṇe saptamaskandhe devīgītāyāṃ trayastriṃśo	iti SrI-devI-BAgavate mahApurANe saptama-skanDe devI-gItAyAm trayastriMSo
   'dhyāyaḥ	aDyAyaH
   atha caturtho 'dhyāyaḥ -	aTa caturTaH aDyAyaH -
   saptamaḥ skandhaḥ	saptamaH skanDaH
   atha catustriṃśo 'dhyāyaḥ	aTa catustriMSaH aDyAyaH
   śrī devyuvāca	SrI devI-uvAca
   kva yūyaṃ mandabhāgyā vai kvedaṃ rūpaṃ mahādbhutam /	kva yUyam mandaBAgyA vE kva-idam rUpam mahA-adButam /
   tathāpi bhaktavātsalyādīdṛśaṃ darśitaṃ mayā // Dg_4.1 = DbhP_7,34.1 //	taTA-api Bakta-vAtsalyAt-i-IdRSam darSitam mayA // Dk-_4.1  DBP_7,34.1 //
   na vedādhyayanairyogair na dānaistapasejyayā /	na veda-aDyayanEH-yogEH na dAnEH-tapasA-ijyayA /
   rūpaṃ draṣṭum idaṃ śakyaṃ kevalaṃ matkṛpāṃ vinā // Dg_4.2 = DbhP_7,34.2 //	rUpam drazwum idam Sakyam kevalam mad-kRpAm vinA // Dk-_4.2  DBP_7,34.2 //
   prakṛtaṃ śṛṇu rājendra paramātmātra jīvatām /	prakRtam SRNu rAja-indra paramAtmA-atra jIvatAm /
   upādhiyogāt samprāptaḥ kartṛtvādikam apyuta // Dg_4.3 = DbhP_7,34.3 //	upADi-yogAt samprAptaH kartR-tva-Adikam api-uta // Dk-_4.3  DBP_7,34.3 //
   kriyāḥ karoti vividhā dharmādharmaika hetavaḥ /	kriyAH karoti viviDAH Darma-aDarma-eka hetavaH /
   nānā yonīstataḥ prāpya sukhaduḥkhaiśca yujyate // Dg_4.4 = DbhP_7,34.4 //	nAnA yonIH-tatas prApya suKa-duHKEH-ca yujyate // Dk-_4.4  DBP_7,34.4 //
   punastatsaṃskṛtivaśānnānā karmarataḥ sadā /	punar-tad-saMskRti-vaSAt-nAnA karma-rataH sadA /
   nānā dehān samāpnoti sukhaduḥkhaiśca yujyate // Dg_4.5 = DbhP_7,34.5 //	nAnA dehAn samApnoti suKa-duHKEH-ca yujyate // Dk-_4.5  DBP_7,34.5 //
   ghaṭīyantravadetasya na virāmaḥ kadāpi hi /	GawIyantra-vat-etasya na virAmaH kadApi hi /
   ajñānam eva mūlaṃ syāt tataḥ kāmaḥ kriyāstataḥ // Dg_4.6 = DbhP_7,34.6 //	ajQAnam eva mUlam syAt tatas kAmaH kriyAH-tatas // Dk-_4.6  DBP_7,34.6 //
   tasmād ajñānanāśāya yateta niyataṃ naraḥ /	tasmAt ajQAna-nASAya yateta niyatam naraH /
   etaddhi janmasāphalyaṃ yadajñānasya nāśanam // Dg_4.7 = DbhP_7,34.7 //	etat-hi janma-sAPalyam yat-ajQAnasya nASanam // Dk-_4.7  DBP_7,34.7 //
   puruṣārthasamāptiśca jīvanmuktadaśāpi ca /	puruza-arTa-samAptiH-ca jIvanmukta-daSA-api ca /
   ajñānanāśane śaktā vidyaiva tu paṭīyasī // Dg_4.8 = DbhP_7,34.8 //	ajQAna-nASane SaktA vidyA-eva tu pawIyasI // Dk-_4.8  DBP_7,34.8 //
   na karma tajjannopāstirvirodhābhāvato gire /	na karma tad-janna-upAstiH-viroDa-aBAvataH gire /
   pratyutāśājñānanāśe karmaṇā naiva bhāvyatām // Dg_4.9 = DbhP_7,34.9 //	pratyutASa-ajQAna-nASe karmaNA na-eva BAvyatAm // Dk-_4.9  DBP_7,34.9 //
   anarthadāni karmāṇi punaḥ punaruśanti hi /	anarTa-dAni karmANi punar punar-uSanti hi /
   tato rāgastato doṣastato 'nartho mahānbhavet // Dg_4.10 = DbhP_7,34.10 //	tatas rAgaH-tatas dozaH-tatas anarTaH mahAn-Bavet // Dk-_4.10  DBP_7,34.10 //
   tasmāt sarva prayatnena jñānaṃ sampādayennaraḥ /	tasmAt sarve prayatnena jQAnam sampAdayet-naraH /
   kurvanneveha karmāṇītyataḥ karmāpyavaśyakam // Dg_4.11 = DbhP_7,34.11 //	kurvan=-eva-iha karmANi-iti-atas karma-api-avaSyakam // Dk-_4.11  DBP_7,34.11 //
   jñānādeva hi kaivalyam ataḥ syāt tatsamuccayaḥ /	jQAnAt-eva hi kEvalyam atas syAt tat-samuccayaH /
   sahāyatāṃ vrajet karma jñānasya hitakāri ca // Dg_4.12 = DbhP_7,34.12 //	sahAya-tAm vrajet karma jQAnasya hita-kAri ca // Dk-_4.12  DBP_7,34.12 //
   iti kecidvadantyatra tadvirodhānna sambhavet /	iti kecid-vadanti-atra tad-viroDAt-na samBavet /
   jñānādhṛdgranthibhedaḥ syādhṛdgranthau karmasambhavaḥ // Dg_4.13 =	jQAna-aDRd-granTi-BedaH syADRd-granTO karma-samBavaH // Dk-_4.13 =
   DbhP_7,34.13 //	DBu-_7,34.13 //
   yaugapadyaṃ na sambhāvyaṃ virodhāt tu tatastayoḥ /	yOgapadyam na samBAvyam viroDAt tu tatas-tayoH /
   tamaḥ prakāśayoryadvadyaugapadyaṃ na sambhavi // Dg_4.14 = DbhP_7,34.14 //	tamaH prakASayoH-yadvat-yOgapadyam na samBavi // Dk-_4.14  DBP_7,34.14 //
   tasmāt sarvāṇi karmāṇi vaidikāni mahāmate /	tasmAt sarvANi karmANi vEdikAni mahAmate /
   cittaśuddhyantam eva syustāni kuryāt prayatnataḥ // Dg_4.15 = DbhP_7,34.15	citta-SudDi-antam eva syuH-tAni kuryAt prayatnataH // Dk-_4.15  DBP_7,34.15
   śamo damastitikṣā ca vairāgyaṃ sattvasambhavaḥ /	SamaH damaH-titikzA ca vErAgyam sattva-samBavaH /
   tāvat paryantam eva syuḥ karmāṇi na tataḥ param // Dg_4.16 = DbhP_7,34.16	tAvat paryantam eva syuH karmANi na tatas param // Dk-_4.16  DBP_7,34.16
   tadante caiva saṃnyasya saṃśrayedgurum ātmavān /	tad-ante ca-eva saMnyasya saMSrayet-gurum AtmavAn /
   śrotriyaṃ brahmaniṣṭhaṃ ca bhaktyā nirvyājayā punaḥ // Dg_4.17 =	Srotriyam brahma-nizWam ca BaktyA nirvyAjayA punar // Dk-_4.17 =
   DbhP_7,34.17 //	DBu-_7,34.17 //
   vedāntaśravaṇaṃ kuryānnityam evam atandritaḥ /	vedAnta-SravaNam kuryAt-nityam evam atandritaH /
   tat tvam asyādi vākyasya nityam arthaṃ vicārayet // Dg_4.18 = DbhP_7,34.18	tat tvam asya-Adi vAkyasya nityam arTam vicArayet // Dk-_4.18  DBP_7,34.18
   tat tvam asyādi vākyaṃ tu jīvabrahmaikyabodhakam /	tat tvam asya-Adi vAkyam tu jIva-brahma-Ekya-boDakam /
   aikye jñāte nirbhayastu madrūpo hi prajāyate // Dg_4.19 = DbhP_7,34.19 //	Ekye jQAte nirBayaH-tu mad-rUpaH hi prajAyate // Dk-_4.19  DBP_7,34.19 //
   padārthāvagatiḥ pūrvaṃ vākyārthāvagatistataḥ /	padArTa-avagatiH pUrvam vAkya-arTa-a=-agatiH-tatas /
   tat padasya ca vākyārtho gire 'haṃ parikīrtitaḥ // Dg_4.20 = DbhP_7,34.20	tat padasya ca vAkya-arTaH gire aham parikIrtitaH // Dk-_4.20  DBP_7,34.20
   tvaṃ padasya ca vākyārtho jīva eva na saṃśayaḥ /	tvam padasya ca vAkya-arTaH jIvaH eva na saMSayaH /
   ubhayor aikyam asinā padena procyate budhaiḥ // Dg_4.21 = DbhP_7,34.21 //	uBayoH Ekyam asinA padena procyate buDEH // Dk-_4.21  DBP_7,34.21 //
   vācyārthayorviruddhatvāt aikyaṃ naiva ghaṭeta ha /	vAcya-arTayoH-virudDa-tvAt Ekyam na-eva Gaweta ha /
   lakṣaṇātaḥ prakartavyā tattvamoḥ śrutisaṃsthayoḥ // Dg_4.22 = DbhP_7,34.22	lakzaNAtas prakartavyA tattvamoH Sruti-saMsTayoH // Dk-_4.22  DBP_7,34.22
   cinmātraṃ tu tayorlakṣyaṃ tayoraikyasya sambhavaḥ /	cit-mAtram tu tayoH-lakzyam tayoH-Ekyasya samBavaH /
   tayoraikyaṃ tathā jñātvā svābhedenādvayo bhavet // Dg_4.23 = DbhP_7,34.23	tayoH-Ekyam taTA jQAtvA sva-aBedena-advayaH Bavet // Dk-_4.23  DBP_7,34.23
   devadattaḥ sa evāyam iti vallakṣaṇā smṛtā /	devadattaH saH eva-ayam iti vat-lakzaNA smRtA /
   sthūlādi deharahito brahma sampadyate naraḥ // Dg_4.24 = DbhP_7,34.24 //	sTUla-Adi deha-rahitaH brahma sampadyate naraH // Dk-_4.24  DBP_7,34.24 //
   pañcīkṛtamahābhūtasambhūtaḥ sthūladehakaḥ /	paQcIkRta-mahABUta-samBUtaH sTUla-dehakaH /
   bhogālayo jarāvyādhisaṃyutaḥ sarvakarmaṇām // Dg_4.25 = DbhP_7,34.25 //	Boga-AlayaH jarA-vyADi-saMyutaH sarva-karmaNAm // Dk-_4.25  DBP_7,34.25 //
   mithyā bhūto 'yam ābhāti sphuṭaṃ māyāmayatvataḥ /	miTyA BUtaH ayam ABAti sPuwam mAyA-maya-tvataH /
   so 'yaṃ sthūla upādhiḥ syādātmano me nageśvara // Dg_4.26 = DbhP_7,34.26	saH ayam sTUlaH upADiH syAt-AtmanaH me naga-ISvara // Dk-_4.26  DBP_7,34.26
   jñānakarmendriyayutaṃ prāṇapañcakasaṃyutam /	jQAna-karmendriya-yutam prANa-paQcaka-saMyutam /
   manobuddhiyutaṃ caitat sūkṣmaṃ tatkavayo viduḥ // Dg_4.27 = DbhP_7,34.27	manaH-budDi-yutam ca-etat sUkzmam tat-kavayaH viduH // Dk-_4.27  DBP_7,34.27
   apañcīkṛtabhūtotthaṃ sūkṣmadeho 'yam ātmanaḥ /	apaQcIkRta-BUta-utTam sUkzma-dehaH ayam AtmanaH /
   dvitīyo 'yam upādhiḥ syāt sukhāderavabodhakaḥ // Dg_4.28 = DbhP_7,34.28 //	dvitIyaH ayam upADiH syAt suKa-AdeH-avaboDakaH // Dk-_4.28  DBP_7,34.28 //
   anādyanirvācyam idam ajñānaṃ tu tṛtīyakaḥ /	anAdya-nirvAcyam idam ajQAnam tu tRtIyakaH /
   deho 'yam ātmano bhāti kāraṇātmā nageśvara // Dg_4.29 = DbhP_7,34.29 //	dehaH ayam AtmanaH BAti kAraNa-AtmA naga-ISvara // Dk-_4.29  DBP_7,34.29 //
   upādhivilaye jāte kevalātmāvaśiṣyate /	upADi-vilaye jAte kevala-AtmA-avaSizyate /
   dehatraye pañcakośā antaḥsthāḥ santi sarvadā // Dg_4.30 = DbhP_7,34.30 //	deha-traye paQcakoSAH antaHsTAH santi sarvadA // Dk-_4.30  DBP_7,34.30 //
   pañcakośaparityāge brahma pucchaṃ hi labhyate /	paQcakoSa-parityAge brahma pucCam hi laByate /
   neti neti iti ādivākyair mama rūpaṃ yaducyate // Dg_4.31 = DbhP_7,34.31 //	na-iti na-iti iti Adi-vAkyEH mama rUpam yat-ucyate // Dk-_4.31  DBP_7,34.31 //
   na jāyate mriyate tat kadācinnāyaṃ bhūtvā na babhūva kaścit /	na jAyate mriyate tat kadAcid-na-ayam BUtvA na baBUva kaScid /
   ajo nityaḥ śāśvato 'yaṃ purāṇo na hanyate hanyamāne śarīre // Dg_4.32 =	ajaH nityaH SASvataH ayam purANaH na hanyate hanyamAne SarIre // Dk-_4.32 =
   DbhP_7,34.32 //	DBu-_7,34.32 //
   hataṃ cenmanyate hantuṃ hataścenmanyate hatam /	hatam ced-manyate hantum hataH-ced-manyate hatam /
   ubhau tau na vijānītau nāyaṃ hanti na hanyate // Dg_4.33 = DbhP_7,34.33 //	uBO tO na vijAnItO na-ayam hanti na hanyate // Dk-_4.33  DBP_7,34.33 //
   aṇoraṇīyān mahato mahīyān ātmāsya jantornihito guhāyām /	aNoH-aNIyAn mahataH mahIyAn AtmA-asya jantoH-nihitaH guhAyAm /
   tam akratuḥ paśyati vītaśoko dhātuḥ prasādān mahimānam asya // Dg_4.34 =	tam akratuH paSyati vIta-SokaH DAtuH prasAdAt mahimAnam asya // Dk-_4.34 =
   DbhP_7,34.34 //	DBu-_7,34.34 //
   ātmānaṃ rathinaṃ viddhi śarīraṃ ratham eva tu /	AtmAnam raTinam vidDi SarIram raTam eva tu /
   buddhiṃ tu sārathiṃ viddhi manaḥ pragraham eva ca // Dg_4.35 =	budDim tu sAraTim vidDi manaH pragraham eva ca // Dk-_4.35 =
   DbhP_7,34.35 //	DBu-_7,34.35 //
   indriyāṇi hayān āhur viṣayāṃs teṣu gocarān /	indriyANi hayAn AhuH vizayAn tezu gocarAn /
   ātmendriyamanoyuktaṃ bhoktetyāhurmanīṣiṇaḥ // Dg_4.36 = DbhP_7,34.36 //	Atma-indriya-manaH-yuktam BoktA-iti-AhuH-manIziNaH // Dk-_4.36  DBP_7,34.36 //
   yastvavidvān bhavati cāmanaskaśca sadāśuciḥ /	yaH-tu-avidvAn Bavati ca-AmanaskaH-ca sadA-aSuciH /
   na tatpadam avāpnoti saṃsāraṃ cādhigacchati // Dg_4.37 = DbhP_7,34.37 //	na tad-padam avApnoti saMsAram ca-aDigacCati // Dk-_4.37  DBP_7,34.37 //
   yastu vijñānavān bhavati samanaskaḥ sadā śuciḥ /	yaH-tu vijQAnavAn Bavati samanaskaH sadA SuciH /
   sa tu tatpadam āpnoti yasmād bhūyo na jāyate // Dg_4.38 = DbhP_7,34.38 //	sa tu tad-padam Apnoti yasmAt BUyas na jAyate // Dk-_4.38  DBP_7,34.38 //
   vijñānasārathiryastu manaḥ pragrahavān naraḥ /	vijQAna-sAraTiH-yaH-tu manaH pragrahavAn naraH /
   so 'dhvanaḥ pāram āpnoti madīyaṃ yatparaṃ padam // Dg_4.39 = DbhP_7,34.39	saH aDvanaH pAram Apnoti madIyam yat-param padam // Dk-_4.39  DBP_7,34.39
   itthaṃ śrutyā ca matyā ca niścityātmānam ātmanā /	itTam SrutyA ca matyA ca niScitya-AtmAnam AtmanA /
   bhāvayenmām ātmarūpāṃ nididhyāsanato 'pi // Dg_4.40 = DbhP_7,34.40 //	BAvayet-mAm Atma-rUpAm nidiDi-AsanataH api // Dk-_4.40  DBP_7,34.40 //
   yogavṛtteḥ purā svasmin bhāvayedakṣaratrayam /	yoga-vRtteH purA svasmin BAvayet-akzara-trayam /
   devīpraṇavasañjñasya dhyānārthaṃ mantravācyayoḥ // Dg_4.41 = DbhP_7,34.41	devI-praNava-saQjQasya DyAna-arTam mantra-vAcyayoH // Dk-_4.41  DBP_7,34.41
   hakāraḥ sthūladehaḥ syād rakāraḥ sūkṣmadehakaḥ /	hakAraH sTUla-dehaH syAt rakAraH sUkzma-dehakaH /
   īkāraḥ kāraṇātmāsau hrīṅkāro 'haṃ turīyakam // Dg_4.42 = DbhP_7,34.42 //	IkAraH kAraNa-AtmA-asO hrIFkAraH aham turIyakam // Dk-_4.42  DBP_7,34.42 //
   evaṃ samaṣṭidehe 'pi jñātvā bījatrayam kramāt /	evam samazwi-dehe api jQAtvA bIja-trayam kramAt /
   samaṣṭivyaṣṭyorekatvaṃ bhāvayenmatimān naraḥ // Dg_4.43 = DbhP_7,34.43 //	samazwi-vyazwyoH-ekatvam BAvayet-matimAn naraH // Dk-_4.43  DBP_7,34.43 //
   samādhikālātpūrvaṃ tu bhāvayitvaivam ādṛtaḥ /	samADi-kAlAt-pUrvam tu BAvayitvA-evam AdRtaH /
   tato dhyāyennilīnākṣo devīṃ māṃ jagadīśvarīm // Dg_4.44 = DbhP_7,34.44 //	tatas DyAyet-nilIna-akzaH devIm mAm jagat-ISvarIm // Dk-_4.44  DBP_7,34.44 //
   prāṇāpānau samau kṛtvā nāsābhyantaracāriṇau /	prANa-apAnO samO kRtvA nAsA-aByantara-cAriNO /
   nivṛttaviṣayākāṅkṣo vītadoṣo vimatsaraḥ // Dg_4.45 = DbhP_7,34.45 //	nivRtta-vizaya-AkAFkzaH vIta-dozaH vimatsaraH // Dk-_4.45  DBP_7,34.45 //
   bhaktyā nirvyājayā yukto guhāyāṃ niḥsvane sthale /	BaktyA nirvyAjayA yuktaH guhAyAm niHsvane sTale /
   hakāram viśvam ātmānaṃ rakāre pravilāpayet // Dg_4.46 = DbhP_7,34.46 //	hakAram viSvam AtmAnam rakAre pravilApayet // Dk-_4.46  DBP_7,34.46 //
   rakāraṃ taijasaṃ devam īkāre pravilāpayet /	rakAram tEjasam devam IkAre pravilApayet /
   īkāraṃ prājñam ātmānaṃ hrīṅkāre pravilāpayet // Dg_4.47 = DbhP_7,34.47 //	IkAram prAjQam AtmAnam hrIFkAre pravilApayet // Dk-_4.47  DBP_7,34.47 //
   vācyavācakatāhīnaṃ dvaitabhāvavivarjitam /	vAcya-vAcaka-tA-hInam dvEta-BAva-vivarjitam /
   akhaṇḍaṃ saccidānandaṃ bhāvayet tacchikhāntare // Dg_4.48 = DbhP_7,34.48	aKaNxam saccidAnandam BAvayet tad-SiKA-antare // Dk-_4.48  DBP_7,34.48
   iti dhyānena māṃ rājan sākṣātkṛtya narottamaḥ /	iti DyAnena mAm rAjan sAkzAtkRtya nara-uttamaH /
   madrūpa eva bhavati dvayorapyekatā yataḥ // Dg_4.49 = DbhP_7,34.49 //	mad-rUpaH eva Bavati dvayoH-api-eka-tA yatas // Dk-_4.49  DBP_7,34.49 //
   yogayuktyānayā dṛṣṭvā mām ātmānaṃ parātparam /	yoga-yuktyA-anayA dRzwvA mAm AtmAnam parAtparam /
   ajñānasya sakāryasya tat kṣaṇo nāśako bhavet // Dg_4.50 = DbhP_7,34.50 //	ajQAnasya sa-kAryasya tat kzaNaH nASakaH Bavet // Dk-_4.50  DBP_7,34.50 //
   iti devīgītāyāṃ caturtho 'dhyāyaḥ -	iti devI-gItAyAm caturTaH aDyAyaH -
   iti śrīdevībhāgavate mahāpurāṇe saptamaskandhe devīgītāyāṃ catustriṃśo	iti SrI-devI-BAgavate mahApurANe saptama-skanDe devI-gItAyAm catustriMSaH-
   'dhyāyaḥ	aDyAyaH
