   Vidyākaraśānti: Tarkasopāna	VidyAkara-SAnti: Tarka-sopAna
   kāraṇaṃ śītaṃ tasya viruddho dahanaviśeṣas tasya cehopalabdhiḥ /	kAraNam SItam tasya virudDaH dahana-viSezaH tasya ca-iha-upalabDiH /
   7) vyāpakaviruddhopalabdhir yathā nātra tuṣārasparśo dahanād iti /	7) vyApaka-virudDa-upalabDiH yaTA na-atra tuzAra-sparSaH dahanAt iti /
   niṣedhyasya tuṣārasparśasya vyāpakaṃ śītaṃ tasya viruddho dahanas tasya	nizeDyasya tuzAra-sparSasya vyApakam SItam tasya virudDaH dahanaH tasya
   cehopalabdhiḥ /	ca-iha-upalabDiH /
   8) kāryaviruddhopalabdhir yathā nehāpratibaddhasāmarthyāni śītakāraṇāni	8) kArya-virudDa-upalabDiH yaTA na-iha-apratibadDa-sAmarTyAni SIta-kAraNAni
   santi vahner iti / pratiṣedhyānaṃ (Ts 291) śītakāraṇānāṃ kāryaṃ śītaṃ	santi vahneH iti / pratizeDyAnam (TH 291) SIta-kAraNAnAm kAryam SItam
   tasya viruddho vahnis tasya cehopalabdhiḥ /	tasya virudDaH vahniH tasya ca-iha-upalabDiH /
   9) svabhāvaviruddhavyāptopalabdhir yathā nātra vahnis tuṣārasparśād iti /	9) svaBAva-virudDa-vyApta-upalabDiH yaTA na-atra vahniH tuzAra-sparSAt iti /
   pratiṣedhyasya vahner yaḥ svabhāvas tasya viruddhaṃ śītaṃ tena vyāptas	pratizeDyasya vahneH yaH svaBAvaH tasya virudDam SItam tena vyAptas
   tuṣārasparśas tasya cehopalabdhiḥ /	tuzAra-sparSaH tasya ca-iha-upalabDiH /
   10) kāraṇaviruddhavyāptopalabdhir yathā nātra dhūmas tuṣārasparśād iti /	10) kAraNa-virudDa-vyApta-upalabDiH yaTA na-atra DUmaH tuzAra-sparSAt iti /
   pratiṣedhyasya hi dhūmasya yat kāraṇam agnis tasya viruddhaṃ śītaṃ tena	pratizeDyasya hi DUmasya yat kAraNam agniH tasya virudDam SItam tena
   vyāptas tuṣārasparśas tasya cehopalabdhiḥ /	vyAptaH tuzAra-sparSaH tasya ca-iha-upalabDiH /
   11) vyāpakaviruddhavyāptopalabdhir yathā nāyaṃ nityaḥ kadācitkāryakāritvād	11) vyApaka-virudDa-vyApta-upalabDiH yaTA na-ayam nityaH kadAcid-kArya-kAri-tvAt-
   iti / pratiṣedhyasya nityatvasya niratiśayatvaṃ vyāpakaṃ tasya viruddhaṃ	iti / pratizeDyasya nitya-tvasya niratiSaya-tvam vyApakam tasya virudDam
   sātiśayatvaṃ tena vyāptaṃ kadācitkāryakāritvaṃ tasya cehopalabdhiḥ /	sa-atiSaya-tvam tena vyAptam kadAcid-kArya-kAri-tvam tasya ca-iha-upalabDiH /
   12) kāryaviruddhavyāptopalabdhir yathā nehāpratibaddhasāmarthyāni	12) kArya-virudDa-vyApta-upalabDiH yaTA na-iha-apratibadDa-sAmarTyAni
   vahnikāraṇāni santi tuṣārasparśād iti / pratiṣedhyānāṃ hi vahnikāraṇānāṃ	vahni-kAraNAni santi tuzAra-sparSAt iti / pratizeDyAnAm hi vahni-kAraNAnAm
   kāryaṃ vahnis tasya viruddhaṃ śītaṃ tena vyāptas tuṣārasparśas tasya	kAryam vahniH tasya virudDam SItam tena vyAptaH tuzAra-sparSaH tasya
   cehopalabdhiḥ /	ca-iha-upalabDiH /
   13) svabhāvaviruddhakāryopalabdhir yathā / nātra śītasparśo dhūmād iti /	13) svaBAva-virudDa-kArya-upalabDiH yaTA / na-atra SIta-sparSaH DUmAt iti /
   pratiṣedhyasya hi śītasparśasya viruddho 'gnis tasya kāryaṃ dhūmas tasya	pratizeDyasya hi SIta-sparSasya virudDaH agniH tasya kAryam DUmaH tasya
   cehopalabdhiḥ /	ca-iha-upalabDiH /
   14) kāraṇaviruddhakāryopalabdhir yathā na romaharṣādiviśeṣayuktapuruṣavān	14) kAraNa-virudDa-kArya-upalabDiH yaTA na roma-harza-Adi-viSeza-yukta-puruzavAn
   ayaṃ pradeśo dhūmād iti / pratiṣedhyānāṃ romaharṣādiviśeṣānāṃ kāraṇaṃ	ayam pradeSaH DUmAt iti / pratizeDyAnAm roma-harza-Adi-viSezAnAm kAraNam
   śītaṃ tasya viruddho 'gnis tasya kāryaṃ dhūmas tasya cehopabdhiḥ /	SItam tasya virudDaH agniH tasya kAryam DUmaH tasya ca-iha-upabDiH /
   (Ts 292)	(TH 292)
   15) vyāpakaviruddhakāryopalabdhir yathā / nātra tuṣārasparśo dhumād iti /	15) vyApaka-virudDa-kArya-upalabDiH yaTA / na-atra tuzAra-sparSaH DumAt iti /
   pratiṣedhyasya tuṣārasparśasya vyāpakaṃ śītaṃ tasya viruddho 'gnis tasya	pratizeDyasya tuzAra-sparSasya vyApakam SItam tasya virudDaH agniH tasya
   kāryaṃ dhūmas tasya cehopalabdhiḥ /	kAryam DUmaH tasya ca-iha-upalabDiH /
   16) kāryaviruddhakāryopalabdhir yathā nehāpratibaddhasāmarthyāni	16) kArya-virudDa-kArya-upalabDiH yaTA na-iha-apratibadDa-sAmarTyAni
   śītakāraṇāni santi dhūmād iti / pratiṣedhyānāṃ śītakāraṇānāṃ kāryaṃ śītaṃ	SIta-kAraNAni santi DUmAt iti / pratizeDyAnAm SIta-kAraNAnAm kAryam SItam
   tasya viruddho 'gnis tasya kāryaṃ dhūmas tasya cehopalabdhiḥ //	tasya virudDaH agniH tasya kAryam DUmaH tasya ca-iha-upalabDiH //
   10. ime sarve kāraṇānupalabdhyādayaḥ pañcadaśānupalabdhiprayogāḥ	10. ime sarve kAraNa-anupalabDi-AdayaH paQcadaSa-anupalabDi-prayogAH
   svabhāvānupalabdhau saṃgraham upayānti	svaBAva-anupalabDO saMgraham upayAnti
   pāraṃparyeṇārthāntaravidhipratiṣedhābhyāṃ prayogahhede 'pi	pAraMparyeNa-arTa-antara-viDi-pratizeDAByAm prayogahhede api
   svabhāvānupalabdhau saṃgrahaṃ tādātmyena gacchanti / etad uktaṃ bhavati /	svaBAva-anupalabDO saMgraham tAdAtmyena gacCanti / etat uktam Bavati /
   anupalabdhirūpatā tāvat sarvāsām aviśiṣṭā / tathā	anupalabDi-rUpa-tA tAvat sarvAsAm aviSizwA / taTA
   svabhāvaviruddhopalabdhyādāv apy anupalabdhirūpatā vidyata eva /	svaBAva-virudDa-upalabDi-AdO api anupalabDi-rUpa-tA vidyate eva /
   sahābhāvākṣepikā yasyopalabdhiḥ sā tasyānupalabdhir ity	saha-aBAva-AkzepikA yasya-upalabDiH sA tasya-anupalabDiH iti-
   anupalabdhilakṣaṇayogāt / tathā hi yeyaṃ vahner upalabdhiḥ sā śītābhāvam	anupalabDi-lakzaNa-yogAt / taTA hi yA-iyam vahneH upalabDiH sA SIta-aBAvam
   ākṣipati /	Akzipati /
   11. bhavatv anupalabdhiḥ sā dṛśyatā tu katham / ucyate / dṛśyatve 'py	11. Bavatu anupalabDiH sA dRSyatA tu kaTam / ucyate / dRSya-tve api-
   anupalabdhir iti kṛtvā / tathā hi yadi śītasparśo dṛśyo bhavet tadā	anupalabDiH iti kRtvA / taTA hi yadi SIta-sparSaH dRSyaH Bavet tadA
   tasyopalabdhiṃ niṣedhyābhāvavyāpto vahnir viruṇaddhy eva / evam	tasya-upalabDim nizeDya-aBAva-vyAptaH vahniH viruNadDi eva / evam
   abhāvasādhanī sarvaivānupalabdhir vyāptisāmarthyād (Ts 293)	aBAva-sADanI sarvA-eva-anupalabDiH vyApti-sAmarTyAt (TH 293)
   dṛśyasyopalabdhiṃ viruṇaddhīti sāmarthyāt svabhāvānupalabdhir bhavati / na	dRSyasya-upalabDim viruNadDi-iti sAmarTyAt svaBAva-anupalabDiH Bavati / na
   sākṣāt / yasyāṃ tv anupalabdhau tadaiva tam eva pratipattāraṃ prati	sAkzAt / yasyAm tu anupalabDO tadA-eva tam eva pratipattAram prati
   dṛśyatvaṃ pratiṣedhyasya siddhaṃ dṛśyānupalabdhir eva tasyāḥ svalakṣaṇam	dRSya-tvam pratizeDyasya sidDam dRSya-anupalabDiH eva tasyAH sva-lakzaNam
   iti sākṣāt svabhāvānupalabdhiḥ / yat punar anyair ucyate / yady api	iti sAkzAt svaBAva-anupalabDiH / yat punar anyEH ucyate / yadi api
   saṃpratitanī dṛśyānupalabdhir nāsti virodhādikāle tv āsīd saiva	saMpratitanI dRSya-anupalabDiH na-asti viroDa-Adi-kAle tu AsIt sA-eva
   bhāvapratipattinibandhanam iti / tena dṛṣyānupalabdhipūrvatvāt	BAva-pratipatti-nibanDanam iti / tena dRzya-anupalabDi-pUrva-tvAt
   svabhāvaviruddhopalabdhyādīnāṃ dṛśyānupalabdhāv antarbhāvaḥ /	svaBAva-virudDa-upalabDi-AdInAm dRSya-anupalabDO antarBAvaH /
   saṃpratitanyaś ca dṛśyānupalabdher abhāvāt tatsvabhāvānupalabdher anyāsām	saMpratitanyaH ca dRSya-anupalabDeH aBAvAt tad-svaBAva-anupalabDeH anyAsAm
   anupalabdhīnāṃ bheda iti /	anupalabDInAm BedaH iti /
   12. yad api kaiścit svabhāvaviruddhopalabdhyādīnām anumitānumānatayā	12. yat api kEScid svaBAva-virudDa-upalabDi-AdInAm anumita-anumAna-tayA
   dṛśyānupalabdhirūpatocyate / dūrād vahne rūpaviśeṣaṃ dṛṣṭvā	dRSyA-anupalabDirUpatA-ucyate / dUrAt vahne rUpa-viSezam dRzwvA
   uṣṇasparśaviśeṣas taddeśavyāpako 'numīyate tasmāc ca	uzNa-sparSa-viSezaH tad-deSa-vyApakaH anumIyate tasmAt ca
   śītasparśābhāvapratītiḥ / āhatya tu dṛśyānupalabdher anudayād	SIta-sparSa-aBAva-pratItiH / Ahatya tu dRSya-anupalabDeH anudayAt-
   dṛśyānupalabdher bhedena nirdeśaḥ / ata eva cānumitānumānam etat kevalam	dRSya-anupalabDeH Bedena nirdeSaH / atas eva ca-anumita-anumAnam etat kevalam
   atyantābhyāsāj jhaṭiti tathābhūtapratītyudaye saty ekam anumānam ucyate /	atyanta-aByAsAt Jawiti taTABUta-prati-iti-udaye sati ekam anumAnam ucyate /
   vastutas tv anekam anumānam etat evam anyatrāpi vyāpakaviruddhopalambhādāv	vastutas tu anekam anumAnam etat evam anyatra-api vyApaka-virudDa-upalamBa-AdO=-
   ūhyam iti dvayam apy etan na manasi toṣam ādadhāti //	Uhyam iti dvayam api etat na manasi tozam AdaDAti //
   13. svabhāvaḥ svasattāmātrabhāvini sādhyadharme hetuḥ / yo hetor ātmanaḥ	13. svaBAvaH sva-sattA-mAtra-BAvini sADya-Darme hetuH / yaH hetoH AtmanaH
   sattām apekṣya vidyamāno na hetusattāvyatiriktaṃ kiṃcid dhetum apekṣate /	sattAm apekzya vidyamAnaH na hetu-satta-avyatiriktam kiMcid Detum apekzate /
   tasmin sādhye yo hetuḥsa svabhāvaḥ / anena ca viśeṣaṇe nāntyāt kāraṇāt	tasmin sADye yaH hetuHsa svaBAvaH / anena ca viSezaNe na-antyAt kAraNAt-
   kāryaṃ yad utpadyate tasya saṃgrahaḥ (Ts 294) kṛtaḥ / tad api hi tasya	kAryam yat utpadyate tasya saMgrahaH (TH 294) kRtaH / tat api hi tasya
   svabhāva eva / tatsattāmātrabhāvitvāt / anyārtham api kṛtam anyārthaṃ	svaBAvaH eva / tad-sattA-mAtra-BAvi-tvAt / anya-arTam api kRtam anya-arTam
   bhavatīti nyāyāt paravipratipattir api nirākṛtā / pare hi	Bavati-iti nyAyAt para-vipratipattiH api nirAkRtAH / pare hi
   paścātkālabhāvinam api kṛtakatvādidharmaṃ svabhāvam icchantīti / yathā	paScAt-kAla-BAvinam api kRtaka-tva-Adi-Darmam svaBAvam icCanti-iti / yaTA
   vṛkṣo 'yaṃ śiṃśapātvād iti / kāryaṃ yāvadbhiḥ svabhāvair avinābhāvi kāraṇe	vRkzaH ayam SiMSapA-tvAt iti / kAryam yAvadBiH svaBAvEH avinABAvi kAraNe
   hetur iti prakṛtam / kāraṇe sādhye yāvadbhiḥ svabhāvair avinābhāvi tair	hetuH iti prakRtam / kAraNe sADye yAvadBiH svaBAvEH avinABAvi tEH-
   eva hetuḥ / yathā 'gnir atra dhūmāt //	eva hetuH / yaTA agniH atra DUmAt //
   14. etāni ca trīṇi liṅgāni sādhyabhedāt / sādhyāpekṣayā hi liṅgavyavasthā	14. etAni ca trINi liFgAni sADya-BedAt / sADya-apekzayA hi liFga-vyavasTA
   / sādhyaś ca vidhiḥ pratiṣedho vā anyonyalakṣaṇavyavacchedalakṣaṇatvād	/ sADyaH ca viDiH pratizeDaH vA anyonya-lakzaNa-vyavacCeda-lakzaNa-tvAt-
   anayoḥ / vidhir apy anarthāntarārthāntarabhedād dvividhaḥ /	anayoH / viDiH api anarTa-antara-arTa-antara-BedAt dviviDaH /
   tatrānarthāntare gamye svabhāvahetuḥ / arthāntare tu gamye kāryam iti dvāv	tatra-anarTa-antare gamye svaBAva-hetuH / arTa-antare tu gamye kAryam iti dvO=-
   etau vidhisādhanau / svabhāvapratibandhe hi saty artho 'rthaṃ gamayet /	etO viDi-sADanO / svaBAva-pratibanDe hi sati arTaH arTam gamayet /
   svabhāvena pratibandhaḥ pratibaddhasvabhāvatvam / yasmāt	svaBAvena pratibanDaH pratibadDa-svaBAva-tvam / yasmAt-
   svabhāvapratibandhe sati sādhanārthaḥ sādhyārthaṃ gamayet / tasmād anayor	svaBAva-pratibanDe sati sADana-arTaH sADya-arTam gamayet / tasmAt anayoH-
   eva vidhisādhanatā / nanu svabhāvapratibandham antareṇāpi candrodayāt	eva viDi-sADana-tA / nanu svaBAva-pratibanDam antareNa-api candra-udayAt
   kumudavikāsapratipattiḥ samudravṛddhiś ca / ātapasadbhāvāt parabhāge	kumuda-vikAsa-pratipattiH samudra-vRdDiH ca / Atapa-sadBAvAt para-BAge
   chāyāpratipattiḥ / kṛttikādyudayānantaraś ca rohiṇyādīnām udayaḥ pratīyate	CAyA-pratipattiH / kRttikA-Adi-udaya-anantaraH ca rohiNI-AdInAm udayaH pratIyate
   / tat katham ucyate svabhāvapratibandhe saty artho 'rthaṃ gamayed iti /	/ tat kaTam ucyate svaBAva-pratibanDe sati arTaH arTam gamayet iti /
   tadapratibaddhasya tadavyabhicāraniyamābhāvāt / tad iti (Ts 295) svabhāva	tad-apratibadDasya tat-avyaBicAra-niyama-aBAvAt / tat iti (TH 295) svaBAva
   uktaḥ / tenāpratibaddhas tadapratibaddhaḥ / yo yatra svabhāvena na	uktaH / tena-apratibadDaH tad-apratibadDaH / yaH yatra svaBAvena na
   pratibaddhaḥsa tarn apratibaddhaviṣayam avaśyam eva na na vyabhicaratīti	pratibadDaH-sa tarn apratibadDa-vizayam avaSyam eva na na vyaBicarati-iti
   nāsti tayor avyabhicāraniyamaḥ / yātu candrodayādeḥ	na-asti tayoH avyaBicAra-niyamaH / yAtu candra-udaya-AdeH
   samudravṛddhyādipratītiḥ sānumānād eva / tathā hi hetudharmasyaiva tādṛśo	samudra-vRdDi-Adi-pratItiH sa-anumAnAt eva / taTA hi hetu-Darmasya-eva tAdRSaH-
   'trānumitir yatrāmbhojabodhādaya ekakālā jātāḥ / evaṃ sati kāryād iyaṃ	atra-anumitiH yatra-amBoja-boDa-AdayaH eka-kAlAH jAtAH / evam sati kAryAt iyam
   kāraṇasiddhiḥ / vāyuviśeṣa eva ca yaḥ kṛttikādyudayakāraṇaṃsa eva hi	kAraNa-sidDiH / vAyu-viSezaH eva ca yaH kRttikA-Adi-udaya-kAraNaMsaH eva hi
   saṃtatyā rohiṇyādyudayakāraṇaṃ / hetudharmapratītes tatpratītir iti / evam	saMtatyA rohiNI-Adi-udaya-kAraNam / hetu-Darma-pratIteH tad-pratItiH iti / evam
   atrāpi / yatrāvyabhicāras tatra pratibandho 'bhyūhyaḥ / sa ca pratibandhaḥ	atra-api / yatra-avyaBicAraH tatra pratibanDaH aByUhyaH / sa ca pratibanDaH
   sādhye 'rthe liṅgasya / vastutas tadātmyāt tadutpatteś ca /	sADye arTe liFgasya / vastutas tad-AtmyAt tad-utpatteH ca /
   atatsvabhāvasyātadutpatteś ca tatrāpratibaddhasvabhāvatvāt / te ca	atad-svaBAvasya-Atad-utpatteH ca tatra-apratibadDa-svaBAva-tvAt / te ca
   tādātmyatadutpattī svabhāvakāryayor eveti / tābhyām eva vastusiddhiḥ /	tAdAtmya-tad-utpattI svaBAva-kAryayoH eva-iti / tAByAm eva vastu-sidDiH /
   pratiṣedhasiddhis tu yathoktāyā evānupalabdheḥ / nanv anupalabdhau kaḥ	pratizeDa-sidDiH tu yaTA-uktAyAH eva-anupalabDeH / nanu anupalabDO kaH
   pratibandhaḥ / pratibaddhaś ca hetur gamakaḥ / idānim eva hi kathitam /	pratibanDaH / pratibadDaH ca hetuH gamakaH / idAnim eva hi kaTitam /
   svabhāvapratibandhe hi saty artho 'rthaṃ gamayed iti / tatra	svaBAva-pratibanDe hi sati arTaH arTam gamayet iti / tatra
   svabhāvānupalabdhau tādātmyaṃ pratibandhaḥ / tathā hi	svaBAva-anupalabDO tAdAtmyam pratibanDaH / taTA hi
   tatrābhāvavyavahārayogyatā sādhyate / yogyatā ca yogyasvabhāvabhūtaiveti /	tatra-aBAva-vyavahAra-yogya-tA sADyate / yogyatA ca yogya-svaBAva-BUtA-eva-iti /
   kāraṇānupalabdhyādau maulapratibandhanibandhano gamyagamakabhāvaḥ /	kAraNa-anupalabDi-AdO mOla-pratibanDa-nibanDanaH gamya-gamaka-BAvaH /
   viruddhopalabdhyādau tu tattadviviktapradeśādikāryatvāt tādṛśasya (Ts 296)	virudDa-upalabDi-AdO tu tad-tad-vivikta-pradeSa-Adi-kArya-tvAt tAdRSasya (TH 296)
   dahanādes tadutpattinibandhana eva iti // //	dahana-AdeH tad-utpatti-nibanDanaH eva iti // //
   // tarkasopāne svārthānumānaparicchedo dvitiyaḥ // //	// tarka-sopAne sva-arTa-anumAna-paricCedaH dvitiyaH // //
   1. trirūpaliṅgākhyānaṃ parārtham anumānam / pūrvam uktaṃ yat trirūpaṃ	1. trirUpa-liFga-AKyAnam para-arTam anumAnam / pUrvam uktam yat trirUpam
   liṅgaṃ tasya yat prakāśakaṃ vacanaṃ tat parārtham anumānaṃ kāraṇe	liFgam tasya yat prakASakam vacanam tat para-arTam anumAnam kAraNe
   kāryopacārāt / anumānakāraṇe trirūpaiiṅge kāryasyānumānasyopacārāt	kArya-upacArAt / anumAna-kAraNe tri-rUpEiFge kAryasya-anumAnasya-upacArAt
   samāropāt / yathā naḍvalodakaṃ pādaroga iti / tad dvividhaṃ prayogabhedāt	samAropAt / yaTA naxvala-udakam pAda-rogaH iti / tat dviviDam prayoga-BedAt-
   / sādharmyavat / vaidharmyavac ca //	/ sADarmya-vat / vEDarmya-vat ca //
   2. samāno dharmo yasya sa sadharmā / tasya bhāvaḥ sādharmyaṃ /	2. samAnaH DarmaH yasya sa saDarmA / tasya BAvaH sADarmyam /
   dṛṣṭāntadharmiṇā saha sādhyadharmiṇo hetukṛtaṃ sādṛśyam / visadṛśo dharmo	dRzwAnta-DarmiNA saha sADya-DarmiNaH hetu-kRtam sAdRSyam / visadRSaH DarmaH-
   yasya sa vidharmā tasya bhāvo vaidharmyam / dṛṣṭāntadharmiṇā saha	yasya sa viDarmA tasya BAvaH vEDarmyam / dRzwAnta-DarmiNA saha
   sādhyadharmiṇo hetukṛtaṃ vaisādṛśyam / yasya sādhanavākyasya sādharmyam	sADya-DarmiNaH hetu-kRtam vEsAdRSyam / yasya sADana-vAkyasya sADarmyam
   abhidheyaṃ tatsādharmyavat / yasya ca vaidharmyam abhidheyaṃ tad	aBiDeyam tat-sADarmya-vat / yasya ca vEDarmyam aBiDeyam tat-
   vaidharmyavat / nanu ca sādharmyavati sādhanavākye vyatireko nāsti /	vEDarmya-vat / nanu ca sADarmyavati sADana-vAkye vyatirekaH na-asti /
   vaidharmyavati cānvayas tat kathaṃ trirūpaliṅgākhyānaṃ parārtham anumānaṃ	vEDarmyavati ca-anvayaH tat kaTam trirUpa-liFga-AKyAnam para-arTam anumAnam
   syāt / naiṣa doṣaḥ / sādharmyeṇāpi hi prayoge 'rthād vaidharmyagatiḥ /	syAt / na-eza dozaH / sADarmyeNa-api hi prayoge arTAt vEDarmya-gatiH /
   asati tasmin sādhyena hetor anvayāyogāt / sādharmyābhidheyena yukte	asati tasmin sADyena hetoH anvayA-yogAt / sADarmya-aBiDeyena yukte
   prayoge samarthyād vyatirekasya pratītis tasmāt trirūpaliṅgākhyānam /	prayoge samarTyAt vyatirekasya pratItiH tasmAt triru-upa-liFga-AKyAnam /
   tasmin vyatireke buddhyāvasīyamāne 'sati sādhyena hetor anvayasya	tasmin vyatireke budDyA-avasIyamAne asati sADyena hetoH anvayasya
   buddhyāvasitasyābhāvāt //	budDyA-vasitasya-aBAvAt //
   (Ts 297)	(TH 297)
   3. tathā vaidharmyeṇāpy anvayagatiḥ / asati tasmin sādhyābhave	3. taTA vEDarmyeNa-api anvaya-gatiH / asati tasmin sADya-aBave
   hetvabhāvasyāsiddheḥ / tatheti yathānvayavākye tathārthād eva vaidharmyeṇa	hetvaBAvasya-asidDeH / taTA-iti yaTA-anvaya-vAkye taTA-arTAt eva vEDarmyeNa
   prayoge 'nvayasyānabhidhīyamānasyāpi gatiḥ / asati tasminn anvaye	prayoge anvayasya-anaBiDIyamAnasya-api gatiH / asati tasmin anvaye
   buddhigṛhīte sādhyābhāve hetvabhāvasyāsiddher anavasāyāt / tasmād ekenāpi	budDi-gRhIte sADya-aBAve hetu-aBAvasya-asidDeH anavasAyAt / tasmAt ekena-api
   vākyenānvayamukhena vyatirekamukhena vā prayuktena sapakṣāsapakṣayor	vAkyena-anvaya-muKena vyatireka-muKena vA prayuktena sa-pakzAsa-pakzayoH-
   liṅgasya sadasattvakhyāpanaṃ kṛtaṃ bḥavatīti nāvaśyaṃ vākyadvayaprayogaḥ	liFgasya sat-asat-tva-KyApanam kRtam bHavati-iti na-avaSyam vAkya-dvaya-prayogaH
   4. tatrānupalabdheḥ sādharmyavān prayogaḥ yad yatropalabdhilakṣaṇaprāptaṃ	4. tatra-anupalabDeH sADarmyavAn prayogaH yat yatra-upalabDi-lakzaNa-prAptam
   san nopalabhyate sa tatrāsadvyavahāraviṣayaḥ / yathā śaśaśirasi śṛṅgaṃ /	san na-upalaByate sa tatra-asat-vyavahAra-vizayaH / yaTA SaSa-Sirasi SRFgam /
   nopalabhyate ca kvacitpradeśaviśeṣa upalabdhilakṣaṇaprāpto ghaṭa iti /	na-upalaByate ca kvacid-pradeSa-viSezaH upalabDi-lakzaNa-prAptaH GawaH iti /
   atra dṛṣṭāntadharmiṇaḥ śaśaśirasaḥ sādhyadharmiṇaś ca	atra dRzwAnta-DarmiNaH SaSa-SirasaH sADya-DarmiNaH ca
   pradeśaviśeṣasyopalabdhilakṣaṇaprāptapratiṣedhyānupalambhahetukṛtaṃ	pradeSa-viSezasya-upalabDi-lakzaNa-prApta-pratizeDya-anupalamBa-hetu-kRtam
   sādṛśyam abhidheyam //	sAdRSyam aBiDeyam //
   5. tathā svabhāvahetoḥ prayogaḥ / yat sat tat sarvam anityaṃ yathā ghaṭaḥ	5. taTA svaBAva-hetoH prayogaH / yat sat tat sarvam anityam yaTA GawaH
   saṃś ca śabdaḥ / śuddhasya svabhāvasya prayogaḥ /	san ca SabdaH / SudDasya svaBAvasya prayogaH /
   sattvamātrasyopadhyanapekṣatvāt / yad utpattimat tad anityam / yathā	sattva-mAtrasya-upaDi-anapekza-tvAt / yat utpattimat tat anityam / yaTA
   ghaṭaḥ / utpattimac ca sukham ity avyatiriktaviśeṣaṇasya / utpattir hi	GawaH / utpattimat ca suKam iti avyatirikta-viSezaNasya / utpattiH hi
   svarūpalābhaḥ / sā ca bhāvasyātmabhūtaiva kevalaṃ kalpanayā vyatirekiṇīva	sva-rUpa-lABaH / sA ca BAvasya-Atma-BUtA-eva kevalam kalpanayA vyatirekiNI-iva
   pradarśyate / yat kṛtakaṃ tad anityaṃ yathā ghaṭaḥ kṛtakaś ca śabda iti	pradarSyate / yat kRtakam tat anityam yaTA GawaH kRtakaH ca SabdaH iti
   vyatiriktaviśeṣaṇasya / apekṣitaparavyāpāro hi svabhāvaniṣpattau bhāvaḥ	vyatirikta-viSezaNasya / apekzita-para-vyApAraH hi svaBAva-nizpattO BAvaH
   kṛtaka iti / evaṃ pratyayabhedabheditvādayo draṣṭavyāḥ / atra hi	kRtakaH iti / evam pratyaya-Beda-Bedi-tva-AdayaH drazwavyAH / atra hi
   dṛṣṭāntadharmibhiḥ sādhyadharmiṇāṃ hetukṛtaṃ sādṛśyam abhidheyam / sarva	dRzwAnta-DarmiBiH sADya-DarmiNAm hetu-kRtam sAdRSyam aBiDeyam / sarva
   ete sādhanadharmā yathāsvaṃ (Ts 298) pramāṇaiḥ	ete sADana-DarmAH yaTAsvam (TH 298) pramANEH
   siddhasādhanadharmamātrānubandha eva sādhyadharme 'vagantavyāḥ / vastutas	sidDa-sADana-Darma-mAtra-anubanDaH eva sADya-Darme avagantavyAH / vastutas-
   tasyaiva tatsvabhāvatvāt / tanniṣpattāv aniṣpannasya tatsvabhāvatvāyogāt /	tasya-eva tad-svaBAva-tvAt / tad-nizpattO anizpannasya tad-svaBAva-tva-ayogAt /
   viruddhadharmādhyāsasya bhedaIakṣaṇatvāt //	virudDa-Darma-aDyAsasya Beda-IakzaNa-tvAt //
   6. kāryahetoḥ sādharmyavān prayogaḥ / yatra yatra dhūmas tatra tatra	6. kArya-hetoH sADarmyavAn prayogaH / yatra yatra DUmaH tatra tatra
   vahnir yathā mahānase / dhūmas cātra / atra dṛṣṭāntadharmiṇo mahānasasya	vahniH yaTA mahAnase / DUmaH ca-atra / atra dRzwAnta-DarmiNaH mahAnasasya
   sādhyadharmiṇaś ca pradeśaviśeṣasya dhūmahetukṛtaṃ sādṛśyam abhidheyam /	sADya-DarmiNaH ca pradeSa-viSezasya DUma-hetu-kRtam sAdRSyam aBiDeyam /
   ihāpi tribhir anupalambhair dvābhyāṃ pratyakṣābhyāṃ siddhe	iha-api triBiH anupalamBEH dvAByAm pratyakzAByAm sidDe
   kāryakāraṇabhave kāraṇe sādhye kāryahetur vaktavyaḥ / anupalabdher	kArya-kAraNa-Bave kAraNe sADye kArya-hetuH vaktavyaH / anupalabDeH-
   vaidharmyavān prayogaḥ / yat sad upalabdhilakṣaṇaprāptaṃtad upalabhyata	vEDarmyavAn prayogaH / yat sat upalabDi-lakzaNa-prAptaMtat upalaByata
   eva / yathā nīlaviśeṣaḥ / na caivam ihopalabdhilakṣaṇaprāptasya	eva / yaTA nIla-viSezaH / na ca-evam iha-upalabDi-lakzaNa-prAptasya
   ghaṭasyopalabdhir iti / atra hi dṛṣṭāntadharmiṇo nilaviśeṣasya	Gawasya-upalabDiH iti / atra hi dRzwAnta-DarmiNaH nilaviSezasya
   sādhyadharmiṇaś ca	sADya-DarmiNaH ca
   pradeśasyopalabdhilakṣaṇaprāptaniṣedhyānupalambhākhyahetukṛtaṃ vaisādṛśyam	pradeSasya-upalabDi-lakzaNa-prApta-nizeDya-anupalamBa-AKya-hetu-kRtam vEsAdRSyam
   abhidheyam /	aBiDeyam /
   7. svabhāvahetor vaidharmyavantaḥ prayogāḥ asaty anityatve nāsti kvacit	7. svaBAva-hetoH vEDarmyavantaH prayogAH asati anitya-tve na-asti kvacid-
   sattvaṃ yathā gaganamaline / saṃś ca śabdaḥ / asaty anityatve na kvacid	sattvam yaTA gagana-maline / san ca SabdaH / asati anitya-tve na kvacid-
   utpattimattvaṃ yathākāśe / utpattimac ca sukham / asaty anityatve na	utpattimat-tvam yaTA-AkASe / utpattimat ca suKam / asati anitya-tve na
