   ṣaṣṭhaḥ paricchedaḥ	zazWaH paricCedaH
   santu kṣamāmaṇḍale bhūyādavyabhicāriṇī trijagato bhaktiśca nārāyaṇo //	santu kzamA maNxale BUyAt avyaBicAriNI trijagataH BaktiH ca nArAyaNaH //
   atra copasaṃhārapraśastyoranta ekena krameṇaiva sthitiḥ /	atra ca upasaMhAra praSastyoH ante ekena krameNa eva sTitiH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ma) praśastirūpamaṅgamāha   nṛpadeśādīti /	(vi, ma) praSasti rUpam aFgam Aha    nRpa deSa Adi iti /
        nṛpasya deśādaḥ śāntiḥ svastyayanamāśīrvāda ityarthaḥ /	nRpasya deSa AdaH SAntiH svastyayanam ASIrvAdaH iti arTaH /
        rājāna ityādi /	rAjAnaH ityAdi /
        adhunā sutanirviśeṣaṃ yathā syāt tathā rājānaḥ prajāḥ paśyantu /	aDunA suta nirviSezam yaTA syAt taTA rAjAnaH prajAH paSyantu /
        guṇagrāhiṇaḥ santaḥ śiṣṭā jīyāsuḥ utkarṣabhājo bhavantu, yataste	guNa grAhiNaH santaH SizwAH jIyAsuH utkarza BAjaH Bavantu, yatas te
   sadasadvivekapaṭavaḥ /	sat asat viveka pawavaH /
        kṣamāmaṇḍale śasyānāṃ suvarṇānāñca samṛddhayaḥ samadhikāḥ santu /	kzamA maNxale SasyAnAm suvarNa anAQca samRdDayaH samaDikAH santu /
        nārāyaṇe cāvyabhicāriṇī akādācitkī bhaktiḥ trijagatāṃ bhūyāditi	nArAyaNe ca avyaBicAriNI akAdAcitkI BaktiH trijagatAm BUyAt iti
   nṛpadeśādiśāntiḥ /	nRpa deSa Adi SAntiH /
        atra ceti   kāvyasaṃhārarūpamaṅgopasaṃhāraḥ /	atra ca iti     kAvya saMhAra rUpam aFga upasaMhAraH /
        anenāṭakānte upasaṃhārapraśastyornirdiṣṭakramaṇaivopasthitirityarthaḥ	anena Awaka ante upasaMhAra praSastyoH nirdizwa kramaNa eva upasTitiH iti arTaH
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "iha ca mukhasaṃdhau upakṣepaparinyāsayuktyudbhedasamādhānānāṃ pratimukhe	"iha ca muKa saMDO upakzepa parinyAsa yukti udBeda samADAnAnAm pratimuKe
   ca parisarpaṇapragamanavajropanyāsapuṣpāṇāṃ garbhe 'bhūtāharaṇamargatro	ca parisarpaNa pragamana vajra upanyAsa puzpANAm garBe aBUta AharaNa margatro
   (to) ṭakādhibalakṣepāṇāṃ vimarśe 'pavādaśaktivyavasāyaprarocanādānānāṃ	(to) wakADibala kzepANAm vimarSe apavAda Sakti vyavasAya prarocana AdAnAnAm
   prādhanyam /	prADanyam /
   anyeṣāṃ ca yathāsambhavaṃ sthitiḥ" iti kecit /	anyezAm ca yaTAsamBavam sTitiH" iti kecid /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ya) sandhiṣu yānyaṅgānyuktāni teṣu katicit aṅgānyeva	(vi, ya) sanDizu yAni aFgAni uktAni tezu katicid aFgAni eva
   āvaśyakatvena pradhānānīti kecidāhuḥ /	AvaSyaka tvena praDAnAni iti kecid AhuH /
        sandhau sandhau ca tāni darśayati /	sanDO sanDO ca tAni darSayati /
        iha ceti /	iha ca iti /
        keciditi asvarasaḥ /	kecid iti asvarasaH /
        sarveṣāmaṅgānāmaniyame	sarvezAm aFgAnAm aniyame
   nānāvaśyakatvadarśanādupasaṃhārapraśastyorevāvaśyakatvadarśanāt /	nAnA vaSyaka tva darSanAt upasaMhAra praSastyoH eva AvaSyaka tva darSanAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   catuḥṣaṣṭividhaṃ hyetadaṅgaṃ proktaṃ manīṣibhiḥ /	catuHzazwiviDam hi etat aFgam proktam manIziBiH /
   kuryādaniyate tasya saṃdhāvapi niveśanam // VisSd_6.115 //	kuryAt aniyate tasya saMDO= api niveSanam // VisSd _6.115 //
   rasānuguṇatāṃ vīkṣya rasasyaiva hi mukhyatā /	rasa anuguNa tAm vIkzya rasasya eva hi muKya tA /
   yathā vehīsaṃhāre tṛtīyāṅke duryodhanakarṇayormahatsaṃpradhāraṇam /	yaTA vehI saMhAre tRtIya aFke duryoDana karNayoH mahat saMpraDAraNam /
   evamanyatrāpi /	evam anyatra api /
   yattu rudraṭādibhiḥ "niyama eva " ityuktaṃ tallakṣyāviruddham /	yat tu rudrawa AdiBiH "niyamaH eva " iti uktam tat lakzya avirudDam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ra) catuḥ ṣaṣṭiriti /	(vi, ra) catuH zazwiH iti /
        prārthanāpraśastyormatabhedena vaikalpikatvasyoktatvāt /	prArTanA praSastyoH mata Bedena vEkalpika tvasya ukta tvAt /
        samuccaye tu pañcaṣaṣṭitvāpatterityuktaṃ prageva /	samuccaye tu paQca zazwi tva ApatteH iti uktam pragA iva /
        sandhīnāmuktānyaṅgāni /	sanDInAm uktAni aFgAni /
        prāyikatvābhiprāyeṇaivoktāni /	prAyika tva aBiprAyeNa eva uktAni /
        rasānuguṇānurodhena tu ekasandheraṅgani anyasandhāvapi	rasa anuguNa anuroDena tu eka sanDeH aFgani anya sanDO= api
   kuryyādityāha   kuryyādaniyate iti /	kuryyAt iti Aha   kuryyAt aniyate iti /
        aniyate sandhavapi tasyāṅgasya niveśanaṃ kuryyāt ityanvayaḥ /	aniyate sanDavapi tasya aFgasya niveSanam kuryyAt iti anvayaH /
        saṃpradhāraṇamiti /	saMpraDAraNam iti /
        mukhasandheryuktirūpamaṅgasaṃpradhāraṇaṃ tacca garbhasandhāvapi	muKa sanDeH yukti rUpam aFga saMpraDAraNam tat ca garBa sanDO= api
   kṛtamityarthaḥ /	kRtam iti arTaH /
        tatra duryyodhanakarṇābhyāṃ yuktikaraṇāt /	tatra duryyoDana karNAByAm yukti karaNAt /
        tallakṣyaviruddhamiti /	tad lakzyavirudDam iti /
        lakṣyeṣu udāharaṇanāṭakeṣu aniyamadarśanāt viruddhamityarthaḥ /	lakzyezu udAharaNa nAwakezu aniyama darSanAt virudDam iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   iṣṭārtharacanāścaryalābho vṛttāntavistaraḥ // VisSd_6.116 //	izwa arTa racanAH carya lABaH vRttAnta vistaraH // VisSd _6.116 //
   rāgaprāptiḥ prayogasya goṣyānāṃ gopanaṃ tathā /	rAga prAptiH prayogasya gozyAnAm gopanam taTA /
   prakāśanaṃ prakāśyānāmaṅgānāṃ ṣaḍvidhaṃ phalam // VisSd_6.117 //	prakASanam prakASyAnAm aFgAnAm zaxviDam Palam // VisSd _6.117 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, la) idānīmuktāṅgānāṃ yathāsambhavaṃ ṣaṭ phalānyāha /	(vi, la) idAnI mukta aFgAnAm yaTAsamBavam zaw PalAni Aha /
        iṣṭānusaraṇeti /	izwa anusaraNa iti /
        iṣṭasyārthasyānusaraṇamityarthaḥ /	izwasya arTasya anusaraNam iti arTaH /
        iṣṭārtharacaneti /	izwa arTa racanA iti /
        iṣṭānuharaṇeti kvacit pāṭhaḥ /	izwa anuharaNa iti kvacid pAWaH /
        āścaryyalābho 'dbhutavastulābha ityarthaḥ /	AScaryya lABaH adButa vastu lABaH iti arTaH /
        vṛttāntasya vistareṇa jñānam /	vRttAntasya vistareNa jQAnam /
        rāgaprāptiranurāgalābhaḥ /	rAga prAptiH anurAga lABaH /
        gopyānāmarthānāṃ saṃgopanam /	gopyAnAm arTAnAm saMgopanam /
        prakāśyānāmarthānāṃ prakāśanañceti prayogasya	prakASyAnAm arTAnAm prakASanaQca iti prayogasya
   mukhasandhyādiprayogasya aṅgānāmupakṣepādyaṅgānāṃ ṣaṭ phalānītyarthaḥ /	muKa sanDi Adi prayogasya aFgAnAm upakzepa Adi aFgAnAm zaw PalAni iti arTaH /
        yathā kāvyārthetpattirūpasya upakṣeparūpasya mukhasandhyaṅgasya	yaTA kAvya arTet patti rUpasya upakzepa rUpasya muKa sanDi aFgasya
   iṣṭānusaraṇaṃ phalam /	izwa anusaraNam Palam /
        evamanyāṅgānāmanyāni pañcaphalāni yathāsambhavaṃ	evam anya aFgAnAm anyAni paQca PalAni yaTAsamBavam
   nāṭakeṣuanusandheyāni /	nAwaka izu anusanDeyAni /
        Locanā:	LocanA:
        (lo, ī) yadvastu gopayitumiṣṭaṃ tadaṅgasvarūpavijñāpanena sukhena	(lo, I) yat vastu go payitum izwam tad aFga svarUpa vijQApanena suKena
   gopayitu evaṃ prakāśyānāṃ prakāśaścetyarthaḥ /	gopayitu evam prakASyAnAm prakASaH ca iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   aṅgahīno naro yadvannaivārambhakṣamo bhavet /	aFga hInaH naraH yat vat na eva AramBa kzamaH Bavet /
   aṅgahīnaṃ tathā kāvyaṃ na prayogāya yujyate // VisSd_6.118 //	aFga hInam taTA kAvyam na prayogAya yujyate // VisSd _6.118 //
   saṃpādayetāṃ saṃdhyaṅgaṃ nāyakapratināyakau /	saMpAdayetAm saMDi aFgam nAyaka pratinAyakO /
   tadabhāve patākādyastadabhāve tathetarat // VisSd_6.119 //	tad aBAve patAkA AdyaH tad aBAve taTA itarat // VisSd _6.119 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, va) nāṭye prayoge 'ṅgānāmāvaśyakatvamāha   aṅgahīna iti /	(vi, va) nAwye prayoge aFgAnAm AvaSyaka tvam Aha   aFga hInaH iti /
        nārambhakṣamaḥ na kāryyārambhakṣamaḥ /	na AramBa kzamaH na kAryya AramBa kzamaH /
        sampādayetāmiti /	sampAdayetAm iti /
        anena sandhyaṅganirvāhakau prathamato nāyakapratināyakāveveti uktam /	anena sanDi aFga nirvAhakO praTamatas nAyaka pratinAyakO= A iva iti uktam /
        tadabhāve kvacit tābhyāmanirvāhe patākādyāstannirvāhakāḥ /	tad aBAve kvacid tAByAm anirvAhe patAkA AdyAH tad nirvAhakAH /
        patākā ca "vyāpi prāsaṅgikaṃ vṛttaṃ patāketyabhidīyate /	patAkA ca "vyA api prAsaFgikam vRttam patAkA iti aBidIyate /
        '; ityanena nāyakasya vṛttaṃ patāketyuktam /	a; iti anena nAyakasya vRttam patAkA iti uktam /
        atra ca tatsambandhāt nāyakasahāya eva tattvenoktaḥ /	atra ca tad sambanDAt nAyaka sahAyaH eva tattvena uktaH /
        tadādyāstannirvāhakāḥ /	tad AdyAH tad nirvAhakAH /
        ādyapadāt nāyikāsahāyāḥ, tairapyanirvāhyaṃ yat /	Adya padAt nAyikA sahAyAH, tEH api anirvAhyam yat /
        itaro 'pi tannirvāhaka ityarthaḥ /	itaraH api tat nirvAhakaH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   prāyeṇa pradhānapuruṣaprayojyāni sandhyaṅgāni bhavanti /	prAyeNa praDAna puruza prayojyAni sanDi aFgAni Bavanti /
   kintūpakṣepāditrayaṃ	kintu upakzepa Adi trayam
   bījasyālpamātrasamuddiṣṭatvādapradhānapuruṣaprayojitameva sādhu /	bIjasya alpa mAtra samuddizwa tvAt apraDAna puruza prayojitam eva sADu /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, śa) upakṣepādyaṅgatrayasya ca pradhānanāyaketareṇa samuddiṣṭatve	(vi, Sa) upakzepa Adi aFga trayasya ca praDAna nAya ka itareNa samuddizwa tve
   eva sādhutā ityāha  kintūpakṣepeti /	eva sADu tA iti Aha  kintu upakzepa iti /
        tatra hetumāha   bījasyeti /	tatra hetumAha    bIjasya iti /
        pradhānetivṛttarūpasya kāvyārthasya yanmūlaṃ tadvījaṃ	praDAna iti vRtta rUpasya kAvya arTasya yat mUlam tad vIjam
   tasyālpamātrasamuddeśasyopakṣepakādyaṅgatrayeṇa	tasya alpa mAtra samuddeSasya upakzepaka Adi aFga trayeNa
   kṛtatvādapradhānapuruṣabhīmasenādisamuddiṣṭatvameva sādhvityarthaḥ /	kRta tvAt apraDAna puruza BImasena Adi samuddizwa tvam eva sADu iti arTaH /
        pradhānapuruṣasya dhīrodāttatvena karttavyetivṛttabījasamuddeśasya	praDAna puruzasya DIra udAtta tvena karttavyA iti vRtta bIja samuddeSasya
   alpasyāpi tena karaṇānaucityād iti bhāvaḥ /	alpasya api tena karaNAn OcityAt iti BAvaH /
        tathā hi kāvyārthasya samutpattirūpaṃ yadupakṣeparūpamaṅgaṃ tena	taTA hi kAvya arTasya samutpatti rUpam yat upakzepa rUpam aFgam tena
   veṇyāṃ lākṣāgṛhānaletyādi bhīmoktyā kurukulavadharūpakāvyārthasya tasya	veNyAm lAkzA gRha anala ityAdi BIma uktyA kuru kula vaDa rUpa kAvya arTasya tasya
   bījasamutpattiḥ pratipāditā /	bIja samutpattiH pratipAditA /
        samutpannārthabāhulyaṃ yatparikarātmakamaṅgaṃ tena "pravṛddhaṃ	samutpanna arTa bAhulyam yat parikara Atmakam aFgam tena "pravRdDam
   yadvairaṃ mama'; ityādi bhīmoktyā tad bāhulyaṃ pratipāditam /	yat vEram mama a; ityAdi BIma uktyA tat bAhulyam pratipAditam /
        kāvyārthaniṣpattikathanarūpaṃ yat parinyāsātmakamaṅgaṃ tena "cañcad	kAvya arTa nizpatti kaTana rUpam yat parinyAsa Atmakam aFgam tena "caQcat 
   bhuje'; tyādibhīmoktyā niṣpattiḥ pratipāditā /	Buje a; tyAdi BIma uktyA nizpattiH pratipAditA /
        etat trayañca pradhānanāyakoktaṃ tadadhīratāpadakaṃ syāt /	etat trayaQca praDAna nAyaka uktam tat aDIra tApadakam syAt /
        naca samutpannārthabāhulyakāvyārthaniṣpattyoḥ kathaṃ	na ca samutpanna arTa bAhulya kAvya arTa nizpattyoH kaTam
   bījasyālpasamuddiṣṭatvamiti vācyam /	bIjasya alpa samuddizwa tvam iti vAcyam /
        asamastoddiṣṭasyaivālpoddiṣṭatvamityabhiprāyāt /	asamaH ta uddizwasya eva alpa uddizwa tvam iti aBiprAyAt /
        bījoddeśamātrādeva nāyakasya dhīrodāttatvabhaṅga ityatra eva	bIja uddeSa mAtrAt eva nAyakasya DIra udAtta tva BaFgaH iti atra eva
   tātparyyāt /	tAtparyyAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   rasavyaktimapekṣyaiṣāmaṅgānāṃ saṃniveśanam /	rasa vyaktim apekzya ezAm aFgAnAm saMniveSanam /
   na tu kevalayā śāstrasthitisaṃpādanecchayā // VisSd_6.120 //	na tu kevalayA SAstra sTiti saMpAdana icCayA // VisSd _6.120 //
   tathā ca yadveṇyāṃ duryodhanasya bhānumatyā saha vipralambho darśitaḥ,	taTA ca yat veNyAm duryoDanasya BAnumatyA saha vipralamBaH darSitaH,
   tattāddaśe 'vasare 'tyantamanucitam /	tat tAddaSe avasare atyantam anucitam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṣa) rasavyaktimiti /	(vi, za) rasa vyaktim iti /
        tatsandhīnāṃ yānyaṅganyuktāni /	tad sanDInAm yAni aFganI uktAni /
        tāni tatraiveti niyamaḥ /	tAni tatra eva iti niyamaH /
        kintu rasavyañjanāpekṣayā eva eṣāṃ niveśanaṃ na tu	kintu rasa vyaQjana apekzayA eva ezAm niveSanam na tu
   nāṭyasāstroktasthitisampādanecchayā ityarthaḥ /	nAwya sa astra ukta sTiti sampAdana icCayA iti arTaH /
        yadyapīdaṃ prāgapyuktaṃ tathāpi rasavyaktyanapekṣayā karaṇe doṣa	yadi api idam prAk api uktam taTA api rasa vyakti anapekzayA karaNe doza
   tvapratipādanāya purarūktam /	tu apratipAdanAya pura rUktam /
        tadāha  tathā ceti /	tat Aha   taTA ca iti /
        rasavyaktyanapekṣayā niveśanaṃ tu nocitamevetyarthaḥ /	rasa vyakti anapekzayA niveSanam tu na ucitam eva iti arTaH /
        tādṛśe 'vasare iti /	tAdRSe avasare iti /
        vīrarase ityarthaḥ /	vIra rase iti arTaH /
        na cāṅgasanniveśanānaucitye darśayitavye	na ca aFga sanniveSanAnOcitye darSayitavye
   rasaniveśanānaucityapradarśanamidamasambaddhamiti vācyam /	rasa niveSana anOcitya pradarSanam idam asambadDam iti vAcyam /
        aṅgahīnarasābhāvena vipralambhapradarśanādeva tadaṅgasyāpi	aFga hIna rasa aBAvena vipralamBa pradarSanAt eva tad aFgasya api
   pradarśanāt /	pradarSanAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   aviruddhaṃ tu yadvṛttaṃ rasādivyaktaye 'dhikam /	avirudDam tu yat vRttam rasa Adi vyaktaye aDikam /
   tadaṣyanyathayeddhīmānna vadedvā kadācana // VisSd_6.121 //	tat azyani aTayet DImAn na vadet vA kadAcana // VisSd _6.121 //
   anayorudāharaṇaṃ satprabandheṣvabhivyaktameva /	anayoH udAharaNam sat prabanDezu aBivyaktam eva /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, sa) svaviruddhamiti /	(vi, sa) sva virudDam iti /
        svasyopakrāntavṛttasya viruddhamadhikaṃ yad vṛttaṃ vṛttāntaḥ tadapi	svasya upakrAnta vRttasya virudDam aDikam yat vRttam vRttAntaH tat api
   rasābhivyaktaye 'nyathayedupakrāntarasāviruddhatayā pratipādayet /	rasa aBivyaktaye anyaTayet upakrAnta rasa avirudDa tayA pratipAdayet /
        tadasambe tu na vadeditiyarthaḥ /	tat asambe tu na vadet itiyarTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atha vṛttayaḥ   	aTa vRttayaH   
   śṛṅgāre kauśikī vīre sāttvatyārabhaṭī punaḥ /	SRFgAre kOSikI vIre sAttva tyAraBawI punar /
   rase raudre ca bībhatse vṛttiḥ sarvatra bhāratī // VisSd_6.122 //	rase rOdre ca bIBatse vRttiH sarvatra BAratI // VisSd _6.122 //
   catastro vṛttayo hyetāḥ sarvanāṭyasya mātṛkāḥ /	catastraH vRttayaH hi etAH sarva nAwyasya mAtRkAH /
   syurnāyikādivyāpāraviśeṣā nāṭakādiṣu // VisSd_6.123 //	syuH nAyikA Adi vyApAra viSezAH nAwaka Adizu // VisSd _6.123 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ha) atha vṛttaya iti /	(vi, ha) aTa vRttayaH iti /
        śṛṅgāra iti /	SRFgAraH iti /
        nāyakādīnāṃ vyāpāraviśeṣāścatastro vṛttayo nāṭakādiṣu	nAyaka AdInAm vyApAra viSezAH catastraH vRttayaH nAwaka Adizu
   nāṭakaprakaraṇādidaśarūpakeṣu nāṭikādyaṣṭādaśoparūpakeṣu ca sarvanāṭyasya	nAwaka prakaraNa Adi daSa rUpakezu nAwikA Adi azwAdaSa uparUpakezu ca sarva nAwyasya
   mātṛkā mūlabhūtāḥ jananya ityarthaḥ /	mAtRkAH mUla BUtAH jananyaH iti arTaH /
        nāyakādītyādipadāt samastapātraparigrahaḥ /	nAyaka Adi ityAdi padAt samasta pAtra parigrahaH /
        tena vakṣyamāṇodāharaṇeṣu pātrāntarakṛtyaṃ nānupapannam /	tena vakzyamANa udAharaNezu pAtra antara kRtyam na anupapannam /
        tatra rasaviśeṣeṣu vṛttiviśeṣānāha   śṛṅgāra ityādi /	tatra rasa viSezezu vRtti viSezAn Aha     SRFgAraH ityAdi /
        vīre sāttvatītyanvayaḥ /	vIre sAttvati iti anvayaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatra kauśikī   	tatra kOSikI   
   yā ślakṣṇanepathyaviśeṣacitrā strīsaṃkulā puṣkalanṛtyagītā /	yA SlakzNa nepaTya viSeza citrA strI saMkulA puzkala nRtya gItAH /
   kāmopabhogaprabhavopacārā sā kauśikī cāruvilāsayuktā // VisSd_6.124 //	kAma upaBoga praBava upacArA sA kOSikI cAru vilAsa yuktAH // VisSd _6.124 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (lo, u) kāmena madanena hetunā ya upabhogaḥ sambhogastatkāraṇāni	(lo, u) kAmena madanena hetunA yaH upaBogaH samBogaH tad kAraNAni
   upacārāścandracandanaghanasārādayo yasyām /	upacArAH candra candana Gana sAra AdayaH yasyAm /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   narma ca narmasphūrjo narmasphoṭo 'tha narmagarbhaśca /	narma ca narma sPUrjaH narma sPowaH aTa narmagarBaH ca /
   catvāryaṅgānyasyā   	catvAri aFgAni asyA   
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ka) yā ślekṣṇeti   lakṣaṇamuttamam /	(vi, ka) yA SlekzNa iti    lakzaNam uttamam /
        nepathyaṃ veśaḥ /	nepaTyam veSaH /
        strīsaṃkulā strīvyāpāravimiśritā /	strI saMkulA strI vyApAra vimiSritA /
        puṣkalaṃ bahulam /	puzkalam bahulam /
        asyā aṅgāni catvāri ityāha   narma ceti /	asyAH aFgAni catvAri iti Aha    narma ca iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatra   	tatra   
      vaidagdhyakrīhitaṃ narmaḥ // VisSd_6.125 //	   vEdagDya krIhitam narmaH // VisSd _6.125 //
   iṣṭajanāvarjanakṛttaccāpi trividhaṃ matam /	izwa jana Avarjana kRt tat ca api triviDam matam /
   vihitaṃ śuddhahāsyena saśṛṅgārabhayena ca // VisSd_6.126 //	vihitam SudDa hAsyena sa SRFgAra Bayena ca // VisSd _6.126 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, kha) atra narmalakṣaṇamāha   vaidagdhyeti /	(vi, Ka) atra narma lakzaNam Aha    vEdagDya iti /
        vaidagdhyena krīḍitamityarthaḥ /	vEdagDyena krIxitam iti arTaH /
        tatphalamāha   iṣṭeti /	tad Palam Aha   izwA iti /
        iṣṭajanasyāvarjanamanurāgeṇa namratā tatkṛd ityarthaḥ /	izwa janasya Avarjanam anurAgeNa namra tA tad kRt iti arTaH /
        tacca narmatrividham ityāha /	tat ca narma triviDam iti Aha /
        tacceti /	tat ca iti /
        traividhyamāha   śuddhahāsyeneti /	trEviDyam Aha    SudDa hAsyena iti /
        śuddhena saśṛṅgāreṇa samayena ca hāsyena vihitamiti traividhyam /	SudDena sa SRFgAreNa samayena ca hAsyena vihitam iti trEviDyam /
        bhayañca hāsyaviṣayaṃ bodhyam /	BayaQca hAsya vizayam boDyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatra kevalahāsyena vihitaṃ yathā	tatra kevala hAsyena vihitam yaTA
   ratnāvalyām   "vāsavadattā  (phalakamuddiśya sahāsam) esā vi avarā tava	ratnAvalyAm   "vAsavadattA  ( Palakam uddiSya saha asam) esA vi avarA tava
   samīve jadhālihidā edaṃ kiṃ ajjavasantassa viṇṇāṇam /	samIve jaDA li hidAH edam kim ajjavasantassa viNNANam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ga) esāvīti /	(vi, ga) esAvI iti /
        eṣāpyaparā tava samīpe yā ālikhitā etat kimāryavasantakasya vijñānam	ezA api aparA tava samIpe yA AliKitAH etat kim Arya vasantakasya vijQAnam
   ? (saṃskṛtam) /	? (saMskRtam) /
        citraphalake sāgarikayā likhitaṃ rājānaṃ dṛṣṭvā susaṅgatayā tatsamīpe	citraPalake sAgarikayA liKitam rAjAnam dRzwvA su saFga tayA tad samIpe
   sāgarikāpi likhitā /	sAgarikA api liKitAH /
        tatra likhitaṃ rājānaṃ dṛṣṭvā vāsavadattayā pṛṣṭaṃ kena tvamatra	tatra liKitam rAjAnam dRzwvA vAsavadattayA pRzwam kena tvam atra
   likhitā iti /	liKitAH iti /
        tato rājñoktaṃ śilpavijñānārthaṃ samullikhitamidamiti /	tatas rAjQA uktam Silpa vijQAna arTam samulliKitam idam iti /
        tatastadantike sāgarikāṃ likhitāṃ dṛṣṭvā "eṣā krodhena tasyāḥ	tatas tad antike sAgarikAm liKitAm dRzwvA "ezA kroDena tasyAH
   śṛṅgārābhāvāt /	SRFgAra aBAvAt /
        prabandharasastu śṛṅgāra iti tatreyaṃ vṛttiḥ /	prabanDa rasaH tu SRFgAraH iti tatra iyam vRttiH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   saśṛṅgārahāsyena yathā śākuntale  rājānaṃ prati śakuntalā  asaṃtuṭṭho uṇa	sa SRFga arahAsyena yaTA SAkuntale   rAjAnam prati SakuntalA  a saMtuwWaH uNa
   kiṃ karissadi /	kim karissadi /
   rājā  	rAjA  
   idamaṃ /	idamam /
   (iti vyavasitaḥśakuntalāvaktraṃ ḍhaukate) /	(iti vyavasitaHSakuntalA vaktram XOkate) /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, gha) asaṃtuṣṭho uṇeti /	(vi, Ga) asaMtuzWaH uNa iti /
        asaṃtuṣṭaḥ punaḥ kiṃ kariṣyati ? iti (saṃskṛtam) nanu kamalasya	asaMtuzwaH punar kim karizyati ? iti (saMskRtam) nanu kamalasya
   madhukaraḥ santuṣyati gandhamātreṇa iti rājña uktyanantaraṃ śakuntalāyā	maDukaraH santuzyati ganDa mAtreNa iti rAjQaH ukti anantaram SakuntalAyAH 
   iyaṃ pṛcchā /	iyam pRcCA /
        ḍhaukate cumbanārtham /	XOkate cumbana arTam /
        vaktramānanam ācchādayati /	vaktram Ananam AcCAdayati /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   sabhayahāsyena yathā ratnāvalyām   ālekhyadarśanāvasare susaṃgatā  jāṇido	sa Baya hAsyena yaTA ratna AvalyAm   AleKya darSana avasare su saMgata a  jANi daH 
   mae eso vuttanto samaṃ cittaphalaeṇa /	mae esaH vuttantaH samam citta PalaeNa /
   tā devīe gadua nivedaissam /	tAH devIe gadua nivedEH sam /
   etadvākyasambandhi narmodāhṛtam /	etad vAkya sambanDi narma udAhRtam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṅa) jāṇido iti /	(vi, Fa) jANidaH iti /
        jñāto mayaiṣa vṛttāntaḥ /	jQAtaH mayA eza vRttAntaH /
        samaṃ citraphalakena /	samam citraPalakena /
        taddevyai gatvā nivedayiṣyāmīti (saṃskṛtam) /	tat devyE gatvA nivedayizyAmi iti (saMskRtam) /
        atra rājño bhītiyuktena susaṅgatāyā hāsena vihitaṃ narma	atra rAjQaH BIti yuktena su saFga tAyAH hAsena vihitam narma
   vaidaghdhyakrīḍitam /	vEdaGDya krIxitam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   evaṃ veṣaceṣṭāsambandhyapi /	evam veza cezwA sambanDi api /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ca) vācā iva veśaceṣṭābhyāmapi saṃbhavatītyāha   evamiti /	(vi, ca) vAcA iva veSa cezwAByAm api saMBavati iti Aha   evam iti /
        tatra sāgarikāyāḥ saṅketabhaṅgārthaṃ tadveśāyā vāsavadattāyā āgamane	tatra sAgarikAyAH saFketa BaFga arTam tad veSAyAH vAsavadattAyAH Agamane
