   Siddhārthacaritraṃ Kāvyam	SidDArTa-caritram KAvyam
   payodaśṛṅgairnavavārigarbhitaiḥ parasparābhyukṣamiva prakurvate // 5.25 //	payoda-SRFgEH-nava-vAri-garBitEH paraspara-aByukzam-iva prakurvate // 5.25 //
   vigāhamānasya nabhaḥsthalīgṛhaṃ nidādhajiṣṇorṛtucakravartinaḥ /	vigAhamAnasya naBaH-sTalI-gRham nidADa-jizNoH-Rtu-cakravartinaH /
   ghanena baddhā iva toraṇasrajaḥ surendracāpāḥ sutarāṃ cakāsati // 5.26 //	Ganena badDAH iva toraNa-srajaH sura-indracApAH sutarAm cakAsati // 5.26 //
   prakampitāyāṃ kaṭhakāṣalīlayā digantabhittau stanayitnudantinā /	prakampitAyAm kaWa-kAza-lIlayA diS-anta-BittO stanayitnu-dantinA /
   viśīryamāṇā iva tārakāgaṇāḥ palāṇḍubhāsaḥ karakāḥ patantyamūḥ // 5.27 //	viSIryamANAH iva tArakA-gaNAH palANxu-BAsaH karakAH patanti-amUH // 5.27 //
   payaḥpravāhaiḥ samameva vāridaḥ paraṃ samādāya mahāpayonidheḥ /	payaH-pravAhEH samam-eva vAridaH param samAdAya mahA-apayoniDeH /
   punarvibhaktā iva mauktikotkarāḥ sphuranti varṣopalaśarkarāḥ kṣitau //	punar-viBaktAH iva mOktika-utkarAH sPuranti varza-upala-SarkarAH kzitO //
   yathā yathā vṛṣṭibhirabhramaṇḍale vijṛmbhate vaidyutahavyavāhanaḥ /	yaTA yaTA vRzwiBiH-aBra-maNxale vijRmBate vEdyuta-havyavAhanaH /
   tathā tathā pānthamṛgīdṛśāṃ dhruvaṃ vijṛmbhate cetasi manmathānalaḥ //	taTA taTA pAnTa-mRgI-dRSAm Druvam vijRmBate cetasi manmaTa-analaH //
   nidāghatāpajvalitā vanasthalī prasārayanti sphuṭakandalīkaram /	nidAGa-tApa-jvalitAH vana-sTalI prasArayanti sPuwa-kandalIkaram /
   mayūrakekāvirutairmanoharaiḥ payodamabhyarthayatīva jīvanam // 5.30 //	mayUra-kekA-virutEH-manoharEH payodam-aByarTayati-iva jIvanam // 5.30 //
   vinidrakāntāravinamravāṭikāprasūnakiñjalkaparāgavāhinaḥ /	vinidra-kAntAra-vinamra-vAwikA-prasUna-kiQjalka-parAga-vAhinaH /
   haranti mandāḥ pavamānakandalāḥ śikhaṇḍināṃ tāṇḍavajaṃ pariśramam // 5.31	haranti mandAH pavamAna-kandalAH SiKaNxinAm tANxava-jam pariSramam // 5.31
   viśaṅkaṭāmambararājavīthikāṃ valāhakānāmaṭatāmitastataḥ /	viSaFkawAm-ambara-rAja-vITikAm valAhaka-anAm-awatAm-itas-tatas /
   pratāyamānā iva pādapāṃsavaḥ patanti mandaṃ paritaḥ payaḥkaṇāḥ // 5.32 //	pratAyamAnAH iva pAda-pAMsavaH patanti mandam paritas payaH-kaNAH // 5.32 //
   vighuṣyamāṇe taḍitābhramaṃḍale vidhāya sākṣye navavaidyutānalam /	viGuzyamANe taxita-aBra-maMxale viDAya sAkzye nava-vEdyuta-analam /
   ṛtuḥ purodhāstaṭinīsamudrayoḥ pravartayatyūrmikaragrahotsavam // 5.33 //	RtuH puroDAH-tawinI-samudrayoH pravartayati-Urmi-kara-graha-utsavam // 5.33 //
   anena kālena vināmṛtadravairnikāmamāpāditasarvasampadā /	anena kAlena vinA-amRta-dravEH-nikAmam-ApAdita-sarva-sampadA /
   aśeṣato bhūrapi sarvathā bhajedaputriṇīnāmadhidevatāpadam // 5.34 //	aSezatas BUH-api sarvaTA Bajet-apu-triNInAm-aDidevatA-Apadam // 5.34 //
   iti praśaṃsāmukhare sakautukaṃ svavṛttimuddiśya narendranandane /	iti praSaMsA-muKare sa-kOtukam sva-vRttim-uddiSya narendra-nandane /
   upoḍhalajjā iva diṅmukhāntare tirobabhūvuḥ sakalāḥ payodharāḥ // 5.35 //	upoXa-lajjAH iva diFmuKa-antare tirobaBUvuH sakalAH payoDarAH // 5.35 //
   digaṅganāvarṇaghṛtānulepanaṃ sitacchadasvaiavihāravīthikā /	diS-aFganA-varNa-GRta-anulepanam sitacCada-svEa-vihAra-vITikA /
   sarojinīyauvanavibhramodayaḥ samāvirāsīt samayo 'tha śāradaḥ // 5.36 //	sarojinI-yOvana-viBrama-udayaH samAvirAsIt samayaH aTa SAradaH // 5.36 //
   taḍitpriyāyāḥ savilāsasampado balākikāyāśca viśuddhajanmanaḥ /	taxit-priyAyAH sa-vilAsa-sampadaH balAkikAyAH-ca viSudDa-janmanaH /
   viyogaduḥkhādiva maunamudritāḥ prapedire pāṇḍaratāṃ payodharāḥ // 5.37 //	viyoga-duHKAt-iva mOna-mudritAH prapedire pANxaratAm payoDarAH // 5.37 //
   kadarthitātmīyaguṇaprakāśane kṣayaṃ prapanne sati vāridāgame /	kadarTita-AtmIya-guNa-prakASane kzayam prapanne sati vArida-Agame /
   pramodahāsā iva diṅmṛgīdṛśāṃ samudbabhūvuḥ kalahaṃsamaṇḍalāḥ // 5.38 //	pramoda-hAsAH iva diS-mRgI-dRSAm samudbaBUvuH kalahaMsa-maNxalAH // 5.38 //
   sitacchadānāṃ śravaṇārtikāraṇaṃ niśamya kolāhalamutkacetasām /	sitacCadAnAm SravaNa-Arti-kAraNam niSamya kolAhalam-utka-cetasAm /
   viyogabhājastaruṇījanā bhṛśaṃ ninindurantaḥkaraṇena bhārgavam // 5.39 //	viyoga-BAjaH-taruNI-janAH BRSam nininduH-antaHkaraNena BArgavam // 5.39 //
   anantaratnākaraphenamaṇḍalairanaṅgakīrtistabakabhramāvahaiḥ /	ananta-ratna-Akara-Pena-maNxalEH-anaFga-kIrti-stabaka-Brama-AvahEH /
   marālavṛndairvalamānapakṣakairapūri sarvaṃ haridantakandaram // 5.40 //	marAla-vRndEH-valamAna-pakzakEH-apUri sarvam haridanta-kandaram // 5.40 //
   vikāsināṃ saptapalāśabhūruhāṃ vijṛmbhamāṇāḥ parito rajobharāḥ /	vikAsinAm sapta-palASa-BUruhAm vijRmBamANAH paritas rajaH-BarAH /
   harinmukhānāmadhivāsacūrṇaṃkabhramaṃ vitenuḥ prathamānasaurabhāḥ // 5.41	harinmuKAnAm-aDivAsa-cUrNaMka-Bramam vitenuH praTamAna-sOraBAH // 5.41
   pravartyamāne pramadairmadāvalaiḥ samulvaṇe dānajalābhivarṣaṇe /	pravartyamAne pramadEH-mada-avalEH samulvaNe dAna-jala-aBivarzaNe /
   gate 'pi varṣāsamaye mahāpagā babhūvuratyantavivṛddhajīvanāḥ // 5.42 //	gate api varzA-samaye mahA-pagAH baBUvuH-atyanta-vivRdDa-jIvanAH // 5.42 //
   kalādhināthaḥ karajālamujjvalaṃ prasārayāmāsa haritsu nirbharam /	kalA-aDinATaH karajAlam-ujjvalam prasArayAmAsa haritsu nirBaram /
   cirotsukānāṃ kumudākaraśriyāṃ dṛḍhāṅgapālīmiva kartumunmanāḥ // 5.43 //	cira-utsukAnAm kumuda-Akara-SriyAm dRXa-aFga-pAlIm-iva kartum-unmanAH // 5.43 //
   vitāyamānaiḥ smitacandrikābharaistaraṅgitāḥ kṣomaviśeṣapāṇḍaraiḥ /	vitAyamAnEH smita-candrikA-BarEH-taraFgitAH kzoma-viSeza-pANxarEH /
   vilajjamānā dvijarājadarśanād dhṛtāvaguṇṭhā iva digvadhūṭikāḥ // 5.44 //	vilajjamAnAH dvija-rAja-darSanAt DRta-avaguNWAH iva digvaDUwikAH // 5.44 //
   pataṅgadāvānalalaṅghitātmanāṃ tamastamāladrumaṣaṇḍasampadām /	pataFga-dAva-anala-laFGita-AtmanAm tamaH-tamAla-druma-zaNxa-sampadAm /
   marutprakīrṇā iva bhasmadhūlayaḥ śaśaṅkire śāradameghapaṃktayaḥ // 5.45 //	marut-prakIrNAH iva Basma-DUlayaH SaSaFkire SArada-meGapaMktayaH // 5.45 //
   visṛtvaraiḥ śāradikaiḥ payodharairviḍambayāmāsa vikīrṇamambaram /	visRtvarEH SAradikEH payoDarEH-vixambayAmAsa vikIrNam-ambaram /
   taraṅgabhaṅgaiḥ kalaśāmbhasāṃ nidheryugāntabhinnairlavaṇodadherdyutim //	taraFga-BaFgEH kalaSa-amBasAm niDeH-yuga-anta-BinnEH-lavaNa-udaDeH-dyutim //
   kṛtābhiṣekāḥ prathamaṃ ghanāmbubhighṛtottarīyāḥ śaradabhrasañcayaiḥ /	kRta-aBizekAH praTamam Gana-ambuBi-GRta-uttarIyAH Sarad-aBra-saQcayEH /
   viliptagātryaḥ śaśiraśmicandanairdiśo dadhustārakahārayaṣṭikām // 5.47 //	vilipta-gAtryaH SaSi-raSmi-candanEH-diSaH daDuH-tAraka-hAra-yazwikAm // 5.47 //
   kṛtāplavānāmacireṇa vāridairdiśāvadhūnāṃ rucirāmbaratviṣām /	kRta-AplavAnAm-acireNa vAridEH-diSAvaDUnAm rucira-ambara-tvizAm /
   śarīralagnā iva toyavipruṣaścakāśire sātiśayena tārakāḥ // 5.48 //	SarIra-lagnAH iva toya-vipruzaH-cakASire sa-atiSayena tArakAH // 5.48 //
   vikāsinaścandrakaropalālanād virejire kairavakośarāśayaḥ /	vikAsinaH-candra-kara-upalAlanAt virejire kErava-koSa-ra-ASayaH /
   śaratprasanneṣu taḍākavāriṣu praviṣṭabimbā iva tārakāgaṇāḥ // 5.49 //	Sarad-prasannezu taxAka-vArizu pravizwa-bimbAH iva tArakA-gaNAH // 5.49 //
   vikasvarā vyañjitakaṇṭakāṃkurā vimuktamādhvīkamudaśrubindavaḥ /	vikasvarAH vyaQjita-kaNwaka-aMkurAH vimukta-mADvIkam-udaSru-bindavaH /
   sarojaṣaṇḍāḥ śaradaṃ samāgatāḥ vilokya vismeramukhā ivābabhuḥ // 5.50 //	saroja-zaNxAH Saradam samAgatAH vilokya vismera-muKAH iva-AbaBuH // 5.50 //
   vikāsabhājāmabhitaḥ saroruhāṃ vilīyamānairmakandanirjharaiḥ /	vikAsa-BAjAm-aBitas saroruhAm vilIyamAnEH-makanda-nirJarEH /
   agādhatāṃ prāpuratīva pūritāḥ śaratkṛśā apyakhilāḥ sarovarāḥ // 5.51 //	agADa-tAm prApuH-ati-iva pUritAH Sarad-kRSAH api-aKilAH sarovarAH // 5.51 //
   vipakvapuṇḍrekṣuparumukhacyutairnirantarā mauktikasārasañcayaiḥ /	vipakva-puNxra-ikzu-paru-muKa-cyutEH-nirantarA mOktika-sAra-saQcayEH /
   udārakaidārakakulyakātaṭāḥ prapedire tāmranadītaṭopamām // 5.52 //	udAra-kEdAraka-kulyakA-tawAH prapedire tAmra-nadI-tawa-upamAm // 5.52 //
   vipākabhūmnābhividīrṇadāḍimīphalaprakīrṇairnavabījabālakaiḥ /	vipAka-BUmnA-aBividIrNa-dAximI-Pala-prakIrNEH-nava-bIja-bAlakEH /
   karambitāḥ kānanabhūmayo babhuḥ punaḥ samudyatsuragopakā iva // 5.53 //	karambitAH kAnana-BUmayaH baBuH punar samudyat-suragopakAH iva // 5.53 //
   ānandapākodayaśālibhiḥ phalairavāṅmukhīnāḥ kalamā lalakṣire /	Ananda-pAka-udaya-SAliBiH PalEH-avAk-muKInAH kalamA lalakzire /
   upasthitāmātmavināśavikriyāṃ vicintya śokāvanatā ivādhikam // 5.54 //	upasTitAm-Atma-vinASa-vikriyAm vicintya Soka-avanatAH iva-aDikam // 5.54 //
   vikīrṇapaṅkāṅkitaśṛṅgakoṭayaḥ khurārdhacandrakṣayakūlabhūmayaḥ /	vikIrNa-paFka-aFkita-SRFga-kowayaH Kura-arDa-candra-kzaya-kUla-BUmayaH /
   muhurnadanto vṛṣabhā madoddhatāstaṭābhighātaṃ saritāṃ vitenire // 5.55 //	muhur-nadantaH vRzaBAH mada-udDatAH-tawa-aBiGAtam saritAm vitenire // 5.55 //
   atrāntare rājakumāramenamāhūya pṛthvīpatirābabhāṣe /	atra-antare rAja-kumAram-enam-AhUya pRTvIpatiH-AbaBAze /
   ayaṃ janaḥ putra! tavāstraśikṣāvilokanaṃ pratyabhivāñchatīti // 5.56 //	ayam janaH putra! tava-astra-SikzA-vilokanam pratyaBivAQCati-iti // 5.56 //
   śrutvā tu tatsūryakulāvataṃsaḥ pratyujjagāda prathamaṃ nṛpāṇām /	SrutvA tu tad-sUrya-kula-avataMsaH pratyujjagAda praTamam nRpANAm /
   ālokyatāṃ tāta! mamāstraśikṣā prāpte dine saptamasaṅkhyayeti // 5.57 //	AlokyatAm tAta! mama-astra-SikzA prApte dine saptama-saFKyayA-iti // 5.57 //
   athāgate saptamavāsarānte prajāpatirbandhujanena sārdham /	aTa-Agate saptama-vAsara-ante prajApatiH-banDu-janena sArDam /
   tasyāstraśikṣāpravilokanārtham adhyāsta bhadrāsanamantareṇa // 5.58 //	tasya-astra-SikzA-pravilokana-arTam aDyAsta BadrAsanam-antareNa // 5.58 //
   ekena bāṇāsanamātatajyam, anyena hastāmburuheṇa bāṇam /	ekena bANAsanam-Atatajyam, anyena hasta-amburuheNa bANam /
   samādadānaḥ sa pinaddhamūrtiragre gurorāvirabhūt kumāraḥ // 5.59 //	samAdadAnaH sa pinadDa-mUrtiH-agre guroH-AviraBUt kumAraH // 5.59 //
   kiṃ puṣpadhanvā pratimabdhamūrtiḥ, kiṃ vāvatīrṇo madhavān sadhanvā!	kim puzpaDanvA pratimabDa-mUrtiH, kim vA-avatIrNaH maDavAn sa-DanvA!
   evaṃvidhā prādurabhūt prajānāṃ vikalpanā vismitamānasānām // 5.60 //	evaMviDA prAduraBUt prajAnAm vikalpanA vismita-mAnasAnAm // 5.60 //
   adṛṣṭapūrvāmatilokaśilpām atyadbhutāmapratimaprabhāvaḥ /	adRzwa-pUrvAm-ati-loka-SilpAm atyadButa-Am-apratima-praBAvaH /
   bahuprakārāṃ piturastraśikṣāṃ sandarśayāmāsa sa vīravaryaḥ // 5.61 //	bahu-prakArAm pituH-astra-SikzAm sandarSayAmAsa sa vIra-varyaH // 5.61 //
   dṛṣṭvāstraśikṣāṃ jagadekabandhorabhūtapūrvāmavanītaleṣu /	dRzwvA-astra-SikzAm jagat-eka-banDoH-aBUta-pUrvAm-avanI-talezu /
   ātmānamākhaṇḍalatulyadhāmā viśāmadhīśo bahu manyate sma // 5.62 //	AtmAnam-AKaNxala-tulya-DAmA viSAm-aDISaH bahu manyate sma // 5.62 //
   itthaṃ dhīro darśayitvāstraśikṣāṃ dhānuṣkāṇāmagragaṇyastarasvī /	itTam DIraH darSayitvA-astra-SikzAm DAnuzkANAm-agra-gaNyaH-tarasvI /
   āgopālaṃ stūyamānāpadāno lokairuccairāsasādātmageham // 5.63 //	AgopAlam stUyamAna-apadAnaH lokEH-uccErAsasAda-Atma-geham // 5.63 //
   saṅgītamaṅgalamahotsavasaṅginībhiḥ sākaṃ vadhūbhiranurāgataraṅgitābhiḥ /	saFgIta-maFgala-mahA-utsava-saFginIBiH sAkam vaDUBiH-anurAga-taraFgitABiH /
   krīḍāgṛheṣu viharan kṣitipālasūnurvarṣāṇi kānicidasau kṣapayāñcakāra //	krIxA-gRhezu viharan kzitipAla-sUnuH-varzANi kAnicid-asO kzapayAQcakAraH //
   iti buddhaghoṣaviracite padyacūḍāmaṇināmni mahākāvye pañcamaḥ sargaḥ //	iti budDa-Goza-viracite padya-cUxAmaNi-nAmni mahAkAvye paQcamaH sargaH //
   ṣaṣṭhaḥ sargaḥ	zazWaH sargaH
   vasantasamayavarṇanam	vasanta-samaya-varNanam
   prādurbabhūva samayaḥ subhago vasantaḥ prastāvanālikulakokilakūjitānām /	prAdurbaBUva samayaH suBagaH vasantaH prastAva-na-ali-kula-kokila-kUjitAnAm /
   bāṇāśayo makaraketanasāyakānām mauhūrtiko malayamārutanirgamānām // 6.1 //	bANASayaH makara-ketana-sAyakAnAm mOhUrtikaH malaya-mAruta-nirgamAnAm // 6.1 //
   uccaṇḍadaṇḍadharakāsarasaurvabhaumasannāhabhīta iva caṇḍamayūkhamālī /	uccaNxa-daNxa-Dara-kAsarasOrva-BOma-sanna-aha-BItaH iva caNxa-mayUKa-mAlI /
   sadyo vivartitahayo yamadiṅmukhāntād yātrāmadhatta himabhūdharasammukhīnām	sadyas vivartita-hayaH yama-diFmuKa-antAt yAtrAm-aDatta hima-BUDara-sammuKInAm
   candrodayojjvalamukhena jhaṣadhvajājñāṃ vyākurvatā vimalasūkṣmatarāmbareṇa	candra-udaya-ujjvala-muKena JazaDvaja-AjQAm vyAkurvatA vimala-sUkzmatara-ambareNa
   vanyā vasantasamayena parigrahatvasambhāvitā sapadi puṣpavatī babhūva //	vanyA vasanta-samayena parigraha-tva-samBAvitA sapadi puzpavatI baBUva //
   kalena gāḍhataramānaparigrahāṇāṃ prāṇānilān rasayituṃ pramadājanānām /	kalena gAXatara-mAna-parigrahANAm prANa-anilAn rasayitum pramadA-janAnAm /
   ullāsiteva rasanā kusumadrumāṇām adbhāsate sma navakomalapallavaśrīḥ //	ullAsitA-iva rasanA kusuma-drumANAm adBAsate sma nava-komala-pallava-SrIH //
   unmocayan pariṇatacchadakañculīkāmudbhāvayan mukulajālakaromaharṣam /	unmocayan pariNatacCada-kaQculIkAm-udBAvayat mukula-jAlaka-roma-harzam /
   ullolayan bhramarakeśabharaṃ latānām udyānabhūṣu vijahāra vasantakālaḥ //	ullolayan Bramara-keSa-Baram latAnAm udyAna-BUzu vijahAra vasanta-kAlaH //
   āruhya mandamalayānilamaupavāhyamāśājayapracalitasya manobhavasya /	Aruhya manda-malayA-anilam-OpavAhyam-ASA-jaya-pracalitasya manoBavasya /
   sūnaprasūtirabhavannavalājavṛṣṭiḥ puṃskokiladhvanirabhūd varaśaṅkhaghoṣaḥ	sUna-prasUtiH-aBavat-=-avalAja-vRzwiH puMskokila-DvaniH-aBUt vara-SaFKa-GozaH
   mandānilena vahatā vanarājimadhyād utthāpitaḥ kusumakoṇakareṇuruccaiḥ /	manda-anilena vahatA vana-rAji-maDyAt utTApitaH kusuma-koNa-kareNuH-uccEH /
   senāparāga iva digvijayodyatasya cetobhuvaḥ prasarati sma digantareṣu //	senA-aparAgaH iva digvijaya-udyatasya cetaH-BuvaH prasarati sma diS-antarezu //
   puṣpāyudhasya nṛpateḥ parapuṣṭavargaḥ saṃgrāmasambhramasahān sahakārabāṇān	puzpa-AyuDasya nRpateH parapuzwa-vargaH saMgrAma-samBrama-sahAn sahakAra-bANAn
   sañcetukāma iva sañcitacārupatrān babhrāma vibhramavaneṣu navāṃkureṣu //	saQcetu-kAmaH iva saQcita-cAru-patrAn baBrAma viBrama-vanezu nava-aMkurezu //
   vīreṇa mārasubhaṭena vibhidya bāṇairbaddhā mahāviṭapināṃ viṭapāntareṣu /	vIreNa mArasu-Bawena viBidya bANEH-badDAH mahA-viwapinAm viwapa-antarezu /
   vyākīrṇakeśanicayā iva śatrumuṇḍā vyālolabhṛṅganivahāḥ stabakā virejuḥ //	vyAkIrNa-keSa-nicayAH iva Satru-muNxAH vyAlola-BRFga-nivahAH stabakAH virejuH //
   bhṛṅgābhimudritamukhā makarandapūraiḥ pūrṇodarā rurucire sumanogulucchāḥ /	BRFga-aBimudrita-muKAH makaranda-pUrEH pUrNa-udarAH rurucire sumanaH-gulucCAH /
   vīrasya māranṛpatervijayābhiṣekaṃ kālena kartumiva ratnaghaṭāḥ praṇītāḥ //	vIrasya mAra-nRpateH-vijaya-aBizekam kAlena kartum-iva ratna-GawAH praNItAH //
   oghīkṛtā malayamārutacandanena puṣphora pūgavananūtanapuṣpapāliḥ /	oGIkRtA malaya-mAruta-candanena puzPora pUgavana-nUtana-puzpa-pAliH /
   cetobhavasya nṛpatermadhunā salīlam āndolitā lalitacāmaramālikeva // 6.11	cetaH-Bavasya nRpateH-maDunA sa-lIlam AndolitAH lalita-cAmara-mAlikA-iva // 6.11
   puṃskokilāaḥ punaranaṅgajayāpadānagāthāsadṛkṣakalapañcamakūjitāni /	puMskokilAaH punar-anaFga-jayA-pada-AnagATA-sat-Rkza-kala-paQcama-kUjitAni /
   peṭhuḥ prasannamadhurojjvalapeśalāni pratyagracūtakalikāsu vanasthalīṣu //	peWuH prasanna-maDura-ujjvala-peSalAni pratyagra-cUta-kalikAsu vana-sTalIzu //
   udvelasambhṛtamadhuvratadānarājirucchṛṅkhalo malayamārutagandhahastī /	udvela-samBRta-maDu-vrata-dAna-rAjiH-ut-SRFKalaH malaya-mAruta-ganDa-hastI /
   mānagrahādrikaṭakeṣu manasvinīnāṃ vaprakriyāvihṛtimācarati sma mandam //	mAna-graha-adri-kawakezu manasvinInAm vapra-kriyA-vihRtim-Acarati sma mandam //
   mandānilakṣitipamaṅgalapāṭhakānāṃ mākandagandhagajamaṇḍanaḍiṇḍimānām /	manda-anila-kziti-pa-maFgala-pAWakAnAm mAkanda-ganDa-gaja-maNxana-xiNximAnAm /
   uddāmakāmavijayotsavaghoṣaṇāmām ujjṛmbhate sma rutamunmadaṣaṭpadānām //	uddAma-kAma-vijayA-utsava-GozaNa-AmAm ujjRmBate sma rutam-unmada-zawpadAnAm //
   āmūlacūḍamabhitaḥ pravijṛmbhamāṇo bālapravāhanivaho vanapādapānām /	AmUla-cUxam-aBitas pravijRmBamANaH bAla-pravAha-nivahaH vana-pAdapAnAm /
   mānāndhakāraharaṇāya manasvinīnāṃ bālātapaprasaravibhramamālalambe // 6.15	mAna-anDakAra-haraNAya manasvinInAm bAla-Atapa-prasara-viBramam-Alalambe // 6.15
   nirantarasmeramaṇīcakānāṃ niṣyandamānābhiranohakānām /	nirantara-smera-maNIcakAnAm nizyandamAna-aBiH-anohakAnAm /
   madhūlakāsāramahānadībhirvanaṃ nadīmātṛkatāmayāsīt // 6.16 //	maDUlaka-AsAra-mahA-nadIBiH-vanam nadImAtRka-tAmayA-AsIt // 6.16 //
   taṭopakaṇṭhaṃ makarandasindhoḥ prasūnadhūlīpulinābhirāme /	tawa-upakaNWam makaranda-sinDoH prasUna-DUlI-pulina-aBirAme /
   ābaddhacakrāḥ saha kāminībhirārebhire pātumalipravīrāḥ // 6.17 //	AbadDa-cakrAH saha kAminIBiH-AreBire pAtu-mali-pravIrAH // 6.17 //
   vīrunmayīṃ vibhramayantraḍolāmāropya bhṛṅgīmavigītagītām /	vIruD-mayIm viBrama-yantra-xolAm-Aropya BRFgIm-avigIta-gItAm /
   samīraṇairātmagarutsamutthaiḥ sānandamāndolayati sma bhṛṅgaḥ // 6.18 //	samIraNEH-Atma-garut-samutTEH sa-Anandam-Andolayati sma BRFgaH // 6.18 //
   aśokayaṣṭyāḥ stabakopanītamādāya puṣpāsavamānanena /	aSoka-yazwyAH stabaka-upanItam-AdAya puzpa-Asava-m-Ananena /
   sambhogabhinnāṃ taraṇadvirephaḥ sacāṭukaṃ pāyayati sma kāntām // 6.19 //	samBoga-BinnAm taraNa-dvirePaH sa-cAwukam pAyayati sma kAntAm // 6.19 //
   aṅgaṃ samāsādya latāṅganānāṃ ṣaḍaṃghriḍimbhāḥ stabakastaneṣu /	aFgam samAsAdya latA-aFganAnAm zaz-aMGri-ximBAH stabaka-stanezu /
   pratyagrapuṣpāsavadugdhapānaṃ prapedire vismṛtalolabhāvāḥ // 6.20 //	pratyagra-puzpa-Asava-dugDa-pAnam prapedire vismRta-lola-BAvAH // 6.20 //
   anekasaṃgrāmavimardaśīrṇāṃ purāṇamaurvīmapanīya bhāraḥ /	aneka-saMgrAma-vimarda-SIrNAm purANam-OrvIm-apanIya BAraH /
   kodaṇḍayaṣṭermakarandayaṣṭerapūrvamaurvīkarod dvirephaiḥ // 6.21 //	kodaNxa-yazweH-makaranda-yazweH-apUrvam-OrvIkarot dvirePEH // 6.21 //
   ananyayonerapadānagāthāṃ madhoḥ sakāśādiva śikṣayantaḥ /	ananya-yoneH-apadAna-gATAm maDoH sakASAt-iva SikzayantaH /
   śākhāsu śākhāsu mahīruhāṇāṃ śanaiḥ śiśiñjuḥ kalakaṇṭhaśāvāḥ // 6.22 //	SAKAsu SAKAsu mahIruhANAm SanEs SiSiQjuH kala-kaNWa-SAvAH // 6.22 //
   utkṣiptaśākhācchalabāhudaṇḍāścūtadrumāḥ śūrpakaśāsanājñām /	utkzipta-SAKA-acCala-bAhu-daNxAH-cUta-drumAH SUrpaka-SAsana-AjQAm /
   karṇābhirāmaiḥ kalakaṇṭhanādairuddhoṣayāmāsurivādhvagānām // 6.23 //	karNa-aBirAmEH kala-kaNWa-nAdEH-udDozayAmAsuH-iva-aDvagAnAm // 6.23 //
   vinetukāmasya vilāsinīnāṃ māanadvipendraṃ makaradhvajasya /	vinetu-kAmasya vilAsinInAm mAana-dvipa-indram makaraDvajasya /
   hemāṃkuśānāmavahannabhikhyāmagre natāḥ prauḍhapalāśakośāḥ // 6.24 //	hemAMkuSAnAm-avahan=-aBiKyAm-agre natAH prOXa-palASa-koSAH // 6.24 //
   paribhramatṣaṭpadakarburāṇāṃ paṃktiḥ palāśadrumamañjarīṇām /	pariBramat-zawpada-karburANAm paMktiH palASa-druma-maQjarINAm /
   dedīpyamānasya śilāvalasya dīptiṃ yayau darśitadhūmarāśeḥ // 6.25 //	dedIpyamAnasya SilA-valasya dIptim yayO darSita-DUma-rASeH // 6.25 //
   āmodalubdhairalināṃ kadambarākṛṣyamānaḥ sumanogulucchaḥ /	Amoda-lubDEH-alinAm kadambara-AkRzyamAnaH sumanaH-gulucCaH /
   grāsīkṛto rāhumukhena rākākalānidherbimba ivābabhāse // 6.26 //	grAsIkRtaH rAhu-muKena rAkAkalA-niDeH-bimbaH iva-AbaBAse // 6.26 //
   taṭīpaṭīradrumasaṅgabhājāṃ sarīsṛpāṇāmiva sāhacaryāt /	tawI-pawIra-druma-saFga-BAjAm sarIsRpANAm-iva sAhacaryAt /
   viyoginaścandanaśailajanmā vimūrcchayāmāsa muhuḥ samīraḥ // 6.27 //	viyoginaH-candana-SEla-janmA vimUrcCayAmAsa muhur samIraH // 6.27 //
   madhuśīkaradurdināndhakāre vanalakṣmīratidūtikopitānām /	maDuSIkara-duH-dina-anDakAre vana-lakzmI-H-ati-dUti-kopitAnAm /
   bhramarīmabhisatvarīṃ pramattaḥ sacamatkāramarīramad dvirephaḥ // 6.28 //	BramarIm-aBisatvarIm pramattaH sa-camatkAram-arIram-at dvirePaH // 6.28 //
   vakuladrumavāṭikā varastrīmukhagaṇḍūṣamadhudravābhiṣekam /	vakula-druma-vAwikAH vara-strI-muKa-gaNxUza-maDu-drava-aBizekam /
   anubhūya navāṃkurāpadeśādavahannañcitaromaharṣaśobhām // 6.29 //	anuBUya nava-aMkura-apadeSAt-avahan=-aQcita-roma-harza-SoBAm // 6.29 //
   sahakāravanīṣu sañcarantyā madhulakṣmyā iva nūpurapraṇādāḥ /	sahakAra-vanIzu saQcarantyAH maDu-lakzmyAH iva nUpura-praNAdAH /
   kalakaṇṭhabhuvaḥ kalapralāpāḥ śravasaḥ pāraṇamādadhurjanānām // 6.30 //	kalakaNWa-BuvaH kala-pralApAH SravasaH pAraNam-AdaDuH-janAnAm // 6.30 //
   aṅganāvadanapadmapūraṇīmādareṇa paripīya vāruṇīm /	aFganA-vadana-padma-pUraNIm-AdareNa paripIya vAruNIm /
   udvavāma punareva kesaraḥ syandamānamakarandakaitavāt // 6.31 //	udvavAma punar-eva kesaraH syandamAna-makaranda-kEtavAt // 6.31 //
   parimalalaharīṣu pādapānāṃ bharitasamastadigantarāpagāsu /	parimala-laharIzu pAdapAnAm Barita-samasta-diS-antara-ApagAsu /
   jalaviharaṇamācacāra dirghaṃ malayamahīdharamandagandhavāhaḥ // 6.32 //	jala-viharaNam-AcacAra dirGam malaya-mahIDara-manda-ganDa-vAhaH // 6.32 //
   manobhavo maṇḍalitāstramaurvikāgabhīraviṣphāravirāvitāmbaram /	manoBavaH maNxalita-astra-mOrvikA-gaBIra-vizPAra-virAvita-ambaram /
