   Var-v § 0 -	Var-u § 0 -
   vasa ārya rama ārya. duhitaraṃ te dāsyāmi snuṣāṃ te dāsīṃ te karmakarīṃ te	vasaH Arya ramaH Arya. duhitaram te dAsyAmi snuzAm te dAsIm te karma-karIm te
   dāsyāmy. ahaṃ ced asminn āvāse varṣā vaseyaṃ syān me atonidānaṃ	dAsyAmy. aham ced asmin AvAse varzAH vaseyam syAt me atonidAnam
   jīvitāntarāyaḥ śrāmaṇyāntarāyaḥ brahmacaryāntarāyaḥ. yanv aham asmād	jIvita-antarAyaH SrAmaNya-antarAyaH brahmacarya-antarAyaH. yanu aham asmAt-
   āvāsāt prakrāmeyaṃ. sa tasmād āvāsāt prakramaty. etad eva pratyayaṃ kṛtvā	AvAsAt prakrAmeyaM. sa tasmAt AvAsAt prakramaty. etat eva pratyayam kRtvA
   anāpattir varṣācchede //	anApattiH varzAcCede //
   Var-v § 2.1.6 yathāpi tad varṣopagataṃ bhikṣuṃ paṇḍaka	Var-u § 2.1.6 yaTA-api tat varza-upagatam Bikzum paNxaka
   upasaṃkramyāpratirūpayā upanimantraṇayā upanimantrayati / vasa ārya rama	upasaMkramya-apratirUpayA upanimantraNayA upanimantrayati / vasaH Arya rama
   ārya. ahaṃ te upasthāsyāmi. dāsīṃ te karmakarīṃ te dāsyāmi / tatra	Arya. aham te upasTAsyAmi. dAsIm te karma-karIm te dAsyAmi / tatra
   varṣopagatasya bhikṣor evaṃ bhavati. aham asminn āvāse varṣā upagataḥ.	varza-upagatasya BikzoH evam Bavati. aham asmin AvAse varzAH upagataH.
   ayaṃ ca me paṇḍaka upasaṃkramyāpratirūpayā upanimantraṇayā	ayam ca me paNxakaH upasaMkramya-apratirUpayA upanimantraNayA
   upanimantrayati. vasa ārya rama ārya. ahaṃ te upasthāsyāmi. dāsīṃ te	upanimantrayati. vasaH Arya ramaH Arya. aham te upasTAsyAmi. dAsIm te
   karmakarīṃ te dāsyāmi. ahaṃ ced asminn āvāse varṣā vaseyaṃ syān me	karmakarIm te dAsyAmi. aham ced asmin AvAse varzAH vaseyam syAt me
   atonidānaṃ jīvitāntarāyaḥ śrāmaṇyāntarāyo brahmacaryāntarāyaḥ. yanv aham	atonidAnam jIvita-antarAyaH SrAmaNya-antarAyaH brahmacarya-antarAyaH. yanu aham
   asmād āvāsāt prakrāmeyaṃ. sa tasmād āvāsāt prakramaty. etad eva pratyayaṃ	asmAt AvAsAt prakrAmeyaM. sa tasmAt AvAsAt prakramaty. etat eva pratyayam
   kṛtvā anāpattir varṣācchede . //	kRtvA anApattiH varzAcCede . //
   Var-v § 2.1.7 yathāpi tad varṣopagatena bhikṣuṇā anyatmānyatamaṃ śiśum	Var-u § 2.1.7 yaTA-api tat varza-upagatena BikzuNA anyatma-anyatamam SiSum
   udāravarṇaṃ raṃjanīyaṃ mātṛgrāmaṃ dṛṣṭvā ayoniśo nimittam udgṛhītaṃ	udAra-varNam raMjanIyam mAtR-grAmam dRzwvA ayoniSaH nimittam udgRhItam
   bhavati / tatra varṣopagatasya bhikṣor evaṃ bhavaty. aham asminn āvāse	Bavati / tatra varza-upagatasya BikzoH evam Bavaty. aham asmin AvAse
   varṣā upagataḥ. mayā cānyatmānyatamaṃ śiśum udāravarṇaṃ raṃjanīyaṃ	varzAH upagataH. mayA ca-anyatma-anyatamam SiSum udAra-varNam raMjanIyam
   mātṛgrāmaṃ dṛṣṭvā ayoniśo nimittam udgṛhītaṃ. ahaṃ ced asminn āvāse varṣā	mAtR-grAmam dRzwvA ayoniSaH nimittam udgRhItaM. aham ced asmin AvAse varzA
   vaseyaṃ syān me atonidānaṃ jīvitāntarāyaḥ śrāmaṇyāntarāyaḥ	vaseyam syAt me atonidAnam jIvita-antarAyaH SrAmaNya-antarAyaH
   brahmacaryāntarāyaḥ. yanv aham asmād āvāsāt prakrāmeyaṃ. sa tasmād āvāsāt	brahmacarya-antarAyaH. yanu aham asmAt AvAsAt prakrAmeyaM. sa tasmAt AvAsAt-
   prakrāmaty. etad eva pratyayaṃ kṛtvā anāpattir varṣācchede //	prakrAmaty. etat eva pratyayam kRtvA anApattiH varzAcCede //
   Var-v § 2.1.8 yathāpi tad varṣopagatasya bhikṣor nidhānam upadarśayanti.	Var-u § 2.1.8 yaTA-api tat varza-upagatasya BikzoH niDAnam upadarSayanti.
   tatra varṣopagatasya bhikṣor evaṃ bhavaty. aham asminn āvāse varṣā	tatra varza-upagatasya BikzoH evam Bavaty. aham asmin AvAse varzA
   upagata. idam eva nidhaya upadarśayanti. ahaṃ ced asminn āvāse varṣāṃ	upagata. idam eva niDayaH upadarSayanti. aham ced asmin AvAse varzAm
   vaseyaṃ syān me atonidānaṃ jīvitāntarāyaḥ śrāmaṇyāntarāyo	vaseyam syAt me atonidAnam jIvita-antarAyaH SrAmaNya-antarAyo
   brahmacaryāntarāyaḥ. yanv aham asmād āvāsāt prakrameyaṃ. sa tasmād āvāsāt	brahmacarya-antarAyaH. yanu aham asmAt AvAsAt prakrameyaM. sa tasmAt AvAsAt-
   prakrāmaty. etad eva pratyayaṃ kṛtvā anāpattir varṣācchede //	prakrAmaty. etat eva pratyayam kRtvA anApattiH varzAcCede //
   Var-v § 2.1.9 yathāpi tad varṣopagataṃ bhikṣuṃ jñātaya	Var-u § 2.1.9 yaTA-api tat varza-upagatam Bikzum jQAtaya
   upasaṃkramyāpratirūpayā upanimantraṇayā upanimantrayati / kasmāt tvam ārya	upasaMkramya-apratirUpayA upanimantraNayA upanimantrayati / kasmAt tvam Arya
   muṇḍaḥ pātrapāṇir anuveśmānuveśma kulāny upasaṃkramasi. imāni ca te	muNxaH pAtra-pANiH anuveSma-anuveSma kulAni upasaMkramasi. imAni ca te
   śītalāni kāṣāyāṇi vastrāṇi kāyaṃ paritāpayanti. ehi tvam ārya. niṣadya	SItalAni kAzAyANi vastrANi kAyam paritApayanti. ehi tvam Arya. nizadya
   kāmāṃś ca paribhuṃkṣva dānāni ca dehi puṇyāni ca kuru. tatra	kAmAn ca pariBuMkzva dAnAni ca dehi puNyAni ca kuru. tatra
   varṣopagatasya bhikṣor evaṃ bhavaty. (78v = GBM 739) aham asminn āvāse	varza-upagatasya BikzoH evam Bavaty. (78u  GBm 739) aham asmin AvAse
   varṣā upagata. ime ca me jñātaya upasaṃkramyāpratirūpayā upanimantraṇayā	varzAH upagata. ime ca me jQAtayaH upasaMkramya-apratirUpayA upanimantraNayA
   upanimantrayanti / kasmāt tvam ārya muṇḍaḥ pātrapāṇir anuveśmānuveśma	upanimantrayanti / kasmAt tvam Arya muNxaH pAtra-pANiH anuveSma-anuveSma
   kulāny upasaṃkramasi. imāni ca te śītalāni kāṣāyāṇi vastrāṇi kāyaṃ	kulAni upasaMkramasi. imAni ca te SItalAni kAzAyANi vastrANi kAyam
   paritāpayanti. ehi tvam ārya. niṣadya kāmāṃś ca paribhuṃkṣva dānāni ca	paritApayanti. ehi tvam Arya. nizadya kAmAn ca pariBuMkzva dAnAni ca
   dehi puṇyāni ca kuru. ahaṃ ced asminn āvāse varṣā vaseyaṃ syān me	dehi puNyAni ca kuru. aham ced asmin AvAse varzAH vaseyam syAt me
   atonidānaṃ jīvitāntarāyaḥ śrāmaṇyāntarāyo brahmacaryāntarāyaḥ. yanv aham	atonidAnam jIvita-antarAyaH SrAmaNya-antarAyaH brahmacarya-antarAyaH. yanu aham
   asmād āvāsāt prakrāmeyaṃ. sa tasmād āvāsāt prakramaty. etad eva pratyayaṃ	asmAt AvAsAt prakrAmeyaM. sa tasmAt AvAsAt prakramaty. etat eva pratyayam
   kṛtvā anāpattir varṣācchede //	kRtvA anApattiH varzAcCede //
   Var-v § 2.2.0.2 - (Chinese only)	Var-u § 2.2.0.2  (Shi-nese only)
   Var-v § 2.2.0.3 - (Chinese only)	Var-u § 2.2.0.3  (Shi-nese only)
   Var-v § 2.2.0.4 - (Chinese only)	Var-u § 2.2.0.4  (Shi-nese only)
   Var-v § 2.2.0.5 - (Chinese only)	Var-u § 2.2.0.5  (Shi-nese only)
   Var-v § 2.2.0.6 - (Chinese only)	Var-u § 2.2.0.6  (Shi-nese only)
   Var-v § 2.2.1.a yathāpi tad rājā caturaṅgaṃ balakāyaṃ sannāhya hastikāyaṃ	Var-u § 2.2.1.a yaTA-api tat rAjA catur-aFgam balakAyam sannAhya hasti-kAyam
   aśvakāyaṃ rathakāyaṃ pattikāyaṃ yāvad ārāmadvāram āgatya yathā gṛhītikaṃ	aSva-kAyam raTa-kAyam patti-kAyam yAvat ArAma-dvAram Agatya yaTA gRhItikam
   ghoṣayati. gṛhṇantu bhavantaḥ śramaṇāṃ śākyaputrīyāṃ pūrvavad yāvad yathā	Gozayati. gRhNantu BavantaH SramaNAm SAkya-putrIyAm pUrvavat yAvat yaTA
   pravāraṇāvastuni evaṃ vistareṇa vācyaṃ. tatra varṣopagatasya bhikṣor evaṃ	pravAraNa-avastuni evam vistareNa vAcyaM. tatra varza-upagatasya BikzoH evam
   bhavaty. aham asminn āvāse varṣā upagataḥ. ayaṃ ca rājā caturaṅgaṃ	Bavaty. aham asmin AvAse varzAH upagataH. ayam ca rAjA catur-aFgam
   balakāyaṃ sannāhya pūrvavad yāvat saced ahaṃ asminn āvāse varṣā vaseyaṃ	balakAyam sannAhya pUrvavat yAvat saced aham asmin AvAse varzAH vaseyam
   syān me atonidānaṃ jīvitāntarāyaḥ śrāmaṇyāntarāyo brahmacaryāntarāyaḥ.	syAt me atonidAnam jIvita-antarAyaH SrAmaNya-antarAyaH brahmacarya-antarAyaH.
   yanv aham asmād āvāsāt prakrameyaṃ. sa tasmād āvāsāt prakramaty. etad eva	yanu aham asmAt AvAsAt prakrameyaM. sa tasmAt AvAsAt prakramaty. etat eva
   pratyayaṃ kṛtvā anāpattir varṣācchede //	pratyayam kRtvA anApattiH varzAcCede //
   Var-v § 2.2.1.b yathāpi tad bhikṣur yaṃ strīpuruṣapaṇḍakam upaniśritya	Var-u § 2.2.1.B yaTA-api tat BikzuH yam strI-puruza-paNxakam upaniSritya
   varṣā upagato bhavati, sa rājñā gṛhīto bhavati baddho vā ghātito vā.	varzAH upagataH Bavati, sa rAjQA gRhItaH Bavati badDaH vA GAtitaH vA.
   santaḥsvāpateyaṃ vāsyāpahṛtaṃ, rājabhayena vā pararāṣṭraṃ paraviṣayaṃ	santaHsvApateyam vA-asya-apahRtaM, rAja-Bayena vA para-rAzwram para-vizayam
   niṣpalānaḥ, ucchidya vā kālagataḥ. tatra varṣopagatasya bhikṣor evaṃ	nizpalAnaH, ucCidya vA kAlagataH. tatra varza-upagatasya BikzoH evam
   bhavati. aham asminn āvāse yaṃ strīpuruṣapaṇḍakam upaniśritya varṣā	Bavati. aham asmin AvAse yam strI-puruza-paNxakam upaniSritya varzA
   upagataḥ, sa rājñā gṛhīto baddho vā ghātito vā, santaḥsvāpateyaṃ	upagataH, sa rAjQA gRhItaH badDaH vA GAtitaH vA, santaHsvApateyam
   vāsyāpahṛtaṃ, rājabhayena vā pararāṣṭraṃ paraviṣayaṃ niṣpalānaḥ, ucchidya	vA-asya-apahRtaM, rAja-Bayena vA para-rAzwram para-vizayam nizpalAnaH, ucCidya
   vā kālagataḥ. ahaṃ ced asminn āvāse varṣā vaseyaṃ syān me atonidānaṃ	vA kAlagataH. aham ced asmin AvAse varzAH vaseyam syAt me atonidAnam
   jīvitāntarāyaḥ śrāmaṇyāntarāyaḥ brahmacaryāntarāyaḥ. yanv aham asmād	jIvita-antarAyaH SrAmaNya-antarAyaH brahmacarya-antarAyaH. yanu aham asmAt-
   āvāsāt prakrāmeyaṃ. sa tasmād āvāsāt prakramaty. etad eva pratyayaṃ kṛtvā	AvAsAt prakrAmeyaM. sa tasmAt AvAsAt prakramaty. etat eva pratyayam kRtvA
   anāpattir varṣācchede //	anApattiH varzAcCede //
   Var-v § 2.2.2.a yathāpi tac corāḥ grāmaghātaṃ vā nagaraghātaṃ vā	Var-u § 2.2.2.a yaTA-api tat corAH grAma-GAtam vA nagara-GAtam vA
   janapadaghātaṃ vā kṛtvā ārāmadvāram āgatya gāṃ vā hatvā mahiṣīṃ vā	janapada-GAtam vA kRtvA ArAma-dvAram Agatya gAm vA hatvA mahizIm vA
   chagalikāṃ vā rudhirāṃgakāni rudhiravilekhanāni kṛtvā bhikṣūṇāṃ dūtam	CagalikAm vA ruDirAMgakAni ruDira-vileKanAni kRtvA BikzUNAm dUtam
   anupreṣayanti / nirgacchantv āryāḥ, vayam atra vatsyāmaḥ. tatra	anuprezayanti / nirgacCantu AryAH, vayam atra vatsyAmaH. tatra
   varṣopagatasya bhikṣor evaṃ bhavati. aham asminn āvāse varṣā upagataḥ. ime	varza-upagatasya BikzoH evam Bavati. aham asmin AvAse varzAH upagataH. ime
   ca corā grāmaghātaṃ kṛtvā pūrvavad yāvat sa tasmād āvāsāt prakramaty. etad	ca corA grAma-GAtam kRtvA pUrvavat yAvat sa tasmAt AvAsAt prakramaty. etat-
   eva pratyayaṃ kṛtvā anāpattir varṣācchede //	eva pratyayam kRtvA anApattiH varzAcCede //
   Var-v § 2.2.2.b yathāpi tad bhikṣur yaṃ strīpuruṣapaṇḍakam upaniśṛtya	Var-u § 2.2.2.B yaTA-api tat BikzuH yam strI-puruza-paNxakam upaniSRtya
   varṣā upagato bhavati, sa corair gṛhīto bhavati baddho vā ghātito vā,	varzAH upagataH Bavati, sa corEH gRhItaH Bavati badDaH vA GAtitaH vA,
   santasvāpateyaṃ vāsyāpahṛtaṃ bhavati, corabhayena vā pararāṣṭraṃ	santasva-Apateyam vA-asya-apahRtam Bavati, cora-Bayena vA para-rAzwram
   paraviṣayaṃ niṣpalānaḥ, ucchidya vā kālagatas. tatra varṣoṣitasya bhikṣor	para-vizayam nizpalAnaH, ucCidya vA kAla-gatas. tatra varza-uzitasya BikzoH-
   evaṃ bhavati . aham asminn āvāse yaṃ strīpuruṣapaṇḍakam upaniśritya varṣā	evam Bavati . aham asmin AvAse yam strI-puruza-paNxakam upaniSritya varzA
   upagataḥ. sa corair gṛhīto baddho vā ghātito vā, santasvāpateyaṃ	upagataH. sa corEH gRhItaH badDaH vA GAtitaH vA, santasvApateyam
   vāsyāpahṛtaṃ, corabhayena vā pararāṣṭraṃ paraviṣayaṃ niṣpalānaḥ, ucchidya	vA-asya-apahRtaM, cora-Bayena vA para-rAzwram para-vizayam nizpalAnaH, ucCidya
   vā kālagataḥ. ahaṃ ced asminn āvāse varṣā vaseyaṃ syān me atonidānaṃ	vA kAlagataH. aham ced asmin AvAse varzAH vaseyam syAt me atonidAnam
   jīvitāntarāyaḥ śrāmaṇyāntarāyaḥ brahmacaryāntarāyaḥ. yanv aham asmād	jIvita-antarAyaH SrAmaNya-antarAyaH brahmacarya-antarAyaH. yanu aham asmAt-
   āvāsāt prakrāmeyaṃ. sa tasmād āvāsāt prakrāmaty / etad eva pratyayaṃ kṛtvā	AvAsAt prakrAmeyaM. sa tasmAt AvAsAt prakrAmati / etat eva pratyayam kRtvA
   (79r = GBM 741) anāpattir varṣācchede //	(79H  GBm 741) anApattiH varzAcCede //
   Var-v § 2.2.3.a yathāpi tad anyatamena mahallena bālena	Var-u § 2.2.3.a yaTA-api tat anyatamena mahallena bAlena
   mūḍhenāvyaktenākuśalena gocare vā gocaramārge vā kulastrī vā kulakumārī vā	mUXena-avyaktena-akuSalena gocare vA gocara-mArge vA kula-strI vA kulakumArI vA
   ākruṣṭā vā bhavaty ābhāṣṭā vā parāmṛṣṭā vā. manuṣyāḥ prakupitā ārāmadvāram	AkruzwAH vA Bavati ABa-azwAH vA parAmRzwAH vA. manuzyAH prakupitAH ArAma-dvAram
   āgatya yathā gṛhītikām udghoṣayanti. pūrvavad yāvat sa tasmād āvāsāt	Agatya yaTA gRhItikAm udGozayanti. pUrvavat yAvat sa tasmAt AvAsAt-
   prakrāmaty. etad eva pratyayaṃ kṛtvā anāpattir varṣācchede //	prakrAmaty. etat eva pratyayam kRtvA anApattiH varzAcCede //
   Var-v § 2.2.3.b yathāpi tad bhikṣur yaṃ strīpuruṣapaṇḍakam upaniśṛtya	Var-u § 2.2.3.B yaTA-api tat BikzuH yam strI-puruza-paNxakam upaniSRtya
   varṣā upagato bhavati, sa manuṣyair gṛhīto bhavati baddho vā ghātito vā,	varzAH upagataH Bavati, sa manuzyEH gRhItaH Bavati badDaH vA GAtitaH vA,
   santasvāpateyaṃ vāsyāpahṛtaṃ, manuṣyabhayena vā pararāṣṭraṃ paraviṣayaṃ	santasva-Apateyam vA-asya-apahRtan, manuzya-Bayena vA para-rAzwram para-vizayam
   niṣpalānaḥ, ucchidya vā kālagataḥ. tatra varṣoṣitasya bhikṣor evaṃ	nizpalAnaH, ucCidya vA kAlagataH. tatra varza-uzitasya BikzoH evam
   bhavati. aham asminn āvāse yaṃ strīpuruṣapaṇḍakam upaniśṛtya varṣā	Bavati. aham asmin AvAse yam strI-puruza-paNxakam upaniSRtya varzA
   upagataḥ, sa manuṣyair gṛhīto baddho vā ghātito vā santasvāpateyaṃ	upagataH, sa manuzyEH gRhItaH badDaH vA GAtitaH vA santasvApateyam
   vāsyāpahṛtaṃ, manuṣyabhayena vā pararāṣṭraṃ paraviṣayaṃ niṣpalānaḥ,	vA-asya-apahRtan, manuzya-Bayena vA para-rAzwram para-vizayam nizpalAnaH,
   ucchidya vā kālagataḥ. ahaṃ ced asminn āvāse varṣā vaseyaṃ syān me	ucCidya vA kAlagataH. aham ced asmin AvAse varzAH vaseyam syAt me
   atonidānaṃ jīvitāntarāyaḥ śrāmaṇyāntarāyaḥ brahmacaryāntarāyaḥ. yanv aham	atonidAnam jIvita-antarAyaH SrAmaNya-antarAyaH brahmacarya-antarAyaH. yanu aham
   asmād āvāsāt prakrameyaṃ. sa tasmād āvāsāt prakrāmaty. etad eva pratyayaṃ	asmAt AvAsAt prakrameyaM. sa tasmAt AvAsAt prakrAmaty. etat eva pratyayam
   kṛtvā anāpattir varṣācchede //	kRtvA anApattiH varzAcCede //
   Var-v § 2.2.4.a yathāpi tad vihāraḥ amanuṣyādhyuṣite pradeśe pratiṣṭhāpito	Var-u § 2.2.4.a yaTA-api tat vihAraH amanuzya-aDyuzite pradeSe pratizWApitaH-
   bhavati. anyatamena ca mahallena bālena mūḍhenāvyaktenākuśalenāpratirūpe	Bavati. anyatamena ca mahallena bAlena mUXena-avyaktena-akuSalena-apratirUpe
   pradeśe uccāraprasrāvaṃ pūrvavad yāvat sa tasmād āvāsāt prakrāmaty. etad	pradeSe uccAra-prasrAvam pUrvavat yAvat sa tasmAt AvAsAt prakrAmaty. etat-
   eva pratyayaṃ kṛtvā anāpattir varṣācchede //	eva pratyayam kRtvA anApattiH varzAcCede //
   Var-v § 2.2.4.b yathāpi tad bhikṣur yaṃ strīpuruṣapaṇḍakam upaniśṛtya	Var-u § 2.2.4.B yaTA-api tat BikzuH yam strI-puruza-paNxakam upaniSRtya
   varṣā upagato bhavati, so 'manuṣyair gṛhīto vā baddho vā ghātito vā	varzAH upagataH Bavati, saH amanuzyEH gRhItaH vA badDaH vA GAtitaH vA
   santasvāpateyaṃ vāsyāpahṛtaṃ, amanuṣyabhayena vā pararāṣṭraṃ paraviṣayaṃ	santasva-Apateyam vA-asya-apahRtan, amanuzya-Bayena vA para-rAzwram para-vizayam
   niṣpalānaḥ, ucchidya vā kālagataḥ. tatra varṣopagatasya bhikṣor evaṃ	nizpalAnaH, ucCidya vA kAlagataH. tatra varza-upagatasya BikzoH evam
   bhavaty. aham asminn āvāse yaṃ strīpuruṣapaṇḍakam upaniśritya varṣā	Bavaty. aham asmin AvAse yam strI-puruza-paNxakam upaniSritya varzA
   upagataḥ, so 'manuṣyair gṛhīto baddho vā ghātito vā, santasvāpateyaṃ	upagataH, saH amanuzyEH gRhItaH badDaH vA GAtitaH vA, santasvApateyam
   vāsyāpahṛtam, amanuṣyabhayena vā pararāṣṭraṃ paraviṣayaṃ niṣpalānaḥ,	vA-asya-apahRtam, amanuzya-Bayena vA para-rAzwram para-vizayam nizpalAnaH,
   ucchidya vā kālagataḥ. ahaṃ ced asminn āvāse varṣā vaseyaṃ syān me	ucCidya vA kAlagataH. aham ced asmin AvAse varzAH vaseyam syAt me
   atonidānaṃ jīvitāntarāyaḥ śrāmaṇyāntarāyaḥ brahmacaryāntarāyaḥ. yanv aham	atonidAnam jIvita-antarAyaH SrAmaNya-antarAyaH brahmacarya-antarAyaH. yanu aham
   asmād āvāsāt prakrameyaṃ. sa tasmād āvāsāt prakrāmaty. etad eva pratyayaṃ	asmAt AvAsAt prakrameyaM. sa tasmAt AvAsAt prakrAmaty. etat eva pratyayam
   kṛtvā anāpattir varṣācchede //	kRtvA anApattiH varzAcCede //
   Var-v § 2.2.5.a yathāpi tad vihāro vyāḍādhyuṣite pradeśe pratiṣṭhāpito	Var-u § 2.2.5.a yaTA-api tat vihAraH vyAxa-aDyuzite pradeSe pratizWApitaH-
   bhavati. anyatamena ca mahallena bālena mūḍhenāvyaktenākuśalena apratirūpe	Bavati. anyatamena ca mahallena bAlena mUXena-avyaktena-akuSalena apratirUpe
   pradeśe uccāraprasrāvaṃ kheṭaṃ śiṅghāṇakaṃ vāntaṃ viriktaṃ choritam,	pradeSe uccAra-prasrAvam Kewam SiFGANakam vAntam viriktam Coritam,
   aśucimrakṣitaṃ vā śayanāsanaṃ pravikṣiptaṃ. vyāḍāḥ prakupitāḥ gocare 'pi	aSucimrakzitam vA Sayana-Asanam pravikziptaM. vyAxAH prakupitAH gocare api
   tiṣṭhanti gocaramārge 'pi caṃkrame 'pi meḍhyām api dvārakoṣṭhake 'pi,	tizWanti gocara-mArge api caMkrame api meXyAm api dvAra-kozWake api,
   bhikṣūn apyāviśanti. tatra varṣopagatasya bhikṣor evaṃ bhavati. pūrvavad	BikzUn api-AviSanti. tatra varza-upagatasya BikzoH evam Bavati. pUrvavat-
   yāvat sa tasmād āvāsāt prakrāmaty. etad eva pratyayaṃ kṛtvā anāpattir	yAvat sa tasmAt AvAsAt prakrAmaty. etat eva pratyayam kRtvA anApattiH-
   varṣācchede //	varzAcCede //
   Var-v § 2.2.5.b yathāpi tad bhikṣur yaṃ strīpuruṣapaṇḍakam upaniśṛtya	Var-u § 2.2.5.B yaTA-api tat BikzuH yam strI-puruza-paNxakam upaniSRtya
   varṣā upagato bhavati, sa vyāḍair gṛhīto bhavati baddho vā ghātito vā,	varzAH upagataH Bavati, sa vyAxEH gRhItaH Bavati badDaH vA GAtitaH vA,
   vyāḍabhayena vā pararāṣṭraṃ paraviṣayaṃ niṣpalānaḥ, ucchidya vā kālagataḥ.	vyAxa-Bayena vA para-rAzwram para-vizayam nizpalAnaH, ucCidya vA kAlagataH.
   tatra varṣopagatasya bhikṣor evaṃ bhavaty. aham asminn āvāse yaṃ	tatra varza-upagatasya BikzoH evam Bavaty. aham asmin AvAse yam
   strīpuruṣapaṇḍakam upaniśṛtya varṣā upagataḥ. sa vyāḍair baddho vā gṛhīto	strI-puruza-paNxakam upaniSRtya varzAH upagataH. sa vyAxEH badDaH vA gRhItaH-
   vā santasvāpateyaṃ vāsyāpahṛtaṃ, vyāḍabhayena vā pararāṣṭraṃ paraviṣayaṃ	vA santasva-Apateyam vA-asya-apahRtaM, vyAxa-Bayena vA para-rAzwram para-vizayam
   niṣpalānaḥ, ucchidya vā kālagataḥ. ahaṃ ced asminn āvāse varṣā vaseyaṃ	nizpalAnaH, ucCidya vA kAlagataH. aham ced asmin AvAse varzAH vaseyam
   syān me atonidānaṃ jīvitāntarāyaḥ (79v = GBM 740) śrāmaṇyāntarāyaḥ	syAt me atonidAnam jIvita-antarAyaH (79u  GBm 740) SrAmaNya-antarAyaH
   brahmacaryāntarāyaḥ. yanv aham asmād āvāsāt prakrameyaṃ. sa tasmād āvāsāt	brahmacarya-antarAyaH. yanu aham asmAt AvAsAt prakrameyaM. sa tasmAt AvAsAt-
   prakramaty. etad eva pratyayaṃ kṛtvā anāpattir varṣācchede.	prakramaty. etat eva pratyayam kRtvA anApattiH varzA=-Cede.
   Var-v § 2.2.6.a yathāpi tad vihāro nāgādhyuṣite pradeśe pratiṣṭhāpito	Var-u § 2.2.6.a yaTA-api tat vihAraH nAga-aDyuzite pradeSe pratizWApitaH-
   bhavati. pūrvavad yāvat sa tasmād āvāsāt prakrāmaty. etad eva pratyayaṃ	Bavati. pUrvavat yAvat sa tasmAt AvAsAt prakrAmaty. etat eva pratyayam
   kṛtvā anāpattir varṣācchede //	kRtvA anApattiH varzAcCede //
   Var-v § 2.2.6.b yathāpi tad bhikṣur yaṃ strīpuruṣapaṇḍakam upaniśritya	Var-u § 2.2.6.B yaTA-api tat BikzuH yam strI-puruza-paNxakam upaniSritya
   varṣā upagataḥ, sa nāgair gṛhīto bhavati baddho vā ghātito vā,	varzAH upagataH, sa nAgEH gRhItaH Bavati badDaH vA GAtitaH vA,
   santasvāpateyaṃ vāsyāpahṛtaṃ, nāgabhayena vā pararāṣṭraṃ paraviṣayaṃ	santasva-Apateyam vA-asya-apahRtaM, nAga-Bayena vA para-rAzwram para-vizayam
   niṣpalānaḥ, ucchidya vā kālagataḥ. tatra varṣopagatasya bhikṣor evaṃ	nizpalAnaH, ucCidya vA kAlagataH. tatra varza-upagatasya BikzoH evam
   bhavati / aham asminn āvāse yaṃ strīpuruṣapaṇḍakam upaniśritya varṣā	Bavati / aham asmin AvAse yam strI-puruza-paNxakam upaniSritya varzA
   upagataḥ, sa nāgair gṛhīto vā baddho vā ghātito vā santasvāpateyaṃ	upagataH, sa nAgEH gRhItaH vA badDaH vA GAtitaH vA santasvApateyam
   vāsyāpahṛtaṃ, nāgabhayena vā pararāṣṭraṃ paraviṣayaṃ niṣpalānaḥ, ucchidya	vA-asya-apahRtaM, nAga-Bayena vA para-rAzwram para-vizayam nizpalAnaH, ucCidya
   vā kālagataḥ. ahaṃ ced asminn āvāse varṣā vaseyaṃ, syān me atonidānaṃ	vA kAlagataH. aham ced asmin AvAse varzAH vaseyan, syAt me atonidAnam
   jīvitāntarāyaḥ śrāmaṇyāntarāyaḥ brahmacaryāntarāyaḥ. yanv aham asmād	jIvita-antarAyaH SrAmaNya-antarAyaH brahmacarya-antarAyaH. yanu aham asmAt-
   āvāsāt prakrameyaṃ. sa tasmād āvāsāt prakrāmaty. etad eva pratyayaṃ kṛtvā	AvAsAt prakrameyaM. sa tasmAt AvAsAt prakrAmaty. etat eva pratyayam kRtvA
   anāpattir varṣācchede //	anApattiH varzAcCede //
   Var-v § 2.2.7.a yathāpi tad vihāraḥ dāvamadhye pratiṣṭhāpito bhavati.	Var-u § 2.2.7.a yaTA-api tat vihAraH dAva-maDye pratizWApitaH Bavati.
   pūrvavad yāvat sa tasmād āvāsāt prakrāmaty. etad eva pratyayaṃ kṛtvā	pUrvavat yAvat sa tasmAt AvAsAt prakrAmaty. etat eva pratyayam kRtvA
   anāpattir varṣācchede //	anApattiH varzAcCede //
   Var-v § 2.2.7.b yathāpi tad bhikṣur yaṃ strīpuruṣapaṇḍakam upaniśṛtya	Var-u § 2.2.7.B yaTA-api tat BikzuH yam strI-puruza-paNxakam upaniSRtya
   varṣā upagato bhavati, so 'gninā dagdhaḥ, santasvāpateyaṃ vāsyāgninā	varzAH upagataH Bavati, saH agninA dagDaH, santasva-Apateyam vA-asya-agninA
   dagdhaṃ, agnibhayena vā pararāṣṭraṃ paraviṣayaṃ niṣpalānaḥ, ucchidya vā	dagDaM, agni-Bayena vA para-rAzwram para-vizayam nizpalAnaH, ucCidya vA
   kālagataḥ. tatra varṣopagatasya bhikṣor evaṃ bhavati / aham asminn āvāse	kAlagataH. tatra varza-upagatasya BikzoH evam Bavati / aham asmin AvAse
