   Abhidharmasamuccayabhāṣyam	ABiDarma samuccaya BAzyam
   śamathavipaśyanāmāndyāt / sukhā dhyānaniśritā yuganaddhavāhitvāt /	SamaTa vipaSyana amAndyAt / suKAH DyAna niSritAH yuga nadDa vAhi tvAt /
   dhandhābhijñā dvayorapyanayorduḥkhasukhaniśrayayormṛdvindriyāṇām /	DanDa aBijQAH dvayoH api anayoH duHKa suKa niSrayayoH mRd u indriyANAm /
   kṣiprābhijñā tayoreva tīkṣṇendriyāṇāmiti / śikṣā trayapariśodhano mārgaḥ	kzipra aBijQA tayoH eva tIkzNa indriyANAm iti / SikzA traya pariSoDanaH mArgaH
   catvāri dharmapadāni / tatrānabhidhyāvyāpādamadhiśīlaṃ śikṣāyāḥ	catvAri Darma padAni / tatra anaBiDya avyApAdam aDi SIlam SikzAyAH
   pariśodhanam, ananunayāpratighamukhena śikṣāpadākhaṇḍanāt /	pariSoDanam, ananunaya apratiGa muKena SikzA padA KaNxanAt /
   samyaksmṛtyādhicittaṃ śikṣāyāḥ pariśodhanam, ālaṃbanāsaṃmoṣe sati	samyak smRti ADicittam SikzAyAH pariSoDanam, AlaMbana asaMmoze sati
   cittasamādhānāt / samyaksamādhinādhiprajñaṃ śikṣāyāḥ pariśodhanam,	citta samADAnAt / samyak samADi nA aDiprajQam SikzAyAH pariSoDanam,
   samāhitacittasya yathābhūtajñānāditi // sarvaguṇābhinirhārako yo mārgaḥ	samAhita cittasya yaTABUta jQAnAt iti // sarva guNa aBinirhArakaH yaH mArgaH
   śamathavipaśyanā, tataḥ sarvalaukikalokottaraguṇābhiniṣpatteḥ /	SamaTa vipaSyanA, tatas sarva lOkika loka uttara guNa aBinizpatteH /
   mārgasaṃgrahamārgastrīṇīndriyāṇī, tatrānājñātamājñāsyāmīndriyeṇa	mArga saMgraha mArga strINi indriyANI, tatra anAjQAtam AjQAsyAmi indriyeNa
   prayogadarśanamārgayoḥ saṃgrahaḥ, ājñendriyeṇa bhāvanāmārgasya,	prayoga darSana mArgayoH saMgrahaH, AjQA indriyeNa BAvanA mArgasya,
   ājñātāvīndriyeṇa niṣṭhāmārgasyeti //	AjQAta avi indriyeNa nizWA mArgasya iti //
   punarbodhipakṣyāṇāṃ dharmāṇāṃ pañcabhiḥ prakāraiḥ vyavasthānaṃ veditavyam	punar boDi pakzyANAm DarmANAm paQcaBiH prakArEH vyavasTAnam veditavyam
     ālambanataḥ svabhāvataḥ sahāyato bhāvanāto bhāvanāphalataśca //	 AlambanataH svaBAvataH saha AyataH BAvanAtaH BAvanA PalataH ca //
   tatra smṛtyupasthānānāmālaṃbanaṃ yathākramaṃ kāyo vedanā cittaṃ dharmāḥ /	tatra smRti upasTAnAnAm AlaMbanam yaTAkramam kAyaH vedanA cittam DarmAH /
   kimartha punaretadevamālaṃbanaṃ vyavasthāpyate / yasmādviparyastabuddhayo	kim arTa punar etat evam AlaMbanam vyavasTApyate / yasmAt viparyasta budDayo
   (Abhidh s bh 85) bālāḥ prāyeṇa sendriyaṃ kāyamāśritya sukhādimupabhuñjānā	(a aBiD s B 85) bAlAH prAyeNa sa indriyam kAyam ASritya suKa Adim upaBuQjAnA
   upalabdhalakṣaṇā ātmarāgādibhiḥ śraddhādibhiśca saṃkliśyante vyavadāyante	upalabDa lakzaNAH AtmarAga AdiBiH SradDA AdiBiH ca saMkliSyante vyavadAyante
   ceti vikalpayantyata āditaḥ samyaktadvastulakṣaṇaparīkṣārthamevaṃ	ca iti vikalpayanti atas Aditas samyak tat vastu lakzaNa parIkzA arTam evam
   caturdhālambanavyavasthānaṃ veditavyam //	caturDA Alambana vyavasTAnam veditavyam //
   svabhāvataḥ prajñā smṛtiśca, kāyādyanupaśyanāvacanāt	svaBAvataH prajQA smRtiH ca, kAya Adi anupaSyanA vacanAt 
   smṛtyupasthānavacanācca yathākramam //	smRti upasTAna vacanAt ca yaTAkramam //
   sahāyatastābhyāṃ saṃprayuktāścitacaitasikāḥ //	saha AyataH tAByAm saMprayuktAH cita cEtasikAH //
   bhāvanādhyātmaṃ bahirdhādhyātmabahirdhā ca kāyādiṣu kāyādyanupaśyanā //	BAvanA aDyAtmam bahis DA aDyAtma bahirDA ca kAya Adizu kAya Adi anupaSyanAH //
   tatrādhyātmaṃ kāyaścakṣuśrotraghrāṇajihvākāyendriyāṇi,	tatra aDyAtmam kAyaH cakzu Srotra GrANa jihvA kAya indriyANi,
   ādhyātmikāyatanasaṃgṛhītatvātsattvasaṃkhyātatvācca / bahirdhā kāyo	ADyAtmika Ayatana saMgRhIta tvAt sattva saMKyAta tvAt ca / bahirDA kAyaH 
   bahirdhārūpaśabdagandharasaspraṣṭavyāni,	bahirDA rUpa Sabda ganDa rasa sprazwavyAni,
   bāhyāyatanasaṃgṛhītatvādasattvasaṃkhyātatvācca / adhyātmabahirdhā	bAhya Ayatana saMgRhIta tvAt asattva saMKyAta tvAt ca / aDyAtma bahirDA
   kāyaścakṣurādyāyatanasaṃbaddhāni rūpādīnyāyatanānīndriyādhiṣṭhānabhūtāni,	kAyaH cakzuH Adi Ayatana saMbadDAni rUpa AdIni AyatanAni indriya aDizWAna BUtAni,
   sattvasaṃkhyātatvādvāhyāyatanasaṃgṛhītatvācca / pārasaṃtānikāni	sattva saMKyAta tvAt vAhya Ayatana saMgRhIta tvAt ca / pAra saMtAnikAni
   cādhyātmikāni rūpīṇyāyatanānyadhyātmabahirdhā kāyaḥ, āyatanavyavasthāṃ	ca ADyAtmikAni rUpINi AyatanAni aDyAtma bahirDA kAyaH, Ayatana vyavasTAm
   saṃtānavyavasthāṃ ca pramāṇayitvā //	saMtAna vyavasTAm ca pramANayitvA //
   kāye kāyasya sādṛśyena paśyanā kāye kāyānupaśyanā,	kAye kAyasya sAdRSyena paSyanA kAye kAyAnupaSyanA,
   vikalpapratibimbakāyadarśanānusāreṇa prakṛtibimbakāyāvadhāraṇāt //	vikalpa pratibimba kAya darSana anusAreNa prakRti bimba kAya avaDAraNAt //
   adhyātmaṃ vedanādayo 'dhyātmaṃ kāyamupādāyotpannāḥ cakṣurādyālaṃbanatayā	aDyAtmam vedanA AdayaH aDyAtmam kAyam upAdAya utpannAH cakzuH Adi AlaMbana tayA
   svāśrayotpannanatayā vā / bahirdhā vedanādayo bahirdhā	sva ASraya utpannanatayA vA / bahirDA vedanA AdayaH bahirDA
   kāyamupādāyotpannāḥ, rūpādyālambanatayā parāśrayotpannatayā vā /	kAyam upAdAya utpannAH, rUpa Adi Alambana tayA para ASraya utpanna tayA vA /
   adhyātmabahirdhā vedanādayo dhyātmabahirdhākāyamupādāyotpannāḥ,	aDyAtma bahirDAH vedanA AdayaH DyAtma bahirDA kAyam upAdAya utpannAH,
   svasantānikabāhyā[yatanā]lambanatayā	sva santAnika bAhyA[yatanA] lambana tayA
   pārasaṃtānikādhyātmikāyatanālaṃbanatayā vā //	pAra saMtAnikA Dya Atmika Ayatana AlaMbana tayA vA //
   cetaso līnatvaṃ viśeṣādhigamapratyātmaparibhavamukhaiḥ viṣādaḥ /	cetasaH lIna tvam viSeza aDigama pratyAtma pariBava muKEH vizAdaH /
   parisravaparikhedo daṃśamaśakādyupadravotpīḍanāsahanam /	parisrava pariKedaH daMSa maSaka Adi upadrava utpIxanA sahanam /
   alpamātrasaṃtuṣṭiḥ alaṃ me tāvatā kuśalapakṣeṇeti prativāraṇam /	alpa mAtra saMtuzwiH alam me tAvatA kuSala pakzeNa iti prativAraNam /
   āpattivipratisāro (Abhidh s bh 86)	Apatti vipratisAraH (a aBiD s B 86)
   'bhikramapratikramādiṣvasaṃprajñānacāriṇaḥ śikṣāvyatikramapūrvaḥ	aBikrama pratikrama Adizu asaMprajQAna cAriNaH SikzA vyatikrama pUrvaH
   paścāttāpaḥ / nikṣiptadhuratā pramādadoṣeṇa yathārambhaṃ	paScAttApaH / nikzipta Dura tA pramAda dozeNa yaTA AramBam
   kuśalapakṣaprayogāntānirvāha iti //	kuSala pakza prayoga anta anirvAhaH iti //
   phalaṃ yathākramaṃ smṛtyupasthānānāṃ śucisukhanityātmaviparyāsapraharaṇam,	Palam yaTAkramam smRti upasTAnAnAm Suci suKa niti Atma viparyAsa praharaNam,
   aśu[bha]bhāvanā[taḥ], yatkiṃcit veditamidamatra duḥkhasyeti jñānāt,	aSu[Ba]BAvanA A[taH], yat kiMcid veditam idam atra duHKasya iti jQAnAt ,
   āśrayālaṃbanādibhedaiḥ pratikṣaṇaṃ vijñānasyānyathāvagamāt,	ASraya AlaMbana Adi BedEH pratikzaNam vijQAnasya anyaTA avagamAt,
   nirvyāpārasaṃkleśabyavadānadharmamātraparīkṣaṇācceti //	nirvyApAra saMkleSa byava dAna Darma mAtra parIkzaNAt ca iti //
   punareṣāṃ yathākramaṃ catuḥsatyāvatāraḥ phalam / kāyasmṛtyupasthānena	punar ezAm yaTAkramam catur satya avatAraH Palam / kAya smRti upasTAnena
   duḥkhasatyamavatarati, saṃskāraduḥkhatālakṣaṇena dauṣṭhulyena	duHKa satyam avatarati, saMskAra duHKa tA lakzaNena dOzWulyena
   prabhāvitatvāt kāyasya / tathāhi tatpratipakṣabhūtā prasrabdhiḥ kāya eva	praBAvita tvAt kAyasya / taTA hi tad pratipakza BUtA prasrabDiH kAyaH eva
   viśeṣeṇotpadyata iti / vedanāsmṛtyupasthānena samudayasatyamavatarati,	viSezeNa utpadyate iti / vedanA smRti upasTAnena samudaya satyam avatarati,
   sukhādivedanādhiṣṭhānatvāt saṃyogāditṛṣṇāyāḥ / cittasmṛtyupasthānena	suKa Adi vedana aDizWAna tvAt saMyoga Adi tRzNAyAH / citta smRti upasTAnena
   nirodhasatyamavatarati, nirātmakaṃ vijñānamātraṃ na bhaviṣyatīti paśyata	niroDa satyam avatarati, nirAtmakam vijQAna mAtram na Bavizyati iti paSyata
   ātmocchedāśaṅkāmukhena nirvāṇottrāsābhāvāt / dharmasmṛtyupasthānena	Atma ucCeda ASaFkA muKena nirvANa uttrAsa aBAvAt / Darma smRti upasTAnena
   mārgasatyamavatarati, vipakṣadharmaprahāṇāya pratipakṣadharmabhāvanāditi /	mArga satyam avatarati, vipakza Darma prahANAya pratipakza Darma BAvanAt iti /
   punareṣāṃ kāyavedanācittadharmavisaṃyogaḥ phalaṃ yathākramaṃ veditavyam,	punar ezAm kAya vedanA citta Darma visaMyogaH Palam yaTAkramam veditavyam,
   tadbhāvanayā kāyādipakṣadauṣṭhulyāpagamāditi //	tad BAvanayA kAya Adi pakza dOzWulya apagamAt iti //
   samyakprahāṇānāṃ prathamasyānutpanno vipakṣa ālaṃbanam,	samyak prahANAnAm praTamasya anutpannaH vipakzaH AlaMbanam,
   tenānutpannapāpakākuśaladharmānutpādāya chandajananāt / dvitīyasyotpanno	tena anutpanna pApakA kuSala Darma anutpAdAya Canda jananAt / dvitIyasya utpanno
   vipakṣaḥ / tṛtīyasyānutpannaḥ pratipakṣaḥ / caturthasyotpanna ālaṃbanamiti	vipakzaH / tRtIyasya anutpannaH pratipakzaH / caturTasya utpannaH AlaMbanam iti
   yathāsūtraṃ yojayitavyam /	yaTAsUtram yojayitavyam /
   chandaṃ janayatītyevamādibhiḥ sāśrayā vīryabhāvanā paridīpitā /	Candam janayati iti evamAdiBiH sa ASrayA vIrya BAvanA paridIpitA /
   atrāśrayaśchandaḥ, tatpūrvakatvādudyogasya / yadā	atra ASrayaH CandaH, tad pUrvaka tvAt udyogasya / yadA
   śamathādinimittamanaskāreṇa nirapekṣālaṃbanaṃ kevalaṃ pratipakṣaṃ	SamaTa Adi nimitta manaskAreNa nirapekzA laMbanam kevalam pratipakzam
   bhāvayati tadā vyāyaccjhata ityucyate / yadā tulayopakleśe utpanne	BAvayati tadA vyAyaccJataH iti ucyate / yadA tulayA upakleSe utpanne
   tadapakarṣaṇārtha prasadanīyādimanaskāraiḥ cittamunnāmayati, (Abhidh s bh	tad apakarzaNa arTa prasadanIya AdimanaskArEH cittam unnAmayati, (a aBiD  s B
   87) auddhatyopakleśe cotpanne pratyāsaṃkṣepamukhena cittaṃ dhārayati tadā	87) OdDatya upakleSe ca utpanne pratyAsaMkzepa muKena cittam DArayati tadA
   vīryamārabhata ityucyate / ata eva	vIryam AraBataH iti ucyate / atas eva
   layauddhatyāpakarṣaṇopāyasaṃdarśanārthamanantaramāha cittaṃ pragṛhṇāti	laya OdDatya apakarzaNa upAya saMdarSana arTam anantaram Aha cittam pragRhNAti
   pradadhātīti /	pradaDAti iti /
   phalaṃ prathamadvitīyayoḥ samyakprahāṇayoraśeṣavipakṣahāniḥ, tābhyāṃ	Palam praTama dvitIyayoH samyak prahANayoH aSeza vipakza hAniH, tAByAm
   yathāyogamutpannānutpannapāpakākuśaladharmaprahāṇāt / tṛtīyasya	yaTAyogam utpanna an utpanna pApakA kuSala Darma prahANAt / tRtIyasya
   pratipakṣapratilambhaḥ, tenānutpannakuśaladharmotpādanāt / caturthasya	pratipakza pratilamBaH, tena anutpanna kuSala Darma utpAdanAt / caturTasya
   pratipakṣavṛddhiḥ, tenotpannakuśaladharmavipulatāpādanāditi //	pratipakza vRdDiH, tena utpanna kuSala Darma vipula tA ApAdanAt iti //
   ṛddhipādālaṃbanaṃ niṣpannena samādhinā yatkaraṇīyamṛddhayādikaṃ kṛtyam //	RdDi pAda AlaMbanam nizpannena samADinA yat karaNIyam RdDayA Adikam kRtyam //
   chandasamādhiryat satkṛtyaprayogamāgamya spṛśati cittasyaikāgratāṃ tīvreṇa	Canda samADiH yat satkRtya prayogam Agamya spRSati cittasya ekAgra tAm tIvreNa
   chandena tīvreṇādareṇa prayogaḥ satkṛtyaprayoga iti kṛtvā /	Candena tIvreNa AdareNa prayogaH satkRtya prayogaH iti kRtvA /
   vīryasamādhiryatsātatyaprayogamāgamya spṛśati cittasyaikāgratām /	vIrya samADiH yat sAtatya prayogam Agamya spRSati cittasya ekAgra tAm /
   tadvīryamityucyate yannityaṃ prayujyata eva na kadācinna prayujyate /	tat vIryam iti ucyate yat nityam prayujyate eva na kadAcid na prayujyate /
   cittasamādhiryatpūrvajanmāntare	citta samADiH yat pUrva janma antare
   samādhibhāvanāmāgamyatatparipuṣṭabījatvāccittasya svarasena	samADi BAvanAm Agamya tad paripuzwa bIja tvAt cittasya svarasena
   samādhyanukūlapariṇāme sati spṛśati cittasyaikāgratām / api khalu	samADi anukUla pariNAme sati spRSati cittasya ekAgra tAm / api Kalu
   ṛddhipādābhinirhārayornidarśanārthameva samyakprahāṇabhāvanāyāṃ chandaṃ	RdDi pAda aBinirhArayoH nidarSana arTam eva samyak prahANa BAvanAyAm Candam
   janayatītyevamādinirdeśo veditavyaḥ / cittaṃ pradadhāti pragṛhṇātītyeṣā	janayati iti evamAdi nirdeSaH veditavyaH / cittam pradaDAti pragRhNAti iti ezA
   cātra pāṭhānupūrvī veditavyā / tatra cittasamādhiryaccitaṃ pradadhat	ca atra pAWA AnupUrvI veditavyA / tatra citta samADiH yat citam pradaDat 
   spṛśatīti pratyātmaṃ cittameva cittaṃ dhārayan	spRSati iti pratyAtmam cittam eva cittam DArayan
   śamayannabhisaṃkṣipannadhigacchatītyarthaḥ / mīmāṃsāsamādhiryaccitaṃ	Samayan= aBisaMkzipan= aDigacCati iti arTaH / mImAMsA samADiH yat citam
   pragṛhṇanniti dharmavipaśyanāmukhena cittamuttāpayatītyarthaḥ //	pragRhNan= iti Darma vipaSyanA muKena cittam uttApayati iti arTaH //
   bhāvanā chandādīnāmaṣṭānāṃ prahāṇasaṃskārāṇāmabhyāsaḥ / te punaraṣṭau	BAvanA Canda AdInAm azwAnAm prahANa saMskArANAm aByAsaH / te punar azwO
   prahāṇasaṃskārāścaturdhā kriyante / tadyathā	prahANa saMskArAH caturDA kriyante / tat yaTA
   vyāvasāyikaśchandavyāyāmaśraddhāḥ // tatra chando vyāyāmasyāśrayaḥ /	vyAvasAyikaH Canda vyAyAma SradDAH // tatra CandaH vyAyAmasya ASrayaH /
   chandasya punaḥ śraddhā nimittam / tathāhi yo yenārthī bhavati	Candasya punar SradDA nimittam / taTA hi yaH yena arTI Bavati
   tatprāptyartha vyāyacchate / arthitvaṃ ca nāntareṇa tadasti	tad prApti arTa vyAyacCate / arTi tvam ca na antareNa tat asti
   tvādyabhisaṃpratyamiti / anugrāhikaḥ prasrabdhiḥ, tayā	tvAdi aBisaMpratyam iti / anugrAhikaH prasrabDiH, tayA
   kāyacittānugrahakaraṇāt / aupanibandhikaḥ smṛtisaṃprajanye,	kAya citta anugraha karaNAt / OpanibanDikaH smRti saMprajanye,
   ālaṃbanāsaṃpramoṣeṇa cittasyaikāgrāvasthānāt, tatpramāde ca sati	AlaMbana asaMpramozeNa cittasya ekAgra avasTAna at, tad pramAde ca sati
   paricchedāt yathākramam / prātipakṣikaścetanopekṣe,	paricCedAt yaTAkramam / prAtipakzikaH cetanA upekze,
   cittapragrahapradhānābhisaṃskārābhyāmutpannalayauddhatyaparivarjanānnirupakleśaśamathādinimittānukaraṇācceti	citta pragraha praDAna aBisaMskArAByAm utpanna laya OdDatya parivarjanAt nirupakleSa SamaTa Adi nimitta anukaraNAt ca iti
   // (Abhidh s bh 88)	// (a aBiD s B 88)
   saṃkṣepanidānaṃ vipaśyanārahitasya kausīdyamukhena layaḥ /	saMkzepa nidAnam vipaSyanA rahitasya kOsIdya muKena layaH /
   vikṣepanidānamaśubhasaṃjñārahitasyauddhatyamukhena saṃpragrahaḥ /	vikzepa nidAnam aSuBa saMjQA rahitasya OdDatya muKena saMpragrahaH /
   saṃkṣepaḥ styānanimittamukhe nāntaḥsaṃkocaḥ / vikṣepaḥ	saMkzepaH styAna nimitta muKe na antar saMkocaH / vikzepaH
   śubhanimittānusāramukhena viṣayeṣu visāraḥ / ālīnatvānukūlā bhāvanā	SuBa nimitta anusAra muKena vizayezu visAraH / AlInatva anukUlA BAvanA
   pratyavekṣaṇānimittaṃ niśritya dharmavipaśyanā / avikṣepānukūlāśubhataḥ	pratyavekzaNa animittam niSritya Darma vipaSyanA / avikzepa anukUla aSuBataH
   keśādidravyapratyavekṣā / tadubhayānukūlālokasaṃjñā / etacca yathā	keSa Adi dravya pratyavekzA / tad uBaya anukUla Aloka saMjQA / etat ca yaTA
   kramamadhikṛtyoktaṃ bhagavatā   naca me chando 'tilīno bhaviṣyati,	kramam aDikRtya uktam BagavatA  na ca me CandaH ati lInaH Bavizyati,
   nātipragṛhītaḥ, nādhyātmaṃ saṃkṣiptaḥ na bahirdhā vikṣiptaḥ,	na ati pragRhItaH, na aDyAtmam saMkziptaH na bahirDA vikziptaH,
   paścātpūrvasaṃjñī bhaviṣyati ūrdhvamadhaḥsaṃjñī ca, vivṛtena	paScAt pUrva saMjQI Bavizyati UrDvam aDas saMjQI ca, vivRtena
   cetasāparyavanaddhena saprabhāsasahagataṃ cittaṃ bhāvayiṣyāmi na ca me	cetasA paryavanadDena sa praBAsa saha gatam cittam BAvayizyAmi na ca me
   'ndhakārāyattatvaṃ bhaviṣyati cetasa iti /	anDakAra Ayatta tvam Bavizyati cetasaH iti /
   phalaṃ yatheṣṭamṛddhayādiguṇaniṣpādanāt //	Palam yaTezwam RdDayA Adi guNa nizpAdanAt //
   indriyāṇāṃ catvāryāryasatyānyālaṃbanam,	indriyANAm catvAri Arya satyAni AlaMbanam,
   satyābhisamayaprayogasaṃgṛhītatvena tadākāratvāt // phalaṃ	satya aBisamaya prayoga saMgRhIta tvena tad AkAra tvAt // Palam
   tadādhipatyādacireṇa kālena darśanamārgasyotpādaḥ tasminneva ca kāle	tad ADipatyAt acireNa kAlena darSana mArgasya utpAdaH tasmin= eva ca kAle
   nirvedhabhāgīyabhajanaṃ ca saṃtānasya //	nirveDa BAgIya Bajanam ca saMtAnasya //
   balānāmālaṃbanādikamindriyaiḥ samānam // phale tu viśeṣaḥ / tathāhyeṣāṃ	balAnAm AlaMbana Adikam indriyEH samAnam // Pale tu viSezaH / taTA hi ezAm
   tacca yathoktam   āśradvyādivipakṣanirlekhaścādhika ityata evaiṣāṃ	tat ca yaToktam  ASradvyAdi vipakza nirleKaH ca aDike iti atas eva ezAm
   tulyānāmālaṃbanasvabhāvādikānāmapyanavamṛdyatārthaviśeṣeṇa	tulyAnAm AlaMbana svaBAva AdikAnAm api anavamRdyata arTa viSezeNa
   bodhipakṣāntaratvam //	boDi pakza antara tvam //
   bodhyaṅgānāmālaṃbanaṃ caturṇāmāryasatyānāṃ yathābhūtateti paramārtho	boDi aFgAnAm AlaMbanam caturNAm Arya satyAnAm yaTABUta tA iti parama arTaH 
   viśuddhayālaṃbanamityarthaḥ / svabhāvaḥ smṛtyādayaḥ sapta dharmāḥ / tatra	viSudDayA AlaMbanam iti arTaH / svaBAvaH smRti AdayaH sapta DarmAH / tatra
   smṛtiḥ (Abhidh s bh 89) saṃniśrayāṅgam, upasthitasmṛteḥ	smRtiH (a aBiD s B 89) saMniSraya aFgam, upasTita smRteH
   sarvakuśaladharmābhilapanāt / dharmavicayaḥ svabhāvāṅgam,	sarva kuSala Darma aBilapanAt / Darma vicayaH svaBAva aFgam,
   saṃbodhilakṣaṇatvāt / vīryaṃ niryāṇāṅgam, tena yāvadgamyaṃ gamanāt /	saMboDi lakzaNa tvAt / vIryam niryANa aFgam, tena yAvat gamyam gamanAt /
   prītiranuśaṃsāṅgam, tayā saṃtānaprīṇanāt / prasrabdhiḥ samādhirupekṣā	prItiH anuSaMsa aFgam, tayA saMtAna prINanAt / prasrabDiH samADiH upekzA
   cāsaṃkleśāṅgam / tatra prasrabdhyā na saṃkliśyate, tayā dauṣṭhulyasrāvaṇāt	ca asaMkleSa aFgam / tatra prasrabDyA na saMkliSyate, tayA dOzWulya srAvaNAt 
   / samādhau na saṃkliśyate, tatra sthitasyāśrayaparivartanāt /	/ samADO na saMkliSyate, tatra sTitasya ASraya parivartanAt /
   upekṣāsaṃkleśaḥ, abhidhyādaurmanasyāpagatākliṣṭāvasthāsvabhāvatvāt /	upekzA saMkleSaH, aBiDyA dOrmanasya apagata aklizwa avasTA svaBAva tvAt /
   bhāvanā smṛtisaṃbodhyaṅgaṃ bhāvayati vivekaniśritamityevamādirebhiḥ	BAvanA smRti saMboDi aFgam BAvayati viveka niSritam iti evam AdiH eBiH
   caturbhiḥ padairyathākramaṃ catuḥsatyālaṃbanā bodhyaṅgabhāvanā paridīpitā	caturBiH padEH yaTAkramam catur satya alaMbanA boDi aFga BAvanA paridIpitA
   / tathāhi duḥkhaṃ duḥkhata ālaṃbamānasya tadvivekānveṣaṇādduḥkhālaṃbanaṃ	/ taTA hi duHKam duHKataH AlaMbamAnasya tad viveka anvezaNAt duHKa AlaMbanam
   vivekaniśritamityucyate / tṛṣṇālakṣaṇaṃ duḥkhasamudayaṃ duḥkhasamudayata	viveka niSritam iti ucyate / tRzNA lakzaNam duHKa samudayam duHKa samudayata
   ālaṃbamānasya tadvirāgānveṣaṇāttadālaṃbanaṃ virāganiśritam /	AlaMbamAnasya tad virAga anvezaNAt tad AlaMbanam virAga niSritam /
   duḥkhanirodhaṃ duḥkhanirodhata ālaṃbamānasya	duHKa niroDam duHKa niroDataH AlaMbamAnasya
   tatsākṣātkaraṇānveṣaṇāttadālaṃbanaṃ nirodhaniśritam / duḥkhanirodhagāminī	tad sAkzAtkaraNa anvezaNAt tad AlaMbanam niroDa niSritam / duHKa niroDa gAminI
   pratipad vyavasarga ityucyate, tayā duḥkhavisarjanāt / tāṃ	pratipad vyavasargaH iti ucyate, tayA duHKa visarjanAt / tAm
   tathālaṃbamānasya tadbhāvanānveṣaṇāttadālaṃbanaṃ	taTA alaMbamAnasya tad BAvanA anvezaNAt tad AlaMbanam
   vyavasargapariṇatamityucyate / phalaṃ darśanaheyānāṃ kleśānāṃ prahāṇam,	vyavasarga pariNatam iti ucyate / Palam darSana heyAnAm kleSAnAm prahANam,
   bodhyaṅgānāṃ darśanamārgasvabhāvatvāt //	boDi aFgAnAm darSana mArga svaBAva tvAt //
   mārgāṅgānāmālaṃbanaṃ darśanamārgāduttarakālaṃ saiva yathādṛṣṭānāṃ satyānāṃ	mArga aFgAnAm AlaMbanam darSana mArgAt uttara kAlam sA eva yaTA dRzwAnAm satyAnAm
   yathābhūtatā / svabhāvaḥ samyagdṛṣṭayādayo 'ṣṭau dharmāḥ / tatra	yaTABUta tA / svaBAvaH samyak dRzwayA AdayaH azwO DarmAH / tatra
   samyagdṛṣṭiḥ paricchedāṅgam, tayā yathānubhavaṃ tattvāvadhāraṇāt /	samyak dRzwiH paricCeda aFgam, tayA yaTA anuBavam tattva avaDAraNAt /
   samyaksaṃkalpaḥ parasaṃprāpaṇāṅgam, tena yathādhigamaṃ vyavasthāpya	samyak saMkalpaH para saMprApaNa aFgam, tena yaTA aDigamam vyavasTApya
   vāksamutthāpanāt / samyagvākkarmāntājīvāḥ parasaṃpratyayāṅgam,	vAc samutTApanAt / samyak vAc karma anta AjIvAH para saMpratyaya aFgam,
   tairyathākramamadhigantuḥ paraidṛṣṭayādiviśuddhiniścayanāt / tatra	tEH yaTAkramam aDigantuH parEdRzwayA Adi viSudDi niScayanAt / tatra
   samyagvācādhigamānurūpapraśnavyākaraṇasāṃkathyaviniścayenāsya	samyak vAcA aDigama anurUpa praSna vyAkaraNa sAMkaTya viniScayena asya
   darśanaviśuddhirvijñāyate / samyakkarmāntenābhikramapratikramādiṣu	darSana viSudDiH vijQAyate / samyak karmAntena aBikrama pratikrama Adizu
   saṃpannacāritratayā śīlaviśuddhiḥ samyagājīvena yathānujñaṃ dharmeṇa	saMpanna cAritra tayA SIla viSudDiH samyak AjIvena yaTA anujQam DarmeNa
   cīvarādiparyeṣaṇādājīvaviśuddhiriti / samyagvyāyāmaḥ	cIvara Adi paryezaNAt AjIva viSudDiH iti / samyak vyAyAmaH
   kleśāvaraṇaviśodhanāṅgam, tenāśeṣa saṃyojanaprahāṇāt /	kleSa AvaraNa viSoDana aFgam, tena aSeza saMyojana prahANAt /
   samyaksmṛtirupakleśāvaraṇaviśodhanāṅgam, (Abhidh s bh 90) tayā	samyak smRtiH upakleSa AvaraNa viSoDana aFgam, (a aBiD s B 90) tayA
   samyakśamathādinimittāsaṃpramoṣeṇa layādyupakleśānavakāśāt /	samyak SamaTa Adi nimitta asaMpramozeNa laya Adi upakleSAnavakASAt /
   samyaksamādhirvaiśeṣikaguṇāvaraṇaviśodhanāṅgam,	samyak samADiH vESezika guNa AvaraNa viSoDana aFgam,
   tenābhijñādiguṇābhinirharaṇāt / bhāvanā bodhyaṅgavat, tadyathā	tena aBijQa Adi guNa aBinirharaNAt / BAvanA boDi aFgavat, tat yaTA
   samyagdṛṣṭiṃ bhāvayati vivekaniśritāmiti vistaraḥ / teṣāṃ ca padānāmarthaḥ	samyak dRzwim BAvayati viveka niSritAm iti vistaraH / tezAm ca padAnAm arTaH
   yathānirdiṣṭaṃ purastāttathānugantavyaḥ //	yaTA nirdizwam purastAt taTA anugantavyaH //
   pratipadāṃ dharmapadānāṃ ca pūrvavadarthanirdeśo veditavyaḥ dukhā	pratipadAm Darma padAnAm ca pUrvavat arTa nirdeSaH veditavyaH duKA
   pratipadanāgamyārūpyaniśritā yathākramaṃ śamathavipaśyanāmāndhāt / sukhā	pratipadana agamyA rUpya niSritA yaTAkramam SamaTa vipaSya nAmA anDAt / suKA
   dhyānaniśritā yuganaddhavāhitvāt dhandhābhijñā	DyAna niSritA yuga nadDa vAhi tvAt DanDA aBijQA
   dvayorapyanayorduḥkhasukhaniśrayayormṛdvindriyāṇām / kṣiprābhijñā tayoreva	dvayoH api anayoH duHKa suKa niSrayayoH mRd u indriyANAm / kzipra aBijQA tayoH eva
   tīkṣṇendriyāṇāmiti //	tIkzNa indriyANAm iti //
