   abhidharmadīpaḥ	aBiDarma dIpaH
   ca śubhato 'śubhaṃ cāśubhataḥ, guṇāśca guṇataḥ doṣāśca doṣataḥ parigṛhītaḥ	ca SuBataH aSuBam ca aSuBataH, guNAH ca guNataH dozAH ca dozataH parigRhItaH
   | tatphalaṃ ceṣṭamiṣṭataḥ parigṛhītamaniṣṭaṃ cāniṣṭataḥ | iti siddhaṃ	| tad Palam cezwam izwataH parigRhItam anizwam ca anizwataH | iti sidDam
   dvayaṃ pariniṣpannaṃ tṛtīyaṃ tūpacārata iti |	dvayam parinizpannam tRtIyam tu upacArate iti |
   yuktaṃ tāvadidam | yadidaṃ pratyuktaṃ vastuhetupratyayātpratītyotpannaṃ	yuktam tAvat idam | yat idam pratyuktam vastu hetu pratyayAt pratItya utpannam
   paramārthato vidyate pratyātmavedanīyatvāt, tadālambanāśca rāgādayaḥ	paramArTataH vidyate pratyAtma vedanIya tva at, tad AlambanAH ca rAga AdayaH
   dravyataḥ santīti | yatpunaridamuktamatītānāgate vastuni	dravyataH santi iti | yat punar idam uktam atIta anAgate vastuni
   traiyadhvikairanuśayaiḥ saṃyukta iti tadetatsāhasamāhopuruṣikamātram | kaḥ	trEyaDvikEH anuSayEH saMyuktaH iti tat etad sAha sam Ahopuruzika mAtram | kaH
   punaretadatītānāgatādi dravyato 'bhivāñcchatītyāhābhidhārmikāḥ ||	punar etat atIta anAgata Adi dravyataH aBivAQcCati iti Aha aBiDArmikAH ||
   (Jaini_257)	(JEni_257)
   catvāraḥ khalviha pravacane vādinaḥ | katame catvāraḥ ? tadapadiśyate 	catvAraH Kalu iha pravacane vAdinaH | katame catvAraH ? tad apadiSyate 
   sarvamasti pradeśo 'sti sarvaṃ nāstīti cāparaḥ /	sarvam asti pradeSaH asti sarvam na asti iti ca aparaH /
   avyākṛtāstivādīti catvāro vādinaḥ smṛtāḥ // Abhidh d_299 //	avyAkRtA aH tivAdI iti catvAraH vAdinaH smRtAH // ABiD t _299 //
   tatra sarvāstivādasyādhvatrayamasti sa dhruvatrayamiti | vibhajyavādinastu	tatra sarva astivAdasya aDva trayam asti sa Druva trayam iti | viBajya vAdinaH tu
   dārṣṭāntikasya ca pradeśo vartamānādhvasaṃjñakaḥ | vaitulikasya	dArzwa antikasya ca pradeSaH vartamAna aDva saMjQakaH | vEtulikasya
   ayogaśūnyatāvādinaḥ (Jaini_258) sarvaṃ nāstīti | paudgalikasyāpi	ayoga SUnyatA vAdinaH (JEni_258) sarvam na asti iti | pOdgalikasya api
   avyākṛtavastuvādinaḥ pudgalo 'pi dravyato 'stīti |	avyAkRta vastuvAdinaH pudgalaH api dravyataH asti iti |
   atra punaḥ	atra punar 
   ebhyo yaḥ prathamo vādī bhajate sādhutāmasau /	eByaH yaH praTamaH vAdI Bajate sADu tAm asO /
   tarkābhimāninastvanyeyuktyāgamabahiṣkṛtāḥ // Abhidh d_300 //	tarka aBimAninaH tu anyeyukti Agama bahizkRtAH // ABiD t _300 //
   yaḥ khalveṣa prathamo vādī sarvāstivādākhyaḥ, eṣa khalu	yaH Kalu eza praTamaH vAdI sarva astivAda AKyaH, eza Kalu
   yuktyāgamopapannābhidhāyitvātsadvādī | tadanye bādino	yukti Agama upapanna aBiDAyi tvAt sadvAdI | tad anye bAdinaH 
   dārṣṭāntikavaitulikapaudgalikāḥ na yuktyāgamābhidhāyinaḥ,	dArzwa antika vEtulika pOdgalikAH na yukti Agama aBiDAyinaH,
   tarkābhimāninaste | mithyāvāditvādete lokāyatikavaināśikanagnāṭapakṣe	tarka aBimAninaH te | miTyAvAdi tvAt ete lokAyatika vEnASika nagna Awa pakze
   (Jaini_259) prakṣeptavyāḥ | ityataśca sarvaṃ sarvagatamupadarśayiṣyāmīti	(JEni_259) prakzeptavyAH | iti atas ca sarvam sarva gatam upadarSayizyAmi iti
   kaḥ punarayaṃ sarvāstivādī sādhutāṃ bhajate ? tadidamavadyotyate | eṣa	kaH punar ayam sarva astivAdI sADu tAm Bajate ? tat idam avadyotyate | eza
   khalu vādī	Kalu vAdI
   icchatyadhvatrayaṃ yasmāt kṛtyataśca dhruvatrayam /	icCati aDva trayam yasmAt kRtyataH ca Druva trayam /
   sarvāstivāda ityuktastasmādādyaścaturvidhaḥ // Abhidh d_301 //	sarva astivAdaH iti uktaH tasmAt AdyaH caturviDaH // ABiD t _301 //
   khalveṣa sarvāstivādaścaturdhā bhedaṃ pratipannaḥ | katham ? tadārabhyate 	Kalu eza sarva astivAdaH caturDA Bedam pratipannaH | kaTam ? tadA AraByate 
   bhāvāṅkānyathikākhyau dvāvavasthānyathiko paraḥ /	BAva aFkAni aTikA AKyO dvO= avasTAnyaTikaH paraH /
   anyathānyathikaścānyaḥ, tṛtīyo yuktivādyataḥ // Abhidh d_302 //	anyaTA anyaTikaH ca anyaH, tRtIyaH yukti vAdyataH // ABiD t _302 //
   tatra bhāvānyathiko bhadantadharmatrātaḥ | sa hyevamāha  dharmasyādhvasu	tatra BAvAni aTikaH Badanta Darma trAtaH | sa hi evam Aha Darmasya aDvasu
   pravartamānasyānāgatādibhāvamātramanyathā bhavati | na dravyānyathātvam |	pravartamAnasya anAgata Adi BAva mAtram anyaTA Bavati | na dravyAnyaTAtvam |
   yathā suvarṇasya kaṭakādisaṃsthānāntareṇa kriyamāṇasya pūrvasaṃsthānanāśe	yaTA suvarNasya kawaka Adi saMsTAna antareNa kriyamANasya pUrva saMsTAna nASe
   suvarṇanāśaḥ | kṣīrasya vā dadhitvena pariṇamato yathā	suvarNa nASaH | kzIrasya vA daDi tvena pariNamataH yaTA
   rasavīryavipākaparityāgo na varṇasyeti | tadeṣa	rasa vIrya vipAka parityAgaH na varNasya iti | tat eza
   vārṣagaṇyapakṣabhajamānatvāttadvargya eva draṣṭavyaḥ | yasmāt eṣo	vArzagaNya pakza BajamAna tvAt tad vargyaH eva drazwavyaH | yasmAt ezaH 
   'vasthitasya dravyasya jātilakṣaṇasya samudāyarūpasya	avasTitasya dravyasya jAti lakzaNasya samudAya rUpasya
   vānyathānyathāvasthānalakṣaṇaṃ pariṇāmamicchati |	vA anyaTA anyaTA avasTAna lakzaNam pariNAmam icCati |
   lakṣaṇānyathiko bhadantaghoṣaka iha paśyatyatīto dharmo 'tītalakṣaṇena	lakzaNAni aTikaH BadantaGozakaH iha paSyati atItaH DarmaH atIta lakzaNena
   yukto 'nāgatapratyutpannalakṣaṇābhyāmaviyuktaḥ,	yuktaH anAgata pratyutpanna lakzaNAByAm aviyuktaH,
   evamanāgatapratyutpannāvapi | yathā puruṣaḥ (Jaini_260) ekasyāṃ striyāṃ	evam anAgata pratyutpannO= api | yaTA puruzaH (JEni_260) ekasyAm striyAm
   rakto 'nyāsvaviraktaḥ | tadasyāpyadhvasaṃkaro bhavatyekasya dharmasya	raktaH anyAsu aviraktaH | tat asya api aDvasaMkaraH Bavati ekasya Darmasya
   trilakṣaṇayogābhyupagamāt | eṣo 'pi puruṣakāraṇi(?)vāgurāyāṃ	tri lakzaNa yoga aByupagamAt | ezaH api puruzakAraNi(?)vAgurAyAm
   praveśayitavyaḥ |	praveSayitavyaH |
   avasthānyathiko bhadantavasumitraḥ | sa khalvāha  dharmo 'dhvasu	avasTAni aTikaH BadantavasumitraH | sa Kalu Aha DarmaH aDvasu
   pravartamāno 'vasthāmavasthāṃ prāpyānyathānyathāstīti nirdiśyate |	pravartamAnaH avasTAm avasTAm prApya anyaTA anyaTA asti iti nirdiSyate |
   avasthāntaraviśeṣavikārātsvabhāvāparityāgācca | yathā	avasTA antara viSeza vikArAt svaBAva aparityAgAt ca | yaTA
   nikṣepavartikaikāṅkavinyastaiketyucyate, saiva śatāṅke śataṃ sahasrāṅke	nikzepa vartikA eka aFka vinyasta ekA iti ucyate, sA eva SatAFke Satam sahasra aFke
   sahasramiti |	sahasram iti |
   anyathānyathiko bhadantabuddhadevaḥ | sa brūte | dharmo 'dhvasu	anyaTA anyaTikaH Badanta budDadevaH | sa brUte | DarmaH aDvasu
   pravartamānaḥ pūrvāparamavekṣyānyathā cānyathā cocyate | naivāsya	pravartamAnaH pUrva aparam avekzya anyaTA ca anyaTA ca ucyate | na eva asya
   bhāvānyathātvaṃ bhavati dravyānyathātvaṃ vā | athaikā strī	BAvAn yaTAtvam Bavati dravyAnyaTAtvam vA | aTa ekA strI
   pūrvāparamapekṣya mātā cocyate duhitā ca | tadvaddharmo	pUrva aparam apekzya mAtA ca ucyate duhitA ca | tadvat DarmaH 
   'nāgatapratyutpannamapekṣyātīta ityucyate | tathetaro	anAgata pratyutpannam apekzya atItaH iti ucyate | taTA itaraH 
   'pītaradvayamapekṣyeti |	api itara dvayam apekzya iti |
   asyāpyekasyātītasyādhvanaḥ	asya api ekasya atItasya aDvanaH
   pūrvottarakṣaṇadvayamapekṣyādhvatritvāpattidoṣaprasaṅgaḥ |	pUrva uttara kzaNa dvayam apekzya aDva tri tva Apatti doza prasaFgaH |
   tadebhyaścaturbhyaḥ sarvāstivādebhyastṛtīyaḥ sthaviravasumitraḥ	tad eByaH caturByaH sarva astivAdeByaH tRtIyaH sTavirava sumitraH
   pañcaviṃśatitattvanirāsī paramāṇusaṃcayavādonmāthīca | ityato 'sāveva	paQcaviMSati tattva nirAsI paramANu saMcaya vAda unmATI ca | iti atas asO= eva
   yuktyāgamānusāritvādāptaḥ prāmāṇika ityadhyavaseyam |	yukti Agama anusAri tvAt AptaH prAmANikaH iti aDyavaseyam |
   bhadantabuddhadevo 'pi tīrthyapakṣyabhajamānatvānna parigṛhyate |	Badanta budDadevaH api tIrTya pakzya BajamAna tvAt na parigRhyate |
   bhadantaghoṣako 'pyadhvasaṃkaravāditvādekaikasyādhvano	BadantaGozakaH api aDva saMkara vAdi tvAt ekEkasya aDvano
   'dhvatrayalakṣaṇabhāgbhavati |	aDva traya lakzaNa BAj Bavati |
   (Jaini_261)	(JEni_261)
   ityatastṛtīya evāpadoṣaḥ | yasmāt 	iti atas tRtIyaH eva apadozaH | yasmAt  
   kāritreṇādhvanāmepa vyavasthāmabhivāñchati /	kAritreNa aDvanAm epa vyavasTAm aBivAQCati /
   tatkurvanvartamāno 'dhvā kṛte 'tīto 'kṛte paraḥ // Abhidh d_303 //	tat kurvan vartamAnaH aDvA kRte atItaH akRte paraH // ABiD t _303 //
   ye khalu bhagavatoktāḥ svabhāvasiddhāstraiyādhvikā dharmā	ye Kalu BagavatA uktAH svaBAva sidDAstrEyADvikA DarmA
   atītānāgatapratyutpannāsteṣāmayamācāryaḥ	atIta anAgata pratyutpannAH tezAm ayam AcAryaH
   kriyādvāreṇāvasthābhedamicchatyajahatsvarūpo	kriyA dvAreNa avasTA Bedam icCati ajahat svarUpaH 
   hetusāmagrīsannidhānaprabodhitaśaktiḥ | kriyāvān hi saṃskāro vartamāna	hetu sAmagrI sanniDAna praboDita SaktiH | kriyAvAn hi saMskAraH vartamAna
   ityucyate | sa eva tyaktakriyo 'tīto 'nupāttakriyo 'nāgataḥ | ityevaṃ ca	iti ucyate | saH eva tyakta kriyaH atItaH anupAtta kriyaH anAgataH | iti evam ca
   sati kālatrayasyaikādhikaraṇyamekādhiṣṭhānavyāpāraparicchedyatvaṃ	sati kAla trayasya eka aDikaraNyam eka aDizWAna vyApAra paricCedya tvam
   copapannam | anyathaikadravyajātinimittābhāve vaiyadhikaraṇye sati	ca upapannam | anyaTA eka dravya jAti nimitta aBAve vEyaDikaraNye sati
   kālatrayasaṃbandhābhāvaḥ prāpnuyāditi |	kAla traya saMbanDa aBAvaH prApnuyAt iti |
   atrāha codakaḥ  na, atītānāgatasyārthasya prajñaptyā vyapadeśasiddheḥ |	atra Aha ca udakaH na, atIta anAgatasya arTasya prajQaptyA vyapadeSa sidDeH |
   na, paramārthadravyābhāve niradhiṣṭhānaprajñaptivyapadeśānupapatteḥ |	na, parama arTa dravya aBAve niraDizWAna prajQapti vyapadeSa anupapatteH |
   vartamānāpekṣyastadvyapadeśa iti cet | na |	vartamAna apekzyaH tad vyapadeSaH iti ced | na |
   vartamānasvarūpasthitiśaktikriyābhāve sattvānupapatteḥ,	vartamAna svarUpa sTiti Sakti kriyA aBAve sattva anupapatteH,
   sadasatorapekṣāsaṃbandhābhāvācca | sattvalakṣaṇamidānīmeva dyotyate	sat asatoH apekzA saMbanDa aBAvAt ca | sattva lakzaNam idAnIm eva dyotyate
   atītādīnāṃ padārthānām 	atIta AdInAm padArTAnAm  
   (Jaini_262)	(JEni_262)
   buddhyā yasyekṣyate cihnaṃ tatsaṃjñeyaṃ caturvidham /	budDyA yasya Ikzyate cihnam tat saMjQA iyam caturviDam /
   paramārthena saṃvṛtyā dvayenāpekṣayāpi ca // Abhidh d_304 //	parama arTena saMvRtyA dvayena apekzayA api ca // ABiD t _304 //
   yasya khalvarthavastunaḥ svabhāvasiddhasvarūpasyāviparītākārayā	yasya Kalu arTa vastunaH svaBAva sidDa svarUpasya aviparIta AkArayA
   dharmopalakṣaṇayā paricchinnaṃ lakṣaṇamupalakṣyate tatsaddravyamityucyate	Darma upalakzaNayA paricCinnam lakzaNam upalakzyate tat sat dravyam iti ucyate
   | tatpunaḥ sat pratibhidyamānaṃ caturvidhaṃ bhavati |	| tat punar sat pratiBidyamAnam caturviDam Bavati |
   (Jaini_263)	(JEni_263)
   paramārthena yannityaṃ svabhāvena saṃgṛhītaṃ na kadācitsvamātmānaṃ jahāti,	parama arTena yat nityam svaBAvena saMgRhItam na kadAcid svam AtmAnam jahAti,
   viśiṣṭajñānābhidhānāpauruṣeyaviṣayisaṃbandhaṃ tatparamārthasadityucyate |	viSizwa jQAna aBiDAna apOruzeya vizayi saMbanDam tat paramArTa sat iti ucyate |
   yatpunaranekaparamārthasatyapṛṣṭhena byavahārārthaṃ prajñaptirūpatayā	yat punar aneka parama arTa satya pRzWena byavahAra arTam prajQapti rUpa tayA
   nirdiśyate tatsaṃvṛtisat | tadyathā dhaṭapaṭavanapugdalādikam |	nirdiSyate tad saMvRti sat | tat yaTA Dawa pawa vana pugdala Adikam |
   kiñcidubhayathā | tadyathā pṛthivyādi | kiñcitsattvā pekṣayā	kiQcid uBayaTA | tat yaTA pRTivI Adi | kiQcid sattvA pekzayA
   pitṛputraguruśiṣyakartṛkriyādi ||	pitR putra guru Sizya kartR kriyA Adi ||
   atha yadidamuktaṃ dravyasanto 'tītānāgatādhvasthā dharmā iti	aTa yat idam uktam dravya santaH atIta anAgata aDva sTAH DarmAH iti
   tadāgamayuktyanabhidhānādabhidhānamātram | tasmādāgamayuktibhyāmupapādyo	tad Agama yukti anaBiDAnAt aBiDAna mAtram | tasmAt Agama yuktiByAm upapAdyaH 
   'yamartha ityata idaṃ pratijñāyate 	ayam arTaH iti atas idam pratijQAyate 
   (Jaini_264)	(JEni_264)
   sadatītāsamutpannaṃ buddhoktervartamānavat /	sat atIta asamutpannam budDa ukteH vartamAna vat /
   dhīnāmagocaratvacca tatsattvaṃ vartamānavat // Abhidh d_305 //	DInAm agocara tvat ca tat sattvam vartamAna vat // ABiD t _305 //
   uktaṃ hi bhagavatā  "asti bhikṣavo 'tītaṃ rūpaṃ nocedatītaṃ rūpaṃ	uktam hi BagavatA "asti BikzavaH atItam rUpam noced atItam rUpam
   abhaviṣyanneme sattvā atīte rūpe samarañjyantaḥ | yasmāttarhyastyatītaṃ	aBavizyan= eme sattvAH atIte rUpe samaraQjyantaH | yasmAt tarhi asti atItam
   rūpaṃ tasmādime sattvā atīte rūpe saṃrañjyante |" evamanāgatapratyutpannaṃ	rUpam tasmAt ime sattvAH atIte rUpe saMraQjyante |" evam anAgata pratyutpannam
   ceti vācyam | vibhaktipratirūpako 'yaṃ nipāta iti cet | na | vartamāne 'pi	ca iti vAcyam | viBakti pratirUpakaH ayam nipAtaH iti ced | na | vartamAne api
   tatprasaṅgāt | kriyāvacanena cottarapadena pūrvasya kriyāvacanasyaiva	tad prasaFgAt | kriyA vacanena ca uttara padena pUrvasya kriyA vacanasya eva
   padasya sāmānādhikaraṇyāt |	padasya sAmAnADikaraNyAt |
   (Jaini_265)	(JEni_265)
   punaścoktaṃ bhagavatā  "rūpamanityamatītānāgatam, kaḥ punarvādaḥ	punar ca uktam BagavatA "rUpam anityam atIta anAgatam, kaH punar vAdaH
   pratyutpannasya ? evaṃdarśī śrutavānāryaśrāvako 'tīte rūpe 'napekṣo	pratyutpannasya ? evaMdarSI SrutavAn Arya SrAvakaH atIte rUpe anapekzaH 
   bhavatyanāgataṃ rūpaṃ nābhinandati | pratyutpannasya rūpasya nirvide	Bavati anAgatam rUpam na aBinandati | pratyutpannasya rUpasya nirvide
   virāgāya nirodhāya pratipanno bhavati | atītaṃ cedrūpaṃ nābhaviṣyanna	virAgAya niroDAya pratipannaH Bavati | atItam ced rUpam na aBavizyat na
   śrutavānāryaśrāvako 'tīte rūpe 'napekṣo 'bhaviṣyat; yasmāttarhyastyatītaṃ	SrutavAn Arya SrAvakaH atIte rUpe anapekzaH aBavizyat; yasmAt tarhi asti atItam
   rūpaṃ tasmācchrutavānāryaśrāvakaḥ atīte rūpe 'napekṣo bhavati" iti	rUpam tasmAt SrutavAn Arya SrAvakaH atIte rUpe anapekzaH Bavati" iti
   vistaraḥ |	vistaraH |
   tathoktam  yacchāriputra karmābhyatītaṃ kṣīṇaṃniruddhaṃ vigataṃ	taTA uktam yat SAriputra karma aByatItam kzINaMnirudDam vigatam
   vipariṇataṃ tadastīti | taccet karma śāriputra	vipariNatam tat asti iti | tat ced karma SAriputra
   nābhaviṣyannehaikatīyastaddhetoḥ tatpratyayādapāya durgativinipātaṃ	na aBavizyat na iha ekatIyaH tad hetoH tad pratyayAt apAya durgati vinipAtam
   kāyasya bhedānnarakeṣūpapatsyate" iti vistaraḥ | (Jaini_266)	kAyasya BedAt narakezu upapatsyate" iti vistaraH | (JEni_266)
   tadāhitacittabhāvanāṃ sandhāya vacanādadoṣa iti cet | na | uktottaratvāt |	tadA ahita citta BAvanAm sanDAya vacanAt adozaH iti ced | na | ukta uttara tvAt |
   uktottaro hyeṣa vādaḥ | kiṃ tilapīḍakavatpunarāvartase ?	ukta uttaraH hi eza vAdaH | kim tila pIxaka vat punar Avartase ?
   kiñca, bhāvanābhāvyamānacittayoḥ svarūpaśaktikriyānupapatteḥ	kiQca, BAvanA BAvyamAna cittayoH svarUpa Sakti kriyA anupapatteH
   puṣṭavāsitatailavat, anyānanyatvādivakṣyamāṇadoṣācca |	puzwa vAsita tElavat, anya ananya tva Adi vakzyamANa dozAt ca |
   paramārthaśūnyatāsūtrādasaditi cet | na | tadarthāparijñānāt | tata	parama arTa SUnyatA sUtrAt asat iti ced | na | tad arTa aparijQAnAt | tata
   evānāgatādyastitvasiddheśca | tatraitat syāt  paramārthaśūnyatā sūtre	eva anAgatAdyastitva sidDeH ca | tatra etat syAt parama arTa SUnyatA sUtre
   bhagavatā (Jaini_267) vispaṣṭamanāgatādināstitvaṃ pradarśitam | tatra	BagavatA (JEni_267) vispazwam anAgata AdinA astitvam pradarSitam | tatra
   hyaktam  "cakṣurūtpadyamānaṃ na kutaścidāgacchati, nirudhyamānaṃ na	hi aktam "cakzuru utpadyamAnam na kutaScid AgacCati, niruDyamAnam na
   kvacitsaṃnicayaṃ gacchati" iti vistaraḥ | atītānāgatasadbhāve	kvacid saMnicayam gacCati" iti vistaraH | atIta anAgata sadBAve
   cāgatigatidoṣābhyupagamaḥ prāpnotīti |	ca Agati gati doza aByupagamaH prApnoti iti |
   etacca na | kutaḥ ? sūtrārthāparijñānāt | ata evānāgatādyastitvasiddheśca	etat ca na | kutas ? sUtra arTa aparijQAnAt | atas eva anAgatAdyastitva sidDeH ca
   sūtrasya tāvadayamarthaḥ | yaduktam  "cakṣurutpadyamānaṃ na	sUtrasya tAvat ayam arTaH | yat uktam "cakzuH utpadyamAnam na
   kutaścidāgacchati, nirudhyamānaṃ na kvacitsaṃnicayaṃ gacchati" iti	kutaScid AgacCati, niruDyamAnam na kvacid saMnicayam gacCati" iti
   tadvedoktavādavidhipratiṣedhārthaṃ sāṃkhyamatavyudāsārthaṃ ca |	tad veda ukta vAda viDi pratizeDa arTam sAMKya mata vyudAsa arTam ca |
   vede hyaktam  "pañcatvamāpadyamānasya cakṣurādityādāgataṃ punastatraiva	vede hi aktam "paQcatvam ApadyamAnasya cakzuH AdityAt Agatam punar tatra eva
   prativigacchati | śrotramākāśam | ghrāṇaṃ pṛthivīm | jihvā āpaḥ | kāyo	prativigacCati | Srotram AkASam | GrANam pRTivIm | jihvA ApaH | kAyaH 
   vāyum | manaḥ salilaṃ somamityarthaḥ |" tatpratiṣedhārthaṃ bhagavānavocat 	vAyum | manaH salilam somam iti arTaH |" tad pratizeDa arTam BagavAn avocat 
   "cakṣurutpadyamānaṃ na kutaścidāgacchati" iti vistaraḥ |	"cakzuH utpadyamAnam na kutaScid AgacCati" iti vistaraH |
   (Jaini_268)	(JEni_268)
   sāṃkhyāḥ khalvapyācakṣate  "cakṣuṣpradhānādāgacchati tatraiva ca	sAMKyAH Kalu api Acakzate "cakzuzpraDAnAt AgacCati tatra eva ca
   punarvigacchati" iti | tannirāsārtha ca bhagavānavocat 	punar vigacCati" iti | tad nirAsa arTa ca BagavAn avocat 
   "cakṣarutpadyamānaṃ na kutaścidāgacchati |" adeśapradeśasthāḥ	"cakzarutpadyamAnam na kutaScid AgacCati |" adeSa pradeSa sTAH
   khalvanāgatātītaparamāṇvavijñaptisaṃjñitā dharmāḥ iti	Kalu ana Agata atIta paramANu avijQapti saMjQitAH DarmAH iti
   tadāgamanagamanānupapattiḥ |	tad Agamana gamana anupapattiH |
   kastarhi vākyārtha |  "abhūtvā bhavati | bhūtvā ca prativigacchati" iti ?	kaH tarhi vAkya arTa | "aBUtvA Bavati | BUtvA ca prativigacCati" iti ?
   dvividhaṃ hi cakṣurdravyasadeva paramārthasato yadaprabuddhamubhayam(?) |	dviviDam hi cakzuH dravya sat eva parama arTa sataH yat aprabudDam uBayam(?) |
   anyatprabuddhamanu(  ddhamu ?)pāttakriyam | pūrvaṃ taddhetūnpratītya	anyat prabudDam anu( dDamu ?)pAtta kriyam | pUrvam tad hetUn pratItya
   kriyāmupādatte prabudhyata ityarthaḥ | upāttakriyaṃ ca dvitīyam | taddhi	kriyAm upAdatte prabuDyate iti arTaH | upAtta kriyam ca dvitIyam | tat hi
   kriyāmujjhatprativigacchatītyuktaṃ bhavati |	kriyAm ujJat prativigacCati iti uktam Bavati |
   sāṃkhyamataniṣedhārthaṃ vā | sāṃkhyānāṃ khalvekaṃ kāraṇaṃ nityaṃ svāṃ	sAMKya m ata nizeDa arTam vA | sAMKyAnAm Kalu ekam kAraNam nityam svAm
   jātimajahattena tena vikāraviśeṣātmanā bhūtvā bhūtvānyenānyena	jAtim ajahattena tena vikAra viSeza AtmanA BUtvA BUtvA anyena anyena
   kāryaviśeṣātmanā pariṇamatīti | tatpratiṣedhārthaṃ bhagavānavocat 	kArya viSeza AtmanA pariNamati iti | tad pratizeDa arTam BagavAn avocat 
   "cakṣurutpadyamānaṃ na kutaścidāgacchati nirudhyamānaṃ na kvacitsaṃnicayaṃ	"cakzuH utpadyamAnam na kutaScid AgacCati niruDyamAnam na kvacid saMnicayam
   gacchati" iti | cakṣurabhūtvā vartamāne 'dhvani kṣaṇamātraṃ	gacCati" iti | cakzuH aBUtvA vartamAne aDvani kzaNa mAtram
   kriyārūpamādaya tyaktvā punaradarśanaṃ gacchati |	kriyA rUpam Adaya tyaktvA punar adarSanam gacCati |
   kiñcānyat, ata evānāgatāstitvasiddheḥ | yaduktamasminneva sūtre	kiQca anyat, atas eva anAgata astitva sidDeH | yat uktam asmin= eva sUtre
   cakṣurutpadyamānaṃ na kutaścidāgacchati" ityatraitadādarśitam | sadidaṃ	cakzuH utpadyamAnam na kutaScid AgacCati" iti atra etat AdarSitam | sat idam
   cakṣurantaraṅgabahiraṅgakāraṇasāmagrīsannidhānopādhivaśena	cakzuH antaraFga bahis aFga kAraNa sAmagrI sanniDAna upADi vaSena
   kriyāmupādadānaṃ na kutaścidāgacchati | kutaḥ punastatsattvamiti cet |	kriyAm upAdadAnam na kutaScid AgacCati | kutas punar tat sattvam iti ced |
   mukhyasattāviṣṭe kartari śānacovidhānānnirudhyamānavaditi | tasmād	muKya satta Avizwe kartari SAna caH viDAnAt niruDyamAna vat iti | tasmAt 
   durvihitavetāḍotthānavat sautrāntikaiḥ svapakṣopaghātāya	durvihita vetAxa utTAna vat sOtra antikEH sva pakza upaGAtAya
   sūtrametadāśrīyate |	sUtram etat ASrIyate |
   evaṃ tāvadāgamātsiddhamadhvatrayāstitvam |	evam tAvat AgamAt sidDam aDu atraya astitvam |
   yuktito 'pi  'dhīnāmagocaratvācca tatsattvaṃ vartamānavat |'; tadākārayā	yuktitaH api aDInAm agocara tvAt ca tat sattvam vartamAna vat | a; tad AkArayA
   khalu buddhyā yasyārthasya svasāmānyalakṣaṇaṃ paricchidyate, yaśca	Kalu budDyA yasya arTasya sva sAmAnya lakzaNam paricCidyate, yaH ca
   buddhoktanāmakāyadharmakāyābhyāmabhidyotyate sa paramārthato vidyate |	budDa ukta nAma kAya Darma kAyAByAm aBidyotyate sa paramArTataH vidyate |
   katham ? vartamānacakṣūrūpādivat | jñānajñeyābhidhānābhidheyasaṃbandhaḥ	kaTam ? vartamAna cakzu UrUpa Adi vat | jQAna jQeya aBiDAna aBiDeya saMbanDaH
   khalvakṛtakaiti śiṣṭāḥ pratipadyante ||	Kalva kRta ka eti SizwAH pratipadyante ||
   asadālambanāpi buddhirastīti cet | atrāpadiśyate 	asat AlambanA api budDiH asti iti ced | atra apadiSyate 
   (Jaini_269)	(JEni_269)
   nāsadālambanā buddhirāgamādupapattitaḥ /	nAsat AlambanA budDiH AgamAt upapattitaH /
   āgamastāvat  "cakṣuḥ pratītya rūpaṃ cotpadyate cakṣurvijñānaṃ yāvanmanaḥ	AgamaH tAvat "cakzuH pratItya rUpam ca utpadyate cakzuH vijQAnam yAvat manaH
   pratītya dharmāṃścotpadyate manovijñānam | etāvaccaitatsarvamasti"	pratItya DarmAn= ca utpadyate manaH vijQAnam | etAvat ca etat sarvam asti"
   ityuktaṃ bhagavatā | tatra manovijñānaṃ	iti uktam BagavatA | tatra manaH vijQAnam
   traiyadhvikāsaṃskṛtadharmaviṣayāyama, pañcavijñānakāyāḥ	trEyaDvikA saMskRta Darma vizaya ayama, paQca vijQAna kAyAH
   pratyutpannapañcaviṣayālambanāḥ | na tu kvacidasadālambanamuktaṃ nāpi	pratyutpanna paQca vizaya AlambanAH | na tu kvacid asat Alambanam uktam na api
   tadastīti tadviṣayabuddhyabhāvaḥ |	tat asti iti tad vizaya budDi aBAvaH |
   tathoktam  "yaduta loke nāsti tadahaṃ drakṣyāmi" iti vistaraḥ |	taTA uktam "yat uta loke na asti tat aham drakzyAmi" iti vistaraH |
   (Jaini_270)	(JEni_270)
   tathā  "trayāṇāṃ sannipātaḥ sparśaḥ | sahajātā vedanā" iti vistaraḥ |	taTA "trayANAm sannipAtaH sparSaH | saha jAtAH vedanA" iti vistaraH |
   etenābhidhānābhidheyasaṃbandhaḥ pratyuktaḥ | tadevaṃ sati sūtre	etena aBiDAna aBiDeya saMbanDaH pratyuktaH | tat evam sati sUtre
   'sminmadhyamāpratipatpradarśitā | yaduta  kenacitprakāreṇa śūnyāḥ	asmin maDyama apratipad pradarSitAH | yat uta kenacid prakAreNa SUnyAH
   saṃskārāḥ mithyāparikalpitena puruṣālayavijñānābhūtaparikalpādinā |	saMskArAH miTyA parikalpitena puruza Alaya vijQAna aBUta parikalpa AdinA |
