   Śaṃkara: Upadeśasāhasrī	ŚaMkara: Upa-deSa-sAhasrI
   vinā svasya prasiddhis tu nājñaṃ praty upayujyate // SamUpad_I,18.134 //	vinA svasya prasidDiH tu na-ajQam prati upayujyate // SamUpat-_I,18.134 //
   tasyaivājñatvam iṣṭaṃ cej jñātatve 'nyā mitir bhavet /	tasya-eva-ajQa-tvam izwam ced jQAta-tve anyA mitiH Bavet /
   anyasyaivājñatāyāṃ ca tadvijñāne dhruvā bhavet // SamUpad_I,18.135 //	anyasya-eva-ajQa-tAyAm ca tad-vijQAne DruvA Bavet // SamUpat-_I,18.135 //
   jñātatā svātmalābho vā siddhiḥ syād anyad eva vā /	jQAta-tA sva-Atma-lABaH vA sidDiH syAt anyat eva vA /
   jñātatve 'nantaroktau tvaṃ pakṣau saṃsmartum arhasi // SamUpad_I,18.136 //	jQAta-tve anantara-uktO tvam pakzO saMsmartum arhasi // SamUpat-_I,18.136 //
   siddhiḥ syāt svātmalābhaś ced yatnas tatra nirarthakaḥ /	sidDiH syAt sva-Atma-lABaH ced yatnaH tatra nirarTakaH /
   sarvalokaprasiddhatvāt svahetubhyas tu vastunaḥ // SamUpad_I,18.137 //	sarva-loka-prasidDa-tvAt sva-hetuByaH tu vastunaH // SamUpat-_I,18.137 //
   jñānajñeyādivāde 'taḥ siddhir jñātatvam ucyate /	jQAna-jQeya-Adi-vAde atas sidDiH jQAta-tvam ucyate /
   adhyakṣādhyakṣyayoḥ siddhir jñeyatvaṃ nātmalābhatā // SamUpad_I,18.138 //	aDyakza-aDyakzyayoH sidDiH jQeya-tvam na-Atma-lABa-tA // SamUpat-_I,18.138 //
   spaṣṭatvaṃ karmakartrādeḥ siddhatā yadi kalpyate /	spazwa-tvam karma-kartR-AdeH sidDa-tA yadi kalpyate /
   spaṣṭatāspaṣṭate syātām anyasyaiva na cātmanaḥ // SamUpad_I,18.139 //	spazwa-tAspazwate syAtAm anyasya-eva na ca-AtmanaH // SamUpat-_I,18.139 //
   adraṣṭur naiva cāndhasya spaṣṭībhāvo ghaṭasya tu /	adrazwuH na-eva ca-anDasya spazwIBAvaH Gawasya tu /
   kartrādeḥ spaṣṭateṣṭā ced draṣṭṛtādhyakṣakartṛkā // SamUpad_I,18.140 //	kartR-AdeH spazwa-tezwA ced drazwR-tA-aDyakza-kartRkAH // SamUpat-_I,18.140 //
   anubhūteḥ kim antasmin syāt tavāpekṣayā vada /	anuBUteH kim antasmin syAt tava-apekzayA vada /
   anubhavitarīṣṭā syāt so 'py anubhūtir eva naḥ // SamUpad_I,18.141 //	anuBavitarIzwA syAt saH api anuBUtiH eva naH // SamUpat-_I,18.141 //
   "abhinno 'pi hi buddhyātmā viparyāsitadarśanaiḥ /	"a-BinnaH api hi budDi-AtmA viparyAsita-darSanEH /
   grāhyagrāhakasaṃvittibhedavān iva lakṣyate" // SamUpad_I,18.142 //	grAhya-grAhaka-saMvitti-BedavAn iva lakzyate" // SamUpat-_I,18.142 //
   [bhūtir yeṣāṃ kriyā saiva kārakaṃ saiva cocyate / ]	[BUtiH yezAm kriyA sA-eva kArakam sA-eva ca-ucyate / ]
   sattvaṃ nāśitvam asyāś cet sakartṛtvaṃ tatheṣyatām /	sattvam nASi-tvam asyAH ced sa-kartR-tvam taTA-izyatAm /
   na kaścic ceṣyate dharma iti cet pakṣahānatā // SamUpad_I,18.143 //	na kaScid ca-izyate DarmaH iti ced pakza-hAna-tA // SamUpat-_I,18.143 //
   nanv astitvādayo dharmā nāstitvādinivṛttayaḥ /	nanu astitva-AdayaH DarmAH nAstitva-Adi-nivRttayaH /
   na bhūtes tarhi nāśitvaṃ svālakṣaṇyaṃ hi te // SamUpad_I,18.144 //	na BUteH tarhi nASi-tvam svAlakzaNyam hi te // SamUpat-_I,18.144 //
   svalakṣaṇāvadhir nāśo nāśo 'nāśanivṛttitā /	sva-lakzaNa-avaDiH nASaH nASaH anASa-nivRtti-tA /
   agor asattvaṃ gotvaṃ te na tu tad goḥ svalakṣaṇam // SamUpad_I,18.145 //	agoH asattvam go-tvam te na tu tat goH sva-lakzaNam // SamUpat-_I,18.145 //
   kṣaṇavācyo 'pi yo 'rthaḥ syāt so 'py anyābhāva eva te /	kzaNa-vAcyaH api yaH arTaH syAt saH api anya-aBAvaH eva te /
   bhedābhāve 'py abhāvasya bhedo nāmabhir iṣyate // SamUpad_I,18.146 //	Beda-aBAve api aBAvasya BedaH nAmaBiH izyate // SamUpat-_I,18.146 //
   nāmabhedair anekatvam ekasya syāt kathaṃ tava /	nAma-BedEH aneka-tvam ekasya syAt kaTam tava /
   apoho yadi bhinnānāṃ vṛttis tasya kathaṃ gavi // SamUpad_I,18.147 //	apohaH yadi BinnAnAm vRttiH tasya kaTam gavi // SamUpat-_I,18.147 //
   nābhāvā bhedakāḥ sarve viśeṣā vā kadācana /	na-aBAvAH BedakAH sarve viSezAH vA kadAcana /
   nāmajātyādayo yadvat saṃvidas te 'viśeṣataḥ // SamUpad_I,18.148 //	nAma-jAti-AdayaH yadvat saMvidaH te aviSezataH // SamUpat-_I,18.148 //
   pratyakṣam anumānaṃ vā vyavahāre yadīcchasi /	pratyakzam anumAnam vA vyavahAre yadi-icCasi /
   kriyākārakabhedais tad abhyupeyaṃ dhruvaṃ bhavet // SamUpad_I,18.149 //	kriyA-kAraka-BedEH tat aByupeyam Druvam Bavet // SamUpat-_I,18.149 //
   tasmān nīlaṃ tathā pītaṃ ghaṭādir vā viśeṣaṇam /	tasmAt nIlam taTA pItam Gawa-AdiH vA viSezaNam /
   saṃvidas tad upetyaṃ syād yena cāpy anubhūyate // SamUpad_I,18.150 //	saMvidaH tat upetyam syAt yena ca-api anuBUyate // SamUpat-_I,18.150 //
   rūpādīnāṃ yathānyaḥ syād grāhyatvād grāhakas tathā /	rUpa-AdInAm yaTA-anyaH syAt grAhya-tvAt grAhakaH taTA /
   pratyayasya tathānyaṃ syād vyañjakatvāc ca dīpavat // SamUpad_I,18.151 //	pratyayasya taTA-anyam syAt vyaQjaka-tvAt ca dIpa-vat // SamUpat-_I,18.151 //
   adhyakṣasya dṛśeḥ kīdṛk saṃbandhaḥ saṃbhaviṣyati /	aDyakzasya dRSeH kIdRS saMbanDaH saMBavizyati /
   adhyakṣyeṇa tu dṛśyena muktvānyo draṣṭṛdṛśyatām // SamUpad_I,18.152 //	aDyakzyeNa tu dRSyena muktvA-anyaH drazwR-dRSyatAm // SamUpat-_I,18.152 //
   adhyakṣeṇa kṛtā dṛṣṭir dṛśyaṃ vyāpnoty athāpi vā /	aDyakzeNa kRtA dRzwiH dRSyam vyApnoti aTa-api vA /
   nityādhyakṣakṛtaḥ kaścid upakāro bhaved dhiyām // SamUpad_I,18.153 //	nitya-aDyakza-kRtaH kaScid upakAraH Bavet DiyAm // SamUpat-_I,18.153 //
   sa coktas tannibhatvaṃ prāk saṃvyāptiś ca ghaṭādiṣu /	sa ca-uktaH tad-niBa-tvam prAk saMvyAptiH ca Gawa-Adizu /
   yathālokādisaṃvyāptir vyañjakatvād dhiyas tathā // SamUpad_I,18.154 //	yaTA-Aloka-Adi-saMvyAptiH vyaQjaka-tvAt DiyaH taTA // SamUpat-_I,18.154 //
   ālokastho ghaṭo yadvad buddhyārūḍho bhavet tathā /	Aloka-sTaH GawaH yadvat budDi-ArUXaH Bavet taTA /
   dhīvyāptiḥ syād ghaṭāroho dhiyo vyāptau kramo bhavet // SamUpad_I,18.155	DIvya-AptiH syAt Gawa-ArohaH DiyaH vyAptO kramaH Bavet // SamUpat-_I,18.155
   pūrvaṃ syāt pratyayavyāptis tato 'nugraha ātmanaḥ /	pUrvam syAt pratyaya-vyAptiH tatas anugrahaH AtmanaH /
   kṛtsnādhyakṣasya so 'yuktaḥ kālākāśādivat kramaḥ // SamUpad_I,18.156 //	kRtsnA-aDyakzasya saH ayuktaH kAla-AkASa-Adi-vat kramaH // SamUpat-_I,18.156 //
   viṣayagrahaṇaṃ yasya kāraṇāpekṣayā bhavet /	vizaya-grahaNam yasya kAraNa-apekzayA Bavet /
   saty eva grāhyaśeṣe ca pariṇāmī sa cittavat // SamUpad_I,18.157 //	sati eva grAhya-Seze ca pariNAmI sa citta-vat // SamUpat-_I,18.157 //
   adhyakṣo 'ham iti jñānaṃ buddher eva viniścayaḥ /	aDyakzaH aham iti jQAnam budDeH eva viniScayaH /
   nādhyakṣasyāviśeṣatvān na tasyāsti paro yataḥ // SamUpad_I,18.158 //	na-aDyakzasya-aviSeza-tvAt na tasya-asti paraH yatas // SamUpat-_I,18.158 //
   kartrā ced aham ity evam anubhūyeta muktatā /	kartrA ced aham iti evam anuBUyeta mukta-tA /
   sukhaduḥkhavinirmoko nāhaṃkartari yujyate // SamUpad_I,18.159 //	suKa-duHKa-vinirmokaH na-ahaMkartari yujyate // SamUpat-_I,18.159 //
   dehādāv abhimānottho duḥkhīti pratyayo dhruvam /	deha-AdO aBimAna-utTaH duHKI-iti pratyayaH Druvam /
   kuṇḍalipratyayo yadvat pratyagātmābhimāninā // SamUpad_I,18.160 //	kuNxali-pratyayaH yadvat pratyagAtmA-aBimAninA // SamUpat-_I,18.160 //
   bādhyate pratyayeneha vivekenāvivekavān /	bADyate pratyayena-iha vivekena-avivekavAn /
   viparyaye 'sadantaṃ syāt pramāṇasyāpramāṇataḥ // SamUpad_I,18.161 //	viparyaye asat-antam syAt pramANasya-apramANataH // SamUpat-_I,18.161 //
   dāhacchedavināśeṣu duḥkhitvaṃ nānyathātmanaḥ /	dAha=-Ceda-vinASezu duHKi-tvam na-anyaTA-AtmanaH /
   naiva hy anyasya dāhādāv anyo duḥkhī bhavet kvacit // SamUpad_I,18.162 //	na-eva hi anyasya dAha-AdO anyaH duHKI Bavet kvacid // SamUpat-_I,18.162 //
   asparśatvād adehatvān nāhaṃ dāhyo yataḥ sadā /	asparSa-tvAt adeha-tvAt na-aham dAhyaH yatas sadA /
   tasmān mithyābhimānotthaṃ mṛte putre mṛtir yathā // SamUpad_I,18.163 //	tasmAt miTyA-aBimAna-utTam mRte putre mRtiH yaTA // SamUpat-_I,18.163 //
   kuṇḍaly aham iti hy etad bādhyetaiva vivekinā /	kuNxalI aham iti hi etat bADyeta-eva vivekinA /
   duḥkhīti pratyayas tadvat kevalāhaṃdhiyā sadā // SamUpad_I,18.164 //	duHKI-iti pratyayaH tadvat kevala-ahaMDiyA sadA // SamUpat-_I,18.164 //
   siddhe suḥkhitva iṣṭaṃ syāt taccaktitvaṃ sadātmanaḥ /	sidDe suHKitvaH izwam syAt tat-cakti-tvam sat-A-AtmanaH /
   mithyābhimānato duḥkhī tenārthāpādanakṣayaḥ // SamUpad_I,18.165 //	miTyA-aBimAnataH duHKI tena-arTa-ApAdana-kzayaH // SamUpat-_I,18.165 //
   asparśo 'pi yathā sparśam acalaś calanādi ca /	asparSaH api yaTA sparSam acalaH calana-Adi ca /
   avivekāt tathā duḥkhaṃ mānasaṃ cātmanīkṣate // SamUpad_I,18.166 //	avivekAt taTA duHKam mAnasam ca-Atmani-Ikzate // SamUpat-_I,18.166 //
   vivekātmadhiyā duḥkhaṃ nudyate calanādivat /	viveka-Atma-DiyA duHKam nudyate calana-Adi-vat /
   avivekasvabhāvena mano gacchaty anicchataḥ // SamUpad_I,18.167 //	aviveka-svaBAvena manaH gacCati anicCataH // SamUpat-_I,18.167 //
   tadānudṛśyate duḥkhaṃ naiścalye naiva tasya tat /	tadA-anudRSyate duHKam nEScalye na-eva tasya tat /
   pratyagātmani tasmāt tad duḥkhaṃ naivopapadyate // SamUpad_I,18.168 //	pratyagAtmani tasmAt tat duHKam na-eva-upapadyate // SamUpat-_I,18.168 //
   tvaṃsatos tulyanīḍatvān nīlāśvavad idaṃ bhavet /	tu-aMsatoH tulya-nIxa-tvAt nIla-aSva-vat idam Bavet /
   nirduḥkhavācinā yogāt tvaṃśabdasya tadarthatā // SamUpad_I,18.169 //	nirduHKa-vAcinA yogAt tvaMSabdasya tad-arTa-tA // SamUpat-_I,18.169 //
   pratyagātmābhidhānena tacchabdasya yutes tathā /	pratyagAtma-aBiDAnena tad-Sabdasya yuteH taTA /
   daśamas tvam asīty evaṃ vākyaṃ syāt pratyagātmani // SamUpad_I,18.170 //	daSamaH tvam asi-iti evam vAkyam syAt pratyagAtmani // SamUpat-_I,18.170 //
   svārthasya hy aprahāṇena viśiṣṭārthasamarpakau /	sva-arTasya hi aprahANena viSizwa-arTa-samarpakO /
   pratyagātmāvagatyantau nānyo 'rtho 'rthād virodhy ataḥ // SamUpad_I,18.171	pratyagAtmA-avagati-antO na-anyaH arTaH arTAt viroDi atas // SamUpat-_I,18.171
   navabuddhyapahārād dhi svātmānaṃ daśapūraṇam /	nava-budDi-apahArAt Di sva-AtmAnam daSa-pUraNam /
   apaśyañ jñātum evecchet svam ātmānaṃ janas tathā // SamUpad_I,18.172 //	apaSyan jQAtum eva-icCet svam AtmAnam janaH taTA // SamUpat-_I,18.172 //
   avidyābaddhacakṣuṣṭvāt kāmāpahṛtadhīḥ sadā /	avidyA-badDa-cakzuzwvAt kAma-apahRta-DIH sadA /
   viviktaṃ dṛśim ātmānaṃ nekṣate daśamaṃ yathā // SamUpad_I,18.173 //	viviktam dRSim AtmAnam na-Ikzate daSamam yaTA // SamUpat-_I,18.173 //
   daśamas tvam asīty evaṃ tattvamasyādivākyataḥ /	daSamaH tvam asi-iti evam tattvam-asya-Adi-vAkyataH /
   svam ātmānaṃ vijānāti kṛtsnāntaḥkaraṇekṣaṇam // SamUpad_I,18.174 //	svam AtmAnam vijAnAti kRtsnA-antaHkaraNa-IkzaNam // SamUpat-_I,18.174 //
   idaṃ pūrvam idaṃ paścāt padaṃ vākye bhaved iti /	idam pUrvam idam paScAt padam vAkye Bavet iti /
   niyamo naiva vede 'sti padasāṃgatyam arthataḥ // SamUpad_I,18.175 //	niyamaH na-eva vede asti padasAMgatyam arTataH // SamUpat-_I,18.175 //
   vākye hi śrūyamāṇānāṃ padānām arthasaṃsmṛtiḥ /	vAkye hi SrUyamANAnAm padAnAm arTa-saMsmRtiH /
   anvayavyatirekābhyāṃ tato vākyārthabodhanam // SamUpad_I,18.176 //	anvaya-vyatirekAByAm tatas vAkya-arTa-boDanam // SamUpat-_I,18.176 //
   yadā nityeṣu vākyeṣu padārthas tu vivicyate /	yadA nityezu vAkyezu padArTaH tu vivicyate /
   vākyārthajñānasaṃkrāntyai tadā praśno na yujyate // SamUpad_I,18.177 //	vAkya-arTa-jQAna-saMkrAntyE tadA praSnaH na yujyate // SamUpat-_I,18.177 //
   anvayavyatirekoktiḥ padārthasmaraṇāya tu /	anvaya-vyatireka-uktiH padArTa-smaraNAya tu /
   smṛtyabhāve na vākyārtho jñātuṃ śakyo bi kenacit // SamUpad_I,18.178 //	smRti-aBAve na vAkya-arTaH jQAtum SakyaH bi kenacid // SamUpat-_I,18.178 //
   tattvamasyādivākyeṣu tvaṃpadārthāvivekataḥ /	tattvam-asya-Adi-vAkyezu tvaMpadArTa-avivekatas /
   vyajyate naiva vākyārtho nityamukto 'ham ity ataḥ // SamUpad_I,18.179 //	vyajyate na-eva vAkya-arTaH nitya-muktaH aham iti atas // SamUpat-_I,18.179 //
   anvayavyatirekoktis tadvivekāya nānyathā /	anvaya-vyatireka-uktiH tad-vivekAya na-anyaTA /
   tvaṃpadārthaviveke hi pāṇāv arpitavilvavat // SamUpad_I,18.180 //	tvaMpadArTa-viveke hi pANO arpita-vilva-vat // SamUpat-_I,18.180 //
   vākyārtho vyajyate caivaṃ kevalo 'haṃpadārthataḥ /	vAkya-arTaH vyajyate ca-evam kevalaH ahaMpadArTataH /
   duḥkhīty etadapohena pratyagātmaviniścayāt // SamUpad_I,18.181 //	duHKI-iti etat-apohena pratyagAtma-viniScayAt // SamUpat-_I,18.181 //
   tatraivaṃ saṃbhavaty arthe śrutahānāśrutārthadhīḥ /	tatra-evam saMBavati arTe Sruta-hAna-aSruta-arTa-DIH /
   naivaṃ kalpayituṃ yuktā padavākyārthakovidaiḥ // SamUpad_I,18.182 //	na-evam kalpayitum yuktA pada-vAkya-arTa-kovidEH // SamUpat-_I,18.182 //
   pratyakṣādīni bādheran kṛṣṇalādiṣu pākavat /	pratyakza-AdIni bADeran kRzNala-Adizu pAka-vat /
   akṣajādinibhair etaiḥ kathaṃ syād vākyabādhanam // SamUpad_I,18.183 //	akza-ja-Adi-niBEH etEH kaTam syAt vAkya-bADanam // SamUpat-_I,18.183 //
   duḥkhy asmīti sati jñāne nirduḥkhīti na jāyate /	duHKI asmi-iti sati jQAne nirduHKI-iti na jAyate /
   pratyakṣādinibhatve 'pi vākyān na vyabhicārataḥ // SamUpad_I,18.184 //	pratyakza-Adi-niBa-tve api vAkyAt na vyaBicArataH // SamUpat-_I,18.184 //
   svapne duḥkhy aham adyāsaṃ dāhacchedādihetutaḥ /	svapne duHKI aham adya-Asam dAha=-Ceda-Adi-hetutaH /
   tatkālabhāvibhir vākyair na bādhaḥ kriyate yadi // SamUpad_I,18.185 //	tad-kAla-BAviBiH vAkyEH na bADaH kriyate yadi // SamUpat-_I,18.185 //
   samāptes tarhi duḥkhasya prāk ca tadbādha iṣyatām /	samApteH tarhi duHKasya prAk ca tad-bADaH izyatAm /
   na hi duḥkhasya saṃtāno bhrānter vā dṛśyate kvacit // SamUpad_I,18.186 //	na hi duHKasya saMtAnaH BrAnteH vA dRSyate kvacid // SamUpat-_I,18.186 //
   pratyagātmana ātmatvaṃ duḥkhy asmīty asya bādhayā /	pratyak-AtmanaH Atma-tvam duHKI asmi-iti asya bADayA /
   daśamaṃ navam asyeva veda ced aviruddhatā // SamUpad_I,18.187 //	daSamam navam asya-iva veda ced avirudDa-tA // SamUpat-_I,18.187 //
   nityamuktatvavijñānaṃ vākyād bhavati nānyataḥ /	nitya-mukta-tva-vijQAnam vAkyAt Bavati na-anyatas /
   vākyārthasyāpi vijñānaṃ padārthasmṛtipūrvakam // SamUpad_I,18.188 //	vAkya-arTasya-api vijQAnam padArTa-smRti-pUrvakam // SamUpat-_I,18.188 //
   anvayavyatirekābhyāṃ padārthaḥ smaryate dhruvam /	anvaya-vyatirekAByAm padArTaH smaryate Druvam /
   evaṃ nirduḥkham ātmānam akriyaṃ pratipadyate // SamUpad_I,18.189 //	evam nirduHKam AtmAnam akriyam pratipadyate // SamUpat-_I,18.189 //
   sad evetyādivākyebhyaḥ pramā sphuṭatarā bhavet /	sat eva-ityAdi-vAkyeByaH pramA sPuwatarA Bavet /
   daśamas tvam asīty asmād yathaivaṃ pratyagātmani // SamUpad_I,18.190 //	daSamaH tvam asi-iti asmAt yaTA-evam pratyagAtmani // SamUpat-_I,18.190 //
   prabodhena yathā svāpnaṃ sarvaṃ duḥkhaṃ nivartate /	praboDena yaTA svApnam sarvam duHKam nivartate /
   pratyagātmadhiyā tadvad duḥkhitvaṃ sarvadātmanaḥ // SamUpad_I,18.191 //	pratyagAtma-DiyA tadvat duHKi-tvam sarvadA-AtmanaH // SamUpat-_I,18.191 //
   kṛṣṇalādau pramājanma tadanyārthāmṛdutvataḥ /	kRzNala-AdO pramAjanma tad-anya-arTa-amRdu-tvatas /
   tattvamasyādivākyeṣu na tv evam avirodhataḥ // SamUpad_I,18.192 //	tattvam-asya-Adi-vAkyezu na tu evam aviroDataH // SamUpat-_I,18.192 //
   vākye tat tvam asīty asmiñ jñātārthaṃ tadasidvayam /	vAkye tat tvam asi-iti asmin jQAta-arTam tat-asi-dvayam /
   tvamarthasmṛtyasāhāyyād vākyaṃ notpādayet pramām // SamUpad_I,18.193 //	tvam-arTa-smRti-asAhAyyAt vAkyam na-utpAdayet pramAm // SamUpat-_I,18.193 //
   tattvamos tulyanīḍārtham asīty etat padaṃ bhavet /	tat-tvam-oH tulya-nIxA-arTam asi-iti etat padam Bavet /
   tacchabdaḥ pratyagātmārthas tacchabdārthas tvamas tathā //	tad-SabdaH pratyagAtmA-arTaH tad-Sabda-arTaH tvamaH taTA //
   SamUpad_I,18.194 //	SamUpat-_I,18.194 //
   duḥkhitvāpratyagātmatvaṃ vārayetām ubhāv api /	duHKitvA-pratyagAtma-tvam vArayetAm uBO api /
   evaṃ ca netinetyarthaṃ gamayetāṃ parasparam // SamUpad_I,18.195 //	evam ca netinA-iti-arTam gamayetAm parasparam // SamUpat-_I,18.195 //
   evaṃ tat tvam asīty asya gamyamāne phale katham /	evam tat tvam asi-iti asya gamyamAne Pale kaTam /
   apramāṇatvam asyoktvā kriyāpekṣatvam ucyate // SamUpad_I,18.196 //	apramANa-tvam asya-uktvA kriyA-pekza-tvam ucyate // SamUpat-_I,18.196 //
   tasmād ādyantamadhyeṣu kurv ity etad virodhy ataḥ /	tasmAt Adi-anta-maDyezu kuru iti etat viroDi atas /
   na kalpyam aśrutatvāc ca śrutatyāgo 'py anarthakaḥ // SamUpad_I,18.197 //	na kalpyam aSruta-tvAt ca Sruta-tyAgaH api anarTakaH // SamUpat-_I,18.197 //
   yathānubhūyate tṛptir bhujer vākyān na gamyate /	yaTA-anuBUyate tRptiH BujeH vAkyAt na gamyate /
   vākyasya vidhṛtis tadvad gośakṛtpāyasīkriyā // SamUpad_I,18.198 //	vAkyasya viDRtiH tadvat go-SakRt-pAyasI-kriyA // SamUpat-_I,18.198 //
   satyam evam anātmārthe vākyāt pārokṣyabodhanam /	satyam evam anAtma-arTe vAkyAt pArokzya-boDanam /
   pratyagātmani na tv evaṃ saṃkhyāprāptivad adhruvam // SamUpad_I,18.199 //	pratyagAtmani na tu evam saMKyA-prApti-vat aDruvam // SamUpat-_I,18.199 //
   svasaṃvedyatvaparyāyaḥ /	sva-saMvedya-tva-paryAyaH /
   svapramāṇaka iṣyatām /	sva-pramANakaH izyatAm /
   nivṛttāv ahamaḥ siddhaḥ svātmano 'nubhavaś ca naḥ // SamUpad_I,18.200 //	nivRttO ahamaH sidDaH sva-AtmanaH anuBavaH ca naH // SamUpat-_I,18.200 //
   buddhīnāṃ viṣayo duḥkhaṃ tā yasya viṣayā matāḥ /	budDInAm vizayaH duHKam tAH yasya vizayAH matAH /
   kuto 'sya duḥkhasaṃbandho dṛśeḥ syāt pratyagātmanaḥ // SamUpad_I,18.201 //	kutas asya duHKa-saMbanDaH dRSeH syAt pratyak-AtmanaH // SamUpat-_I,18.201 //
   dṛśir evānubhūyeta svenaivānubhavātmanā /	dRSiH eva-anuBUyeta svena-eva-anuBava-AtmanA /
   tadābhāsatayā janma dhiyo 'syānubhavaḥ smṛtaḥ // SamUpad_I,18.202 //	tad-ABAsa-tayA janma DiyaH asya-anuBavaH smRtaH // SamUpat-_I,18.202 //
   aśanāyādinirmuktaḥ siddho mokṣas tvam eva saḥ /	aSanAya-Adi-nirmuktaH sidDaH mokzaH tvam eva saH /
   śrotavyādi tavety etad viruddhaṃ katham ucyate // SamUpad_I,18.203 //	Srotavya-Adi tava-iti etat virudDam kaTam ucyate // SamUpat-_I,18.203 //
   setsyatīty eva cet tat syāc chravaṇādi tadā bhavet /	setsyati-iti eva ced tat syAt SravaNa-Adi tadA Bavet /
   mokṣasyānityataivaṃ syād virodhy evānyathā vacaḥ // SamUpad_I,18.204 //	mokzasya-anityatA-evam syAt viroDi eva-anyaTA vacaH // SamUpat-_I,18.204 //
   śrotṛśrotavyayor bhedo yadīṣṭaḥ syād bhaved idam /	SrotR-SrotavyayoH BedaH yadi-izwaH syAt Bavet idam /
   iṣṭārthakopa evaṃ syān na yuktaṃ sarvathā vacaḥ // SamUpad_I,18.205 //	izwa-arTa-kopaH evam syAt na yuktam sarvaTA vacaH // SamUpat-_I,18.205 //
   siddho mokṣo 'ham ity evaṃ jñātvātmānaṃ bhaved yadi /	sidDaH mokzaH aham iti evam jQAtvA-AtmAnam Bavet yadi /
   cikīrṣur yaḥ sa mūḍhātmā śāstraṃ codghāṭayaty api // SamUpad_I,18.206 //	cikIrzuH yaH sa mUXa-AtmA SAstram ca-udGAwayati api // SamUpat-_I,18.206 //
   na hi siddhasya kartavyaṃ sakāryasya na siddhatā /	na hi sidDasya kartavyam sa-kAryasya na sidDa-tA /
   ubhayālambanaṃ kurvann ātmānaṃ vañcayaty asau // SamUpad_I,18.207 //	uBaya-Alambanam kurvan AtmAnam vaQcayati asO // SamUpat-_I,18.207 //
   siddho mokṣas tvam ity etad vastumātraṃ pradarśyate /	sidDaH mokzaH tvam iti etat vastu-mAtram pradarSyate /
   śrotus tathātvavijñāne pravṛttiḥ syāt kathaṃ tv iti // SamUpad_I,18.208 //	SrotuH taTA-tva-vijQAne pravRttiH syAt kaTam tu iti // SamUpat-_I,18.208 //
   kartā duḥkhy aham asmīti pratyakṣeṇānubhūyate /	kartA duHKI aham asmi-iti pratyakzeNa-anuBUyate /
   kartā duḥkhī ca mā bhūvam iti yatno bhavet tataḥ // SamUpad_I,18.209 //	kartA duHKI ca mA BUvam iti yatnaH Bavet tatas // SamUpat-_I,18.209 //
   tadvijñānāya yuktyādi kartavyaṃ śrutir abravīt /	tat-vijQAnAya yukti-Adi kartavyam SrutiH abravIt /
   kartṛtvādyanuvādena siddhatvānubhavāya tu // SamUpad_I,18.210 //	kartR-tva-Adi-anuvAdena sidDa-tva-anuBavAya tu // SamUpat-_I,18.210 //
   nirduḥkho niṣkriyo 'kāmaḥ siddho mokṣo 'ham ity api /	nirduHKaH nizkriyaH akAmaH sidDaH mokzaH aham iti api /
   gṛhītvaiva viruddhārtham ādadhyāt katham eva saḥ // SamUpad_I,18.211 //	gRhItvA-eva virudDa-arTam AdaDyAt kaTam eva saH // SamUpat-_I,18.211 //
   sakāmaḥ sakriyo 'siddha iti me 'nubhavaḥ katham /	sa-kAmaH sa-kriyaH asidDaH iti me anuBavaH kaTam /
   ato me viparītasya tad bhavān vaktum arhati // SamUpad_I,18.212 //	atas me viparItasya tat BavAn vaktum arhati // SamUpat-_I,18.212 //
   ihaiva ghaṭate praśno na muktatvānubhūtaye /	iha-eva Gawate praSnaH na mukta-tva-anuBUtaye /
   pramāṇena virodhī yaḥ so 'trārthaḥ praśnam arhati // SamUpad_I,18.213 //	pramANena viroDI yaH saH atra-arTaH praSnam arhati // SamUpat-_I,18.213 //
   ahaṃ nirmukta ity eṣa sad asīty anyamānajaḥ /	aham nirmuktaH iti eza sat asi-iti anyamAna-jaH /
   pratyakṣābhāsajanyatvād duḥkhitvaṃ praśnam arhati // SamUpad_I,18.214 //	pratyakza-ABAsa-janya-tvAt duHKi-tvam praSnam arhati // SamUpat-_I,18.214 //
   pṛṣṭam ākāṅkṣitaṃ vācyaṃ duḥkhābhāvam abhīpsitam /	pRzwam AkAFkzitam vAcyam duHKa-aBAvam aBIpsitam /
   kathaṃ hīdaṃ nivarteta duḥkhaṃ sarvātmanā mama // SamUpad_I,18.215 //	kaTam hi-idam nivarteta duHKam sarva-AtmanA mama // SamUpat-_I,18.215 //
   iti praśnānurūpaṃ yad vācyaṃ duḥkhanivartakam /	iti praSna-anurUpam yat vAcyam duHKa-nivartakam /
   śruteḥ svātmani nāśaṅkā prāmāṇye sati vidyate // SamUpad_I,18.216 //	SruteH sva-Atmani na-ASaFkA prAmANye sati vidyate // SamUpat-_I,18.216 //
   tasmād ātmavimuktatvaṃ pratyāyayati tadvacaḥ /	tasmAt Atma-vimukta-tvam pratyAyayati tad-vacaH /
   vaktavyaṃ tu tathārthaṃ syād virodhe 'sati kenacit // SamUpad_I,18.217 //	vaktavyam tu taTA-arTam syAt viroDe asati kenacid // SamUpat-_I,18.217 //
   ito 'nyo 'nubhavaḥ kaścid ātmano nopapadyate /	itas anyaH anuBavaH kaScid AtmanaH na-upapadyate /
   avijñātaṃ vijānatāṃ vijñātāram iti śruteḥ // SamUpad_I,18.218 //	avijQAtam vijAnatAm vijQAtAram iti SruteH // SamUpat-_I,18.218 //
