   akatra prativāsinaḥ (?) K_892b	akatra prativAsinaH (?) K_892b
   na dṛṣṭaṃ sākṣibhis tathā K_277b	na dRzwam sAkziBiH taTA K_277b
   na deyam iti dharmataḥ K_544b	na deyam iti DarmataH K_544b
   na deyaṃ teṣu divyaṃ tu K_431c	na deyam tezu divyam tu K_431c
   na deyā syāt kathaṃcana K_648d	na deyA syAt kaTaMcana K_648d
   na nivedya nṛpe yadi K_763b	na nivedya nRpe yadi K_763b
   na neyāḥ syur anicchavaḥ K_638b	na neyAH syuH anicCavaH K_638b
   na parīkṣeta sākṣiṇaḥ K_366d	na parIkzeta sAkziNaH K_366d
   na parīkṣeta sākṣiṇaḥ K_367d	na parIkzeta sAkziNaH K_367d
   na pitā bhrātaro na ca K_911b	na pitA BrAtaraH na ca K_911b
   na putraḥ svāmyam arhati K_839d	na putraH svAmyam arhati K_839d
   na pṛcchet tatra sākṣiṇaḥ K_232f	na pRcCet tatra sAkziNaH K_232f
   na prajānumato yasmād K_021c	na prajA-anumataH yasmAt K_021c
   na pravartyo mahībhṛtā K_120b	na pravartyaH mahIBRtA K_120b
   na praṣṭavyāḥ punaḥ punaḥ K_392d	na prazwavyAH punar punar K_392d
   na phalaṃ hi vinaikataḥ K_859d	na Palam hi vinA-ekatas K_859d
   na brūyād akṣarasamaṃ K_400c	na brUyAt akzara-samam K_400c
   na bhartā naiva ca suto K_911a	na BartA na-eva ca sutaH K_911a
   na bhartrā vivadetānyo K_465c	na BartrA vivadeta-anyaH K_465c
   na bhavet sa parājitaḥ K_161d	na Bavet sa parAjitaH K_161d
   na bhogaṃ kalpayet strīṣu K_330a	na Bogam kalpayet strIzu K_330a
   na mayābhihitaṃ kāryam K_196a	na mayA-aBihitam kAryam K_196a
   na mūtraṃ phenilaṃ yasya K_861a	na mUtram Penilam yasya K_861a
   na yaḥ pūrvaṃ nivedayet K_122d	na yaH pUrvam nivedayet K_122d
   na yaḥ pūrvaṃ nivedayet K_123d	na yaH pUrvam nivedayet K_123d
   nayec chuddhiṃ na yaḥ kūṭaṃ K_290c	nayet SudDim na yaH kUwam K_290c
   narakaṃ yānty adhomukhāḥ K_074d	narakam yAnti aDomuKAH K_074d
   na rājā tu viśitvena K_027a	na rAjA tu viSi-tvena K_027a
   narāṇām avivādinām K_027d	narANAm avivAdinAm K_027d
   narāṇāṃ dravyanāśanam K_933d	narANAm dravya-nASanam K_933d
   na rikthaṃ teṣu cārhati K_862d	na rikTam tezu ca-arhati K_862d
   narendratvaṃ punaḥ punaḥ K_007d	narendra-tvam punar punar K_007d
   nartakānām eṣa eva K_636a	nartakAnAm ezaH eva K_636a
   na lekhakena likhitaṃ K_277a	na leKakena liKitam K_277a
   na lekhayati yat tv evaṃ K_139c	na leKayati yat tu evam K_139c
   na lekhyaṃ na ca sākṣiṇaḥ K_226d	na leKyam na ca sAkziNaH K_226d
   na lekhyaṃ vā prayojayet K_224f	na leKyam vA prayojayet K_224f
   na lohaśilpinām agniṃ K_424a	na loha-SilpinAm agnim K_424a
   na vaktavyaḥ sa kiṃcana K_618d	na vaktavyaH sa kiMcana K_618d
   na vidyāt kāryaniścayam K_066b	na vidyAt kArya-niScayam K_066b
   na vibhājyaṃ bṛhaspatiḥ K_871d	na viBAjyam bRhaspatiH K_871d
   na śaktaṃ tasya sādhane K_439d	na Saktam tasya sADane K_439d
   na śaṅkāsu śiraḥ kośe K_414a	na SaFkAsu SiraH koSe K_414a
   na śiras tatra kalpayet K_412d	na SiraH tatra kalpayet K_412d
   na śiras tatra vai bhṛguḥ K_413d	na SiraH tatra vE BRguH K_413d
   naśyed arthas tv alekhitaḥ K_251d	naSyet arTaH tu aleKitaH K_251d
   naṣṭasyānveṣaṇārthaṃ tu K_532a	nazwasya-anvezaNa-arTam tu K_532a
   naṣṭaṃ ced bhṛtakasya tat K_605b	nazwam ced BRtakasya tat K_605b
   naṣṭaṃ tu grāhakasya tat K_600b	nazwam tu grAhakasya tat K_600b
   na sa taṃ prāpnuyāt kāmaṃ K_730c	na sa tam prApnuyAt kAmam K_730c
   na sabhyaḥ kilviṣī bhavet K_076d	na saByaH kilvizI Bavet K_076d
   na sarvasvaṃ pradāpayet K_941d	na sarva-svam pradApayet K_941d
   na sarvāsu vidhīyate K_264f	na sarvAsu viDIyate K_264f
   na sarve nirṇayaṃ yadi K_750b	na sarve nirNayam yadi K_750b
   na sākṣyaṃ teṣu vidyeta K_368c	na sAkzyam tezu vidyeta K_368c
   na sākṣyaṃ sākṣibhir vācyam K_368a	na sAkzyam sAkziBiH vAcyam K_368a
   na sā pitṛkule vaset K_916d	na sA pitR-kule vaset K_916d
   na sukhārthaṃ kadācana K_572b	na suKa-arTam kadAcana K_572b
   na strībhyo dāsabālebhyaḥ K_497a	na strIByaH dAsa-bAleByaH K_497a
   na svayaṃ kopakāraṇāt K_083d	na svayam kopa-kAraNAt K_083d
   na svavākyajitasya tu K_208d	na sva-vAkya-jitasya tu K_208d
   na svāmī dhanam arhati K_724d	na svAmI Danam arhati K_724d
   na svāmī na ca vai śatruḥ K_114a	na svAmI na ca vE SatruH K_114a
   na hīnapakṣāṃ yuvatiṃ K_097a	na hIna-pakzAm yuvatim K_097a
   nājñānena hi mucyante K_741a	na-ajQAnena hi mucyante K_741a
   nātathyena pramāṇaṃ tu K_278a	na-ataTyena pramANam tu K_278a
   nātathyena pramāṇaṃ tu K_380a	na-ataTyena pramANam tu K_380a
   nātra kāryā vicāraṇā K_737d	na-atra kAryA vicAraNA K_737d
   nādadyān na ca gṛhṇīyād K_697c	na-AdadyAt na ca gRhNIyAt K_697c
   nādhigacchen na cāśrayet K_583b	na-aDigacCet na ca-ASrayet K_583b
   nānāṛṇasamavāye tu K_514a	nAnA-aRNa-samavAye tu K_514a
   nānāpaurasamūhas tu K_678a	nAnA-pOra-samUhaH tu K_678a
   nānāyudhadharā vrātāḥ K_678c	nAnA-AyuDa-DarAH vrAtAH K_678c
   nānāsaṃdehaharaṇād K_026c	nAnA-saMdeha-haraNAt K_026c
   nānurūpaṃ tu yad bhavet K_883b	na-anurUpam tu yat Bavet K_883b
   nānyathā kartum arhati K_470d	na-anyaTA kartum arhati K_470d
   nānyathā tatkṛtaṃ striyā K_546d	na-anyaTA tat-kRtam striyA K_546d
   nānyathā tat punaḥ kāryaṃ K_051c	na-anyaTA tat punar kAryam K_051c
   nānyathā dāpayet sutam K_557d	na-anyaTA dApayet sutam K_557d
   nānyathaiva kadācana K_243b	na-anyaTA-eva kadAcana K_243b
   nānyathaiva pradāpayet K_847b	na-anyaTA-eva pradApayet K_847b
   nānyathaiva pravartayet K_050b	na-anyaTA-eva pravartayet K_050b
   nānyathaiva pravādayet K_391d	na-anyaTA-eva pravAdayet K_391d
   nānyathopahṛtaṃ kvacit K_023d	na-anyaTA-upahRtam kvacid K_023d
   nānyadravyasya sarvadā K_016b	na-anya-dravyasya sarvadA K_016b
   nāpahāryaṃ tu tat kvacit K_319d	na-apahAryam tu tat kvacid K_319d
   nāprāptavyavahāreṇa K_552a	na-aprApta-vyavahAreNa K_552a
   nābhiyogaṃ tu so 'rhati K_197d	na-aBiyogam tu saH arhati K_197d
   nābhiśastaṃ tyajen manuḥ K_432d	na-aBiSastam tyajet manuH K_432d
   nāyakā vargiṇas tathā K_350d	nAyakAH vargiNaH taTA K_350d
   nārī khalv ananujñātā K_930a	nArI Kalu ananujQAtA K_930a
   nārthadaṇḍo vidhīyate K_963d	na-arTa-daNxaH viDIyate K_963d
   nārpayet kṛtakṛtyārthaḥ K_662c	na-arpayet kRtakRtya-arTaH K_662c
   nāvijñāto grahītavyaḥ K_116e	na-avijQAtaH grahItavyaH K_116e
   nāvidyānāṃ tu vaidyena K_875a	na-avidyAnAm tu vEdyena K_875a
   nāśakto dhanine dātuṃ K_116a	na-aSaktaH Danine dAtum K_116a
   nāṣṭikas tu prakurvīta K_614a	nAzwikaH tu prakurvIta K_614a
   nāsedhyāḥ kāryasādhakaiḥ K_107d	na-AseDyAH kArya-sADakEH K_107d
   nāstikānāṃ viśeṣataḥ K_427d	nAstikAnAm viSezataH K_427d
   nāstikeṣu viśeṣataḥ K_431b	nAstikezu viSezataH K_431b
   nāsvatantrāḥ striyo grāhyāḥ K_488a	na-asvatantrAH striyaH grAhyAH K_488a
   nāham evaṃ punar vakṣye K_775c	na-aham evam punar vakzye K_775c
   nāhūto nāpi darśitaḥ K_404b	na-AhUtaH na-api darSitaH K_404b
   nikṛṣṭeṣv anusārataḥ K_965b	nikRzwezu anusArataH K_965b
   nikṣiptaṃ yatra nāśitam K_598b	nikziptam yatra nASitam K_598b
   nikṣiptaṃ yasya yat kiṃcit K_593a	nikziptam yasya yat kiMcid K_593a
   nikṣiptaṃ vṛddhiśeṣaṃ ca K_506a	nikziptam vRdDi-Sezam ca K_506a
   niguṇo vā guṇajñatām K_773b	niguNaH vA guNa-jQa-tAm K_773b
   nigūḍhārthaṃ tathākulam K_174b	nigUXa-arTam taTA-Akulam K_174b
   nigūḍhārthaṃ tathākulam K_175b	nigUXa-arTam taTA-Akulam K_175b
   nigūḍhārthaṃ tu tat proktam K_184c	nigUXa-arTam tu tat proktam K_184c
   nityakarmāparodhas tu K_119c	nityakarma-aparoDaH tu K_119c
   nityaṃ pañcaśatāvaraḥ K_101d	nityam paQca-Sata-avaraH K_101d
   nidhir niṣphalavittaṃ ca K_950a	niDiH nizPala-vittam ca K_950a
   nindyeṣv eva ca yatnataḥ K_429b	nindyezu eva ca yatnatas K_429b
   nipated vā mriyeta vā K_524b	nipatet vA mriyeta vA K_524b
   nibaddham asamañjasam K_944d	nibadDam asamaQjasam K_944d
   nibaddhaṃ vā samutsṛjet K_581d	nibadDam vA samutsRjet K_581d
   nibaddhaḥ śapathena vā K_584d	nibadDaH SapaTena vA K_584d
   nibandham āvahet tatra K_531c	nibanDam Avahet tatra K_531c
   nibandhe pratibhūḥ sthitaḥ K_582d	nibanDe pratiBUH sTitaH K_582d
   nibandho yaḥ kramāgataḥ K_882d	nibanDaH yaH krama-AgataH K_882d
   nimajjyotplavate yas tu K_445a	nimajjya-utplavate yaH tu K_445a
   niyamya śapathair bhṛśam K_345b	niyamya SapaTEH BRSam K_345b
   niyamyaḥ śucir anyathā K_452d	niyamyaH SuciH anyaTA K_452d
   niyamyo 'śucir anyathā K_453d	niyamyaH aSuciH anyaTA K_453d
   niyuktā bāndhavās tathā K_092b	niyuktAH bAnDavAH taTA K_092b
   niyuktā ye padeṣu ca K_364b	niyuktAH ye padezu ca K_364b
   niyuktair api vijñeyaṃ K_068c	niyuktEH api vijQeyam K_068c
   niyukto yas tu kāryeṣu K_652a	niyuktaH yaH tu kAryezu K_652a
   niyuñjīta vivādinām K_078b	niyuQjIta vivAdinAm K_078b
   nirarthaṃ niṣprayojanam K_140b	nirarTam nizprayojanam K_140b
   nirastā tu kriyā yatra K_264c	nirastA tu kriyA yatra K_264c
   nirasyānyena na kvacit K_307d	nirasya-anyena na kvacid K_307d
   niruddho daṇḍitaś caiva K_114c	nirudDaH daNxitaH ca-eva K_114c
   nirgataṃ rājaśāsanam K_669b	nirgatam rAja-SAsanam K_669b
   nirṇayaś ca yathā tasya K_259c	nirNayaH ca yaTA tasya K_259c
   nirṇayaṃ tu yadā kuryāt K_041a	nirNayam tu yadA kuryAt K_041a
   nirṇayaḥ svadhanārthaṃ hi K_289a	nirNayaH sva-Dana-arTam hi K_289a
   nirdiṣṭānāṃ ca vādinā K_359b	nirdizwAnAm ca vAdinA K_359b
   nirdiṣṭāḥ kūṭasākṣiṇaḥ K_407b	nirdizwAH kUwa-sAkziNaH K_407b
   nirdiṣṭeṣv arthajāteṣu K_400a	nirdizwezu arTa-jAtezu K_400a
   nirdeśo 'deśakālayoḥ K_248b	nirdeSaH adeSa-kAlayoH K_248b
   nirdoṣaṃ darśayitvā tu K_689a	nirdozam darSayitvA tu K_689a
   nirdoṣaṃ noddhṛtaṃ putrair K_555c	nirdozam na-udDRtam putrEH K_555c
   nirdoṣaṃ prathitaṃ yat tu K_297a	nirdozam praTitam yat tu K_297a
   nirdhanā prāptadoṣā strī K_970c	nirDanA prApta-dozA strI K_970c
   nirdhanā bandhane sthāpyā K_966a	nirDanAH banDane sTApyA K_966a
   nirdhanair anapatyais tu K_567a	nirDanEH anapatyEH tu K_567a
   nirbījānyonyabhāginaḥ K_932d	nirbIja-anyonya-BAginaH K_932d
   nirbhājayen na caivaikam K_843c	nirBAjayet na ca-eva-ekam K_843c
   nirlajjā vārthanāśikā K_928f	nirlajjA vA-arTa-nASikA K_928f
   nirvāsaṃ kārayed vipraṃ K_721c	nirvAsam kArayet vipram K_721c
   nivartyaṃ tatpramāṇaṃ syād K_295e	nivartyam tad-pramANam syAt K_295e
   nivaseyuḥ sukhaṃ prajāḥ K_014d	nivaseyuH suKam prajAH K_014d
   nivāsaṃ sādhyanāma ca K_125d	nivAsam sADya-nAma ca K_125d
   nivṛttās tu yad ārambhād K_800c	nivRttAH tu yat AramBAt K_800c
   nivṛttiḥ parato bhavet K_856f	nivRttiH paratas Bavet K_856f
   niveśasamayād ūrdhvaṃ K_753a	niveSa-samayAt UrDvam K_753a
   niveśya kālaṃ varṣaṃ ca K_124a	niveSya kAlam varzam ca K_124a
   niśāyām atha vā divā K_810b	niSAyAm aTa vA divA K_810b
   niścayaṃ smṛtiśāstrasya K_261c	niScayam smRti-SAstrasya K_261c
   niścayo na tu rājani K_433d	niScayaH na tu rAjani K_433d
   niścayo na tu rājani K_943d	niScayaH na tu rAjani K_943d
   niścitaṃ na vicālayet K_081d	niScitam na vicAlayet K_081d
   niścitaṃ lokasiddhaṃ ca K_141c	niScitam loka-sidDam ca K_141c
   niṣkulā yāś ca patitās K_098c	nizkulAH yAH ca patitAH K_098c
   niṣkṛtīnām akaraṇam K_949a	nizkRtInAm akaraNam K_949a
   niṣṭhurā vāksmṛtā budhaiḥ K_770d	nizWurAH vAc-smRtAH buDEH K_770d
   niṣṭhurāślīlatīvratvāt K_769a	nizWura-aSlIla-tIvra-tvAt K_769a
   niṣpādyamānaṃ yair dṛṣṭaṃ K_744a	nizpAdyamAnam yEH dRzwam K_744a
   nisṛṣṭārthas tu yo yasmin K_470a	nisRzwa-arTaH tu yaH yasmin K_470a
   nisṛṣṭāḥ kṛtyakaraṇe K_469c	nisRzwAH kRtya-karaNe K_469c
   niḥsaṅge bandhane viśet K_967b	niHsaFge banDane viSet K_967b
   niḥsaṃdigdho nirākulaḥ K_142b	niHsaMdigDaH nirAkulaH K_142b
   nīyamānā pitur gṛhāt K_896b	nIyamAnA pituH gRhAt K_896b
   nṛpatiḥ svayam anviṣet K_948d	nRpatiH svayam anvizet K_948d
   nṛpatejo vihanyate K_717d	nRpa-tejaH vihanyate K_717d
   nṛpadevagṛheṣu ca K_749d	nRpa-deva-gRhezu ca K_749d
   nṛpadrohe tathaiva ca K_095b	nRpa-drohe taTA-eva ca K_095b
   nṛpadrohe pravṛttānāṃ K_434c	nRpa-drohe pravRttAnAm K_434c
   nṛpabhaktaṃ kulodvaham K_011d	nRpa-Baktam kula-udvaham K_011d
   nṛparūpeṇa tiṣṭhati K_008b	nRpa-rUpeNa tizWati K_008b
   nṛpasya sūcayej jñātvā K_034c	nRpasya sUcayet jQAtvA K_034c
   nṛpāparādhināṃ caiva K_334c	nRpa-aparADinAm ca-eva K_334c
   nṛpāḥ pūjyāḥ surair api K_960b	nRpAH pUjyAH surEH api K_960b
   nṛpāḥ śakratvam āpnuyuḥ K_009b	nRpAH Sakra-tvam ApnuyuH K_009b
   nṛpeṇaiva niyukto yaḥ K_034a	nRpeNa-eva niyuktaH yaH K_034a
   nṛpe paśyati yat kāryaṃ K_355c	nRpe paSyati yat kAryam K_355c
   nṛpo damaṃ dāpayitvā K_528c	nRpaH damam dApayitvA K_528c
   necchanti sādhavo yatra K_430c	na-icCanti sADavaH yatra K_430c
   netarasyāsty asaṅgateḥ K_090b	na-itarasya-asti asaFgateH K_090b
   netraruggalarogaś ca K_458c	netra-ruj-gala-rogaH ca K_458c
   naikaṃ putraṃ viśeṣayet K_843b	na-ekam putram viSezayet K_843b
   naiko dadyān narādhamaḥ K_697b	na-ekaH dadyAt nara-aDamaH K_697b
   naigamasthais tu yat kāryaṃ K_049c	nEgama-sTEH tu yat kAryam K_049c
   naigamaḥ parikīrtitaḥ K_678b	nEgamaH parikIrtitaH K_678b
   naite yojyāḥ kadācana K_753b	na-ete yojyAH kadAcana K_753b
   naiva deyam ṛṇaṃ kvacit K_554d	na-eva deyam RNam kvacid K_554d
   naiva yāceta ṛṇikaṃ K_293c	na-eva yAceta RNikam K_293c
   naiva rikthī na riktaś ca K_115a	na-eva rikTI na riktaH ca K_115a
   naivānyastaṃ vivādayet K_360b	na-eva-anyaH-tam vivAdayet K_360b
   noktav ānṛṇiko yadi K_298b	na-uktav AnRNikaH yadi K_298b
   notkṛṣṭaś cāvakṛṣṭas tu K_348c	na-utkRzwaH ca-avakRzwaH tu K_348c
   nottaraṃ śasyate budhaiḥ K_174d	na-uttaram Sasyate buDEH K_174d
   nottaraṃ svārthasiddhaye K_175d	na-uttaram sva-arTa-sidDaye K_175d
   nopadeśaṃ prakalpayet K_084b	na-upadeSam prakalpayet K_084b
   nopabhoge balaṃ kāryam K_316a	na-upaBoge balam kAryam K_316a
   nopasthātā daśa dvau ca K_202c	na-upasTAtAH daSa dvO ca K_202c
   nopasthito yadā kaścic K_160c	na-upasTitaH yadA kaScid K_160c
   nopahanyāt tu kenacit K_756b	na-upahanyAt tu kenacid K_756b
   nopekṣeran sabhāsadaḥ K_074b	na-upekzeran saBAsadaH K_074b
   nyagbhāvakaraṇaṃ vācā K_771a	nyagBAva-karaNam vAcA K_771a
   nyaseyur bandhumitreṣu K_845:1c	nyaseyuH banDu-mitrezu K_845:1c
   nyāyamārgād apetaṃ tu K_076a	nyAya-mArgAt apetam tu K_076a
   nyāyaśāstram atikramya K_072a	nyAya-SAstram atikramya K_072a
   nyāyaśāstrāvirodhena K_038a	nyAya-SAstra-aviroDena K_038a
   nyāyasthaṃ necchate kartum K_139a	nyAya-sTam na-icCate kartum K_139a
   nyāyāpetaṃ vivarjayet K_051d	nyAya-apetam vivarjayet K_051d
   nyāyenākramya yallabdhaṃ K_023a	nyAyena-Akramya yat-labDam K_023a
   nyāyyaṃ tadrājaśāsanam K_038d	nyAyyam tat-rAja-SAsanam K_038d
   nyāyyaṃ supariniṣṭhitam K_013d	nyAyyam su-parinizWitam K_013d
   nyāsadoṣād vināśaḥ syāc K_604a	nyAsa-dozAt vinASaH syAt K_604a
   nyāsādikaṃ paradravyaṃ K_596a	nyAsa-Adikam para-dravyam K_596a
   nyāse yācitake datte K_150c	nyAse yAcitake datte K_150c
   nyūnādhikam asaṅgatam K_187b	nyUna-aDikam asaFgatam K_187b
   nyūnāṃś ca pratipūrayet K_130b	nyUnAn ca pratipUrayet K_130b
   pakṣadvayaṃ sādhayed yā K_222e	pakza-dvayam sADayet yA K_222e
   pakṣaṃ pakṣavido viduḥ K_141d	pakzam pakza-vidaH viduH K_141d
   pakṣaṃ saṃkīrtya kalpayet K_126d	pakzam saMkIrtya kalpayet K_126d
   pakṣābhāsaṃ vivarjayet K_140d	pakza-ABAsam vivarjayet K_140d
   pakṣaikadeśavyāpyeva K_188c	pakza-eka-deSa-vyApya-iva K_188c
   pakṣaikadeśe yat satyam K_189a	pakza-eka-deSe yat satyam K_189a
   pakṣo 'nādeya iṣyate K_138d	pakzaH anAdeyaH izyate K_138d
   pañcanadyāḥ pradeśe tu K_494a	paQcanadyAH pradeSe tu K_494a
   pañcaprakāraṃ daivaṃ syān K_220a	paQca-prakAram dEvam syAt K_220a
   pañcamaḥ satyam ucyate K_700d	paQcamaH satyam ucyate K_700d
   pañcarātram atikrāntaṃ K_203c	paQca-rAtram atikrAntam K_203c
   pañcādhikasya vā nāśe K_420a	paQca-aDikasya vA nASe K_420a
   pañcāmraṃ pañcadāḍimam K_822:2b	paQca-Amram paQca-dAximam K_822:2b
   pañcāśadābdiko bhogas K_332c	paQcASat-AbdikaH BogaH K_332c
   paṇānāṃ grahaṇaṃ tu syāt K_102c	paNAnAm grahaNam tu syAt K_102c
   paṇānāṃ grahaṇaṃ tu syāt K_490c	paNAnAm grahaNam tu syAt K_490c
   paṇān grāhyas tu viṃśatim K_202f	paNAn grAhyaH tu viMSatim K_202f
   paṇyamūlye ca sarvadā K_508b	paNya-mUlye ca sarvadA K_508b
   paṇyaṃ gṛhītvā yo mūlyam K_507a	paNyam gRhItvA yaH mUlyam K_507a
   paṇyānāṃ krayavikraye K_468b	paNyAnAm kraya-vikraye K_468b
   patanīyair upākrośais K_769e	patanIyEH upAkroSEH K_769e
   patitas tena kīrtanam K_776b	patitaH tena kIrtanam K_776b
   patnī duhitaro 'pi vā K_927b	patnI duhitaraH api vA K_927b
   patnī bhartur dhanaharī K_926a	patnI BartuH Dana-harI K_926a
   patyā cāpy aviyoginyā K_835a	patyA ca-api aviyoginyA K_835a
   patradoṣān nirūpayet K_279d	patra-dozAt nirUpayet K_279d
   patrasthaiḥ sākṣibhir vācyo K_282c	patra-sTEH sAkziBiH vAcyaH K_282c
   patraṃ dūṣayati svayam K_289b	patram dUzayati svayam K_289b
   patraṃ vai lekhakasya vā K_273b	patram vE leKakasya vA K_273b
   patre vilikhya tān sarvān K_382c	patre viliKya tAn sarvAn K_382c
   patrais tallekhyanirṇayaḥ K_286d	patrEH tat-leKya-nirNayaH K_286d
   patrcāhad vāhyam eva tu K_693b	patrca-ahat vAhyam eva tu K_693b
   padadoṣam avekṣitum K_034b	pada-dozam avekzitum K_034b
   padāṣṭādaśatāṃ gate K_029b	pada-azwAdaSa-tAm gate K_029b
   padmākārāḥ prakīrtitāḥ K_738d	padma-AkArAH prakIrtitAH K_738d
   parakuḍyān niveśayet K_754d	para-kuxyAt niveSayet K_754d
   paratantrāś ca ye kecid K_962a	paratantrAH ca ye kecid K_962a
   parataḥ kretur eva tat K_699d	paratas kretuH eva tat K_699d
   parataḥ svāmine tu tat K_764f	paratas svAmine tu tat K_764f
   parato 'nuśayo na tu K_684d	paratas anuSayaH na tu K_684d
   parato 'rthaṃ samācaret K_235d	paratas arTam samAcaret K_235d
   paratra bhīruṃ dharmiṣṭham K_064c	paratra BIrum DarmizWam K_064c
   paradārābhimardanam K_947d	para-dAra-aBimardanam K_947d
   paradārābhimarśane K_094b	para-dAra-aBimarSane K_094b
   paradeśād dhṛtaṃ dravyaṃ K_826a	para-deSAt DRtam dravyam K_826a
   paradeśe sthitā yadā K_157d	para-deSe sTitA yadA K_157d
   parapūrvastriyai yat tu K_564c	parapUrva-striyE yat tu K_564c
   parabhaktopayogena K_867a	para-Bakta-upayogena K_867a
   paramākṣipati kvacit K_770b	parama-Akzipati kvacid K_770b
   pararāṣṭrād dhanaṃ yat syāc K_633a	para-rAzwrAt Danam yat syAt K_633a
   pararṇaṃ na bṛhaspatiḥ K_537d	para-RNam na bRhaspatiH K_537d
   paravākyopapādanam K_247d	para-vAkya-upapAdanam K_247d
   paras tad ṛṇī bhavet (?) K_336d	paraH tat RNI Bavet (?) K_336d
   parasmai saṃpradīyate K_309b	parasmE saMpradIyate K_309b
   paraṃ nirasya yal labdhaṃ K_871a	param nirasya yat labDam K_871a
   parājayaś ca dvividhaḥ K_246a	parAjayaH ca dviviDaH K_246a
   parānīkabhayāvahā K_044b	para-anIka-Baya-AvahA K_044b
   paricārakapatnīṃ vā K_728c	paricAraka-patnIm vA K_728c
   parijñānāya pārthivaḥ K_476d	parijQAnAya pArTivaH K_476d
   paribhuktaṃ tu yad vāsaḥ K_696a	pariBuktam tu yat vAsaH K_696a
   parimāṇakriyādibhiḥ K_236d	parimANa-kriyA-AdiBiH K_236d
   parīkṣā kutracit smṛtā K_365d	parIkzA kutracid smRtA K_365d
   parīkṣeta punar naram K_440d	parIkzeta punar naram K_440d
   parīkṣyakāriṇaṃ dhīram K_003c	parIkzya-kAriNam DIram K_003c
   paroktaḥ syād daśavidhaḥ K_246c	para-uktaH syAt daSaviDaH K_246c
   paroktaḥ svokta eva ca K_246b	para-uktaH sva-uktaH eva ca K_246b
   parokṣaṃ na kathaṃcana K_388d	parokzam na kaTaMcana K_388d
   paro dharmādhikāriṇi K_089b	paraH Darma-aDikAriNi K_089b
   paryāptasya sa vai bhavet K_960f	paryAptasya sa vE Bavet K_960f
   paryāptaṃ ditsatas tasya K_605c	paryAptam ditsataH tasya K_605c
   palāyanānuttaratvād K_208a	palAyana-anuttara-tvAt K_208a
   palāyite tu karade K_704a	palAyite tu kara-de K_704a
   pavitraṃ paramaṃ puṇyaṃ K_005c	pavitram paramam puNyam K_005c
   paśur vā jāyate gṛhe K_591d	paSuH vA jAyate gRhe K_591d
   paśustrīpuruṣādīnām K_316c	paSu-strI-puruza-AdInAm K_316c
   paśūnāṃ caiva tāḍane K_665b	paSUnAm ca-eva tAxane K_665b
   paścāt kāranibaddhaṃ yat K_294a	paScAt kAra-nibadDam yat K_294a
   paścātkāraṃ vidur budhāḥ K_264b	paScAtkAram viduH buDAH K_264b
   paścātkāro bhavet tatra K_264e	paScAtkAraH Bavet tatra K_264e
   paścāt prāptaṃ vibhajyeta K_886c	paScAt prAptam viBajyeta K_886c
   paścād ātmaviśudhyarthaṃ K_613c	paScAt Atma-viSuDi-arTam K_613c
   paścād uktān na dūṣayet K_378d	paScAt uktAn na dUzayet K_378d
   paścād deśāntaraṃ gatāḥ K_743b	paScAt deSa-antaram gatAH K_743b
   paśyet kāryāṇi kāryiṇām K_055d	paSyet kAryANi kAryiNAm K_055d
   pāṇḍulekhena phalake K_131c	pANxu-leKena Palake K_131c
   pātaneṣu svajātiṣu K_785d	pAtanezu sva-jAtizu K_785d
   pātayec chātayet tathā K_809b	pAtayet SAtayet taTA K_809b
   pātyā daṇḍā yathākramam K_786d	pAtyAH daNxAH yaTAkramam K_786d
   pādavandanikaṃ caiva K_897c	pAdavandanikam ca-eva K_897c
   pādasparśe tathaiva ca K_751b	pAda-sparSe taTA-eva ca K_751b
   pādo daṇḍaḥ prakīrtitaḥ K_667d	pAdaH daNxaH prakIrtitaH K_667d
   pāpābhyāsapravartinām K_428d	pApa-aByAsa-pravartinAm K_428d
   pāpābhyāsarateṣu ca K_431d	pApa-aByAsa-ratezu ca K_431d
   pāyyo vikāre cāśuddho K_452c	pAyyaH vikAre ca-aSudDaH K_452c
   pārajāyikaśaṃsanāt K_650b	pArajAyika-SaMsanAt K_650b
   pāraṃparyakramāgataḥ K_164b	pAraMparya-krama-AgataH K_164b
   pāruṣye kūṭakaraṇe K_095a	pAruzye kUwa-karaNe K_095a
   pāruṣye daṇḍavācike K_229b	pAruzye daNxa-vAcike K_229b
   pārthivaiḥ śaṅkitānāṃ tu K_412a	pArTivEH SaFkitAnAm tu K_412a
   pālayantī gurau sthitā K_921b	pAlayantI gurO sTitA K_921b
   pālayet taṃ tathaiva tu K_085d	pAlayet tam taTA-eva tu K_085d
   pāṣaṇḍāḥ parikīrtitāḥ K_679d	pAzaNxAH parikIrtitAH K_679d
   pitaro bhrātaraś caiva K_838c	pitaraH BrAtaraH ca-eva K_838c
   pitarau tu na dāpayet K_572d	pitarO tu na dApayet K_572d
   pitary uparate kvacit K_552b	pitari uparate kvacid K_552b
   pitā bandhuḥ pitṛvyaś ca K_363c	pitA banDuH pitRvyaH ca K_363c
   pitāsvatantraḥ pitṛmān K_466a	pitA-asvatantraH pitRmAn K_466a
   pituḥ putrasya cobhayoḥ K_839b	pituH putrasya ca-uBayoH K_839b
   pitṛdravyaṃ tad āpnuyāt K_865b	pitR-dravyam tat ApnuyAt K_865b
   pitṛpaitāmahaṃ caiva K_128a	pitRpEtAmaham ca-eva K_128a
