   akartā nityayajñānāṃ YSS_2.9a	akartA nitya-yajQAnAm YSH-_2.9a
   surāpānaṃ tu yoṣitāṃ YSS_1.34b	surA-pAnam tu yozitAm YSH-_1.34b
   surāmadyapāne kṛte YSS_1.15a	surA-madya-pAne kRte YSH-_1.15a
   sūtaṃ hatvātikṛcchraṃ tu YSS_1.22c	sUtam hatvA-atikRcCram tu YSH-_1.22c
   somam asthi tathā madhu YSS_2.45b	somam asTi taTA maDu YSH-_2.45b
   stena eva sa ucyate YSS_2.30b	stenaH eva saH ucyate YSH-_2.30b
   stenaṃ rājā nihanyate YSS_2.20d	stenam rAjA nihanyate YSH-_2.20d
   stenaḥ piśunavaktā ca YSS_2.18a	stenaH piSuna-vaktA ca YSH-_2.18a
   striyam eva prakurvāṇaṃ YSS_2.14c	striyam eva prakurvANam YSH-_2.14c
   striyaṃ tathāśvavad gacchamś YSS_2.57c	striyam taTA-aSva-vat gacCamH YSH-_2.57c
   striyo rogiṇa eva ca YSS_1.19d	striyaH rogiNaH eva ca YSH-_1.19d
   striyo hatvāviśeṣeṇa YSS_1.23a	striyaH hatvA-aviSezeNa YSH-_1.23a
   snānād vāpi hayakratau YSS_1.25d	snAnAt vA-api haya-kratO YSH-_1.25d
   svabhāvayuktam avyāptam YSS_1.4a	svaBAva-yuktam avyAptam YSH-_1.4a
   svayam eva tu yaḥ pāpaṃ YSS_2.2a	svayam eva tu yaH pApam YSH-_2.2a
   svayaṃ vā na dvijo yadi YSS_2.65d	svayam vA na dvijaH yadi YSH-_2.65d
   svalpasāhasakarttā yaḥ YSS_2.74a	su-alpa-sAhasa-karttA yaH YSH-_2.74a
   svasāraṃ ca pitur mātuḥ YSS_1.30a	svasAram ca pituH mAtuH YSH-_1.30a
   svasāraṃ duhitāṃ tathā YSS_1.29b	svasAram duhitAm taTA YSH-_1.29b
   svasutāṃ mātulasya ca YSS_1.30b	sva-sutAm mAtulasya ca YSH-_1.30b
   svāmīyagaus tasya na khaṇḍanīyaḥ YSS_1.50d	svAmIyagOH tasya na KaNxanIyaH YSH-_1.50d
   svārthabhyo grāma eva tu YSS_2.72d	sva-arTaByaH grAmaH eva tu YSH-_2.72d
   svecchāpramādād yadi te mriyante YSS_1.53b	sva-icCA-pramAdAt yadi te mriyante YSH-_1.53b
   hatvā kakaraṃ divā tu YSS_2.43a	hatvA kakaram divA tu YSH-_2.43a
   hatvā gāṃ kṣatriyaṃ vaiśyaṃ YSS_1.23c	hatvA gAm kzatriyam vESyam YSH-_1.23c
   hatvā śatam avāpnoti YSS_2.5c	hatvA Satam avApnoti YSH-_2.5c
   hatvā saṃkīrṇayonijam YSS_1.22b	hatvA saMkIrNa-yoni-jam YSH-_1.22b
   hayājāvipaśuṣv api YSS_1.27b	haya-aja-avipa-Suzu api YSH-_1.27b
   hiṅguñ ca vṛkṣaniryāsaiḥ YSS_2.38c	hiFgun ca vRkza-niryAsEH YSH-_2.38c
   hinasti bhāryāṃ sasutaṃ kalatram YSS_1.41b	hinasti BAryAm sa-sutam kalatram YSH-_1.41b
   hṛtavittaṃ vivāsayet YSS_2.21d	hRta-vittam vivAsayet YSH-_2.21d
   hṛdayaṃ viṣṭhayā liptaṃ YSS_2.23c	hRdayam vizWayA liptam YSH-_2.23c
