   akṣahīno 'pi karṣakaḥ KirT_3.11d	akza-hInaH api karzakaH KirT_3.11d
   vibhutve khaṃ yathā śabdād KirT_6.26a	viBu-tve Kam yaTA SabdAt KirT_6.26a
   vibhorapi malasyāsya KirT_2.27c	viBoH-api malasya-asya KirT_2.27c
   viruddhamasitātmakam KirT_4.27b	virudDam-asita-Atmakam KirT_4.27b
   viruddhaṃ caikahetukam KirT_4.25d	virudDam ca-eka-hetukam KirT_4.25d
   viruddhaḥ sa parasparam KirT_3.14d	virudDaH sa parasparam KirT_3.14d
   viśuddhaḥ sphaṭikaḥ kasmāt KirT_2.4a	viSudDaH sPawikaH kasmAt KirT_2.4a
   viśliṣṭa iti kathyate KirT_2.29b	viSlizwaH iti kaTyate KirT_2.29b
   viśleṣo na vibhutvataḥ KirT_2.26d	viSlezaH na viBu-tvataH KirT_2.26d
   viśleṣo 'pi na dṛśyeta KirT_6.15c	viSlezaH api na dRSyeta KirT_6.15c
   viṣayāsvādabhogataḥ KirT_2.15d	vizaya-AsvAda-BogataH KirT_2.15d
   viṣasambandhinī śaktir KirT_2.31c	viza-sambanDinI SaktiH KirT_2.31c
   visphuraccandraśekharaḥ KirT_1.11b	visPurat-candraSeKaraH KirT_1.11b
   vaikaraṇyādamūrtatvāt KirT_3.9c	vEkaraNyAt-amUrta-tvAt KirT_3.9c
   vaicitryaṃ kena hetunā KirT_3.7d	vEcitryam kena hetunA KirT_3.7d
   vyaktiryāṇormalaḥ proktaḥ KirT_2.15a	vyaktiH-yANa-UH-malaH proktaH KirT_2.15a
   vyatiriktaḥ sa yuktitaḥ KirT_2.17d	vyatiriktaH sa yuktitaH KirT_2.17d
   vyākulatvaṃ na jāyate KirT_5.12d	vyAkula-tvam na jAyate KirT_5.12d
   vyāpakatvātsa sarvatra KirT_2.6a	vyApaka-tvAt-sa sarvatra KirT_2.6a
   vyāpakaśca tvayā vibho KirT_2.5d	vyApakaH-ca tvayA viBo KirT_2.5d
   vyāpāro na ca dṛśyeta KirT_3.11e	vyApAraH na ca dRSyeta KirT_3.11e
   vyāpī māyodarāntastho KirT_1.15c	vyApI mAyA-udara-anta-sTaH KirT_1.15c
   śaktipātasya saṃsthitaḥ KirT_5.20f	SaktipAtasya saMsTitaH KirT_5.20f
   śaktipātādbhaveddīkṣā KirT_5.1a	SaktipAtAt-Bavet-dIkzA KirT_5.1a
   śaktibījakalāntagaḥ KirT_3.23d	Sakti-bIja-kalA-anta-gaH KirT_3.23d
   śaktisaṃrodhakārakam KirT_2.33d	Sakti-saMroDa-kArakam KirT_2.33d
   śakterātmaparigrahaḥ KirT_5.14b	SakteH-Atma-parigrahaH KirT_5.14b
   śambarāṇāmacintyatvād KirT_6.16c	SambarANAm-acintya-tvAt KirT_6.16c
   śalyākṛṣṭikaro dṛṣṭo hy KirT_3.11c	Salya-AkRzwi-karaH dRzwaH hi KirT_3.11c
   śiraśchedabhayānaka KirT_1.3b	SiraH-Ceda-BayAnaka KirT_1.3b
   śivajñānaṃ tathā tasya KirT_2.33c	Siva-jQAnam taTA tasya KirT_2.33c
   śivajñānaṃ paraṃ vada KirT_1.10b	Siva-jQAnam param vada KirT_1.10b
   śivatvavyaktisampūrṇaḥ KirT_1.22a	Siva-tva-vyakti-sampUrNaH KirT_1.22a
   śivaśaktiprabhāvācca KirT_4.1a	Siva-Sakti-praBAvAt-ca KirT_4.1a
   śivaśaktisamanvitaḥ KirT_4.24b	Siva-Sakti-samanvitaH KirT_4.24b
   śivasya samavetatvāt KirT_5.1c	Sivasya samaveta-tvAt KirT_5.1c
   śivasyāpi na kiṃ bhavet KirT_2.17b	Sivasya-api na kim Bavet KirT_2.17b
   śivaḥ kartā tvayā proktaḥ KirT_3.9a	SivaH kartA tvayA proktaH KirT_3.9a
   śivaḥ paramakāraṇaḥ KirT_6.1b	SivaH parama-kAraNaH KirT_6.1b
   śivo 'pi mohanidrāyāṃ KirT_5.7a	SivaH api moha-nidrAyAm KirT_5.7a
   śuddhayonimayaṃ tasya KirT_4.7c	SudDa-yoni-mayam tasya KirT_4.7c
   śuddhākṣādhyāsitaṃ mahat KirT_3.17d	SudDa-akzA-DyAsitam mahat KirT_3.17d
   śuddhāśuddhavimiśritam KirT_4.24d	SudDa-aSudDa-vimiSritam KirT_4.24d
   śuddhāśuddhasvarūpayoḥ KirT_2.1d	SudDa-aSudDa-svarUpayoH KirT_2.1d
   śuddhāśuddhaṃ yathārthataḥ KirT_2.3d	SudDa-aSudDam yaTArTataH KirT_2.3d
   śuddhāśuddhāṅgasaṃyutam KirT_4.26b	SudDa-aSudDa-aFga-saMyutam KirT_4.26b
   śuddhe 'dhvani śivaḥ kartā KirT_3.26c	SudDe aDvani SivaH kartA KirT_3.26c
   śṛṇu jñānaṃ mahodayam KirT_1.11d	SRNu jQAnam mahA-udayam KirT_1.11d
   śodhyāsteṣāṃ prakāśayet KirT_6.12d	SoDyAH-tezAm prakASayet KirT_6.12d
   śodhyo bodhyo matastviha KirT_2.21b	SoDyaH boDyaH mataH-tu-iha KirT_2.21b
   sa kathaṃ gamyate prabho KirT_3.9b	sa kaTam gamyate praBo KirT_3.9b
   sakalo 'pi pumānnaiva KirT_3.16a	sakalaH api pumAn-na-eva KirT_3.16a
   sakalo 'pi pumāṃstadā KirT_3.14b	sakalaH api pumAn=-tadA KirT_3.14b
   saṅkṣepādvivṛtiḥ padeṣu gamikā vidyākhyapāde yataḥ KirT_0.1b	saFkzepAt-vivRtiH padezu gamikA vidyA-AKya-pAde yatas KirT_0.1b
   sa ca rāgādyato rāgo KirT_3.1c	sa ca rAgAt-yatas rAgaH KirT_3.1c
   sa ca saṃskārapūrvakaḥ KirT_6.5d	sa ca saMskAra-pUrvakaH KirT_6.5d
   sa cāvidyādiparyāya- KirT_2.20c	sa ca-avidyA-Adi-paryAya KirT_2.20c
   sati kāle prabhutvaṃ syāt KirT_5.18c	sati kAle praBu-tvam syAt KirT_5.18c
   sa tiṣṭhati śarīre 'smiṃs KirT_4.13a	sa tizWati SarIre asmin KirT_4.13a
   sadyonirvāṇadāpi vā KirT_6.21b	sadyonirvANa-dA-api vA KirT_6.21b
   sanimittaṃ pravartate KirT_2.16d	sa-nimittam pravartate KirT_2.16d
   sa pāta iti mantavyas KirT_5.13c	sa pAtaH iti mantavyaH KirT_5.13c
   samakālamapekṣate KirT_5.16b	sama-kAlam-apekzate KirT_5.16b
   samatvaṃ tatkathaṃ gamyaṃ KirT_5.9c	sama-tvam tat-kaTam gamyam KirT_5.9c
   samatve sati yo bhogaḥ KirT_5.11a	sama-tve sati yaH BogaH KirT_5.11a
   samayāṃścāṅganādīnām KirT_6.11a	samayAn=-ca-aFganA-AdInAm KirT_6.11a
   samāyāti śivātkalā KirT_1.16b	samAyAti SivAt-kalA KirT_1.16b
   sa māyāntargataḥ prokto KirT_2.5c	sa mAyA-antargataH proktaH KirT_2.5c
   same karmaṇi sañjāte KirT_1.20c	same karmaNi san-jAte KirT_1.20c
   same bhogastadā na hi KirT_5.11d	same BogaH-tadA na hi KirT_5.11d
   sambandhādbadhyate paśuḥ KirT_1.17d	sambanDAt-baDyate paSuH KirT_1.17d
   saridvegavidhāraṇa KirT_1.4d	sarit-vega-viDAraNa KirT_1.4d
   sarvagā paripaṭhyate KirT_4.1d	sarvagA paripaWyate KirT_4.1d
   sarvajñatvaṃ tanau satyām KirT_4.5c	sarvajQa-tvam tanO satyAm KirT_4.5c
   sarvajñatvaṃ bhavetkhaga KirT_4.5b	sarvajQa-tvam Bavet-Kaga KirT_4.5b
   sarvajñatvātphalapradaḥ KirT_3.24b	sarvajQa-tvAt-Pala-pradaH KirT_3.24b
   sarvajñaḥ śuddhadehaśca KirT_3.27e	sarvajQaH SudDa-dehaH-ca KirT_3.27e
   sarvajñaḥ sa śivo yadvat KirT_1.21c	sarvajQaH sa SivaH yadvat KirT_1.21c
   sarvajñānaprakāśakaḥ KirT_3.27f	sarva-jQAna-prakASakaH KirT_3.27f
   sarvajñānapravṛttitaḥ KirT_3.20d	sarva-jQAna-pravRttitaH KirT_3.20d
   sarvajño 'sau tataḥ śivaḥ KirT_2.2d	sarvajQaH asO tatas SivaH KirT_2.2d
   sarvadaiva sthitā paśau KirT_5.1d	sarvadA-eva sTitA paSO KirT_5.1d
   sarvamīśaḥ sṛjatyadhaḥ KirT_4.23f	sarvam-ISaH sRjati-aDas KirT_4.23f
   sarvasya jagataḥ sthitaḥ KirT_3.8d	sarvasya jagataH sTitaH KirT_3.8d
   sarvānugrahakartṛtvād KirT_6.5a	sarva-anugraha-kartR-tvAt KirT_6.5a
   sarvānugrahakartṛtvād KirT_6.10a	sarva-anugraha-kartR-tvAt KirT_6.10a
   sarvānugrāhakatvena KirT_6.14c	sarva-anugrAhaka-tvena KirT_6.14c
   sarvānugrāhakaṃ śubhraṃ KirT_1.12c	sarva-anugrAhakam SuBram KirT_1.12c
   sarvānugrāhakaḥ proktaḥ KirT_6.1a	sarva-anugrAhakaH proktaH KirT_6.1a
   sarvānugrāhakaḥ śāntas KirT_4.29e	sarva-anugrAhakaH SAntaH KirT_4.29e
   sarvānugrāhakaḥ śivaḥ KirT_6.4d	sarva-anugrAhakaH SivaH KirT_6.4d
   sarveṣāmeva dehinām KirT_3.18d	sarvezAm-eva dehinAm KirT_3.18d
   savikārā kalādibhiḥ KirT_4.18d	sa-vikArA kalA-AdiBiH KirT_4.18d
   sahajaprakṣaye prāpte KirT_2.27a	sahaja-prakzaye prApte KirT_2.27a
   sahajaḥ syānmalo māyā- KirT_2.12a	sahajaH syAt-malaH mAyA KirT_2.12a
   sahajā kālikā tāmre KirT_2.30a	sahajA kAlikA tAmre KirT_2.30a
   saṃdehavinivṛttaye KirT_1.14d	saMdeha-vinivRttaye KirT_1.14d
   saṃruddhapuradāhaka KirT_1.2d	saMrudDa-pura-dAhaka KirT_1.2d
   saṃsārī na punastadā KirT_1.22b	saMsArI na punar-tadA KirT_1.22b
   saṃsiddhaiḥ so 'pi śambaraiḥ KirT_6.16b	saMsidDEH saH api SambarEH KirT_6.16b
   saṃskāraḥ prāṇino mataḥ KirT_6.3b	saMskAraH prANinaH mataH KirT_6.3b
   saṃskāraḥ sadṛśasteṣāṃ KirT_6.2c	saMskAraH sadRSaH-tezAm KirT_6.2c
   saṃskāreṇaiva muktiḥ syāt KirT_6.6a	saMskAreNa-eva muktiH syAt KirT_6.6a
   saṃskāro 'pi yadaivaṃ syāt KirT_6.2a	saMskAraH api yadA-evam syAt KirT_6.2a
   saṃsthānabalagarvita KirT_1.7d	saMsTAna-bala-garvita KirT_1.7d
   sā ca mocayati sphuṭam KirT_5.31d	sA ca mocayati sPuwam KirT_5.31d
   sā tanuḥ kena hetunā KirT_3.2d	sA tanuH kena hetunA KirT_3.2d
   sā śaktiḥ puṃprabodhinī KirT_5.26d	sA SaktiH puMpraboDinI KirT_5.26d
   sā śaktiḥ preritā tena KirT_4.19c	sA SaktiH preritA tena KirT_4.19c
   sukhaduḥkhādiko bhogaḥ KirT_3.5c	suKa-duHKa-AdikaH BogaH KirT_3.5c
   sudūraśravaṇādikaḥ KirT_4.7b	sudUra-SravaNa-AdikaH KirT_4.7b
   suptāñchaktyā prabodhayet KirT_5.7b	suptAn-SaktyA praboDayet KirT_5.7b
   suptāndaṇḍena bodhayet KirT_5.6d	suptAn-daNxena boDayet KirT_5.6d
   sūkṣmadehavivakṣayā KirT_2.10d	sUkzma-deha-vivakzayA KirT_2.10d
   sūkṣmaṃ cāto guṇāstebhyo KirT_4.23a	sUkzmam ca-atas guNAH-teByaH KirT_4.23a
   sūkṣmaṃ viṣavikāravat KirT_3.15d	sUkzmam viza-vikAra-vat KirT_3.15d
   sṛṣṭaṃ dehanibandhanam KirT_4.28d	sRzwam deha-nibanDanam KirT_4.28d
   sṛṣṭikāle tanuḥ kutaḥ KirT_3.6d	sRzwi-kAle tanuH kutas KirT_3.6d
   somaṃ somārdhaśekharam KirT_1.1b	somam soma-arDa-SeKaram KirT_1.1b
   so 'sṛjadbhagavānīśaḥ KirT_4.24a	saH asRjat-BagavAn-ISaH KirT_4.24a
   stutipūrvamidaṃ vacaḥ KirT_1.1d	stuti-pUrvam-idam vacaH KirT_1.1d
   sthānaprāptiḥ kvacidbhavet KirT_5.27d	sTAna-prAptiH kvacid-Bavet KirT_5.27d
   sthānayogena mantreśe KirT_4.10a	sTAna-yogena mantreSe KirT_4.10a
   sthānāśrayavaśādbhavet KirT_4.9d	sTAna-ASraya-vaSAt-Bavet KirT_4.9d
   sthitatvātsarvadā śakter KirT_5.2a	sTita-tvAt-sarvadA SakteH KirT_5.2a
   sthitākṣobhyā tataḥsmṛtā KirT_4.20f	sTita-akzoByA tatas-smRtA KirT_4.20f
   sthitā nyagrodhabījavat KirT_4.21d	sTitAH nyagroDa-bIja-vat KirT_4.21d
   sthitā prakāśikā kāryān KirT_2.14a	sTitA prakASikA kAryAn KirT_2.14a
   sthitiścoktā śivāgame KirT_6.13d	sTitiH-ca-uktA Siva-Agame KirT_6.13d
   sthito māyodare katham KirT_2.6b	sTitaH mAyA-udare kaTam KirT_2.6b
   sthityupāyavivakṣayā KirT_6.14d	sTiti-upAya-vivakzayA KirT_6.14d
   sthūlakāryāsu sūkṣmāpi KirT_4.21c	sTUla-kAryAsu sUkzmA-api KirT_4.21c
   sthūlasyāsya samantataḥ KirT_4.22b	sTUlasya-asya samantataH KirT_4.22b
   sthūlaṃ vicitrakaṃ kāryaṃ KirT_3.12a	sTUlam vicitrakam kAryam KirT_3.12a
   spandenāpyanumīyate KirT_6.25d	spandena-api-anumIyate KirT_6.25d
   sphuṭaṃ dīpāndhakāravat KirT_2.15b	sPuwam dIpa-anDakAra-vat KirT_2.15b
   sphuṭaṃ yatra kvaciddṛṣṭaṃ KirT_6.23a	sPuwam yatra kvacid-dRzwam KirT_6.23a
   svakarmamalahetutaḥ KirT_2.16b	sva-karma-mala-hetutaH KirT_2.16b
   svata eva vikāreṇa KirT_4.15c	svatas eva vikAreNa KirT_4.15c
   svatantratvātprabhutvataḥ KirT_4.29d	svatantra-tvAt-praBu-tvataH KirT_4.29d
   svataḥ kāryātprakāśikā KirT_2.12d	svatas kAryAt-prakASikA KirT_2.12d
   svato na vikṛtistasmād KirT_4.17c	svatas na vikRtiH-tasmAt KirT_4.17c
   svarūpaṃ dyotayatyāśu KirT_5.10a	svarUpam dyotayati-ASu KirT_5.10a
   svalpamapyatra kiṃ na tat KirT_6.22b	su-alpam-api-atra kim na tat KirT_6.22b
   svārjite 'pi niyamyate KirT_1.18b	sva-arjite api niyamyate KirT_1.18b
   haṭhavattanudhāraṇam KirT_4.10b	haWavat-tanu-DAraNam KirT_4.10b
   haraṃ dṛṣṭvābravīttārkṣyaḥ KirT_1.1c	haram dRzwvA-abravIt-tArkzyaH KirT_1.1c
