   Āryabhaṭakṛtam	Ārya Bawa kRtam
   āpannam bhavati | ye samatikrāntāḥ guroḥ rāśayaḥ te samatikrāntāḥ guroḥ	Apannam Bavati | ye samatikrAntAH guroH rASayaH te samatikrAntAH guroH
   aśvayujādyāḥ saṃvatsarāḥ, śeṣe ca vartamānaḥ iti |	aSvayuja AdyAH saMvatsarAH, Seze ca vartamAnaH iti |
   atha vasuvasvādayaḥ guroḥ saṃvatsarāḥ iti abhidhīyante | nanu ca taiḥ	aTa vasuvasu AdayaH guroH saMvatsarAH iti aBiDIyante | nanu ca tEH
   yugasaṃvatsaraiḥ tulyaiḥ bhavitavyam? na iti āha | ye yugasaṃvatsarāḥ te	yuga saMvatsarEH tulyEH Bavitavyam? naH iti Aha | ye yuga saMvatsarAH te
   sauryeṇa mānena dṛṣṭāḥ, am ca ye guroḥ abdāḥ te gurumānena | ttat eva	sOryeNa mAnena dRzwAH, am ca ye guroH abdAH te guru mAnena | ttat eva
   yugam sauryeṇa anumīyamānam gaganajaladabindume[gha]yamahutāśakṛta	yugam sOryeNa anumIyamAnam gagana jalada bindu me[Ga] yam ahutASa kRta
   [4320000] saṅkhyam | tat eva bārhaspatyena vasuvasvādi [4370688] saṅkhyam	[4320000] saFKyam | tat eva bArhaspatyena vasu vasu Adi [4370688] saFKyam
   | bārhaspatyābdam bṛhaspateḥ rāśibhogaḥ iti na sauryabārhaspatyau tulyau	| bArhaspatyA abdam bRhaspateH rASi BogaH iti na sOrya bArhaspatyO tulyO
   iti || 4 ||	iti || 4 ||
   [ sauracāndrasāvananākṣatramānāni ]	[ sOra cAndra sAvana nAkzatra mAnAni ]
   saura cāndra sāvana nākṣatramānapradarśanārtham āha ã	sOra  cAndra sAvana nAkzatra mAna pradarSana arTam Aha ã
   ravibhagaṇāḥ ravyabdāḥ raviśaśiyogāḥ bhavanti śaśimāsāḥ |	ravi BagaNAH ravi abdAH ravi SaSi yogAH Bavanti SaSi mAsAH |
   ravibhūyogāḥ divasāḥ bhāvartāḥ ca api nākṣatrāḥ || 5 ||	ravi BUyogAH divasAH BAva rtAH ca api na akzatrAH || 5 ||
   ravibhagaṇāḥ ravyabdāḥ | raveḥ bhagaṇāḥ, ravibhagaṇāḥ, ravyabdāḥ,	ravi BagaNAH ravi abdAH | raveH BagaNAH, ravi BagaNAH, ravi abdAH,
   ravivarṣāṇi iti yāvat | ye eva ravibhagaṇāḥ te eva ravyabdāḥ | tathā idam	ravi varzANi iti yAvat | ye eva ravi BagaNAH te eva ravyabdAH | taTA idam
   anuktam api gamyate ravirāśi bhāga liptā ravimāsa divasa nāḍyaḥ iti |	anuktam api gamyate ravi rASi BAga  liptA ravi mAsa  divasa  nAxyaH iti |
   yasmāt dvādaśarāśayaḥ bhagaṇaḥ, triṃśadbhāgā rāśiḥ, bhāgaṣaṣṭyavayavaḥ	yasmAt dvAdaSa rASayaH BagaNaH, triMSat BAgAH rASiH, BAgazazwi avayavaH
   liptā, ṣaḍrāśayaḥ ayanam uttaram dakṣiṇam ca makarakulīrāditaḥ iti |	liptA, zaz rASayaH ayanam uttaram dakziNam ca makara kulIrAditaH iti |
   katham idam avasīyate makarakulīrāditaḥ iti na punar dhaniṣṭhādeḥ	kaTam idam avasIyate makara kulIrAditaH iti na punar DanizWA AdeH
   āśleṣārdhāt iti, yasmāt uktam	ASleza arDAt iti, yasmAt uktam
   ã	ã
   ardhāśleṣāt śraviṣṭhādeḥ pravṛtte dakṣiṇottare |	arDa ASlezAt SravizWA AdeH pravRtte dakziNa uttare |
   kṣemasasyasubhikṣākhye tu ayane gharmatejasaḥ || iti |	kzema sasya su Bikza AKye tu ayane Garma tejasaH || iti |
   atra ucyate ã śrutyoḥ bhinnavākyatā | śakyate eva tat vaktum,	atra ucyate ã SrutyoH Binna vAkya tA | Sakyate eva tat vaktum,
   adṛṣṭārthatvāt | "śrutyarthānuṣṭhānaphalasya sarvaśākhāpratyayam ekam	adRzwa arTa tvAt | "Sruti arTa anuzWAna Palasya sarva SAKA pratyayam ekam
   karma" iti | śrutismṛtyoḥ punar bhede yā ca smṛtiḥ pratyakṣāviruddhā sā	karma" iti | Sruti smRtyoH punar Bede yA ca smRtiH pratyakza avirudDA sA
   parigṛhyate | iyam asmākam smṛtiḥ pratyakṣāvyabhicāriṇī, yataḥ pratyakṣeṇa	parigRhyate | iyam asmAkam smRtiH pratyakza avyaBicAriNI, yatas pratyakzeNa
   eva uttaradakṣiṇapravṛttiḥ makarakarkaṭāditaḥ eva upalakṣyate | katham?	eva uttara dakziNa pravRttiH makara karkawa AditaH eva upalakzyate | kaTam?
   yasmāt dhanuṣaḥ ante makarādisthite vidhvastāśeṣadhvāntasaṃghāte bhagavati	yasmAt DanuzaH ante makara Adi sTite viDvasta aSeza DvAnta saMGAte Bagavati
   bhāskare dinamadhyaṃgate	BAskare dinam aDyaMgate
   sarvamadhyāhnacchāyābhyaḥ mahatī madhyāhnacchāyā lakṣyate | sā ca krameṇa	sarva maDyAhna= CAyAByaH mahatI maDyAhna= CAyA lakzyate | sA ca krameNa
   apacīyamānā makarāditaḥ eva, na śraviṣṭhādeḥ | yat ca karkaṭādau	apacIyamAnAH makarAditaH eva, na SravizWA AdeH | yat ca karkawa AdO
   sarvamadhyāhnacchāyābhyaḥ svalpīyasī madhyāhnacchāyā, sā ca krameṇa	sarva maDyAhna= CAyAByaH svalpIyasI maDyAhna= CAyA, sA ca krameNa
   upacīyamānā karkaṭāditaḥ eva, na aśleṣārdhāt iti ataḥ pratyakṣasiddham	upacIyamAnA karkawAditaH eva, na aSleza arDAt iti atas pratyakza sidDam
   ayanam |	ayanam |
   athavā ayam anyārthaparaḥ eva granthaḥ | karkaṭādeḥ dakṣiṇāyanam makarādeḥ	aTavA ayam anya arTa paraH eva granTaH | karkawa AdeH dakziNAyanam makara AdeH
   ca uttarāyaṇam iti etasya abhyupagamāt eva ucyate ã yadā bhavagān	ca uttarAyaNam iti etasya aByupagamAt eva ucyate ã yadA Bava gAn
   bhāskaraḥ ardhāśleṣāt dakṣiṇam mārgam pravartate punar vasvoḥ	BAskaraH arDa ASlezAt dakziNam mArgam pravartate punar vasvoH
   caturthāṃśadim [arthāt karkaṭādim] parityajyate tadā kṣemasasyasubhikṣāḥ	caturTa aMSa dim [arTAt karkawa Adim] parityajyate tadA kzema sasya suBikzAH
   bhavanti | yadā ca makarādim parityajya śraviṣṭhādeḥ uttaram [mārgam]	Bavanti | yadA ca makara Adim parityajya SravizWA AdeH uttaram [mArgam]
   pratipadyate tadā ca tatphalārthatvam iti | atha ayam vivasvān katham evam	pratipadyate tadA ca tad Pala arTa tvam iti | aTa ayam vivasvAn kaTam evam
   pravartate iti?	pravartate iti?
   ucyate ã grahāṇām dvayī gatiḥ, saṅkhyānugatā autpātikī ca | yadā autpātikī	ucyate ã grahANAm dvayI gatiH, saFKyA anugatA OtpAtikI ca | yadA OtpAtikI
   gatiḥ evam prakārā bhavati tadā kṣemasasyasubhikṣākhye ayane [bhavataḥ] |	gatiH evam prakArA Bavati tadA kzema sasya su Bikza AKye ayane [BavataH] |
   yadā punar karkaṭamakarādim aprāptvā eva dakṣiṇottarapravṛttinivṛttī	yadA punar karkawa makara Adim aprAptvA eva dakziNa uttara pravRtti nivRttI
   bhavataḥ tadā akṣemā asasyā asubhikṣā iti etat pradarśayati |	BavataH tadA akza imAH asasyAH asuBikzAH iti etat pradarSayati |
   api atra aviditaparamārthāḥ romakāḥ paṭhanti ã	api atra avidita parama arTAH romakAH paWanti ã
   vasudaivādisārpārdhāt ayanam munayaḥ jaguḥ |	vasudEva Adi sArpa arDAt ayanam munayaH jaguH |
   mṛgakarkyāditaḥ dṛṣṭam katham tat hi gateḥ vinā ||	mRga karkyAditaH dRzwam kaTam tat hi gateH vinA ||
   iti ādigranthena | kṣudravidrāvaṇopanyāsakrameṇa yugabhagaṇān āhuḥ ã	iti Adi granTena | kzudra vidrAvaNa upanyAsa krameNa yugaBagaNAn AhuH ã
   tasmāt atra viyadrudrakṛtanandadhṛtīḥ (1894110) yugam |	tasmAt atra viyat rudra kRta nanda DRtIH (1894110) yugam |
   bhagaṇān saptaviśvākhyānādityāntyotkramāt kramāt || iti |	BagaNAn sapta viSva AKyAnAditya antya utkramAt kramAt || iti |
   atra katham idam ghaṭate yadi utkrameṇa kramāt vā punar vasvoḥ meṣādeḥ api	atra kaTam idam Gawate yadi utkrameNa kramAt vA punar vasvoH meza AdeH api
   dakṣiṇāyanam pravartate na karkaṭādau eva? tathā ca varṣāṛtuḥ meṣādeḥ	dakziNAyanam pravartate na karkawa AdO eva? taTA ca varzARtuH meza AdeH
   pravarteta [makarādeḥ] vasantaḥ | tathā ca kālaviparyāsaḥ prasajyeta |	pravarteta [makara AdeH] vasantaH | taTA ca kAla viparyAsaH prasajyeta |
   evam ca śrutyarthaḥ na anuṣṭhitaḥ bhavati | "vasante yajeta",	evam ca Sruti arTaH na anuzWitaH Bavati | "vasante yajeta",
   caitravaiśākhau vasantaḥ, "madhuḥ ca mādhavaḥ ca vāsantikau ṛtū"	cEtra vESAKO vasantaH, "maDuH ca mADavaH ca vAsantikO RtU"
   [taittirīyasaṃhitā, 4.4.11] | tathā ca "śaradi vājapeyena yajet",	[tEttirIya saMhitA, 4.4.11] | taTA ca "Saradi vAjapeyena yajet",
   aśvayukkārtikau śarat, "iṣaḥ ca ūrjaḥ ca śāradau	aSva yuj ka ArtikO Sarat, "izaH ca UrjaH ca SAradO
   ṛtū" [taittirīyasaṃhitā, 4.4.11] iti | idam ca jyotiṣām ayanam aṅgam	RtU" [tEttirIya saMhitA, 4.4.11] iti | idam ca jyotizAm ayanam aFgam
   vedasya | tasmāt na ayanasya gatiḥ | makarakarkaṭāditaḥ ayanam iti |	vedasya | tasmAt na ayanasya gatiH | makara karkawa AditaH ayanam iti |
   sarvasiddhāntaguruḥ ācāryalāṭadevaḥ āha ã	sarva sidDAnta guruH AcArya lAwadevaH Aha ã
   makarādau udagayanam dakṣiṇam ayanam ca candrabhavanādau |	makara AdO udagayanam dakziNam ayanam ca candra Bavana AdO |
   iti |	iti |
   ṛtuniścayāya āha ã	Rtu niScayAya Aha ã
   ṛtavaḥ śiśira vasanta grīṣma ghanāgama śarad himāgamanāḥ |	RtavaH SiSira  vasanta grIzma  Ga nAga ma  Sarad  hima AgamanAH |
   makarāt rāśidvayagatadinakarabhogasthitisamānāḥ ||	makarAt rASi dvaya gata dinakara Boga sTiti samAnAH ||
   iti |	iti |
   anyat ca ã apakramavṛddhiḥ dhanuḥ mithunānte eva iti | rātridivasayoḥ	anyat ca ã apakrama vRdDiH DanuH miTuna ante eva iti | rAtri divasayoH
   mahatī vṛddhiḥ makarakarkaṭādau eva, na anyataḥ eva iti | pratyakṣasiddham	mahatI vRdDiH makara karkawa AdO eva, na anyatas eva iti | pratyakza sidDam
   idam iti | ataḥ ayanayugabhagaṇaparikalpanā mudhā |	idam iti | atas ayana yuga BagaNa parikalpanA muDA |
   atha idam praṣṭavyam ã sphuṭagatyā parigahyante āhosvit madhyamagatyā iti	aTa idam prazwavyam ã sPuwa gatyA parigahyante Ahosvit maDyama gatyAH iti
   | yadi madhyamagatyā, [tadā] yāni sauryamānābhihitāni prayojanāni tāni	| yadi maDyama gatyA, [tadA] yAni sOryamAna aBihitAni prayojanAni tAni
   madhyamagatyā prāpnuvanti, sphuṭagatyā ceṣyante | kāni punar tāni	maDyama gatyA prApnuvanti, sPuwa gatyA ca izyante | kAni punar tAni
   prayojanāni iti? ucyate ã	prayojanAni iti? ucyate ã
   vāyoḥ mūrcchanam abhrāṇām utpattiḥ cakṣuṣoḥ balam |	vAyoH mUrcCanam aBrANAm utpattiH cakzuzoH balam |
   śītoṣṇavarṣaprāptiḥ ca prasādaḥ salisasya ca ||	SIta uzNa varza prAptiH ca prasAdaH salisasya ca ||
   sattvānām madalābhāḥ syuḥ ārtavaḥ ca api yoṣitām |	sattvAnAm madalABAH syuH ArtavaH ca api yozitAm |
   phalapuṣpodgamam ca eva patrāṅkuravirohaṇam ||	Pala puzpa udgamam ca eva patra aFkura virohaNam ||
   ayanānā[m ṛtūnām] ca muhūrtānām ca darśanam |	ayanAnA[m RtUnAm] ca muhUrtAnAm ca darSanam |
   pariveṣaparīdhānam paridhīnām tathā eva ca ||	pariveza parIDAnam pariDInAm taTA eva ca ||
   gandharvanagarāṇām ca tathā indradhanuṣām api |	ganDarvanagarANAm ca taTA indraDanuzAm api |
   ulkānām aśanīnām ca sandhyayoḥ vidyutām tathā ||	ulkAnAm aSanInAm ca sanDyayoH vidyutAm taTA ||
   bhūrathābhraninādānām dhiṣṇyānām patanasya ca |	BUraTa aBra ninAdAnAm DizNyAnAm patanasya ca |
   jyotiṣām varṇabhedasya grahāṇām ceṣṭitasya ca ||	jyotizAm varNa Bedasya grahANAm cezwitasya ca ||
   agneḥ auṣṇyasya śaktyoḥ ca vilayasya udbhavasya ca |	agneH OzNyasya SaktyoH ca vilayasya udBavasya ca |
   sauram mānam vijānīyāt pravartakanivartakam ||	sOram mAnam vijAnIyAt pravartaka nivartakam ||
   iti ādi prayojanāni |	iti Adi prayojanAni |
   yadi sphuṭagatyā tat etāni prayojanāni parigṛhītāni bhavanti, idam tu na	yadi sPuwa gatyA tat etAni prayojanAni parigRhItAni Bavanti, idam tu na
   siddhyati adhikāvamānām grahaṇam | yasmāt adhikāvamānām grahaṇam	sidDyati aDika avamAnAm grahaNam | yasmAt aDika avamAnAm grahaNam
   madhyamena mānena | atha katham sphuṭārtham vacanam	maDyamena mAnena | aTa kaTam sPuwa arTam vacanam
   madhyamagatipratipattaye bhaviṣyati | atha madhyamagatipratipattaye	maDyama gati pratipattaye Bavizyati | aTa maDyama gati pratipattaye
   sphuṭārtham katham iti | na eṣaḥ doṣaḥ | "śalyartham kulyāḥ praṇīyante,	sPuwa arTam kaTam iti | naH ezaH dozaH | "SalI arTam kulyAH praNIyante,
   tābhyaḥ ca pānīyam pīyate, tāsu ca upaspṛśyate" [aṣṭādhyāyī, 1.1.22	tAByaH ca pAnIyam pIyate, tAsu ca upaspRSyate" [azwa aDyAyI, 1.1.22
   pātañjalabhāṣyam] iti siddham | etat ubhayagrahaṇāt	pAtaQjala BAzyam] iti sidDam | etat uBaya grahaNAt 
   ubhayam atra parigṛhyate iti madhyamagatyā sphuṭagatyā ca | madhyamagatyā	uBayam atra parigRhyate iti maDyama gatyA sPuwa gatyA ca | maDyama gatyA
   adhikāvamānām grahaṇam siddham, sphuṭagatyā ca saṃhitākārābhihitāni	aDika avamAnAm grahaNam sidDam, sPuwa gatyA ca saMhita AkAra aBihitAni
   prayojanāni |	prayojanAni |
   raviśaśiyogāḥ bhavanti śaśimāsāḥ | raveḥ śaśinaḥ ca yogāḥ raviśaśiyogāḥ |	ravi SaSi yogAH Bavanti SaSi mAsAH | raveH SaSinaH ca yogAH ravi SaSi yogAH |
   bhavanti śaśimāsāḥ | ye yuge raviśaśiyogāḥ abhihitāḥ te śaśimāsāḥ | te ca	Bavanti SaSi mAsAH | ye yuge ravi SaSi yogAH aBihitAH te SaSi mAsAH | te ca
   prāg yathā siddhyanti tathā vyākhyātam | śaśimāsaiḥ śaśidivasaghaṭikāḥ	prAk yaTA sidDyanti taTA vyAKyAtam | SaSi mAsEH SaSi divasa GawikAH
   vyākhyātāḥ | śaśimāsena kāni punar prayojanāni?	vyAKyAtAH | SaSi mAsena kAni punar prayojanAni?
   darśam ca paurṇamāsam ca tathejyādyāḥ kriyā bhuvi |	darSam ca pOrNamAsam ca taTA ijyA AdyAH kriyA Buvi |
   parvāṇām ca parijñānam tithīnām pratyayaḥ tathā ||	parvANAm ca parijQAnam tiTInAm pratyayaH taTA ||
   prābalyam auṣadhīnām ca rasānām vyaktiḥ eva ca |	prAbalyam OzaDInAm ca rasAnAm vyaktiH eva ca |
   pūraṇam hīnatā ca indoḥ tathā eva lavaṇāmbhasaḥ ||	pUraNam hIna tA ca indoH taTA eva lavaNa amBasaH ||
   garbhāṇām jīvanam ca api tathā api ayanam eva ca |	garBANAm jIvanam ca api taTA api ayanam eva ca |
   rāhoḥ āgamanaprāptiḥ [ca] aindavam mānam āśritāḥ ||	rAhoH Agamana prAptiH [ca] Endavam mAnam ASritAH ||
   evam ādīni prayojanāni |	evam AdIni prayojanAni |
   ravibhūyogāḥ divasāḥ | raveḥ bhuvaḥ ca yogāḥ ravibhūyogāḥ | ye yuge	ravi BUyogAH divasAH | raveH BuvaH ca yogAH ravi BUyogAH | ye yuge
   ravibhūyogāḥ te yuge bhūdivasāḥ | bhūdivasaḥ nāma raveḥ ardhodayāt	ravi BUyogAH te yuge BUdivasAH | BUdivasaH nAma raveH arDa udayAt
   prabhṛti punar ardhodayam iti | sāvanaḥ divasaḥ bhūdivasaḥ iti ucyate |	praBRti punar arDa udayam iti | sAvanaH divasaH BUdivasaH iti ucyate |
   romakaiḥ sa eva bhūdivasaḥ ravyudayaḥ iti saṃjñitaḥ | kāni punar	romakEH saH eva BUdivasaH ravi udayaH iti saMjQitaH | kAni punar 
   sāvanamānasya prayojanāni?	sAvana mAnasya prayojanAni?
   yajñakālaparijñanam yajñeṣu savanāni ca |	yajQa kAla parijQanam yajQezu savanAni ca |
   vrataḥ dīkṣaṇakālaḥ ca cūḍopanayanāni ca ||	vrataH dIkzaNa kAlaH ca cUxa upanayanAni ca ||
   āyuṣām ca api nirlekhā prayogāṇām ca vṛddhayaḥ |	AyuzAm ca api nirleKA prayogANAm ca vRdDayaH |
   grahacāraparijñānam ādeśagamanāni ca |	graha cAra parijQAnam AdeSa gamanAni ca |
   yāni ca api evam ādīni saṅkhyoddiṣṭāni tāni vai |	yAni ca api evam AdIni saFKyA uddizwAni tAni vE |
   sāvanena eva mānena gaṇyante iti niścayaḥ ||	sAvanena eva mAnena gaNyante iti niScayaH ||
   etāni prayojanāni |	etAni prayojanAni |
   bhāvartāḥ ca api nākṣatrāḥ | bhānām āvartāḥ bhāvartāḥ, bhacakrabhramaṇāni	BAva rtAH ca api na akzatrAH | BAnAm AvartAH BAvartAH, Bacakra BramaNAni
   | tat ca bhacakram kim ādiḥ iti etat vicāryam | yadi meṣādiḥ syāt [tadā]	| tat ca Bacakram kim AdiH iti etat vicAryam | yadi meza AdiH syAt [tadA]
   meṣādisthe savitari savitṛbhacakrādyoḥ yugapat udayaḥ, dvitīyaḥ punar	meza Adi sTe savitari savitR Ba cakra AdyoH yugapad udayaH, dvitIyaH punar 
   anudite eva savitari bhacakrādyudayaḥ, na ca bhacakrādidvayodayāntare	anudite eva savitari Bacakra Adi udayaH, na ca Bacakra Adi dvaya udaya antare
   ṣaṣṭiḥ nāḍyaḥ | tathā ca "prāṇena iti kalām bham" [gītikāí, 6] iti	zazwiH nAxyaH | taTA ca "prANena iti kalAm Bam" [gItikAí, 6] iti
   cakraliptānām ahorātraghaṭikāpramāṇaliptānām ca tulyatā na upapadyate,	cakra liptAnAm ahorAtra GawikA pramANa liptAnAm ca tulya tA naH upapadyate,
   yasmāt apūrṇe eva ahorātre	yasmAt apUrNe eva ahorAtre
   bhacakrādiḥ udeti | yadā punar ādityodayaḥ bhacakrādiḥ parigṛhyate tadā	Ba cakra AdiH udeti | yadA punar Aditya udayaH Bacakra AdiH parigRhyate tadA
   ahorātraprāṇāḥ svadeśarāśyudayaprāṇatulyāḥ | te ca khakhaṣaḍghanatulyāḥ |	ahorAtra prANAH sva deSa rASi udaya prANa tulyAH | te ca KaKa zaxGana tulyAH |
   bhacakraliptāḥ ca tāvatyaḥ iti etat upapannam |	Ba cakra liptAH ca tAvatyaH iti etat upapannam |
   anyat ca ã udayalagnavidhiḥ sūryāt eva pravartate, audayikāt ca raveḥ | sa	anyat ca ã udaya lagna viDiH sUryAt eva pravartate, OdayikAt ca raveH | sa
   ceṣṭakāle svābhīṣṭakālāditya[rāśeḥ vicārya]māṇaḥ yāvat punar udayaḥ iti	cezwa kAle sva aBIzwa kAla Aditya[rASeH vicArya]mANaH yAvat punar udayaH iti
   tāvat na antaram vidadhāti | tasmāt ravyudayaḥ eva bhacakrādiḥ,	tAvat na antaram vidaDAti | tasmAt ravi udayaH eva Bacakra AdiH,
   vyavahāraprasiddhyartham | yadi evam grahabhuktarāśayaḥ	vyavahAra prasidDi arTam | yadi evam graha Bukta rASayaH
   ravyākrāntarāśipradeśāt eva prāpnuvanti? na eṣaḥ doṣaḥ,	ravya AkrA anta rASi pradeSAt eva prApnuvanti? naH ezaH dozaH,
   "budhāhnyajārkodayāt ca laṅkāyām" [gītikāí, 4] iti eṣām ajādinirūpaṇāt |	"buDa ahnya jArka udayAt ca laFkAyAm" [gItikAí, 4] iti ezAm aja Adi nirUpaNAt |
   kubhagaṇāḥ ca yugādyantayoḥ ajārkodayāt eva pratiparisamāptāḥ	kuBa gaNAH ca yuga Adi antayoH aja arka udayAt eva prati parisamAptAH
   iti teṣām ca ajāditā siddhā | te eva yugabhacakrāvartāḥ nākṣatradivasāḥ	iti tezAm ca ajAditA sidDAH | te eva yuga BacakrAvartAH nAkzatra divasAH
   bhūdivasāḥ iti, divasagrahaṇānuvartanāt | ke punar te bhāvartāḥ? ye	BUdivasAH iti, divasa grahaNa anuvartanAt | ke punar te BAvartAH? ye
   kubhagaṇāḥ, "ku ṅiśibuṇlṛṣkhṛ" [1582237500] iti gītikāsu [gītikāí, 3]	kuBa gaNAH, "ku FiSi buNlRzKR" [1582237500] iti gItikAsu [gItikAí, 3]
   uktāḥ | katham ete kubhagaṇāḥ bhāvartāḥ iti uktāḥ? bhacakraprativaddhāni	uktAH | kaTam ete kuBa gaNAH BAvartAH iti uktAH? Bacakra prativadDAni
   nakṣatrāṇi | tasya pravahākṣepāt aparām diśam āsādayanti | nakṣatrāṇi	nakzatrANi | tasya pravaha AkzepAt aparAm diSam AsAdayanti | nakzatrANi
   bhuvam svagatyā prāṅmukham bhramantīm iva paśyanti iti anayā gatyā bhuvaḥ	Buvam sva gatyA prAFmuKam BramantIm iva paSyanti iti anayA gatyA BuvaH
   bhagaṇānirdeśāḥ | tena uktam	BagaNa anirdeSAH | tena uktam
   ã "bhāvartāḥ ca api nākṣatrāḥ" iti | anye punar "kva āvartāḥ ca api	ã "Ba AvartAH ca api na akzatrAH" iti | anye punar "kvaH AvartAH ca api
   nākṣatrāḥ" iti paṭhanti | teṣā pāṭhāt eva hi sarvam upapannam |	nAkzatrAH" iti paWanti | tezA pAWAt eva hi sarvam upapannam |
   atha anye punar anyathā varṇayanti ã	aTa anye punar anyaTA varNayanti ã
   ddarśāt darśaḥ cāndraḥ triṃśat divasāḥ tu sāvanaḥ māsaḥ |	ddarSAt darSaH cAndraH triMSat divasAH tu sAvanaH mAsaH |
   sauryaḥ arkarāśibhogaḥ nākṣatraḥ ca indumaṇḍalakam ||	sOryaH arka rASi BogaH nAkzatraH ca indumaNxalakam ||
   [lāṭadevasya kṛtitaḥ]	[lAwadevasya kRtitaH]
   darśāt darśaḥ cāndraḥ iti sūryācandramasoḥ yaḥ paraḥ sannikarṣaḥ sa	darSAt darSaH cAndraH iti sUryAcandramasoH yaH paraH sannikarzaH sa
   darśaśabdena ucyate, sa ca tayoḥ yogaḥ | "raviśaśiyogāḥ bhavanti	darSa Sabdena ucyate, sa ca tayoH yogaH | "ravi SaSi yogAH Bavanti
   śaśimāsāḥ" iti tulyam lakṣaṇam | triṃśat divasāḥ tu sāvanaḥ māsaḥ iti etat	SaSi mAsAH" iti tulyam lakzaNam | triMSat divasAH tu sAvanaH mAsaH iti etat 
   api "ravyudayāḥ triṃśat " iti tulyam | sauryaḥ arkarāśibhogaḥ iti	api "ravyudayAH triMSat " iti tulyam | sOryaH arka rASi BogaH iti
   "ravibhagaṇāḥ ravyabdāḥ", "raveḥ rāśayaḥ api ravimāsāḥ" iti etat api	"raviBagaNAH ravyabdAH", "raveH rASayaH api ravi mAsAH" iti etat api
   tulyam lakṣaṇam | "nākṣatram ca indumaṇḍalakam" iti indoḥ maṇḍalam	tulyam lakzaNam | "nAkzatram ca indu maNxala kam" iti indoH maNxalam
   nākṣatraḥ māsaḥ iti | tatra pratyaham yaḥ candrabhogaḥ	nAkzatraH mAsaH iti | tatra pratyaham yaH candraBogaH
   sa tanmāsāvayavaḥ iti |	sa tad mAsa avayavaH iti |
   nakṣatrāṇi api vibhajyante | tat yathā ã yaḥ candrabhagaṇasya	nakzatrANi api viBajyante | tat yaTA ã yaH candra BagaNasya
   triṃśadbhāgaḥ sa nākṣatraḥ divasaḥ | evam navanakṣatradaśabhāgaḥ nākṣatraḥ	triMSat BAgaH sa nAkzatraH divasaH | evam nava nakzatra daSa BAgaH nAkzatraH
   divasaḥ iti etat abhinnam lakṣaṇam |	divasaH iti etat aBinnam lakzaNam |
   asmākam ācāryeṇa svatantrāntarāviruddhaprakriyāpratipādanārtham idam uktam	asmAkam AcAryeNa sva tantra antara avirudDa prakriyA pratipAdana arTam idam uktam
   "bhāvartāḥ ca api nākṣatrāḥ" iti | kā ca svatantrāntaraprakriyā? "prāṇena	"BAvartAH ca api na akzatrAH" iti | kA ca sva tantra antara prakriyA? "prANena
   eti kalām bham" [gītikāí, 6] iti, prāṇena kalām bham gacchati iti	eti kalAm Bam" [gItikAí, 6] iti, prANena kalAm Bam gacCati iti
   jyotiścakraliptānām bhāvartaprāṇānām ca tulyatve jyādayaḥ vidhayaḥ	jyotiScakra liptAnAm BAvarta prANAnAm ca tulya tve jyA AdayaH viDayaH
   siddhyante, na anyathā iti iyam prakriyā | yeṣām ca "nākṣatram ca	sidDi ante, na anyaTA iti iyam prakriyA | yezAm ca "nAkzatram ca
   indumaṇḍalakam" iti lakṣaṇam, taiḥ saṃhitākārābhihitaprayojanasiddhyartham	indu maNxala kam" iti lakzaNam, tEH saMhita AkAra aBihita prayojana sidDi arTam
   uktam | atra ekena lakṣaṇena	uktam | atra ekena lakzaNena
   prayojanasya aparigrahāt lakṣaṇadvayam idam iṣyate | katham? tatra āvṛttiḥ	prayojanasya aparigrahAt lakzaNa dvayam idam izyate | kaTam? tatra AvRttiH
   ekaśeṣaḥ iti, bhāvartaśabdasya ekaśeṣavyākhyānāt bhāvartāḥ ca bhāvartāḥ	eka SezaH iti, BAvarta Sabdasya eka Seza vyAKyAnAt BAva RtAH ca BAva rtAH
   ca, bhāvartāḥ | bhāni jyotīṃṣi aśvinyādīni | teṣām āvartāḥ bhāvartāḥ,	ca, BAva rtAH | BAni jyotIMzi aSvinI AdIni | tezAm AvartAH BAvartAH,
   bhaparyayāḥ iti arthaḥ | paryayaḥ ca nakṣatrāṇām candraviṣayaḥ eva	BaparyayAH iti arTaH | paryayaH ca nakzatrANAm candra vizayaH eva
   parigṛhyate, lokavyavahārāt | lokaḥ hi candrākrāntanakṣatraiḥ eva	parigRhyate, loka vyavahArAt | lokaH hi candra AkrAnta nakzatrEH eva
   vyavaharati | athavā anyārtham prakṛtam anyārtham api bhavati, "śālyartham	vyavaharati | aTavA anya arTam prakRtam anya arTam api Bavati, "SAli arTam
   kulyāḥ praṇīyante, tāsu ca upaspṛśyate"	kulyAH praNIyante, tAsu ca upaspRSyate"
   [aṣṭādhyāyī, 1.1.22, pātañjalamahābhāṣyam] iti | athavā "bhāvartaḥ ca	[azwa aDyAyI, 1.1.22, pAtaQjala mahA BAzyam] iti | aTavA "BAvartaH ca
   nākṣatraḥ" iti ekavacanena siddhe "bhāvartāḥ ca nākṣatrāḥ" iti	nAkzatraH" iti eka vacanena sidDe "Ba AvartAH ca nAkzatrAH" iti
   bahuvacananirdeśam kurvan ācāryaḥ jñāpayati nākṣatrasya anekalakṣaṇam iti	bahuvacana nirdeSam kurvan AcAryaH jQApayati na akzatrasya aneka lakzaNam iti
