   akasmāj jāyate sthūlaḥ VMv_1.61a	akasmAt jAyate sTUlaH VMu-_1.61a
   digdinaiś ca kramān mṛtiḥ VMv_2.38d	diS-dinEH ca kramAt mRtiH VMu-_2.38d
   digbāṇaguṇanetreṣu VMv_1.106c	digbANa-guNa-netrezu VMu-_1.106c
   dinatrayaṃ punaś candre VMv_2.9a	dina-trayam punar candre VMu-_2.9a
   dinadvitricatuṣṭayam VMv_2.35b	dina-dvi-tri-catuzwayam VMu-_2.35b
   dinanyūnaikavarṣataḥ VMv_2.48b	dina-nyUna-eka-varzataH VMu-_2.48b
   dinam ekam ahorātraṃ VMv_2.35a	dinam ekam ahorAtram VMu-_2.35a
   dināni trīṇi pavanaḥ VMv_2.8c	dinAni trINi pavanaH VMu-_2.8c
   dināni trīṇi pūrvavad VMv_2.10c	dinAni trINi pUrvavat VMu-_2.10c
   dināny aṅkakramāl likhet VMv_2.54d	dinAni aFka-kramAt liKet VMu-_2.54d
   dinārdhaṃ yadi sūryagaḥ VMv_2.34b	dina-arDam yadi sUrya-gaH VMu-_2.34b
   dine kālaṃ nirūpayet VMv_2.5b	dine kAlam nirUpayet VMu-_2.5b
   dineṣu maraṇaṃ bhavet VMv_1.106d	dinezu maraNam Bavet VMu-_1.106d
   divā chāyāpathaṃ paśyed VMv_1.65a	divA CAyA-paTam paSyet VMu-_1.65a
   divā nakṣatramaṇḍalam VMv_1.64b	divA nakzatra-maNxalam VMu-_1.64b
   diśāṃ rātrāv adarśanam VMv_1.71b	diSAm rAtrO adarSanam VMu-_1.71b
   dīnānāthasalajjebhyaḥ VMv_3.16a	dIna-anATa-sa-lajjeByaH VMu-_3.16a
   dīrgham āyus tathā prāpya VMv_3.24c	dIrGam AyuH taTA prApya VMu-_3.24c
   dīrghāyur api mandāyuḥ VMv_3.13a	dIrGa-AyuH api manda-AyuH VMu-_3.13a
   dīrghāyur mṛtyuvañcakaḥ VMv_3.15d	dIrGa-AyuH mRtyu-vaQcakaH VMu-_3.15d
   dīrghāyuḥ puruṣaḥ sadā VMv_1.89b	dIrGa-AyuH puruzaH sadA VMu-_1.89b
   durbodhaṃ mandabuddhīnāṃ VMv_1.3a	durboDam manda-budDInAm VMu-_1.3a
   duṣkaraṃ calacetasām VMv_1.3b	duzkaram cala-cetasAm VMu-_1.3b
   duḥkhasaṃdohanāśanam VMv_4.35d	duHKa-saMdoha-nASanam VMu-_4.35d
   dūrvādaśāṃśahomena VMv_3.56c	dUrvA-daSa-aMSa-homena VMu-_3.56c
   dṛḍhāhaṅkārato dhyātvā VMv_4.21c	dRXa-ahaFkArataH DyAtvA VMu-_4.21c
   dṛḍhāhaṅkārasaṃgatāt VMv_4.39b	dRXa-ahaFkAra-saMgatAt VMu-_4.39b
   dṛḍho vā dantasaṃdaṃśas VMv_1.58c	dRXaH vA danta-saMdaMSaH VMu-_1.58c
   dṛśyadeśaṃ parityajya VMv_1.91c	dRSya-deSam parityajya VMu-_1.91c
   dṛśyante 'ṅgulipīḍanāt VMv_1.103b	dRSyante aFguli-pIxanAt VMu-_1.103b
   dṛśyān anyāṃś ca bhīṣaṇān VMv_1.67b	dRSyAn anyAn ca BIzaNAn VMu-_1.67b
   dṛṣṭayā kṛṣṇarekhayā VMv_1.81b	dRzwayA kRzNa-reKayA VMu-_1.81b
   dṛṣṭarūpe 'pi vibhramaḥ VMv_1.63b	dRzwa-rUpe api viBramaH VMu-_1.63b
   dṛṣṭaśakter anekaśaḥ VMv_3.49d	dRzwa-SakteH anekaSas VMu-_3.49d
   dṛṣṭau pakṣād vināśanam VMv_1.110b	dRzwO pakzAt vinASanam VMu-_1.110b
   dṛṣṭvā paśyec chanair nabhaḥ VMv_1.93d	dRzwvA paSyet SanEs naBaH VMu-_1.93d
   dṛṣṭvāpi lakṣaṇaṃ yatra VMv_1.20a	dRzwvA-api lakzaNam yatra VMu-_1.20a
   dṛṣṭvā yogeśvaraṃ mṛtyur VMv_4.27a	dRzwvA yogeSvaram mRtyuH VMu-_4.27a
   devatādarśitaḥ svapnaḥ VMv_1.121a	devatA-darSitaH svapnaH VMu-_1.121a
   deśāntaravisarpiṇaḥ VMv_1.91d	deSa-antara-visarpiNaH VMu-_1.91d
   daivakṣobho dvidheṣyate VMv_1.14b	dEva-kzoBaH dviDA-izyate VMu-_1.14b
   daivakṣobho 'naśanādi- VMv_1.15c	dEva-kzoBaH anaSana-Adi VMu-_1.15c
   daivabhūtobhayakṣobhān VMv_1.13a	dEva-BUta-uBaya-kzoBAn VMu-_1.13a
   daivasaṃkṣobhato mṛtyur VMv_1.15a	dEva-saMkzoBataH mRtyuH VMu-_1.15a
   dravyaiḥ saṃghasya bhojanāt VMv_3.21b	dravyEH saMGasya BojanAt VMu-_3.21b
   dvātriṃśad divasān yadi VMv_2.39b	dvAtriMSat divasAn yadi VMu-_2.39b
   dvādaśāhavivarjitaiḥ VMv_2.49d	dvAdaSa-aha-vivarjitEH VMu-_2.49d
   dvādaśāhaṃ varṣadvayāt VMv_2.45a	dvAdaSa-aham varza-dvayAt VMu-_2.45a
   dvādaśonaikavarṣataḥ VMv_2.46d	dvAdaSa-Una-eka-varzataH VMu-_2.46d
   dvāviṃśatiṃ cet ṣaḍmāsair VMv_2.49c	dvAviMSatim ced zaz-mAsEH VMu-_2.49c
   dvāsaptatidinonitāt VMv_2.45d	dvAsaptati-dina-UnitAt VMu-_2.45d
   dvāsaptatidinonitaiḥ VMv_2.43b	dvAsaptati-dina-UnitEH VMu-_2.43b
   dvidhā maraṇalakṣaṇam VMv_1.10b	dviDA maraNa-lakzaNam VMu-_1.10b
   dvimāsamṛtyur hṛtpādau VMv_1.87a	dvi-mAsa-mRtyuH hRd-pAdO VMu-_1.87a
   dvimāsād yamadarśanam VMv_1.109b	dvi-mAsAt yama-darSanam VMu-_1.109b
   dvilakṣādijapād evam VMv_4.55a	dvi-lakza-Adi-japAt evam VMu-_4.55a
   dharmateti padaṃ tataḥ VMv_3.51d	DarmatA-iti padam tatas VMu-_3.51d
   dharmadarśī ca jīvite VMv_4.8b	Darma-darSI ca jIvite VMu-_4.8b
   dharmam eva smaret tataḥ VMv_2.11d	Darmam eva smaret tatas VMu-_2.11d
   dharmasaṃbhogakāyādi- VMv_4.76a	Darma-saMBoga-kAya-Adi VMu-_4.76a
   dharmaḥ saṃprāpyate sūkṣmaḥ VMv_3.4c	DarmaH saMprApyate sUkzmaH VMu-_3.4c
   dharmaḥ syāt puṇyalakṣaṇaḥ VMv_3.32b	DarmaH syAt puNya-lakzaNaH VMu-_3.32b
   dharmācārī jitendriyaḥ VMv_1.6b	Darma-AcArI jita-indriyaH VMu-_1.6b
   dharmāśokanarendravat VMv_3.21d	Darma-aSoka-narendra-vat VMu-_3.21d
   dharmo hi trāyate mṛtyor VMv_3.7c	DarmaH hi trAyate mRtyoH VMu-_3.7c
   dhavalā nararūpiṇī VMv_1.94b	DavalA nara-rUpiNI VMu-_1.94b
   dhastābhyām apamārjitāt VMv_1.83b	DastAByAm apamArjitAt VMu-_1.83b
   dhātubhir nātiśītalaiḥ VMv_3.75b	DAtuBiH na-ati-SItalEH VMu-_3.75b
   dhātuvaiṣamyato rogāt VMv_1.12a	DAtu-vEzamyataH rogAt VMu-_1.12a
   dhārakaḥ sarvamṛtyūnāṃ VMv_3.37c	DArakaH sarva-mRtyUnAm VMu-_3.37c
   dhāraṇījapataś cāpi VMv_3.27c	DAraNI-japataH ca-api VMu-_3.27c
   dhāraṇījāpatatparāḥ VMv_3.29b	DAraNI-jApa-tatparAH VMu-_3.29b
   dhāraṇīsaṃcayādyukta- VMv_3.29a	DAraNI-saMcayAdyukta VMu-_3.29a
   dhautaś ca nirjalaiḥ kṣīrair VMv_3.47c	DOtaH ca nirjalEH kzIrEH VMu-_3.47c
   dhyātvā candrakramān mṛtyuṃ VMv_4.45c	DyAtvA candra-kramAt mRtyum VMu-_4.45c
   dhyātvā tasyāpi hṛdaye VMv_4.25a	DyAtvA tasya-api hRdaye VMu-_4.25a
   dhyātvā mṛtyuṃ na paśyati VMv_4.38d	DyAtvA mRtyum na paSyati VMu-_4.38d
   dhyātvāryatārāṃ hṛdaye VMv_4.30c	DyAtvA-arya-tArAm hRdaye VMu-_4.30c
   dhyātvā vairocanaṃ śuklam VMv_4.20c	DyAtvA vErocanam Suklam VMu-_4.20c
   dhyānādibhir maraṇa-vañcana eva yatnaḥ VMv_2.55d	DyAna-AdiBiH maraNa-vaQcanaH eva yatnaH VMu-_2.55d
   dhyānād iṣṭaphalasthairyam VMv_4.6c	DyAnAt izwa-Pala-sTEryam VMu-_4.6c
   dhyāyād ekam aharniśam VMv_4.18d	DyAyAt ekam aharniSam VMu-_4.18d
   dhyāyād ekāgracittaḥ san VMv_4.32a	DyAyAt ekAgra-cittaH san VMu-_4.32a
   dhruvam āyur vivardhate VMv_3.16d	Druvam AyuH vivarDate VMu-_3.16d
   dhruvam āyur vivardhate VMv_3.22d	Druvam AyuH vivarDate VMu-_3.22d
   dhruvaṃ chāyāpathaṃ tathā VMv_1.72b	Druvam CAyA-paTam taTA VMu-_1.72b
   dhruvaṃ nivārayen mṛtyum VMv_3.79c	Druvam nivArayet mRtyum VMu-_3.79c
   dhruvaṃ syān mṛtyuvañcanam VMv_3.56d	Druvam syAt mRtyu-vaQcanam VMu-_3.56d
   nakṣatracakrasaptarṣi- VMv_1.71a	nakzatra-cakra-saptarzi VMu-_1.71a
   nakheṣu raktavarṇeṣu VMv_1.60a	naKezu rakta-varNezu VMu-_1.60a
   na cātra maṇisāmarthye VMv_3.38a	na ca-atra maNi-sAmarTye VMu-_3.38a
   na cāpy arthasya rāśibhiḥ VMv_3.4b	na ca-api arTasya rASiBiH VMu-_3.4b
   na cintāṃ cintayec cintyām VMv_4.77a	na cintAm cintayet cintyAm VMu-_4.77a
   na tad vastvantaraṃ loke VMv_3.66a	na tat vastu-antaram loke VMu-_3.66a
   na tu lakṣaṇanāstitā VMv_1.19d	na tu lakzaNa-na-astitAH VMu-_1.19d
   natvā saṃbuddham ādarāt VMv_1.2d	natvA saMbudDam AdarAt VMu-_1.2d
   na duṣkaraṃ kiṃ cana vikrameṇa VMv_4.92a	na duzkaram kim cana vikrameNa VMu-_4.92a
   na duṣkaraṃ yataḥ kiṃ cid VMv_1.8a	na duzkaram yatas kim cit VMu-_1.8a
   na dharmarahitas tiṣṭhet VMv_3.8a	na Darma-rahitaH tizWet VMu-_3.8a
   na prabhur mṛtyuvañcane VMv_3.8d	na praBuH mRtyu-vaQcane VMu-_3.8d
   na bhāvaṃ bhāvayed vidvān VMv_4.78a	na BAvam BAvayet vidvAn VMu-_4.78a
   namas traiyadhvikānāṃ prāk VMv_3.51a	namaH trEyaDvikAnAm prAk VMu-_3.51a
   namaḥ samantakāyeti VMv_4.10a	namaH samantakAya-iti VMu-_4.10a
   na mṛtyur dṛśyate kva cit VMv_1.20b	na mRtyuH dRSyate kva cit VMu-_1.20b
   naraṃ kṛṣṇaparicchadam VMv_1.134b	naram kRzNa-paricCadam VMu-_1.134b
   naro yas tv abhirohati VMv_1.126b	naraH yaH tu aBirohati VMu-_1.126b
   navāhaṃ cet tribhir varṣaiḥ VMv_2.43c	nava-aham ced triBiH varzEH VMu-_2.43c
   na vinā jīvitāt sāraṃ VMv_1.7a	na vinA jIvitAt sAram VMu-_1.7a
   na śrūyate pañcadinaṃ VMv_1.99c	na SrUyate paQca-dinam VMu-_1.99c
   naṣṭe jyotiṣi mṛtyuḥ syāt VMv_1.105c	nazwe jyotizi mRtyuH syAt VMu-_1.105c
   nasyapradānād vidhinā VMv_3.71c	nasya-pradAnAt viDinA VMu-_3.71c
   nāgān anekaśaḥ paśyet VMv_1.92a	nAgAn anekaSas paSyet VMu-_1.92a
   nāḍīvicchedadarśanāt VMv_1.59b	nAxI-vicCeda-darSanAt VMu-_1.59b
   nāta ūrdhvam asaṃbhavāt VMv_2.51d	na-atas UrDvam asaMBavAt VMu-_2.51d
   nātaḥ śraddhā na yujyate VMv_1.120d	na-atas SradDA na yujyate VMu-_1.120d
   nāticaṅkramaṇe priyaḥ VMv_4.3b	na-ati-caFkramaNe priyaH VMu-_4.3b
   nādaś cet karṇayor bhavet VMv_1.48b	nAdaH ced karNayoH Bavet VMu-_1.48b
   nānārogād upadravaḥ VMv_1.33b	nAnA-rogAt upadravaH VMu-_1.33b
   nānopāyair atas tūrṇaṃ VMv_1.7c	nAnA-upAyEH atas tUrNam VMu-_1.7c
   nāpy abhāvaṃ vibhāvayet VMv_4.78b	na-api aBAvam viBAvayet VMu-_4.78b
   nābhiparyantago bhavet VMv_1.51b	nABi-paryanta-gaH Bavet VMu-_1.51b
   nābher viparyayān mṛtyuḥ VMv_1.111a	nABeH viparyayAt mRtyuH VMu-_1.111a
   nābhau vedho yadā bhavet VMv_1.36b	nABO veDaH yadA Bavet VMu-_1.36b
   nābhau hikkāṃ gude hañchāṃ VMv_1.75a	nABO hikkAm gude haQCAm VMu-_1.75a
   nābhyāsarahitas tiṣṭhen VMv_4.57a	na-aByAsa-rahitaH tizWet VMu-_4.57a
   nāśān mṛtyur ahastrayāt VMv_1.112d	nASAt mRtyuH ahar-trayAt VMu-_1.112d
   nāśonmukho 'pi dīpādis VMv_4.89a	nASa-unmuKaH api dIpa-AdiH VMu-_4.89a
   nāsāgranirgato vāyur VMv_4.71a	nAsA-agra-nirgataH vAyuH VMu-_4.71a
   nāsāgramāṃsaśaithilyān VMv_1.53a	nAsA-agra-mAMsa-SETilyAn VMu-_1.53a
   nāsāgrasya vināśataḥ VMv_1.107d	nAsA-agrasya vinASataH VMu-_1.107d
   nāsikāgaddrikāvedhe VMv_1.40a	nAsikA-gaddrikA-veDe VMu-_1.40a
   nāsikādakṣiṇetare VMv_2.6c	nAsikA-dakziNa-itare VMu-_2.6c
   nāsikāṃ yadi vidhyati VMv_1.38b	nAsikAm yadi viDyati VMu-_1.38b
   nityapravṛttā vibhinatti kāle VMv_4.92c	nitya-pravRttAH viBinatti kAle VMu-_4.92c
   'niyatas tu viparyayāt VMv_1.24d	aniyataH tu viparyayAt VMu-_1.24d
   niyato 'niyataś ceti VMv_1.23c	niyataH aniyataH ca-iti VMu-_1.23c
   nirantaranirodho 'pi VMv_4.68c	nirantara-niroDaH api VMu-_4.68c
   nirarthako visaṃvādī VMv_1.120a	nirarTakaH visaMvAdI VMu-_1.120a
   nirūpakanaro yatra VMv_2.5a	nirUpaka-naraH yatra VMu-_2.5a
   nirodhanāt kumbhakaḥ syāt VMv_4.61c	niroDanAt kumBakaH syAt VMu-_4.61c
   nirodhaś cātra śasyate VMv_3.77b	niroDaH ca-atra Sasyate VMu-_3.77b
   nirodho mṛtyulakṣaṇam VMv_1.5b	niroDaH mRtyu-lakzaNam VMu-_1.5b
   nirodho mṛtyuvañcakaḥ VMv_4.60d	niroDaH mRtyuvaQcakaH VMu-_4.60d
   nirgamena praveśitaiḥ VMv_3.76b	nirgamena praveSitEH VMu-_3.76b
   nirvikalpamanā bhavet VMv_4.82d	nirvikalpa-manAH Bavet VMu-_4.82d
   niścitaḥ syāt parisphuṭam VMv_2.3b	niScitaH syAt parisPuwam VMu-_2.3b
   niścite dūrato mṛtyau VMv_1.21a	niScite dUratas mRtyO VMu-_1.21a
   niścetur dūṣaṇaṃ tatra VMv_1.19c	niScetuH dUzaNam tatra VMu-_1.19c
   niḥśeṣaguṇasaṃbhavaḥ VMv_4.74b	niHSeza-guNa-saMBavaH VMu-_4.74b
   niḥśeṣadoṣapraśamo VMv_4.74a	niHSeza-doza-praSamaH VMu-_4.74a
   niḥśeṣarogasaṃdoha- VMv_3.48c	niHSeza-roga-saMdoha VMu-_3.48c
   niḥsparśā dravavarjitā VMv_1.113b	niHsparSA drava-varjitAH VMu-_1.113b
   nīlāditvaṃ ca varṇataḥ VMv_1.114b	nIla-Adi-tvam ca varNataH VMu-_1.114b
   netrayos tārake mliṣṭe VMv_1.55a	netrayoH tArake mlizwe VMu-_1.55a
   netre ca vartulībhūte VMv_1.56c	netre ca vartulIBUte VMu-_1.56c
   naivāpnuyāt phalaṃ kiṃ cic VMv_3.6c	na-eva-ApnuyAt Palam kim cit VMu-_3.6c
   noktāḥ ṣoḍaśasaṃkhyā ye VMv_2.41c	na-uktAH zoxaSa-saMKyAH ye VMu-_2.41c
   notpattir yugapan matā VMv_1.18b	na-utpattiH yugapad matA VMu-_1.18b
   nyāyārabdhāḥ sarvayatnāḥ phalanti VMv_4.93d	nyAya-ArabDAH sarva-yatnAH Palanti VMu-_4.93d
   pakṣatrayeṇa mṛtyuḥ syād VMv_1.45c	pakza-trayeNa mRtyuH syAt VMu-_1.45c
   pakṣadvayaviparyāsāt VMv_2.12a	pakza-dvaya-viparyAsAt VMu-_2.12a
   pakṣiṇo jīvakāṅkṣiṇaḥ VMv_3.13d	pakziNaH jIva-kAFkziNaH VMu-_3.13d
   pakṣimatsyamṛgavyāḍa- VMv_3.12c	pakzi-matsya-mRga-vyAxa VMu-_3.12c
   pakṣe reto 'tikṛṣṇakam VMv_1.116b	pakze retaH ati-kRzNakam VMu-_1.116b
   pañcatridvidinair mṛtyur VMv_2.39c	paQcatridvi-dinEH mRtyuH VMu-_2.39c
   pañcatvaṃ jāyate tadā VMv_1.36d	paQcatvam jAyate tadA VMu-_1.36d
   pañcatvaṃ yāti pañcabhiḥ VMv_1.43d	paQcatvam yAti paQcaBiH VMu-_1.43d
   pañcabhyaḥ pañcaviṃśaddivasagatir ihā-rohate pañcavṛddhyā VMv_2.53a	paQcaByaH paQcaviMSat-divasa-gatiH iha-A-rohate paQca-vRdDyA VMu-_2.53a
   pañcamāsād bhaven mṛtyur VMv_1.107c	paQca-mAsAt Bavet mRtyuH VMu-_1.107c
   pañcamāsād viniścitā VMv_1.82d	paQca-mAsAt viniScitAH VMu-_1.82d
   pañcarakṣāvidhānād vā VMv_3.26c	paQca-rakzA-viDAnAt vA VMu-_3.26c
   pañca varṣāṇi jīvati VMv_4.54d	paQca varzANi jIvati VMu-_4.54d
   pañcaviṃśatim eva vā VMv_1.100b	paQcaviMSatim eva vA VMu-_1.100b
   pañcāmṛtaprayuktibhiḥ VMv_3.72b	paQcAmRta-prayuktiBiH VMu-_3.72b
   pañcāmṛtarasāyanam VMv_3.78d	paQcAmRta-rasAyanam VMu-_3.78d
   pañcāśaddivasais tathā VMv_1.113d	paQcASat-divasEH taTA VMu-_1.113d
   pañcāṣṭaśikṣākaraṇān VMv_3.14c	paQca-azwa-SikzA-karaNAn VMu-_3.14c
   pañcāhapañcaviṃśatyor VMv_2.41a	paQca-Aha-paQcaviMSatyoH VMu-_2.41a
   pañcāhaṃ ca daśāhaṃ ca VMv_2.36a	paQca-aham ca daSa-aham ca VMu-_2.36a
   pañcāhaṃ ced vahet sūrye VMv_2.21c	paQca-aham ced vahet sUrye VMu-_2.21c
   pañcāhaṃ ced vahen marut VMv_2.25b	paQca-aham ced vahet marut VMu-_2.25b
   pañcāhaṃ ced vahen mṛtyur VMv_2.22c	paQca-aham ced vahet mRtyuH VMu-_2.22c
   pañcāhaṃ māruto mṛtyuḥ VMv_2.24c	paQca-aham mArutaH mRtyuH VMu-_2.24c
   pañcāhād upaśliṣyati VMv_1.111b	paQca-ahAt upaSlizyati VMu-_1.111b
   paṭāder agrataḥ pūjāṃ VMv_3.39a	pawa-AdeH agratas pUjAm VMu-_3.39a
   paṇḍitāḥ śāstrapāragāḥ VMv_4.95b	paNxitAH SAstra-pAragAH VMu-_4.95b
   patitair dhātubindubhiḥ VMv_3.75d	patitEH DAtu-binduBiH VMu-_3.75d
   padaṃ brūyād anantaram VMv_3.57d	padam brUyAt anantaram VMu-_3.57d
   padmacandrāsanopari VMv_4.19d	padma-candra-Asana-upari VMu-_4.19d
   paralokaṃ vicintayet VMv_1.79d	para-lokam vicintayet VMu-_1.79d
   parākṣṇoḥ pratibimbasyā- VMv_1.110a	parAkzNoH pratibimbasyA VMu-_1.110a
   paricchedāya paṇḍitaiḥ VMv_4.65d	paricCedAya paNxitEH VMu-_4.65d
   pariṇāmāt tanoḥ puṣṭiḥ VMv_4.87a	pariNAmAt tanoH puzwiH VMu-_4.87a
   pariṇāmo 'pi śaktitaḥ VMv_4.86d	pariNAmaH api Saktitas VMu-_4.86d
   parīkṣottīrṇavajradhṛk VMv_3.36b	parIkzA-uttIrNa-vajraDRk VMu-_3.36b
   parvatādau kva cit sthitaḥ VMv_4.2d	parvata-AdO kva cit sTitaH VMu-_4.2d
   palitādivināśanam VMv_4.46d	palita-Adi-vinASanam VMu-_4.46d
   palitādīṃś ca nāśayet VMv_4.49b	palita-AdIn ca nASayet VMu-_4.49b
   paścāt tāre dvir uccaret VMv_3.42b	paScAt tAre dvis uccaret VMu-_3.42b
   paścāt tāre prayojayet VMv_4.33b	paScAt tAre prayojayet VMu-_4.33b
   paścāt svaṃ jānumaṇḍalam VMv_4.64d	paScAt svam jAnu-maNxalam VMu-_4.64d
   paśyann api na paśyati VMv_4.72d	paSyan api na paSyati VMu-_4.72d
   paśyet pretapiśācān a- VMv_1.67a	paSyet preta-piSAcAn a VMu-_1.67a
   paśyet ṣaḍmāsamṛtyukaḥ VMv_1.136d	paSyet zaz-mAsa-mRtyukaH VMu-_1.136d
   paśyed indradhanuś citraṃ VMv_1.89a	paSyet indraDanuH citram VMu-_1.89a
   paśyed ekatra melakam VMv_1.65d	paSyet ekatra melakam VMu-_1.65d
   paśyed ekaikaśas tasya VMv_1.68c	paSyet ekEkaSas tasya VMu-_1.68c
   paśyen mṛtyuṃ sa pakṣataḥ VMv_1.77d	paSyet mRtyum sa pakzataH VMu-_1.77d
   pāṇinā triḥ parāmṛśya VMv_4.65a	pANinA tris parAmRSya VMu-_4.65a
   pādayos tālukāṃ viddhvā VMv_1.36a	pAdayoH tAlukAm vidDvA VMu-_1.36a
   pādayos tālukāṃ viddhvā VMv_1.37a	pAdayoH tAlukAm vidDvA VMu-_1.37a
   pādayos tālukāṃ viddhvā VMv_1.38a	pAdayoH tAlukAm vidDvA VMu-_1.38a
   pādāṅguṣṭhaṃ samārabhya VMv_1.51a	pAdAFguzWam samAraBya VMu-_1.51a
   pādāṅguṣṭhād dhṛdayāntaṃ VMv_1.52a	pAdAFguzWAt DRdaya-antam VMu-_1.52a
   pādāmbūjadvayopari VMv_4.23d	pAdAmbUja-dvaya-upari VMu-_4.23d
   pārśvadvayasyākṛṣṭau tu VMv_1.111c	pArSva-dvayasya-AkRzwO tu VMu-_1.111c
   pāśagṛhītahastāya VMv_4.11d	pASa-gRhIta-hastAya VMu-_4.11d
   pittaśleṣmādyupadravaḥ VMv_1.17d	pitta-Slezma-Adi-upadravaH VMu-_1.17d
   'pi vā syān mṛtyuvañcanam VMv_3.31d	api vA syAt mRtyu-vaQcanam VMu-_3.31d
   pīḍitān bhayakātarān VMv_3.15b	pIxitAn Baya-kAtarAn VMu-_3.15b
   pīyūṣadravasaṃcayam VMv_4.70b	pIyUza-drava-saMcayam VMu-_4.70b
   pīyūṣarasavedanam VMv_4.48d	pIyUza-rasa-vedanam VMu-_4.48d
   puṭadvayaṃ parityajya VMv_2.20a	puwa-dvayam parityajya VMu-_2.20a
   puṭe pratyekam āśritaḥ VMv_2.6d	puwe pratyekam ASritaH VMu-_2.6d
   puṭonnītapuṭe kramāt VMv_3.76d	puwa-unnIta-puwe kramAt VMu-_3.76d
   puṇyam evārjayet tataḥ VMv_1.42d	puNyam eva-arjayet tatas VMu-_1.42d
   puṇyāt syād āyuṣo vṛddhis VMv_3.32c	puNyAt syAt AyuzaH vRdDiH VMu-_3.32c
   puṇyād eveṣṭasaṃsiddhir VMv_4.5a	puNyAt eva-izwa-saMsidDiH VMu-_4.5a
   putrabhāryāvināśaḥ syād VMv_1.95a	putra-BAryA-vinASaH syAt VMu-_1.95a
   punarujjīvanaṃ dṛṣṭaṃ VMv_3.77a	punar-ujjIvanam dRzwam VMu-_3.77a
   punas tasyāpi hṛdaye VMv_4.25c	punar tasya-api hRdaye VMu-_4.25c
   punas tailādisaṃprāpteḥ VMv_4.89c	punar tEla-Adi-saMprApteH VMu-_4.89c
   purataḥ pṛṣṭhato 'pi vā VMv_1.85b	puratas pRzWatas api vA VMu-_1.85b
   puro gaganamadhyataḥ VMv_1.90b	puras gagana-maDyatas VMu-_1.90b
   puṣṭer balavivardhanam VMv_4.87b	puzweH bala-vivarDanam VMu-_4.87b
   puṣpitaṃ karavīrakam VMv_1.122b	puzpitam karavIrakam VMu-_1.122b
   puṣyaśeṣadinaiś cāpi VMv_1.35c	puzya-Seza-dinEH ca-api VMu-_1.35c
   puṣyasaṃkrāntidivase VMv_1.28a	puzya-saMkrAnti-divase VMu-_1.28a
   puṣyas tu makaro mataḥ VMv_1.26b	puzyaH tu makaraH mataH VMu-_1.26b
   puṣyādimāsasaṃkrāntau VMv_2.4a	puzya-Adi-mAsa-saMkrAntO VMu-_2.4a
   puṣyād dhrāsaḥ kramāt tathā VMv_1.31b	puzyAt DrAsaH kramAt taTA VMu-_1.31b
   pūjanaṃ lābham eva ca VMv_2.17d	pUjanam lABam eva ca VMu-_2.17d
   pūrṇamāsyādiparvasu VMv_2.4b	pUrNamAsya-Adi-parvasu VMu-_2.4b
   pūrvakarmaprabhāvottham VMv_3.44c	pUrva-karma-praBAva-utTam VMu-_3.44c
   pūrvavaj japahomābhyāṃ VMv_4.15c	pUrvavat japa-homAByAm VMu-_4.15c
   pūrvaṃ karkaṭamatsyayoḥ VMv_1.34b	pUrvam karkawa-matsyayoH VMu-_1.34b
   pūrvoktadviguṇonitāt VMv_2.45b	pUrva-ukta-dviguNa-UnitAt VMu-_2.45b
   pūrvoktadviguṇonitaiḥ VMv_2.42d	pUrva-ukta-dviguNa-UnitEH VMu-_2.42d
   pūrvottaraśikhādūrvā- VMv_3.44a	pUrva-uttara-SiKA-dUrvA VMu-_3.44a
   pṛthagjanavijṛmbhitair iti VMv_4.81d	pRTagjana-vijRmBitEH iti VMu-_4.81d
   pṛṣṭhacandrasamāśritām VMv_4.29b	pRzWa-candra-samASritAm VMu-_4.29b
   paiṇḍapātikabhikṣuvat VMv_3.19d	pENxapAtika-Bikzu-vat VMu-_3.19d
   pauṣṇaḥ kālaḥ sa vijñeyas VMv_2.31c	pOzNaH kAlaH sa vijQeyaH VMu-_2.31c
   pauṣṇe kāle vahed vāyur VMv_2.34a	pOzNe kAle vahet vAyuH VMu-_2.34a
   prakampate bhṛśaṃ caiva VMv_1.67c	prakampate BRSam ca-eva VMu-_1.67c
   prakampam atha tāluni VMv_1.76b	prakampam aTa tAluni VMu-_1.76b
   prakārāntaram ārabhet VMv_4.50b	prakAra-antaram AraBet VMu-_4.50b
   prakṛteḥ parivarjanāt VMv_2.14b	prakRteH parivarjanAt VMu-_2.14b
   prajā mṛtyor vaktraṃ makara-mukhavan nauḥ praviśati VMv_4.97d	prajAH mRtyoH vaktram makara--muKa-vat nOH praviSati VMu-_4.97d
   prajñā caikāntanirmalā VMv_4.37b	prajQA ca-ekAnta-nirmalAH VMu-_4.37b
   pratikārakriyā na cet VMv_1.55d	pratikAra-kriyA na ced VMu-_1.55d
   prati tuṣitajanārthaṃ yo 'bhavac chvetaketuḥ VMv_1.1b	prati tuzita-jana-arTam yaH aBavat SvetaketuH VMu-_1.1b
   pratipaccandrayogādi- VMv_3.71a	pratipad-candrayoga-Adi VMu-_3.71a
   pratipadaṃ samārabhya VMv_2.8a	pratipadam samAraBya VMu-_2.8a
   pratibuddho vijānīyād VMv_1.131c	pratibudDaH vijAnIyAt VMu-_1.131c
   pratibhāti yato 'nyathā VMv_1.12d	pratiBAti yatas anyaTA VMu-_1.12d
   pratimāsaṃ padakṣayaḥ VMv_1.29b	pratimAsam pada-kzayaH VMu-_1.29b
