   Abhisamayālaṅkāra (Asa)	ABisamaya alaFkAraH (Asa)
   mṛdumadhyādhimātrāṇāṃ punarmṛddhādibhedataḥ // Asa_4.54 //	mRdu maDya aDimAtrANAm punar mRdDAdi BedataH // Asa_4.54 //
   asaṃkhyeyādinirdeśāḥ paramārthena na kṣamāḥ /	asaMKyeya Adi nirdeSAH parama arTena na kzamAH /
   kṛpāniṣyandabhūtāste saṃvṛtyābhimatā muneḥ // Asa_4.55 //	kRpA nizyanda BUtAH te saMvRtya aBimatAH muneH // Asa_4.55 //
   hānivṛddhī na yujyete nirālāpasya vastunaḥ /	hAni vRdDI na yujyete nirAlApasya vastunaH /
   bhāvanākhyena kiṃ hīnaṃ vartmanā kimupadāgatam // Asa_4.56 //	BAvanA AKyena kim hInam vartmanA kim upada Agatam // Asa_4.56 //
   yathā bodhistathaivāsāviṣṭasyārthasya sādhakaḥ /	yaTA boDiH taTA eva AsO= izwasya arTasya sADakaH /
   tathatālakṣaṇā bodhiḥ so 'pi tallakṣaṇo mataḥ // Asa_4.57 //	taTatA lakzaNAH boDiH saH api tad lakzaNaH mataH // Asa_4.57 //
   pūrveṇa bodhirno yuktā manasā paścimena vā /	pUrveNa boDiH naH yuktAH manasA paScimena vA /
   dīpadṛṣṭāntayogena gambhīrā dharmatāṣṭadhā // Asa_4.58 //	dIpa dRzwAnta yogena gamBIrA DarmatA azwaDA // Asa_4.58 //
   utpāde ca nirodhe ca tathatāyāṃ gabhīratā /	utpAde ca niroDe ca taTatAyAm gaBIra tA /
   jñeye jñāne ca caryāyāmadvayopāyakauśale // Asa_4.59 //	jQeye jQAne ca caryA AyAma dvaya upAya kOSale // Asa_4.59 //
   9   bhavaśāntyoḥ samatā	9  Bava SAntyoH sama tA
   svapnopamatvād dharmāṇāṃ bhavaśāntyorakalpanā /	svapna upama tvAt DarmANAm Bava SAntyoH akalpanA /
   karmābhāvādicodyānāṃ parihārā yathoditāḥ // Asa_4.60 //	karma aBAva Adi codyAnAm parihArAH yaTA uditAH // Asa_4.60 //
   10   anuttarā kṣetraśuddhiḥ	10  anuttarA kzetra SudDiH
   sattvalokasya yāśuddhistasyāḥ śuddhyupahārataḥ /	sattva lokasya yA aSudDiH tasyAH SudDi upahArataH /
   tathā bhājanalokasya buddhakṣetrasya śuddhatā // Asa_4.61 //	taTA BAjana lokasya budDa kzetrasya SudDa tA // Asa_4.61 //
   11   upāyakauśalam	11  upAya kOSalam
   viṣayo 'sya prayogasya śātravāṇāmatikramaḥ /	vizayaH asya prayogasya SAtravANAm atikramaH /
   apratiṣṭho yathāvedhamasādhāraṇalakṣaṇaḥ // Asa_4.62 //	apratizWaH yaTA veDam asADAraNa lakzaNaH // Asa_4.62 //
   asakto 'nupalambhaśca nimittapranidhikṣataḥ /	asaktaH anupalamBaH ca nimitta praniDi kzataH /
   talliṅgaṃ cāpramāṇaṃ ca daśadhopāyakauśalam // Asa_4.63 //	tat liFgam ca apramANam ca daSaDA upAya kOSalam // Asa_4.63 //
   ityabhisamayālaṅkāre nāma prajñāpāramitopadeśaśāstre caturthādhikāraḥ //	iti aBisamaya alaFkAre nAma prajQApAramitA upadeSa SAstre caturTa aDikAraH //
   Mūrdhābhisamayādhikāraḥ pañcamaḥ	MUrDa aBisamaya aDikAraH paQcamaH
   1   liṅgama(ūṣmā murdhaprayogaḥ)	1  liFgama(UzmA murDa prayogaH)
   svapnāntare 'pi svapnābhasarvadharmekṣaṇādikam /	svapna antare api svapna ABa sarva Darma IkzaNa Adikam /
   mūrdhaprāptasya yogasya liṅgaṃ dvādaśadhā matam // Asa_5.1 //	mUrDa prAptasya yogasya liFgam dvAdaSaDA matam // Asa_5.1 //
   2   vivṛddhiḥ(mūrdhā mūrdhaprayogaḥ)	2  vivRdDiH(mUrDA mUrDa prayogaH)
   jambudvipajaneyattābuddhapūjāśubhādikām /	jambu dvipa janeyatta abudDa pUjA SuBa AdikAm /
   upamāṃ bahudhā kṛtvā vivṛddhiḥ ṣoḍaśātmikā // Asa_5.2 //	upamAm bahuDA kRtvA vivRdDiH zoxaSa AtmikA // Asa_5.2 //
   3   nirudhiḥ(kṣāntiḥ mūrdhaprayogaḥ)	3  niruDiH (kzAntiH mUrDa prayogaH)
   trisarvajñatvadharmāṇāṃ paripuriranuttarā /	tri sarvajQa tva DarmANAm paripuriH anuttarA /
   aparityaktasattvārthā nirūḍhirabhidhīyate // Asa_5.3 //	aparityakta sattva arTAH nirUXiH aBiDIyate // Asa_5.3 //
   4   cittasaṃsthitiḥ(agradharmākhyaḥ mūrdhaprayogaḥ)	4  citta saMsTitiH (agra Darma AKyaH mUrDa prayogaH)
   caturdvīpakasāhasradvitrisāhasrakopamaḥ /	catur dvIpaka sAhasra dvi tri sAhasraka upamaH /
   kṛtvā puṇyabahutvena samādhiḥ parikīrtitaḥ // Asa_5.4 //	kRtvA puNya bahu tvena samADiH parikIrtitaH // Asa_5.4 //
   5   darśanamārgaḥ(mūrdhaprayogaḥ)	5  darSana mArgaH( mUrDa prayogaH)
   pravṛttau ca nivṛttau ca pratyekaṃ tau navātmakau /	pravRttO ca nivRttO ca pratyekam tO nava AtmakO /
   grāhyau vikalpau vijñeyāvayathāviṣayātmakau // Asa_5.5 //	grAhyO vikalpO vijQeya avayaTA vizaya AtmakO // Asa_5.5 //
   dravyaprajñaptisatsattvavikalpau grāhakau matau /	dravya prajQapti sat sattva vikalpO grAhakO matO /
   pṛthagjanāryabhedena pratyekaṃ tau navātmakau // Asa_5.6 //	pRTagjana Arya Bedena pratyekam tO nava AtmakO // Asa_5.6 //
   grāhyau cenna tathā sto 'rthau kasya tau grāhakau matau /	grAhyO ced na taTA staH arTO kasya tO grAhakO matO /
   iti grāhakabhāvena śūnyatālakṣaṇaṃ tayoḥ // Asa_5.7 //	iti grAhaka BAvena SUnyatA lakzaNam tayoH // Asa_5.7 //
   eṣa svabhāve gotre ca pratipatsamudāgame /	eza svaBAve gotre ca pratipad samudAgame /
   jñānasyālambanābhrāntau pratipakṣavipakṣayoḥ // Asa_5.8 //	jQAnasya Alambana aBra antO pratipakza vipakzayoH // Asa_5.8 //
   svasminnadhigame kartṛtatkāritrakriyāphale /	svasmin= aDigame kartR tad kAritra kriyA Pale /
   pravṛttipakṣādhiṣṭhāno vikalpo navadhā mataḥ // Asa_5.9 //	pravRtti pakza aDizWAnaH vikalpaH navaDA mataH // Asa_5.9 //
   bhavaśāntiprapātitvānnyūnatve 'dhigamasya ca /	Bava SAnti prapAti tvAt nyUna tve aDigamasya ca /
   parigrahasyābhāve ca vaikalye pratipadgate // Asa_5.10 //	parigrahasya aBAve ca vEkalye pratipad gate // Asa_5.10 //
   parapratyagāmitve samuddeśanivartane /	para pratyagAmi tve samuddeSa nivartane /
   prādeśikatve nānātve sthānaprasthānamohayoḥ // Asa_5.11 //	prAdeSika tve nAnAtve sTAna prasTAna mohayoH // Asa_5.11 //
   pṛṣṭhato gamane ceti vikalpo 'yaṃ navātmakaḥ /	pRzWatas gamane ca iti vikalpaH ayam nava AtmakaH /
   nivṛttipakṣādhiṣṭhānaḥ śrāvakādimanobhavaḥ // Asa_5.12 //	nivRtti pakza aDizWAnaH SrAvaka Adi manoBavaH // Asa_5.12 //
   grāhakaḥ prathamo jñeyo grahaṇapratimokṣaṇe /	grAhakaH praTamaH jQeyaH grahaNa pratimokzaNe /
   manaskriyāyāṃ dhātūnāmupaśleṣe trayasya ca // Asa_5.13 //	manaskriyAyAm DAtUnAm upaSleze trayasya ca // Asa_5.13 //
   sthāne cābhiniveśe ca prajñaptau dharmavastunaḥ /	sTAne ca aBiniveSe ca prajQaptO Darma vastunaH /
   saktau ca pratipakṣe ca yathecchaṃ ca gatikṣatau // Asa_5.14 //	saktO ca pratipakze ca yaTecCam ca gati kzatO // Asa_5.14 //
   yathoddeśamaniryāṇe mārgāmārgāvadhāraṇe /	yaTA uddeSam aniryANe mArga amArga avaDAraNe /
   sanirodhe samutpāde vastuyogaviyogayoḥ // Asa_5.15 //	sa niroDe samutpAde vastu yoga viyogayoH // Asa_5.15 //
   sthāne gotrasya nāśe ca prārthanāhetvabhāvayoḥ /	sTAne gotrasya nASe ca prArTanA hetu aBAvayoH /
   pratyarthikopalambhe ca vikalpo grāhako 'paraḥ // Asa_5.16 //	pratyarTika upalamBe ca vikalpaH grAhakaH aparaH // Asa_5.16 //
   bodhau sandarśanānyeṣāṃ taddhetośca parīndanā /	boDO san darSanAni ezAm tad hetoH ca parIndanA /
   tatprāptyanantaro hetuḥ puṇyabāhulyalakṣaṇaḥ // Asa_5.17 //	tad prApti anantaraH hetuH puNya bAhulya lakzaNaH // Asa_5.17 //
   kṣayānutpādayorjñāne malānāṃ bodhirucyate /	kzaya anutpAdayoH jQAne malAnAm boDiH ucyate /
   kṣayābhāvādanutpādātte hi jñeye yathākramam // Asa_5.18 //	kzaya aBAvAt anutpAdAt te hi jQeye yaTAkramam // Asa_5.18 //
   prakṛtāvaniruddhāyāṃ darśanākhyena vartmanā /	prakRtO= anirudDAyAm darSana AKyena vartmanA /
   vikalpajātaṃ ki kṣīṇaṃ kiṃ vānatpattimāgatam // Asa_5.19 //	vikalpa jAtam ki kzINam kim vAnat pattim Agatam // Asa_5.19 //
   sattā ca nāma dharmāṇāṃ jñeye cāvaraṇakṣayaḥ /	sattA ca nAma DarmANAm jQeye ca AvaraNa kzayaH /
   kathyate yatparaiḥ śāsturatra vismīyate mayā // Asa_5.20 //	kaTyate yat parEH SAstuH atra vismIyate mayA // Asa_5.20 //
   nāpaneyamataḥ kiñcit prakṣeptavyaṃ na kiṃcana /	na apaneyam atas kiQcid prakzeptavyam na kiMcana /
   draṣṭavyaṃ bhūtato bhūtaṃ bhūtadarśī vimucyate // Asa_5.21 //	drazwavyam BUtataH BUtam BUta darSI vimucyate // Asa_5.21 //
   ekaikasyaiva dānādau teṣāṃ yaḥ saṃgraho mithaḥ /	ekEkasya eva dAna AdO tezAm yaH saMgrahaH miTas /
   sa ekakṣaṇikaḥ kṣāntisaṃgṛhīto 'tra dṛkpathaḥ // Asa_5.22 //	saH ekakzaNikaH kzAnti saMgRhItaH atra dRkpaTaH // Asa_5.22 //
   sa samādhiṃ samāpadya tataḥ siṃhavijṛmbhitam /	sa samADim samApadya tatas siMha vijRmBitam /
   anulomaṃ vilomaṃ ca pratītyotpādamīkṣate // Asa_5.23 //	anulomam vilomam ca pratItya utpAdam Ikzate // Asa_5.23 //
   6   bhāvanāmārgaḥ(mūrdhaprayogaḥ)	6  BAvanA mArgaH(mUrDa prayogaH)
   kāmāptamabadhīkṛtya vijñānamasamāhitam /	kAma Aptam abaDIkRtya vijQAnam asamAhitam /
   sanirodhāḥ samapattīrgattvāgamya nava dvidhā // Asa_5.24 //	sa niroDAH samapattIH gattvA Agamya nava dviDA // Asa_5.24 //
   ekadvitricatuḥpañcaṣaṭsaptāṣṭavyatikramāt /	eka dvi tri catur paQca zaz sapta azwa vyatikramAt /
   avaskandasamāpattiranirodhamatulyatā // Asa_5.25 //	avaskanda samApattiH aniroDam atulya tA // Asa_5.25 //
   saṃkṣepe vistare buddhaiḥ sānāthyenāparigrahe /	saMkzepe vistare budDEH sAnATyena aparigrahe /
   traikālike guṇābhāve śreyasastrividhe pathi // Asa_5.26 //	trEkAlike guNa aBAve SreyasaH triviDe paTi // Asa_5.26 //
   eko grāhyavikalpo 'yaṃ prayogākāragocaraḥ /	ekaH grAhya vikalpaH ayam prayoga AkAra gocaraH /
   dvitīyaścittacaittānāṃ pravṛttiviṣayo mataḥ // Asa_5.27 //	dvitIyaH citta cEttAnAm pravRtti vizayaH mataH // Asa_5.27 //
   anutpādastu cittasya bodhimaṇḍāmanaskriyā /	anutpAdaH tu cittasya boDimaNxAmanaskriyA /
   hīnayānamanaskārau sambodheramanaskṛtiḥ // Asa_5.28 //	hIna yAna manaskArO samboDera manaskRtiH // Asa_5.28 //
   bhāvane 'bhāvane caiva tadviparyaya eva ca /	BAvane aBAvane ca eva tad viparyayaH eva ca /
   ayathārthaśca vijñeyo vikalpo bhāvanāpathe // Asa_5.29 //	ayaTArTaH ca vijQeyaH vikalpaH BAvanA paTe // Asa_5.29 //
   grāhakaḥ prathamo jñeyaḥ sattvaprajñaptigocaraḥ /	grAhakaH praTamaH jQeyaH sattva prajQapti gocaraH /
   dharmapratyaśūnyatvasaktipravicayātmakaḥ // Asa_5.30 //	Darma pratyaSUnya tva sakti pravicaya AtmakaH // Asa_5.30 //
   kṛte ca vastuno yānatritaye ca sa kīrttitaḥ /	kRte ca vastunaH yAna tritaye ca sa kIrttitaH /
   dakṣiṇāyā aśuddhau vā caryāyāśca vikopane // Asa_5.31 //	dakziNAyAH aSudDO vA caryAyAH ca vikopane // Asa_5.31 //
   sattvaprajñaptitaddhetuviṣayo navadhāparaḥ /	sattva prajQapti tad hetu vizayaH navaDA paraH /
   bhāvanāmārgasambaddho vipakṣastad vighātataḥ // Asa_5.32 //	BAvanA mArga sambadDaH vipakzaH tat viGAtataH // Asa_5.32 //
   sarvajñatānāṃ tisṛṇāṃ yathāsvaṃ trividhāvṛttau /	sarvajQa tAnAm tisRNAm yaTAsvam triviDOvRttO /
   śāntimārgatathatādisamprayogaviyogayoḥ // Asa_5.33 //	SAnti mArga taTatA Adi samprayoga viyogayoH // Asa_5.33 //
   asamatve ca duḥkhādau kleśānāṃ prakṛtāvapi /	asamatve ca duHKa AdO kleSAnAm prakRtO= api /
   dvayābhāve ca saṃmohe vikalpaḥ paścimo mataḥ // Asa_5.34 //	dvaya aBAve ca saMmohe vikalpaH paScimaH mataH // Asa_5.34 //
   āsāṃ kṣaye satītīnāṃ cirāyocchvasitā iva /	AsAm kzaye satItInAm cirAya ucCvasitAH iva /
   sarvākārajagatsaukhyasādhanā guṇasampadaḥ // Asa_5.35 //	sarva AkAra jagat sOKya sADanAH guNa sampadaH // Asa_5.35 //
   sarvāḥ sarvābhisāreṇa nikāmaphalaśālinam /	sarvAH sarva aBisAreNa nikAma Pala SAlinam /
   bhajante taṃ mahāsattvaṃ mahodadhimivāpagāḥ // Asa_5.36 //	Bajante tam mahAsattvam mahA udaDim iva ApagAH // Asa_5.36 //
   7   ānantaryasamādhiḥ(mūrdhaprayogaḥ)	7  Anantarya samADiH(mUrDa prayogaH)
   trisāhasrajanaṃ śiṣyakhaḍgādhigamasampadi /	tri sAhasra janam Sizya Kaxga aDigama sampadi /
   bodhisattvasya ca nyāme pratiṣṭhāpya śubhopamāḥ // Asa_5.37 //	boDisattvasya ca nyAme pratizWApya SuBa upamAH // Asa_5.37 //
   kṛtvā puṇyabahutvena buddhatvāpteranantaraḥ /	kRtvA puNya bahu tvena budDa tva ApteH anantaraH /
   ānantaryasamādhiḥ sa sarvākārajñatā ca tat // Asa_5.38 //	Anantarya samADiH sa sarva AkAra jQa tA ca tat // Asa_5.38 //
   ālambanamabhāvo 'sya smṛtiścādhipatirmataḥ /	Alambanam aBAvaH asya smRtiH ca aDipatiH mataH /
   ākāraḥ śāntatā cātra jalpājalpipravādinām // Asa_5.39 //	AkAraH SAnta tA ca atra jalpA jalpi pravAdinAm // Asa_5.39 //
   ālambanopapattau ca tatsvabhāvāvadhāraṇe /	Alambana upapattO ca tad svaBAva avaDAraNe /
   sarvākarajñatājñāne paramārthe sasaṃvṛttau // Asa_5.40 //	sarvAkara jQa tA jQAne parama arTe sa saMvRttO // Asa_5.40 //
   prayoge triṣu ratneṣu sopāye samaye muneḥ /	prayoge trizu ratnezu sa upAye samaye muneH /
   viparyāse samārge ca pratipakṣavipakṣayoḥ // Asa_5.41 //	viparyAse sa mArge ca pratipakza vipakzayoH // Asa_5.41 //
   lakṣaṇe bhāvanāyāṃ ca matā vipratipattayaḥ /	lakzaNe BAvanAyAm ca matAH vipratipattayaH /
   sarvākārajñatādhārā ṣoḍhā daśa ca vādinām // Asa_5.42 //	sarva AkAra jQa tA DArA zoXA daSa ca vAdinAm // Asa_5.42 //
   ityabhisamayālaṅkāre nāma prajñāpāramitopadeśaśāstre paṃcamādhikāraḥ /	iti aBisamaya alaFkAre nAma prajQApAramitA upadeSa SAstre paMcama aDikAraH /
   Ānupūrvikādhikāraḥ ṣaṣṭhaḥ	ĀnupUrvikA aDikAraH zazWaH
   dānena prajñayā yāvad buddhādau smṛtibhiśca sā /	dAnena prajQayA yAvat budDa AdO smRtiBiH ca sA /
   dharmābhāvasvabhāvenetyanupūrvakriyā matā // Asa_6.1 //	Darma aBAva svaBAvena iti anupUrva kriyA matA // Asa_6.1 //
   ityabhisamāyālaṅkāre nāma prajñāpāramitopadeśaśāstre ṣaṣṭhādhikāraḥ /	iti aBisamAya alaFkAre nAma prajQApAramitA upadeSa SAstre zazWa aDikAraH /
   Ekakṣaṇābhisambodhādhikāraḥ saptamaḥ	Eka kzaNa aBisamboDa aDikAraH saptamaH
   1   avipākalalakṣaṇaḥ	1  avipAkala lakzaNaH
   anāsravāṇāṃ sarveṣāmekaikenāpi saṃgrahāt /	anAsravANAm sarvezAm ekEkena api saMgrahAt /
   ekakṣaṇāvabodho 'yaṃ jñeyo dānādinā muneḥ // Asa_7.1 //	eka kzaNa avaboDaH ayam jQeyaH dAna AdinA muneH // Asa_7.1 //
   araghaṭṭaṃ yathaikāpi padikā puruṣeritā /	ara Gawwam yaTA ekA api padikA puruza IritA /
   sakṛt sarvaṃ cālayati jñānamekakṣaṇe tathā // Asa_7.2 //	sakRt sarvam cAlayati jQAnam eka kzaNe taTA // Asa_7.2 //
   2   vipākalakṣaṇaḥ	2  vipAka lakzaNaH
   vipākadharmatāvasthā sarvaśuklamayī yadā /	vipAka DarmatA avasTA sarva Sukla mayI yadA /
   prajñāpāramitā jātā jñānamekakṣaṇe tadā // Asa_7.3 //	prajQApAramitA jAtAH jQAnam eka kzaNe tadA // Asa_7.3 //
   3   alakṣaṇalakṣaṇaḥ	3  alakzaNa lakzaNaH
   svapnopameṣu dharmeṣu sthitvā dānādicaryayā /	svapna upamezu Darmezu sTitvA dAna Adi caryayA /
   alakṣaṇatvaṃ dharmāṇāṃ kṣaṇenaikena vindati // Asa_7.4 //	alakzaNa tvam DarmANAm kzaNena ekena vindati // Asa_7.4 //
   4   advayalakṣaṇaḥ	4  advaya lakzaNaH
   svapnaṃ taddarśinaṃ caiva dvayayogena nekṣate /	svapnam tad darSinam ca eva dvaya yogena na Ikzate /
   dharmāṇāmadvayaṃ tattvaṃ kṣaṇenaikena paśyati // Asa_7.5 //	DarmANAm advayam tattvam kzaNena ekena paSyati // Asa_7.5 //
   ityabhisamayālaṅkāre nāma	iti aBisamaya alaFkAre nAma
   prajñāpāramitopadeśaśāstre saptamādhikāraḥ /	prajQApAramitA upadeSa SAstre saptama aDikAraH /
   Dharmakāyādhikāraḥ aṣṭamaḥ	Dharma kAya aDikAraH azwamaH
   1   svabhāvakāyaḥ	1  svaBAva kAyaH
   sarvākārāṃ viśuddhiṃ ye dharmāḥ prāptā nirāsravāḥ /	sarva AkArAm viSudDim ye DarmAH prAptAH nirAsravAH /
   svābhāviko muneḥ kāyasteṣāṃ prakṛtilakṣaṇaḥ // Asa_8.1 //	svABAvikaH muneH kAyaH tezAm prakRti lakzaNaH // Asa_8.1 //
   2   jñānadharmakāyaḥ	2  jQAna Darma kAyaH
   bodhipakṣāpramāṇāni vimokṣā anupūrvaśaḥ /	boDi pakza apramANAni vimokzAH anupUrvaSas /
   navātmikā samāpattiḥ kṛtsnaṃ daśavidhātmakam // Asa_8.2 //	nava AtmikA samApattiH kRtsnam daSaviDa Atmakam // Asa_8.2 //
   abhibhvāyatanānyaṣṭaprakārāṇi prabhedataḥ /	aBiBva AyatanAni azwa prakArANi praBedataH /
   araṇā praṇidhijñānamabhijñāḥ pratisaṃvidaḥ // Asa_8.3 //	araNA praNiDi jQAnam aBijQAH pratisaMvidaH // Asa_8.3 //
   sarvākārāścatastro 'tha śuddhayo vaśitā daśa /	sarva AkArAH catastraH aTa SudDayaH vaSitAH daSa /
   balāni daśa catvāri vaiśāradyānyarakṣaṇam // Asa_8.4 //	balAni daSa catvAri vESAradya anya rakzaNam // Asa_8.4 //
   trividhaṃ smutyupasthānaṃ tridhāsaṃmoṣadharmatā /	triviDam smuti upasTAnam triDA saMmoza DarmatA /
   vāsanāyāḥ samudghāto mahatī karuṇā jane // Asa_8.5 //	vAsanAyAH samudGAtaH mahatI karuNAH jane // Asa_8.5 //
   āveṇikā munereva dharmā ye 'ṣṭādaśeritāḥ /	AveNikAH muneH eva DarmAH ye azwAdaSa IritAH /
   sarvākārajñatā ceti dharmakāyo 'bhidhīyate // Asa_8.6 //	sarva AkAra jQa tA ca iti Darma kAyaH aBiDIyate // Asa_8.6 //
   śrāvakasyāraṇādṛṣṭernṛkleśaparihāritā /	SrAvakasya araNa adRzweH nR kleSa parihAritA /
   tatkleśastrotaucchittyai grāmādiṣu jināraṇā // Asa_8.7 //	tad kleSaH trotOcCittyE grAma Adizu jinAraNAH // Asa_8.7 //
   anābhogamanāsaṅgamavyāghātaṃ sadā sthitam /	anABogamanAsaFgam avyAGAtam sadA sTitam /
   sarvapraśnāpanud bauddhaṃ praṇidhijñānamiṣyate // Asa_8.8 //	sarva praSna apanud bOdDam praNiDi jQAnam izyate // Asa_8.8 //
   paripākaṃ gate hetau yasya yasya yadā yadā /	paripAkam gate hetO yasya yasya yadA yadA /
   hitaṃ bhavati karttavyaṃ prathate tasya tasya saḥ // Asa_8.9 //	hitam Bavati karttavyam praTate tasya tasya saH // Asa_8.9 //
   varṣatyapi hi parjanye naiva bījaṃ prarohati /	varzati api hi parjanye na eva bIjam prarohati /
   samutpāde 'pi buddhānāṃ nābhavyo bhadramaśnute // Asa_8.10 //	samutpAde api budDAnAm na aBavyaH Badram aSnute // Asa_8.10 //
   iti kāritravaipulyād buddho vyāpī nirucyate /	iti kAritra vEpulyAt budDaH vyApI nirucyate /
   akṣayatvācca tasyaiva nitya ityapi kathyate // Asa_8.11 //	akzaya tvAt ca tasya eva nityaH iti api kaTyate // Asa_8.11 //
   3   sambhogakāyaḥ	3  samBoga kAyaH
   dvātriṃśallakṣaṇāśītivyañjanātmā munerayam /	dvAtriMSat lakzaNa aSIti vyaQjana AtmA muneH ayam /
   sāmbhogiko mataḥ kāyo mahāyānopabhogataḥ // Asa_8.12 //	sAmBogikaH mataH kAyaH mahAyAna upaBogataH // Asa_8.12 //
   cakrāṅkahastaḥ kramakūrmapādo jālāvanaddhāṅgulipāṇipādaḥ /	cakra aFka hastaH krama kUrma pAdaH jAla avanadDa aFguli pANi pAdaH /
   karau sapādau taruṇau mṛdū ca samutsadai saptabhirāśrayo 'sya // Asa_8.13	karO sa pAdO taruNO mRdU ca samutsadE saptaBiH ASrayaH asya // Asa_8.13
   dīrghāṅgulirvyāyatapārṣṇigātraṃ prājyaṃ tvṛjūcchaṅkhapadordhvaromā /	dIrGa aFguliH vyAyata pArzNi gAtram prAjyam tu Rju ucSaFKa pada UrDva romA /
   eṇeyajaṅghaśca paṭūrubāhuḥ kośāvanaddhottamabastiguhyaḥ // Asa_8.14 //	eNeyajaFGaH ca pawu Uru bAhuH koSa avanadDa uttama basti guhyaH // Asa_8.14 //
   suvarṇavarṇaḥ pratanūcchaviśca pradakṣiṇaikaikasujātaromā /	suvarNa varNaH pratanu ucCaviH ca pradakziNa ekEka sujAta romA /
   ūrṇāṅkitāsyo haripūrvakāyaḥ skandhau vṛtāvasya citāntarāṃsaḥ // Asa_8.15	UrNA aFkita AsyaH hari pUrva kAyaH skanDO vRtO= asya citA antara aMsaH // Asa_8.15
   hīno rasaḥ khyāti rasottamo 'sya nyagrodhavanmaṇḍalatulyamūrtiḥ /	hInaH rasaH KyAti rasa uttamaH asya nyagroDa vat maNxala tulya mUrtiH /
   uṣṇīṣamūrdhā pṛthucārujivho brahmasvaraḥ siṃhahanuḥ suśuklāḥ // Asa_8.16	uzNIza mUrDA pRTu cAru jivhaH brahma svaraH siMhahanuH su SuklAH // Asa_8.16
   tulyāḥ pramāṇe 'viralāśca dantā anyūnasaṃkhyā daśikāścatasraḥ /	tulyAH pramANe aviralAH ca dantAH anyUna saMKyAH daSikAH catasraH /
   nīlekṣaṇo govṛṣapakṣmanetro dvātriṃśadetāni hi lakṣaṇāni // Asa_8.17 //	nIla IkzaNaH go vRza pakzma netraH dvAtriMSat etAni hi lakzaNAni // Asa_8.17 //
   yasya yasyātra yo heturlakṣaṇasya prasādhakaḥ /	yasya yasya atra yaH hetuH lakzaNasya prasADakaH /
   tasya tasya prapūryāyaṃ samudāgamalakṣaṇaḥ // Asa_8.18 //	tasya tasya prapUrya ayam samudAgama lakzaNaH // Asa_8.18 //
   gurūṇāmanuyānādirdṛḍhatā saṃvaraṃ prati /	gurUNAm anuyAna AdiH dRXa tA saMvaram prati /
   saṃgrahāsevanaṃ dānaṃ praṇītasya ca vastunaḥ // Asa_8.19 //	saMgraha Asevanam dAnam praNItasya ca vastunaH // Asa_8.19 //
   vadhyamokṣasamādānaṃ vivṛddhiḥ kuśalasya ca /	vaDya mokza samAdAnam vivRdDiH kuSalasya ca /
   ityādiko yathāsūtraṃ heturlakṣaṇasādhakaḥ // Asa_8.20 //	iti AdikaH yaTAsUtram hetuH lakzaNa sADakaH // Asa_8.20 //
   tāmrāḥ snigdhāśca tuṅgāśca nakhā aṅgulayo muneḥ /	tAmrAH snigDAH ca tuFgAH ca naKAH aFgulayaH muneH /
   vṛttāścitānupūrvāśca gūḍhā nirgranthayaḥ śirāḥ // Asa_8.21 //	vRttAH cita anupUrvAH ca gUXAH nirgranTayaH SirAH // Asa_8.21 //
   gūḍhau gulphau samau pādau siṃhebhadvijagopateḥ /	gUXO gulPO samO pAdO siMha iBa dvijagopateH /
   vikrāntaṃ dakṣiṇaṃ cārugamanamṛjuvṛttatā // Asa_8.22 //	vikrAntam dakziNam cAru gamanam Rju vRtta tA // Asa_8.22 //
   muṣṭānupūrvate medhyamṛdutve śuddhagātratā /	muzwa anupUrvate meDya mRdu tve SudDa gAtra tA /
   pūrvavyañjanatā cārupṛthumaṇḍalagātratā // Asa_8.23 //	pUrva vyaQjana tA cAru pRTu maNxala gAtra tA // Asa_8.23 //
   samakramatvaṃ śuddhatvaṃ netrayoḥ sukumāratā /	sama krama tvam SudDa tvam netrayoH sukumAra tA /
   adīnotsadagātratve susaṃhatanagātratā // Asa_8.24 //	adIna utsat agAtra tve su saMhatana gAtra tA // Asa_8.24 //
   suvibhaktāṅgatā dhvāntapradhvastālokaśuddhatā /	suviBakta aFgatA DvAnta praDvasta Aloka SudDa tA /
   vṛttamṛṣṭākṣatākṣāmakukṣitāśca gabhīratā // Asa_8.25 //	vRtta mRzwa akzatA kzAma kukzitAH ca gaBIra tA // Asa_8.25 //
   dakṣiṇāvartatā nābheḥ samantād darśanīyatā /	dakziNa AvartatA nABeH samantAt darSanIya tA /
   samācāraḥ śuciḥ kālatilakāpagatā tanuḥ // Asa_8.26 //	samAcAraH SuciH kAla tilaka apagatA tanuH // Asa_8.26 //
   karau tulamṛdū snigdhagambhīrāyatalekhatā /	karO tula mRdU snigDa gamBIra Ayata leKatA /
   nātyāyataṃ vaco bimbapratibimbaupamauṣṭhatā // Asa_8.27 //	na atyAyatam vacaH bimba pratibimba Opama ozWatA // Asa_8.27 //
   mṛdvī tanvī ca raktā ca jivhā jīmūtaghoṣatā /	mRdvI tanvI ca raktA ca jivhA jImUta Goza tA /
   cārūmañjusvaro daṃṣṭrā vṛttāstīkṣṇāḥ sitāḥ samāḥ // Asa_8.28 //	cArUmaQju svaraH daMzwrAH vRttAH tIkzNAH sitAH samAH // Asa_8.28 //
   anupūrvī gatāstuṅgā nāsikā paramaṃ śuciḥ /	anupUrvI gatAH tuFgA nAsikA paramam SuciH /
