   oṃ namaḥ sarvajñāya ||	om namaH sarvajQAya ||
        vimocayī sarvajagat* sadevakam* /	vimocayI sarva-jagat* sa-deva-kam* /
   praṇidhiṃ kṛtaṃ yat tvayam īdṛśaṃ bhave	praNiDim kRtam yat tu-ayam IdRSam Bave
        dharmaṃ prakāśeti mi dharmabhāṇako //	Darmam prakASa-iti mi Darma-BANakaH //
   niṣaṇṇa sthitvā kuṭikā ca caṃkrame	nizaNNa sTitvA kuwikA ca caMkrame
        ājñā kṛtaṃ yat tvaya yādṛśī kṛtā /	AjQA kRtam yat tvaya yAdRSI kRtA /
   sa caṃkramaṃ caiva kṛtaṃ suśobhanaṃ	sa caMkramam ca-eva kRtam su-SoBanam
        maṇiratnasaṃcchādita taṃ sa bhūmim* //	maNi-ratna-saMcCAdita tam sa BUmim* //
   atha rājā ajitaseno yena svakā rājadhānī tenopasaṃkrāntaḥ | atha	aTa rAjA ajitasenaH yena svakA rAjaDAnI tena-upasaMkrAntaH | aTa
   nandimitramahāśrāvakaḥ pratinivṛtya tatraiva (Asv 123) kuṭike niṣaṇṇo	nandi-mitra-mahA-SrAvakaH pratinivRtya tatra-eva (Asu 123) kuwike nizaNNaH-
   vikiraṇaṃ nāma bodhisatvasamādhiṃ samāpanno 'bhūt* | anyena keśān anyena	vikiraNam nAma boDisatva-samADim samApannaH aBUt* | anyena keSAn anyena
   nayanāny anyena dantān anyena grīvā anyena bāhū anyena hṛdayam anyenodaram	nayanAni anyena dantAn anyena grIvA anyena bAhU anyena hRdayam anyena-udaram
   anyenorū anyena jaṅghe anyena pādau samāpanno 'bhūt* | atha sa rājā	anyena-UrU anyena jaFGe anyena pAdO samApannaH aBUt* | aTa sa rAjA
   ajitasenaḥ saptāhasyātyayena taṃ bhikṣuṃ na paśyati |	ajitasenaH saptAhasya-atyayena tam Bikzum na paSyati |
   atha rājā jyeṣṭhakumāram evam āha | āgaccha kulaputra gamiṣyāmi tāṃ	aTa rAjA jyezWa-kumAram evam Aha | AgacCa kula-putra gamizyAmi tAm
   kuṭikām* | yena sa bhikṣus tenopasaṃkramiṣyāmi | atha sa rājā saputro yena	kuwikAm* | yena sa BikzuH tena-upasaMkramizyAmi | aTa sa rAjA sa-putraH yena
   sā kuṭikā tenopasaṃkrānto 'bhūt* | atha sa rājā ajitasenas taṃ bhikṣum	sA kuwikA tena-upasaMkrAntaH aBUt* | aTa sa rAjA ajitasenaH tam Bikzum
   ātmabhāvaṃ khaṇḍaṃ khaṇḍaṃ kṛtaṃ dṛṣṭvā saṃśayajāto 'bhūt* |	Atma-BAvam KaNxam KaNxam kRtam dRzwvA saMSaya-jAtaH aBUt* |
   saṃtrastaromakūpajāto vastrāṇi pāṭayan paridevan rudan aśrukaṇṭhaḥ putram	saMtrasta-romakUpa-jAtaH vastrANi pAwayan paridevan rudan aSru-kaNWaH putram
   evam āha | ānaya putra tīkṣṇadhāram asim* | ātmānaṃ jīvitād	evam Aha | Anaya putra tIkzNa-DAram asim* | AtmAnam jIvitAt-
   vyavaropayiṣyāmi | atha sa rājakumāraḥ prāṃjaliṃ kṛtvā rājānaṃ gāthābhir	vyavaropayizyAmi | aTa sa rAja-kumAraH prAMjalim kRtvA rAjAnam gATABiH-
   adhyabhāṣata |	aDyaBAzata |
   mā śokacittasya bhave nṛpendra	mA Soka-cittasya Bave nRpa-indra
        mā vedayī vedanam īdṛśāni /	mA vedayI vedanam IdRSAni /
   ātmaghātaṃ karitvā tu niraye tvaṃ gamiṣyasi	Atma-GAtam karitvA tu niraye tvam gamizyasi
        rauravaṃ narakaṃ cāpi gamiṣyasi sudāruṇam* //	rOravam narakam ca-api gamizyasi su-dAruNam* //
   ... dakṣiṇīyo ayaṃ loke jaravyādhipramocakaḥ / (Asv 124)	... dakziNIyaH ayam loke jara-vyADi-pramocakaH / (Asu 124)
   na cāyaṃ ghātito yakṣair na bhūtair na ca rākṣasaiḥ /	na ca-ayam GAtitaH yakzEH na BUtEH na ca rAkzasEH /
        bodhisatvo 'py ayaṃ loke jaravyādhipramocakaḥ //	boDisatvaH api ayam loke jara-vyADi-pramocakaH //
   dakṣiṇīyo ayaṃ loke jaravyādhipramocakaḥ /	dakziNIyaH ayam loke jara-vyADi-pramocakaH /
        durlabho darśanaṃ asya bodhimārgasya darśakaḥ //	durlaBaH darSanam asya boDi-mArgasya darSakaH //
   kalyāṇamitram ayaṃ āsī tava kāraṇam āgatam* /	kalyANa-mitram ayam AsI tava kAraNam Agatam* /
        dakṣiṇīyo ayaṃ loke sarvasatvasukhāv aham* //	dakziNIyaH ayam loke sarva-satva-suKO aham* //
   sarvajñaṃ pāramiprāptaṃ lokanāthena preṣitam* /	sarvajQam pArami-prAptam lokanATena prezitam* /
        dṛḍhavīryaṃ dṛḍhasthāmaṃ lokanāthaṃ maharṣiṇam* //	dRXa-vIryam dRXa-sTAmam lokanATam mahA-RziNam* //
   yo nāma tasya dhāreti nāsau gacchati durgatim* /	yaH nAma tasya DArA-iti na-asO gacCati durgatim* /
        apāyaṃ na gamiṣyanti svargalokopapattaye //	apAyam na gamizyanti svarga-loka-upapattaye //
   atha sa rājakumāras taṃ pitaraṃ gāthā bhāṣitvā tūṣṇīṃ sthito 'bhūt* | atha	aTa sa rAja-kumAraH tam pitaram gATA BAzitvA tUzNIm sTitaH aBUt* | aTa
   rājā ajitasenaḥ svakaṃ putram evam āha | kathaṃ tvaṃ kumāra jānīṣe yad	rAjA ajitasenaH svakam putram evam Aha | kaTam tvam kumAra jAnIze yat-
   ayaṃ bhikṣuḥ samādhiṃ samāpanno 'bhūt* | atha sa rājakumāra evam āha |	ayam BikzuH samADim samApannaH aBUt* | aTa sa rAja-kumAraH evam Aha |
   paśya mahārāja ayaṃ bhikṣur bodhisatvasamādhiṃ samāpannaḥ	paSya mahA-rAja ayam BikzuH boDisatva-samADim samApannaH
   sarvakleśavinirmukto bhavasāgarapāraṃgataḥ sarvasatvahitārthaṃ ca mārgaṃ	sarva-kleSa-vinirmuktaH Bava-sAgara-pAraMgataH sarva-satva-hita-arTam ca mArgam
   darśayate śubham* | atha sa rājakumāro rājānam evam āha | āgaccha tāta	darSayate SuBam* | aTa sa rAja-kumAraH rAjAnam evam Aha | AgacCa tAta
   caṃkramaṃ gamiṣyāmaḥ | atha sa rājā sa ca rājakumāro bahubhir dārakaśataiḥ	caMkramam gamizyAmaH | aTa sa rAjA sa ca rAja-kumAraH bahuBiH dAraka-SatEH
   sārdhaṃ yena sa caṃkramas tenopasaṃkrāntau | atha sa bhikṣus tataḥ	sArDam yena sa caMkramaH tena-upasaMkrAntO | aTa sa BikzuH tatas-
   samādher vyutthito rājānam ajitasenam evam āha | āgaccha mahārāja kiṃ	samADeH vyutTitaH rAjAnam ajita-senam evam Aha | AgacCa mahA-rAja kim
   karoṣy asmin sthāne | (Asv 125)	karozi asmin sTAne | (Asu 125)
   atha rājā taṃ bhikṣuṃ dṛṣṭvā maulipaṭṭaṃ rājakumārasya dadāti | tava	aTa rAjA tam Bikzum dRzwvA mOli-pawwam rAja-kumArasya dadAti | tava
   rājyaṃ bhavatu | dharmeṇa pālaye nādharmeṇa | rājakumāra āha | bahūny	rAjyam Bavatu | DarmeNa pAlaye na-aDarmeNa | rAja-kumAraH Aha | bahUni-
   asaṃkhyeyāni rājakāryāṇi mayā kṛtāni | na ca kadācit tṛptir āsīt* | tava	asaMKyeyAni rAja-kAryANi mayA kRtAni | na ca kadAcid tRptiH AsIt* | tava
   tāta rājyaṃ bhavatu | na mama rājyena kāryaṃ na bhogena	tAta rAjyam Bavatu | na mama rAjyena kAryam na Bogena
   naiśvaryādhipatyena kāryam* | tava rājyaṃ bhavatu tāta | dharmeṇa pālaye	na-ESvarya-ADipatyena kAryam* | tava rAjyam Bavatu tAta | DarmeNa pAlaye
   nādharmeṇeti |	na-aDarmeNa-iti |
   atha rājā yena sa bhikṣus tenopasaṃkrāntaḥ prāñjalir evam āha |	aTa rAjA yena sa BikzuH tena-upasaMkrAntaH prAQjaliH evam Aha |
   sudurlabhaṃ [darśana] tubhyam ārṣāḥ	su-durlaBam [darSana] tuByam ArzAH
        kṛtāñjaliḥ [samabhimukhī] nāyakānām* /	kRtAQjaliH [samaBimuKI] nAyakA-nAm* /
   mokṣāgamaṃ darśanu tubhyam ārṣāḥ	mokza-Agamam darSanu tuByam ArzAH
        sudurlabhaṃ karmaśatair acintiyaiḥ //	su-durlaBam karma-SatEH acintiyEH //
   ye darśanaṃ dāsyati tubhyam ārṣā	ye darSanam dAsyati tuByam ArzA
        muktā ca so bheṣyati kalpakoṭibhiḥ /	muktA ca saH Bezyati kalpa-kowiBiH /
   na jātu gacche vinipātadurgatiṃ	na jAtu gacCe vinipAta-durgatim
        yo nāmadheyaṃ śṛṇute muhūrtam* //	yaH nAmaDeyam SRNute muhUrtam* //
   rājā āha |	rAjA Aha |
   niṣadya yugye ratanāmaye śubhe	nizadya yugye ratana-Amaye SuBe
        vrajāmy ahaṃ yena sa rājadhānīm* /	vrajAmi aham yena sa rAjaDAnIm* /
   dadāmy ahaṃ bhojanu suprabhūtaṃ	dadAmi aham Bojanu su-praBUtam
        dadāmy ahaṃ kāśikavastram etat* /	dadAmi aham kASika-vastram etat* /
   (Asv 126)	(Asu 126)
   sūkṣmāṇi jālāni ca saṃhitāni	sUkzmANi jAlAni ca saMhitAni
        yāṃ cīvarāṃ tubhya dadāmi adya //	yAm cIvarAm tuBya dadAmi adya //
   atha sa bhikṣū ratnamaye yugye gṛhītvā yena rājadhānī tenopasaṃkrāntaḥ /	aTa sa BikzuH ratna-maye yugye gRhItvA yena rAjaDAnI tena-upasaMkrAntaH /
   santarpito bhojanena / atha nandimitramahāśrāvako rājānam ajitasenaṃ	santarpitaH Bojanena / aTa nandi-mitra-mahA-SrAvakaH rAjAnam ajita-senam
   gāthābhir adhyabhāṣata |	gATABiH aDyaBAzata |
   saṃtarpito bhojana suprabhūtaṃ	saMtarpitaH Bojana su-praBUtam
        mṛṣṭānnapānarasam uttamaṃ śubham* /	mRzwa-anna-pAna-rasam uttamam SuBam* /
   ye bhikṣusaṃghāya dadaṃti dānaṃ	ye Bikzu-saMGAya dadaMti dAnam
        te bodhimaṇḍena cireṇa gacchata //	te boDimaNxena cireNa gacCata //
   sudurlabhaṃ darśana nāyakasya na	su-durlaBam darSana nAyakasya na
        cireṇa so gacchati buddhakṣetram* /	cireNa saH gacCati budDa-kzetram* /
   amitāyuṣasya varabuddhakṣetre	amita-Ayuzasya vara-budDa-kzetre
        sukhāvatīṃ gacchati śīghram etat* //	suKAvatIm gacCati SIGram etat* //
   atha nandimitramahāśrāvakaḥ ajitasenasya rājño gāthā bhāṣitvā tūṣṇīṃ	aTa nandi-mitra-mahA-SrAvakaH ajitasenasya rAjQaH gATA BAzitvA tUzNIm
   sthito 'bhūt* | atha rājā ajitaseno bherīṃ parāhanti sma | atha tena	sTitaH aBUt* | aTa rAjA ajitasenaH BerIm parAhanti sma | aTa tena
   bherīśabdena sarvās tā amātyakoṭyo rājānam evam āhuḥ | kasyārthe mahārāja	BerI-Sabdena sarvAH tAH amAtya-kowyaH rAjAnam evam AhuH | kasya-arTe mahA-rAja
   bherī parāhatā | rājā āha | saptame divase hastiratham aśvarathaṃ sajjaṃ	BerI parAhatA | rAjA Aha | saptame divase hasti-raTam aSva-raTam sajjam
   kṛtaṃ syāt* | ahaṃ saptame divase jetavanaṃ nāma vihāraṃ gamiṣyāmi	kRtam syAt* | aham saptame divase jetavanam nAma vihAram gamizyAmi
   śākyamunes tathāgatasyārhataḥ samyaksaṃbuddhasya darśanāya vandanāya	SAkya-muneH taTAgatasya-arhataH samyaksaMbudDasya darSanAya vandanAya
   paryupāsanāya dharmaśravaṇāya (Asv 127) | athāmātyakoṭyas taṃ rājānam	paryupAsanAya Darma-SravaNAya (Asu 127) | aTa-amAtya-kowyaH tam rAjAnam
   ajitasenam evam āhuḥ | kṛtam asmābhiḥ mahārāja hastiratham aśvarathaṃ	ajita-senam evam AhuH | kRtam asmABiH mahA-rAja hastiraTam aSva-raTam
   sajjam* | atha rājā ajitaseno hastirathe avaruhya taṃ ca	sajjam* | aTa rAjA ajitasenaH hastiraTe avaruhya tam ca
   nandimitramahāśrāvakaṃ ratnamaye rathe avarohya yena jetavanaṃ vihāras	nandi-mitra-mahA-SrAvakam ratna-maye raTe avarohya yena jetavanam vihAra-s
   tenopasaṃkrāntaḥ | atha bhagavān rājānam ajitasenaṃ dūrata evāgacchantaṃ	tena-upasaMkrAntaH | aTa BagavAn rAjAnam ajita-senam dUratas eva-AgacCantam
   dṛṣṭvā tān sarvaśrāvakān āmantrayata | sarvair nānāṛddhivikurvitaṃ	dRzwvA tAn sarva-SrAvakAn Amantrayata | sarvEH nAnA-RdDi-vikurvitam
   darśayitavyam* | atha te sarve mahāśrāvakā jvālāmālaṃ nāma	darSayitavyam* | aTa te sarve mahA-SrAvakAH jvAlA-mAlam nAma
   bodhisatvasamādhiṃ samāpannā abhūvan* | atha rājā dūratas taṃ jvālāmālaṃ	boDisatva-samADim samApannAH aBUvan* | aTa rAjA dUratas tam jvAlA-mAlam
   dṛṣṭvā nandimitramahāśrāvakam evam āha | kasyārthe imaṃ parvataṃ	dRzwvA nandi-mitra-mahA-SrAvakam evam Aha | kasya-arTe imam parvatam
   jvālāmālībhūtaṃ paśyāmi | nandimitra āha | atra śākyamunis tathāgato 'rhan	jvAlA-mAlIBUtam paSyAmi | nandimitraH Aha | atra SAkya-muniH taTAgataH arhan
   samyaksaṃbuddhaḥ sthitiṃ dhriyate yāpayati dharmaṃ ca deśayati | te ca	samyaksaMbudDaH sTitim Driyate yApayati Darmam ca deSayati | te ca
   bodhisatvā jvālāmālaṃ nāma bodhisatvasamādhiṃ samāpannāḥ | atha rājā	boDisatvA jvAlA-mAlam nAma boDisatva-samADim samApannAH | aTa rAjA
   ajitaseno hastirathād avatīrya pādābhyāṃ putrasahasreṇa sārdhaṃ yena	ajitasenaH hastiraTAt avatIrya pAdAByAm putra-sahasreNa sArDam yena
   bhagavāṃs tenopasaṃkrāntaḥ | atha bhagavān suvarṇavarṇena kāyena	BagavAn tena-upasaMkrAntaH | aTa BagavAn suvarNa-varNena kAyena
   vyāmaprabhayā caṃkramate sma | atha rājā ajitaseno bhagavato	vyAma-praBayA caMkramate sma | aTa rAjA ajitasenaH BagavataH-
   rūpavarṇaliṃgasaṃsthānaṃ dṛṣṭvā mūrcchitvā dharaṇitale nipatitaḥ | atha	rUpa-varNa-liMga-saMsTAnam dRzwvA mUrcCitvA DaraNi-tale nipatitaH | aTa
   bhagavān suvarṇavarṇaṃ bāhuṃ prasārya taṃ rājānam utthāpayati sma |	BagavAn suvarNa-varNam bAhum prasArya tam rAjAnam utTApayati sma |
   uttiṣṭha mahārāja kasyārthe prapatitaḥ | rājā aha | (Asv 128)	uttizWa mahA-rAja kasya-arTe prapatitaH | rAjA aha | (Asu 128)
   bahūni kalpāni acintiyāni	bahUni kalpAni acintiyAni
        jātīśatākoṭi acintiyāni /	jAtI-SatA-kowi acintiyAni /
   na me kadācid iha dṛṣṭarūpaṃ	na me kadAcid iha dRzwa-rUpam
        tvaṃ lokanātho varadakṣiṇīyo //	tvam lokanATaH vara-dakziNIyaH //
   tvaṃ sārthavāha jaravyādhimocakaṃ	tvam sArTavAha jara-vyADi-mocakam
        suvarṇavarṇaṃ varalakṣaṇāṃgam* /	suvarNa-varNam vara-lakzaNa-aMgam* /
   dvātṛṃśatā lakṣaṇadhāriṇaṃ mune	dvAtRMSatA lakzaNa-DAriNam mune
        nāsau kadācid vrajate apāyabhūmim* /	na-asO kadAcid vrajate apAya-BUmim* /
   yo lokanāthasya hi rūpu paśye	yaH loka-nATasya hi rUpu paSye
        tvaṃ lokanāthā śirasā namasyāmī //	tvam lokanATA SirasA namasyAmI //
   atha rājā ajitasenaḥ kṛtāñjaliḥ bhagavantam evam āha | ahaṃ bhagavan tava	aTa rAjA ajitasenaH kRtAQjaliH Bagavantam evam Aha | aham Bagavan tava
   śāsane pravrajiṣyāmi | atha bhagavān tuṣṭa udagra āttamanāḥ pramuditaḥ	SAsane pravrajizyAmi | aTa BagavAn tuzwaH udagre Atta-manAH pramuditaH
   prītisaumansyajātaḥ | alabdhalābhā ye [tatra] mama śāsanaṃ vaistārikaṃ	prIti-sOmansya-jAtaH | alabDa-lABAH ye [tatra] mama SAsanam vEstArikam
   bhavati | taṃ rājānam ajitasenam evam āha | gaccha tvaṃ mahārāja svagṛhe	Bavati | tam rAjAnam ajita-senam evam Aha | gacCa tvam mahA-rAja sva-gRhe
   saptame divase āgamiṣyāmi |	saptame divase AgamizyAmi |
   atha rājā ajitasenas tuṣṭa udagra āttamanāḥ pramuditaḥ prītisaumansyajātas	aTa rAjA ajitasenaH tuzwaH udagre Atta-manAH pramuditaH prIti-sOmansya-jAta-s
   taṃ kalyāṇamitraṃ bhikṣuṃ purataḥsthāpya svagṛhaṃ gatvā sarvān amātyān	tam kalyANa-mitram Bikzum puratas-sTApya sva-gRham gatvA sarvAn amAtyAn
   āmantrayate sma | sarvair grāmanagaranigamajanapadaiḥ pathaṃ śodhayitavyaṃ	Amantrayate sma | sarvEH grAma-nagara-nigama-janapadEH paTam SoDayitavyam
   gṛhe gṛhe dhvajāny ucchrāpitavyāni gṛhe gṛhe ratnamayāni (Asv 129)	gRhe gRhe DvajAni ucCrApitavyAni gRhe gRhe ratna-mayAni (Asu 129)
   kumbhāni paripūrayitavyāni | tadā taiḥ sarvair amātyair ājñātam* |	kumBAni paripUrayitavyAni | tadA tEH sarvEH amAtyEH AjQAtam* |
   sarvagrāmanagaranigamajanapadaiḥ pathaṃ śodhitaṃ dhvajāny ucchrāpitāni	sarva-grAma-nagara-nigama-janapadEH paTam SoDitam DvajAni ucCrApitAni
   ratnamayāni kumbhāni paripūritāni | yatra rājā ajitasenaḥ prativasati	ratna-mayAni kumBAni paripUritAni | yatra rAjA ajitasenaH prativasati
   tatra dvādaśakoṭyo dhvajānām ucchrāpitā dvādaśakoṭyo ratnamayānāṃ	tatra dvAdaSa-kowyaH DvajAnAm ucCrApitAH dvAdaSa-kowyaH ratna-mayAnAm
   kumbhānāṃ paripūritāḥ | yāvat saptame divase tathāgato 'rhan	kumBAnAm paripUritAH | yAvat saptame divase taTAgataH arhan
   samyaksaṃbuddhaḥ śāriputramaudgalyāyanānandapūrṇamaitrāyaṇīputrapramukhair	samyaksaMbudDaH SAriputra-mOdgalyAyana-Ananda-pUrNa-mEtrAyaNI-putra-pramuKEH-
   mahāśrāvakasaṃghaiḥ parivṛtaḥ puraskṛtaḥ ajitasenasya rājño rājadhānīm	mahA-SrAvaka-saMGEH parivRtaH puraskRtaH ajitasenasya rAjQaH rAjaDAnIm
   anuprāptaḥ | atha rājā ajitasenaḥ puṣpapiṭakaṃ gṛhītvā kalyāṇamitraṃ	anuprAptaH | aTa rAjA ajitasenaH puzpa-piwakam gRhItvA kalyANa-mitram
   purataḥsthāpya bhagavantaṃ puṣpair avakiran bhagavantam evam āha |	puratas-sTApya Bagavantam puzpEH avakiran Bagavantam evam Aha |
   anena kuśalamūlena sarvasatvā anuttarāṃ samyaksaṃbodhim abhisampadyante |	anena kuSala-mUlena sarva-satvAH anuttarAm samyaksaMboDim aBisampadyante |
   atha rājñā ajitasenena āsanāni prajñaptāni | tasya bhagavataḥ siṃhāsanaṃ	aTa rAjQA ajitasenena AsanAni prajQaptAni | tasya BagavataH siMhAsanam
   pradattam* | atha bhagavān siṃhāsane niṣaṇṇo rājño 'jitasenasya dharmān	pradattam* | aTa BagavAn siMhAsane nizaNNaH rAjQaH ajitasenasya DarmAn
   deśitavān* | atha rājñā ajitasenena prabhūtenāhāreṇa khādanīyena	deSitavAn* | aTa rAjQA ajitasenena praBUtena-AhAreNa KAdanIyena
   bhojanīyena santarpitaḥ | atha rājā ajitaseno jyeṣṭhakaṃ rājakumāraṃ	BojanIyena santarpitaH | aTa rAjA ajitasenaH jyezWakam rAja-kumAram
   dadāti | imaṃ rājakumāraṃ pravrājaya | tad ahaṃ paścāt pravrajiṣyāmi |	dadAti | imam rAja-kumAram pravrAjaya | tat aham paScAt pravrajizyAmi |
   atha bhagavān āyuṣmantam ānandam āmantrayate sma | gacchānanda imaṃ	aTa BagavAn Ayuzmantam Anandam Amantrayate sma | gacCa-AnandaH imam
   rājakumāraṃ pravrājaya | (Asv 130) athāyuṣmatānandena sa rājakumāraḥ	rAja-kumAram pravrAjaya | (Asu 130) aTa-AyuzmatA-Anandena sa rAja-kumAraH
   pravrājitaḥ | saha pravrajitamātreṇa arhatphalaṃ prāptam abhūt* |	pravrAjitaH | saha pravrajita-mAtreNa arhat-Palam prAptam aBUt* |
   sarvabuddhakṣetrāṇi paśyati sma | atha sa rājakumāro 'ntarīkṣagatas taṃ	sarva-budDa-kzetrANi paSyati sma | aTa sa rAja-kumAraH antarIkza-gataH tam
   pitaraṃ gāthābhir adhyabhāṣata |	pitaram gATABiH aDyaBAzata |
   mā vilaṃba kurute tāta	mA vilaMba kurute tAta
        mā khedaṃ kiṃci yāsyasi /	mA Kedam kiMci yAsyasi /
   aho sulabdhaṃ sugatāna darśanaṃ	aho su-labDam sugatAna darSanam
        aho sulabdhaṃ sugatāna lābham* //	aho su-labDam sugatAna lABam* //
   aho sulabdhaṃ paramaṃ hi lābhaṃ	aho su-labDam paramam hi lABam
        pravrajyalābhaṃ sugatena varṇitam* /	pravrajya-lABam sugatena varNitam* /
   saṃsāramokṣo sugatena varṇitaṃ	saMsAra-mokzaH sugatena varNitam
        pravrajya śīghraṃ ma vilaṃba tāta //	pravrajya SIGram ma vilaMba tAta //
   mā khedayī lokavināyakendraṃ	mA KedayI loka-vinAyaka-indram
        sudurlabhaṃ labdha manuṣyalābhaṃ	su-durlaBam labDa manuzya-lABam
   ...sudurlabhaṃ darśanu nāyakānām* /	...su-durlaBam darSanu nAyakAnAm* /
   śīghraṃ ca pravrajya mayā hi labdhaṃ	SIGram ca pravrajya mayA hi labDam
        prāptaṃ mayā uttamam agrabodhim* /	prAptam mayA uttamam agra-boDim* /
   śrutvā na rājā tada putravākyaṃ	SrutvA na rAjA tada putra-vAkyam
        sa pravrajī śāsani nāyakasya //	sa pravrajI SAsani nAyakasya //
   atha rājakumāro 'ntarīkṣagato gāthāṃ bhāṣitva tūṣṇīṃ sthito 'bhūt* | atha	aTa rAja-kumAraH antarIkza-gataH gATAm BAzitva tUzNIm sTitaH aBUt* | aTa
   rājā ajitasenaḥ putrasya vākyaṃ śrutvā tuṣṭa udagra (Asv 131) āttamanāḥ	rAjA ajitasenaH putrasya vAkyam SrutvA tuzwaH udagre (Asu 131) Atta-manAH
   pramuditaḥ [prīti]saumansyajāto bhagavantam uddiśya vihāraṃ kārayati sma |	pramuditaH [prIti]-sOmansya-jAtaH Bagavantam uddiSya vihAram kArayati sma |
   tūryakoṭyo 'nupradattāḥ | antaḥpurasahasram asyāstrīndriyam	tUrya-kowyaH anupradattAH | antaHpura-sahasram asya-astri-indriyam
   antarhitapuruṣendriyaṃ prādurabhūt* | atha rājā ajitaseno bhagavataḥ	antarhita-puruza-indriyam prAduraBUt* | aTa rAjA ajitasenaH BagavataH
   śāsane pravrajito 'bhūt* | tāś cāmātyakoṭyo bhagavataḥ śāsane pravrajitā	SAsane pravrajitaH aBUt* | tAH ca-amAtya-kowyaH BagavataH SAsane pravrajitA
   abhūvan* | tac cāntaḥpurapuruṣasahasraṃ pravrajitam abhūt* | bhagavān	aBUvan* | tat ca-antaHpura-puruza-sahasram pravrajitam aBUt* | BagavAn
   rājānam ajitasenaṃ pravrājya yena jetavanaṃ vihāras tena gamanam	rAjAnam ajita-senam pravrAjya yena jetavanam vihAraH tena gamanam
   ārabdhavān* |	ArabDavAn* |
   athāyuṣmān ānando bhagavantam evam āha | ayaṃ rājā ajitaseno rājyaṃ	aTa-AyuzmAn AnandaH Bagavantam evam Aha | ayam rAjA ajitasenaH rAjyam
   parityajya vihāraṃ kārayitvā bhagavataḥ śāsane pravrajito 'bhūt* | asya	parityajya vihAram kArayitvA BagavataH SAsane pravrajitaH aBUt* | asya
   kīdṛśaṃ kuśalamūlaṃ bhaviṣyati | bhagavān āha | sādhu sādhu ānanda yat	kIdRSam kuSala-mUlam Bavizyati | BagavAn Aha | sADu sADu Ananda yat-
   tvayā parikīrtitam* | ayaṃ rājā ajitaseno mama śāsane pravrajito	tvayA parikIrtitam* | ayam rAjA ajitasenaH mama SAsane pravrajitaH-
   bhaviṣyati | anāgate 'dhvany aparimitaiḥ kalpair acintyair aparimāṇair	Bavizyati | anAgate aDvani aparimitEH kalpEH acintyEH aparimANEH-
   ajitaprabho nāma tathāgato 'rhan samyaksaṃbuddho loke bhaviṣyati	ajitapraBaH nAma taTAgataH arhan samyaksaMbudDaH loke Bavizyati
   vidyācaraṇasaṃpannaḥ sugato lokavid anuttaraḥ puruṣadamyasārathiḥ śāstā	vidyA-caraNa-saMpannaH sugataH loka-vid anuttaraH puruza-damya-sAraTiH SAstA
   devānāṃ ca manuṣyāṇāṃ ca buddho bhagavān* | ānanda āha | ayaṃ	devAnAm ca manuzyANAm ca budDaH BagavAn* | AnandaH Aha | ayam
   nandimitramahāśrāvako rājñaḥ kalyāṇamitram abhūt* | kīdṛśaṃ vāsya	nandi-mitra-mahA-SrAvakaH rAjQaH kalyANa-mitram aBUt* | kIdRSam vA-asya
   kuśalamūlaṃ bhaviṣyati | bhagavān āha | (Asv 132) ayam ānanda	kuSala-mUlam Bavizyati | BagavAn Aha | (Asu 132) ayam Ananda
   nandimitramahāśrāvakas tatraiva kālasamaye nandiprabho nāma tathāgato	nandi-mitra-mahA-SrAvakaH tatra-eva kAla-samaye nandipraBaH nAma taTAgataH-
   'rhan samyaksaṃbuddho loke bhaviṣyati | ānanda āha | kīdṛśaṃ bhagavan*	arhan samyaksaMbudDaH loke Bavizyati | AnandaH Aha | kIdRSam Bagavan-*
   teṣāṃ tathāgatānāṃ buddhakṣetraṃ bhaviṣyati | bhagavān āha |	tezAm taTAgatAnAm budDa-kzetram Bavizyati | BagavAn Aha |
   aparimitaguṇasaṃcayā nāma sā buddhakṣetraṃ bhaviṣyati yatreme tathāgatā	aparimita-guNa-saMcayAH nAma sA budDa-kzetram Bavizyati yatra-ime taTAgatA
   bhaviṣyanti | ānanda āha | ya imaṃ dharmaparyāyaṃ sakalaṃ samāptaṃ paścime	Bavizyanti | AnandaH Aha | yaH imam Darma-paryAyam sakalam samAptam paScime
   kāle paścime samaye saṃprakāśayiṣyati tasya kīdṛśaḥ puṇyaskandho	kAle paScime samaye saMprakASayizyati tasya kIdRSaH puNya-skanDaH-
   bhaviṣyati | bhagavān āha | yadā mayānanda duṣkarakoṭiniyutaśatasahasrāṇi	Bavizyati | BagavAn Aha | yadA mayA-Ananda duzkara-kowi-niyuta-Sata-sahasrANi
   caritvā bodhir abhisaṃbuddhā tadā te satvā bodhim abhisaṃbhotsyante | ya	caritvA boDiH aBisaMbudDA tadA te satvAH boDim aBisaMBotsyante | ya
   etaddharmaparyāyāt* catuṣpadikām api gāthāṃ śroṣyanti avaivartikāś ca te	etad-Darma-paryAyAt* catuzpadikAm api gATAm Srozyanti avEvartikAH ca te
   satvā bhaviṣyanty anuttarāyāṃ samyaksaṃbodhau | ānanda āha | ya imaṃ	satvAH Bavizyanti anuttarAyAm samyaksaMboDO | AnandaH Aha | yaH imam
   dharmaparyāyaṃ dharmabhāṇakāḥ saṃprakāśayiṣyanti teṣāṃ kīdṛśaṃ kuśalamūlaṃ	Darma-paryAyam Darma-BANakAH saMprakASayizyanti tezAm kIdRSam kuSala-mUlam
