   nāgānandam	nAga-Anandam
   cañcvā sañcūrṇya śakrāśanidhanadagadāpretalokeśadaṇḍān	caQcvA saQcUrNya Sakra-aSani-Danada-gadA-preta-loka-ISa-daNxAn
   ājau nirjatya devān kṣaṇamamṛtamayīṃ vṛsṭimabhyutsṛjāmi // Nā_5.32 //	AjO nirjatya devAn kzaNam-amRta-mayIm vRswim-aByutsRjAmi // NA_5.32 //
   uṣṇīṣaḥ sphuṭa eṣa mūrdhani vibhātyūrṇoyamantarbhruvo-	uzNIzaH sPuwaH eza mUrDani viBAti-UrNoyam-antar-Bruvo-
   ścakṣustāmarasānukāri hariṇā vakṣaḥsthalaṃ spardhate /	ScakzuH-tAmarasa-anukAri hariNA vakzaH-sTalam sparDate /
   cakrāṅkau caraṇau tathāpi hi kathaṃ hā vatsa madūduṣkṛtai-	cakra-aFkO caraNO taTA-api hi kaTam hA vatsa mad-U-duzkRtE-
   stvaṃ vidyādharacakravartipadavīmaprāpya viśrāmyasi // Nā_5.33 //	stvam vidyADara-cakravarti-padavIm-aprApya viSrAmyasi // NA_5.33 //
   nijena jīvitenāpi jagatāmupakāriṇaḥ /	nijena jIvitena-api jagatAm-upakAriNaH /
   parituṣṭāsmi te vatsa ! jīva jīmūtavāhana // Nā_5.34 //	parituzwA-asmi te vatsa ! jIva jImUtavAhana // NA_5.34 //
   abhilaṣitādhikavarade ! praṇipatitajanārttihāriṇi ! śaraṇye !	aBilazita-aDika-vara-de ! praNipatita-jana-Artti-hAriNi ! SaraNye !
   caraṇau namāmyahaṃ te vidyāvarapūjite ! gauri ! // Nā_5.35 //	caraNO namAmi-aham te vidyA-vara-pUjite ! gOri ! // NA_5.35 //
   samprāptākhaṇḍadehāḥ sphuṭaphaṇamaṇibhirbhāsurairuttanāṅgai-	samprApta-aKaNxa-dehAH sPuwa-PaNa-maNiBiH-BAsurEH-uttana-aFgE-
   rjihvākoṭidvayena kṣitimamṛtarasāsvādalobhāllihantaḥ /	rjihvA-kowi-dvayena kzitim-amRta-rasa-AsvAda-loBAt-lihantaH /
   sampratyābaddhavegā malayagirisaridvāripūrā ivāmī	samprati-AbadDa-vegAH malaya-giri-sarit-vAri-pUrAH iva-AmI
   vakraiḥ prasthānamārgerviṣadharapatayastoyarāśiṃ viśanti // Nā_5.36 //	vakrEH prasTAna-mArgeH-vizaDara-patayaH-toya-rASim viSanti // NA_5.36 //
   haṃsāsevitemapaṅkajarajaḥsamparkapaṅkojjhitai-	haMsa-Asevita-ima-paFkaja-rajaH-samparka-paFka-ujJitE-
   rutpannairmama mānasādupanataistoyairmahāpāvanaiḥ /	rud-pannEH-mama mAnasAt-upanatEH-toyEH-mahA-pAvanEH /
   svecchānirmitaratnakumbhanihitaireṣābhiṣicya svayaṃ	sva-icCA-nirmita-ratna-kumBa-nihitEH-ezA-aBizicya svayam
   tvāṃ vidyādharacakravarttinamahaṃ prītyā karomi kṣaṇāt // Nā_5.37 //	tvAm vidyADara-cakravarttinam-aham prItyA karomi kzaNAt // NA_5.37 //
   agresarībhavatu kāñcanakrametadeṣa dvipaśca dhavalo daśanaiścaturbhiḥ /	agresarIBavatu kAQcana-krametat-eza dvipaH-ca DavalaH daSanEH-caturBiH /
   śyāmo harirmalayavatyapi cetyamūni ratnāni te samavalokya cakravarttin !	SyAmaH hariH-malayavati-api ca-iti-amUni ratnAni te samavalokya cakravarttin !
   // Nā_5.38 //	// NA_5.38 //
   trāto 'yaṃ śaṅkhacūḍaḥ patagapatimukhādvainateyo vinīta-	trAtaH ayam SaFKacUxaH pataga-pati-muKAt-vEnateyaH vinIta-
   stena prāgbhakṣitā ye viṣadharapatayo jīvitāste 'pi sarve /	stena prAk-BakzitAH ye vizaDara-patayaH jIvitAH-te api sarve /
   matprāṇāptyā vimuktā na gurubhirasavaścakravarttitvamāptaṃ	mad-prANAptyA vimuktA na guruBiH-asavaH-cakravartti-tvam-Aptam
   sākṣāttvaṃ devi ! dṛṣṭā priyamaparamataḥ kiṃ punaḥ prārthyate yat //	sAkzAt-tvam devi ! dRzwA priyam-aparamatas kim punar prArTyate yat //
   Nā_5.39 //	NA_5.39 //
   vṛṣṭiṃ hṛṣṭaśikhaṇḍatāṇḍavabhṛto muñcantu kāle dhanāḥ	vRzwim hRzwa-SiKaNxa-tANxava-BRtaH muQcantu kAle DanAH
   kurvantu pratirūḍhasantataharicchasyottarīyāṃ kṣitim /	kurvantu pratirUXa-santata-haricCasya-uttarIyAm kzitim /
   cinvānāḥ sukṛtāni vītavipado nirmansarairmānisai-	cinvAnAH su-kRtAni vIta-vipadaH nirmansarEH-mAni-sE-
   rmodantāṃ satataṃ ca bāndhavasuhṛdgoṣṭhipramodāḥ prajāḥ // Nā_5.40 //	rma-udantAm satatam ca bAnDava-suhRd-gozWi-pramodAH prajAH // NA_5.40 //
   śivamastu sarvajagatāṃ parahitaniratā bhavantu bhūtagaṇāḥ /	Sivam-astu sarva-jagatAm para-hita-niratAH Bavantu BUta-gaNAH /
   doṣāḥ prayāntu nāśaṃ sarvatra sukhī bhavatu lokaḥ // Nā_5.41 //	dozAH prayAntu nASam sarvatra suKI Bavatu lokaH // NA_5.41 //
   iti pañcamo 'ṅkaḥ	iti paQcamaH aFkaH
