   akatvam upapannayoḥ__Vdha_100.048	aka tvam upapannayoH__VDaH _100.048
   nārāyaṇaparāyaṇaḥ__Vdha_067.032	nArAyaNa parAyaNaH__VDaH _067.032
   nārāyaṇaparāyaṇā__Vdha_021.017	nArAyaNa parAyaNA__VDaH _021.017
   nārāyaṇaparo bhava__Vdha_064.070	nArAyaNa paraH Bava__VDaH _064.070
   nārāyaṇa prasīdeti__Vdha_102.059	nArAyaNa prasIda iti__VDaH _102.059
   nārāyaṇam aṇīyāṃsaṃ__Vdha_067.053	nArAyaNam aNIyAMsam__VDaH _067.053
   nārāyaṇam atandritā__Vdha_022.010	nArAyaNam atandritA__VDaH _022.010
   nārāyaṇam atandritāḥ__Vdha_001.050	nArAyaNam atandritAH__VDaH _001.050
   nārāyaṇamayaḥ paraḥ__Vdha_018.013	nArAyaNa mayaH paraH__VDaH _018.013
   nārāyaṇam aśeṣasya__Vdha_001.023	nArAyaNam aSezasya__VDaH _001.023
   nārāyaṇa yathā nānyaṃ__Vdha_018.017	nArAyaNa yaTA na anyam__VDaH _018.017
   nārāyaṇaś cakradharo__Vdha_097.012	nArAyaNaH cakraDaraH __VDaH _097.012
   nārāyaṇasyānudinaṃ__Vdha_018.009	nArAyaNasya anudinam__VDaH _018.009
   nārāyaṇaṃ kāraṇam ādidevam__Vdha_067.043	nArAyaNam kAraNam Adidevam__VDaH _067.043
   nārāyaṇaṃ namaskṛtya__Vdha_Maṅg1	nArAyaNam namaskRtya__VDaH _MaFg1
   nārāyaṇaṃ naraṃ kṛṣṇaṃ__Vdha_079.111	nArAyaNam naram kRzNam__VDaH _079.111
   nārāyaṇaṃ naraṃ śauriṃ__Vdha_070.050	nArAyaNam naram SOrim__VDaH _070.050
   nārāyaṇaṃ naraṃ haṃsaṃ__Vdha_068.015	nArAyaNam naram haMsam__VDaH _068.015
   nārāyaṇaṃ purākalpe__Vdha_066.005	nArAyaNam purAkalpe__VDaH _066.005
   nārāyaṇaṃ brahmanidhiṃ sureśam__Vdha_067.080	nArAyaNam brahma niDim sureSam__VDaH _067.080
   nārāyaṇaṃ śārṅgadharaṃ__Vdha_040.033	nArAyaNam SArFgaDaram__VDaH _040.033
   nārāyaṇaṃ samabhyarcya__Vdha_091.017	nArAyaNam samaByarcya__VDaH _091.017
   nārāyaṇaṃ sarvakālaṃ__Vdha_040.028	nArAyaNam sarvakAlam__VDaH _040.028
   nārāyaṇāya devāya__Vdha_028.*(20).003	nArAyaNAya devAya__VDaH _028.*(20).003
   nārāyaṇāya viśvāya__Vdha_028.*(20).032	nArAyaNAya viSvAya__VDaH _028.*(20).032
   nārāyaṇāya viśvāya__Vdha_067.*(100),017	nArAyaNAya viSvAya__VDaH _067.*(100),017
   nārāyaṇāya viśvāya__Vdha_092.012	nArAyaNAya viSvAya__VDaH _092.012
   nārāyaṇāyāmitavikramāya__Vdha_067.037	nArAyaNAya amita vikramAya__VDaH _067.037
   nārāyaṇārādhanam apramattaḥ__Vdha_008.026	nArAyaNa ArADanam apramattaH__VDaH _008.026
   nārāyaṇāstu dharmo me__Vdha_024.018	nArAyaNAH tu DarmaH me__VDaH _024.018
   nārāyaṇe gatamanāḥ__Vdha_005.002	nArAyaNe gata manAH__VDaH _005.002
   nārāyaṇe mahāprajñaḥ__Vdha_003.005	nArAyaNe mahA prajQaH__VDaH _003.005
   nārāyaṇo no bhagavān__Vdha_102.049	nArAyaNaH naH BagavAn__VDaH _102.049
   nārāyaṇo 'pi bhagavān__Vdha_103.053	nArAyaNaH api BagavAn__VDaH _103.053
   nārāyaṇoṃ bhūtim upaitu puṇyam__Vdha_024.017	nArAyaNom BUtim upEtu puNyam__VDaH _024.017
   nāriṃ prāpnoti na vyādhiṃ__Vdha_005.*(5)	na arim prApnoti na vyADim__VDaH _005.*(5)
   nārī ca dālbhya dharmajñā__Vdha_041.015	nArI ca dAlBya Darma jQA__VDaH _041.015
   nārī tapodhanā bhūtvā__Vdha_027.001	nArI tapoDanAH BUtvA__VDaH _027.001
   nārī dharmam avāpnute__Vdha_021.007	nArI Darmam avApnute__VDaH _021.007
   nārī paramikāṃ gatim__Vdha_022.029	nArI paramikAm gatim__VDaH _022.029
   nārī prāpnoti bhartari__Vdha_021.007	nArI prApnoti Bartari__VDaH _021.007
   nārī prāpya tathā patim__Vdha_016.005	nArI prApya taTA patim__VDaH _016.005
   nārībhiś cātighore 'smin__Vdha_083.012	nArIBiH ca ati Gore asmin__VDaH _083.012
   nārī vāpuṇyasaṃkṣayāt__Vdha_026.003	nArI vApuNya saMkzayAt__VDaH _026.003
   nārī vā varavarṇini__Vdha_030.015	nArI vA varavarNini__VDaH _030.015
   nārī vā sarvapāpebhyaḥ__Vdha_018.020	nArI vA sarva pApeByaH__VDaH _018.020
   nārī vā svargam abhyetya__Vdha_008.006	nArI vA svargam aByetya__VDaH _008.006
   nārkaṃ nonmattakaṃ kāṃcit__Vdha_081.044	na arkam na unmattakam kAMcid __VDaH _081.044
   nārthaḥ prabhūto nāyāsaḥ__Vdha_034.011	na arTaH praBUtaH na AyAsaH__VDaH _034.011
   nālapec caiva nāstikān__Vdha_007.004	na alapet ca eva nAstikAn__VDaH _007.004
   nālapeta tathā kṛṣṇam__Vdha_004.039	na alapeta taTA kRzNam__VDaH _004.039
   nālambanaguṇānvitāḥ__Vdha_100.007	na Alambana guNa anvitAH__VDaH _100.007
   nālaṃ dātuṃ dhanaṃ devety__Vdha_077.018	na alam dAtum Danam deva iti __VDaH _077.018
   nālaṃ viyogaṃ saṃsoḍhuṃ__Vdha_090.041	na alam viyogam saMsoXum__VDaH _090.041
   nālpapuṇyo hi jāyate__Vdha_079.022	na alpa puNyaH hi jAyate__VDaH _079.022
   nāvamanyed dvijān prājño__Vdha_050.004	na avamanyet dvijAn prAjQaH __VDaH _050.004
   nāvalokya bhavadbhis te__Vdha_080.033	na avalokya BavadBiH te__VDaH _080.033
   nāśam abhyetu pātakam__Vdha_031.029	nASam aByetu pAtakam__VDaH _031.029
   nāśayaty atra keśavaḥ__Vdha_017.015	nASayati atra keSavaH__VDaH _017.015
   nāśayiṣyaty asaṃśayam__Vdha_070.096	nASayizyati asaMSayam__VDaH _070.096
   nāśāya nābhūt patito 'pi kāye__Vdha_035.035	nASAya na aBUt patitaH api kAye__VDaH _035.035
   nāśāyaiṣāṃ samudbhūtā__Vdha_076.003	nASAya ezAm samudBUtA__VDaH _076.003
   nāścaryaṃ dvijaśārdūla__Vdha_023.006	na AScaryam dvija SArdUla__VDaH _023.006
   nāśvāśvataragardabhāḥ__Vdha_063.016	na aSva aSvatara gardaBAH__VDaH _063.016
   nāśvāsārthaṃ ca pṛcchasi__Vdha_064.*(84)	na ASvAsa arTam ca pRcCasi__VDaH _064.*(84)
   nāsatyadasrayoḥ pārśvam__Vdha_038.028	nAsatya dasrayoH pArSvam__VDaH _038.028
   nāsatyadasrāv anilāḥ__Vdha_103.009	nAsatya dasrO anilAH__VDaH _103.009
   nāsatyadasrau rūpeṇa__Vdha_038.012	nAsatya dasrO rUpeNa__VDaH _038.012
   nāsatyavacanaṃ dvija__Vdha_038.016	na asatya vacanam dvija__VDaH _038.016
   nāsatyau marutāṃ gaṇāḥ__Vdha_002.012	nAsatyO marutAm gaNAH__VDaH _002.012
   nāsan kṛtayuge rājan__Vdha_104.023	na Asan kRta yuge rAjan__VDaH _104.023
   nāsā vāyur mahābalaḥ__Vdha_077.056	nAsA vAyuH mahA balaH__VDaH _077.056
   nāsīt svalpam api dvija__Vdha_030.053	na AsIt su alpam api dvija__VDaH _030.053
   nāsurāṇāṃ kathaṃcana__Vdha_060.034	na asurANAm kaTaMcana__VDaH _060.034
   nāsūyā nāpi ruditaṃ__Vdha_104.025	na asUyA na api ruditam__VDaH _104.025
   nāsau tat padam āpnoti__Vdha_068.053	na asO tat padam Apnoti__VDaH _068.053
   nāsau praśasyate vipro__Vdha_059.020	na asO praSasyate vipraH __VDaH _059.020
   nāsau mamārcām arcayate 'rcayan vai__Vdha_050.019	na asO mama arcAm arcayate arcayan vE__VDaH _050.019
   nāstikān bhinnavṛttīṃś ca__Vdha_005.002	nAstikAn Binna vRttIn ca__VDaH _005.002
   nāsti kiṃcin naravyāghra__Vdha_051.007	na asti kiMcid nara vyAGra__VDaH _051.007
   nāsti gaṅgāsamā sarit__Vdha_079.128	na asti gaFgA samA sarit __VDaH _079.128
   nāsti govindabhaktānāṃ__Vdha_064.078	na asti govinda BaktAnAm__VDaH _064.078
   nāsti janmāntarāhṛtaḥ__Vdha_098.018	na asti janma antara AhRtaH__VDaH _098.018
   nāsti jñānasamaṃ dānaṃ__Vdha_079.127	na asti jQAna samam dAnam__VDaH _079.127
   nāsti dārādipoṣaṇam__Vdha_094.042	na asti dAra Adi pozaNam__VDaH _094.042
   nāsti mātṛsamo guruḥ__Vdha_056.033	na asti mAtR samaH guruH__VDaH _056.033
   nāsti yogāt paraṃ śreyaḥ__Vdha_098.013	na asti yogAt param SreyaH__VDaH _098.013
   nāsti vidyāsamaṃ cakṣus__Vdha_079.126	na asti vidyA samam cakzuH __VDaH _079.126
   nāsti viprendra tādṛśam__Vdha_088.026	na asti vipra indra tAdRSam__VDaH _088.026
   nāsti viṣṇusamaṃ dhyeyaṃ__Vdha_079.128	na asti vizNu samam Dyeyam__VDaH _079.128
   nāsti vedāt paraṃ śāstraṃ__Vdha_056.033	na asti vedAt param SAstram__VDaH _056.033
   nāsti satyāt paro dharmo__Vdha_079.126	na asti satyAt paraH DarmaH __VDaH _079.126
   nāsti sarveśvarāt param__Vdha_094.079	na asti sarva ISvarAt param__VDaH _094.079
   nāstīti kimu devena__Vdha_077.019	na asti iti kimu devena__VDaH _077.019
   nāstīti yan mayā noktam__Vdha_077.025	na asti iti yat mayA na uktam__VDaH _077.025
   nāstīty anye vadanti tat__Vdha_040.060	na asti iti anye vadanti tat __VDaH _040.060
   nāstīty ahaṃ guro vakṣye__Vdha_077.023	na asti iti aham guro vakzye__VDaH _077.023
   nāsty adharma tathānṛtāt__Vdha_079.126	na asti aDarma taTA anRtAt__VDaH _079.126
   nāsty anyad viṣṇudhamāṇāṃ__Vdha_105.092	na asti anyat vizNu DamANAm__VDaH _105.092
   nāsty arogasamaṃ dhanyaṃ__Vdha_079.128	na asti aroga samam Danyam__VDaH _079.128
   nāspadī madhusūdanaḥ__Vdha_008.010	na AspadI maDusUdanaH__VDaH _008.010
   nāsmākaṃ bhogakāraṇāt__Vdha_102.096	na asmAkam Boga kAraNAt__VDaH _102.096
   nāsmāsu kupitaṃ tava__Vdha_103.005	na asmAsu kupitam tava__VDaH _103.005
   nāham ārādhayāmi tvāṃ__Vdha_002.008	na aham ArADayAmi tvAm__VDaH _002.008
   nāham utsṛjya govindam__Vdha_002.028	na aham utsRjya govindam__VDaH _002.028
   nāhaṃ cirantanān vedmi__Vdha_027.005	na aham cirantanAn vedmi__VDaH _027.005
   nāhaṃ tvām udareṇeśa__Vdha_075.040	na aham tvAm udareNa ISa__VDaH _075.040
   nāhaṃ matsariṇī bhadrā__Vdha_032.013	na aham matsariNI BadrA__VDaH _032.013
   nāhaṃmāno 'sti kutracit__Vdha_038.082	na ahaMmAnaH asti kutracid __VDaH _038.082
   nāhaṃ vakṣyāmy ataḥ paraṃ__Vdha_002.030	na aham vakzyAmi atas param__VDaH _002.030
   nāhiteṣv arivad bhavān__Vdha_065.007	na ahitezu ari vat BavAn__VDaH _065.007
   nikāśeṣu janārdanaḥ__Vdha_072.089	nikASezu janArdanaH__VDaH _072.089
   nikṛntanti yathā kāṣṭhaṃ__Vdha_050.008	nikRntanti yaTA kAzWam__VDaH _050.008
   nigrahaṃ tasya kārayet__Vdha_063.027	nigraham tasya kArayet __VDaH _063.027
   nijakarmanibandhanaiḥ__Vdha_096.009	nija karma nibanDanEH__VDaH _096.009
   nijakāraṇam āsādya__Vdha_098.002	nija kAraNam AsAdya__VDaH _098.002
   nijadehajugupsanam__Vdha_097.024	nija deha jugupsanam__VDaH _097.024
   nijabhojanatailena__Vdha_082.065	nija Bojana tElena__VDaH _082.065
   nijam abhyāgamat puram__Vdha_002.087	nijam aByAgamat puram__VDaH _002.087
   nijamāyāpaṭacchanna__Vdha_076.076	nija mAyA pawacCanna__VDaH _076.076
   nijamūrdhānam apy adya__Vdha_077.024	nija mUrDAnam api adya__VDaH _077.024
   nijavarṇātmakaṃ dharmaṃ__Vdha_025.023	nija varNa Atmakam Darmam__VDaH _025.023
   nijānuṣṭhānam akhilaṃ__Vdha_082.039	nija anuzWAnam aKilam__VDaH _082.039
   nijena karmaṇā baddham__Vdha_037.015	nijena karmaNA badDam__VDaH _037.015
   nijena saṃpūjya hariṃ__Vdha_101.049	nijena saMpUjya harim__VDaH _101.049
   nityakarma ṛte cāsyā__Vdha_022.024	nityakarma Rte ca asyAH __VDaH _022.024
   nityakarma ca kevalam__Vdha_022.031	nityakarma ca kevalam__VDaH _022.031
   nityanaimittikaṃ karma__Vdha_037.031	nitya nEmittikam karma__VDaH _037.031
   nityanaimittikānāṃ ca__Vdha_037.010	nitya nEmittikAnAm ca__VDaH _037.010
   nityanaimittikānāṃ tu__Vdha_097.029	nitya nEmittikAnAm tu__VDaH _097.029
   nityanaimittikānīha__Vdha_097.015	nitya nEmittikAni iha__VDaH _097.015
   nityanaimittikāḥ kriyāḥ__Vdha_040.002	nitya nEmittikAH kriyAH__VDaH _040.002
   nityanaimittikīḥ kriyāḥ__Vdha_101.031	nitya nEmittikIH kriyAH__VDaH _101.031
   nityanaimittikair devaṃ__Vdha_080.033	nitya nEmittikEH devam__VDaH _080.033
   nityam ekāśano bhavet__Vdha_056.006	nityam eka aSanaH Bavet __VDaH _056.006
   nityam ekāśano bhavet__Vdha_056.017	nityam eka aSanaH Bavet __VDaH _056.017
   nityam envānumaṃsyati__Vdha_003.026	nityam envA anumaMsyati__VDaH _003.026
   nityam eva catuṣṭayam__Vdha_100.058	nityam eva catuzwayam__VDaH _100.058
   nityam eva jagaddhātri__Vdha_090.042	nityam eva jagat DAtri__VDaH _090.042
   nityam eva japan naraḥ__Vdha_040.022	nityam eva japan naraH__VDaH _040.022
   nityam eva tu nālapet__Vdha_025.006	nityam eva tu na alapet__VDaH _025.006
   nityam eva yudhiṣṭhira__Vdha_051.006	nityam eva yuDizWira__VDaH _051.006
   nityayor vyāpinoś caiva__Vdha_001.033	nityayoH vyApinoH ca eva__VDaH _001.033
   nityaṃ caivānulepanam__Vdha_082.053	nityam ca eva anulepanam__VDaH _082.053
   nityaṃ deyāni rājendra__Vdha_053.006	nityam deyAni rAja indra__VDaH _053.006
   nityaṃ pūjāṃ prayojayet__Vdha_050.*(60)	nityam pUjAm prayojayet __VDaH _050.*(60)
   nityaṃ brahmadviṣo narāḥ__Vdha_050.011	nityam brahma dvizaH narAH__VDaH _050.011
   nityaṃ saṃcintayaty eṣa__Vdha_072.040	nityam saMcintayati eza__VDaH _072.040
   nityaṃ siddhim iti bruvan__Vdha_057.017	nityam sidDim iti bruvan__VDaH _057.017
   nityā evātmano hite__Vdha_100.057	nityAH eva AtmanaH hite__VDaH _100.057
   nidāghe vijane vane__Vdha_094.012	nidAGe vijane vane__VDaH _094.012
   nidrāprakṛtir ulvaṇaḥ__Vdha_025.015	nidrA prakRtiH ulvaNaH__VDaH _025.015
   nidhānaṃ sarvatejasām__Vdha_090.017	niDAnam sarva tejasAm__VDaH _090.017
   nidhānaṃ sarvavidyānāṃ__Vdha_102.049	niDAnam sarva vidyAnAm__VDaH _102.049
   ninādavitrāsitadānavo hy asau__Vdha_039.023	ninAda vitrAsita dAnavaH hi asO__VDaH _039.023
   nindatā jagato gurum__Vdha_076.049	nindatA jagataH gurum__VDaH _076.049
   nindase sarvarājāno__Vdha_064.059	nindase sarva rAjAnaH __VDaH _064.059
   nindāpi tasya na nṛbhiḥ__Vdha_073.045	nindA api tasya na nRBiH__VDaH _073.045
   nindām anyasya vā bhuvi__Vdha_089.031	nindAm anyasya vA Buvi__VDaH _089.031
   nindāyāṃ ye na mānavāḥ__Vdha_073.011	nindAyAm ye na mAnavAH__VDaH _073.011
   nindāyāḥ śravaṇe doṣa__Vdha_033.013	nindAyAH SravaNe doza__VDaH _033.013
   nindāvamānam anyeṣāṃ__Vdha_040.006	nindA avamAnam anyezAm__VDaH _040.006
   nindāsu satatodyataḥ__Vdha_094.007	nindAsu satata udyataH__VDaH _094.007
   nindāṃ karoṣi ca katham__Vdha_076.045	nindAm karozi ca kaTam__VDaH _076.045
   nindāṃ karoṣi tasmiṃs tvaṃ__Vdha_076.047	nindAm karozi tasmin tvam__VDaH _076.047
   nindāṃ vā pṛthivīpate__Vdha_073.049	nindAm vA pRTivIpate__VDaH _073.049
   nipapāta tadambhasi__Vdha_094.022	nipapAta tad amBasi__VDaH _094.022
   nipapātāntarikṣataḥ__Vdha_079.001	nipapAta antarikzataH__VDaH _079.001
   nipapātāvidūrataḥ__Vdha_069.011	nipapAta avidUrataH__VDaH _069.011
   nipātayata taṃ gatvā__Vdha_072.037	nipAtayata tam gatvA__VDaH _072.037
   nipātyatāṃ pṛthagbhūte__Vdha_102.082	nipAtyatAm pRTak BUte__VDaH _102.082
   nibadhya setuṃ jaladhau daśānanam__Vdha_039.039	nibaDya setum jalaDO daSAnanam__VDaH _039.039
   nibodha gadato mama__Vdha_096.005	niboDa gadataH mama__VDaH _096.005
   nibodha mama pārthiva__Vdha_096.019	niboDa mama pArTiva__VDaH _096.019
   nibodha mama suvrata__Vdha_066.030	niboDa mama suvrata__VDaH _066.030
   nimittakāraṇaṃ pūrvaṃ__Vdha_096.005	nimitta kAraNam pUrvam__VDaH _096.005
   nimittabhāvaṃ bhagavān__Vdha_040.014	nimitta BAvam BagavAn__VDaH _040.014
   nimittaśaktayo nāmno__Vdha_040.011	nimitta SaktayaH nAmnaH __VDaH _040.011
   nimittaśaktiḥ sā tasya__Vdha_040.044	nimitta SaktiH sA tasya__VDaH _040.044
   nimittākhyaṃ tu tat param__Vdha_096.007	nimitta AKyam tu tat param__VDaH _096.007
   nimiṣajvālagardabham__Vdha_028.*(24).007	nimiza jvAla gardaBam__VDaH _028.*(24).007
   nimīlitākṣo bhagavān__Vdha_099.025	nimIlita akzaH BagavAn__VDaH _099.025
   nimeṣaśatabhāgasya__Vdha_038.039	nimeza Sata BAgasya__VDaH _038.039
   nimeṣā daśa pañca ca__Vdha_104.011	nimezAH daSa paQca ca__VDaH _104.011
   nimeṣo brahmaṇo rātrir__Vdha_002.017	nimezaH brahmaNaH rAtriH __VDaH _002.017
   niyataṃ mokṣam āpsyasi__Vdha_070.030	niyatam mokzam Apsyasi__VDaH _070.030
   niyatā brahmacāriṇaḥ__Vdha_052.010	niyatAH brahmacAriNaH__VDaH _052.010
   niyantavyā mayā sarve__Vdha_077.074	niyantavyAH mayA sarve__VDaH _077.074
   niyamaṃ cāsya rocate__Vdha_089.035	niyamam ca asya rocate__VDaH _089.035
   niyamān api me śṛṇu__Vdha_100.002	niyamAn api me SRNu__VDaH _100.002
   niyamāḥ kauravaśreṣṭha__Vdha_100.003	niyamAH kOrava SrezWa__VDaH _100.003
   niyuktā bhavato gṛhe__Vdha_082.026	niyuktA BavataH gRhe__VDaH _082.026
   niyutārdhārdhamātreṇa__Vdha_066.020	niyuta arDa arDa mAtreNa__VDaH _066.020
   niyoktavyo 'jugupsitaḥ__Vdha_051.010	niyoktavyaH ajugupsitaH__VDaH _051.010
   niyogo me 'nupālyatām__Vdha_080.029	niyogaH me anupAlyatAm__VDaH _080.029
   nirastātiśayatvena__Vdha_082.027	nirasta atiSaya tvena__VDaH _082.027
   nirasto rajanīcaraḥ__Vdha_069.012	nirastaH rajanIcaraH__VDaH _069.012
   nirātaṅko gatajvaraḥ__Vdha_005.028	nirAtaFkaH gata jvaraH__VDaH _005.028
   nirāyāsena mānavaḥ__Vdha_034.010	nirAyAsena mAnavaH__VDaH _034.010
   nirāyāsena mānavaḥ__Vdha_034.*(36)	nirAyAsena mAnavaH__VDaH _034.*(36)
   nirāyodho nātha manuṣyajanmā__Vdha_035.041	nirAyoDaH nATa manuzya janmA__VDaH _035.041
   nirāśe tu nirāśakāḥ__Vdha_045.*(50)	nirASe tu nirASakAH__VDaH _045.*(50)
   nirāśo jīvite prāha__Vdha_070.018	nirASaH jIvite prAha__VDaH _070.018
   nirāhāro japan nāma__Vdha_007.003	nirAhAraH japan nAma__VDaH _007.003
   nirutsāhā jaḍadhiyo__Vdha_088.047	nirutsAhAH jaxa DiyaH __VDaH _088.047
   nirodhavyās tannirodhād__Vdha_096.025	niroDavyAH tad niroDAt __VDaH _096.025
   nirodhe yogasāmarthyād__Vdha_096.028	niroDe yoga sAmarTyAt __VDaH _096.028
   nirgatā dvijasattamāḥ__Vdha_037.029	nirgatAH dvijasattamAH__VDaH _037.029
   nirguṇaṃ guṇabhoktṛ ca__Vdha_002.044	nirguNam guNa BoktR ca__VDaH _002.044
   nirguṇaṃ guṇabhoktṛ ca__Vdha_095.017	nirguNam guNa BoktR ca__VDaH _095.017
   nirguṇaṃ parameśvaram__Vdha_067.050	nirguNam parameSvaram__VDaH _067.050
   nirguṇaṃ sarvagaṃ yataḥ__Vdha_096.003	nirguNam sarvagam yatas __VDaH _096.003
   nirguṇāya guṇātmane__Vdha_067.*(100),016	nirguNAya guNa Atmane__VDaH _067.*(100),016
   nirguṇāya viśeṣāya__Vdha_075.014	nirguNAya viSezAya__VDaH _075.014
   nirghṛṇasya dvijadruhaḥ__Vdha_070.020	nirGRNasya dvija druhaH__VDaH _070.020
   nirghṛṇaḥ sa hi mantavyaḥ__Vdha_062.010	nirGRNaH sa hi mantavyaH__VDaH _062.010
   nirjagāma yudhiṣṭhiraḥ__Vdha_064.*(82)	nirjagAma yuDizWiraH__VDaH _064.*(82)
   nirjagāma yudhiṣṭhiraḥ__Vdha_064.033	nirjagAma yuDizWiraH__VDaH _064.033
   nirjitya parasainyāni__Vdha_064.061	nirjitya para sEnyAni__VDaH _064.061
   nirjitya saṃkhye tripurārim ekaḥ__Vdha_035.042	nirjitya saMKye tripurArim ekaH__VDaH _035.042
   nirdagdhā iva vahninā__Vdha_076.002	nirdagDAH iva vahninA__VDaH _076.002
   nirdhanasyāmiṣāśinaḥ__Vdha_094.034	nirDanasya Amiza ASinaH__VDaH _094.034
   nirdhūtapuṇyapāpā yaṃ__Vdha_100.036	nirDUta puNya pApAH yam__VDaH _100.036
   nirdhūtapuṇyapāpā ye__Vdha_100.*(153)	nirDUta puNya pApAH ye__VDaH _100.*(153)
   nirdhūtamaladoṣaś ca__Vdha_079.095	nirDUta mala dozaH ca__VDaH _079.095
   nirdhūtasarvapāpebhyo__Vdha_094.123	nirDUta sarva pApeByaH __VDaH _094.123
   nirdhūtaṃ bhuvi pātitam__Vdha_070.002	nirDUtam Buvi pAtitam__VDaH _070.002
   nirdhūtā ye samāhatāḥ__Vdha_069.022	nirDUtAH ye samAhatAH__VDaH _069.022
   nirbhartsitaiś ca nirbhagnas__Vdha_050.002	nirBartsitEH ca nirBagnaH __VDaH _050.002
   nirmamatvam asaṅgitā__Vdha_038.061	nirmama tvam asaFgitA__VDaH _038.061
   niryatno 'pi hi pārthivaḥ__Vdha_072.038	niryatnaH api hi pArTivaH__VDaH _072.038
   niryāntam atha vegena__Vdha_078.026	niryAntam aTa vegena__VDaH _078.026
   nirvaped abdaparyaye__Vdha_064.068	nirvapet abda paryaye__VDaH _064.068
   nirvāṇaṃ padam avyayam__Vdha_105.065	nirvANam padam avyayam__VDaH _105.065
   nirvāṇaṃ samavāpnoti__Vdha_072.001	nirvANam samavApnoti__VDaH _072.001
   nirvikalpena manasā__Vdha_079.124	nirvikalpena manasA__VDaH _079.124
   nirvikāra namas te 'stu__Vdha_068.031	nirvikAra namaH te astu__VDaH _068.031
   nirvighna tv adhikaphalaṃ sadā dadāti__Vdha_039.047	nirviGna tu aDika Palam sadA dadAti__VDaH _039.047
   nirviṇṇacetāḥ śaithilyaṃ__Vdha_072.091	nirviNNa cetAH SETilyam__VDaH _072.091
   nirviṇṇasyātipāpinaḥ__Vdha_070.004	nirviNNasya ati pApinaH__VDaH _070.004
   nirviṇṇaḥ svena karmaṇā__Vdha_070.012	nirviNNaH svena karmaNA__VDaH _070.012
   nirvivekena pāpena__Vdha_070.027	nirvivekena pApena__VDaH _070.027
   nirvṛtā bhava nandini__Vdha_075.039	nirvRtA Bava nandini__VDaH _075.039
   nirvṛtiṃ cāpi śāśvatīm__Vdha_003.053	nirvRtim ca api SASvatIm__VDaH _003.053
   nirvṛtiṃ paramāṃ gataḥ__Vdha_083.004	nirvRtim paramAm gataH__VDaH _083.004
   nirvṛtiḥ paramā teṣāṃ__Vdha_088.025	nirvRtiH paramA tezAm__VDaH _088.025
   nirvṛto bhava vāsava__Vdha_102.098	nirvRtaH Bava vAsava__VDaH _102.098
   nirvṛttiṃ kurute so 'pi__Vdha_007.021	nirvRttim kurute saH api__VDaH _007.021
   nirvedaṃ prāpitaṃ param__Vdha_070.009	nirvedam prApitam param__VDaH _070.009
   nirvedaḥ sumahāñ jajñe__Vdha_094.054	nirvedaH su mahAn jajQe__VDaH _094.054
   nirvedāt praṇatā harim__Vdha_075.010	nirvedAt praNatAH harim__VDaH _075.010
   nirvyalīkena cittena__Vdha_004.010	nirvyalIkena cittena__VDaH _004.010
   nivartyobhayacetasaḥ__Vdha_096.024	nivartya uBaya cetasaH__VDaH _096.024
   nivāta iva dīpasya__Vdha_100.039	nivAtaH iva dIpasya__VDaH _100.039
   nivātasthau yathā dīpāv__Vdha_102.032	nivAta sTO yaTA dIpO= __VDaH _102.032
   nivātaṃ manyate naraḥ__Vdha_023.027	nivAtam manyate naraH__VDaH _023.027
   nivṛttāś cauryakarmaṇaḥ__Vdha_074.014	nivRttAH cOrya karmaNaH__VDaH _074.014
   nivṛttiṃ pāpataḥ śubhe__Vdha_089.033	nivRttim pApataH SuBe__VDaH _089.033
   nivṛtte bhārate raṇe__Vdha_035.005	nivRtte BArate raNe__VDaH _035.005
   nivṛtter upakārakam__Vdha_070.012	nivRtteH upakArakam__VDaH _070.012
   nivedaya svarājendraṃ__Vdha_064.*(82)	nivedaya sva rAja indram__VDaH _064.*(82)
   nivedayām āsa tathā__Vdha_064.026	nivedayAm Asa taTA__VDaH _064.026
   nivedayet kārttikādi__Vdha_026.008	nivedayet kArttika Adi__VDaH _026.008
   nivedite bhayaṃ rogaṃ__Vdha_081.045	nivedite Bayam rogam__VDaH _081.045
   nivedya gurave phalam__Vdha_070.021	nivedya gurave Palam__VDaH _070.021
   nivedya gurave bhaikṣam__Vdha_101.023	nivedya gurave BEkzam__VDaH _101.023
   nivedya gurave yāvad__Vdha_070.023	nivedya gurave yAvat __VDaH _070.023
   nivedya pṛthivīṃ mama__Vdha_002.082	nivedya pRTivIm mama__VDaH _002.082
   nivedya vacasā tathā__Vdha_072.025	nivedya vacasA taTA__VDaH _072.025
   nivedya sakalaṃ tataḥ__Vdha_022.015	nivedya sakalam tatas __VDaH _022.015
   nivedyā dānaveśvara__Vdha_081.036	nivedyAH dAnava ISvara__VDaH _081.036
   nivedyārgham abhāṣata__Vdha_079.006	nivedya arGam aBAzata__VDaH _079.006
   niśāmya tad vacaḥ śrāntaḥ__Vdha_094.018	niSAmya tat vacaH SrAntaH__VDaH _094.018
   niśāmya ditijeśvaraḥ__Vdha_079.040	niSAmya ditija ISvaraH__VDaH _079.040
   niśāmya yaṃ mṛtyumukhāt pramucyate__Vdha_067.045	niSAmya yam mRtyu muKAt pramucyate__VDaH _067.045
   niśāmya vacanaṃ nṛpaḥ__Vdha_083.001	niSAmya vacanam nRpaH__VDaH _083.001
   niśāmyāpīdṛśaṃ narāḥ__Vdha_088.073	niSAmya api IdRSam narAH__VDaH _088.073
