   atha sāṃkhyatattvapradīpaḥ /	aTa sAMKya-tattva-pradIpaH /
   kāryarūpeṇānabhivyaktībhavanti tathā pṛthivyādayastanmātrāṇi viśantaḥ	kArya-rUpeNa-anaBivyaktIBavanti taTA pRTivI-AdayaH-tanmAtrANi viSantaH
   svasvarūpeṇa tanmātrāṇyabhivyaktayanti svasvarūpeṇa kāraṇamabhivyaktamapi	sva-svarUpeNa tanmAtrANi-aBivyaktayanti sva-svarUpeNa kAraNam-aBivyaktam-api
   kāryasvarūpa ṃ svakīyaṃ svasminnanabhivyaktayati tanmātrāṇi tathāhaṅkāraṃ	kArya-svarUpa m svakIyam svasmin=-anaBivyaktayati tanmAtrANi taTA-ahaFkAram
   viśantyahaṅkāraṃ svāpekṣayā 'vyaktayanti tathāhaṅkāro mahāntaṃ viśan	viSanti-ahaFkAram sva-apekzayA avyaktayanti taTA-ahaFkAraH mahAntam viSan
   mahāntamavyaktayati mahānpradhānaṃ svakāraṇaṃ viśan tadavyaktayati	mahAntam-avyaktayati mahAn-praDAnam sva-kAraNam viSan tat-avyaktayati
   pradhānasya tu na kvacitpraveśo 'kāraṇatvādapi tu tatsarvakāryāṇāmavyaktam	praDAnasya tu na kvacid-praveSaH akAraNa-tvAt-api tu tad-sarva-kAryANAm-avyaktam
   kāraṇam evamavibhāgaḥ / prakṛtau viśvasyaivaṃ vibhāgāvibhāgau /	kAraNam evam-aviBAgaH / prakRtO viSvasya-evam viBAga-aviBAgO /
        kecana avyaktaṃ vā mahāntaṃ vāhaṅkāraṃ vā indriyāṇi vā bhūtāni vā	kecana avyaktam vA mahAntam vA-ahaFkAram vA indriyANi vA BUtAni vA
   ātmatvenādāya tānevopāsate te tu vakṣyamāṇarītyā 'pākaraṇīyāḥ /	Atma-tvena-AdAya tAn-eva-upAsate te tu vakzyamANa-rItyA apAkaraNIyAH /
   avyaktādervyatiriktaḥ puruṣo 'sti avyaktamahadahaṅkārādayaḥ parārthāḥ	avyakta-AdeH-vyatiriktaH puruzaH asti avyakta-mahat-ahaFkAra-AdayaH para-arTAH
   kutaḥ saṅghātatvāt yaḥ saṅghāto bhavati sa parārtho	kutas saFGAta-tvAt yaH saFGAtaH Bavati sa para-arTaH-
   dṛṣṭastailatāmbūlaghṛtadadhidugdhānnavastrādivat sukhaduḥkhamohātmakatvena	dRzwaH-tEla-tAmbUla-GRta-daDi-dugDa-anna-vastra-Adi-vat suKa-duHKa-moha-Atmaka-tvena
   sarve saṅghātāstathāca yadarthaṃ saṅghātāḥ sa eva puruṣaḥ / nanu	sarve saFGAtAH-taTA-ca yad-arTam saFGAtAH saH eva puruzaH / nanu
   śayanāsanādiḥ saṅghātaḥ saṅghātaśarīrādiparārtho dṛṣṭo na tvātmānaṃ prati	Sayana-Asana-AdiH saFGAtaH saFGAta-SarIra-Adi-para-arTaH dRzwaH na tu-AtmAnam prati
   parārthaḥ tasmātsaṅghātāntarameva sādhayeyurnāsaṃhatamātmānamiti yaduktam	para-arTaH tasmAt-saFGAta-antaram-eva sADayeyuH-na-asaMhatam-AtmAnam-iti yat-uktam
   tanna sādhu saṅghātasya saṅghātāntarārthatve tasyāpi	tat-na sADu saFGAtasya saFGAta-antara-arTa-tve tasya-api
   saṅghātatvātsaṃghātāntarārthatā tasyāpi saṅghātatvāttathātvaṃ tasyāpi	saFGAta-tvAt-saMGAta-antara-arTa-tA tasya-api saFGAta-tvAt-taTA-tvam tasya-api
   tathātvamityanavasthā dustarā syāt / kiñca saṅghātasya pārārthyamātreṇa	taTAtvam-iti-anavasTA dustarA syAt / kiQca saFGAtasya pArArTya-mAtreNa
   vyāptirna tu saṅghātapārārthyena / na ca dṛṣṭāntadṛṣṭatvāttathā kalpyata	vyAptiH-na tu saFGAta-pArArTyena / na ca dRzwAnta-dRzwa-tvAt-taTA kalpyata
   iti vācyam / dṛṣṭāntadṛṣṭayāvaddharmāṇāṃ dārṣṭāntike	iti vAcyam / dRzwAnta-dRzwa-yAvat-DarmANAm dArzwa-antike
   sādhanāyānumānamicchato dṛṣṭāntamahānasādigatamahānasatvādeḥ	sADanAya-anumAnam-icCataH dRzwAnta-mahAnasa-Adi-gata-mahAnasa-tva-AdeH
   parvatādāvabhāvātsarvānumānocchedaḥ syāt / yathāhuḥ triguṇatvādayo hi	parvata-AdO=-aBAvAt-sarva-anumAna-ucCedaH syAt / yaTA-AhuH triguNa-tva-AdayaH hi
   dharmā saṅghātatvena vyāptāḥ te tu asminpare vyāvartamānāstraiguṇyādi	DarmA saFGAta-tvena vyAptAH te tu asmin-pare vyAvartamAnAH-trEguNya-Adi
   vyāvartayanti brāhmaṇyamiva nivartamānaṃ kaṭhatvādikam / adhiṣṭhānādapi	vyAvartayanti brAhmaNyam-iva nivartamAnam kaWa-tva-Adikam / aDizWAnAt-api
   puruṣāstitvaṃ siddhyati triguṇātmakānāṃ buddhyādīnāmadhiṣṭhīyamānatvāt	puruza-astitvam sidDyati triguNa-AtmakAnAm budDi-AdInAm-aDizWIyamAna-tvAt-
   yathā rathādiryantrādibhiradhiṣṭhīyate tathā sukhaduḥkhamohātmakaṃ	yaTA raTa-AdiH-yantra-AdiBiH-aDizWIyate taTA suKa-duHKa-moha-Atmakam
   buddhyādi pareṇādhiṣṭhātavyam / bhoktṛbhāvādapi puruṣāstitvamavaseyam	budDi-Adi pareNa-aDizWAtavyam / BoktR-BAvAt-api puruza-astitvam-avaseyam
   bhogye hi sukhaduḥkhe anukūlapratikūlavedanīye pratyātmamanubhūyete	Bogye hi suKa-duHKe anukUla-pratikUla-vedanIye pratyAtmam-anuBUyete
   tenānayoranukūlatayā pratikūlatayā vā 'nubhavitrā kenacidbhavitavyam / na	tena-anayoH-anukUla-tayA pratikUla-tayA vA anuBavitrA kenacid-Bavitavyam / na
   ca buddhyādireva tatheti vācyam / teṣāṃ sukhādyātmakatvena svenaiva	ca budDi-AdiH-eva taTA-iti vAcyam / tezAm suKa-Adi-Atmaka-tvena svena-eva
   svavedane ātmāśrayaḥ syāt / kaivalyārthaṃ pravṛtterapi puruṣāstitvaṃ	sva-vedane Atma-ASrayaH syAt / kEvalya-arTam pravRtteH-api puruza-astitvam
   siddham duḥkhatrayātyantikanivṛttilakṣaṇaṃ kaivalyaṃ na tāvadbuddhyādīnāṃ	sidDam duHKa-traya-Ati-antika-nivRtti-lakzaNam kEvalyam na tAvat-budDi-AdInAm
   te hi sukhaduḥkhamohātmakāḥ kathaṃ svabhāvādviyojayituṃ śakyāḥ	te hi suKa-duHKa-moha-AtmakAH kaTam svaBAvAt-viyojayitum SakyAH
   tasmātkaivalyārthamāgamānāṃ mahādhiyāṃ ca pravṛtterasti buddhyādvyatirikta	tasmAt-kEvalya-arTam-AgamAnAm mahA-DiyAm ca pravRtteH-asti budDyAt-vyatirikta
   ātmeti puruṣāstitvaṃ siddham / nanu bhavatvevaṃ	AtmA-iti puruza-astitvam sidDam / nanu Bavatu-evam
   buddhyādyatiriktātmasiddhistathāpi sa kiṃ pratiśarīraṃ bhinna eka eva veti	budDi-Adi-atirikta-Atma-sidDiH-taTA-api sa kim pratiSarIram BinnaH ekaH eva vA-iti
   cedbhinna eveti brūmaḥ janmamaraṇādivyavasthānyathānupapattyā	ced-BinnaH eva-iti brUmaH janma-maraNa-Adi-vyavasTA-ani-aTa-anupapattyA
   bahutvasyaiva sambhavāt / uktaṃ ca sāṃkhyācāryaiḥ /	bahutvasya-eva samBavAt / uktam ca sAMKya-AcAryEH /
        janmamaraṇakaraṇānāṃ pratiniyamādayugapatpravṛtteśca /	janma-maraNa-karaNAnAm pratiniyamAt-ayugapad-pravRtteH-ca /
        puruṣabahutvaṃ siddhaṃ traiguṇyaviparyayāccaiva //	puruza-bahu-tvam sidDam trEguNya-viparyayAt-ca-eva //
        jātiviśiṣṭābhirapūrvābhirdehendriyamano 'haṅkārabuddhivedanābhiḥ	jAti-viSizwABiH-apUrvABiH-deha-indriya-manaH ahaFkAra-budDi-vedanABiH
   puruṣasyābhisambandho janma na tu puruṣasya pariṇāmastasyāpariṇāmitvāt	puruzasya-aBisambanDaH janma na tu puruzasya pariNAmaH-tasya-apariNAmi-tvAt-
   teṣāmeva ca dehādīnāmupāttānāṃ parityāgo maraṇaṃ na tvātmano vināśastasya	tezAm-eva ca deha-AdInAm-upAttAnAm parityAgaH maraNam na tu-AtmanaH vinASaH-tasya
   kūṭasthasya nityatvāt / buddhyādīni karaṇāni trayodaśa teṣāṃ	kUwasTasya nitya-tvAt / budDi-AdIni karaNAni trayodaSa tezAm
   janmamaraṇakaraṇānāṃ pratiniyamo vyavasthā sā tviyaṃ	janma-maraNa-karaNAnAm pratiniyamaH vyavasTA sA tu-iyam
   śarvaśarīreṣvekasminpuruṣe na sambhavati tathā satyekasminsukhini sarve	Sarva-SarIrezu-ekasmin-puruze na samBavati taTA sati-ekasmin-suKini sarve
   sukhinaḥ syuḥ duḥkhini vā duḥkhino bhaveyuḥ tathā ekasmin mriyamāṇe sarve	suKinaH syuH duHKini vA duHKinaH BaveyuH taTA ekasmin mriyamANe sarve
   mriyeran jāyamāne ca jāyeran evamekasminnandhabadhirādau sarva eva tathā	mriyeran jAyamAne ca jAyeran evam-ekasmin=-anDa-baDiH-AdO sarve eva taTA
   syuḥ na tvevamasti tathā ekasminvicitte sarve vicittāḥ syurityavyavasthā	syuH na tu-evam-asti taTA ekasmin-vicitte sarve vicittAH syuH-iti-avyavasTA
   puruṣabhede tu samyagupapadyate vyavasthā / nacaikasminnapi puruṣe	puruza-Bede tu samyak-upapadyate vyavasTA / naca-ekasmin=-api puruze
   dehāntaropādhivaśāt upapadyata eva vyavastheti vācyam	deha-antara-upADi-vaSAt upapadyate eva vyavasTA-iti vAcyam
   karacaraṇastanādibhedenāpi janmamaraṇādivyavasthā syāt /	kara-caraNa-stana-Adi-Bedena-api janma-maraNa-Adi-vyavasTA syAt /
   guṇatrayaviparyayādapi puruṣabahutvamavaseyam / tadyathā	guNatraya-viparyayAt-api puruza-bahu-tvam-avaseyam / tat-yaTA
   kecitsattvabahulāḥ yathorddhvasrotasaḥ kecidrahobahulāḥ yathā manuṣyāḥ	kecid-sattva-bahulAH yaTA-UrdDvasrotasaH kecid-rahaH-bahulAH yaTA manuzyAH
   kecittamobahulāḥ yathā tiryagyonayaḥ /	kecid-tamaH-bahulAH yaTA tiryagyonayaH /
        puruṣasya bahutvavadatriguṇatvaṃ vivekitvamaviṣayatvamasādhāraṇatvaṃ	puruzasya bahu-tva-vat-atriguNa-tvam viveki-tvam-avizaya-tvam-asADAraNa-tvam
   cetanatvamaprasavadharmitvaṃ sākṣitvādikamapi boddhavyam /	cetana-tvam-aprasava-Darmi-tvam sAkzi-tva-Adikam-api bodDavyam /
        pradhānapuruṣayoḥ saṃyogakṛto 'yaṃ sargaḥ sa cāpekṣāṃ vinā	praDAna-puruzayoH saMyoga-kRtaH ayam sargaH sa ca-apekzAm vinA
   bhinnayorna sambhavati apekṣā ca svadarśanārthaṃ puruṣeṇa pradhānasya	BinnayoH-na samBavati apekzA ca sva-darSana-arTam puruzeNa praDAnasya
   pradhānaṃ hi viṣayātmakatayā bhogyam bhogaśca bhoktāramantareṇa na	praDAnam hi vizaya-Atmaka-tayA Bogyam BogaH-ca BoktAram-antareNa na
   bhavatīti bhoktrapekṣā pradhānasya puruṣasya svakaivalyārthaṃ	Bavati-iti BoktR-apa-IkzA praDAnasya puruzasya sva-kEvalya-arTam
   pradhānāpekṣā pradhānena hi bhogyena sambhinnaḥ puruṣastadgataṃ	praDAna-apekzA praDAnena hi Bogyena samBinnaH puruzaH-tad-gatam
   duḥkhatrayaṃ svātmanyabhimanyamānaḥ kaivalyaṃ prārthayate tattu	duHKa-trayam sva-Atmani-aBimanyamAnaH kEvalyam prArTayate tat-tu
   sattvapuruṣānyatākhyātikāraṇakaṃ sattvapuruṣānyatākhyātiśca	sattva-puruza-anya-tA-KyAti-kAraNakam sattva-puruza-anyatA-KyAtiH-ca
   pradhānamantarā na bhavatīti puruṣasya pradhānāpekṣayā	praDAnam-antarA na Bavati-iti puruzasya praDAna-apekzayA
   paṅgvandhavadubhayoḥ saṃyogaḥ bhogāyānādiparamparāsaṃyukto 'pi kaivalyāya	paFgu-anDavat-uBayoH saMyogaH BogAya-ana-Adi-paramparA-saMyuktaH api kEvalyAya
   punaḥ saṃyujyate sa ca saṃyogo mahadādisargamantareṇa bhogāpavargayoḥ	punar saMyujyate sa ca saMyogaH mahat-Adi-sargam-antareNa Boga-apavargayoH
   samartho na bhavatīti saṃyoga eva mahadādisargaṃ karoti / uktañca /	samarTaH na Bavati-iti saMyogaH eva mahat-Adi-sargam karoti / uktaQca /
        prakṛtermahāṃstato 'haṅkārastasmādgaṇaśca ṣoḍaśakaḥ /	prakRteH-mahAn=-tatas ahaFkAraH-tasmAt-gaNaH-ca zoxaSakaH /
        tasmādapi ṣoḍaśakātpañcabhyaḥ pañca bhūtāni //	tasmAt-api zoxaSakAt-paQcaByaH paQca BUtAni //
        ekādaśendriyāṇi pañca tanmātrāṇi ceti ṣoḍaśasaṃkhyāmito gaṇaḥ	ekAdaSa-indriyANi paQca tanmAtrANi ca-iti zoxaSa-saMKyAmitaH gaNaH
   ṣoḍaśakaḥ / uktañca tatra śabdatanmātrādākāśaṃ śabdaguṇam,	zoxaSakaH / uktaQca tatra Sabda-tanmAtrAt-AkASam Sabda-guNam,
   śabdatanmātrasahitācca sparśatanmātrādvāyuḥ śabdasparśaguṇaḥ,	Sabda-tanmAtra-sahitAt-ca sparSa-tanmAtrAt-vAyuH Sabda-sparSa-guNaH,
   śabdasparśatanmātrasahitādrūpatanmātrāttejaḥ śabdasparśarūpaguṇaṃ,	Sabda-sparSa-tanmAtra-sahitAt-rUpa-tanmAtrAt-tejaH Sabda-sparSa-rUpa-guNaM,
   śabdasparśarūpatanmātrasahitādrasatanmātrācchabdasparśarūparasaguṇaṃ	Sabda-sparSa-rUpa-tanmAtra-sahitAt-rasa-tanmAtrAt-Sabda-sparSa-rUpa-rasa-guNam
   jalam,	jalam,
   śabdasparśarūparasatanmātrāsahitādgandhatanmātrācchabdasparśarūparasagandhaguṇā	Sabda-sparSa-rUpa-rasa-tanmAtrA-sahitAt-ganDa-tanmAtrAt-Sabda-sparSa-rUpa-rasa-ganDa-guNA
   pṛthivī jāyate /	pRTivI jAyate /
        adhyavasāyo buddhiḥ kriyākriyāvatorabhedavivakṣayā vyapadeśaḥ /	aDyavasAyaH budDiH kriyA-kriyAvatA-ura-Beda-vivakzayA vyapadeSaH /
   dharmo jñānaṃ virāga aiśvaryamiti sāttvikāḥ buddhidharmāḥ	DarmaH jQAnam virAga ESvaryam-iti sAttvikAH budDi-DarmAH
   etadviparītāstvadharmādayastāmasāḥ /	etad-viparItAH-tu-aDarma-AdayaH-tAmasAH /
   buddhidharmādaiśvaryādaṇimādiprādurbhāvaḥ / tacca	budDi-DarmAt-ESvaryAt-aNim-Adi-prAdurBAvaH / tat-ca
        aṇimā mahimā caiva garimā laghimā tathā /	aNimA mahimA ca-eva garimA laGimA taTA /
        prāptiḥ prākāmyamīśitvaṃ vaśitvaṃ cāṣṭasiddhayaḥ // iti /	prAptiH prAkAmyam-ISitvam vaSitvam ca-azwa-sidDayaH // iti /
        nanvekādaśaka indriyagaṇaḥ pañcatanmātrakaṃ ceti dvividhaḥ pravartate	nanu-ekAdaSakaH indriya-gaNaH paQca-tanmAtrakam ca-iti dviviDaH pravartate
   sargo 'haṅkārāt tathā caikasmādahaṅkārāt kāraṇātkathaṃ prakāśajaḍātmako	sargaH ahaFkArAt taTA ca-ekasmAt-ahaFkArAt kAraNAt-kaTam prakASa-jaxa-AtmakaH-
   vilakṣaṇaḥ sarga iti yaduktaṃ tanna sundaram prakāśalāghavābhyāmekādaśaka	vilakzaNaH sargaH iti yat-uktam tat-na sundaram prakASa-lAGavAByAm-ekAdaSaka
   indriyagaṇaḥ sāttvikādahaṅkārādbhavati bhūtādestvahaṅkārāt	indriya-gaNaH sAttvikAt-ahaFkArAt-Bavati BUtAdeH-tu-ahaFkArAt-
   tāmasāttanmātragaṇaḥ / yadyapyeko 'haṅkārastathāpi guṇodbhavābhibhavābhyāṃ	tAmasAt-tanmAtra-gaNaH / yadi-api-ekaH ahaFkAraH-taTA-api guNa-udBava-aBiBavAByAm
   bhinnaṃ kāryaṃ karoti / nanu yadi sattvatamobhyāmeva sargaḥ kṛtaṃ tarhi	Binnam kAryam karoti / nanu yadi sattva-tamoByAm-eva sargaH kRtam tarhi
   rajasā akiñcikareṇeti cenna taijasādubhayamiti mūlakaraḥ taijasādubhayaṃ	rajasA akiQci-kareNa-iti ced-na tEjasAt-uBayam-iti mUlakaraH tEjasAt-uBayam
   gaṇadvayaṃ bhavati sargadvayaṃ sattvatamasoriti / yadyapi rajaso na	gaNa-dvayam Bavati sarga-dvayam sattva-tamasoH-iti / yadi-api rajasaH na
   kāryāntaramasti tathāpi sattvatamasī svayamakriye samarthe api na kāryaṃ	kArya-antaram-asti taTA-api sattva-tamasI svayam-akriye samarTe api na kAryam
   kuruto rajasā cālite tu tatprasādāt prāptakriye svakāryotpādane samarthe	kurutaH rajasA cAlite tu tad-prasAdAt prApta-kriye sva-kArya-utpAdane samarTe
   bhavata iti rājasādubhayam / yathāhuḥ ubhayasminnapi kārye sattvatamasoḥ	BavataH iti rAjasAt-uBayam / yaTA-AhuH uBayasmin=-api kArye sattva-tamasoH
   kriyotpādanadvāreṇāsti rajasaḥ kāraṇatvamiti na vyarthaṃ raja iti /	kriyA-utpAdana-dvAreNa-asti rajasaH kAraNa-tvam-iti na vyarTam rajaH iti /
   indriya vicāra stu ta ttva pra dīpe kṛta iti vista ra bha yānneha pra ta	indriya vicAra stu te ttva pra dIpe kRtaH iti vista ra Ba yAn-na-iha pra ta
   nya te / ma ha da ha ṅkāra ma nāṃsya nta rindriyāṇi tāni sva la kṣa ṇāni	nya te / me ha da ha FkAra me nAMsya nta rindriyANi tAni sva la kza NAni
   sva ma sādhāra ṇa ṃ la kṣa ṇa ṃ yeṣāṃ tāni sva la kṣa ṇāni ta cca ma ha to	sva me sa-ADAra Na m la kza Na M yezAm tAni sva la kza NAni te cca me ha taH-
   'dhya va sāya ḥ aha ṅkāra syābhimāna ḥ saṅkalpo manaso vṛttirvyāpāraḥ /	aDyaH va sAyaH H aha FkAra sya-aBimAnaH H saFkalpaH manasaH vRttiH-vyApAraH /
   eteṣāṃ vṛttidvaividhyaṃ sādhāraṇatvāsādhāraṇatvābhyāmāha saiṣā	etezAm vRtti-dvEviDyam sADAraNa-tvAsA-DAraNa-tvAByAm-Aha sA-ezA
   bhavatyasāmānyā iti / eṣoktā 'sādhāraṇī vṛttiḥ sādhāraṇī vṛttistu	Bavati-asAmAnyA iti / ezA-uktA asADAraNI vRttiH sADAraNI vRttiH-tu
   karaṇānāṃ prāṇādyā vāyavaḥ pañca karaṇatrayasya pañca vāyavo vṛttirjīvanaṃ	karaNAnAm prANa-AdyAH vAyavaH paQca karaNa-trayasya paQca vAyavaH vRttiH-jIvanam
   tadbhāve bhāvāt abhāve cābhāvāt / tatra prāṇo	tad-BAve BAvAt aBAve ca-aBAvAt / tatra prANaH-
   nāsāgrahṛnnābhipādāṅguṣṭhavṛttiḥ apānaḥ	nAsA-agra-hRd-nABi-pAda-aFguzWa-vRttiH apAnaH
   kṛkāṭikāpṛṣṭhapārśvapāyūpasthavṛttiḥ samāno hṛnnābhisarvasandhivṛttiḥ	kRkAwikA-pRzWa-pArSva-pAyu-upasTa-vRttiH samAnaH hRd-nABi-sarva-sanDi-vRttiH
   udāno hṛtkaṇṭhatālamūrdhabhrūmadhyavṛttiḥ vyānastvagvṛttiriti pañca	udAnaH hRd-kaNWa-tAla-mUrDa-BrU-maDya-vRttiH vyAnaH-tvac-vRttiH-iti paQca
   vāyavaḥ /	vAyavaH /
        avidyā pañcavidhā tathāhi avidyā 'smitārāgadveṣābhiniveśā	avidyA paQcaviDA taTA-hi avidyA asmitA-rAga-dveza-aBiniveSA
   yathāsaṃkhyaṃ tamomohamahāmohatāmisrāndhatāmisrasaṃjñakā ceti pañcaparvā /	yaTAsaMKyam tamaH-moha-mahA-moha-tAmisra-anDatAmisra-saMjQakA ca-iti paQca-parvA /
        pratyayasargatadbhedāstvativistarabhayātsanto 'pi na nidarśyante	pratyaya-sarga-tad-BedAH-tu-ati-vistara-BayAt-santaH api na nidarSyante
   pratyayasargo buddhisargaḥ uktañca eṣa pratyayasargo	pratyaya-sargaH budDi-sargaH uktaQcaH eza pratyaya-sargaH-
   viparyayāśaktituṣṭisiddhyākhyaḥ / pratīyate 'neneti pratyayo buddhistasya	viparyaya-aSakti-tuzwi-sidDi-AKyaH / pratIyate anena-iti pratyayaH budDiH-tasya
   sargaḥ pratyayasargaḥ / daivasargastu mūlakāreṇaiva spaṣṭo niruktaḥ / sa	sargaH pratyaya-sargaH / dEva-sargaH-tu mUla-kAreNa-eva spazwaH niruktaH / sa
   ca aṣṭavikalpo daivaḥ sargaḥ	ca azwa-vikalpaH dEvaH sargaH
   brāhmaprājāpatyaindrapaitryagāndharvayākṣarākṣasapaiśāca ityaṣṭavikalpo	brAhma-prAjApatya-Endra-pEtrya-gAnDarvayAkzarAkza-sa-pESAcaH iti-azwa-vikalpaH-
   daivasargaḥ / tiryagyonayaśca pañcavidhā bhavanti	dEva-sargaH / tiryagyonayaH-ca paQcaviDAH Bavanti
   paśumṛgapakṣisarīsṛpasthāvarāḥ / mānuṣaścaikavidhaḥ	paSu-mRga-pakzi-sarIsRpa-sTAvarAH / mAnuzaH-ca-ekaviDaH
   brāhmaṇatvādyavantarajātibhedāvivakṣayā saṃsthānasya caturṣvapyaviśeṣāditi	brAhmaNa-tva-Adyavantara-jAti-Beda-avivakzayA saMsTAnasya caturzu-api-aviSezAt-iti
        nanu prādhāniko 'yaṃ sargaḥ pradhānaṃ ca jaḍaṃ kathaṃ svārthaṃ	nanu prADAnikaH ayam sargaH praDAnam ca jaxam kaTam sva-arTam
   parārthaṃ vā pravṛttiṃ kartumarhati tasmātkenaciccetanena	para-arTam vA pravRttim kartum-arhati tasmAt-kenacid-cetanena
   prakṛtyadhiṣṭhātrā bhavitavyam / na ca kṣetrajñāstathā teṣāṃ	prakRti-aDizWAtrA Bavitavyam / na ca kzetrajQAH-taTA tezAm
   prakṛtisvarūpānabhijñatvāt tasmādasti prakṛteradhiṣṭhātā kaścitsarvajñaḥ	prakRti-svarUpa-anaBijQa-tvAt tasmAt-asti prakRteH-aDizWAtA kaScid-sarvajQaH
   sa eveśvara iti cenna acetanamapi prayojanavaśāt pravartamānaṃ dṛṣṭaṃ	saH eva-ISvaraH iti ced-na acetanam-api prayojana-vaSAt pravartamAnam dRzwam
   yathā vatsavivṛddhyarthamacetanamapi kṣīraṃ pravartate tathā jaḍāpi	yaTA vatsa-vivRdDi-arTam-acetanam-api kzIram pravartate taTA jaxA-api
   prakṛtiḥ puruṣavimokṣāya pravartiṣyate / kiñcābhokturīśvarasya pravṛttau	prakRtiH puruza-vimokzAya pravartizyate / kiQca-aBoktuH-ISvarasya pravRttO
   na karuṇāṃ vinā 'nyat prayojanaṃ paśyāmaḥ / sā ca	na karuNAm vinA anyat prayojanam paSyAmaH / sA ca
   nirupādhiparaduḥkhaprahāṇecchā sṛṣṭeḥ pūrvaṃ prāṇyabhāvādeva	nirupADi-para-duHKa-prahANa-icCA sRzweH pUrvam prANi-aBAvAt-eva
   tatsambandhiduḥkhābhāvāt kasya nivṛttau pravṛttiḥ syādīśvarasya / na ca	tad-sambanDi-duHKa-aBAvAt kasya nivRttO pravRttiH syAt-ISvarasya / na ca
   sargānantaramīśvarapravṛttiḥ sargasya jātatvādeva neśvaraprayojanaṃ	sarga-anantaram-ISvara-pravRttiH sargasya jAta-tvAt-eva na-ISvara-prayojanam
   paśyāmaḥ / na ca duḥkhanivṛttiḥ prayojanaṃ tadarthaṃ tatpravṛttau jagati	paSyAmaH / na ca duHKa-nivRttiH prayojanam tad-arTam tad-pravRttO jagati
   ko 'pi duḥkhī na syāt / uktañca prekṣāvataḥ pravṛtteḥ svārthakāruṇyābhyāṃ	kaH api duHKI na syAt / uktaQca prekzAvataH pravRtteH sva-arTa-kAruNyAByAm
   vyāptatvāt te ca jagatsargādvyāvartamāne prekṣāvatpravṛttipūrvakatvamapi	vyApta-tvAt te ca jagat-sargAt-vyAvartamAne prekzAvat-pravRtti-pUrvaka-tvam-api
   nivartayataḥ na hyāptasakalepsitasya bhagavato jagatsṛjataḥ	nivartayataH na hi-Apta-sakala-Ipsitasya BagavataH jagat-sRjataH
   kimapyabhilaṣitaṃ bhavati nāpi kāruṇyādasya sarge pravṛttiḥ	kim-api-aBilazitam Bavati na-api kAruNyAt-asya sarge pravRttiH
   prāksargājjīvānāmindriyaśarīraviṣayānutpattau duḥkhābhāvena kasya	prAc-sargAt-jIvAnAm-indriya-SarIra-vizaya-anutpattO duHKa-aBAvena kasya
   prahāṇecchā kāruṇyena sṛṣṭiḥ sṛṣṭyā ca kāruṇyamiti parasparāśrayaḥ / api	prahANa-icCA kAruNyena sRzwiH sRzwyA ca kAruNyam-iti paraspara-ASrayaH / api
   ca karuṇayā pravṛttaḥ sukhina eva jantūnsṛjet na daridrān / na ca	ca karuNayA pravRttaH suKinaH eva jantUn-sRjet na daridrAn / na ca
   karmavaicitryāt jagadvaicitryam tarhi kṛtamīśvareṇa tata eva	karma-vEcitryAt jagat-vEcitryam tarhi kRtam-ISvareNa tatas eva
   jagadvaicitryopapatteḥ pravṛttistu pārārthyaprayojanavaśāt jaḍasyāpi	jagat-vEcitrya-upapatteH pravRttiH-tu pArArTya-prayojana-vaSAt jaxasya-api
   dṛśyate vatsavivṛddhinimittaṃ dugdhasyeva /	dRSyate vatsa-vivRdDi-nimittam dugDasya-iva /
        nanu bhavatu prakṛteḥ pravartakaḥ puruṣārtho nivartakaṃ na tu kamapi	nanu Bavatu prakRteH pravartakaH puruza-arTaH nivartakam na tu kam-api
   paśyāma iti cenna yathā nartakī pariṣadbhyo nṛtyaṃ darśayitvā svayameva	paSyAmaH iti ced-na yaTA nartakI parizadByaH nRtyam darSayitvA svayam-eva
   nivartate na tu tasyāḥ svanivṛttau nivartakāntarāpekṣā tathā	nivartate na tu tasyAH sva-nivRttO nivartaka-antara-apekzA taTA
   śabdādyātmakaṃ svasvarūpaṃ puruṣādbhedena prakāśya sādhitapuruṣaprayojanā	Sabda-Adi-Atmakam sva-svarUpam puruzAt-Bedena prakASya sADita-puruza-prayojanA
   svayameva nivartate prakṛtiḥ / yathāhuḥ sāṃkhyācāryāḥ /	svayam-eva nivartate prakRtiH / yaTA-AhuH sAMKya-AcAryAH /
        raṅgasya darśayitvā nivartate yathā nartakī nṛtyāt /	raFgasya darSayitvA nivartate yaTA nartakI nRtyAt /
        puruṣasya tathātmānaṃ prakāśya vinivartate prakṛtiḥ //	puruzasya taTA-AtmAnam prakASya vinivartate prakRtiH //
        nanu yathā darśitanṛtyā nartakī draṣṭṛkautuhalātpunaḥ pravartate	nanu yaTA darSita-nRtyA nartakI drazwR-kOtuhalAt-punar pravartate
   tathā prakṛtirapi puruṣāyātmānaṃ darśayitvā nivṛttāpi punaścet pravartete	taTA prakRtiH-api puruzAya-AtmAnam darSayitvA nivRttA-api punar-ced pravartete
   tadā muktānāmapi punaḥ saṃsāraprāptiḥ syāditi cenna yathā	tadA muktAnAm-api punar saMsAra-prAptiH syAt-iti ced-na yaTA
   parapuruṣadarśanāsahā sūryadarśanavarjitāpi kulavadhūḥ	para-puruza-darSana-asahA sUrya-darSana-varjitA-api kula-vaDUH
