   Skandapurāṇa: Revākhaṇḍa (RKS)	SkandapurANa: RevAKaNxa (RKS)
   devānāṃ brāhmaṇānāṃ ca hantāro daityakaṇṭakāḥ /	devAnAm brAhmaNAnAm ca hantAraH dEtya kaNwakAH /
   naṣṭāḥ svapāpadoṣeṇa sabhṛtyakulabāndhavāḥ // RKS_61.36 //	nazwAH sva pApa dozeNa sa BRtya kula bAnDavAH // RKH _61.36 //
   devāḥ samuditāḥ sarve lokapālāḥ savāsavāḥ /	devAH samuditAH sarve lokapAlAH sa vAsavAH /
   nirvighnaṃ pṛthivīṃ kṛtvā lokaṃ caiva carācaram // RKS_61.37 //	nirviGnam pRTivIm kRtvA lokam ca eva carAcaram // RKH _61.37 //
   vindhyaṃ giriṃ gatās te tu yasmin vahati kalpagā /	vinDyam girim gatAH te tu yasmin vahati kalpa gA /
   samarthaṃ bhūpatiṃ jñātvā dadhīciṃ kurusattama // RKS_61.38 //	samarTam BUpatim jQAtvA daDIcim kuru sattamaH // RKH _61.38 //
   dattāny astrāṇi rakṣārthaṃ tasya rājñaḥ surottamaiḥ /	dattAni astrANi rakzA arTam tasya rAjQaH sura uttamEH /
   vajraṃ śaktiṃ tathā pāśaṃ daṇḍaṃ khaḍgaṃ dhvajaṃ gadām // RKS_61.39 //	vajram Saktim taTA pASam daNxam Kaxgam Dvajam gadAm // RKH _61.39 //
   triśūlaṃ ceti devānām āyudhāni pracakṣate /	triSUlam ca iti devAnAm AyuDAni pracakzate /
   tāni dattvā yathā nyāyaṃ nākapṛṣṭhaṃ mudā yayuḥ // RKS_61.40 //	tAni dattvA yaTA nyAyam nAka pRzWam mudA yayuH // RKH _61.40 //
   purāṇamatamājñāya dadhīciḥ satyavikramaḥ /	purANa matam AjQAya daDIciH satya vikramaH /
   śāpasyaiva bhayād bhīto namaskṛtya pragṛhya ca // RKS_61.41 //	SApasya eva BayAt BItaH namaskRtya pragRhya ca // RKH _61.41 //
   prabhāvāt toyatāṃ nītvā śarīrāntar nyaveśayat /	praBAvAt toyatAm nItvA SarIra antar nyaveSayat /
   tataḥ kālāntare prāpte dānavā baladarpitāḥ // RKS_61.42 //	tatas kAla antare prApte dAnavAH bala darpitAH // RKH _61.42 //
   jambhakumbhahayagrīvapramukhāḥ punarutthitāḥ /	jamBa kumBa haya grIva pramuKAH punar utTitAH /
   dānavānāṃ balaṃ jñātvā trastā devāḥ savāsavāḥ // RKS_61.43 //	dAnavAnAm balam jQAtvA trastAH devAH sa vAsavAH // RKH _61.43 //
   kāryakāle samutpanne saṃsmṛtyāstrāyudhāni ca /	kArya kAle samutpanne saMsmRtya astra AyuDAni ca /
   nārada preṣayāmāsuḥ dadhīciṃ prati bhārata // RKS_61.44 //	nArada prezayAmAsuH daDIcim prati BArata // RKH _61.44 //
   avantīṃ sa purīṃ prāpya devarṣir nāradas tathā /	avantIm sa purIm prApya devarziH nAradaH taTA /
   viveśa bhavanaṃ rājño maṇikāñcanavedikam // RKS_61.45 //	viveSa Bavanam rAjQaH maNi kAQcana vedikam // RKH _61.45 //
   utthito nṛpaśārdūlo muniṃ dṛṣṭvā sutejasam /	utTitaH nRpa SArdUlaH munim dRzwvA su tejasam /
   pūjayitvā yathā nyāyaṃ hemakāsanasaṃsthitam // RKS_61.46 //	pUjayitvA yaTA nyAyam hema kAsana saMsTitam // RKH _61.46 //
   taṃ tu dṛṣṭvā sukhāsīnaṃ rājā vacanam abravīt /	tam tu dRzwvA suKa AsInam rAjA vacanam abravIt /
   kim arthaṃ mānuṣe loke devalokāt samāgataḥ // RKS_61.47 //	kim arTam mAnuze loke deva lokAt samAgataH // RKH _61.47 //
   nārada uvāca:	nAradaH uvAca:
   yuddhaṃ mahat samutpannaṃ devānāṃ dānavaiḥ saha /	yudDam mahat samutpannam devAnAm dAnavEH saha /
   samarpaya tvaṃ śastrāṇi kṣīyante dānavā yathā // RKS_61.48 //	samarpaya tvam SastrANi kzIyante dAnavAH yaTA // RKH _61.48 //
   kuru kāryaṃ ca devānāṃ satyadharmavrate sthitaḥ /	kuru kAryam ca devAnAm satya Darma vrate sTitaH /
   dadhīcir uvāca:	daDIciH uvAca:
   śṛṇu kāryaṃ ca devarṣe devānāṃ hitakāmyayā // RKS_61.49 //	SRNu kAryam ca deva Rze devAnAm hita kAmyayA // RKH _61.49 //
   acireṇaiva kālena kṣayaṃ yāsyanti dānavāḥ /	acireNa eva kAlena kzayam yAsyanti dAnavAH /
   mayā tāny eva śastrāṇi rakṣaṇārthaṃ mahāmune // RKS_61.50 //	mayA tAni eva SastrANi rakzaNa arTam mahA mune // RKH _61.50 //
   āpobhūtāni pītāni śarīre santi tāni vai /	ApoBUtAni pItAni SarIre santi tAni vE /
   upāyena hi gṛhṇantu dāsyāmy etāni vai punaḥ // RKS_61.51 //	upAyena hi gRhNantu dAsyAmi etAni vE punar // RKH _61.51 //
   ityuktvā ca nṛpaśreṣṭha ājuhāva ca gāḥ purā /	iti uktvA ca nRpa SrezWaH AjuhAva ca gAH purA /
   māṃsādibhakṣitaṃ gobhir asthivarjaṃ viśāmpate // RKS_61.52 //	mAMsa Adi Bakzitam goBiH asTi varjam viSAmpate // RKH _61.52 //
   astragrāmas tataḥ prāpto lokapālair yathā tathā /	astra grAmaH tatas prAptaH lokapAlEH yaTA taTA /
   gonardaṃ nāma nagaraṃ tat tu lokeṣu viśrutam // RKS_61.53 //	gonardam nAma nagaram tat tu lokezu viSrutam // RKH _61.53 //
   dānavā nihatā devaiḥ punaḥ sṛṣṭiḥ pravartitā /	dAnavAH nihatAH devEH punar sRzwiH pravartitA /
   acintayat tadā tatra rantidevo mahīpatiḥ // RKS_61.54 //	acintayat tadA tatra rantidevaH mahIpatiH // RKH _61.54 //
   govidyutpaśucāṇḍālasarpairvinihatā narāḥ /	go vidyut paSu cANxAla sarpEH vinihatAH narAH /
   devalokaṃ na te yānti na teṣāmudakakriyā // RKS_61.55 //	deva lokam na te yAnti na tezAm udaka kriyA // RKH _61.55 //
   śocayitvā ciraṃ kālaṃ sāntaḥpuraparigrahaḥ /	SocayitvA ciram kAlam sa antaHpura parigrahaH /
   prakṣālya narmadātoye tadasthīni vyasarjayat // RKS_61.56 //	prakzAlya narmadA toye tad asTIni vyasarjayat // RKH _61.56 //
   liṅgaṃ brahmeśvaraṃ tatra yajñaparvatasannidhau /	liFgam brahmeSvaram tatra yajQa parvata sanniDO /
   dharmasaṃśayam āpanno rantidevo mahīpatiḥ // RKS_61.57 //	Darma saMSayam ApannaH rantidevaH mahIpatiH // RKH _61.57 //
   papraccha muniśārdūlān vaśiṣṭhapramukhān dvijān /	papracCa muni SArdUlAn vaSizWa pramuKAn dvijAn /
   triḥpradakṣiṇam āvṛtya yathā nyāyam idaṃ vacaḥ // RKS_61.58 //	tris pradakziNam AvRtya yaTA nyAyam idam vacaH // RKH _61.58 //
   ke deśāḥ parvatāḥ puṇyā nadyaḥ kāḥ kīrtitāḥ śubhāḥ /	ke deSAH parvatAH puNyAH nadyaH kAH kIrtitAH SuBAH /
   narakasthān pitṝn yatra tadvadeyuḥ samuddharet // RKS_61.59 //	naraka sTAn pitLn yatra tadvadeyuH samudDaret // RKH _61.59 //
   akṣayaṃ ca pitṛśrāddhaṃ pitṝṇām akṣayā gatiḥ /	akzayam ca pitR SrAdDam pitLNAm akzayA gatiH /
   ṛṣaya ūcuḥ:	RzayaH UcuH:
   mārkaṇḍeyāśramaṃ gaccha asmābhiḥ saha bhūpate // RKS_61.60 //	mArkaNxeya ASramam gacCa asmABiH saha BUpate // RKH _61.60 //
   so 'pi sarvaṃ vijānīyāt kalpagā tīramāśritaḥ /	saH api sarvam vijAnIyAt kalpa gA tIram ASritaH /
   tac chrutvā rantidevo 'pi munibhiḥ paribhāṣitaḥ // RKS_61.61 //	tat SrutvA rantidevaH api muniBiH pariBAzitaH // RKH _61.61 //
   jagāma munibhiḥ sārddhaṃ kalpagātīravāsinam /	jagAma muniBiH sArdDam kalpa gA tIra vAsinam /
   sa rājā brāhmaṇaiḥ sārddhaṃ praṇipatya tathā 'rcayat // RKS_61.62 //	sa rAjA brAhmaNEH sArdDam praNipatya taTA arcayat // RKH _61.62 //
   samutthāyābravīd vākyam upaviṣṭaḥ kuśāsane /	samutTAya abravIt vAkyam upavizwaH kuSa Asane /
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   kān na mocayate ghorān pitṝn saṃsārasāgarāt // RKS_61.63 //	kAn na mocayate GorAn pitLn saMsAra sAgarAt // RKH _61.63 //
   śṛṇvantu mama vākyāni munayo viditātmanaḥ /	SRNvantu mama vAkyAni munayaH vidita AtmanaH /
   sarvatīrthamayī revā sarvārthātmamayī śubhā // RKS_61.64 //	sarva tIrTa mayI revA sarva arTa Atma mayI SuBA // RKH _61.64 //
   śivenaitat nigaditaṃ purāṇe skandakīrtite /	Sivena etat nigaditam purANe skanda kIrtite /
   kubjārevāsamāyoge viśeṣāt surapūjite // RKS_61.65 //	kubja ArevA samAyoge viSezAt sura pUjite // RKH _61.65 //
   tatra snātā divaṃ yānti ye mṛtā na punarbhavāḥ /	tatra snAtAH divam yAnti ye mRtAH na punarBavAH /
   tatra śrāddhena yogena pitṝṇāṃ paramā gatiḥ // RKS_61.66 //	tatra SrAdDena yogena pitLNAm paramA gatiH // RKH _61.66 //
   idaṃ te kathitaṃ rājan kubjārevāsamāgame /	idam te kaTitam rAjan kubja ArevA samAgame /
   arcayitvā maheśānaṃ tatra bilvāmrakāhvayam // RKS_61.67 //	arcayitvA maheSAnam tatra bilva Amraka Ahvayam // RKH _61.67 //
   sarvapāpavinirmukto gāṇapatyam avāpnuyāt /	sarva pApa vinirmuktaH gANapatyam avApnuyAt /
   sārdhakoṭis tu kanyānāṃ tatra siddhiṃ parāṃ gatāḥ // RKS_61.68 //	sArDa kowiH tu kanyAnAm tatra sidDim parAm gatAH // RKH _61.68 //
   śaptāstāḥ pūrvamunibhiḥ kāmadoṣeṇa bhārata /	SaptAH tAH pUrva muniBiH kAma dozeNa BArata /
   vidyādharāś ca yakṣāś ca gandharvāḥ kinnarās tathā // RKS_61.69 //	vidyADarAH ca yakzAH ca ganDarvAH kinnarAH taTA // RKH _61.69 //
   śaptāstenaiva doṣeṇa kuberapuravāsinaḥ /	SaptAH tena eva dozeNa kubera pura vAsinaH /
   sarve te siddhim āpannāḥ kubjārevāsamāgame // RKS_61.70 //	sarve te sidDim ApannAH kubja ArevA samAgame // RKH _61.70 //
   amāsomasamāyoge kārttikyāṃ caiva parvaṇi /	amA soma samAyoge kArttikyAm ca eva parvaNi /
   vārāṇasī prayāgaś ca puṣkaraṃ naimiṣaṃ tathā // RKS_61.71 //	vArANasI prayAgaH ca puzkaram nEmizam taTA // RKH _61.71 //
   ete snātuṃ samāyānti kubjārevāsamāgame /	ete snAtum samAyAnti kubja ArevA samAgame /
   śravaṇāt kīrtanād asya śivaloke mahīyate // RKS_61.72 //	SravaNAt kIrtanAt asya Siva loke mahIyate // RKH _61.72 //
   iti śrīskandapurāṇe revākhaṇḍe rantidevopākhyānaṃ nāmaikaṣaṣṭitamo	iti SrI skandapurANe revAKaNxe rantidevopAKyAnam nAma ekazazwitamaH 
   'dhyāyaḥ ||	aDyAyaH ||
   RKS adhyāya 62	RKH aDyAyaH 62
   rantideva uvāca:	rantidevaH uvAca:
   yathā śaptās tu tāḥ kanyās tāsāṃ nāmāni kalpaga /	yaTA SaptAH tu tAH kanyAH tAsAm nAmAni kalpa ga /
   śrotum icchāmi tattvena keṣu sthāneṣu pūjitā // RKS_62.1 //	Srotum icCAmi tattvena kezu sTAnezu pUjitAH // RKH _62.1 //
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   vārāṇasyāṃ viśālākṣī naimiṣe liṅgadhāriṇī /	vArANasyAm viSAla akzI nEmize liFga DAriNI /
   prayāge lalitādevī kāmukā gandhamādane // RKS_62.2 //	prayAge lalitA devI kAmukAH ganDamAdane // RKH _62.2 //
   mānase kumudā nāma viśvayonis tathāmbare /	mAnase kumudA nAma viSvayoniH taTA ambare /
   gomante gomatī nāma mandare kāmacāriṇī // RKS_62.3 //	gomante gomatI nAma mandare kAma cAriNI // RKH _62.3 //
   madotkaṭā caitrarathe tapantī hastināpure /	madotkawA cEtraraTe tapantI hastinApure /
   kānyakubje tathā gaurī prabhā kamalaparvate // RKS_62.4 //	kAnyakubje taTA gOrI praBA kamala parvate // RKH _62.4 //
   ekāgre kīrtimatyākhyā viśvā viśveśvare tathā /	ekAgre kIrtimatI AKyA viSvA viSveSvare taTA /
   puṣkare puruhūteti kedāre mārgadāyinī // RKS_62.5 //	puzkare puruhUtA iti kedAre mArga dAyinI // RKH _62.5 //
   nandā himavataḥ pṛṣṭhe gokarṇe bhadrakārṇikā /	nandAH himavataH pRzWe gokarNe BadrakArNikA /
   sthāneśvare bhavānīti bilvake bilvapatrikā // RKS_62.6 //	sTAneSvare BavAni iti bilvake bilva patrikA // RKH _62.6 //
   śrīśaile mādhavī nāma bhadrā bhadreśvare tathā /	SrISEle mADavI nAma BadrA BadreSvare taTA /
   jayā vārāhaśaile tu kamalā kamalālaye // RKS_62.7 //	jayA vArAha SEle tu kamalA kamala Alaye // RKH _62.7 //
   rudrakoṭyāṃ tu rudrāṇī koṭiḥ kālañjare tathā /	rudrakowyAm tu rudrANI kowiH kAlaQjare taTA /
   mahāliṅge tu kapilā mākoṭe mukuṭeśvarī // RKS_62.8 //	mahAliFge tu kapilA mAkowe mukuweSvarI // RKH _62.8 //
   śālagrāme mahādevī śivaliṅge jalapriyā /	SAlagrAme mahAdevI Siva liFge jalapriyA /
   māyāpuryāṃ kumārī tu santāne lalitā tathā // RKS_62.9 //	mAyA puryAm kumArI tu santAne lalitA taTA // RKH _62.9 //
   utpalākhye sahasrākṣī hiraṇyākṣe mahotpalā /	utpala AKye sahasrAkzI hiraNyAkze mahA utpalA /
   tīrthāyāṃ maṅgalā nāma vimalā puruṣottame // RKS_62.10 //	tIrTAyAm maFgalA nAma vimalA puruzottame // RKH _62.10 //
   vipāśāyāmamoghākṣī pāṭalā puṇḍravardhane /	vipASAyAm amoGAkzI pAwalA puNxravarDane /
   nārāyaṇī supārśve ca trikūṭe bhadrasundarī // RKS_62.11 //	nArAyaNI supArSve ca trikUwe BadrasundarI // RKH _62.11 //
   vipule vipulā nāma kalyāṇī pralayācale /	vipule vipulA nAma kalyANI pralaya acale /
   koṭīvikoṭi tīrthe tu yamunāyāṃ mṛgāvatī // RKS_62.12 //	kowI vikowi tIrTe tu yamunAyAm mRgAvatI // RKH _62.12 //
   karavīre mahālakṣmīr umādevī vināyake /	karavIre mahAlakzmIH umA devI vinAyake /
   ārogyā vaidyanāthe tu mahākāle maheśvarī // RKS_62.13 //	ArogyA vEdyanATe tu mahAkAle maheSvarI // RKH _62.13 //
   abhayā kṛṣṇatīrthe tu amṛtā vindhyakandare /	aBayA kRzNatIrTe tu amRtAH vinDya kandare /
   māṇḍavye māṇḍukā nāma svāhā māheśvare pure // RKS_62.14 //	mANxavye mANxukA nAma svAhA mAheSvare pure // RKH _62.14 //
   chāgalambā pracaṇḍe ca caṇḍikā 'marakaṇṭake /	CAgalambA pracaNxe ca caNxikA amarakaNwake /
   someśvare varāhī tu prabhāse puṣkarāvatī // RKS_62.15 //	someSvare varAhI tu praBAse puzkarAvatI // RKH _62.15 //
   devamātā sarasvatyāṃ pārā pārāvate tathā /	devamAtA sarasvatyAm pArA pArAvate taTA /
   mahālaye mahābhāgā payoṣṇyāṃ piṅgaleśvarī // RKS_62.16 //	mahAlaye mahABAgA payozNyAm piFgaleSvarI // RKH _62.16 //
   saṃhitā kṛtaśauce tu kārttikeye tu śāṅkarī /	saMhitA kRta SOce tu kArttikeye tu SAFkarI /
   utpalā varṣake lolā subhadrā śoṇasaṅgame // RKS_62.17 //	utpalA varzake lolA suBadrA SoNa saFgame // RKH _62.17 //
   mālāsiddhatale lakṣmīranantā bhāratāśrame /	mAlA sidDa tale lakzmIH anantA BArata ASrame /
   jālandhare siddhamukhī tārā kiṣkindhaparvate // RKS_62.18 //	jAlanDare sidDamuKI tArA kizkinDa parvate // RKH _62.18 //
   devadāruvane puṣṭir medhā kaśmīramaṇḍale /	devadAru vane puzwiH meDA kaSmIra maNxale /
   bhīmādevī himādrau tu tuṣṭir vastreśvare tathā // RKS_62.19 //	BImA devI himAdrO tu tuzwiH vastreSvare taTA // RKH _62.19 //
   kapālamocane siddhir mātā kāyāvarohaṇe /	kapAlamocane sidDiH mAtA kAya avarohaNe /
   śaṅkhoddhāre dhṛtir nāma dhvaniḥ piṇḍārake tathā // RKS_62.20 //	SaFKodDAre DRtiH nAma DvaniH piNxArake taTA // RKH _62.20 //
   kalā tu candrabhāgāyām akṣode śivadhāriṇī /	kalA tu candraBAgAyAm akzode Siva DAriNI /
   vaijayanty amṛtā nāma badaryām oṣadhī tathā // RKS_62.21 //	vEjayantI amRtA nAma badaryAm ozaDI taTA // RKH _62.21 //
   oṣadhī cottarakurau kuśadvīpe kuśodakā /	ozaDI ca uttarakurO kuSadvIpe kuSa udakA /
   manmathā himakūṭe tu pramate satyavādinī // RKS_62.22 //	manmaTA himakUwe tu pramate satya vAdinI // RKH _62.22 //
   aśvatthe vandinī nāma nidhirvaiśravaṇe tathā /	aSvatTe vandinI nAma niDiH vESravaNe taTA /
   gāyatrī vedavadane pārvatī śivasannidhau // RKS_62.23 //	gAyatrI veda vadane pArvatI Siva sanniDO // RKH _62.23 //
   devaloke tathendrāṇī brahmaṇāsye sarasvatī /	deva loke taTA indrANI brahmaNA Asye sarasvatI /
   sūryabimbe prabhā nāma mātṛkā vaiṣṇavī tathā // RKS_62.24 //	sUryabimbe praBA nAma mAtRkA vEzNavI taTA // RKH _62.24 //
   arundhatī satīnāṃ ca apsarassu tilottamā /	arunDatI satInAm ca apsarassu tilottamA /
   citirbrahmakalā nāma śaktiḥ sarvaśarīriṇām // RKS_62.25 //	citiH brahmakalA nAma SaktiH sarva SarIriNAm // RKH _62.25 //
   etad uddeśataḥ proktaṃ nāmāṣṭaśatam uttamam /	etat uddeSataH proktam nAma azwaSatam uttamam /
   aṣṭottaraṃ tu tīrthānāṃ śatam ekaṃ hy udāhṛtam // RKS_62.26 //	azwa uttaram tu tIrTAnAm Satam ekam hi udAhRtam // RKH _62.26 //
   yaḥ paṭhet prātarutthāya sa yāti paramāṃ gatim /	yaH paWet prAtar utTAya sa yAti paramAm gatim /
   eṣu tīrtheṣu ye snātvā etāḥ paśyānti mānavāḥ // RKS_62.27 //	ezu tIrTezu ye snAtvA etAH paSyAnti mAnavAH // RKH _62.27 //
   sarvapāpavinirmuktās te yānti paramāṃ gatim /	sarva pApa vinirmuktAH te yAnti paramAm gatim /
   yaḥ karoti tanutyāgam umāsthāneṣu mānavaḥ // RKS_62.28 //	yaH karoti tanu tyAgam umA sTAnezu mAnavaH // RKH _62.28 //
   sa bhittvā brahmasadanaṃ padamāpnoti śāṅkaram /	sa BittvA brahma sadanam padam Apnoti SAFkaram /
   nāmāṣṭakaśataṃ yas tu śrāvayec chivasannidhau // RKS_62.29 //	nAma azwaka Satam yaH tu SrAvayet Siva sanniDO // RKH _62.29 //
   tṛtīyāyāṃ tathāṣṭamyāṃ bahuputro bhaven naraḥ /	tRtIyAyAm taTA azwamyAm bahu putraH Bavet naraH /
   godāne śrāddhakāle ca vivāhe maṅgale tathā // RKS_62.30 //	go dAne SrAdDa kAle ca vivAhe maFgale taTA // RKH _62.30 //
   devārcanavidhau vāpi paṭhan brahmatvam āpnuyāt /	deva arcana viDO vA api paWan brahma tvam ApnuyAt /
   śrutvaitat stotramatulaṃ namaskṛtya ca parvatam // RKS_62.31 //	SrutvA etat stotram atulam namaskRtya ca parvatam // RKH _62.31 //
   rājā svapitṛmokṣāya yajñārthaṃ prāha kalpagam /	rAjA sva pitR mokzAya yajQa arTam prAha kalpa gam /
   kasmiṃs tīrthe bhaved yajñaḥ pitṝṇāṃ mokṣadāyakaḥ // RKS_62.32 //	kasmin tIrTe Bavet yajQaH pitLNAm mokza dAyakaH // RKH _62.32 //
   iti śrīskandapurāṇe revākhaṇḍe mātṛstutirnāma dviṣaṣṭitamo 'dhyāyaḥ ||	iti SrI skandapurANe revAKaNxe mAtRstutiH nAma dvizazwitamaH aDyAyaH ||
   RKS adhyāya 63	RKH aDyAyaH 63
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   revātaṭe mahāpuṇye pitṝṇāṃ mokṣaṇaṃ prati /	revA tawe mahA puNye pitLNAm mokzaNam prati /
   kuru yajñaṃ mahābhāga mucyante pitaro yathā // RKS_63.1 //	kuru yajQam mahABAga mucyante pitaraH yaTA // RKH _63.1 //
   iti śrutvā mahārāja namaskṛtya ca kalpagām /	iti SrutvA mahA rAja namaskRtya ca kalpa gAm /
   vaśiṣṭhapramukhaiḥ sārddhaṃ jagāma svapuraṃ nṛpaḥ // RKS_63.2 //	vaSizWa pramuKEH sArdDam jagAma sva puram nRpaH // RKH _63.2 //
   sa vatsānāṃ ca lakṣaikamaprasūtāyutaṃ tathā /	sa vatsAnAm ca lakza ekam aprasUtA yutam taTA /
   viṃśatiḥ śyāmakarṇānāṃ hayānāṃ ca daśāyutam // RKS_63.3 //	viMSatiH SyAma karNAnAm hayAnAm ca daSa ayutam // RKH _63.3 //
   maṇimāṇikyamuktādi bhūṣitoccaiḥ śravastviṣām /	maNi mANikya muktA Adi BUzita uccEs SravaH tvizAm /
   ayutaṃ ca karīndrāṇāṃ ghaṇṭābharaṇaśobhinām // RKS_63.4 //	ayutam ca karIndrANAm GaNwA ABaraNa SoBinAm // RKH _63.4 //
   maṇimāṇikyaratnānāṃ saṃkhyāṃ kartuṃ na śakyate /	maNi mANikya ratnAnAm saMKyAm kartum na Sakyate /
   nānādeśanṛpaiḥ sārddhaṃ brāhmaṇair vedapāragaiḥ // RKS_63.5 //	nAnA deSa nRpEH sArdDam brAhmaNEH vedapAragEH // RKH _63.5 //
   veṇuvīṇāninādena brahmaghoṣaraveṇa ca /	veNu vINA ninAdena brahma Goza raveNa ca /
   āpūrayan diśaḥ sarvā divaṃ bhūmiṃ ca saṃspṛśan // RKS_63.6 //	ApUrayan diSaH sarvAH divam BUmim ca saMspRSan // RKH _63.6 //
   harṣeṇa mahatā yukto yajñasambhārasaṃvṛtaḥ /	harzeNa mahatA yuktaH yajQa samBAra saMvRtaH /
   rantidevo mahīpālaḥ kalpagātīram āśritaḥ // RKS_63.7 //	rantidevaH mahIpAlaH kalpa gA tIram ASritaH // RKH _63.7 //
   anekabhakṣabhojyānāṃ tatra saṃkhyā na vidyate /	aneka Bakza BojyAnAm tatra saMKyA na vidyate /
   aṣṭayojanaparyantaṃ yajñayūpāś ca maṇḍapāḥ // RKS_63.8 //	azwa yojana paryantam yajQayUpAH ca maNxapAH // RKH _63.8 //
   hemaratnamayāḥ stambhā maṇimauktikabhūṣitāḥ /	hema ratna mayAH stamBAH maNi mOktika BUzitAH /
   hiraṇmayāni kuṇḍāni vedikāś ca sahasraśaḥ // RKS_63.9 //	hiraNmayAni kuNxAni vedikAH ca sahasraSas // RKH _63.9 //
   sruvaś ca yajñapātrāṇi sarvaṃ svarṇam ayaṃ tathā /	sruvaH ca yajQa pAtrANi sarvam svarNam ayam taTA /
   samāhūtās tato devā brahmaviṣṇumaheśvarāḥ // RKS_63.10 //	samAhUtAH tatas devAH brahma vizNu maheSvarAH // RKH _63.10 //
   candrādityau grahaiḥ sārddhaṃ nakṣatradhruvamaṇḍalam /	candra AdityO grahEH sArdDam nakzatra Druva maNxalam /
   siddhā vidyādharā yakṣāḥ surāsuramahoragāḥ // RKS_63.11 //	sidDAH vidyADarAH yakzAH sura asura mahA uragAH // RKH _63.11 //
   devarājaś ca devāś ca bṛhaspatipurogamāḥ /	devarAjaH ca devAH ca bRhaspati purogamAH /
   tato yajñaḥ samārabdho brāhmaṇair vedapāragaiḥ // RKS_63.12 //	tatas yajQaH samArabDaH brAhmaNEH vedapAragEH // RKH _63.12 //
   homena tarpitā devāḥ sarvalokanivāsinaḥ /	homena tarpitAH devAH sarva loka nivAsinaH /
   nirdhūmaś ca jvalad vahṇiḥ saptajihvāsamanvitaḥ // RKS_63.13 //	nirDUmaH ca jvalat vahNiH sapta jihvA samanvitaH // RKH _63.13 //
   pratyakṣo havyavāhaś ca svayaṃ yajñe narādhipa /	pratyakzaH havyavAhaH ca svayam yajQe narADipa /
   tato nivartito yajño brāhmaṇair āptadakṣiṇaiḥ // RKS_63.14 //	tatas nivartitaH yajQaH brAhmaNEH Apta dakziNEH // RKH _63.14 //
   ghoṣaṇā bhrāmitā rāṣṭre pratīhāraiḥ sahasraśaḥ /	GozaNA BrAmitA rAzwre pratIhArEH sahasraSas /
   yo yaṃ kāmayate kāmaṃ so 'tra taṃ tvetyasaṃśayaḥ // RKS_63.15 //	yaH yam kAmayate kAmam saH atra tam tvA iti asaMSayaH // RKH _63.15 //
   āhūtāḥ pūrvajās tatra mātṛkāḥ paitṛkās tathā /	AhUtAH pUrvajAH tatra mAtRkAH pEtRkAH taTA /
   apamṛtyuvaśaṃ prāptās tiryagyonigatāś ca ye // RKS_63.16 //	apamRtyu vaSam prAptAH tiryagyoni gatAH ca ye // RKH _63.16 //
   te sarve śubhayonitvam āpannā yajñayogataḥ /	te sarve SuBa yoni tvam ApannA yajQa yogataH /
   arcitā narmadādevīṃ pratyakṣā rūpadhāriṇī // RKS_63.17 //	arcitA narmadA devIm pratyakzA rUpa DAriNI // RKH _63.17 //
   arcito bhagavāṃs tatra pārvatyā sahito haraḥ /	arcitaH BagavAn tatra pArvatyA sahitaH haraH /
   śrīpatiś ca śriyā sārddhaṃ śaṅkhacakragadādharaḥ // RKS_63.18 //	SrIpatiH ca SriyA sArdDam SaFKa cakra gadA DaraH // RKH _63.18 //
   śakrādayas tathā devāḥ sapatnīkā alaṃkṛtāḥ /	Sakra AdayaH taTA devAH sa patnIkAH alaMkRtAH /
   gāścāśvāṃś ca karīndrāṃś ca brāhmaṇebhyo nyavedayat // RKS_63.19 //	gAH ca aSvAn ca karIndrAn ca brAhmaNeByaH nyavedayat // RKH _63.19 //
   yac cānyad vidyate kiṃcid dhanaṃ dhānyaṃ payo dadhi /	yat ca anyat vidyate kiMcid Danam DAnyam payaH daDi /
   agniśaucāni vastrāṇi sarvaṃ tebhyo nyavedayat // RKS_63.20 //	agni SOcAni vastrANi sarvam teByaH nyavedayat // RKH _63.20 //
   yugapat pūjitā devā brahmaviṣṇumaheśvarāḥ /	yugapad pUjitAH devAH brahma vizNu maheSvarAH /
   arcitā narmadādevī śailamūle vyavasthitā // RKS_63.21 //	arcitA narmadA devI SEla mUle vyavasTitAH // RKH _63.21 //
   pravāho nirgato yatra kubjārevāsamāgame /	pravAhaH nirgataH yatra kubjArevA samAgame /
   pitaras tarpitā devāḥ prāptāś ca paramāṃ gatim // RKS_63.22 //	pitaraH tarpitAH devAH prAptAH ca paramAm gatim // RKH _63.22 //
   divyayānasamārūḍho dadhīciś ca nṛpottamaḥ /	divya yAna samArUXaH daDIciH ca nRpa uttamaH /
   śatamaṣṭottaraṃ pūrvaṃ paścimaṃ tad anantaram // RKS_63.23 //	Satam azwa uttaram pUrvam paScimam tat anantaram // RKH _63.23 //
   devayānapathe santaḥ śataśo 'tha nṛpottama /	deva yAna paTe santaH SataSas aTa nRpa uttamaH /
   ūcuś ca devās te sarve brahmādyā rantidevakam // RKS_63.24 //	UcuH ca devAH te sarve brahma AdyAH rantidevakam // RKH _63.24 //
   vṛṇīṣva bhadraṃ te prītāḥ satyenānena bhūmipa /	vRNIzva Badram te prItAH satyena anena BUmipaH /
