   advaitaprakaraṇaṃ	advEta-prakaraNam
   kathañcana martyatvaṃ svabhāvavaiparītyameṣyatītyarthaḥ //20//	kaTaQcana martya-tvam svaBAva-vEparItyam-ezyati-iti-arTaH //20//
   START MandUpK 3.21	START Mandu-upK 3.21
   yasmāt-	yasmAt--
   na bhavaty amṛtaṃ martyaṃ na martyam amṛtaṃ tathā /	na Bavati amRtam martyam na martyam amRtam taTA /
   prakṛter anyathābhāvo na kathañcid bhaviṣyati // MandUpK_3.21 //	prakRteH anyaTA-BAvaH na kaTaQcid Bavizyati // Mandu-upK_3.21 //
   MandUpKC_3.21	Mandu-upKC_3.21
   na bhavatyamṛtaṃ lokenāpi martyamamṛtaṃ tathā /	na Bavati-amRtam lokena-api martyam-amRtam taTA /
   tataḥ prakṛteḥ svabhāvasyānyathābhāvaḥ svataḥ pracyutirna	tatas prakRteH svaBAvasya-anyaTA-BAvaH svatas pracyutiH-na
   kathañcidbhaviṣyati, agnerivauṣṇyasya //21//	kaTaQcid-Bavizyati, agneH-iva-OzNyasya //21//
   START MandUpK 3.22	START Mandu-upK 3.22
   svabhāvenāmṛto yasya bhāvo gacchati martyatām /	svaBAvena-amRtaH yasya BAvaH gacCati martyatAm /
   kṛtakenāmṛtas tasya kathaṃ sthāsyati niścalaḥ // MandUpK_3.22 //	kRtakena-amRtaH tasya kaTam sTAsyati niScalaH // Mandu-upK_3.22 //
   MandUpKC_3.22	Mandu-upKC_3.22
   yasya punarvādinaḥ svabhāvenā7mṛto bhāvo martyatāṃ gacchati paramārthato	yasya punar-vAdinaH svaBAvena-a7mRtaH BAvaH martyatAm gacCati paramArTa-taH-
   jāyate tasya prāgutpatteḥ sa bhāvaḥ svabhāvato 'mṛta iti pratijñā mṛṣaiva	jAyate tasya prAk-utpatteH sa BAvaH svaBAvataH amRtaH iti pratijQA mRzA-eva
   kathaṃ tarhi kṛtakenāmṛtastasya bhāvaḥ? kṛtakenāmṛtaḥ sa kathaṃ sthāsyati	kaTam tarhi kRtakena-amRtaH-tasya BAvaH? kRtakena-amRtaH sa kaTam sTAsyati
   niścalo 'mṛtasvabhāvastathā na kathañcitsthāsyatyātmajātivādinaḥ	niScalaH amRta-svaBAvaH-taTA na kaTaQcid-sTAsyati-Atma-jAti-vAdinaH
   sarvadājaṃ nāma nāstyeva; sarvametanmartyam /	sarvadAjam nAma na-asti-eva; sarvam-etat-martyam /
   ato 'nirmokṣaprasaṅga ityabhiprāyaḥ //22//	atas anirmokza-prasaFgaH iti-aBiprAyaH //22//
   START MandUpK 3.23	START Mandu-upK 3.23
   nanvajātivādinaḥ sṛṣṭipratipādikā śrutirna saṃgacchate prāmāṇyam?	nanu-aja-ati-vAdinaH sRzwi-pratipAdikA SrutiH-na saMgacCate prAmANyam?
   bāḍhaṃ vidyate sṛṣṭipratipādikā śrutiḥ; sā tvanyaparā /	bAXam vidyate sRzwi-pratipAdikA SrutiH; sA tu-anya-parA /
   upāyaḥ sa avatārāyetyavocāma /	upAyaH sa avatArAya-iti-avocAma /
   idānīmukte 'pi parihāre punaścodyaparihārau vivakṣitārthaṃ prati	idAnIm-ukte api parihAre punar-ca-udya-parihArO vivakzita-arTam prati
   sṛṣṭiśrutyakṣarāṇāmānulomyavirodhāśaṅkāmātraparihārārthau-	sRzwi-Sruti-akzarANAm-Anulomi-aviroDa-ASaFkA-mAtra-parihAra-arTO-
   bhūtato 'bhūtato vāpi sṛjyamāne samā śrutiḥ /	BUtataH aBUtatas vA-api sRjyamAne samA SrutiH /
   niścitaṃ yuktiyuktaṃ ca yat tad bhavati netarat // MandUpK_3.23 //	niScitam yukti-yuktam ca yat tat Bavati na-itarat // Mandu-upK_3.23 //
   MandUpKC_3.23	Mandu-upKC_3.23
   bhūtataḥ paramārthataḥ sṛjyamāne vastunyabhūtato māyayā vā māyāvineva	BUtataH paramArTataH sRjyamAne vastuni-aBUtatas mAyayA vA mAyAvinA-iva
   sṛjyamāne vastuni samā tulyā sṛṣṭiśrutiḥ /	sRjyamAne vastuni samA tulyA sRzwi-SrutiH /
   nanu gauṇamukhyayormukhye śabdārthapratapattiryuktā /	nanu gONa-muKyayoH-muKye Sabda-arTa-pratapattiH-yuktA /
   na, anyathā sṛṣṭeraprasiddhatvānniṣprayojanatvāccetyavocāma /	na, anyaTA sRzweH-aprasidDa-tvAt-nizprayojana-tvAt-ca-iti-avocAma /
   avidyāsṛṣṭaviṣayaiva sarvā gauṇī mukhyā ca sṛṣṭirna	avidyA-sRzwa-vizayA-eva sarvA gONI muKyA ca sRzwiH-na
   paramārthataḥ"sabāhyābhyantaro hyajaḥ"(mu.u.2 / 1 / 2) iti śruteḥ /	paramArTataH"sa-bAhya-aByantaraH hi-ajaH"(mu.u.2 / 1 / 2) iti SruteH /
   tasmācchrutyā niścitaṃ yadekamevādvitīyamajamamṛtamiti yuktiyuktaṃ ca	tasmAt-SrutyA niScitam yat-ekam-eva-advitIyam-ajam-amRtam-iti yukti-yuktam ca
   yuktyā ca sampannaṃ tadevetyavocāma pūrvairgranthaiḥ /	yuktyA ca sampannam tat-eva-iti-avocAma pUrvEH-granTEH /
   tadeva śrutyartho bhavati netaratkadācidapi //23//	tat-eva Sruti-arTaH Bavati na-itarat-kadAcid-api //23//
   START MandUpK 3.24	START Mandu-upK 3.24
   kathaṃ śrutuniścayaḥ? ityāha-	kaTam Srutu-niScayaH? iti-Aha-
   neha nāneti cāmnāyād indro māyābhir ity api /	na-iha nAnA-iti ca-AmnAyAt indraH mAyABiH iti api /
   ajāyamāno bahudhā māyayā jāyate tu saḥ // MandUpK_3.24 //	ajAyamAnaH bahuDA mAyayA jAyate tu saH // Mandu-upK_3.24 //
   MandUpKC_3.24	Mandu-upKC_3.24
   yadi hi bhūtata eva sṛṣṭiḥ syāttataḥ satyameva nānā vastviti	yadi hi BUtataH eva sRzwiH syAt-tatas satyam-eva nAnA vastu-iti
   tadabhāvapradarśanārthamāmnāyo na syāt /	tad-aBAva-pradarSana-arTam-AmnAyaH na syAt /
   asti ca"neha nānāsti kiñcana"(ka.u.2 / 1 / 11) ityādirāmnāyo	asti ca"na-iha nAnA-asti kiQcana-"(ka.u.2 / 1 / 11) iti-AdiH-AmnAya-u
   dvaitabhāvapratiṣedhārthaḥ /	dvEta-BAva-pratizeDa-arTaH /
   tasmādātmaikatvapratipatyarthā kalpitā sṛṣṭirabhūtaiva prāṇasaṃvādavat /	tasmAt-AtmA-eka-tva-pratipati-arTA kalpitA sRzwiH-aBUta-eva prANa-saMvAda-vat /
   "indro māyābhiḥ" (bṛ.u.3 / 5 / 19) ityabhūtārthapratipādakena māyāśabdena	"indraH mAyABiH" (bR.u.3 / 5 / 19) iti-aBUta-arTa-pratipAdakena mAyA-Sabdena
   vyapadeśāt /	vyapadeSAt /
   nanu prajñāvacano māyāśabdaḥ /	nanu prajQA-vacanaH mAyA-SabdaH /
   satyam; indriyaprajñāyā avadyāmayatvena māyātvabhyupagamādadoṣaḥ /	satyam; indriya-prajQAyAH avadya-Amaya-tvena mAyA-tu-aByupagamAdadozaH /
   māyābhirindriyaprajñābhir avidyārūpābhirityarthaḥ"ajāyamāno bahudhā	mAyABiH-indriya-prajQABiH avidyA-rUpABiH-iti-arTaH"ajAyamAnaH bahuDA
   vijāyate"iti śruteḥ, tasmānmāyayaiva jāyate tu sa /	vijAyate"iti SruteH, tasmAt-mAyayA-eva jAyate tu sa /
   tu śabdo 'vadhāraṇārthaḥ- māyayaiveti /	tu SabdaH avaDAraNa-arTaH mAyayA-eva-iti /
   na hyajāyamānatvaṃ bahudhā janmacaikatra sambhavati, agnāviva	na hi-ajAyamAna-tvam bahuDA janma-cEkatra samBavati, agnO=-iva
   śaityamoṣṇyaṃ ca /	SEtyam-ozNyam ca /
   phalavatvāccātmaikatvadarśanameva śrutiniścitor'thaḥ"tatra ko mohaḥ kaḥ	Palava-tvAt-ca-AtmA-ekatva-darSanam-eva Sruti-niScitor-aTaH"tatra kaH mohaH kaH
   śoka ekatvamanupaśyataḥ"(ī.u.7) ityādimantravarṇāt;"mṛtyoḥ sa	SokaH eka-tvam-anupaSyataH"(I.u.7) ityAdi-mantra-varNa-at;"-mRtyoH sa
   mṛtyumāpnoti"(ka.u.2 / 1 / 10) iti ninditatvācca sṛṣṭyādibhedadṛṣṭeḥ	mRtyum-Apnoti"(ka.u.2 / 1 / 10) iti nindita-tvAt-ca sRzwi-Adi-Beda-dRzweH
   START MandUpK 3.25	START Mandu-upK 3.25
   saṃbhūter apavādāc ca saṃbhavaḥ pratiṣidhyate /	saMBUteH apavAdAt ca saMBavaH pratiziDyate /
   ko nv enaṃ janayed iti kāraṇaṃ pratiṣidhyate // MandUpK_3.25 //	kaH nu enam janayet iti kAraNam pratiziDyate // Mandu-upK_3.25 //
   MandUpKC_3.25	Mandu-upKC_3.25
   "andhaṃ tamaḥ praviśati ye sambhūtimupāsate"(ī.u.12) iti	"anDam tamaH praviSati ye samBUtim-upAsate"(I.u.12) iti
   saṃbhūterupāsyatvāpavādātsaṃbhavaḥ pratiṣidhyate /	saMBUteH-upAsya-tva-apavAdAt-saMBavaH pratiziDyate /
   na hi paramārthataḥ saṃbhūtāyāṃ saṃbhūtau tadapavāda upapadyate /	na hi paramArTataH saMBUtAyAm saMBUtO tad-apavAdaH upapadyate /
   nanu vināśena saṃbhūteḥ samuccayavidhyarthaḥ saṃbhūtyapavādaḥ /	nanu vinASena saMBUteH samuccaya-viDi-arTaH saMBUti-apavAdaH /
   yathā"andhaṃ tamaḥ praviśanti ye 'vidyāmupāsate"(ī.u.9) iti /	yaTA"anDam tamaH praviSanti ye avidyAm-upAsate"(I.u.9) iti /
   satyameva devatādarśanasya saṃbhūtiviṣayasya vināśaśabdavācyasya karmaṇaḥ	satyam-eva devatA-darSanasya saMBUti-vizayasya vinASa-Sabda-vAcyasya karmaNaH
   samuccayavidhānārthaḥ saṃbhūtyapavādaḥ /	samuccaya-viDAna-arTaH saMBUti-apavAdaH /
   tathāpi vināśākhyasya karmaṇaḥ svābhāvikājñānapravṛttirūpasya	taTA-api vinASa-AKyasya karmaNaH svABAvikA-jQAna-pravRtti-rUpasya
   mṛtyoratitaraṇārthatvam /	mRtyoH-atitaraNa-arTa-tvam /
   evaṃ hyeṣaṇādvayarūpānmṛtyoraśuddherviyuktaḥ puruṣaḥ saṃskṛtaḥ syādato	evam hi-ezaNA-dvaya-rUpAt-mRtyoH-aSudDeH-viyuktaH puruzaH saMskRtaH syAt-atas-
   mṛtyoratitaraṇārthādevatādarśanakarmasamuccayalakṣaṇā hyavidyā /	mRtyoH-atitaraNa-arTa-adevatA-darSana-karma-samuccaya-lakzaNAH hi-avidyA /
   evameva eṣaṇālakṣaṇāvidyāyā mṛtyoratitīrṇasya	evam-eva ezaNA-lakzaNa-avidyAyAH mRtyoH-atitIrNasya
   viraktasyopaniṣacchāstrārthālocanaparasya nāntarīyakī	viraktasya-upanizad-SAstra-arTa-Alocana-parasya na-antarIyakI
   paramātmaikatvavidyotpattiriti pūrvabhāvinīmavidyāmapekṣya paścādbhāvinī	paramAtmA-ekatva-vidyA-utpattiH-iti pUrva-BAvinIm-avidyAm-apekzya paScAt-BAvinI
   brahmavidyāmṛtatvasādhanaikena puruṣeṇa sambadhyamānāvidyayā samuccīyata	brahma-vidyA-amRta-tva-sADana-ekena puruzeNa sambaDyamAna-avidyayA samuccIyata
   ityucyate /	iti-ucyate /
   ato 'nyārthatvādamṛtatvasādhanaṃ brahmavidyāmapokṣya nindārthaṃ eva	atas anya-arTa-tvAt-amRta-tva-sADanam brahma-vidyAm-apokzya nindA-arTam eva
   bhavati saṃbhūtyapavādaḥ /	Bavati saMBUti-apavAdaH /
   yadyapyaśuddhiviyogahetur atanniṣṭhatvāt /	yadi-api-aSudDi-viyoga-hetuH atannizWa-tvAt /
   ata eva saṃbhūter apavādātsaṃbhūterāpekṣikameva sattvamiti	atas eva saMBUteH apavAdAt-saMBUteH-Apekzikam-eva sattvam-iti
   paramārthasadātmaikatvamapekṣya amṛtākhyaḥ saṃbhavaḥ pratiṣidhyate /	parama-arTa-sadAtmA-eka-tvam-apekzya amRta-AKyaH saMBavaH pratiziDyate /
   evaṃ māyānirmitasyaiva jīvasyāvidyayā pratyupasthāpitasyāvidyānāśe	evam mAyA-nirmitasya-eva jIvasya-avidyayA pratyupasTApitasya-avidyA-nASe
   svabhāvarūpatvātparamārthataḥ ko nvenaṃ janayet /	svaBAva-rUpa-tvAt-paramArTataH kaH nu-enam janayet /
   na hi rajjvāmavidyāropitaṃ sarpaṃ punarvivekato naṣṭaṃ janayetkaścit /	na hi rajjvAm-avidyA-Aropitam sarpam punar-vivekataH nazwam janayet-kaScid /
   tathā na kaścidenaṃ janayediti ko nvityākṣepārthatvātkāraṇaṃ pritaṣidhyate	taTA na kaScid-enam janayet-iti kaH nu-iti-Akzepa-arTa-tvAt-kAraNam pritaziDyate
   avidyodbhūtasya naṣṭasya janayitṛkāraṇaṃ na kiñcidastītyabhiprāyaḥ"nāyaṃ	avidyA-udBUtasya nazwasya janayitR-kAraNam na kiQcid-asti-iti-aBiprAyaH"nAyam
   kutaścinna babhūva kaścit"(ka.u.1 / 2 / 18) iti śruteḥ //25//	kutaScid-na baBUva kaScit"(ka.u.1 / 2 / 18) iti SruteH //25//
   START MandUpK 3.26	START Mandu-upK 3.26
   sa eṣa neti netīti vyākhyātaṃ nihnute yataḥ /	saH eza na-iti na-iti-iti vyAKyAtam nihnute yatas /
   sarvam agrāhyabhāvena hetunājaṃ prakāśate // MandUpK_3.26 //	sarvam agrAhya-BAvena hetunA-Ajam prakASate // Mandu-upK_3.26 //
   MandUpKC_3.26	Mandu-upKC_3.26
   sarvaviśeṣapratiṣedhena"athāta ādeśo neti neti"(bṛ.u.2 / 3 / 6) iti	sarva-viSeza-pratizeDena"aTa-atas AdeSaH na-iti na-iti-"(bR.u.2 / 3 / 6) iti
   pratipāditasyātmano durbodhyatvaṃ manyamānā śrutiḥ punaḥ	pratipAditasya-AtmanaH durboDya-tvam manyamAnA SrutiH punar-
   punarupāyāntaratvena tasyaiva pratipipādayiṣayā yadvyākhyātaṃ tatsarvaṃ	punar-upAya-antara-tvena tasya-eva pratipipAdayizayA yat-vyAKyAtam tat-sarvam
   nihnate, grāhyaṃ janimadbuddhiviṣayamapalapati /	nihnate, grAhyam janimat-budDi-vizayam-apalapati /
   arthāt"sa eṣa neti neti"(bṛ.u.3 / 1 / 26) ityātmano 'dṛśyatāṃ darśayantī	arTa-at"saH eza na-iti na-iti-"(bR.u.3 / 1 / 26) iti-AtmanaH adRSyatAm darSayantI
   śrutiḥ	SrutiH
   upāyasyopeyaniṣṭhatāmajānata upāyatvena vyākhyātasyopeyavadgrāhyatā mā	upAyasya-upeya-nizWatAm-ajAnataH upAya-tvena vyAKyAtasya-upeya-vat-grAhyatA mA
   bhūdityagrāhyabhāvena hetunā kāraṇena nihnuta ityarthaḥ /	BUditya-grAhya-BAvena hetunA kAraNena nihnutaH iti-arTaH /
   tataścaivamupāyasyopeyaniṣṭhatāmeva jānata upeyasya ca nityaikarūpatvamiti	tatas-ca-evam-upAyasya-upeya-nizWatAm-eva jAnataH upeyasya ca nitya-eka-rUpatvam-iti
   tasyasabāhyābhyantaramajamātmatattvaṃ prakāśate svayameva //26//	tasyasa-bAhya-aByantaram-ajam-Atma-tattvam prakASate svayam-eva //26//
   START MandUpK 3.27	START Mandu-upK 3.27
   evaṃ hi śrutivākyaśataiḥ sabāhyābhyantaramajamātmatattvamadvayaṃ na tato	evam hi Sruti-vAkya-SatEH sa-bAhya-aByantaram-ajam-Atma-tattvam-advayam na tatas-
   'nyadastīti niścitametat /	anyat-asti-iti niScitam-etat /
   yuktyā cā7dhunaitadeva punarnirdhāryata ityāha-	yuktyA ca-a7DunA-etat-eva punar-nirDAryate iti-Aha-
   sato hi māyayā janma yujyate na tu tattvataḥ /	sataH hi mAyayA janma yujyate na tu tattvataH /
   tattvato jāyate yasya jātaṃ tasya hi jāyate // MandUpK_3.27 //	tattvataH jAyate yasya jAtam tasya hi jAyate // Mandu-upK_3.27 //
   MandUpKC_3.27	Mandu-upKC_3.27
   tatraitatsyātsadāgrāhyameva cedasadevātmatattvamiti /	tatra-etat-syAt-sadA-grAhyam-eva ced-asa-deva-Atma-tattvam-iti /
   tanna, kāryagrahaṇāt /	tat-na, kArya-grahaNAt /
   yathā sato māyāvino māyayā janma kāryam /	yaTA sataH mAyAvinaH mAyayA janma kAryam /
   evaṃ jagato janma kāryaṃ gṛhyamāṇaṃ māyāvinamiva paramārthasantam ātmānaṃ	evam jagataH janma kAryam gRhyamANam mAyAvinam-iva parama-arTa-santam AtmAnam
   jagajjanmamāyāspadam avagamayati /	jagat-janma-mAyA-Aspadam avagamayati /
   yasmātsato hi vidyamānātkāraṇānmāyānirmitasya hastyādikāryasyeva	yasmAt-sataH hi vidyamAnAt-kAraNAt-mAyA-nirmitasya hasti-Adi-kAryasya-iva
   jagajjanma yujyate nāsataḥ kāraṇāt /	jagat-janma yujyate na-asataH kAraNAt /
   na tu tattvata evātmano janma yujyate /	na tu tattvataH eva-AtmanaH janma yujyate /
   atha vā sato vidyamānasya vastuno rajjvādeḥ sarpādivan māyayā janma	aTa vA sataH vidyamAnasya vastunaH rajju-AdeH sarpa-Adi-vat mAyayA janma
   yujyate na tu tattvato yathā tathāgrāhyasyāpi sata evātmano	yujyate na tu tattvataH yaTA taTA-AgrAhyasya-api sataH eva-AtmanaH-
   rajjusarpavajjagadrūpeṇa māyayā janma yujyate /	rajju-sarpa-vat-jagat-rUpeNa mAyayA janma yujyate /
   na tu tattvata evājasyātmano janma /	na tu tattvataH eva-ajasya-AtmanaH janma /
   yasya punaḥ paramārthasadajamātmatattvaṃ jagadrūpeṇa jāyate vādino nahi	yasya punar parama-arTa-sada-jam-Atma-tattvam jagat-rUpeNa jAyate vAdinaH na-hi
   tasyājaṃ jāyata iti śakyaṃ vaktuṃ virodhāt /	tasya-Ajam jAyate iti Sakyam vaktum viroDAt /
   tatastasyārthājjātaṃ jāyata ityāpannaṃ tataścānavasthā jātājjāyamānatvena	tatas-tasya-arTAt-jAtam jAyate iti-Apannam tatas-ca-anavasTA jAtAt-jAyamAna-tvena
   tasmādajamekamevātmatattvamiti siddham //27//	tasmAt-ajam-ekam-eva-Atma-tattvam-iti sidDam //27//
   START MandUpK 3.28	START Mandu-upK 3.28
   asato māyayā janma tattvato naiva yujyate /	asataH mAyayA janma tattvataH na-eva yujyate /
   vandhyāputro na tattvena māyayā vāpi jāyate // MandUpK_3.28 //	vanDyA-putraH na tattvena mAyayA vA-api jAyate // Mandu-upK_3.28 //
   MandUpKC_3.28	Mandu-upKC_3.28
   asadvādināmasato bhāvasya māyayā tattvato vā na kathañcana janma yujyate,	asat-vAdinAm-asataH BAvasya mAyayA tattvataH vA na kaTaQcana janma yujyate,
   adṛṣṭatvāt /	adRzwa-tvAt /
   na hi vandhyāputro māyayā tattvato vā jāyate tasmādatrāsadvādo dūrata	na hi vanDyA-putraH mAyayA tattvataH vA jAyate tasmAt-atra-asat-vAdaH dUrata
   evānupapanne7tyarthaḥ //28//	eva-anupapanne7tyarTaH //28//
   START MandUpK 3.29	START Mandu-upK 3.29
   kathaṃ punaḥ sato māyayaiva janmetyucyate-	kaTam punar sataH mAyayA-eva janma-iti-ucyate-
   yathā svapne dvayābhāsaṃ spandate māyayā manaḥ /	yaTA svapne dvaya-ABAsam spandate mAyayA manaH /
   tathā jāgraddvayābhāsaṃ spandate māyayā manaḥ // MandUpK_3.29 //	taTA jAgrat-dvaya-ABAsam spandate mAyayA manaH // Mandu-upK_3.29 //
   MandUpKC_3.29	Mandu-upKC_3.29
   yathā rajjvāṃ vikalpitaḥ sarpo rajjurūpeṇāvekṣyamāṇaḥ sannevaṃ manaḥ	yaTA rajjvAm vikalpitaH sarpaH rajju-rUpeNa-avekzyamANaH san=-evam manaH
   paramārthavijñaptyātmarūpeṇāvekṣyamāṇaṃ sad grāhyagrāhakarūpeṇa	parama-arTa-vijQapti-Atma-rUpeNa-avekzyamANam sat grAhya-grAhaka-rUpeNa
   dvayābhāsaṃ spandate svapne māyayā, rajjvāmiva sarpaḥ /	dvaya-ABAsam spandate svapne mAyayA, rajjvAm-iva sarpaH /
   tathā tadvadeva jāgrajjāgarite spandate māyayā manaḥ spandata ivetyarthaḥ	taTA tadvat-eva jAgrat-jAgarite spandate mAyayA manaH spandate iva-iti-arTaH
   START MandUpK 3.30	START Mandu-upK 3.30
   advayaṃ ca dvayābhāsaṃ manaḥ svapne na saṃśayaḥ /	advayam ca dvaya-ABAsam manaH svapne na saMSayaH /
   advayaṃ ca dvayābhāsaṃ tathā jāgran na saṃśayaḥ // MandUpK_3.30 //	advayam ca dvaya-ABAsam taTA jAgrat na saMSayaH // Mandu-upK_3.30 //
   MandUpKC_3.30	Mandu-upKC_3.30
   rajjurūpeṇa sarpa iva paramārthata ātmarūpeṇādvayaṃ saddvayābhāsaṃ manaḥ	rajju-rUpeNa sarpaH iva paramArTataH Atma-rUpeNa-advayam sat-dvaya-ABAsam manaH
   svapne na saṃśayaḥ /	svapne na saMSayaH /
   na hi svapne hastyādi grāhyaṃ tadgrāhakaṃ vā cakṣurādidvayaṃ	na hi svapne hasti-Adi grAhyam tat-grAhakam vA cakzuH-Adi-dvayam
   vijñānavyatirekeṇāsti /	vijQAna-vyatirekeNa-asti /
   jāgradapi tathaivetyarthaḥ /	jAgrat-api taTA-eva-iti-arTaH /
   paramārthasadvijñānamātrāviśeṣāt //30//	parama-arTa-sat-vijQAna-mAtrA-viSezAt //30//
   START MandUpK 3.31	START Mandu-upK 3.31
   rajjusarpavadvikalpanārūpaṃ dvaitarūpeṇa mana evetyuktam /	rajju-sarpa-vat-vikalpanA-rUpam dvEta-rUpeNa manaH eva-iti-uktam /
   tatra kiṃ pramāṇamityanvayavyatirekalakṣaṇamanumānamāha /	tatra kim pramANam-iti-anvaya-vyatireka-lakzaNam-anumAnam-Aha /
   katham-	kaTam-
   manodṛśyam idaṃ dvaitaṃ yat kiñcit sacarācaram /	manaH-dRSyam idam dvEtam yat kiQcid sacarAcaram /
   manaso hy amanībhāve dvaitaṃ naivopalabhyate // MandUpK_3.31 //	manasaH hi amanIBAve dvEtam na-eva-upalaByate // Mandu-upK_3.31 //
   MandUpKC_3.31	Mandu-upKC_3.31
   tena hi manasā vikalpyamānena dṛśyaṃ manodṛśyamidaṃ dvaitaṃ sarvaṃ mana	tena hi manasA vikalpyamAnena dRSyam manaH-dRSyam-idam dvEtam sarvam mana
   iti pratijñā /	iti pratijQA /
   tadbhāve bhāvāttadabhāve 'bhāvāt /	tad-BAve BAvAt-tad-aBAve aBAvAt /
   manaso hyamanībhāve nirodhe vivekadarśanābhyāsavairāgyābhyāṃ rajjvāmiva	manasaH hi-amanIBAve niroDe viveka-darSana-aByAsa-vErAgyAByAm rajjvAm-iva
   sarpe layaṃ gate vā suṣupte dvaitaṃ naivopalabhyata ityabhāvātsiddhaṃ	sarpe layam gate vA suzupte dvEtam na-eva-upalaByate iti-aBAvAt-sidDam
   dvaitasyāsatvamityarthaḥ //31//	dvEtasya-asatvam-iti-arTaH //31//
   START MandUpK 3.32	START Mandu-upK 3.32
   kathaṃ punaramanībhāvaḥ? ity ucyate-	kaTam punar-amanIBAvaH? iti ucyate-
   ātmasatyānubodhena na saṃkalpayate yadā /	Atma-satya-anuboDena na saMkalpayate yadA /
   amanastāṃ tadā yāti grāhyābhāve tadagraham // MandUpK_3.32 //	amanaH-tAm tadA yAti grAhya-aBAve tat-agraham // Mandu-upK_3.32 //
   MandUpKC_3.32	Mandu-upKC_3.32
   ātmaiva satyamātmasatyaṃ mṛttikāvat"vācāraṃbhaṇaṃ vikāro nāmadheyaṃ	AtmA-eva satyam-Atma-satyam mRttikAvat"-vAcAraMBaNam vikAraH nAmaDeyam
   mṛttiketyeva satyam"(chā.u.6 / 1 / 4) iti śrutes tasya	mRttikA-iti-eva satyam"(CA.u.6 / 1 / 4) iti SruteH tasya
   śāstrācāryopadeśamanvavabodha ātmasatyānubodhaḥ /	SAstra-AcArya-upadeSam-anvavaboDaH Atma-satya-anuboDaH /
   tena saṃkalpyābhāvatayā na saṃkalpyate, dāhyābhāve jvalanamivāgneḥ, yadā	tena saMkalpya-aBAva-tayA na saMkalpyate, dAhya-aBAve jvalanam-iva-agneH, yadA
   yasminkāle tadā tasminkāle 'manastāmamanobhāvaṃ yāti; grāhyābhāve tanmano	yasmin-kAle tadA tasmin-kAle amanaH-tAm-amanoBAvam yAti; grAhya-aBAve tad-manaH-
   'grahaṃ grahaṇavikalpanāvarjitamityarthaḥ //32//	agraham grahaNa-vikalpanA-varjitam-iti-arTaH //32//
   START MandUpK 3.33	START Mandu-upK 3.33
   yadyasadidaṃ dvaitaṃ kena svamajamātmatattvaṃ vibudhyate? ity ucyate-	yadi-asat-idam dvEtam kena svam-ajam-Atma-tattvam vibuDyate? iti ucyate-
   akalpamajaṃ jñānaṃ jñeyābhinnaṃ pracakṣate /	akalpam-ajam jQAnam jQeya-aBinnam pracakzate /
   brahma jñeyam ajaṃ nityam ajenājaṃ vibudhyate // MandUpK_3.33 //	brahma jQeyam ajam nityam ajena-Ajam vibuDyate // Mandu-upK_3.33 //
   MandUpKC_3.33	Mandu-upKC_3.33
   akalpakaṃ sarvakalpanāvarjitamata evājaṃ jñānaṃ jñaptimātraṃ jñeyena	akalpakam sarva-kalpanA-varjitam-atas eva-Ajam jQAnam jQapti-mAtram jQeyena
   paramārthasatā brahmaṇābhinnaṃ pracakṣate kathayanti brahmavidaḥ /	parama-arTa-satA brahmaNA-Binnam pracakzate kaTayanti brahma-vidaH /
   na hi vijñāturvijñāterviparilopo vidyate 'gnyuṣṇavat"vijñānamānandaṃ	na hi vijQAtuH-vijQAteH-viparilopaH vidyate agni-uzNavat"-vijQAnam-Anandam
   brahma"(bṛ.u.3 / 9 / 28) "satyaṃ jñānamanantaṃ brahma"(tai.u.2 / 1)	brahma-"(bR.u.3 / 9 / 28) "satyam jQAnam-anantam brahma-"(tE.u.2 / 1)
   ityādiśrutibhyaḥ /	ityAdi-SrutiByaH /
   tasyaiva viśeṣaṇaṃ brahma jñeyaṃ yasya svasya tadidaṃ	tasya-eva viSezaNam brahma jQeyam yasya svasya tat-idam
   brahmajñeyamauṣṇyasyevāgnivadabhinnam /	brahma-jQeyam-OzNyasya-iva-agni-vat-aBinnam /
   tenātmasvarūpeṇājena jñānenājaṃ jñeyamātmatattvaṃ svayameva vibudhyate	tena-Atma-svarUpeNa-ajena jQAnena-Ajam jQeyam-Atma-tattvam svayam-eva vibuDyate
   'vagacchati /	avagacCati /
   nityaprakāśasvarūpa iva savitā nityavijñānaikarasaghanatvānna	nitya-prakASa-svarUpaH iva savitA nitya-vijQAna-eka-rasa-Gana-tvAt-na
   jñānāntaramapekṣata ityarthaḥ //33//	jQAna-antaram-apekzate iti-arTaH //33//
   START MandUpK 3.34	START Mandu-upK 3.34
   ātmasatyānubodhena saṅkalpamakurvadbāhyaviṣayābhāve	Atma-satya-anuboDena saFkalpam-akurvat-bAhya-vizaya-aBAve
   nirindhanāgnivatpraśāntaṃ nigṛhītaṃ niruddhaṃ mano bhavatītyuktam /	nirinDana-agni-vat-praSAntam nigRhItam nirudDam manaH Bavati-iti-uktam /
   evaṃ ca manaso hyamanībhāve dvaitābhāvaścoktaḥ /	evam ca manasaH hi-amanIBAve dvEta-aBAvaH-ca-uktaH /
   tasyaivam-	tasya-evam-
   nigṛhītasya manaso nirvikalpasya dhīmataḥ /	nigRhItasya manasaH nirvikalpasya DImataH /
