   ācāryakamalaśīlapraṇīto	AcArya kamala SIla praNItaH 
   sarvasattvā bodhimaṇḍe niṣpādayitavyā iti viniścayan,	sarva sattvAH boDimaNxe nizpAdayitavyAH iti viniScayan,
   sakalajagadabhyuddharaṇāśayo mahākaruṇām āmukhīkṛtya daśadigavasthitān	sakala jagat aByudDaraNa ASayaH mahA karuNAm AmuKIkRtya daSa diS avasTitAn
   sarvabuddhabhodhisattvān pañcāṅgena praṇipatyāgrato buddhabodhisattvan	sarva budDa BoDisattvAn paQcAFgena praNipatya agratas budDa boDisattvan
   paṭādau sthāpayitvā anyatra vā yathāvat tebhyaśca yathāruci pūjāstavanaṃ	pawa AdO sTApayitvA anyatra vA yaTAvat teByaH ca yaTAruci pUjAstavanam
   kṛtvā svapāpaṃ pradeśya, sakalasya jagataḥ puṇyam anumodya,	kRtvA sva pApam pradeSya, sakalasya jagataH puNyam anumodya,
   mṛdutarasukhāsane vairocanabhaṭṭārakabaddhaparyaṅkena ardhaparyaṅkena vā	mRdutara suKa Asane vErocana BawwAraka badDa paryaFkena arDa paryaFkena vA
   niṣpādya nātyunmūīlite nātinimīlite nāsikāgravinyaste cakṣuṣī kṛtvā,	nizpAdya na ati unmUIlite na ati nimIlite nAsikA agra vinyaste cakzuzI kRtvA,
   nātinamraṃ nātistabdham ṛjukāyaṃ praṇidhāyāntarmukhāvarjitasmṛtirupaviśet	na ati namram na ati stabDam Rju kAyam praNiDAya antar muKa Avarjita smRtiH upaviSet 
   / tataḥ skandhau samau sthāpayet / śiro nonnatam nāvanataṃ eka pārśve	/ tatas skanDO samO sTApayet / SiraH na unnatam na avanatam eka pArSve
   niścalaṃ sthāpayitavyam / kiṃ tarhi nābhipraguṇā nāsikā sthāpayitavyā /	niScalam sTApayitavyam / kim tarhi nABi praguNA nAsikA sTApayitavyA /
   dantoṣṭhaṃ mṛdu sthāpanīyam / jivhā coparidantamūle sthāpanīyā /	danta uzWam mRdu sTApanIyam / jivhA ca upari danta mUle sTApanIyAH /
   āśvāspraśvāsāstu na saśabdā nāpi sthūlā nāpi tvaritāḥ karaṇīyāḥ / kiṃ	ASvAspraSvAsAH tu na sa SabdAH na api sTUlAH na api tvaritAH karaNIyAH / kim
   tvasaṃlakṣyamāṇā mandaṃ mandamanābhogena yathā praviśeyurnirgaccheyurvā	tu asaMlakzyamANA mandam mandam anABogena yaTA praviSeyuH nirgacCeyuH vA
   tathā karaṇiyam /	taTA karaNiyam /
   tatra prathamaṃ tāvat śamatho nispādayitavyaḥ, bāhyaviṣayavikṣepaśānteḥ	tatra praTamam tAvat SamaTaH nispAdayitavyaH, bAhya vizaya vikzepa SAnteH
   āntarālambane satataṃ svarasavāhi prītiprasrabdhivaccitta eva sthitistu	Antara Alambane satatam svarasa vAhi prIti prasrabDi vat cittaH eva sTitiH tu
   śamatha iti ucyate / tasyaiva śamathasyālambanakāle yastattva vicāraḥ sā	SamaTaH iti ucyate / tasya eva SamaTasya Alambana kAle yaH tattva  vicAraH sA
   vipaśyanā / āryaratnameghe yathā  "śamathaścittaikāgratā / vipaśyanā	vipaSyanA / Arya ratna meGe yaTA "SamaTaH citta ekAgra tA / vipaSyanA
   bhūtapratyavekṣeti" uktam /	BUta pratyavekzA iti" uktam /
   (Bhk 209)	(Bhj 209)
   āryasaṃdhinirmocane 'pi  "bhagavan kathaṃ śamathaparigaveṣaṇaṃ	Arya saMDi nirmocane api "Bagavan kaTam SamaTa parigavezaNam
   vipaśyanākauśalaṃ cāsti? ucyate / maitreya! mayā dharmopacāro	vipaSyanA kOSalam ca asti? ucyate / mEtreya! mayA Darma upacAraH 
   vyavasthāpitaḥ / tadyathā  ye	vyavasTApitaH / tat yaTA ye
   sūtrageyavyākaraṇa gāthā udāna nidāna avadāna itivṛttaka jātaka vaipulya adbhūtadharma upadeśa vargāḥ	sUtra geya vyAkaraNa gATA u dAna  nidAna  ava dAna  iti vRtta ka jAta ka vEpulya  adBUta Darma  upadeSa  vargAH
   bodhisattvebhya ākhyātāste bodhisattvaiḥ saṃśrutya saṃdhārya,	boDisattveByaH AKyAtAH te boDisattvEH saMSrutya saMDArya,
   pāṭhamabhyasya, manasā samparīkṣya, dṛṣṭyā supratividdhaya sa ekākī	pAWam aByasya, manasA samparIkzya, dRzwyA su pratividDaya saH ekAkI
   viviktasthaḥ, antaḥ pratisaṃlīnaḥ, yathāsucintitān tāneva dharmān	vivikta sTaH, antar pratisaMlInaH, yaTA asu cintitAn tAn eva DarmAn
   manasikṛtya, yena cittena manasikārastaccitābhyantaraṃ satataṃ	manasikRtya, yena cittena manasikAraH tad citA aByantaram satatam
   manasikāreṇa manasikāraḥ / tathā praviśya tatra bahuśaḥ sthitaḥ tasyāṃ	manasikAreNa manasikAraH / taTA praviSya tatra bahuSas sTitaH tasyAm
   kāyaprasrabdhicittaprasrabdhisambhavaśca yo 'sti sa tu śamatha iti / tarhi	kAya prasrabDi citta prasrabDi samBavaH ca yaH asti sa tu SamaTaH iti / tarhi
   bodhisattvaḥ śamathaparigaveṣaṇaṃ karoti / tena kāyaprasrabdhiḥ,	boDisattvaH SamaTa parigavezaNam karoti / tena kAyaprasrabDiH,
   cittaprasrabdhiśca / te prāpya tatraiva sthitaḥ, cittavikṣepaṃ vihāya	citta prasrabDiH ca / te prApya tatra eva sTitaH, citta vikzepam vihAya
   yathā cintitadharmaḥ teṣāmeva abhyantare samādhigocarapratibimbaṃ	yaTA cintita DarmaH tezAm eva aByantare samADi gocara pratibimbam
   pratyavekṣate, adhimucyate, tādṛk samādhigocarapratibimbam, tajjñeyarthe	pratyavekzate, aDimucyate, tAdRS samADi gocara pratibimbam, tad jQeyarTe
   vivicyate pravivecanaṃ parikalpanaṃ paryavekṣaṇaṃ kṣāntiḥ, kāmo	vivicyate pravivecanam parikalpanam paryavekzaNam kzAntiH, kAmaH 
   viśiṣṭaivbhāgo darśanam, adhigamaśca yo 'sti, sā tu vipaśyanā iti, tathā	viSizwEvBAgaH darSanam, aDigamaH ca yaH asti, sA tu vipaSyanA iti, taTA
   ca bodhisattvavipaśyanā kauśalam ityuktam / "	ca boDisattva vipaSyanA kOSalam iti uktam / "
   tatra śamathābhinirhārakāmo yogī prathamaṃ tāvat	tatra SamaTa aBinirhAra kAmaH yogI praTamam tAvat 
   sūtrageyādisakalapravacanaṃ tu tathatāparāyaṇam, tathatāpragbhāram,	sUtra geya Adi sakala pravacanam tu taTatA parAyaNam, taTatA pragBAram,
   tathatāpravaṇama iti sarvaṃ saṃgrāhya tatra cittam upasthāpayet / etāvatā	taTatA pravaNamaH iti sarvam saMgrAhya tatra cittam upasTApayet / etAvatA
   kiyadākāreṇa sarvadharmasaṃgrahabhute skandhādau tatra cittam upasthāpayet	kiyat AkAreNa sarva Darma saMgraha Bute skanDa AdO tatra cittam upasTApayet 
   / etāvatā yathādṛṣṭa yathāśrutabuddhapratimāyāṃ cittaṃ sthāpitavyam /	/ etAvatA yaTAdRzwa   yaTA aSruta budDa pratimAyAm cittam sTApitavyam /
   āryasamādhirāje yathā 	Arya samADi rAje yaTA 
   suvarṇavarṇena samucchrayeṇa samantaprāsādiku lokanāthaḥ /	suvarNa varNena samucCrayeNa samantaprAsa Adiku lokanATaH /
   yasyātra ālambani cittu vartate samāhitaḥ socyati bodhisattva // iti uktam	yasya atra Alambani cittu vartate samAhitaH socyati boDisattvaH // iti uktam
   (Bhk 210)	(Bhj 210)
   tathā yatra icchālambanaṃ tasmin cittaṃ sthāpayitvā tatraiva uparyupari	taTA yatra icCA Alambanam tasmin cittam sTApayitvA tatra eva upari upari
   satataṃ cittaṃ sthāpayet / tatra upasthāpya cittam īdṛśamevaṃ parīkṣeta /	satatam cittam sTApayet / tatra upasTApya cittam IdRSam evam parIkzeta /
   'kim ālambanaṃ sugṛṇhāti līyate vā athavā bāhyaviṣayavyasekād vikṣipyate	akim Alambanam su gRNhAti lIyate vA aTavA bAhya viza ya vyasekAt vikzipyate
   iti parīkṣitavyam / tatra yadi styānamiddhābhibhavād cittaṃ līnaṃ vā	iti parIkzitavyam / tatra yadi styAnam idDa aBiBavAt cittam lInam vA
   layābhiśaṅkā darśane tatkāle pramodya vastuni buddhapratimādau vā	laya aBiSaFkA darSane tad kAle pramodya vastuni budDa pratimA AdO vA
   alokasaṃjñāmanasikaraḥ kartavyaḥ / atha layam upaśāmya yathāpi tatraiva	aloka saMjQA manasikaraH kartavyaH / aTa layam upaSAmya yaTA api tatra eva
   ālambane cittālambanam atisphuṭadarśanaṃ bhavati tathā karaṇiyam /	Alambane citta Alambanam ati sPuwa darSanam Bavati taTA karaNiyam /
   yadā tu jātyandhavad andhakārapraviṣṭapuruṣavad vā vinimīlitākṣavad vā	yadA tu jAti anDa vat anDakAra pravizwa puruza vat vA vinimIlita akza vat vA
   cittam ālambanaṃ atisphuṭaraṃ na paśyati tadā līnaṃ veditavyam / yadā	cittam Alambanam ati sPuwaram na paSyati tadA lInam veditavyam / yadA
   bāhyarūpādau teṣāṃ guṇakalpanayā dhāvanena, anyamanasikāreṇa vā	bAhya rUpa AdO tezAm guNa kalpanayA DAvanena, anya manasikAreNa vA
   pūrvānubhūtaviṣayecchayā cittauddhatyaṃ vā auddhatyaśaṅkādarśanaṃ vā tadā	pUrva anuBUta vizaya icCayA citta OdDatyam vA OdDatya SaFkA darSanam vA tadA
   sarve saṃskārā anityā duḥkhādimanosaṃvegavastu manasi karttavyam / tataḥ	sarve saMskArAH anityAH duHKa Adi manaH saMvega vastu manasi karttavyam / tatas 
   vikṣepaśāntiṃ kṛtvā smṛtisamprajanyarajjunā manonāgaḥ tadālambanastambhe	vikzepa SAntim kRtvA smRti samprajanya rajjunA manaH nAgaH tad Alambana stamBe
   eva bandhitavyaḥ / yadā layauddhatye na bhavataḥ tadālambena	eva banDitavyaH / yadA laya OdDatye na BavataH tad Alambena
   cittapraśamavahitāṃ paśyet, tadā ābhogaśithilikaraṇād upekṣayā tatkāle	citta praSama vahitAm paSyet, tadA ABoga SiTili karaNAt upekzayA tad kAle
   yāvadicchaṃ tiṣṭhet / itthaṃ bhāvitaśamathasya taccharīrasya cittasya ca	yAvadicCam tizWet / itTam BAvitaSamaTasya tat SarIrasya cittasya ca
   praśrabdhirbhaviṣyati / yathecchālambane cittaṃ svavaśe bhaviṣyati / tadā	praSrabDiH Bavizyati / yaTA icCA Alambane cittam sva vaSe Bavizyati / tadA
   śamatho niṣpanno veditavyaḥ /	SamaTaH nizpannaH veditavyaH /
   tataḥ śamathaṃ niṣpādya vipaśyanāṃ bhāvayet / īdṛśaṃ ca mantavyam	tatas SamaTam nizpAdya vipaSyanAm BAvayet / IdRSam ca mantavyam
   bhagavataḥ sarvavacanaṃ tu subhaṣitam, sākṣāt paramparayā vā	BagavataH sarva vacanam tu su Bazitam, sAkzAt paramparayA vA
   tattvapratyakṣavyañajanaṃ tattvaparāyaṇameva ca / tattvajñāne ālokobhdavāt	tattva pratyakza vyaQa janam tattva parAyaNam eva ca / tattva jQAne Aloka uBdavAt 
   tamonirāsavat sarvadṛṣṭijālaviyogo bhaviṣyati / śamathamātreṇa	tamaH nirAsa vat sarva dRzwi jAla viyogaH Bavizyati / SamaTa mAtreNa
   jñānaśuddhirna bhaviṣyati, āvaraṇa tamonirāsaścāpi na bhaviṣyati /	jQAna SudDiH na Bavizyati, AvaraNa  tamaH nirAsaH ca api na Bavizyati /
   prajñayā ca tattvasamyagbhāvanāyāṃ jñānaviśuddhirbhaviṣyati / prajñayā eva	prajQayA ca tattva samyak BAvanAyAm jQAna viSudDiH Bavizyati / prajQayA eva
   tattvamavagamyate prajñayaiva āvaraṇaṃ samyak prahīyate / (Bhk 211)	tattvam avagamyate prajQayA eva AvaraNam samyak prahIyate / (Bhj 211)
   tasmānmayā śamathe sthitvā prajñayā tattvaṃ paryeṣitavyam / śamathamātreṇa	tasmAt mayA SamaTe sTitvA prajQayA tattvam paryezitavyam / SamaTa mAtreNa
   saṃtoṣo na karaṇīya iti vicāraṇīyam /	saMtozaH na karaNIyaH iti vicAraNIyam /
   kīdṛśaṃ ca tattvam iti cet? yat paramārthataḥ sarvavastupudgala	kIdRSam ca tattvam iti cet? yat paramArTataH sarva vastu pudgala
   dharmātmaśūnyam, tatprajñāparimitayā adhigamyate na cānyathā /	Darma Atma SUnyam, tad prajQA parimitayA aDigamyate na ca anyaTA /
   āryasaṃdhinirmocane yathoktam "bhagavan! kayā pāramitayā bodhisattvaḥ	Arya saMDi nirmocane yaToktam "Baga van! kayA pAramitayA boDisattvaH
   dharmaniḥsvabhāvatāṃ gṛṇhīyāt? avalokiteśvara! prajñāpāramitayā gṛhyate /"	Darma niHsvaBAva tAm gRNhIyAt? avalokita ISvara! prajQApAramitayA gRhyate /"
   iti / tasmāt śamathe sthitvā prajñāṃ bhāvayet /	iti / tasmAt SamaTe sTitvA prajQAm BAvayet /
   tatraivaṃ yogī vicārayet, 'pudgalaḥ na skandhadhātvāyatanavyatirikta	tatra evam yogI vicArayet, apudgalaH na skanDa DAtu Ayatana vyatirikta
   upalabhyate / na cāpi pudgalaḥ skandhādisvabhavaḥ / te skandhādayastu	upalaByate / na ca api pudgalaH skanDa Adi svaBavaH / te skanDa AdayaH tu
   anityāḥ, anekasvabhāvatvāt pudgalasya ca nityaikarūpeṇa	anityAH, aneka svaBAva tvAt pudgalasya ca nitya eka rUpeNa
   parairupakalpitatvāt / nāpi tattvānyatvābhyām anabhilāpyapudgalasya	parEH upakalpita tvAt / na api tattva anya tvAByAm anaBilApya pudgalasya
   vastutvaṃ yuktam / vastusataḥ prakārāntarābhāvāt / tasmāt tadyathā bhrama	vastu tvam yuktam / vastu sataH prakAra antara aBAvAt / tasmAt tat yaTA Brama
   eva ayaṃ lokasya yadutāhaṃ memeti vicāritavyam /	eva ayam lokasya yat uta aham mema iti vicAritavyam /
   dharmanairātmyamapi evaṃ bhavanīyam / dharma iti saṃkṣepataḥ pañcaskandho	Darma nErAtmyam api evam BavanIyam / DarmaH iti saMkzepataH paQca skanDaH 
   dvādaśāyatanam, aṣṭādaśadhātavaśca / tatra ye ca	dvAdaSa Ayatanam, azwAdaSa DAtavaH ca / tatra ye ca
   skandhāyatanadhāturūpiṇaḥ, na te paramārthataḥ cittākāravyatiriktāḥ /	skanDa Ayatana DAtu rUpiNaH, na te paramArTataH citta AkAra vyatiriktAH /
   tatparamāṇuśo vibhāge paramāṇavo 'pi bhāgaśaḥ svabhāvatāpratyavekṣamāṇāḥ	tad paramANuSaH viBAge paramANavaH api BAgaSas svaBAvatA pratyavekzamANAH
   svabhāvaniścayagrahaṇābhāvāt / tasmād	svaBAva niScaya grahaNa aBAvAt / tasmAt 
   anādikālikavitatharūpādyabhiniveśavaśāt	anAdi kAlika vitaTa rUpa Adi aBiniveSa vaSAt
   svapnopalabhyamānarūpādipratibhāsavad bālānāṃ cittameva bahiḥ	svapna upalaByamAna rUpa Adi pratiBAsa vat bAlAnAm cittam eva bahis 
   vicchinnamiva rūpādipratibhāsaṃ khyāti / paramārthatastatra rūpādistu na	vicCinnam iva rUpa Adi pratiBAsam KyAti / paramArTataH tatra rUpa AdiH tu na
   cittākāravyatirikta iti vicārayet / tad evaṃ traidhātukamidaṃ tu	citta AkAra vyatiriktaH iti vicArayet / tat evam trEDAtukam idam tu
   cittamātramiti cintayet / sa evaṃ cittameva sakaladharmaprajñaptiṃ	cittamAtram iti cintayet / saH evam cittam eva sakala Darma prajQaptim
   niścitya tatra pratyavekṣya ca sarvadharmāṇāṃ svabhāvaḥ pratyavekṣito	niScitya tatra pratyavekzya ca sarva DarmANAm svaBAvaH pratyavekzitaH 
   bhavatīti cittasvabhāvamapi pratyavekṣate / sa evaṃ vicārayati /	Bavati iti citta svaBAvam api pratyavekzate / saH evam vicArayati /
   cittamapi paramārthaḥ satyaṃ bhavitum na yujyate / yadā hi	cittam api parama arTaH satyam Bavitum na yujyate / yadA hi
   alīkasvabhāvarūpādyākaropagrahaṇe cittameva citrākāraṃ pratibhāsate, tadā	alIka svaBAva rUpa Adi Akara upagrahaNe cittam eva citra AkAram pratiBAsate, tadA
   satyatvaṃ kutra bhavet / yathā rūpādī (Bhk 212) alīkaṃ tathā cittamapi	satya tvam kutra Bavet / yaTA rUpa AdI (Bhj 212) alIkam taTA cittam api
   tadavyatiriktatvād alīkameva / yathā citrākāratayā rūpādayo	tat avyatirikta tvAt alIkam eva / yaTA citra AkAra tayA rUpa AdayaH 
   naikānekasvabhāvāḥ tathā cittamapi tadavyatirekeṇa anikānekasvabhāvam /	na eka aneka svaBAvAH taTA cittam api tat avyatirekeNa anikA aneka svaBAvam /
   tasmāt māyādisvabhāvopamameva cittam /	tasmAt mAyA Adi svaBAva upamam eva cittam /
   yathā cittamevaṃ sarvadharmā api māyāsvabhāvasadṛśā eva iti vicārayet /	yaTA cittam evam sarva DarmAH api mAyA svaBAva sadRSAH eva iti vicArayet /
   tena tathā prajñayā cittasvabhāve pratyevekṣamāṇe paramārthataḥ cittam	tena taTA prajQayA citta svaBAve pratyeva IkzamANe paramArTataH cittam
   abhyantare 'pi nopalabhate, bāhye 'pi nopalabhate, anubhayo 'pi	aByantare api na upalaBate, bAhye api na upalaBate, anuBayaH api
   nopalabhate, atītacittamapi nopalabhate, anāgatamapi nopalabhate,	na upalaBate, atIta cittam api na upalaBate, anAgatam api na upalaBate,
   pratyutpannamapi nopalabhate / nāpi cittamutpādyamānaṃ kuto 'pyāgacchati,	pratyutpannam api na upalaBate / na api cittam utpAdyamAnam kutas api AgacCati,
   nāpi nirudhyamānaṃ kvacidapi gacchati / cittaṃ tu agrāhyam anirdeśyam,	na api niruDyamAnam kvacid api gacCati / cittam tu agrAhyam anirdeSyam,
   arūpam ca / anirdeśyam agrahyam arūpam ca yadasti tasya svabhāvaḥ kīdṛśaḥ?	arUpam ca / anirdeSyam agrahyam arUpam ca yat asti tasya svaBAvaH kIdRSaH?
   tathā āryaratnakūṭe yathoktam  "kāśyapa! cittaṃ tu parigaveṣyamāṇaṃ na	taTA Arya ratna kUwe yaTA uktam "kASyapa! cittam tu parigavezyamANam na
   labhyate / yanna labdhaṃ tanna ālambyate yacca nālambyate / tannātītam,	laByate / yat na labDam tat naH Alambyate yat ca na Alambyate / tat na atItam,
   nānāgatam, na ca pratyutpannam /" iti vistaraḥ / tad evaṃ parīkṣyamāṇe	na anAgatam, na ca pratyutpannam /" iti vistaraH / tat evam parIkzyamANe
   cittasya ādiṃ na samanupasyati, antaṃ na samanupaśyati madhyaṃ na	cittasya Adim na samanupasyati, antam na samanupaSyati maDyam na
   samanupaśyati /	samanupaSyati /
   yathā ca cittam anantamadhyaṃ tathā sarvadharmānapi anantamadhyam	yaTA ca cittam ananta maDyam taTA sarva DarmAn api ananta maDyam
   avagacchet / tena tadevaṃ cittam anantamadhyam avagamya kimapi	avagacCet / tena tat evam cittam ananta maDyam avagamya kim api
   cittasvabhāvaṃ nopalabhate / yadapi cittaṃ parīkṣyate tadapi śūnyaṃ	citta svaBAvam na upalaBate / yat api cittam parIkzyate tat api SUnyam
   pratividhyati / tatpratividhyamāne cittaviṭhapanāsvabhāvaṃ	prativiDyati / tad prativiDyamAne citta viWapana asvaBAvam
   rūpādisvabhāvamapi na samanupaśyati / tena tathā prajñayā	rUpa Adi svaBAvam api na samanupaSyati / tena taTA prajQayA
   sarvadharmasvabhāvasya asamanudarśanatvād rūpaṃ nityam anityaṃ vā, śūnyam	sarva Darma svaBAvasya asamanudarSana tvAt rUpam nityam anityam vA, SUnyam
   aśūnyaṃ vā, sāsravam anāsravaṃ vā, utpannam anutpannaṃ vā, bhāvo 'bhāvo	aSUnyam vA, sa Asravam anAsravam vA, utpannam anutpannam vA, BAvaH aBAvaH 
   vetī na vikalpayati / yathā rūpaṃ na vikalpayati tathā	vetI na vikalpayati / yaTA rUpam na vikalpayati taTA
   vedanāsaṃjñāsaṃskāravijñāneṣvapi na vikalpayati / asiddhe dharmiṇi tasya	vedanA saMjQA saMskAra vijQAnezu api na vikalpayati / asidDe DarmiNi tasya
   viśeṣaṇānāmapi asiddhatvāt, tatra kathaṃ vikalpayet / tad evaṃ prajñayā	viSezaNAnAm api asidDa tvAt, tatra kaTam vikalpayet / tat evam prajQayA
   parīkṣyamāṇo (Bhk 213) yadā yoginā kasyacid vastunaḥ	parIkzyamANaH (Bhj 213) yadA yoginA kasyacid vastunaH
   svabhāvaparamārthaniścayo na gṛhyate, tadā nirvikalpasamādhau praviśati /	svaBAva parama arTa niScayaH na gRhyate, tadA nirvikalpa samADO praviSati /
   sarvadharmaniḥsvabhāvatā api avagamyate /	sarva Darma niHsvaBAva tA api avagamyate /
   yaḥ prajñayā vastusvabhāvaṃ pratyavekṣya na bhāvayan,	yaH prajQayA vastu svaBAvam pratyavekzya na BAvayan,
   manasikāraparihāramātraṃ bhāvayati, tasya vikalpaḥ kadāpi na nivartate, na	manasikAra parihAra mAtram BAvayati, tasya vikalpaH kadApi na nivartate, na
   ca niḥsvabhāvatāvabodho 'pi bhaviṣyati, prajñālokābhāvāt / evaṃ	ca niHsvaBAva tA avaboDaH api Bavizyati, prajQA loka aBAvAt / evam
   samyakpratyavekṣaṇāt samyagyathāvajjñānāgnibhāve 'raṇimanthanāgnivat	samyak pratyavekzaNAt samyak yaTAvat jQAna agni BAve araNi manTana agni vat 
   kalpanāvṛkṣo dahyate iti bhagavatā uktam /	kalpanA vRkzaH dahyate iti BagavatA uktam /
   tathā uktam āryaratnameghe  "sa evam apakṣālakuśalaḥ sarvaprapañcavigamāya	taTA uktam Arya ratna meGe "saH evam apakzAla kuSalaH sarva prapaQca vigamAya
   śūnyatābhāvanāya yogamāpadyate / sa śūnyatābhāvanabahulo yeṣu yeṣu	SUnyatA BAvanAya yogam Apadyate / sa SUnyatA BAvana bahulaH yezu yezu
   sthāneṣu cittaṃ prasarati, cittamabhiramate, tāni tāni sthānāni	sTAnezu cittam prasarati, cittam aBiramate, tAni tAni sTAnAni
   svabhāvataḥ parigaveṣamāṇaḥ śūnyaṃ pratividhyati / yat cittaṃ tadapi	svaBAvataH parigavezamANaH SUnyam prativiDyati / yat cittam tat api
   parīkṣamāṇaḥ śūnyaṃ pratividhyati, yenāpi cittena parīkṣate tad api	parIkzamANaH SUnyam prativiDyati, yena api cittena parIkzate tat api
   svabhāvataḥ śūnyaṃ parigaveṣyamāṇaṃ pratividhyati / sa evam upaparīkṣamāṇo	svaBAvataH SUnyam parigavezyamANam prativiDyati / saH evam upaparIkzamANaH 
   nirnimittatāyāṃ yogamāpadyate /" iti bhavati / anena tu	nirnimitta tAyAm yogam Apadyate /" iti Bavati / anena tu
   paryavekṣaṇapūrvagāmitāyāḥ nirnimittatāpraveśaṃ darśayati /	paryavekzaNa pUrva gAmitAyAH nirnimitta tA praveSam darSayati /
   manasikāraparihāramātram, prajñayā vastusvabhāvatāṃ ca avicārya,	manasikAra parihAra mAtram, prajQayA vastu svaBAva tAm ca avicArya,
   avikalpatāpraveśam asaṃbhāvya, atisphuṭataraṃ darśayati / tathā tayā	avikalpa tA praveSam asaMBAvya, ati sPuwataram darSayati / taTA tayA
   prajñayā rūpādivastusvabhāvaṃ samyag yathāvat parīkṣya dhyāyati, rūpādau	prajQayA rUpa Adi vastu svaBAvam samyak yaTAvat parIkzya DyAyati, rUpa AdO
   sthitvā dhyānaṃ na karoti / ihalokaparalokayormadhye sthitvā dhyānaṃ na	sTitvA DyAnam na karoti / ihaloka para lokayoH maDye sTitvA DyAnam na
   karoti, tadrūpādyanupalambhāt / tasmād apratiṣṭhitadhyāna iti ucyate /	karoti, tad rUpa Adi anupalamBAt / tasmAt apratizWita DyAnaH iti ucyate /
   prajñayā skalavastusvabhāvatāṃ prativīkṣya yasmād anupalambhaṃ dhyāyati 	prajQayA skala vastu svaBAva tAm prativIkzya yasmAt anupalamBam DyAyati 
   tasmāt prajñottaradhyāyī iti ucyate / āryagaganagañja āryaratnacūḍādiṣu	tasmAt prajQA uttara DyAyI iti ucyate / Arya gagana gaQja  Arya ratna cUxa Adizu
   yathā nirdiṣṭam /	yaTA nirdizwam /
   sa evaṃ pudgaladharmanairātmyamayaṃ tattvamavatīrṇaḥ, aparasya	saH evam pudgala Darma nErAtmya mayam tattvam avatIrNaH, aparasya
   parīkṣaṇīyasya darśanīyasya ca abhāvād uparatam,	parIkzaNIyasya darSanIyasya ca aBAvAt uparatam,
   vitarka vicāra anabhilāpyaikarasena manasā svarasavāhinā	vitarka  vicAra anaBilApya eka rasena manasA svarasa vAhinA
   anabhisaṃskāratastattvameva (Bhk 214) sphuṭataraṃ bhāvayan tiṣṭhet / tatra	anaBisaMskArataH tattvam eva (Bhj 214) sPuwataram BAvayan tizWet / tatra
   ca sthitaścittasaṃtānaṃ na vikṣipet / yadāntarā rāgādīnāṃ cittaṃ bahirdhā	ca sTitaH citta saMtAnam na vikzipet / yadA antarA rAga AdInAm cittam bahirDA
   vikṣapet tadā vikṣepaṃ viditvā śighram aśubhabhāvanādivikṣepam upaśamya	vikzapet tadA vikzepam viditvA SiGram aSuBa BAvana Adi vikzepam upaSamya
   śīghraṃ tathatāyāṃ cittam uparyupari praveśayet / yadā tu tatrānabhirataṃ	SIGram taTatAyAm cittam upari upari praveSayet / yadA tu tatra anaBiratam
   cittaṃ paśyet, tadā samādherguṇadarśanād abhiratiṃ tatra bhāvayet /	cittam paSyet, tadA samADeH guNa darSanAt aBiratim tatra BAvayet /
   vikṣepe ca doṣadarśanād aratiṃ praśamayet / atha styānamiddhābhibhavād	vikzepe ca doza darSanAt aratim praSamayet / aTa styAnam idDa aBiBavAt 
   yadā sphuṭapracāratayā līnaṃ cittaṃ paśyet, layābhiśaṅkitaṃ vā tadā	yadA sPuwa pracAra tayA lInam cittam paSyet, laya aBiSaFkitam vA tadA
   pūrvavat pramodyavastu manasikāreṇa śīghraṃ layamupaśamayet / punaḥ tad	pUrvavat pramodya vastu manasikAreNa SIGram layam upaSamayet / punar tat 
   eva tattvālambanam atidṛḍhataraṃ gṛṇhīyāt / yadi tadā	eva tattva Alambanam ati dRXataram gRNhIyAt / yadi tadA
   pūrvahasitaramitānyanusmṛtya cittamantarā samṛddhataṃ paśyed	pUrva hasita ramitAni anusmRtya cittam antarA samRdDatam paSyet 
   auddhatyābhiśaṅkitaṃ vā tadā anityatādisaṃvegavastumanasikārād vikṣepaṃ	OdDatya aBiSaFkitam vA tadA anitya tA Adi saMvega vastu manasikArAt vikzepam
   śamayet / tataḥ punastatraiva tattve cittānabhisaṃskāravāhitāyāṃ yatnaṃ	Samayet / tatas punar tatra eva tattve citta anaBisaMskAra vAhitAyAm yatnam
   kurvīta /	kurvIta /
   atha yadā layauddhatyābhyāṃ viviktatayā samapravṛttaṃ	aTa yadA laya OdDatyAByAm vivikta tayA sama pravRttam
   svarasavāhisphuṭataraṃ tatraiva tattve cittaṃ utpādayate, tadā	svarasa vAhi sPuwataram tatra eva tattve cittam utpAdayate, tadA
   bhogaśithilīkaraṇād upekṣaṇiyam / yadi samapravṛtte citte sati ābhogaḥ	Boga SiTilIkaraNAt upekzaNiyam / yadi sama pravRtte citte sati ABogaH
   kriyate, tadā cittaṃ vikṣepyate / līne 'pi citte sati, yadyābhogo na	kriyate, tadA cittam vikzepyate / lIne api citte sati, yadi ABogaH na
   kriyate, tadā atilīnatvād vipaśyanārahitaṃ, cittaṃ ca jātyandhavad	kriyate, tadA ati lIna tvAt vipaSyanA rahitan, cittam ca jAti anDa vat 
   bhaviṣyati / tasmāccitte līne sati bhogaṃ kuvīta / samapravṛtte sati	Bavizyati / tasmAt citte lIne sati Bogam kuvIta / sama pravRtte sati
