   Kalpadrumāvadānamālāyāṃ	Kalpadruma-avadAna-mAlAyAm
   bhūtadoṣāṇy abhijñāya balipūjāvidhānataḥ /	BUta-dozANi aBijQAya bali-pUjA-viDAnataH /
   śamayanti ca ye bhūtān bhautikās te 'pi mānavāḥ // KDA_184 //	Samayanti ca ye BUtAn BOtikAH te api mAnavAH // KDA_184 //
   evaṃ cānye 'pi ye satvā yad yat karmānucāriṇaḥ /	evam ca-anye api ye satvAH yat yat karma-anucAriNaH /
   tat tat karmānuśīlena jātidharmapravṛttikāḥ // KDA_185 //	tat tat karma-anuSIlena jAti-Darma-pravRttikAH // KDA_185 //
   tato ye mānavāḥ krūrā nirdayāḥ satvahiṃsakāḥ /	tatas ye mAnavAH krUrAH nirdayAH satva-hiMsakAH /
   caṇḍavṛttipracārāś ca caṇḍālā iti te smṛtāḥ // KDA_186 //	caNxa-vRtti-pracArAH ca caNxAlAH iti te smRtAH // KDA_186 //
   ye bhajanti śivaṃ nityaṃ śivabhaktiparāyaṇāḥ /	ye Bajanti Sivam nityam Siva-Bakti-parAyaNAH /
   te śaivā manujā jñeyāḥ śivadharmānucārataḥ // KDA_187 //	te SEvAH manujAH jQeyAH Siva-Darma-anucArataH // KDA_187 //
   ye bhajanti viṣṇuṃ nityaṃ viṣṇubhaktiparāyaṇāḥ /	ye Bajanti vizNum nityam vizNu-Bakti-parAyaNAH /
   viṣṇudharmasamācārād vaiṣṇavās te 'pi mānavāḥ // KDA_188 //	vizNuDarma-samAcArAt vEzNavAH te api mAnavAH // KDA_188 //
   brahmāṇaṃ ye bhajayanty eva brahmabhaktiparāyaṇāḥ /	brahmANam ye Bajayanti eva brahma-Bakti-parAyaNAH /
   brahmadharmasamācārād brāhmaṇās te 'pi mānavāḥ // KDA_189 //	brahma-Darma-samAcArAt brAhmaNAH te api mAnavAH // KDA_189 //
   ye bhajanti mahāraudraṃ bhairavabhaktimānasāḥ /	ye Bajanti mahA-rOdram BErava-Bakti-mAnasAH /
   mahāraudrāś ca te khyātā bhairavikāś ca mānavāḥ // KDA_190 //	mahA-rOdrAH ca te KyAtAH BEravikAH ca mAnavAH // KDA_190 //
   ye ca māheśvarīṃ devīṃ bhajanti kuladharmiṇaḥ /	ye ca mAheSvarIm devIm Bajanti kula-DarmiNaH /
   māheśvarīvratādhārāḥ kālikās te 'pi mānavāḥ // KDA_191 //	mAheSvarI-vrata-ADArAH kAlikAH te api mAnavAH // KDA_191 //
   yee bhajanti sadā buddhaṃ bauddhadharmaparāyaṇāḥ /	yee Bajanti sadA budDam bOdDa-Darma-parAyaNAH /
   te 'pi ca mānavā bauddhāḥ saṃbodhipadasādhinaḥ // KDA_192 //	te api ca mAnavAH bOdDAH saMboDi-pada-sADinaH // KDA_192 //
   ye bhajanti jinaṃ caiva jainadharmaparāyaṇāḥ /	ye Bajanti jinam ca-eva jEna-Darma-parAyaNAH /
   te 'pi ca manujā jainā jainadharmānucāraṇāt* // KDA_193 //	te api ca manujAH jEnAH jEna-Darma-anucAraNa-at* // KDA_193 //
   evaṃ cānye 'pi ye satvā vratacaryānuliṅginaḥ /	evam ca-anye api ye satvAH vrata-caryA-anuliFginaH /
   te 'pi ca mānavāḥ sarve dharmacaryānuvarṇinaḥ // KDA_194 //	te api ca mAnavAH sarve Darma-caryA-anuvarNinaH // KDA_194 //
   yādṛśaṃ sādhyate karma tādṛśī jātitā bhavet* /	yAdRSam sADyate karma tAdRSI jAtitAH Bavet* /
   prajāpatir hi caikatve nirviśeṣo 'bhavad yataḥ // KDA_195 //	prajApatiH hi ca-eka-tve nirviSezaH aBavat yatas // KDA_195 //
   na cendriyeṣu nānātvaṃ kriyāvādena dṛśyate /	na ca-indriyezu nAnAtvam kriyA-vAdena dRSyate /
   brāhmaṇe cānyajātau vā naiṣāṃ kiṃcid viśiṣyate // KDA_196 //	brAhmaNe ca-anya-jAtO vA na-ezAm kiMcid viSizyate // KDA_196 //
   na hy ātmanaḥ samutkarṣāc chreṣṭhatvam iha yujyate /	na hi AtmanaH samutkarzAt SrezWa-tvam iha yujyate /
   śukraśoṇitasaṃbhūtaṃ yonijaṃ sarvam eva hi // KDA_197 //	Sukra-SoNita-saMBUtam yoni-jam sarvam eva hi // KDA_197 //
   cāturvarṇyam idaṃ lokam iti tīrthyair vikalpitam* /	cAturvarNyam idam lokam iti tIrTyEH vikalpitam* /
   brahmajā brāhmaṇā naivaṃ dharmasaṃskārajāḥ khalu // KDA_198 //	brahma-jAH brAhmaNAH na-evam Darma-saMskAra-jAH Kalu // KDA_198 //
   yadi vā brahmajā viprā brāhmaṇī kutra saṃbhavā /	yadi vA brahma-jA viprAH brAhmaNI kutra saMBavAH /
   brāhmaṇy api tathā caiva brahmajā yadi sāṃpratam* // KDA_199 //	brAhmaNI api taTA ca-eva brahma-jAH yadi sAMpratam* // KDA_199 //
   -------------------- Vaidya, p. 278 --------------------	------------------- VEdya, p. 278 --------------------
   brāhmaṇasya ca sā bhāryā syāc caivedaṃ na yuktitaḥ /	brAhmaNasya ca sA BAryA syAt ca-eva-idam na yuktitaH /
   na bhāryā bhaginī yuktā brahmaṇāṃ brahmajā yadi // KDA_200 //	na BAryA BaginI yuktAH brahmaNAm brahma-jAH yadi // KDA_200 //
   na satvā brahmaṇo jātāḥ karmasaṃskārajās tvamī /	na satvAH brahmaNaH jAtAH karma-saMskAra-jAH tu-amI /
   nihīnotkṛṣṭamadhyāś ca satvā nānāśrayāḥ pṛthak* // KDA_201 //	nihIna-utkRzwa-maDyAH ca satvAH nAnA-ASrayAH pRTak* // KDA_201 //
   teṣāṃ hi jātisāmānyād brāhmaṇe kṣatriye tathā /	tezAm hi jAti-sAmAnyAt brAhmaNe kzatriye taTA /
   vaiśyaśūdre tathānyeṣu samaṃ jñānaṃ pravartate // KDA_202 //	vESya-SUdre taTA-anyezu samam jQAnam pravartate // KDA_202 //
   śīlaṃ pradhānaṃ na kulaṃ pradhānaṃ kulena kiṃ śīlavivarjitena /	SIlam praDAnam na kulam praDAnam kulena kim SIla-vivarjitena /
   bahavo narā nīcakulaprasūtāḥ svargaṃ gatāḥ śīlam upetya dhīrāḥ // KDA_203	bahavaH narAH nIca-kula-prasUtAH svargam gatAH SIlam upetya DIrAH // KDA_203
   na jātir dṛśyate devaiḥ śīlaḥ kalyāṇakārakaḥ /	na jAtiH dRSyate devEH SIlaH kalyANa-kArakaH /
   caṇḍālo 'pi hi śīlasthas taṃ devā brāhmaṇaṃ viduḥ // KDA_204 //	caNxAlaH api hi SIla-sTaH tam devAH brAhmaNam viduH // KDA_204 //
   satyaṃ brahma tapo brahma śīlaś cendriyasaṃyamaḥ /	satyam brahma tapaH brahma SIlaH ca-indriya-saMyamaH /
   sarvabhūtadayā brahma etad brāhmaṇalakṣaṇam* // KDA_205 //	sarva-BUta-dayA brahma etat brAhmaNa-lakzaNam* // KDA_205 //
   satyaṃ nāsti tapo nāsti nāsti cendriyasaṃyamaḥ /	satyam na-asti tapaH na-asti na-asti ca-indriya-saMyamaH /
   sarvabhūtadayā nāsti etac caṇḍālalakṣaṇam* // KDA_206 //	sarva-BUta-dayA na-asti etat caNxAla-lakzaNam* // KDA_206 //
   devamanuṣyanārīṇāṃ tiryagyonigateṣv api /	deva-manuzya-nArINAm tiryagyoni-gatezu api /
   maithunaṃ nādhigacchanti te narā brāhmaṇāḥ khalu // KDA_207 //	mETunam na-aDigacCanti te narAH brAhmaNAH Kalu // KDA_207 //
   śūdrīhastena yo bhuṅkte māsam ekaṃ nirantaram* /	SUdrI-hastena yaH BuFkte mAsam ekam nirantaram* /
   jīvamāno bhavec chūdro mṛtaḥ sa śvā prajāyate // KDA_207 //	jIvamAnaH Bavet SUdraH mRtaH sa SvA prajAyate // KDA_207 //
   śūdrīparivṛto vipraḥ śūdrī ca gṛhamedhinī /	SUdrI-parivRtaH vipraH SUdrI ca gRhameDinI /
   varjitaḥ pitṛdevaiś ca rauravaṃ so 'dhigacchati // KDA_208 //	varjitaH pitR-devEH ca rOravam saH aDigacCati // KDA_208 //
   tasmād dharmatapaḥśīla- saṃyamajñānato dvijaḥ /	tasmAt Darma-tapaH-SIla saMyama-jQAnataH dvijaH /
   na tv etair hi vinā vipraḥ kiṃ syāt saṃskāramātrataḥ // KDA_210 //	na tu etEH hi vinA vipraH kim syAt saMskAra-mAtrataH // KDA_210 //
   tan na śarīrasaṃskāra- mātreṇa brāhmaṇo bhavet* /	tat na SarIra-saMskAra mAtreNa brAhmaNaH Bavet* /
   saṃskṛtena dvijo vā cec chūdro 'pi saṃskṛto dvijaḥ // KDA_211 //	saMskRtena dvijaH vA ced SUdraH api saMskRtaH dvijaH // KDA_211 //
   yadi vipraḥ śarīraḥ syāt pāvako brahmahā bhavet* /	yadi vipraH SarIraH syAt pAvakaH brahma-hA Bavet* /
   brahmahatyā ca bandhūnāṃ śarīradahanād bhavet* // KDA_212 //	brahmahatyA ca banDUnAm SarIra-dahanAt Bavet* // KDA_212 //
   brāhmaṇabījasaṃbhūtaḥ śūdro 'pi na kathaṃ dvijaḥ /	brAhmaNa-bIja-saMBUtaH SUdraH api na kaTam dvijaH /
   tasmād dhi brāhmaṇo naiva dehasaṃskāramātrataḥ // KDA_123 //	tasmAt Di brAhmaNaH na-eva deha-saMskAra-mAtrataH // KDA_123 //
   sadyaḥ patati māṃsena dhātvannakṣiravikrayī /	sadyas patati mAMsena DAtu-annakzira-vikrayI /
   brāhmaṇo 'pi bhavec chūdraḥ surayā lavaṇena ca // KDA_214 //	brAhmaNaH api Bavet SUdraH surayA lavaNena ca // KDA_214 //
   ākāśagāmino priyāḥ patitā māṃsabhakṣaṇāt* /	AkASa-gAminaH priyAH patitAH mAMsa-BakzaNa-at* /
   viprāṇāṃ patanaṃ dṛṣṭvā tato māṃsāni varjayet // KDA_215 //	viprANAm patanam dRzwvA tatas mAMsAni varjayet // KDA_215 //
   -------------------- Vaidya, p. 279 --------------------	------------------- VEdya, p. 279 --------------------
   bhakṣyante yena māṃsāni bhakṣyate tena kiṃ na hi /	Bakzyante yena mAMsAni Bakzyate tena kim na hi /
   abhakṣyabhakṣaṇāc caiva brāhmaṇaḥ patito bhavet* // KDA_216 //	aBakzya-BakzaNAt ca-eva brAhmaNaH patitaH Bavet* // KDA_216 //
   patito brāhmaṇaś caivaṃ saṃskāraṃ nārhati punaḥ /	patitaH brAhmaNaH ca-evam saMskAram na-arhati punar /
   tasmāj jñānaṃ vinā naiva śarīro brāhmaṇo bhavet* // KDA_217 //	tasmAt jQAnam vinA na-eva SarIraH brAhmaNaH Bavet* // KDA_217 //
   jñānavān hi bhavet pūjyo brāhmaṇā api mānavāḥ /	jQAnavAn hi Bavet pUjyaH brAhmaNAH api mAnavAH /
   samāneṣu ca deheṣu kutrāpy asti viśeṣatā // KDA_218 //	samAnezu ca dehezu kutra-api asti viSeza-tA // KDA_218 //
   tasmāj jñānapramāṇena na śarīrapramāṇatā /	tasmAt jQAna-pramANena na SarIra-pramANa-tA /
   yathā karoti bhāṇdāni mṛttikayaiva bhārgavaḥ // KDA_219 //	yaTA karoti BANdAni mRttikayA-eva BArgavaH // KDA_219 //
   mṛttikāyā na bhedo 'sti tatkṛtabhājaneṣv api /	mRttikAyAH na BedaH asti tad-kRta-BAjanezu api /
   kiṃ tu prakṣiptavastūnāṃ saṃjñayākhyāyate khalu // KDA_220 //	kim tu prakzipta-vastUnAm saMjQayA-AKyAyate Kalu // KDA_220 //
   prakṣiptaṃ yatra yad dravyaṃ tad bhāṇḍaṃ tena lakṣyate /	prakziptam yatra yat dravyam tat BANxam tena lakzyate /
   jñānadharmaguṇācārair lakṣyate mānavas tathā // KDA_221 //	jQAna-Darma-guNa-AcArEH lakzyate mAnavaH taTA // KDA_221 //
   jñānadharmaguṇācārair vihīno mānavaḥ paśuḥ /	jQAna-Darma-guNa-AcArEH vihInaH mAnavaH paSuH /
   jñānavijñānabhedena vartate guṇabhedatā // KDA_222 //	jQAna-vijQAna-Bedena vartate guNa-Beda-tA // KDA_222 //
   guṇabhedād bhaved dharma- bhedā ca saṃprajāyate /	guNa-BedAt Bavet Darma BedA ca saMprajAyate /
   dharmabhedāt tataḥ karma- bhedatā saṃpravartate // KDA_223 //	Darma-BedAt tatas karma Beda-tA saMpravartate // KDA_223 //
   karmabhedāt tathācāra- bhedatā ca pravartate /	karma-BedAt taTA-AcAra Beda-tA ca pravartate /
   tathācāraviśeṣeṇa jātibhedāḥ pravartitāḥ // KDA_224 //	taTA-AcAra-viSezeNa jAti-BedAH pravartitAH // KDA_224 //
   mahābhūtasamudbhūta- skandheṣv āyataneṣu ca /	mahABUta-samudBUta skanDezu Ayatanezu ca /
   sarvajantuśarīreṣu sameṣu kā viśeṣatā // KDA_225 //	sarva-jantu-SarIrezu samezu kA viSeza-tA // KDA_225 //
   jñānavijñānamātreṇa bhidyante khalu mānavāḥ /	jQAna-vijQAna-mAtreNa Bidyante Kalu mAnavAH /
   jñānavijñānapātratvāt pūjyante nīcajā api // KDA_226 //	jQAna-vijQAna-pAtra-tvAt pUjyante nIca-jAH api // KDA_226 //
   jñānavijñānahīnatvān mānavo 'pi na pūjyate /	jQAna-vijQAna-hIna-tvAt mAnavaH api na pUjyate /
   paśuvatsa narākāraḥ tataḥ pūjā na cākṛteḥ // KDA_227 //	paSu-vat-sa nara-AkAraH tatas pUjA na ca-AkRteH // KDA_227 //
   jñānenāpi dvijo naiva karmācārapramāṇataḥ /	jQAnena-api dvijaH na-eva karma-AcAra-pramANataH /
   jñānena yadi vā vipraḥ śūdro 'pi brāhmaṇo bhavet* // KDA_228 //	jQAnena yadi vA vipraH SUdraH api brAhmaNaH Bavet* // KDA_228 //
   anye 'pi bahavaḥ santi sakaivartādinīcajāḥ /	anye api bahavaH santi sa-kEvarta-Adi-nIca-jAH /
   jñānavantaś ca ye dhīrās te 'pi syur brāhmaṇāḥ khalu // KDA_229 //	jQAnavantaH ca ye DIrAH te api syuH brAhmaNAH Kalu // KDA_229 //
   tamāc ca jñānamātreṇa brāhmaṇo na bhavet khalu /	tamAt ca jQAna-mAtreNa brAhmaNaH na Bavet Kalu /
   karmācārapramāṇena na jñānasya pramāṇatā // KDA_230 //	karma-AcAra-pramANena na jQAnasya pramANatA // KDA_230 //
   karmaṇāpi dvijo naiva śuddhācārapramāṇataḥ /	karmaNA-api dvijaH na-eva SudDa-AcAra-pramANataH /
   karmaṇā vai dvijāś caivaṃ sarve syur brāhmaṇāḥ khalu // KDA_231 //	karmaNA vE dvijAH ca-evam sarve syuH brAhmaNAH Kalu // KDA_231 //
   -------------------- Vaidya, p. 280 --------------------	------------------- VEdya, p. 280 --------------------
   santi hi bahavo loke mahāyajñādikarmiṇaḥ /	santi hi bahavaH loke mahA-yajQa-Adi-karmiNaH /
   kṣatriyavaiśyaśūdrāś ca kathaṃ na brāhmaṇā nu te // KDA_232 //	kzatriya-vESya-SUdrAH ca kaTam na brAhmaNAH nu te // KDA_232 //
   tasmān na karmamātreṇa brāhmaṇāḥ syur narāḥ khalu /	tasmAt na karma-mAtreNa brAhmaNAH syuH narAH Kalu /
   nāpi svācāramātreṇa brāhmaṇāḥ syus tathā narāḥ // KDA_233 //	na-api su-AcAra-mAtreNa brAhmaNAH syuH taTA narAH // KDA_233 //
   yadi svācārato vipraḥ sarve syur brāhmaṇāḥ khalu /	yadi su-AcArataH vipraH sarve syuH brAhmaNAH Kalu /
   ye ye svācāravantaś ca te te syur brāhmaṇāḥ kila // KDA_234 //	ye ye su-AcAravantaH ca te te syuH brAhmaNAH kila // KDA_234 //
   santi ca bahavaḥ śūdrāḥ śuddhācārasamanvitāḥ /	santi ca bahavaH SUdrAH SudDa-AcAra-samanvitAH /
   vratopavāsadharmiṣṭā nīcajā api santi ca // KDA_235 //	vrata-upavAsa-DarmizwAH nIca-jAH api santi ca // KDA_235 //
   te 'pi syur brāhmaṇāś caivaṃ yady ācārapramāṇatā /	te api syuH brAhmaNAH ca-evam yadi AcAra-pramANa-tA /
   tasmād ācāramātreṇa brāhmaṇā naiva mānuṣāḥ // KDA_236 //	tasmAt AcAra-mAtreNa brAhmaNAH na-eva mAnuzAH // KDA_236 //
   vedenāpi tathā naiva brāhmaṇāḥ syur narottamāḥ /	vedena-api taTA na-eva brAhmaNAH syuH nara-uttamAH /
   yadi vedair bhaved vipro rākṣaso 'pi dvijaḥ khalu // KDA_237 //	yadi vedEH Bavet vipraH rAkzasaH api dvijaH Kalu // KDA_237 //
   tathābhūd rāvaṇo nāma rākṣaso vedapāragaḥ /	taTA-aBUt rAvaNaH nAma rAkzasaH vedapAragaH /
   sarve 'pi rākṣasāś caivaṃ vedakarmānucārakāḥ // KDA_238 //	sarve api rAkzasAH ca-evam veda-karma-anucArakAH // KDA_238 //
   kathaṃ te brāhmaṇā naiva yadi vedād dvijo bhavet* /	kaTam te brAhmaNAH na-eva yadi vedAt dvijaH Bavet* /
   tasmāc ca vedamātreṇa naiva syur brāhmaṇāḥ khalu // KDA_230 //	tasmAt ca veda-mAtreNa na-eva syuH brAhmaNAH Kalu // KDA_230 //
   satyadharmapramāṇena sarvam ekaṃ jagad dhruvam* /	satya-Darma-pramANena sarvam ekam jagat Druvam* /
   cāturvarṇyam idaṃ lokaṃ tīrthikair iti kalpitam* // KDA_240 //	cAturvarNyam idam lokam tIrTikEH iti kalpitam* // KDA_240 //
   tathā ca kalpyate loka- bodhārtham iti tīrthikaiḥ /	taTA ca kalpyate loka boDa-arTam iti tIrTikEH /
   svayaṃbhūdehasaṃbhūtaṃ cāturvarṇyam idaṃ khalu // KDA_241 //	svayaMBU-deha-saMBUtam cAturvarNyam idam Kalu // KDA_241 //
   mukhato brāhmaṇo jāto bāhubhyāṃ kṣatriyaḥ smṛtaḥ /	muKataH brAhmaNaH jAtaH bAhuByAm kzatriyaH smRtaH /
   ūrubhyāṃ saṃbhavo vaiśyaḥ padbhyāṃ śūdraḥ samudbhavaḥ // KDA_242 //	UruByAm saMBavaH vESyaH padByAm SUdraH samudBavaH // KDA_242 //
   tathā ced dhi bhaved doṣo dharmeṣu varṇavādinām* /	taTA ced Di Bavet dozaH Darmezu varNa-vAdi-nAm* /
   agamyagamanāc caivaṃ kathaṃ dharmaviśuddhitā // KDA_243 //	agamya-gamanAt ca-evam kaTam Darma-viSudDi-tA // KDA_243 //
   yadi vipro mukhāj jāto brāhmaṇī kutra saṃbhavā /	yadi vipraH muKAt jAtaH brAhmaNI kutra saMBavAH /
   brāhmaṇy api mukhāj jātā svasā bhāryā kathaṃ nanu // KDA_244 //	brAhmaNI api muKAt jAtA svasA BAryA kaTam nanu // KDA_244 //
   tathā ca kṣatriyā jātā bāhubhyām eva cet tathā /	taTA ca kzatriyAH jAtAH bAhuByAm eva ced taTA /
   kṣatriyasya bhaved bhāryā kṣatriyā bhaginī khalu // KDA_245 //	kzatriyasya Bavet BAryA kzatriyA BaginI Kalu // KDA_245 //
   vaiśyāpi hi tathā caivam ūrubhyām eva saṃbhavā /	vESyA-api hi taTA ca-evam UruByAm eva saMBavAH /
   vaiśyasyāpi bhaved bhāryā vaiśyā tu bhaginī viśaḥ // KDA_246 //	vESyasya-api Bavet BAryA vESyA tu BaginI viSaH // KDA_246 //
   padbhyāṃ jāto yathā śūdraḥ śūdrī cāpi tathodbhavā /	padByAm jAtaH yaTA SUdraH SUdrI ca-api taTA-udBavAH /
   śūdrasyāpi bhaved bhāryā śūdrī hi bhaginī khalu // KDA_247 //	SUdrasya-api Bavet BAryA SUdrI hi BaginI Kalu // KDA_247 //
   -------------------- Vaidya, p. 281 --------------------	------------------- VEdya, p. 281 --------------------
   na yuktā bhaginī bhāryā tathā dharmaḥ kathaṃ bhavet* /	na yuktA BaginI BAryA taTA DarmaH kaTam Bavet* /
   agamyagamanāc caivam adharma eva saṃbhavet* // KDA_248 //	agamya-gamanAt ca-evam aDarmaH eva saMBavet* // KDA_248 //
   tato 'tyantaviruddhaṃ syād brahmajā brāhmaṇā yadi /	tatas atyanta-virudDam syAt brahma-jAH brAhmaNAH yadi /
   dharmakriyāviśeṣāt tu varṇāvasthāḥ pratiṣṭhitāḥ // KDA_249 //	Darma-kriyA-viSezAt tu varNa-avasTAH pratizWitAH // KDA_249 //
   bhārate 'pi tathā caivaṃ dharmarājo yudhiṣṭhiraḥ /	BArate api taTA ca-evam DarmarAjaH yuDizWiraH /
   vaiśampāyanam āgamya prāñjaliḥ paryapṛcchata // KDA_250 //	vESampAyanam Agamya prAQjaliH paryapRcCata // KDA_250 //
   ke te ye brāhmaṇāḥ proktāḥ kiṃ vā brāhmaṇalakṣaṇam* /	ke te ye brAhmaNAH proktAH kim vA brAhmaNa-lakzaNam* /
   etad icchāmi bho jñātuṃ tadbhavān vyākarotu me // KDA_251 //	etat icCAmi Bo jQAtum tad-BavAn vyAkarotu me // KDA_251 //
   iti śrutvā mahāvijño vaiśampāyana ādarāt* /	iti SrutvA mahA-vijQaH vESampAyanaH AdarAt* /
   pratyuvāceti kaunteya śṛṇu tat kathyate mayā // KDA_252 //	pratyuvAca-iti kOnteya SRNu tat kaTyate mayA // KDA_252 //
   kṣāntyādibhir guṇair yuktas tyaktadaṇḍo nirāmiṣaḥ /	kzAnti-AdiBiH guNEH yuktaH tyakta-daNxaH nirAmizaH /
   na hanti sarvabhūtāni prathamaṃ brāhmalakṣaṇam* // KDA_253 //	na hanti sarva-BUtAni praTamam brAhma-lakzaNam* // KDA_253 //
   yadā sarvaparadravyaṃ pathi vā yadi vā gṛhe /	yadA sarva-para-dravyam paTi vA yadi vA gRhe /
   adattaṃ naiva gṛhṇāti dvitīyaṃ brāhmalakṣaṇam* // KDA_254 //	adattam na-eva gRhNAti dvitIyam brAhma-lakzaNam* // KDA_254 //
   tyaktakrūrasvabhāvas tu nirmamo niḥparigrahaḥ /	tyakta-krUra-svaBAvaH tu nirmamaH niHparigrahaH /
   muktaś carati yo nityaṃ tṛtīyaṃ brāhmalakṣaṇam* // KDA_255 //	muktaH carati yaH nityam tRtIyam brAhma-lakzaNam* // KDA_255 //
   devamanuṣyanārīṇāṃ tiryagyonigateṣv api /	deva-manuzya-nArINAm tiryagyoni-gatezu api /
   maithunaṃ hi sadā tyaktaṃ caturthaṃ brāhmalakṣaṇam* // KDA_256 //	mETunam hi sadA tyaktam caturTam brAhma-lakzaNam* // KDA_256 //
   satyaṃ śaucaṃ dayā śaucaṃ śaucam indriyanigrahaḥ /	satyam SOcam dayA SOcam SOcam indriya-nigrahaH /
   sarvabhūtadayā śaucaṃ tapaḥ śaucaṃ ca pañcamam* // KDA_257 //	sarva-BUta-dayA SOcam tapaH SOcam ca paQcamam* // KDA_257 //
   pañcalakṣaṇasaṃpanna īdṛśo yo bhaved dvijaḥ /	paQca-lakzaNa-saMpannaH IdRSaH yaH Bavet dvijaH /
   tam ahaṃ brāhmaṇaṃ brūyāṃ śeṣāḥ śudrā yudhiṣṭhira // KDA_258 //	tam aham brAhmaNam brUyAm SezAH SudrAH yuDizWira // KDA_258 //
   na kulena na jātyā ca kriyābhir brāhmaṇo na ca /	na kulena na jAtyA ca kriyABiH brAhmaNaH na ca /
   cāṇḍālo 'pi hi vṛttastho brāhmaṇaḥ sa yudhiṣṭhira // KDA_259 //	cANxAlaH api hi vRtta-sTaH brAhmaNaH sa yuDizWira // KDA_259 //
   ahiṃsā brahmacaryaṃ ca viśuddhātmāparigrahaḥ /	ahiMsA brahmacaryam ca viSudDa-Atma-aparigrahaH /
   phaleṣv anabhilipsātha brāhmaṇaḥ syād yudhiṣṭhira // KDA_260 //	Palezu anaBilipsA-aTa brAhmaNaH syAt yuDizWira // KDA_260 //
   ekavarṇam idaṃ viśvaṃ pūrvam āsīd yudhiṣṭhira /	eka-varNam idam viSvam pUrvam AsIt yuDizWira /
   karmakriyāviśeṣeṇa cāturvarṇyaṃ pratiṣṭhitam* // KDA_261 //	karma-kriyA-viSezeNa cAturvarNyam pratizWitam* // KDA_261 //
   sarve vai yonijā martyāḥ sarve mūtrapurīṣiṇaḥ /	sarve vE yoni-jAH martyAH sarve mUtra-purIziNaH /
   ekendriyakriyārthāś ca tasmāc chīlaguṇair dvijāḥ // KDA_262 //	eka-indriya-kriyA-arTAH ca tasmAt SIla-guNEH dvijAH // KDA_262 //
   śūdro 'pi śīlasaṃpanno guṇavān brāhmaṇo bhavet* /	SUdraH api SIla-saMpannaH guNavAn brAhmaNaH Bavet* /
   brāhmaṇo 'pi kriyāhīnaḥ śūdrāt pratyavaro bhavet* // KDA_263 //	brAhmaNaH api kriyA-hInaH SUdrAt pratyavaraH Bavet* // KDA_263 //
   -------------------- Vaidya, p. 282 --------------------	------------------- VEdya, p. 282 --------------------
   pañcendriyārṇavaṃ ghoraṃ yadi śūdro 'pi tīrṇavān* /	paQca-indriya-arNavam Goram yadi SUdraH api tIrNavAn* /
   tasmai dānaṃ pradātavyam aprameyaṃ yudhiṣṭhira // KDA_264 //	tasmE dAnam pradAtavyam aprameyam yuDizWira // KDA_264 //
   na jātir dṛśyate rājan guṇāḥ kalyāṇakārakāḥ /	na jAtiH dRSyate rAjan guNAH kalyANa-kArakAH /
   guṇavidyānidhir vidvān brāhmaṇo brahmacārāṇāt* // KDA_265 //	guNa-vidyA-niDiH vidvAn brAhmaNaH brahmacArANAt* // KDA_265 //
   jīvitaṃ yasya lokārthe dharmārthe yasya jīvitam* /	jIvitam yasya loka-arTe Darma-arTe yasya jIvitam* /
   ahorātraṃ caren muktas taṃ devā brāhmaṇaṃ viduḥ // KDA_266 //	ahorAtram caret muktaH tam devAH brAhmaNam viduH // KDA_266 //
   parityajya gṛhāvāsaṃ ye sthitā mokṣakāṅkṣiṇaḥ /	parityajya gRhAvAsam ye sTitAH mokza-kAFkziNaH /
   kāmeṣv asaktāḥ kaunteya brāhmaṇās te yudhiṣṭhira // KDA_267 //	kAmezu asaktAH kOnteya brAhmaNAH te yuDizWira // KDA_267 //
   ahiṃsā nirmamatvaṃ vā satkṛtyasya vivarjanam* /	ahiMsA nirmama-tvam vA satkRtyasya vivarjanam* /
   rāgadveṣanivṛttiś ca etad brāhmaṇalakṣaṇam* // KDA_268 //	rAga-dveza-nivRttiH ca etat brAhmaNa-lakzaNam* // KDA_268 //
   kṣamā dayā damo dānaṃ satyaṃ śaucaṃ smṛtir ghṛṇā /	kzamA dayA damaH dAnam satyam SOcam smRtiH GRNA /
   vidyā vidyānamādhītyam etad brāhmaṇalakṣaṇam* // KDA_269 //	vidyA vidyAnam-ADItyam etat brAhmaNa-lakzaNam* // KDA_269 //
   gāyatrīmātrasāro 'pi varaṃ vipraḥ suyantritaḥ /	gAyatrI-mAtra-sAraH api varam vipraH su-yantritaH /
   nādhitya caturo vedān sarvāśī sarvavikrayī // KDA_270 //	na-ADitya caturaH vedAn sarva-ASI sarva-vikrayI // KDA_270 //
   ekarātroṣitasyāpi yā gatir brahmacāriṇaḥ /	eka-rAtra-uzitasya-api yA gatiH brahmacAriNaH /
   na tāṃ kratusahasreṇa prāpnuvanti yudhiṣṭhira // KDA_271 //	na tAm kratu-sahasreNa prApnuvanti yuDizWira // KDA_271 //
   pāragaḥ sarvavedānāṃ sarvatīrthābhiṣiñcanaiḥ /	pAragaH sarva-vedAnAm sarva-tIrTa-aBiziQcanEH /
   yuktaś carati dharmaṃ yo taṃ devā brāhmaṇaṃ viduḥ // KDA_272 //	yuktaH carati Darmam yaH tam devAH brAhmaNam viduH // KDA_272 //
   yadā na kurute pāpaṃ sarvabhūteṣu dāruṇam* /	yadA na kurute pApam sarva-BUtezu dAruNam* /
   kāyena manasā vācā brahma saṃpadyate tadā // KDA_273 //	kAyena manasA vAcA brahma saMpadyate tadA // KDA_273 //
