   // tarkatāṇḍavam //	// tarka tANxavam //
   vedāpautve nani) vedāpauruṣeyatvavādaḥ pu   233.	veda apOtve nani) veda apOruzeya tva vAdaH pu  233.
   vakṣyamāṇarītyā pakṣadharmatābalādapauruṣeyaśabdasiddhiḥ //	vakzyamANa rItyA pakza Darma tA balAt apOruzeya Sabda sidDiH //
   apauruṣeyaśabdapramāṇakatvaṃ vā sādhyam / tatra	apOruzeya Sabda pramANaka tvam vA sADyam / tatra
   cendriyaliṅgapauruṣeyaśabdāpramāṇakatve sati sapramāṇakatvaṃ hetuḥ /	ca indriya liFga pOruzeya Sabda apramANaka tve sati sa pramANaka tvam hetuH /
   tātparyaṃ ca tatpramitiśeṣatvamityagre vyaktam / tadviṣa 1 yo	tAtparyam ca tat pramiti Seza tvam iti agre vyaktam / tat viza 1 yaH 
   jyotiṣṭomādirityarthaḥ / sādhye bādhavāraṇāya pauruṣeyetyuktiḥ /	jyotizwoma AdiH iti arTaH / sADye bADa vAraNAya pOruzeya iti uktiH /
   svatantrapuruṣapūrvarakaśabdetyarthaḥ / pauruṣeyetaretyevoktau	svatantra puruza pUrvaraka Sabda iti arTaH / pOruzeya itara iti eva uktO
   yatkiñcitpratyakṣādirūpapauruṣeyetarapramāṇakatvenāpyupapatteḥ /	yat kiQcit pratyakza Adi rUpa pOruzeya itara pramANaka tvena api upapatteH /
   pauruṣeyaśabda 2 sidhyārthāntaravāraṇāya śabdapadam / pauruṣeyaśabdārthe	pOruzeya SabdaH 2 siDyA arTa antara vAraNAya Sabda padam / pOruzeya Sabda arTe
   vyabhicāranirāsāya 3 hetau satyantam / aprayojakatānirāsāya viśeṣyam  	vyaBicAra nirAsAya 3 hetO satyantam / aprayojaka tA nirAsAya viSezyam  
   yathāsaṃmatamiti // śrotrādyapramāṇakatve sati sapramāṇakaṃ rūpaṃ	yaTAsaMmatam iti // Srotra Adya pramANaka tve sati sa pramANakam rUpam
   śrotrādītaracakṣuḥpramāṇakamityarthaḥ //	Srotra Adi itara cakzuH pramANakam iti arTaH //
   nanu pratyakṣādipramāṇakatvenāpi sādhyopapatyārthāntaramityata āha   	nanu pratyakza Adi pramANaka tvena api sADya upapatya arTa antaram iti atas Aha   
   vakṣyamāṇeti // na cātra hetutrayepi viśeṣaṇāsiddhirityādau vakṣyamāṇadiśā	vakzyamANA iti // na ca atra hetu trayepi viSezaNA sidDiH iti AdO vakzyamANa diSA
   pratyakṣānumānāvedye pakṣe uktarūpasapramāṇakaktvākhyahetoḥ	pratyakza anumAna Avedye pakze ukta rUpa sapramANa kaktvA AKya hetoH
   pakṣaniṣṭhatāyā apauruṣeyapramāṇakatvena vinā	pakza nizWatAyAH apOruzeya pramANaka tvena vinA
   paryavasānābhāvāditi bhāvaḥ //	paryavasAna aBAvAt iti BAvaH //
   nanu pakṣadharmatābalādapi sādhyaṃ sidhyat 4	nanu pakza Darma tA balAt api sADyam siDyat 4
   vyāpakatāvacchedakadharmaprakāreṇaiva sidhyati natvanyathā /	vyApaka tAvacCedaka Darma prakAreNa eva siDyati na tu anyaTA /
   atiprasaṅgādasāmarthyācca	atiprasaFgAt asAmarTyAt ca
   / anyathā prāmāṇyābhāvasādhyakamaṇyuktavyatirekikhaṇḍanāyogāditi vadantaṃ	/ anyaTA prAmANya aBAva sADyaka maNI ukta vyatireki KaNxanA yogAt iti vadantam
   pratyāha    apauruṣeyeti //	pratyAha   apOruzeya iti //
   nanvevaṃ prāguktahetorindriyaliṅgaviṣaye vyabhicāra ityata āha    tatra	nanu evam prAc ukta hetoH indriya liFga vizaye vyaBicAraH iti atas Aha   tatra
   ceti // uktarūpasādhya ityarthaḥ / pūrvatrātra ca viśeṣaṇāsiddhinirāsāya	ca iti // ukta rUpa sADyaH iti arTaH / pUrvatra atra ca viSezaNA sidDi nirAsAya
   pauruṣeyetyuktiḥ /	pOruzeya iti uktiH /
   1.yātvajjayo kuṃ. 2.bdāsi mu. 3.hetāviti nāsti mu. 4.pakṣatāva mu.	1.yA tvad jayaH  kuM. 2.bda asi  mu. 3.hetO= iti na asti mu. 4.pakza tA ava mu.
   nyāyadīpayutatarkatāṇḍavam ( pra.paricchedaḥ pu   234.	nyAya dIpa yuta tarka tANxavam ( pra.paricCedaH pu  234.
   pūrvavatsāmānyavyāptiḥ / aprasiddhaviśeṣaṇatā tu vyāptau satyāṃ na doṣaḥ /	pUrvavat sAmAnya vyAptiH / aprasidDa viSezaNa tA tu vyAptO satyAm na dozaH /
   tvanmate abhāvasādhyake 1 vyabhicārekiṇi hetvabhāvena sādhyābhāva 2	tvad mate aBAva sADyake 1 vyaBicArekiNi hetu aBAvena sADya aBAva 2
   rūpasya bhāva 3 sya vyāptigraharūpānumitikaraṇasyevehāpi sādhyaprasiddhiṃ	rUpasya BAvaH 3 sya vyApti graha rUpa anumiti karaNasya iva iha api sADya prasidDim
   vinaiva 4 sāmānyavyāptigraharūsyānumitikaraṇasya niṣpannatvāt //	vinA eva 4 sAmAnya vyApti graha rUsya anumiti karaNasya nizpanna tvAt //
   na ca tanniṣpattāvapi	na ca tad nizpattO= api
   viśeṣaṇajñānarūpasahakārivirahādanumitirūpaviśiṣṭajñānānutpattiriti vācyam	viSezaNa jQAna rUpa sahakAri virahAt anumiti rUpa viSizwa jQAna anutpattiH iti vAcyam
   / manmate tasya viśiṣṭajñānāhetutvāt /	/ mad mate tasya viSizwa jQAna ahetu tvAt /
   "āśrayasādhyavyadhikaraṇāsiddhayo na dūṣaṇam"ityādipramāṇalakṣaṇaṃ hṛdi	"a ASraya sADya vyaDi karaNa asidDayaH na dUzaNam "iti Adi pramANa lakzaNam hRdi
   kṛtvāha    nadoṣa iti //	kRtvA Aha   na dozaH iti //
   sā kiṃ sādhyajñāne	sA kim sADya jQAne
   tannirūpitavyāptigrahāyogādvyāptijñānarūpakaraṇavighaṭakatvena doṣa uta	tad nirUpita vyApti graha ayogAt vyApti jQAna rUpa karaNa viGawaka tvena dozaH uta
   viśiṣṭajñāne viśeṣaṇajñānasya	viSizwa jQAne viSezaNa jQAnasya
   kāraṇatvenānumitirūpaviśiṣṭajñānātpādakatvena sati	kAraNa tvena anumiti rUpa viSizwa jQAnAt pAdaka tvena sati
   vahnitvābhāvavadviśeṣyako na samarthapravṛttijanakatvāditi	vahni tva aBAva vat viSezyakaH na samarTa pravRtti janaka tvAt iti
   vyatirekeṇītyarthaḥ / uktamatatpūrvaṃ paratacastve	vyatirekeNi iti arTaH / uktam atat pUrvam para tacaH tve
   prāmāṇyānumityasambhavavāde //	prAmANya anumiti asamBava vAde //
   dvitīyamāśaṅkya nirāha    na ceti // tasyeti // viśeṣaṇajñānasyetyarthaḥ /	dvitIyam ASaFkya nirAha   na ca iti // tasya iti // viSezaNa jQAnasya iti arTaH /
   upapādayiṣyate caitannirvikalpakabhaṅga iti bhāvaḥ /	upapAdayizyate ca etat nirvikalpaka BaFgaH iti BAvaH /
   paramatepyanumityutpādaprakāramāha   tvanmatepīti //	parama tepI anum iti utpAda prakAram Aha  tvad matepi iti //
   viśeṣaṇajñānahetukatvamatepītyarthaḥ  abhāvasādhyaketi //	viSezaNa jQAna hetuka tvamatepi iti arTaH aBAva sADyaka iti //
   prāguktavyatirekiṇītyarthaḥ//	prAk ukta vyatirekiNI iti arTaH//
   1.kevalavya mu ca. 2.vasya mu ca. 3.rūpa mu ca. 4.sāmānyapadaṃ na  ga.	1.kevala vya mu ca. 2.vasya mu ca. 3.rUpa mu ca. 4. sAmAnya padam na  ga.
   vedāpautve nuni) vedāpauruṣetvavādaḥ pu   235.	veda apOtve nuni) veda apOruzetu avAdaH pu  235.
   tvanmatepyabāvasādhyaka 1 vyatirekiṇīvātrāpyādau sādhyaviśe 2 ṣyikāyā	tvad mata IpyabA= asADyaka 1 vyatirekiNI vAtra api AdO sADya viSe 2 zyikAyAH 
   evānumiteḥ sambhavāt //	eva anumiteH samBavAt //
   yadvā vedatvamapauruṣeyavṛtti / taditarāvṛttitve sati vṛttimatvāt /	yat vA veda tvam apOruzeya vRtti / tad itarAvRtti tve sati vRttimatvAt /
   yadevaṃ tadevaṃ / yathā saṃmatam //	yat evam tat evam / yaTA saMmatam //
   maṇikṛtā jñaptiprāmāṇyavāde"viśeṣaṇajñānaṃ vinā kathaṃ	maNi kRtA jQapti prAmANya vAde" viSezaNa jQAnam vinA kaTam
   prāmāṇyaviśiṣṭānumitiriti cet / prathamaṃ na kathaṃ cijjñāne	prAmANya viSizwa anumitiH iti ced / praTamam na kaTam cit jQAne
   prāmāṇyamityanumityanantaraṃ tenaiva tatreva 3 pramāṇyaviśiṣṭānumitiḥ /	prAmANyam iti anum iti anantaram tena eva tatra iva 3 pramANi aviSizwa anumitiH /
   abhāvaviśeṣyakapratītyanantaramabhāvavadbhūtalamiti jñānavat"ityukteriti	aBAva viSezyaka prati iti anantaram aBAvavat BU talam iti jQAnavat"iti ukteH iti
   bhāvaḥ / abhāvasiddhidoṣahīnaṃ prayogāntaramāha    yadvā vedatvamiti //	BAvaH / aBAva sidDi doza hInam prayoga antaram Aha   yat vA veda tvam iti //
   pakṣaniruktiḥ pūrvavatsākṣāddharmabaudhakaśabdatvādirūpeṇa dhyeyā /	pakza niruktiH pUrvavat sAkzAt Darma bODaka Sabda tva Adi rUpeNa DyeyAH /
   sādhyasya gaganādivṛttitve bādhādapauruṣeśabdavṛttatvenaiva	sADyasya gagana Adi vRtti tve bADAdapOruzeSabda vRtta tvena eva
   paryavasānāmiti bhāvaḥ / hetau tadatyapauruṣeyaparāmarśaḥ /	paryavasAnAm iti BAvaH / hetO tad atyapOruzeya parAmarSaH /
   satyantamātrasyāvṛttimadgaganādau vyabhicāranirāsāya viśeṣyam /	satyanta mAtrasya AvRtti mat gagana AdO vyaBicAra nirAsAya viSezyam /
   ghaṭatvādau tannirāsāya satyantam // na ca siddhānte   	Gawa tva AdO tad nirAsAya satyantam // na ca sidDAnte   
   "ekatrāpyanavasthasya sarvatrāvasthitiḥ katham"	"ekatra api anavasTasya sarvatra avasTitiH kaTam"
   ityadinā vaiśeṣikanayānuvyākhyāne gaganādervṛttimatvokterviśeṣyaṃ	iti adinA vESezi ka naya anuvyAKyAne gagana AdeH vRttimatvA ukteH viSezyam
   vyarthamiti śaṅkyam / asati śaśaśraṅgādau svamate vyabhicāravārakatvāt //	vyarTam iti SaFkyam / asati SaSa SraFga AdO sva mate vyaBicAra vAraka tvAt //
   vṛttimatvaṃ ca samavāyādivṛttyepi jñeyam / tena	vRttimatvam ca samavAya Adi vRttyepi jQeyam / tena
   jagadādhāratāprayojakasambandhenedānīṃ vedatvamidānīṃ	jagat ADAra tA prayojaka sambanDena idAnIm veda tvam idAnIm
   ghaṭatvamityādipratītyā	Gawa tvam iti Adi pratItyA
   kālepi vedatvādervṛttimatvenārthāntaratvaṃ hetau viśeṣyavaiyarthyamiti ca	kAlepi veda tva AdeH vRttimatvena arTa antara tvam hetO viSezya vEyarTyam iti ca
   śaṅkānavakāśaḥ //	SaFkA anavakASaH //
   yadevamiti // yadyaditarāvṛttitve sati vṛttimat tattadvṛtti /	yat evam iti // yat yat itarAvRtti tve sati vRttimat tat tad vRtti /
   1.kekevala kuṃ ca. 2.ṣya mu. 3. eveti nāsti kuṃ.	1.kekevala  kuM ca. 2.zya mu. 3. eva iti nAsti kuM.
   nyāyadīpayutatarkatāṇcvam ( pra.paricchedaḥ pu   236.	nyAya dIpa yuta tarka tANcvam ( pra.paricCedaH pu  236.
   na yātra hetutrayepi viśeṣaṇāsiddhiḥ / vedārthe 1 dharmā 2	na yA atra hetu trayepi viSezaNA sidDiH / veda arTe 1 DarmAH 2
   dharmādāvasmadādipratyakṣasyāvṛtteḥ / īśvarayogipratyakṣayośca	Darma AdO= asmad Adi pratyakzasya AvRtteH / ISvara yogi pratyakzayoH ca
   dharmādivaddhedaṃ vinā asiddheḥ / dharmādikaṃ kasyacitprratyakṣaṃ	Darma Adi vat hA idam vinA asidDeH / Darma Adikam kasyacid prratyakzam
   vastutvādghaṭavadityādāvadyapi dharmādyasiddhya'nyenyāśrayāt /	vastu tvAt Gawa vat iti AdAvadi api Darma Adi asidDi a anyenyASrayAt /
   yathā ghaṭetarāvṛttitve sati vṛttimadghaṭatvaṃ ghaṭavṛttītyarthaḥ / ādye	yaTA Gawa itarAvRtti tve sati vRttimat Gawa tvam Gawa vRtti iti arTaH / Adye
   hetau viśeṣaṇāsiddhiṃ na cetyādinā 3 granthenoddhāriṣyan	hetO viSezaNA sidDim na ca ityAdinA 3 granTena udDArizyan
   dvitīyahetāvupāttasyendriyaliṅgāpramāṇakatvarūpādhikaviśe 4 ṣaṇsyāsiddhiṃ	dvitIya hetO= upAttasya indriya liFga apramANaka tva rUpa aDika viSe 4 zaNsya asidDim
   sudhoktaviśeṣaṇena tāvaduddhārannindriyapedanābhimataṃ pratyakṣaṃ	suDA ukta viSezaNena tAvat udDAran= indriya pedana aBimatam pratyakzam
   kimasmadādipratyakṣamuteśvarayogipratyakṣe 5 ādye āha    vedārtha iti	kim asmad Adi pratyakza muteSvara yogi pratyakze 5 Adye Aha   veda arTaH iti
   tasyaiva vivaraṇaṃ    dharmetyādi // jyotiṣṭomādirdharmaḥ / antya āha   	tasya eva vivaraNam   Darma ityAdi // jyotizwoma AdiH DarmaH / antyaH Aha   
   īśvareti // asiddheriti // īśvarapratyakṣeṇa yogipratyakṣeṇa vā	ISvara iti // asidDeH iti // ISvara pratyakzeNa yogi pratyakzeNa vA
   dharmādikaṃ siddhamityasyāsmadādyapratyakṣatvena vedenaiva	Darma Adikam sidDam iti asya asmad Adya pratyakza tvena vedena eva
   tasyāvagantavyatvāt / tathā ca 7 vedeneśvarādipratyakṣaṃ vijñāya tena	tasya avagantavya tvAt / taTA ca 7 vedena ISvara Adi pratyakzam vijQAya tena
   dharmādisvarūpāvagatyapekṣayā"codanālakṣaṇortho dharmaḥ"iti	Darma Adi svarUpa avagati apekzayA "codanA lakzaNa UrTaH DarmaH"iti
   jaiminyuktadiśā vedenaiva tannirṇayostu kiṃ bakabandhaprayāseneti	jEmini ukta diSA vedena eva tat nirNayoH tu kim baka banDa prayAsena iti
   pratyakṣāviṣayatvaṃ tasyeti bhāvaḥ //	pratyakza avizaya tvam tasya iti BAvaH //
   astu tarhyanumānena dharmādigocareśvarādipratyakṣasiddhirityata āha   	astu tarhi anumAnena Darma Adi gocara ISvara Adi pratyakza sidDiH iti atas Aha   
   dharmādikamiti // prameyatvādi 8 heturādi padārthaḥ    adyapīti // vedena	Darma Adikam iti // prameya tva Adi 8 hetuH Adi padArTaH   adyapi iti // vedena
   vinā dharmādisiddhirneti vadantaṃ prati	vinA Darma Adi sidDiH na iti vadantam prati
   dharmādisādhakatayopanyasteśvarādipratyakṣasādhakānumānopanyāsavelāyāmapi	Darma Adi sADaka tayA upanyasta ISvara Adi pratyakza sADaka anumAna upanyAsa velAyAm api
   / na kevalaṃ pūrvamityarthaḥ    anyonyeti //	/ na kevalam pUrvam iti arTaH   anyonya iti //
   r1.thadha cha ga. 2.adharmapadaṃ na  cha ka. 3.gre uddha a. 4.ṣyasyā mu.	r1.Ta Da Ca  ga. 2.a Darma padam na  Sa ka. 3.gre udDa a. 4.zyasya a mu.
   5.iti vikalpo manasi nidhāya' ityadhikaṃ kuṃ. 6.ādapadaṃ nāsti mu.	5. iti vikalpaH manasi niDAya a iti aDikaM kuM. 6.Adapadam na asti mu.
   7.vedeneti nāsti  mu. 8.hetupadaṃ nāsti mu.	7.vedena iti na asti  mu. 8.hetu padam na asti mu.
   vedāpautve nuni) vedāpauruṣeyatvavādaḥ pu   237.	veda apOtve nuni) veda apOruzeya tva vAdaH pu  237.
   tābhyāmasmadādīnprati dharmādyasiddheśca / iṣṭāpūrtayoḥ	tAByAm asmad AdIn prati Darma Adi asidDeH ca / izwApUrtayoH
   prekṣāvatpravṛtyanyathānupapatyā phalavatmātrānumānepyasya yāgahomāderidaṃ	prekzAvat pravRti anyaTA anupapatyA Palavat mAtra anumAnepyasya yAga homa AdeH idam
   phalamityasyātisūkṣmasya viśeṣasyānumānāyogyatvāt //	Palam iti asya ati sUkzmasya viSezasya anumAna ayogya tvAt //
   phalaviśeṣoddeśena jyotiṣṭomādikarmaviśeṣe bahūnāṃ prekṣāvatāṃ pravṛttistu	Pala viSeza uddeSena jyotizwoma Adi karma viSeze bahUnAm prekzAvatAm pravRttiH tu
   caityavandanādāvivopapannā    taduktaṃ bhagavatpādaiḥ //	cEtya vandana AdO= iva upapannAH   tat uktam Bagavat pAdEH //
   dharmādisiddhau tatpakṣīkāreṇeśvarādipratyakṣasādhakānumānasiddhiḥ	Darma Adi sidDO tad pakzI kAreNa ISvara Adi pratyakza sADaka anumAna sidDiH
   anumānasiddhau ca tatsiddhapratyakṣeṇa	anumAna sidDO ca tad sidDa pratyakzeNa
   dharmādisiddhirityanyonyāśrayādityarthaḥ //	Darma Adi sidDiH iti anyonya ASrayAt iti arTaH //
   astu vā vedānumānābhyāṃ dharmādigocareśvarapratyakṣābhyāṃ	astu vA veda anumAnAByAm Darma Adi gocara ISvara pratyakzAByAm
   tathāpyasmadāderanuṣṭhānopayogidharmādiniścayo neśvarayogipratyakṣābhyāṃ	taTA api asmad AdeH anuzWAna upayogi Darma Adi niScayaH na ISvara yogi pratyakzAByAm
   sidhyatīti doṣāntaraṃ cāha    tābhyāmiti // tathācāsmadādijñānopāyo veda	siDyati iti doza antaram ca Aha   tAByAm iti // taTA ca asmad Adi jQAna upAyaH veda
   evaiṣṭavya iti kimīśvarādipratyakṣopanyāseneti bhāvaḥ //	eva ezwavyaH iti kim ISvara Adi pratyakza upanyAsena iti BAvaH //
   evamindriyāpramāṇakatvarūpaviśeṣaṇaṃ samarthya	evam indriya apramANaka tva rUpa viSezaNam samarTya
   liṅgāpramāṇakatvarūpaviśeṣaṇāsiddhimuddharati    iṣṭeti // dṛṣṭaṃ yāgaḥ	liFga apramANaka tva rUpa viSezaNA sidDim udDarati   izwa iti // dRzwam yAgaH
   pūrtaṃ taṭākādi"anyebhyopīdṛśyate"iti dirghavidhānādiṣṭāpūrtayoriti sādhu	pUrtam tawAka Adi "anyeBya upIdRSyate" iti dirGa viDAna AdizwApUrtayoH iti sADu
      itya 1 syāpīti // tajjñānasyaivānuṣṭhānopayogitvāditi bhāvaḥ //	  itya 1 syApi iti // tad jQAnasya eva anuzWAna upayogi tvAt iti BAvaH //
   pravṛttiviśeṣaṇaviśeṣasiddhirastvityata āha    phalaviśeṣeti //	pravRtti viSezaNa viSeza sidDiH astu iti atas Aha   Pala viSeza iti //
   svargādirūpetyarthaḥ    caityeti // 2 yathā vedabāhyānāmanekeṣāmadharme ca	svarga Adi rUpA iti arTaH   ca etya iti // 2 yaTA veda bAhyAnAm anekezAm aDarme ca
   phalāhetau dharmatvādibhrāntyā pravṛttistathā 3 ndhaparaṃparayopapannā /	Pala ahetO Darma tva Adi BrAntyA pravRttiH taTA 3 nDa paraMparayA upapannAH /
   na tu dharmādisvarūpaṃ	na tu Darma Adi svarUpam
   nirṇāyayatītyarthaḥ    taduktamiti // apauruṣeyavākyatvādanyena	nirNAyayati iti arTaH   tat uktam iti // apOruzeya vAkya tvAt anyena
   pratyakṣeṇānumānena vā dharmādisiddhirnetyetat tatvanirṇaye uktamityarthaḥ	pratyakzeNa anumAnena vA Darma Adi sidDiH na iti etat tatu anirNaye uktam iti arTaH
   // tadabhāve apauruṣeyatvavākyābhāva ityarthaḥ //	// tad aBAve apOruzeya tva vAkya aBAvaH iti arTaH //
   1. syeti  kuṃ. 2.tathāca mu. 3.tatparaṃ  mu.	1. sya iti  kuM. 2.taTA ca mu. 3. tatparam  mu.
   nyāyadīpayutatarkatāṇḍavam (pra.paricchedaḥ pu   238.	nyAya dIpa yuta tarka tANxavam (pra.paricCedaH pu  238.
   "tadabhāve sarvasamayābhimatadharmādyasiddheḥ"/ iti //	"tad aBAve sarva samaya aBimata Darma Adi asidDeH"/ iti //
   na ca pauruṣeyavākyena tatsiddhiḥ / puruṣvajñāna 1 mithyājñāna	na ca pOruzeya vAkyena tad sidDiH / puruzu ajQAna 1 miTyAjQAna
   vipralambhapramādakaraṇāpāṭavā 2 dīnāṃ sambhāvitatvenānāśvāsāt //	vipralamBa pramAda karaNa apAwavA 2 dInAm samBAvita tvena anASvAsAt //
   tannivṛtyarthamīśvarasya nityasārvajñyādyaṅgīkāre ca tadarthaṃ	tat nivRti arTam ISvarasya nitya sArvajQi Adi aFgIkAre ca tad arTam
   dharmabodhake śabda evāpauruṣeyatvamātraṃ kalpyatām /	Darma boDake SabdaH eva apOruzeya tva mAtram kalpyatAm /
   evamindriyaliṅgapramāṇakatvarūpaviśeṣaṇasamarthanaparagranthenaivādyasādhye	evam indriya liFga pramANaka tva rUpa viSezaNa samarTana para granTena eva Adya sADye
   apauruṣeyaśabdasiddhirhetoḥ pakṣadharmatābalādityetadapyupapāditaṃ jñeyam	apOruzeya Sabda sidDiH hetoH pakza Darma tA balAt iti etat api upapAditam jQeyam
   yadapyādyādvitīyahetvoḥ pauruṣeyaśabdāpramāṇakatve satīti viśeṣaṇaṃ yacca	yat api AdyAdvitIya hetvoH pOruzeya Sabda apramANaka tve sati iti viSezaNam yat ca
   tṛtīyahetāvapauruṣeyetarāvṛttitve satīti viśeṣaṇam tadasiddhaṃ"na ca	tRtIya hetO= apOruzeya itara AvRtti tve satI iti viSezaNam tat asidDaM"na ca
   pauruṣeyavākyena tatsiddhiḥ / ajñānavipralambhayoḥ	pOruzeya vAkyena tad sidDiH / ajQAna vipralamBayoH
   prāpte"rityāditatvanirṇayavākyārthavyaktīkaraṇenoddharati   nacetyādinā //	prApte"H iti Adi tatva nirNaya vAkya arTa vyaktIkaraNena udDarati  na ca ityAdinA //
   pauruṣeyeti / īśvarakṛtetyarthaḥ // jñātvāpi parapratāraṇaṃ vipralambhaḥ /	pOruzeya iti / ISvara kRtA iti arTaH // jQAtvA api para pratAraNam vipralamBaH /
   ghaṭostītivācye paṭostītyuktiḥ pramādaḥ    tannivṛtyarthamiti // puruṣeṣu	GawoH tIti vAcye pawoH ti iti uktiH pramAdaH   tat nivRti arTam iti // puruzezu
   sambhāvitājñānādidoṣanimittakānāśvāsābhāvasiddhyarthamityarthaḥ    nityeti	samBAvita ajQAna Adi doza nimittakAn ASvAsa aBAva sidDi arTam iti arTaH   nitya iti
   // doṣa 3 janyatvena bhramatvanivṛttityarthaṃ nityeti sārvajñyaviśeṣaṇam /	// doza 3 janya tvena Bramatu a nivRttiti arTam nitya iti sArvajQya viSezaNam /
   śabda evetyatra saptamyantaṃ śabdapadam / ko viśeṣa ityata uktaṃ   	SabdaH eva iti atra saptamI antam Sabda padam / kaH viSezaH iti atas uktam   
   mātramiti // tatra tu sārvajñādikaṃ bahvityagre vyaktam //	mAtram iti // tatra tu sArvajQa Adikam bahu iti agre vyaktam //
   1.mithyājñāneti  kuṇḍavalitaṃ  kuṃ. 2.ādipadaṃ na  mu ca. 3.ṣāja mu.	1.miTyA jQAna iti  kuNxa valitam  kuM. 2.Adi padam na  mu ca. 3.za aja  mu.
   vedāpauruṣetve nuni) vedāpauruṣeyatvavādaḥ pu   239.	veda apOruzetve nuni) veda apOruzeya tva vAdaH pu  239.
   arthāpatterutsargataḥ sākṣādupapādakaviṣayatvāt / na tu	arTApatteH utsargataH sAkzAt upapAdaka vizaya tvAt / na tu
   paramparayopapādakaṃ vaktari sārvajñyādikam / anyathā	paramparayA upapAdakam vaktari sArvajQi Adikam / anyaTA
   vedasyāsarvajñyapraṇītatvamaṅgīkṛtyāśvāsārthaṃ tasya	vedasya asarva jQya praNIta tvam aFgIkRtya ASvAsa arTam tasya
   sarvajñapraṇītaśabdāntaramūlatvaṃ kalpyaṃ syāt //	sarvajQa praNIta Sabda antara mUla tvam kalpyam syAt //
   taduktaṃ bhagavatpādaiḥ"apauruṣeyavākyāṅgīkāre na kiñcitkalpyam"iti /	tat uktam Bagavat pAdEH"a pOruzeya vAkya aFgIkAre na kiQcid kalpyam "iti /
   viśeṣāntaraṃ cāha    arthāpatteriti //	viSeza antaram ca Aha   arTApatteH iti //
   dharmādiniścayarūpasyopapādakapramāṇena	Darma Adi niScaya rUpasya upapAdaka pramANena
   vinānupapadyamānasyārthāpattiśabditasya	vinA anupapadyamAnasya arTApatti Sabditasya
   sākṣādupapādakaṃ hi dharmādipramāpakaśabde	sAkzAt upapAdakam hi Darma Adi pramApaka Sabde
   apauruṣetvam / nityasārvajñyādikantu tatra	apOruzetvam / nityasArvajQi Adikantu tatra
   dharmādiniścayakatvopapādakopapādakam / ajñānādidoṣahīnapuruṣakṛtatvaṃ	Darma Adi niScayaka tva upapAda ka upapAdakam / ajQAna Adi doza hIna puruza kRta tvam
   tadupapādakam / tadupapādakaṃ ca sārvajñyamiti paramparayopapādakaṃ bahu	tad upapAdakam / tad upapAdakam ca sArvajQyam iti paramparayA upapAdakam bahu
   ca tatkalpyam / tathācālpatvātsākṣādupapādakatvāttadeva kalpyamiti bhāvaḥ	ca tad kalpyam / taTA ca alpa tvAt sAkzAt upapAdaka tvAt tat eva kalpyam iti BAvaH
   nanu loke kvāpi śabde 'pauruṣetvādṛṣṭeḥ paramparā yuktevetyata āha   	nanu loke kvApi Sabde apOruzetvA adRzweH paramparA yuktA iva iti atas Aha   
   anyatheti // evaṃ sākṣādupapādake sambhavati śabdatvaporuṣeyatvayoḥ	anyaTA iti // evam sAkzAt upapAdake samBavati Sabda tva poruzeya tvayoH
   sahadarśanamātreṇa paramparāśrayaṇa ityarthaḥ   aṅgīkṛtyeti // śabdamātre	saha darSana mAtreNa paramparA ASrayaNaH iti arTaH  aFgIkRtya iti // Sabda mAtre
   'sarvajñapraṇītatvasya loke darśanāditi bhāvaḥ    taduktamiti //	asarvajQa praNIta tvasya loke darSanAt iti BAvaH   tat uktam iti //
   apauruṣeyatvamātrakalpanaṃ laghvityetattatvanirṇaye uktamityarthaḥ //	apOruzeya tva mAtra kalpanam laGu iti etat tatva nirNaye uktam iti arTaH //
   yadvābhyupetyoktamapauruṣeyatvamātraṃ kalpyatāmiti tadapi na	yat vA aByupetya uktam apOruzeya tva mAtram kalpyatAm iti tat api na
   kalpyamevetyetatsaṃmatyuktivyājenāha    taduktamiti // na kiñciditi /	kalpyam eva iti etat saMmati ukti vyAjena Aha   tat uktam iti // na kiQcid iti /
   apauruṣeyatvamapi vedakarturaprasiddhereva siddhamiti bhāvaḥ //	apOruzeya tvam api veda kartuH aprasidDeH eva sidDam iti BAvaH //
   vedakartupuruṣagatadoṣahīnatvopapādakavaktṛsārvajñyapratipādakatayā	veda kartu puruza gata doza hIna tva upapAdaka vaktR sArvajQya pratipAdaka tayA
   paramparayā dharmādibodhakāpauruṣeyavākyāṅgīkāra iti	paramparayA Darma Adi boDaka apOruzeya vAkya aFgIkAraH iti
   bhrāntinirāsāya prakṛtopayogitayārthamāha    sākṣāditi //	BrAnti nirAsAya prakRta upayogi taya arTam Aha   sAkzAt iti //
   sākṣāddharmādibodhaka ityarthaḥ //	sAkzAt Darma Adi boDakaH iti arTaH //
   nyāyadīpayutatarkatāṇḍavam ( pra.paricchedaḥ pu   240.	nyAya dIpa yuta tarka tANxavam ( pra.paricCedaH pu  240.
   sākṣādbodhake vākye 'pauruṣeyatvamātrāṅgīkāra ityarthaḥ //	sAkzAt boDake vAkye apOruzeya tva mAtra aFgIkAraH iti arTaH //
   kiñcāprāmāṇikānāṃ	kiQca aprAmANikAnAm
   sārvajñyavipralambhakatvāpramādakaraṇapaṭavopadeṣṭṛtvādīnāṃ vede	sArvajQya vipralamBaka tva apramAda karaNa pawava upadezwR tva AdInAm vede
