   prathamaḥ sargaḥ	praTamaH sargaH
   na dvitīyam anubhūyate sma vastv antikād api tamas tiraskṛtam /	na dvitIyam anuBUyate sma vastu antikAt api tamaH tiraskRtam /
   kevalātmaviṣayaṃ tadābhavaj jñānam ulbaparivāsinām iva // Rc_2.65 //	kevala-Atma-vizayam tadA-Bavat jQAnam ulba-parivAsinAm iva // Rt-_2.65 //
   dūramiśritaparasparāṅgakair apy ayogajanitajvarair iva /	dUra-miSrita-paraspara-aFgakEH api ayoga-janita-jvarEH iva /
   durlabhānanavilokanāmṛtair dūyate sma mithunair mitho bhṛśam // Rc_2.66 //	durlaBa-Anana-vilokana-amRtEH dUyate sma miTunEH miTas BRSam // Rt-_2.66 //
   so 'tiśītahimaśīkaro marun nūnam ulmukacayān avākirat /	saH ati-SIta-hima-SIkaraH marut nUnam ulmuka-cayAn avAkirat /
   yac cukūja bhṛśam ārtikāhalaṃ cakravākayuvatis tapasvinī // Rc_2.67 //	yat cukUja BRSam ArtikAhalam cakravAka-yuvatiH tapasvinI // Rt-_2.67 //
   uccacāra na vanasthalīṣv asau marmaraḥ patitapatranisvanaḥ /	uccacAra na vana-sTalIzu asO marmaraH patita-patra-nisvanaH /
   nāvirāsa karikṛṣṭasallakībhaṅgayonir asakṛc caṭatkṛtiḥ // Rc_2.68 //	na-avirAsa kari-kRzwa-sallakI-BaFga-yoniH asakRt cawatkRtiH // Rt-_2.68 //
   tasthur āsthitamanuṣyamūrtayo yāmikā iva vidūrato 'drayaḥ /	tasTuH AsTita-manuzya-mUrtayaH yAmikAH iva vidUrataH adrayaH /
   prahvabālaviṭapāgrapāṇayas tau parītya taravaḥ siṣevire // Rc_2.69 //	prahva-bAla-viwapa-agra-pANayaH tO parItya taravaH sizevire // Rt-_2.69 //
   drāṅ nidāgham anudadrajo 'dhunād viślathāṃ bṛhatikām asārayat /	drAk nidAGam anudadra-jaH aDunAt viSlaTAm bRhatikAm asArayat /
   pratyapadyata vanānilas tayor ekasannihitayāmikavratam // Rc_2.70 //	pratyapadyata vana-anilaH tayoH eka-sannihita-yAmika-vratam // Rt-_2.70 //
   sānujasya tamasi pramīlatas tasya bhāvimamatāhṛtā iva /	sa-anujasya tamasi pramIlataH tasya BAvim-amata-AhRtAH iva /
   ujjvalāyataviṣāṇasūcitāś cakrire parikaraṃ mataṅgajāḥ // Rc_2.71 //	ujjvala-Ayata-vizANa-sUcitAH cakrire parikaram mataFga-jAH // Rt-_2.71 //
   dīpakṛtyam akarod upāntike niṣprakamparuciroṣadhīgaṇaḥ /	dIpa-kRtyam akarot upAntike nizprakampa-rucira-uzaDI-gaNaH /
   tenur adrivanamadhyasuptayor maṅgalāni vanadevatās tayoḥ // Rc_2.72 //	tenuH adri-vana-maDya-suptayoH maFgalAni vana-devatAH tayoH // Rt-_2.72 //
   ehi jānaki bhujāntaraṃ kharaḥ prastaro 'yam asi kiṃ parāṅmukhī /	ehi jAnaki BujAntaram KaraH prastaraH ayam asi kim parAFmuKI /
   matkapolam upadhāya supyatām aprasaktir iyatī kadā nu te // Rc_2.73 //	mad-kapolam upaDAya supyatAm aprasaktiH iyatI kadA nu te // Rt-_2.73 //
   kṣiptam aṃśukam idaṃ mayorasi prīyatāṃ tava nirānandaḥ stanaḥ /	kziptam aMSukam idam mayA-urasi prIyatAm tava nirAnandaH stanaH /
   nīvinodini kare kuru kṣamām āyatākṣi nudasīva kiṃ punaḥ // Rc_2.74 //	nIvinodini kare kuru kzamAm Ayata-akzi nudasI-iva kim punar // Rt-_2.74 //
   suptavākyam iti maithilīpater maithilīvirahadūyamānayā /	supta-vAkyam iti mETilIpateH mETilI-viraha-dUyamAnayA /
   diksakhīnivahavāritāsrayā śuśruve vasudhayopasannayā // Rc_2.75 //	diS-saKI-nivaha-vArita-asrayA SuSruve vasuDayA-upasannayA // Rt-_2.75 //
   mad bibheti virahī raghūdvaho mad vinā ca na jagat pramodate /	mat biBeti virahI raGu-udvahaH mat vinA ca na jagat pramodate /
   tat karomi kim itīva cintayan nojjagāma sahasā niśākaraḥ // Rc_2.76 //	tat karomi kim iti-iva cintayan na-ujjagAma sahasA niSAkaraH // Rt-_2.76 //
   na sma bhāti kim api sphuṭaṃ puraḥ kiṃcid īritakareṇa kevalam /	na sma BAti kim api sPuwam puras kiMcid Irita-kareNa kevalam /
   dṛśyate sma divi dūravartinā tarjyamānam iva kenacit tamaḥ // Rc_2.77 //	dRSyate sma divi dUra-vartinA tarjyamAnam iva kenacid tamaH // Rt-_2.77 //
   jāyate sma ghanamālatīguṇaśreṇigarbhakabarīmanoharam /	jAyate sma Gana-mAlatI-guNa-SreNi-garBa-kabarI-manoharam /
   meghavāhanadigaṅganāmukhe mugdhacandrakarakarburaṃ tamaḥ // Rc_2.78 //	meGavAhana-digaFganA-muKe mugDa-candra-kara-karburam tamaH // Rt-_2.78 //
   sānurāgam upagūḍham agrimair aṃśubhiḥ śaśabhṛto davīyasaḥ /	sa-anurAgam upagUXam agrimEH aMSuBiH SaSaBRtaH davIyasaH /
   unnanāma namucidviṣo diśi srastastaṃtamasabhāram ambaram // Rc_2.79 //	unna-nAma namucit-vizaH diSi srasta-staMtamasa-BAram ambaram // Rt-_2.79 //
   ujjvalāgrakiraṇapraveśakaproktasatvarasamāgamo 'pi san /	ujjvala-agra-kiraNa-praveSaka-prokta-satvarasam-AgamaH api san /
   prekṣyate sma janitotsukaś cirād vyomaraṅgamukhasaṃmukhaḥ śaśī // Rc_2.80	prekzyate sma janita-utsukaH cirAt vyoma-raFga-muKa-saMmuKaH SaSI // Rt-_2.80
   audayena śaśino gabhastinā bhinnaśeṣatimiraṃ vyarājata /	Odayena SaSinaH gaBastinA Binna-Seza-timiram vyarAjata /
   mṛjyamānam iva śakradiṅmukhaṃ kuṅkumena mṛganābhoyogin // Rc_2.81 //	mRjyamAnam iva Sakra-diFmuKam kuFkumena mRganABaH-yogin // Rt-_2.81 //
   taṃ babhāra na vidhur navodayaṃ kiṃ tu kuṅkumavilepanāruṇam /	tam baBAra na viDuH nava-udayam kim tu kuFkuma-vilepana-aruNam /
   ekam utsukavaśāt payodharaṃ vyācakāra haridigvilāsinī // Rc_2.82 //	ekam utsuka-vaSAt payoDaram vyAcakAra hari-diS-vilAsinI // Rt-_2.82 //
   āttajaitranijapuṣpadhanvano manmathasya bhuvanāni jeṣyataḥ /	Atta-jEtra-nija-puzpa-DanvanaH manmaTasya BuvanAni jezyataH /
   unnanāma purataḥ śaśicchalāt pūrṇarukmakalaśaḥ payonidheḥ // Rc_2.83 //	unna-nAma puratas SaSicCalAt pUrNa-rukma-kalaSaH payoniDeH // Rt-_2.83 //
   diksarāgamukhasannidhāpitasphītacandracaṣakā śatakratoḥ /	diS-sa-rAga-muKa-sanniDApita-sPIta-candracazakA SatakratoH /
   kṣībabhāvam iva bibhratī babhau viślathācchatimirāṃśukoccayā // Rc_2.84 //	kzIba-BAvam iva biBratI baBO viSlaTa-acCa-timira-aMSuka-uccayA // Rt-_2.84 //
   nandayan bhuvanam unmukhaṃ cirān mandayan smaraviruddham udyamam /	nandayan Buvanam unmuKam cirAt mandayan smara-virudDam udyamam /
   krandayan virahiṇo vihaṅgamān sāndrayan pramadam indur udyayau // Rc_2.85	krandayan virahiNaH vihaFgamAn sAndrayan pramadam induH udyayO // Rt-_2.85
   locanālinivahaikapaṅkajaṃ cittahaṃsaśayanīyasaikatam /	loca-nAli-nivaha-eka-paFkajam cittahaMsa-SayanIya-sEkatam /
   ujjagāma ratikelimandiraṃ yāminīyuvatijīvitaṃ śaśī // Rc_2.86 //	ujjagAma rati-keli-mandiram yAminI-yuvati-jIvitam SaSI // Rt-_2.86 //
   āliliṅga rajanīm ahāsayad bidyamānamukulāṃ kumudvatīm /	AliliFga rajanIm ahAsayat bidyamAna-mukulAm kumudvatIm /
   agrahīd uḍuvadhūkarān karair dyāṃ prasādam anayat samaṃ śasśī // Rc_2.87	agrahIt uxu-vaDUkarAn karEH dyAm prasAdam anayat samam SasSI // Rt-_2.87
   ādade viyad alāñchanavrataṃ lāñchanaṃ nijam agūhad aṃśubhiḥ /	Adade viyat alAn-Cana-vratam lAQCanam nijam agUhat aMSuBiH /
   prāhiṇod apasṛtāsu kaumudīṃ dikṣu dakṣatanayāparigrahī // Rc_2.88 //	prAhiNot apasRtAsu kOmudIm dikzu dakza-tanayA-parigrahI // Rt-_2.88 //
   vyāpya dūram atha nirmalaṃ viyad vītapaṅkam iva paṅkajākaram /	vyApya dUram aTa nirmalam viyat vIta-paFkam iva paFkaja-Akaram /
   rejur agrakiraṇāḥ kṣapāpateḥ pūtakokanadakandakomalāḥ // Rc_2.89 //	rejuH agra-kiraNAH kzapApateH pUta-kokanada-kanda-komalAH // Rt-_2.89 //
   khe kakupsu bhuvi ca kṣapāpateḥ petur ūḍhanicayā marīcayaḥ /	Ke kakupsu Buvi ca kzapApateH petuH UXa-nicayAH marIcayaH /
   yatra tatra kuharāṇi kānicit kampamānam aviśan niśātamaḥ // Rc_2.90 //	yatra tatra kuharANi kAnicid kampamAnam aviSat niSAtamaH // Rt-_2.90 //
   kṣiptam indurucibhir vyalambata tryambakasya śikhinaś ca diṅmukhe /	kziptam indu-ruciBiH vyalambata tryambakasya SiKinaH ca diFmuKe /
   tatra nunnam anubandhaniḥsahaṃ kāndiśīkam iva niṣṭhitaṃ tamaḥ // Rc_2.91	tatra nunnam anubanDa-niHsaham kAndiSIkam iva nizWitam tamaH // Rt-_2.91
   kandarāṇi ca mahāmahībhṛtāṃ koṭarāṇi ca jaranmahīruhām /	kandarANi ca mahA-mahIBRtAm kowarANi ca jaran-mahIruhAm /
   adhyuvāsa kamalodarāṇi ca dhvāntam adhvagavadhūmukhāni ca // Rc_2.92 //	aDyuvAsa kamala-udarANi ca DvAntam aDvaga-vaDU-muKAni ca // Rt-_2.92 //
   svīcakāra karakoṭilālanālambitoḍutatimekhalāṃ divam /	svIcakAra kara-kowi-lAlana-Alambi-ta-uxutati-meKalAm divam /
   rāgabhaṅgam atisaṃstavād gatāṃ devarājadiśam indur atyajat // Rc_2.93 //	rAga-BaFgam ati-saMstavAt gatAm devarAja-diSam induH atyajat // Rt-_2.93 //
   ātatāna gaganāṅgaṇādhikair medinīm amṛtavarṣibhir vidhuḥ /	AtatAna gagana-aFgaNa-aDikEH medinIm amRta-varziBiH viDuH /
   viprayuktajanadhūmaketubhiḥ ketakāgraśucibhir marīcibhiḥ // Rc_2.94 //	viprayukta-jana-DUma-ketuBiH ketaka-agra-SuciBiH marIciBiH // Rt-_2.94 //
   saṃkucadbhir abhirāmatādhike sādhu candramasi puṣkaraiḥ kṛtam /	saMkucadBiH aBirAmatA-aDike sADu candramasi puzkarEH kRtam /
   udyatā jayini kāminīmukhe tena sāhasam anuṣṭhitaṃ punaḥ // Rc_2.95 //	udyatAH jayini kAminI-muKe tena sAhasam anuzWitam punar // Rt-_2.95 //
   uccakhāna ruṣam uccamaṇḍalaḥ khaṇḍanām agamayad viṣahyatām /	uccaKAna ruzam ucca-maNxalaH KaNxanAm agamayat vizahyatAm /
   mānapaṅkam apanīya kāminīḥ kāntahastam anayan niśāpatiḥ // Rc_2.96 //	mAna-paFkam apanIya kAminIH kAntahastam anayat niSApatiH // Rt-_2.96 //
   vyaktavartmabilavāhinīvanagrāmagulmagahanādribhedayā /	vyakta-vartma-bila-vAhinI-vana-grAma-gulma-gahana-adri-BedayA /
   saumyatādhikaviśeṣayājani jyotsnayā divasaniḥspṛho janaḥ // Rc_2.97 //	sOmya-tA-aDika-viSeza-yAjani jyotsnayA divasa-niHspRhaH janaH // Rt-_2.97 //
   pīyate sma kumudaṃ na locanaiś candrikā tapati rohitacchadam /	pIyate sma kumudam na locanEH candrikA tapati rohita=-Cadam /
   prādurāsa param utpibann aliḥ saurabhaṃ niravalambam ambuni // Rc_2.98 //	prAdurAsa param utpiban aliH sOraBam niravalambam ambuni // Rt-_2.98 //
   ekikeva nijavṛndamadhyagāpy uccukūja sabhayā sitacchadī /	ekikA-iva nija-vRnda-maDya-gA-api uccukUja sa-BayA sitacCadI /
   dantamūlam asakṛc ca saṃśayād āmamarśa kariṇaḥ kareṇukā // Rc_2.99 //	danta-mUlam asakRt ca saMSayAt AmamarSa kariNaH kareNukA // Rt-_2.99 //
   ketakīṣu kadalīṣu vālukāsv aśmasu sphuṭitakairave 'mbhasi /	ketakIzu kadalIzu vAlukAsu aSmasu sPuwita-kErave amBasi /
   lambhiteva laharīparamparām ullalāsa śaśikāntivāhinī // Rc_2.100 //	lamBitA-iva laharI-paramparAm ullalAsa SaSi-kAnti-vAhinI // Rt-_2.100 //
   prāptasūkṣmaghanapallavāntaraiś citritāḥ śaśikarair itas tataḥ /	prApta-sUkzma-Gana-pallava-antarEH citritAH SaSi-karEH itas tatas /
   bibhrati sma tarumūlaśāyinaḥ śambarāḥ pṛṣatayūthavibhramam // Rc_2.101 //	biBrati sma taru-mUla-SAyinaH SambarAH pRzata-yUTa-viBramam // Rt-_2.101 //
   kṛcchralabdhanagaśṛṅgasandhayo dattamanmathajayābhisandhayaḥ /	kRcCra-labDa-naga-SRFga-sanDayaH datta-manmaTa-jaya-aBisanDayaH /
   maithilītaravadhūdurāsadaṃ rāghavāṅkam aviśac chaśitviṣaḥ // Rc_2.102 //	mETilI-itara-vaDU-durAsadam rAGava-aFkam aviSat SaSi-tvizaH // Rt-_2.102 //
   jāgarṣi kāśmari niṣīdasi kovidāra kutrāsi vatsa kṛtamāla tamāla paśya /	jAgarzi kASmari nizIdasi kovidAra kutra-asi vatsa kRta-mAla tamAla paSya /
   kiṃ vartate raghupater iti satvarābhir uktaṃ drumaugham avalokya	kim vartate raGupateH iti satvarABiH uktam druma-oGam avalokya
   vanasthalībhiḥ // Rc_2.103 //	vanasTalIBiH // Rt-_2.103 //
   anyonyadūrapariṣaktaviśālasāndraśākhāśatais tarubhir antarayāṃbabhūve /	anyonya-dUra-parizakta-viSAla-sAndra-SAKA-SatEH taruBiH antarayA-aMbaBUve /
   udbhūtaghoravirahajvaralaṅghitasya candrātapaḥ sa khalu dāśarather	udBUta-Gora-viraha-jvara-laFGitasya candra-AtapaH sa Kalu dASaraTeH-
   apathyaḥ // Rc_2.104 //	apaTyaH // Rt-_2.104 //
   kumudavanam ahetu tyaktanidraṃ tadāsīd gaganam uḍuvitānair dhig vṛthaiva	kumuda-vanam ahetu tyakta-nidram tadA-AsIt gaganam uxu-vitAnEH Dik vRTA-eva
   praphullam /	praPullam /
   ajani jagad adhīśasyāgṛhītes tadānīṃ vidhur api	ajani jagat aDISasya-agRhIteH tadAnIm viDuH api
   vidhavastrīyauvanodbhedaśocyaḥ // Rc_2.105 //	viDava-strI-yOvana-udBeda-SocyaH // Rt-_2.105 //
   śvasiti janakaputrī satvaro bhānuputraḥ kapipatir upasannaṃ suprabhātaṃ	Svasiti janakaputrI satvaraH BAnu-putraH kapipatiH upasannam su-praBAtam
   taveti /	tava-iti /
   jagur iva raghunāthāyārdhabuddhāḥ svananto madhuram apararātre patriṇaḥ ke	jaguH iva raGu-nATAya-arDa-budDAH svanantaH maDuram apararAtre patriNaH ke
   'pi ke 'pi // Rc_2.106 //	api ke api // Rt-_2.106 //
   ity abhinandakṛtau rāmacarite mahākāvye sandhyātamaścandrodayavarṇano nāma	iti aBinanda-kRtO rAma-carite mahAkAvye sanDyAtamaH-candrodayavarNanaH nAma
   dvitīyaḥ sargaḥ samāptaḥ //	dvitIyaH sargaH samAptaH //
   kavīnāṃ kiṃ dattair nṛpapaśubhir anyair avasare paraṃ pṛthvīpālaḥ kṣaṇam	kavInAm kim dattEH nRpa-paSuBiH anyEH avasare param pRTvIpAlaH kzaNam
   api sa karṇo vitaratu /	api sa karNaH vitaratu /
   anāttaṃ tattvajñair api suvipulārthavyayabhiyā pratiṣṭhāṃ yenoccair jagati	anAttam tattva-jQEH api su-vipula-arTa-vyaya-BiyA pratizWAm yena-uccEs jagati
   gamitaṃ rāmacaritam //	gamitam rAma-caritam //
   % NB /msC/ reads here (instead of this verse?)	% NB /msC/ readH here (insteat of TiH verse?)
   pālānvayāmbujavanaikavirocanāya tasmai namo 'stu yuvarājanareśvarāya /	pAla-anvaya-ambuja-vana-eka-virocanAya tasmE namaH astu yuvarAja-nara-ISvarAya /
   koṭipradānaghaṭitojjvalakīrtimūrtir yenāmaratvapadavīṃ gamito 'bhinandaḥ	kowi-pradAna-Gawita-ujjvala-kIrti-mUrtiH yena-amara-tva-padavIm gamitaH aBinandaH
   tṛtīyaḥ sargaḥ	tRtIyaH sargaH
   atha prabuddhaḥ prathamaṃ vibuddham āsīnam ādāya tadaṅghriyugmam /	aTa prabudDaH praTamam vibudDam AsInam AdAya tad-aFGri-yugmam /
   prakāmanidrābhigamābhirāmo rāmaḥ sumitrāsutam ity uvāca // Rc_3.1 //	prakAma-nidrA-aBigama-aBirAmaH rAmaH sumitrA-sutam iti uvAca // Rt-_3.1 //
   kim ittham eva kṣapito niśīthaḥ kaccin muhūrārdham asi prasuptaḥ /	kim itTam eva kzapitaH niSITaH kaccit muhUra-arDam asi prasuptaH /
   asmin prasādāvasare dhiyāṃ ca pratiṣṭhitaś cetasi kas tavārthaḥ // Rc_3.2	asmin prasAda-avasare DiyAm ca pratizWitaH cetasi kaH tava-arTaH // Rt-_3.2
   vanaukasas tasya naveśvarasya bhāvāvabodhāya punar vimṛśya /	vanOkasaH tasya nava-ISvarasya BAva-avaboDAya punar vimRSya /
   yat prāptakālaṃ tad udāharāśu prasthānakālo 'yam atipraśastaḥ // Rc_3.3 //	yat prApta-kAlam tat udAhara-ASu prasTAna-kAlaH ayam ati-praSastaH // Rt-_3.3 //
   svakāryalābhastimitaḥ kapiś cen na kaścid artho 'nusṛtena tena /	sva-kArya-lABa-stimitaH kapiH ced na kaScid arTaH anusRtena tena /
   ripaūpetaṃ varam arthibhāvād vikārasaṃdehasahe na mitre // Rc_3.4 //	ripau-upetam varam arTi-BAvAt vikAra-saMdeha-sahe na mitre // Rt-_3.4 //
   kāryāntarāśārahitena tena vyaktaṃ khalenādya vayaṃ nirastāḥ /	kArya-antara-ASA-rahitena tena vyaktam Kalena-adya vayam nirastAH /
   dattaḥ pradīrghāgrahaṇābhidhāno yenāyam ārād api no 'rdhacandraḥ // Rc_3.5	dattaH pradIrGa-agrahaNa-aBiDAnaH yena-ayam ArAt api naH arDacandraH // Rt-_3.5
   ruddhas tapasvī sa kathaṃ na kaiścin mohāndhakūpe nipatan madāndhaḥ /	rudDaH tapasvI sa kaTam na kEScid moha-anDakUpe nipatan mada-anDaH /
   kiṃ deśakās te 'pi hanūmadādyāḥ sadyaḥ padaṃ prāpya samaṃ vipannāḥ //	kim deSakAH te api hanUmat-AdyAH sadyas padam prApya samam vipannAH //
   Rc_3.6 //	Rt-_3.6 //
   riṣṭaṃ na dṛṣṭaṃ pavamānasūnor na cāgnisūnor na ca vālisūnoḥ /	rizwam na dRzwam pavamAna-sUnoH na ca-agni-sUnoH na ca vAli-sUnoH /
   sarve 'pi kiṃkāraṇam ekadaiva pramītakalpāḥ kapidārakās te // Rc_3.7 //	sarve api kiMkAraNam ekadA-eva pramIta-kalpAH kapi-dArakAH te // Rt-_3.7 //
   sa durnivāro harir adya śetām āsvāditaiśvaryamadhur madena /	sa durnivAraH hariH adya SetAm AsvAdita-ESvarya-maDuH madena /
   kathaṃ punar jāgarakāla eva suptās tadāptā iti me vitarkaḥ // Rc_3.8 //	kaTam punar jAgara-kAle eva suptAH tad-AptAH iti me vitarkaH // Rt-_3.8 //
   devāt prasūtena himetarāṃśor ūrjasvalais taiḥ sakhibhir vṛtena /	devAt prasUtena hima-itarAMSoH UrjasvalEH tEH saKiBiH vRtena /
   udāradehadyutināsmadarthe niranvayaṃ tena tamaḥ prapannam // Rc_3.9 //	udAra-deha-dyutinA-asmad-arTe niranvayam tena tamaH prapannam // Rt-_3.9 //
   aho mahan mohajam andhakāraṃ yenādya madhyesabham uddhureṇa /	aho mahat moha-jam anDakAram yena-adya maDyesaBam udDureNa /
   utsārya tān mantrimaṇipradīpān plavaṅgarājaḥ prasabhaṃ gṛhītaḥ // Rc_3.10	utsArya tAn mantri-maNi-pradIpAn plavaFga-rAjaH prasaBam gRhItaH // Rt-_3.10
   lobhasya mohasya manobhavasya madasya cātiprasaro na ruddhaḥ /	loBasya mohasya manoBavasya madasya ca-ati-prasaraH na rudDaH /
   ruddhaḥ paraṃ pūrṇamanorathena tenādya naḥ pratyupakāravegaḥ // Rc_3.11 //	rudDaH param pUrNa-manoraTena tena-adya naH pratyupakAra-vegaH // Rt-_3.11 //
   samrāṭpadasthasya padād apetāḥ samprītaye samprati mā sma bhūmaḥ /	samrAwpada-sTasya padAt apetAH samprItaye samprati mA sma BUmaH /
   dṛṣṭāstrasārā api tasya bhīroḥ kiṃ bhītaye vatsa vayaṃ na bhūtāḥ //	dRzwa-astra-sArAH api tasya BIroH kim BItaye vatsa vayam na BUtAH //
   Rc_3.12 //	Rt-_3.12 //
   sthāne nirastaḥ sudhiyāgrajena sa tena māyāmasṛṇo durātmā /	sTAne nirastaH suDiyA-agrajena sa tena mAyA-masRNaH durAtmA /
   mayā madāndhena punar vṛthaiva kroṣṭā mṛgendrasya pade 'bhiṣiktaḥ //	mayA mada-anDena punar vRTA-eva krozwA mRgendrasya pade aBiziktaH //
   Rc_3.13 //	Rt-_3.13 //
   nirveśaniryātanaśāṭhyanidrāṃ nīceṣu daṇḍaḥ paruṣo nihanti /	nirveSa-niryAtana-SAWya-nidrAm nIcezu daNxaH paruzaH nihanti /
   tathāpi dākṣiṇyavilambitavyam idaṃ dhanus taṃ prati māmakīnam // Rc_3.14	taTA-api dAkziNya-vilambitavyam idam DanuH tam prati mAmakInam // Rt-_3.14
   yāvan na viśrāmyati vegajanmā dikṣu dhvanir vālibhidaḥ śarasya /	yAvat na viSrAmyati vega-janmA dikzu DvaniH vAliBi-daH Sarasya /
   tāvat punas taṅka iha trilokyām ākrāntakiṣkindham upakrameta // Rc_3.15 //	tAvat punar taFkaH iha trilokyAm AkrAnta-kizkinDam upakrameta // Rt-_3.15 //
   asmāsu nāvedayati sma garvāt kurvīta śeṣārivadhaṃ bhujābhyām /	asmAsu na-Avedayati sma garvAt kurvIta Seza-ari-vaDam BujAByAm /
   vidhāya saurājyam asaūpeyād ity arthitā paśyati na pramāṇam // Rc_3.16 //	viDAya sOrAjyam asaUpeyAt iti arTitA paSyati na pramANam // Rt-_3.16 //
   tad eṣa me nirmalasargasargaḥ ṣaḍvargaruddho ripuvat sa heyaḥ /	tat eza me nirmala-sarga-sargaH zaxvarga-rudDaH ripu-vat sa heyaH /
   nāsau niṣiddhas tava yānapakṣo mayā bata prāg asamāhitena // Rc_3.17 //	na-asO nizidDaH tava yAna-pakzaH mayA bata prAk asamAhitena // Rt-_3.17 //
   asaṃśayaṃ sa pratihārapālīsasambhramāveditasannikarṣam /	asaMSayam sa pratihAra-pAlIsa-samBrama-Avedita-sannikarzam /
   tvāṃ praty asūyāṃ hṛdayena dhāsyaty upasthitāntaḥpuraviprayogaḥ // Rc_3.18	tvAm prati asUyAm hRdayena DAsyati upasTita-antaHpura-viprayogaH // Rt-_3.18
   tadvaktram ārkes taruṇārkatāmraṃ tvatprītivākyair akṛtapramodam /	tad-vaktram ArkeH taruNa-arka-tAmram tvad-prIti-vAkyEH akRta-pramodam /
   bhaviṣyati pratyupakārabhāranirvāhacintāgamasāndhakāram // Rc_3.19 //	Bavizyati pratyupakAra-BAra-nirvAha-cintA-gama-sa-anDakAram // Rt-_3.19 //
   smariṣyati tvāṃ na sa bodhyamāno 'py ālokayiṣyaty athavā na pṛṣṭaḥ /	smarizyati tvAm na sa boDyamAnaH api Alokayizyati aTavA na pRzwaH /
   pratyeṣi kāntājanamadhyavartī sa cintayāsmadgatayādhunāste // Rc_3.20 //	pratyezi kAntA-jana-maDya-vartI sa cintayA-asmad-gatayA-aDunAH-te // Rt-_3.20 //
   āvāṃ yadaivādritaṭe niviṣṭau sa kālikāṃ vīkṣya purīṃ praviṣṭaḥ /	AvAm yadA-eva-adri-tawe nivizwO sa kAlikAm vIkzya purIm pravizwaH /
   āmṛṣṭam āsīc capalena tena sauhārdam asmadviṣayaṃ tadaiva // Rc_3.21 //	AmRzwam AsIt capalena tena sOhArdam asmad-vizayam tadA-eva // Rt-_3.21 //
   ahaḥsv amīṣu kṣaṇa eva nāsīd āsīn na saṃdeśaharo 'nurūpaḥ /	ahaHsu amIzu kzaNaH eva na-AsIt AsIt na saMdeSa-haraH anurUpaH /
   ityādi sa vyaktam alīkam eva tvatprītyupālambhapadeṣu vaktā // Rc_3.22 //	ityAdi sa vyaktam alIkam eva tvad-prIti-upAlamBa-padezu vaktA // Rt-_3.22 //
   kṛtāvahelaḥ praṇayaprasannaṃ niruttaraḥ satvarakāryavādam /	kRta-avahelaH praNaya-prasannam niruttaraH satvara-kArya-vAdam /
   prekṣiṣyate roṣalavānuraktaṃ valīmukhaḥ śuṣkamukho mukhaṃ te // Rc_3.23 //	prekzizyate roza-lava-anuraktam valImuKaH Suzka-muKaH muKam te // Rt-_3.23 //
   tasyāgamād yaḥ sahasā bhaviṣyaty arthasya tasyābhavanaṃ mamāstu /	tasya-AgamAt yaH sahasA Bavizyati arTasya tasya-aBavanam mama-astu /
   bādhiṣyate vālivadhātiriktas tadveśmayātrānuśayaḥ sadā nau // Rc_3.24 //	bADizyate vAli-vaDa-atiriktaH tad-veSma-yAtrA-anuSayaH sadA nO // Rt-_3.24 //
   sa prāktano nūnam anarthabhājā nītas talaṃ tena hitaiṣivargaḥ /	sa prAktanaH nUnam anarTa-BAjA nItaH talam tena hita-ezivargaH /
   utthāpitair dūram asāv idānīṃ divāniśaṃ dīvyati durvidagdhaiḥ // Rc_3.25	utTApitEH dUram asO idAnIm divAniSam dIvyati durvidagDEH // Rt-_3.25
   akṣā mṛgākṣyo mṛgayā madhūni prekṣāś ca tasyādya haranti kālam /	akzAH mRga-akzyaH mRgayA maDUni prekzAH ca tasya-adya haranti kAlam /
   na prāpnuvanti kṣaṇam āptavācaḥ sadādṛtāś cāraṇacāṭuvādāḥ // Rc_3.26 //	na prApnuvanti kzaNam Apta-vAcaH sat-AdRtAH cAraNa-cAwuvAdAH // Rt-_3.26 //
   vadanti bhītāḥ sacivā na kiṃcit kiṃ cintayāsmadgatayā viṭānām /	vadanti BItAH sacivAH na kiMcid kim cintayA-asmad-gatayA viwAnAm /
   svayaṃ na sampraty anusaṃdadhāti pūrvāparaṃ kāmaparaḥ sa rājā // Rc_3.27	svayam na samprati anusaMdaDAti pUrva-aparam kAma-paraH sa rAjA // Rt-_3.27
   na sūrayo na sthavirā na dhīrāḥ puraḥsthitāḥ prāśnikatāṃ prayānti /	na sUrayaH na sTavirAH na DIrAH puras-sTitAH prASnika-tAm prayAnti /
   saṃtiṣṭhate saṃsadi saṃśayānaḥ pṛṣṭhopaviṣṭāsu vilāsinīṣu // Rc_3.28 //	saMtizWate saMsadi saMSayAnaH pRzWa-upavizwAsu vilAsinIzu // Rt-_3.28 //
   itthaṃgate tatra gatasya kena manyus tavodīrṇarayo nivāryaḥ /	itTaMgate tatra gatasya kena manyuH tava-udIrNa-rayaH nivAryaH /
   vicāyamāṇo na guṇāya naḥ syād asau kapīnāṃ kadanānubandhaḥ // Rc_3.29 //	vicAyamANaH na guNAya naH syAt asO kapInAm kadana-anubanDaH // Rt-_3.29 //
   prapannaśāṭhyasya haṭhopanāmād āneṣyamāṇasya guṇaṃ na vīkṣe /	prapanna-SAWyasya haWa-upanAmAt AnezyamANasya guNam na vIkze /
