   || Vṛttamālāstutiḥ ||	|| VRtta-mAla-AstutiH ||
   iti duṣkaraprabhedavṛtta)mālāstutivivṛtau samavṛttāni || ||	iti duzkara-praBeda-vRtta)-mAlA-stuti-vivRtO sama-vRttAni || ||
   idam ardham abālaśaśiprabhaṃ $ bālaraviprabham ādadhad ardham &	idam arDam abAla-SaSi-praBam $ bAla-ravi-praBam AdaDat arDam &
   karuṇāvaśavarti bhavadvapuḥ % kasya mano na karoty upacitram // JVms_125	karuNA-vaSa-varti Bavat-vapuH % kasya manaH na karoti upacitram // JVmH-_125
   tattvasudhārasatṛptiviśeṣāt $ sakalasamīhitasiddhivaśād vā &	tattva-suDA-rasa-tRpti-viSezAt $ sakala-samIhita-sidDi-vaSAt vA &
   tvaccaraṇānubhuvā bhavitavyaṃ % bhavamathanaśruta na drutam adhyā //	tvad-caraNa-anuBuvA Bavitavyam % Bava-maTana-Sruta na drutam aDyAH //
   JVms_126 //	JVmH-_126 //
   kim uśanti budhā adhikaṃ vibho $ yadi janīya tadīyatanur bhavet &	kim uSanti buDAH aDikam viBo $ yadi janIya tadIya-tanuH Bavet &
   tava dṛṣṭisudhārasadhārayā % sphuritahārarucā hariṇaplutā // JVms_127 //	tava dRzwi-suDA-rasa-DArayA % sPurita-hAra-rucAH hariNa-plutAH // JVmH-_127 //
   iyam urukaruṇārasā mukhaśrīḥ $ samadhigatā nijadhīśriyo rasena &	iyam uru-karuNA-rasAH muKa-SrIH $ samaDigatAH nija-DI-SriyaH rasena &
   sphuradadharadalābhihārihemā- % mbujakalikeva vibhāti puṣpitāgrā //	sPurat-aDara-dala-aBihAri-hemA % mbuja-kalikA-iva viBAti puzpita-agrAH //
   JVms_128 //	JVmH-_128 //
   mukham idam aparaṃ tavotpala- $ prakararucām iva bhāti saṃcayaḥ &	muKam idam aparam tava-utpala $ prakara-rucAm iva BAti saMcayaH &
   samuditam iva kairavaśriyā % harati mano 'paravaktram iva // JVms_129 //	samuditam iva kErava-SriyA % harati manaH apara-vaktram iva // JVmH-_129 //
   idam ardhasamaṃ samīkṣyate te $ bata vṛttaṃ jayino jagattrayasya &	idam arDa-samam samIkzyate te $ bata vRttam jayinaH jagattrayasya &
   kva cid arthavidhau vidhūtaviśvā % śiśulīlā lalitāpi yat taveyam //	kva cit arTa-viDO viDUta-viSvA % SiSulIlA lalitA-api yat tava-iyam //
   JVms_130 //	JVmH-_130 //
   padam ekam avekṣya te kṣaṇaṃ $ prasabhākrānta jagattrayīśikham &	padam ekam avekzya te kzaNam $ prasaBa-AkrAnta jagattrayI-SiKam &
   katham astu na viśvabhāratī % nijadāsīva tava priyaṃvadā // JVms_131 //	kaTam astu na viSvaBAratI % nija-dAsI-iva tava priyaMvadAH // JVmH-_131 //
   svarasopanatāṃ śamaśayyāṃ $ kiṃ nu vidhūya dhiyo 'py atidurgaiḥ &	svarasa-upanatAm Sama-SayyAm $ kim nu viDUya DiyaH api ati-durgEH &
   aticitracaritraśatais te % vegavatī karuṇā yadi na syāt // JVms_132 //	ati-citra-caritra-SatEH te % vegavatI karuNA yadi na syAt // JVmH-_132 //
   sarvātiśayasya dhāma dhāmnaḥ $ sarvāṅgīṇasulakṣyalakṣaṇaśrīḥ &	sarva-atiSayasya DAma DAmnaH $ sarva-aFgINa-su-lakzya-lakzaNa-SrIH &
   lokasya gatāpi hi smṛtiṃ te % bhadraṃ bhadravirāṭ tanus tanoti // JVms_133	lokasya gatA-api hi smRtim te % Badram Badra-virAj tanuH tanoti // JVmH-_133
   paritaḥ sphuradbhir abhirāmair $ aṃśumayaiḥ parārthaparamārthaiḥ &	paritas sPuradBiH aBirAmEH $ aMSu-mayEH para-arTa-parama-arTEH &
   pavipadmakhaḍgamaṇicakraiḥ % ketumatī vibhāti tava mūrtiḥ // JVms_134 //	pavi-padma-Kaxga-maNi-cakrEH % ketumatI viBAti tava mUrtiH // JVmH-_134 //
   caittamātrabhāvabhāji bhāvyate kva $ parā parārthasaṃpad īdṛśī dayāyām &	cEttamAtra-BAva-BAji BAvyate kva $ parA para-arTa-saMpad IdRSI dayAyAm &
   seyam etadākṛticchalād ato 'va- % yavadhvaner matupstriyā samābhidhānā //	sA-iyam etat-AkRti=-CalAt atas ava % yavaDvaneH matupstriyA sama-aBiDAnAH //
   JVms_135 //	JVmH-_135 //
   udayadaruṇakiraṇanikaraparikara- $ kanakamayavimalahimakarajayanī &	udayat-aruNa-kiraNa-nikara-parikara $ kanaka-maya-vimala-himakara-jayanI &
   jayati nikhilajagadabhiratikṛtipaṭur % atibhava tava tanur iyam atirucirā	jayati niKila-jagat-aBiH-atikRti-pawuH % atiBava tava tanuH iyam ati-rucirA
   // JVms_136 //	// JVmH-_136 //
   tribhuvanaduradhigamacaraṇaparicaraṇaguruvibhavabhagavadasitasugata- $	triBuvana-duraDi-gama-caraNa-paricaraNa-guru-viBava-Bagavat-asita-sugata $
   pratikṛtisacivavimalamaṇinicayakhacitasuparighaṭanaguṇavasatiḥ &	pratikRti-saciva-vimala-maNi-nicaya-Kacita-su-pari-Gawana-guNavasatiH &
   jinanayagadanaravalayalavasamanukṛtirasikanibhasurabhisurasumanaḥ- %	jina-naya-gada-nara-valaya-lava-samanukRti-rasika-niBa-suraBi-surasumanaH %
   parimalamiladalikulakaṇitanidhir adhigamajalada jayati tava śikhā //	parimala-milat-ali-kula-kaNita-niDiH aDigama-jalada jayati tava SiKA //
   JVms_137 //	JVmH-_137 //
   samudayadiśi samupanataruciṣu vividhasamudayakaraṇam abhidadhatī $	samudaya-diSi samupanata-rucizu viviDa-samudaya-karaNam aBidaDatI $
   praśamasukharasarasikamatiṣu nirupamaśamasukhapathakathanapṛthuniratiḥ &	praSama-suKa-rasa-rasika-m-atizu nirupama-Sama-suKa-paTa-kaTana-pRTu-niratiH &
   aparimitasukṛtaphalam adhipa tava jayati sakalajinanayanayanagīr %	aparimita-sukRta-Palam aDipa tava jayati sakala-jina-naya-nayana-gIH %
   ṛjumatiṣu niyatam ṛjur amṛtakuṭa kuṭilamatiṣu niratiśayakuṭilapadā //	Rju-matizu niyatam RjuH amRta-kuwa kuwilam-atizu niratiSaya-kuwila-padAH //
   JVms_138 //	JVmH-_138 //
   ākhyānikeyaṃ bhavato guṇānām $ iti stuvaṃs tvām abhimanyate yaḥ &	AKyAnikA-iyam BavataH guNAnAm $ iti stuvan tvAm aBimanyate yaH &
   nūṇaṃ sa gaṇḍūṣajalopayogān % mayā nipīto 'mbudhir ity aveti // JVms_139	nUNam sa gaNxUza-jala-upayogAn % mayA nipItaH ambuDiH iti avA-iti // JVmH-_139
   api tv aśeṣasmaravairiṇām apy $ ākhyeyatākhyātim anāśriteṣu &	api tu aSeza-smara-vEriNAm api $ AKyeya-tA-KyAtim anASritezu &
   guṇeṣu te nātha vṛthābhimānasya- % ākhyānikāsau viparītapūrvā // JVms_140	guNezu te nATa vRTA-aBimAnasya % AKyAnikA-asO viparIta-pUrvA // JVmH-_140
   || iti duṣkaraprabhedavṛttamālāvivṛtan ardhasamavṛttāni ||	|| iti duzkara-praBeda-vRtta-mAlA-vivRtan arDa-sama-vRttAni ||
   aṣṭābhir akṣaraiḥ pādo $ 'soḍhas tadgāḍhamajjanād anuvṛddhaiḥ &	azwABiH akzarEH pAdaH $ asoXaH tad-gAXa-majjanAt anuvRdDEH &
   guṇasāgara sāgarair apūritāṅgurīgarto % viṣamaṃ daśāntare dayā	guNa-sAgara sAgarEH apUrita-aFgurI-gartaH % vizamam daSa-antare dayA
   padacaturūrdhvaṃ nayati bhāvam // JVms_141 //	pada-catur-UrDvam nayati BAvam // JVmH-_141 //
   iti nigaditajātau $ kṛtaviṣamacaraṇaracanāyām &	iti nigadita-jAtO $ kRta-vizama-caraNa-racanAyAm &
   laghuguruniyatibhṛti bhayam ayati ko na % bhavasi na yadi niyatam	laGu-guru-niyatiBRti Bayam ayati kaH na % Bavasi na yadi niyatam
   abhividhivacanam anu pīḍaḥ // JVms_142 //	aBiviDi-vacanam anu pIxaH // JVmH-_142 //
   suciranihitahitamatikandāṅ- $ kura iva tava bhāti &	su-cira-nihita-hitam-ati-kanda-aF $ kuraH iva tava BAti &
   viṣamajanadamanaghaṭitavikaṭamūrtes %	vizama-jana-damana-Gawita-vikawa-mUrteH %
   tripuraharamukuṭamaṇisadṛśadaśanakalikeyam // JVms_143 //	tripura-hara-mukuwa-maNi-sadRSa-daSana-kalikA-iyam // JVmH-_143 //
   prasaradurudahanaghanaghora- $ cchaṭam iva gaganatalam anavadhi dadhānā &	prasara-duru-dahana-Gana-Gora $ cCawam iva gagana-talam anavaDi daDAnAH &
   prasabham abhimukhaṃ te % praśamayati śamanam api nayanavalanalavalīlā //	prasaBam aBimuKam te % praSamayati Samanam api nayana-valana-lava-lIlA //
   JVms_144 //	JVmH-_144 //
   mṛdujanam anu punar iyam eva $ praśamitasakalakaṭukaluṣaviṣarāśiḥ &	mRdu-janam anu punar iyam eva $ praSamita-sakala-kawu-kaluza-viza-rASiH &
   pratimuhur abhinavam atulasukhanidhim upanayantī % niyatam amṛtadhāra //	pratimuhuH aBinavam atula-suKa-niDim upanayantI % niyatam amRta-DAra //
   JVms_145 //	JVmH-_145 //
   padacaturūrdhvaprabhedāḥ || ||	pada-catur-UrDva-praBedAH || ||
   taḍitojjvalaṃ jaladarāśim $ aniśam udabhārabandhuram &	taxita-ujjvalam jalada-rASim $ aniSam udaBAra-banDuram &
   ghoraghanarasitam īśa tanuḥ % kṛpayā kuto 'pi jayatīyam udgatā // JVms_146	Gora-Gana-rasitam ISa tanuH % kRpayA kutas api jayati-iyam udgatAH // JVmH-_146
   ata eva duṣkaratarāṇi $ vilasitaśatāni tanvataḥ &	atas eva duzkaratarANi $ vilasita-SatAni tanvataH &
   hlādayaty akhilalokam idaṃ % paṭukīrtisaurabhakam adbhutaṃ tava //	hlAdayati aKila-lokam idam % pawu-kIrti-sOraBakam adButam tava //
   JVms_147 //	JVmH-_147 //
   bhṛkuṭīkaṭākṣadaśaneṣu $ kim api vikṛtāni bibhrataḥ &	BRkuwI-kawAkza-daSanezu $ kim api vikRtAni biBrataH &
   damayati tava bhuvanāni vapur % lalitaṃ ca kiṃ tu vikaṭaṃ yad īdṛśam //	damayati tava BuvanAni vapuH % lalitam ca kim tu vikawam yat IdRSam //
   JVms_148 //	JVmH-_148 //
   || udgatābhedāḥ || ||	|| udgata-aBedAH || ||
   prāgbhārātiśaye 'pi tādṛśe 'dbhutabhīme $ bhuvanāhitahataye samaṃ samantāt	prAgBAra-atiSaye api tAdRSe adButa-BIme $ Buvana-ahita-hataye samam samantAt-
   marud anatiśayarayaḥ % pracupitam api tava na sameti salīlam // JVms_149	marut anatiSaya-rayaH % pracupitam api tava na sameti sa-lIlam // JVmH-_149
   kiṃ bhūyo bhagavan bhavantam aśrayam āptaḥ $ sthitabhāram atulam ārṣabhaṃ	kim BUyas Bagavan Bavantam aSrayam AptaH $ sTita-BAram atulam ArzaBam
   dadhānam &	daDAnam &
   tac chuddhavirāḍviśeṣaṇam hy % aparaviṣamaśirasi padaṃ vinidhatte //	tat SudDa-virAj-viSezaNam hi % apara-vizama-Sirasi padam viniDatte //
   JVms_150 //	JVmH-_150 //
   ārādhyeti bhavantam āśrayaikasamṛddhyā $ kuśalaṃ yad amalam asti	ArADya-iti Bavantam ASraya-eka-samRdDyA $ kuSalam yat amalam asti
   vardhamānam &	varDamAnam &
   tat idam akhilam udañcatu bhuvanam urupadaṃ % tvadabhimatam	tat idam aKilam udaQcatu Buvanam uru-padam % tvad-aBimatam
   ativividhavṛttaviśeṣaiḥ // JVms_151 //	ati-viviDa-vRtta-viSezEH // JVmH-_151 //
   api ca pracayena bhūyasā $ kuśalasyāsya nikamanirmalasya &	api ca pracayena BUyasA $ kuSalasya-asya nikama-nirmalasya &
   vigalatu sakalasya dehino % bhavarajanīprabhavāndhakārarāśiḥ // JVms_152	vigalatu sakalasya dehinaH % Bava-rajanI-praBava-anDakAra-rASiH // JVmH-_152
   || sarvaviṣamāṇi ||	|| sarva-vizamANi ||
   kiṃ ca prauḍhaprajñāpreyasy- $ aliṅgenānaṅgakrīḍam &	kim ca prOXa-prajQA-preyasy $ aliFgena-anaFga-krIxam &
   uḍupatiruciranicayamayam iva vapur % anatiśayakaruṇam iha vahad anubhavatu	uxupati-rucira-nicaya-mayam iva vapuH % anatiSaya-karuNam iha vahat anuBavatu
   // JVms_153 //	// JVmH-_153 //
   || ardhaviṣamam ||	|| arDa-vizamam ||
   vicitravṛttair iti varṇanena $ yad ācitaṃ candrakarāmalaṃ śubham &	vicitra-vRttEH iti varNanena $ yat Acitam candra-kara-amalam SuBam &
   tato 'stu lokaḥ parimuktaśokaḥ % sphuranmahāsaukhyaśikhāsakhīvaraḥ //	tatas astu lokaH parimukta-SokaH % sPurat-mahA-sOKya-SiKA-saKI-varaH //
   JVms_154 //	JVmH-_154 //
   || pādaviṣamam ||	|| pAda-vizamam ||
   || āryamañjughoṣasya duṣkaraprabhedā Vṛttamālāstutiḥ samāpta ||	|| Arya-maQjuGozasya duzkara-praBedA VRtta-mAlA-stutiH samApta ||
   || kṛtir iyaṃ mahāpaṇḍitasthaviraJñānaśrīmitrasya ||	|| kRtiH iyam mahA-paNxita-sTavira-JQAna-SrI-mitrasya ||
