   udayananirākaraṇam	udayana-nirAkaraNam
   pravāhe cittacaittānāṃ siddhā bhedavyavasthitiḥ ||	pravAhe citta-cEttAnAm sidDA Beda-vyavasTitiH ||
   iti ācāryavacanamavahartuṃ prabandhāntareṇa na śakyam,	iti AcArya-vacanam-avahartum prabanDa-antareNa na Sakyam,
   svaragītaphalocchvāsamaprāpta prāpyate	svara-gIta-Pala-ucCvAsam-aprApta prApyate
   sādhugītaṃ suṣṭugītaṃ labdhaṃ (9) gītasya te phalam |	sADu-gItam suzwu-gItam labDam (9) gItasya te Palam |
   goputrā iva gāyanti sāmo dātumayaiḥ svaraiḥ ||	go-putrAH iva gAyanti sAmaH dAtu-mayEH svarEH ||
   etenaitadapi piṣṭamaniṣṭam vivādādhyāsito bhāvaḥ kālabhedepi na bhidyate |	etena-etat-api pizwam-anizwam vivAda-aDyAsitaH BAvaH kAla-Bedepi na Bidyate |
   viruddhadharmāsaṃsṛṣṭatvāt yo yadbhedepi viruddhadharmāsaṃsṛṣṭo nāsau	virudDa-Darma-asaMsRzwa-tvAt yaH yat-Bedepi virudDa-Darma-asaMsRzwaH na-asO
   tadbhedepi bhidyate | yathā pratisandhiparamāṇubhedepyekaḥ paramāṇustathā	tad-Bedepi Bidyate | yaTA pratisanDi-paramANu-BedepI-ekaH paramANuH-taTA
   cāyaṃ vivādādhyāsito bhāvastamātkālabhede 'pi na bhidyate iti | atra	ca-ayam vivAda-aDyAsitaH BAvaH-tamAt-kAla-Bede api na Bidyate iti | atra
   vyāptau na kaścidapi vipratipadyeta | pakṣadharmatā te prasādhitaiveti	vyAptO na kaScid-api vipratipadyeta | pakza-Darma-tA te prasADitA-eva-iti
   sthiratāsthiratā bhāvārnām | tadanantaraprakaraṇanihatapakṣadha(3)rmatā	sTiratA-asTira-tA BAva-arnAm | tad-anantara-prakaraNa-nihata-pakza-Da(3)rma-tA
   siddhitvādasādhanamasādhanīyam | tadevaṃ sattvaṃ	sidDi-tvAt-asADanam-asADanIyam | tat-evam sattvam
   prāgabhāvapradhvaṃsābhāvamadhyamadhyāsīnasya bhāvasyāntarālabhede	prAc-aBAva-praDvaMsa-aBAva-maDyam-aDyAsInasya BAvasya-antarAlaBede
   nisatvamavagamayitumalamutkalitānukūlaprasaṅga-(4)-tadviparyaparyavasitasapakṣatve	nisatvam-avagamayitum-alam-utkalita-anukUla-prasaFga--(4)-tad-viparya-paryavasita-sapakza-tve
   kvacidbījādau darśitasvasādhyapratibandhamiti prabandhena prasādhitaṃ	kvacid-bIja-AdO darSita-sva-sADya-pratibanDam-iti prabanDena prasADitam
   sādhīyaḥ sudhībhiravadhāryamiti sthitam |	sADIyaH suDIBiH-avaDAryam-iti sTitam |
   pūrvasarvanyāyasanyāsamāśri-(5)-tya laghuparalaṅghana jaṃghālahetuhatiṃ	pUrva-sarva-nyAyasanyAsam-ASri-(5)-tya laGu-para-laFGana jaMGAla-hetu-hatim
   prahiṇumaḥ | yadyasya yatravyavaharaṇakāraṇamapasaraṇaparācīnatayā	prahiNumaH | yadi-asya yatra-vyavaharaNa-kAraNam-apasaraNa-parAcIna-tayA
   cintitaṃ tatra tasya vyavaharaṇakāraṇajananīyaṃ nī-(6)-latā	cintitam tatra tasya vyavaharaNa-kAraNa-jananIyam nI-(6)-latA
   vyavaharaṇakāraṇanīli | bhavati tadvayavaharaṇavat | nīraje	vyavaharaNa-kAraNa-nIli | Bavati tadvayava-haraNa-vat | nIraje
   pūrvāparakālayaurapikaraṇākaraṇaviruddhadharmākhyānau bījabhede	pUrva-apara-kAlayOH-apikaraNa-AkaraNa-virudDa-Darma-AKyAnO bIja-Bede
   vyavaharaṇakāraṇa (7) mapasaraṇaramaṇatvena mataḥ, tadatra karaṇākaraṇaṃ	vyavaharaNa-kAraNa (7) mapa-saraNa-ramaNa-tvena mataH, tat-atra karaNa-akaraNam
   nāsiddhayā grastamadhyakṣaprekṣitatvāt, viruddhatā viśeṣagaṇapi	na-asidDayA grastam-aDyakza-prekzita-tvAt, virudDa-tA viSeza-gaNapi
   pramathitapradūṣaṇagaṇaṃ prācīnapragalbhapraba-(8)-ndhatvena	pramaTita-pradUzaNa-gaNam prAcIna-pragalBa-praba-(8)-nDa-tvena
   nāpyanaikāntikatvaṃ antikamasya gantuṃ santanoti sāmarthyam |	na-api-anEkAntika-tvam antikam-asya gantum santanoti sAmarTyam |
   anyavyatirekapratyākalanayā hi kāraṇatvaṃ kiñcidapi	anya-vyatireka-pratyAkalanayA hi kAraNa-tvam kiQcid-api
   pratiparyālocanīyamu(1) pāyāntarātarkaṇāt | ayameva bhedo bheda heturvvā	pratiparyAlocanIyamu(1) pAya-antara-atarkaNAt | ayam-eva BedaH Beda hetuH-vvA
   yaduta viruddhadharmādhyāsastasya janananibandhanañca	yat-uta virudDa-Darma-aDyAsaH-tasya janana-nibanDanaQca
   sāmagrīlakṣaṇakāraṇasājātyavijātyaparyava sitau bheda iti abhidadhānena	sAmagrI-lakzaNa-kAraNa-sAjAti-avijAti-a-paryava sitO BedaH iti aBidaDAnena
   cācāryacaraṇena pratidarśanaṃ	ca-AcArya-caraNena pratidarSanam
   darśitadikkālādiguṇadravyavyāyāvyayādibhedavyavahārahetuhastakatvāt	darSita-diS-kAla-Adi-guNa-dravya-vyAya-avyaya-Adi-Beda-vyavahAra-hetu-hastaka-tvAt-
   nyastau viruddhadharmādhyāso vastusvabhāvanānātve	nyastO virudDa-Darma-aDyAsaH vastu-svaBAva-nAnA-tve
   nibandhanasamastavādivyāptyavyāptiprasarānākrāntapauruṣasato 'yamevabheda	nibanDana-samasta-vAdi-vyApti-avyApti-prasara-an-AkrAnta-pOruza-sataH ayam-eva-Beda
   i-(2)-ti vyavasthāne sthirastadvyavaharaṇeṃ	i-(2)-ti vyavasTAne sTiraH-tad-vyavaharaNem
   kāraṇaṃkalpanāropitadharmāṇāmapi bhedo viruddhadharmādhyāsalakṣaṇa	kAraNaMkalpanA-Aropita-DarmANAm-api BedaH virudDa-Darma-aDyAsa-lakzaNa
   evetyavyāptirasambhāvinī, nacobhedepi vimṛśyate kvā-(3)-pi	eva-iti-avyAptiH-asamBAvinI, nacaH-Bedepi vimRSyate kvA-(3)-pi
   viruddhadharmādhyāsa ityativyāptivyastirasti virodhabodho bahudhā	virudDa-Darma-aDyAsaH iti-ati-vyApti-vyastiH-asti viroDa-boDaH bahuDA
   bahuṣviti na sambhavaviparyayo hṛdi dheyaḥ | na ca	bahuzu-iti na samBava-viparyayaH hRdi DeyaH | na ca
   viruddhadharmadvayabhedānupapattistatrāpi nityasa-(4)-māṃ jātirītyā	virudDa-Darma-dvaya-Beda-anupapattiH-tatra-api nitya-sa-(4)-mAm jAti-rItyA
   viruddhau padārtho vyudasya nānyo dharmonāma kintarhi	virudDO padArTaH vyudasya na-anyaH DarmaH-nAma kintarhi
   dharmāntarapratikṣepākṣepābhyāṃ dharmmadharmmivyapadeśepi na	Darma-antara-pratikzepa-AkzepAByAm Darmma-Darmmi-vyapadeSepi na
   vastubhedastenānavasthā (15) na manasi niveśyā yathākalpanamasya sambhavāt	vastu-BedaH-tena-anavasTA (15) na manasi niveSyAH yaTAkalpanam-asya samBavAt-
   yatpunaruktam-bhedo hi virodhaṃ vyabhicarati, na virodhau bhedamiti	yat-punar-uktam--BedaH hi viroDam vyaBicarati, na viroDO Bedam-iti
   tatpāramārthikāpāramārthikabhedabha-(6) ṇyābhāṣitaṃ viruddhatāhetoḥ	tad-pArama-arTikA-pAramArTika-Beda-Ba-(6) NyABAzitam virudDa-tA-hetoH
   savidhasambandhanibandhasambandhāvyāptisiddhau hi sapakṣe pakṣapātī	saviDa-sambanDa-nibanDa-sambanDa-avyApti-sidDO hi sa-pakze pakzapAtI
   viruddho nopalabdhaḥ bhedavyavahārajñāpakahetuśca prati (7) bhāsa bhedaḥ |	virudDaH na-upalabDaH Beda-vyavahAra-jQApaka-hetuH-ca prati (7) BAsa BedaH |
   dvitoyopi prayogaḥ-sa evāyamiti parāmarśaḥ so	dvitoya-upi prayogaH-saH eva-ayam-iti parAmarSaH saH-
   'sadṛśaparāvṛttapadārthadhyavasānavyāpāraḥ, yathā keśapāśe cchinnodbhinne	asadRSa-parAvRtta-padArTa-DyavasAna-vyApAraH, yaTA keSa-pASe cCinna-udBinne
   sa evāyamiti parāmarśasya vivādapade ghaṭādau atyantasadṛśe sa evāyamiti	saH eva-ayam-iti parAmarSasya vivAda-pade Gawa-AdO atyanta-sadRSe saH eva-ayam-iti
   mandasādṛśye sa iveti prakaraṇavaśāt atyantasādṛśya-(9)-mihopāttaṃ	manda-sAdRSye saH iva-iti prakaraNa-vaSAt atyanta-sAdRSya--(9)-m-iha-upAttam
   jātyekatve dīpādau pratyabhijñeti vadatātadvyāvṛttiviṣayā syātprakāśitā,	jAti-ekatve dIpa-AdO pratyaBijQA-iti vadatA-tad-vyAvRtti-vizayA syAt-prakASitA,
   yadyatītena saha vartamānasya ekatvaṃ nāsti kartha citpūrva	yadi-atItena saha vartamAnasya eka-tvam na-asti karTa cit-pUrva
   paścāddṛṣṭārtha kriyā bhavati | na | yathā ghaṭamekaṃ	paScAt-dRzwa-arTa kriyA Bavati | na | yaTA Gawam-ekam
   vighaṭaghaṭāṅkurāropaṇe prekṣate yathā puradhāraṇaṃ tatheva pūrvānurodhe	viGawa-Gawa-aFkura-AropaNe prekzate yaTA pura-DAraNam taTA-iva pUrva-anuroDe
   'asambhave yataḥ bhaviṣyati tādṛśārthakriyā	aasamBave yatas Bavizyati tAdRSa-arTa-kriyA
   taccekārthakriyākaraṇādekatvantu tadakārivyavacchedalakṣaṇaṃ	tat-ceka-arTa-kriyA-karaNAt-ekatvantu tad-akAri-vI-avacCeda-lakzaNam
   sāmvṛtamiṣyata eva tena kṣaṇabhaṅgo ghaṭādīnāṃ dharmastenaiva	sAmvRtam-izyate eva tena kzaNa-BaFgaH Gawa-AdInAm DarmaH-tena-eva
   sādhanahetubhirityapakṛtam | ekamiti hi	sADana-hetuBiH-iti-apakRtam | ekam-iti hi
   vyapadeśavikalpāstadarthasāmarthyamā-(3)-treṇa samaṅgīsajātayo na	vyapadeSa-vikalpAH-tad-arTa-sAmarTya-mA-(3-)-treNa samaFgI-sajAtayaH na
   punarartharadritasāmānyadyarthasāmānyadyarthaviṣayā vyapadeśavikalpāḥ	punar-arTa-radrita-sAmAnyadi-arTa-sAmAnyadi-arTa-vizayAH vyapadeSa-vikalpAH
   prekṣāvadbhirādriyante tatastādṛgarthakriyākāritayaikatvaṃ	prekzAvadBiH-Adriyante tatas-tAdRS-arTa-kriyA-kAritayA-eka-tvam
   pratyabhijñānaviṣayaḥ tasmādyā (4) pratyabhijñā sā	pratyaBijQAna-vizayaH tasmAt-yA (4) pratyaBijQA sA
   tadarthakriyākārivyāvṛtta sadṛśārthakriyāsamarthaviṣayāḥ yathā ghaṭānayane	tad-arTa-kriyA-kAri-vyAvRtta sadRSa-arTa-kriyA-samarTa-vizayAH yaTA Gawa-Anayane
   'pi itarābhiprāyeṇa anyamānayeti niyoge ghaṭāntarānayane punaḥ-(5)-sa	api itara-aBiprAyeNa anyamAnayA-iti niyoge Gawa-antara-Anayane punar--(5)-sa
   evānīta iti pratyabhijñā | pratyabhijñā ceyaṃ sa evāyaṃ ghaṭa iti	eva-AnItaH iti pratyaBijQA | pratyaBijQA ca-iyam saH eva-ayam GawaH iti
   ājanmanaḥ praṇāśāvadhipratibhāsaprasavaprasaṅgaḥ, pratikṣaṇaṃ kṣaṇabhaṅge	AjanmanaH praNASa-avaDi-pratiBAsa-prasava-prasaFgaH, pratikzaNam kzaNa-BaFge
   sati bhāvasya bhavedata-(6)-viparyaye bādhakaṃ asti ca pratibhāsaḥ	sati BAvasya Bavet-ata-(6)-viparyaye bADakam asti ca pratiBAsaH
   prāgabhāvapradhvaṃsābhāvayormadhyārūḍhasya vastutaḥ	prAc-aBAva-praDvaMsa-aBAvayoH-maDyArUXasya vastutas-
   pūrvāparakālakalatātikrāntaḥ | saḥ krāntaniścayo nikhilavastu (7)	pUrva-apara-kAlaka-latA-atikrAntaH | saH krAnta-niScayaH niKilavastu (7)
   sujanānubhavabhūmiḥ | ataeva sthavīyasi svabhāve bhāvānāṃ kālaniyamau'pi	su-jana-anuBava-BUmiH | ataeva sTavIyasi svaBAve BAvAnAm kAla-niyamO-api
   siddhaḥ | atadrūparāvṛttiviṣayastvekatvādhyavasāyonāvasthābhāvamākarṣati	sidDaH | atadru-uparAvRtti-vizayaH-tu-ekatva-aDyavasAya-Una-avasTA-BAvam-Akarzati
   pratyayabhijñā (8) tantu sāṃvṛtaikatvaṃ vyavahārayati |	pratyaya-BijQAH (8) tantu sAMvRta-eka-tvam vyavahArayati |
   paravyāmohāpanayanena yathādṛśyānupalabdhibalimahilāgopālādigamye 'pi	para-vyAmoha-apanayanena yaTAdRSya-anupalabDi-bali-mahilA-gopAla-Adi-gamye api
   pratiṣedhe śaṅkayaṃ lakṣyīkṛtya vyāmohaśuddhatantraṃ (9) prakṣipyate |	pratizeDe SaFkayam lakzyIkRtya vyAmoha-SudDa-tantram (9) prakzipyate |
   ḥtadatyantavimūḍhārthaṃ āgovālādimasaṃvṛteḥḥ	Htad-atyanta-vimUXa-arTam AgovAla-Adim-a-saMvRteHH
   iti vacanāt |	iti vacanAt |
   jhānaṃ tvarthāvabhāsataḥ |	JAnam tu-arTa-avaBAsataH |
   taṃ vyanaktīti kathyeta tadabhāve 'pi tatkṛtam ||	tam vyanakti-iti kaTyeta tad-aBAve api tad-kRtam ||
   tathā	taTA
   dukūlanīlanalina-(10)-dalāvalivalimadhyapramadānandimandirakundasindūrārtha	dukUla-nIla-nalina--(10)-dala-Avali-vali-maDya-pramadA-nandi-mandira-kunda-sindUra-arTa
   valabhīprabhṛtīnāṃ madhyāvasthākhya grāhyākāravedanāvṛtyaikaṃ	valaBI-praBRtInAm maDya-avasTA-AKya grAhya-AkAra-vedanA-vRtya-ekam
   pratisaṃdhātārameva bhāṣitaṃ sakṛdatra pratibhātīti	pratisaMDAtAram-eva BAzitam sakRt-atra pratiBAti-iti
   pāścātyānuvyavaśāyavaśena sphuraṇañca pūrvānubhūtasya grāhakākārasya	pAScAtya-anuvyavaSAya-vaSena sPuraNaQca pUrva-anuBUtasya grAhaka-AkArasya
   atadrūpaparāvṛttaviṣayaikavimarśavaśena vyāptyādikañca parikalpitādrūpa	atad-rUpa-parAvRtta-vizaya-eka-vimarSa-vaSena vyApti-Adi-kaQca parikalpitAt-rUpa
   (2) parāvttavastustomākāreṇa kṣaṇakṣīṇatānukūlamilitavinyāseneti na	(2) parAvtta-vaH-tuH-toma-AkAreNa kzaNa-kzINa-tA-anukUla-milita-vinyAsena-iti na
   kvāpyaṃśe śaṃśanīyadoṣamanityatāsādhanamava dhātavyaṃ bhavyabhāvena tathā-	kvApi-aMSe SaMSanIya-dozam-anitya-tA-sADanam-ava DAtavyam Bavya-BAvena taTA-
   vajropalādirapyathaṃḥ (3) sthiraḥ so 'nyānapekṣaṇāt |	vajra-upalAdiH-api-aTanH (3) sTiraH saH anya-anapekzaNAt |
   sakṛtsarvasya janayejjñānāni jagataḥ samam ||	sakRt-sarvasya janayet-jQAnAni jagataH samam ||
   kramādbhavanti tānyasya sahakāryupakārataḥ |	kramAt-Bavanti tAni-asya saha-kAri-upakArataH |
   āhuḥ pratikṣaṇaṃ bhedaṃ sadoṣo 'trāpi pūrvavat || (4)	AhuH pratikzaNam Bedam sa-dozaH atra-api pUrvavat || (4)
   ityādyapi yathā prastāvamapahastitrāsamupanyasanīyam |	ityAdi-api yaTA prastAvam-apahasti-trAsam-upanyasanIyam |
   yatpunarucyate kāladidravyaguṇakarmādikamantareṇa na kaścit vyapadeśastaṃ	yat-punar-ucyate kAla-didravya-guNa-karma-Adikam-antareNa na kaScid vyapadeSaH-tam
   cāntareṇa na vacanaṃ tasmādvacanādeva kāladikamastīti kṣaṇikatāsiddhiriti,	ca-antareNa na vacanam tasmAt-vacanAt-eva kAladikam-asti-iti kzaNika-tA-sidDiH-iti,
   tadapi nirasyate, kālaḥ	tat-api nirasyate, kAlaH
   parāparavyatikarayaugapadyāyaugapadyacirakṣiprapatyayaliṅgaḥ teṣāṃ	parApara-vyatikara-yOgapadya-ayOgapadi-acira-kzipra-patyaya-liFgaH tezAm
   viṣayeṣu (9) pūrvapratyayavilakṣaṇānāmutṣattāvanyanimittāsaṃbhavāt |	vizayezu (9) pUrva-pratyaya-vilakzaNAnAm-utzat-tO=-anya-nimitta-asaMBavAt |
   yadatra nimittaṃ sa kālaḥ yatraivāparapratyayodigapekṣayā	yat-atra nimittam sa kAlaH yatra-eva-apara-pratyaya-udiS-apekzayA
   tatraivaparapratyayaḥ kālakṛtaḥ ya-(7)-trai va ca parapratyayo digapekṣayā	tatra-eva-para-pratyayaH kAla-kRtaH ya-(7)-trEH va ca para-pratyayaH diS-apekzayA
   tatraivāparapratyaya kāla kṛta iti vyatikaraḥ śleṣaḥ | yugapadetāni kṛtāni	tatra-eva-apara-pratyaya kAla kRtaH iti vyatikaraH SlezaH | yugapad-etAni kRtAni
   krameṇa ca etāni kṛtāni | ciraṃ kṛtaṃ kṣipraṃ kṛtamiti na rūpādyatireke	krameNa ca etAni kRtAni | ciram kRtam kzipram kRtam-iti na rUpa-Adi-atireke
   kāle pratyakṣāpravṛttaḥ mandatā hi niṣpatteḥ kāraṇakrameṇa virodhaḥ,	kAle pratyakza-apravRttaH manda-tA hi nizpatteH kAraNa-krameNa viroDaH,
   kramopi bhāvābhāvādeva bhāvasya na kālaḥ rāṃhoḥ śira itivat,	kramopi BAva-aBAvAt-eva BAvasya na kAlaH rAMhoH SiraH itivat-,
   punara-(9)-bhāvasyāyaṃ kāla iti vyapadeśaḥ-	punar-a-(9)-BAvasya-ayam kAlaH iti vyapadeSaH-
   'dṛṣṭatātītakālatvaṃ dṛśyatā vartamānatā	adRzwa-tA-atIta-kAla-tvam dRSyatA vartamAna-tA
   bhāvitā dṛśyamāṇārcāmiti vyavasthitiḥ' |	BAvitA dRSyamANa-arcAm-iti vyavasTitiH-a |
   rūpamapi cakṣurvijñānajanakatvena evaṃ śa-(10)-bdādikamapi sve	rUpam-api cakzuH-vijQAna-janaka-tvena evam Sa-(10)-bda-Adikam-api sve
   svendriyanidānadarśananibandhanatvena vedyam | dravyavyavasthāpi	sva-indriya-nidAna-darSana-nibanDana-tvena vedyam | dravya-vyavasTA-api
   tatsamudāyasādhyaphalāhetuvyavacchedena darśitaiveti na tadāsti	tad-samudAya-sADya-PalA-hetu-vyavacCedena darSitA-eva-iti na tadA-asti
   vyavaharaṇaṃ na yat pakṣe tad anityānubandhīti |	vyavaharaNam na yat pakze tat anitya-anubanDI-iti |
   udayananirākaraṇe vādarahasye vyatirekārthabhāvārdinyāyanirṇayo dvitīyaḥ |	udayana-nirAkaraNe vAda-rahasye vyatireka-arTa-BAva-ardinyAyanirNayaH dvitIyaH |
   apohapratyūhavyūhanirāsaḥ	apoha-pratyUha-vyUha-nirAsaH
   tṛtīyo 'dhyāyaḥ	tRtIyaH aDyAyaH
   ihāpohe pratyūhavyūho vyudasyate | iha jagati jāgrato jīvalokasya	iha-apohe pratyUha-vyUhaH vyudasyate | iha jagati jAgrataH jIva-lokasya
   nīlavipulacalacetanīyanicūlanicayādau cakṣuṣo vikṣepādanantaraṃ	nIla-vipula-cala-cetanIya-nicUla-nicaya-AdO cakzuzaH vikzepAt-anantaram
   nīlādisvalakṣaṇaniṣṭho (2)	nIla-Adi-sva-lakzaNa-nizWaH (2)
   nirbhāsastadanusandhānadhīrasādhāraṇabodhapratibaddhanīlādīnirbhāsaśca	nirBAsaH-tad-anusanDa-anaDIra-sADAraNa-boDa-pratibadDa-nIla-AdI-nirBAsaH-ca
   niścīyate etacca dvayamapi	niScIyate etat-ca dvayam-api
   nīlādiparicchedadakṣamakṣatamabhīkṣṇamabhilakṣyate | sārūpyavaśa-(3)-gā hi	nIla-Adi-paricCeda-dakzam-akzatam-aBIkzNam-aBilakzyate | sArUpya-vaSa-(3)-gAH hi
   paricchedaśaktiḥ samvedanānāmasti cānayornīlabhirbhāsatā	paricCeda-SaktiH samvedanAnAm-asti ca-anayoH-nIlaBiH-BAsa-tA
   nīlanirṇayanibandhanaṃ tenobhayamapi bhayabhraṣṭaṃ nīlameva	nIla-nirNaya-nibanDanam tena-uBayam-api Baya-Brazwam nIlam-eva
   paricchinattīti sampratyayaḥ sāṃvya-(4)-vahārikalokasya |	paricCinatti-iti sampratyayaH sAMvya--(4)-vahArika-lokasya |
   tattvatarkavitarkaviśrṛṅkhalāśrayastu vyākhyātā	tattva-tarka-vitarka-viSrRFKalA-ASrayaH-tu vyAKyAtA
   samaḥkhyātiprathamamavyapadeśyaṃ vyavasāyātmakamiti |	samaHKyAti-praTamam-avyapadeSyam vyavasAya-Atmakam-iti |
   prathamamālo-(5)canājñānaṃ nirvikalpakaṃ bālamūkādijñānaprakhyam, tataḥ	praTamam-Alo-(-5)cana-ajQAnam nirvikalpakam bAla-mUka-Adi-jQAna-praKyam, tatas-
   paraṃ punarvastu dharmerjātyādibhiryayā buddhayāvasīyate sāpi	param punar-vastu DarmeH-jAti-AdiBiH-yayA budDayA-avasIyate sA-api
   pratyakṣatvena sammateti vikalpakamadhya(6)kṣaṃ	pratyakza-tvena sammata-iti vikalpaka-maDya-(6)kzam
   jātyādiyojitajalajādivastuparicchede dīpyate | bauddhastvavadhayvasitavān,	jAti-Adi-yojita-jalaja-Adi-vastu-paricCede dIpyate | bOdDaH-tu-avaDayvasitavAn,
   prathamameva pramāṇaṃ dvitīyantu smaraṇābhogādisāmagrījalpanārthāt (7)	praTamam-eva pramANam dvitIyantu smaraNa-ABoga-Adi-sAmagrI-jalpana-arTAt (7)
   utpadyate netrādisamagrāt | kintarhi	utpadyate netra-Adi-samagrAt | kintarhi
   madhyāvasthālakṣaṇajñānagrāhyākārātsmaraṇābhogādisahitādaniṣṭhitamitīṣṭaṃ	maDya-avasTA-lakzaNa-jQAna-grAhya-AkArAt-smaraNa-ABoga-Adi-sahitAt-anizWitam-iti-izwam
   nirṇayanibandhanaṃ punaratranetranīlādyarthāpāye 'pi	nirNaya-nibanDanam punar-atra-netra-nIla-Adi-arTa-apAye api
   nīlākṣismaraṇasaṃkāntanīlādinirbhāsaḥ kutaḥ saṃbobhavīṃta | nārthāttasya	nIla-akzi-smaraNa-saMkAnta-nIla-Adi-nirBAsaH kutas saMboBavIMta | na-arTAt-tasya
   niruddhatvāt | na jalāde vyāpyarūpādisvabhāvatvāt | idaṃ hyuktam-	nirudDa-tvAt | na jalAde vyApya-rUpa-Adi-svaBAva-tvAt | idam hi-uktam-
   tacca sāmā- (2)-nyavijñānamanurundhanavibhāvyate |	tat-ca sAmA (2)-nya-vijQAnam-anurunDana-viBAvyate |
   nīlādyākāraleśo yaḥ sa tasmin kena nirmitaḥ ||	nIla-Adi-AkAra-leSaH yaH sa tasmin kena nirmitaH ||
   śabdebhyo yādṛśī buddhirnaṣṭe 'naṣṭepi dṛśyate,	SabdeByaH yAdRSI budDiH-nazwe anazwepi dRSyate,
   tādṛśyeva sadarthānāṃ naitacchotrā (3) dicetasām ||	tAdRSi-eva sat-arTAnAm na-etat-SotrA (3) dicetasAm ||
   iti tathā	iti taTA
   yadapyanvayivijñānaṃ śabdavyaktyavabhāsiyat |	yat-api-anvayi-vijQAnam Sabda-vyakti-avaBAsiyat |
   varṇākṛtyakṣarākāraśūnyaṃ gotvaṃ hi varṇyate |	varNa-AkRti-akzara-AkAra-SUnyam go-tvam hi varNyate |
   dravyādyarūpādirūpam | idaṃ tu vikalpakaṃ nīlādyākṛtisākṣarākāraṃ ca	dravya-Adya-rUpa-Adi-rUpam | idam tu vikalpakam nIla-Adi-AkRti-sAkzara-AkAram ca
   sujñātamantarmātrādipari (4) vittirvirbhāvyate | tena na	su-jQAtam-antar-mAtra-Adi-pari (4) vittiH-virBAvyate | tena na
   jātyādiparicchedadarpo dvitīyapratyayasya tatpratyanīkarūpādiḥ rūpatvāt |	jAti-Adi-paricCeda-darpaH dvitIya-pratyayasya tad-pratyanIka-rUpa-AdiH rUpa-tvAt |
   na hi yatra yasya pratibhāso 'saṃbhāvī sa tasya grāhakaḥ	na hi yatra yasya pratiBAsaH asaMBAvI sa tasya grAhakaH
   pratya-(5)-yasparśākāraśūnya iva rūpa samvedī na sparśasya | tathe damapi	pratya-(5)-ya-sparSa-AkAra-SUnyaH iva rUpa samvedI na sparSasya | taTe dam-api
   nīlādinirbhāsi na tatsvabhāvaśūnyajātyādisaṃvedi vyavasthāpyamāpadyate |	nIla-Adi-nirBAsi na tad-svaBAva-SUnya-jAti-Adi-saMvedi vyavasTApyam-Apadyate |
   tadetarayāṃ ve-(6)-danavivartamātrāyām |	tadA-itarayAm ve-(6)-dana-vivarta-mAtrAyAm |
   'apohaḥ śabdaliṅgābhyāṃ prakāśyata iti lthitiḥ	aapohaH Sabda-liFgAByAm prakASyate iti lTitiH
   sādhyate sarvadharmāṇāmavācyatvaprasiddhaye, |	sADyate sarva-DarmANAm-avAcya-tva-prasidDaye, |
   iti sādhyatvamanūdyate |	iti sADya-tvam-anUdyate |
   rahasyaṃ punaratra, yena nī-(7)-laṃ anīlāpohamparicchidyate pratyayena na	rahasyam punar-atra, yena nI-(7)-lam anIla-apohamparicCidyate pratyayena na
   tenaivāpohaviṣayatvamātmano vyavasthāpyate, kintarhi, pratyayāntareṇa	tena-eva-apoha-vizaya-tvam-AtmanaH vyavasTApyate, kintarhi, pratyaya-antareNa
   bādhamātanvatā nīlasvakṣaṇavilakṣaṇatvādetannirbhāsasya | tenedaṃ	bADamAtanvatA nIla-svakzaNa-vilakzaNa-tvAt-etat-nirBAsasya | tena-idam
   paraprauḍhaśāstrakṛdbhirapitatpratyayamadhikṛtyocyamānaṃ na	para-prOXa-SAstra-kRdBiH-api-tat-pratyayam-aDikRtya-ucyamAnam na
   mānasasparśiprekṣasya kṣaṇikatvānupapattiścānugata vyavavahārānanyathā	mAnasa-sparSi-prekzasya kzaNikatva-anupapattiH-ca-anugata vyavavahArAn-anyaTA
   siddheḥ śabdaliṅgavikalpāhi sādhāraṇaṃ rūpamanupasthāpayanto na	sidDeH Sabda-liFga-vikalpA-hi sADAraNam rUpam-anupasTApayantaH na
   tṛṇakubjīkaraṇe 'pi samarthā ityavivādaṃ, bāhyārthasthitau	tRNa-kubjIkaraNe api samarTAH iti-avivAdan, bAhya-arTa-sTitO
   sthirāsthiravicārāt | taccālīkaṃ vā, ākāro vā, bāhyaṃ vastu veti trayaḥ	sTirA-sTira-vicArAt | tat-ca-alIkam vA, AkAraH vA, bAhyam vastu vA-iti trayaH
   (2) pakṣāḥ | tatra na prathama pakṣaḥ taddhi tāvadanubhabādeva tathā	(2) pakzAH | tatra na praTama pakzaH tat-hi tAvat-anuBabAt-A-iva taTA
   vyavasthāpyaṃtasyālīkatvenānullekhāt | tathātve vā pravṛttivirodhāt | na	vyavasTA-apyaMtasya-alIka-tvena-anulleKAt | taTA-tve vA pravRtti-viroDAt | na
   hyalīkametadityanubhūyāpyarthakriyārthī pravartate (3)	hi-alIkam-etat-iti-anuBUya-api-arTa-kriyA-arTI pravartate (3)
   anyanivṛttisphuraṇṇānnaiṣa doṣa iti cet, etadevāsat vidhirūpasyaiva	anya-nivRtti-sPuraNNAt-na-eza dozaH iti cet, etat-eva-asat viDi-rUpasya-eva
   sphuraṇāt | nahi śabdaliṅgābhyāmiha mahīdharoddeśe 'nagni rna bhavatīti	sPuraNAt | na-hi Sabda-liFgAByAm-iha mahIDara-uddeSe anagni rna Bavati-iti
