   haṃsadūtaṃ	haMsa-dUtam
   parīhāsārambhī priyasakhi sa māṃ lambitamukhīṃ	parIhAsa-AramBI priya-saKi sa mAm lambita-muKIm
   prapede cumbāya sphuradadharabimbastava sakhā ||109	prapede cumbAya sPurat-aDara-bimbaH-tava saKA ||109
   tato.ahaṃ dhammille sthagitamuralīkā sakhi śanai-	tatas-.aham Dammille sTagita-muralIkA saKi SanE-
   ralīkāmarṣeṇa bhramadaviralabhrūrudacalam |	ralIkA-amarzeNa Bramat-a-virala-BrUH-udacalam |
   kacākṛṣṭikrīḍākramaparicite cauryacarite	kacA-kRzwi-krIxA-krama-paricite cOrya-carite
   harirlabdhopādhiḥ prasabhamanayan māṃ giridarīm ||110	hariH-labDa-upADiH prasaBam-anayat mAm giridarIm ||110
   kadācidvāsantīkuharabhuvi dhṛṣṭaḥ sarabhasaṃ	kadAcid-vAsantIkuhara-Buvi DRzwaH saraBasam
   hasan pṛṣṭhālambī sthagayati karābhyāṃ mama dṛśau |	hasan pRzWa-AlambI sTagayati karAByAm mama dRSO |
   didhīrṣau jāterṣyaṃ mayi sakhi tadīyāṅguliśikhāṃ	diDIrzO jAta-Irzyam mayi saKi tadIya-aFguli-SiKAm
   na jāne kutrāyaṃ vrajati kitavānāṃ kila guruḥ ||111	na jAne kutra-ayam vrajati kitavAnAm kila guruH ||111
   atīteyaṃ vārtā viramatu puraḥ paśya sarale	atItA-iyam vArtA viramatu puras paSya sarale
   vayasyaste so.ayaṃ smitamadhurimonmṛṣṭavadanaḥ |	vayasyaH-te so.ayam smita-maDurima-unmRzwa-vadanaH |
   bhujastambhollāsādabhimataparīrambharabhasaḥ	Buja-stamBa-ullAsAt-aBimata-parIramBa-raBasaH
   smarakrīḍāsindhuḥ kṣipati mayi bandhukakusumam ||112	smara-krIxA-sinDuH kzipati mayi banDuka-kusumam ||112
   taduttiṣṭha vrīḍāvati niviḍamuktālatikayā	tat-uttizWa vrIxAvati nivixa-muktA-latikayA
   vadhānemaṃ dhūrtaṃ sakhi madhupurīṃ yāti na yathā |	vaDAn-emam DUrtam saKi maDupurIm yAti na yaTA |
   iti premonmīladbhavadanubhavārūḍhajaḍimā	iti prema-unmIlat-Bavat-anuBava-ArUXa-jaximA
   sakhīnāmākrandaṃ na kila katiśaḥ kandalayati ||113	saKI-nAm-a-Akrandam na kila katiSas kandalayati ||113
   aho kaṣṭ.aṃ bālyādahamiha sakhīṃ duṣṭahṛdayā	aho kazw.am bAlyAt-aham-iha saKIm duzwa-hRdayA
   muhurmānagranthiṃ sahajasaralāṃ grāhitavatī |	muhur-mAna-granTim sahaja-saralAm grAhitavatI |
   tadārambhādgopīgaṇaratiguro nirbharamasau	tad-AramBAt-gopI-gaNa-rati-guro nirBaram-asO
   na lebhe lubdhāpi tvadamalabhujastambharabhasam ||114	na leBe lubDA-api tvad-amala-Buja-stamBa-raBasam ||114
   alinde kālindīkamalasurabhau kuñjavasate-	alinde kAlindI-kamala-suraBO kuQja-vasate-
   rvasantīṃ vāsantīnavaparimalodgāricikurām |	rvasantIm vAsantInava-parimala-udga-ari-cikurAm |
   tvadutsaṅge nidrāsukhamukulitākṣīṃ punarimāṃ	tvad-utsaFge nidrA-suKa-mukulita-akzIm punar-imAm
   kadāhaṃ seviṣye kiśalayakalāpavyajaninī ||115	kadA-aham sevizye kiSalaya-kalApa-vyajaninI ||115
   dhṛtānandāṃvṛndāvanaparisare śāradaniśā-	DRta-AnandAMvRndAvana-parisare SArada-niSA-
   vilāsollāsena glapitakavarīphullakusumām |	vilAsa-ullAsena glapitaka-varI-Pulla-kusumAm |
   tava skandhopānte vinihitabhujāvallarimahaṃ	tava skanDa-upAnte vinihita-BujA-vallari-m-aham
   kadā kuñje līnā rahasi vihasiṣyāmi sumukhīm ||116	kadA kuQje lInA rahasi vihasizyAmi su-muKIm ||116
   vidūrādāhartuṃ kusumamupayāmi tvamadhunā	vidUrAt-Ahartum kusumam-upayAmi tvam-aDunA
   purastīre tīre kalaya tulasīpallavamidam |	puras-tIre tIre kalaya tulasI-pallavam-idam |
   iti vyājādenāṃ viditabhavadīyasthitirahaṃ	iti vyAjAt-enAm vidita-BavadIya-sTitiH-aham
   kadā kuñje gopīramaṇa gamayiṣyāmi samaye ||117	kadA kuQje gopIramaNa gamayizyAmi samaye ||117
   iti śrīkaṃsāreḥ padakamalayorgokulakathāṃ	iti SrI-kaMsAreH pada-kamalayoH-gokula-kaTAm
   nivedya pratyekaṃ bhaja parijaneṣu praṇayitām |	nivedya pratyekam Baja parijanezu praNayitAm |
   nijāṅke kādambīsahacara vahan maṇḍanatayā	nija-aFke kAdambI-sahacara vahan maNxana-tayA
   na yān uccaiḥ premapravaṇamanujagrāha bhagavān ||118	na yAn uccEs prema-pravaNam-anujagrAha BagavAn ||118
   miladbhaṅgīṃ haṃsīramaṇa vanamālāṃ prathamato	milat-BaFgIm haMsI-ramaNa vanamAlAm praTamatas-
   mudā kṣemaṃ pṛcchann idamupaharethā mama vacaḥ |	mudA kzemam pRcCan idam-upahareTAH mama vacaH |
   ciraṃ kaṃsārāterurasi sahavāsapraṇayinīṃ	ciram kaMsArAteH-uH-asi sahavAsa-praNayinIm
   kimenāmenākṣīṃ guṇavati visasmāra bhavatī ||119	kim-ena-Amena-akzIm guNavati visasmAra BavatI ||119
   idaṃ kiṃ vā hanta smarasi rasike khaṇḍanaruṣā	idam kim vA hanta smarasi rasike KaNxanaruzA
   parītāṅgī govardhanagirinitambe mama sakhī |	parIta-aFgI govarDana-giri-nitambe mama saKI |
   bhiyā sambhrāntākṣaṃ yadiha vicakarṣa tvayi balā-	BiyA samBrAnta-akzam yat-iha vicakarza tvayi balA-
   dgṛhītvā vibhraśyan navaśikhiśikhaṃ gokulapatim ||120	dgRhItvA viBraSyat nava-SiKi-SiKam go-kula-patim ||120
   tataḥ sambhāṣethāḥ śrutimakaramudrāmiti mudā	tatas samBAzeTAH Sruti-makara-mudrAm-iti mudA
   bhavatyāṃ kartavyaḥ kimiti kuśalapraśnajaḍimā |	BavatyAm kartavyaH kim-iti kuSala-praSna-jaximA |
   rucismerā yā tvaṃ racayasi sadā cumbanakalām	ruci-smerA yA tvam racayasi sadA cumbana-kalAm
   apāṅgena spṛṣṭā sakhi murariporgaṇḍamukure ||121	apAFgena spRzwA saKi murari-poH-gaNxa-mukure ||121
   nivāsaste devi śravaṇalatikāyāmiti dhiyā	nivAsaH-te devi SravaNalatikAyAm-iti DiyA
   prayatnāt tvāmeva praṇayahṛdayā yāmi śaraṇam |	prayatnAt tvAm-eva praNaya-hRdayA yAmi SaraNam |
   parokṣaṃ vṛṣṇīnāṃ nibhṛtanibhṛtaṃ karṇakuhare	parokzam vRzNInAm niBRta-niBRtam karNa-kuhare
   hareḥ kākūnmiśrāṃ kathaya sakhi rādhāvidhuratām ||122	hareH kAku-un-miSrAm kaTaya saKi rADA-viDura-tAm ||122
   parīrambhaṃ premṇā mama savinayaṃ kaustubhamaṇau	parIramBam premNA mama sa-vinayam kOstuBa-maNO
   bruvāṇaḥ kurvīthāḥ patagavara vijñāpanamidam |	bruvANaH kurvITAH pataga-vara vijQApanam-idam |
   agādhā rādhāyāmapi tava sakhe vismṛtirabhūt	agADAH rADAyAm-api tava saKe vismRtiH-aBUt-
   kathaṃ vā kalyāṇaṃ vahati tarale hi praṇayitā ||123	kaTam vA kalyANam vahati tarale hi praNayitA ||123
   muhuḥ kūjatkāñcīmaṇivalayamañjīramuralī-	muhur kUjat-kAQcI-maNi-valaya-maQjIra-muralI-
   ravālambo bhrāmyadyuvatīkulagītaiḥ suramaṇe |	rava-AlambaH BrAmyat-yuvatI-kula-gItEH suramaNe |
   sa kiṃ sākṣādbhāvī punarapi harestāṇḍavarasai-	sa kim sAkzAt-BAvI punar-api hareH-tANxava-rasE-
   ramandaḥ kālindīpulinabhuvi tauryātrikabharaḥ ||124	ramandaH kAlindI-pulina-Buvi tOryAtrika-BaraH ||124
   navīnastvaṃ kambo paśuparamaṇībhiḥ paricayaṃ	navInaH-tvam kambo paSu-paramaNIBiH paricayam
   na dhatse rādhāyāḥ guṇagarimagandho.api na kṛtī |	na Datse rADAyAH guNa-garima-ganDaH-.api na kRtI |
   tathāpi tvāṃ yāce hṛdayanihitaṃ dohadamahaṃ	taTA-api tvAm yAce hRdaya-nihitam dohada-m-aham
   vahante hi klānte praṇayamavadātaprakṛtayaḥ ||125	vahante hi klAnte praNayam-avadAta-prakRtayaH ||125
   gṛhītvā govindaṃ jaladhihṛdayānandana sakhe	gRhItvA govindam jalaDi-hRdaya-Anandana saKe
   sukhena śrīvṛndāvanaparisare nandatu bhavān |	suKena SrI-vRndAvana-parisare nandatu BavAn |
   kathaṃ vā te goṣṭhaṃ bhavatu dayitaṃ hanta balavān	kaTam vA te gozWam Bavatu dayitam hanta balavAn
   yadetasmin veṇorjayati cirasaubhāgyamahimā ||126	yat-etasmin veNa-UH-jayati cira-sOBAgya-mahimA ||126
   iti premodgārapravaṇamanunīya kramavaśāṃ	iti prema-udgAra-pravaNam-anunIya krama-vaSAm
   parīvārān bhrātarniśamayati cāṇūramathane |	parIvArAn BrAtar-niSamayati cANUra-maTane |
   punaḥ kopodbhinnapraṇayacaṭulaṃ tasya nikaṭe	punar kopa-udBinna-praNaya-cawulam tasya nikawe
   kathāmācakṣīthāḥ daśabhiravatārairvilasitām ||127	kaTAm-AcakzITAH daSaBiH-avatArEH-vilasitAm ||127
   grahītuṃ tvāṃ premāmiṣaparivṛtaṃ cittavaḍiśaṃ	grahItum tvAm prema-Amiza-parivRtam citta-vaxiSam
   mahāmīna kṣipraṃ nādhita rasapūre mama sakhī |	mahA-mIna kzipram na-aDita rasa-pUre mama saKI |
   vivekākhyaṃ chittvā guṇamatha tadagrāsi bhavatā	viveka-AKyam CittvA guNam-aTa tad-agrAsi BavatA
   hatāśeyaṃ kiṃ vā śiva śiva vidhātuṃ prabhavati ||128	hata-ASeyam kim vA Siva Siva viDAtum praBavati ||128
   varākīyaṃ dṛṣṭvā subhagavapuṣo vibhramabharaṃ	varAkI-iyam dRzwvA suBaga-vapuzaH viBrama-Baram
   tavābhyarṇaṃ bheje paramakutukollāsitamatiḥ |	tava-aByarNam Beje parama-kutuka-ullAsita-matiH |
   tirodhāya svāṅgaṃ prakaṭayasi yat tvaṃ kaṭhinatāṃ	tiroDAya sva-aFgam prakawayasi yat tvam kaWina-tAm
   tadetat kiṃ na syāt tava kamaṭhamūrteḥ samucitam ||129	tat-etat kim na syAt tava kamaWa-mUrteH samucitam ||129
   sadā kaṃsārate sphurati ciramadyāpi bhavataḥ	sadA kaMsArate sPurati ciram-adya-api BavataH
   sphuṭaṃ kroḍākāre vapuṣi niviḍapremalaharī |	sPuwam kroxa-AkAre vapuzi nivixa-prema-la-harI |
   yataḥ sā sairandhrī malayaruhapaṅkapraṇayinī	yatas sA sEranDrI malayaruha-paFka-praNayinI
   tvayā kroḍīcakre paramarabhasādātmadayitā ||130	tvayA kroxI-cakre parama-raBasAt-a-Atma-dayitA ||130
   cirādantarbhūtā naraharimayī mūrtirabhita-	cirAt-antarBUtA nara-hari-mayI mUrtiH-aBita-
   stadīyo vyāpārastava tu na yayau vismṛtipatham |	stadIyaH vyApAraH-tava tu na yayO vismRti-paTam |
   vinītaprahlādastvamiha paramakrūracarite	vinIta-prahlAdaH-tvam-iha parama-krUra-carite
   prasakto yadbhūyaḥ parahṛdayabhedaṃ janayasi ||131	prasaktaH yat-BUyas para-hRdaya-Bedam janayasi ||131
   yadātmānaṃ darpādagaṇitagururvāmana mudā	yadA-AtmAnam darpAda-gaNita-guruH-vAmana mudA
   manorājyenāḍhyaṃ tvayi valitayā kalpitavatī |	manorAjyena-AXyam tvayi valitayA kalpitavatI |
   prapede tasyedaṃ phalamucitameva priyasakhī	prapede tasya-idam Palam-ucitam-eva priya-saKI
   vidūre yat kṣiptā praṇayamayapāśe nigaḍitā ||132	vidUre yat kziptA praNaya-maya-pASe nigaxitAH ||132
   iyaṃ nātha krūrā bhṛgupatanamakaṅkṣati tato	iyam nATa krUrA BRgupatanam-akaFkzati tatas-
   yadasyāṃ kaṭhināṃ tava samucitaṃ tadbhṛgupate |	yat-asyAm kaWinAm tava samucitam tat-BRgupate |
   asau te durbodhā kṛtiriha bhavadvismṛtipathaṃ	asO te durboDA kRtiH-iha Bavat-vismRti-paTam
   yato jātaḥ sākṣādgururapi sa nandīśvarapatiḥ ||133	yatas jAtaH sAkzAt-guruH-api sa nandISvara-patiH ||133
   nirānandā gāvaściramupasṛtā dūṣaṇakulaiḥ	nirAnandAH gAvaH-ciram-upasRtAH dUzaNa-kulEH
   kharāyante sadyo raghutilaka govardhanataṭīḥ |	KarAyante sadyas raGutilaka govarDana-tawIH |
   virādhatvaṃ ghoṣo vrajati bhavadīyapravasanā-	virADa-tvam GozaH vrajati BavadIya-pravasanA-
   didānīṃ mārīcaḥ sphuṭamiha narīṇarti paritaḥ ||134	didAnIm mArIcaH sPuwam-iha narINa-rti paritas ||134
   prasannaḥ kālo.ayaṃ punarudayituṃ rāsabhajanai-	prasannaH kAlaH-.ayam punar-udayitum rAsaBa-janE-
   rvilāsinn adyāpi sphuṭamanaparādhā vayamapi |	rvilAsin adya-api sPuwam-anaparADAH vayam-api |
   vitanvānaḥ kāntiṃ vapuṣi śaradākāśavalitāṃ	vitanvAnaH kAntim vapuzi Sarad-AkASa-valitAm
   kṛto na tvaṃ sīradhvaja bhajasi vṛndāvanamidam ||135	kRtaH na tvam sIraDvaja Bajasi vRndAvanam-idam ||135
   na rāgaṃ sarvajña kvacidapi vidhatte ratipatiṃ	na rAgam sarvajQa kvacid-api viDatte ratipatim
   muhurdveṣṭi drohaṃ kalayati balādiṣṭavidhaye |	muhur-dvezwi droham kalayati bala-Adizwa-viDaye |
   ciraṃ dhyānāsaktā nivasati sadā saugatarati-	ciram DyAna-AsaktA nivasati sadA sOgata-rati-
   stathāpyasyāṃ haṃho sadayahṛdaya tvaṃ na dayase ||136	staTA-api-asyAm haMho sadaya-hRdaya tvam na dayase ||136
   parikleśamlecchān samadamadhupālī madhurayā	parikleSa-mlecCAn sa-mada-maDupAlI maDurayA
   nikṛntatrontapraṇayakalikākhaḍgalatayā |	nikRntatra-unta-praNaya-kalikA-Kaxgala-tayA |
   tvamāsīnaḥ kalkinniha caturagopāhitaratiḥ	tvam-AsInaH kalkin=-iha caturaga-upAhita-ratiH
   sadeśaṃ kurvīthāḥ pratimuditavīrādhikamidam ||137	sa-deSam kurvITAH pratimudita-vIra-aDikam-idam ||137
   iti premodghāṭasampuṭitavaco bhaṅgirakhilaṃ	iti prema-udGAwa-sampuwita-vacaH BaFgiH-aKilam
   tvamāvedya klidyan mukhaparisaro locanajalaiḥ |	tvam-Avedya klidyan muKa-parisaraH locana-jalEH |
   tato govindasya prativacanamādhvīkapadapī-	tatas govindasya prativacana-mADvIka-pada-pI-
   mupāsīno dṛgbhyāṃ kṣaṇamavadhīthāḥ khagapate ||138	mupAsInaH dRgByAm kzaNam-avaDITAH Kaga-pate ||138
   praṇetavyo dṛṣṭeranubhavapathaṃ nandatanayo	praNetavyaH dRzweH-anuBava-paTam nanda-tanayaH-
   vidheyo gopīnāṃ bhuvanamahitānāmupakṛtiḥ |	viDeyaH gopInAm Buvanam-ahitAnAm-upakRtiH |
   iyaṃ yāmairgamyā catura mathurāpi tricaturai-	iyam yAmEH-gamyA catura maTurA-api tri-caturE-
   riti dvaidhaṃ nāntaḥ kalaya kalahaṃsīkulapate ||139	riti dvEDam na-antar kalaya kalahaMsI-kulapate ||139
   apūrvā yasyāntarvilasati mudā sāralaruci-	apUrvA yasya-antar-vilasati mudA sArala-ruci-
   rvivektuṃ śakyete sapadi milite yena payasī |	rvivektum Sakyete sapadi milite yena payasI |
   kathaṃ kāraṃ yukto bhavatu bhavatastasya kṛtinā	kaTam kAram yuktaH Bavatu BavataH-tasya kRtinA
   vilambaḥ kādambīramaṇa mathurāsaṅgamavidhau ||140	vilambaH kAdambI-ram-aNa maTurA-saFgama-viDO ||140
   prapannaḥ premāṇaṃ prabhavati sadā bhāgavatabhāk	prapannaH premANam praBavati sadA BAgavata-BAj-
   parācīno janmāvadhibhavarasādbhaktimadhuraḥ |	parAcInaH janma-avaDi-Bava-rasAt-Bakti-maDuraH |
   ciraṃ ko.api śrīmān jayati viditaḥ śākaratayā	ciram ko.api SrImAn jayati viditaH SAkara-tayA
   dhurīṇo dhīrāṇāmadhidharaṇi vaiyāsakiriva ||141	DurINaH DIrANAm-aDiDaraNi vEyAsakiH-iva ||141
   rasānāmādhārairaparicitadoṣaḥ sahṛdayai-	rasAnAm-ADArEH-aparicita-dozaH sahRdayE-
   rmurārāteḥ krīḍāniviḍaghaṭanārūpamahitaḥ |	rmurArAteH krIxA-nivixa-GawanA-rUpam-ahitaH |
   prabandho.ayaṃ bandhorakhilajagatāṃ tasya sarasāṃ	prabanDaH-.ayam banDoH-aKila-jagatAm tasya sarasAm
   prabhorantaḥ sāndrāṃ pramadalaharīṃ pallavayatu ||142	praBoH-antar sAndrAm pramada-laharIm pallavayatu ||142
