   āmnāyasya //	AmnAyasya //
   dharmādharmayoḥ prā- <B2> (keṣāñcanārthavādānāṃ	Darma-aDarmayoH prA <B2> (keza-aQcana-arTa-vAdAnAm
   stutiphalobhayārthatvanirūpaṇam) pratiṣṭhārūpavatvādikaṃ ca	stuti-Pala-uBaya-arTa-tva-nirUpaNam) pratizWA-ru-upavatva-Adikam ca
   prathamatastadbhāvabhāvitvamātreṇa pratītaṃ sādhyatvāpratītau	praTamatas-tad-BAva-BAvi-tva-mAtreNa pratItam sADya-tva-apratItO
   vāstavaguṇatvābhāvāt 'asatyaṃ nāmaitat kimapyanyadavāpsyāmī'ti	vAstava-guNa-tva-aBAvAt aasatyam nAma-etat kim-api-anyat-avApsyAmI-ati
   vārttikoktanyāyena prāśastyaṃ lakṣayitvā kiñcicchrutavidhyekavākyatayā	vArttika-ukta-nyAyena prASastyam lakzayitvA kiQcid-Sruta-viDi-eka-vAkya-tayA
   kiñcidvidhyunnāyakatayāpyupayuktamapipunarākāṅkṣayā phalārthamapi bhavati	kiQcid-viDi-unnAyaka-tayA-api-upayuktam-api-punarAkAFkzayA Pala-arTam-api Bavati
   aṣṭākapālādistutiḥ pūtatvādiguṇakathanasyopapādanena sālambanatvakaraṇāya	azwAkapAla-Adi-stutiH pUta-tva-Adi-guNa-kaTanasya-upapAdanena sa-Alambanatva-karaNAya
   evamarthavādeṣvanyeṣvapi vidhiniṣedhasamabhivyāhṛteṣu vicitragatitvaṃ mūle	evam-arTa-vAdezu-anyezu-api viDi-nizeDa-samaBivyAhRtezu vicitra-gati-tvam mUle
   ādiśabdena saṃgṛhītaṃ draṣṭavyam //	Adi-Sabdena saMgRhItam drazwavyam //
   (yanna duḥkhenetyasyāḥ stāvakatvanirūpaṇam) evañca yatra sukhanarakādirūpe	(yat-na duHKena-iti-asyAH stAvaka-tva-nirUpaNam) evaQca yatra suKa-naraka-Adi-rUpe
   phale nisargata eva rucyarucī, tatra prayojanābhāvāttatpratipādakānāṃ	Pale nisargataH eva rucI-arucI, tatra prayojana-aBAvAt-tad-pratipAdakAnAm
   'yanna duḥkhena saṃbhinnaṃ naca grastamanantaram /	ayat-na duHKena saMBinnam na-ca grastam-anantaram /
   abhilāṣopanītaṃ ca tatsukhaṃ svaḥpadāspadam' /	aBilAzA-upanItam ca tad-suKam svaHpada-Aspadam-a /
   ityādīnāṃ na prāśastyāprāśastyalakṣakatvam, kintu	ityAdInAm na prASastya-aprASastyalakzaka-tvam, kintu
   vidhiniṣedhāpekṣitasvarganarakādisvarūpaparatvameva //	viDi-nizeDa-apekzita-svarga-naraka-Adi-svarUpa-para-tvam-eva //
   (upaniṣadāmapi yathāyathaṃ karmaṇyupayoganirūpaṇam) evaṃ dūrasthānāmapi	(upanizadAm-api yaTAyaTam karmaNi-upayoga-nirUpaNam) evam dUra-sTAnAm-api
   vināśidehavyatiriktanityakartṛbhoktṛrūpātmapratipādakānāmupaniṣadāṃ	vinASi-deha-vyatirikta-nitya-kartR-BoktR-rUpa-Atma-pratipAdakAnAm-upanizadAm
   paralokaphalakakarmavidhyapekṣitoktarūpātmaparatvameva ;	para-loka-Palaka-karma-viDi-apekzita-ukta-rUpa-Atma-paratvam-eva ;
   uktavidhajñānasyānārabhyādhītasyāpi miśramate	uktaviDa-jQAnasya-anAraBya-aDItasya-api miSra-mate
   sāmarthyātsāmānyasaṃbandhabodhakapramāṇābhāve 'pi viniyojakatvāt	sAmarTyAt-sAmAnya-saMbanDa-boDaka-pramANa-aBAve api viniyojaka-tvAt-
   nyāyasudhākāramate 'yadevavidyayā karoti tadeva vīryavattaraṃ	nyAya-suDA-AkAra-mate ayat-eva-vidyayA karoti tat-eva vIryavattaram
   bhavatī'tivākyādvā kratvaṅgatvam /	BavatI-ati-vAkyAt-vA kratu-aFga-tvam /
   asaṃsārisaguṇanirguṇātmapratipādakānāmupaniṣadāṃ	asaMsAri-sa-guNa-nirguNa-Atma-pratipAdakAnAm-upanizadAm
   ubhayavidhopāsanāvidhyapekṣitatvena svārthaparatvameveti jñeyam //	uBayaviDa-upAsanA-viDi-apekzita-tvena sva-arTa-paratvam-eva-iti jQeyam //
   nanu evamarthavādānāṃ prāśastyāprāśastyajñāpakatve 'pi kathaṃ	nanu evam-arTa-vAdAnAm prASastyAprASaH-tyajQApaka-tve api kaTam
   dharmādharmapratipādakatvam? ityata āha - ataḥ siddhamiti //	Darma-aDarma-pratipAdaka-tvam? iti-atas Aha  atas sidDam-iti //
   tathāca yā viśiṣṭabhāvanārūpadharmapramā vidhibhiḥ kriyate, tasyāmeva	taTA-ca yA viSizwa-BAvanA-rUpa-Darma-pramA viDiBiH kriyate, tasyAm-eva
   prāśastyarūpaviśeṣapaṇapratipādanadvārā	prASastya-rUpa-viSeza-paNa-pratipAdana-dvArA
   dravyadevatādipadavadarthavādānāmapi tatpramāṃ prati kāraṇatvaṃ yuktam /	dravya-devatA-Adi-pada-vat-arTa-vAdAnAm-api tat-pramAm prati kAraNa-tvam yuktam /
   evaṃ niṣedhārthavādānāmapītyarthaḥ //	evam nizeDa-arTa-vAdAnAm-api-iti-arTaH //
   (arthavādānāṃ vidhinā sākaṃ padaikavākyatānirūpaṇam)	(arTa-vAdAnAm viDinA sAkam pada-eka-vAkyatA-nirUpaNam)
   atracāktādhikaraṇavārtikoktarītyā vidhyarthavādānāṃ svasvārthabodhe	atracAkta-aDikaraNa-vArtikA-ukta-rItyA viDi-arTa-vAdAnAm sva-sva-arTa-boDe
   sāmarthyābhāvāt padaikavākyataiva /	sAmarTya-aBAvAt pada-eka-vAkya-tA-eva /
   arthāpekṣatayā hi svārthaparyavasitasya vākyārthāntareṇa	arTa-apekza-tayA hi sva-arTa-paryavasitasya vAkya-arTa-antareNa
   sahaikavākyatāyāmeva aṅgapradhānavidhyoriva vākyaikavākyatāniyamāt /	saha-eka-vAkya-tAyAm-eva aFga-praDAna-viDyoH-iva vAkya-eka-vAkya-tA-niyamAt /
   taduktam - aktādhikaraṇavārttike //	tat-uktam  akta-aDikaraNa-vArttike //
   'svārthe parisamāptānāṃ aṅgāṅgitvādyapekṣayā /	asvArTe parisamAptAnAm aFga-aFgi-tva-Adi-apekzayA /
   vākyānāmekavākyatvaṃ punaḥ saṃhatya jāyate' /	vAkyAnAm-eka-vAkya-tvam punar saMhatya jAyate-a /
   iti //	iti //
   etena - adhikaraṇamālādiṣvathravādavidhyorvākyaikavākyatoktiḥ - apāstā //	etena  aDikaraNa-mAlA-Adizu-aTra-vAda-viDyoH-vAkya-eka-vAkyatoktiH  apAstA //
   (śābdabhāvanāyā itikartavyatākāṅkṣābhāvaḥ) yadyapi prāśastyasya	(Sa-abda-BAvanAyAH itikartavya-tA-kAFkzA-BAvaH) yadi-api prASastyasya
   śābdabhāvanetikartavyatātvādarthabhāvanetikartavyatāvatkathamityākāṅkṣottaraṃ	SAbda-BAvanA-iti-kartavya-tA-tvAt-arTa-BAvanA-iti-kartavya-tAvat-kaTam-iti-AkAFkza-uttaram
   itthamitītikartavyatānvayaḥ saṃbhavati, nahyevaṃ śabdabhāvanāyāḥ	itTam-iti-iti-kartavyatA-anvayaH saMBavati, na-hi-evam Sabda-BAvanAyAH
   pratividhi kartavyatābodhaḥ; tadviṣayakapravartanāntarāpratīteḥ, kintu	prativiDi kartavyatA-boDaH; tad-vizayaka-pravartana-antara-apratIteH, kintu
   arthabhāvanāyāmeva saḥ; adhyayanavidhāvevatvarthāt tasyāḥ	arTa-BAvanAyAm-eva saH; aDyayana-viDO=-evatvarTAt tasyAH
   kartavyatvabodhaḥ, pratividhitvānuṣṭhānāvasthā //	kartavya-tva-boDaH, prativiDi-tva-anuzWAna-avasTA //
   (keṣāñcinmatena prāśastyasya śābdabhāvanāyāmanvayaḥ) tatraca	(kezAQcit-matena prASasti-asya SAbda-BAvanAyAm-anvayaH) tatra-ca
   prāśastyasyājñātasya pravṛtti prati kārakatvāsaṃbhavāt kāraṇāpekṣayaiva	prASasti-asya-ajQAtasya pravRtti prati kAraka-tva-asaMBavAt kAraNa-apekzayA-eva
   praśastatvādityevānvayo yuktaḥ /	praSasta-tvAt-iti-eva-anvayaH yuktaH /
   parantu tenāpi rūpeṇa	parantu tena-api rUpeNa
   svaviṣayajñānajanyapravṛttinivṛttijanakajñānaviṣayatvasaṃbandhena	sva-vizaya-jQAna-janya-pravRtti-nivRtti-janaka-jQAna-vizaya-tva-saMbanDena
   śabdabhāvanāyāmevānvayaḥ keṣāñcinmate //	Sabda-BAvanAyAm-eva-anvayaH kezAQcit-mate //
   (svamatena prāśastyādīnāmapi paraṃparāsaṃbandhenārthabhāvanāyāmanvayaḥ)	(sva-matena prASastyAdInAm-api paraMparA-saMbanDena-arTa-BAvanAyAm-anvayaH)
   svamate tu anyasubantārthavadekakāryakāraṇabhāvalāghavānurodhena	sva-mate tu anya-subanta-arTavat-eka-kArya-kAraNa-BAva-lAGava-anuroDena
   svaviṣayajñānajanyeṣṭaviṣayakotkaṭarāgajanyatvasaṃbandhena prāśastyasya	sva-vizaya-jQAna-janyA-izwa-vizayaka-utkawa-rAga-janya-tva-saMbanDena prASastyasya
   svaviṣayakajñānajanyāniṣṭaviṣayakotkaṭadveṣajanyatvasaṃbandhenāprāśastyasya-	sva-vizaya-ka-jQAna-janyA-anizwa-vizayaka-utkawa-dveza-janya-tva-saMbanDena-aprASastyasya-
   cārthabhāvanāyāmevānvaya iti matabhedajñāpanāya saṃmugadhākāreṇa -	ca-arTa-BAvanAyAm-eva-anvayaH iti mata-Beda-jQApanAya saMmugaDAkAreNa -
   bhāvanānvitastutinindetyuktam /	BAvanA-anvita-stuti-nindA-iti-uktam /
   tenaca svarūpasaṃbandhena tayordhātvarthe evānvaya iti keṣāñcinmataṃ tu	tena-ca svarUpa-saMbanDena tayoH-DAtu-arTe eva-anvayaH iti kezAQcit-matam tu
   atīva nirastaṃ veditavyam ; anvayamūlabhūtāyāḥ sahakāryapekṣāyāḥ kāraṇe	atIva nirastam veditavyam ; anvaya-mUla-BUtAyAH saha-kAri-apekzAyAH kAraNe
   kārye vānvayenaiva śamanāt //	kArye vA-anvayena-eva SamanAt //
   (arthavādānāṃ prāśastyapratipādakatayā dharmopayogopasaṃhāraḥ) tasmāt	(arTa-vAdAnAm prASastyapratipAdaka-tayA Darma-upayoga-upasaMhAraH) tasmAt-
   svādhyāyavidhinār'thavādasyāpi puruṣārthaparyavasānabodhanāt paraṃparayāpi	svADyAya-viDinA-Ar-aTavAdasya-api puruza-arTa-paryavasAna-boDanAt paraMparayA-api
   dṛṣṭaphalalābhe svargādikalpanānupapatterbhūtārthamātrasyāprayojanatvāt	dRzwa-Pala-lABe svarga-Adi-kalpanA-anupapatteH-BUta-arTa-mAtrasya-aprayojana-tvAt-
   prāśastyāprāśastyaparatvaṃ lakṣaṇayā'śritya tayoryathāyogaṃ	prASastya-aprASasti-aparatvam lakzaNayA-aSritya tayoH-yaTAyogam
   vidhiniṣedhavākyopāttabhāvanāyāmanvayena	viDi-nizeDa-vAkya-upAtta-BAvanAyAm-anvayena
   viśiṣṭabhāvanārūpadharmādharmaprayojanakatvaṃ siddham //	viSizwa-BAvanA-rUpa-Darma-aDarma-prayojanaka-tvam sidDam //
   <B1> māṇyamiti /	<B1> mANyam-iti /
   prayojanaṃ pūrvapakṣe arthavādānupasthitaprāśastyajñānādapi pravṛttau	prayojanam pUrva-pakze arTa-vAdAn-upasTita-prASastyajQAnAt-api pravRttO
   phalasiddhiḥ, siddhānte tu mantravadarthavādānāmeva	Pala-sidDiH, sidDAnte tu mantra-vat-arTa-vAdAnAm-eva
   prarocakatvaniya1māttadupasthitaprāśastyajñānādeva pravṛttau seti	prarocaka-tva-niya1mAt-tad-upasTita-prASastyajQAnAt-eva pravRttO sA-iti
   draṣṭavyam // 1 // iti prathamamarthavādādhikaraṇam //	drazwavyam // 1 // iti praTamam-arTavAda-aDikaraNam //
   (2 adhikaraṇam /) vidhirvā //	(2 aDikaraNam /) viDiH-vA //
   "audumbaro yūpo bhavatyūrga vā udumbara ūrka paśava ūrjaivāsmā ūrjaṃ	"OdumbaraH yUpaH Bavati-Urga vA udumbaraH Urka paSavaH UrjA-eva-asmE Urjam
   paśūnāpnotyūrjo 'varudhyai" ityādyarthavādeṣu na stutilakṣaṇā; śaktyaiva	paSUn-Apnoti-UrjaH avaruDyE" iti-Adi-arTa-vAdezu na stuti-lakzaNA; SaktyA-eva
   paśurūpaphalasaṃbandhavidhāyakatvena prāmāṇyopapatteḥ /	paSu-rUpa-Pala-saMbanDa-viDAyaka-tvena prAmANya-upapatteH /
   paśūniti dvitīyayā ūrjo 'varudhyā iti caturthyā vā paśūnāṃ sādhyatve	paSUn-iti dvitIyayA UrjaH avaruDyAH iti caturTyA vA paSUnAm sADya-tve
   'vagate sādhanāpekṣatvādaudumbaratvaṃ <B2> (arthavādaprāmāṇyavicārasya	avagate sADana-apekza-tvAt-Odumbara-tvam <B2> (arTa-vAda-prAmANya-vicArasya
   sādhāraṇāsādharaṇaprayojanadvayanirūpaṇam)	sADAraNA-sADaraNa-prayojana-dvaya-nirUpaNam)
   arthavādaprāmāṇyavyutpādanaprayojanaṃ ca	arTavAda-prAmANya-vyutpAdana-prayojanam ca
   sandigdhārthanirṇayaphalādisiddhirūpamasādhāraṇaṃ tattadarthavādeṣu	sandigDa-arTa-nirNaya-Pala-Adi-sidDi-rUpam-asADAraNam tad-tad-arTa-vAdezu
   tattadadhika2raṇeṣu jñāsyata eveti tadvihāya sādhāraṇaṃ prayojanamāha ----	tad-tad-aDika2raNezu jQAsyate eva-iti tat-vihAya sADAraNam prayojanam-Aha ----
   prayojanamiti (ākṣepikyādisaṃgatisvarūpanirūpaṇam) atha saṃgatiḥ	prayojanam-iti (a-AkzepikI-Adi-saMgati-svarUpa-nirUpaNam) aTa saMgatiH
   śāstrādhyāyapadādhikaraṇaistāvat caturdhā /	SAstra-aDyAya-pada-aDikaraNEH-tAvat caturDA /
   tatrāpi adhikaraṇasaṃgatī rāśīkaraṇena ṣoḍhā saptadhā vā //	tatra-api aDikaraNa-saMgatiH rASIkaraNena zoXA saptaDA vA //
   pūrvamākṣipyate yatra tatra sā'kṣepikī matā /	pUrvam-Akzipyate yatra tatra sA-akzepikI matA /
   pūrvanyāyātyayo yatra pratyudāharaṇā tu sā //	pUrva-nyAya-atyayaH yatra pratyudAharaNA tu sA //
   prasaṃgāt cintyate yatra tatra prāsaṅgikī matā /	prasaMgAt cintyate yatra tatra prAsaFgikI matA /
   buddhisthā cintyate yatra buddhisthānātmikā tu sā /	budDi-sTA cintyate yatra budDi-sTAna-AtmikA tu sA /
   kṛtvā yatrādhikāṃ śaṅkāṃ pūrvamevātidiśyate /	kRtvA yatra-aDikAm SaFkAm pUrvam-eva-atidiSyate /
   tatrātideśikī proktā saṃgatirnyāyavedibhiḥ /	tatra-atideSikI proktA saMgatiH-nyAya-vediBiH /
   cintāṃ prakṛtisidhyarthāmupodghātaṃ pracakṣate /	cintAm prakRti-siDI-arTAm-upodGAtam pracakzate /
   iti /	iti /
   yadā ṣoḍhā tadā prasaṃgasaṃgatāvevopodghātasyāntarbhāvo jñeyaḥ /	yadA zoXA tadA prasaMga-saMgatO=-eva-upodGAtasya-antarBAvaH jQeyaH /
   tadevaṃvidhaṃ saṃgatyādikaṃ pratyadhikaraṇaṃ sudhībhiḥ śakyamevohitumiti	tat-evaMviDam saMgatya-Adikam pratyaDikaraNam suDIBiH Sakyam-eva-uhitum-iti
   vistarabhiyā pūjyapādairna darśitamiti mayāpi na viśiṣya pradarśyate //	vistara-BiyA pUjya-pAdEH-na darSitam-iti mayA-api na viSizya pradarSyate //
   iti prathamamarthavādādhikaraṇam //	iti praTamam-arTavAda-aDikaraNam //
   (pūrvādhikaraṇena saṃgatinirūpaṇam) pūrvādhikaraṇe sarveṣvarthavādeṣu	(pUrva-aDikaraNena saMgati-nirUpaNam) pUrva-aDikaraNe sarvezu-arTa-vAdezu
   stutyarthatvenānarthakyābhāve sādhite saṃprati keṣucidarthavādeṣu	stuti-arTa-tvena-anarTakya-aBAve sADite saMprati kezucid-arTa-vAdezu
   anyavidhayāpi tadabhāvopapatternavyarthaprāyastutiparatvamāśrayaṇīyam	anyaviDayA-api tad-aBAva-upapatteH-navi-arTa-prAya-stuti-paratvam-ASrayaNIyam
   ityākṣipya samādhīyata ityevamākṣepikīṃ saṃgatiṃ pūrvapakṣopasaṃhāre	iti-Akzipya samADIyate iti-evam-AkzepikIm saMgatim pUrva-pakza-upasaMhAre
   sūcayiṣyate /	sUcayizyate /
   tadarthaṃ "somāpauṣṇaṃ traitamālabheta paśukāma" iti	tad-arTam "somApOzNam trEtam-AlaBeta paSu-kAma" iti
   vaikṛtayāgaprakaraṇagatamarthavādaviśeṣodāharaṇaṃ darśayati --- audumbara	vEkRta-yAga-prakaraNa-gatam-arTavAda-viSeza-udAharaNam darSayati -- Odumbara
   iti //	iti //
   (viṣayavākyārthanirūpaṇam) audumbaro yūpo bhavatīti vidhirayam /	(vizaya-vAkya-arTa-nirUpaNam) OdumbaraH yUpaH Bavati-iti viDiH-ayam /
   ūrgvā udumbara ityayamaṃśor'thavādaḥ /	UrgvAH udumbaraH iti-ayam-aMSoH-aTavAdaH /
   vāśabdo vaiśabdārthaḥ /	vA-SabdaH vESabda-arTaH /
   udumbaraśabdenānnamucyate /	udumbara-Sabdena-annam-ucyate /
   udumbaro hi pakvaphaladvārānnamayaḥ, paśavo hyannamayā iti loke prasiddham	udumbaraH hi pakva-Pala-dvAra-anna-mayaH, paSavaH hi-anna-mayAH iti loke prasidDam
   ata audumbararūpaṃ yūpaṃ yo bhāvayati yajamānāya paśūn dhārayati so	atas Odumbara-rUpam yUpam yaH BAvayati yajamAnAya paSUn DArayati saH-
   'dhvaryuḥ ityarthavādārthaḥ /	aDvaryuH iti-arTa-vAda-arTaH /
   ityādīti //	ityAdi-iti //
   ādipadena "na sa pāpaṃ ślokaṃ śṛṇoti" ityādīnāṃ	Adipadena "na sa pApam Slokam SRNoti" ityAdInAm
   parṇamayītvādividhyarthavādānāṃ saṃgrahaḥ /	parNa-mayItva-Adi-viDi-arTa-vAdAnAm saMgrahaH /
   atraca prakṛtodāharaṇe siddhānte ūrjo 'varudhyai ityantor'thavādaḥ,	atra-ca prakRta-udAharaNe sidDAnte UrjaH avaruDyE iti-antor-aTa-vAdaH,
   yāgaphalameva phalam //	yAga-Palam-eva Palam //
   pūrvapakṣetu ūrjaṃ paśūnāpnotyūrjo 'varudhyai" ityasya phalabodhakatvena	pUrva-pakzetu Urjam paSUn-Apnoti-UrjaH avaruDyE" iti-asya Pala-boDaka-tvena
   na stāvakatvam /	na stAvaka-tvam /
   "yastūrgvā udumbaraḥ" iti vedabhāgaḥ, sa	"yastu-UrgvAH udumbaraH" iti veda-BAgaH, sa
   sādhyasādhanabhāvaucityapradarśanadvārā praśaṃsārtho bhavatyeveti vivekaḥ	sADya-sADa-na-BAva-Ocitya-pradarSana-dvArA praSaMsA-arTaH Bavati-eva-iti vivekaH
   śaktyaiveti //.//	SaktyA-eva-iti //.//
   tataśca tātparyagrāhakamānāntarasāpekṣatvena lakṣaṇāyā daurbalyānna	tatas-ca tAtparya-grAhaka-mAna-antara-sApekza-tvena lakzaNAyAH dOrbalyAt-na
   prāśastyalakṣaṇāṅgīkāryetyarthaḥ /	prASasti-alakzaNa-aFgIkAryA-iti-arTaH /
   vidhāyakatveneti //	viDAyaka-tvena-iti //
   yadyapi phalāṃśe rāgata eva pravṛtternāpravṛttapravartanarūpavidhiḥ	yadi-api Pala-aMSe rAgataH eva pravRtteH-na-apravRtta-pravartana-rUpa-viDiH
   saṃbhavati; tathāpyajñātajñāpakatvāṃśena vidhāyakatvoktiḥ /	saMBavati; taTA-api-ajQAta-jQApaka-tva-aMSena viDAyaka-tva-uktiH /
   nanu kāmapadādyabhāve kathaṃ paśūnāṃ phalatvapratītiḥ yena tadbodhakatvena	nanu kAma-pada-Adi-aBAve kaTam paSUnAm Pala-tva-pratItiH yena tad-boDaka-tvena
   prāmāṇyamucyata ityata āha--- paśūniti //	prAmANyam-ucyate iti-atas Aha-- paSUn-iti //
   paśūniti dvitīyayā sādhyatvāṃśamātrāvagame 'pi	paSUn-iti dvitIyayA sADya-tva-aMSa-mAtra-avagame api
   yogyatayepsitatvasyāpyavagamāt bhāvyatvasiddhirityarthaḥ /	yogyatayA-Ipsita-tvasya-api-avagamAt BAvya-tva-sidDiH-iti-arTaH /
   sādhyatve 'vagate iti //	sADya-tve avagate iti //
   <B3> (1) F.N. prayojanavadarthāvagamasya yadeva vidyayā karotīti vākyena	<B3> (1) F.N. prayojana-vat-arTa-avagamasya yat-eva vidyayA karoti-iti vAkyena
   kratusaṃbandhaḥ siddha iti arthajñānaprayuktamapyadhyayanaṃ kratāveva	kratu-saMbanDaH sidDaH iti arTa-jQAna-prayuktam-api-aDyayanam kratO=-eva
   paryavasyatīti niyamavidhitvopapattirityupāyāntaravyāvṛttiphalako	paryavasyati-iti niyama-viDi-tva-upapattiH-iti-upAya-antara-vyAvRtti-Pala-kaH-
   niyamavidhiriti kaustubhe /	niyama-viDiH-iti kOstuBe /
   nyāyaratnamālāyāntu puruṣārtheṣvapi dravyārjanādiṣu niyamavidhyupalambhāt	nyAya-ratna-mAlA-yAntu puruza-arTezu-api dravya-arjana-Adizu niyama-viDi-upalamBAt-
   na kratvartheṣveva niyamavidhiriti niyama iti	na kratu-arTezu-eva niyama-viDiH-iti niyamaH iti
   niyamavidherarthavattvamupapāditam /	niyama-viDeH-arTavat-tvam-upapAditam /
   (2) rātrisatre pratiṣṭhā syāt ajñāne ghṛtasaṃsthitiḥ /	(2) rAtri-satre pratizWA syAt ajQAne GRta-saMsTitiH /
   tathā śyenādivākyānāṃ nāmatā bhedakāraṇam // 1 //	taTA Syena-Adi-vAkyAnAm nAmatA Beda-kAraNam // 1 //
   vāruṇeṣṭyāṃ tathā dānaṃ vamanaṃ vaidikaṃ tathā /	vAruNezwyAm taTA dAnam vamanam vEdikam taTA /
   somayāgaparatvaṃ ca jyotiṣṭomapadasya yat // 2 //	somayAga-paratvam ca jyotizwoma-padasya yat // 2 //
   niveśanaṃ ca dhāyyānāṃ madhyamānaṛguttaram /	niveSanam ca DAyyAnAm maDyamAnaRguttaram /
   sthānāpattirirādīnāṃ rudre rodanavācyapi // 3 //	sTAnApattiH-iH-AdInAm rudre rodana-vAci-api // 3 //
   uttarāṇāṃ tridhādhikyaṃ ṛtvik ca brāhmaṇo bhavet /	uttarANAm triDA-ADikyam Rtvij ca brAhmaNaH Bavet /
   somavidyāprajādīnāṃ nityatvaṃ ṣaṣṭhasaṃsthitam // 4 //	soma-vidyA-prajA-AdInAm nitya-tvam zazWa-saMsTitam // 4 //
   dvayoḥ praṇayanaṃ madhyaparvaṇoḥ saptamoditam /	dvayoH praNayanam maDya-parvaNoH saptama-uditam /
   arthavādagatairliṅgaiḥ prakṛtitvaṃ tathāṣṭame // 5 //	arTa-vAda-gatEH-liFgEH prakRti-tvam taTA-azwame // 5 //
   iti kaustubhe /	iti kOstuBe /
   <B1> sādhanam; sannidhānāt, ūrjeti tṛtīyāśravaṇācca, bhavatītyākhyātena ca	<B1> sADanam; sanniDAnAt, UrjA-iti tRtIyA-SravaNAt-ca, Bavati-iti-AKyAtena ca
   lakṣaṇayā śaktyaiva vā bhāvanābhidhānād bhūdhātośca	lakzaNayA SaktyA-eva vA BAvanA-aBiDAnAt BUDAtoH-ca
   yūpotpādakacchedanādyanuvādakatvādaprāptārthatvena ca leṭtvaniścayāt	yUpa-utpAda-ka=-Cedana-Adi-anuvAdaka-tvAt-aprApta-arTa-tvena ca lewtva-niScayAt-
   ubhayaviśiṣṭabhāvanāvidhāyakatvopa pattirityākṣepe prāpte ---	uBaya-viSizwa-BAvanA-viDAyaka-tva-upa pattiH-iti-Akzepe prApte ---
   yūpakartṛkabhāvanākṣiptāyāṃ bhāvanāyāṃ yūpasyaiva bhāvyatvaucityāt	yUpakartRka-BAvanA-AkziptAyAm BAvanAyAm yUpasya-eva BAvya-tva-OcityAt-
   sannidhānācca yūpoddeśenaivaudumbaratvavidhiḥ, natu phaloddeśena;	sanniDAnAt-ca yUpa-uddeSena-eva-Odumbara-tva-viDiH, na-tu Pala-uddeSena;
   kāmaśabdādyabhāvena phalatvasya tathānupasthiteḥ /	kAma-Sabda-Adi-aBAvena Pala-tvasya taTA-anupasTiteH /
   kiñca bhavanmate guṇaphalasaṃbandho 'yam /	kiQca Bavat-mate guNa-Pala-saMbanDaH ayam /
   nacāsau saṃbhavati; āśrayālābhāt, "somāpauṣṇaṃ traitamālabheta paśukāma"	nacAsO saMBavati; ASraya-alABAt, "somApOzNam trEtam-AlaBeta paSu-kAma"
   iti prakṛtasya yāgasyāśrayatve hi yūpagrahaṇānupapattiḥ /	iti prakRtasya yAgasya-ASraya-tve hi yUpa-grahaNa-anupapattiH /
   yūpasya tu aprakṛtatvādevāśrayatvānupapattiḥ /	yUpasya tu aprakRta-tvAt-eva-ASraya-tva-anupapattiH /
   atideśena tasyopasthitistu juhvādipātrāntarasādhāraṇīti teṣāmapyāśrayatve	atideSena tasya-upasTitiH-tu juhvA-Adi-pAtra-antara-sADAraNI-iti tezAm-api-ASraya-tve
   tathaiva yūpagrahaṇānarthakyam /	taTA-eva yUpa-grahaNa-AnarTakyam /
   vākyenāśrayadāne ca vākyabhedaḥ /	vAkyena-ASraya-dAne ca vAkya-BedaH /
   ta- <B2> (audumbara iti	ta <B2> (OdumbaraH iti
   vikārapratyayasyānyathāsiddhatvāddvitīyācaturthīśrutibhyāṃ	vikAra-pratyayasya-anyaTA-sidDa-tvAt-dvitIyA-caturTI-SrutiByAm
   paśuphalatvanirūpaṇam) etena -- audumbara iti vikārārthataddhitena	paSu-Pala-tva-nirUpaNam) etena - OdumbaraH iti vikAra-arTa-tad-hitena
   yūpatātparyagrāhakabalāt yūparūpaviśeṣokteḥ yūpapadopāttapratyāsatyāca	yUpatAt-paryagrAhaka-balAt yUpa-rUpa-viSeza-ukteH yUpa-pada-upAtta-pratyAsatyAca
   yūpārthaiva syāt iti -- nirastam; tadapekṣayā balīyasyā	yUpArTa-eva syAt iti - nirastam; tad-apekzayA balIyasyA
   dvitīyācaturthīśrutyā paśvarthatāyā bodhane sati nāntarīyakatayā	dvitIyA-caturTI-SrutyA paSu-arTa-tAyAH boDane sati na-antarIyaka-tayA
   prāptayūparūpāśrayajanakatvena taddhitopapatteḥ	prApta-yUpa-rUpa-ASraya-janaka-tvena tat-hita-upapatteH
   samānapadaśruteranyathāsiddhatvādityarthaḥ //	samAna-pada-SruteH-anyaTA-sidDa-tvAt-iti-arTaH //
   (yajeta svargakāma ityādāviva sannidhānāt udumbarasādhanatānirūpaṇam)	(yajeta svarga-kAmaH iti-AdO=-iva sanniDAnAt udumbara-sADana-tA-nirUpaNam)
   sannidhānāditi //	sanniDAnAt-iti //
   yathaiva "yajeta svargakāmaḥ" "sarvebhyo jyotiṣṭoma" ityādau	yaTA-eva "yajeta svarga-kAmaH" "sarveByaH jyotizwoma" iti-AdO
   tṛtīyādyabhāve 'pi svargādigatasādhyatvapratītyā sannidhānamātreṇa	tRtIya-Adi-aBAve api svarga-Adi-gata-sADya-tva-pratItyA sanniDAna-mAtreNa
   yāgasyāpekṣitasādhanatāvagatiḥ, tadvadihāpītyarthaḥ /	yAgasya-apekzita-sADana-tA-avagatiH, tadvat-iha-api-iti-arTaH /
   yadyapīha ūrjeti tṛtīyayāpi sādhanatāvagatiḥ sulabhā; tathāpi parṇatādau	yadi-api-ihaH UrjA-iti tRtIyayA-api sADana-tA-avagatiH sulaBA; taTA-api parNa-tA-AdO
