   dvitīya ucchvāsaḥ	dvitIyaH ucCvAsaH
   kṛtaprasādo devaḥ' iti /	kRta-prasAdaH devaH-a iti /
   bāṇastu "dhanyo 'smi, yadevamanugrāhyaṃ māṃ devo manyate' ityuktvā	bANaH-tu "DanyaH asmi, yat-evam-anugrAhyam mAm devaH manyate-a iti-uktvA
   tenopadiśyamānamārgaḥ prāviśadabhyantaram /	tena-upadiSyamAna-mArgaH prAviSat-aByantaram /
   atha vanāyujaiḥ, āraṭṭajaiḥ, bhāradvājaiḥ, sindhudeśajaiḥ, pārasīkaiśca,	aTa vanAyu-jEH, Arawwa-jEH, BAradvAjEH, sinDu-deSa-jEH, pArasIkEH-ca,
   śoṇaiśca, śyāmaiśca, śvetaiśca, piñjaraiśca, haridbhiśca,	SoNEH-ca, SyAmEH-ca, SvetEH-ca, piQjarEH-ca, haridBiH-ca,
   tittirikalmāṣaiśca, pañcabhadraiśca, mallikākṣaṃśca, kṛttikāpiñjaraiśca,	tittiri-kalmAzEH-ca, paQcaBadrEH-ca, mallikA-akzan=-ca, kRttikA-piQjarEH-ca,
   āyatanirmāṃsamukhaiḥ, anutkaṭakarṇakośaiḥ,	Ayata-nirmAMsa-muKEH, anutkawa-karNa-koSEH,
   suvṛttaślakṣṇasughaṭitaghaṇṭikābandhaiḥ, yūpānupūrvīvakrāyatodagragrīvaiḥ,	su-vRtta-SlakzNa-su-Gawita-GaNwikA-banDEH, yUpa-AnupUrvI-vakra-Ayata-udagra-grIvEH,
   upacayaśvasatsvandhasaṃdhibhiḥ, nirbhugnoraḥsthalaiḥ	upacaya-Sva-satsu-anDa-saMDiBiH, nirBugna-uraH-sTalEH
   asthūlapraguṇaprasṛtairlohapīṭhakaṭhinakhuramaṇḍalaiḥ,	asTUla-praguNa-prasRtEH-loha-pIWa-kaWina-Kura-maNxalEH,
   atijvatruṭanabhayādanirmitāntrāṇīvodarāṇi vṛttāni dhārayadbhiḥ, udyaddro	ati-jva-truwana-BayAt-anirmita-antrANi-iva-udarANi vRttAni DArayadBiH, udyaddro
   ṇīvibhajyamānapṛthujaghanaiḥ, jagatīdolāyamānabālapallavaiḥ,	NI-viBajyamAna-pRTu-jaGanEH, jagatI-dolAyamAna-bAla-pallavEH,
   kathamapyubhayato nikhātadṛḍhabhūripāśasaṃyamananiyantritaiḥ, āyatairapi	kaTam-api-uBayatas niKAta-dRXa-BUri-pASa-saMyamana-niyantritEH, AyatEH-api
   paścātpāśabandhaparavaśaprasāritaikāṅghribhirāyatatarairivopalakṣyamāṇaiḥ,	paScAt-pASa-banDa-para-vaSa-prasArita-eka-aFGriBiH-AyatatarEH-iva-upalakzyamANEH,
   bahuguṇasūtragrathitagrīvāgaṇḍakaiḥ, āmīlitalocanaiḥ,	bahu-guNa-sUtra-graTita-grIvA-gaNxakEH, AmIlita-locanEH,
   dūrvārasaśyāmalaphenalavaśabalān daśanagṛhītamuktān pharapharitatvacaḥ	dUrvA-rasa-SyAmala-Pena-lava-SabalAn daSana-gRhIta-muktAn Para-Parita-tvacaH
   kaṇḍūjuṣaḥ pradeśān prajālayadbhiḥ, sālasavalitavāladhibhiḥ,	kaNxU-juzaH pradeSAn prajAlayadBiH, sAlasa-valita-vAlaDiBiH,
   ekaśaphaviśrāntiśramasrastaśithilitajaghanārdhaiḥ, nidrayā	eka-SaPa-viSrAnti-Srama-srasta-SiTilita-jaGana-arDEH, nidrayA
   pradhyāyadbhiśca, skhalitahuṅkāramandamandaśabdāyamānaiśca,	praDyAyadBiH-ca, sKalita-huFkAra-manda-manda-SabdAyamAnEH-ca,
   tāḍitakhūradharaṇīraṇitamukharaśikharaśuralikhitakṣmātalairghāsamabhilaṣadbhiśca,	tAxita-KUra-DaraNI-raNita-muKara-SiKara-Sura-liKita-kzmA-talEH-GAsam-aBilazadBiH-ca,
   tāḍitakhūradharaṇīraṇitamukharaśikharakhuralikhitakṣmātalairghāsamabhilaṣadbhiśca,	tAxita-KUra-DaraNI-raNita-muKara-SiKara-Kura-liKita-kzmA-talEH-GAsam-aBilazadBiH-ca,
   prakīryamāṇayavasagrāsarasamatsarasamudbhūtakṣobhaiśca,	prakIryamANa-yavasa-grAsa-rasa-matsara-samudBUta-kzoBEH-ca,
   prakupitacaṇḍacaṇḍālahuṅkārakātaratarataralatārakaiśca,	prakupita-caNxa-caNxAla-huFkAraka-ataratara-tarala-tArakEH-ca,
   kuṅkumapramṛṣṭipiñjarāṅgatayā	kuFkuma-pramRzwi-piQjara-aFga-tayA
   satatasannihitanīrājanānalarakṣyamāṇairivoparivitatavitānaiḥ,	satata-sannihita-nIrAjana-anala-rakzyamANEH-iva-upari-vitata-vitAnEH,
   puraḥpūjitābhimatadaivataiḥ, bhūpālavallabhaisturaṅgairāracitāṃ mandurāṃ	puras-pUjita-aBimata-dEvatEH, BUpAla-vallaBEH-turaFgEH-AracitAm mandurAm
   vilokayan, kutūhalākṣiptahṛdayaḥ kiñcidantaramatikrānto	vilokayan, kutUhala-Akzipta-hRdayaH kiQcid-antaram-atikrAntaH-
   hastavāmenātyuccatayā niravakāśamivākāśaṃ kurvāṇam, mahatā kadalīvanena	hasta-vAmena-ati-uccatayA niravakASam-iva-AkASam kurvANam, mahatA kadalI-vanena
   parivṛtaparyantaṃ sarvato	parivRta-paryantam sarvatas-
   madhukaramayībhirmadasrutibhirnadībhirivāpatantībhirāpūryamāṇam,	maDukara-mayIBiH-mada-srutiBiH-nadIBiH-iva-ApatantIBiH-ApUryamANam,
   āśāmukhavisarpiṇā bakulavanānāmiva vikasatāmāmodeva limpantaṃ	ASA-muKa-visarpiNA bakula-vanAnAm-iva vikasatAm-Amodeva limpantam
   ghrāṇendriyaṃ dūrādavyaktamibhadhiṣṇyāgāramapaśyat /	GrANa-indriyam dUrAt-avyaktam-iBa-DizNya-AgAram-apaSyat /
   apṛcchacca--"atra devaḥ kiṅkaroti?' iti /	apRcCat-ca--"atra devaH kiFkaroti?-a iti /
   asāvakathayat--"eṣa khalu devasyaupavāhyo vāhyaṃ hṛdayaṃ jātyantarita ātmā	asO=-akaTayat--"eza Kalu devasya-OpavAhyaH vAhyam hRdayam jAti-antaritaH AtmA
   bahiścarāḥ prāṇā vikramakrīḍāsuhṛddarpaśāta iti yathārthanāmā vāraṇapatiḥ	bahiScarAH prANAH vikrama-krIxA-suhRd-darpa-SAtaH iti yaTArTa-nAmA vAraNa-patiH
   tasyāvasthānamaṇḍapo 'yaṃ mahān dṛśyate' iti /	tasya-avasTAna-maNxapaH ayam mahAn dRSyate-a iti /
   sa tamavādīt--"bhadra! śrūyate darpaśātaḥ yadyevamadoṣo vā paśyāmi	sa tam-avAdIt---"Badra! SrUyate darpa-SAtaH yadi-evam-adozaH vA paSyAmi
   tāvadvāraṇendrameva /	tAvat-vAraNa-indram-eva /
   ator'hasi māmatra prāpayitum /	ator-ahasi mAm-atra prApayitum /
   atiparavānasmi kūtūhalena' iti /	ati-paravAn-asmi kUtUhalena-a iti /
   so 'bhāṣata--"bhavatvevam /	saH aBAzata---"-Bava-tu-evam /
   āgacchatu bhavān /	AgacCatu BavAn /
   ko doṣaḥ /	kaH dozaH /
   paśyatu tāvadvāraṇendram' iti /	paSyatu tAvat-vAraNa-indram-a iti /
   gatvā ca taṃ pradeśaṃ dūrādeva gabhbhīragalagarjitairviyati	gatvA ca tam pradeSam dUrAt-eva gaBBIra-gala-garjitEH-viyati
   cātakakadambakairbhuvi ca bhavananīlakaṇṭhakulaiḥ	cAtaka-kadambakEH-Buvi ca Bavana-nIla-kaNWa-kulEH
   kalakekākalakalamukharamukhaiḥ kriyamāṇākālakolāhalam,	kala-kekAkalakala-muKara-muKEH kriyamANA-kAla-kolAhalam,
   vikacakadambasaṃvādimadasurāsaurabhabharitabhuvanam,	vikaca-kadamba-saMvAdi-mada-surA-sOraBa-Barita-Buvanam,
   kāyavantamivākālameghakālam, aviralamadhubindupiṅgalapajhajālakitāṃ	kAyavantam-iva-akAla-meGa-kAlam, avirala-maDu-bindu-piFga-la-paJajAlakitAm
   sarasīmivātyavagāḍhāṃ daśāṃ caturthīmutsṛjantam,	sarasIm-iva-atyavagAXAm daSAm caturTIm-utsRjantam,
   anavaratamavataṃsaśaṅkairāmandrakarṇatāladundubhidhvanibhiḥ	anavaratam-avataMsa-SaFkEH-Amandra-karNa-tAla-dunduBi-DvaniBiH
   pañcamīpraveśamaṅgalārambhamiva sūcayantam /	paQcamI-praveSa-maFgala-AramBam-iva sUcayantam /
   aviratacalanacitratripadīlalitalāsyalayairdelāyamānadīrghadehābhogavattayā	avirata-calana-citratripadI-lalita-lAsya-layEH-delAyamAna-dIrGa-deha-aBogavat-tayA
   medinīvidalanabhayena bhāramiva laghayantam, digbhittitaṭeṣu kāyamiva	medinI-vidalana-Bayena BAram-iva laGayantam, diS-Bitti-tawezu kAyam-iva
   kaṇḍūyamānam, āhavāyodastahastatayā digvāraṇānivāhvayamānam,	kaNxUyamAnam, AhavAya-udasta-hasta-tayA diS-vAraNAn-iva-AhvayamAnam,
   brahnastambhamiva sthūlaniśitadantena karapatreṇa pāṭayantam, amāntaṃ	brahna-stamBam-iva sTUla-niSita-dantena kara-patreNa pAwayantam, amAntam
   bhuvanābyantare bahiriva nirgantumīhamānam;	Buvana-Abi-antare bahis-iva nirgantum-IhamAnam;
   sarvataḥsarasakisalayalatālāsibhirleśikaiściraparicayopacitairvanairi va	sarvatas-sarasa-kisalayala-tAlAsiBiH-leSikEH-cira-paricaya-upacitEH-vanEri va
   vikṣiptaṃ, saśaivalabisavisaraśabalasalilaiḥ sarobhiriva	vikziptaM, sa-SEvala-bisa-visara-Sabala-salilEH saroBiH-iva
   cādhoraṇairādhīyamānanidāghasamayasamucitopacārānandam, api ca	ca-aDoraNEH-ADIyamAna-nidAGa-samaya-samucita-upacAra-Anandam, api ca
   pratigajadānapavanādānadūrotkṣiptenānekasamaravijayagaṇanālekhābhiri va	pratigaja-dAna-pavana-AdAna-dUra-utkziptena-aneka-samara-vijaya-gaNanA-leKABiri va
   valivalayarājibhistanīyasībhistaraṅgitodareṇātisthavīyasā	vali-valaya-rAji-BistanIyasIBiH-taraFgita-udareNa-ati-sTavIyasA
   hastārgaladaṇḍenārgalayantamiva sakalaṃ sakulaśailasamudradvīpakānanaṃ	hasta-argala-daNxena-argalayantam-iva sakalam sa-kula-SEla-samudra-dvIpa-ka-Ananam
   kakubhāṃ cakravālam, ekaṃ karāntarārpitenotpalāśena	kakuBAm cakravAlam, ekam kara-antara-arpitena-utpalASena
   kadalīdaṇḍenāntargataśīkarasicyamānamūlam, muktapallavamivāparaṃ	kadalI-daNxena-antargata-SIkara-sicyamAna-mUlam, mukta-pallavam-iva-aparam
   līlāvalambinā mṛṇālajālakena samararasoccaromāñcakaṇṭakitamiva	lIlA-avalambinA mRNAla-jAlakena samara-rasa-ucca-raH-mAQca-kaNwakitam-iva
   dantamāṇḍamudvahantam, visarpantyā ca dantakāṇḍayugalasya kāntyā	dantam-ANxam-udvahantam, visarpantyA ca danta-kANxa-yugalasya kAntyA
   saraḥkrīḍāsvā ditāni kumudavanānīva bahudhā vamantam, nijayaśorāśimiva	saraH-krIxAsvA ditAni kumuda-vanAni-iva bahuDA vamantam, nija-yaSaH-rASim-iva
   diśāmarpayantam, kukarikīṭapāṭanadurvidagdhān siṃhānivopahasantam,	diSAm-arpayantam, kukari-kIwa-pAwana-durvidagDAn siMhAn-iva-upahasantam,
   kalpadrumadukūlamukhapaṭamiva cātmanaḥ kalayantam,	kalpadruma-dukUla-muKa-pawam-iva ca-AtmanaH kalayantam,
   hastakāṇḍadaṇḍoddharaṇalīlāsu ca lakṣyamāṇena raktāṃśukasukumāratareṇa	hasta-kANxa-daNxa-udDaraNa-lIlAsu ca lakzyamANena rakta-aMSuka-sukumAratareNa
   tālunā kavalitāni raktapajhavanānīva varṣantam,	tAlunA kavalitAni rakta-paJavanAni-iva varzantam,
   abhinavakisalayarāśīnivodgirantam, kamalakavalapītaṃ madhurasamiva	aBinava-kisalaya-rASIn-iva-udgirantam, kamala-kavala-pItam maDura-sam-iva
   svabhāvapiṅgalena vamantaṃ cakṣuṣāṃ,	svaBAva-piFgalena vamantam cakzuzA-aM,
   cūtacampakalavalīlavaṅgakakkolavantyelālatāmiśritāni sasahakārāṇi	cUta-campa-kalava-lI-lavaFga-kakkolavanti-elAlatA-miSritAni sa-sahakArANi
   karpūrapūritāni pārijātakavanānīvopabhukāni punaḥpuna karaṭābhyāṃ	karpUra-pUritAni pArijAtaka-vanAni-iva-upaBukAni punar-puna karawAByAm
   bahalamadāmodavyājena visṛjantam, aharniśaṃ	bahala-mada-Amoda-vyAjena visRjantam, aharniSam
   vibhramakṛtahastasthitibhirardhakhaṇḍitapuṇḍrekṣukāṇḍakaṇḍūyanalikhitairalikulavācālitairdānapaṭṭakairvilabhamānamiva	viBrama-kRta-hasta-sTitiBiH-arDa-KaNxita-puNxra-ikzu-kANxa-kaNxUyana-liKitEH-ali-kulavAcAlitEH-dAna-pawwakEH-vilaBamAnam-iva
   sarvakānanāni karipatīnām, aviralodabindusyandinā himaśilāśakalamayena	sarva-kAnanAni karipatI-nAm, avirala-uda-bindu-syandinA hima-SilA-Sakala-mayena
   vibhramanakṣatramālāguṇena śiśirīkriyamāṇam,	viBrama-nakzatra-mAlA-guNena SiSirI-kriyamANam,
   sakalavāraṇendrādhipatyapaṭṭabandhabandhuramivoccaistarāṃ śiro dadhānam,	sakala-vAraNa-indra-ADipatya-pawwa-banDa-banDuram-iva-uccEstarAm SiraH daDAnam,
   muhurmuhuḥ sthagitāpāvṛtadiṅmukhābyāṃ karṇatālatālavṛntābhyāṃ	muhur-muhur sTagita-apAvRta-diFmuKa-AbyAm karNa-tAla-tAlavRntAByAm
   vījayantamiva bhartṛbhaktyā dantaparyaṅkikāsthitāṃ rājalakṣmīm,	vIjayantam-iva BartR-BaktyA danta-paryaFkikA-sTitAm rAja-lakzmIm,
   āyatavaṃśakramāgatena gajādhipatyacihnena cāmareṇeva calatā vāladhinā	Ayata-vaMSa-krama-Agatena gaja-ADipatya-cihnena cAmareNa-iva calatA vAlaDinA
   virājamānam, svacchaśiśiraśīkaracchalena digvijayapītāḥ sarita iva	virAjamAnam, svacCa-SiSira-SIkara=-Calena digvijaya-pItAH saritaH iva
   punaḥpunarmukhena muñcantam,	punar-punar-muKena muQcantam,
   kṣaṇamavadhānadānaniḥspandīkṛtasakalāvayavānāmanyadviradaḍiṇḍimākarṇanāṅgavalanānāmante	kzaNam-avaDAna-dAna-niHspandIkRta-sakala-avayavAnAm-anyat-virada-xiNxima-AkarNana-aFga-valanAnAm-ante
   dīrghaphūtkāraiḥ paribhavaduḥkhamivāvedayantam,	dIrGa-PUtkArEH pariBava-duHKam-iva-Avedayantam,
   alabdhayuddhamivātmānamanuśocantam, ārohādhirūḍhiparibhavena	alabDa-yudDam-iva-AtmAnam-anuSocantam, Aroha-aDirUXi-pariBavena
   lajjamānamivāṅgulīlikhitamahītalam, madaṃ muñcantam,	lajjamAnam-iva-aFgulI-liKita-mahI-talam, madam muQcantam,
   avajñāgṛhītamuktakavalakupitārohāraṭanānurodhena	avajQA-gRhIta-mukta-kavala-kupita-Aroha-Arawana-anuroDena
   madatandrīnimīlitanetratribhāgam, kathaṃ kathamapi	mada-tandrI-nimIlita-netra-tri-BAgam, kaTam kaTam-api
   mandamandamanādarādādadānaṃ kavalān,	manda-mandam-anAdarAt-AdadAnam kavalAn,
   ardhajagdhatamālapallavasrutaśyāmalarasena prabhūtatayā madapravāhamiva	arDa-jagDa-tamAla-pallava-sruta-SyAmala-rasena praBUta-tayA mada-pravAham-iva
   mukhenāpyutsṛjantam, calantamiva darpeṇa, śvasantamiva śauryeṇa,	muKena-api-utsRjantam, calantam-iva darpeNa, Svasantam-iva SOryeNa,
   mūrcchantamiva madena, truṭyantamiva tāruṇyena, dravantamiva dānena,	mUrcCantam-iva madena, truwi-antam-iva tAruNyena, dravantam-iva dAnena,
   valgantamiva balena, mādyantamiva mānena, udyantamivotsāhena, tāmyantamiva	valgantam-iva balena, mA-Adyantam-iva mAnena, udyantam-iva-utsAhena, tAmyantam-iva
   tejasā, limpantamiva lāvaṇyena, siñcantamiva saubhāgyena, snigdhaṃ	tejasA, limpantam-iva lAvaNyena, siQcantam-iva sOBAgyena, snigDam
   nakheṣu, paruṣaṃ romaviṣaye, guruṃ mukhe, sacchiṣyaṃ vinaye, mṛduṃ śirasi,	naKezu, paruzam roma-vizaye, gurum muKe, sat-Sizyam vinaye, mRdum Sirasi,
   dṛḍhaṃ paricayeṣu, hrasvaṃ skandhabandhe, dīrghamāyuṣi, daridramudare,	dRXam paricayezu, hrasvam skanDa-banDe, dIrGam-Ayuzi, daridram-udare,
   satatapravṛrtta dāne, balabhadraṃ madalīlāsu, kulakalatramāyattatāsu,	satata-pravRrtta dAne, balaBadram mada-lIlA-asu, kula-kalatram-Ayat-tatAsu,
   jinaṃ kṣamāsu, vahnivarṣaṃ krodhamokṣeṣu, garuḍhaṃ nāgoddhṛtiṣu, nāradaṃ	jinam kzamAsu, vahni-varzam kroDa-mokza-izu, garuXam nAga-udDRtizu, nAradam
   kalahakutūhaleṣu, śuṣkāśanipātamavaskandeṣu, makaraṃ vāhinīkṣobheṣu,	kalaha-kutUhala-izu, Suzka-aSani-pAtam-avaskanda-izu, makaram vAhinI-kzoBezu,
   āśīviṣaṃ daśanakarmasu, varuṇaṃ hastapāśākṛṣṭiṣu,	ASIvizam daSana-karmasu, varuNam hasta-pASa-AkRzwizu,
   yamavāgurāmarātisaṃveṣṭaneṣu, kālaṃ pariṇatiṣu, rāhuṃ tīkṣṇakaragrahaṇeṣu,	yama-vAgurA-mara-ati-saMvezwanezu, kAlam pariNatizu, rAhum tIkzNa-kara-grahaNezu,
   lohitāṅgaṃ vakracāreṣu, alātacakraṃ maṇḍalabrāntivijñāneṣu,	lohita-aFgam vakra-cAra-izu, alAta-cakram maNxala-brAnti-vijQAna-izu,
   manorathasaṃpādakaṃ cindāmaṇiparvataṃ vikramasya,	manoraTa-saMpAdakam cindAmaNi-parvatam vikramasya,
   dantamuktāśailastambhanivāsaprāsādamabhimānasya,	danta-muktA-SEla-stamBa-nivAsa-prAsAdam-aBimAnasya,
   ghaṇṭācāmaramaṇḍanamanoharamicchāsaṃcaraṇavimānaṃ manasvitāyāḥ,	GaNwA-cAmara-maNxana-manoharam-icCA-saMcaraNa-vimAnam manasvitAyAH,
   madadhārādurdināndhakāraṃ gandhodakadhārāgṛhaṃ krodhasya,	mada-DArA-durdina-anDakAram ganDa-udaka-DArA-gRham kroDasya,
   sakāñcanapratimaṃ mahāniketanamahaṅkārasya, sagaṇḍaśailaprasravaṇaṃ	sa-kAQcana-pratimam mahA-niketanam-ahaFkArasya, sa-gaNxa-SEla-prasravaNam
   krīḍāparvatamavalepasya, sadantatoraṇaṃ vajramandiraṃ darpasya,	krIxA-parvatam-avalepasya, sa-danta-toraNam vajra-mandiram darpasya,
   uccakumbhakūṭāṭṭālakavikaṭaṃ saṃcārigiridurgaṃ rājyasya,	ucca-kumBa-kUwa-awwAlaka-vikawam saMcAri-giri-durgam rAjyasya,
   kṛtānekabāṇavivarasahasraṃ lohaprākāraṃ pṛthivyāḥ,	kRta-aneka-bANa-vivara-sahasram loha-prAkAram pRTivyAH,
   śilīmukhaśatajhāṅkāritaṃ pārijātapādapaṃ bhūnandanasya, tathā ca	SilImuKa-Sata-JAFkAritam pArijAta-pAdapam BUnandanasya, taTA ca
   saṃgītagṛhaṃ karṇatālatāṇḍavānām, āpānamaṇḍapaṃ madhupamaṇḍalānām,	saMgIta-gRham karNa-tAla-tANxavAnAm, ApAna-maNxapam maDupa-maNxalAnAm-,
   antaḥpuraṃ śṛṅgārābharaṇānām, madanotsavaṃ madalīlālāsyānām,	antaHpuram SRFgAra-ABaraNAnAm, madana-utsavam mada-lIlAlAsyAnAm,
   akṣuṇṇapradoṣaṃ nakṣatramālāmaṇḍalānām, akālaprāvṛṭkālaṃ	akzuNNa-pradozam nakzatra-mAlA-maNxalAnAm, akAla-prAvRz-kAlam
   madamahānadīpūraplavānām, alīkaśaratsamayaṃ saptacchadavanaparimalānām,	mada-mahA-nadI-pUra-plavAnAm, alIka-Sarad-samayam saptacCada-vana-parimalAnAm-,
   apūrvahimāgamaṃ śīkaranīhārāṇām, mithyājaladharaṃ garjitāḍambarāṇāṃ	apUrva-hima-Agamam SIkara-nIhArANAm, miTyA-jala-Daram garjita-AxambarANAm
   darpaśātamapaśyat /	darpa-SAtam-apaSyat /
   āsīccāsya cetasi--"nūnamasya, nirmāṇe girayo grāhitāḥ paramāṇutām /	AsIt-ca-asya cetasi--"nUnam-asya, nirmANe girayaH grAhitAH parama-aNu-tAm /
   kuto 'nyathā gauravamidam /	kutas anyaTA gOravam-idam /
   āścaryametat /	AScaryam-etat /
   vindhyasya dantāvādivarāhasya karaḥ' iti vismayamānamevaṃ dauvāriko	vinDyasya dantO=-Adi-varAhasya karaH-a iti vismayamAnam-evam dOvArikaH-
   'bravīt-- "paśya,-- mityaivālikhitāṃ manorathaśatairniḥśeṣanaṣṭāṃ priyaṃ	abravIt-- "paSya,- mityA-eva-AliKitAm manoraTa-SatEH-niHSeza-nazwAm priyam
   cintāsādhanakalpanākuladhiyāṃ bhūyo vane vidviṣām /	cintA-sADana-kalpanA-kula-DiyAm BUyas vane vidvizAm /
   āyātaḥ kathamapyayaṃ smṛtipathaṃ śūnyībhavaccetasāṃ nāgendraḥ sahate na	AyAtaH kaTam-api-ayam smRti-paTam SUnyIBavat-cetasAm nAga-indraH sahate na
   mānasagatānāśāgajendrānapi //	mAnasa-gatAn-ASA-gaja-indrAn-api //
   tadehi /	tat-ehi /
   punarapyenaṃ drakṣyasi /	punar-api-enam drakzyasi /
   paśya tāvaddevam' ityabhidhīyamānaśca tena	paSya tAvat-devam-a iti-aBiDIyamAnaH-ca tena
   madajalapaṅkilakapolapaṭṭapatitāṃ mattāmiva madaparimalena mukulitāṃ	mada-jala-paFkila-kapola-pawwa-patitAm mattAm-iva mada-parimalena mukulitAm
   kathamapi tasmād dṛṣṭimākṛṣya tenaiva dauvārikeṇopadiśyamānavartmā	kaTam-api tasmAt dRzwim-AkRzya tena-eva dOvArikeNa-upadiSyamAna-vartmA
   samatikramya bhūpālakulasahasrasaṃkṛlāni trīṇi kakṣāntarāṇi caturthe	samatikramya BUpAla-kula-sahasra-saMkRlAni trINi kakza-antarANi caturTe
   muktāsthānamaṇḍapasya purastādajire sthitam, dūrādūrdhvasthitena prāṃśūnā	muktA-sTAna-maNxapasya purastAt-ajire sTitam, dUrAt-UrDva-sTitena prAMSUnA
   karṇikāragaureṇa vyāyāmavyāyatavapuṣā śastriṇā maulena	karNikAra-gOreNa vyAyAma-vyAyata-vapuzA SastriNA mOlena
   śarīraparivārakalokena paṅktisthitena kārtasvarastambhamaṇḍaleneva	SarIra-parivAraka-lokena paFkti-sTitena kArtasvara-stamBa-maNxalena-iva
   parivṛtam, āsannopaviṣṭaviśiṣṭeṣṭalokam, haricandanarasaprakṣālite	parivRtam, Asanna-upavizwa-viSizwa-izwa-lokam, haricandana-rasa-prakzAlite
   tuṣāraśīkaraśītalatale dantapāṇḍurapāde śaśimaya iva	tuzAra-SIkara-SItala-tale danta-pANxura-pAde SaSi-mayaH iva
   muktāśailaśilāpaṭṭaśayane samupaviṣṭam, śayanīyaparyantavinyaste	muktA-SEla-SilA-pawwa-Sayane samupavizwam, SayanIya-paryanta-vinyaste
   samarpitasakalavigrahabhāraṃ bhuje, diṅmukhavisarpiṇi dehaprabhāvitāne	samarpita-sakala-vigraha-BAram Buje, diFmuKa-visarpiNi deha-praBA-vitAne
   vitatamaṇimayūkhe gharmasamayasubhage sarasīva mṛdumṛṇālajālajaṭilajale	vitata-maNi-mayUKe Garma-samaya-suBage sarasi-iva mRdu-mRNAla-jAla-jawila-jale
   sarājakaṃ ramamāṇam, tejasaḥ paramāṇubhiriva kevarlarnirmitam,	sa-rAjakam ramamANam, tejasaH paramANuBiH-iva kevarlarnirmitam,
   anicchantamapi baladāropatayitumiva siṃhāsanam, sarvāvayaveṣu	anicCantam-api baladAra-upatayitum-iva siMhAsanam, sarva-avayavezu
   sarvalakṣaṇairgṛhītam, gṛhītabrahnacaryamāliṅgitaṃ rājalakṣamyā,	sarva-lakzaNEH-gRhItam, gRhIta-brahna-caryam-AliFgitam rAja-lakzamyA,
   pratipannāsidhārādhāraṇavratamavisaṃvādinaṃ rājarṣim,	pratipad-na-asi-DArA-DAraNa-vratam-avisaMvAdinam rAjarzi-m,
   viṣamarājamārgavinihitapadaskhalanabhiyeva sulagnaṃ dharme,	vizama-rAjamArga-vinihita-pada-sKala-na-BiyA-iva su-lagnam Darme,
   sakalabhūpālaparityaktena bhīteneva labdhavācā sarvātmanā satyena	sakala-BUpAla-parityaktena BItena-iva labDa-vAcA sarva-AtmanA satyena
   sevyamānam,	sevyamAnam,
   āsannavāravilāsinīpratiyātanābhiścaraṇanakhapātinībhirdigbhiriva	Asanna-vAra-vilAsinI-pratiyAtanABiH-caraNa-naKa-pAtinIBiH-digBiH-iva
   daśabhirvigrahāvarjitābhiḥ praṇamyamānam,	daSaBiH-vigraha-AvarjitABiH praNamyamAnam,
   dīrghairdigantapātibhirdṛṣṭipātairlokapālānāṃ kṛtākṛtamiva	dIrGEH-diS-antapAtiBiH-dRzwi-pAtEH-lokapAlAnAm kRta-akRtam-iva
   pratyavekṣamāṇam, maṇipādapīṭhapṛṣṭhapratiṣṭhitakareṇoparigamanābhyanujñāṃ	pratyavekzamANam, maNi-pAda-pIWa-pRzWa-pratizWita-kareNa-upari-gamana-aByanujQAm
   mṛgyamāṇamiva divasakareṇa,	mRgyamANam-iva divasa-kareNa,
   bhūṣaṇaprabhāsamutsāraṇabaddhaparyantamaṇḍalena pradakṣiṇīkriyamāṇamiva	BUzaNa-praBA-samutsAraNa-badDa-paryanta-maNxalena pradakziNIkriyamANam-iva
   divasena, apramaṇamadbhirgiribhirapi dūyamānaṃ, śauryoṣmaṇā	divasena, apramaNam-adBiH-giriBiH-api dUyamAnan, SOrya-UzmaNA
   phenāyamānamiva candanadhavalaṃ lāvaṇyajaladhimudvahantamekarājyorjityena,	PenAyamAnam-iva candana-Davalam lAvaNya-jalaDim-udvahantam-eka-rAjyoH-jityena,
   nijapratibimbānyapi nṛpacakracūḍāmaṇidhṛtānyasahamānamivadarpaduḥkhāsikayā	nija-pratibimbAni-api nRpa-cakra-cUxAmaNi-DRta-ani-a-sahamAnam-iva-darpa-duHKa-AsikayA
   cāmarānilanibhena bahudheva śvasantīṃ rājalakṣmīṃ dadhānam, sakalamiva	cAmara-anila-niBena bahuDA-iva SvasantIm rAja-lakzmIm daDAnam, sakalam-iva
   catuḥsamudralāvaṇyamādāyotthitayā śriyā samupaśliṣṭam,	catur-samudra-lAvaNyam-AdAya-utTitayA SriyA samupaSlizwam,
   ābharaṇamaṇikiraṇaprabhājālajāyamānānīndradhanuḥsahasrāṇīndraprābhṛtaprahitāni	ABaraNa-maNi-kiraNa-praBA-jAla-jAyamAnAni-indraDanuH-sahasrANi-indra-prABRta-prahitAni
   vilabhamānamiva rājñāṃ saṃbhāṣaṇeṣu parityaktamapi madhu varṣaṃntam,	vilaBamAnam-iva rAjQAm saMBAzaNezu parityaktam-api maDu varzaMntam,
   kāvyakathāsvapītamapyamṛtamudvamantam, visrambhabhāṣiteṣvanākṛṣṭamapi	kAvya-kaTAsu-apItam-api-amRtam-udvamantam, visramBa-BAzitezu-anAkRzwam-api
   hṛdayaṃ darśayantam, prasādeṣu niścalāmapi śriyaṃ śthāne śthāne	hRdayam darSayantam, prasAdezu niScalAm-api Sriyam STAne STAne
