   Bhāvamiśra: Bhāvaprakāśaḥ	Bha-avamiSra: BhOva-prakASaH
   lākṣā varṇyā himā balyā snigdhā ca tuvarā laghuḥ // 195	lAkzA varNyA himA balyA snigDA ca tuvarA laGuH // 195
   anuṣṇā kaphapittāsrahikkākāsajvarapraṇut /	anuzNA kaPa-pitta-asra-hikkA-kAsa-jvara-praNud /
   vraṇoraḥkṣatavīsarpakṛmikuṣṭhagadāpahā // 196	vraNa-uraH-kzata-vIsarpa-kRmi-kuzWa-gadA-apahA // 196
   alaktako guṇais tadvad viśeṣād vyaṅganāśanaḥ // 197	alaktakaH guNEH tadvat viSezAt vyaFga-nASanaH // 197
   haridrā kāñcanī pītā niśākhyā varavarṇinī /	haridrA kAQcanI pItA niSA-AKyA varavarNinI /
   kṛmighnī haladī yoṣitpriyā haṭṭavilāsinī // 198	kRmi-GnI haladI yozit-priyA hawwa-vilAsinI // 198
   haridrā kaṭukā tiktā rūkṣoṣṇā kaphapittanut /	haridrA kawukA tiktA rUkzA-uzNA kaPa-pitta-nud /
   varṇyā tvagdoṣamehāsraśothapāṇḍuvraṇāpahā // 199	varNyA tvagdoza-meha-asra-SoTa-pANxu-vraNa-apahAH // 199
   dārvībhedāmragandhā ca surabhīdāru dāru ca /	dArvI-Beda-AmraganDA ca suraBI-dAru dAru ca /
   karpūrā padmapattrā syāt surīmat suratārakā // 200	karpUrA padmapattrA syAt surImat sura-tArakAH // 200
   āmragandhir haridrā yā sā śītā vātalā matā /	Amra-ganDiH haridrA yA sA SItA vAtalA matA /
   pittahṛnmadhurā tiktā sarvakaṇḍūvināśinī // 201	pitta-hRt-maDurA tiktA sarva-kaNxU-vinASinI // 201
   araṇyahaladīkandaḥ kuṣṭhavātāsranāśanaḥ // 202	araNya-haladI-kandaH kuzWa-vAta-asra-nASanaH // 202
   dārvī dāruharidrā ca parjanyā parjanīti ca /	dArvI dAruharidrA ca parjanyA parjanI-iti ca /
   kaṭaṃkaṭerī pītā ca bhavetsaiva pacampacā /	kawaMkawerI pItA ca Bavet-sA-eva pacampacA /
   saiva kālīyakaḥ proktastathā kāleyako'pi ca // 203	sA-eva kAlIyakaH proktaH-taTA kAleyakaH-api ca // 203
   pītadruśca haridraśca pītadāru ca pītakam /	pItadruH-ca haridraH-ca pItadAru ca pItakam /
   dārvī niśāguṇā kiṃtu netrakarṇāsyaroganut // 204	dArvI niSA-guNA kiMtu netra-karNa-Asya-roga-nud // 204
   dārvīkvāthasamaṃ kṣīraṃ pādaṃ paktvā yadā ghanam /	dArvI-kvATa-samam kzIram pAdam paktvA yadA Ganam /
   tadā rasāñjanākhyaṃ tannetrayoḥ paramaṃ hitam // 205	tadA rasAQjana-AKyam tat-netrayoH paramam hitam // 205
   rasāñjanaṃ tārkṣyaśailaṃ rasagarbhaṃ ca tārkṣyajam /	rasAQjanam tArkzyaSElam rasa-garBam ca tArkzya-jam /
   rasāñjanaṃ kaṭu śleṣmaviṣanetravikāranut // 206	rasAQjanam kawu Slezma-viza-netra-vikAra-nud // 206
   uṣṇaṃ rasāyanaṃ tiktaṃ chedanaṃ vraṇadoṣahṛt // 207	uzNam rasAyanam tiktam Cedanam vraNa-doza-hRt // 207
   avalgujo vākucī syāt somarājī suparṇikā /	avalgujaH vAkucI syAt somarAjI suparNikA /
   śaśilekhā kṛṣṇaphalā somā pūtiphalīti ca // 208	SaSileKA kRzNaPalA somA pUtiPalI-iti ca // 208
   somavallī kālameṣī kuṣṭhaghnī ca prakīrtitā /	somavallI kAlamezI kuzWa-GnI ca prakIrtitA /
   vākucī madhurā tiktā kaṭupākā rasāyanī // 209	vAkucI maDurA tiktA kawu-pAkA rasAyanI // 209
   viṣṭambhahṛddhimā rucyā sarā śleṣmāsrapittanut /	vizwamBa-hRt-himA rucyA sarA Slezma-asrapitta-nud /
   rūkṣā hṛdyā śvāsakuṣṭhamehajvarakṛmipraṇut // 210	rUkzA hRdyA SvAsa-kuzWa-meha-jvara-kRmi-praNud // 210
   tatphalaṃ pittalaṃ kuṣṭhakaphānilaharaṃ kaṭu /	tad-Palam pittalam kuzWa-kaPa-anila-haram kawu /
   keśyaṃ tvacyaṃ kṛmiśvāsakāsaśothāmapāṇḍunut // 211	keSyam tvacyam kRmi-SvAsa-kAsa-SoTa-Ama-pANxu-nud // 211
   cakramardaḥ prapunnāṭī dadrughno meṣalocanaḥ /	cakramardaH prapunnAwI dadruGnaH mezalocanaH /
   padmāṭaḥ syādeḍagajaścakrī puṃnāṭa ityapi // 212	padmAwaH syAt-exa-gajaH-cakrI puMnAwaH iti-api // 212
   cakramardo laghuḥ svādū rūkṣaḥ pittānilāpahaḥ /	cakramardaH laGuH svAduH rUkzaH pitta-anila-apahaH /
   hṛdyo himaḥ kaphaśvāsakuṣṭhadadrukrimīn haret // 213	hRdyaH himaH kaPa-SvAsa-kuzWa-dadru-krimIn haret // 213
   hantyuṣṇaṃ tatphalaṃ kuṣṭhakaṇḍūdadruviṣānilān /	hanti-uzNam tad-Palam kuzWa-kaNxU-dadru-viza-anilAn /
   gulmakāsakṛmiśvāsanāśanaṃ kaṭukaṃ smṛtam // 214	gulma-kAsa-kRmi-SvAsa-nASanam kawukam smRtam // 214
   viṣā tv ativiṣā viśvā śṛṅgī prativiṣāruṇā /	vizA tu ativizA viSvA SRFgI prativizA-aruNA /
   śuklakandā copaviṣā bhaṅgurā ghuṇavallabhā // 215	SuklakandA ca-upavizA BaFgurA GuNavallaBAH // 215
   viṣā soṣṇā kaṭustiktā pācanī dīpanī haret /	vizA sozNA kawuH-tiktA pAcanI dIpanI haret /
   kaphapittātisārāmaviṣakāsavamikrimīn // 216	kaPa-pitta-atisAra-Ama-viza-kAsa-vami-krimIn // 216
   lodhras tilvas tirīṭaśca śāvaro gālavastathā // 217	loDraH tilvaH tirIwaH-ca SAvaraH gAlavaH-taTA // 217
   dvitīyaḥ paṭṭikālodhraḥ kramukaḥ sthūlavalkalaḥ /	dvitIyaH pawwikA-loDraH kramukaH sTUlavalkalaH /
   jīrṇapattro bṛhatpattraḥ paṭṭī lākṣāprasādanaḥ // 218	jIrNapattraH bRhatpattraH pawwI lAkzA-prasAdanaH // 218
   lodhro grāhī laghuḥ śītaścakṣuṣyaḥ kaphapittanut /	loDraH grAhI laGuH SItaH-cakzuzyaH kaPa-pitta-nud /
   kaṣāyo raktapittāsṛgjvarātīsāraśothahṛt // 219	kazAyaH rakta-pitta-asRj-jvara-atIsAra-SoTa-hRt // 219
   laśunastu rasonaḥ syādugragandho mahauṣadham /	laSunaH-tu rasonaH syAt-ugra-ganDaH mahOzaDam /
   ariṣṭo mlecchakandaśca yavaneṣṭo rasonakaḥ // 220	arizwaH mlecCakandaH-ca yavanezwaH rasonakaH // 220
   yadāmṛtaṃ vainateyo jahāra surasattamāt /	yadA-amRtam vEnateyaH jahAra sura-sattamAt /
   tadā tato'patad binduḥ sa rasono'bhavadbhuvi // 221	tadA tatas-apatat binduH sa rasonaH-aBavat-Buvi // 221
   pañcabhiś ca rasair yukto rasenāmlena varjitaḥ /	paQcaBiH ca rasEH yuktaH rasena-amlena varjitaH /
   tasmādrasona ityukto dravyāṇāṃ guṇavedibhiḥ // 222	tasmAt-rasa-UnaH iti-uktaH dravyANAm guNa-vediBiH // 222
   kaścāpi mūleṣu tiktaḥ pattreṣu saṃsthitaḥ /	kaH-ca-api mUlezu tiktaH pattrezu saMsTitaH /
   nāle kaṣāya uddiṣṭo nālāgre lavaṇaḥ smṛtaḥ /	nAle kazAyaH uddizwaH nAla-agre lavaNaH smRtaH /
   bīje tu madhuraḥ prokto rasas tadguṇavedibhiḥ // 223	bIje tu maDuraH proktaH rasaH tad-guNa-vediBiH // 223
   rasono bṛṃhaṇo vṛṣyaḥ snigdhoṣṇaḥ pācanaḥ saraḥ /	rasonaH bRMhaNaH vRzyaH snigDa-uzNaH pAcanaH saraH /
   rase pāke ca kaṭukastīkṣṇo madhurako mataḥ // 224	rase pAke ca kawukaH-tIkzNaH maDurakaH mataH // 224
   bhagnasaṃdhānakṛt kaṇṭhyo guruḥ pittāsravṛddhidaḥ /	Bagna-saMDAna-kRt kaNWyaH guruH pittAsra-vRdDi-daH /
   balavarṇakaro medhāhito netryo rasāyanaḥ // 225	bala-varNa-karaH meDA-hitaH netryaH rasAyanaH // 225
   hṛdrogajīrṇajvarakukṣiśūlavibandhagulmārucikāsaśophān /	hRd-roga-jIrNa-jvara-kukzi-SUla-vibanDa-gulma-aruci-kAsa-SoPAn /
   durnāmakuṣṭhānalasādajantusamīraṇaśvāsakaphāṃśca hanti // 226	durnAma-kuzWa-anala-sAda-jantu-samIraNa-SvAsa-kaPAn=-ca hanti // 226
   madyaṃ māṃsaṃ tathāmlaṃ ca hitaṃ laśunasevinām /	madyam mAMsam taTA-amlam ca hitam laSuna-sevinAm /
   vyāyāmamātapaṃ roṣam atinīraṃ payo guḍam /	vyAyAmam-Atapam rozam ati-nIram payaH guxam /
   rasonamaśnanpuruṣastyajedetānnirantaram // 227	rasonam-aSnan-puruzaH-tyajet-etAn-nirantaram // 227
   palāṇḍur yavaneṣṭaśca durgandho mukhadūṣakaḥ /	palANxuH yavanezwaH-ca durganDaH muKadUzakaH /
   palāṇḍustu budhairjñeyo rasonasadṛśo guṇaiḥ // 228	palANxuH-tu buDEH-jQeyaH rasona-sadRSaH guNEH // 228
   svāduḥ pāke rase'nuṣṇaḥ kaphakṛnnātipittalaḥ /	svAduH pAke rase-anuzNaH kaPa-kRt-na-ati-pittalaH /
   harate kevalaṃ vātaṃ balavīryakaro guruḥ // 229	harate kevalam vAtam bala-vIrya-karaH guruH // 229
   bhallātakaṃ triṣu proktam aruṣko 'ruṣkaro 'gnikaḥ /	BallAtakam trizu proktam aruzkaH aruzkaraH agnikaH /
   tathaivāgnimukhī bhallī vīravṛkṣaśca śophakṛt // 230	taTA-eva-agnimuKI BallI vIravRkzaH-ca SoPa-kRt // 230
   bhallātakaphalaṃ pakvaṃ svādupākarasaṃ laghu /	BallAtaka-Palam pakvam svAdu-pAka-rasam laGu /
   kaṣāyaṃ pācanaṃ snigdhaṃ tīkṣṇoṣṇaṃ chedi bhedanam // 231	kazAyam pAcanam snigDam tIkzNa-uzNam Cedi Bedanam // 231
   medhyaṃ vahnikaraṃ hanti kaphavātavraṇodaram /	meDyam vahni-karam hanti kaPa-vAta-vraNa-udaram /
   kuṣṭhārśograhaṇīgulmaśophānāhajvarakrimīn // 232	kuzWa-arSaH-grahaNI-gulma-SoPa-AnAha-jvara-krimIn // 232
   tanmajjā madhuro vṛṣyo bṛṃhaṇo vātapittahā /	tad-majjA maDuraH vRzyaH bRMhaNaH vAta-pitta-hA /
   vṛntamāruṣkaraṃ svādu pittaghnaṃ keśyamagnikṛt // 233	vRntam-Aruzkaram svAdu pitta-Gnam keSyam-agni-kRt // 233
   bhallātakaḥ kaṣāyoṣṇaḥ śukralo madhuro laghuḥ /	BallAtakaH kazAya-uzNaH SukralaH maDuraH laGuH /
   vātaśleṣmodarānāhakuṣṭhārśograhaṇīgadān /	vAta-Slezma-udara-AnAha-kuzWa-arSaH-grahaNI-gadAn /
   hanti gulmajvaraśvitravahnimāndyakṛmivraṇān // 234	hanti gulma-jvara-Svitra-vahni-mAndya-kRmi-vraNAn // 234
   bhaṅgā gañjāmātulānī mādinī vijayā jayā // 235	BaFgA gaQjA-mAtulAnI mAdinI vijayA jayAH // 235
   bhaṅgā kaphaharī tiktā grāhiṇī pācanī laghuḥ /	BaFgA kaPa-harI tiktA grAhiNI pAcanI laGuH /
   tīkṣṇoṣṇā pittalā mohamandavāgvahnivardhinī // 236	tIkzNA-uzNA pittalA moha-manda-vAc-vahni-varDinI // 236
   tilabhedaḥ khasatilaḥ khākhasaścāpi sa smṛtaḥ /	tila-BedaH KasatilaH KAKasaH-ca-api sa smRtaH /
   syāt khākhasaphalādbhūtaṃ valkalaṃ śītalaṃ laghu // 237	syAt KAKasa-PalAt-BUtam valkalam SItalam laGu // 237
   grāhi tiktaṃ kaṣāyaṃ ca vātakṛt kaphakāsahṛt // 238	grAhi tiktam kazAyam ca vAta-kRt kaPa-kAsa-hRt // 238
   dhātūnāṃ śoṣakaṃ rūkṣaṃ madakṛdvāgvivardhanam /	DAtUnAm Sozakam rUkzam mada-kRt-vAc-vivarDanam /
   muhurmohakaraṃ rucyaṃ sevanāt puṃstvanāśanam // 239	muhur-moha-karam rucyam sevanAt puMstva-nASanam // 239
   uktaṃ khasaphalakṣīramāphūkamahiphenakam /	uktam KasaPala-kzIram-APUkam-ahiPenakam /
   āphūkaṃ śoṣaṇaṃ grāhi śleṣmaghnaṃ vātapittalam /	APUkam SozaNam grAhi Slezma-Gnam vAta-pittalam /
   tathā khasaphalodbhūtavalkalaprāyamityapi // 240	taTA KasaPala-udBUta-valkala-prAyam-iti-api // 240
   ucyante khasabījāni te khākhasatilā api // 241	ucyante Kasa-bIjAni te KAKasa-tilAH api // 241
   khasabījāni balyāni vṛṣyāṇi sugurūṇi ca /	Kasa-bIjAni balyAni vRzyANi su-gurUNi ca /
   janayanti kaphaṃ tāni śamayanti samīraṇam // 242	janayanti kaPam tAni Samayanti samIraNam // 242
   saindhavo'strī śītaśivaṃ māṇimanthaṃ ca sindhujam /	sEnDavaH-astrI SItaSivam mANimanTam ca sinDujam /
   saindhavaṃ lavaṇaṃ svādu dīpanaṃ pācanaṃ laghu /	sEnDavam lavaNam svAdu dIpanam pAcanam laGu /
   snigdhaṃ rucyaṃ himaṃ vṛṣyaṃ sūkṣmaṃ netryaṃ tridoṣahṛt // 243	snigDam rucyam himam vRzyam sUkzmam netryam tridoza-hRt // 243
   śākambharīyaṃ kathitaṃ guḍākhyaṃ raumakaṃ tathā // 244	SAkamBarIyam kaTitam guxa-AKyam rOmakam taTA // 244
   guḍākhyaṃ laghu vātaghnam atyuṣṇaṃ bhedi pittalam /	guxa-AKyam laGu vAta-Gnam ati-uzNam Bedi pittalam /
   tīkṣṇoṣṇaṃ cāpi sūkṣmaṃ cābhiṣyandi kaṭupāki ca // 245	tIkzNa-uzNam ca-api sUkzmam ca-aBizyandi kawu-pAki ca // 245
   sāmudraṃ yattu lavaṇam akṣībaṃ vaśiraṃ ca tat /	sAmudram yat-tu lavaNam akzIbam vaSiram ca tat /
   samudrajaṃ sāgarajaṃ lavaṇodadhisambhavam // 246	samudra-jam sAgara-jam lavaNa-udaDi-samBavam // 246
   sāmudraṃ madhuraṃ pāke satiktaṃ madhuraṃ guru /	sAmudram maDuram pAke sa-tiktam maDuram guru /
   nātyuṣṇaṃ dīpanaṃ bhedi sakṣīramavidāhi ca /	na-ati-uzNam dIpanam Bedi sa-kzIram-avidAhi ca /
   śleṣmalaṃ vātanuttīkṣṇamarūkṣaṃ nātiśītalam // 247	Slezmalam vAta-nud-tIkzNam-arUkzam na-ati-SItalam // 247
   viḍaṃ pākaṃ ca kṛtakaṃ tathā drāviḍamāsuram /	vixam pAkam ca kRtakam taTA drAvixam-Asuram /
   viḍaṃ sakṣāram ūrdhvādhaḥkaphavātānulomanam /	vixam sa-kzAram UrDva-aDas-kaPa-vAta-anulomanam /
   ūrdhvaṃ kaphamadho vātaṃ saṃcārayedityarthaḥ // 248	UrDvam kaPam-aDas vAtam saMcArayet-iti-arTaH // 248
   dīpanaṃ laghu tīkṣṇoṣṇaṃ rūkṣaṃ rucyaṃ vyavāyi ca /	dIpanam laGu tIkzNa-uzNam rUkzam rucyam vyavAyi ca /
   vibandhānāhaviṣṭambhahṛdruggauravaśūlanut // 249	vibanDa-AnAha-vizwamBa-hRd-ruj-gOrava-SUla-nud // 249
   sauvarcalaṃ syād rucakaṃ manthapākaṃ ca tanmatam /	sOvarcalam syAt rucakam manTa-pAkam ca tat-matam /
   rucakaṃ rocanaṃ bhedi dīpanaṃ pācanaṃ param // 250	rucakam rocanam Bedi dIpanam pAcanam param // 250
   susnehaṃ vātanunnātipittalaṃ viśadaṃ laghu /	su-sneham vAta-nud-na-ati-pittalam viSadam laGu /
   udgāraśuddhidaṃ sūkṣmaṃ vibandhānāhaśūlajit // 251	udgAra-SudDi-dam sUkzmam vibanDa-AnAha-SUla-jit // 251
   audbhidaṃ pāṃśulavaṇaṃ yajjātaṃ bhūmitaḥ svayam /	OdBidam pAMSulavaNam yat-jAtam BUmitaH svayam /
   kṣāraṃ guru kaṭu snigdhaṃ śītalaṃ vātanāśanam // 252	kzAram guru kawu snigDam SItalam vAta-nASanam // 252
   caṇakāmlakamatyuṣṇaṃ dīpanaṃ dantaharṣaṇam /	caNaka-amlakam-ati-uzNam dIpanam danta-harzaNam /
   lavaṇānurasaṃ rucyaṃ śūlājīrṇavibandhanut // 253	lavaNa-anurasam rucyam SUla-ajIrNa-vibanDa-nud // 253
   pākyaṃ kṣāro yavakṣāro yāvaśūko yavāgrajaḥ /	pAkyam kzAraH yavakzAraH yAvaSUkaH yavAgrajaH /
   svarjikāpi smṛtaḥ kṣāraḥ kāpotaḥ sukhavarcakaḥ // 254	svarjikA-api smRtaH kzAraH kApotaH suKavarcakaH // 254
   kathitaḥ svarjikābhedo viśeṣajñaiḥ suvarcikā /	kaTitaH svarjikA-BedaH viSeza-jQEH suvarcikA /
   yavakṣāro laghuḥ snigdhaḥ susūkṣmo vahnidīpanaḥ // 255	yavakzAraH laGuH snigDaH su-sUkzmaH vahni-dIpanaH // 255
   nihanti śūlavātāmaśleṣmaśvāsagalāmayān /	nihanti SUla-vAta-Ama-Slezma-SvAsa-gala-AmayAn /
   pāṇḍvarśograhaṇīgulmānāhaplīhahṛdāmayān // 256	pANxu-arSaH-grahaNI-gulma-AnAha-plIha-hRd-AmayAn // 256
   svarjikālpaguṇā tasmādvijñeyā gulmaśūlahṛt /	svarjikA-alpa-guNA tasmAt-vijQeyAH gulma-SUla-hRt /
   suvarcikā svarjikāvad boddhavyā guṇato janaiḥ // 257	suvarcikA svarjikA-vat bodDavyA guNataH janEH // 257
   saubhāgyaṃ ṭaṅkaṇaṃ kṣāro dhātudrāvakamucyate /	sOBAgyam waFkaNam kzAraH DAtudrAvakam-ucyate /
   ṭaṅkaṇaṃ vahnikṛdrūkṣaṃ kaphahṛd vātapittakṛt // 258	waFkaNam vahni-kRt-rUkzam kaPa-hRt vAta-pitta-kRt // 258
   svarjikā yāvaśūkaśca kṣāradvayamudāhṛtam /	svarjikA yAvaSUkaH-ca kzAra-dvayam-udAhRtam /
   ṭaṅkaṇena yutaṃ tattu kṣāratrayamudīritam // 259	waFkaNena yutam tat-tu kzAratrayam-udIritam // 259
   militaṃ tūktaguṇakṛd viśeṣād gulmahṛt param /	militam tu-ukta-guNa-kRt viSezAt gulma-hRt param /
   palāśavajriśikhariciñcārkatilanālajāḥ // 260	palASa-vajri-SiKari-ciQcA-arka-tila-nAla-jAH // 260
   yavajaḥ svarjikā ceti kṣārāṣṭakam udāhṛtam /	yavajaH svarjikA ca-iti kzAra-azwakam udAhRtam /
   kṣārā ete'gninā tulyā gulmaśūlaharā bhṛśam // 261	kzArAH ete-agninA tulyAH gulma-SUla-harAH BRSam // 261
   bhuktaṃ sahasravedhi syādrasāmlaṃ śuklamityapi /	Buktam sahasraveDi syAt-rasAmlam Suklam-iti-api /
   cukramatyamlamuṣṇaṃ ca dīpanaṃ pācanaṃ param // 262	cukramati-amlam-uzNam ca dIpanam pAcanam param // 262
   śūlagulmavibandhāmavātaśleṣmaharaṃ saram /	SUla-gulma-vibanDa-Ama-vAta-Slezma-haram saram /
   vamitṛṣṇāsyavairasyahṛtpīḍāvahnimāndyahṛt // 263	vami-tRzNA-Asya-vErasya-hRd-pIxA-vahni-mAndya-hRt // 263
   Bhāvaprakāśa, Vargaprakaraṇa, Karpūrādivarga	BhO=-a-prakASa, Varga-prakaraNa, KarpUra-Adi-varga
   puṃsi klībe ca karpūraḥ sitābhro himavālukaḥ /	puMsi klIbe ca karpUraH sitABraH himavAlukaH /
   ghanasāraś candrasaṃjño himanāmāpi sa smṛtaḥ // 1	GanasAraH candra-saMjQaH hima-nAma-api sa smRtaH // 1
   karpūraḥ śītalo vṛṣyaścakṣuṣyo lekhano laghuḥ /	karpUraH SItalaH vRzyaH-cakzuzyaH leKanaH laGuH /
   surabhir madhuras tiktaḥ kaphapittaviṣāpahaḥ // 2	suraBiH maDuraH tiktaH kaPa-pitta-viza-apahaH // 2
   tṛṣṇāsyavairasyamedodaurgandhyanāśanaḥ /	tRzNA-Asya-vErasya-medaH-dOrganDya-nASanaH /
   karpūro dvividhaḥ proktaḥ pakvāpakvaprabhedataḥ /	karpUraH dviviDaH proktaH pakva-apakva-praBedataH /
   pakvāt karpūrataḥ prāhurapakvaṃ guṇavattaram // 3	pakvAt karpUrataH prAhuH-apakvam guNavattaram // 3
   cīnākasaṃjñaḥ karpūraḥ kaphakṣayakaraḥ smṛtaḥ /	cInAka-saMjQaH karpUraH kaPa-kzaya-karaH smRtaH /
   kuṣṭhakaṇḍūvamiharas tathā tiktarasaśca saḥ // 4	kuzWa-kaNxU-vami-haraH taTA tikta-rasaH-ca saH // 4
   mṛganābhir mṛgamadaḥ kathitastu sahasrabhit /	mRganABiH mRgamadaH kaTitaH-tu sahasraBid /
   kastūrikā ca kastūrī vedhamukhyā ca sā smṛtā // 5	kastUrikA ca kastUrI veDamuKyA ca sA smRtA // 5
   kāmarūpodbhavā kṛṣṇā naipālī nīlavarṇayuk /	kAmarUpa-udBavA kRzNA nEpAlI nIla-varNa-yuj /
   kāśmīrī kapilacchāyā kastūrī trividhā smṛtā // 6	kASmIrI kapila=-CAyA kastUrI triviDA smRtA // 6
   kāmarūpodbhavā śreṣṭhā naipālī madhyamā bhavet /	kAmarUpa-udBavA SrezWA nEpAlI maDyamA Bavet /
   kāśmīradeśasambhūtā kastūrī hy adhamā matā // 7	kASmIra-deSa-samBUtA kastUrI hi aDamA matA // 7
   kastūrikā kaṭus tiktā kṣāroṣṇā śukralā guruḥ /	kastUrikA kawuH tiktA kzArA-uzNA SukralA guruH /
   kaphavātaviṣacchardiśītadaurgandhyaśoṣahṛt // 8	kaPa-vAta-viza=-Cardi-SIta-dOrganDya-Soza-hRt // 8
   latā kastūrikā tiktā svādvī vṛṣyā himā laghuḥ /	latA kastUrikA tiktA svAdvI vRzyA himA laGuH /
   cakṣuṣyā chedinī śleṣmatṛṣṇāvastyāsyarogahṛt // 9	cakzuzyA CedinI Slezma-tRzNA-vasti-Asya-roga-hRt // 9
   gandhamārjāravīryaṃ tu vīryakṛt kaphavātahṛt /	ganDa-mArjAra-vIryam tu vIrya-kRt kaPa-vAta-hRt /
   kaṇḍūkuṣṭhaharaṃ netryaṃ sugandhaṃ svedagandhanut // 10	kaNxU-kuzWa-haram netryam suganDam sveda-ganDa-nud // 10
   śrīkhaṇḍaṃ candanaṃ na strī bhadraśrīstailaparṇikaḥ /	SrIKaNxam candanam na strI BadraSrIH-tElaparNikaH /
   gandhasāro malayajastathā candradyutiśca saḥ // 11	ganDasAraH malayajaH-taTA candra-dyutiH-ca saH // 11
   svāde tiktaṃ kaṣe pītaṃ chede raktaṃ tanau sitam /	svAde tiktam kaze pItam Cede raktam tanO sitam /
   granthikoṭarasaṃyuktaṃ candanaṃ śreṣṭham ucyate // 12	granTi-kowara-saMyuktam candanam SrezWam ucyate // 12
   candanaṃ śītalaṃ rūkṣaṃ tiktam āhlādanaṃ laghu /	candanam SItalam rUkzam tiktam AhlAdanam laGu /
   śramaśoṣaviṣaśleṣmatṛṣṇāpittāsradāhanut // 13	Srama-Soza-viza-Slezma-tRzNA-pittAsra-dAha-nud // 13
   kālīyakaṃ tu kālīyaṃ pītābhaṃ haricandanam // 14	kAlIyakam tu kAlIyam pIta-ABam haricandanam // 14
   haripriyaṃ kālasāraṃ tathā kālānusāryakam /	haripriyam kAlasAram taTA kAlAnusAryakam /
   kālīyakaṃ raktaguṇaṃ viśeṣād vyaṅganāśanam // 15	kAlIyakam rakta-guNam viSezAt vyaFga-nASanam // 15
   raktacandanam ākhyātaṃ raktāṅgaṃ kṣudracandanam /	raktacandanam AKyAtam rakta-aFgam kzudracandanam /
   tilaparṇaṃ raktasāraṃ tatpravālaphalaṃ smṛtam // 16	tilaparNam raktasAram tad-pravAla-Palam smRtam // 16
   raktaṃ śītaṃ guru svādu charditṛṣṇāsrapittahṛt /	raktam SItam guru svAdu Cardi-tRzNA-asrapitta-hRt /
   tiktaṃ netrāhataṃ vṛṣyaṃ jvaravraṇaviṣāpaham // 17	tiktam netra-Ahatam vRzyam jvara-vraNa-viza-apaham // 17
   pataṃgaṃ raktasāraṃ ca suraṅgaṃ rañjanaṃ tathā /	pataMgam raktasAram ca suraFgam raQjanam taTA /
   paṭṭarañjakamākhyātaṃ pattūraṃ ca kucandanam // 18	pawwaraQjakam-AKyAtam pattUram ca kucandanam // 18
   pataṃgaṃ madhuraṃ śītaṃ pittaśleṣmavraṇāsranut /	pataMgam maDuram SItam pitta-Slezma-vraNa-asra-nud /
   haricandanavad vedyaṃ viśeṣāddāhanāśanam // 19	haricandana-vat vedyam viSezAt-dAha-nASanam // 19
   candanāni tu sarvāṇi sadṛśāni rasādibhiḥ /	candanAni tu sarvANi sadRSAni rasa-AdiBiH /
   gandhena tu viśeṣo'sti pūrvaḥ śreṣṭhatamo guṇaiḥ // 20	ganDena tu viSezaH-asti pUrvaH SrezWatamaH guNEH // 20
   aguru pravaraṃ lohaṃ rājārhaṃ yogajaṃ tathā /	aguru pravaram loham rAja-arham yoga-jam taTA /
   vaṃśikaṃ kṛmijaṃ vāpi kṛmijagdham anāryakam // 21	vaMSikam kRmi-jam vA-api kRmi-jagDam anAryakam // 21
   agurūṣṇaṃ kaṭu tvacyaṃ tiktaṃ tīkṣṇaṃ ca pittalam /	aguru-uzNam kawu tvacyam tiktam tIkzNam ca pittalam /
   laghu karṇākṣirogaghnaṃ śītavātakaphapraṇut // 22	laGu karNa-akzi-roga-Gnam SIta-vAta-kaPa-praNud // 22
   kṛṣṇaṃ guṇādhikaṃ tattu lohavadvāri majjati /	kRzNam guNa-aDikam tat-tu loha-vat-vAri majjati /
   aguruprabhavaḥ snehaḥ kṛṣṇāgurusamaḥ smṛtaḥ // 23	aguru-praBavaH snehaH kRzNa-aguru-samaH smRtaH // 23
   devadāru smṛtaṃ dārubhadraṃ dārv indradāru ca /	devadAru smRtam dAruBadram dAru indradAru ca /
   mastadāru drukilimaṃ kilimaṃ surabhūruhaḥ // 24	mastadAru drukilimam kilimam sura-BUruhaH // 24
   devadāru laghu snigdhaṃ tiktoṣṇaṃ kaṭupāki ca /	devadAru laGu snigDam tikta-uzNam kawu-pAki ca /
   vibandhādhmānaśothāmatandrāhikkājvarāsrajit /	vibanDa-ADmAna-SoTa-Ama-tandrA-hikkA-jvara-asra-jit /
   pramehapīnasaśleṣmakāsakaṇḍūsamīranut // 25	prameha-pInasa-Slezma-kAsa-kaNxU-samIra-nud // 25
   saralaḥ pītavṛkṣaḥ syāttathā surabhidārukaḥ /	saralaH pItavRkzaH syAt-taTA suraBidArukaH /
   saralo madhuras tiktaḥ kaṭupākaraso laghuḥ // 26	saralaH maDuraH tiktaH kawu-pAka-rasaH laGuH // 26
   snigdhoṣṇaḥ karṇakaṇṭhākṣirogarakṣoharaḥ smṛtaḥ /	snigDa-uzNaH karNa-kaNWa-akzi-roga-rakzaH-haraH smRtaH /
   kaphānilasvedadāhakāsamūrchāvraṇāpahaḥ // 27	kaPa-anila-sveda-dAha-kAsa-mUrCA-vraNa-apahaH // 27
   kālānusāryaṃ tagaraṃ kuṭilaṃ nahuṣaṃ natam /	kAlAnusAryam tagaram kuwilam nahuzam natam /
   aparaṃ piṇḍatagaraṃ daṇḍahastī ca barhiṇam // 28	aparam piNxa-tagaram daNxa-hastI ca barhiNam // 28
